Fp1   -0,8177 0,3707 1,0507 1,0446 0,4205 -0,5320 -1,4782 -2,1828 -2,5609 -2,6687 -2,6417 -2,6152 -2,6415 -2,6275 -2,3793 -1,7379 -0,6806 0,6720 2,1096 3,3976 4,3200 4,7154 4,5281 3,8377 2,8246 1,6978 0,6293 -0,3093 -1,1697 -2,0211 -2,8087 -3,3547 -3,4802 -3,1250 -2,3911 -1,4635 -0,4559 0,6460 1,8850 3,2057 4,3912 5,0946 5,0051 4,0702 2,5406 0,7642 -1,0218 -2,6890 -4,1292 -5,2382 -5,9385 -6,1846 -5,9720 -5,3487 -4,4090 -3,2581 -1,9639 -0,5666 0,8405 2,0855 3,0027 3,5068 3,5809 3,2628 2,6883 2,0963 1,7379 1,7585 2,1270 2,6494 3,0714 3,2127 3,0449 2,6744 2,2570 1,9018 1,6123 1,2914 0,8309 0,2399 -0,3271 -0,6779 -0,6922 -0,3423 0,3150 1,1254 1,8519 2,2919 2,4134 2,3328 2,1623 1,9314 1,6267 1,2574 0,8947 0,6673 0,6982 1,0289 1,5994 2,2757 2,8762 3,2114 3,1402 2,6089 1,6854 0,5388 -0,6721 -1,8679 -3,0074 -4,0568 -5,0180 -5,9272 -6,7896 -7,5462 -8,1188 -8,4292 -8,3808 -7,9126 -7,0921 -6,0924 -5,0742 -4,1192 -3,2508 -2,4818 -1,8407 -1,3643 -1,0514 -0,7997 -0,4189 0,2515 1,2190 2,3021 3,2206 3,7521 3,8462 3,6380 3,3586 3,1842 3,1405 3,1281 3,0126 2,7179 2,3041 1,9808 2,0015 2,4760 3,2484 3,9612 4,2552 3,9414 3,0482 1,7588 0,3134 -1,0608 -2,1940 -2,9979 -3,4745 -3,7309 -3,9614 -4,3420 -4,9058 -5,5373 -6,0608 -6,2957 -6,0588 -5,1942 -3,6637 -1,6331 0,5268 2,3305 3,3294 3,2715 2,2037 0,4689 -1,4364 -3,0930 -4,3181 -5,1606 -5,7880 -6,3591 -6,9352 -7,4525 -7,7676 -7,7538 -7,3685 -6,6547 -5,7350 -4,8138 -4,1095 -3,7258 -3,6008 -3,5901 -3,5945 -3,6240 -3,7623 -4,0961 -4,6832 -5,5271 -6,5236 -7,4418 -8,0038 -8,0150 -7,4258 -6,3286 -4,9684 -3,7199 -2,9573 -2,8894 -3,4689 -4,4182 -5,3891 -6,1548 -6,6528 -6,8850 -6,8322 -6,4562 -5,7626 -4,8291 -3,7710 -2,7471 -1,9799 -1,6531 -1,7720 -2,1656 -2,6007 -2,8895 -2,9659 -2,9079 -2,8532 -2,8506 -2,8001 -2,5235 -1,8723 -0,8106 0,5379 1,9078 2,9798 3,4752 3,2309 2,2727 0,8243 -0,7960 -2,2914 -3,4406 -4,1212 -4,3321 -4,1952 -3,8935 -3,5579 -3,2037 -2,7683 -2,1984 -1,5140 -0,7836 -0,0374 0,7500 1,5827 2,4187 3,2404 4,0717 4,8622 5,3985 5,4006 4,7104 3,3920 1,7230 0,1265 -0,9636 -1,2888 -0,8856 -0,0345 0,9005 1,6086 1,9170 1,8480 1,6028 1,4502 1,6086 2,1857 3,1498 4,3241 5,4481 6,2904 6,7349 6,7918 6,5391 6,0548 5,4129 4,7227 4,1167 3,6826 3,4233 3,2815 3,1929 3,1280 3,1064 3,1595 3,2406 3,1827 2,7882 1,9535 0,7133 -0,7556 -2,1250 -2,9701 -2,9502 -2,0070 -0,4097 1,3821 2,9217 3,9236 4,2923 4,0661 3,3737 2,4158 1,4221 0,5854 0,0078 -0,3154 -0,4654 -0,5263 -0,5058 -0,3159 0,1586 0,9514 1,9433 2,8969 3,5876 3,9343 4,0390 4,1204 4,3779 4,8654 5,4543 5,9187 6,0945 5,9972 5,8046 5,7324 5,9024 6,2896 6,7641 7,1617 7,3253 7,1434 6,5988 5,7979 4,9536 4,3020 4,0013 4,0806 4,4466 4,9395 5,3991 5,6854 5,6632 5,2209 4,3476 3,1908 2,0095 1,0565 0,4687 0,2213 0,1736 0,1779 0,1535 0,0771 -0,0462 -0,1700 -0,1992 -0,0358 0,3528 0,8921 1,4151 1,7386 1,7678 1,5592 1,2769 1,0783 1,0474 1,2130 1,6160 2,3379 3,3922 4,5658 5,4488 5,6934 5,2571 4,4165 3,5701 3,0186 2,8780 3,1210 3,6350 4,2464 4,7636 5,0629 5,1468 5,1059 5,0303 4,9573 4,8767 4,7643 4,6023 4,3609 3,9694 3,3407 2,4617 1,4434 0,4539 -0,3736 -0,9512 -1,2120 -1,1229 -0,7088 -0,0433 0,7819 1,6855 2,6173 3,5483 4,4092 5,0452 5,2610 4,9425 4,1785 3,2715 2,6019 2,4490 2,8946 3,8274 4,9917 6,0567 6,7278 6,8695 6,5569 5,9883 5,3317 4,6676 4,0416 3,5152 3,1961 3,2607 3,8956 5,1538 6,8550 8,6263 10,0534 10,8397 10,8974 10,3526 9,4637 8,4861 7,5662 6,7068 5,8168 4,8262 3,7991 2,9601 2,5909 2,8229 3,4953 4,2207 4,5892 4,3460 3,4698 2,1720 0,8601 0,0598 0,2367 1,5596 3,7812 6,3440 8,6320 10,1889 10,7956 10,4472 9,3127 7,6949 5,9354 4,2723 2,7902 1,5055 0,4647 -0,2293 -0,4542 -0,1294 0,7464 2,0816 3,6807 5,2617 6,5298 7,2583 7,3292 6,7316 5,5339 3,8601 1,9116 -0,0063 -1,5382 -2,4096 -2,5366 -2,0364 -1,1535 -0,1658 0,6867 1,2326 1,3629 1,0534 0,4350 -0,2085 -0,5893 -0,5639 -0,1520 0,5274 1,3302 2,1581 2,9854 3,8036 4,5417 5,0843 5,3863 5,5340 5,6611 5,8196 5,9361 5,8583 5,4459 4,6714 3,6852 2,8007 2,3811 2,6562 3,5837 4,8690 6,1173 6,9851 7,2428 6,7746 5,5906 3,8672 1,9476 0,2216 -1,0671 -1,9111 -2,4559 -2,8739 -3,3046 -3,8064 -4,3113 -4,6575 -4,7026 -4,4305 -3,9770 -3,5733 -3,4640 -3,8276 -4,6917 -5,8990 -7,1631 -8,1686 -8,6576 -8,5139 -7,8393 -6,9349 -6,1420 -5,6559 -5,4531 -5,3612 -5,2071 -4,9304 -4,5886 -4,2813 -4,0716 -3,9530 -3,8768 -3,8022 -3,7050 -3,5435 -3,2573 -2,8268 -2,3344 -1,9484 -1,8232 -1,9805 -2,2638 -2,4346 -2,3641 -2,1198 -1,8583 -1,6856 -1,6314 -1,6859 -1,8130 -1,9649 -2,1319 -2,3620 -2,7139 -3,1928 -3,7294 -4,2048
Fz    -2,0846 -1,8462 -1,5058 -1,0903 -0,6379 -0,2005 0,1572 0,3895 0,5000 0,5215 0,4651 0,3019 0,0135 -0,3353 -0,6074 -0,6903 -0,5626 -0,2725 0,1121 0,5245 0,9003 1,1811 1,3261 1,3269 1,2156 1,0539 0,8990 0,7634 0,6074 0,3858 0,1183 -0,0930 -0,1329 0,0276 0,3027 0,5611 0,7136 0,7350 0,6422 0,4730 0,2576 -0,0054 -0,3209 -0,6427 -0,8772 -0,9671 -0,9483 -0,9027 -0,8795 -0,8728 -0,8525 -0,8134 -0,7869 -0,7798 -0,7230 -0,5115 -0,0792 0,5652 1,3458 2,1523 2,8798 3,4553 3,8504 4,0866 4,2267 4,3515 4,5271 4,7707 5,0359 5,2485 5,3708 5,4219 5,4351 5,4031 5,2748 4,9993 4,5695 4,0289 3,4459 2,8911 2,4270 2,0934 1,8970 1,8249 1,8669 2,0149 2,2294 2,4355 2,5818 2,6850 2,7889 2,9036 3,0030 3,0630 3,0850 3,0926 3,1164 3,1778 3,2743 3,3759 3,4341 3,3976 3,2319 2,9386 2,5565 2,1331 1,6955 1,2620 0,8687 0,5575 0,3390 0,1794 0,0226 -0,1852 -0,4806 -0,8506 -1,2069 -1,4183 -1,3915 -1,1179 -0,6628 -0,1281 0,3825 0,7935 1,0762 1,2481 1,3646 1,5076 1,7433 2,0837 2,5018 2,9627 3,4283 3,8539 4,2002 4,4493 4,6036 4,6745 4,6818 4,6561 4,6231 4,5794 4,4901 4,3222 4,0855 3,8326 3,6220 3,4881 3,4301 3,4138 3,3877 3,2951 3,0869 2,7591 2,3734 2,0194 1,7570 1,5974 1,5260 1,5371 1,6438 1,8578 2,1758 2,5721 2,9793 3,2936 3,4320 3,3943 3,2575 3,1049 2,9646 2,8067 2,5913 2,3161 2,0172 1,7287 1,4572 1,2143 1,0537 1,0438 1,2002 1,4592 1,7111 1,8494 1,8091 1,5884 1,2348 0,8062 0,3486 -0,1059 -0,5465 -0,9827 -1,4100 -1,7713 -1,9664 -1,9203 -1,6529 -1,2835 -0,9714 -0,8491 -0,9828 -1,3548 -1,8674 -2,3767 -2,7480 -2,9134 -2,8993 -2,8044 -2,7367 -2,7511 -2,8451 -3,0077 -3,2412 -3,5346 -3,8429 -4,1018 -4,2618 -4,3023 -4,2244 -4,0574 -3,8605 -3,6864 -3,5311 -3,3229 -2,9620 -2,3894 -1,6392 -0,8315 -0,1030 0,4683 0,8796 1,1702 1,3725 1,4839 1,4832 1,3621 1,1365 0,8452 0,5410 0,2758 0,0875 -0,0088 -0,0270 -0,0097 -0,0124 -0,0703 -0,1668 -0,2277 -0,1644 0,0600 0,4071 0,7997 1,1637 1,4499 1,6408 1,7365 1,7324 1,6357 1,5064 1,4477 1,5296 1,7359 1,9954 2,2517 2,4989 2,7640 3,0640 3,3662 3,5873 3,6457 3,5261 3,2937 3,0437 2,8398 2,7065 2,6625 2,7301 2,9164 3,2081 3,5849 4,0151 4,4392 4,7783 4,9769 5,0370 5,0080 4,9426 4,8708 4,8109 4,7824 4,7891 4,8035 4,7818 4,6830 4,4687 4,1059 3,5859 2,9302 2,1836 1,4197 0,7341 0,2016 -0,1523 -0,3345 -0,3624 -0,2627 -0,0797 0,1212 0,2605 0,2769 0,1626 -0,0420 -0,2918 -0,5712 -0,8924 -1,2681 -1,6839 -2,0984 -2,4643 -2,7395 -2,8829 -2,8535 -2,6168 -2,1577 -1,4976 -0,7006 0,1451 0,9566 1,6727 2,2537 2,6732 2,9146 2,9818 2,9128 2,7755 2,6461 2,5929 2,6727 2,9304 3,3852 4,0131 4,7393 5,4467 6,0062 6,3243 6,3803 6,2272 5,9511 5,6188 5,2526 4,8403 4,3577 3,7976 3,1852 2,5590 1,9511 1,3871 0,8943 0,5030 0,2346 0,0819 -0,0082 -0,1220 -0,3356 -0,6756 -1,1138 -1,5896 -2,0316 -2,3740 -2,5726 -2,6145 -2,5123 -2,2916 -1,9792 -1,5927 -1,1376 -0,6215 -0,0705 0,4789 0,9962 1,4547 1,8283 2,1071 2,3087 2,4649 2,5946 2,6944 2,7455 2,7155 2,5602 2,2508 1,8049 1,2859 0,7751 0,3398 0,0130 -0,2031 -0,3198 -0,3593 -0,3567 -0,3435 -0,3255 -0,2854 -0,2089 -0,0994 0,0231 0,1266 0,1788 0,1642 0,0931 0,0003 -0,0606 -0,0310 0,1382 0,4733 0,9611 1,5352 2,0851 2,4999 2,7173 2,7395 2,6168 2,4215 2,2188 2,0560 1,9712 1,9994 2,1636 2,4638 2,8737 3,3510 3,8583 4,3700 4,8571 5,2834 5,6207 5,8613 6,0238 6,1421 6,2328 6,2799 6,2488 6,1093 5,8632 5,5645 5,2995 5,1433 5,1318 5,2551 5,4686 5,7147 5,9403 6,1037 6,1802 6,1696 6,0876 5,9329 5,6666 5,2404 4,6433 3,9198 3,1604 2,4878 2,0358 1,8977 2,0745 2,4700 2,9373 3,3406 3,6021 3,7179 3,7358 3,7129 3,6883 3,6882 3,7383 3,8592 4,0573 4,3266 4,6540 5,0200 5,3912 5,7187 5,9565 6,0764 6,0521 5,8518 5,4683 4,9483 4,3842 3,8801 3,5121 3,3014 3,2172 3,2079 3,2293 3,2564 3,2809 3,2912 3,2446 3,0657 2,6890 2,1114 1,4087 0,7162 0,1776 -0,1192 -0,1742 -0,0565 0,1346 0,3108 0,4401 0,5631 0,7548 1,0738 1,5461 2,1704 2,9200 3,7456 4,5938 5,4212 6,1890 6,8527 7,3644 7,6824 7,7885 7,7048 7,4866 7,1937 6,8698 6,5373 6,1926 5,8035 5,3273 4,7522 4,1251 3,5324 3,0480 2,7067 2,5089 2,4241 2,3814 2,2744 2,0001 1,5075 0,8177 0,0046 -0,8470 -1,6718 -2,4261 -3,0717 -3,5652 -3,8664 -3,9552 -3,8502 -3,6198 -3,3618 -3,1570 -3,0380 -3,0039 -3,0550 -3,1968 -3,4177 -3,6803 -3,9298 -4,1021 -4,1477 -4,0614 -3,8803 -3,6482 -3,3854 -3,0877 -2,7456 -2,3615 -1,9609 -1,5961 -1,3277 -1,1871 -1,1607 -1,2055 -1,2648 -1,2804 -1,2142 -1,0697 -0,8813 -0,6845 -0,5092 -0,3892 -0,3532 -0,4010 -0,5017 -0,6205 -0,7474 -0,8987 -1,0927 -1,3251 -1,5688 -1,8017 -2,0313 -2,2811
F3    -0,9225 -1,0299 -1,1338 -1,1734 -1,0978 -0,9080 -0,6565 -0,3898 -0,1083 0,1974 0,4835 0,6452 0,5808 0,2786 -0,1643 -0,6115 -0,9677 -1,1934 -1,2714 -1,1915 -0,9668 -0,6530 -0,3376 -0,0904 0,0840 0,2440 0,4516 0,7070 0,9447 1,1093 1,2249 1,3678 1,5684 1,7530 1,7945 1,6223 1,2732 0,8420 0,4184 0,0698 -0,1675 -0,3094 -0,4066 -0,4799 -0,4938 -0,4197 -0,2941 -0,1780 -0,0828 0,0393 0,2344 0,4720 0,6398 0,6516 0,5485 0,4684 0,5317 0,7716 1,1543 1,6307 2,1429 2,6135 2,9846 3,2644 3,5130 3,7872 4,1015 4,4104 4,6275 4,6994 4,6743 4,6709 4,7721 4,9506 5,0804 5,0176 4,6956 4,1635 3,5371 2,9283 2,4045 1,9670 1,5637 1,1526 0,7593 0,4618 0,3180 0,3188 0,4154 0,5650 0,7498 0,9819 1,2902 1,6836 2,1259 2,5540 2,9170 3,1912 3,3608 3,4000 3,2822 2,9951 2,5573 2,0359 1,5350 1,1302 0,8159 0,5443 0,3016 0,1126 -0,0137 -0,1146 -0,2424 -0,4262 -0,6715 -0,9693 -1,2797 -1,5272 -1,6302 -1,5458 -1,2933 -0,9408 -0,5627 -0,2047 0,1232 0,4491 0,8414 1,3638 1,9985 2,6425 3,1886 3,5829 3,8165 3,8990 3,8471 3,6842 3,4408 3,1573 2,8988 2,7663 2,8634 3,2211 3,7364 4,2104 4,4827 4,5337 4,4580 4,3691 4,3204 4,2865 4,2089 4,0499 3,8051 3,4975 3,1608 2,8107 2,4490 2,1088 1,8868 1,9178 2,2912 2,9680 3,7738 4,4561 4,7504 4,4609 3,5625 2,2536 0,8902 -0,1716 -0,7263 -0,7807 -0,5089 -0,1390 0,1561 0,3081 0,3505 0,4024 0,6328 1,1717 2,0049 2,9539 3,7587 4,1850 4,0968 3,5005 2,5414 1,4320 0,3672 -0,5222 -1,1875 -1,6551 -1,9788 -2,1829 -2,2466 -2,1336 -1,8288 -1,3699 -0,8647 -0,4667 -0,3129 -0,4672 -0,8873 -1,4242 -1,8812 -2,1296 -2,1839 -2,1621 -2,1802 -2,2806 -2,4346 -2,5979 -2,7566 -2,9308 -3,1493 -3,4293 -3,7697 -4,1500 -4,5405 -4,9207 -5,2655 -5,4914 -5,4361 -4,9331 -3,9300 -2,5443 -1,0202 0,3793 1,4667 2,1583 2,4543 2,4050 2,0613 1,4454 0,5924 -0,3912 -1,3347 -2,0648 -2,4719 -2,5353 -2,3006 -1,8484 -1,2959 -0,7993 -0,4980 -0,4250 -0,4645 -0,4076 -0,0844 0,5173 1,2412 1,8656 2,2302 2,2949 2,1161 1,7786 1,3445 0,8649 0,4131 0,0722 -0,1018 -0,0787 0,1691 0,6641 1,3959 2,2833 3,1436 3,7313 3,8664 3,5637 3,0427 2,6041 2,4557 2,6058 2,8942 3,1176 3,1471 2,9858 2,7553 2,6207 2,6971 2,9837 3,3614 3,6697 3,8159 3,8186 3,7578 3,7060 3,7084 3,7921 3,9523 4,1325 4,2492 4,2398 4,0617 3,6651 3,0244 2,2027 1,3611 0,7063 0,4077 0,5082 0,8884 1,3339 1,6421 1,6939 1,4716 1,0320 0,4652 -0,1179 -0,5863 -0,8261 -0,8078 -0,6198 -0,4312 -0,4112 -0,6552 -1,1563 -1,8230 -2,5086 -3,0443 -3,2954 -3,2223 -2,8897 -2,3966 -1,7892 -1,0411 -0,1094 0,9841 2,0982 2,9891 3,4240 3,3257 2,8260 2,1820 1,6277 1,2876 1,2012 1,3876 1,8596 2,6017 3,5588 4,6427 5,7502 6,7783 7,6199 8,1591 8,2872 7,9357 7,1074 5,8953 4,4692 3,0337 1,7745 0,8119 0,1775 -0,1790 -0,3579 -0,4595 -0,5458 -0,6362 -0,7276 -0,8169 -0,9076 -1,0076 -1,1347 -1,3188 -1,5810 -1,8998 -2,2042 -2,4101 -2,4691 -2,3770 -2,1427 -1,7550 -1,1764 -0,3745 0,6348 1,7783 2,9426 3,9755 4,6941 4,9426 4,6815 4,0298 3,2064 2,4165 1,7765 1,3173 1,0347 0,9284 0,9908 1,1678 1,3560 1,4517 1,3875 1,1315 0,6818 0,0716 -0,6179 -1,2561 -1,7090 -1,9060 -1,8566 -1,6029 -1,1741 -0,5959 0,0877 0,8135 1,4985 2,0441 2,3674 2,4448 2,3363 2,1618 2,0428 2,0434 2,1403 2,2409 2,2444 2,0998 1,8269 1,4975 1,1989 1,0071 0,9741 1,1287 1,4824 2,0279 2,7302 3,5370 4,4130 5,3336 6,2340 7,0094 7,5889 7,9847 8,2644 8,4860 8,6412 8,6280 8,2786 7,4679 6,2486 4,8822 3,7197 3,0371 2,9392 3,3433 4,0296 4,7523 5,3489 5,7734 6,0611 6,2708 6,4323 6,5022 6,3601 5,8793 5,0286 3,9122 2,7382 1,7767 1,2985 1,4575 2,1822 3,1793 4,0494 4,4432 4,1963 3,3913 2,3097 1,2985 0,6345 0,4525 0,7432 1,3975 2,2733 3,2588 4,2976 5,3633 6,4042 7,2977 7,8633 7,9299 7,4052 6,3173 4,8265 3,1967 1,7267 0,6760 0,2048 0,3431 0,9978 1,9973 3,1409 4,2237 5,0526 5,4749 5,4025 4,8124 3,7548 2,3784 0,9287 -0,3016 -1,0504 -1,1772 -0,7387 0,0179 0,7672 1,2663 1,4596 1,4536 1,3982 1,3879 1,4460 1,5499 1,6610 1,7626 1,8926 2,1354 2,5678 3,2115 4,0284 4,9425 5,8741 6,7742 7,6146 8,3279 8,7734 8,7962 8,3158 7,3511 5,9995 4,4285 2,8689 1,5757 0,7659 0,5526 0,8935 1,5809 2,3002 2,7505 2,7580 2,3089 1,4990 0,4583 -0,7075 -1,9370 -3,1869 -4,3866 -5,4198 -6,1495 -6,4725 -6,3766 -5,9564 -5,3601 -4,7145 -4,0981 -3,5863 -3,2934 -3,3147 -3,6095 -3,9861 -4,2267 -4,2158 -3,9757 -3,6222 -3,2879 -3,0563 -2,9369 -2,8830 -2,8460 -2,8243 -2,8546 -2,9627 -3,1308 -3,3066 -3,4479 -3,5450 -3,5940 -3,5644 -3,4088 -3,1039 -2,6776 -2,1999 -1,7557 -1,4101 -1,1793 -1,0303 -0,9306 -0,9051 -1,0336 -1,3916 -1,9882 -2,7421 -3,5033 -4,1194 -4,5104 -4,6960
F7    -1,8377 -1,5109 -1,1896 -0,9307 -0,7754 -0,7247 -0,7444 -0,7820 -0,7882 -0,7394 -0,6507 -0,5705 -0,5389 -0,5317 -0,4628 -0,2541 0,1011 0,5348 0,9524 1,2794 1,4736 1,5178 1,4170 1,1981 0,9037 0,5832 0,2780 0,0065 -0,2308 -0,4267 -0,5556 -0,5814 -0,4741 -0,2408 0,0498 0,3012 0,4603 0,5432 0,6024 0,6859 0,8045 0,9094 0,9182 0,7887 0,5594 0,2976 0,0273 -0,2631 -0,5642 -0,8252 -0,9899 -1,0486 -1,0423 -0,9972 -0,8765 -0,6122 -0,1660 0,4410 1,1295 1,7920 2,3457 2,7621 3,0491 3,2238 3,3107 3,3515 3,3987 3,4927 3,6382 3,8000 3,9224 3,9620 3,9072 3,7728 3,5846 3,3667 3,1303 2,8744 2,6018 2,3294 2,0752 1,8394 1,6108 1,3986 1,2447 1,1924 1,2401 1,3424 1,4678 1,6315 1,8596 2,1428 2,4316 2,6678 2,8223 2,9081 2,9555 2,9814 2,9885 2,9849 2,9814 2,9769 2,9587 2,9091 2,8170 2,6844 2,5060 2,2600 1,9401 1,5710 1,1767 0,7540 0,2863 -0,2348 -0,8028 -1,3748 -1,8568 -2,1440 -2,1925 -2,0431 -1,7774 -1,4600 -1,1155 -0,7437 -0,3401 0,0934 0,5469 1,0181 1,5182 2,0545 2,6175 3,1821 3,7125 4,1733 4,5439 4,8263 5,0400 5,2086 5,3513 5,4701 5,5378 5,5107 5,3669 5,1352 4,8819 4,6623 4,4864 4,3354 4,2015 4,0963 4,0237 3,9571 3,8543 3,6991 3,5139 3,3350 3,1894 3,0852 3,0037 2,9090 2,7850 2,6610 2,5987 2,6611 2,8787 3,2283 3,6449 4,0535 4,3879 4,5888 4,6096 4,4325 4,0820 3,6292 3,1736 2,7950 2,5173 2,3220 2,1863 2,0949 2,0275 1,9558 1,8575 1,7251 1,5649 1,3960 1,2383 1,0883 0,9157 0,6950 0,4290 0,1391 -0,1511 -0,4111 -0,5957 -0,6682 -0,6396 -0,5751 -0,5565 -0,6326 -0,7958 -0,9944 -1,1561 -1,2146 -1,1489 -1,0028 -0,8590 -0,7940 -0,8440 -0,9918 -1,1914 -1,4107 -1,6381 -1,8583 -2,0330 -2,1166 -2,0945 -1,9942 -1,8516 -1,6932 -1,5515 -1,4623 -1,4338 -1,4283 -1,3772 -1,2155 -0,9202 -0,5293 -0,1194 0,2497 0,5645 0,8417 1,0995 1,3463 1,5779 1,7717 1,8826 1,8638 1,7026 1,4356 1,1247 0,8228 0,5608 0,3515 0,1946 0,0845 0,0220 0,0203 0,0960 0,2459 0,4341 0,6124 0,7522 0,8617 0,9793 1,1419 1,3525 1,5889 1,8452 2,1437 2,4916 2,8387 3,0980 3,2044 3,1502 2,9845 2,7927 2,6567 2,6144 2,6484 2,7089 2,7473 2,7384 2,6863 2,6223 2,5983 2,6625 2,8309 3,0827 3,3736 3,6478 3,8511 3,9574 3,9863 3,9911 4,0195 4,0802 4,1500 4,2116 4,2697 4,3292 4,3706 4,3598 4,2712 4,0983 3,8505 3,5479 3,2055 2,8247 2,4083 1,9779 1,5688 1,2209 0,9744 0,8610 0,8925 1,0523 1,2901 1,5266 1,6817 1,7135 1,6301 1,4653 1,2489 0,9957 0,7202 0,4555 0,2448 0,1132 0,0552 0,0520 0,1005 0,2256 0,4620 0,8228 1,2791 1,7707 2,2358 2,6380 2,9793 3,2923 3,6109 3,9398 4,2501 4,5029 4,6826 4,8175 4,9683 5,1854 5,4745 5,7977 6,1007 6,3321 6,4481 6,4236 6,2708 6,0370 5,7785 5,5291 5,2890 5,0374 4,7537 4,4342 4,0900 3,7242 3,3197 2,8567 2,3460 1,8464 1,4412 1,1860 1,0702 1,0245 0,9674 0,8528 0,6858 0,5075 0,3737 0,3312 0,3964 0,5479 0,7444 0,9496 1,1446 1,3261 1,5033 1,6923 1,9009 2,1201 2,3351 2,5385 2,7342 2,9384 3,1668 3,4097 3,6246 3,7619 3,7955 3,7258 3,5632 3,3208 3,0201 2,6950 2,3861 2,1270 1,9354 1,8195 1,7890 1,8506 1,9917 2,1786 2,3759 2,5632 2,7297 2,8574 2,9177 2,8801 2,7267 2,4662 2,1355 1,7937 1,5144 1,3685 1,4029 1,6254 2,0032 2,4734 2,9595 3,3931 3,7318 3,9562 4,0613 4,0583 3,9759 3,8576 3,7564 3,7188 3,7714 3,9222 4,1638 4,4661 4,7784 5,0519 5,2578 5,3883 5,4456 5,4373 5,3833 5,3144 5,2543 5,2129 5,2040 5,2545 5,3887 5,6053 5,8678 6,1244 6,3389 6,5014 6,6188 6,7005 6,7474 6,7457 6,6692 6,4961 6,2340 5,9232 5,6094 5,3183 5,0528 4,8013 4,5413 4,2483 3,9181 3,5818 3,2916 3,0970 3,0378 3,1434 3,4234 3,8556 4,3788 4,8977 5,3119 5,5579 5,6332 5,5843 5,4749 5,3545 5,2420 5,1339 5,0259 4,9286 4,8712 4,8842 4,9702 5,0937 5,1977 5,2273 5,1513 4,9743 4,7246 4,4293 4,0990 3,7340 3,3385 2,9366 2,5763 2,3120 2,1680 2,1151 2,0874 2,0226 1,8919 1,7141 1,5434 1,4355 1,4277 1,5417 1,7815 2,1205 2,5093 2,9033 3,2811 3,6469 4,0233 4,4354 4,8957 5,4055 5,9647 6,5707 7,2003 7,7952 8,2698 8,5392 8,5528 8,3141 7,8795 7,3380 6,7880 6,3152 5,9669 5,7374 5,5800 5,4396 5,2786 5,0730 4,7989 4,4430 4,0247 3,5903 3,1754 2,7686 2,3228 1,8063 1,2345 0,6506 0,0929 -0,4139 -0,8516 -1,2039 -1,4600 -1,6173 -1,6825 -1,6786 -1,6500 -1,6511 -1,7168 -1,8400 -1,9768 -2,0709 -2,0873 -2,0365 -1,9628 -1,8983 -1,8340 -1,7418 -1,6119 -1,4602 -1,3058 -1,1532 -0,9899 -0,7944 -0,5488 -0,2581 0,0382 0,2891 0,4680 0,5768 0,6248 0,6156 0,5551 0,4594 0,3470 0,2337 0,1366 0,0632 0,0005 -0,0660 -0,1314 -0,1820 -0,2130 -0,2272 -0,2306 -0,2367 -0,2635 -0,3214 -0,4129 -0,5431 -0,7139
