Fp1   6,2963 5,7403 5,0343 4,2691 3,5203 2,8142 2,1557 1,5720 1,1101 0,8062 0,6648 0,6429 0,6564 0,6165 0,4658 0,2213 -0,0060 -0,0950 -0,0395 0,0494 0,0573 -0,0566 -0,2729 -0,5304 -0,7434 -0,8605 -0,9129 -0,9918 -1,1802 -1,4827 -1,8094 -2,0372 -2,0796 -1,8993 -1,4992 -0,9447 -0,3765 0,0394 0,1929 0,0759 -0,2388 -0,6653 -1,1536 -1,6777 -2,1886 -2,5964 -2,8141 -2,8165 -2,6492 -2,3829 -2,0854 -1,8334 -1,7109 -1,7680 -1,9819 -2,2615 -2,4904 -2,5653 -2,4114 -2,0061 -1,4091 -0,7587 -0,2033 0,1836 0,4173 0,5584 0,6781 0,8099 0,9130 0,9183 0,8084 0,6350 0,4821 0,4258 0,5031 0,6826 0,8604 0,9128 0,7730 0,4512 -0,0043 -0,5345 -1,0648 -1,5008 -1,7448 -1,7435 -1,5255 -1,1756 -0,7939 -0,4797 -0,2900 -0,2030 -0,1498 -0,0794 -0,0023 0,0075 -0,1343 -0,4464 -0,8441 -1,1831 -1,3459 -1,2888 -1,0191 -0,5722 -0,0443 0,3799 0,4924 0,1773 -0,5359 -1,5003 -2,5198 -3,4265 -4,1257 -4,5677 -4,7148 -4,5796 -4,2824 -4,0160 -3,9271 -4,0372 -4,2661 -4,5097 -4,7036 -4,8317 -4,9126 -4,9946 -5,1192 -5,2754 -5,4059 -5,4391 -5,3192 -5,0456 -4,6909 -4,3539 -4,0939 -3,9100 -3,7588 -3,5958 -3,4148 -3,2235 -2,9906 -2,6526 -2,1628 -1,5171 -0,7386 0,1576 1,1694 2,2719 3,4114 4,5360 5,6078 6,6011 7,4998 8,2840 8,9324 9,4411 9,8196 10,0678 10,1715 10,1119 9,8734 9,4629 8,9333 8,3732 7,8764 7,5130 7,2976 7,1752 7,0577 6,8880 6,6758 6,4787 6,3552 6,3526 6,4967 6,7481 6,9995 7,1546 7,1992 7,1881 7,1771 7,1746 7,1528 7,0927 7,0099 6,9451 6,9481 7,0446 7,1932 7,2940 7,2535 7,0447 6,7213 6,3753 6,0695 5,8142 5,6121 5,4858 5,4471 5,4944 5,6589 5,9948 6,5098 7,1449 7,8207 8,4859 9,1216 9,6896 10,0933 10,2226 10,0281 9,5492 8,8911 8,1768 7,5090 6,9651 6,6057 6,4526 6,4650 6,5635 6,6686 6,7216 6,7030 6,6341 6,5581 6,5234 6,5621 6,6543 6,7224 6,6778 6,4744 6,1360 5,7557 5,4589 5,3359 5,3985 5,5877 5,8126 6,0007 6,1166 6,1285 6,0016 5,7514 5,4857 5,3642 5,4923 5,8542 6,3401 6,8156 7,1738 7,3516 7,3164 7,0466 6,5282 5,7733 4,8484 3,8813 3,0304 2,4314 2,1451 2,1364 2,3010 2,5225 2,7186 2,8574 2,9470 3,0064 3,0312 2,9857 2,8353 2,5922 2,3224 2,1159 2,0592 2,2073 2,5593 3,0748 3,6868 4,2739 4,6730 4,7544 4,4676 3,8420 2,9886 2,0834 1,3125 0,8192 0,6744 0,8654 1,3118 1,9152 2,6008 3,3158 4,0176 4,6645 5,1981 5,5393 5,6204 5,4413 5,0865 4,6790 4,3260 4,1151 4,1081 4,2857 4,5258 4,6783 4,6492 4,4200 4,0354 3,5740 3,0879 2,5816 2,0733 1,6518 1,4450 1,5388 1,9186 2,4783 3,0772 3,5787 3,8690 3,9022 3,7264 3,4445 3,1435 2,8403 2,4738 1,9634 1,2847 0,4813 -0,3709 -1,1712 -1,7847 -2,0942 -2,0865 -1,8586 -1,5319 -1,1962 -0,9334 -0,8171 -0,8472 -0,9296 -0,9589 -0,8979 -0,7649 -0,5913 -0,4079 -0,2394 -0,1176 -0,1181 -0,3553 -0,9102 -1,7502 -2,7204 -3,6024 -4,1867 -4,3474 -4,1016 -3,5885 -2,9821 -2,4292 -2,0253 -1,7958 -1,7056 -1,6983 -1,7269 -1,7652 -1,8140 -1,8814 -1,9506 -1,9920 -2,0022 -2,0130 -2,0596 -2,1375 -2,1978 -2,1984 -2,1409 -2,0560 -1,9851 -1,9715 -2,0339 -2,1213 -2,1219 -1,9498 -1,6127 -1,2005 -0,8279 -0,5718 -0,4365 -0,3783 -0,3714 -0,4446 -0,6451 -0,9693 -1,3543 -1,7417 -2,1249 -2,5264 -2,9487 -3,3648 -3,7545 -4,1232 -4,4702 -4,7501 -4,8907 -4,8516 -4,6423 -4,2980 -3,8681 -3,4213 -3,0118 -2,6265 -2,2046 -1,7234 -1,2467 -0,9000 -0,7950 -0,9441 -1,2541 -1,6182 -1,9962 -2,3956 -2,7930 -3,1094 -3,2763 -3,3159 -3,3406 -3,4532 -3,6572 -3,8880 -4,0927 -4,2375 -4,2744 -4,1603 -3,9116 -3,6209 -3,4291 -3,4792 -3,8448 -4,4745 -5,2278 -5,9625 -6,5667 -6,9513 -7,0606 -6,8833 -6,4558 -5,8695 -5,2538 -4,7175 -4,2938 -3,9373 -3,5813 -3,2170 -2,9192 -2,7973 -2,9365 -3,3677 -4,0474 -4,8569 -5,6280 -6,1859 -6,4106 -6,2847 -5,8958 -5,3962 -4,9364 -4,6078 -4,4370 -4,4131 -4,4879 -4,5785 -4,6158 -4,5891 -4,5443 -4,5425 -4,6088 -4,7220 -4,8459 -4,9439 -4,9666 -4,8714 -4,6890 -4,5386 -4,5402 -4,7132 -4,9610 -5,1300 -5,1002 -4,8722 -4,5738 -4,3523 -4,2683 -4,3004 -4,3996 -4,5156 -4,5963 -4,5860 -4,4400 -4,1597 -3,8048 -3,4497 -3,1217 -2,7790 -2,3509 -1,8122 -1,2198 -0,6735 -0,2601 -0,0416 -0,0358 -0,1549 -0,1990 0,0285 0,5926 1,4082 2,3121 3,1525 3,8424 4,3507 4,6679 4,8020 4,7972 4,7241 4,6434 4,5827 4,5500 4,5668 4,6761 4,9079 5,2694 5,7821 6,4826 7,3700 8,3635 9,2913 9,9262 10,0847 9,7264 8,9675 8,0083 7,0355 6,1472 5,3389 4,5561 3,7674 3,0068 2,3576 1,8947 1,6379 1,5565 1,6086 1,7566 1,9659 2,2185 2,5106 2,8303 3,1559 3,4578 3,6938 3,8279 3,8530 3,7751 3,5883 3,3019 2,9750 2,6834 2,4612 2,2906 2,1391 2,0057 1,9230 1,9109 1,9598 2,0693 2,2716 2,5894 2,9725 3,2967 3,4352 3,3291 3,0024 2,5364 2,0401 1,6215 1,3557 1,2704 1,3622 1,6100 1,9468 2,2415 2,3694 2,3011 2,1004 1,8739 1,7422 1,8040 2,0887
Fz    3,5125 2,9510 2,3302 1,7307 1,2148 0,8059 0,5038 0,3097 0,2255 0,2392 0,3176 0,4094 0,4577 0,4158 0,2632 0,0275 -0,2084 -0,3573 -0,3954 -0,3665 -0,3301 -0,3300 -0,3937 -0,5212 -0,6766 -0,8204 -0,9432 -1,0586 -1,1757 -1,2785 -1,3275 -1,2804 -1,1127 -0,8232 -0,4340 0,0055 0,4198 0,7250 0,8630 0,8254 0,6443 0,3613 0,0136 -0,3563 -0,6916 -0,9325 -1,0416 -1,0215 -0,9141 -0,7814 -0,6828 -0,6560 -0,7041 -0,7932 -0,8692 -0,8830 -0,8060 -0,6271 -0,3455 0,0264 0,4538 0,8781 1,2359 1,4921 1,6521 1,7502 1,8355 1,9449 2,0769 2,2049 2,3131 2,4078 2,5039 2,6167 2,7638 2,9585 3,1946 3,4409 3,6489 3,7673 3,7616 3,6334 3,4250 3,2062 3,0543 3,0267 3,1347 3,3468 3,6046 3,8339 3,9723 4,0034 3,9646 3,9210 3,9177 3,9479 3,9688 3,9543 3,9268 3,9372 4,0129 4,1317 4,2444 4,3089 4,2903 4,1412 3,8135 3,2926 2,6117 1,8367 1,0497 0,3274 -0,2775 -0,7289 -1,0006 -1,0985 -1,0818 -1,0397 -1,0439 -1,1237 -1,2728 -1,4714 -1,7048 -1,9623 -2,2312 -2,4975 -2,7338 -2,8886 -2,9054 -2,7470 -2,4050 -1,9043 -1,3064 -0,6918 -0,1281 0,3508 0,7470 1,0745 1,3308 1,5085 1,6282 1,7425 1,9142 2,1962 2,6219 3,2071 3,9483 4,8090 5,7255 6,6358 7,5014 8,3088 9,0554 9,7315 10,3192 10,8046 11,1858 11,4690 11,6593 11,7560 11,7562 11,6598 11,4756 11,2267 10,9517 10,6951 10,4873 10,3278 10,1903 10,0473 9,8942 9,7515 9,6536 9,6405 9,7348 9,9067 10,0782 10,1699 10,1474 10,0347 9,8968 9,7963 9,7573 9,7640 9,7857 9,8000 9,8022 9,7984 9,7883 9,7578 9,6855 9,5540 9,3647 9,1413 8,9113 8,6909 8,4955 8,3475 8,2569 8,2148 8,2183 8,2795 8,4038 8,5748 8,7631 8,9448 9,1144 9,2682 9,3829 9,4317 9,4152 9,3630 9,3104 9,2785 9,2678 9,2644 9,2544 9,2290 9,1781 9,0931 8,9693 8,8028 8,5957 8,3676 8,1548 7,9971 7,9237 7,9411 8,0254 8,1288 8,2020 8,2182 8,1819 8,1220 8,0710 8,0461 8,0442 8,0502 8,0508 8,0396 8,0075 7,9457 7,8673 7,8239 7,8859 8,0912 8,4111 8,7621 9,0431 9,1736 9,1127 8,8547 8,4165 7,8348 7,1700 6,5057 5,9373 5,5502 5,3906 5,4480 5,6618 5,9447 6,2133 6,4134 6,5311 6,5914 6,6391 6,7063 6,7915 6,8737 6,9379 6,9835 7,0195 7,0621 7,1258 7,2149 7,3307 7,4712 7,6084 7,6848 7,6457 7,4650 7,1528 6,7585 6,3575 6,0258 5,8212 5,7736 5,8751 6,0847 6,3521 6,6313 6,8773 7,0570 7,1686 7,2363 7,2823 7,3135 7,3295 7,3320 7,3191 7,2870 7,2517 7,2560 7,3319 7,4602 7,5799 7,6240 7,5418 7,3113 6,9412 6,4562 5,8900 5,3037 4,7916 4,4505 4,3403 4,4600 4,7460 5,0990 5,4196 5,6354 5,7228 5,7054 5,6267 5,5212 5,3968 5,2277 4,9726 4,6084 4,1428 3,6042 3,0424 2,5379 2,1736 1,9870 1,9592 2,0467 2,2008 2,3671 2,5011 2,5962 2,6829 2,7961 2,9486 3,1318 3,3245 3,4991 3,6286 3,6841 3,6254 3,4058 3,0063 2,4725 1,9120 1,4497 1,1834 1,1546 1,3306 1,6211 1,9254 2,1653 2,3028 2,3495 2,3530 2,3609 2,3923 2,4334 2,4516 2,4240 2,3580 2,2753 2,1861 2,0897 2,0001 1,9577 2,0068 2,1538 2,3557 2,5430 2,6483 2,6262 2,4773 2,2658 2,0946 2,0391 2,1057 2,2379 2,3514 2,3806 2,3080 2,1569 1,9666 1,7710 1,5925 1,4512 1,3692 1,3575 1,4016 1,4642 1,5023 1,4834 1,3903 1,2280 1,0318 0,8627 0,7740 0,7753 0,8295 0,8851 0,9051 0,8747 0,8068 0,7465 0,7515 0,8503 1,0183 1,1872 1,2865 1,2978 1,2661 1,2460 1,2474 1,2406 1,2068 1,1672 1,1624 1,2084 1,2742 1,3072 1,2773 1,1854 1,0471 0,8956 0,7902 0,7941 0,9356 1,1908 1,4876 1,7230 1,8043 1,6977 1,4373 1,0993 0,7749 0,5440 0,4494 0,4896 0,6324 0,8294 1,0300 1,1999 1,3363 1,4651 1,6182 1,8088 2,0236 2,2334 2,4010 2,4869 2,4664 2,3466 2,1707 2,0084 1,9255 1,9467 2,0409 2,1391 2,1719 2,1019 1,9296 1,6768 1,3787 1,0827 0,8331 0,6491 0,5186 0,4091 0,2802 0,0905 -0,1893 -0,5533 -0,9485 -1,3010 -1,5681 -1,7625 -1,9202 -2,0524 -2,1341 -2,1317 -2,0405 -1,9050 -1,7993 -1,7733 -1,8223 -1,9030 -1,9648 -1,9648 -1,8717 -1,6649 -1,3404 -0,9244 -0,4702 -0,0273 0,3910 0,8146 1,2920 1,8456 2,4430 3,0154 3,4973 3,8447 4,0436 4,1322 4,2022 4,3539 4,6433 5,0631 5,5619 6,0814 6,5849 7,0536 7,4724 7,8319 8,1396 8,4177 8,6817 8,9195 9,0951 9,1825 9,1928 9,1654 9,1472 9,1901 9,3374 9,5947 9,9172 10,2145 10,3691 10,2830 9,9254 9,3420 8,6236 7,8695 7,1584 6,5373 6,0260 5,6264 5,3307 5,1253 4,9911 4,9047 4,8457 4,8037 4,7752 4,7548 4,7376 4,7165 4,6747 4,5910 4,4506 4,2463 3,9820 3,6820 3,3829 3,1132 2,8901 2,7285 2,6322 2,5849 2,5629 2,5591 2,5945 2,6964 2,8573 3,0277 3,1573 3,2314 3,2614 3,2494 3,1736 3,0063 2,7385 2,3855 1,9807 1,5699 1,2050 0,9280 0,7564 0,6891 0,7218 0,8373 0,9914 1,1334 1,2396 1,3151 1,3774 1,4489 1,5483 1,6769
F3    4,1102 3,5937 2,9864 2,3735 1,8139 1,3167 0,8713 0,4917 0,2209 0,0970 0,1213 0,2454 0,3851 0,4540 0,3979 0,2292 0,0347 -0,0880 -0,1111 -0,0798 -0,0506 -0,0562 -0,1121 -0,2099 -0,3119 -0,3893 -0,4602 -0,5723 -0,7544 -0,9829 -1,1863 -1,2860 -1,2371 -1,0335 -0,6979 -0,2871 0,1042 0,3708 0,4464 0,3330 0,0801 -0,2590 -0,6461 -1,0449 -1,4020 -1,6516 -1,7448 -1,6777 -1,4922 -1,2522 -1,0181 -0,8357 -0,7320 -0,7104 -0,7450 -0,7902 -0,7982 -0,7251 -0,5297 -0,1927 0,2544 0,7279 1,1306 1,4080 1,5667 1,6527 1,7265 1,8291 1,9566 2,0807 2,1848 2,2698 2,3433 2,4210 2,5322 2,7040 2,9297 3,1601 3,3296 3,3841 3,2904 3,0473 2,6962 2,3173 2,0117 1,8611 1,8879 2,0571 2,2992 2,5274 2,6748 2,7356 2,7615 2,8194 2,9361 3,0717 3,1513 3,1322 3,0438 2,9596 2,9322 2,9641 3,0373 3,1400 3,2439 3,2702 3,1142 2,7162 2,1023 1,3697 0,6450 0,0316 -0,4210 -0,6987 -0,8003 -0,7590 -0,6679 -0,6458 -0,7670 -1,0263 -1,3596 -1,6901 -1,9703 -2,1885 -2,3539 -2,4817 -2,5695 -2,5861 -2,4929 -2,2627 -1,8835 -1,3708 -0,7823 -0,2026 0,2950 0,6758 0,9485 1,1408 1,2628 1,3119 1,3090 1,3095 1,3866 1,6041 1,9964 2,5703 3,3118 4,1795 5,1119 6,0535 6,9704 7,8509 8,6875 9,4492 10,0849 10,5603 10,8784 11,0665 11,1540 11,1578 11,0794 10,9126 10,6599 10,3452 10,0165 9,7318 9,5262 9,3897 9,2828 9,1738 9,0628 8,9724 8,9305 8,9660 9,0918 9,2687 9,4089 9,4329 9,3234 9,1345 8,9535 8,8445 8,8132 8,8191 8,8188 8,7954 8,7618 8,7395 8,7313 8,7122 8,6462 8,5122 8,3242 8,1271 7,9671 7,8665 7,8276 7,8380 7,8635 7,8646 7,8400 7,8279 7,8621 7,9474 8,0695 8,2124 8,3684 8,5245 8,6467 8,6976 8,6661 8,5700 8,4420 8,3108 8,1877 8,0705 7,9598 7,8576 7,7577 7,6521 7,5338 7,3895 7,2073 6,9972 6,7951 6,6486 6,5932 6,6309 6,7274 6,8315 6,9020 6,9249 6,9159 6,9084 6,9303 6,9884 7,0681 7,1439 7,1950 7,2048 7,1460 6,9933 6,7695 6,5696 6,5186 6,6864 7,0388 7,4648 7,8403 8,0760 8,1276 7,9778 7,6246 7,0872 6,4156 5,6960 5,0400 4,5558 4,3136 4,3232 4,5325 4,8473 5,1685 5,4241 5,5827 5,6564 5,6866 5,7089 5,7278 5,7279 5,7033 5,6681 5,6485 5,6758 5,7725 5,9400 6,1699 6,4485 6,7306 6,9379 6,9984 6,8758 6,5747 6,1445 5,6704 5,2478 4,9590 4,8540 4,9349 5,1632 5,4915 5,8812 6,2898 6,6712 6,9934 7,2364 7,3753 7,3877 7,2819 7,1046 6,9090 6,7261 6,5800 6,5042 6,5123 6,5669 6,6007 6,5591 6,4178 6,1832 5,8799 5,5215 5,1091 4,6735 4,2972 4,0775 4,0734 4,2741 4,6052 4,9654 5,2603 5,4229 5,4370 5,3394 5,1881 5,0258 4,8578 4,6488 4,3523 3,9513 3,4638 2,9241 2,3878 1,9456 1,6870 1,6367 1,7468 1,9487 2,1875 2,4159 2,5957 2,7225 2,8294 2,9507 3,0929 3,2392 3,3643 3,4431 3,4618 3,4135 3,2717 2,9858 2,5224 1,9176 1,2806 0,7457 0,4211 0,3550 0,5223 0,8408 1,2087 1,5354 1,7657 1,8963 1,9643 2,0121 2,0601 2,0996 2,1037 2,0537 1,9641 1,8672 1,7777 1,6909 1,6131 1,5837 1,6520 1,8313 2,0850 2,3466 2,5396 2,6000 2,5113 2,3334 2,1772 2,1283 2,1973 2,3295 2,4444 2,4839 2,4425 2,3514 2,2412 2,1166 1,9656 1,7915 1,6227 1,4881 1,3929 1,3180 1,2359 1,1258 0,9747 0,7821 0,5763 0,4182 0,3719 0,4603 0,6524 0,8887 1,1092 1,2686 1,3581 1,4210 1,5249 1,7007 1,9079 2,0533 2,0530 1,9043 1,6908 1,5061 1,3780 1,2724 1,1614 1,0685 1,0440 1,1084 1,2244 1,3291 1,3874 1,3970 1,3606 1,2885 1,2238 1,2293 1,3411 1,5389 1,7500 1,8716 1,8178 1,5701 1,1816 0,7403 0,3393 0,0578 -0,0606 -0,0142 0,1680 0,4315 0,7041 0,9242 1,0730 1,1776 1,2830 1,4129 1,5531 1,6679 1,7173 1,6678 1,5090 1,2710 1,0224 0,8501 0,8219 0,9533 1,1967 1,4573 1,6392 1,6928 1,6185 1,4405 1,1972 0,9411 0,7209 0,5571 0,4368 0,3279 0,1975 0,0184 -0,2261 -0,5220 -0,8123 -1,0284 -1,1488 -1,2180 -1,2971 -1,4028 -1,4955 -1,5152 -1,4316 -1,2752 -1,1239 -1,0452 -1,0550 -1,1277 -1,2249 -1,3064 -1,3281 -1,2426 -1,0204 -0,6758 -0,2639 0,1596 0,5759 1,0097 1,5028 2,0682 2,6630 3,2120 3,6508 3,9373 4,0549 4,0409 3,9959 4,0368 4,2337 4,5857 5,0420 5,5446 6,0580 6,5607 7,0263 7,4319 7,7803 8,0984 8,4036 8,6764 8,8709 8,9602 8,9712 8,9680 9,0176 9,1778 9,4830 9,9187 10,4128 10,8443 11,0702 10,9854 10,5768 9,9181 9,1245 8,3072 7,5463 6,8832 6,3299 5,8840 5,5421 5,3006 5,1483 5,0649 5,0292 5,0319 5,0697 5,1313 5,2000 5,2593 5,2882 5,2619 5,1600 4,9727 4,7110 4,4109 4,1120 3,8297 3,5669 3,3392 3,1687 3,0613 3,0043 2,9872 3,0217 3,1260 3,2845 3,4445 3,5618 3,6353 3,6872 3,7142 3,6722 3,5106 3,2162 2,8209 2,3771 1,9340 1,5319 1,2044 0,9789 0,8786 0,9205 1,0939 1,3411 1,5849 1,7768 1,9057 1,9859 2,0535 2,1537 2,3070
F7    3,6970 3,2568 2,6743 2,0324 1,4107 0,8699 0,4676 0,2518 0,2284 0,3521 0,5457 0,7166 0,7798 0,6904 0,4574 0,1478 -0,1239 -0,2578 -0,2417 -0,1496 -0,0707 -0,0602 -0,1343 -0,2657 -0,3955 -0,4817 -0,5263 -0,5534 -0,5820 -0,6099 -0,6136 -0,5680 -0,4639 -0,3028 -0,0913 0,1435 0,3411 0,4228 0,3322 0,0704 -0,3058 -0,7258 -1,1388 -1,5032 -1,7658 -1,8760 -1,8216 -1,6432 -1,4138 -1,2024 -1,0595 -1,0247 -1,1207 -1,3330 -1,6061 -1,8630 -2,0329 -2,0679 -1,9466 -1,6809 -1,3192 -0,9329 -0,5869 -0,3089 -0,0916 0,0861 0,2502 0,4081 0,5230 0,5382 0,4354 0,2579 0,0839 -0,0142 -0,0004 0,1123 0,2734 0,4221 0,5103 0,5082 0,3967 0,1617 -0,1931 -0,6207 -1,0257 -1,3056 -1,4017 -1,3096 -1,0695 -0,7558 -0,4396 -0,1511 0,1164 0,3758 0,6174 0,8043 0,8967 0,8834 0,7982 0,7047 0,6575 0,6727 0,7342 0,8144 0,8719 0,8447 0,6686 0,3090 -0,2253 -0,8862 -1,5994 -2,2875 -2,8893 -3,3523 -3,6269 -3,7022 -3,6465 -3,5883 -3,6432 -3,8567 -4,2007 -4,6096 -5,0197 -5,3829 -5,6709 -5,8900 -6,0598 -6,1710 -6,1888 -6,0873 -5,8666 -5,5580 -5,2193 -4,9104 -4,6707 -4,5131 -4,4204 -4,3566 -4,2968 -4,2226 -4,0929 -3,8560 -3,4883 -3,0036 -2,4260 -1,7624 -1,0096 -0,1886 0,6513 1,4638 2,2283 2,9491 3,6367 4,2868 4,8816 5,4056 5,8489 6,1920 6,3964 6,4147 6,2151 5,8103 5,2647 4,6742 4,1389 3,7378 3,5017 3,4012 3,3720 3,3578 3,3442 3,3555 3,4203 3,5446 3,7030 3,8335 3,8627 3,7618 3,5736 3,3865 3,2740 3,2489 3,2726 3,3020 3,3215 3,3423 3,3886 3,4755 3,5876 3,6792 3,6922 3,5794 3,3347 2,9939 2,6017 2,1957 1,8238 1,5449 1,3958 1,3781 1,4823 1,7040 2,0318 2,4372 2,8820 3,3295 3,7483 4,0960 4,3077 4,3332 4,1834 3,9234 3,6231 3,3177 3,0123 2,7185 2,4739 2,3143 2,2382 2,2177 2,2250 2,2367 2,2332 2,2051 2,1512 2,0755 1,9929 1,9219 1,8632 1,7944 1,6912 1,5489 1,3939 1,2809 1,2614 1,3493 1,5189 1,7283 1,9498 2,1643 2,3269 2,3763 2,2955 2,1526 2,0737 2,1656 2,4518 2,8677 3,2996 3,6390 3,8175 3,7989 3,5516 3,0539 2,3341 1,4947 0,6826 0,0351 -0,3590 -0,4735 -0,3436 -0,0460 0,3356 0,7346 1,1084 1,4384 1,7198 1,9409 2,0750 2,0983 2,0208 1,8985 1,8118 1,8297 1,9803 2,2489 2,6017 2,9897 3,3275 3,5082 3,4621 3,1818 2,7067 2,1162 1,5212 1,0357 0,7479 0,7012 0,8832 1,2384 1,6991 2,2017 2,6832 3,0851 3,3679 3,5199 3,5517 3,4803 3,3264 3,1170 2,8721 2,5975 2,3150 2,0858 1,9750 1,9929 2,0895 2,1857 2,2051 2,1059 1,8860 1,5501 1,1040 0,5985 0,1486 -0,1107 -0,0895 0,2139 0,7143 1,2796 1,7718 2,0814 2,1702 2,0860 1,9209 1,7560 1,6265 1,5118 1,3570 1,1184 0,7851 0,3693 -0,0883 -0,5043 -0,7789 -0,8599 -0,7746 -0,6059 -0,4536 -0,4062 -0,5017 -0,6942 -0,8809 -0,9696 -0,9210 -0,7469 -0,4860 -0,1777 0,1454 0,4310 0,5856 0,5020 0,1294 -0,4740 -1,1593 -1,7479 -2,0906 -2,1224 -1,8954 -1,5361 -1,1609 -0,8469 -0,6463 -0,5828 -0,6477 -0,8134 -1,0383 -1,2730 -1,4814 -1,6454 -1,7536 -1,8033 -1,8036 -1,7655 -1,6998 -1,6110 -1,4870 -1,3094 -1,0771 -0,8199 -0,5976 -0,4739 -0,4727 -0,5488 -0,6044 -0,5567 -0,3945 -0,1800 -0,0023 0,0854 0,0934 0,0641 0,0245 -0,0315 -0,1240 -0,2584 -0,4214 -0,6032 -0,8135 -1,0664 -1,3503 -1,6234 -1,8426 -1,9889 -2,0604 -2,0547 -1,9787 -1,8694 -1,7738 -1,7036 -1,6287 -1,5145 -1,3474 -1,1179 -0,8138 -0,4538 -0,1098 0,1135 0,1297 -0,0746 -0,4336 -0,8636 -1,3159 -1,7656 -2,1694 -2,4675 -2,6272 -2,6709 -2,6672 -2,6856 -2,7557 -2,8729 -3,0236 -3,1801 -3,2916 -3,3082 -3,2158 -3,0456 -2,8686 -2,7851 -2,8835 -3,1772 -3,5906 -4,0009 -4,2840 -4,3512 -4,1836 -3,8393 -3,4232 -3,0379 -2,7426 -2,5457 -2,4217 -2,3266 -2,2135 -2,0623 -1,8989 -1,7764 -1,7508 -1,8708 -2,1600 -2,5960 -3,1047 -3,5694 -3,8688 -3,9313 -3,7630 -3,4317 -3,0271 -2,6354 -2,3371 -2,1969 -2,2265 -2,3730 -2,5576 -2,7123 -2,7934 -2,7892 -2,7207 -2,6431 -2,6389 -2,7714 -3,0287 -3,3391 -3,6508 -3,9771 -4,3514 -4,7582 -5,1182 -5,3321 -5,3450 -5,1970 -5,0134 -4,9242 -4,9876 -5,1782 -5,4150 -5,5990 -5,6522 -5,5376 -5,2582 -4,8477 -4,3582 -3,8430 -3,3362 -2,8390 -2,3305 -1,8089 -1,3190 -0,9333 -0,7144 -0,6934 -0,8481 -1,0823 -1,2465 -1,2065 -0,9046 -0,3708 0,3060 1,0181 1,6785 2,2406 2,6901 3,0337 3,3011 3,5409 3,7906 4,0499 4,2920 4,5061 4,7137 4,9365 5,1745 5,4306 5,7183 6,0391 6,3696 6,6528 6,7997 6,7303 6,4279 5,9505 5,4045 4,8994 4,5022 4,2135 3,9786 3,7291 3,4327 3,1119 2,8139 2,5649 2,3601 2,1782 1,9921 1,7836 1,5676 1,3871 1,2845 1,2863 1,3883 1,5358 1,6391 1,6305 1,4982 1,2676 0,9793 0,6853 0,4368 0,2668 0,1875 0,1962 0,2880 0,4564 0,6775 0,9129 1,1394 1,3644 1,5944 1,7949 1,8940 1,8265 1,5716 1,1537 0,6255 0,0577 -0,4696 -0,8908 -1,1753 -1,3129 -1,2907 -1,1141 -0,8414 -0,5677 -0,3699 -0,2768 -0,2722 -0,3127 -0,3545 -0,3733
