Fp1   1,1203 0,9294 0,5800 0,1443 -0,3118 -0,7357 -1,0650 -1,2167 -1,1152 -0,7423 -0,1656 0,4873 1,0833 1,5418 1,8523 2,0611 2,2267 2,3728 2,4653 2,4402 2,2603 1,9520 1,5987 1,2846 1,0439 0,8485 0,6319 0,3291 -0,0787 -0,5357 -0,9314 -1,1597 -1,1883 -1,0816 -0,9608 -0,9322 -1,0319 -1,2259 -1,4533 -1,6601 -1,8040 -1,8524 -1,7801 -1,5768 -1,2749 -0,9574 -0,7180 -0,5963 -0,5576 -0,5445 -0,5388 -0,5669 -0,6601 -0,8227 -1,0271 -1,2240 -1,3547 -1,3701 -1,2558 -1,0400 -0,7715 -0,4989 -0,2643 -0,1072 -0,0852 -0,2744 -0,7181 -1,3622 -2,0554 -2,6292 -2,9765 -3,0761 -2,9730 -2,7477 -2,4812 -2,2243 -1,9956 -1,7973 -1,6115 -1,3845 -1,0458 -0,5553 0,0583 0,6935 1,2166 1,5248 1,5844 1,4296 1,1289 0,7631 0,4225 0,2022 0,1760 0,3396 0,5842 0,7451 0,7120 0,4975 0,2057 -0,0579 -0,2592 -0,4478 -0,7243 -1,1768 -1,8158 -2,5587 -3,2767 -3,8615 -4,2772 -4,5734 -4,8343 -5,1069 -5,3653 -5,5307 -5,5189 -5,3059 -4,9573 -4,5861 -4,2776 -4,0571 -3,8922 -3,7129 -3,4575 -3,1193 -2,7544 -2,4398 -2,2130 -2,0401 -1,8393 -1,5303 -1,0629 -0,4368 0,2763 0,9396 1,4097 1,6271 1,6640 1,6711 1,7764 2,0183 2,3526 2,7034 3,0084 3,2288 3,3399 3,3234 3,1727 2,9120 2,5997 2,3204 2,1628 2,1951 2,4349 2,8394 3,3420 3,8905 4,4420 4,9399 5,3212 5,5442 5,6167 5,5896 5,5268 5,4757 5,4493 5,4248 5,3585 5,2163 4,9880 4,6896 4,3658 4,0750 3,8596 3,7399 3,7182 3,7724 3,8550 3,9245 3,9790 4,0382 4,1162 4,2176 4,3591 4,5682 4,8425 5,1129 5,2719 5,2369 4,9973 4,6211 4,2095 3,8471 3,5755 3,3913 3,2580 3,1375 3,0209 2,9496 2,9974 3,2097 3,5583 3,9540 4,2910 4,4876 4,5132 4,3899 4,1679 3,8975 3,6174 3,3514 3,1153 2,9264 2,8002 2,7232 2,6382 2,4853 2,2552 2,0118 1,8576 1,8777 2,1000 2,4939 2,9867 3,4839 3,9020 4,1974 4,3622 4,3928 4,2783 4,0201 3,6519 3,2419 2,8747 2,6318 2,5691 2,6927 2,9628 3,3171 3,6952 4,0594 4,3904 4,6753 4,9057 5,0597 5,0832 4,9113 4,5295 3,9972 3,4211 2,9014 2,4949 2,2111 2,0540 2,0487 2,2227 2,5720 3,0598 3,6310 4,2211 4,7618 5,1910 5,4546 5,5125 5,3599 5,0375 4,6099 4,1373 3,6770 3,3039 3,1071 3,1566 3,4594 3,9415 4,4692 4,9008 5,1342 5,1441 4,9973 4,8047 4,6398 4,5242 4,4708 4,5124 4,6796 4,9638 5,2963 5,5619 5,6401 5,4670 5,0710 4,5614 4,0919 3,8129 3,8080 4,0468 4,4006 4,7170 4,8884 4,8709 4,6694 4,3259 3,9115 3,5130 3,2078 3,0373 2,9998 3,0685 3,2216 3,4607 3,8127 4,3067 4,9359 5,6362 6,2891 6,7627 6,9717 6,9087 6,6218 6,1776 5,6508 5,1307 4,7108 4,4426 4,3073 4,2305 4,1300 3,9639 3,7490 3,5435 3,4104 3,3727 3,3934 3,3921 3,2924 3,0712 2,7883 2,5673 2,5253 2,6990 3,0465 3,5115 4,0618 4,6711 5,2962 5,8797 6,3629 6,7028 6,8811 6,9013 6,7893 6,5912 6,3595 6,1380 5,9504 5,8029 5,6803 5,5477 5,3583 5,0838 4,7437 4,3998 4,1195 3,9475 3,8965 3,9379 4,0057 4,0349 4,0008 3,9236 3,8455 3,8183 3,8782 4,0113 4,1365 4,1409 3,9547 3,6139 3,2478 3,0075 2,9977 3,2496 3,7259 4,3437 5,0080 5,6274 6,1231 6,4334 6,5197 6,3707 6,0175 5,5584 5,1324 4,8415 4,6988 4,6606 4,6924 4,7938 4,9775 5,2365 5,5354 5,8093 5,9821 6,0056 5,8748 5,6062 5,2254 4,7781 4,3253 3,9178 3,5776 3,2974 3,0659 2,8858 2,7633 2,7001 2,7050 2,8044 3,0321 3,3923 3,8406 4,3136 4,7589 5,1284 5,3738 5,4749 5,4559 5,3618 5,2370 5,1239 5,0544 5,0351 5,0514 5,0912 5,1419 5,1826 5,1943 5,1703 5,1134 5,0341 4,9591 4,9249 4,9478 4,9860 4,9575 4,8190 4,6191 4,4686 4,4545 4,5853 4,7974 5,0112 5,1871 5,3410 5,5053 5,6763 5,8015 5,8177 5,6814 5,3816 4,9480 4,4573 4,0062 3,6780 3,5237 3,5430 3,6849 3,8786 4,0623 4,1895 4,2307 4,1744 4,0239 3,7817 3,4394 2,9782 2,3810 1,6654 0,9110 0,2358 -0,2710 -0,5880 -0,7408 -0,7586 -0,6561 -0,4510 -0,1658 0,1935 0,6393 1,1754 1,7720 2,3653 2,8817 3,2732 3,5393 3,7184 3,8473 3,9332 3,9521 3,8632 3,6308 3,2524 2,7639 2,2282 1,7207 1,3059 1,0178 0,8602 0,8153 0,8490 0,9153 0,9677 0,9712 0,9196 0,8512 0,8251 0,8743 0,9901 1,1603 1,4070 1,7881 2,3478 3,0559 3,8055 4,4719 4,9596 5,2143 5,2267 5,0279 4,6783 4,2658 3,9014 3,6855 3,6695 3,8404 4,1394 4,5003 4,8680 5,1891 5,4233 5,5704 5,6715 5,7670 5,8595 5,8995 5,8231 5,5978 5,2483 4,8357 4,4306 4,0940 3,8728 3,7855 3,8084 3,8855 3,9778 4,0908 4,2488 4,4449 4,6394 4,7944 4,8842 4,8958 4,8472 4,7955 4,8038 4,8921 5,0236 5,1380 5,1928 5,1708 5,0658 4,8844 4,6679 4,4901 4,4143 4,4561 4,5727 4,6878 4,7251 4,6266 4,3559 3,9146 3,3624 2,8071 2,3598 2,0818 1,9716 1,9882 2,0863 2,2233 2,3474 2,4080 2,3935 2,3537 2,3716 2,5036 2,7463 3,0478 3,3509 3,6177
Fz    0,9447 0,9253 0,8710 0,8079 0,7516 0,7053 0,6692 0,6470 0,6478 0,6782 0,7310 0,7870 0,8161 0,7973 0,7332 0,6587 0,6223 0,6629 0,7925 0,9955 1,2322 1,4464 1,5831 1,5997 1,4712 1,1916 0,7782 0,2717 -0,2590 -0,7174 -1,0147 -1,1116 -1,0345 -0,8591 -0,6813 -0,5854 -0,6148 -0,7646 -0,9936 -1,2437 -1,4588 -1,6025 -1,6674 -1,6659 -1,6206 -1,5551 -1,4858 -1,4103 -1,3084 -1,1642 -0,9953 -0,8497 -0,7659 -0,7355 -0,7065 -0,6257 -0,4763 -0,2819 -0,0817 0,0925 0,2271 0,3231 0,3882 0,4262 0,4247 0,3653 0,2422 0,0706 -0,1148 -0,2727 -0,3630 -0,3575 -0,2584 -0,1121 0,0117 0,0690 0,0704 0,0683 0,1219 0,2749 0,5474 0,9266 1,3615 1,7768 2,1077 2,3245 2,4331 2,4685 2,4767 2,5011 2,5759 2,7141 2,9035 3,1036 3,2612 3,3228 3,2562 3,0662 2,7914 2,4813 2,1702 1,8642 1,5433 1,1774 0,7474 0,2631 -0,2372 -0,7058 -1,1046 -1,4223 -1,6807 -1,9179 -2,1525 -2,3721 -2,5500 -2,6762 -2,7662 -2,8422 -2,8946 -2,8741 -2,7185 -2,3935 -1,9162 -1,3502 -0,7882 -0,3186 0,0092 0,1950 0,2810 0,3286 0,3981 0,5375 0,7779 1,1285 1,5752 2,0921 2,6540 3,2317 3,7974 4,3352 4,8450 5,3251 5,7681 6,1671 6,5160 6,8093 7,0497 7,2611 7,4771 7,7273 8,0233 8,3616 8,7308 9,1093 9,4689 9,7799 10,0099 10,1290 10,1281 10,0273 9,8757 9,7283 9,6252 9,5801 9,5804 9,5958 9,5926 9,5513 9,4728 9,3691 9,2568 9,1581 9,0939 9,0691 9,0569 9,0028 8,8437 8,5356 8,0802 7,5234 6,9362 6,3832 5,9152 5,5663 5,3421 5,2125 5,1337 5,0684 4,9845 4,8600 4,6927 4,5052 4,3315 4,1961 4,0974 4,0201 3,9547 3,9088 3,9000 3,9343 3,9942 4,0457 4,0553 4,0031 3,8917 3,7479 3,6060 3,4890 3,4021 3,3354 3,2717 3,1958 3,1074 3,0170 2,9231 2,8100 2,6620 2,4845 2,3114 2,2040 2,2302 2,4347 2,8136 3,3071 3,8210 4,2658 4,5869 4,7665 4,8117 4,7466 4,5988 4,3931 4,1461 3,8701 3,5849 3,3183 3,1031 2,9687 2,9314 2,9907 3,1217 3,2839 3,4383 3,5534 3,6079 3,5896 3,5044 3,3727 3,2240 3,0820 2,9540 2,8203 2,6517 2,4296 2,1575 1,8564 1,5604 1,3106 1,1460 1,0853 1,1137 1,1891 1,2688 1,3404 1,4214 1,5308 1,6683 1,8177 1,9649 2,1114 2,2741 2,4655 2,6773 2,8757 3,0208 3,0976 3,1300 3,1665 3,2461 3,3749 3,5368 3,7074 3,8634 3,9876 4,0709 4,1077 4,0939 4,0283 3,9246 3,8167 3,7478 3,7529 3,8462 4,0110 4,2043 4,3733 4,4762 4,4960 4,4473 4,3778 4,3508 4,4074 4,5465 4,7366 4,9351 5,0966 5,1753 5,1407 4,9965 4,7807 4,5486 4,3541 4,2327 4,1811 4,1625 4,1294 4,0453 3,8953 3,6859 3,4472 3,2318 3,1057 3,1094 3,2286 3,4011 3,5543 3,6410 3,6546 3,6189 3,5726 3,5445 3,5407 3,5534 3,5768 3,5992 3,5998 3,5668 3,5135 3,4648 3,4423 3,4600 3,5263 3,6397 3,7925 3,9802 4,1970 4,4263 4,6404 4,8064 4,8959 4,8977 4,8316 4,7456 4,6831 4,6587 4,6523 4,6374 4,6095 4,5991 4,6479 4,7782 4,9825 5,2298 5,4702 5,6344 5,6522 5,4948 5,1955 4,8322 4,4844 4,2089 4,0237 3,9114 3,8286 3,7299 3,5895 3,4161 3,2451 3,1220 3,0802 3,1336 3,2844 3,5355 3,8887 4,3195 4,7706 5,1732 5,4858 5,7088 5,8591 5,9493 5,9806 5,9529 5,8665 5,7243 5,5388 5,3320 5,1295 4,9451 4,7831 4,6471 4,5546 4,5415 4,6411 4,8500 5,1206 5,3939 5,6309 5,8170 5,9555 6,0566 6,1336 6,2008 6,2624 6,3024 6,2908 6,2093 6,0718 5,9160 5,7829 5,7059 5,6987 5,7480 5,8235 5,8979 5,9514 5,9646 5,9255 5,8371 5,7096 5,5507 5,3637 5,1588 4,9488 4,7405 4,5344 4,3358 4,1639 4,0495 4,0262 4,1052 4,2571 4,4177 4,5211 4,5393 4,4972 4,4549 4,4582 4,5109 4,5869 4,6609 4,7251 4,7912 4,8750 4,9771 5,0717 5,1188 5,0879 4,9829 4,8387 4,6982 4,5856 4,4924 4,3926 4,2670 4,1183 3,9645 3,8236 3,7036 3,6029 3,5077 3,3974 3,2488 3,0397 2,7540 2,3926 1,9792 1,5538 1,1636 0,8556 0,6635 0,5933 0,6182 0,6971 0,7984 0,9187 1,0756 1,2812 1,5288 1,7984 2,0677 2,3182 2,5347 2,7008 2,7994 2,8096 2,7149 2,5188 2,2545 1,9718 1,7204 1,5397 1,4517 1,4571 1,5334 1,6491 1,7803 1,9130 2,0379 2,1480 2,2423 2,3343 2,4569 2,6539 2,9500 3,3326 3,7509 4,1424 4,4598 4,6869 4,8346 4,9259 4,9815 5,0095 5,0006 4,9332 4,7972 4,6093 4,4022 4,2037 4,0376 3,9285 3,8988 3,9567 4,0857 4,2439 4,3847 4,4836 4,5500 4,6078 4,6729 4,7367 4,7728 4,7472 4,6415 4,4522 4,1890 3,8687 3,5189 3,1789 2,8956 2,7049 2,6180 2,6060 2,6173 2,6088 2,5682 2,5009 2,4079 2,2803 2,1047 1,8760 1,6027 1,3039 0,9998 0,6973 0,3878 0,0649 -0,2610 -0,5668 -0,8275 -1,0252 -1,1528 -1,2152 -1,2344 -1,2461 -1,2879 -1,3730 -1,4822 -1,5749 -1,6186 -1,6122 -1,5866 -1,5859 -1,6405 -1,7552 -1,8994 -2,0165 -2,0404 -1,9237 -1,6636 -1,3091 -0,9409 -0,6358 -0,4414 -0,3717 -0,4106 -0,5363 -0,7260 -0,9480
F3    -0,2603 -0,4255 -0,5303 -0,5032 -0,3405 -0,0908 0,1862 0,4442 0,6589 0,8293 0,9680 1,0892 1,1881 1,2470 1,2507 1,2038 1,1189 1,0059 0,8678 0,7064 0,5275 0,3387 0,1420 -0,0805 -0,3563 -0,6797 -0,9818 -1,1637 -1,1569 -0,9475 -0,5709 -0,0879 0,4333 0,9173 1,2733 1,4098 1,2741 0,8802 0,3111 -0,3113 -0,8748 -1,3136 -1,6034 -1,7350 -1,7083 -1,5411 -1,2701 -0,9365 -0,5752 -0,2264 0,0484 0,1889 0,1863 0,1015 0,0329 0,0596 0,2009 0,4119 0,6227 0,7788 0,8534 0,8389 0,7441 0,5876 0,3885 0,1725 -0,0278 -0,1861 -0,2907 -0,3457 -0,3552 -0,3003 -0,1397 0,1437 0,4955 0,8049 0,9669 0,9372 0,7462 0,4860 0,2747 0,1983 0,2708 0,4433 0,6514 0,8510 1,0321 1,2223 1,4597 1,7570 2,0816 2,3688 2,5662 2,6578 2,6511 2,5365 2,2882 1,8991 1,4052 0,8753 0,3857 -0,0074 -0,2895 -0,4824 -0,6181 -0,7170 -0,7849 -0,8266 -0,8545 -0,8866 -0,9334 -0,9950 -1,0686 -1,1691 -1,3253 -1,5574 -1,8569 -2,1817 -2,4587 -2,6057 -2,5588 -2,2940 -1,8393 -1,2692 -0,6898 -0,2092 0,0977 0,2078 0,1516 -0,0152 -0,2355 -0,4508 -0,5907 -0,5800 -0,3635 0,0719 0,6919 1,4211 2,1678 2,8471 3,4036 3,8143 4,0904 4,2715 4,4125 4,5782 4,8387 5,2535 5,8373 6,5475 7,2840 7,9215 8,3561 8,5333 8,4628 8,2089 7,8487 7,4368 7,0144 6,6198 6,2909 6,0584 5,9472 5,9750 6,1411 6,4205 6,7663 7,1256 7,4541 7,7272 7,9522 8,1594 8,3649 8,5395 8,6090 8,4960 8,1636 7,6314 6,9619 6,2256 5,4833 4,7822 4,1719 3,7046 3,4127 3,2809 3,2555 3,2789 3,3090 3,3274 3,3406 3,3769 3,4678 3,6280 3,8391 4,0524 4,2040 4,2422 4,1570 3,9853 3,7898 3,6201 3,4820 3,3421 3,1691 2,9664 2,7607 2,5707 2,3971 2,2358 2,0909 1,9693 1,8779 1,8188 1,7797 1,7484 1,7272 1,7328 1,7798 1,8817 2,0463 2,2661 2,5149 2,7549 2,9482 3,0696 3,1173 3,1073 3,0640 3,0083 2,9396 2,8312 2,6358 2,3147 1,8771 1,3814 0,9111 0,5511 0,3725 0,4161 0,6705 1,0700 1,5099 1,8801 2,1161 2,2110 2,1908 2,0801 1,9037 1,6865 1,4436 1,1628 0,8271 0,4405 0,0388 -0,3234 -0,5911 -0,7330 -0,7514 -0,6763 -0,5486 -0,4112 -0,3020 -0,2295 -0,1603 -0,0427 0,1539 0,4199 0,7150 0,9943 1,2403 1,4637 1,6793 1,8785 2,0338 2,1204 2,1371 2,1175 2,1132 2,1664 2,3074 2,5455 2,8497 3,1482 3,3591 3,4208 3,3066 3,0144 2,5690 2,0454 1,5786 1,3286 1,4182 1,8823 2,6518 3,5634 4,4095 5,0263 5,3616 5,4714 5,4548 5,3868 5,3017 5,2063 5,0945 4,9537 4,7630 4,5038 4,1777 3,8064 3,4137 3,0157 2,6195 2,2150 1,7898 1,3574 0,9565 0,6277 0,4063 0,3405 0,4837 0,8534 1,3832 1,9309 2,3393 2,5114 2,4609 2,2961 2,1335 2,0191 1,9181 1,7757 1,5835 1,3890 1,2360 1,1272 1,0512 1,0237 1,0768 1,2228 1,4376 1,6700 1,8582 1,9607 1,9848 1,9753 1,9834 2,0451 2,1642 2,3010 2,3809 2,3417 2,1822 1,9584 1,7474 1,6002 1,5338 1,5526 1,6785 1,9411 2,3338 2,7881 3,2011 3,4790 3,5585 3,4147 3,0673 2,5773 2,0412 1,5668 1,2379 1,0777 1,0562 1,1187 1,2140 1,3009 1,3416 1,2981 1,1499 0,9089 0,6200 0,3471 0,1522 0,0785 0,1377 0,3231 0,6297 1,0572 1,5815 2,1264 2,5897 2,8934 3,0229 3,0230 2,9620 2,8840 2,7765 2,5866 2,2655 1,8113 1,2783 0,7738 0,4369 0,3867 0,6637 1,2159 1,9363 2,7059 3,4112 3,9633 4,3138 4,4588 4,4246 4,2472 3,9563 3,5644 3,0726 2,4973 1,8863 1,3066 0,8267 0,4976 0,3376 0,3339 0,4604 0,6835 0,9571 1,2368 1,4900 1,6811 1,7573 1,6685 1,4232 1,0981 0,7870 0,5373 0,3398 0,1758 0,0625 0,0484 0,1608 0,3772 0,6450 0,9232 1,2037 1,4985 1,8207 2,1603 2,4824 2,7424 2,9149 3,0067 3,0433 3,0347 2,9662 2,8183 2,5966 2,3455 2,1426 2,0550 2,0927 2,1982 2,2861 2,2979 2,2231 2,0844 1,9059 1,6909 1,4238 1,1001 0,7485 0,4254 0,1757 -0,0042 -0,1664 -0,3731 -0,6462 -0,9538 -1,2265 -1,3902 -1,4051 -1,2950 -1,1347 -0,9942 -0,9008 -0,8419 -0,7899 -0,7187 -0,6118 -0,4785 -0,3571 -0,2830 -0,2544 -0,2413 -0,2256 -0,2311 -0,3065 -0,4877 -0,7682 -1,0926 -1,3688 -1,5112 -1,4807 -1,2965 -1,0291 -0,7679 -0,5821 -0,5052 -0,5408 -0,6658 -0,8288 -0,9478 -0,9221 -0,6689 -0,1718 0,5079 1,2504 1,9237 2,4294 2,7344 2,8722 2,9202 2,9618 3,0469 3,1623 3,2320 3,1669 2,9302 2,5641 2,1581 1,7998 1,5361 1,3757 1,3164 1,3535 1,4568 1,5639 1,6151 1,5970 1,5330 1,4493 1,3519 1,2366 1,1049 0,9829 0,8949 0,8469 0,8255 0,8156 0,8103 0,8163 0,8475 0,9164 1,0086 1,0790 1,0715 0,9549 0,7381 0,4546 0,1332 -0,2213 -0,6221 -1,0826 -1,5908 -2,1013 -2,5675 -2,9720 -3,3253 -3,6416 -3,9201 -4,1419 -4,2936 -4,3884 -4,4475 -4,4681 -4,4184 -4,2775 -4,0541 -3,7733 -3,4502 -3,0922 -2,7190 -2,3754 -2,1253 -2,0274 -2,1137 -2,3702 -2,7474 -3,1750 -3,5722 -3,8660 -4,0109 -4,0000 -3,8650 -3,6634 -3,4563 -3,2888 -3,1988 -3,2094 -3,3101
F7    -0,0495 -0,0736 -0,1657 -0,3082 -0,4714 -0,6197 -0,7088 -0,6890 -0,5240 -0,2126 0,2016 0,6472 1,0487 1,3546 1,5449 1,6339 1,6567 1,6487 1,6246 1,5755 1,4858 1,3503 1,1839 1,0086 0,8350 0,6488 0,4207 0,1297 -0,2126 -0,5512 -0,8074 -0,9187 -0,8812 -0,7587 -0,6463 -0,6161 -0,6824 -0,8104 -0,9519 -1,0711 -1,1452 -1,1580 -1,0993 -0,9687 -0,7862 -0,5944 -0,4433 -0,3634 -0,3482 -0,3620 -0,3685 -0,3583 -0,3443 -0,3340 -0,3121 -0,2529 -0,1424 0,0110 0,1807 0,3336 0,4451 0,5075 0,5340 0,5504 0,5696 0,5719 0,5154 0,3733 0,1640 -0,0580 -0,2345 -0,3340 -0,3595 -0,3384 -0,2991 -0,2532 -0,2006 -0,1403 -0,0662 0,0417 0,2070 0,4344 0,6989 0,9531 1,1503 1,2670 1,3109 1,3108 1,2921 1,2657 1,2391 1,2297 1,2614 1,3324 1,4016 1,4094 1,3235 1,1623 0,9734 0,7958 0,6398 0,4938 0,3356 0,1417 -0,1002 -0,3807 -0,6748 -0,9581 -1,2178 -1,4574 -1,6866 -1,9046 -2,0922 -2,2249 -2,2856 -2,2730 -2,1995 -2,0869 -1,9559 -1,8204 -1,6837 -1,5395 -1,3820 -1,2169 -1,0668 -0,9592 -0,9025 -0,8710 -0,8087 -0,6527 -0,3526 0,1115 0,7101 1,3653 1,9790 2,4801 2,8551 3,1349 3,3660 3,5862 3,8184 4,0691 4,3363 4,6107 4,8664 5,0620 5,1614 5,1635 5,1021 5,0327 5,0081 5,0628 5,2017 5,3968 5,6106 5,8215 6,0213 6,1985 6,3424 6,4566 6,5638 6,6876 6,8402 7,0181 7,1940 7,3169 7,3297 7,2034 6,9523 6,6246 6,2895 6,0165 5,8431 5,7579 5,7108 5,6440 5,5207 5,3385 5,1240 4,9087 4,7203 4,5774 4,4930 4,4715 4,4970 4,5285 4,5193 4,4441 4,3081 4,1421 3,9812 3,8515 3,7627 3,7025 3,6366 3,5354 3,4004 3,2713 3,2058 3,2409 3,3723 3,5648 3,7737 3,9553 4,0718 4,0980 4,0271 3,8730 3,6672 3,4468 3,2437 3,0819 2,9799 2,9379 2,9194 2,8702 2,7551 2,5861 2,4134 2,2983 2,2855 2,3873 2,5790 2,8090 3,0250 3,1908 3,2873 3,3032 3,2374 3,1087 2,9521 2,8094 2,7145 2,6866 2,7288 2,8268 2,9561 3,0874 3,1897 3,2441 3,2487 3,2154 3,1629 3,0980 3,0039 2,8483 2,6140 2,3123 1,9812 1,6639 1,3895 1,1661 0,9975 0,8925 0,8570 0,8824 0,9489 1,0328 1,1152 1,1850 1,2387 1,2776 1,3066 1,3345 1,3646 1,3876 1,3912 1,3822 1,3970 1,4849 1,6767 1,9579 2,2716 2,5453 2,7264 2,8019 2,7973 2,7636 2,7525 2,7920 2,8893 3,0380 3,2238 3,4250 3,6186 3,7836 3,9055 3,9762 3,9987 3,9860 3,9580 3,9392 3,9526 4,0018 4,0602 4,0851 4,0512 3,9675 3,8617 3,7535 3,6450 3,5271 3,3961 3,2613 3,1379 3,0409 2,9824 2,9715 3,0169 3,1255 3,2949 3,5061 3,7269 3,9141 4,0232 4,0283 3,9389 3,7940 3,6371 3,4946 3,3707 3,2594 3,1458 3,0090 2,8322 2,6127 2,3652 2,1172 1,9055 1,7744 1,7572 1,8524 2,0220 2,2156 2,3943 2,5397 2,6550 2,7549 2,8422 2,9008 2,9160 2,8979 2,8806 2,9039 2,9947 3,1527 3,3507 3,5443 3,6874 3,7505 3,7300 3,6464 3,5359 3,4296 3,3418 3,2640 3,1778 3,0674 2,9332 2,7917 2,6725 2,6108 2,6380 2,7641 2,9577 3,1516 3,2804 3,3128 3,2554 3,1341 2,9870 2,8522 2,7496 2,6616 2,5457 2,3719 2,1594 1,9726 1,8801 1,9131 2,0602 2,2866 2,5588 2,8561 3,1595 3,4393 3,6578 3,7843 3,8091 3,7475 3,6400 3,5311 3,4465 3,3821 3,3209 3,2581 3,2104 3,2058 3,2608 3,3708 3,5098 3,6427 3,7437 3,8045 3,8259 3,8109 3,7658 3,6980 3,6132 3,5161 3,4085 3,2935 3,1854 3,1056 3,0722 3,0963 3,1829 3,3249 3,4965 3,6654 3,8136 3,9347 4,0166 4,0356 3,9671 3,8024 3,5575 3,2746 3,0068 2,7905 2,6319 2,5171 2,4356 2,3835 2,3582 2,3578 2,3816 2,4271 2,4867 2,5569 2,6431 2,7513 2,8675 2,9586 3,0014 3,0073 3,0127 3,0421 3,0940 3,1526 3,2100 3,2756 3,3716 3,5101 3,6699 3,7958 3,8332 3,7570 3,5780 3,3362 3,0933 2,9099 2,8196 2,8233 2,8953 2,9938 3,0766 3,1100 3,0745 2,9738 2,8328 2,6812 2,5323 2,3759 2,1865 1,9364 1,6137 1,2384 0,8613 0,5399 0,3115 0,1852 0,1490 0,1809 0,2493 0,3190 0,3692 0,4067 0,4503 0,5053 0,5581 0,5944 0,6192 0,6536 0,7147 0,7890 0,8382 0,8279 0,7503 0,6260 0,4951 0,3960 0,3500 0,3631 0,4265 0,5223 0,6403 0,7864 0,9694 1,1807 1,3980 1,6106 1,8347 2,1032 2,4338 2,8043 3,1563 3,4352 3,6232 3,7414 3,8252 3,8953 3,9475 3,9606 3,9046 3,7447 3,4621 3,0766 2,6479 2,2527 1,9601 1,8145 1,8309 1,9952 2,2684 2,6001 2,9435 3,2606 3,5263 3,7303 3,8743 3,9543 3,9521 3,8365 3,5897 3,2233 2,7835 2,3355 1,9410 1,6345 1,4182 1,2730 1,1760 1,1072 1,0587 1,0343 1,0406 1,0743 1,1231 1,1774 1,2324 1,2866 1,3433 1,4130 1,5058 1,6140 1,7027 1,7228 1,6363 1,4323 1,1298 0,7716 0,4161 0,1224 -0,0740 -0,1739 -0,2105 -0,2257 -0,2580 -0,3378 -0,4824 -0,6857 -0,9170 -1,1384 -1,3233 -1,4642 -1,5583 -1,6011 -1,5842 -1,5055 -1,3860 -1,2742 -1,2211 -1,2411 -1,3026 -1,3624 -1,3949 -1,3997 -1,3851 -1,3599
