Fp1   1,4431 1,8264 2,2179 2,4751 2,4858 2,2029 1,6660 0,9949 0,3477 -0,1278 -0,3364 -0,2822 -0,0944 0,0187 -0,1228 -0,5780 -1,2670 -2,0090 -2,5900 -2,8495 -2,7488 -2,3735 -1,8677 -1,3546 -0,9008 -0,5368 -0,3014 -0,2531 -0,4244 -0,7644 -1,1446 -1,4262 -1,5044 -1,3122 -0,8398 -0,1622 0,5801 1,2332 1,6752 1,8506 1,7785 1,5185 1,1396 0,7364 0,4273 0,2908 0,3084 0,3783 0,3723 0,2045 -0,1135 -0,4790 -0,7642 -0,8776 -0,7938 -0,5639 -0,2931 -0,0848 0,0149 0,0400 0,0721 0,1643 0,2976 0,4114 0,4498 0,3704 0,1350 -0,2767 -0,8273 -1,4100 -1,8969 -2,2084 -2,3497 -2,3984 -2,4593 -2,6131 -2,8914 -3,2997 -3,8447 -4,4964 -5,1255 -5,5425 -5,6367 -5,4658 -5,2033 -5,0182 -4,9938 -5,1170 -5,3219 -5,5544 -5,7979 -6,0468 -6,2748 -6,4363 -6,5107 -6,5571 -6,6969 -7,0221 -7,5385 -8,1849 -8,8589 -9,4425 -9,8512 -10,0612 -10,0834 -9,9352 -9,6510 -9,3008 -8,9732 -8,7368 -8,6061 -8,5233 -8,3768 -8,0509 -7,4666 -6,5991 -5,4964 -4,2965 -3,2013 -2,3963 -1,9667 -1,8580 -1,8984 -1,8822 -1,6758 -1,2746 -0,7726 -0,2782 0,1521 0,5162 0,8223 1,0522 1,1764 1,2147 1,2450 1,3145 1,3795 1,3634 1,2373 1,0311 0,7932 0,5513 0,2970 -0,0048 -0,3946 -0,8882 -1,4461 -1,9771 -2,3995 -2,6928 -2,8641 -2,8778 -2,6617 -2,1854 -1,5071 -0,7395 0,0055 0,6382 1,0897 1,3178 1,3200 1,1417 0,8755 0,6405 0,5490 0,6851 1,0795 1,6738 2,3235 2,8705 3,2272 3,3909 3,4015 3,3037 3,1417 2,9690 2,8421 2,7836 2,7419 2,6087 2,2961 1,8012 1,1968 0,5664 -0,0579 -0,6923 -1,3374 -1,9413 -2,4487 -2,8604 -3,2165 -3,5419 -3,8273 -4,0451 -4,1638 -4,1655 -4,0652 -3,9024 -3,7051 -3,4734 -3,2052 -2,9259 -2,6721 -2,4548 -2,2506 -2,0179 -1,7141 -1,3221 -0,8796 -0,4697 -0,1628 0,0339 0,1636 0,2721 0,3905 0,5391 0,7153 0,8904 1,0436 1,1932 1,3779 1,6225 1,9307 2,2888 2,6540 2,9532 3,1063 3,0547 2,7839 2,3415 1,8236 1,3457 1,0289 0,9643 1,1471 1,4696 1,8070 2,0916 2,3091 2,4705 2,6054 2,7567 2,9582 3,2150 3,4978 3,7408 3,8489 3,7289 3,3358 2,6958 1,8956 1,0594 0,3326 -0,1437 -0,2837 -0,1075 0,2525 0,6123 0,8242 0,8388 0,7188 0,5847 0,5170 0,5028 0,4595 0,2951 -0,0319 -0,4767 -0,9180 -1,2157 -1,2843 -1,1342 -0,8456 -0,4810 -0,0181 0,6145 1,4228 2,2761 2,9461 3,2230 3,0300 2,4685 1,7731 1,2029 0,9320 1,0085 1,4021 2,0420 2,7850 3,4206 3,7776 3,8154 3,6104 3,2971 3,0333 2,9673 3,1782 3,6312 4,2071 4,7787 5,2609 5,6070 5,7825 5,7548 5,5203 5,1263 4,6416 4,1155 3,5867 3,0987 2,6598 2,2133 1,7036 1,1786 0,7949 0,7201 1,0348 1,6934 2,5313 3,3080 3,7895 3,8501 3,5269 2,9885 2,4426 2,0461 1,8664 1,9018 2,1201 2,4615 2,8292 3,1331 3,3644 3,6025 3,9392 4,3864 4,8459 5,1701 5,2444 5,0117 4,4677 3,6854 2,8305 2,1181 1,7402 1,8031 2,2795 3,0005 3,7280 4,2864 4,6589 4,9726 5,3969 6,0375 6,8857 7,8204 8,6531 9,2182 9,4596 9,4355 9,2337 8,8989 8,4490 7,9272 7,4094 6,9804 6,7089 6,6210 6,6759 6,7794 6,8520 6,8920 6,9636 7,1221 7,3714 7,6764 7,9731 8,1658 8,1536 7,8800 7,3623 6,6777 5,9089 5,1124 4,3588 3,7804 3,5288 3,6750 4,1701 4,9027 5,7649 6,6533 7,4424 8,0059 8,2751 8,2712 8,0804 7,7880 7,4229 6,9608 6,3730 5,6677 4,9006 4,1603 3,5357 3,0843 2,8278 2,7667 2,8899 3,1791 3,6070 4,1293 4,6880 5,2318 5,7289 6,1619 6,5116 6,7457 6,8405 6,8229 6,7762 6,8075 7,0069 7,3932 7,8766 8,3029 8,5565 8,6154 8,5257 8,3529 8,1503 7,9433 7,7309 7,5015 7,2585 7,0375 6,8846 6,8112 6,7805 6,7472 6,7042 6,6783 6,6790 6,6744 6,6297 6,5486 6,4643 6,4057 6,3790 6,3764 6,4106 6,5296 6,7738 7,1186 7,4636 7,6848 7,7068 7,5335 7,2283 6,8822 6,5878 6,4157 6,4004 6,5356 6,7798 7,0690 7,3193 7,4264 7,2867 6,8407 6,1166 5,2293 4,3331 3,5836 3,1087 2,9434 2,9811 3,0285 2,9291 2,6356 2,1892 1,6606 1,1144 0,6034 0,1777 -0,1093 -0,2172 -0,1512 0,0229 0,2041 0,3018 0,2702 0,1355 0,0129 0,0554 0,3391 0,8019 1,3104 1,7725 2,1782 2,5520 2,9006 3,2205 3,5272 3,8460 4,1854 4,5341 4,8705 5,1677 5,3993 5,5466 5,6032 5,5659 5,4085 5,0752 4,5254 3,7845 2,9318 2,0400 1,1507 0,3251 -0,3189 -0,6582 -0,6628 -0,4402 -0,1755 -0,0133 0,0192 0,0027 0,0614 0,2765 0,6207 0,9782 1,2520 1,4566 1,7032 2,1070 2,7110 3,4649 4,2357 4,8418 5,1426 5,1410 4,9780 4,8080 4,7053 4,6875 4,7617 4,9036 5,0376 5,0764 4,9654 4,6759 4,1936 3,5479 2,8439 2,2304 1,8139 1,5927 1,4672 1,3085 1,0267 0,5920 0,0197 -0,6465 -1,3549 -2,0811 -2,8366 -3,6078 -4,2936 -4,7445 -4,8673 -4,6824 -4,3052 -3,9020 -3,6465 -3,6657 -3,9883 -4,5408 -5,1874 -5,7732 -6,1606 -6,2761 -6,1451 -5,8710 -5,5710 -5,3198 -5,1225 -4,9222 -4,6505 -4,2952 -3,9199 -3,6160 -3,4450 -3,4343 -3,6013 -3,9444 -4,4166 -4,9194 -5,3126
Fz    0,1355 0,1431 0,2132 0,3006 0,3574 0,3272 0,1663 -0,1249 -0,4950 -0,8639 -1,1581 -1,3502 -1,4735 -1,5914 -1,7432 -1,9148 -2,0573 -2,1167 -2,0523 -1,8521 -1,5437 -1,1735 -0,7713 -0,3444 0,0899 0,4758 0,7255 0,7622 0,5885 0,3169 0,1061 0,0532 0,1576 0,3664 0,6237 0,8866 1,1234 1,3074 1,4151 1,4396 1,3929 1,2840 1,1149 0,9191 0,7728 0,7445 0,8413 1,0108 1,1789 1,2859 1,3097 1,2727 1,2256 1,2106 1,2256 1,2136 1,0940 0,8259 0,4464 0,0505 -0,2663 -0,4575 -0,5313 -0,5243 -0,4816 -0,4570 -0,5138 -0,7006 -1,0113 -1,3794 -1,7232 -1,9939 -2,1823 -2,2984 -2,3644 -2,4162 -2,4933 -2,6312 -2,8662 -3,2224 -3,6717 -4,1222 -4,4676 -4,6589 -4,7308 -4,7585 -4,7908 -4,8275 -4,8548 -4,8788 -4,9103 -4,9375 -4,9381 -4,9160 -4,9213 -5,0380 -5,3388 -5,8375 -6,4879 -7,2185 -7,9487 -8,5939 -9,0920 -9,4250 -9,5974 -9,6038 -9,4391 -9,1359 -8,7725 -8,4391 -8,1885 -8,0106 -7,8485 -7,6361 -7,3204 -6,8675 -6,2745 -5,5852 -4,8865 -4,2781 -3,8332 -3,5615 -3,4001 -3,2556 -3,0687 -2,8471 -2,6471 -2,5297 -2,5165 -2,5783 -2,6628 -2,7313 -2,7561 -2,6886 -2,4658 -2,0708 -1,5703 -1,0782 -0,6914 -0,4491 -0,3276 -0,2703 -0,2322 -0,2079 -0,2188 -0,2746 -0,3454 -0,3640 -0,2669 -0,0422 0,2755 0,6557 1,0957 1,5943 2,1292 2,6617 3,1449 3,5239 3,7435 3,7642 3,5793 3,2226 2,7579 2,2542 1,7725 1,3757 1,1334 1,0889 1,2212 1,4613 1,7470 2,0408 2,3051 2,4897 2,5466 2,4551 2,2266 1,8813 1,4244 0,8526 0,1800 -0,5482 -1,2681 -1,9278 -2,5169 -3,0620 -3,5899 -4,0959 -4,5518 -4,9382 -5,2603 -5,5282 -5,7347 -5,8699 -5,9520 -6,0267 -6,1332 -6,2708 -6,3940 -6,4360 -6,3418 -6,0903 -5,6988 -5,2153 -4,7080 -4,2405 -3,8454 -3,5238 -3,2678 -3,0738 -2,9345 -2,8273 -2,7190 -2,5871 -2,4332 -2,2751 -2,1276 -1,9846 -1,8083 -1,5379 -1,1200 -0,5465 0,1265 0,8003 1,3804 1,8047 2,0361 2,0522 1,8574 1,4988 1,0563 0,6179 0,2665 0,0611 0,0071 0,0545 0,1346 0,1977 0,2191 0,1967 0,1493 0,1036 0,0781 0,0835 0,1307 0,2201 0,3154 0,3348 0,1910 -0,1470 -0,6335 -1,1775 -1,6792 -2,0556 -2,2615 -2,3055 -2,2550 -2,2118 -2,2603 -2,4198 -2,6348 -2,8159 -2,8954 -2,8489 -2,6921 -2,4783 -2,2753 -2,1249 -2,0291 -1,9712 -1,9352 -1,9089 -1,8787 -1,8227 -1,7009 -1,4599 -1,0647 -0,5381 0,0285 0,5122 0,8199 0,9345 0,9158 0,8581 0,8329 0,8654 0,9600 1,1219 1,3342 1,5487 1,7254 1,8621 1,9763 2,0836 2,2094 2,3995 2,6950 3,0950 3,5499 3,9866 4,3326 4,5276 4,5313 4,3350 3,9754 3,5254 3,0526 2,5844 2,1257 1,6945 1,3150 0,9929 0,7237 0,5246 0,4364 0,4915 0,6847 0,9764 1,3064 1,5960 1,7543 1,7162 1,4866 1,1441 0,7907 0,4935 0,2782 0,1677 0,2014 0,4036 0,7429 1,1401 1,5192 1,8476 2,1351 2,3987 2,6305 2,8005 2,8825 2,8692 2,7693 2,6024 2,3961 2,1875 2,0311 1,9960 2,1298 2,4205 2,8014 3,2003 3,5826 3,9534 4,3244 4,6858 5,0118 5,2800 5,4711 5,5629 5,5453 5,4387 5,2767 5,0673 4,7963 4,4685 4,1298 3,8490 3,6831 3,6534 3,7391 3,8864 4,0346 4,1479 4,2214 4,2566 4,2425 4,1640 4,0154 3,8017 3,5337 3,2235 2,8828 2,5217 2,1486 1,7785 1,4522 1,2325 1,1668 1,2546 1,4545 1,7190 2,0125 2,3067 2,5739 2,7916 2,9591 3,1012 3,2436 3,3784 3,4508 3,3903 3,1630 2,7912 2,3240 1,8063 1,2813 0,8063 0,4422 0,2195 0,1219 0,1050 0,1321 0,2033 0,3514 0,6045 0,9582 1,3820 1,8363 2,2805 2,6895 3,0703 3,4487 3,8283 4,1706 4,4115 4,4972 4,4204 4,2366 4,0407 3,9183 3,9071 3,9895 4,1063 4,1797 4,1490 4,0068 3,7995 3,5774 3,3516 3,1105 2,8691 2,6861 2,6226 2,6886 2,8399 3,0217 3,1965 3,3432 3,4514 3,5108 3,5013 3,4047 3,2299 3,0246 2,8604 2,7919 2,8169 2,8714 2,8666 2,7472 2,5318 2,2970 2,1226 2,0556 2,1106 2,2817 2,5434 2,8402 3,0842 3,1743 3,0358 2,6566 2,0885 1,4213 0,7613 0,2083 -0,1925 -0,4910 -0,8062 -1,2442 -1,8389 -2,5500 -3,2948 -3,9806 -4,5341 -4,9215 -5,1501 -5,2543 -5,2739 -5,2363 -5,1615 -5,0759 -5,0093 -4,9651 -4,8977 -4,7399 -4,4702 -4,1416 -3,8356 -3,5906 -3,3782 -3,1439 -2,8654 -2,5697 -2,3100 -2,1386 -2,0851 -2,1376 -2,2458 -2,3508 -2,4092 -2,3925 -2,2835 -2,0868 -1,8482 -1,6505 -1,5696 -1,6244 -1,7784 -1,9839 -2,2035 -2,3959 -2,5075 -2,4966 -2,3665 -2,1800 -2,0375 -2,0179 -2,1223 -2,2681 -2,3451 -2,2888 -2,1113 -1,8739 -1,6273 -1,3650 -1,0337 -0,5869 -0,0298 0,5748 1,1301 1,5374 1,7322 1,7202 1,5752 1,3844 1,1930 1,0059 0,8214 0,6370 0,4268 0,1405 -0,2624 -0,7835 -1,3911 -2,0430 -2,6989 -3,3125 -3,8350 -4,2434 -4,5653 -4,8664 -5,2108 -5,6303 -6,1153 -6,6216 -7,0969 -7,5189 -7,9079 -8,2914 -8,6646 -8,9959 -9,2554 -9,4235 -9,4945 -9,4945 -9,4856 -9,5371 -9,6921 -9,9603 -10,3252 -10,7436 -11,1519 -11,4854 -11,6953 -11,7506 -11,6386 -11,3727 -11,0012 -10,5993 -10,2406 -9,9720 -9,8037 -9,7111 -9,6457 -9,5579 -9,4259 -9,2621 -9,0884 -8,9059 -8,6792
F3    -0,0846 -0,0444 0,1112 0,2356 0,1703 -0,1628 -0,6994 -1,2555 -1,6212 -1,6539 -1,3286 -0,7528 -0,1403 0,2738 0,3348 0,0237 -0,5497 -1,1917 -1,6943 -1,9137 -1,8226 -1,5070 -1,1133 -0,7755 -0,5667 -0,5001 -0,5532 -0,6891 -0,8615 -0,9979 -1,0012 -0,7974 -0,3729 0,2340 0,9495 1,6687 2,2715 2,6468 2,7241 2,5120 2,1089 1,6528 1,2564 0,9883 0,8783 0,8981 0,9460 0,8879 0,6415 0,2373 -0,1890 -0,4712 -0,5052 -0,2917 0,0877 0,5300 0,9658 1,3697 1,7272 2,0136 2,2045 2,2765 2,1988 1,9499 1,5388 1,0061 0,4067 -0,2046 -0,7763 -1,2634 -1,6452 -1,9391 -2,1818 -2,3922 -2,5580 -2,6587 -2,6985 -2,7245 -2,8150 -3,0270 -3,3359 -3,6273 -3,7615 -3,6690 -3,3956 -3,0628 -2,7911 -2,6575 -2,6992 -2,9308 -3,3344 -3,8398 -4,3375 -4,7264 -4,9638 -5,0900 -5,2067 -5,4146 -5,7619 -6,2373 -6,7794 -7,2957 -7,7017 -7,9532 -8,0431 -7,9920 -7,8534 -7,6948 -7,5380 -7,3282 -6,9816 -6,4592 -5,8024 -5,1157 -4,5120 -4,0621 -3,7829 -3,6655 -3,6978 -3,8523 -4,0538 -4,1866 -4,1439 -3,8751 -3,3942 -2,7722 -2,1278 -1,5832 -1,1938 -0,9272 -0,7182 -0,5309 -0,3624 -0,2088 -0,0551 0,1021 0,2507 0,3915 0,5515 0,7567 0,9955 1,2180 1,3739 1,4496 1,4692 1,4631 1,4550 1,4882 1,6212 1,8675 2,1653 2,4314 2,6276 2,7700 2,8966 3,0380 3,2032 3,3877 3,5888 3,8063 4,0282 4,2188 4,3293 4,3266 4,2143 4,0292 3,8207 3,6267 3,4569 3,2897 3,0817 2,7799 2,3453 1,7843 1,1628 0,5860 0,1644 -0,0147 0,0797 0,3964 0,8272 1,2583 1,5858 1,6962 1,4728 0,8463 -0,1524 -1,3879 -2,6751 -3,8506 -4,8004 -5,4465 -5,7562 -5,7713 -5,5933 -5,3339 -5,0799 -4,8706 -4,6948 -4,5301 -4,3836 -4,2801 -4,2232 -4,1822 -4,1108 -3,9764 -3,7805 -3,5519 -3,3207 -3,1006 -2,8841 -2,6450 -2,3507 -1,9920 -1,6080 -1,2803 -1,0970 -1,0999 -1,2352 -1,3561 -1,2938 -0,9436 -0,3102 0,4977 1,3148 1,9828 2,3932 2,5014 2,3335 1,9812 1,5503 1,0982 0,6301 0,1511 -0,2966 -0,6437 -0,8306 -0,8389 -0,7023 -0,4856 -0,2506 -0,0409 0,1113 0,1827 0,1620 0,0484 -0,1512 -0,4156 -0,7030 -0,9606 -1,1505 -1,2720 -1,3555 -1,4287 -1,4981 -1,5709 -1,6794 -1,8669 -2,1597 -2,5532 -2,9995 -3,4059 -3,6684 -3,7077 -3,4874 -3,0287 -2,4127 -1,7402 -1,0806 -0,4674 0,0704 0,4923 0,7468 0,7853 0,5999 0,2608 -0,0961 -0,3345 -0,3888 -0,2878 -0,1100 0,0959 0,3470 0,6877 1,1251 1,6177 2,1291 2,6623 3,2198 3,7541 4,1800 4,4301 4,5008 4,4649 4,4450 4,5439 4,7685 5,0152 5,1323 5,0061 4,6191 4,0534 3,4302 2,8400 2,3303 1,9371 1,6997 1,6331 1,7017 1,8329 1,9474 1,9790 1,9010 1,7569 1,6410 1,6322 1,7525 1,9844 2,2931 2,6151 2,8542 2,9202 2,7703 2,4115 1,8893 1,2902 0,7332 0,3318 0,1608 0,2435 0,5463 0,9922 1,5042 2,0408 2,6002 3,1950 3,8079 4,3617 4,7399 4,8446 4,6506 4,2304 3,7234 3,2624 2,9336 2,7874 2,8494 3,1111 3,5291 4,0390 4,5796 5,1118 5,6174 6,0884 6,5180 6,8813 7,1278 7,2102 7,1210 6,8976 6,5991 6,2856 6,0123 5,8198 5,7216 5,7141 5,7952 5,9527 6,1312 6,2329 6,1686 5,9104 5,5070 5,0593 4,6764 4,4308 4,3318 4,3281 4,3373 4,2878 4,1460 3,9179 3,6406 3,3779 3,2206 3,2707 3,5893 4,1444 4,8179 5,4676 5,9859 6,3075 6,3893 6,2144 5,8092 5,2341 4,5643 3,8827 3,2730 2,8054 2,5104 2,3664 2,3306 2,3823 2,5388 2,8432 3,3316 3,9800 4,6757 5,2640 5,6365 5,7807 5,7633 5,6858 5,6490 5,7358 5,9878 6,3828 6,8459 7,2813 7,5907 7,6971 7,5881 7,3271 7,0091 6,7131 6,4919 6,3791 6,4022 6,5882 6,9419 7,4106 7,8864 8,2604 8,4878 8,6045 8,6669 8,6679 8,5233 8,1466 7,5355 6,7877 6,0491 5,4504 5,0733 4,9454 5,0354 5,2601 5,5217 5,7554 5,9535 6,1482 6,3775 6,6601 6,9763 7,2645 7,4560 7,5108 7,4269 7,2435 7,0336 6,8727 6,8051 6,8352 6,9442 7,1040 7,2698 7,3698 7,3079 6,9949 6,4009 5,5811 4,6505 3,7560 3,0569 2,6617 2,5616 2,6425 2,7519 2,7594 2,6032 2,3050 1,9400 1,5908 1,3181 1,1551 1,1109 1,1639 1,2571 1,3170 1,2809 1,1210 0,8733 0,6499 0,5790 0,7064 0,9616 1,2198 1,3840 1,4258 1,3802 1,3153 1,3013 1,3771 1,5269 1,7086 1,9068 2,1300 2,3651 2,5748 2,7494 2,9345 3,1986 3,5720 4,0085 4,3968 4,6109 4,5636 4,2336 3,6693 2,9803 2,3117 1,7870 1,4508 1,2629 1,1542 1,0980 1,1325 1,3281 1,7441 2,3855 3,1678 3,9309 4,5106 4,8154 4,8574 4,7227 4,5146 4,3091 4,1350 3,9750 3,8020 3,6253 3,4791 3,3631 3,2282 3,0307 2,7719 2,4814 2,1864 1,9061 1,6642 1,4926 1,4105 1,4070 1,4540 1,5206 1,5735 1,5756 1,4864 1,2722 0,9309 0,4977 0,0215 -0,4593 -0,9335 -1,4292 -1,9981 -2,6596 -3,3568 -3,9820 -4,4513 -4,7549 -4,9480 -5,1074 -5,2891 -5,5067 -5,7324 -5,9182 -6,0268 -6,0475 -5,9912 -5,8803 -5,7520 -5,6656 -5,6912 -5,8658 -6,1403 -6,3785 -6,4408 -6,2771 -5,9368 -5,5036 -5,0358 -4,5558 -4,0722 -3,5988 -3,1570 -2,7642 -2,4238
F7    0,4099 0,3862 0,3151 0,1865 0,0031 -0,2351 -0,5302 -0,8715 -1,2255 -1,5353 -1,7345 -1,7805 -1,6817 -1,4867 -1,2450 -0,9818 -0,7059 -0,4206 -0,1255 0,1768 0,4765 0,7622 1,0287 1,2701 1,4616 1,5541 1,4990 1,2840 0,9494 0,5796 0,2687 0,0743 -0,0024 -0,0013 0,0240 0,0338 0,0237 0,0169 0,0358 0,0909 0,1829 0,2909 0,3663 0,3652 0,2835 0,1523 0,0220 -0,0512 -0,0316 0,0721 0,2176 0,3592 0,4667 0,5256 0,5339 0,4931 0,4005 0,2615 0,1058 -0,0190 -0,0718 -0,0437 0,0341 0,1090 0,1375 0,1039 0,0169 -0,1075 -0,2564 -0,4202 -0,5917 -0,7656 -0,9316 -1,0742 -1,1841 -1,2650 -1,3276 -1,3838 -1,4516 -1,5509 -1,6857 -1,8308 -1,9439 -1,9973 -2,0003 -1,9845 -1,9770 -1,9972 -2,0675 -2,2060 -2,4008 -2,6105 -2,7979 -2,9534 -3,0941 -3,2597 -3,4891 -3,7784 -4,0769 -4,3326 -4,5220 -4,6459 -4,7206 -4,7642 -4,7725 -4,7121 -4,5520 -4,3026 -4,0213 -3,7805 -3,6191 -3,5163 -3,4147 -3,2712 -3,0796 -2,8558 -2,6160 -2,3673 -2,1034 -1,8101 -1,4854 -1,1513 -0,8405 -0,5723 -0,3453 -0,1500 0,0170 0,1552 0,2786 0,4195 0,6077 0,8507 1,1374 1,4586 1,8152 2,1967 2,5667 2,8883 3,1599 3,4146 3,6810 3,9543 4,2036 4,3967 4,5189 4,5825 4,6224 4,6805 4,7770 4,8936 4,9955 5,0688 5,1241 5,1738 5,2255 5,2908 5,3837 5,5075 5,6491 5,7790 5,8545 5,8365 5,7110 5,4969 5,2381 4,9924 4,8139 4,7279 4,7250 4,7864 4,8988 5,0314 5,1189 5,0882 4,9036 4,5873 4,2001 3,7979 3,3975 2,9736 2,4939 1,9631 1,4300 0,9479 0,5335 0,1675 -0,1734 -0,4976 -0,8024 -1,0841 -1,3416 -1,5756 -1,7849 -1,9686 -2,1262 -2,2532 -2,3407 -2,3786 -2,3555 -2,2571 -2,0725 -1,8065 -1,4850 -1,1511 -0,8534 -0,6240 -0,4544 -0,3059 -0,1511 0,0005 0,1184 0,1831 0,1965 0,1715 0,1226 0,0672 0,0310 0,0437 0,1285 0,2970 0,5540 0,8970 1,3025 1,7145 2,0546 2,2521 2,2733 2,1282 1,8585 1,5201 1,1725 0,8732 0,6651 0,5565 0,5159 0,4952 0,4610 0,4037 0,3273 0,2375 0,1358 0,0141 -0,1425 -0,3414 -0,5691 -0,7970 -1,0026 -1,1837 -1,3484 -1,4961 -1,6185 -1,7157 -1,8000 -1,8904 -2,0049 -2,1508 -2,3204 -2,4997 -2,6761 -2,8320 -2,9373 -2,9600 -2,8909 -2,7478 -2,5627 -2,3758 -2,2230 -2,1179 -2,0529 -2,0148 -1,9857 -1,9334 -1,8183 -1,6198 -1,3485 -1,0312 -0,6901 -0,3447 -0,0202 0,2595 0,4842 0,6600 0,8062 0,9444 1,0820 1,2068 1,3016 1,3538 1,3485 1,2746 1,1512 1,0307 0,9674 0,9860 1,0748 1,1951 1,2947 1,3249 1,2621 1,1172 0,9239 0,7102 0,4788 0,2151 -0,0875 -0,4149 -0,7458 -1,0693 -1,3825 -1,6744 -1,9261 -2,1313 -2,3010 -2,4392 -2,5235 -2,5154 -2,3876 -2,1513 -1,8661 -1,6211 -1,4929 -1,5060 -1,6267 -1,7960 -1,9728 -2,1559 -2,3625 -2,5903 -2,8020 -2,9415 -2,9669 -2,8723 -2,6880 -2,4593 -2,2161 -1,9560 -1,6635 -1,3412 -1,0127 -0,7008 -0,4150 -0,1563 0,0716 0,2623 0,4266 0,6052 0,8384 1,1208 1,3997 1,6205 1,7710 1,8873 2,0256 2,2237 2,4845 2,7817 3,0702 3,3008 3,4408 3,4883 3,4641 3,3827 3,2376 3,0191 2,7415 2,4473 2,1848 1,9783 1,8119 1,6393 1,4176 1,1412 0,8442 0,5737 0,3653 0,2367 0,1801 0,1574 0,1206 0,0415 -0,0830 -0,2402 -0,4069 -0,5480 -0,6234 -0,6078 -0,5083 -0,3640 -0,2186 -0,0928 0,0192 0,1346 0,2618 0,3930 0,5198 0,6479 0,7913 0,9501 1,0951 1,1748 1,1493 1,0205 0,8314 0,6406 0,4956 0,4266 0,4457 0,5412 0,6847 0,8514 1,0335 1,2342 1,4520 1,6661 1,8396 1,9406 1,9589 1,9087 1,8274 1,7738 1,8085 1,9615 2,2172 2,5196 2,7932 2,9798 3,0676 3,0839 3,0686 3,0577 3,0806 3,1479 3,2334 3,2803 3,2435 3,1233 2,9492 2,7436 2,5149 2,2718 2,0310 1,8154 1,6530 1,5782 1,6252 1,8028 2,0776 2,3873 2,6681 2,8717 2,9734 2,9786 2,9242 2,8667 2,8478 2,8650 2,8873 2,8936 2,8908 2,9087 2,9826 3,1353 3,3609 3,6214 3,8674 4,0617 4,1845 4,2192 4,1421 3,9332 3,6012 3,1818 2,7119 2,2198 1,7374 1,2970 0,9133 0,5816 0,2925 0,0419 -0,1643 -0,3115 -0,3901 -0,4160 -0,4301 -0,4688 -0,5348 -0,5950 -0,6092 -0,5636 -0,4756 -0,3694 -0,2510 -0,1059 0,0750 0,2694 0,4361 0,5486 0,6152 0,6741 0,7703 0,9300 1,1510 1,4083 1,6610 1,8630 1,9789 1,9943 1,9186 1,7850 1,6489 1,5741 1,6006 1,7148 1,8506 1,9253 1,8850 1,7262 1,4842 1,2106 0,9660 0,8149 0,8077 0,9564 1,2191 1,5065 1,7274 1,8411 1,8672 1,8500 1,8170 1,7610 1,6592 1,5086 1,3470 1,2330 1,2068 1,2708 1,4052 1,5862 1,7828 1,9517 2,0559 2,0834 2,0396 1,9317 1,7695 1,5651 1,3229 1,0326 0,6768 0,2492 -0,2318 -0,7259 -1,1898 -1,5932 -1,9139 -2,1280 -2,2201 -2,2081 -2,1518 -2,1248 -2,1749 -2,2994 -2,4470 -2,5518 -2,5847 -2,5724 -2,5649 -2,5945 -2,6675 -2,7681 -2,8637 -2,9251 -2,9574 -3,0043 -3,1241 -3,3625 -3,7355 -4,2191 -4,7469 -5,2251 -5,5653 -5,7127 -5,6602 -5,4385 -5,0953 -4,6808 -4,2433 -3,8262 -3,4644 -3,1743 -2,9486 -2,7692 -2,6263 -2,5264 -2,4832 -2,5021 -2,5761 -2,6830
