Fp1   -0,5736 -1,0287 -1,2443 -1,2469 -1,1221 -0,9668 -0,8402 -0,7490 -0,6738 -0,6225 -0,6786 -0,9568 -1,4674 -2,0435 -2,4133 -2,3299 -1,6827 -0,5690 0,7179 1,8061 2,4027 2,3906 1,8303 0,9016 -0,1751 -1,2022 -2,0303 -2,5549 -2,7160 -2,5063 -1,9636 -1,1501 -0,1493 0,9258 1,9375 2,7405 3,2181 3,3310 3,1395 2,7771 2,4004 2,1229 1,9366 1,7083 1,2986 0,6897 -0,0048 -0,6140 -0,9815 -1,0181 -0,7413 -0,2726 0,2338 0,6826 1,0584 1,3654 1,5845 1,6998 1,7248 1,6763 1,5451 1,2970 0,8895 0,2922 -0,4949 -1,4292 -2,4223 -3,3478 -4,0515 -4,3728 -4,1975 -3,5192 -2,4431 -1,1258 0,2803 1,6510 2,8911 3,8926 4,4957 4,5353 3,9331 2,7449 1,1631 -0,5077 -1,9325 -2,8733 -3,2644 -3,1779 -2,7455 -2,1071 -1,3889 -0,6916 -0,0863 0,3882 0,7179 0,8861 0,8592 0,6189 0,2166 -0,2214 -0,5620 -0,7412 -0,7867 -0,7664 -0,7119 -0,6024 -0,4251 -0,2435 -0,2002 -0,4377 -1,0134 -1,8929 -2,9835 -4,1426 -5,1834 -5,9283 -6,3005 -6,3773 -6,3326 -6,2973 -6,2630 -6,1198 -5,7641 -5,1647 -4,3673 -3,4577 -2,4973 -1,5008 -0,4861 0,4808 1,3112 1,9476 2,3723 2,5832 2,5799 2,3639 1,9521 1,3985 0,7978 0,2698 -0,0778 -0,1957 -0,0992 0,1822 0,6344 1,2245 1,8461 2,3205 2,4797 2,2805 1,8292 1,2783 0,7099 0,1156 -0,5489 -1,2882 -2,0240 -2,6201 -2,9440 -2,9223 -2,5767 -2,0236 -1,4228 -0,8970 -0,4995 -0,2623 -0,2445 -0,4981 -0,9905 -1,5834 -2,1009 -2,4193 -2,5065 -2,4082 -2,2076 -1,9813 -1,7857 -1,6660 -1,6581 -1,7863 -2,0570 -2,4547 -2,9665 -3,5904 -4,2971 -5,0165 -5,6818 -6,2421 -6,6177 -6,7092 -6,4943 -6,0806 -5,6424 -5,3238 -5,1884 -5,2165 -5,3345 -5,4541 -5,5026 -5,4318 -5,2227 -4,9092 -4,5692 -4,2515 -3,9235 -3,5181 -3,0153 -2,4732 -2,0119 -1,7796 -1,8989 -2,4010 -3,1823 -4,0283 -4,7018 -5,0470 -5,0466 -4,7941 -4,4076 -3,9762 -3,5747 -3,2778 -3,1353 -3,1514 -3,2968 -3,5197 -3,7333 -3,8110 -3,6512 -3,2809 -2,8587 -2,5598 -2,4777 -2,6009 -2,8322 -3,0446 -3,1343 -3,0413 -2,7622 -2,3429 -1,8573 -1,4221 -1,2147 -1,3948 -1,9662 -2,7438 -3,4699 -3,9447 -4,0825 -3,9166 -3,5563 -3,1066 -2,6227 -2,1272 -1,6365 -1,1728 -0,7709 -0,4567 -0,2130 0,0084 0,2223 0,3881 0,4731 0,5131 0,5790 0,6953 0,8214 0,9080 0,9527 1,0031 1,0999 1,2061 1,2140 1,0312 0,6395 0,0781 -0,5989 -1,3551 -2,1858 -3,0960 -4,0675 -5,0506 -5,9584 -6,6534 -6,9618 -6,7284 -5,8861 -4,4967 -2,7358 -0,8561 0,8613 2,1896 3,0226 3,3581 3,2522 2,8020 2,1291 1,3454 0,5440 -0,1849 -0,7466 -1,0788 -1,2152 -1,2795 -1,3761 -1,5071 -1,6039 -1,6076 -1,5038 -1,3149 -1,0863 -0,8828 -0,7725 -0,7903 -0,9144 -1,0746 -1,1662 -1,0661 -0,6601 0,1036 1,1319 2,1585 2,8560 3,0284 2,7263 2,2052 1,7797 1,6833 2,0086 2,7218 3,7012 4,7708 5,7275 6,3725 6,5648 6,2769 5,5946 4,6487 3,5494 2,3863 1,2673 0,3363 -0,2581 -0,4359 -0,2388 0,1997 0,7496 1,3539 2,0030 2,6449 3,1181 3,1779 2,6217 1,4406 -0,1252 -1,6842 -2,8634 -3,4347 -3,3479 -2,7047 -1,7164 -0,6261 0,4008 1,3344 2,2266 3,1202 4,0131 4,8566 5,5529 5,9902 6,1232 5,9964 5,6651 5,1523 4,5177 3,8996 3,4373 3,1775 3,0697 3,0255 2,9672 2,8425 2,6414 2,4082 2,2173 2,1438 2,2680 2,6567 3,2897 4,0218 4,6552 5,0612 5,2201 5,1669 4,9525 4,6518 4,3559 4,1476 4,0781 4,1414 4,2908 4,5043 4,7919 5,1317 5,4415 5,6274 5,6566 5,5926 5,5499 5,6018 5,7312 5,8595 5,9018 5,7902 5,4843 4,9976 4,4175 3,8823 3,5164 3,3694 3,4065 3,5472 3,7260 3,9344 4,2145 4,5983 5,0393 5,4280 5,6764 5,7516 5,6489 5,3753 4,9521 4,4120 3,7942 3,1444 2,5214 2,0030 1,6855 1,6654 1,9893 2,6020 3,3447 4,0150 4,4518 4,6076 4,5734 4,5245 4,6118 4,8855 5,3068 5,8154 6,3851 7,0170 7,6832 8,2968 8,7316 8,8496 8,5265 7,7042 6,4624 5,0427 3,7870 3,0192 2,9247 3,4941 4,5812 6,0087 7,6041 9,1737 10,5024 11,3926 11,7077 11,4200 10,6397 9,5753 8,4435 7,3802 6,3970 5,4214 4,3984 3,3662 2,4583 1,8388 1,6136 1,7782 2,2261 2,7869 3,2748 3,5423 3,5116 3,1801 2,6113 1,9027 1,1554 0,4785 -0,0129 -0,2369 -0,1654 0,2124 0,9181 1,9505 3,2386 4,6520 6,0677 7,4102 8,6075 9,5452 10,1149 10,2897 10,1288 9,7319 9,1833 8,5152 7,7266 6,8561 6,0397 5,4840 5,3610 5,7034 6,3584 7,0406 7,4744 7,5123 7,1536 6,5147 5,7863 5,1674 4,7843 4,6173 4,5212 4,3557 4,0810 3,7366 3,3702 2,9940 2,5952 2,1765 1,7709 1,4339 1,2462 1,3131 1,7083 2,3857 3,1582 3,7649 3,9733 3,6685 2,8858 1,7850 0,5893 -0,4988 -1,3489 -1,8974 -2,1286 -2,0679 -1,7745 -1,3313 -0,8304 -0,3634 -0,0307 0,0621 -0,1523 -0,6576 -1,3424 -2,0412 -2,6215 -3,0341 -3,2666 -3,2787 -3,0184 -2,4870 -1,7675 -0,9987 -0,3265 0,1379 0,3407 0,2883 0,0361 -0,3389 -0,7762 -1,2612 -1,7988 -2,3404 -2,7616 -2,9306 -2,7888 -2,3807 -1,8332 -1,2885 -0,8327 -0,4880 -0,2570 -0,1458 -0,1467 -0,2094 -0,2370 -0,1410 0,1012 0,4507
Fz    0,3585 0,3493 0,1913 -0,1203 -0,5388 -0,9905 -1,4026 -1,7170 -1,8936 -1,9151 -1,8043 -1,6223 -1,4330 -1,2710 -1,1322 -0,9800 -0,7756 -0,5092 -0,2048 0,0897 0,3136 0,4127 0,3680 0,2120 0,0102 -0,1840 -0,3502 -0,4747 -0,5256 -0,4642 -0,2718 0,0402 0,4351 0,8578 1,2477 1,5557 1,7539 1,8310 1,7840 1,6187 1,3586 1,0539 0,7721 0,5710 0,4799 0,4917 0,5598 0,6189 0,6297 0,6161 0,6567 0,8222 1,1105 1,4413 1,7082 1,8304 1,7773 1,5724 1,2787 0,9672 0,6835 0,4406 0,2428 0,1063 0,0466 0,0555 0,1020 0,1541 0,1988 0,2476 0,3207 0,4253 0,5540 0,7020 0,8735 1,0640 1,2358 1,3202 1,2539 1,0198 0,6488 0,1890 -0,3160 -0,8130 -1,2219 -1,4549 -1,4648 -1,2681 -0,9219 -0,4929 -0,0493 0,3411 0,6221 0,7655 0,7759 0,6762 0,4876 0,2310 -0,0529 -0,3003 -0,4566 -0,5189 -0,5298 -0,5235 -0,4941 -0,4229 -0,3194 -0,2261 -0,1905 -0,2357 -0,3615 -0,5647 -0,8445 -1,1880 -1,5614 -1,9224 -2,2429 -2,5232 -2,7816 -3,0235 -3,2119 -3,2826 -3,1948 -2,9578 -2,6132 -2,2061 -1,7652 -1,2936 -0,7687 -0,1549 0,5700 1,3797 2,1853 2,8634 3,3138 3,5021 3,4607 3,2551 2,9435 2,5685 2,1712 1,7933 1,4702 1,2390 1,1451 1,2226 1,4705 1,8534 2,3165 2,8002 3,2515 3,6262 3,8852 3,9950 3,9371 3,7258 3,4185 3,0963 2,8234 2,6181 2,4580 2,3042 2,1164 1,8669 1,5609 1,2388 0,9643 0,8088 0,8286 1,0403 1,4087 1,8512 2,2612 2,5480 2,6696 2,6404 2,5106 2,3383 2,1736 2,0477 1,9562 1,8543 1,6801 1,3961 1,0110 0,5635 0,0955 -0,3494 -0,7184 -0,9661 -1,0895 -1,1357 -1,1715 -1,2460 -1,3634 -1,4823 -1,5514 -1,5550 -1,5205 -1,4855 -1,4707 -1,4833 -1,5307 -1,6181 -1,7390 -1,8783 -2,0306 -2,2149 -2,4717 -2,8420 -3,3361 -3,9113 -4,4784 -4,9331 -5,1894 -5,1992 -4,9679 -4,5559 -4,0496 -3,5233 -3,0296 -2,6141 -2,3236 -2,1878 -2,1885 -2,2444 -2,2424 -2,1014 -1,8099 -1,4159 -0,9954 -0,6218 -0,3390 -0,1494 -0,0220 0,0881 0,2228 0,4088 0,6461 0,9112 1,1732 1,4000 1,5556 1,6079 1,5451 1,3824 1,1567 0,9152 0,6991 0,5211 0,3576 0,1725 -0,0535 -0,3182 -0,6067 -0,8976 -1,1602 -1,3437 -1,3884 -1,2604 -0,9792 -0,6126 -0,2472 0,0415 0,1993 0,1965 0,0442 -0,1954 -0,4297 -0,5727 -0,5777 -0,4553 -0,2702 -0,1145 -0,0746 -0,2053 -0,5228 -1,0180 -1,6689 -2,4178 -3,1509 -3,7325 -4,0688 -4,1383 -3,9751 -3,6312 -3,1454 -2,5407 -1,8420 -1,0950 -0,3659 0,2747 0,7626 1,0447 1,1002 0,9624 0,7034 0,3891 0,0607 -0,2423 -0,4722 -0,6058 -0,6720 -0,7326 -0,8414 -1,0166 -1,2290 -1,4040 -1,4533 -1,3323 -1,0782 -0,7877 -0,5529 -0,4075 -0,3231 -0,2452 -0,1271 0,0651 0,3551 0,7418 1,1770 1,5726 1,8513 2,0045 2,1059 2,2651 2,5584 2,9872 3,4865 3,9620 4,3313 4,5563 4,6519 4,6549 4,5756 4,3841 4,0418 3,5384 2,9142 2,2638 1,7034 1,3183 1,1334 1,1208 1,2231 1,3795 1,5517 1,7283 1,9111 2,0836 2,1804 2,1005 1,7737 1,2208 0,5555 -0,0723 -0,5444 -0,8095 -0,8847 -0,8347 -0,7434 -0,6870 -0,6989 -0,7365 -0,6979 -0,4861 -0,0638 0,5378 1,2380 1,9377 2,5604 3,0708 3,4548 3,6943 3,7700 3,6800 3,4534 3,1524 2,8624 2,6643 2,5912 2,6032 2,6169 2,5615 2,4137 2,2019 1,9911 1,8540 1,8418 1,9711 2,2248 2,5570 2,8966 3,1616 3,2947 3,2925 3,2025 3,0919 3,0072 2,9501 2,9002 2,8544 2,8240 2,8101 2,8057 2,8133 2,8434 2,9012 2,9800 3,0637 3,1278 3,1398 3,0677 2,8939 2,6268 2,3108 2,0250 1,8525 1,8420 1,9906 2,2495 2,5432 2,8051 3,0119 3,1864 3,3644 3,5569 3,7384 3,8660 3,9090 3,8736 3,8059 3,7575 3,7389 3,7066 3,6059 3,4282 3,2207 3,0429 2,9278 2,8732 2,8539 2,8512 2,8775 2,9577 3,1003 3,2995 3,5526 3,8694 4,2622 4,7193 5,1893 5,6036 5,9101 6,0783 6,0903 5,9423 5,6450 5,2187 4,6967 4,1433 3,6638 3,3760 3,3596 3,6314 4,1579 4,8705 5,6786 6,4919 7,2450 7,8993 8,4173 8,7456 8,8338 8,6664 8,2738 7,7240 7,0930 6,4232 5,7137 4,9616 4,2083 3,5412 3,0490 2,7720 2,6837 2,7071 2,7390 2,6823 2,4887 2,1759 1,8028 1,4371 1,1338 0,9243 0,8249 0,8469 0,9861 1,2195 1,5314 1,9352 2,4563 3,0964 3,8128 4,5296 5,1752 5,7238 6,1972 6,6201 6,9708 7,1871 7,2241 7,0801 6,7712 6,3219 5,7884 5,2727 4,8945 4,7293 4,7668 4,9326 5,1460 5,3557 5,5345 5,6582 5,7039 5,6609 5,5359 5,3445 5,0843 4,7232 4,2382 3,6618 3,0873 2,6350 2,3930 2,3661 2,4798 2,6346 2,7588 2,8189 2,8056 2,7192 2,5637 2,3487 2,0851 1,7747 1,4080 0,9738 0,4746 -0,0607 -0,5872 -1,0631 -1,4603 -1,7687 -1,9909 -2,1313 -2,1978 -2,2089 -2,1915 -2,1755 -2,1900 -2,2577 -2,3873 -2,5698 -2,7834 -3,0027 -3,1961 -3,3154 -3,3071 -3,1472 -2,8673 -2,5606 -2,3602 -2,3742 -2,6100 -2,9650 -3,2970 -3,5029 -3,5456 -3,4444 -3,2659 -3,1028 -3,0333 -3,0930 -3,2722 -3,5320 -3,8322 -4,1424 -4,4222 -4,6136 -4,6725 -4,5866 -4,3628 -4,0210 -3,6057 -3,1875 -2,8434 -2,6190 -2,5060
F3    0,0795 -0,1282 -0,3427 -0,5681 -0,8061 -1,0513 -1,2879 -1,4840 -1,5966 -1,5960 -1,4976 -1,3592 -1,2343 -1,1359 -1,0361 -0,8865 -0,6471 -0,3179 0,0506 0,3744 0,5711 0,5961 0,4603 0,2247 -0,0316 -0,2535 -0,4258 -0,5471 -0,6010 -0,5593 -0,3998 -0,1164 0,2746 0,7301 1,1829 1,5587 1,8020 1,8931 1,8415 1,6740 1,4329 1,1744 0,9441 0,7528 0,5912 0,4588 0,3632 0,3043 0,2787 0,2959 0,3781 0,5348 0,7445 0,9669 1,1664 1,3194 1,4125 1,4445 1,4274 1,3767 1,2983 1,1897 1,0515 0,8931 0,7253 0,5549 0,3879 0,2343 0,1109 0,0437 0,0597 0,1730 0,3801 0,6703 1,0300 1,4333 1,8293 2,1411 2,2867 2,2114 1,9032 1,3871 0,7219 0,0103 -0,6111 -1,0198 -1,1584 -1,0419 -0,7291 -0,2959 0,1761 0,6087 0,9396 1,1395 1,2148 1,1862 1,0689 0,8805 0,6615 0,4723 0,3584 0,3165 0,3052 0,2967 0,3055 0,3584 0,4512 0,5396 0,5632 0,4769 0,2605 -0,0913 -0,5699 -1,1389 -1,7286 -2,2565 -2,6673 -2,9590 -3,1702 -3,3338 -3,4391 -3,4430 -3,3121 -3,0449 -2,6647 -2,2031 -1,6839 -1,1175 -0,5083 0,1356 0,7958 1,4397 2,0155 2,4610 2,7300 2,8155 2,7479 2,5793 2,3665 2,1616 2,0038 1,9085 1,8697 1,8865 1,9813 2,1792 2,4743 2,8205 3,1498 3,4076 3,5791 3,6803 3,7252 3,7073 3,6071 3,4188 3,1723 2,9235 2,7228 2,5898 2,5124 2,4591 2,3928 2,2922 2,1633 2,0227 1,8836 1,7645 1,6998 1,7277 1,8663 2,0983 2,3781 2,6527 2,8795 3,0319 3,0986 3,0817 3,0009 2,8856 2,7536 2,5940 2,3724 2,0596 1,6599 1,2088 0,7482 0,3180 -0,0343 -0,2659 -0,3775 -0,4233 -0,4747 -0,5801 -0,7459 -0,9380 -1,1059 -1,2146 -1,2572 -1,2443 -1,1923 -1,1268 -1,0829 -1,0855 -1,1292 -1,1905 -1,2584 -1,3494 -1,4996 -1,7489 -2,1215 -2,6049 -3,1419 -3,6443 -4,0176 -4,1924 -4,1524 -3,9353 -3,5965 -3,1796 -2,7241 -2,2836 -1,9206 -1,6833 -1,5829 -1,5801 -1,5969 -1,5505 -1,3908 -1,1211 -0,7909 -0,4673 -0,2037 -0,0191 0,1062 0,2131 0,3424 0,5193 0,7455 1,0002 1,2467 1,4309 1,4867 1,3664 1,0782 0,6904 0,2969 -0,0194 -0,2090 -0,2700 -0,2453 -0,1940 -0,1603 -0,1612 -0,1913 -0,2374 -0,2872 -0,3210 -0,3066 -0,2193 -0,0700 0,0929 0,2165 0,2714 0,2497 0,1540 0,0021 -0,1670 -0,3016 -0,3520 -0,2898 -0,1279 0,0768 0,2496 0,3251 0,2571 0,0165 -0,4128 -1,0278 -1,7837 -2,5829 -3,3034 -3,8403 -4,1264 -4,1309 -3,8480 -3,2922 -2,5048 -1,5574 -0,5505 0,3977 1,1782 1,7183 1,9898 2,0113 1,8463 1,5745 1,2484 0,8877 0,5169 0,1896 -0,0446 -0,1899 -0,3038 -0,4453 -0,6329 -0,8399 -1,0113 -1,0829 -1,0094 -0,7973 -0,5100 -0,2332 -0,0260 0,1025 0,1860 0,2775 0,4289 0,6763 1,0262 1,4373 1,8214 2,0877 2,2028 2,2126 2,2135 2,2975 2,5107 2,8447 3,2518 3,6685 4,0365 4,3160 4,4836 4,5196 4,4052 4,1306 3,6985 3,1300 2,4760 1,8195 1,2588 0,8784 0,7178 0,7579 0,9408 1,2050 1,5050 1,8076 2,0716 2,2274 2,1875 1,8938 1,3645 0,6994 0,0380 -0,4945 -0,8197 -0,9142 -0,8093 -0,5817 -0,3243 -0,0980 0,1003 0,3207 0,6140 1,0053 1,4858 2,0093 2,5059 2,9210 3,2346 3,4415 3,5355 3,5250 3,4460 3,3438 3,2503 3,1845 3,1616 3,1819 3,2143 3,2099 3,1314 2,9726 2,7669 2,5845 2,5052 2,5758 2,7880 3,0913 3,4253 3,7352 3,9722 4,1040 4,1312 4,0859 4,0144 3,9526 3,9088 3,8755 3,8581 3,8724 3,9168 3,9695 4,0083 4,0237 4,0206 4,0148 4,0215 4,0417 4,0570 4,0374 3,9528 3,7859 3,5500 3,2948 3,0880 2,9857 3,0098 3,1413 3,3327 3,5329 3,7139 3,8768 4,0335 4,1796 4,2926 4,3559 4,3709 4,3518 4,3160 4,2705 4,2011 4,0754 3,8672 3,5880 3,2884 3,0273 2,8472 2,7681 2,7835 2,8691 2,9990 3,1509 3,3062 3,4621 3,6399 3,8701 4,1675 4,5164 4,8765 5,2070 5,4862 5,7082 5,8638 5,9290 5,8662 5,6378 5,2340 4,7053 4,1718 3,7830 3,6551 3,8359 4,3048 4,9914 5,8011 6,6411 7,4344 8,1179 8,6304 8,9104 8,9199 8,6689 8,2129 7,6308 6,9942 6,3380 5,6599 4,9560 4,2571 3,6316 3,1531 2,8590 2,7311 2,7075 2,7050 2,6441 2,4768 2,2046 1,8677 1,5224 1,2207 0,9983 0,8802 0,8882 1,0291 1,2852 1,6311 2,0581 2,5752 3,1868 3,8705 4,5797 5,2679 5,9060 6,4766 6,9586 7,3181 7,5201 7,5562 7,4482 7,2227 6,9028 6,5276 6,1677 5,9121 5,8265 5,9163 6,1261 6,3723 6,5800 6,6982 6,6969 6,5739 6,3603 6,1077 5,8578 5,6094 5,3199 4,9559 4,5347 4,1163 3,7697 3,5414 3,4360 3,4183 3,4361 3,4466 3,4318 3,3983 3,3639 3,3356 3,2959 3,2046 3,0119 2,6784 2,1913 1,5767 0,9038 0,2632 -0,2685 -0,6511 -0,8834 -0,9903 -1,0034 -0,9485 -0,8486 -0,7334 -0,6458 -0,6333 -0,7276 -0,9311 -1,2140 -1,5237 -1,8068 -2,0240 -2,1438 -2,1373 -1,9933 -1,7396 -1,4507 -1,2294 -1,1575 -1,2446 -1,4273 -1,6213 -1,7730 -1,8699 -1,9262 -1,9754 -2,0605 -2,2086 -2,4132 -2,6389 -2,8432 -3,0055 -3,1365 -3,2489 -3,3299 -3,3528 -3,2989 -3,1628 -2,9532 -2,6929 -2,4110 -2,1356 -1,8846 -1,6600
F7    -0,0830 -0,1203 -0,2690 -0,5046 -0,7812 -1,0527 -1,2794 -1,4256 -1,4619 -1,3765 -1,1954 -0,9790 -0,7838 -0,6371 -0,5407 -0,4757 -0,4115 -0,3275 -0,2251 -0,1173 -0,0222 0,0378 0,0456 0,0043 -0,0708 -0,1743 -0,3115 -0,4723 -0,6133 -0,6686 -0,5787 -0,3223 0,0694 0,5309 0,9945 1,4080 1,7372 1,9610 2,0592 2,0077 1,7973 1,4616 1,0730 0,7099 0,4255 0,2388 0,1421 0,1203 0,1676 0,2897 0,4916 0,7613 1,0620 1,3458 1,5737 1,7169 1,7462 1,6437 1,4295 1,1646 0,9160 0,7205 0,5872 0,5207 0,5274 0,6009 0,7138 0,8317 0,9380 1,0411 1,1507 1,2585 1,3544 1,4497 1,5710 1,7305 1,9027 2,0290 2,0478 1,9283 1,6840 1,3540 0,9808 0,6141 0,3190 0,1500 0,1174 0,1914 0,3338 0,5181 0,7270 0,9409 1,1307 1,2705 1,3536 1,3872 1,3712 1,3031 1,2049 1,1260 1,1042 1,1316 1,1686 1,1882 1,1982 1,2161 1,2328 1,2096 1,1093 0,9236 0,6681 0,3583 0,0017 -0,3899 -0,7930 -1,1785 -1,5263 -1,8380 -2,1304 -2,4087 -2,6443 -2,7854 -2,7852 -2,6226 -2,3088 -1,8786 -1,3706 -0,8154 -0,2350 0,3570 0,9534 1,5407 2,0888 2,5569 2,9119 3,1431 3,2617 3,2820 3,2107 3,0626 2,8761 2,6973 2,5584 2,4828 2,4958 2,6130 2,8237 3,0945 3,3842 3,6586 3,9012 4,1100 4,2832 4,4063 4,4562 4,4222 4,3224 4,1931 4,0598 3,9234 3,7723 3,5968 3,3897 3,1498 2,8936 2,6548 2,4705 2,3680 2,3601 2,4499 2,6286 2,8645 3,1015 3,2777 3,3533 3,3313 3,2469 3,1388 3,0299 2,9261 2,8196 2,6976 2,5519 2,3816 2,1864 1,9606 1,6987 1,4097 1,1288 0,9031 0,7556 0,6680 0,5976 0,5030 0,3686 0,2170 0,0866 -0,0061 -0,0755 -0,1457 -0,2292 -0,3284 -0,4452 -0,5810 -0,7297 -0,8832 -1,0407 -1,2068 -1,3851 -1,5841 -1,8226 -2,1130 -2,4360 -2,7385 -2,9570 -3,0442 -2,9856 -2,8010 -2,5274 -2,2011 -1,8564 -1,5376 -1,2982 -1,1744 -1,1594 -1,2019 -1,2304 -1,1851 -1,0391 -0,8026 -0,5152 -0,2278 0,0168 0,1985 0,3272 0,4346 0,5604 0,7380 0,9757 1,2513 1,5257 1,7565 1,9023 1,9304 1,8325 1,6342 1,3829 1,1258 0,8968 0,7121 0,5674 0,4454 0,3308 0,2166 0,1040 -0,0027 -0,1001 -0,1780 -0,2109 -0,1744 -0,0695 0,0743 0,2159 0,3213 0,3700 0,3556 0,2904 0,2095 0,1594 0,1801 0,2910 0,4800 0,7000 0,8864 0,9776 0,9295 0,7238 0,3701 -0,0994 -0,6329 -1,1593 -1,6025 -1,9044 -2,0375 -2,0002 -1,8054 -1,4722 -1,0214 -0,4752 0,1348 0,7607 1,3423 1,8183 2,1376 2,2763 2,2518 2,1116 1,8995 1,6371 1,3420 1,0502 0,7974 0,5843 0,3807 0,1663 -0,0431 -0,2027 -0,2575 -0,1656 0,0754 0,4163 0,7732 1,0684 1,2663 1,3808 1,4543 1,5332 1,6579 1,8567 2,1302 2,4359 2,6975 2,8410 2,8377 2,7275 2,6055 2,5741 2,6899 2,9441 3,2791 3,6195 3,9058 4,1177 4,2653 4,3518 4,3516 4,2277 3,9642 3,5871 3,1657 2,7860 2,5113 2,3634 2,3299 2,3796 2,4717 2,5674 2,6427 2,6918 2,7099 2,6710 2,5292 2,2517 1,8558 1,4144 1,0218 0,7508 0,6321 0,6579 0,7950 0,9926 1,1916 1,3459 1,4539 1,5644 1,7415 2,0208 2,3954 2,8232 3,2490 3,6320 3,9576 4,2211 4,4099 4,5081 4,5091 4,4238 4,2819 4,1290 4,0113 3,9466 3,9104 3,8571 3,7547 3,6015 3,4291 3,2941 3,2493 3,3140 3,4705 3,6823 3,9146 4,1414 4,3398 4,4941 4,6083 4,7013 4,7897 4,8682 4,9095 4,8953 4,8444 4,7916 4,7459 4,6861 4,5932 4,4736 4,3552 4,2719 4,2551 4,3215 4,4520 4,5854 4,6443 4,5761 4,3828 4,1167 3,8478 3,6294 3,4883 3,4315 3,4560 3,5557 3,7272 3,9671 4,2542 4,5355 4,7406 4,8236 4,7945 4,7103 4,6329 4,5919 4,5734 4,5348 4,4388 4,2865 4,1167 3,9752 3,8911 3,8710 3,9020 3,9618 4,0328 4,1008 4,1498 4,1716 4,1822 4,2229 4,3340 4,5215 4,7494 4,9679 5,1454 5,2750 5,3612 5,4065 5,4068 5,3553 5,2533 5,1249 5,0230 5,0088 5,1210 5,3670 5,7329 6,1888 6,6896 7,1850 7,6381 8,0312 8,3445 8,5368 8,5577 8,3788 8,0157 7,5295 6,9985 6,4721 5,9473 5,3968 4,8207 4,2686 3,8124 3,4972 3,3110 3,1908 3,0529 2,8315 2,5111 2,1274 1,7436 1,4251 1,2233 1,1640 1,2509 1,4700 1,7885 2,1639 2,5684 3,0008 3,4714 3,9768 4,4918 4,9848 5,4419 5,8752 6,3036 6,7239 7,0971 7,3670 7,4977 7,4861 7,3493 7,1209 6,8551 6,6200 6,4789 6,4664 6,5783 6,7835 7,0420 7,3076 7,5214 7,6198 7,5582 7,3281 6,9573 6,4987 6,0025 5,4999 5,0188 4,5958 4,2624 4,0276 3,8790 3,7945 3,7566 3,7568 3,7880 3,8347 3,8727 3,8781 3,8302 3,7124 3,5129 3,2252 2,8512 2,4069 1,9238 1,4462 1,0186 0,6679 0,3959 0,1891 0,0383 -0,0527 -0,0756 -0,0332 0,0565 0,1624 0,2425 0,2554 0,1797 0,0303 -0,1448 -0,2952 -0,3940 -0,4298 -0,3941 -0,2897 -0,1426 -0,0051 0,0535 -0,0176 -0,2064 -0,4358 -0,6141 -0,6926 -0,6823 -0,6363 -0,6213 -0,6865 -0,8407 -1,0571 -1,2915 -1,5022 -1,6735 -1,8222 -1,9660 -2,0944 -2,1784 -2,1921 -2,1169 -1,9442 -1,6866 -1,3847 -1,0984 -0,8809 -0,7516
