Fp1   0,6424 0,7224 0,8418 0,9973 1,1572 1,2606 1,2394 1,0537 0,7197 0,3089 -0,0870 -0,4009 -0,6072 -0,7101 -0,7264 -0,6747 -0,5690 -0,4143 -0,2116 0,0320 0,2989 0,5589 0,7707 0,8988 0,9399 0,9306 0,9240 0,9550 1,0189 1,0779 1,0871 1,0157 0,8542 0,6148 0,3318 0,0473 -0,2093 -0,4255 -0,6027 -0,7591 -0,9241 -1,1172 -1,3300 -1,5318 -1,6877 -1,7736 -1,7803 -1,7127 -1,5913 -1,4535 -1,3417 -1,2810 -1,2689 -1,2858 -1,3111 -1,3293 -1,3281 -1,2975 -1,2328 -1,1426 -1,0437 -0,9409 -0,8200 -0,6631 -0,4654 -0,2324 0,0330 0,3290 0,6421 0,9485 1,2268 1,4599 1,6311 1,7325 1,7731 1,7713 1,7479 1,7285 1,7375 1,7802 1,8435 1,9086 1,9554 1,9702 1,9618 1,9531 1,9521 1,9467 1,9279 1,8995 1,8697 1,8478 1,8493 1,8942 1,9929 2,1350 2,2990 2,4717 2,6482 2,8158 2,9521 3,0367 3,0602 3,0278 2,9558 2,8593 2,7457 2,6146 2,4607 2,2786 2,0685 1,8342 1,5831 1,3261 1,0731 0,8277 0,5850 0,3339 0,0636 -0,2267 -0,5202 -0,7813 -0,9693 -1,0582 -1,0516 -0,9808 -0,8889 -0,8095 -0,7555 -0,7187 -0,6696 -0,5596 -0,3398 0,0153 0,4987 1,0778 1,7128 2,3702 3,0231 3,6489 4,2366 4,7900 5,3153 5,8125 6,2870 6,7563 7,2284 7,6808 8,0721 8,3734 8,5893 8,7535 8,9001 9,0375 9,1467 9,1940 9,1468 8,9952 8,7618 8,4817 8,1719 7,8285 7,4517 7,0679 6,7210 6,4452 6,2455 6,1062 6,0200 5,9997 6,0595 6,1898 6,3581 6,5326 6,6989 6,8592 7,0268 7,2194 7,4448 7,6882 7,9150 8,0946 8,2214 8,3111 8,3794 8,4283 8,4484 8,4272 8,3582 8,2418 8,0824 7,8939 7,7023 7,5304 7,3801 7,2333 7,0700 6,8885 6,7118 6,5727 6,4866 6,4385 6,3928 6,3122 6,1736 5,9778 5,7484 5,5134 5,2869 5,0661 4,8453 4,6278 4,4209 4,2227 4,0229 3,8137 3,5977 3,3801 3,1634 2,9526 2,7600 2,5944 2,4555 2,3436 2,2692 2,2475 2,2905 2,3966 2,5434 2,6894 2,7903 2,8158 2,7618 2,6558 2,5467 2,4787 2,4725 2,5228 2,6043 2,6829 2,7320 2,7398 2,7022 2,6088 2,4428 2,2045 1,9337 1,6921 1,5204 1,4146 1,3407 1,2603 1,1466 0,9947 0,8260 0,6752 0,5645 0,4903 0,4344 0,3867 0,3557 0,3612 0,4154 0,5110 0,6273 0,7410 0,8243 0,8472 0,7954 0,6801 0,5278 0,3629 0,2001 0,0478 -0,0857 -0,1907 -0,2631 -0,3146 -0,3709 -0,4532 -0,5687 -0,7155 -0,8876 -1,0813 -1,3053 -1,5689 -1,8562 -2,1256 -2,3386 -2,4821 -2,5684 -2,6192 -2,6488 -2,6613 -2,6624 -2,6682 -2,6988 -2,7611 -2,8357 -2,8878 -2,8958 -2,8640 -2,8058 -2,7246 -2,6162 -2,4801 -2,3199 -2,1422 -1,9587 -1,7881 -1,6482 -1,5426 -1,4524 -1,3443 -1,1907 -0,9833 -0,7354 -0,4828 -0,2729 -0,1404 -0,0862 -0,0825 -0,0937 -0,0969 -0,0871 -0,0692 -0,0484 -0,0245 0,0097 0,0640 0,1443 0,2551 0,4017 0,5851 0,7956 1,0123 1,2064 1,3532 1,4446 1,4863 1,4860 1,4497 1,3834 1,3025 1,2415 1,2465 1,3514 1,5573 1,8330 2,1335 2,4179 2,6538 2,8133 2,8767 2,8469 2,7557 2,6418 2,5314 2,4324 2,3360 2,2301 2,1224 2,0433 2,0239 2,0709 2,1654 2,2867 2,4318 2,6093 2,8212 3,0618 3,3268 3,6112 3,8973 4,1535 4,3427 4,4272 4,3796 4,2019 3,9320 3,6256 3,3325 3,0822 2,8872 2,7533 2,6844 2,6761 2,7086 2,7489 2,7611 2,7186 2,6105 2,4421 2,2311 2,0058 1,8023 1,6535 1,5723 1,5476 1,5542 1,5651 1,5523 1,4893 1,3685 1,2111 1,0506 0,9071 0,7814 0,6673 0,5636 0,4802 0,4425 0,4877 0,6465 0,9197 1,2721 1,6462 1,9840 2,2436 2,4078 2,4831 2,4898 2,4514 2,3919 2,3380 2,3194 2,3649 2,4983 2,7281 3,0325 3,3646 3,6779 3,9401 4,1285 4,2231 4,2041 4,0580 3,7907 3,4384 3,0662 2,7470 2,5293 2,4209 2,4068 2,4735 2,6069 2,7818 2,9660 3,1315 3,2614 3,3503 3,3978 3,4047 3,3731 3,3085 3,2181 3,1077 2,9831 2,8536 2,7328 2,6340 2,5688 2,5473 2,5787 2,6693 2,8168 3,0074 3,2199 3,4315 3,6273 3,8122 4,0056 4,2154 4,4202 4,5818 4,6697 4,6747 4,6122 4,5155 4,4171 4,3310 4,2502 4,1532 4,0083 3,7851 3,4752 3,1050 2,7190 2,3489 2,0044 1,6854 1,3898 1,1126 0,8480 0,6017 0,3977 0,2695 0,2409 0,3181 0,4888 0,7211 0,9612 1,1463 1,2315 1,2088 1,1062 0,9650 0,8137 0,6633 0,5230 0,4018 0,3007 0,2134 0,1350 0,0677 0,0266 0,0360 0,1126 0,2537 0,4411 0,6511 0,8631 1,0730 1,2966 1,5514 1,8312 2,1037 2,3353 2,5177 2,6707 2,8219 2,9790 3,1169 3,1964 3,1962 3,1225 2,9914 2,8137 2,6010 2,3765 2,1693 1,9986 1,8666 1,7619 1,6693 1,5806 1,5040 1,4673 1,5075 1,6474 1,8773 2,1610 2,4566 2,7209 2,9053 2,9695 2,9128 2,7866 2,6638 2,5938 2,5819 2,5995 2,6104 2,5930 2,5523 2,5129 2,4906 2,4677 2,4022 2,2582 2,0278 1,7329 1,4136 1,1108 0,8571 0,6777 0,5919 0,6032 0,6917 0,8259 0,9836 1,1564 1,3340 1,4928 1,6001 1,6217 1,5294 1,3148 1,0024 0,6467 0,3065 0,0180 -0,2074 -0,3660 -0,4583 -0,5038 -0,5441 -0,6255 -0,7794 -1,0145
Fz    0,7275 0,6674 0,6443 0,6802 0,7662 0,8581 0,8919 0,8142 0,6136 0,3344 0,0561 -0,1476 -0,2402 -0,2306 -0,1605 -0,0808 -0,0280 -0,0120 -0,0196 -0,0272 -0,0145 0,0256 0,0850 0,1499 0,2162 0,2925 0,3871 0,4961 0,6024 0,6838 0,7230 0,7083 0,6330 0,5046 0,3511 0,2043 0,0740 -0,0534 -0,1976 -0,3741 -0,5891 -0,8319 -1,0720 -1,2689 -1,3914 -1,4294 -1,3947 -1,3118 -1,2075 -1,1079 -1,0361 -1,0009 -0,9930 -0,9947 -0,9942 -0,9908 -0,9916 -1,0024 -1,0192 -1,0322 -1,0301 -0,9956 -0,9067 -0,7539 -0,5516 -0,3255 -0,0903 0,1537 0,4082 0,6696 0,9306 1,1761 1,3818 1,5227 1,5820 1,5595 1,4777 1,3822 1,3236 1,3337 1,4172 1,5596 1,7321 1,9024 2,0520 2,1769 2,2700 2,3178 2,3144 2,2699 2,2046 2,1424 2,1089 2,1272 2,2058 2,3292 2,4683 2,6006 2,7138 2,7970 2,8364 2,8224 2,7571 2,6575 2,5475 2,4437 2,3478 2,2470 2,1187 1,9435 1,7152 1,4415 1,1420 0,8448 0,5738 0,3362 0,1171 -0,1142 -0,3898 -0,7260 -1,1110 -1,5047 -1,8507 -2,0994 -2,2294 -2,2539 -2,2076 -2,1255 -2,0260 -1,9039 -1,7272 -1,4451 -1,0111 -0,4088 0,3383 1,1772 2,0476 2,9012 3,7046 4,4395 5,1080 5,7327 6,3415 6,9514 7,5689 8,1979 8,8353 9,4621 10,0463 10,5580 10,9821 11,3216 11,5883 11,7910 11,9303 11,9962 11,9707 11,8441 11,6316 11,3631 11,0591 10,7257 10,3751 10,0414 9,7689 9,5864 9,4914 9,4603 9,4728 9,5228 9,6047 9,7003 9,7915 9,8830 10,0026 10,1795 10,4247 10,7268 11,0560 11,3700 11,6248 11,7937 11,8826 11,9171 11,9162 11,8791 11,7919 11,6421 11,4301 11,1690 10,8735 10,5564 10,2320 9,9165 9,6233 9,3606 9,1351 8,9577 8,8468 8,8155 8,8528 8,9169 8,9503 8,9030 8,7506 8,5034 8,2000 7,8885 7,6037 7,3572 7,1473 6,9713 6,8247 6,6939 6,5637 6,4292 6,2948 6,1593 6,0098 5,8310 5,6145 5,3575 5,0675 4,7727 4,5148 4,3291 4,2345 4,2353 4,3206 4,4639 4,6283 4,7769 4,8831 4,9394 4,9562 4,9512 4,9413 4,9405 4,9544 4,9724 4,9710 4,9264 4,8236 4,6524 4,4035 4,0836 3,7325 3,4092 3,1546 2,9719 2,8365 2,7181 2,5980 2,4771 2,3717 2,2970 2,2496 2,2068 2,1447 2,0586 1,9670 1,8980 1,8673 1,8690 1,8857 1,9008 1,8971 1,8600 1,7907 1,7084 1,6318 1,5607 1,4782 1,3657 1,2167 1,0383 0,8453 0,6504 0,4625 0,2915 0,1429 0,0074 -0,1394 -0,3253 -0,5734 -0,8915 -1,2599 -1,6330 -1,9628 -2,2216 -2,4074 -2,5316 -2,6003 -2,6101 -2,5589 -2,4569 -2,3230 -2,1726 -2,0127 -1,8496 -1,6967 -1,5698 -1,4721 -1,3861 -1,2873 -1,1608 -1,0022 -0,8136 -0,6052 -0,3937 -0,1926 -0,0019 0,1918 0,4070 0,6543 0,9308 1,2176 1,4782 1,6722 1,7820 1,8259 1,8449 1,8771 1,9367 2,0084 2,0623 2,0740 2,0391 1,9762 1,9188 1,9005 1,9417 2,0428 2,1867 2,3518 2,5222 2,6844 2,8259 2,9410 3,0309 3,0972 3,1357 3,1384 3,1082 3,0698 3,0637 3,1284 3,2849 3,5292 3,8344 4,1576 4,4488 4,6632 4,7754 4,7971 4,7753 4,7627 4,7879 4,8489 4,9199 4,9687 4,9797 4,9621 4,9386 4,9266 4,9322 4,9624 5,0357 5,1702 5,3653 5,6017 5,8571 6,1133 6,3502 6,5424 6,6628 6,6815 6,5720 6,3327 6,0003 5,6357 5,2982 5,0259 4,8289 4,6948 4,6018 4,5296 4,4644 4,4010 4,3403 4,2828 4,2248 4,1629 4,1010 4,0524 4,0343 4,0526 4,0905 4,1148 4,0978 4,0300 3,9122 3,7456 3,5377 3,3089 3,0836 2,8768 2,6932 2,5346 2,4050 2,3137 2,2808 2,3366 2,5053 2,7822 3,1295 3,4895 3,8041 4,0352 4,1772 4,2510 4,2878 4,3148 4,3464 4,3827 4,4207 4,4705 4,5598 4,7185 4,9508 5,2281 5,5075 5,7502 5,9241 6,0012 5,9582 5,7841 5,4911 5,1214 4,7387 4,4059 4,1584 3,9961 3,9039 3,8746 3,9044 3,9816 4,0883 4,2055 4,3113 4,3828 4,4026 4,3663 4,2850 4,1786 4,0620 3,9395 3,8114 3,6816 3,5583 3,4516 3,3701 3,3189 3,3040 3,3366 3,4257 3,5669 3,7425 3,9316 4,1213 4,3128 4,5133 4,7163 4,8918 5,0008 5,0184 4,9456 4,8092 4,6517 4,5141 4,4206 4,3752 4,3598 4,3359 4,2585 4,1005 3,8663 3,5813 3,2720 2,9584 2,6540 2,3648 2,0859 1,8065 1,5250 1,2609 1,0489 0,9230 0,9025 0,9855 1,1419 1,3131 1,4327 1,4577 1,3847 1,2390 1,0509 0,8386 0,6093 0,3724 0,1413 -0,0731 -0,2603 -0,4033 -0,4771 -0,4531 -0,3128 -0,0650 0,2543 0,5993 0,9301 1,2243 1,4857 1,7442 2,0329 2,3587 2,6915 2,9871 3,2237 3,4200 3,6170 3,8416 4,0866 4,3242 4,5340 4,7110 4,8521 4,9446 4,9744 4,9403 4,8564 4,7422 4,6120 4,4697 4,3132 4,1469 3,9928 3,8900 3,8823 3,9932 4,2034 4,4548 4,6785 4,8184 4,8419 4,7485 4,5781 4,4010 4,2860 4,2659 4,3253 4,4154 4,4788 4,4722 4,3843 4,2339 4,0461 3,8286 3,5734 3,2764 2,9507 2,6235 2,3240 2,0696 1,8611 1,6938 1,5687 1,4923 1,4668 1,4862 1,5425 1,6291 1,7339 1,8330 1,8942 1,8813 1,7610 1,5192 1,1781 0,7975 0,4534 0,2030 0,0654 0,0269 0,0560 0,1091 0,1385 0,1095 0,0089 -0,1583
F3    0,9762 0,8516 0,7790 0,7917 0,8834 0,9990 1,0547 0,9771 0,7439 0,3994 0,0335 -0,2642 -0,4399 -0,4875 -0,4406 -0,3517 -0,2651 -0,1985 -0,1444 -0,0863 -0,0142 0,0711 0,1623 0,2496 0,3283 0,4015 0,4716 0,5312 0,5657 0,5610 0,5086 0,4029 0,2421 0,0395 -0,1685 -0,3399 -0,4537 -0,5172 -0,5562 -0,6046 -0,6902 -0,8149 -0,9484 -1,0421 -1,0562 -0,9777 -0,8238 -0,6300 -0,4347 -0,2743 -0,1776 -0,1544 -0,1920 -0,2662 -0,3568 -0,4540 -0,5543 -0,6500 -0,7240 -0,7627 -0,7638 -0,7245 -0,6321 -0,4765 -0,2627 -0,0067 0,2773 0,5762 0,8706 1,1377 1,3640 1,5485 1,6930 1,7940 1,8419 1,8262 1,7500 1,6421 1,5479 1,5068 1,5384 1,6402 1,7849 1,9301 2,0419 2,1029 2,0992 2,0213 1,8788 1,7019 1,5277 1,3909 1,3207 1,3359 1,4354 1,5925 1,7698 1,9403 2,0923 2,2155 2,2956 2,3212 2,2938 2,2306 2,1548 2,0798 2,0033 1,9080 1,7685 1,5641 1,2906 0,9639 0,6186 0,2994 0,0413 -0,1477 -0,2886 -0,4232 -0,5968 -0,8364 -1,1355 -1,4559 -1,7446 -1,9561 -2,0712 -2,1018 -2,0773 -2,0228 -1,9451 -1,8293 -1,6406 -1,3360 -0,8855 -0,2905 0,4149 1,1782 1,9487 2,6922 3,3884 4,0269 4,6123 5,1687 5,7268 6,3057 6,9107 7,5403 8,1814 8,8026 9,3620 9,8272 10,1906 10,4689 10,6867 10,8591 10,9830 11,0368 10,9911 10,8319 10,5773 10,2641 9,9192 9,5523 9,1745 8,8161 8,5223 8,3289 8,2416 8,2414 8,3089 8,4357 8,6093 8,7992 8,9715 9,1177 9,2611 9,4370 9,6686 9,9552 10,2698 10,5674 10,8011 10,9466 11,0116 11,0191 10,9847 10,9106 10,7936 10,6341 10,4392 10,2176 9,9724 9,7046 9,4222 9,1376 8,8606 8,5977 8,3558 8,1472 7,9919 7,9063 7,8852 7,8962 7,8897 7,8166 7,6469 7,3834 7,0609 6,7279 6,4217 6,1556 5,9267 5,7301 5,5575 5,3922 5,2181 5,0354 4,8613 4,7109 4,5804 4,4502 4,2967 4,1012 3,8624 3,6084 3,3845 3,2287 3,1625 3,1941 3,3164 3,5009 3,6997 3,8602 3,9470 3,9563 3,9126 3,8506 3,8008 3,7826 3,7985 3,8281 3,8396 3,8075 3,7189 3,5625 3,3266 3,0175 2,6785 2,3718 2,1408 1,9909 1,8993 1,8352 1,7730 1,7018 1,6293 1,5738 1,5462 1,5407 1,5436 1,5476 1,5551 1,5686 1,5785 1,5662 1,5179 1,4313 1,3067 1,1474 0,9700 0,8046 0,6724 0,5696 0,4765 0,3786 0,2781 0,1903 0,1325 0,1119 0,1211 0,1437 0,1567 0,1300 0,0346 -0,1443 -0,4047 -0,7314 -1,0918 -1,4358 -1,7163 -1,9104 -2,0223 -2,0679 -2,0565 -1,9874 -1,8629 -1,7032 -1,5429 -1,4111 -1,3175 -1,2574 -1,2242 -1,2143 -1,2174 -1,2109 -1,1706 -1,0836 -0,9444 -0,7512 -0,5115 -0,2444 0,0287 0,2938 0,5492 0,8022 1,0616 1,3303 1,6011 1,8546 2,0693 2,2401 2,3817 2,5156 2,6550 2,7962 2,9190 2,9969 3,0091 2,9530 2,8495 2,7364 2,6525 2,6240 2,6599 2,7548 2,8990 3,0820 3,2851 3,4828 3,6553 3,7893 3,8711 3,8842 3,8180 3,6832 3,5211 3,3930 3,3572 3,4463 3,6565 3,9511 4,2724 4,5565 4,7494 4,8244 4,7959 4,7121 4,6237 4,5581 4,5183 4,4887 4,4471 4,3823 4,3030 4,2308 4,1840 4,1718 4,2070 4,3141 4,5137 4,7980 5,1295 5,4637 5,7654 6,0100 6,1829 6,2769 6,2808 6,1763 5,9597 5,6617 5,3402 5,0540 4,8375 4,6896 4,5845 4,4949 4,4067 4,3193 4,2392 4,1737 4,1225 4,0744 4,0165 3,9490 3,8895 3,8636 3,8870 3,9495 4,0157 4,0441 4,0080 3,8991 3,7234 3,5015 3,2693 3,0651 2,9122 2,8136 2,7609 2,7454 2,7662 2,8350 2,9752 3,2047 3,5155 3,8679 4,2029 4,4617 4,6091 4,6462 4,6058 4,5326 4,4633 4,4119 4,3678 4,3163 4,2668 4,2625 4,3562 4,5683 4,8708 5,2086 5,5222 5,7574 5,8709 5,8377 5,6583 5,3623 5,0038 4,6461 4,3420 4,1135 3,9490 3,8290 3,7515 3,7262 3,7579 3,8408 3,9580 4,0844 4,1943 4,2679 4,2945 4,2762 4,2263 4,1566 4,0691 3,9629 3,8448 3,7321 3,6488 3,6150 3,6344 3,6974 3,7953 3,9267 4,0913 4,2835 4,4894 4,6897 4,8680 5,0138 5,1160 5,1597 5,1360 5,0498 4,9194 4,7751 4,6518 4,5733 4,5432 4,5522 4,5837 4,6113 4,6040 4,5398 4,4122 4,2207 3,9637 3,6448 3,2819 2,9024 2,5286 2,1719 1,8440 1,5696 1,3807 1,3007 1,3374 1,4819 1,7005 1,9326 2,1070 2,1713 2,1088 1,9373 1,6939 1,4173 1,1407 0,8913 0,6824 0,5093 0,3614 0,2386 0,1588 0,1539 0,2525 0,4593 0,7510 1,0887 1,4319 1,7527 2,0484 2,3391 2,6447 2,9566 3,2318 3,4220 3,5147 3,5480 3,5858 3,6751 3,8223 4,0063 4,2039 4,4016 4,5873 4,7412 4,8428 4,8848 4,8779 4,8386 4,7751 4,6802 4,5407 4,3565 4,1527 3,9776 3,8848 3,9044 4,0217 4,1849 4,3320 4,4123 4,3959 4,2831 4,1116 3,9477 3,8546 3,8605 3,9494 4,0755 4,1846 4,2331 4,2050 4,1147 3,9842 3,8184 3,6070 3,3453 3,0493 2,7521 2,4879 2,2752 2,1112 1,9824 1,8803 1,8070 1,7705 1,7798 1,8421 1,9570 2,1066 2,2526 2,3439 2,3291 2,1739 1,8809 1,4963 1,0955 0,7550 0,5210 0,3979 0,3603 0,3716 0,3880 0,3651 0,2752 0,1149 -0,1030
F7    0,2791 0,2622 0,2425 0,2603 0,3453 0,5026 0,7012 0,8757 0,9568 0,9131 0,7667 0,5718 0,3787 0,2112 0,0646 -0,0762 -0,2133 -0,3241 -0,3720 -0,3318 -0,2060 -0,0179 0,2042 0,4362 0,6595 0,8624 1,0392 1,1825 1,2771 1,3005 1,2334 1,0659 0,7966 0,4439 0,0606 -0,2823 -0,5342 -0,6864 -0,7653 -0,8152 -0,8788 -0,9781 -1,1102 -1,2558 -1,3881 -1,4828 -1,5322 -1,5488 -1,5497 -1,5447 -1,5342 -1,5066 -1,4330 -1,2815 -1,0545 -0,8084 -0,6258 -0,5630 -0,6185 -0,7446 -0,8787 -0,9607 -0,9401 -0,7917 -0,5265 -0,1774 0,2260 0,6581 1,0826 1,4536 1,7317 1,8948 1,9394 1,8747 1,7121 1,4636 1,1618 0,8762 0,6956 0,6911 0,8919 1,2778 1,7780 2,2863 2,6986 2,9462 3,0037 2,8813 2,6163 2,2670 1,9061 1,6116 1,4478 1,4425 1,5794 1,8118 2,0900 2,3767 2,6427 2,8587 3,0010 3,0584 3,0363 2,9585 2,8563 2,7523 2,6595 2,5839 2,5158 2,4260 2,2800 2,0572 1,7649 1,4418 1,1445 0,9160 0,7539 0,6059 0,4053 0,1225 -0,2136 -0,5361 -0,7796 -0,9099 -0,9282 -0,8593 -0,7391 -0,6089 -0,5071 -0,4503 -0,4144 -0,3377 -0,1549 0,1618 0,5901 1,0737 1,5563 2,0104 2,4424 2,8740 3,3259 3,8135 4,3433 4,9051 5,4719 6,0164 6,5256 6,9939 7,4102 7,7573 8,0282 8,2386 8,4161 8,5788 8,7203 8,8045 8,7800 8,6175 8,3396 8,0061 7,6707 7,3564 7,0601 6,7768 6,5224 6,3269 6,2025 6,1310 6,0870 6,0604 6,0503 6,0525 6,0617 6,0849 6,1476 6,2859 6,5244 6,8582 7,2514 7,6480 7,9899 8,2422 8,4018 8,4834 8,5031 8,4717 8,3954 8,2824 8,1476 8,0067 7,8662 7,7190 7,5507 7,3472 7,1031 6,8263 6,5389 6,2771 6,0830 5,9875 5,9923 6,0637 6,1372 6,1336 5,9885 5,6908 5,2965 4,9001 4,5800 4,3578 4,2033 4,0684 3,9113 3,6998 3,4171 3,0754 2,7144 2,3750 2,0768 1,8210 1,6088 1,4488 1,3527 1,3321 1,3910 1,5138 1,6654 1,8085 1,9160 1,9683 1,9524 1,8699 1,7415 1,5986 1,4710 1,3780 1,3259 1,3154 1,3417 1,3831 1,4051 1,3856 1,3287 1,2450 1,1302 0,9745 0,7883 0,6081 0,4758 0,4164 0,4239 0,4559 0,4453 0,3391 0,1364 -0,1089 -0,3234 -0,4539 -0,4845 -0,4310 -0,3223 -0,1823 -0,0279 0,1200 0,2344 0,2898 0,2676 0,1642 0,0036 -0,1698 -0,3235 -0,4590 -0,5965 -0,7453 -0,8951 -1,0289 -1,1353 -1,2138 -1,2756 -1,3393 -1,4233 -1,5420 -1,7001 -1,8850 -2,0710 -2,2347 -2,3622 -2,4466 -2,4912 -2,5154 -2,5528 -2,6331 -2,7601 -2,9037 -3,0225 -3,0940 -3,1227 -3,1213 -3,0942 -3,0450 -2,9924 -2,9678 -2,9909 -3,0491 -3,1087 -3,1422 -3,1332 -3,0647 -2,9202 -2,6987 -2,4138 -2,0820 -1,7205 -1,3527 -1,0031 -0,6863 -0,4120 -0,1956 -0,0505 0,0279 0,0608 0,0682 0,0603 0,0403 0,0129 -0,0069 0,0082 0,0900 0,2578 0,5002 0,7739 1,0237 1,2102 1,3272 1,3997 1,4587 1,5130 1,5516 1,5744 1,6109 1,7032 1,8688 2,0756 2,2578 2,3656 2,3997 2,4011 2,4155 2,4669 2,5581 2,6820 2,8237 2,9505 3,0129 2,9752 2,8464 2,6733 2,5105 2,3907 2,3123 2,2566 2,2184 2,2129 2,2559 2,3435 2,4490 2,5420 2,6107 2,6617 2,7106 2,7856 2,9305 3,1830 3,5381 3,9362 4,2876 4,5062 4,5342 4,3611 4,0313 3,6304 3,2506 2,9576 2,7811 2,7230 2,7659 2,8698 2,9680 2,9905 2,9055 2,7296 2,4940 2,2181 1,9192 1,6276 1,3751 1,1733 1,0130 0,8860 0,7981 0,7619 0,7761 0,8197 0,8662 0,8940 0,8790 0,7937 0,6226 0,3763 0,0923 -0,1674 -0,3246 -0,3109 -0,1023 0,2680 0,7291 1,2001 1,6095 1,9056 2,0637 2,0910 2,0211 1,9015 1,7792 1,6909 1,6617 1,7081 1,8392 2,0530 2,3357 2,6691 3,0297 3,3739 3,6376 3,7619 3,7208 3,5267 3,2224 2,8714 2,5421 2,2904 2,1421 2,0884 2,1006 2,1511 2,2177 2,2874 2,3606 2,4405 2,5146 2,5581 2,5574 2,5240 2,4842 2,4594 2,4531 2,4498 2,4274 2,3729 2,2931 2,2182 2,1811 2,1856 2,2112 2,2536 2,3439 2,5208 2,7936 3,1337 3,4919 3,8199 4,0765 4,2230 4,2374 4,1395 3,9912 3,8671 3,8205 3,8668 3,9811 4,1102 4,1946 4,1866 4,0587 3,8164 3,5027 3,1791 2,8919 2,6530 2,4477 2,2534 2,0534 1,8411 1,6157 1,3817 1,1596 0,9828 0,8758 0,8412 0,8659 0,9223 0,9660 0,9550 0,8837 0,7884 0,7149 0,6827 0,6809 0,6884 0,6848 0,6448 0,5438 0,3763 0,1635 -0,0549 -0,2284 -0,3065 -0,2594 -0,0953 0,1398 0,3771 0,5542 0,6520 0,7047 0,7728 0,9007 1,0942 1,3317 1,5889 1,8542 2,1313 2,4241 2,7112 2,9460 3,0903 3,1426 3,1282 3,0645 2,9429 2,7461 2,4714 2,1350 1,7661 1,4004 1,0729 0,8135 0,6460 0,5910 0,6660 0,8789 1,2113 1,6154 2,0309 2,3979 2,6548 2,7440 2,6424 2,3902 2,0807 1,8158 1,6631 1,6360 1,6987 1,7927 1,8739 1,9304 1,9646 1,9638 1,8973 1,7379 1,4842 1,1672 0,8397 0,5570 0,3602 0,2715 0,2961 0,4223 0,6220 0,8538 1,0667 1,2133 1,2683 1,2354 1,1310 0,9619 0,7267 0,4420 0,1575 -0,0651 -0,1914 -0,2409 -0,2745 -0,3480 -0,4756 -0,6397 -0,8244 -1,0319 -1,2782 -1,5783
