Fp1   -1,9777 -1,8056 -1,5503 -1,2444 -0,9253 -0,6216 -0,3504 -0,1194 0,0705 0,2197 0,3186 0,3494 0,3018 0,1850 0,0215 -0,1676 -0,3718 -0,5870 -0,8061 -1,0176 -1,2084 -1,3617 -1,4560 -1,4677 -1,3827 -1,2114 -0,9902 -0,7667 -0,5794 -0,4490 -0,3794 -0,3586 -0,3621 -0,3646 -0,3473 -0,2939 -0,1879 -0,0141 0,2369 0,5630 0,9477 1,3633 1,7757 2,1507 2,4605 2,6856 2,8119 2,8352 2,7725 2,6563 2,5108 2,3373 2,1230 1,8646 1,5816 1,3059 1,0581 0,8378 0,6347 0,4451 0,2825 0,1725 0,1397 0,1974 0,3407 0,5415 0,7549 0,9322 1,0359 1,0543 1,0035 0,9120 0,8007 0,6816 0,5717 0,4949 0,4656 0,4755 0,4948 0,4842 0,4170 0,2986 0,1583 0,0233 -0,0942 -0,1846 -0,2314 -0,2208 -0,1559 -0,0538 0,0689 0,2077 0,3691 0,5576 0,7577 0,9351 1,0591 1,1256 1,1640 1,2209 1,3246 1,4591 1,5711 1,5989 1,5056 1,3051 1,0630 0,8625 0,7560 0,7385 0,7597 0,7612 0,6998 0,5523 0,3151 0,0074 -0,3270 -0,6255 -0,8304 -0,9148 -0,8819 -0,7429 -0,5041 -0,1752 0,2181 0,6342 1,0367 1,4137 1,7727 2,1169 2,4351 2,7061 2,9125 3,0542 3,1483 3,2151 3,2646 3,2953 3,3056 3,3064 3,3158 3,3442 3,3873 3,4303 3,4501 3,4228 3,3387 3,2106 3,0725 2,9726 2,9509 3,0086 3,1049 3,1823 3,1949 3,1297 3,0147 2,9032 2,8423 2,8530 2,9323 3,0559 3,1800 3,2671 3,3127 3,3326 3,3273 3,2792 3,1819 3,0528 2,9122 2,7653 2,6115 2,4610 2,3357 2,2556 2,2340 2,2760 2,3724 2,4949 2,6002 2,6480 2,6219 2,5294 2,3865 2,2125 2,0339 1,8799 1,7653 1,6811 1,6051 1,5207 1,4238 1,3187 1,2196 1,1482 1,1187 1,1261 1,1463 1,1392 1,0569 0,8685 0,5782 0,2190 -0,1646 -0,5267 -0,8254 -1,0341 -1,1502 -1,1923 -1,1878 -1,1601 -1,1232 -1,0865 -1,0613 -1,0591 -1,0848 -1,1390 -1,2281 -1,3617 -1,5366 -1,7232 -1,8687 -1,9263 -1,8845 -1,7617 -1,5793 -1,3450 -1,0522 -0,6917 -0,2746 0,1502 0,5054 0,7196 0,7655 0,6747 0,5131 0,3465 0,2211 0,1508 0,1144 0,0733 -0,0021 -0,1202 -0,2702 -0,4321 -0,5907 -0,7438 -0,8971 -1,0534 -1,2101 -1,3626 -1,5042 -1,6243 -1,7076 -1,7347 -1,6924 -1,5863 -1,4424 -1,2975 -1,1904 -1,1564 -1,2249 -1,4113 -1,6998 -2,0396 -2,3608 -2,5941 -2,6845 -2,6021 -2,3533 -1,9841 -1,5728 -1,2041 -0,9343 -0,7769 -0,7188 -0,7367 -0,8001 -0,8814 -0,9723 -1,0877 -1,2474 -1,4589 -1,7096 -1,9668 -2,1898 -2,3473 -2,4251 -2,4204 -2,3369 -2,1900 -2,0098 -1,8373 -1,7190 -1,6963 -1,7835 -1,9496 -2,1285 -2,2557 -2,2952 -2,2441 -2,1263 -1,9816 -1,8535 -1,7783 -1,7765 -1,8447 -1,9637 -2,1185 -2,3019 -2,4966 -2,6679 -2,7789 -2,8041 -2,7364 -2,5909 -2,3946 -2,1736 -1,9460 -1,7211 -1,5035 -1,3051 -1,1522 -1,0753 -1,0862 -1,1676 -1,2846 -1,4076 -1,5239 -1,6326 -1,7282 -1,7871 -1,7713 -1,6479 -1,4101 -1,0852 -0,7220 -0,3685 -0,0535 0,2171 0,4462 0,6240 0,7250 0,7313 0,6566 0,5402 0,4206 0,3196 0,2407 0,1672 0,0657 -0,0878 -0,2799 -0,4559 -0,5489 -0,5260 -0,4163 -0,2958 -0,2435 -0,3028 -0,4702 -0,7064 -0,9565 -1,1746 -1,3404 -1,4595 -1,5479 -1,6053 -1,6058 -1,5245 -1,3688 -1,1770 -0,9928 -0,8390 -0,7108 -0,5902 -0,4634 -0,3300 -0,2071 -0,1186 -0,0701 -0,0382 0,0104 0,0951 0,2129 0,3488 0,4948 0,6595 0,8543 1,0688 1,2673 1,4101 1,4790 1,4916 1,4883 1,4956 1,5031 1,4761 1,3907 1,2597 1,1228 1,0124 0,9344 0,8798 0,8477 0,8507 0,8973 0,9771 1,0646 1,1299 1,1478 1,1074 1,0142 0,8877 0,7558 0,6465 0,5800 0,5631 0,5864 0,6294 0,6715 0,6964 0,7000 0,7036 0,7470 0,8567 1,0249 1,2200 1,4070 1,5554 1,6402 1,6474 1,5790 1,4494 1,2797 1,0978 0,9341 0,8089 0,7280 0,6948 0,7164 0,7901 0,8897 0,9730 1,0054 0,9786 0,9093 0,8233 0,7445 0,6959 0,6975 0,7565 0,8561 0,9541 1,0026 0,9825 0,9258 0,9089 1,0113 1,2640 1,6309 2,0317 2,3805 2,6163 2,7165 2,6932 2,5828 2,4276 2,2557 2,0752 1,8869 1,6940 1,5027 1,3151 1,1252 0,9252 0,7152 0,5026 0,2918 0,0723 -0,1753 -0,4583 -0,7590 -1,0464 -1,2963 -1,4949 -1,6304 -1,6949 -1,6949 -1,6546 -1,6102 -1,6002 -1,6521 -1,7704 -1,9320 -2,0928 -2,2084 -2,2524 -2,2224 -2,1370 -2,0283 -1,9249 -1,8426 -1,7895 -1,7702 -1,7781 -1,7865 -1,7538 -1,6394 -1,4168 -1,0849 -0,6698 -0,2199 0,2016 0,5291 0,7236 0,8007 0,8273 0,8834 1,0236 1,2636 1,5787 1,9096 2,1804 2,3285 2,3299 2,2071 2,0163 1,8166 1,6444 1,5162 1,4474 1,4565 1,5558 1,7405 1,9855 2,2481 2,4759 2,6215 2,6676 2,6388 2,5805 2,5180 2,4384 2,3086 2,1082 1,8466 1,5524 1,2546 0,9773 0,7353 0,5265 0,3350 0,1428 -0,0632 -0,2878 -0,5263 -0,7693 -1,0079 -1,2342 -1,4416 -1,6183 -1,7371 -1,7644 -1,6819 -1,4981 -1,2448 -0,9715 -0,7347 -0,5797 -0,5252 -0,5636 -0,6709 -0,8128 -0,9504 -1,0522 -1,1071 -1,1222 -1,1070 -1,0590 -0,9679 -0,8345 -0,6759 -0,5102 -0,3441 -0,1827 -0,0446 0,0342 0,0124 -0,1312 -0,3785 -0,6807 -0,9866 -1,2598 -1,4739 -1,6009 -1,6158 -1,5170 -1,3355
Fz    -1,8817 -1,7005 -1,4984 -1,2797 -1,0544 -0,8410 -0,6631 -0,5422 -0,4911 -0,5116 -0,5944 -0,7214 -0,8733 -1,0392 -1,2169 -1,4062 -1,6038 -1,8008 -1,9832 -2,1357 -2,2460 -2,3047 -2,3040 -2,2377 -2,1006 -1,8880 -1,5988 -1,2449 -0,8569 -0,4757 -0,1376 0,1382 0,3542 0,5282 0,6838 0,8446 1,0316 1,2622 1,5448 1,8706 2,2147 2,5517 2,8697 3,1651 3,4293 3,6452 3,7908 3,8456 3,8010 3,6623 3,4407 3,1483 2,7974 2,4024 1,9823 1,5577 1,1452 0,7597 0,4196 0,1447 -0,0532 -0,1744 -0,2298 -0,2408 -0,2358 -0,2413 -0,2723 -0,3348 -0,4308 -0,5623 -0,7339 -0,9530 -1,2230 -1,5336 -1,8524 -2,1277 -2,3108 -2,3805 -2,3470 -2,2349 -2,0680 -1,8651 -1,6457 -1,4330 -1,2448 -1,0807 -0,9197 -0,7376 -0,5289 -0,3117 -0,1135 0,0495 0,1813 0,2989 0,4167 0,5380 0,6639 0,8038 0,9739 1,1854 1,4311 1,6874 1,9275 2,1304 2,2812 2,3719 2,4010 2,3683 2,2667 2,0788 1,7840 1,3725 0,8524 0,2465 -0,4105 -1,0720 -1,6787 -2,1683 -2,4984 -2,6647 -2,6958 -2,6287 -2,4852 -2,2710 -1,9908 -1,6609 -1,3041 -0,9401 -0,5814 -0,2349 0,0951 0,4054 0,6962 0,9731 1,2428 1,5106 1,7835 2,0722 2,3906 2,7514 3,1538 3,5787 4,0008 4,3994 4,7555 5,0493 5,2655 5,3995 5,4648 5,4934 5,5216 5,5683 5,6270 5,6737 5,6859 5,6586 5,6093 5,5679 5,5636 5,6156 5,7302 5,8960 6,0845 6,2635 6,4119 6,5166 6,5622 6,5316 6,4169 6,2203 5,9476 5,6068 5,2113 4,7854 4,3654 3,9912 3,6915 3,4760 3,3372 3,2599 3,2256 3,2106 3,1852 3,1183 2,9880 2,7969 2,5738 2,3565 2,1700 2,0227 1,9159 1,8514 1,8276 1,8363 1,8690 1,9244 2,0035 2,0989 2,1942 2,2699 2,3066 2,2880 2,2048 2,0524 1,8309 1,5541 1,2546 0,9673 0,7072 0,4700 0,2547 0,0779 -0,0364 -0,0799 -0,0695 -0,0335 0,0072 0,0417 0,0602 0,0512 0,0071 -0,0696 -0,1633 -0,2521 -0,3184 -0,3549 -0,3654 -0,3593 -0,3419 -0,3112 -0,2665 -0,2144 -0,1696 -0,1511 -0,1713 -0,2240 -0,2853 -0,3264 -0,3278 -0,2893 -0,2326 -0,1950 -0,2151 -0,3165 -0,4941 -0,7172 -0,9497 -1,1675 -1,3609 -1,5276 -1,6667 -1,7772 -1,8581 -1,9060 -1,9119 -1,8611 -1,7419 -1,5584 -1,3333 -1,1009 -0,8979 -0,7537 -0,6857 -0,6993 -0,7839 -0,9136 -1,0559 -1,1799 -1,2572 -1,2621 -1,1778 -1,0056 -0,7656 -0,4876 -0,2007 0,0716 0,3102 0,5039 0,6517 0,7516 0,7900 0,7464 0,6047 0,3629 0,0398 -0,3292 -0,7057 -1,0578 -1,3602 -1,5931 -1,7451 -1,8139 -1,8069 -1,7418 -1,6452 -1,5465 -1,4726 -1,4446 -1,4739 -1,5601 -1,6904 -1,8446 -2,0044 -2,1581 -2,2991 -2,4256 -2,5398 -2,6440 -2,7352 -2,8040 -2,8412 -2,8425 -2,8088 -2,7430 -2,6434 -2,4963 -2,2793 -1,9767 -1,5907 -1,1404 -0,6528 -0,1567 0,3193 0,7523 1,1343 1,4787 1,8075 2,1290 2,4316 2,6950 2,9038 3,0565 3,1708 3,2781 3,4090 3,5771 3,7757 3,9873 4,1984 4,4005 4,5824 4,7303 4,8340 4,8869 4,8826 4,8168 4,6912 4,5146 4,3017 4,0675 3,8154 3,5353 3,2220 2,8944 2,5910 2,3453 2,1617 2,0120 1,8553 1,6602 1,4137 1,1194 0,7938 0,4635 0,1617 -0,0785 -0,2333 -0,2917 -0,2536 -0,1247 0,0844 0,3520 0,6446 0,9279 1,1777 1,3829 1,5424 1,6609 1,7455 1,8021 1,8384 1,8683 1,9066 1,9610 2,0321 2,1227 2,2463 2,4260 2,6832 3,0237 3,4279 3,8557 4,2613 4,6067 4,8676 5,0324 5,0968 5,0619 4,9369 4,7412 4,5053 4,2644 4,0471 3,8664 3,7221 3,6124 3,5407 3,5131 3,5318 3,5888 3,6598 3,7050 3,6870 3,5922 3,4362 3,2515 3,0694 2,9133 2,7987 2,7299 2,6951 2,6725 2,6387 2,5782 2,4948 2,4127 2,3611 2,3585 2,4090 2,5076 2,6432 2,8005 2,9639 3,1222 3,2709 3,4108 3,5471 3,6845 3,8208 3,9451 4,0455 4,1198 4,1761 4,2218 4,2541 4,2652 4,2547 4,2351 4,2236 4,2295 4,2520 4,2861 4,3250 4,3566 4,3620 4,3261 4,2514 4,1616 4,0928 4,0784 4,1345 4,2531 4,4068 4,5602 4,6799 4,7379 4,7173 4,6222 4,4737 4,2895 4,0714 3,8108 3,4970 3,1233 2,6952 2,2370 1,7836 1,3660 1,0054 0,7123 0,4868 0,3217 0,2116 0,1549 0,1419 0,1499 0,1565 0,1487 0,1181 0,0554 -0,0423 -0,1679 -0,3099 -0,4606 -0,6143 -0,7563 -0,8586 -0,8959 -0,8619 -0,7711 -0,6537 -0,5449 -0,4726 -0,4471 -0,4558 -0,4670 -0,4404 -0,3373 -0,1331 0,1727 0,5566 0,9802 1,4008 1,7824 2,1037 2,3559 2,5395 2,6645 2,7477 2,8061 2,8527 2,8959 2,9394 2,9851 3,0328 3,0781 3,1163 3,1538 3,2090 3,3018 3,4427 3,6318 3,8618 4,1191 4,3854 4,6450 4,8899 5,1135 5,3016 5,4346 5,5032 5,5158 5,4897 5,4364 5,3587 5,2588 5,1442 5,0223 4,8914 4,7424 4,5687 4,3672 4,1309 3,8463 3,4998 3,0877 2,6235 2,1367 1,6612 1,2205 0,8238 0,4757 0,1884 -0,0175 -0,1250 -0,1285 -0,0338 0,1436 0,3754 0,6182 0,8219 0,9473 0,9795 0,9271 0,8187 0,6987 0,6139 0,5962 0,6550 0,7797 0,9446 1,1184 1,2708 1,3724 1,3983 1,3381 1,2005 1,0034 0,7663 0,5119 0,2707 0,0745 -0,0563 -0,1187 -0,1208 -0,0723 0,0240 0,1719 0,3737 0,6207
F3    -1,8228 -1,6364 -1,4148 -1,1794 -0,9526 -0,7551 -0,5997 -0,4930 -0,4429 -0,4584 -0,5398 -0,6759 -0,8525 -1,0633 -1,3070 -1,5814 -1,8821 -2,1953 -2,4858 -2,7039 -2,8079 -2,7783 -2,6212 -2,3624 -2,0342 -1,6617 -1,2559 -0,8225 -0,3780 0,0467 0,4197 0,7260 0,9721 1,1721 1,3352 1,4637 1,5625 1,6498 1,7524 1,8855 2,0456 2,2246 2,4229 2,6438 2,8816 3,1137 3,3017 3,4070 3,4122 3,3253 3,1660 2,9520 2,6922 2,3846 2,0212 1,5978 1,1229 0,6281 0,1654 -0,2137 -0,4798 -0,6302 -0,6801 -0,6531 -0,5781 -0,4812 -0,3809 -0,2956 -0,2503 -0,2670 -0,3573 -0,5253 -0,7691 -1,0700 -1,3835 -1,6516 -1,8357 -1,9312 -1,9478 -1,8906 -1,7638 -1,5759 -1,3382 -1,0663 -0,7794 -0,4871 -0,1855 0,1279 0,4355 0,7034 0,9031 1,0259 1,0809 1,0816 1,0325 0,9358 0,8142 0,7143 0,6842 0,7466 0,8872 1,0670 1,2467 1,4030 1,5304 1,6389 1,7458 1,8564 1,9517 1,9938 1,9407 1,7599 1,4345 0,9653 0,3744 -0,2885 -0,9448 -1,4992 -1,8757 -2,0526 -2,0590 -1,9403 -1,7320 -1,4569 -1,1336 -0,7826 -0,4282 -0,0954 0,1980 0,4553 0,6980 0,9442 1,1992 1,4632 1,7361 2,0108 2,2744 2,5138 2,7283 2,9362 3,1615 3,4129 3,6793 3,9378 4,1616 4,3290 4,4278 4,4567 4,4312 4,3848 4,3504 4,3351 4,3161 4,2670 4,1869 4,1075 4,0785 4,1417 4,3130 4,5820 4,9194 5,2753 5,5877 5,8116 5,9387 5,9815 5,9481 5,8416 5,6745 5,4660 5,2189 4,9142 4,5352 4,0964 3,6473 3,2532 2,9690 2,8204 2,7967 2,8640 2,9797 3,0997 3,1852 3,2080 3,1494 3,0026 2,7839 2,5308 2,2817 2,0595 1,8765 1,7453 1,6744 1,6547 1,6687 1,7068 1,7623 1,8216 1,8780 1,9417 2,0178 2,0833 2,0960 2,0183 1,8338 1,5548 1,2228 0,8923 0,6038 0,3716 0,2000 0,0993 0,0811 0,1373 0,2320 0,3208 0,3758 0,3846 0,3331 0,2090 0,0231 -0,1850 -0,3691 -0,5062 -0,6042 -0,6837 -0,7527 -0,7964 -0,7855 -0,7006 -0,5509 -0,3720 -0,2105 -0,1116 -0,1001 -0,1613 -0,2503 -0,3269 -0,3789 -0,4158 -0,4581 -0,5316 -0,6621 -0,8629 -1,1254 -1,4240 -1,7317 -2,0297 -2,3058 -2,5455 -2,7274 -2,8284 -2,8361 -2,7549 -2,6027 -2,4007 -2,1694 -1,9280 -1,6911 -1,4655 -1,2580 -1,0876 -0,9929 -1,0177 -1,1752 -1,4299 -1,7181 -1,9779 -2,1613 -2,2346 -2,1812 -2,0075 -1,7413 -1,4216 -1,0855 -0,7620 -0,4728 -0,2287 -0,0277 0,1300 0,2247 0,2234 0,0984 -0,1579 -0,5237 -0,9493 -1,3726 -1,7379 -2,0105 -2,1803 -2,2525 -2,2362 -2,1436 -1,9932 -1,8111 -1,6278 -1,4761 -1,3865 -1,3800 -1,4617 -1,6153 -1,8057 -1,9960 -2,1684 -2,3301 -2,5041 -2,7064 -2,9267 -3,1316 -3,2890 -3,3854 -3,4216 -3,4042 -3,3452 -3,2558 -3,1346 -2,9654 -2,7284 -2,4152 -2,0358 -1,6125 -1,1709 -0,7369 -0,3330 0,0275 0,3470 0,6407 0,9239 1,1956 1,4297 1,5840 1,6295 1,5836 1,5100 1,4794 1,5297 1,6608 1,8563 2,1023 2,3867 2,6885 2,9848 3,2601 3,5014 3,6906 3,8121 3,8589 3,8268 3,7107 3,5048 3,2034 2,8082 2,3476 1,8824 1,4882 1,2302 1,1312 1,1463 1,1780 1,1280 0,9440 0,6290 0,2213 -0,2219 -0,6355 -0,9601 -1,1530 -1,1927 -1,0781 -0,8297 -0,4905 -0,1199 0,2258 0,5153 0,7458 0,9235 1,0458 1,1079 1,1162 1,0891 1,0524 1,0409 1,0898 1,2088 1,3690 1,5236 1,6441 1,7390 1,8408 1,9751 2,1420 2,3215 2,4885 2,6252 2,7255 2,7887 2,8109 2,7872 2,7210 2,6285 2,5365 2,4681 2,4320 2,4263 2,4506 2,5101 2,6123 2,7613 2,9471 3,1387 3,2906 3,3538 3,2895 3,0919 2,8012 2,4840 2,2026 2,0024 1,9052 1,9013 1,9537 2,0133 2,0265 1,9535 1,7984 1,6136 1,4691 1,4147 1,4644 1,6010 1,7888 1,9853 2,1550 2,2838 2,3825 2,4762 2,5907 2,7407 2,9214 3,1103 3,2812 3,4193 3,5231 3,5908 3,6161 3,6034 3,5815 3,5840 3,6138 3,6348 3,6036 3,5027 3,3432 3,1498 2,9468 2,7520 2,5747 2,4192 2,2984 2,2387 2,2633 2,3721 2,5361 2,7098 2,8510 2,9291 2,9237 2,8327 2,6769 2,4844 2,2767 2,0681 1,8645 1,6616 1,4486 1,2161 0,9653 0,7107 0,4736 0,2697 0,1022 -0,0311 -0,1280 -0,1857 -0,2118 -0,2269 -0,2563 -0,3225 -0,4366 -0,5893 -0,7573 -0,9275 -1,1090 -1,3144 -1,5400 -1,7625 -1,9492 -2,0740 -2,1240 -2,1049 -2,0462 -1,9919 -1,9744 -1,9937 -2,0167 -1,9985 -1,9028 -1,7055 -1,3983 -0,9981 -0,5458 -0,0944 0,3103 0,6438 0,8993 1,0767 1,1823 1,2341 1,2517 1,2488 1,2414 1,2541 1,3086 1,4117 1,5490 1,6932 1,8248 1,9439 2,0595 2,1776 2,3019 2,4397 2,6011 2,7928 3,0118 3,2473 3,4902 3,7313 3,9493 4,1171 4,2269 4,3000 4,3625 4,4118 4,4170 4,3489 4,2056 4,0061 3,7705 3,5156 3,2570 2,9995 2,7292 2,4204 2,0474 1,6002 1,0965 0,5752 0,0746 -0,3807 -0,7772 -1,1013 -1,3298 -1,4339 -1,3997 -1,2420 -0,9961 -0,7002 -0,3861 -0,0842 0,1671 0,3311 0,3903 0,3543 0,2540 0,1288 0,0108 -0,0830 -0,1459 -0,1748 -0,1713 -0,1440 -0,1099 -0,0939 -0,1195 -0,1936 -0,3005 -0,4146 -0,5167 -0,5984 -0,6560 -0,6854 -0,6834 -0,6524 -0,5991 -0,5264 -0,4255 -0,2769 -0,0684 0,1880
F7    -1,1051 -0,9741 -0,7912 -0,5801 -0,3630 -0,1600 0,0082 0,1251 0,1795 0,1625 0,0710 -0,0867 -0,2940 -0,5312 -0,7761 -1,0063 -1,2086 -1,3803 -1,5229 -1,6368 -1,7151 -1,7416 -1,7003 -1,5812 -1,3812 -1,1131 -0,8094 -0,5126 -0,2598 -0,0722 0,0499 0,1218 0,1617 0,1863 0,2200 0,2990 0,4514 0,6760 0,9434 1,2115 1,4447 1,6254 1,7542 1,8409 1,8966 1,9325 1,9608 1,9883 2,0050 1,9874 1,9160 1,7859 1,6015 1,3694 1,0988 0,8003 0,4792 0,1401 -0,1972 -0,4906 -0,6931 -0,7781 -0,7534 -0,6550 -0,5275 -0,4031 -0,2967 -0,2117 -0,1428 -0,0750 0,0090 0,1090 0,2001 0,2534 0,2590 0,2247 0,1567 0,0537 -0,0761 -0,2019 -0,2870 -0,3141 -0,2884 -0,2285 -0,1587 -0,0960 -0,0369 0,0399 0,1542 0,3091 0,4932 0,6924 0,8918 1,0717 1,2081 1,2861 1,3160 1,3303 1,3587 1,4060 1,4554 1,4829 1,4663 1,3920 1,2625 1,1024 0,9499 0,8320 0,7443 0,6551 0,5256 0,3294 0,0650 -0,2433 -0,5593 -0,8488 -1,0871 -1,2606 -1,3645 -1,3997 -1,3676 -1,2679 -1,1009 -0,8731 -0,6031 -0,3181 -0,0441 0,2008 0,4117 0,5981 0,7785 0,9687 1,1744 1,3858 1,5824 1,7514 1,9039 2,0672 2,2603 2,4779 2,6893 2,8538 2,9448 2,9602 2,9148 2,8265 2,7066 2,5604 2,3962 2,2344 2,1093 2,0530 2,0731 2,1503 2,2599 2,3925 2,5535 2,7455 2,9564 3,1637 3,3484 3,5023 3,6277 3,7329 3,8241 3,8973 3,9372 3,9280 3,8620 3,7420 3,5741 3,3603 3,1026 2,8188 2,5452 2,3220 2,1760 2,1113 2,1109 2,1527 2,2226 2,3124 2,4081 2,4855 2,5223 2,5081 2,4397 2,3136 2,1279 1,8932 1,6369 1,3949 1,2021 1,0880 1,0692 1,1392 1,2664 1,4083 1,5267 1,5947 1,5975 1,5297 1,3919 1,1916 0,9463 0,6795 0,4137 0,1617 -0,0755 -0,3016 -0,5101 -0,6761 -0,7717 -0,7892 -0,7452 -0,6667 -0,5805 -0,5063 -0,4516 -0,4182 -0,4102 -0,4278 -0,4604 -0,4954 -0,5242 -0,5381 -0,5328 -0,5159 -0,4955 -0,4632 -0,4000 -0,2971 -0,1650 -0,0259 0,0982 0,1911 0,2468 0,2718 0,2812 0,2932 0,3182 0,3497 0,3686 0,3578 0,3098 0,2218 0,0929 -0,0641 -0,2144 -0,3202 -0,3685 -0,3741 -0,3531 -0,3061 -0,2390 -0,1764 -0,1451 -0,1588 -0,2187 -0,3155 -0,4350 -0,5646 -0,6949 -0,8185 -0,9266 -1,0070 -1,0531 -1,0709 -1,0696 -1,0546 -1,0344 -1,0195 -1,0075 -0,9856 -0,9436 -0,8754 -0,7733 -0,6320 -0,4628 -0,3092 -0,2425 -0,3291 -0,5891 -0,9761 -1,3951 -1,7496 -1,9810 -2,0758 -2,0515 -1,9425 -1,7882 -1,6185 -1,4509 -1,3010 -1,1877 -1,1258 -1,1257 -1,1964 -1,3392 -1,5328 -1,7349 -1,9105 -2,0571 -2,1929 -2,3315 -2,4797 -2,6413 -2,8134 -2,9841 -3,1376 -3,2556 -3,3154 -3,2973 -3,2033 -3,0553 -2,8699 -2,6450 -2,3719 -2,0529 -1,7117 -1,3860 -1,1029 -0,8655 -0,6659 -0,5044 -0,3893 -0,3240 -0,2988 -0,2954 -0,2966 -0,2980 -0,3115 -0,3518 -0,4134 -0,4632 -0,4550 -0,3583 -0,1798 0,0436 0,2736 0,4893 0,6836 0,8494 0,9750 1,0484 1,0651 1,0322 0,9673 0,8923 0,8242 0,7666 0,7063 0,6238 0,5084 0,3624 0,1971 0,0285 -0,1239 -0,2472 -0,3474 -0,4438 -0,5508 -0,6677 -0,7781 -0,8628 -0,9183 -0,9590 -0,9983 -1,0333 -1,0469 -1,0208 -0,9474 -0,8329 -0,6934 -0,5485 -0,4142 -0,3003 -0,2145 -0,1606 -0,1288 -0,0964 -0,0396 0,0512 0,1622 0,2647 0,3418 0,4057 0,4871 0,6128 0,7920 1,0118 1,2412 1,4498 1,6226 1,7567 1,8463 1,8808 1,8583 1,7913 1,6981 1,5969 1,5078 1,4547 1,4552 1,5057 1,5753 1,6225 1,6232 1,5828 1,5226 1,4579 1,3869 1,2959 1,1714 1,0124 0,8362 0,6675 0,5202 0,3971 0,3010 0,2366 0,2071 0,2158 0,2639 0,3504 0,4740 0,6325 0,8154 1,0018 1,1694 1,3031 1,3938 1,4360 1,4304 1,3821 1,2949 1,1701 1,0126 0,8375 0,6629 0,4977 0,3399 0,1914 0,0681 -0,0037 -0,0022 0,0787 0,2277 0,4203 0,6197 0,7919 0,9271 1,0384 1,1373 1,2176 1,2618 1,2607 1,2278 1,1955 1,1961 1,2451 1,3407 1,4723 1,6237 1,7735 1,8987 1,9826 2,0178 2,0060 1,9548 1,8706 1,7548 1,6064 1,4267 1,2273 1,0310 0,8585 0,7149 0,5900 0,4646 0,3191 0,1451 -0,0484 -0,2440 -0,4301 -0,5961 -0,7193 -0,7746 -0,7624 -0,7175 -0,6899 -0,7265 -0,8624 -1,1047 -1,4199 -1,7444 -2,0122 -2,1761 -2,2178 -2,1542 -2,0329 -1,9113 -1,8366 -1,8340 -1,8998 -1,9984 -2,0770 -2,0898 -2,0089 -1,8205 -1,5255 -1,1466 -0,7306 -0,3383 -0,0224 0,1910 0,3041 0,3398 0,3374 0,3396 0,3734 0,4447 0,5483 0,6743 0,8076 0,9292 1,0256 1,1007 1,1748 1,2657 1,3769 1,5008 1,6279 1,7477 1,8479 1,9217 1,9775 2,0308 2,0821 2,1123 2,0996 2,0361 1,9283 1,7944 1,6655 1,5790 1,5600 1,6056 1,6874 1,7646 1,7980 1,7615 1,6457 1,4540 1,1958 0,8842 0,5366 0,1744 -0,1787 -0,4995 -0,7637 -0,9485 -1,0428 -1,0548 -1,0058 -0,9217 -0,8236 -0,7237 -0,6286 -0,5433 -0,4716 -0,4165 -0,3825 -0,3697 -0,3693 -0,3677 -0,3545 -0,3280 -0,2916 -0,2470 -0,1946 -0,1375 -0,0774 -0,0111 0,0665 0,1585 0,2618 0,3651 0,4509 0,5040 0,5228 0,5189 0,4994 0,4544 0,3709 0,2569 0,1448 0,0709 0,0458 0,0461
