Fp1   -2,0890 -1,7243 -1,4248 -1,1515 -0,8406 -0,4713 -0,0967 0,1972 0,3508 0,3574 0,2502 0,0885 -0,0553 -0,1206 -0,0868 0,0250 0,1764 0,3372 0,4767 0,5426 0,4839 0,3001 0,0444 -0,2174 -0,4386 -0,5895 -0,6442 -0,5853 -0,4144 -0,1421 0,2215 0,6555 1,1156 1,5284 1,8028 1,8558 1,6580 1,2554 0,7518 0,2721 -0,0820 -0,2720 -0,3309 -0,3244 -0,3117 -0,3319 -0,3981 -0,4906 -0,5586 -0,5545 -0,4722 -0,3401 -0,1773 0,0284 0,2831 0,5493 0,7546 0,8411 0,8036 0,6768 0,5068 0,3358 0,1981 0,0987 0,0093 -0,1052 -0,2652 -0,4702 -0,7037 -0,9395 -1,1476 -1,3041 -1,4005 -1,4436 -1,4468 -1,4184 -1,3566 -1,2528 -1,1080 -0,9467 -0,8148 -0,7722 -0,8722 -1,1250 -1,4735 -1,8085 -2,0341 -2,1246 -2,1150 -2,0426 -1,9040 -1,6776 -1,3794 -1,0762 -0,8394 -0,7044 -0,6797 -0,7666 -0,9617 -1,2536 -1,6252 -2,0501 -2,4851 -2,8828 -3,2147 -3,4919 -3,7479 -3,9993 -4,2200 -4,3381 -4,2714 -3,9699 -3,4469 -2,7776 -2,0765 -1,4573 -1,0053 -0,7697 -0,7542 -0,9145 -1,1800 -1,4817 -1,7605 -1,9698 -2,0846 -2,1111 -2,0726 -1,9847 -1,8447 -1,6364 -1,3339 -0,9156 -0,3872 0,1971 0,7503 1,1867 1,4528 1,5335 1,4398 1,2022 0,8866 0,5892 0,4006 0,3666 0,4829 0,7047 0,9672 1,2020 1,3581 1,4252 1,4523 1,5281 1,7236 2,0419 2,4170 2,7605 3,0112 3,1452 3,1647 3,0973 2,9975 2,9289 2,9391 3,0579 3,3208 3,7583 4,3475 4,9963 5,5772 5,9951 6,2433 6,4055 6,5972 6,8999 7,3262 7,8179 8,2849 8,6583 8,9151 9,0667 9,1248 9,0790 8,9127 8,6316 8,2703 7,8711 7,4742 7,1255 6,8656 6,7015 6,5967 6,4884 6,3306 6,1286 5,9515 5,8961 6,0077 6,2253 6,4082 6,4044 6,1158 5,5342 4,7303 3,8098 2,8790 2,0348 1,3494 0,8474 0,5158 0,3225 0,2304 0,2155 0,2705 0,3916 0,5690 0,7829 1,0048 1,2125 1,4017 1,5766 1,7284 1,8270 1,8466 1,7994 1,7299 1,6607 1,5575 1,3828 1,1507 0,9271 0,7983 0,8444 1,1062 1,5584 2,1165 2,6714 3,1258 3,4289 3,5802 3,6100 3,5557 3,4576 3,3459 3,2274 3,0848 2,8888 2,6032 2,2121 1,7547 1,3303 1,0563 1,0085 1,1845 1,4902 1,7931 2,0026 2,1140 2,1816 2,2565 2,3367 2,3663 2,2779 2,0501 1,7442 1,4905 1,4275 1,6187 2,0064 2,4480 2,7969 2,9644 2,9346 2,7295 2,3750 1,9104 1,4019 0,9306 0,5663 0,3526 0,2921 0,3437 0,4405 0,5234 0,5729 0,6186 0,7131 0,8940 1,1650 1,4977 1,8384 2,1161 2,2684 2,2875 2,2349 2,1934 2,2047 2,2660 2,3589 2,4653 2,5652 2,6464 2,7207 2,8235 2,9945 3,2474 3,5503 3,8378 4,0742 4,2920 4,5540 4,8713 5,1772 5,3882 5,4707 5,4489 5,3808 5,3317 5,3394 5,3930 5,4411 5,4245 5,3077 5,1052 4,8851 4,7307 4,6929 4,7806 4,9641 5,1774 5,3345 5,3633 5,2287 4,9347 4,5210 4,0561 3,6205 3,3041 3,1913 3,3367 3,7341 4,3145 4,9710 5,5943 6,1091 6,4759 6,6921 6,7871 6,8213 6,8676 6,9802 7,1588 7,3354 7,4128 7,3268 7,0802 6,7239 6,3167 5,9014 5,5025 5,1438 4,8729 4,7574 4,8469 5,1281 5,5151 5,8652 6,0147 5,8544 5,3911 4,7470 4,0913 3,5684 3,2575 3,1710 3,2683 3,4793 3,7239 3,9246 4,0278 4,0390 4,0204 4,0454 4,1494 4,3228 4,5204 4,6820 4,7676 4,7747 4,7244 4,6442 4,5769 4,5860 4,7269 5,0042 5,3760 5,7767 6,1225 6,3068 6,2520 5,9655 5,5394 5,0981 4,7441 4,5300 4,4524 4,4707 4,5355 4,6037 4,6429 4,6327 4,5840 4,5528 4,6051 4,7665 4,9970 5,2270 5,4032 5,5057 5,5236 5,4493 5,3091 5,1718 5,1219 5,2173 5,4534 5,7704 6,1036 6,4292 6,7610 7,1005 7,3903 7,5465 7,5288 7,3575 7,0771 6,7366 6,3922 6,0944 5,8831 5,7937 5,8545 6,0554 6,3317 6,5859 6,7357 6,7642 6,7189 6,6540 6,5694 6,4127 6,1393 5,7503 5,2873 4,8102 4,3835 4,0602 3,8793 3,8615 4,0011 4,2598 4,5756 4,8726 5,0751 5,1260 4,9985 4,6903 4,2367 3,7202 3,2483 2,9058 2,7157 2,6427 2,6361 2,6622 2,6950 2,6828 2,5613 2,3137 1,9998 1,7001 1,4664 1,3104 1,2144 1,1497 1,1117 1,1392 1,2838 1,5562 1,9055 2,2443 2,4934 2,6031 2,5602 2,3835 2,1103 1,7812 1,4358 1,1079 0,8151 0,5503 0,2969 0,0526 -0,1615 -0,3172 -0,3893 -0,3588 -0,2134 0,0394 0,3674 0,7108 0,9968 1,1675 1,2093 1,1689 1,1224 1,1276 1,2032 1,3331 1,4852 1,6201 1,6944 1,6663 1,5161 1,2551 0,9284 0,6138 0,4139 0,4198 0,6661 1,1026 1,6172 2,0934 2,4570 2,6667 2,6952 2,5384 2,2448 1,9089 1,6169 1,4032 1,2575 1,1562 1,0834 1,0383 1,0254 1,0326 1,0327 1,0192 1,0394 1,1794 1,5024 1,9963 2,5705 3,1095 3,5252 3,7678 3,8152 3,6629 3,3265 2,8562 2,3384 1,8816 1,5809 1,4871 1,5760 1,7519 1,9020 1,9651 1,9453 1,8836 1,8131 1,7452 1,6838 1,6372 1,6014 1,5388 1,3808 1,0700 0,6063 0,0616 -0,4430 -0,7800 -0,8605 -0,6676 -0,2526 0,2863 0,8361 1,2996 1,6040 1,6958 1,5585 1,2436 0,8650 0,5535 0,4026 0,4254 0,5509 0,6772 0,7496 0,7932
Fz    0,0178 0,0355 0,0104 -0,0217 -0,0170 0,0486 0,1606 0,2799 0,3716 0,4290 0,4670 0,5083 0,5762 0,6875 0,8347 0,9845 1,1019 1,1786 1,2265 1,2528 1,2521 1,2160 1,1373 1,0150 0,8615 0,6984 0,5346 0,3556 0,1416 -0,1043 -0,3582 -0,5982 -0,8143 -1,0027 -1,1575 -1,2829 -1,3905 -1,4860 -1,5613 -1,5915 -1,5447 -1,3956 -1,1474 -0,8394 -0,5330 -0,2876 -0,1336 -0,0623 -0,0357 -0,0180 -0,0010 -0,0034 -0,0428 -0,1041 -0,1470 -0,1340 -0,0577 0,0593 0,1869 0,3038 0,4040 0,4956 0,5993 0,7328 0,8987 1,0811 1,2442 1,3443 1,3546 1,2836 1,1688 1,0511 0,9523 0,8718 0,7973 0,7227 0,6497 0,5814 0,5210 0,4725 0,4419 0,4319 0,4449 0,4943 0,5989 0,7641 0,9600 1,1190 1,1666 1,0670 0,8491 0,5849 0,3509 0,2004 0,1538 0,1976 0,2877 0,3710 0,4077 0,3807 0,2967 0,1728 0,0229 -0,1462 -0,3291 -0,5337 -0,7762 -1,0632 -1,3798 -1,6826 -1,9200 -2,0498 -2,0529 -1,9362 -1,7368 -1,5214 -1,3686 -1,3400 -1,4501 -1,6571 -1,8872 -2,0763 -2,1892 -2,2201 -2,1841 -2,1072 -2,0092 -1,8910 -1,7362 -1,5244 -1,2370 -0,8542 -0,3573 0,2444 0,9017 1,5423 2,1053 2,5562 2,8811 3,0862 3,2081 3,3081 3,4535 3,6913 4,0368 4,4712 4,9559 5,4440 5,8913 6,2682 6,5771 6,8504 7,1229 7,4069 7,6838 7,9159 8,0684 8,1183 8,0639 7,9344 7,7863 7,6830 7,6679 7,7486 7,9107 8,1341 8,3912 8,6480 8,8723 9,0550 9,2177 9,3945 9,6001 9,8089 9,9690 10,0364 10,0079 9,9221 9,8275 9,7602 9,7284 9,7072 9,6529 9,5232 9,2946 8,9660 8,5562 8,1031 7,6532 7,2484 6,9125 6,6382 6,3999 6,1746 5,9595 5,7717 5,6285 5,5261 5,4379 5,3238 5,1460 4,8806 4,5203 4,0735 3,5603 3,0112 2,4671 1,9722 1,5678 1,2806 1,1182 1,0728 1,1275 1,2604 1,4446 1,6363 1,7762 1,8223 1,7750 1,6745 1,5786 1,5396 1,5905 1,7371 1,9580 2,2168 2,4740 2,7087 2,9106 3,0675 3,1682 3,2138 3,2107 3,1635 3,0771 2,9589 2,8108 2,6302 2,4086 2,1430 1,8423 1,5277 1,2247 0,9627 0,7656 0,6505 0,6218 0,6699 0,7641 0,8594 0,9199 0,9349 0,9125 0,8517 0,7524 0,6331 0,5284 0,4622 0,4312 0,4140 0,3969 0,3862 0,4097 0,5060 0,7035 0,9994 1,3522 1,6953 1,9676 2,1361 2,2009 2,1906 2,1377 2,0593 1,9601 1,8375 1,6906 1,5244 1,3578 1,2163 1,1167 1,0569 1,0199 0,9876 0,9542 0,9187 0,8743 0,8143 0,7420 0,6685 0,6084 0,5747 0,5776 0,6263 0,7249 0,8676 1,0396 1,2098 1,3360 1,3856 1,3654 1,3226 1,3168 1,3882 1,5421 1,7575 2,0032 2,2553 2,4934 2,6963 2,8407 2,9079 2,9019 2,8601 2,8396 2,8897 3,0319 3,2536 3,5117 3,7438 3,8949 3,9370 3,8740 3,7357 3,5615 3,3812 3,2123 3,0648 2,9578 2,9225 2,9846 3,1456 3,3716 3,6056 3,8000 3,9352 4,0123 4,0373 4,0308 4,0237 4,0445 4,1097 4,2162 4,3519 4,4940 4,6135 4,6782 4,6790 4,6418 4,6097 4,6103 4,6410 4,6829 4,7224 4,7610 4,8112 4,8875 4,9995 5,1471 5,3188 5,4949 5,6535 5,7855 5,8980 6,0072 6,1194 6,2121 6,2505 6,2120 6,0995 5,9278 5,7170 5,4934 5,2880 5,1225 4,9949 4,8740 4,7100 4,4597 4,1183 3,7317 3,3815 3,1421 3,0554 3,1221 3,3040 3,5372 3,7546 3,9180 4,0323 4,1337 4,2611 4,4355 4,6483 4,8685 5,0508 5,1614 5,1859 5,1388 5,0592 4,9982 4,9965 5,0679 5,1997 5,3583 5,4996 5,5832 5,5879 5,5309 5,4545 5,3912 5,3536 5,3396 5,3442 5,3546 5,3547 5,3224 5,2334 5,0693 4,8381 4,5891 4,3868 4,2771 4,2751 4,3681 4,5262 4,7193 4,9330 5,1641 5,3997 5,6023 5,7256 5,7417 5,6494 5,4712 5,2536 5,0582 4,9244 4,8518 4,8101 4,7651 4,6923 4,5837 4,4509 4,3165 4,2073 4,1469 4,1490 4,2077 4,2949 4,3730 4,4073 4,3801 4,2978 4,1894 4,0841 4,0007 3,9430 3,9105 3,9059 3,9373 4,0073 4,1008 4,1833 4,2182 4,1728 4,0301 3,7995 3,5174 3,2324 2,9836 2,7906 2,6552 2,5567 2,4505 2,2747 1,9750 1,5289 0,9639 0,3463 -0,2367 -0,7108 -1,0390 -1,2209 -1,2766 -1,2350 -1,1310 -1,0035 -0,8893 -0,8114 -0,7678 -0,7434 -0,7285 -0,7281 -0,7512 -0,7945 -0,8357 -0,8415 -0,7890 -0,6845 -0,5578 -0,4430 -0,3628 -0,3319 -0,3585 -0,4451 -0,5797 -0,7342 -0,8683 -0,9525 -0,9845 -0,9835 -0,9689 -0,9325 -0,8376 -0,6402 -0,3191 0,1010 0,5544 0,9602 1,2611 1,4396 1,5118 1,5144 1,4995 1,5212 1,6225 1,8151 2,0694 2,3248 2,5240 2,6349 2,6584 2,6164 2,5351 2,4324 2,3227 2,2186 2,1271 2,0547 2,0148 2,0163 2,0511 2,0989 2,1423 2,1738 2,1957 2,2165 2,2497 2,3095 2,4012 2,5205 2,6534 2,7885 2,9188 3,0328 3,1165 3,1510 3,1085 2,9666 2,7246 2,4178 2,1069 1,8635 1,7411 1,7494 1,8469 1,9586 1,9990 1,9052 1,6607 1,3016 0,8933 0,5002 0,1667 -0,0866 -0,2686 -0,4079 -0,5320 -0,6536 -0,7775 -0,9055 -1,0268 -1,1195 -1,1605 -1,1396 -1,0655 -0,9539 -0,8147 -0,6523 -0,4718 -0,2799 -0,0831 0,1185 0,3349 0,5720 0,8188 1,0496 1,2439 1,3948
F3    1,1690 1,0664 0,8737 0,6615 0,4934 0,4023 0,3803 0,3982 0,4374 0,5076 0,6277 0,8029 1,0191 1,2513 1,4694 1,6461 1,7659 1,8242 1,8100 1,7016 1,4901 1,1995 0,8792 0,5913 0,3987 0,3339 0,3648 0,4053 0,3689 0,2137 -0,0581 -0,4198 -0,8240 -1,2029 -1,4849 -1,6364 -1,6768 -1,6634 -1,6622 -1,7116 -1,8029 -1,8857 -1,9089 -1,8528 -1,7289 -1,5600 -1,3524 -1,0854 -0,7321 -0,3042 0,1283 0,4588 0,5997 0,5341 0,3123 0,0118 -0,3018 -0,5840 -0,8020 -0,9316 -0,9554 -0,8624 -0,6443 -0,3139 0,0810 0,4715 0,7953 1,0287 1,1911 1,3126 1,3971 1,4165 1,3368 1,1498 0,8856 0,6020 0,3496 0,1507 0,0032 -0,1027 -0,1711 -0,2054 -0,2044 -0,1491 -0,0222 0,1494 0,2768 0,2486 0,0039 -0,4388 -1,0008 -1,5735 -2,0390 -2,2962 -2,2878 -2,0232 -1,5809 -1,0783 -0,6360 -0,3489 -0,2598 -0,3512 -0,5611 -0,8153 -1,0637 -1,3109 -1,5957 -1,9523 -2,3912 -2,8833 -3,3694 -3,7795 -4,0524 -4,1366 -4,0012 -3,6621 -3,1918 -2,6887 -2,2331 -1,8705 -1,6173 -1,4686 -1,4034 -1,4013 -1,4454 -1,5087 -1,5434 -1,4962 -1,3377 -1,0760 -0,7532 -0,4302 -0,1594 0,0236 0,1103 0,1386 0,1998 0,3875 0,7308 1,1899 1,7032 2,2204 2,7224 3,2262 3,7699 4,3714 5,0031 5,5823 5,9955 6,1543 6,0504 5,7532 5,3682 5,0010 4,7294 4,5854 4,5580 4,6052 4,6819 4,7711 4,8891 5,0572 5,2732 5,5185 5,7851 6,0721 6,3655 6,6407 6,8664 7,0040 7,0073 6,8382 6,5000 6,0549 5,6105 5,2867 5,1840 5,3509 5,7623 6,3392 6,9788 7,5789 8,0560 8,3491 8,4216 8,2664 7,9096 7,4019 6,8033 6,1807 5,6017 5,1003 4,6606 4,2329 3,7722 3,2687 2,7529 2,2840 1,9309 1,7338 1,6799 1,7153 1,7860 1,8702 1,9733 2,0956 2,2117 2,2743 2,2452 2,1148 1,8990 1,6290 1,3482 1,0996 0,8978 0,7113 0,4838 0,1824 -0,1785 -0,5452 -0,8360 -0,9533 -0,8170 -0,4249 0,1239 0,6823 1,1367 1,4605 1,6796 1,8206 1,8965 1,9226 1,9173 1,8929 1,8479 1,7756 1,6715 1,5299 1,3255 1,0274 0,6368 0,2123 -0,1625 -0,4325 -0,6002 -0,7046 -0,7903 -0,8862 -1,0139 -1,2005 -1,4641 -1,7849 -2,0907 -2,2899 -2,3027 -2,0991 -1,7180 -1,2557 -0,8210 -0,4851 -0,2574 -0,1010 0,0401 0,2182 0,4589 0,7423 0,9993 1,1377 1,0998 0,9058 0,6449 0,4351 0,3691 0,4675 0,6610 0,8201 0,8303 0,6517 0,3356 -0,0090 -0,2679 -0,3644 -0,2734 -0,0168 0,3433 0,7085 0,9706 1,0554 0,9402 0,6515 0,2606 -0,1383 -0,4643 -0,6729 -0,7499 -0,6908 -0,5037 -0,2427 -0,0084 0,1026 0,0691 -0,0357 -0,0937 -0,0086 0,2639 0,7158 1,2840 1,8644 2,3360 2,5953 2,5863 2,3184 1,8704 1,3712 0,9543 0,7090 0,6605 0,7736 0,9679 1,1473 1,2524 1,2836 1,2803 1,2904 1,3580 1,5133 1,7645 2,0987 2,5066 2,9851 3,5127 4,0413 4,5055 4,8385 4,9843 4,8984 4,5572 3,9820 3,2782 2,6145 2,1491 1,9548 1,9990 2,1871 2,4078 2,5794 2,6696 2,7043 2,7404 2,8214 2,9515 3,1072 3,2713 3,4387 3,5960 3,7209 3,8076 3,8711 3,9208 3,9449 3,9266 3,8644 3,7913 3,7633 3,8313 4,0147 4,2930 4,6213 4,9368 5,1716 5,2610 5,1645 4,8875 4,4885 4,0554 3,6684 3,3672 3,1446 2,9670 2,8214 2,7461 2,8171 3,0879 3,5559 4,1657 4,8278 5,4377 5,8966 6,1436 6,1787 6,0525 5,8254 5,5533 5,2968 5,1178 5,0473 5,0843 5,2025 5,3600 5,4949 5,5401 5,4563 5,2666 5,0592 4,9409 4,9750 5,1537 5,4203 5,7144 5,9775 6,1487 6,1885 6,0952 5,9071 5,6830 5,4913 5,3874 5,3941 5,4776 5,5514 5,5212 5,3284 4,9696 4,4909 3,9701 3,4923 3,1213 2,8849 2,7784 2,7786 2,8528 2,9749 3,1366 3,3512 3,6366 3,9907 4,3802 4,7374 4,9764 5,0178 4,8254 4,4216 3,8828 3,3207 2,8468 2,5398 2,4288 2,5030 2,7212 3,0177 3,3199 3,5605 3,6902 3,6944 3,6063 3,4810 3,3637 3,2622 3,1494 2,9856 2,7421 2,4132 2,0276 1,6512 1,3694 1,2436 1,2955 1,5132 1,8594 2,2678 2,6416 2,8783 2,9138 2,7405 2,3975 1,9421 1,4219 0,8561 0,2462 -0,4138 -1,1126 -1,8124 -2,4556 -2,9823 -3,3511 -3,5491 -3,5877 -3,5018 -3,3465 -3,1695 -2,9627 -2,6637 -2,2135 -1,6122 -0,9221 -0,2342 0,3619 0,7932 1,0092 0,9821 0,7048 0,1836 -0,5527 -1,4388 -2,3589 -3,1643 -3,7172 -3,9470 -3,8715 -3,5901 -3,2435 -2,9478 -2,7338 -2,5415 -2,2820 -1,8986 -1,3781 -0,7500 -0,0916 0,4824 0,8826 1,0935 1,1546 1,1076 0,9861 0,8273 0,6790 0,5789 0,5343 0,5167 0,4895 0,4428 0,4120 0,4506 0,5832 0,7819 0,9925 1,1704 1,2877 1,3222 1,2655 1,1422 1,0097 0,9291 0,9415 1,0699 1,3296 1,7200 2,2107 2,7380 3,2195 3,5819 3,7702 3,7615 3,5729 3,2514 2,8507 2,4106 1,9502 1,4824 1,0201 0,5782 0,1709 -0,1698 -0,3985 -0,4808 -0,4219 -0,2759 -0,1390 -0,0986 -0,1797 -0,3334 -0,4858 -0,5800 -0,5850 -0,4970 -0,3507 -0,2118 -0,1496 -0,2118 -0,4158 -0,7424 -1,1249 -1,4655 -1,6670 -1,6688 -1,4708 -1,1325 -0,7426 -0,3832 -0,1052 0,0797 0,1934 0,2804 0,3859 0,5330 0,7260 0,9667 1,2530 1,5459
F7    -0,4847 -0,2868 -0,1007 0,0883 0,2960 0,5235 0,7524 0,9600 1,1352 1,2793 1,3897 1,4549 1,4644 1,4154 1,3100 1,1538 0,9607 0,7556 0,5591 0,3729 0,1908 0,0137 -0,1567 -0,3240 -0,4886 -0,6374 -0,7473 -0,7981 -0,7797 -0,6877 -0,5229 -0,2997 -0,0535 0,1606 0,2849 0,2748 0,1204 -0,1461 -0,4618 -0,7527 -0,9592 -1,0547 -1,0523 -0,9922 -0,9195 -0,8680 -0,8498 -0,8532 -0,8453 -0,7938 -0,6894 -0,5429 -0,3658 -0,1633 0,0470 0,2311 0,3558 0,4098 0,4037 0,3520 0,2646 0,1506 0,0296 -0,0741 -0,1392 -0,1535 -0,1230 -0,0693 -0,0151 0,0289 0,0607 0,0772 0,0753 0,0619 0,0587 0,0966 0,1959 0,3495 0,5199 0,6528 0,7043 0,6565 0,5143 0,3039 0,0741 -0,1128 -0,2122 -0,2241 -0,1788 -0,1044 -0,0046 0,1281 0,2858 0,4349 0,5363 0,5712 0,5422 0,4635 0,3547 0,2374 0,1238 0,0092 -0,1200 -0,2699 -0,4314 -0,5943 -0,7536 -0,9038 -1,0328 -1,1154 -1,1249 -1,0434 -0,8717 -0,6353 -0,3857 -0,1846 -0,0836 -0,1152 -0,2854 -0,5662 -0,9017 -1,2266 -1,4789 -1,6122 -1,6081 -1,4789 -1,2544 -0,9693 -0,6527 -0,3164 0,0487 0,4595 0,9219 1,4152 1,8974 2,3234 2,6644 2,9098 3,0586 3,1192 3,1243 3,1286 3,1874 3,3277 3,5349 3,7562 3,9287 4,0110 4,0024 3,9351 3,8564 3,8116 3,8293 3,9112 4,0309 4,1536 4,2630 4,3627 4,4600 4,5590 4,6661 4,7920 4,9418 5,1097 5,2876 5,4679 5,6336 5,7575 5,8075 5,7680 5,6635 5,5557 5,5104 5,5638 5,7154 5,9361 6,1863 6,4319 6,6470 6,8132 6,9148 6,9368 6,8744 6,7412 6,5676 6,3816 6,1936 5,9980 5,7799 5,5233 5,2248 4,8999 4,5921 4,3631 4,2706 4,3401 4,5454 4,8123 5,0468 5,1637 5,1098 4,8761 4,4906 4,0023 3,4689 2,9475 2,4847 2,1078 1,8287 1,6477 1,5554 1,5384 1,5787 1,6497 1,7232 1,7750 1,7883 1,7642 1,7225 1,6901 1,6852 1,7097 1,7590 1,8361 1,9526 2,1092 2,2753 2,4128 2,5050 2,5662 2,6283 2,7225 2,8597 3,0230 3,1724 3,2533 3,2119 3,0257 2,7165 2,3407 1,9642 1,6460 1,4214 1,2924 1,2267 1,1825 1,1289 1,0573 0,9779 0,9164 0,9076 0,9764 1,1171 1,2800 1,4043 1,4608 1,4669 1,4617 1,4697 1,4816 1,4624 1,3758 1,2143 1,0173 0,8613 0,8247 0,9450 1,2022 1,5374 1,8792 2,1616 2,3376 2,3834 2,3026 2,1341 1,9409 1,7839 1,6982 1,6895 1,7398 1,8193 1,8983 1,9555 1,9861 2,0034 2,0245 2,0560 2,0962 2,1438 2,1983 2,2548 2,3040 2,3424 2,3774 2,4115 2,4269 2,3953 2,2938 2,1211 1,8981 1,6665 1,4782 1,3799 1,3961 1,5179 1,7073 1,9136 2,1060 2,2898 2,4911 2,7206 2,9538 3,1510 3,2931 3,3934 3,4791 3,5682 3,6556 3,7140 3,7057 3,6088 3,4317 3,2156 3,0222 2,9058 2,8871 2,9596 3,0972 3,2565 3,3835 3,4323 3,3804 3,2268 2,9949 2,7393 2,5331 2,4413 2,4960 2,6981 3,0155 3,3927 3,7677 4,0832 4,2977 4,3838 4,3428 4,2109 4,0537 3,9384 3,9058 3,9573 4,0591 4,1658 4,2450 4,2932 4,3294 4,3759 4,4428 4,5282 4,6254 4,7305 4,8378 4,9380 5,0137 5,0400 4,9846 4,8113 4,5082 4,1151 3,7196 3,4112 3,2393 3,2036 3,2679 3,3786 3,4857 3,5539 3,5661 3,5209 3,4357 3,3428 3,2768 3,2522 3,2599 3,2756 3,2737 3,2440 3,1961 3,1494 3,1226 3,1330 3,1947 3,3112 3,4689 3,6428 3,7950 3,8786 3,8467 3,6859 3,4343 3,1678 2,9618 2,8596 2,8680 2,9655 3,1183 3,2928 3,4528 3,5665 3,6183 3,6170 3,5945 3,5875 3,6224 3,6960 3,7769 3,8151 3,7650 3,6025 3,3381 3,0231 2,7329 2,5403 2,4917 2,5915 2,8084 3,0991 3,4278 3,7643 4,0718 4,3035 4,4267 4,4418 4,3733 4,2460 4,0770 3,8804 3,6675 3,4586 3,2866 3,1805 3,1401 3,1385 3,1447 3,1399 3,1295 3,1352 3,1687 3,2073 3,2060 3,1362 3,0009 2,8228 2,6300 2,4531 2,3210 2,2643 2,3056 2,4437 2,6485 2,8776 3,0905 3,2508 3,3285 3,3096 3,1925 2,9903 2,7311 2,4475 2,1650 1,8985 1,6589 1,4633 1,3256 1,2383 1,1598 1,0358 0,8369 0,5815 0,3139 0,0780 -0,0997 -0,2125 -0,2698 -0,2862 -0,2764 -0,2592 -0,2617 -0,3103 -0,4161 -0,5694 -0,7490 -0,9288 -1,0836 -1,1995 -1,2840 -1,3586 -1,4403 -1,5348 -1,6423 -1,7534 -1,8407 -1,8658 -1,8050 -1,6630 -1,4694 -1,2639 -1,0864 -0,9646 -0,9106 -0,9109 -0,9268 -0,9106 -0,8204 -0,6353 -0,3664 -0,0515 0,2618 0,5318 0,7256 0,8224 0,8194 0,7428 0,6426 0,5739 0,5780 0,6793 0,8746 1,1254 1,3652 1,5312 1,5927 1,5592 1,4563 1,3040 1,1192 0,9336 0,7958 0,7471 0,7933 0,9010 1,0169 1,1005 1,1459 1,1700 1,1818 1,1725 1,1316 1,0706 1,0247 1,0280 1,0924 1,1983 1,3124 1,4071 1,4634 1,4685 1,4110 1,2806 1,0770 0,8212 0,5605 0,3500 0,2284 0,1985 0,2313 0,2841 0,3235 0,3334 0,3162 0,2759 0,2080 0,1057 -0,0277 -0,1853 -0,3688 -0,5865 -0,8352 -1,0910 -1,3187 -1,4843 -1,5627 -1,5445 -1,4440 -1,2908 -1,1176 -0,9509 -0,8051 -0,6852 -0,5969 -0,5434 -0,5120 -0,4775 -0,4200 -0,3365 -0,2448 -0,1778 -0,1642 -0,2027 -0,2560
