Fp1   1,1106 1,1990 1,3296 1,4770 1,5651 1,4995 1,2392 0,8198 0,3161 -0,1921 -0,6425 -1,0201 -1,3425 -1,6060 -1,7755 -1,8192 -1,7267 -1,5081 -1,1881 -0,7962 -0,3757 0,0208 0,3568 0,5987 0,6867 0,5563 0,1752 -0,4361 -1,1908 -1,9550 -2,5825 -2,9437 -2,9673 -2,6808 -2,2029 -1,6739 -1,1677 -0,6695 -0,1368 0,4307 0,9834 1,4587 1,8170 2,0605 2,2320 2,3809 2,5172 2,6106 2,6248 2,5329 2,3222 2,0057 1,6140 1,1761 0,7320 0,3550 0,1319 0,1028 0,2189 0,3578 0,4033 0,3407 0,2560 0,2298 0,2625 0,2912 0,2400 0,0765 -0,1449 -0,3081 -0,3147 -0,1333 0,2067 0,6273 1,0177 1,2978 1,4761 1,6179 1,7642 1,9009 1,9860 1,9656 1,7846 1,4324 0,9800 0,5432 0,1959 -0,0677 -0,2806 -0,4363 -0,4828 -0,3701 -0,1169 0,1706 0,3832 0,4977 0,5348 0,4710 0,2529 -0,1229 -0,5825 -1,0214 -1,3662 -1,5949 -1,7221 -1,7955 -1,8991 -2,1236 -2,5175 -3,0549 -3,6411 -4,1793 -4,6342 -5,0061 -5,2823 -5,4395 -5,4500 -5,2753 -4,8956 -4,3420 -3,6770 -2,9577 -2,2377 -1,5952 -1,1475 -1,0139 -1,2470 -1,7978 -2,5525 -3,3690 -4,0734 -4,5030 -4,6027 -4,4384 -4,1290 -3,7998 -3,5603 -3,4773 -3,5624 -3,7758 -4,0353 -4,2508 -4,3882 -4,4936 -4,6344 -4,8294 -5,0327 -5,1526 -5,0905 -4,7892 -4,2573 -3,5552 -2,7604 -1,9512 -1,2045 -0,5812 -0,1121 0,1835 0,2733 0,1466 -0,1196 -0,3773 -0,5103 -0,4799 -0,2699 0,1310 0,6648 1,1985 1,5967 1,7578 1,6331 1,2759 0,8279 0,4163 0,1046 -0,0701 -0,0919 -0,0061 0,0933 0,1221 0,0292 -0,2159 -0,6210 -1,1623 -1,7857 -2,4081 -2,9235 -3,2352 -3,2990 -3,1406 -2,8318 -2,4403 -2,0029 -1,5471 -1,1026 -0,6700 -0,2230 0,2388 0,6756 1,0525 1,3761 1,6749 1,9358 2,0616 1,9246 1,4892 0,8727 0,2705 -0,1649 -0,3794 -0,4021 -0,3031 -0,1604 -0,0530 -0,0496 -0,1699 -0,3631 -0,5601 -0,7554 -1,0216 -1,4425 -2,0333 -2,7101 -3,3387 -3,8355 -4,2287 -4,6192 -5,0651 -5,5055 -5,8157 -5,9403 -5,9372 -5,8944 -5,8566 -5,8489 -5,9191 -6,1302 -6,5158 -7,0385 -7,6020 -8,1052 -8,4776 -8,6794 -8,6861 -8,4853 -8,1007 -7,6010 -7,0759 -6,6151 -6,2899 -6,1231 -6,0945 -6,1826 -6,3767 -6,6444 -6,9262 -7,1707 -7,3490 -7,4352 -7,4015 -7,2499 -7,0496 -6,9157 -6,9255 -7,0719 -7,3040 -7,5715 -7,8291 -8,0479 -8,2352 -8,4188 -8,6049 -8,7726 -8,9058 -8,9881 -8,9663 -8,7805 -8,4282 -7,9664 -7,4765 -7,0424 -6,7255 -6,5495 -6,5149 -6,6149 -6,8175 -7,0591 -7,2856 -7,4773 -7,6181 -7,6696 -7,5914 -7,3845 -7,1053 -6,8253 -6,5862 -6,3985 -6,2528 -6,1173 -5,9544 -5,7534 -5,5285 -5,2810 -4,9885 -4,6356 -4,2640 -3,9969 -3,9758 -4,2427 -4,7043 -5,2134 -5,6606 -6,0020 -6,2321 -6,3522 -6,3687 -6,2954 -6,1524 -5,9822 -5,8476 -5,7953 -5,8340 -5,9509 -6,1302 -6,3435 -6,5369 -6,6576 -6,6967 -6,6909 -6,6979 -6,7757 -6,9427 -7,1401 -7,2532 -7,1820 -6,9226 -6,5882 -6,3171 -6,1715 -6,1321 -6,1336 -6,0944 -5,9652 -5,7618 -5,5288 -5,2872 -5,0569 -4,9076 -4,9229 -5,1073 -5,3609 -5,5371 -5,5039 -5,1807 -4,5769 -3,8185 -3,0955 -2,5488 -2,2151 -2,0695 -2,0729 -2,1757 -2,3283 -2,5171 -2,7678 -3,1029 -3,5102 -3,9580 -4,4354 -4,9677 -5,5879 -6,2966 -7,0403 -7,7114 -8,1824 -8,3619 -8,2176 -7,7704 -7,0998 -6,3375 -5,6445 -5,1759 -5,0127 -5,1070 -5,3104 -5,4716 -5,5311 -5,5426 -5,6017 -5,7472 -5,9229 -6,0261 -5,9990 -5,8748 -5,7345 -5,6294 -5,5485 -5,4355 -5,2326 -4,9296 -4,5725 -4,2332 -3,9938 -3,9224 -4,0293 -4,2769 -4,6236 -4,9993 -5,2852 -5,3920 -5,3297 -5,1543 -4,8899 -4,5509 -4,2078 -3,9739 -3,9106 -3,9666 -4,0454 -4,1120 -4,1849 -4,2652 -4,3403 -4,4137 -4,4867 -4,5405 -4,5500 -4,5081 -4,4502 -4,4561 -4,6006 -4,8659 -5,1043 -5,1331 -4,8825 -4,4388 -3,9571 -3,5412 -3,1919 -2,8693 -2,5805 -2,3880 -2,3392 -2,3997 -2,4604 -2,4052 -2,1812 -1,8192 -1,3860 -0,9409 -0,5497 -0,2911 -0,2062 -0,2577 -0,3573 -0,4350 -0,4735 -0,4744 -0,4138 -0,2689 -0,0744 0,0979 0,2186 0,3362 0,5353 0,8684 1,3093 1,7531 2,0800 2,2400 2,2823 2,3075 2,3801 2,4676 2,4620 2,2789 1,9392 1,5303 1,0969 0,6275 0,1398 -0,2960 -0,6210 -0,8186 -0,8949 -0,8716 -0,7756 -0,6288 -0,4816 -0,4237 -0,5195 -0,7752 -1,1624 -1,6169 -2,0391 -2,3462 -2,5321 -2,6681 -2,8387 -3,0931 -3,4518 -3,9143 -4,4671 -5,0948 -5,7458 -6,3154 -6,7465 -7,1133 -7,5278 -7,9916 -8,3998 -8,6569 -8,7282 -8,6126 -8,3183 -7,8650 -7,2945 -6,6713 -6,0575 -5,4927 -5,0036 -4,6218 -4,3870 -4,3285 -4,4265 -4,5840 -4,6636 -4,5852 -4,3879 -4,1862 -4,0689 -4,0304 -3,9811 -3,8213 -3,5152 -3,1100 -2,6956 -2,3341 -2,0207 -1,7160 -1,3970 -1,0610 -0,7102 -0,3698 -0,1085 -0,0181 -0,1702 -0,5762 -1,1586 -1,7620 -2,2263 -2,4683 -2,5027 -2,3906 -2,1842 -1,9259 -1,6556 -1,3731 -1,0291 -0,6033 -0,1735 0,1253 0,1951 0,0149 -0,3771 -0,9044 -1,4750 -2,0187 -2,5049 -2,9273 -3,2777 -3,5272 -3,6302 -3,5562 -3,3321 -3,0607 -2,8953 -2,9732 -3,3329 -3,8684 -4,3647 -4,6022 -4,4730 -4,0397 -3,4961 -3,0578 -2,8506 -2,8765 -3,0615 -3,3059 -3,5107 -3,6195 -3,6628 -3,7299 -3,8751 -4,0663 -4,2233 -4,2697 -4,1541 -3,8728
Fz    2,0153 2,0487 2,1294 2,2155 2,2490 2,1674 1,9481 1,6169 1,2046 0,7341 0,2341 -0,2797 -0,8179 -1,3800 -1,9229 -2,3659 -2,6139 -2,5956 -2,2934 -1,7444 -1,0324 -0,2632 0,4755 1,1110 1,5623 1,7572 1,6606 1,2828 0,6752 -0,0864 -0,9046 -1,6503 -2,2023 -2,5164 -2,6360 -2,6251 -2,4954 -2,2089 -1,7506 -1,1843 -0,6262 -0,1696 0,1602 0,4044 0,6502 0,9881 1,4501 1,9938 2,5525 3,0782 3,5397 3,9039 4,1138 4,0941 3,8115 3,3338 2,8092 2,3779 2,0995 1,9434 1,8474 1,7967 1,8308 1,9691 2,1703 2,3653 2,4918 2,5092 2,4099 2,2192 1,9849 1,7706 1,6493 1,6777 1,8781 2,2598 2,8307 3,5584 4,3358 5,0080 5,4328 5,5182 5,2397 4,6602 3,9202 3,1678 2,4865 1,8966 1,4186 1,1192 1,0863 1,3616 1,8842 2,5066 3,0930 3,5909 3,9808 4,1991 4,1594 3,8331 3,2973 2,7107 2,2268 1,9100 1,7189 1,5476 1,2854 0,8702 0,3052 -0,3563 -1,0228 -1,5930 -2,0015 -2,2287 -2,2876 -2,2207 -2,0781 -1,8946 -1,7004 -1,5260 -1,3685 -1,1737 -0,8779 -0,4654 0,0063 0,4196 0,6614 0,6957 0,5654 0,3626 0,2195 0,2579 0,4993 0,8550 1,2010 1,4309 1,4569 1,2106 0,6780 -0,0594 -0,8288 -1,4310 -1,7281 -1,6893 -1,3765 -0,9171 -0,4629 -0,1152 0,1233 0,3127 0,5147 0,7770 1,1504 1,6730 2,3376 3,0931 3,8651 4,5553 5,0425 5,2364 5,1584 4,9444 4,7364 4,6048 4,5952 4,7725 5,1612 5,6891 6,2137 6,5747 6,6537 6,4501 6,0866 5,7197 5,4720 5,4243 5,5871 5,8724 6,1402 6,2711 6,1881 5,8544 5,2831 4,5410 3,7310 2,9712 2,3787 2,0421 1,9806 2,1246 2,3471 2,5366 2,6514 2,7139 2,7980 3,0332 3,5470 4,3596 5,3596 6,3886 7,3241 8,0875 8,5947 8,7379 8,4444 7,7542 6,8242 5,8460 4,9638 4,2568 3,7539 3,4336 3,2104 2,9583 2,5938 2,1579 1,8050 1,6882 1,8416 2,1608 2,4678 2,5984 2,4764 2,1343 1,6591 1,1172 0,5283 -0,0921 -0,6735 -1,1074 -1,3315 -1,3604 -1,2303 -0,9768 -0,6734 -0,4384 -0,3958 -0,6220 -1,1130 -1,7945 -2,5605 -3,2949 -3,8816 -4,2289 -4,3071 -4,1577 -3,8468 -3,4162 -2,8902 -2,3070 -1,7289 -1,2339 -0,8993 -0,7706 -0,8353 -1,0364 -1,3130 -1,6186 -1,9175 -2,1854 -2,4090 -2,5891 -2,7395 -2,8688 -2,9667 -3,0117 -2,9743 -2,8159 -2,5292 -2,1878 -1,9203 -1,8173 -1,8807 -2,0554 -2,2626 -2,4150 -2,4607 -2,4104 -2,3015 -2,1630 -2,0139 -1,8633 -1,7173 -1,5915 -1,4975 -1,4175 -1,3251 -1,2355 -1,1938 -1,2049 -1,2089 -1,1296 -0,9324 -0,6476 -0,3449 -0,0888 0,0924 0,2171 0,3297 0,4552 0,5753 0,6600 0,7179 0,8040 0,9734 1,2130 1,4101 1,4177 1,1617 0,6756 0,0496 -0,6230 -1,2639 -1,8028 -2,1772 -2,3543 -2,3388 -2,1550 -1,8353 -1,4251 -0,9959 -0,6459 -0,4749 -0,5437 -0,8313 -1,2118 -1,5083 -1,6006 -1,4810 -1,2374 -1,0064 -0,8957 -0,9126 -0,9633 -0,9207 -0,7238 -0,4292 -0,1405 0,0928 0,2830 0,4581 0,6352 0,8049 0,9310 0,9921 1,0065 0,9855 0,8887 0,6713 0,3665 0,0913 -0,0279 0,0863 0,4505 1,0158 1,6705 2,2828 2,7632 3,0785 3,2114 3,1400 2,8689 2,4578 1,9976 1,5566 1,1534 0,7732 0,3948 -0,0025 -0,4377 -0,9100 -1,3798 -1,7731 -2,0022 -1,9933 -1,7137 -1,1748 -0,4329 0,3987 1,1737 1,7605 2,0694 2,0877 1,9015 1,6467 1,4160 1,2018 0,9236 0,5182 0,0129 -0,4788 -0,8231 -0,9457 -0,8632 -0,6433 -0,3444 0,0028 0,3837 0,7872 1,1842 1,5240 1,7600 1,8613 1,8175 1,6546 1,4136 1,1147 0,7919 0,5288 0,3998 0,4132 0,5488 0,7983 1,1269 1,4301 1,5772 1,5142 1,3082 1,0655 0,8193 0,5379 0,2072 -0,1453 -0,4659 -0,6843 -0,7472 -0,6591 -0,4995 -0,4063 -0,5115 -0,8544 -1,3383 -1,7678 -1,9605 -1,8615 -1,5632 -1,2224 -0,9486 -0,7551 -0,6099 -0,5059 -0,4728 -0,5382 -0,6792 -0,8144 -0,8463 -0,7193 -0,4389 -0,0363 0,4495 0,9382 1,3028 1,4312 1,3001 0,9982 0,6763 0,4593 0,4082 0,5469 0,8640 1,2869 1,7147 2,0982 2,4681 2,8789 3,3391 3,7949 4,1633 4,3816 4,4423 4,3902 4,2842 4,1429 3,9175 3,5381 3,0067 2,4365 1,9726 1,6648 1,4446 1,2238 0,9810 0,7556 0,5969 0,5281 0,5375 0,6006 0,6976 0,7953 0,8509 0,8557 0,8239 0,7407 0,5807 0,3555 0,1021 -0,1662 -0,4742 -0,8526 -1,3061 -1,8090 -2,3116 -2,7681 -3,1684 -3,5151 -3,7901 -4,0005 -4,2261 -4,5471 -4,9331 -5,2544 -5,3912 -5,2974 -4,9862 -4,5025 -3,9145 -3,2971 -2,6989 -2,1308 -1,5937 -1,1046 -0,6940 -0,3891 -0,1945 -0,0736 0,0400 0,1819 0,3066 0,3145 0,1332 -0,2141 -0,5890 -0,7954 -0,6906 -0,2571 0,4163 1,1931 1,9392 2,5605 3,0213 3,3366 3,5540 3,7193 3,8256 3,8000 3,5540 3,0386 2,2689 1,3435 0,4435 -0,2398 -0,6008 -0,6464 -0,4423 -0,0573 0,4318 0,9281 1,3536 1,6815 1,8913 1,9177 1,6835 1,1728 0,4497 -0,3737 -1,1754 -1,8524 -2,3377 -2,6007 -2,6501 -2,5306 -2,2924 -1,9653 -1,5714 -1,1523 -0,7787 -0,5391 -0,4984 -0,6479 -0,8869 -1,0532 -0,9943 -0,6563 -0,1281 0,4071 0,7667 0,8483 0,6612 0,2961 -0,1331 -0,5231 -0,8100 -1,0006 -1,1511 -1,2990 -1,4388 -1,5456 -1,5956 -1,5758 -1,4916
F3    1,9325 1,8702 1,8465 1,8684 1,9217 1,9547 1,9093 1,7503 1,4587 1,0370 0,5168 -0,0671 -0,6901 -1,3085 -1,8465 -2,2134 -2,3347 -2,1891 -1,8096 -1,2553 -0,6051 0,0519 0,6480 1,1293 1,4224 1,4539 1,1919 0,6672 -0,0287 -0,7751 -1,4555 -1,9774 -2,3066 -2,4836 -2,5808 -2,6300 -2,5879 -2,3747 -1,9536 -1,3755 -0,7461 -0,1644 0,3116 0,6761 0,9857 1,3290 1,7510 2,2240 2,7006 3,1509 3,5432 3,8256 3,9298 3,7972 3,4303 2,9282 2,4543 2,1533 2,0737 2,1463 2,2417 2,2715 2,2257 2,1178 1,9448 1,7009 1,3847 0,9993 0,5795 0,2084 -0,0105 -0,0005 0,2603 0,7326 1,3388 2,0204 2,7688 3,5837 4,4089 5,1218 5,5801 5,6679 5,3229 4,5744 3,5649 2,4992 1,5479 0,7938 0,2697 0,0217 0,1051 0,5189 1,1548 1,8233 2,3613 2,7066 2,8515 2,7687 2,4261 1,8538 1,1806 0,5939 0,2392 0,1485 0,2537 0,4321 0,5469 0,4944 0,2375 -0,1952 -0,7283 -1,2759 -1,7789 -2,1912 -2,4616 -2,5647 -2,5246 -2,3987 -2,2564 -2,1494 -2,0697 -1,9456 -1,6936 -1,2877 -0,7956 -0,3535 -0,0794 -0,0020 -0,0722 -0,1965 -0,2446 -0,1152 0,1640 0,4472 0,5922 0,5444 0,3209 -0,0400 -0,4896 -0,9564 -1,3546 -1,6182 -1,7297 -1,7099 -1,5864 -1,3955 -1,1909 -0,9942 -0,7524 -0,3934 0,0815 0,5946 1,0793 1,5362 2,0054 2,5140 3,0473 3,5368 3,8616 3,9025 3,6504 3,2473 2,8805 2,6659 2,6611 2,9131 3,4179 4,0759 4,7179 5,1550 5,2481 4,9959 4,5428 4,0774 3,7460 3,6282 3,7065 3,8578 3,9341 3,8581 3,6356 3,3123 2,9417 2,5726 2,2406 1,9704 1,7890 1,7231 1,7678 1,8633 1,9192 1,8776 1,7500 1,5969 1,5051 1,5889 1,9496 2,5997 3,4491 4,3721 5,2804 6,1239 6,8211 7,2233 7,1868 6,6849 5,8364 4,8270 3,8324 3,0062 2,4688 2,2525 2,2540 2,2746 2,1542 1,8947 1,6523 1,5900 1,7289 1,9367 2,0317 1,8973 1,5429 1,0804 0,6295 0,2303 -0,1646 -0,6139 -1,1009 -1,5402 -1,8669 -2,0700 -2,1426 -2,0720 -1,8881 -1,6785 -1,5609 -1,6383 -1,9477 -2,4440 -3,0298 -3,5874 -4,0016 -4,1885 -4,1329 -3,8906 -3,5325 -3,0991 -2,6243 -2,1664 -1,7900 -1,5395 -1,4414 -1,5015 -1,6903 -1,9508 -2,2282 -2,4834 -2,6852 -2,8032 -2,8146 -2,7283 -2,5978 -2,4921 -2,4508 -2,4682 -2,5053 -2,5142 -2,4777 -2,4362 -2,4575 -2,5701 -2,7360 -2,8877 -2,9573 -2,8837 -2,6512 -2,3080 -1,9174 -1,5212 -1,1510 -0,8350 -0,5993 -0,4702 -0,4554 -0,5209 -0,6146 -0,7191 -0,8474 -0,9810 -1,0464 -0,9622 -0,7102 -0,3629 -0,0383 0,1704 0,2305 0,1694 0,0516 -0,0644 -0,1497 -0,1785 -0,0971 0,1544 0,5919 1,1445 1,6500 1,9214 1,8504 1,4519 0,8267 0,1042 -0,5963 -1,1817 -1,6000 -1,8551 -1,9811 -1,9977 -1,8980 -1,6764 -1,3722 -1,0821 -0,9175 -0,9371 -1,0973 -1,2534 -1,2500 -1,0384 -0,6996 -0,3796 -0,2205 -0,2908 -0,5373 -0,8064 -0,9380 -0,8806 -0,7282 -0,6179 -0,6047 -0,6511 -0,6852 -0,6471 -0,5175 -0,3212 -0,0882 0,1742 0,4445 0,6496 0,7148 0,6426 0,5112 0,4114 0,4173 0,5859 0,9292 1,3830 1,8342 2,1909 2,4160 2,4985 2,4287 2,2240 1,9505 1,6766 1,4114 1,1155 0,7612 0,3605 -0,0626 -0,5065 -0,9838 -1,4841 -1,9486 -2,2778 -2,3669 -2,1456 -1,5979 -0,7791 0,1736 1,0823 1,7910 2,2018 2,3045 2,1861 1,9765 1,7583 1,5144 1,1625 0,6561 0,0558 -0,4921 -0,8354 -0,8973 -0,7086 -0,3653 0,0388 0,4362 0,7849 1,0695 1,2811 1,3948 1,3812 1,2275 0,9584 0,6480 0,3750 0,1719 0,0662 0,1246 0,3897 0,8213 1,3458 1,9157 2,4708 2,8799 2,9836 2,7214 2,1946 1,5748 0,9716 0,4276 -0,0118 -0,2892 -0,3675 -0,2447 0,0317 0,3563 0,5854 0,5832 0,2842 -0,2547 -0,8545 -1,2813 -1,3587 -1,0675 -0,5524 -0,0246 0,3710 0,6119 0,7406 0,7829 0,7296 0,5677 0,3286 0,1090 0,0292 0,1500 0,4358 0,8034 1,1738 1,4606 1,5671 1,4394 1,1221 0,7539 0,4933 0,4315 0,5785 0,9062 1,3556 1,8238 2,2161 2,5269 2,8416 3,2466 3,7404 4,2236 4,5585 4,6554 4,5320 4,3021 4,0993 3,9830 3,8958 3,7192 3,3886 2,9543 2,5155 2,1094 1,7041 1,2894 0,9163 0,6476 0,5077 0,4811 0,5340 0,6423 0,7995 0,9859 1,1631 1,3160 1,4544 1,5765 1,6759 1,7636 1,8487 1,8992 1,8363 1,5756 1,0712 0,3382 -0,5464 -1,4854 -2,4186 -3,3082 -4,0984 -4,7567 -5,3168 -5,8091 -6,1731 -6,2884 -6,0753 -5,5456 -4,7844 -3,9080 -3,0288 -2,2267 -1,5321 -0,9425 -0,4614 -0,1184 0,0481 0,0229 -0,1580 -0,3988 -0,5762 -0,6132 -0,5408 -0,4785 -0,5392 -0,7364 -0,9523 -0,9910 -0,7002 -0,0662 0,7883 1,6781 2,4330 2,9482 3,1970 3,2173 3,1018 2,9582 2,8301 2,6683 2,3897 1,9415 1,3341 0,6693 0,1273 -0,1384 -0,1111 0,1001 0,3683 0,6232 0,8376 0,9989 1,1312 1,2973 1,5164 1,6938 1,6809 1,3973 0,8759 0,2172 -0,4696 -1,0947 -1,5919 -1,9212 -2,0804 -2,1075 -2,0480 -1,9190 -1,7145 -1,4421 -1,1495 -0,9211 -0,8348 -0,9009 -1,0312 -1,0722 -0,8877 -0,4425 0,1638 0,7399 1,0931 1,1163 0,8202 0,2942 -0,3434 -0,9572 -1,4246 -1,7070 -1,8526 -1,9075 -1,8671 -1,7091 -1,4348 -1,0795 -0,7010
F7    1,4765 1,3148 1,1544 1,0602 1,0628 1,1110 1,1261 1,0797 0,9575 0,6908 0,2210 -0,3864 -0,9659 -1,3791 -1,5827 -1,5986 -1,4662 -1,2192 -0,8733 -0,4299 0,0951 0,6628 1,2315 1,7472 2,1068 2,1744 1,8561 1,1614 0,2053 -0,8262 -1,7265 -2,3439 -2,6602 -2,7881 -2,8540 -2,8787 -2,7716 -2,4207 -1,7975 -1,0080 -0,2447 0,3261 0,6401 0,7444 0,7891 0,9706 1,3927 1,9532 2,3992 2,5107 2,2313 1,6609 0,9637 0,2916 -0,2299 -0,4927 -0,4231 -0,0181 0,6446 1,4211 2,1094 2,4836 2,3924 1,8661 1,1269 0,4554 0,0225 -0,1508 -0,1177 0,0565 0,2927 0,4747 0,4762 0,2462 -0,1233 -0,4101 -0,3705 0,1179 0,9807 1,9792 2,8289 3,3156 3,3248 2,8337 1,9483 0,9241 0,0632 -0,4607 -0,6729 -0,6902 -0,5877 -0,4016 -0,2080 -0,1189 -0,1874 -0,3599 -0,5419 -0,6857 -0,7986 -0,9049 -1,0193 -1,1337 -1,2159 -1,2279 -1,1516 -0,9956 -0,7804 -0,5336 -0,3232 -0,2503 -0,3484 -0,5251 -0,6685 -0,7875 -0,9948 -1,3656 -1,8554 -2,3492 -2,7561 -3,0515 -3,2460 -3,3277 -3,2610 -3,0633 -2,8459 -2,7283 -2,7097 -2,6615 -2,4597 -2,0938 -1,6430 -1,2001 -0,8401 -0,6141 -0,5237 -0,5133 -0,5317 -0,5910 -0,7436 -1,0153 -1,3831 -1,8053 -2,2279 -2,5500 -2,6600 -2,5478 -2,3146 -2,0456 -1,7411 -1,3840 -1,0183 -0,7158 -0,4762 -0,2082 0,1677 0,6355 1,1037 1,4751 1,6907 1,7323 1,6273 1,4749 1,4279 1,5909 1,9389 2,3489 2,6863 2,8539 2,7947 2,4909 1,9767 1,3493 0,7303 0,1877 -0,2799 -0,6749 -0,9635 -1,1155 -1,1328 -1,0382 -0,8692 -0,6780 -0,5150 -0,4170 -0,4043 -0,4813 -0,6395 -0,8588 -1,1142 -1,3977 -1,7169 -2,0625 -2,4002 -2,6789 -2,8106 -2,6876 -2,2856 -1,7212 -1,1542 -0,6595 -0,2079 0,2633 0,7572 1,1776 1,3996 1,3738 1,1447 0,7896 0,3691 -0,0735 -0,5090 -0,9472 -1,4424 -2,0361 -2,6924 -3,2925 -3,6995 -3,8478 -3,7826 -3,6079 -3,4157 -3,2804 -3,2668 -3,3934 -3,6184 -3,8993 -4,2267 -4,5785 -4,8735 -5,0136 -4,9786 -4,8374 -4,6627 -4,4885 -4,3633 -4,3850 -4,6379 -5,0932 -5,5899 -5,9301 -6,0023 -5,8330 -5,5457 -5,2849 -5,1504 -5,1493 -5,1900 -5,1495 -4,9607 -4,6575 -4,3592 -4,2008 -4,2420 -4,4307 -4,6536 -4,8356 -4,9884 -5,1577 -5,3404 -5,4787 -5,5285 -5,5206 -5,5368 -5,6197 -5,7195 -5,7407 -5,6063 -5,2788 -4,7892 -4,2864 -3,9861 -4,0194 -4,3439 -4,7912 -5,1659 -5,3178 -5,1851 -4,8076 -4,3116 -3,8560 -3,5581 -3,4513 -3,5071 -3,6739 -3,8931 -4,1040 -4,2511 -4,2873 -4,1768 -3,9091 -3,5184 -3,0787 -2,6692 -2,3448 -2,1423 -2,1002 -2,2510 -2,5866 -3,0343 -3,4603 -3,7146 -3,6972 -3,3896 -2,8459 -2,1920 -1,6202 -1,3172 -1,3485 -1,6230 -1,9735 -2,2663 -2,4570 -2,5866 -2,7388 -2,9836 -3,3395 -3,7613 -4,1491 -4,3894 -4,4108 -4,2187 -3,8849 -3,5037 -3,1447 -2,8370 -2,5793 -2,3629 -2,1915 -2,0735 -2,0064 -1,9967 -2,0752 -2,2544 -2,4773 -2,6322 -2,6569 -2,6217 -2,6498 -2,7649 -2,8670 -2,8410 -2,6500 -2,3451 -2,0150 -1,7218 -1,4855 -1,3210 -1,2532 -1,2719 -1,3096 -1,2975 -1,2309 -1,1529 -1,0874 -1,0130 -0,8982 -0,7478 -0,6049 -0,5092 -0,4708 -0,4783 -0,5134 -0,5524 -0,5738 -0,5849 -0,6396 -0,8105 -1,1409 -1,6240 -2,2015 -2,7728 -3,2360 -3,5474 -3,7193 -3,7579 -3,6392 -3,3499 -2,9370 -2,5146 -2,2068 -2,0728 -2,0930 -2,2002 -2,3102 -2,3517 -2,3080 -2,2341 -2,2163 -2,3024 -2,4631 -2,6195 -2,7128 -2,7480 -2,7705 -2,8115 -2,8632 -2,8885 -2,8368 -2,6735 -2,4287 -2,2063 -2,1234 -2,2465 -2,5496 -2,9025 -3,1386 -3,1617 -2,9622 -2,5599 -1,9817 -1,2676 -0,4661 0,3522 1,0618 1,4980 1,5388 1,1896 0,5828 -0,1215 -0,8241 -1,4716 -2,0081 -2,3818 -2,5560 -2,4959 -2,1957 -1,7165 -1,1846 -0,7674 -0,6179 -0,7841 -1,1633 -1,5559 -1,7766 -1,7441 -1,4883 -1,0858 -0,6004 -0,0810 0,4081 0,7821 0,9460 0,8201 0,4052 -0,1833 -0,7787 -1,2547 -1,5580 -1,6838 -1,6520 -1,5048 -1,2916 -1,0371 -0,7291 -0,3445 0,1123 0,5928 1,0236 1,3462 1,5342 1,5792 1,4890 1,3077 1,1179 0,9986 0,9664 0,9612 0,9119 0,8241 0,7890 0,9118 1,2253 1,6366 1,9473 1,9702 1,6655 1,1714 0,6901 0,3391 0,1201 -0,0010 -0,0449 -0,0445 -0,0625 -0,1563 -0,3227 -0,4820 -0,5352 -0,4546 -0,2965 -0,1287 0,0108 0,1055 0,1675 0,2414 0,3686 0,5371 0,6598 0,6145 0,3270 -0,1812 -0,8223 -1,5188 -2,2429 -2,9760 -3,6683 -4,2687 -4,7712 -5,1864 -5,4651 -5,4938 -5,2005 -4,6387 -3,9535 -3,2984 -2,7963 -2,5182 -2,4440 -2,4553 -2,4186 -2,2988 -2,1749 -2,1395 -2,2055 -2,3028 -2,3437 -2,2867 -2,1514 -1,9862 -1,8293 -1,6851 -1,5166 -1,2636 -0,8796 -0,3599 0,2485 0,8623 1,3894 1,7399 1,8489 1,7129 1,3682 0,8350 0,1232 -0,7223 -1,6226 -2,5072 -3,3280 -4,0249 -4,5005 -4,6567 -4,4457 -3,8830 -3,0378 -2,0397 -1,0792 -0,3506 0,0345 0,0866 -0,0988 -0,4268 -0,8657 -1,4412 -2,1751 -3,0149 -3,8137 -4,3949 -4,6415 -4,5404 -4,1881 -3,7502 -3,3769 -3,1331 -2,9925 -2,8908 -2,7892 -2,7034 -2,6879 -2,7816 -2,9694 -3,2012 -3,4239 -3,5936 -3,6935 -3,7398 -3,7585 -3,7695 -3,7935 -3,8520 -3,9377 -3,9997 -4,0044 -3,9949 -4,0218 -4,0469 -3,9813 -3,7832 -3,4826 -3,1466 -2,8406
