Fp1   -3,0389 -3,2698 -3,4343 -3,5141 -3,5019 -3,4075 -3,2465 -3,0375 -2,8101 -2,5978 -2,4151 -2,2564 -2,1121 -1,9712 -1,8135 -1,6160 -1,3618 -1,0434 -0,6686 -0,2649 0,1252 0,4634 0,7424 0,9948 1,2658 1,5673 1,8548 2,0452 2,0639 1,8962 1,6002 1,2716 0,9936 0,8196 0,7798 0,8789 1,0861 1,3413 1,5783 1,7518 1,8537 1,9079 1,9541 2,0266 2,1374 2,2742 2,4087 2,5140 2,5789 2,6057 2,5967 2,5544 2,4903 2,4190 2,3431 2,2516 2,1354 2,0000 1,8522 1,6799 1,4571 1,1766 0,8754 0,6260 0,5014 0,5362 0,6967 0,8852 0,9892 0,9416 0,7504 0,4818 0,2141 -0,0009 -0,1386 -0,1845 -0,1378 -0,0241 0,1148 0,2390 0,3136 0,3088 0,2115 0,0462 -0,1228 -0,2257 -0,2342 -0,1765 -0,1044 -0,0611 -0,0831 -0,2157 -0,5068 -0,9795 -1,6044 -2,2923 -2,9266 -3,4240 -3,7649 -3,9592 -3,9952 -3,8384 -3,4771 -2,9583 -2,3894 -1,9071 -1,6242 -1,5859 -1,7629 -2,0789 -2,4445 -2,7832 -3,0398 -3,1811 -3,2058 -3,1482 -3,0678 -3,0352 -3,1129 -3,3354 -3,7102 -4,2265 -4,8463 -5,4944 -6,0808 -6,5408 -6,8587 -7,0592 -7,1707 -7,1913 -7,0836 -6,7943 -6,2838 -5,5447 -4,6113 -3,5624 -2,5140 -1,5930 -0,8889 -0,4100 -0,0875 0,1770 0,4694 0,8479 1,3296 1,8815 2,4383 2,9413 3,3700 3,7527 4,1525 4,6315 5,2159 5,8867 6,5853 7,2156 7,6566 7,8041 7,6189 7,1372 6,4430 5,6356 4,8162 4,0871 3,5390 3,2181 3,1099 3,1617 3,3059 3,4702 3,5978 3,6704 3,7085 3,7551 3,8551 4,0325 4,2752 4,5391 4,7780 4,9721 5,1307 5,2765 5,4336 5,6175 5,8315 6,0612 6,2613 6,3551 6,2647 5,9473 5,4190 4,7624 4,1047 3,5751 3,2707 3,2380 3,4590 3,8468 4,2668 4,5846 4,7174 4,6574 4,4632 4,2353 4,0801 4,0646 4,1946 4,4263 4,6869 4,8934 4,9702 4,8645 4,5562 4,0618 3,4311 2,7393 2,0825 1,5690 1,2959 1,3116 1,5924 2,0609 2,6208 3,1749 3,6337 3,9380 4,0826 4,1159 4,1156 4,1535 4,2710 4,4695 4,7042 4,8875 4,9199 4,7386 4,3491 3,8209 3,2585 2,7659 2,4189 2,2574 2,2868 2,4742 2,7473 3,0136 3,1934 3,2452 3,1800 3,0561 2,9446 2,8844 2,8639 2,8404 2,7750 2,6614 2,5381 2,4774 2,5525 2,7991 3,2007 3,6998 4,2234 4,7037 5,0866 5,3296 5,4070 5,3186 5,0839 4,7322 4,3077 3,8776 3,5289 3,3471 3,3772 3,5884 3,8813 4,1436 4,3108 4,3904 4,4431 4,5467 4,7647 5,1243 5,6065 6,1496 6,6651 7,0574 7,2415 7,1560 6,7795 6,1525 5,3850 4,6291 4,0283 3,6724 3,5693 3,6435 3,7763 3,8735 3,9053 3,8990 3,9092 3,9857 4,1550 4,4132 4,7210 5,0149 5,2305 5,3200 5,2656 5,0889 4,8405 4,5784 4,3554 4,2125 4,1752 4,2548 4,4495 4,7476 5,1328 5,5834 6,0656 6,5345 6,9483 7,2877 7,5582 7,7730 7,9365 8,0423 8,0753 8,0169 7,8467 7,5367 7,0571 6,4099 5,6546 4,8932 4,2351 3,7724 3,5633 3,6131 3,8661 4,2270 4,6056 4,9398 5,1908 5,3487 5,4496 5,5578 5,7132 5,9017 6,0751 6,1844 6,2028 6,1362 6,0170 5,8909 5,8077 5,8047 5,8867 6,0173 6,1261 6,1352 6,0071 5,7803 5,5522 5,4245 5,4603 5,6697 6,0096 6,3943 6,7229 6,9247 6,9937 6,9774 6,9369 6,9206 6,9541 7,0393 7,1680 7,3384 7,5492 7,7839 8,0107 8,1924 8,2939 8,2891 8,1614 7,8990 7,4935 6,9530 6,3143 5,6437 5,0198 4,5072 4,1334 3,8883 3,7491 3,7060 3,7579 3,8906 4,0656 4,2305 4,3373 4,3558 4,2849 4,1654 4,0746 4,0901 4,2481 4,5340 4,9051 5,3091 5,6919 6,0029 6,2068 6,2881 6,2470 6,1002 5,8851 5,6481 5,4155 5,1819 4,9308 4,6598 4,3857 4,1400 3,9595 3,8693 3,8701 3,9404 4,0461 4,1475 4,1920 4,1137 3,8620 3,4375 2,8969 2,3189 1,7710 1,3098 0,9966 0,8906 1,0167 1,3336 1,7366 2,1068 2,3753 2,5446 2,6608 2,7681 2,8822 2,9962 3,1060 3,2246 3,3701 3,5441 3,7217 3,8629 3,9331 3,9178 3,8250 3,6811 3,5217 3,3758 3,2501 3,1298 2,9941 2,8307 2,6381 2,4217 2,1929 1,9709 1,7831 1,6595 1,6188 1,6586 1,7561 1,8726 1,9609 1,9860 1,9451 1,8501 1,6940 1,4570 1,1441 0,8019 0,4985 0,2985 0,2513 0,3831 0,6819 1,0818 1,4677 1,7164 1,7493 1,5455 1,1244 0,5469 -0,0693 -0,5689 -0,8265 -0,8055 -0,5599 -0,1892 0,2103 0,5752 0,8829 1,1342 1,3248 1,4432 1,4935 1,5137 1,5715 1,7409 2,0673 2,5399 3,1017 3,6807 4,2089 4,6288 4,9057 5,0442 5,0834 5,0702 5,0374 5,0037 4,9816 4,9750 4,9752 4,9717 4,9594 4,9258 4,8394 4,6607 4,3647 3,9616 3,4996 3,0415 2,6381 2,3228 2,1243 2,0695 2,1584 2,3390 2,5162 2,5996 2,5515 2,3954 2,1890 1,9938 1,8492 1,7607 1,7136 1,6994 1,7200 1,7653 1,8005 1,7886 1,7308 1,6773 1,6988 1,8397 2,0861 2,3704 2,6140 2,7702 2,8305 2,8027 2,6913 2,4948 2,2143 1,8636 1,4671 1,0457 0,6067 0,1486 -0,3245 -0,7981 -1,2566 -1,6913 -2,0981 -2,4713 -2,8015 -3,0809 -3,3121 -3,5081 -3,6839 -3,8556 -4,0368 -4,2149 -4,3285 -4,2841 -4,0105 -3,5113 -2,8748 -2,2303 -1,6915 -1,3338
Fz    -1,6310 -1,8571 -2,0617 -2,2268 -2,3495 -2,4470 -2,5273 -2,5740 -2,5621 -2,4761 -2,3162 -2,0999 -1,8544 -1,5985 -1,3307 -1,0376 -0,7092 -0,3528 0,0012 0,3060 0,5194 0,6245 0,6426 0,6275 0,6387 0,7023 0,7860 0,8161 0,7284 0,5133 0,2242 -0,0492 -0,2249 -0,2614 -0,1645 0,0244 0,2488 0,4596 0,6344 0,7808 0,9271 1,1143 1,3886 1,7789 2,2745 2,8219 3,3401 3,7450 3,9836 4,0598 4,0300 3,9699 3,9314 3,9141 3,8688 3,7368 3,4980 3,1873 2,8662 2,5861 2,3774 2,2594 2,2414 2,3067 2,4041 2,4633 2,4314 2,3015 2,1076 1,8954 1,7007 1,5472 1,4481 1,4049 1,4090 1,4401 1,4620 1,4283 1,2996 1,0579 0,7078 0,2682 -0,2322 -0,7543 -1,2524 -1,6910 -2,0667 -2,4024 -2,7096 -2,9553 -3,0690 -2,9868 -2,6947 -2,2443 -1,7332 -1,2642 -0,9075 -0,6812 -0,5539 -0,4602 -0,3278 -0,1099 0,1959 0,5536 0,9038 1,1780 1,3160 1,2845 1,0796 0,7170 0,2258 -0,3543 -0,9789 -1,6120 -2,2373 -2,8567 -3,4755 -4,0926 -4,6980 -5,2720 -5,7833 -6,1852 -6,4247 -6,4743 -6,3574 -6,1312 -5,8495 -5,5457 -5,2418 -4,9604 -4,7277 -4,5665 -4,4923 -4,5085 -4,5977 -4,7181 -4,8157 -4,8412 -4,7577 -4,5315 -4,1216 -3,4896 -2,6267 -1,5677 -0,3788 0,8631 2,0827 3,2112 4,1889 4,9745 5,5561 5,9543 6,2097 6,3622 6,4368 6,4432 6,3859 6,2764 6,1388 6,0046 5,8990 5,8344 5,8163 5,8521 5,9508 6,1101 6,3038 6,4900 6,6242 6,6659 6,5926 6,4170 6,1890 5,9792 5,8559 5,8659 6,0195 6,2800 6,5726 6,8214 6,9934 7,1114 7,2255 7,3650 7,5116 7,6031 7,5626 7,3373 6,9268 6,3809 5,7713 5,1599 4,5831 4,0563 3,5907 3,2086 2,9421 2,8154 2,8239 2,9370 3,1275 3,3920 3,7291 4,1092 4,4724 4,7486 4,8788 4,8350 4,6315 4,3225 3,9824 3,6771 3,4454 3,2996 3,2353 3,2372 3,2816 3,3400 3,3909 3,4280 3,4577 3,4920 3,5416 3,6134 3,7107 3,8311 3,9570 4,0465 4,0411 3,8934 3,6003 3,2179 2,8448 2,5839 2,5003 2,5944 2,8005 3,0152 3,1474 3,1590 3,0651 2,8990 2,6885 2,4584 2,2350 2,0389 1,8721 1,7170 1,5547 1,3906 1,2595 1,2112 1,2865 1,4930 1,7926 2,1125 2,3774 2,5424 2,6062 2,5951 2,5390 2,4653 2,4053 2,3945 2,4570 2,5928 2,7815 2,9966 3,2241 3,4752 3,7835 4,1814 4,6715 5,2094 5,7099 6,0810 6,2697 6,2814 6,1628 5,9712 5,7573 5,5632 5,4267 5,3769 5,4228 5,5486 5,7216 5,9071 6,0817 6,2394 6,3861 6,5207 6,6256 6,6774 6,6611 6,5675 6,3810 6,0800 5,6568 5,1380 4,5825 4,0627 3,6424 3,3591 3,2176 3,1971 3,2617 3,3678 3,4746 3,5546 3,6013 3,6248 3,6408 3,6650 3,7097 3,7760 3,8559 3,9496 4,0741 4,2558 4,5139 4,8492 5,2440 5,6706 6,1017 6,5159 6,8978 7,2307 7,4911 7,6501 7,6810 7,5727 7,3358 6,9883 6,5381 5,9889 5,3555 4,6690 3,9757 3,3345 2,8049 2,4363 2,2629 2,2968 2,5232 2,9011 3,3694 3,8640 4,3409 4,7829 5,1877 5,5530 5,8688 6,1174 6,2808 6,3492 6,3264 6,2329 6,1024 5,9718 5,8791 5,8700 5,9875 6,2490 6,6397 7,1240 7,6542 8,1715 8,6152 8,9409 9,1351 9,2217 9,2559 9,3003 9,3945 9,5364 9,6880 9,7998 9,8423 9,8215 9,7670 9,7072 9,6527 9,5940 9,5062 9,3600 9,1427 8,8772 8,6148 8,4037 8,2617 8,1751 8,1160 8,0625 8,0112 7,9705 7,9399 7,9021 7,8377 7,7420 7,6255 7,5019 7,3717 7,2189 7,0244 6,7804 6,4934 6,1849 5,8931 5,6691 5,5624 5,6027 5,7906 6,0985 6,4727 6,8411 7,1326 7,2994 7,3292 7,2488 7,1190 7,0146 6,9888 7,0443 7,1288 7,1592 7,0607 6,8017 6,4030 5,9234 5,4362 5,0039 4,6621 4,4214 4,2702 4,1695 4,0603 3,8959 3,6702 3,4203 3,2038 3,0687 3,0321 3,0791 3,1801 3,3110 3,4609 3,6310 3,8260 4,0456 4,2766 4,4913 4,6547 4,7390 4,7350 4,6547 4,5298 4,4066 4,3300 4,3236 4,3802 4,4695 4,5591 4,6343 4,7034 4,7891 4,9145 5,0874 5,2897 5,4823 5,6258 5,6980 5,6955 5,6206 5,4749 5,2665 5,0166 4,7520 4,4905 4,2301 3,9512 3,6391 3,3105 3,0103 2,7752 2,6125 2,5107 2,4523 2,4138 2,3679 2,2958 2,1959 2,0824 1,9749 1,8850 1,8091 1,7335 1,6452 1,5386 1,4173 1,2934 1,1799 1,0819 0,9968 0,9208 0,8582 0,8269 0,8589 0,9927 1,2587 1,6620 2,1740 2,7425 3,3152 3,8625 4,3789 4,8576 5,2749 5,6110 5,8792 6,1165 6,3504 6,5859 6,8192 7,0542 7,3010 7,5587 7,8029 7,9900 8,0723 8,0195 7,8420 7,5995 7,3771 7,2360 7,1739 7,1258 7,0019 6,7327 6,2970 5,7255 5,0820 4,4342 3,8288 3,2841 2,8005 2,3786 2,0332 1,7914 1,6779 1,7053 1,8767 2,1810 2,5844 3,0387 3,5003 3,9343 4,3050 4,5734 4,7106 4,7142 4,6126 4,4563 4,3007 4,1827 4,1073 4,0540 3,9908 3,8844 3,7097 3,4614 3,1597 2,8395 2,5257 2,2104 1,8594 1,4413 0,9559 0,4338 -0,0899 -0,5960 -1,0703 -1,4803 -1,7782 -1,9302 -1,9450 -1,8762 -1,7968 -1,7655 -1,8095 -1,9233 -2,0777 -2,2362 -2,3692 -2,4648 -2,5380 -2,6311 -2,7949 -3,0588 -3,4121
F3    -1,0504 -1,2482 -1,4443 -1,6187 -1,7570 -1,8621 -1,9413 -1,9943 -2,0120 -1,9800 -1,8839 -1,7192 -1,4926 -1,2181 -0,9171 -0,6180 -0,3455 -0,1147 0,0654 0,1920 0,2738 0,3279 0,3682 0,4034 0,4402 0,4764 0,4904 0,4517 0,3462 0,1907 0,0240 -0,1099 -0,1795 -0,1804 -0,1383 -0,0925 -0,0663 -0,0484 -0,0010 0,1154 0,3222 0,6234 1,0173 1,4960 2,0323 2,5738 3,0533 3,4120 3,6252 3,7125 3,7214 3,6975 3,6623 3,6031 3,4776 3,2424 2,8929 2,4745 2,0553 1,6937 1,4250 1,2612 1,1890 1,1722 1,1643 1,1290 1,0542 0,9554 0,8643 0,8082 0,7939 0,8134 0,8584 0,9258 1,0106 1,0903 1,1163 1,0295 0,7943 0,4220 -0,0339 -0,5088 -0,9583 -1,3657 -1,7335 -2,0780 -2,4223 -2,7768 -3,1185 -3,3913 -3,5235 -3,4532 -3,1576 -2,6739 -2,0932 -1,5306 -1,0827 -0,7918 -0,6363 -0,5515 -0,4713 -0,3622 -0,2264 -0,0819 0,0512 0,1493 0,1832 0,1299 -0,0203 -0,2712 -0,6281 -1,0914 -1,6474 -2,2734 -2,9506 -3,6668 -4,4060 -5,1359 -5,8082 -6,3695 -6,7707 -6,9704 -6,9425 -6,6944 -6,2748 -5,7507 -5,1763 -4,5959 -4,0660 -3,6555 -3,4241 -3,4087 -3,6230 -4,0552 -4,6523 -5,3116 -5,8980 -6,2810 -6,3679 -6,1166 -5,5220 -4,5988 -3,3876 -1,9708 -0,4626 1,0257 2,4117 3,6408 4,6696 5,4624 6,0018 6,2967 6,3753 6,2745 6,0380 5,7185 5,3773 5,0789 4,8816 4,8237 4,9100 5,1085 5,3631 5,6170 5,8345 6,0024 6,1104 6,1401 6,0755 5,9164 5,6825 5,4113 5,1504 4,9439 4,8213 4,7942 4,8588 4,9938 5,1617 5,3288 5,4891 5,6615 5,8617 6,0796 6,2762 6,3917 6,3683 6,1828 5,8656 5,4825 5,0916 4,7129 4,3282 3,9024 3,4103 2,8599 2,3031 1,8253 1,5112 1,4109 1,5358 1,8700 2,3632 2,9191 3,4117 3,7275 3,8012 3,6333 3,2928 2,8998 2,5840 2,4389 2,4964 2,7325 3,0869 3,4811 3,8341 4,0755 4,1612 4,0903 3,9116 3,7110 3,5791 3,5765 3,7156 3,9615 4,2411 4,4509 4,4777 4,2443 3,7559 3,1082 2,4532 1,9467 1,6950 1,7147 1,9321 2,2273 2,4947 2,6808 2,7788 2,7961 2,7350 2,6087 2,4560 2,3228 2,2276 2,1499 2,0510 1,9113 1,7538 1,6419 1,6523 1,8336 2,1724 2,5896 2,9683 3,1986 3,2186 3,0299 2,6855 2,2698 1,8796 1,6042 1,5056 1,6086 1,9042 2,3568 2,9183 3,5436 4,1989 4,8533 5,4639 5,9702 6,3110 6,4568 6,4306 6,2927 6,0982 5,8672 5,5929 5,2718 4,9248 4,5921 4,3132 4,1145 4,0113 4,0182 4,1595 4,4696 4,9684 5,6238 6,3413 6,9931 7,4584 7,6500 7,5282 7,1071 6,4526 5,6661 4,8566 4,1147 3,4972 3,0198 2,6669 2,4158 2,2539 2,1780 2,1883 2,2857 2,4684 2,7225 3,0176 3,3202 3,6049 3,8507 4,0376 4,1576 4,2294 4,2960 4,4040 4,5841 4,8535 5,2243 5,6982 6,2518 6,8347 7,3786 7,8091 8,0600 8,0942 7,9243 7,6077 7,2099 6,7687 6,2857 5,7430 5,1272 4,4471 3,7339 3,0335 2,4024 1,9052 1,6015 1,5292 1,6908 2,0475 2,5324 3,0743 3,6168 4,1258 4,5856 4,9912 5,3419 5,6321 5,8445 5,9536 5,9405 5,8052 5,5739 5,3062 5,0945 5,0374 5,1996 5,5895 6,1605 6,8215 7,4549 7,9507 8,2462 8,3487 8,3315 8,3055 8,3670 8,5479 8,8082 9,0679 9,2481 9,3003 9,2190 9,0351 8,7931 8,5301 8,2682 8,0198 7,7931 7,5991 7,4576 7,3933 7,4215 7,5388 7,7283 7,9636 8,2049 8,4021 8,5071 8,4831 8,3140 8,0155 7,6344 7,2317 6,8625 6,5579 6,3181 6,1256 5,9625 5,8122 5,6559 5,4787 5,2842 5,1003 4,9674 4,9193 4,9676 5,0945 5,2632 5,4394 5,6056 5,7591 5,9088 6,0770 6,2911 6,5595 6,8522 7,1058 7,2493 7,2309 7,0337 6,6745 6,1923 5,6418 5,0872 4,5893 4,1954 3,9321 3,7908 3,7265 3,6849 3,6365 3,5873 3,5638 3,5853 3,6435 3,7080 3,7569 3,8028 3,8902 4,0693 4,3656 4,7620 5,2012 5,6047 5,8990 6,0355 5,9939 5,7847 5,4575 5,0953 4,7835 4,5776 4,4902 4,4952 4,5457 4,5990 4,6357 4,6656 4,7198 4,8304 5,0101 5,2472 5,5154 5,7886 6,0429 6,2450 6,3505 6,3213 6,1434 5,8308 5,4184 4,9470 4,4500 3,9547 3,4938 3,1045 2,8119 2,6195 2,5121 2,4568 2,4034 2,2974 2,1047 1,8295 1,5154 1,2324 1,0509 1,0115 1,1109 1,3142 1,5758 1,8466 2,0708 2,1896 2,1571 1,9605 1,6270 1,2155 0,8027 0,4695 0,2909 0,3268 0,6099 1,1343 1,8481 2,6609 3,4685 4,1839 4,7526 5,1537 5,4028 5,5554 5,6894 5,8704 6,1269 6,4506 6,8130 7,1783 7,5063 7,7496 7,8621 7,8177 7,6238 7,3266 7,0107 6,7793 6,7060 6,7897 6,9525 7,0809 7,0745 6,8763 6,4816 5,9250 5,2540 4,5147 3,7560 3,0365 2,4208 1,9678 1,7139 1,6618 1,7913 2,0766 2,4818 2,9536 3,4341 3,8809 4,2700 4,5798 4,7789 4,8332 4,7263 4,4760 4,1366 3,7828 3,4801 3,2627 3,1301 3,0550 2,9975 2,9249 2,8259 2,7090 2,5871 2,4556 2,2805 2,0138 1,6268 1,1312 0,5702 -0,0082 -0,5659 -1,0635 -1,4448 -1,6474 -1,6368 -1,4335 -1,1088 -0,7521 -0,4377 -0,2101 -0,0854 -0,0713 -0,1853 -0,4489 -0,8673 -1,4214 -2,0755 -2,7834 -3,4884 -4,1220
F7    -4,1703 -4,2950 -4,3612 -4,3307 -4,1683 -3,8714 -3,4663 -2,9907 -2,4950 -2,0434 -1,6906 -1,4559 -1,3148 -1,2105 -1,0914 -0,9435 -0,7786 -0,6049 -0,4239 -0,2411 -0,0685 0,0840 0,2246 0,3909 0,6314 0,9581 1,3204 1,6291 1,8067 1,8262 1,7212 1,5630 1,4229 1,3502 1,3649 1,4611 1,6224 1,8314 2,0639 2,2844 2,4576 2,5592 2,5773 2,5071 2,3510 2,1229 1,8510 1,5722 1,3238 1,1372 1,0334 1,0254 1,1204 1,3094 1,5511 1,7807 1,9465 2,0306 2,0323 1,9471 1,7707 1,5126 1,2008 0,8755 0,5777 0,3376 0,1615 0,0299 -0,0853 -0,1942 -0,2779 -0,3021 -0,2505 -0,1474 -0,0442 0,0139 0,0061 -0,0682 -0,1938 -0,3360 -0,4415 -0,4628 -0,3877 -0,2397 -0,0578 0,1139 0,2238 0,2236 0,0932 -0,1452 -0,4389 -0,7370 -1,0237 -1,3242 -1,6792 -2,1135 -2,6200 -3,1567 -3,6500 -4,0038 -4,1257 -3,9696 -3,5646 -3,0074 -2,4381 -2,0112 -1,8543 -2,0230 -2,4824 -3,1249 -3,8067 -4,3854 -4,7553 -4,8718 -4,7563 -4,4776 -4,1232 -3,7788 -3,5162 -3,3894 -3,4343 -3,6592 -4,0275 -4,4612 -4,8785 -5,2333 -5,5259 -5,7895 -6,0621 -6,3487 -6,5966 -6,7055 -6,5704 -6,1322 -5,4011 -4,4518 -3,4007 -2,3724 -1,4536 -0,6567 0,0746 0,8140 1,5954 2,3957 3,1547 3,8038 4,2890 4,5895 4,7326 4,7926 4,8590 4,9932 5,2089 5,4872 5,7953 6,0915 6,3189 6,4106 6,3202 6,0525 5,6602 5,2088 4,7503 4,3293 3,9980 3,8000 3,7358 3,7582 3,7977 3,7962 3,7375 3,6514 3,5814 3,5527 3,5685 3,6211 3,7007 3,7969 3,9011 4,0130 4,1409 4,2968 4,4878 4,7028 4,9129 5,0847 5,1932 5,2307 5,2113 5,1602 5,0957 5,0221 4,9316 4,8133 4,6674 4,5159 4,3950 4,3318 4,3220 4,3251 4,2888 4,1843 4,0295 3,8858 3,8259 3,8902 4,0663 4,3008 4,5201 4,6518 4,6489 4,5020 4,2365 3,9067 3,5809 3,3266 3,2034 3,2598 3,5234 3,9820 4,5739 5,2013 5,7589 6,1560 6,3330 6,2791 6,0363 5,6744 5,2590 4,8418 4,4674 4,1735 3,9852 3,9083 3,9240 3,9896 4,0499 4,0605 4,0106 3,9303 3,8654 3,8310 3,7938 3,7022 3,5241 3,2559 2,9151 2,5412 2,2025 1,9802 1,9302 2,0559 2,3129 2,6317 2,9472 3,2282 3,4877 3,7711 4,1240 4,5549 5,0228 5,4620 5,8196 6,0657 6,1755 6,1189 5,8802 5,4795 4,9737 4,4406 3,9607 3,6003 3,4005 3,3725 3,4934 3,7095 3,9645 4,2318 4,5180 4,8334 5,1698 5,5075 5,8304 6,1307 6,4093 6,6758 6,9330 7,1566 7,2914 7,2689 7,0346 6,5705 5,9156 5,1666 4,4491 3,8722 3,4864 3,2656 3,1390 3,0553 3,0185 3,0709 3,2495 3,5523 3,9361 4,3373 4,6935 4,9623 5,1321 5,2177 5,2490 5,2586 5,2703 5,3063 5,3990 5,5805 5,8556 6,1917 6,5405 6,8731 7,1871 7,4852 7,7610 8,0082 8,2293 8,4304 8,6147 8,7781 8,9083 8,9844 8,9819 8,8804 8,6678 8,3332 7,8725 7,3072 6,6974 6,1293 5,6790 5,3750 5,1924 5,0811 5,0021 4,9517 4,9570 5,0454 5,2198 5,4620 5,7511 6,0676 6,3823 6,6509 6,8347 6,9297 6,9681 6,9951 7,0433 7,1251 7,2356 7,3558 7,4550 7,4997 7,4584 7,3073 7,0490 6,7298 6,4309 6,2381 6,2124 6,3717 6,6862 7,0882 7,4981 7,8534 8,1246 8,3119 8,4314 8,4987 8,5168 8,4799 8,3936 8,2880 8,2079 8,1916 8,2567 8,3905 8,5492 8,6830 8,7592 8,7537 8,6290 8,3386 7,8561 7,1999 6,4380 5,6687 4,9822 4,4330 4,0501 3,8584 3,8675 4,0435 4,3005 4,5292 4,6482 4,6357 4,5173 4,3383 4,1513 4,0153 3,9867 4,1082 4,3968 4,8286 5,3398 5,8587 6,3361 6,7457 7,0641 7,2683 7,3527 7,3306 7,2084 6,9665 6,5745 6,0220 5,3416 4,6226 3,9976 3,5917 3,4672 3,5999 3,8988 4,2535 4,5732 4,7960 4,8906 4,8588 4,7293 4,5396 4,3212 4,0987 3,8966 3,7451 3,6753 3,7005 3,7997 3,9233 4,0228 4,0754 4,0875 4,0854 4,1070 4,1963 4,3884 4,6863 5,0517 5,4148 5,6954 5,8236 5,7550 5,4797 5,0268 4,4652 3,8911 3,3985 3,0462 2,8442 2,7676 2,7767 2,8311 2,9002 2,9658 3,0172 3,0601 3,1311 3,2826 3,5399 3,8646 4,1542 4,2809 4,1523 3,7578 3,1597 2,4510 1,7335 1,1125 0,6746 0,4592 0,4558 0,6262 0,9239 1,2969 1,6827 2,0111 2,2205 2,2768 2,1756 1,9316 1,5788 1,1804 0,8246 0,5930 0,5237 0,6014 0,7808 1,0170 1,2789 1,5492 1,8158 2,0595 2,2527 2,3785 2,4552 2,5388 2,6978 2,9759 3,3669 3,8173 4,2559 4,6234 4,8891 5,0532 5,1433 5,2000 5,2562 5,3288 5,4205 5,5202 5,6024 5,6316 5,5755 5,4196 5,1708 4,8495 4,4817 4,1036 3,7646 3,5074 3,3416 3,2468 3,1999 3,1951 3,2406 3,3349 3,4509 3,5429 3,5736 3,5340 3,4426 3,3387 3,2731 3,2796 3,3477 3,4354 3,5084 3,5525 3,5477 3,4511 3,2235 2,8777 2,4942 2,1822 2,0149 1,9865 2,0200 2,0201 1,9222 1,7031 1,3726 0,9648 0,5302 0,1225 -0,2228 -0,5040 -0,7420 -0,9483 -1,1127 -1,2145 -1,2427 -1,2101 -1,1494 -1,0949 -1,0752 -1,1210 -1,2705 -1,5578 -1,9909 -2,5366 -3,1262 -3,6727 -4,0911 -4,3184 -4,3316 -4,1574 -3,8696 -3,5641 -3,3172 -3,1599 -3,0824
