Fp1   -1,2481 -1,3546 -1,2725 -1,0858 -0,8506 -0,5826 -0,2696 0,1001 0,5071 0,8932 1,1805 1,3004 1,2313 1,0238 0,7638 0,5009 0,2235 -0,0958 -0,4287 -0,6679 -0,6905 -0,4335 0,0898 0,8000 1,5540 2,1789 2,5376 2,5706 2,2994 1,8097 1,2261 0,6651 0,1775 -0,2660 -0,7191 -1,1905 -1,6288 -1,9547 -2,0872 -1,9619 -1,5651 -0,9705 -0,3424 0,1136 0,2440 0,0414 -0,3372 -0,6658 -0,7740 -0,5891 -0,1239 0,5185 1,1587 1,6167 1,7943 1,6953 1,3793 0,9013 0,2811 -0,4749 -1,3112 -2,0760 -2,5502 -2,5486 -2,0235 -1,0851 0,0582 1,1666 2,0187 2,4651 2,4731 2,1245 1,5645 0,9329 0,3183 -0,2300 -0,6492 -0,8582 -0,8180 -0,5705 -0,2200 0,1092 0,3361 0,4849 0,6561 0,9038 1,1695 1,3512 1,4075 1,4002 1,4501 1,6346 1,9264 2,2521 2,5767 2,8980 3,1908 3,3892 3,4059 3,1582 2,6090 1,8171 0,9331 0,1248 -0,4827 -0,8112 -0,8372 -0,5988 -0,1547 0,4300 1,0286 1,4382 1,4626 1,0152 0,1698 -0,8543 -1,7789 -2,3856 -2,5788 -2,3597 -1,7793 -0,9252 0,0836 1,1236 2,1044 2,9924 3,7892 4,4852 5,0468 5,4490 5,7032 5,8343 5,8480 5,7343 5,4981 5,1928 4,9156 4,7436 4,6878 4,7171 4,7905 4,8678 4,9328 5,0170 5,1886 5,5093 5,9788 6,4873 6,8274 6,7979 6,3366 5,5454 4,5871 3,5666 2,5036 1,3932 0,2901 -0,6483 -1,2097 -1,2515 -0,7992 -0,0241 0,8763 1,7678 2,5682 3,2097 3,6435 3,8454 3,8037 3,5202 3,0101 2,2940 1,4258 0,5276 -0,2407 -0,7353 -0,8377 -0,4560 0,4404 1,7850 3,4019 5,0246 6,3397 7,0500 6,9593 6,0518 4,5101 2,6498 0,8128 -0,7247 -1,8006 -2,3575 -2,3848 -1,8791 -0,8584 0,5961 2,2972 3,9409 5,1722 5,7082 5,4281 4,3896 2,8052 0,9932 -0,6948 -1,9392 -2,5007 -2,2744 -1,3303 0,1083 1,7410 3,2851 4,5400 5,3906 5,7822 5,6994 5,1460 4,1525 2,8242 1,3643 0,0214 -1,0003 -1,5972 -1,7689 -1,5676 -1,0342 -0,1985 0,8532 1,9348 2,8135 3,3158 3,3911 3,1101 2,6294 2,1212 1,6843 1,3155 0,9711 0,6370 0,3255 0,0356 -0,2340 -0,4341 -0,4598 -0,2033 0,3806 1,2332 2,2091 3,1489 3,9275 4,4417 4,6096 4,4103 3,9085 3,2247 2,4852 1,7936 1,2220 0,8127 0,5892 0,5585 0,7065 1,0090 1,4499 2,0029 2,5985 3,1311 3,4840 3,5432 3,2517 2,6933 2,0908 1,7035 1,7270 2,2314 3,1201 4,1426 4,9808 5,3661 5,1636 4,3934 3,1964 1,7795 0,3610 -0,8505 -1,6480 -1,8650 -1,4701 -0,6146 0,4323 1,4122 2,1863 2,7517 3,1621 3,4454 3,5901 3,5784 3,4154 3,1405 2,8257 2,5581 2,4035 2,3766 2,4434 2,5291 2,5166 2,2859 1,8012 1,1492 0,4789 -0,0920 -0,5135 -0,7712 -0,8386 -0,6704 -0,2391 0,4307 1,2597 2,1491 3,0282 3,8698 4,6467 5,2793 5,6361 5,6009 5,1552 4,4131 3,5628 2,7617 2,0948 1,6038 1,3042 1,1741 1,1631 1,2199 1,3119 1,4365 1,6083 1,8176 2,0007 2,0675 1,9682 1,7420 1,5072 1,3974 1,4845 1,7478 2,1097 2,4924 2,8391 3,0993 3,2322 3,2320 3,1272 2,9689 2,8308 2,7827 2,8472 2,9946 3,1492 3,1959 3,0357 2,6693 2,2019 1,7492 1,3566 1,0199 0,7523 0,5975 0,6009 0,8076 1,2720 2,0178 2,9726 3,9702 4,8262 5,4030 5,6210 5,4469 4,8991 4,0585 3,0454 1,9743 0,9496 0,0958 -0,4495 -0,6018 -0,3907 0,0525 0,5766 1,0810 1,5247 1,8985 2,1857 2,3383 2,3177 2,1775 2,0735 2,1682 2,5193 3,0416 3,5527 3,8736 3,9335 3,7919 3,5503 3,2486 2,8605 2,3671 1,7984 1,2126 0,6666 0,2067 -0,1419 -0,3775 -0,4858 -0,4033 -0,0419 0,6343 1,5405 2,4675 3,1510 3,3723 3,0374 2,2146 1,1215 0,0506 -0,7432 -1,1256 -1,0877 -0,6933 -0,0179 0,8804 1,9442 3,0759 4,1191 4,8694 5,1162 4,7125 3,6450 2,0686 0,2934 -1,2938 -2,3633 -2,7547 -2,4923 -1,7156 -0,5938 0,7165 2,0619 3,2757 4,1895 4,6739 4,6728 4,1999 3,3098 2,1060 0,7951 -0,3186 -0,9517 -0,9650 -0,4075 0,5157 1,5221 2,3407 2,7843 2,7877 2,3990 1,7457 1,0000 0,3426 -0,0720 -0,1482 0,1165 0,6229 1,2240 1,8013 2,2779 2,5766 2,6174 2,3700 1,8884 1,2900 0,7130 0,2683 -0,0110 -0,1750 -0,2927 -0,3836 -0,4145 -0,3610 -0,2670 -0,2294 -0,3132 -0,4826 -0,6144 -0,5696 -0,2603 0,3154 1,0544 1,7589 2,2181 2,3283 2,1508 1,8621 1,6471 1,6176 1,8018 2,1828 2,7281 3,3954 4,1211 4,8088 5,3504 5,6699 5,7364 5,5397 5,0752 4,3552 3,4174 2,3261 1,1934 0,1988 -0,4474 -0,5896 -0,1977 0,6213 1,6755 2,7586 3,6969 4,3577 4,6386 4,4679 3,8271 2,7652 1,3981 -0,0803 -1,3902 -2,2131 -2,3103 -1,6532 -0,4665 0,8716 2,0073 2,7341 3,0077 2,8944 2,5114 1,9846 1,4115 0,8431 0,3276 -0,0294 -0,0950 0,1795 0,6880 1,2104 1,5264 1,5284 1,2583 0,8408 0,3720 -0,1306 -0,6844 -1,2569 -1,7390 -2,0169 -2,0664 -1,9613 -1,7952 -1,6102 -1,3960 -1,1326 -0,8258 -0,5214 -0,2995 -0,2536 -0,4553 -0,9066 -1,5175 -2,1402 -2,6432 -2,9621 -3,0824 -2,9996 -2,7250 -2,3074 -1,8152 -1,3122 -0,8554 -0,4924 -0,2474 -0,1000 0,0261 0,2315 0,5624 0,9559 1,2756 1,4063 1,3249
Fz    0,1005 -0,0821 -0,2639 -0,3875 -0,4000 -0,2887 -0,0890 0,1414 0,3561 0,5252 0,6311 0,6817 0,7177 0,7872 0,9158 1,0979 1,3009 1,4733 1,5689 1,5706 1,4868 1,3327 1,1252 0,8832 0,6270 0,3838 0,1829 0,0427 -0,0361 -0,0709 -0,0916 -0,1277 -0,1971 -0,3063 -0,4575 -0,6455 -0,8437 -1,0034 -1,0844 -1,0866 -1,0515 -1,0332 -1,0645 -1,1368 -1,2042 -1,2146 -1,1458 -1,0163 -0,8676 -0,7359 -0,6353 -0,5580 -0,4880 -0,4160 -0,3445 -0,2747 -0,1949 -0,0904 0,0415 0,1906 0,3340 0,4407 0,4904 0,4851 0,4336 0,3400 0,2175 0,0999 0,0309 0,0442 0,1453 0,3055 0,4696 0,5798 0,6050 0,5558 0,4727 0,3948 0,3366 0,2896 0,2433 0,2046 0,2081 0,3062 0,5300 0,8590 1,2401 1,6229 1,9675 2,2413 2,4284 2,5397 2,6009 2,6291 2,6261 2,5874 2,4990 2,3333 2,0633 1,6894 1,2542 0,8271 0,4707 0,2113 0,0295 -0,1228 -0,2910 -0,4931 -0,7180 -0,9356 -1,0976 -1,1408 -1,0097 -0,6892 -0,2174 0,3331 0,8893 1,4049 1,8616 2,2532 2,5747 2,8315 3,0591 3,3175 3,6510 4,0609 4,5160 4,9746 5,3990 5,7714 6,1078 6,4384 6,7629 7,0343 7,1903 7,1941 7,0387 6,7310 6,2944 5,7816 5,2659 4,8151 4,4723 4,2515 4,1393 4,0939 4,0511 3,9429 3,7316 3,4325 3,0944 2,7557 2,4290 2,1262 1,8795 1,7288 1,6934 1,7618 1,9035 2,0824 2,2617 2,4130 2,5289 2,6201 2,6954 2,7503 2,7798 2,7932 2,8104 2,8492 2,9214 3,0430 3,2294 3,4701 3,7149 3,8942 3,9460 3,8345 3,5689 3,2153 2,8692 2,5963 2,3977 2,2355 2,0807 1,9298 1,7917 1,6731 1,5675 1,4568 1,3319 1,2119 1,1322 1,1184 1,1710 1,2661 1,3595 1,4012 1,3675 1,2798 1,1833 1,1128 1,0833 1,0925 1,1221 1,1485 1,1532 1,1293 1,0824 1,0304 1,0007 1,0249 1,1251 1,3050 1,5548 1,8596 2,2050 2,5815 2,9779 3,3640 3,6854 3,8915 3,9744 3,9711 3,9252 3,8559 3,7595 3,6287 3,4691 3,3051 3,1679 3,0715 2,9991 2,9166 2,7980 2,6485 2,5137 2,4688 2,5830 2,8717 3,2713 3,6696 3,9693 4,1163 4,0735 3,8052 3,3155 2,6913 2,0917 1,6861 1,5858 1,8110 2,2989 2,9360 3,5889 4,1261 4,4359 4,4558 4,1949 3,7200 3,1253 2,5185 2,0035 1,6479 1,4786 1,4947 1,6679 1,9422 2,2506 2,5325 2,7441 2,8622 2,8875 2,8513 2,8066 2,7860 2,7768 2,7483 2,6914 2,6290 2,6017 2,6418 2,7543 2,9129 3,0724 3,1875 3,2257 3,1720 3,0334 2,8446 2,6583 2,5201 2,4502 2,4464 2,5017 2,6160 2,7916 3,0262 3,3070 3,5998 3,8486 3,9975 4,0178 3,9203 3,7512 3,5853 3,5040 3,5598 3,7549 4,0468 4,3708 4,6660 4,8992 5,0721 5,2041 5,3083 5,3859 5,4353 5,4566 5,4460 5,3937 5,2884 5,1330 4,9694 4,8798 4,9356 5,1272 5,3474 5,4551 5,3628 5,0784 4,6866 4,3002 4,0117 3,8643 3,8523 3,9451 4,1182 4,3590 4,6406 4,9050 5,0879 5,1583 5,1304 5,0473 4,9656 4,9434 5,0127 5,1522 5,2971 5,3813 5,3697 5,2577 5,0617 4,8207 4,5931 4,4371 4,3843 4,4226 4,5033 4,5702 4,5883 4,5556 4,4943 4,4320 4,3947 4,4136 4,5150 4,7010 4,9509 5,2308 5,4924 5,6780 5,7434 5,6797 5,5198 5,3264 5,1671 5,0889 5,1023 5,1792 5,2659 5,3074 5,2652 5,1264 4,9005 4,6027 4,2406 3,8231 3,3747 2,9254 2,4876 2,0541 1,6228 1,2243 0,9250 0,7997 0,8906 1,1838 1,6149 2,1026 2,5760 2,9724 3,2366 3,3442 3,3175 3,2170 3,1127 3,0485 3,0233 3,0079 2,9777 2,9271 2,8613 2,7847 2,7035 2,6286 2,5690 2,5277 2,5121 2,5410 2,6256 2,7501 2,8779 2,9738 3,0228 3,0364 3,0379 3,0408 3,0434 3,0332 2,9847 2,8595 2,6295 2,3111 1,9697 1,6862 1,5206 1,5003 1,6261 1,8780 2,2122 2,5596 2,8390 2,9855 2,9701 2,7997 2,5184 2,2127 1,9919 1,9425 2,0887 2,3873 2,7573 3,1194 3,4197 3,6298 3,7270 3,6815 3,4751 3,1333 2,7301 2,3510 2,0441 1,8098 1,6405 1,5490 1,5544 1,6646 1,8779 2,1789 2,5330 2,9025 3,2702 3,6346 3,9839 4,2834 4,4877 4,5631 4,5008 4,3184 4,0651 3,8145 3,6297 3,5325 3,5029 3,4987 3,4786 3,4193 3,3204 3,1986 3,0729 2,9533 2,8417 2,7341 2,6182 2,4703 2,2669 2,0069 1,7188 1,4466 1,2332 1,1173 1,1356 1,3176 1,6747 2,1938 2,8488 3,6095 4,4223 5,1850 5,7630 6,0499 6,0196 5,7325 5,3021 4,8461 4,4437 4,1102 3,8052 3,4783 3,1196 2,7647 2,4510 2,1897 1,9833 1,8506 1,8159 1,8886 2,0605 2,3155 2,6293 2,9669 3,2891 3,5598 3,7506 3,8401 3,8125 3,6568 3,3685 2,9493 2,4097 1,7879 1,1625 0,6269 0,2419 0,0138 -0,0860 -0,0981 -0,0721 -0,0582 -0,0821 -0,1292 -0,1658 -0,1762 -0,1697 -0,1542 -0,1221 -0,0572 0,0532 0,2078 0,3853 0,5481 0,6518 0,6611 0,5663 0,3867 0,1550 -0,0991 -0,3544 -0,5928 -0,7864 -0,8831 -0,8209 -0,5751 -0,1909 0,2301 0,5731 0,7561 0,7547 0,5964 0,3412 0,0643 -0,1632 -0,2950 -0,3180 -0,2527 -0,1444 -0,0381 0,0518 0,1486 0,2933 0,5141 0,7987 1,0905 1,3232 1,4645 1,5298 1,5592 1,5837
F3    -0,8998 -0,7457 -0,5075 -0,2080 0,1132 0,4133 0,6445 0,7607 0,7448 0,6160 0,4133 0,1904 0,0073 -0,1001 -0,1315 -0,0940 0,0214 0,2203 0,4675 0,6894 0,8161 0,8157 0,6996 0,5165 0,3348 0,2122 0,1686 0,1888 0,2390 0,2746 0,2590 0,1963 0,1326 0,1173 0,1766 0,3132 0,5094 0,7199 0,8696 0,8666 0,6344 0,1566 -0,4939 -1,1714 -1,7165 -2,0209 -2,0512 -1,8392 -1,4712 -1,0686 -0,7382 -0,5239 -0,4036 -0,3228 -0,2295 -0,0915 0,1057 0,3624 0,6573 0,9432 1,1612 1,2647 1,2225 1,0068 0,6023 0,0442 -0,5605 -1,0634 -1,3379 -1,3338 -1,0979 -0,7441 -0,3947 -0,1271 0,0443 0,1439 0,1899 0,1725 0,0773 -0,0791 -0,2415 -0,3411 -0,3277 -0,1936 0,0267 0,2890 0,5735 0,8850 1,2251 1,5743 1,9042 2,1955 2,4293 2,5632 2,5363 2,3081 1,8929 1,3634 0,8192 0,3377 -0,0574 -0,3889 -0,6872 -0,9545 -1,1661 -1,2986 -1,3465 -1,3167 -1,2228 -1,0744 -0,8573 -0,5361 -0,0893 0,4604 1,0579 1,6439 2,1704 2,6063 2,9308 3,1246 3,1812 3,1321 3,0529 3,0317 3,1260 3,3535 3,7228 4,2513 4,9370 5,7224 6,5010 7,1610 7,6159 7,8138 7,7505 7,4745 7,0582 6,5592 6,0072 5,4208 4,8378 4,3300 3,9679 3,7681 3,6829 3,6320 3,5343 3,3346 3,0367 2,7115 2,4460 2,2765 2,1820 2,1376 2,1585 2,2902 2,5597 2,9398 3,3660 3,7728 4,0978 4,2738 4,2472 4,0106 3,6038 3,0749 2,4683 1,8591 1,3671 1,1118 1,1598 1,5166 2,1408 2,9376 3,7527 4,4008 4,7138 4,5885 4,0295 3,1629 2,1944 1,3213 0,6577 0,2326 0,0390 0,0635 0,2793 0,6285 1,0165 1,3417 1,5473 1,6404 1,6587 1,6311 1,5642 1,4468 1,2645 1,0207 0,7614 0,5771 0,5502 0,6911 0,9414 1,2206 1,4545 1,5780 1,5326 1,2859 0,8697 0,3955 0,0158 -0,1380 0,0011 0,4272 1,0823 1,8844 2,7565 3,6403 4,4800 5,1911 5,6525 5,7503 5,4533 4,8431 4,0636 3,2518 2,5100 1,9155 1,5417 1,4505 1,6490 2,0600 2,5431 2,9460 3,1595 3,1686 3,0642 2,9849 3,0325 3,2224 3,4878 3,7306 3,8829 3,9261 3,8535 3,6312 3,2180 2,6229 1,9329 1,2947 0,8651 0,7556 1,0007 1,5530 2,2920 3,0480 3,6473 3,9729 4,0033 3,7923 3,4171 2,9493 2,4444 1,9439 1,4973 1,1734 1,0278 1,0648 1,2335 1,4474 1,6139 1,6645 1,5734 1,3758 1,1645 1,0461 1,0840 1,2765 1,5830 1,9685 2,4190 2,9096 3,3781 3,7358 3,9036 3,8451 3,5745 3,1337 2,5801 2,0036 1,5233 1,2329 1,1516 1,2340 1,4136 1,6334 1,8571 2,0754 2,2985 2,5213 2,6991 2,7782 2,7472 2,6462 2,5398 2,4982 2,5861 2,8353 3,2165 3,6568 4,0897 4,4832 4,8317 5,1355 5,3954 5,6120 5,7717 5,8351 5,7473 5,4609 4,9554 4,2549 3,4435 2,6699 2,1213 1,9446 2,1530 2,6090 3,1096 3,4961 3,7155 3,8099 3,8598 3,9247 4,0072 4,0511 3,9764 3,7370 3,3633 2,9533 2,6223 2,4607 2,5103 2,7589 3,1599 3,6609 4,2115 4,7509 5,2072 5,5154 5,6378 5,5704 5,3375 4,9784 4,5269 4,0099 3,4793 3,0226 2,7148 2,5823 2,6293 2,8644 3,2846 3,8572 4,5334 5,2688 6,0143 6,6862 7,1745 7,4001 7,3510 7,0591 6,5689 5,9316 5,2059 4,4560 3,7562 3,1971 2,8665 2,8103 3,0089 3,3955 3,8965 4,4568 5,0295 5,5497 5,9259 6,0526 5,8327 5,2127 4,2174 2,9632 1,6451 0,4929 -0,3042 -0,6607 -0,6036 -0,2390 0,2905 0,8495 1,3458 1,7469 2,0643 2,3206 2,5384 2,7496 2,9910 3,2752 3,5643 3,7855 3,8741 3,8020 3,5895 3,3069 3,0453 2,8757 2,8307 2,9004 3,0336 3,1648 3,2560 3,3015 3,3125 3,3199 3,3763 3,5210 3,7416 3,9728 4,1328 4,1587 4,0187 3,7031 3,2155 2,5790 1,8590 1,1784 0,6909 0,5188 0,7022 1,1943 1,8867 2,6349 3,2778 3,6739 3,7496 3,5191 3,0634 2,5023 1,9747 1,6068 1,4761 1,5976 1,9316 2,4002 2,9104 3,3764 3,7267 3,8933 3,8104 3,4459 2,8471 2,1422 1,4892 1,0114 0,7653 0,7621 1,0029 1,4736 2,1192 2,8499 3,5662 4,1785 4,6295 4,9130 5,0513 5,0534 4,9104 4,6340 4,2839 3,9435 3,6653 3,4591 3,3323 3,3153 3,4385 3,6927 4,0143 4,3092 4,4909 4,5082 4,3535 4,0557 3,6685 3,2540 2,8595 2,4947 2,1298 1,7241 1,2699 0,8175 0,4624 0,3111 0,4376 0,8468 1,4770 2,2330 3,0234 3,7848 4,4839 5,0856 5,5222 5,7077 5,5925 5,2088 4,6681 4,1163 3,6736 3,3926 3,2557 3,2137 3,2329 3,2991 3,3747 3,3709 3,1870 2,7865 2,2296 1,6354 1,1329 0,8352 0,8114 1,0643 1,5420 2,1613 2,8220 3,4231 3,8825 4,1393 4,1389 3,8288 3,1935 2,3111 1,3679 0,5892 0,1273 -0,0043 0,0934 0,2870 0,4642 0,5405 0,4652 0,2385 -0,0997 -0,4976 -0,9046 -1,2647 -1,5126 -1,5900 -1,4724 -1,1845 -0,7830 -0,3271 0,1217 0,4786 0,6548 0,6092 0,3726 0,0157 -0,4047 -0,8659 -1,3447 -1,7660 -1,9989 -1,9174 -1,4800 -0,7681 0,0446 0,7787 1,3292 1,6732 1,8236 1,8063 1,6626 1,4394 1,1791 0,9302 0,7382 0,6066 0,4925 0,3620 0,2461 0,2338 0,4032 0,7510 1,1855 1,6002 1,9523 2,2550 2,5103 2,6838
F7    0,5673 0,1869 -0,2599 -0,6669 -0,9276 -0,9849 -0,8454 -0,5499 -0,1424 0,3202 0,7501 1,0579 1,2070 1,2240 1,1658 1,0840 0,9914 0,8527 0,6363 0,3722 0,1407 0,0101 -0,0039 0,0719 0,2005 0,3541 0,5127 0,6564 0,7664 0,8306 0,8418 0,7958 0,6907 0,5198 0,2673 -0,0816 -0,5205 -1,0116 -1,4904 -1,8781 -2,0988 -2,1017 -1,8787 -1,4658 -0,9340 -0,3832 0,0724 0,3459 0,4151 0,3174 0,1170 -0,1156 -0,3125 -0,4328 -0,4867 -0,5263 -0,6176 -0,8087 -1,0843 -1,3419 -1,4458 -1,3242 -1,0152 -0,6304 -0,2911 -0,0871 -0,0578 -0,1893 -0,4324 -0,7264 -1,0024 -1,1835 -1,2161 -1,1119 -0,9404 -0,7663 -0,6011 -0,4201 -0,2154 -0,0255 0,0816 0,0617 -0,0639 -0,2200 -0,3274 -0,3460 -0,2838 -0,1797 -0,0879 -0,0663 -0,1524 -0,3357 -0,5520 -0,7155 -0,7623 -0,6680 -0,4469 -0,1495 0,1491 0,3720 0,4571 0,3657 0,0937 -0,3136 -0,7760 -1,2225 -1,6091 -1,8944 -2,0313 -2,0044 -1,8632 -1,6865 -1,5088 -1,3017 -1,0275 -0,6974 -0,3757 -0,1295 0,0195 0,1098 0,2148 0,3858 0,6067 0,8048 0,9098 0,9025 0,8165 0,7196 0,6941 0,8155 1,1294 1,6235 2,2169 2,7940 3,2637 3,5961 3,8041 3,8966 3,8685 3,7292 3,5184 3,2863 3,0673 2,8717 2,6892 2,4805 2,1765 1,7154 1,0983 0,4028 -0,2637 -0,8244 -1,2510 -1,5356 -1,6713 -1,6693 -1,5757 -1,4516 -1,3305 -1,1957 -1,0054 -0,7454 -0,4645 -0,2497 -0,1587 -0,1843 -0,2769 -0,3772 -0,4358 -0,4368 -0,4012 -0,3541 -0,2911 -0,1877 -0,0365 0,1337 0,2741 0,3526 0,3722 0,3631 0,3574 0,3535 0,3074 0,1740 -0,0565 -0,3736 -0,7669 -1,2099 -1,6458 -1,9991 -2,2009 -2,2145 -2,0569 -1,7958 -1,5045 -1,2188 -0,9468 -0,7091 -0,5417 -0,4583 -0,4251 -0,3793 -0,2791 -0,1509 -0,0840 -0,1564 -0,3546 -0,5549 -0,5957 -0,3971 -0,0201 0,3888 0,7028 0,8625 0,8485 0,6515 0,2826 -0,1993 -0,6884 -1,0646 -1,2311 -1,1315 -0,7583 -0,1755 0,4717 0,9980 1,2586 1,2070 0,8927 0,4242 -0,0690 -0,4710 -0,7088 -0,7732 -0,7127 -0,5881 -0,4215 -0,1955 0,1044 0,4563 0,7971 1,0416 1,1253 1,0478 0,8819 0,7416 0,7250 0,8593 1,0915 1,3394 1,5406 1,6564 1,6628 1,5635 1,3935 1,1873 0,9547 0,6923 0,4024 0,1027 -0,1607 -0,3130 -0,2895 -0,0738 0,3059 0,7944 1,3089 1,7458 2,0140 2,0789 1,9825 1,8138 1,6563 1,5448 1,4432 1,2720 0,9917 0,6556 0,3664 0,1958 0,1647 0,2733 0,5103 0,8296 1,1463 1,3784 1,4953 1,5153 1,4761 1,4145 1,3492 1,2728 1,1675 1,0278 0,8700 0,7297 0,6499 0,6586 0,7449 0,8616 0,9619 1,0363 1,1113 1,2153 1,3598 1,5502 1,7886 2,0596 2,3220 2,5236 2,6197 2,5821 2,4083 2,1351 1,8344 1,5861 1,4473 1,4390 1,5583 1,7956 2,1282 2,5047 2,8553 3,1248 3,2943 3,3740 3,3648 3,2222 2,8740 2,2818 1,4843 0,5944 -0,2327 -0,8441 -1,1294 -1,0382 -0,5751 0,2086 1,2098 2,2731 3,2142 3,8693 4,1475 4,0571 3,6948 3,2104 2,7534 2,4124 2,1878 2,0279 1,8971 1,8070 1,7806 1,8056 1,8367 1,8379 1,8173 1,8279 1,9306 2,1390 2,3889 2,5681 2,5911 2,4533 2,2203 1,9781 1,7920 1,6894 1,6710 1,7386 1,9050 2,1690 2,4903 2,7933 2,9983 3,0647 3,0080 2,8734 2,7020 2,5144 2,3000 2,0185 1,6259 1,1104 0,5154 -0,0641 -0,5187 -0,7683 -0,7811 -0,5733 -0,2088 0,2143 0,5943 0,8498 0,9426 0,9092 0,8615 0,9209 1,1390 1,4764 1,8469 2,1734 2,4038 2,4955 2,4128 2,1523 1,7693 1,3684 1,0506 0,8577 0,7587 0,6840 0,5730 0,3980 0,1611 -0,1121 -0,3716 -0,5529 -0,6148 -0,5686 -0,4521 -0,2819 -0,0402 0,2962 0,7057 1,1020 1,3781 1,4707 1,3802 1,1535 0,8645 0,5914 0,3809 0,2336 0,1278 0,0489 -0,0056 -0,0283 -0,0051 0,0703 0,1901 0,3407 0,4931 0,5926 0,5853 0,4556 0,2352 -0,0067 -0,1851 -0,2376 -0,1514 0,0457 0,3060 0,5730 0,7956 0,9486 1,0417 1,1017 1,1463 1,1732 1,1673 1,1172 1,0343 0,9547 0,9161 0,9382 1,0189 1,1327 1,2350 1,2906 1,3047 1,3157 1,3616 1,4555 1,5781 1,6760 1,6684 1,4811 1,0923 0,5501 -0,0486 -0,5934 -0,9960 -1,2192 -1,2811 -1,2307 -1,1194 -0,9827 -0,8414 -0,7150 -0,6250 -0,5791 -0,5558 -0,5125 -0,4111 -0,2430 -0,0387 0,1507 0,2856 0,3462 0,3266 0,2440 0,1494 0,1084 0,1685 0,3481 0,6436 1,0334 1,4830 1,9491 2,3810 2,7291 2,9576 3,0534 3,0344 2,9440 2,8135 2,6231 2,3074 1,8059 1,1241 0,3578 -0,3478 -0,8773 -1,1787 -1,2425 -1,0959 -0,8152 -0,5056 -0,2526 -0,0935 -0,0237 -0,0233 -0,0819 -0,2086 -0,4193 -0,7056 -1,0189 -1,2885 -1,4518 -1,4886 -1,4444 -1,4006 -1,4068 -1,4579 -1,5337 -1,6288 -1,7360 -1,8326 -1,9052 -1,9682 -2,0353 -2,0880 -2,0934 -2,0446 -1,9728 -1,9301 -1,9703 -2,1326 -2,4195 -2,7876 -3,1591 -3,4519 -3,6136 -3,6387 -3,5621 -3,4373 -3,3014 -3,1549 -2,9825 -2,7987 -2,6624 -2,6364 -2,7300 -2,8815 -2,9961 -3,0057 -2,9082 -2,7640 -2,6475 -2,5930 -2,5887 -2,6088 -2,6460 -2,7232 -2,8711 -3,0814 -3,2799 -3,3590 -3,2455 -2,9435 -2,5224 -2,0776 -1,6998 -1,4548 -1,3677 -1,4153 -1,5243 -1,5967 -1,5741
