Fp1   4,1419 5,1450 5,7604 5,9583 5,7995 5,3708 4,7412 3,9334 2,9728 1,9767 1,1324 0,5603 0,2370 0,0615 -0,0308 -0,0174 0,1842 0,6385 1,2963 1,9785 2,4903 2,7345 2,7087 2,4533 2,0247 1,4787 0,8524 0,1656 -0,5652 -1,3124 -2,0109 -2,5499 -2,8377 -2,8780 -2,7442 -2,4886 -2,1354 -1,7522 -1,4646 -1,3972 -1,6324 -2,2057 -3,0893 -4,1658 -5,2225 -5,9832 -6,1977 -5,7680 -4,8033 -3,5442 -2,2516 -1,1439 -0,3510 0,1187 0,3490 0,4196 0,3357 0,0875 -0,2357 -0,4450 -0,3601 0,0929 0,8503 1,7227 2,4451 2,7908 2,6993 2,3234 1,9343 1,7370 1,7657 1,9239 2,0766 2,1257 2,0546 1,9094 1,7365 1,5695 1,4763 1,5710 1,9428 2,5704 3,3007 3,9078 4,2165 4,2218 4,0780 3,9440 3,8633 3,7975 3,7044 3,5414 3,2375 2,7132 1,9504 1,0717 0,3453 0,0498 0,2825 0,9117 1,7046 2,4443 2,9506 3,0954 2,8422 2,2563 1,4680 0,6249 -0,1373 -0,7042 -0,9970 -1,0053 -0,7754 -0,3325 0,3175 1,0860 1,7981 2,3140 2,6059 2,7533 2,9177 3,2785 3,9459 4,9343 6,1832 7,5760 8,9720 10,2332 11,2244 11,8558 12,1580 12,2597 12,2705 12,2262 12,1446 12,0817 12,1170 12,2974 12,6022 12,9729 13,3570 13,6897 13,8713 13,8377 13,6424 13,4120 13,2543 13,2571 13,5070 14,0404 14,7905 15,5854 16,1954 16,4249 16,2010 15,6023 14,8061 14,0071 13,3622 12,9494 12,7485 12,6791 12,6563 12,6131 12,5126 12,3728 12,2951 12,4382 12,8767 13,4866 14,0491 14,4328 14,6200 14,6273 14,4602 14,1051 13,5252 12,6911 11,6427 10,4832 9,2884 8,0780 6,9089 5,9310 5,2946 5,0097 4,9370 4,9448 5,0377 5,2817 5,6625 6,0834 6,4642 6,7823 7,0368 7,2166 7,2964 7,2339 6,9749 6,4924 5,8456 5,1958 4,7468 4,6508 4,9653 5,6893 6,7934 8,1628 9,5516 10,6774 11,3532 11,5127 11,1742 10,4070 9,3034 7,9732 6,5609 5,2506 4,2336 3,6513 3,5769 4,0447 5,0387 6,3964 7,7795 8,8423 9,4419 9,6690 9,6866 9,5628 9,2603 8,7394 8,0520 7,3549 6,8102 6,4545 6,1750 5,8096 5,2594 4,5437 3,7922 3,1802 2,8300 2,7174 2,6404 2,3426 1,7320 0,9657 0,3074 -0,0590 -0,0919 0,1429 0,5079 0,8169 0,8879 0,6060 -0,0666 -1,0948 -2,3223 -3,4414 -4,1119 -4,1832 -3,7549 -3,0098 -2,0907 -1,1323 -0,2854 0,3381 0,7168 0,9074 0,9873 1,0036 0,9561 0,8159 0,5570 0,1705 -0,3132 -0,8075 -1,2226 -1,5423 -1,8116 -2,0639 -2,2872 -2,4471 -2,5175 -2,4982 -2,4219 -2,3296 -2,2312 -2,1014 -1,9311 -1,7874 -1,7799 -1,9567 -2,2521 -2,5124 -2,5590 -2,2790 -1,7181 -1,0916 -0,6463 -0,4797 -0,5046 -0,5611 -0,5272 -0,3504 -0,0408 0,3430 0,7101 0,9695 1,0763 1,0519 0,9497 0,8001 0,5889 0,2830 -0,1224 -0,5759 -0,9891 -1,2748 -1,3534 -1,1492 -0,6515 0,0262 0,7074 1,2631 1,6556 1,9244 2,1600 2,4646 2,8961 3,4316 3,9893 4,4896 4,8970 5,2311 5,5497 5,8839 6,1716 6,2923 6,1603 5,7534 5,1191 4,4329 3,9810 3,9762 4,3974 5,0420 5,6796 6,1445 6,3800 6,4377 6,4058 6,3386 6,2622 6,2228 6,2772 6,4365 6,6497 6,8249 6,8447 6,6166 6,1547 5,5934 5,1010 4,7934 4,7167 4,8532 5,1263 5,4389 5,7211 5,9520 6,1836 6,5327 7,0781 7,7497 8,3373 8,6196 8,4849 7,9511 7,1401 6,2410 5,4265 4,7827 4,3190 4,0172 3,8721 3,8909 4,0411 4,2286 4,3496 4,3419 4,1883 3,9042 3,5120 3,0119 2,4186 1,8229 1,3329 0,9729 0,7174 0,5867 0,6351 0,8677 1,2245 1,6310 2,0328 2,4035 2,7425 3,0527 3,3068 3,4361 3,3617 3,0549 2,5874 2,1177 1,7928 1,6492 1,6436 1,7621 2,0447 2,5229 3,1890 4,0156 4,9573 5,9284 6,8198 7,5442 8,0446 8,2725 8,2011 7,8576 7,3270 6,7664 6,3983 6,4033 6,8110 7,5381 8,4948 9,5944 10,6911 11,5824 12,1002 12,2095 12,0090 11,6128 11,0281 10,1679 8,9829 7,5681 6,1412 4,9566 4,2544 4,2242 4,9137 6,1334 7,5080 8,6641 9,3645 9,5197 9,1719 8,4843 7,6915 7,0082 6,5651 6,4021 6,4667 6,6190 6,6955 6,5997 6,3115 5,8299 5,1663 4,3943 3,6635 3,1241 2,8270 2,7238 2,7531 2,8665 3,0075 3,1572 3,3699 3,6961 4,0847 4,3823 4,4141 4,0779 3,4002 2,5265 1,6796 1,1028 0,9613 1,2765 1,9858 3,0063 4,2070 5,4260 6,5731 7,6619 8,7307 9,7560 10,6357 11,2428 11,4811 11,2873 10,6414 9,6322 8,4938 7,5276 6,9769 6,9594 7,4609 8,3455 9,4036 10,4331 11,2778 11,8167 11,9823 11,7938 11,3448 10,7486 10,0820 9,3700 8,6452 7,9993 7,5258 7,2231 7,0029 6,7909 6,5734 6,3371 6,0221 5,5918 5,1360 4,8437 4,8495 5,1351 5,5815 6,0625 6,4833 6,7790 6,9074 6,8366 6,5263 5,9426 5,1086 4,1295 3,1905 2,5314 2,3496 2,6745 3,3331 4,0467 4,5743 4,7861 4,6470 4,1929 3,5158 2,7215 1,8890 1,0723 0,3066 -0,3967 -1,0323 -1,5865 -2,0694 -2,5181 -2,9309 -3,2399 -3,3628 -3,2566 -2,9585 -2,5809 -2,2253 -1,9348 -1,7370 -1,6657 -1,7169 -1,8068 -1,7956 -1,5707 -1,1083 -0,4720 0,2093 0,7838 1,1646 1,3616 1,3939 1,2303 0,8604 0,3621 -0,1275 -0,4715 -0,5651 -0,3833 -0,0070 0,4477 0,9159 1,3849
Fz    1,1443 1,3394 1,4292 1,4211 1,3358 1,1904 0,9909 0,7332 0,4266 0,1232 -0,0939 -0,1684 -0,1127 0,0119 0,1452 0,2584 0,3496 0,4230 0,4688 0,4655 0,4055 0,3113 0,2208 0,1616 0,1367 0,1259 0,1002 0,0385 -0,0650 -0,1998 -0,3364 -0,4298 -0,4494 -0,4053 -0,3359 -0,2706 -0,2181 -0,1823 -0,1738 -0,2066 -0,2991 -0,4757 -0,7520 -1,1067 -1,4633 -1,7007 -1,7020 -1,4214 -0,9099 -0,2785 0,3542 0,8918 1,2783 1,5089 1,6180 1,6471 1,6185 1,5485 1,4747 1,4529 1,5285 1,7144 1,9844 2,2732 2,4938 2,5758 2,5029 2,3259 2,1317 1,9888 1,9170 1,8994 1,9079 1,9246 1,9554 2,0192 2,1222 2,2507 2,3928 2,5557 2,7550 2,9868 3,2137 3,3769 3,4336 3,3932 3,3100 3,2358 3,1879 3,1573 3,1243 3,0575 2,9147 2,6631 2,3094 1,9149 1,5811 1,4019 1,4123 1,5785 1,8308 2,0925 2,2932 2,3868 2,3647 2,2459 2,0570 1,8249 1,5815 1,3628 1,1965 1,0865 1,0191 0,9929 1,0231 1,1056 1,2009 1,2658 1,2879 1,2951 1,3462 1,5107 1,8434 2,3672 3,0661 3,8853 4,7469 5,5726 6,2949 6,8670 7,2805 7,5637 7,7563 7,8907 7,9933 8,0903 8,2016 8,3274 8,4450 8,5268 8,5587 8,5330 8,4351 8,2618 8,0492 7,8640 7,7636 7,7766 7,9063 8,1330 8,4144 8,6938 8,9168 9,0533 9,1147 9,1471 9,2023 9,3099 9,4706 9,6598 9,8385 9,9744 10,0597 10,1072 10,1364 10,1644 10,2081 10,2818 10,3711 10,4238 10,3851 10,2349 9,9851 9,6581 9,2735 8,8399 8,3507 7,7907 7,1583 6,4756 5,7679 5,0447 4,3179 3,6279 3,0313 2,5618 2,2176 1,9908 1,8874 1,9063 2,0163 2,1706 2,3353 2,4921 2,6241 2,7092 2,7213 2,6336 2,4306 2,1257 1,7718 1,4517 1,2515 1,2310 1,4101 1,7769 2,2993 2,9150 3,5220 4,0129 4,3205 4,4281 4,3511 4,1227 3,7886 3,4045 3,0379 2,7677 2,6674 2,7723 3,0639 3,4911 3,9969 4,5110 4,9389 5,1962 5,2601 5,1802 5,0324 4,8579 4,6498 4,3925 4,1022 3,8291 3,6201 3,4788 3,3589 3,1960 2,9469 2,6128 2,2367 1,8784 1,5819 1,3475 1,1240 0,8479 0,5028 0,1355 -0,1898 -0,4397 -0,6149 -0,7218 -0,7615 -0,7466 -0,7144 -0,7130 -0,7800 -0,9256 -1,1166 -1,2720 -1,2965 -1,1419 -0,8294 -0,4108 0,0672 0,5624 1,0362 1,4684 1,8655 2,2493 2,6343 3,0106 3,3431 3,5901 3,7288 3,7647 3,7255 3,6506 3,5741 3,5064 3,4386 3,3636 3,2874 3,2200 3,1634 3,1070 3,0306 2,9166 2,7632 2,5838 2,3913 2,1848 1,9572 1,7172 1,4962 1,3379 1,2804 1,3348 1,4678 1,6102 1,7026 1,7385 1,7600 1,8153 1,9275 2,0912 2,2832 2,4697 2,6117 2,6812 2,6796 2,6380 2,5936 2,5620 2,5267 2,4550 2,3283 2,1608 1,9885 1,8423 1,7385 1,6909 1,7119 1,8000 1,9387 2,1030 2,2641 2,4002 2,5107 2,6119 2,7179 2,8282 2,9354 3,0396 3,1535 3,2959 3,4815 3,7012 3,9055 4,0252 4,0140 3,8693 3,6251 3,3454 3,1060 2,9595 2,9082 2,9135 2,9228 2,8900 2,7964 2,6610 2,5204 2,3968 2,2927 2,2101 2,1578 2,1380 2,1410 2,1486 2,1378 2,0942 2,0336 1,9994 2,0325 2,1493 2,3424 2,5852 2,8374 3,0633 3,2480 3,3983 3,5384 3,7024 3,9139 4,1614 4,3985 4,5752 4,6671 4,6756 4,6192 4,5285 4,4335 4,3500 4,2802 4,2211 4,1719 4,1357 4,1109 4,0870 4,0507 3,9849 3,8649 3,6651 3,3735 2,9975 2,5701 2,1493 1,7874 1,4947 1,2518 1,0482 0,8939 0,8000 0,7678 0,7943 0,8739 0,9952 1,1418 1,2976 1,4468 1,5688 1,6408 1,6522 1,6185 1,5767 1,5615 1,5840 1,6425 1,7512 1,9389 2,2229 2,5979 3,0452 3,5368 4,0293 4,4706 4,8256 5,0872 5,2631 5,3669 5,4176 5,4321 5,4305 5,4464 5,5183 5,6726 5,9252 6,2832 6,7279 7,1993 7,6152 7,9118 8,0726 8,1223 8,0869 7,9555 7,6871 7,2634 6,7322 6,1956 5,7618 5,5081 5,4638 5,6019 5,8419 6,0782 6,2256 6,2449 6,1381 5,9371 5,6984 5,4878 5,3519 5,3001 5,3091 5,3375 5,3371 5,2669 5,1109 4,8786 4,5885 4,2626 3,9336 3,6409 3,4108 3,2394 3,0993 2,9699 2,8482 2,7402 2,6630 2,6461 2,7015 2,7976 2,8758 2,8911 2,8342 2,7234 2,5881 2,4684 2,4161 2,4706 2,6386 2,9103 3,2778 3,7234 4,2164 4,7315 5,2561 5,7771 6,2686 6,6938 7,0200 7,2269 7,2997 7,2283 7,0304 6,7727 6,5576 6,4824 6,6043 6,9224 7,3791 7,8812 8,3324 8,6516 8,7823 8,7059 8,4485 8,0703 7,6442 7,2340 6,8798 6,6059 6,4382 6,3949 6,4645 6,6078 6,7778 6,9279 7,0077 6,9690 6,7963 6,5315 6,2572 6,0447 5,9194 5,8692 5,8702 5,9013 5,9455 5,9876 6,0120 5,9963 5,9109 5,7337 5,4684 5,1554 4,8673 4,6803 4,6312 4,6935 4,7937 4,8549 4,8328 4,7205 4,5373 4,3134 4,0710 3,8122 3,5265 3,2041 2,8401 2,4396 2,0192 1,5985 1,1959 0,8379 0,5544 0,3650 0,2769 0,2817 0,3520 0,4576 0,5757 0,6841 0,7664 0,8275 0,8968 1,0147 1,2131 1,5024 1,8681 2,2699 2,6573 3,0031 3,3143 3,5997 3,8428 4,0192 4,1226 4,1684 4,1824 4,1907 4,2075 4,2316 4,2675 4,3370 4,4619
F3    1,9701 2,3521 2,5967 2,6984 2,6775 2,5604 2,3596 2,0614 1,6591 1,2089 0,8206 0,5765 0,4775 0,4708 0,5096 0,5829 0,7047 0,8812 1,0796 1,2311 1,2773 1,2053 1,0381 0,8104 0,5514 0,2787 0,0032 -0,2644 -0,5181 -0,7542 -0,9536 -1,0812 -1,1194 -1,0933 -1,0473 -1,0071 -0,9780 -0,9667 -0,9825 -1,0322 -1,1354 -1,3341 -1,6656 -2,1194 -2,6157 -3,0183 -3,1875 -3,0529 -2,6462 -2,0704 -1,4523 -0,9116 -0,5269 -0,3078 -0,2062 -0,1703 -0,1837 -0,2353 -0,2714 -0,2091 0,0100 0,3873 0,8642 1,3308 1,6569 1,7482 1,5982 1,3000 0,9953 0,7876 0,6997 0,6998 0,7455 0,8110 0,8996 1,0281 1,1988 1,3981 1,6261 1,9091 2,2730 2,7051 3,1357 3,4602 3,6045 3,5873 3,5066 3,4574 3,4733 3,5360 3,6008 3,6015 3,4613 3,1301 2,6215 2,0284 1,5014 1,1815 1,1229 1,2756 1,5357 1,7969 1,9700 1,9980 1,8696 1,6093 1,2530 0,8405 0,4280 0,0899 -0,1084 -0,1472 -0,0459 0,1841 0,5409 0,9780 1,3934 1,6908 1,8328 1,8553 1,8565 1,9569 2,2425 2,7348 3,3942 4,1382 4,8751 5,5342 6,0680 6,4546 6,7159 6,9111 7,0955 7,2960 7,5228 7,7838 8,0761 8,3716 8,6240 8,8030 8,9109 8,9511 8,9009 8,7455 8,5298 8,3439 8,2654 8,3318 8,5433 8,8580 9,2007 9,4891 9,6608 9,6903 9,5976 9,4424 9,2972 9,2195 9,2376 9,3418 9,4887 9,6310 9,7425 9,8174 9,8619 9,8937 9,9412 10,0319 10,1540 10,2351 10,1919 9,9934 9,6627 9,2423 8,7732 8,2842 7,7768 7,2301 6,6394 6,0360 5,4516 4,8857 4,3317 3,8121 3,3578 2,9634 2,5881 2,2138 1,8784 1,6348 1,5012 1,4673 1,5253 1,6702 1,8769 2,0910 2,2408 2,2578 2,1031 1,7875 1,3773 0,9769 0,6916 0,5906 0,6942 0,9920 1,4589 2,0392 2,6304 3,1180 3,4224 3,5104 3,3846 3,0791 2,6533 2,1783 1,7255 1,3649 1,1577 1,1384 1,3092 1,6573 2,1587 2,7451 3,2886 3,6613 3,8168 3,8108 3,7374 3,6421 3,5002 3,2751 2,9819 2,6964 2,4994 2,4104 2,3750 2,3101 2,1588 1,9214 1,6552 1,4417 1,3371 1,3283 1,3250 1,2169 0,9651 0,6297 0,3024 0,0274 -0,2006 -0,3889 -0,5286 -0,6210 -0,6935 -0,7861 -0,9354 -1,1588 -1,4256 -1,6393 -1,6803 -1,4980 -1,1410 -0,6900 -0,2021 0,2749 0,6918 1,0237 1,2948 1,5654 1,8884 2,2683 2,6518 2,9611 3,1424 3,1829 3,1012 2,9384 2,7369 2,5149 2,2688 2,0022 1,7441 1,5344 1,3963 1,3187 1,2616 1,1818 1,0611 0,9105 0,7450 0,5514 0,2984 -0,0156 -0,3386 -0,5847 -0,6767 -0,5911 -0,3819 -0,1559 -0,0004 0,0736 0,1200 0,2028 0,3578 0,5846 0,8540 1,1184 1,3254 1,4371 1,4498 1,3969 1,3274 1,2738 1,2348 1,1823 1,0912 0,9644 0,8304 0,7201 0,6565 0,6606 0,7419 0,8826 1,0487 1,2091 1,3454 1,4619 1,5891 1,7655 2,0086 2,3018 2,6082 2,8972 3,1590 3,4020 3,6430 3,8864 4,0978 4,2160 4,1953 4,0241 3,7250 3,3681 3,0609 2,8842 2,8384 2,8654 2,8977 2,8835 2,8046 2,6867 2,5698 2,4672 2,3656 2,2609 2,1684 2,0972 2,0338 1,9512 1,8234 1,6486 1,4683 1,3544 1,3656 1,5203 1,8023 2,1662 2,5423 2,8648 3,1038 3,2692 3,4033 3,5663 3,7972 4,0734 4,3169 4,4488 4,4354 4,2860 4,0369 3,7450 3,4711 3,2561 3,1134 3,0328 2,9958 2,9901 3,0062 3,0302 3,0467 3,0371 2,9735 2,8259 2,5762 2,2272 1,8162 1,4130 1,0702 0,7822 0,5197 0,2902 0,1346 0,0782 0,1122 0,2119 0,3536 0,5182 0,6938 0,8751 1,0518 1,1971 1,2744 1,2629 1,1796 1,0774 1,0102 0,9933 1,0184 1,1035 1,2985 1,6423 2,1355 2,7486 3,4303 4,1033 4,6817 5,1099 5,3775 5,4979 5,4987 5,4240 5,3200 5,2285 5,1959 5,2603 5,4329 5,7100 6,0846 6,5259 6,9606 7,2958 7,4674 7,4733 7,3606 7,1675 6,8722 6,4119 5,7624 4,9926 4,2374 3,6345 3,2850 3,2327 3,4407 3,7909 4,1333 4,3563 4,4176 4,3276 4,1284 3,8823 3,6587 3,5100 3,4563 3,4895 3,5764 3,6611 3,6879 3,6354 3,5123 3,3228 3,0603 2,7370 2,3975 2,0916 1,8381 1,6294 1,4671 1,3638 1,3245 1,3575 1,4828 1,7012 1,9647 2,1924 2,3138 2,3030 2,1833 2,0095 1,8550 1,8003 1,8961 2,1350 2,4796 2,8981 3,3582 3,8272 4,2942 4,7722 5,2698 5,7656 6,2101 6,5531 6,7625 6,8131 6,6838 6,3934 6,0323 5,7357 5,6215 5,7463 6,0954 6,5922 7,1241 7,5768 7,8557 7,8981 7,6923 7,2887 6,7804 6,2652 5,8120 5,4482 5,1850 5,0452 5,0411 5,1345 5,2471 5,3138 5,3054 5,2058 4,9994 4,6998 4,3800 4,1495 4,0826 4,1719 4,3586 4,5890 4,8351 5,0808 5,3033 5,4594 5,4831 5,3083 4,9110 4,3355 3,6928 3,1350 2,7927 2,7031 2,7909 2,9228 2,9895 2,9457 2,7934 2,5536 2,2506 1,8984 1,4954 1,0394 0,5414 0,0204 -0,5023 -1,0062 -1,4840 -1,9360 -2,3394 -2,6449 -2,8077 -2,8091 -2,6639 -2,4187 -2,1299 -1,8537 -1,6499 -1,5591 -1,5688 -1,6094 -1,5926 -1,4611 -1,2122 -0,8865 -0,5521 -0,2781 -0,0896 0,0410 0,1394 0,1944 0,1943 0,1668 0,1655 0,2324 0,3722 0,5451 0,6905 0,7853 0,8665 0,9863
F7    2,9763 3,6406 4,0756 4,2474 4,1834 3,9405 3,5732 3,1032 2,5399 1,9377 1,3956 0,9843 0,6960 0,4768 0,2910 0,1575 0,1413 0,3060 0,6450 1,0616 1,4360 1,6939 1,8059 1,7616 1,5629 1,2251 0,7779 0,2678 -0,2562 -0,7609 -1,2173 -1,5809 -1,8165 -1,9372 -1,9842 -1,9732 -1,8974 -1,7787 -1,6813 -1,6818 -1,8414 -2,1920 -2,7170 -3,3358 -3,9100 -4,2732 -4,2899 -3,9305 -3,2956 -2,5528 -1,8507 -1,2853 -0,8996 -0,6854 -0,5972 -0,5914 -0,6588 -0,7945 -0,9411 -0,9925 -0,8567 -0,5070 0,0080 0,5743 1,0392 1,2756 1,2559 1,0771 0,9007 0,8461 0,9288 1,0858 1,2320 1,3035 1,2858 1,2086 1,1065 1,0015 0,9288 0,9533 1,1342 1,4711 1,8881 2,2653 2,5012 2,5787 2,5681 2,5468 2,5292 2,4849 2,3893 2,2259 1,9623 1,5557 0,9953 0,3536 -0,2074 -0,5148 -0,5018 -0,2389 0,1426 0,5200 0,7888 0,8665 0,7163 0,3588 -0,1424 -0,7016 -1,2303 -1,6511 -1,9108 -1,9978 -1,9315 -1,7137 -1,3323 -0,8322 -0,3257 0,0845 0,3649 0,5555 0,7502 1,0509 1,5175 2,1603 2,9513 3,8288 4,7137 5,5285 6,1976 6,6691 6,9582 7,1376 7,2689 7,3649 7,4209 7,4499 7,4831 7,5499 7,6591 7,8021 7,9662 8,1236 8,2207 8,2184 8,1429 8,0634 8,0386 8,1173 8,3464 8,7407 9,2569 9,7986 10,2413 10,4782 10,4652 10,2356 9,8734 9,4731 9,1125 8,8347 8,6384 8,4958 8,3790 8,2655 8,1399 8,0090 7,9228 7,9648 8,1736 8,4779 8,7528 8,9251 8,9939 8,9829 8,9014 8,7303 8,4263 7,9511 7,3109 6,5529 5,7201 4,8393 3,9698 3,2285 2,7285 2,4891 2,4264 2,4493 2,5431 2,7338 3,0052 3,2867 3,5078 3,6364 3,6685 3,6091 3,4617 3,2234 2,8879 2,4641 2,0010 1,5911 1,3379 1,3092 1,5189 1,9537 2,5935 3,3769 4,1703 4,8172 5,2078 5,2924 5,0670 4,5631 3,8358 2,9588 2,0293 1,1651 0,4813 0,0598 -0,0567 0,1565 0,6997 1,4889 2,3307 3,0142 3,4401 3,6514 3,7405 3,7475 3,6539 3,4390 3,1293 2,8069 2,5566 2,3922 2,2436 2,0162 1,6603 1,2007 0,7286 0,3581 0,1658 0,1314 0,1202 -0,0409 -0,4233 -0,9311 -1,3800 -1,6238 -1,6145 -1,3939 -1,0686 -0,7855 -0,6842 -0,8462 -1,2875 -1,9679 -2,7760 -3,5173 -3,9808 -4,0641 -3,8134 -3,3348 -2,7202 -2,0606 -1,4590 -0,9948 -0,6888 -0,5099 -0,4119 -0,3639 -0,3614 -0,4153 -0,5311 -0,7012 -0,9024 -1,0879 -1,2136 -1,2792 -1,3226 -1,3774 -1,4504 -1,5286 -1,5920 -1,6293 -1,6498 -1,6725 -1,7005 -1,7165 -1,7118 -1,7187 -1,7907 -1,9436 -2,1260 -2,2390 -2,1804 -1,8994 -1,4450 -0,9690 -0,6429 -0,5431 -0,6176 -0,7518 -0,8464 -0,8446 -0,7298 -0,5218 -0,2722 -0,0449 0,1130 0,1879 0,1901 0,1285 0,0000 -0,1978 -0,4424 -0,6811 -0,8548 -0,9262 -0,8757 -0,6818 -0,3460 0,0704 0,4751 0,8044 1,0444 1,2196 1,3743 1,5541 1,7883 2,0760 2,3881 2,6874 2,9526 3,1902 3,4286 3,6813 3,9071 4,0271 3,9785 3,7364 3,3211 2,8360 2,4629 2,3520 2,5120 2,8277 3,1546 3,3819 3,4635 3,4235 3,3175 3,1851 3,0478 2,9355 2,8838 2,9021 2,9607 3,0003 2,9467 2,7483 2,4238 2,0627 1,7717 1,6226 1,6378 1,7926 2,0233 2,2604 2,4633 2,6268 2,7857 3,0078 3,3398 3,7440 4,0986 4,2718 4,1976 3,8905 3,4265 2,9149 2,4510 2,0805 1,8047 1,6090 1,4939 1,4736 1,5374 1,6286 1,6757 1,6310 1,4874 1,2773 1,0442 0,8045 0,5601 0,3399 0,1803 0,0786 0,0156 0,0062 0,0860 0,2618 0,5043 0,7750 1,0375 1,2614 1,4329 1,5535 1,6213 1,6154 1,5031 1,2704 0,9552 0,6451 0,4265 0,3263 0,3216 0,3994 0,5740 0,8537 1,2298 1,6955 2,2419 2,8308 3,3978 3,8857 4,2566 4,4780 4,5281 4,4187 4,2000 3,9681 3,8584 3,9767 4,3280 4,8458 5,4679 6,1466 6,8039 7,3262 7,6147 7,6426 7,4629 7,1480 6,7174 6,1352 5,3761 4,4842 3,5683 2,7655 2,2211 2,0648 2,3469 2,9686 3,7063 4,3297 4,6946 4,7579 4,5612 4,2103 3,8359 3,5441 3,3907 3,3869 3,4993 3,6460 3,7317 3,7069 3,5734 3,3383 2,9972 2,5697 2,1228 1,7401 1,4619 1,2743 1,1517 1,0733 1,0146 0,9714 0,9777 1,0644 1,2049 1,3149 1,3029 1,1264 0,8123 0,4378 0,1065 -0,0686 -0,0085 0,2941 0,7977 1,4458 2,1625 2,8728 3,5515 4,2203 4,8935 5,5419 6,0991 6,4916 6,6659 6,5920 6,2701 5,7589 5,1842 4,6975 4,4195 4,4119 4,6708 5,1246 5,6563 6,1521 6,5306 6,7426 6,7730 6,6491 6,4351 6,2040 5,9976 5,8113 5,6320 5,4793 5,3825 5,3296 5,2690 5,1665 5,0355 4,8905 4,7010 4,4342 4,1345 3,9178 3,8732 3,9962 4,2203 4,4778 4,7226 4,9227 5,0536 5,0929 5,0066 4,7558 4,3314 3,7772 3,1903 2,7049 2,4378 2,4191 2,5720 2,7604 2,8616 2,8069 2,5777 2,1943 1,7057 1,1626 0,5957 0,0226 -0,5408 -1,0794 -1,5700 -1,9868 -2,3335 -2,6433 -2,9309 -3,1700 -3,3167 -3,3386 -3,2440 -3,0885 -2,9312 -2,8042 -2,7292 -2,7254 -2,7879 -2,8680 -2,8842 -2,7662 -2,4915 -2,0905 -1,6403 -1,2423 -0,9648 -0,8154 -0,7881 -0,8966 -1,1385 -1,4614 -1,7827 -2,0183 -2,0985 -1,9969 -1,7571 -1,4596 -1,1604 -0,8746
