Fp1   1,1383 1,3752 1,5548 1,6578 1,6932 1,6724 1,5889 1,4361 1,2333 1,0165 0,8238 0,6867 0,6253 0,6458 0,7315 0,8396 0,9160 0,9290 0,8853 0,8119 0,7360 0,6826 0,6627 0,6476 0,5762 0,4031 0,1374 -0,1725 -0,4751 -0,7405 -0,9635 -1,1506 -1,2998 -1,3946 -1,4149 -1,3539 -1,2213 -1,0355 -0,8370 -0,6920 -0,6582 -0,7444 -0,9119 -1,1018 -1,2712 -1,4206 -1,5809 -1,7641 -1,9256 -1,9771 -1,8533 -1,5798 -1,2773 -1,0806 -1,0531 -1,1692 -1,3634 -1,5745 -1,7649 -1,9218 -2,0499 -2,1565 -2,2424 -2,2992 -2,3067 -2,2450 -2,1286 -2,0237 -2,0179 -2,1761 -2,5072 -2,9586 -3,4315 -3,8147 -4,0335 -4,0728 -3,9616 -3,7427 -3,4627 -3,1695 -2,9142 -2,7379 -2,6449 -2,5976 -2,5526 -2,4985 -2,4537 -2,4251 -2,3923 -2,3453 -2,3055 -2,3031 -2,3499 -2,4558 -2,6448 -2,9336 -3,2981 -3,6838 -4,0475 -4,3754 -4,6621 -4,8907 -5,0495 -5,1567 -5,2713 -5,4596 -5,7545 -6,1363 -6,5523 -6,9525 -7,3023 -7,5821 -7,7715 -7,8480 -7,7997 -7,6325 -7,3614 -7,0165 -6,6595 -6,3592 -6,1443 -6,0026 -5,9171 -5,8828 -5,8801 -5,8627 -5,7652 -5,5243 -5,1075 -4,5386 -3,8825 -3,2078 -2,5669 -1,9953 -1,5266 -1,1981 -1,0470 -1,0788 -1,2179 -1,3075 -1,1906 -0,8132 -0,2669 0,2522 0,5448 0,5156 0,2117 -0,2146 -0,5939 -0,8080 -0,8053 -0,5755 -0,1475 0,4139 1,0290 1,6225 2,1262 2,4864 2,6927 2,7862 2,8356 2,8949 2,9696 3,0184 3,0086 2,9550 2,9016 2,8574 2,7929 2,7037 2,6391 2,6483 2,7191 2,7959 2,8354 2,8288 2,7725 2,6474 2,4406 2,1603 1,8249 1,4435 1,0303 0,6280 0,3003 0,0904 -0,0063 -0,0283 -0,0210 -0,0248 -0,0633 -0,1434 -0,2558 -0,3737 -0,4640 -0,5083 -0,5047 -0,4564 -0,3488 -0,1349 0,2351 0,7630 1,3786 1,9605 2,3756 2,5182 2,3463 1,9011 1,2884 0,6225 -0,0221 -0,6076 -1,1038 -1,4760 -1,6997 -1,7750 -1,7320 -1,6142 -1,4513 -1,2411 -0,9588 -0,5994 -0,2231 0,0520 0,1173 -0,0540 -0,3934 -0,7916 -1,1512 -1,4026 -1,4983 -1,4192 -1,1913 -0,8761 -0,5299 -0,1769 0,1602 0,4195 0,5107 0,3719 0,0211 -0,4420 -0,8870 -1,1997 -1,2851 -1,0688 -0,5297 0,2551 1,1189 1,8742 2,3971 2,6508 2,6586 2,4664 2,1331 1,7316 1,3433 1,0272 0,7810 0,5325 0,1823 -0,3224 -0,9379 -1,5405 -1,9839 -2,1606 -2,0289 -1,6148 -0,9920 -0,2699 0,4175 0,9401 1,2250 1,2934 1,2382 1,1547 1,0934 1,0559 1,0304 1,0106 0,9868 0,9340 0,8043 0,5433 0,1327 -0,3765 -0,8837 -1,2946 -1,5640 -1,6969 -1,7230 -1,6668 -1,5323 -1,3070 -0,9951 -0,6527 -0,3740 -0,2283 -0,2098 -0,2563 -0,3109 -0,3491 -0,3465 -0,2443 0,0233 0,4536 0,9462 1,3614 1,6078 1,6696 1,5861 1,4133 1,1894 0,9238 0,6206 0,2801 -0,1189 -0,6024 -1,1647 -1,7481 -2,2422 -2,5214 -2,5089 -2,2172 -1,7345 -1,1893 -0,6967 -0,3234 -0,0914 0,0061 -0,0180 -0,1415 -0,3060 -0,4212 -0,4142 -0,2839 -0,1052 0,0341 0,1068 0,1580 0,2578 0,4520 0,7373 1,0410 1,2541 1,3141 1,2687 1,2425 1,3524 1,6318 2,0170 2,3999 2,6940 2,8591 2,8765 2,7196 2,3666 1,8355 1,1965 0,5526 0,0290 -0,2420 -0,1569 0,2983 1,0068 1,7336 2,2240 2,3233 2,0332 1,4825 0,8536 0,3013 -0,1081 -0,4024 -0,6514 -0,9131 -1,2014 -1,4913 -1,7294 -1,8529 -1,8115 -1,6017 -1,2711 -0,8877 -0,5097 -0,1820 0,0723 0,2692 0,4501 0,6412 0,8267 0,9653 1,0263 0,9996 0,8822 0,6670 0,3545 -0,0310 -0,4441 -0,8417 -1,1963 -1,4932 -1,7258 -1,9111 -2,0993 -2,3382 -2,6154 -2,8484 -2,9492 -2,8848 -2,6811 -2,3877 -2,0470 -1,6753 -1,2630 -0,8007 -0,3123 0,1236 0,4060 0,4783 0,3716 0,1901 0,0488 0,0126 0,0845 0,2372 0,4443 0,6790 0,8981 1,0427 1,0598 0,9206 0,6170 0,1565 -0,4217 -1,0344 -1,5769 -1,9784 -2,2381 -2,4058 -2,5305 -2,6242 -2,6497 -2,5536 -2,3213 -1,9994 -1,6630 -1,3697 -1,1379 -0,9543 -0,8017 -0,6734 -0,5831 -0,5653 -0,6675 -0,9366 -1,3832 -1,9380 -2,4559 -2,7860 -2,8531 -2,6799 -2,3556 -2,0003 -1,7290 -1,6107 -1,6444 -1,7913 -2,0175 -2,3096 -2,6632 -3,0595 -3,4548 -3,7949 -4,0489 -4,2207 -4,3259 -4,3545 -4,2789 -4,0824 -3,7828 -3,4230 -3,0630 -2,7641 -2,5766 -2,5276 -2,5998 -2,7373 -2,8804 -2,9855 -3,0158 -2,9440 -2,7684 -2,5154 -2,2320 -1,9747 -1,8032 -1,7702 -1,9094 -2,2106 -2,6144 -3,0451 -3,4468 -3,7990 -4,1148 -4,4085 -4,6486 -4,7555 -4,6444 -4,2966 -3,8009 -3,3157 -2,9749 -2,8302 -2,8603 -2,9967 -3,1353 -3,1687 -3,0250 -2,7068 -2,2942 -1,9078 -1,6351 -1,4906 -1,4398 -1,4365 -1,4455 -1,4347 -1,3776 -1,2504 -1,0408 -0,7578 -0,4321 -0,0940 0,2330 0,5256 0,7469 0,8622 0,8687 0,8013 0,6939 0,5430 0,3190 0,0133 -0,3216 -0,5817 -0,6653 -0,5294 -0,2117 0,1995 0,6092 0,9347 1,1133 1,1217 0,9977 0,8189 0,6422 0,4775 0,3120 0,1369 -0,0526 -0,2517 -0,4367 -0,5726 -0,6351 -0,6241 -0,5680 -0,5086 -0,4802 -0,4970 -0,5674 -0,7074 -0,9270 -1,2155 -1,5490 -1,8913 -2,1829 -2,3494 -2,3458 -2,1866 -1,9230 -1,5892 -1,1939 -0,7522 -0,3037 0,0932 0,3718 0,4734 0,3686 0,0679 -0,3776 -0,8787 -1,3271 -1,6366 -1,7713 -1,7416 -1,5837 -1,3365 -1,0308 -0,6877
Fz    0,7591 0,6255 0,6168 0,7208 0,9042 1,1215 1,3196 1,4510 1,4968 1,4747 1,4289 1,4032 1,4173 1,4634 1,5078 1,5116 1,4559 1,3520 1,2276 1,1037 0,9877 0,8785 0,7755 0,6751 0,5626 0,4137 0,2143 -0,0259 -0,2710 -0,4729 -0,5964 -0,6395 -0,6229 -0,5686 -0,4977 -0,4419 -0,4449 -0,5390 -0,7303 -1,0011 -1,3209 -1,6517 -1,9542 -2,1909 -2,3414 -2,4175 -2,4572 -2,4997 -2,5617 -2,6216 -2,6359 -2,5757 -2,4543 -2,3125 -2,1873 -2,0874 -2,0016 -1,9125 -1,8092 -1,6888 -1,5518 -1,3929 -1,1988 -0,9666 -0,7264 -0,5320 -0,4219 -0,3984 -0,4331 -0,4915 -0,5399 -0,5483 -0,4935 -0,3655 -0,1821 0,0177 0,2010 0,3573 0,4912 0,6201 0,7643 0,9238 1,0671 1,1528 1,1630 1,1165 1,0479 0,9790 0,9083 0,8195 0,7080 0,5852 0,4747 0,3959 0,3487 0,3048 0,2234 0,0770 -0,1320 -0,3827 -0,6506 -0,9138 -1,1617 -1,3998 -1,6524 -1,9400 -2,2664 -2,6212 -2,9896 -3,3595 -3,7144 -4,0386 -4,3121 -4,5111 -4,6104 -4,5922 -4,4514 -4,1984 -3,8611 -3,4706 -3,0432 -2,5899 -2,1264 -1,6780 -1,2735 -0,9492 -0,7340 -0,6281 -0,6008 -0,6040 -0,5772 -0,4592 -0,2118 0,1764 0,6894 1,2850 1,8933 2,4430 2,9000 3,2750 3,6012 3,9087 4,2109 4,5036 4,7744 5,0206 5,2531 5,4908 5,7445 6,0142 6,2971 6,6030 6,9380 7,2931 7,6467 7,9786 8,2783 8,5353 8,7325 8,8425 8,8376 8,7017 8,4393 8,0758 7,6636 7,2695 6,9588 6,7648 6,6862 6,7024 6,7903 6,9254 7,0696 7,1756 7,2039 7,1387 6,9852 6,7587 6,4810 6,1710 5,8485 5,5360 5,2526 4,9994 4,7575 4,4967 4,1935 3,8483 3,4917 3,1652 2,8978 2,6898 2,5211 2,3699 2,2302 2,1081 2,0137 1,9506 1,9168 1,9142 1,9463 2,0048 2,0566 2,0551 1,9619 1,7626 1,4719 1,1287 0,7873 0,5104 0,3536 0,3348 0,4204 0,5502 0,6711 0,7490 0,7593 0,6887 0,5438 0,3535 0,1597 -0,0010 -0,1138 -0,1884 -0,2477 -0,3093 -0,3714 -0,4203 -0,4405 -0,4274 -0,3879 -0,3340 -0,2803 -0,2398 -0,2141 -0,1813 -0,1062 0,0345 0,2392 0,4878 0,7562 1,0211 1,2397 1,3456 1,2898 1,0840 0,7970 0,5043 0,2518 0,0565 -0,0699 -0,1190 -0,0944 -0,0273 0,0287 0,0218 -0,0680 -0,2255 -0,4201 -0,6236 -0,8143 -0,9707 -1,0719 -1,1074 -1,0825 -1,0253 -0,9695 -0,9327 -0,9034 -0,8631 -0,8054 -0,7407 -0,6776 -0,6053 -0,4951 -0,3270 -0,1017 0,1617 0,4436 0,7317 1,0135 1,2655 1,4454 1,5076 1,4303 1,2394 0,9972 0,7641 0,5706 0,4221 0,3086 0,2198 0,1529 0,1110 0,0839 0,0449 -0,0258 -0,1196 -0,1982 -0,2197 -0,1676 -0,0544 0,0942 0,2569 0,4241 0,5933 0,7609 0,9094 1,0051 1,0095 0,9092 0,7281 0,5116 0,3037 0,1445 0,0622 0,0562 0,0993 0,1572 0,2100 0,2555 0,2922 0,3077 0,2833 0,2127 0,1002 -0,0395 -0,1872 -0,3306 -0,4699 -0,6135 -0,7564 -0,8656 -0,9042 -0,8573 -0,7409 -0,5924 -0,4504 -0,3319 -0,2232 -0,1020 0,0281 0,1342 0,1745 0,1263 -0,0085 -0,1939 -0,3731 -0,4923 -0,5199 -0,4482 -0,2885 -0,0664 0,1883 0,4535 0,7145 0,9573 1,1568 1,2815 1,3099 1,2483 1,1252 0,9752 0,8222 0,6780 0,5432 0,4154 0,2969 0,2058 0,1769 0,2432 0,4041 0,6064 0,7698 0,8425 0,8206 0,7349 0,6242 0,5229 0,4488 0,4070 0,3919 0,3924 0,3934 0,3814 0,3491 0,3056 0,2757 0,2818 0,3301 0,4014 0,4567 0,4536 0,3633 0,1855 -0,0492 -0,2939 -0,5077 -0,6687 -0,7777 -0,8457 -0,8774 -0,8663 -0,8078 -0,7149 -0,6101 -0,5050 -0,3941 -0,2748 -0,1485 -0,0081 0,1597 0,3535 0,5546 0,7319 0,8461 0,8696 0,7953 0,6448 0,4731 0,3531 0,3419 0,4483 0,6281 0,8142 0,9517 1,0204 1,0298 0,9957 0,9270 0,8282 0,7063 0,5735 0,4447 0,3366 0,2683 0,2656 0,3518 0,5326 0,7826 1,0506 1,2728 1,3967 1,3957 1,2788 1,0837 0,8656 0,6814 0,5682 0,5295 0,5327 0,5305 0,4922 0,4182 0,3241 0,2109 0,0607 -0,1369 -0,3598 -0,5567 -0,6795 -0,7145 -0,6909 -0,6611 -0,6704 -0,7375 -0,8486 -0,9820 -1,1249 -1,2707 -1,4070 -1,5141 -1,5779 -1,6093 -1,6559 -1,7738 -1,9895 -2,2831 -2,5981 -2,8556 -2,9927 -2,9825 -2,8365 -2,5855 -2,2710 -1,9497 -1,6775 -1,4802 -1,3446 -1,2436 -1,1568 -1,0803 -1,0281 -1,0268 -1,1045 -1,2774 -1,5486 -1,9037 -2,3064 -2,6980 -3,0138 -3,2102 -3,2738 -3,2131 -3,0518 -2,8231 -2,5508 -2,2370 -1,8645 -1,4181 -0,9069 -0,3747 0,1154 0,5035 0,7512 0,8552 0,8581 0,8338 0,8638 0,9945 1,2156 1,4697 1,6991 1,8754 1,9890 2,0324 1,9992 1,9076 1,7963 1,7182 1,7229 1,8504 2,1216 2,5338 3,0489 3,6023 4,1171 4,5315 4,8173 4,9843 5,0643 5,0794 5,0273 4,8932 4,6752 4,3936 4,0847 3,7843 3,5137 3,2852 3,1057 2,9665 2,8391 2,6861 2,4839 2,2308 1,9308 1,5851 1,2015 0,8057 0,4326 0,1154 -0,1217 -0,2708 -0,3563 -0,4280 -0,5363 -0,7076 -0,9419 -1,2158 -1,4899 -1,7226 -1,8879 -1,9841 -2,0368 -2,0879 -2,1735 -2,3040 -2,4623 -2,6111 -2,7175 -2,7704 -2,7782 -2,7527 -2,6989 -2,6229 -2,5350 -2,4457 -2,3620 -2,2855 -2,2120 -2,1374 -2,0603 -1,9808 -1,8978 -1,8110 -1,7290 -1,6620 -1,6164 -1,5910
F3    1,2139 0,8068 0,5427 0,4553 0,5302 0,7227 0,9629 1,1611 1,2412 1,1832 1,0461 0,9416 0,9671 1,1469 1,4190 1,6904 1,8982 2,0257 2,0741 2,0287 1,8549 1,5316 1,0939 0,6257 0,2095 -0,1114 -0,3284 -0,4522 -0,5097 -0,5501 -0,6400 -0,8397 -1,1628 -1,5677 -1,9861 -2,3518 -2,6108 -2,7177 -2,6488 -2,4169 -2,0743 -1,6932 -1,3359 -1,0253 -0,7556 -0,5240 -0,3429 -0,2315 -0,2090 -0,2879 -0,4743 -0,7687 -1,1734 -1,6826 -2,2612 -2,8300 -3,2911 -3,5621 -3,5989 -3,3930 -2,9586 -2,3261 -1,5471 -0,7103 0,0489 0,5828 0,8046 0,7334 0,4720 0,1427 -0,1558 -0,3818 -0,5516 -0,6996 -0,8433 -0,9768 -1,0822 -1,1432 -1,1526 -1,0993 -0,9718 -0,7830 -0,5749 -0,3902 -0,2425 -0,1123 0,0267 0,1722 0,2899 0,3369 0,2954 0,1806 0,0490 -0,0211 0,0216 0,1488 0,2625 0,2619 0,1059 -0,1861 -0,5653 -0,9831 -1,4181 -1,8747 -2,3665 -2,8837 -3,3908 -3,8478 -4,2336 -4,5528 -4,8168 -5,0362 -5,2044 -5,2965 -5,2880 -5,1806 -5,0040 -4,7907 -4,5459 -4,2309 -3,7822 -3,1728 -2,4499 -1,7178 -1,0767 -0,5929 -0,2890 -0,1432 -0,0977 -0,0842 -0,0495 0,0225 0,1114 0,2044 0,3248 0,5156 0,7845 1,0919 1,4075 1,7492 2,1508 2,6127 3,1077 3,6047 4,0699 4,4700 4,7778 4,9813 5,0991 5,1978 5,3734 5,7078 6,2147 6,8313 7,4496 7,9662 8,3158 8,4742 8,4489 8,2553 7,9169 7,4830 7,0204 6,5719 6,1458 5,7343 5,3427 4,9824 4,6685 4,4199 4,2637 4,2255 4,3037 4,4578 4,6280 4,7759 4,8971 5,0000 5,0822 5,1178 5,0857 4,9969 4,8850 4,7673 4,6292 4,4418 4,1882 3,8769 3,5404 3,2153 2,9195 2,6447 2,3807 2,1362 1,9341 1,7831 1,6653 1,5465 1,4076 1,2675 1,1631 1,1119 1,0987 1,0983 1,0904 1,0533 0,9637 0,8120 0,6179 0,4324 0,3194 0,3215 0,4397 0,6394 0,8646 1,0499 1,1338 1,0867 0,9297 0,7291 0,5630 0,4712 0,4318 0,3974 0,3493 0,3024 0,2677 0,2224 0,1249 -0,0656 -0,3661 -0,7494 -1,1506 -1,4961 -1,7259 -1,7946 -1,6770 -1,3781 -0,9278 -0,3681 0,2565 0,9024 1,5146 2,0127 2,3123 2,3641 2,1768 1,7975 1,3008 0,7816 0,3336 0,0059 -0,2049 -0,3378 -0,4344 -0,5157 -0,5750 -0,5950 -0,5694 -0,5119 -0,4494 -0,4036 -0,3778 -0,3646 -0,3570 -0,3539 -0,3585 -0,3833 -0,4360 -0,5110 -0,5949 -0,6775 -0,7516 -0,8103 -0,8391 -0,8142 -0,7088 -0,5161 -0,2525 0,0529 0,3669 0,6553 0,8865 1,0527 1,1834 1,3340 1,5450 1,8027 2,0340 2,1542 2,1205 1,9493 1,6744 1,3104 0,8517 0,3028 -0,2938 -0,8545 -1,2751 -1,4772 -1,4472 -1,2306 -0,8901 -0,4686 0,0052 0,4853 0,9091 1,2203 1,3741 1,3344 1,1056 0,7583 0,4050 0,1443 0,0301 0,0727 0,2466 0,4994 0,7615 0,9714 1,0953 1,1200 1,0400 0,8553 0,5875 0,2833 0,0092 -0,1729 -0,2348 -0,1851 -0,0614 0,0936 0,2621 0,4548 0,6881 0,9492 1,1854 1,3331 1,3625 1,2938 1,1659 0,9980 0,7870 0,5166 0,1755 -0,2284 -0,6445 -0,9907 -1,1897 -1,1979 -1,0009 -0,6085 -0,0706 0,5202 1,0662 1,5059 1,8188 1,9999 2,0530 1,9890 1,8176 1,5336 1,1380 0,6652 0,1842 -0,2395 -0,5693 -0,7971 -0,9174 -0,9042 -0,7188 -0,3479 0,1676 0,7514 1,3254 1,8124 2,1443 2,2753 2,1996 1,9566 1,6377 1,3566 1,2036 1,2051 1,3145 1,4293 1,4368 1,2610 0,8843 0,3457 -0,2735 -0,8658 -1,3281 -1,6053 -1,6955 -1,6161 -1,3890 -1,0673 -0,7460 -0,5216 -0,4371 -0,4720 -0,5639 -0,6347 -0,6170 -0,4706 -0,1951 0,1570 0,4774 0,6543 0,6412 0,4773 0,2412 0,0112 -0,1525 -0,2224 -0,2027 -0,1260 -0,0393 0,0158 0,0218 -0,0047 -0,0326 -0,0507 -0,0771 -0,1421 -0,2598 -0,4233 -0,6221 -0,8453 -1,0732 -1,2768 -1,4181 -1,4636 -1,4056 -1,2618 -1,0528 -0,7977 -0,5148 -0,2148 0,1022 0,4248 0,7111 0,8935 0,9296 0,8419 0,7031 0,5703 0,4338 0,2343 -0,0851 -0,5322 -1,0506 -1,5347 -1,8797 -2,0361 -2,0188 -1,8723 -1,6344 -1,3261 -0,9702 -0,6122 -0,3225 -0,1700 -0,1899 -0,3721 -0,6690 -1,0261 -1,3972 -1,7431 -2,0349 -2,2679 -2,4680 -2,6731 -2,9168 -3,2047 -3,5022 -3,7403 -3,8444 -3,7599 -3,4850 -3,0678 -2,5903 -2,1384 -1,7765 -1,5348 -1,4005 -1,3327 -1,2946 -1,2770 -1,2880 -1,3353 -1,4185 -1,5420 -1,7323 -2,0247 -2,4305 -2,9130 -3,3930 -3,7749 -3,9868 -4,0062 -3,8572 -3,6016 -3,3284 -3,1270 -3,0428 -3,0576 -3,1066 -3,1225 -3,0639 -2,9308 -2,7581 -2,5845 -2,4143 -2,2150 -1,9453 -1,5893 -1,1571 -0,6789 -0,1877 0,2846 0,7031 1,0279 1,2216 1,2652 1,1675 0,9767 0,7591 0,5903 0,5437 0,6740 0,9868 1,4316 1,9208 2,3825 2,7874 3,1419 3,4531 3,7101 3,8938 3,9907 3,9984 3,9134 3,7286 3,4464 3,0872 2,6752 2,2284 1,7765 1,3774 1,1011 0,9941 1,0487 1,2105 1,4148 1,6067 1,7358 1,7528 1,6275 1,3641 1,0018 0,5928 0,1811 -0,2128 -0,5884 -0,9514 -1,2904 -1,5787 -1,7825 -1,8645 -1,7935 -1,5716 -1,2528 -0,9381 -0,7384 -0,7269 -0,9167 -1,2710 -1,7195 -2,1869 -2,6120 -2,9538 -3,1907 -3,3192 -3,3492 -3,2920 -3,1490 -2,9187 -2,6127 -2,2566 -1,8818 -1,5189 -1,1995 -0,9512 -0,7845 -0,6895 -0,6429 -0,6297 -0,6560
F7    0,9423 0,9074 0,8972 0,9160 0,9672 1,0426 1,1163 1,1576 1,1534 1,1152 1,0698 1,0417 1,0420 1,0712 1,1166 1,1559 1,1671 1,1383 1,0663 0,9515 0,8019 0,6371 0,4816 0,3485 0,2313 0,1139 -0,0086 -0,1313 -0,2565 -0,4010 -0,5799 -0,7883 -1,0000 -1,1830 -1,3117 -1,3688 -1,3532 -1,2823 -1,1885 -1,1075 -1,0642 -1,0649 -1,0996 -1,1424 -1,1695 -1,1801 -1,1951 -1,2304 -1,2718 -1,2710 -1,1830 -1,0115 -0,8194 -0,6869 -0,6627 -0,7433 -0,8880 -1,0444 -1,1735 -1,2617 -1,3151 -1,3454 -1,3572 -1,3442 -1,2925 -1,1932 -1,0557 -0,9110 -0,7949 -0,7339 -0,7347 -0,7854 -0,8577 -0,9126 -0,9201 -0,8693 -0,7592 -0,5895 -0,3651 -0,0976 0,1889 0,4558 0,6622 0,7817 0,8060 0,7350 0,5707 0,3253 0,0302 -0,2732 -0,5413 -0,7413 -0,8549 -0,8879 -0,8684 -0,8333 -0,8076 -0,7991 -0,8013 -0,8080 -0,8207 -0,8434 -0,8831 -0,9577 -1,1082 -1,3786 -1,7832 -2,2789 -2,7753 -3,1854 -3,4681 -3,6373 -3,7290 -3,7761 -3,7975 -3,7926 -3,7403 -3,6186 -3,4349 -3,2237 -3,0192 -2,8416 -2,6976 -2,5855 -2,4902 -2,3873 -2,2459 -2,0334 -1,7312 -1,3449 -0,8905 -0,3789 0,1764 0,7478 1,2882 1,7459 2,0791 2,2789 2,3944 2,5197 2,7404 3,0765 3,4682 3,8135 4,0260 4,0832 4,0319 3,9575 3,9334 3,9933 4,1334 4,3374 4,5845 4,8529 5,1201 5,3611 5,5489 5,6602 5,6946 5,6786 5,6512 5,6366 5,6335 5,6227 5,5900 5,5308 5,4459 5,3249 5,1616 4,9796 4,8307 4,7552 4,7501 4,7878 4,8514 4,9416 5,0471 5,1257 5,1270 5,0202 4,8092 4,5182 4,1805 3,8388 3,5409 3,3163 3,1604 3,0471 2,9507 2,8538 2,7479 2,6264 2,4891 2,3486 2,2253 2,1328 2,0779 2,0649 2,0976 2,1799 2,3053 2,4493 2,5691 2,6180 2,5593 2,3743 2,0741 1,7060 1,3372 1,0234 0,7901 0,6380 0,5577 0,5353 0,5528 0,5936 0,6473 0,7118 0,7916 0,8953 1,0310 1,1924 1,3445 1,4328 1,4103 1,2657 1,0356 0,7805 0,5566 0,4029 0,3448 0,3928 0,5348 0,7397 0,9691 1,1861 1,3500 1,4154 1,3492 1,1480 0,8470 0,5214 0,2640 0,1453 0,1917 0,3884 0,6941 1,0409 1,3429 1,5219 1,5436 1,4208 1,1973 0,9204 0,6246 0,3316 0,0589 -0,1834 -0,4030 -0,6237 -0,8654 -1,1228 -1,3621 -1,5324 -1,5827 -1,4884 -1,2591 -0,9286 -0,5389 -0,1402 0,2109 0,4640 0,5983 0,6353 0,6253 0,6127 0,6155 0,6268 0,6384 0,6513 0,6671 0,6796 0,6696 0,6097 0,4787 0,2823 0,0555 -0,1546 -0,3092 -0,3850 -0,3787 -0,3013 -0,1692 0,0026 0,1905 0,3548 0,4556 0,4799 0,4561 0,4351 0,4522 0,5106 0,5983 0,7131 0,8620 1,0341 1,1937 1,3004 1,3354 1,3039 1,2266 1,1277 1,0254 0,9240 0,8141 0,6747 0,4779 0,2074 -0,1218 -0,4563 -0,7154 -0,8271 -0,7697 -0,5863 -0,3550 -0,1502 -0,0126 0,0487 0,0381 -0,0326 -0,1455 -0,2683 -0,3425 -0,3036 -0,1217 0,1669 0,4709 0,6959 0,7950 0,7797 0,6945 0,5840 0,4745 0,3641 0,2387 0,1001 -0,0091 -0,0281 0,0795 0,2965 0,5633 0,8165 1,0208 1,1717 1,2746 1,3247 1,3085 1,2145 1,0439 0,8156 0,5768 0,3967 0,3398 0,4264 0,6131 0,8104 0,9376 0,9625 0,9070 0,8249 0,7672 0,7508 0,7491 0,7130 0,6022 0,4010 0,1292 -0,1568 -0,3777 -0,4677 -0,4036 -0,2148 0,0319 0,2614 0,4207 0,4948 0,5083 0,5138 0,5607 0,6644 0,7912 0,8816 0,8903 0,8041 0,6357 0,4119 0,1705 -0,0430 -0,1913 -0,2650 -0,2838 -0,2802 -0,2840 -0,3172 -0,3943 -0,5142 -0,6540 -0,7762 -0,8505 -0,8584 -0,7865 -0,6263 -0,3877 -0,0957 0,2195 0,5233 0,7761 0,9314 0,9572 0,8643 0,7102 0,5730 0,5115 0,5363 0,6157 0,7059 0,7803 0,8313 0,8527 0,8338 0,7657 0,6474 0,4850 0,2860 0,0584 -0,1828 -0,4058 -0,5722 -0,6580 -0,6605 -0,5881 -0,4556 -0,2829 -0,0957 0,0785 0,2174 0,3143 0,3783 0,4235 0,4607 0,4903 0,5063 0,4973 0,4395 0,2977 0,0512 -0,2786 -0,6235 -0,8926 -1,0133 -0,9705 -0,8096 -0,6081 -0,4371 -0,3360 -0,3119 -0,3471 -0,4200 -0,5181 -0,6401 -0,7844 -0,9355 -1,0648 -1,1487 -1,1881 -1,2003 -1,1986 -1,1750 -1,1073 -0,9752 -0,7858 -0,5751 -0,3975 -0,3041 -0,3231 -0,4523 -0,6562 -0,8805 -1,0751 -1,2100 -1,2699 -1,2553 -1,1885 -1,1052 -1,0369 -0,9997 -1,0036 -1,0573 -1,1620 -1,2944 -1,4062 -1,4509 -1,4126 -1,3134 -1,1991 -1,1141 -1,0708 -1,0373 -0,9550 -0,7877 -0,5539 -0,3093 -0,1013 0,0537 0,1638 0,2519 0,3539 0,5037 0,7203 0,9912 1,2757 1,5197 1,6886 1,7855 1,8404 1,8846 1,9338 1,9983 2,0843 2,1966 2,3347 2,4933 2,6590 2,8147 2,9440 3,0402 3,0993 3,1182 3,1005 3,0604 3,0125 2,9606 2,9033 2,8453 2,8041 2,8003 2,8420 2,9129 2,9787 3,0093 2,9911 2,9203 2,8008 2,6498 2,5006 2,3869 2,3155 2,2626 2,1913 2,0735 1,8976 1,6673 1,3937 1,0937 0,7853 0,4868 0,2156 -0,0094 -0,1743 -0,2788 -0,3397 -0,3835 -0,4366 -0,5205 -0,6511 -0,8241 -1,0041 -1,1372 -1,1793 -1,1104 -0,9356 -0,6757 -0,3613 -0,0339 0,2603 0,4825 0,6065 0,6135 0,4930 0,2551 -0,0591 -0,3872 -0,6674 -0,8542 -0,9199 -0,8548 -0,6765 -0,4273 -0,1613 0,0731
