Fp1   8,6520 8,3862 7,7979 6,8947 5,7300 4,3876 2,9839 1,6313 0,3958 -0,6931 -1,5973 -2,2522 -2,5977 -2,6111 -2,3304 -1,8742 -1,4312 -1,2047 -1,3517 -1,9410 -2,9208 -4,1027 -5,2158 -6,0416 -6,5382 -6,8359 -7,1029 -7,4066 -7,6891 -7,8428 -7,8044 -7,5948 -7,2899 -6,9522 -6,5739 -6,0716 -5,3292 -4,2325 -2,7057 -0,7747 1,4232 3,7089 5,9197 7,9130 9,5741 10,8467 11,7612 12,4277 12,9765 13,4997 14,0538 14,6895 15,4281 16,2157 16,9329 17,4527 17,6743 17,5157 16,9065 15,8049 14,2261 12,2485 9,9812 7,5159 4,9079 2,1972 -0,5612 -3,2782 -5,8084 -7,9390 -9,4387 -10,1542 -10,0840 -9,3748 -8,2452 -6,8938 -5,4429 -3,9287 -2,3212 -0,5675 1,3463 3,3515 5,3133 7,0936 8,6047 9,8275 10,8037 11,6004 12,2503 12,7208 12,9576 12,9451 12,7145 12,3084 11,7349 10,9512 9,9035 8,5678 6,9447 5,0541 2,9427 0,6478 -1,8565 -4,6522 -7,8035 -11,2854 -14,9747 -18,6919 -22,2453 -25,4768 -28,2999 -30,6936 -32,6680 -34,2414 -35,4116 -36,1385 -36,3784 -36,1367 -35,4880 -34,5649 -33,5058 -32,3849 -31,1913 -29,8777 -28,4171 -26,8109 -25,0531 -23,1099 -20,9339 -18,4784 -15,7179 -12,6870 -9,4863 -6,2391 -3,0501 0,0163 2,9411 5,7259 8,3633 10,8316 13,1089 15,1826 17,0394 18,6624 20,0475 21,1997 22,1044 22,7339 23,0923 23,2392 23,2554 23,1965 23,0874 22,9575 22,8685 22,8837 23,0084 23,1622 23,1922 22,9245 22,2440 21,1506 19,7356 18,1229 16,4343 14,7620 13,1280 11,4879 9,7994 8,1066 6,5743 5,4132 4,7336 4,4718 4,4461 4,4706 4,4514 4,4222 4,4794 4,6707 4,9671 5,3240 5,7188 6,1287 6,5131 6,8182 6,9869 6,9823 6,8176 6,5268 6,0831 5,3954 4,4167 3,2264 1,9820 0,8017 -0,2902 -1,3289 -2,3675 -3,4540 -4,5881 -5,6895 -6,6446 -7,3930 -7,9575 -8,4019 -8,7958 -9,2074 -9,6849 -10,2358 -10,8378 -11,4761 -12,1739 -12,9805 -13,9197 -14,9517 -15,9979 -16,9859 -17,8634 -18,5763 -19,0408 -19,1498 -18,8417 -18,1701 -17,2758 -16,2741 -15,1742 -13,8903 -12,3206 -10,4430 -8,3396 -6,1241 -3,8819 -1,6870 0,3626 2,1559 3,6063 4,6727 5,3622 5,7302 5,8642 5,8528 5,7702 5,6587 5,4919 5,1740 4,6100 3,7733 2,7038 1,4620 0,0899 -1,3957 -2,9892 -4,6900 -6,4996 -8,4111 -10,4009 -12,4297 -14,4570 -16,4612 -18,4297 -20,3156 -22,0094 -23,3793 -24,3602 -24,9990 -25,4053 -25,6699 -25,8128 -25,7818 -25,5197 -25,0493 -24,4619 -23,8304 -23,1836 -22,5592 -22,0118 -21,5432 -21,0719 -20,4968 -19,7723 -18,9195 -17,9823 -16,9822 -15,9282 -14,8540 -13,8203 -12,8989 -12,1686 -11,6901 -11,4645 -11,4459 -11,5940 -11,8762 -12,2359 -12,6027 -12,9232 -13,1595 -13,2732 -13,2333 -13,0368 -12,7188 -12,3518 -12,0152 -11,7447 -11,5133 -11,2606 -10,9312 -10,5043 -10,0318 -9,6516 -9,5206 -9,7191 -10,2492 -11,1006 -12,2586 -13,6463 -15,0813 -16,2914 -17,0020 -17,0343 -16,3403 -14,9909 -13,1466 -11,0157 -8,8066 -6,6803 -4,7178 -2,9195 -1,2293 0,4087 1,9852 3,4136 4,5748 5,3745 5,7956 5,9204 5,8897 5,8308 5,8132 5,8412 5,8602 5,7792 5,5241 5,0681 4,3915 3,4575 2,2711 0,9229 -0,4530 -1,7354 -2,8289 -3,6618 -4,1839 -4,3610 -4,2153 -3,8747 -3,5303 -3,3281 -3,3248 -3,5343 -3,9628 -4,6011 -5,4324 -6,4360 -7,5575 -8,7031 -9,7739 -10,6707 -11,2711 -11,4391 -11,0688 -10,1271 -8,6849 -6,9095 -5,0031 -3,1181 -1,3100 0,4315 2,1077 3,6760 5,0790 6,2698 7,2118 7,8922 8,3409 8,5964 8,6551 8,4799 8,0458 7,3640 6,4909 5,5349 4,6297 3,8689 3,2715 2,8156 2,4760 2,2042 1,9199 1,5760 1,2104 0,9140 0,7718 0,8191 1,0086 1,2242 1,3572 1,3792 1,3435 1,3228 1,3664 1,5065 1,7485 2,0227 2,1781 2,0567 1,5764 0,7598 -0,2816 -1,3876 -2,3895 -3,1388 -3,5276 -3,5128 -3,1228 -2,4243 -1,4805 -0,3485 0,8947 2,1475 3,3168 4,3585 5,2734 6,0560 6,6664 7,0601 7,2360 7,2430 7,1255 6,8749 6,4531 5,8436 5,0430 4,0156 2,7056 1,1073 -0,7041 -2,5972 -4,4298 -6,0965 -7,5456 -8,7755 -9,8461 -10,8452 -11,7859 -12,5583 -13,0003 -12,9984 -12,5300 -11,6318 -10,3335 -8,6432 -6,6112 -4,3877 -2,1969 -0,2357 1,4103 2,7558 3,8483 4,7122 5,3106 5,5553 5,3915 4,8579 4,0188 2,8573 1,2759 -0,8178 -3,4564 -6,6013 -10,1221 -13,8053 -17,4165 -20,7583 -23,6807 -26,0601 -27,7923 -28,8245 -29,1889 -29,0082 -28,4678 -27,7505 -26,9726 -26,1819 -25,4153 -24,7520 -24,3060 -24,1730 -24,3841 -24,8891 -25,5643 -26,2530 -26,8278 -27,2325 -27,4670 -27,5323 -27,3903 -26,9679 -26,1861 -24,9984 -23,4237 -21,5433 -19,4499 -17,2074 -14,8677 -12,5019 -10,1940 -8,0204 -6,0442 -4,3083 -2,8177 -1,5411 -0,4513 0,4420 1,1080 1,5226 1,6624 1,5002 1,0281 0,2616 -0,7900 -2,1284 -3,7328 -5,5534 -7,5450 -9,6822 -11,9309 -14,2288 -16,4985 -18,6716 -20,6996 -22,5431 -24,1455 -25,4178 -26,2725 -26,6894 -26,7296 -26,4807 -26,0066 -25,3481 -24,5525 -23,6764 -22,7469 -21,7533 -20,7051 -19,6821 -18,8084 -18,1799 -17,8034 -17,5773 -17,3348 -16,9395 -16,3611 -15,6730 -14,9912 -14,4089 -13,9733 -13,6959 -13,5538 -13,4983 -13,5029 -13,5994 -13,8500 -14,2842 -14,8606 -15,4861 -16,0856 -16,6565 -17,2572 -17,9547 -18,7772 -19,6953 -20,6358 -21,5124 -22,2511 -22,8067 -23,1749 -23,3943 -23,5240 -23,5946 -23,5615 -23,3202 -22,7795 -21,9158 -20,7645 -19,3805 -17,8107 -16,0880 -14,2403
Fz    3,1447 2,9390 2,6027 2,1398 1,5735 0,9400 0,2908 -0,3226 -0,8648 -1,3115 -1,6326 -1,7929 -1,7772 -1,6043 -1,3223 -1,0022 -0,7254 -0,5638 -0,5673 -0,7551 -1,0998 -1,5175 -1,8923 -2,1327 -2,2240 -2,2296 -2,2323 -2,2646 -2,2939 -2,2665 -2,1603 -2,0026 -1,8490 -1,7456 -1,6968 -1,6605 -1,5630 -1,3190 -0,8677 -0,2177 0,5577 1,3790 2,1958 2,9739 3,6763 4,2687 4,7367 5,0947 5,3716 5,5923 5,7779 5,9536 6,1380 6,3226 6,4749 6,5646 6,5741 6,4864 6,2770 5,9261 5,4361 4,8295 4,1293 3,3467 2,4923 1,5927 0,6869 -0,1836 -0,9667 -1,5860 -1,9520 -1,9993 -1,7268 -1,2106 -0,5712 0,0814 0,6879 1,2491 1,8094 2,4203 3,0995 3,8150 4,5053 5,1125 5,6016 5,9624 6,2070 6,3581 6,4253 6,3939 6,2521 6,0128 5,7034 5,3482 4,9570 4,5159 3,9968 3,3791 2,6589 1,8499 0,9783 0,0617 -0,9111 -1,9714 -3,1401 -4,4054 -5,7220 -7,0218 -8,2279 -9,2752 -10,1346 -10,8183 -11,3621 -11,7996 -12,1397 -12,3614 -12,4353 -12,3480 -12,1127 -11,7699 -11,3696 -10,9363 -10,4554 -9,8977 -9,2489 -8,5151 -7,7052 -6,8145 -5,8258 -4,7175 -3,4771 -2,1207 -0,6974 0,7253 2,0842 3,3455 4,5157 5,6217 6,6778 7,6694 8,5668 9,3532 10,0359 10,6401 11,1982 11,7284 12,2187 12,6388 12,9725 13,2337 13,4490 13,6295 13,7703 13,8781 13,9883 14,1426 14,3492 14,5703 14,7391 14,7915 14,6990 14,4786 14,1674 13,7884 13,3423 12,8182 12,2016 11,4851 10,6822 9,8398 9,0434 8,3964 7,9686 7,7528 7,6664 7,5968 7,4616 7,2460 6,9823 6,6985 6,4020 6,1020 5,8135 5,5439 5,2978 5,0852 4,9111 4,7688 4,6529 4,5523 4,4207 4,1850 3,8063 3,3217 2,8196 2,3734 1,9988 1,6697 1,3539 1,0288 0,6831 0,3197 -0,0447 -0,3851 -0,6758 -0,8983 -1,0530 -1,1629 -1,2605 -1,3658 -1,4782 -1,5906 -1,7138 -1,8817 -2,1258 -2,4429 -2,7972 -3,1485 -3,4671 -3,7200 -3,8540 -3,8049 -3,5421 -3,1054 -2,5889 -2,0774 -1,5962 -1,1114 -0,5723 0,0363 0,6834 1,3311 1,9636 2,5778 3,1586 3,6723 4,0824 4,3675 4,5278 4,5838 4,5663 4,5057 4,4262 4,3406 4,2373 4,0773 3,8231 3,4699 3,0403 2,5515 1,9981 1,3662 0,6507 -0,1411 -0,9951 -1,8934 -2,8150 -3,7367 -4,6418 -5,5276 -6,3980 -7,2377 -7,9972 -8,6100 -9,0383 -9,3002 -9,4515 -9,5443 -9,5964 -9,5851 -9,4810 -9,2956 -9,0804 -8,8816 -8,7210 -8,6186 -8,5974 -8,6541 -8,7440 -8,8073 -8,8048 -8,7256 -8,5713 -8,3380 -8,0263 -7,6624 -7,2915 -6,9602 -6,7128 -6,5807 -6,5620 -6,6264 -6,7413 -6,8784 -7,0010 -7,0706 -7,0694 -7,0052 -6,8925 -6,7311 -6,5034 -6,1995 -5,8419 -5,4816 -5,1689 -4,9296 -4,7559 -4,6083 -4,4363 -4,2201 -3,9941 -3,8213 -3,7469 -3,7837 -3,9269 -4,1611 -4,4538 -4,7485 -4,9694 -5,0409 -4,9129 -4,5742 -4,0520 -3,3975 -2,6700 -1,9325 -1,2405 -0,6191 -0,0542 0,4920 1,0492 1,6103 2,1313 2,5576 2,8501 2,9959 3,0059 2,9070 2,7366 2,5354 2,3337 2,1385 1,9345 1,7056 1,4468 1,1446 0,7692 0,3062 -0,2144 -0,7306 -1,1803 -1,5150 -1,6981 -1,7044 -1,5288 -1,2156 -0,8709 -0,6191 -0,5331 -0,6132 -0,8223 -1,1201 -1,4718 -1,8512 -2,2392 -2,6192 -2,9815 -3,3278 -3,6524 -3,9170 -4,0528 -3,9884 -3,6813 -3,1438 -2,4458 -1,6819 -0,9224 -0,1931 0,5081 1,1860 1,8373 2,4491 2,9956 3,4404 3,7559 3,9400 4,0040 3,9481 3,7645 3,4571 3,0523 2,6006 2,1736 1,8476 1,6659 1,6118 1,6289 1,6668 1,6926 1,6760 1,5974 1,4671 1,3254 1,2290 1,2232 1,3093 1,4467 1,5926 1,7394 1,9129 2,1345 2,3982 2,6873 2,9804 3,2241 3,3305 3,2277 2,9052 2,4171 1,8557 1,3157 0,8649 0,5395 0,3565 0,3152 0,3890 0,5348 0,7185 0,9210 1,1254 1,3139 1,4798 1,6295 1,7672 1,8805 1,9473 1,9535 1,9007 1,8047 1,6862 1,5574 1,4237 1,2975 1,1930 1,1021 0,9870 0,8030 0,5251 0,1584 -0,2697 -0,7246 -1,1693 -1,5700 -1,9164 -2,2220 -2,4890 -2,6872 -2,7721 -2,7140 -2,5123 -2,1853 -1,7435 -1,1841 -0,5204 0,1927 0,8715 1,4498 1,9159 2,3001 2,6336 2,9206 3,1305 3,2150 3,1488 2,9487 2,6317 2,1680 1,4924 0,5555 -0,6491 -2,0854 -3,6787 -5,3224 -6,8988 -8,3064 -9,4752 -10,3635 -10,9521 -11,2476 -11,2830 -11,1115 -10,7988 -10,4093 -9,9917 -9,5808 -9,2090 -8,9136 -8,7321 -8,6934 -8,8095 -9,0652 -9,4071 -9,7509 -10,0191 -10,1783 -10,2366 -10,2084 -10,0859 -9,8404 -9,4405 -8,8745 -8,1648 -7,3570 -6,4889 -5,5726 -4,6126 -3,6295 -2,6577 -1,7308 -0,8786 -0,1298 0,4944 0,9963 1,4026 1,7443 2,0321 2,2490 2,3605 2,3420 2,1943 1,9283 1,5386 1,0059 0,3318 -0,4435 -1,2688 -2,1150 -2,9698 -3,8168 -4,6327 -5,3997 -6,1135 -6,7741 -7,3669 -7,8521 -8,1816 -8,3345 -8,3278 -8,1918 -7,9493 -7,6244 -7,2569 -6,8900 -6,5379 -6,1875 -5,8398 -5,5351 -5,3319 -5,2680 -5,3312 -5,4525 -5,5340 -5,4977 -5,3250 -5,0568 -4,7599 -4,4932 -4,2957 -4,1887 -4,1701 -4,2199 -4,3268 -4,5017 -4,7585 -5,0932 -5,4776 -5,8630 -6,1979 -6,4632 -6,6913 -6,9468 -7,2849 -7,7161 -8,1976 -8,6547 -9,0172 -9,2465 -9,3383 -9,3134 -9,2076 -9,0524 -8,8520 -8,5847 -8,2334 -7,8084 -7,3382 -6,8508 -6,3639 -5,8853 -5,4117
F3    3,3437 3,1122 2,7368 2,2266 1,6129 0,9417 0,2764 -0,3187 -0,8028 -1,1612 -1,3858 -1,4668 -1,4066 -1,2289 -0,9761 -0,7109 -0,5073 -0,4297 -0,5204 -0,7956 -1,2307 -1,7442 -2,2143 -2,5379 -2,6897 -2,7268 -2,7295 -2,7359 -2,7283 -2,6721 -2,5618 -2,4337 -2,3423 -2,3193 -2,3439 -2,3448 -2,2253 -1,8909 -1,2849 -0,4303 0,5772 1,6279 2,6396 3,5544 4,3320 4,9573 5,4479 5,8441 6,1835 6,4835 6,7509 6,9950 7,2212 7,4142 7,5448 7,5928 7,5536 7,4217 7,1767 6,7894 6,2413 5,5337 4,6793 3,6976 2,6266 1,5271 0,4627 -0,5196 -1,3788 -2,0564 -2,4775 -2,5849 -2,3753 -1,9095 -1,2847 -0,5906 0,1222 0,8466 1,6040 2,4169 3,2802 4,1492 4,9570 5,6452 6,1819 6,5664 6,8259 6,9979 7,0950 7,0907 6,9534 6,6854 6,3225 5,9115 5,4866 5,0503 4,5782 4,0402 3,4121 2,6802 1,8412 0,8869 -0,2060 -1,4589 -2,8662 -4,3870 -5,9543 -7,4928 -8,9304 -10,2086 -11,2952 -12,1882 -12,9043 -13,4617 -13,8612 -14,0816 -14,1000 -13,9160 -13,5613 -13,0978 -12,5962 -12,0992 -11,6041 -11,0793 -10,4896 -9,8079 -9,0138 -8,0918 -7,0349 -5,8409 -4,5122 -3,0689 -1,5562 -0,0324 1,4489 2,8586 4,1996 5,4852 6,7096 7,8423 8,8497 9,7214 10,4746 11,1417 11,7592 12,3473 12,8923 13,3572 13,7170 13,9797 14,1703 14,3022 14,3765 14,4112 14,4575 14,5725 14,7750 15,0277 15,2518 15,3646 15,3224 15,1354 14,8396 14,4595 13,9991 13,4527 12,8088 12,0584 11,2113 10,3141 9,4543 8,7348 8,2210 7,9045 7,7130 7,5540 7,3679 7,1573 6,9591 6,7898 6,6339 6,4772 6,3223 6,1788 6,0616 5,9921 5,9824 6,0212 6,0832 6,1291 6,0891 5,8789 5,4577 4,8658 4,1993 3,5475 2,9539 2,4220 1,9364 1,4746 1,0198 0,5756 0,1640 -0,1933 -0,4840 -0,7048 -0,8674 -1,0050 -1,1588 -1,3572 -1,6060 -1,8971 -2,2274 -2,6064 -3,0357 -3,4856 -3,9049 -4,2520 -4,5122 -4,6838 -4,7509 -4,6748 -4,4264 -4,0256 -3,5346 -3,0074 -2,4514 -1,8320 -1,1121 -0,2971 0,5619 1,4120 2,2300 3,0104 3,7370 4,3744 4,8810 5,2273 5,4100 5,4577 5,4222 5,3581 5,3059 5,2767 5,2403 5,1375 4,9214 4,5856 4,1515 3,6342 3,0268 2,3146 1,4971 0,5908 -0,3789 -1,3842 -2,3968 -3,3909 -4,3518 -5,2837 -6,1994 -7,0935 -7,9219 -8,6127 -9,1117 -9,4180 -9,5722 -9,6211 -9,5898 -9,4761 -9,2761 -9,0230 -8,7795 -8,5904 -8,4661 -8,4097 -8,4269 -8,5001 -8,5786 -8,6080 -8,5603 -8,4375 -8,2529 -8,0125 -7,7191 -7,3897 -7,0538 -6,7413 -6,4850 -6,3151 -6,2398 -6,2448 -6,3111 -6,4162 -6,5205 -6,5785 -6,5655 -6,4859 -6,3560 -6,1845 -5,9695 -5,7148 -5,4450 -5,1991 -5,0053 -4,8656 -4,7561 -4,6328 -4,4509 -4,2014 -3,9338 -3,7266 -3,6340 -3,6686 -3,8221 -4,0796 -4,4121 -4,7641 -5,0542 -5,1965 -5,1283 -4,8272 -4,3142 -3,6418 -2,8768 -2,0882 -1,3322 -0,6315 0,0295 0,6896 1,3726 2,0518 2,6553 3,1106 3,3842 3,4927 3,4879 3,4284 3,3561 3,2874 3,2159 3,1164 2,9536 2,7066 2,3819 1,9885 1,5189 0,9736 0,3905 -0,1693 -0,6520 -1,0190 -1,2448 -1,3133 -1,2214 -1,0048 -0,7577 -0,5938 -0,5786 -0,7101 -0,9552 -1,2815 -1,6607 -2,0682 -2,4810 -2,8753 -3,2348 -3,5609 -3,8556 -4,0933 -4,2170 -4,1615 -3,8826 -3,3842 -2,7241 -1,9836 -1,2228 -0,4598 0,3110 1,0898 1,8582 2,5821 3,2206 3,7352 4,1060 4,3395 4,4511 4,4406 4,2971 4,0185 3,6217 3,1479 2,6683 2,2695 2,0100 1,8875 1,8564 1,8694 1,8876 1,8726 1,8027 1,6922 1,5836 1,5274 1,5595 1,6749 1,8294 1,9769 2,1070 2,2459 2,4219 2,6395 2,8887 3,1513 3,3788 3,4895 3,4112 3,1210 2,6516 2,0768 1,4886 0,9693 0,5809 0,3646 0,3311 0,4504 0,6712 0,9533 1,2740 1,6116 1,9411 2,2476 2,5311 2,7921 3,0147 3,1712 3,2413 3,2249 3,1375 2,9941 2,7951 2,5382 2,2429 1,9438 1,6556 1,3603 1,0305 0,6539 0,2388 -0,1933 -0,6190 -1,0154 -1,3664 -1,6804 -1,9860 -2,2887 -2,5471 -2,6942 -2,6778 -2,4862 -2,1407 -1,6626 -1,0603 -0,3517 0,4119 1,1532 1,8084 2,3592 2,8245 3,2289 3,5798 3,8559 4,0135 4,0245 3,9004 3,6544 3,2496 2,6092 1,6706 0,4159 -1,1276 -2,8880 -4,7544 -6,5990 -8,3019 -9,7613 -10,8941 -11,6458 -12,0095 -12,0318 -11,7977 -11,4090 -10,9585 -10,5107 -10,1041 -9,7664 -9,5240 -9,3996 -9,4080 -9,5530 -9,8191 -10,1583 -10,4957 -10,7641 -10,9363 -11,0184 -11,0127 -10,8941 -10,6190 -10,1528 -9,4912 -8,6697 -7,7504 -6,7895 -5,8135 -4,8272 -3,8375 -2,8590 -1,9075 -1,0012 -0,1635 0,5853 1,2395 1,8057 2,2863 2,6697 2,9305 3,0341 2,9522 2,6835 2,2490 1,6667 0,9462 0,1118 -0,7879 -1,7054 -2,6167 -3,5142 -4,3911 -5,2411 -6,0630 -6,8565 -7,6112 -8,2961 -8,8587 -9,2471 -9,4417 -9,4585 -9,3253 -9,0668 -8,7147 -8,3200 -7,9367 -7,5852 -7,2473 -6,9076 -6,5904 -6,3497 -6,2274 -6,2156 -6,2466 -6,2247 -6,0805 -5,8098 -5,4668 -5,1234 -4,8336 -4,6281 -4,5216 -4,5094 -4,5664 -4,6708 -4,8250 -5,0430 -5,3272 -5,6597 -6,0075 -6,3397 -6,6480 -6,9543 -7,2961 -7,6993 -8,1579 -8,6308 -9,0564 -9,3785 -9,5661 -9,6179 -9,5585 -9,4303 -9,2743 -9,0999 -8,8795 -8,5789 -8,1852 -7,7059 -7,1580 -6,5628 -5,9411 -5,3068
F7    3,9361 3,8363 3,5678 3,1467 2,6157 2,0154 1,3864 0,7726 0,2107 -0,2763 -0,6691 -0,9448 -1,0863 -1,0919 -0,9797 -0,7968 -0,6172 -0,5215 -0,5710 -0,7930 -1,1740 -1,6531 -2,1316 -2,5206 -2,7962 -3,0025 -3,1948 -3,3819 -3,5218 -3,5647 -3,5008 -3,3758 -3,2636 -3,2135 -3,2074 -3,1612 -2,9676 -2,5351 -1,8124 -0,8210 0,3370 1,5279 2,6424 3,6136 4,4112 5,0331 5,5054 5,8792 6,2043 6,5052 6,7888 7,0651 7,3420 7,6040 7,8143 7,9373 7,9506 7,8356 7,5676 7,1202 6,4792 5,6461 4,6334 3,4694 2,2070 0,9141 -0,3467 -1,5252 -2,5648 -3,3858 -3,9014 -4,0647 -3,9028 -3,5060 -2,9817 -2,4035 -1,7861 -1,1019 -0,3192 0,5694 1,5339 2,5083 3,4106 4,1737 4,7696 5,2172 5,5697 5,8819 6,1677 6,3867 6,4821 6,4299 6,2489 5,9737 5,6202 5,1761 4,6240 3,9612 3,1933 2,3257 1,3629 0,3005 -0,8824 -2,2107 -3,6896 -5,2919 -6,9567 -8,6027 -10,1455 -11,5180 -12,6884 -13,6633 -14,4732 -15,1491 -15,6943 -16,0727 -16,2365 -16,1624 -15,8686 -15,4123 -14,8684 -14,2915 -13,6964 -13,0664 -12,3732 -11,5909 -10,6982 -9,6805 -8,5350 -7,2676 -5,8923 -4,4417 -2,9658 -1,5099 -0,0978 1,2736 2,6270 3,9815 5,3303 6,6368 7,8517 8,9349 9,8663 10,6468 11,2976 11,8418 12,2830 12,6099 12,8203 12,9336 12,9791 12,9777 12,9434 12,9064 12,9214 13,0397 13,2696 13,5615 13,8215 13,9463 13,8677 13,5746 13,0964 12,4813 11,7917 11,0927 10,4200 9,7657 9,1020 8,4266 7,7884 7,2609 6,8840 6,6338 6,4455 6,2598 6,0588 5,8769 5,7668 5,7473 5,7923 5,8617 5,9264 5,9704 5,9888 5,9892 5,9883 5,9976 6,0113 5,9985 5,8948 5,6201 5,1326 4,4645 3,6997 2,9224 2,1885 1,5234 0,9225 0,3552 -0,2087 -0,7658 -1,2772 -1,6981 -2,0008 -2,1811 -2,2665 -2,3165 -2,3984 -2,5573 -2,8080 -3,1479 -3,5773 -4,1037 -4,7210 -5,3875 -6,0323 -6,5827 -6,9887 -7,2295 -7,2997 -7,1939 -6,9197 -6,5226 -6,0702 -5,5967 -5,0754 -4,4432 -3,6476 -2,6880 -1,6236 -0,5381 0,5018 1,4538 2,2892 2,9896 3,5489 3,9676 4,2452 4,3837 4,3962 4,3101 4,1645 3,9913 3,7891 3,5264 3,1771 2,7438 2,2447 1,6932 1,0899 0,4280 -0,2996 -1,0969 -1,9625 -2,8829 -3,8300 -4,7717 -5,6920 -6,6037 -7,5318 -8,4734 -9,3689 -10,1244 -10,6749 -11,0227 -11,2179 -11,3178 -11,3561 -11,3307 -11,2299 -11,0731 -10,9039 -10,7479 -10,6032 -10,4722 -10,3692 -10,2912 -10,2042 -10,0675 -9,8633 -9,6020 -9,3033 -8,9727 -8,6057 -8,2075 -7,7981 -7,4067 -7,0666 -6,8021 -6,6181 -6,5141 -6,5025 -6,5925 -6,7631 -6,9670 -7,1555 -7,2909 -7,3423 -7,2880 -7,1313 -6,9071 -6,6703 -6,4712 -6,3253 -6,2036 -6,0520 -5,8149 -5,4602 -5,0133 -4,5673 -4,2355 -4,0854 -4,1287 -4,3557 -4,7490 -5,2691 -5,8427 -6,3662 -6,7288 -6,8457 -6,6784 -6,2394 -5,5796 -4,7658 -3,8654 -2,9425 -2,0530 -1,2311 -0,4753 0,2352 0,8989 1,4784 1,9246 2,2089 2,3454 2,3903 2,4108 2,4483 2,5070 2,5652 2,5844 2,5189 2,3397 2,0461 1,6435 1,1343 0,5450 -0,0620 -0,6243 -1,1126 -1,5245 -1,8624 -2,1157 -2,2543 -2,2628 -2,1807 -2,0875 -2,0446 -2,0715 -2,1680 -2,3357 -2,5789 -2,9003 -3,2940 -3,7368 -4,1951 -4,6421 -5,0528 -5,3843 -5,5754 -5,5656 -5,3171 -4,8352 -4,1760 -3,4260 -2,6606 -1,9113 -1,1707 -0,4257 0,3150 1,0216 1,6519 2,1604 2,5228 2,7581 2,9040 2,9689 2,9251 2,7395 2,3964 1,9156 1,3693 0,8652 0,4887 0,2609 0,1537 0,1264 0,1345 0,1265 0,0675 -0,0372 -0,1524 -0,2359 -0,2570 -0,2158 -0,1441 -0,0730 -0,0017 0,0986 0,2553 0,4712 0,7267 0,9839 1,1802 1,2372 1,0966 0,7487 0,2280 -0,4022 -1,0630 -1,6687 -2,1313 -2,3718 -2,3499 -2,0834 -1,6286 -1,0474 -0,3982 0,2546 0,8410 1,3059 1,6330 1,8433 1,9654 2,0136 1,9939 1,9214 1,8246 1,7240 1,6101 1,4540 1,2411 0,9749 0,6497 0,2461 -0,2430 -0,7991 -1,3840 -1,9515 -2,4675 -2,9232 -3,3306 -3,7177 -4,1100 -4,4948 -4,8061 -4,9576 -4,8904 -4,5987 -4,1179 -3,4891 -2,7402 -1,9061 -1,0545 -0,2759 0,3661 0,8751 1,3036 1,7025 2,0859 2,4187 2,6339 2,6845 2,5784 2,3359 1,9252 1,2687 0,3080 -0,9592 -2,4928 -4,2238 -6,0538 -7,8674 -9,5530 -11,0172 -12,1861 -13,0064 -13,4582 -13,5729 -13,4407 -13,1909 -12,9394 -12,7410 -12,5948 -12,4843 -12,4077 -12,3821 -12,4336 -12,5836 -12,8291 -13,1307 -13,4232 -13,6489 -13,7834 -13,8297 -13,7902 -13,6500 -13,3792 -12,9448 -12,3328 -11,5670 -10,7032 -9,7955 -8,8653 -7,9023 -6,8896 -5,8208 -4,7062 -3,5813 -2,5021 -1,5203 -0,6656 0,0480 0,6110 1,0220 1,2878 1,4033 1,3405 1,0707 0,5867 -0,1012 -0,9682 -1,9657 -3,0300 -4,1116 -5,1856 -6,2344 -7,2367 -8,1769 -9,0573 -9,8923 -10,6885 -11,4230 -12,0386 -12,4710 -12,6858 -12,6896 -12,5149 -12,2052 -11,8100 -11,3822 -10,9647 -10,5656 -10,1582 -9,7202 -9,2727 -8,8758 -8,5882 -8,4292 -8,3664 -8,3299 -8,2482 -8,0894 -7,8741 -7,6475 -7,4432 -7,2765 -7,1592 -7,0957 -7,0719 -7,0716 -7,1017 -7,1887 -7,3538 -7,5913 -7,8671 -8,1423 -8,4050 -8,6800 -9,0103 -9,4297 -9,9409 -10,5078 -11,0627 -11,5267 -11,8372 -11,9713 -11,9551 -11,8483 -11,7087 -11,5567 -11,3708 -11,1171 -10,7768 -10,3445 -9,8151 -9,1821 -8,4413 -7,5969
