Fp1   0,6780 0,0186 -0,5498 -0,9463 -1,1165 -1,0284 -0,6813 -0,1224 0,5451 1,1877 1,6943 2,0103 2,1264 2,0482 1,7873 1,3895 0,9554 0,5948 0,3475 0,1625 -0,0390 -0,2836 -0,5211 -0,6627 -0,6374 -0,4308 -0,1019 0,2254 0,4115 0,3893 0,2142 0,0129 -0,1150 -0,1461 -0,1058 -0,0113 0,1482 0,3874 0,6984 1,0366 1,3111 1,3890 1,1350 0,4823 -0,5087 -1,6521 -2,7036 -3,4561 -3,8079 -3,7595 -3,3691 -2,7192 -1,8994 -1,0008 -0,1175 0,6730 1,3381 1,8735 2,2412 2,3520 2,1352 1,6160 0,9188 0,1968 -0,4442 -0,9588 -1,3274 -1,5408 -1,6069 -1,5429 -1,3640 -1,0949 -0,7678 -0,3918 0,0589 0,5980 1,1632 1,6026 1,7372 1,4583 0,7916 -0,1108 -1,0333 -1,7768 -2,2325 -2,4215 -2,4593 -2,4621 -2,4672 -2,4365 -2,3342 -2,1894 -2,0740 -2,0209 -1,9726 -1,8240 -1,5154 -1,0703 -0,5465 0,0094 0,5338 0,9001 0,9577 0,6444 0,0705 -0,5147 -0,8685 -0,9051 -0,7310 -0,5405 -0,4682 -0,5264 -0,6450 -0,7328 -0,7321 -0,6652 -0,6257 -0,6967 -0,8842 -1,1334 -1,3889 -1,6141 -1,7537 -1,7089 -1,3800 -0,7353 0,1721 1,2383 2,3547 3,4385 4,4266 5,2374 5,7545 5,8694 5,5492 4,8631 3,9508 2,9599 1,9996 1,1429 0,4732 0,1193 0,2263 0,8784 2,0245 3,4574 4,8798 6,0270 6,7480 6,9944 6,7719 6,1301 5,1768 4,0674 2,9694 2,0419 1,4262 1,2265 1,4768 2,1097 2,9554 3,7989 4,4655 4,8635 4,9664 4,7802 4,3191 3,5974 2,6423 1,5207 0,3705 -0,5899 -1,1299 -1,1345 -0,6555 0,1587 1,1441 2,1452 3,0309 3,7180 4,1637 4,3290 4,1757 3,7137 3,0248 2,2162 1,3695 0,5401 -0,2088 -0,7794 -1,0718 -1,0720 -0,8811 -0,6399 -0,4562 -0,3967 -0,4870 -0,6911 -0,9131 -1,0432 -1,0142 -0,8339 -0,5739 -0,3293 -0,1847 -0,1972 -0,3742 -0,6572 -0,9462 -1,1631 -1,2965 -1,3842 -1,4673 -1,5749 -1,7277 -1,9355 -2,1834 -2,4215 -2,5784 -2,5894 -2,4139 -2,0412 -1,5015 -0,8651 -0,2118 0,3904 0,8782 1,1864 1,2588 1,0716 0,6588 0,1252 -0,3866 -0,7739 -1,0380 -1,2720 -1,5836 -2,0042 -2,4354 -2,6832 -2,5862 -2,1267 -1,4086 -0,5533 0,3532 1,2365 1,9947 2,5071 2,6921 2,5508 2,1515 1,5921 0,9746 0,3966 -0,0489 -0,2962 -0,3569 -0,3341 -0,3616 -0,5127 -0,7501 -0,9456 -0,9502 -0,6712 -0,1206 0,5930 1,3274 1,9732 2,4645 2,7451 2,7433 2,3917 1,6805 0,6910 -0,4252 -1,5004 -2,3965 -3,0174 -3,2999 -3,2028 -2,6999 -1,7895 -0,5321 0,9059 2,2552 3,2165 3,5652 3,2252 2,2715 0,8809 -0,7114 -2,2224 -3,3585 -3,9007 -3,7701 -3,0267 -1,8335 -0,4317 0,8878 1,8617 2,3549 2,3880 2,0755 1,5512 0,9284 0,2862 -0,3197 -0,8329 -1,1979 -1,3835 -1,3756 -1,1464 -0,6820 -0,0601 0,5343 0,8966 0,9155 0,6212 0,1569 -0,3040 -0,6519 -0,8808 -1,0407 -1,1406 -1,1088 -0,8574 -0,3644 0,3097 1,0618 1,8023 2,4760 3,0209 3,3373 3,3353 2,9990 2,3951 1,6499 0,9179 0,3294 -0,0553 -0,2479 -0,2959 -0,2310 -0,0329 0,3583 0,9759 1,7500 2,4916 2,9710 3,0272 2,6170 1,8029 0,7313 -0,3909 -1,3481 -1,9879 -2,2601 -2,1997 -1,8777 -1,3591 -0,6982 0,0353 0,7377 1,2984 1,6570 1,8180 1,8186 1,7030 1,5153 1,3063 1,1307 1,0080 0,8915 0,7011 0,3849 -0,0540 -0,5593 -1,0255 -1,3156 -1,3113 -0,9841 -0,4331 0,1586 0,6267 0,8889 0,9262 0,7507 0,4065 -0,0216 -0,4175 -0,6601 -0,6731 -0,4739 -0,1805 0,0366 0,0297 -0,2626 -0,7918 -1,4269 -2,0034 -2,3611 -2,3820 -2,0431 -1,4436 -0,7731 -0,2394 0,0067 -0,0779 -0,4107 -0,8068 -1,0549 -1,0112 -0,6560 -0,0872 0,5342 1,0559 1,3878 1,5069 1,4226 1,1428 0,6769 0,0564 -0,6746 -1,4916 -2,3893 -3,3276 -4,1740 -4,7106 -4,7326 -4,1760 -3,1771 -2,0242 -1,0336 -0,4307 -0,2951 -0,5613 -1,0542 -1,5637 -1,9407 -2,1415 -2,1999 -2,1751 -2,1035 -1,9616 -1,6810 -1,2109 -0,5676 0,1545 0,8047 1,2326 1,3545 1,1806 0,7936 0,3148 -0,1224 -0,4080 -0,4904 -0,3750 -0,0896 0,3274 0,8064 1,2356 1,4725 1,3805 0,9033 0,1311 -0,7227 -1,4283 -1,8292 -1,8704 -1,5995 -1,1529 -0,7087 -0,4231 -0,3883 -0,6016 -0,9321 -1,1514 -1,0601 -0,6236 0,0004 0,5620 0,8665 0,8615 0,6166 0,2348 -0,2223 -0,7381 -1,2895 -1,8141 -2,2508 -2,6062 -2,9332 -3,2402 -3,4758 -3,6054 -3,6510 -3,6544 -3,6372 -3,5949 -3,4902 -3,2347 -2,7076 -1,8200 -0,5690 0,9599 2,6160 4,1980 5,4848 6,2973 6,5441 6,2311 5,4602 4,4008 3,2358 2,1334 1,2492 0,7072 0,5459 0,6795 0,9359 1,1615 1,2933 1,3444 1,3489 1,3181 1,2151 0,9743 0,5540 -0,0350 -0,7261 -1,3865 -1,8251 -1,8615 -1,4271 -0,6151 0,3529 1,2044 1,7021 1,7327 1,3524 0,7399 0,0875 -0,4845 -0,9520 -1,3649 -1,7974 -2,2779 -2,7394 -3,0261 -2,9593 -2,4417 -1,5516 -0,5553 0,1993 0,4570 0,1700 -0,5226 -1,3959 -2,2250 -2,8238 -3,0564 -2,8503 -2,2142 -1,2542 -0,1754 0,7641 1,3417 1,4369 1,0456 0,2594 -0,7745 -1,8982 -2,9666 -3,8507 -4,4489 -4,7137 -4,6633 -4,3557 -3,8498 -3,2077 -2,5213 -1,8884 -1,3416 -0,8247 -0,2662 0,3148 0,7813 0,9561 0,7153 0,0281 -1,0406 -2,3373 -3,6313 -4,6396 -5,0915 -4,8338 -3,9163 -2,5798 -1,1298
Fz    1,7610 1,8059 1,6795 1,3826 0,9789 0,5677 0,2395 0,0401 -0,0315 0,0034 0,1340 0,3719 0,7335 1,2042 1,7139 2,1513 2,4156 2,4649 2,3289 2,0851 1,8187 1,5835 1,3841 1,1853 0,9431 0,6440 0,3159 0,0072 -0,2398 -0,4107 -0,5355 -0,6742 -0,8720 -1,1246 -1,3856 -1,6025 -1,7555 -1,8653 -1,9612 -2,0488 -2,1147 -2,1447 -2,1337 -2,0860 -2,0057 -1,8818 -1,6938 -1,4345 -1,1271 -0,8144 -0,5300 -0,2791 -0,0550 0,1263 0,2221 0,2014 0,0840 -0,0683 -0,1986 -0,2794 -0,2937 -0,2201 -0,0476 0,2036 0,4784 0,7031 0,8205 0,8225 0,7554 0,6868 0,6614 0,6850 0,7385 0,7974 0,8369 0,8340 0,7757 0,6572 0,4709 0,2161 -0,0876 -0,4162 -0,7624 -1,1244 -1,4905 -1,8459 -2,1862 -2,5145 -2,8318 -3,1271 -3,3674 -3,5007 -3,4833 -3,3122 -3,0367 -2,7413 -2,5043 -2,3582 -2,2836 -2,2389 -2,1892 -2,1120 -2,0031 -1,8967 -1,8575 -1,9292 -2,0908 -2,2667 -2,3725 -2,3510 -2,1826 -1,8837 -1,5036 -1,1118 -0,7664 -0,4896 -0,2704 -0,0906 0,0569 0,1705 0,2509 0,3075 0,3608 0,4423 0,5850 0,8053 1,0885 1,3883 1,6440 1,8124 1,8966 1,9417 2,0059 2,1340 2,3484 2,6519 3,0299 3,4601 3,9269 4,4129 4,8762 5,2457 5,4388 5,3944 5,1081 4,6460 4,1275 3,6800 3,3919 3,2888 3,3417 3,4923 3,6836 3,8845 4,0930 4,3118 4,5208 4,6763 4,7327 4,6621 4,4614 4,1516 3,7768 3,4057 3,1216 2,9966 3,0672 3,3298 3,7497 4,2671 4,8008 5,2647 5,5921 5,7511 5,7416 5,5853 5,3203 4,9925 4,6465 4,3166 4,0227 3,7740 3,5646 3,3625 3,1180 2,7983 2,4166 2,0234 1,6653 1,3531 1,0703 0,8032 0,5586 0,3553 0,2033 0,0916 -0,0063 -0,1143 -0,2413 -0,3863 -0,5506 -0,7395 -0,9502 -1,1622 -1,3452 -1,4731 -1,5276 -1,4995 -1,3979 -1,2542 -1,1138 -1,0244 -1,0286 -1,1499 -1,3734 -1,6501 -1,9314 -2,1911 -2,4082 -2,5475 -2,5762 -2,4938 -2,3308 -2,1185 -1,8744 -1,6134 -1,3574 -1,1318 -0,9608 -0,8655 -0,8529 -0,9034 -0,9783 -1,0380 -1,0571 -1,0268 -0,9489 -0,8289 -0,6782 -0,5149 -0,3506 -0,1822 -0,0019 0,1881 0,3728 0,5307 0,6427 0,6977 0,6938 0,6404 0,5602 0,4819 0,4230 0,3815 0,3432 0,2978 0,2487 0,2144 0,2235 0,2927 0,4052 0,5150 0,5759 0,5704 0,5243 0,4975 0,5501 0,7011 0,9175 1,1446 1,3488 1,5308 1,7055 1,8785 2,0467 2,2095 2,3686 2,5190 2,6454 2,7200 2,7019 2,5523 2,2601 1,8568 1,4072 0,9860 0,6589 0,4689 0,4267 0,5127 0,6918 0,9234 1,1565 1,3308 1,4013 1,3611 1,2394 1,0838 0,9427 0,8601 0,8736 0,9996 1,2143 1,4594 1,6671 1,7841 1,7877 1,6965 1,5660 1,4613 1,4185 1,4266 1,4500 1,4647 1,4695 1,4775 1,4998 1,5343 1,5773 1,6438 1,7619 1,9473 2,1918 2,4728 2,7674 3,0528 3,2948 3,4477 3,4750 3,3746 3,1765 2,9204 2,6426 2,3681 2,1010 1,8362 1,5857 1,3823 1,2580 1,2255 1,2767 1,3919 1,5458 1,7059 1,8384 1,9240 1,9621 1,9620 1,9387 1,9238 1,9643 2,0980 2,3264 2,6055 2,8626 3,0284 3,0699 3,0060 2,8993 2,8212 2,8053 2,8351 2,8701 2,8711 2,8124 2,6922 2,5358 2,3753 2,2195 2,0525 1,8642 1,6704 1,5019 1,3820 1,3138 1,2828 1,2720 1,2756 1,3052 1,3883 1,5547 1,8202 2,1750 2,5821 2,9858 3,3292 3,5692 3,6804 3,6529 3,4976 3,2465 2,9430 2,6317 2,3534 2,1378 1,9928 1,9019 1,8342 1,7624 1,6790 1,5963 1,5228 1,4405 1,3124 1,1141 0,8657 0,6263 0,4437 0,3174 0,2216 0,1460 0,0981 0,0781 0,0731 0,0731 0,0822 0,1096 0,1533 0,1985 0,2266 0,2196 0,1549 0,0065 -0,2345 -0,5487 -0,9046 -1,2775 -1,6512 -2,0114 -2,3387 -2,6121 -2,8193 -2,9584 -3,0299 -3,0323 -2,9682 -2,8558 -2,7343 -2,6487 -2,6220 -2,6398 -2,6622 -2,6515 -2,5956 -2,5037 -2,3781 -2,1951 -1,9152 -1,5079 -0,9727 -0,3475 0,2994 0,8934 1,3775 1,7212 1,9104 1,9329 1,7822 1,4712 1,0317 0,4997 -0,0859 -0,6749 -1,2086 -1,6422 -1,9664 -2,2000 -2,3667 -2,4820 -2,5473 -2,5456 -2,4453 -2,2135 -1,8401 -1,3589 -0,8399 -0,3479 0,0959 0,5103 0,9205 1,3265 1,6897 1,9471 2,0513 2,0031 1,8530 1,6755 1,5281 1,4239 1,3315 1,1943 0,9622 0,6201 0,1917 -0,2759 -0,7194 -1,0587 -1,2157 -1,1454 -0,8542 -0,3940 0,1540 0,7020 1,1860 1,5859 1,9178 2,2073 2,4642 2,6796 2,8461 2,9760 3,0940 3,2119 3,3098 3,3412 3,2670 3,0828 2,8060 2,4489 2,0225 1,5559 1,0915 0,6652 0,2945 -0,0185 -0,2812 -0,5138 -0,7462 -1,0003 -1,2746 -1,5498 -1,8011 -1,9962 -2,0924 -2,0573 -1,9027 -1,6861 -1,4723 -1,2985 -1,1782 -1,1175 -1,1193 -1,1778 -1,2811 -1,4188 -1,5848 -1,7749 -1,9834 -2,2012 -2,4153 -2,6171 -2,8062 -2,9821 -3,1389 -3,2684 -3,3582 -3,3868 -3,3287 -3,1715 -2,9252 -2,6110 -2,2452 -1,8418 -1,4297 -1,0578 -0,7732 -0,5969 -0,5241 -0,5431 -0,6483 -0,8341 -1,0787 -1,3359 -1,5418 -1,6330 -1,5628 -1,3170 -0,9285 -0,4739 -0,0468 0,2728 0,4437 0,4799 0,4411 0,3988 0,3949 0,4172 0,4044 0,2916 0,0670 -0,2108 -0,4450 -0,5488 -0,4792 -0,2547 0,0503 0,3323 0,5077 0,5602 0,5425
F3    2,1478 2,6526 2,9121 2,8986 2,6010 2,0403 1,2915 0,4711 -0,2921 -0,8763 -1,1752 -1,1140 -0,6765 0,0664 0,9522 1,7672 2,3228 2,5388 2,4780 2,2988 2,1561 2,1206 2,1612 2,1816 2,0788 1,7991 1,3627 0,8439 0,3291 -0,1292 -0,5393 -0,9459 -1,3760 -1,8151 -2,2252 -2,5742 -2,8474 -3,0405 -3,1574 -3,2140 -3,2285 -3,1976 -3,0861 -2,8490 -2,4607 -1,9305 -1,3052 -0,6612 -0,0883 0,3330 0,5617 0,6123 0,5260 0,3180 -0,0318 -0,5235 -1,0922 -1,6286 -2,0312 -2,2289 -2,1762 -1,8664 -1,3571 -0,7575 -0,1816 0,2811 0,5749 0,6960 0,6977 0,6464 0,5610 0,3978 0,0953 -0,3692 -0,9580 -1,5939 -2,1768 -2,5923 -2,7473 -2,6167 -2,2509 -1,7541 -1,2643 -0,9202 -0,8169 -0,9806 -1,3697 -1,8944 -2,4506 -2,9511 -3,3326 -3,5478 -3,5690 -3,4075 -3,1321 -2,8522 -2,6622 -2,5956 -2,6257 -2,6880 -2,7010 -2,5920 -2,3412 -2,0176 -1,7615 -1,7007 -1,8579 -2,1282 -2,3488 -2,4048 -2,2813 -2,0327 -1,7286 -1,4197 -1,1196 -0,8052 -0,4483 -0,0568 0,3195 0,6220 0,8171 0,9081 0,9230 0,8910 0,8264 0,7337 0,6173 0,4839 0,3428 0,2121 0,1332 0,1754 0,4144 0,8985 1,6321 2,5751 3,6443 4,7289 5,7248 6,5550 7,1510 7,4264 7,2883 6,6910 5,6880 4,4439 3,1906 2,1445 1,4396 1,1140 1,1299 1,3974 1,8064 2,2734 2,7613 3,2437 3,6651 3,9509 4,0526 3,9727 3,7503 3,4278 3,0395 2,6364 2,3077 2,1582 2,2620 2,6328 3,2174 3,9101 4,5883 5,1467 5,5131 5,6455 5,5165 5,1131 4,4618 3,6464 2,7943 2,0381 1,4774 1,1638 1,0907 1,1785 1,2950 1,3130 1,1604 0,8363 0,4007 -0,0632 -0,4860 -0,8183 -1,0242 -1,0947 -1,0584 -0,9660 -0,8612 -0,7635 -0,6786 -0,6166 -0,5894 -0,5983 -0,6423 -0,7304 -0,8712 -1,0496 -1,2209 -1,3304 -1,3414 -1,2467 -1,0686 -0,8653 -0,7175 -0,6781 -0,7314 -0,8104 -0,8561 -0,8558 -0,8354 -0,8278 -0,8594 -0,9559 -1,1300 -1,3511 -1,5507 -1,6731 -1,7212 -1,7548 -1,8438 -2,0163 -2,2411 -2,4519 -2,5861 -2,6032 -2,4769 -2,1767 -1,6703 -0,9553 -0,0979 0,7603 1,4483 1,8360 1,8783 1,6144 1,1389 0,5698 0,0222 -0,4188 -0,7134 -0,8547 -0,8510 -0,7242 -0,5137 -0,2758 -0,0744 0,0408 0,0616 0,0306 0,0172 0,0715 0,1844 0,2865 0,2858 0,1220 -0,1902 -0,5562 -0,8465 -0,9651 -0,8975 -0,7114 -0,4964 -0,2873 -0,0479 0,2761 0,6960 1,1725 1,6534 2,1052 2,5059 2,8129 2,9429 2,7903 2,2854 1,4563 0,4444 -0,5375 -1,2753 -1,6215 -1,5347 -1,0697 -0,3388 0,5119 1,3089 1,8798 2,1120 1,9928 1,5959 1,0411 0,4618 -0,0086 -0,2563 -0,2285 0,0442 0,4708 0,9404 1,3478 1,6089 1,6740 1,5454 1,2899 1,0126 0,8034 0,7049 0,7196 0,8314 1,0210 1,2642 1,5221 1,7526 1,9453 2,1328 2,3588 2,6411 2,9606 3,2802 3,5612 3,7485 3,7666 3,5688 3,1874 2,7102 2,2173 1,7657 1,4097 1,1917 1,1150 1,1394 1,2002 1,2410 1,2417 1,2111 1,1562 1,0702 0,9403 0,7628 0,5558 0,3584 0,2155 0,1703 0,2773 0,6012 1,1666 1,9131 2,7143 3,4224 3,8973 4,0492 3,8939 3,5521 3,1633 2,7959 2,4526 2,1302 1,8428 1,6064 1,4298 1,3156 1,2508 1,2037 1,1525 1,1204 1,1607 1,2964 1,4891 1,6654 1,7598 1,7445 1,6473 1,5384 1,4721 1,4453 1,4283 1,4222 1,4671 1,6033 1,8305 2,1031 2,3640 2,5720 2,6921 2,6839 2,5208 2,2178 1,8387 1,4796 1,2330 1,1445 1,1862 1,2786 1,3502 1,3750 1,3540 1,2818 1,1423 0,9243 0,6390 0,3256 0,0340 -0,2034 -0,3792 -0,4975 -0,5643 -0,5838 -0,5564 -0,4763 -0,3292 -0,1053 0,1832 0,5169 0,8908 1,2911 1,6619 1,9213 2,0096 1,9046 1,6025 1,1004 0,4010 -0,4575 -1,3667 -2,1688 -2,7292 -2,9835 -2,9323 -2,6247 -2,1485 -1,6151 -1,1284 -0,7466 -0,4688 -0,2657 -0,1234 -0,0578 -0,0881 -0,1951 -0,3067 -0,3329 -0,2102 0,0828 0,5301 1,0821 1,6610 2,1778 2,5546 2,7372 2,7065 2,4904 2,1514 1,7418 1,2771 0,7723 0,2860 -0,0996 -0,3399 -0,4581 -0,5199 -0,5801 -0,6598 -0,7720 -0,9367 -1,1510 -1,3520 -1,4272 -1,2716 -0,8478 -0,2012 0,5698 1,3417 1,9869 2,4159 2,6262 2,6928 2,6901 2,6347 2,5029 2,2836 2,0093 1,7486 1,5633 1,4664 1,4170 1,3504 1,2170 1,0010 0,7255 0,4558 0,2827 0,2762 0,4568 0,8068 1,2743 1,7572 2,1178 2,2477 2,1319 1,8644 1,5988 1,4646 1,5204 1,7711 2,1961 2,7518 3,3729 3,9812 4,4867 4,8012 4,8673 4,6652 4,2124 3,5814 2,8832 2,2025 1,5666 0,9839 0,4864 0,1188 -0,1040 -0,2212 -0,2955 -0,3607 -0,4087 -0,4210 -0,3927 -0,3302 -0,2457 -0,1538 -0,0631 0,0276 0,1075 0,1284 0,0204 -0,2551 -0,6641 -1,1108 -1,4865 -1,7245 -1,8255 -1,8415 -1,8481 -1,9274 -2,1482 -2,5250 -2,9859 -3,4030 -3,6650 -3,7198 -3,5672 -3,2434 -2,8105 -2,3364 -1,8765 -1,4742 -1,1690 -1,0009 -1,0061 -1,1973 -1,5463 -1,9965 -2,4802 -2,9054 -3,1542 -3,1432 -2,8823 -2,4613 -1,9846 -1,5087 -1,0260 -0,5082 0,0382 0,5564 0,9709 1,2304 1,3182 1,2315 0,9757 0,5805 0,1071 -0,3624 -0,7379 -0,9317 -0,8705 -0,5068 0,1662 1,0820 2,0732 2,8920 3,2999 3,1949 2,6757 1,9673
F7    1,2034 1,2410 1,3127 1,3698 1,3935 1,3804 1,3192 1,1933 1,0025 0,7766 0,5647 0,4166 0,3724 0,4468 0,6103 0,7969 0,9394 0,9956 0,9509 0,8136 0,6108 0,3808 0,1639 -0,0062 -0,1079 -0,1304 -0,0752 0,0368 0,1702 0,2824 0,3216 0,2380 0,0140 -0,3193 -0,7004 -1,0687 -1,3851 -1,6308 -1,7925 -1,8652 -1,8740 -1,8644 -1,8531 -1,8034 -1,6559 -1,3787 -0,9948 -0,5756 -0,2194 -0,0166 -0,0092 -0,1721 -0,4302 -0,6947 -0,8934 -0,9848 -0,9641 -0,8693 -0,7689 -0,7197 -0,7288 -0,7534 -0,7284 -0,6039 -0,3704 -0,0633 0,2473 0,4755 0,5623 0,5145 0,3950 0,2802 0,2175 0,2029 0,1920 0,1357 0,0049 -0,2156 -0,5366 -0,9506 -1,4042 -1,8028 -2,0629 -2,1616 -2,1441 -2,0953 -2,0975 -2,1884 -2,3363 -2,4582 -2,4723 -2,3431 -2,0887 -1,7545 -1,3891 -1,0357 -0,7140 -0,4070 -0,0954 0,1900 0,3767 0,4119 0,2864 0,0108 -0,3891 -0,8508 -1,2832 -1,6067 -1,7720 -1,7593 -1,5796 -1,2700 -0,8827 -0,4781 -0,1132 0,1742 0,3693 0,4701 0,4750 0,3788 0,1854 -0,0713 -0,3263 -0,5036 -0,5420 -0,4160 -0,1443 0,2265 0,6500 1,0914 1,5255 1,9271 2,2561 2,4628 2,5193 2,4410 2,2733 2,0699 1,8814 1,7436 1,6757 1,6869 1,7712 1,8972 2,0183 2,0932 2,0949 2,0070 1,8234 1,5661 1,2976 1,0948 1,0029 1,0241 1,1426 1,3327 1,5451 1,7117 1,7697 1,6841 1,4686 1,1971 0,9733 0,8717 0,9035 1,0355 1,2224 1,4192 1,5837 1,6844 1,7074 1,6510 1,5196 1,3329 1,1314 0,9605 0,8514 0,8193 0,8697 0,9932 1,1559 1,3119 1,4175 1,4247 1,2849 0,9882 0,5917 0,1866 -0,1720 -0,4951 -0,8231 -1,1669 -1,4864 -1,7203 -1,8336 -1,8444 -1,7985 -1,7202 -1,6038 -1,4488 -1,2858 -1,1645 -1,1239 -1,1681 -1,2593 -1,3438 -1,3829 -1,3612 -1,2811 -1,1663 -1,0559 -0,9841 -0,9650 -0,9966 -1,0692 -1,1767 -1,3265 -1,5265 -1,7571 -1,9654 -2,0917 -2,1093 -2,0475 -1,9659 -1,9064 -1,8712 -1,8285 -1,7264 -1,5275 -1,2495 -0,9658 -0,7690 -0,7247 -0,8313 -1,0142 -1,1771 -1,2602 -1,2587 -1,2076 -1,1586 -1,1541 -1,2027 -1,2735 -1,3146 -1,2791 -1,1431 -0,9049 -0,5776 -0,1926 0,1947 0,5212 0,7512 0,8933 0,9800 1,0291 1,0222 0,9219 0,7141 0,4351 0,1606 -0,0313 -0,1006 -0,0644 0,0188 0,0879 0,1144 0,1055 0,0780 0,0412 0,0142 0,0465 0,1969 0,4765 0,8212 1,1352 1,3537 1,4583 1,4552 1,3573 1,1782 0,9279 0,6203 0,2894 -0,0082 -0,2138 -0,2932 -0,2493 -0,1105 0,0878 0,3086 0,5183 0,6991 0,8413 0,9238 0,9260 0,8569 0,7520 0,6424 0,5359 0,4316 0,3472 0,3232 0,3890 0,5313 0,7000 0,8377 0,9095 0,9198 0,9067 0,9122 0,9479 0,9852 0,9857 0,9370 0,8616 0,8005 0,7861 0,8175 0,8640 0,8899 0,8739 0,8160 0,7359 0,6640 0,6268 0,6309 0,6623 0,7057 0,7531 0,7983 0,8416 0,8905 0,9522 1,0326 1,1297 1,2217 1,2764 1,2785 1,2400 1,1847 1,1265 1,0635 0,9866 0,8833 0,7352 0,5209 0,2295 -0,1243 -0,4948 -0,8098 -0,9825 -0,9511 -0,7272 -0,3849 0,0021 0,3900 0,7432 1,0219 1,2075 1,3240 1,4170 1,5137 1,6113 1,6919 1,7306 1,6979 1,5700 1,3338 0,9807 0,5095 -0,0513 -0,6281 -1,1181 -1,4221 -1,4732 -1,2586 -0,8349 -0,3260 0,1245 0,4310 0,5989 0,6858 0,7440 0,7871 0,7908 0,7199 0,5469 0,2549 -0,1402 -0,5622 -0,9061 -1,1078 -1,1703 -1,1356 -1,0510 -0,9525 -0,8555 -0,7554 -0,6458 -0,5359 -0,4480 -0,4111 -0,4539 -0,5883 -0,7910 -1,0016 -1,1496 -1,1971 -1,1545 -1,0496 -0,8970 -0,7117 -0,5269 -0,3723 -0,2445 -0,1153 0,0384 0,2170 0,3848 0,4724 0,4105 0,1710 -0,2215 -0,7017 -1,1908 -1,6278 -1,9823 -2,2399 -2,3982 -2,4786 -2,5212 -2,5621 -2,6099 -2,6322 -2,5672 -2,3635 -2,0269 -1,6299 -1,2718 -1,0256 -0,9079 -0,8846 -0,9030 -0,9256 -0,9416 -0,9551 -0,9617 -0,9281 -0,8006 -0,5533 -0,2321 0,0674 0,2797 0,4267 0,5980 0,8664 1,2085 1,5053 1,6268 1,5127 1,1775 0,6724 0,0665 -0,5495 -1,0783 -1,4652 -1,7172 -1,8630 -1,9163 -1,8859 -1,7873 -1,6359 -1,4479 -1,2524 -1,0872 -0,9774 -0,9091 -0,8268 -0,6735 -0,4302 -0,1171 0,2212 0,5228 0,7244 0,7896 0,7277 0,5753 0,3547 0,0678 -0,2736 -0,6405 -1,0095 -1,3635 -1,6822 -1,9504 -2,1660 -2,3280 -2,4296 -2,4666 -2,4429 -2,3567 -2,1848 -1,8829 -1,4058 -0,7398 0,0720 0,9375 1,7379 2,3417 2,6461 2,6351 2,3864 2,0260 1,6776 1,4127 1,2197 1,0416 0,8481 0,6643 0,5430 0,5216 0,5991 0,7352 0,8657 0,9306 0,8971 0,7535 0,4865 0,0751 -0,4850 -1,1603 -1,8791 -2,5336 -2,9925 -3,1560 -3,0165 -2,6590 -2,1883 -1,6644 -1,1293 -0,6670 -0,3775 -0,3006 -0,4038 -0,6364 -0,9631 -1,3530 -1,7647 -2,1481 -2,4546 -2,6505 -2,7302 -2,7226 -2,6844 -2,6804 -2,7531 -2,9059 -3,1157 -3,3583 -3,6083 -3,8203 -3,9279 -3,8700 -3,6213 -3,2020 -2,6666 -2,0879 -1,5486 -1,1322 -0,9031 -0,8783 -1,0167 -1,2411 -1,4764 -1,6815 -1,8544 -2,0178 -2,2043 -2,4345 -2,6822 -2,8672 -2,8977 -2,7275 -2,3851 -1,9501 -1,5046 -1,1173 -0,8529 -0,7590 -0,8432 -1,0808 -1,4308 -1,8314 -2,2017 -2,4740 -2,6108 -2,5941 -2,4171 -2,0882 -1,6375
