Fp1   1,8477 1,7249 1,6705 1,6810 1,7582 1,8717 1,9770 2,0648 2,1711 2,3437 2,5920 2,8577 3,0377 3,0431 2,8365 2,4276 1,8622 1,2120 0,5553 -0,0488 -0,5840 -1,0693 -1,5207 -1,9408 -2,3273 -2,6553 -2,8795 -2,9937 -3,0681 -3,2012 -3,4334 -3,6942 -3,8172 -3,6654 -3,2868 -2,8781 -2,5866 -2,4269 -2,3508 -2,3018 -2,2179 -2,0348 -1,6840 -1,0751 -0,1008 1,2866 2,9427 4,5059 5,5862 5,9865 5,7454 5,0458 4,1480 3,3606 2,9469 2,9671 3,2426 3,5209 3,6632 3,6870 3,6884 3,7341 3,8034 3,8297 3,7841 3,6913 3,5785 3,4556 3,3508 3,3106 3,3395 3,3824 3,3825 3,3171 3,1891 3,0216 2,8576 2,7338 2,6410 2,5141 2,2629 1,8300 1,2726 0,7978 0,6726 1,0316 1,7574 2,5806 3,2829 3,7652 3,9667 3,8110 3,2735 2,4606 1,5834 0,8799 0,5482 0,6621 1,1286 1,7768 2,4774 3,1712 3,8404 4,4591 4,9468 5,1811 5,0745 4,6508 4,0596 3,5318 3,2880 3,4023 3,7380 4,0552 4,1716 4,0259 3,6732 3,2755 3,0850 3,3753 4,3189 5,8946 7,8655 9,8340 11,4090 12,3853 12,7794 12,7412 12,4496 12,0429 11,6009 11,1856 10,8993 10,8522 11,0295 11,2510 11,3028 11,0532 10,4675 9,6094 8,6301 7,7282 7,1283 7,0358 7,4910 8,2791 9,0955 9,8055 10,4793 11,2163 12,0295 12,8863 13,7715 14,6776 15,5788 16,4351 17,2071 17,8544 18,3089 18,5255 18,6065 18,7556 19,0609 19,4191 19,6452 19,5742 19,0928 18,1682 16,9094 15,6093 14,6888 14,5152 15,1346 16,1482 16,9624 17,1995 16,8924 16,3951 16,1005 16,1253 16,2767 16,3237 16,1853 15,8644 15,3365 14,5536 13,5093 12,2665 10,9189 9,5379 8,1778 6,9282 5,9413 5,3879 5,3487 5,7316 6,3068 6,8143 7,0406 6,8572 6,2576 5,3895 4,5165 3,8880 3,6265 3,6986 3,9243 4,0589 3,9696 3,7552 3,6454 3,7480 3,9106 3,8470 3,3636 2,4732 1,3398 0,1466 -0,9555 -1,7853 -2,1193 -1,8345 -1,0662 -0,1709 0,5075 0,8735 1,0848 1,2978 1,4552 1,3550 0,8622 0,0142 -1,0173 -2,0156 -2,7983 -3,2740 -3,4488 -3,3605 -2,9840 -2,2541 -1,2345 -0,2037 0,4814 0,5625 -0,0524 -1,2669 -2,8136 -4,3397 -5,5156 -6,1362 -6,1665 -5,6774 -4,7725 -3,6382 -2,6055 -2,0373 -2,1418 -2,9177 -4,1701 -5,5355 -6,6267 -7,2404 -7,3972 -7,1962 -6,7238 -6,1462 -5,7619 -5,8334 -6,4091 -7,3462 -8,4163 -9,3423 -9,8263 -9,6718 -8,9336 -7,9163 -6,9962 -6,4425 -6,3661 -6,7675 -7,5874 -8,7120 -9,9461 -11,0056 -11,5703 -11,3764 -10,3570 -8,7870 -7,1821 -5,9484 -5,2040 -4,8896 -4,8748 -4,9587 -4,9172 -4,6415 -4,2038 -3,7392 -3,3025 -2,8588 -2,3702 -1,8683 -1,4421 -1,1689 -1,0758 -1,1756 -1,5315 -2,2218 -3,2013 -4,2621 -5,1869 -5,9111 -6,4909 -6,9224 -7,0341 -6,5653 -5,3650 -3,5972 -1,7789 -0,5133 -0,0913 -0,3672 -0,9815 -1,6235 -2,1161 -2,3846 -2,4497 -2,4370 -2,5022 -2,7231 -3,0691 -3,4393 -3,7230 -3,8536 -3,8154 -3,6410 -3,4498 -3,3934 -3,4739 -3,4740 -3,1284 -2,3795 -1,4856 -0,8614 -0,7745 -1,1670 -1,7303 -2,1560 -2,3250 -2,2628 -1,9961 -1,5499 -1,0401 -0,6622 -0,5544 -0,6843 -0,8598 -0,8482 -0,5276 0,0300 0,6224 1,0670 1,2758 1,2365 1,0240 0,8283 0,8505 1,1256 1,5249 1,9397 2,3677 2,8099 3,1675 3,2833 3,0550 2,4858 1,6489 0,6645 -0,2720 -0,9133 -1,1074 -0,9426 -0,6943 -0,6043 -0,7409 -1,0519 -1,4857 -2,0259 -2,6139 -3,0886 -3,2723 -3,1092 -2,6299 -1,7995 -0,5473 0,9874 2,3555 3,0551 2,8567 1,8854 0,5099 -0,7889 -1,5205 -1,3155 -0,1495 1,5303 3,0458 3,9237 4,1095 3,8780 3,6015 3,5285 3,7093 4,0823 4,5741 5,1098 5,5851 5,8887 5,9746 5,9319 5,9936 6,4447 7,4592 8,9634 10,6264 12,0156 12,8128 12,9310 12,4549 11,4825 10,0408 8,1683 6,0498 4,0117 2,3590 1,2409 0,6788 0,6605 1,1520 2,0340 3,0991 4,1798 5,2410 6,2936 7,2742 8,0602 8,5459 8,6845 8,5080 8,1054 7,5428 6,8269 5,9569 4,9920 4,0786 3,4237 3,2055 3,4606 4,0342 4,6527 5,0714 5,1703 4,9694 4,6121 4,3139 4,2650 4,5481 5,1233 5,8581 6,5790 7,1329 7,4172 7,3663 6,9540 6,2366 5,3712 4,5753 4,0677 4,0175 4,4808 5,3361 6,3137 7,1634 7,7895 8,2064 8,4475 8,5552 8,5799 8,5589 8,5509 8,6811 9,0543 9,6158 10,2095 10,7598 11,2876 11,7821 12,1654 12,3896 12,4974 12,5654 12,6504 12,8159 13,1423 13,6639 14,3212 15,0004 15,6020 16,0581 16,3194 16,3657 16,2327 16,0017 15,7427 15,4619 15,0994 14,5917 13,9542 13,3052 12,8122 12,5966 12,6607 12,9070 13,2123 13,4659 13,5726 13,4834 13,2257 12,8772 12,5076 12,1421 11,7646 11,3502 10,8935 10,4180 9,9529 9,4991 9,0482 8,6385 8,3417 8,2029 8,2359 8,4359 8,7444 9,0361 9,1703 9,0537 8,6825 8,1549 7,6573 7,4233 7,6407 8,3426 9,3740 10,4758 11,4298 12,1481 12,6428 12,9326 12,9985 12,8274 12,4556 11,9335 11,2794 10,5007 9,6495 8,8448 8,2299 7,9115 7,9224 8,1953 8,5800 8,9309 9,1610 9,2243 9,0974 8,7989 8,4285 8,1284 7,9207 7,6473 7,1460 6,4039 5,5112 4,5488 3,5521 2,5529 1,6307 0,8807 0,3318 -0,0668 -0,3809 -0,6512 -0,8942 -1,1142 -1,3138 -1,4856 -1,6003 -1,6155 -1,5052
Fz    0,0376 -0,2319 -0,4605 -0,6220 -0,7012 -0,7047 -0,6496 -0,5473 -0,4026 -0,2210 -0,0158 0,1864 0,3487 0,4403 0,4513 0,3936 0,2932 0,1796 0,0739 -0,0162 -0,0957 -0,1769 -0,2700 -0,3779 -0,4917 -0,5875 -0,6411 -0,6521 -0,6463 -0,6566 -0,7049 -0,7888 -0,8711 -0,8970 -0,8426 -0,7322 -0,6071 -0,4968 -0,4145 -0,3551 -0,2937 -0,1931 -0,0120 0,2913 0,7499 1,3625 2,0624 2,7273 3,2397 3,5399 3,6305 3,5544 3,3780 3,1812 3,0367 2,9712 2,9509 2,9166 2,8354 2,7220 2,6218 2,5722 2,5693 2,5764 2,5593 2,5054 2,4134 2,2853 2,1339 1,9828 1,8453 1,7170 1,5950 1,4907 1,4209 1,4005 1,4451 1,5722 1,7858 2,0587 2,3320 2,5412 2,6555 2,6985 2,7305 2,8034 2,9270 3,0746 3,2154 3,3271 3,3850 3,3599 3,2418 3,0636 2,8940 2,8051 2,8378 2,9816 3,1817 3,3796 3,5507 3,7086 3,8834 4,0892 4,3015 4,4633 4,5176 4,4445 4,2743 4,0706 3,8964 3,7780 3,6910 3,5901 3,4495 3,2767 3,1081 3,0011 3,0306 3,2702 3,7501 4,4283 5,2026 5,9463 6,5537 6,9753 7,2184 7,3248 7,3467 7,3272 7,2922 7,2598 7,2612 7,3412 7,5161 7,7417 7,9399 8,0450 8,0233 7,8800 7,6562 7,4098 7,1961 7,0566 7,0022 7,0048 7,0275 7,0695 7,1678 7,3608 7,6652 8,0800 8,5908 9,1644 9,7520 10,3054 10,7944 11,2082 11,5409 11,7939 11,9994 12,2107 12,4556 12,7185 12,9616 13,1424 13,2230 13,1831 13,0383 12,8475 12,6956 12,6500 12,7069 12,7768 12,7472 12,5651 12,2646 11,9381 11,6719 11,4745 11,2781 11,0175 10,6780 10,2696 9,7915 9,2404 8,6340 8,0042 7,3750 6,7552 6,1531 5,5895 5,0992 4,7163 4,4514 4,2807 4,1564 4,0242 3,8355 3,5585 3,1908 2,7688 2,3607 2,0332 1,8199 1,7137 1,6728 1,6361 1,5590 1,4454 1,3406 1,2828 1,2589 1,2155 1,1110 0,9574 0,8156 0,7510 0,7982 0,9671 1,2549 1,6306 2,0179 2,3217 2,4848 2,5247 2,5177 2,5316 2,5704 2,5898 2,5551 2,4689 2,3607 2,2686 2,2244 2,2413 2,3085 2,4011 2,4993 2,5944 2,6686 2,6797 2,5765 2,3223 1,9088 1,3635 0,7434 0,1166 -0,4483 -0,8938 -1,1915 -1,3439 -1,3682 -1,3004 -1,2110 -1,1839 -1,2744 -1,4891 -1,7859 -2,0812 -2,2931 -2,3971 -2,4286 -2,4320 -2,4294 -2,4437 -2,5193 -2,6892 -2,9381 -3,2119 -3,4474 -3,5847 -3,5742 -3,3994 -3,1002 -2,7603 -2,4644 -2,2646 -2,1740 -2,1778 -2,2505 -2,3673 -2,5032 -2,6266 -2,6933 -2,6453 -2,4396 -2,1024 -1,7346 -1,4434 -1,2828 -1,2489 -1,2917 -1,3286 -1,2806 -1,1209 -0,8857 -0,6289 -0,3789 -0,1400 0,0812 0,2608 0,3644 0,3654 0,2562 0,0441 -0,2633 -0,6558 -1,0983 -1,5306 -1,9052 -2,2161 -2,4813 -2,7017 -2,8420 -2,8484 -2,6896 -2,4014 -2,0963 -1,9021 -1,8699 -1,9501 -2,0540 -2,1220 -2,1394 -2,1134 -2,0521 -1,9667 -1,8785 -1,8142 -1,7908 -1,8038 -1,8352 -1,8724 -1,9105 -1,9508 -2,0120 -2,1179 -2,2500 -2,3297 -2,2707 -2,0543 -1,7583 -1,5060 -1,3813 -1,3797 -1,4321 -1,4731 -1,4843 -1,4711 -1,4228 -1,3208 -1,1754 -1,0293 -0,9193 -0,8399 -0,7468 -0,5946 -0,3761 -0,1313 0,0874 0,2521 0,3595 0,4090 0,4062 0,3794 0,3615 0,3546 0,3419 0,3349 0,3770 0,4915 0,6424 0,7515 0,7469 0,5977 0,3132 -0,0700 -0,4899 -0,8702 -1,1574 -1,3530 -1,4942 -1,6026 -1,6653 -1,6674 -1,6278 -1,5935 -1,5921 -1,5956 -1,5445 -1,4005 -1,1540 -0,7946 -0,3184 0,2198 0,6910 0,9650 0,9955 0,8315 0,5698 0,3153 0,1694 0,2203 0,4977 0,9304 1,3824 1,7452 1,9948 2,1844 2,3923 2,6573 2,9601 3,2638 3,5530 3,8276 4,0771 4,2805 4,4283 4,5392 4,6579 4,8366 5,1058 5,4480 5,7901 6,0342 6,1097 6,0021 5,7349 5,3279 4,7775 4,0811 3,2754 2,4381 1,6505 0,9661 0,4207 0,0546 -0,0959 -0,0314 0,1995 0,5383 0,9537 1,4290 1,9303 2,4045 2,7971 3,0673 3,1999 3,2058 3,1080 2,9339 2,7216 2,5184 2,3751 2,3390 2,4380 2,6600 2,9463 3,2100 3,3762 3,4117 3,3306 3,1872 3,0587 3,0149 3,0931 3,2938 3,5838 3,9024 4,1779 4,3474 4,3684 4,2281 3,9542 3,6149 3,2985 3,0859 3,0257 3,1180 3,3152 3,5438 3,7438 3,8900 3,9748 3,9886 3,9272 3,7998 3,6256 3,4409 3,3006 3,2455 3,2663 3,3275 3,4186 3,5499 3,7084 3,8505 3,9429 3,9915 4,0241 4,0658 4,1395 4,2689 4,4626 4,7003 4,9470 5,1783 5,3887 5,5833 5,7720 5,9678 6,1777 6,3894 6,5706 6,6859 6,7204 6,6920 6,6434 6,6221 6,6591 6,7566 6,8926 7,0368 7,1609 7,2383 7,2506 7,1954 7,0826 6,9238 6,7260 6,4953 6,2429 5,9844 5,7334 5,4936 5,2534 5,0011 4,7498 4,5341 4,3844 4,3123 4,3117 4,3580 4,4170 4,4619 4,4807 4,4700 4,4273 4,3596 4,2952 4,2742 4,3235 4,4434 4,6129 4,8075 5,0124 5,2168 5,3991 5,5257 5,5661 5,5028 5,3326 5,0659 4,7295 4,3655 4,0273 3,7665 3,6198 3,6010 3,6910 3,8382 3,9853 4,0942 4,1513 4,1612 4,1393 4,1100 4,0983 4,0988 4,0672 3,9632 3,7794 3,5245 3,2065 2,8361 2,4379 2,0553 1,7294 1,4671 1,2411 1,0233 0,8088 0,6124 0,4527 0,3397 0,2775 0,2728 0,3381 0,4857
F3    0,5723 0,4305 0,3390 0,2966 0,2908 0,2930 0,2817 0,2693 0,2954 0,3949 0,5697 0,7801 0,9603 1,0534 1,0372 0,9256 0,7564 0,5734 0,4089 0,2754 0,1672 0,0679 -0,0389 -0,1634 -0,3023 -0,4297 -0,5100 -0,5357 -0,5448 -0,5949 -0,7221 -0,9152 -1,1134 -1,2489 -1,3087 -1,3355 -1,3701 -1,4252 -1,4975 -1,5671 -1,5917 -1,5178 -1,2973 -0,8939 -0,2870 0,5067 1,3976 2,2302 2,8534 3,1843 3,2174 3,0104 2,6727 2,3411 2,1280 2,0647 2,0963 2,1428 2,1664 2,1890 2,2598 2,4001 2,5720 2,7063 2,7590 2,7319 2,6498 2,5385 2,4278 2,3466 2,3017 2,2768 2,2581 2,2424 2,2251 2,2014 2,1813 2,1914 2,2506 2,3441 2,4237 2,4392 2,3873 2,3332 2,3705 2,5453 2,8174 3,0982 3,3172 3,4420 3,4539 3,3328 3,0804 2,7479 2,4269 2,2115 2,1560 2,2436 2,3976 2,5446 2,6669 2,7977 2,9825 3,2383 3,5302 3,7814 3,9129 3,8868 3,7268 3,5045 3,3054 3,1822 3,1319 3,1193 3,1152 3,1119 3,1262 3,1987 3,3939 3,7829 4,4041 5,2312 6,1662 7,0606 7,7752 8,2435 8,4793 8,5423 8,5009 8,4107 8,3100 8,2319 8,2195 8,3157 8,5130 8,7325 8,8728 8,8667 8,6992 8,4057 8,0591 7,7406 7,5214 7,4495 7,5217 7,6735 7,8314 7,9777 8,1487 8,3843 8,7021 9,1092 9,6110 10,1996 10,8468 11,5127 12,1529 12,7172 13,1499 13,4253 13,5935 13,7500 13,9470 14,1640 14,3424 14,4208 14,3521 14,1216 13,7688 13,3917 13,1157 13,0279 13,1028 13,1907 13,1219 12,8273 12,3655 11,8766 11,4926 11,2414 11,0466 10,8236 10,5347 10,1577 9,6579 9,0181 8,2756 7,5070 6,7778 6,1112 5,4974 4,9263 4,4118 3,9906 3,6918 3,5030 3,3673 3,2098 2,9756 2,6561 2,2928 1,9636 1,7540 1,7106 1,8184 2,0140 2,2020 2,2809 2,1959 1,9785 1,7262 1,5225 1,3662 1,1844 0,9103 0,5499 0,1791 -0,1179 -0,2924 -0,3153 -0,1585 0,1671 0,5662 0,8943 1,0539 1,0621 1,0261 1,0388 1,0980 1,1320 1,0824 0,9458 0,7593 0,5750 0,4382 0,3681 0,3528 0,3727 0,4323 0,5545 0,7351 0,9175 1,0177 0,9543 0,6720 0,1708 -0,4822 -1,1746 -1,7845 -2,2218 -2,4536 -2,4847 -2,3322 -2,0503 -1,7599 -1,6021 -1,6571 -1,9162 -2,2944 -2,6544 -2,8731 -2,9191 -2,8491 -2,7331 -2,6122 -2,5287 -2,5486 -2,7133 -2,9925 -3,3035 -3,5542 -3,6591 -3,5502 -3,2172 -2,7478 -2,2965 -1,9950 -1,8867 -1,9319 -2,0626 -2,2300 -2,4149 -2,6073 -2,7796 -2,8736 -2,8113 -2,5484 -2,1476 -1,7636 -1,5308 -1,4919 -1,6102 -1,7938 -1,9147 -1,8581 -1,5889 -1,1669 -0,6820 -0,1883 0,3012 0,7812 1,2249 1,5832 1,8049 1,8567 1,7261 1,4122 0,9309 0,3403 -0,2637 -0,8021 -1,2578 -1,6483 -1,9594 -2,1199 -2,0354 -1,6570 -1,0510 -0,4084 0,0560 0,2414 0,1930 0,0166 -0,2071 -0,4362 -0,6408 -0,7960 -0,8958 -0,9562 -1,0018 -1,0470 -1,0813 -1,0817 -1,0391 -0,9603 -0,8643 -0,8009 -0,8297 -0,9415 -1,0273 -0,9552 -0,6865 -0,3197 -0,0216 0,0904 0,0204 -0,1307 -0,2611 -0,3395 -0,3785 -0,3700 -0,2877 -0,1352 0,0438 0,2066 0,3533 0,5281 0,7804 1,1147 1,4776 1,7978 2,0347 2,1766 2,2143 2,1542 2,0492 1,9722 1,9522 1,9690 2,0119 2,1026 2,2513 2,4168 2,5232 2,5097 2,3579 2,0826 1,7187 1,3269 0,9837 0,7357 0,5643 0,4133 0,2512 0,0916 -0,0458 -0,1762 -0,3389 -0,5379 -0,7059 -0,7540 -0,6461 -0,3900 0,0252 0,6171 1,3196 1,9553 2,3365 2,3841 2,1505 1,7662 1,3814 1,1404 1,1637 1,4853 1,9948 2,4927 2,8244 2,9611 2,9874 3,0309 3,1739 3,4179 3,7252 4,0705 4,4411 4,8091 5,1333 5,3912 5,6048 5,8391 6,1692 6,6321 7,1950 7,7610 8,2114 8,4601 8,4817 8,2924 7,9016 7,2955 6,4787 5,5227 4,5489 3,6579 2,8924 2,2741 1,8471 1,6632 1,7313 1,9971 2,3893 2,8643 3,3896 3,9130 4,3740 4,7259 4,9397 5,0099 4,9549 4,7956 4,5454 4,2271 3,8848 3,5810 3,3836 3,3416 3,4563 3,6682 3,8776 3,9915 3,9628 3,8047 3,5842 3,3926 3,3035 3,3493 3,5240 3,7890 4,0791 4,3259 4,4764 4,4892 4,3380 4,0370 3,6549 3,2936 3,0510 2,9885 3,1081 3,3489 3,6156 3,8355 3,9908 4,0920 4,1490 4,1778 4,2016 4,2392 4,3141 4,4632 4,6983 4,9667 5,1984 5,3795 5,5408 5,6872 5,7796 5,7888 5,7350 5,6619 5,6038 5,5940 5,6733 5,8610 6,1317 6,4333 6,7222 6,9730 7,1719 7,3176 7,4296 7,5405 7,6681 7,7929 7,8654 7,8408 7,7171 7,5407 7,3790 7,2825 7,2655 7,3144 7,4046 7,5020 7,5611 7,5428 7,4317 7,2308 6,9514 6,6143 6,2543 5,9139 5,6240 5,3919 5,2018 5,0227 4,8325 4,6404 4,4732 4,3478 4,2715 4,2471 4,2546 4,2475 4,1833 4,0520 3,8719 3,6704 3,4812 3,3560 3,3543 3,5105 3,8110 4,1998 4,6118 5,0087 5,3807 5,7173 5,9880 6,1535 6,1873 6,0818 5,8466 5,5082 5,1127 4,7227 4,4017 4,1991 4,1451 4,2325 4,4072 4,5942 4,7313 4,7842 4,7522 4,6630 4,5676 4,5211 4,5277 4,5187 4,4120 4,1655 3,7728 3,2416 2,5908 1,8661 1,1516 0,5370 0,0635 -0,2831 -0,5334 -0,7086 -0,8211 -0,8821 -0,9010 -0,8791 -0,8078 -0,6755 -0,4752
F7    1,3420 1,2654 1,2585 1,3071 1,3982 1,5067 1,6023 1,6725 1,7342 1,8202 1,9422 2,0665 2,1290 2,0768 1,8924 1,5897 1,2095 0,8103 0,4464 0,1469 -0,0947 -0,3082 -0,5180 -0,7330 -0,9529 -1,1627 -1,3353 -1,4620 -1,5737 -1,7195 -1,9228 -2,1484 -2,3039 -2,3084 -2,1834 -2,0340 -1,9378 -1,9011 -1,9036 -1,9254 -1,9381 -1,9002 -1,7572 -1,4401 -0,8747 -0,0257 1,0253 2,0614 2,8393 3,2220 3,2104 2,8994 2,4434 2,0341 1,8374 1,8963 2,1048 2,3019 2,3901 2,3733 2,3159 2,2744 2,2557 2,2327 2,1906 2,1434 2,1072 2,0831 2,0729 2,0840 2,1034 2,0929 2,0230 1,8910 1,7090 1,4967 1,2802 1,0819 0,9061 0,7337 0,5315 0,2777 0,0081 -0,1615 -0,0870 0,2939 0,8934 1,5339 2,0712 2,4405 2,6120 2,5520 2,2503 1,7662 1,2225 0,7626 0,5071 0,4992 0,6794 0,9368 1,1819 1,3723 1,5024 1,5711 1,5493 1,3853 1,0514 0,5833 0,0804 -0,3217 -0,4997 -0,4150 -0,1493 0,1569 0,3953 0,5268 0,5802 0,6460 0,8594 1,3552 2,2036 3,3714 4,7162 6,0144 7,0446 7,6857 7,9423 7,9016 7,6734 7,3479 6,9840 6,6275 6,3374 6,1739 6,1304 6,1121 6,0062 5,7475 5,3285 4,7972 4,2467 3,7929 3,5676 3,6903 4,1747 4,8726 5,5750 6,1741 6,6926 7,1878 7,6823 8,1773 8,6804 9,2031 9,7496 10,3156 10,8875 11,4354 11,8979 12,2201 12,4360 12,6505 12,9191 13,2000 13,4085 13,4622 13,2901 12,8532 12,1938 11,4722 10,9369 10,8101 11,1239 11,6473 12,0340 12,0654 11,7638 11,3394 11,0264 10,9020 10,8641 10,7873 10,6331 10,4091 10,0971 9,6527 9,0496 8,3056 7,4664 6,5737 5,6620 4,7858 4,0398 3,5391 3,3500 3,4299 3,6441 3,8358 3,8785 3,6979 3,2887 2,7309 2,1703 1,7485 1,5393 1,5262 1,5999 1,6083 1,4717 1,2536 1,0961 1,0681 1,0873 0,9948 0,6849 0,1649 -0,4780 -1,1499 -1,7748 -2,2533 -2,4505 -2,2809 -1,8116 -1,2504 -0,8081 -0,5544 -0,4110 -0,2989 -0,2583 -0,4048 -0,8049 -1,4195 -2,1358 -2,8233 -3,3731 -3,7250 -3,8739 -3,8365 -3,5994 -3,1308 -2,4788 -1,8249 -1,3997 -1,3637 -1,7604 -2,5088 -3,4221 -4,2700 -4,8525 -5,0607 -4,8963 -4,4236 -3,7208 -2,9084 -2,1891 -1,7825 -1,8139 -2,2790 -3,0566 -3,9265 -4,6510 -5,0971 -5,2673 -5,2178 -4,9993 -4,7053 -4,5047 -4,5464 -4,8566 -5,3516 -5,9005 -6,3520 -6,5535 -6,4097 -5,9564 -5,3622 -4,8420 -4,5633 -4,6050 -4,9657 -5,5886 -6,3780 -7,1955 -7,8611 -8,1898 -8,0443 -7,4072 -6,4543 -5,4925 -4,7565 -4,3080 -4,1082 -4,0816 -4,1094 -4,0557 -3,8539 -3,5477 -3,2212 -2,9139 -2,6130 -2,2994 -1,9879 -1,7208 -1,5318 -1,4289 -1,4234 -1,5646 -1,9086 -2,4310 -3,0038 -3,4909 -3,8539 -4,1390 -4,3608 -4,4219 -4,1537 -3,4437 -2,3677 -1,2242 -0,3818 -0,0393 -0,1366 -0,4758 -0,8749 -1,2237 -1,4701 -1,6172 -1,7257 -1,8710 -2,0832 -2,3343 -2,5660 -2,7255 -2,7899 -2,7621 -2,6656 -2,5636 -2,5331 -2,5668 -2,5341 -2,2772 -1,7613 -1,1463 -0,6965 -0,5914 -0,8057 -1,1526 -1,4380 -1,5806 -1,5886 -1,4733 -1,2458 -0,9743 -0,7768 -0,7368 -0,8364 -0,9634 -0,9796 -0,8084 -0,4867 -0,1303 0,1527 0,3075 0,3238 0,2425 0,1701 0,2193 0,4072 0,6544 0,8951 1,1339 1,3817 1,5881 1,6618 1,5384 1,2121 0,7181 0,1257 -0,4419 -0,8244 -0,9195 -0,7772 -0,5689 -0,4495 -0,4661 -0,5911 -0,7955 -1,0696 -1,3811 -1,6430 -1,7625 -1,7179 -1,5344 -1,1872 -0,6137 0,1333 0,8108 1,1271 0,9403 0,3166 -0,5288 -1,3091 -1,7311 -1,5773 -0,8400 0,2081 1,1626 1,7468 1,9299 1,8655 1,7605 1,7573 1,8906 2,1295 2,4353 2,7713 3,0851 3,3163 3,4373 3,4952 3,6229 3,9852 4,6776 5,6437 6,6763 7,5148 7,9763 8,0230 7,7195 7,1342 6,2929 5,2265 4,0421 2,9175 2,0120 1,3974 1,0811 1,0584 1,3116 1,7681 2,3043 2,8273 3,3306 3,8363 4,3164 4,6977 4,9124 4,9328 4,7842 4,5265 4,2026 3,8148 3,3563 2,8526 2,3793 2,0516 1,9730 2,1637 2,5270 2,8952 3,1230 3,1455 2,9814 2,7195 2,4863 2,3893 2,4748 2,7274 3,0862 3,4634 3,7699 3,9352 3,9099 3,6755 3,2644 2,7661 2,3082 2,0272 2,0367 2,3767 2,9643 3,6155 4,1619 4,5416 4,7683 4,8703 4,8855 4,8624 4,8412 4,8633 4,9931 5,2716 5,6459 6,0131 6,3287 6,6142 6,8810 7,1055 7,2739 7,4140 7,5646 7,7465 7,9806 8,2990 8,7102 9,1722 9,6172 9,9890 10,2473 10,3599 10,3136 10,1314 9,8691 9,5864 9,3105 9,0216 8,6823 8,2913 7,9098 7,6359 7,5455 7,6460 7,8838 8,1830 8,4679 8,6715 8,7556 8,7256 8,6152 8,4561 8,2615 8,0285 7,7532 7,4451 7,1305 6,8347 6,5602 6,2970 6,0549 5,8611 5,7328 5,6772 5,6952 5,7604 5,8114 5,7767 5,6076 5,3040 4,9246 4,5780 4,3972 4,4869 4,8614 5,4259 6,0256 6,5307 6,8895 7,1104 7,2062 7,1689 6,9973 6,7210 6,3767 5,9806 5,5422 5,0947 4,7012 4,4292 4,3237 4,3905 4,5822 4,8093 4,9924 5,0917 5,0885 4,9686 4,7403 4,4640 4,2286 4,0519 3,8425 3,5042 3,0275 2,4622 1,8512 1,2108 0,5594 -0,0518 -0,5598 -0,9378 -1,2054 -1,3954 -1,5349 -1,6464 -1,7487 -1,8537 -1,9594 -2,0503 -2,1056 -2,1090
