Fp1   -1,6630 -1,8965 -2,1166 -2,3409 -2,5918 -2,8829 -3,2085 -3,5469 -3,8738 -4,1646 -4,3893 -4,5125 -4,5016 -4,3395 -4,0281 -3,5777 -3,0006 -2,3174 -1,5636 -0,7837 -0,0172 0,7045 1,3569 1,9268 2,4168 2,8415 3,2154 3,5408 3,8096 4,0124 4,1427 4,1989 4,1861 4,1088 3,9618 3,7387 3,4481 3,1139 2,7568 2,3816 1,9813 1,5504 1,0923 0,6219 0,1666 -0,2414 -0,5806 -0,8484 -1,0579 -1,2293 -1,3796 -1,5128 -1,6172 -1,6719 -1,6590 -1,5794 -1,4542 -1,3057 -1,1435 -0,9706 -0,7973 -0,6448 -0,5386 -0,4941 -0,5083 -0,5628 -0,6325 -0,6920 -0,7184 -0,6921 -0,6076 -0,4816 -0,3407 -0,1995 -0,0538 0,1075 0,2920 0,5106 0,7845 1,1333 1,5499 1,9876 2,3737 2,6468 2,7838 2,7979 2,7219 2,5960 2,4547 2,3180 2,1944 2,0865 1,9884 1,8776 1,7224 1,5024 1,2157 0,8649 0,4516 -0,0055 -0,4639 -0,8805 -1,2352 -1,5343 -1,8001 -2,0528 -2,2930 -2,4959 -2,6216 -2,6345 -2,5230 -2,3040 -2,0104 -1,6765 -1,3283 -0,9783 -0,6286 -0,2773 0,0772 0,4303 0,7707 1,0902 1,3943 1,7064 2,0673 2,5221 3,0932 3,7635 4,4941 5,2551 6,0349 6,8228 7,5914 8,3052 8,9403 9,4877 9,9399 10,2799 10,4822 10,5236 10,3940 10,0987 9,6593 9,1129 8,5041 7,8688 7,2226 6,5588 5,8602 5,1216 4,3672 3,6470 3,0165 2,5092 2,1169 1,7975 1,5066 1,2256 0,9623 0,7332 0,5534 0,4422 0,4253 0,5177 0,7009 0,9286 1,1530 1,3453 1,5027 1,6408 1,7788 1,9290 2,0926 2,2564 2,3931 2,4646 2,4276 2,2491 1,9230 1,4727 0,9412 0,3800 -0,1601 -0,6383 -1,0315 -1,3368 -1,5678 -1,7435 -1,8754 -1,9655 -2,0173 -2,0472 -2,0827 -2,1495 -2,2642 -2,4417 -2,7001 -3,0495 -3,4800 -3,9661 -4,4817 -5,0099 -5,5392 -6,0549 -6,5363 -6,9581 -7,2995 -7,5572 -7,7465 -7,8808 -7,9536 -7,9436 -7,8348 -7,6283 -7,3438 -7,0198 -6,7048 -6,4366 -6,2342 -6,1074 -6,0612 -6,0827 -6,1364 -6,1798 -6,1864 -6,1576 -6,1170 -6,0954 -6,1160 -6,1928 -6,3280 -6,5024 -6,6733 -6,7867 -6,7989 -6,7013 -6,5226 -6,3011 -6,0562 -5,7883 -5,4974 -5,1999 -4,9339 -4,7466 -4,6701 -4,7060 -4,8283 -5,0009 -5,1914 -5,3715 -5,5123 -5,5899 -5,6010 -5,5683 -5,5330 -5,5422 -5,6368 -5,8363 -6,1212 -6,4294 -6,6839 -6,8367 -6,8920 -6,8888 -6,8701 -6,8674 -6,8996 -6,9714 -7,0746 -7,1912 -7,3003 -7,3893 -7,4632 -7,5427 -7,6519 -7,7998 -7,9673 -8,1165 -8,2140 -8,2432 -8,2020 -8,1015 -7,9696 -7,8498 -7,7867 -7,8080 -7,9143 -8,0823 -8,2780 -8,4710 -8,6504 -8,8312 -9,0387 -9,2832 -9,5472 -9,7956 -9,9951 -10,1287 -10,1993 -10,2238 -10,2214 -10,2034 -10,1706 -10,1186 -10,0502 -9,9837 -9,9474 -9,9648 -10,0454 -10,1818 -10,3530 -10,5302 -10,6821 -10,7829 -10,8221 -10,8105 -10,7723 -10,7267 -10,6800 -10,6329 -10,5849 -10,5289 -10,4493 -10,3301 -10,1664 -9,9625 -9,7288 -9,4820 -9,2399 -9,0117 -8,7996 -8,6057 -8,4275 -8,2520 -8,0641 -7,8574 -7,6267 -7,3624 -7,0597 -6,7280 -6,3876 -6,0617 -5,7723 -5,5374 -5,3649 -5,2453 -5,1556 -5,0762 -5,0091 -4,9756 -4,9943 -5,0582 -5,1318 -5,1706 -5,1471 -5,0649 -4,9571 -4,8723 -4,8531 -4,9140 -5,0360 -5,1869 -5,3450 -5,5017 -5,6483 -5,7712 -5,8643 -5,9391 -6,0120 -6,0821 -6,1261 -6,1186 -6,0612 -5,9877 -5,9488 -5,9919 -6,1379 -6,3646 -6,6162 -6,8352 -6,9873 -7,0583 -7,0425 -6,9449 -6,7907 -6,6202 -6,4711 -6,3647 -6,3080 -6,3037 -6,3595 -6,4892 -6,6997 -6,9752 -7,2768 -7,5574 -7,7805 -7,9344 -8,0321 -8,0905 -8,1065 -8,0598 -7,9409 -7,7717 -7,5963 -7,4559 -7,3679 -7,3228 -7,2934 -7,2515 -7,1875 -7,1179 -7,0717 -7,0681 -7,0997 -7,1379 -7,1530 -7,1257 -7,0470 -6,9210 -6,7625 -6,5863 -6,3972 -6,1906 -5,9612 -5,7077 -5,4271 -5,1122 -4,7658 -4,4121 -4,0848 -3,8016 -3,5520 -3,3105 -3,0576 -2,7851 -2,4899 -2,1748 -1,8572 -1,5674 -1,3355 -1,1774 -1,0891 -1,0533 -1,0526 -1,0758 -1,1182 -1,1773 -1,2492 -1,3300 -1,4214 -1,5364 -1,6913 -1,8888 -2,1127 -2,3403 -2,5532 -2,7450 -2,9238 -3,1043 -3,2991 -3,5171 -3,7651 -4,0467 -4,3593 -4,6909 -5,0261 -5,3499 -5,6451 -5,8949 -6,0955 -6,2526 -6,3666 -6,4380 -6,4887 -6,5639 -6,7080 -6,9379 -7,2369 -7,5654 -7,8711 -8,0967 -8,1959 -8,1534 -7,9915 -7,7620 -7,5278 -7,3414 -7,2302 -7,1958 -7,2223 -7,2897 -7,3801 -7,4762 -7,5606 -7,6153 -7,6190 -7,5508 -7,4034 -7,1868 -6,9229 -6,6381 -6,3578 -6,0918 -5,8186 -5,4849 -5,0356 -4,4522 -3,7649 -3,0341 -2,3189 -1,6513 -1,0310 -0,4437 0,1168 0,6447 1,1351 1,5904 2,0129 2,3958 2,7200 2,9566 3,0827 3,1007 3,0313 2,8899 2,6741 2,3713 1,9697 1,4662 0,8770 0,2420 -0,3877 -0,9731 -1,4986 -1,9657 -2,3895 -2,7997 -3,2349 -3,7263 -4,2762 -4,8507 -5,3939 -5,8557 -6,2138 -6,4822 -6,7027 -6,9154 -7,1282 -7,3143 -7,4407 -7,4903 -7,4640 -7,3715 -7,2258 -7,0474 -6,8733 -6,7503 -6,7145 -6,7779 -6,9293 -7,1419 -7,3831 -7,6218 -7,8309 -7,9840 -8,0560 -8,0361 -7,9420 -7,8113 -7,6788 -7,5652 -7,4829 -7,4424 -7,4498 -7,5024 -7,5901 -7,7050 -7,8429 -7,9916 -8,1284 -8,2331 -8,2940 -8,3017 -8,2424 -8,1011 -7,8700 -7,5567 -7,1825 -6,7754 -6,3606 -5,9509 -5,5427 -5,1303 -4,7250 -4,3506 -4,0228 -3,7438 -3,5104 -3,3190
Fz    0,3587 -0,0607 -0,4869 -0,9309 -1,4058 -1,9207 -2,4689 -3,0234 -3,5468 -4,0075 -4,3865 -4,6715 -4,8475 -4,8981 -4,8114 -4,5769 -4,1886 -3,6588 -3,0274 -2,3477 -1,6629 -0,9963 -0,3570 0,2528 0,8332 1,3815 1,8886 2,3409 2,7276 3,0443 3,2917 3,4745 3,6013 3,6742 3,6803 3,5998 3,4252 3,1726 2,8790 2,5889 2,3344 2,1216 1,9350 1,7542 1,5713 1,3979 1,2595 1,1858 1,1994 1,3079 1,4995 1,7496 2,0302 2,3156 2,5818 2,8031 2,9576 3,0383 3,0556 3,0280 2,9728 2,8993 2,8064 2,6857 2,5288 2,3350 2,1124 1,8764 1,6493 1,4563 1,3136 1,2153 1,1392 1,0647 0,9800 0,8828 0,7842 0,7118 0,6967 0,7494 0,8470 0,9383 0,9651 0,8887 0,7070 0,4482 0,1549 -0,1301 -0,3748 -0,5650 -0,7031 -0,8038 -0,8891 -0,9830 -1,1058 -1,2658 -1,4591 -1,6800 -1,9261 -2,1853 -2,4308 -2,6393 -2,8105 -2,9656 -3,1288 -3,3083 -3,4853 -3,6194 -3,6661 -3,5982 -3,4196 -3,1598 -2,8562 -2,5374 -2,2159 -1,8909 -1,5550 -1,1977 -0,8094 -0,3881 0,0595 0,5280 1,0225 1,5583 2,1525 2,8153 3,5429 4,3158 5,1094 5,9057 6,6964 7,4749 8,2274 8,9353 9,5844 10,1651 10,6634 11,0568 11,3191 11,4262 11,3591 11,1102 10,6926 10,1439 9,5178 8,8649 8,2195 7,5966 7,0003 6,4326 5,9019 5,4239 5,0152 4,6833 4,4195 4,1991 3,9931 3,7831 3,5686 3,3626 3,1876 3,0749 3,0581 3,1560 3,3563 3,6165 3,8805 4,1026 4,2650 4,3788 4,4703 4,5694 4,7010 4,8728 5,0631 5,2228 5,2935 5,2298 5,0155 4,6650 4,2169 3,7217 3,2289 2,7739 2,3688 2,0072 1,6743 1,3573 1,0509 0,7584 0,4838 0,2233 -0,0334 -0,2973 -0,5808 -0,9014 -1,2818 -1,7387 -2,2687 -2,8468 -3,4415 -4,0282 -4,5894 -5,1062 -5,5602 -5,9428 -6,2637 -6,5489 -6,8239 -7,0907 -7,3215 -7,4758 -7,5213 -7,4411 -7,2375 -6,9389 -6,6000 -6,2858 -6,0468 -5,9078 -5,8675 -5,9025 -5,9772 -6,0607 -6,1386 -6,2136 -6,2950 -6,3857 -6,4785 -6,5653 -6,6471 -6,7303 -6,8168 -6,9003 -6,9700 -7,0191 -7,0466 -7,0485 -7,0082 -6,9035 -6,7216 -6,4729 -6,1924 -5,9264 -5,7155 -5,5814 -5,5213 -5,5120 -5,5191 -5,5061 -5,4412 -5,3047 -5,0974 -4,8454 -4,5961 -4,4025 -4,3055 -4,3181 -4,4200 -4,5673 -4,7157 -4,8364 -4,9205 -4,9754 -5,0201 -5,0808 -5,1820 -5,3352 -5,5290 -5,7289 -5,8923 -5,9921 -6,0308 -6,0342 -6,0345 -6,0524 -6,0885 -6,1316 -6,1732 -6,2141 -6,2593 -6,3120 -6,3717 -6,4407 -6,5315 -6,6606 -6,8343 -7,0441 -7,2744 -7,5090 -7,7403 -7,9760 -8,2298 -8,5035 -8,7786 -9,0264 -9,2273 -9,3774 -9,4771 -9,5209 -9,5011 -9,4164 -9,2754 -9,0955 -8,9016 -8,7175 -8,5567 -8,4223 -8,3126 -8,2247 -8,1534 -8,0885 -8,0157 -7,9233 -7,8098 -7,6847 -7,5635 -7,4553 -7,3557 -7,2511 -7,1282 -6,9775 -6,7936 -6,5779 -6,3404 -6,0953 -5,8555 -5,6303 -5,4197 -5,2177 -5,0239 -4,8443 -4,6762 -4,5005 -4,2904 -4,0248 -3,6937 -3,2985 -2,8527 -2,3796 -1,9097 -1,4760 -1,1047 -0,8065 -0,5733 -0,3852 -0,2230 -0,0761 0,0545 0,1568 0,2185 0,2413 0,2470 0,2679 0,3336 0,4613 0,6475 0,8622 1,0599 1,2008 1,2636 1,2417 1,1348 0,9459 0,6844 0,3665 0,0084 -0,3784 -0,7803 -1,1725 -1,5188 -1,7880 -1,9762 -2,1123 -2,2433 -2,4108 -2,6311 -2,8864 -3,1375 -3,3496 -3,5058 -3,6006 -3,6315 -3,6025 -3,5298 -3,4379 -3,3512 -3,2934 -3,2912 -3,3681 -3,5310 -3,7671 -4,0506 -4,3510 -4,6398 -4,8965 -5,1125 -5,2932 -5,4509 -5,5902 -5,6966 -5,7434 -5,7109 -5,5962 -5,4116 -5,1774 -4,9187 -4,6598 -4,4197 -4,2095 -4,0338 -3,8941 -3,7886 -3,7118 -3,6519 -3,5912 -3,5120 -3,4002 -3,2502 -3,0700 -2,8795 -2,6963 -2,5235 -2,3528 -2,1778 -1,9994 -1,8178 -1,6292 -1,4369 -1,2594 -1,1190 -1,0235 -0,9623 -0,9147 -0,8579 -0,7688 -0,6275 -0,4310 -0,2006 0,0265 0,2152 0,3452 0,4134 0,4302 0,4107 0,3699 0,3187 0,2656 0,2156 0,1661 0,1053 0,0197 -0,0958 -0,2321 -0,3708 -0,4976 -0,6086 -0,7059 -0,7921 -0,8706 -0,9485 -1,0355 -1,1402 -1,2697 -1,4310 -1,6323 -1,8818 -2,1819 -2,5196 -2,8687 -3,2031 -3,5055 -3,7686 -4,0022 -4,2363 -4,5079 -4,8392 -5,2270 -5,6499 -6,0837 -6,5076 -6,8966 -7,2180 -7,4414 -7,5587 -7,5924 -7,5849 -7,5790 -7,6024 -7,6606 -7,7437 -7,8396 -7,9399 -8,0376 -8,1238 -8,1863 -8,2083 -8,1716 -8,0641 -7,8832 -7,6354 -7,3312 -6,9747 -6,5545 -6,0461 -5,4242 -4,6796 -3,8318 -2,9278 -2,0221 -1,1499 -0,3153 0,4997 1,3126 2,1253 2,9260 3,6968 4,4173 5,0647 5,6157 6,0488 6,3438 6,4840 6,4633 6,2898 5,9839 5,5721 5,0762 4,5021 3,8392 3,0768 2,2257 1,3256 0,4319 -0,4063 -1,1632 -1,8458 -2,4912 -3,1463 -3,8401 -4,5674 -5,2935 -5,9729 -6,5699 -7,0701 -7,4797 -7,8141 -8,0828 -8,2805 -8,3949 -8,4215 -8,3703 -8,2593 -8,1077 -7,9325 -7,7520 -7,5884 -7,4634 -7,3897 -7,3670 -7,3847 -7,4251 -7,4654 -7,4828 -7,4630 -7,4013 -7,2989 -7,1609 -6,9978 -6,8181 -6,6221 -6,4055 -6,1690 -5,9243 -5,6954 -5,5097 -5,3855 -5,3296 -5,3412 -5,4108 -5,5167 -5,6302 -5,7245 -5,7796 -5,7847 -5,7366 -5,6370 -5,4884 -5,2937 -5,0551 -4,7721 -4,4430 -4,0700 -3,6668 -3,2587 -2,8716 -2,5201 -2,2089 -1,9381 -1,7027
F3    -0,6152 -1,0327 -1,4631 -1,9106 -2,3814 -2,8751 -3,3757 -3,8533 -4,2741 -4,6088 -4,8349 -4,9370 -4,9062 -4,7402 -4,4397 -4,0027 -3,4302 -2,7418 -1,9815 -1,2032 -0,4489 0,2583 0,9043 1,4796 1,9832 2,4234 2,8097 3,1469 3,4374 3,6830 3,8792 4,0186 4,0993 4,1205 4,0719 3,9364 3,7070 3,3970 3,0350 2,6518 2,2675 1,8863 1,5027 1,1141 0,7305 0,3740 0,0698 -0,1647 -0,3284 -0,4383 -0,5201 -0,5907 -0,6494 -0,6835 -0,6803 -0,6371 -0,5618 -0,4632 -0,3492 -0,2306 -0,1219 -0,0398 -0,0044 -0,0328 -0,1303 -0,2857 -0,4738 -0,6617 -0,8165 -0,9138 -0,9461 -0,9273 -0,8828 -0,8302 -0,7720 -0,7012 -0,6048 -0,4611 -0,2446 0,0539 0,4117 0,7792 1,0974 1,3204 1,4302 1,4366 1,3676 1,2596 1,1456 1,0438 0,9549 0,8689 0,7722 0,6475 0,4771 0,2527 -0,0224 -0,3482 -0,7302 -1,1585 -1,5962 -1,9977 -2,3370 -2,6186 -2,8670 -3,1046 -3,3325 -3,5299 -3,6687 -3,7285 -3,7038 -3,6003 -3,4302 -3,2079 -2,9464 -2,6544 -2,3366 -1,9940 -1,6256 -1,2328 -0,8205 -0,3890 0,0680 0,5595 1,0970 1,6964 2,3692 3,1092 3,8953 4,7060 5,5263 6,3401 7,1225 7,8507 8,5171 9,1225 9,6552 10,0840 10,3705 10,4896 10,4367 10,2237 9,8719 9,4064 8,8510 8,2262 7,5498 6,8385 6,1122 5,3988 4,7303 4,1337 3,6265 3,2166 2,8957 2,6379 2,4137 2,2097 2,0305 1,8906 1,8081 1,8040 1,8987 2,0980 2,3825 2,7083 3,0237 3,2916 3,5047 3,6808 3,8421 4,0037 4,1722 4,3425 4,4904 4,5742 4,5493 4,3863 4,0836 3,6709 3,1990 2,7216 2,2806 1,8982 1,5752 1,2972 1,0477 0,8168 0,6037 0,4119 0,2405 0,0788 -0,0929 -0,2963 -0,5496 -0,8693 -1,2716 -1,7689 -2,3615 -3,0359 -3,7721 -4,5478 -5,3325 -6,0843 -6,7594 -7,3273 -7,7795 -8,1283 -8,3955 -8,5945 -8,7209 -8,7584 -8,6886 -8,4972 -8,1826 -7,7669 -7,2998 -6,8442 -6,4581 -6,1829 -6,0326 -5,9848 -5,9904 -6,0016 -5,9958 -5,9771 -5,9637 -5,9734 -6,0143 -6,0876 -6,1896 -6,3047 -6,4004 -6,4323 -6,3650 -6,1964 -5,9593 -5,6959 -5,4307 -5,1692 -4,9125 -4,6683 -4,4550 -4,2965 -4,2102 -4,1966 -4,2410 -4,3227 -4,4197 -4,5065 -4,5544 -4,5422 -4,4698 -4,3644 -4,2743 -4,2527 -4,3414 -4,5558 -4,8697 -5,2159 -5,5140 -5,7105 -5,7980 -5,8047 -5,7722 -5,7402 -5,7397 -5,7865 -5,8782 -5,9945 -6,1061 -6,1924 -6,2559 -6,3181 -6,4024 -6,5150 -6,6373 -6,7399 -6,8037 -6,8256 -6,8093 -6,7593 -6,6849 -6,6070 -6,5590 -6,5743 -6,6656 -6,8177 -6,9981 -7,1789 -7,3555 -7,5507 -7,7911 -8,0790 -8,3863 -8,6741 -8,9139 -9,0932 -9,2090 -9,2625 -9,2602 -9,2126 -9,1305 -9,0238 -8,9059 -8,7963 -8,7142 -8,6687 -8,6548 -8,6590 -8,6642 -8,6509 -8,5999 -8,5032 -8,3693 -8,2187 -8,0704 -7,9328 -7,8039 -7,6784 -7,5516 -7,4193 -7,2749 -7,1089 -6,9114 -6,6753 -6,4006 -6,0975 -5,7806 -5,4627 -5,1557 -4,8693 -4,6036 -4,3465 -4,0859 -3,8205 -3,5551 -3,2901 -3,0218 -2,7449 -2,4565 -2,1611 -1,8756 -1,6250 -1,4288 -1,2883 -1,1893 -1,1171 -1,0677 -1,0485 -1,0680 -1,1243 -1,1999 -1,2706 -1,3169 -1,3263 -1,2938 -1,2305 -1,1658 -1,1328 -1,1481 -1,2118 -1,3205 -1,4728 -1,6630 -1,8790 -2,1100 -2,3491 -2,5853 -2,7982 -2,9635 -3,0683 -3,1222 -3,1540 -3,2015 -3,3010 -3,4699 -3,6935 -3,9360 -4,1647 -4,3577 -4,4917 -4,5382 -4,4820 -4,3380 -4,1419 -3,9322 -3,7448 -3,6151 -3,5716 -3,6262 -3,7754 -4,0061 -4,2958 -4,6135 -4,9259 -5,2075 -5,4471 -5,6470 -5,8086 -5,9181 -5,9476 -5,8736 -5,6975 -5,4535 -5,1934 -4,9609 -4,7734 -4,6212 -4,4809 -4,3377 -4,2002 -4,0957 -4,0500 -4,0702 -4,1408 -4,2335 -4,3180 -4,3690 -4,3748 -4,3389 -4,2707 -4,1742 -4,0457 -3,8802 -3,6757 -3,4272 -3,1304 -2,7974 -2,4646 -2,1760 -1,9547 -1,7921 -1,6601 -1,5296 -1,3773 -1,1859 -0,9517 -0,6929 -0,4429 -0,2339 -0,0828 0,0135 0,0719 0,1092 0,1304 0,1275 0,0868 -0,0024 -0,1435 -0,3314 -0,5546 -0,7984 -1,0432 -1,2650 -1,4460 -1,5825 -1,6836 -1,7637 -1,8372 -1,9169 -2,0171 -2,1539 -2,3421 -2,5899 -2,8933 -3,2381 -3,6081 -3,9851 -4,3476 -4,6756 -4,9563 -5,1863 -5,3792 -5,5694 -5,7990 -6,0929 -6,4435 -6,8178 -7,1748 -7,4775 -7,6943 -7,8015 -7,7938 -7,6921 -7,5387 -7,3831 -7,2673 -7,2128 -7,2160 -7,2590 -7,3252 -7,4035 -7,4840 -7,5565 -7,6105 -7,6335 -7,6144 -7,5522 -7,4542 -7,3285 -7,1812 -7,0138 -6,8126 -6,5390 -6,1381 -5,5685 -4,8322 -3,9807 -3,0914 -2,2315 -1,4327 -0,6958 -0,0133 0,6138 1,1756 1,6624 2,0715 2,4049 2,6619 2,8358 2,9173 2,9013 2,7921 2,5978 2,3253 1,9813 1,5739 1,1078 0,5821 0,0003 -0,6202 -1,2535 -1,8770 -2,4741 -3,0325 -3,5516 -4,0487 -4,5485 -5,0624 -5,5789 -6,0699 -6,5048 -6,8655 -7,1554 -7,3985 -7,6279 -7,8645 -8,0998 -8,2996 -8,4277 -8,4629 -8,4018 -8,2563 -8,0534 -7,8349 -7,6490 -7,5323 -7,4962 -7,5296 -7,6155 -7,7424 -7,9021 -8,0822 -8,2666 -8,4355 -8,5667 -8,6452 -8,6740 -8,6685 -8,6403 -8,5913 -8,5238 -8,4545 -8,4146 -8,4316 -8,5094 -8,6310 -8,7730 -8,9135 -9,0375 -9,1420 -9,2308 -9,3035 -9,3477 -9,3426 -9,2687 -9,1155 -8,8834 -8,5801 -8,2154 -7,7986 -7,3429 -6,8746 -6,4356 -6,0657 -5,7787 -5,5578 -5,3735 -5,1995
F7    -0,9172 -1,1730 -1,4633 -1,7838 -2,1372 -2,5188 -2,9037 -3,2607 -3,5723 -3,8317 -4,0238 -4,1156 -4,0682 -3,8618 -3,5043 -3,0214 -2,4469 -1,8224 -1,1908 -0,5871 -0,0334 0,4617 0,9018 1,2973 1,6588 1,9964 2,3206 2,6325 2,9191 3,1603 3,3382 3,4435 3,4790 3,4514 3,3603 3,2064 3,0064 2,7886 2,5699 2,3423 2,0820 1,7666 1,3881 0,9594 0,5101 0,0766 -0,3093 -0,6275 -0,8756 -1,0677 -1,2268 -1,3738 -1,5166 -1,6446 -1,7365 -1,7814 -1,7865 -1,7636 -1,7156 -1,6397 -1,5335 -1,4026 -1,2695 -1,1677 -1,1206 -1,1285 -1,1752 -1,2378 -1,2922 -1,3183 -1,3085 -1,2682 -1,2060 -1,1236 -1,0158 -0,8781 -0,7083 -0,5005 -0,2426 0,0733 0,4382 0,8175 1,1539 1,3905 1,4967 1,4805 1,3864 1,2799 1,2193 1,2333 1,3202 1,4554 1,5927 1,6697 1,6322 1,4631 1,1874 0,8538 0,5155 0,2222 0,0073 -0,1314 -0,2320 -0,3455 -0,5106 -0,7381 -1,0051 -1,2620 -1,4543 -1,5464 -1,5307 -1,4201 -1,2387 -1,0149 -0,7753 -0,5385 -0,3142 -0,1048 0,0981 0,3136 0,5600 0,8463 1,1770 1,5564 1,9891 2,4793 3,0298 3,6377 4,2941 4,9875 5,7071 6,4403 7,1643 7,8459 8,4533 8,9629 9,3560 9,6180 9,7432 9,7390 9,6224 9,4092 9,1055 8,7090 8,2147 7,6212 6,9339 6,1660 5,3397 4,4924 3,6765 2,9440 2,3340 1,8673 1,5387 1,3117 1,1299 0,9458 0,7452 0,5482 0,3925 0,3179 0,3574 0,5273 0,8146 1,1749 1,5499 1,8937 2,1894 2,4432 2,6628 2,8464 2,9870 3,0804 3,1297 3,1419 3,1158 3,0404 2,9075 2,7238 2,5083 2,2842 2,0708 1,8778 1,7069 1,5618 1,4485 1,3597 1,2683 1,1380 0,9422 0,6741 0,3429 -0,0361 -0,4446 -0,8647 -1,2850 -1,7050 -2,1319 -2,5762 -3,0513 -3,5728 -4,1451 -4,7465 -5,3363 -5,8756 -6,3405 -6,7214 -7,0145 -7,2137 -7,3133 -7,3192 -7,2536 -7,1461 -7,0191 -6,8841 -6,7496 -6,6284 -6,5412 -6,5121 -6,5561 -6,6640 -6,8002 -6,9158 -6,9689 -6,9427 -6,8546 -6,7444 -6,6468 -6,5805 -6,5503 -6,5498 -6,5591 -6,5435 -6,4621 -6,2900 -6,0338 -5,7227 -5,3852 -5,0369 -4,6888 -4,3624 -4,0954 -3,9272 -3,8781 -3,9391 -4,0797 -4,2623 -4,4509 -4,6144 -4,7276 -4,7753 -4,7604 -4,7082 -4,6640 -4,6786 -4,7881 -4,9999 -5,2869 -5,5929 -5,8544 -6,0301 -6,1123 -6,1213 -6,0981 -6,0921 -6,1423 -6,2672 -6,4657 -6,7191 -6,9926 -7,2452 -7,4501 -7,6091 -7,7480 -7,8948 -8,0606 -8,2381 -8,4101 -8,5561 -8,6602 -8,7208 -8,7551 -8,7974 -8,8856 -9,0387 -9,2451 -9,4750 -9,6982 -9,8939 -10,0579 -10,2018 -10,3386 -10,4689 -10,5853 -10,6856 -10,7754 -10,8583 -10,9279 -10,9748 -11,0012 -11,0196 -11,0349 -11,0365 -11,0144 -10,9747 -10,9366 -10,9218 -10,9461 -11,0119 -11,1039 -11,1931 -11,2471 -11,2413 -11,1716 -11,0614 -10,9522 -10,8814 -10,8698 -10,9263 -11,0489 -11,2193 -11,4018 -11,5506 -11,6217 -11,5846 -11,4369 -11,2082 -10,9417 -10,6668 -10,3923 -10,1197 -9,8513 -9,5872 -9,3257 -9,0675 -8,8146 -8,5634 -8,3048 -8,0289 -7,7303 -7,4155 -7,1098 -6,8513 -6,6708 -6,5739 -6,5402 -6,5354 -6,5251 -6,4848 -6,4065 -6,2992 -6,1837 -6,0843 -6,0188 -5,9904 -5,9879 -5,9970 -6,0095 -6,0210 -6,0262 -6,0272 -6,0416 -6,0917 -6,1854 -6,3140 -6,4658 -6,6338 -6,8095 -6,9762 -7,1145 -7,2137 -7,2760 -7,3077 -7,3108 -7,2897 -7,2562 -7,2278 -7,2219 -7,2546 -7,3307 -7,4308 -7,5150 -7,5483 -7,5240 -7,4656 -7,4128 -7,4007 -7,4466 -7,5536 -7,7177 -7,9261 -8,1510 -8,3516 -8,4894 -8,5453 -8,5282 -8,4773 -8,4482 -8,4804 -8,5720 -8,6811 -8,7521 -8,7495 -8,6765 -8,5686 -8,4678 -8,4015 -8,3740 -8,3720 -8,3797 -8,3930 -8,4211 -8,4756 -8,5567 -8,6480 -8,7242 -8,7571 -8,7181 -8,5907 -8,3835 -8,1277 -7,8605 -7,6107 -7,3943 -7,2114 -7,0405 -6,8472 -6,6063 -6,3154 -5,9913 -5,6541 -5,3126 -4,9652 -4,6134 -4,2675 -3,9377 -3,6310 -3,3585 -3,1416 -3,0039 -2,9535 -2,9736 -3,0290 -3,0858 -3,1290 -3,1662 -3,2185 -3,3047 -3,4281 -3,5795 -3,7533 -3,9566 -4,1978 -4,4729 -4,7630 -5,0370 -5,2614 -5,4204 -5,5268 -5,6176 -5,7388 -5,9260 -6,1878 -6,4991 -6,8134 -7,0930 -7,3316 -7,5406 -7,7270 -7,8935 -8,0431 -8,1712 -8,2697 -8,3439 -8,4157 -8,5100 -8,6420 -8,8140 -9,0203 -9,2461 -9,4624 -9,6286 -9,7100 -9,6995 -9,6272 -9,5458 -9,5008 -9,5067 -9,5465 -9,5905 -9,6124 -9,5905 -9,5057 -9,3519 -9,1449 -8,9169 -8,7027 -8,5286 -8,4090 -8,3477 -8,3398 -8,3678 -8,3892 -8,3314 -8,1178 -7,7088 -7,1241 -6,4298 -5,7047 -5,0073 -4,3592 -3,7524 -3,1709 -2,6050 -2,0576 -1,5439 -1,0833 -0,6820 -0,3254 0,0018 0,2918 0,5186 0,6588 0,7018 0,6452 0,4901 0,2426 -0,0871 -0,4856 -0,9338 -1,4074 -1,8869 -2,3632 -2,8301 -3,2822 -3,7264 -4,1833 -4,6670 -5,1703 -5,6720 -6,1501 -6,5869 -6,9668 -7,2727 -7,4945 -7,6487 -7,7794 -7,9319 -8,1259 -8,3494 -8,5700 -8,7543 -8,8825 -8,9548 -8,9911 -9,0229 -9,0755 -9,1553 -9,2546 -9,3652 -9,4866 -9,6253 -9,7892 -9,9772 -10,1713 -10,3430 -10,4729 -10,5636 -10,6313 -10,6842 -10,7133 -10,7045 -10,6568 -10,5870 -10,5224 -10,4901 -10,5064 -10,5683 -10,6521 -10,7222 -10,7459 -10,7022 -10,5845 -10,4022 -10,1806 -9,9534 -9,7470 -9,5677 -9,4028 -9,2289 -9,0175 -8,7395 -8,3799 -7,9574 -7,5217 -7,1274 -6,8086 -6,5701 -6,3904
