Fp1   -0,3673 -0,6873 -0,9480 -1,1239 -1,1827 -1,0978 -0,8631 -0,5026 -0,0756 0,3348 0,6488 0,8131 0,8097 0,6509 0,3682 0,0124 -0,3426 -0,6215 -0,7921 -0,8827 -0,9458 -1,0103 -1,0679 -1,0917 -1,0563 -0,9348 -0,7009 -0,3518 0,0832 0,5588 1,0211 1,4120 1,6960 1,8812 1,9971 2,0596 2,0650 2,0100 1,9036 1,7538 1,5466 1,2456 0,8176 0,2654 -0,3613 -0,9847 -1,5312 -1,9471 -2,2013 -2,2821 -2,1861 -1,9135 -1,4842 -0,9552 -0,4090 0,0842 0,4959 0,8364 1,1307 1,4004 1,6528 1,8687 2,0094 2,0486 1,9987 1,9038 1,8054 1,7087 1,5755 1,3504 1,0085 0,5978 0,2360 0,0452 0,0782 0,3065 0,6639 1,0826 1,5001 1,8651 2,1514 2,3666 2,5412 2,7091 2,8981 3,1340 3,4380 3,8090 4,2119 4,5921 4,9061 5,1427 5,3184 5,4537 5,5574 5,6314 5,6904 5,7788 5,9568 6,2437 6,5745 6,8289 6,9013 6,7431 6,3702 5,8474 5,2531 4,6517 4,0926 3,6098 3,2132 2,8835 2,5832 2,2742 1,9286 1,5376 1,1119 0,6702 0,2268 -0,2130 -0,6496 -1,0729 -1,4493 -1,7334 -1,8928 -1,9272 -1,8752 -1,7998 -1,7490 -1,7190 -1,6613 -1,5236 -1,2777 -0,9157 -0,4304 0,2038 1,0270 2,0532 3,2291 4,4430 5,5754 6,5421 7,3061 7,8595 8,2024 8,3439 8,3206 8,2005 8,0544 7,9275 7,8373 7,7807 7,7358 7,6750 7,5860 7,4761 7,3490 7,1828 6,9472 6,6403 6,2967 5,9663 5,6970 5,5200 5,4289 5,3754 5,2958 5,1489 4,9372 4,6978 4,4815 4,3304 4,2561 4,2287 4,2018 4,1641 4,1506 4,1907 4,2573 4,2766 4,1864 3,9820 3,7129 3,4467 3,2402 3,1355 3,1644 3,3459 3,6727 4,0981 4,5354 4,8771 5,0389 5,0030 4,8273 4,6123 4,4468 4,3714 4,3896 4,5010 4,7057 4,9877 5,3105 5,6371 5,9533 6,2672 6,5824 6,8852 7,1547 7,3729 7,5237 7,5942 7,5757 7,4551 7,2147 6,8422 6,3413 5,7394 5,0990 4,5165 4,0938 3,8970 3,9383 4,1805 4,5419 4,9057 5,1525 5,1978 5,0093 4,6016 4,0202 3,3311 2,6184 1,9786 1,5038 1,2584 1,2537 1,4399 1,7312 2,0448 2,3216 2,5261 2,6393 2,6487 2,5466 2,3425 2,0716 1,7871 1,5426 1,3738 1,2909 1,2896 1,3634 1,4904 1,6154 1,6772 1,6770 1,7007 1,8560 2,1888 2,6561 3,1628 3,6132 3,9377 4,1002 4,0994 3,9694 3,7780 3,6179 3,5760 3,6851 3,8961 4,0944 4,1517 3,9855 3,5958 3,0624 2,5095 2,0523 1,7548 1,6289 1,6588 1,8104 2,0293 2,2554 2,4474 2,5948 2,7139 2,8271 2,9401 3,0376 3,0964 3,0954 3,0231 2,8841 2,6989 2,4954 2,2955 2,1057 1,9248 1,7590 1,6285 1,5638 1,5920 1,7200 1,9279 2,1786 2,4315 2,6550 2,8327 2,9618 3,0584 3,1578 3,2886 3,4410 3,5785 3,6817 3,7567 3,8058 3,8225 3,8184 3,8348 3,9273 4,1427 4,4906 4,9279 5,3730 5,7399 5,9735 6,0607 6,0063 5,8178 5,5170 5,1512 4,7843 4,4777 4,2744 4,1996 4,2617 4,4355 4,6635 4,8878 5,0686 5,1724 5,1625 5,0216 4,7806 4,5067 4,2571 4,0594 3,9246 3,8477 3,7959 3,7178 3,5737 3,3541 3,0786 2,7918 2,5600 2,4506 2,4987 2,6978 3,0248 3,4525 3,9340 4,4021 4,7943 5,0797 5,2730 5,4293 5,6148 5,8639 6,1509 6,3992 6,5220 6,4571 6,1818 5,7239 5,1590 4,5800 4,0623 3,6547 3,3806 3,2360 3,1932 3,2087 3,2297 3,2090 3,1250 2,9872 2,8246 2,6683 2,5331 2,4153 2,3053 2,1894 2,0405 1,8304 1,5547 1,2405 0,9334 0,6757 0,4803 0,3259 0,1921 0,0974 0,0931 0,2178 0,4668 0,7979 1,1449 1,4273 1,5788 1,5823 1,4749 1,3197 1,1782 1,1009 1,1301 1,2875 1,5512 1,8567 2,1276 2,3033 2,3448 2,2451 2,0466 1,8190 1,5991 1,3658 1,0722 0,6869 0,2184 -0,2808 -0,7364 -1,0947 -1,3446 -1,4924 -1,5316 -1,4462 -1,2317 -0,9081 -0,5264 -0,1622 0,1036 0,2073 0,1213 -0,1380 -0,5104 -0,9011 -1,2055 -1,3400 -1,2626 -0,9814 -0,5551 -0,0676 0,4190 0,8957 1,3906 1,9171 2,4365 2,8727 3,1639 3,3102 3,3821 3,4752 3,6451 3,8776 4,1023 4,2284 4,1839 3,9411 3,5236 2,9994 2,4595 1,9941 1,6731 1,5249 1,5315 1,6573 1,8817 2,1912 2,5489 2,8845 3,1210 3,2076 3,1337 2,9153 2,5713 2,1173 1,5775 0,9803 0,3391 -0,3476 -1,0785 -1,8347 -2,5670 -3,1932 -3,6309 -3,8444 -3,8655 -3,7718 -3,6431 -3,5237 -3,4124 -3,2864 -3,1324 -2,9419 -2,6857 -2,3151 -1,7922 -1,1159 -0,3248 0,5232 1,3779 2,2110 3,0043 3,7263 4,3356 4,8132 5,1855 5,5042 5,8037 6,0840 6,3151 6,4485 6,4432 6,2951 6,0362 5,7060 5,3349 4,9549 4,6084 4,3290 4,1276 3,9995 3,9230 3,8478 3,7059 3,4540 3,0988 2,6705 2,1842 1,6358 1,0184 0,3355 -0,3910 -1,1160 -1,7773 -2,3157 -2,6890 -2,8777 -2,8815 -2,7093 -2,3846 -1,9575 -1,4928 -1,0430 -0,6441 -0,3320 -0,1397 -0,0693 -0,0861 -0,1649 -0,3161 -0,5449 -0,8087 -1,0335 -1,1698 -1,2284 -1,2695 -1,3543 -1,5003 -1,6774 -1,8396 -1,9500 -1,9945 -1,9913 -1,9844 -2,0193 -2,1202 -2,2772 -2,4507 -2,5961 -2,6888 -2,7158 -2,6545 -2,4795 -2,1901 -1,8215 -1,4264 -1,0532 -0,7442 -0,5293 -0,4009 -0,3048 -0,1721 0,0342 0,2974 0,5730
Fz    0,9323 0,8594 0,7800 0,6791 0,5551 0,4223 0,3061 0,2367 0,2333 0,2811 0,3324 0,3365 0,2685 0,1367 -0,0253 -0,1698 -0,2496 -0,2374 -0,1444 -0,0218 0,0644 0,0673 -0,0213 -0,1733 -0,3411 -0,4745 -0,5341 -0,5023 -0,3834 -0,1943 0,0384 0,2810 0,5044 0,6929 0,8402 0,9422 0,9947 0,9954 0,9431 0,8319 0,6454 0,3626 -0,0196 -0,4735 -0,9511 -1,4012 -1,7787 -2,0502 -2,1976 -2,2186 -2,1256 -1,9429 -1,7012 -1,4331 -1,1684 -0,9242 -0,7004 -0,4902 -0,2968 -0,1392 -0,0451 -0,0402 -0,1340 -0,3117 -0,5350 -0,7490 -0,8999 -0,9560 -0,9193 -0,8221 -0,7104 -0,6159 -0,5344 -0,4397 -0,3169 -0,1764 -0,0364 0,0957 0,2228 0,3504 0,4909 0,6654 0,8889 1,1556 1,4482 1,7634 2,1187 2,5337 3,0040 3,4940 3,9598 4,3746 4,7341 5,0473 5,3288 5,5941 5,8587 6,1483 6,5002 6,9341 7,4172 7,8685 8,1986 8,3459 8,2928 8,0660 7,7145 7,2849 6,8211 6,3686 5,9629 5,6169 5,3185 5,0384 4,7426 4,4023 3,9909 3,4771 2,8393 2,0951 1,3163 0,6092 0,0710 -0,2488 -0,3587 -0,3087 -0,1639 0,0203 0,2198 0,4500 0,7474 1,1388 1,6245 2,1847 2,8005 3,4755 4,2372 5,1061 6,0569 7,0162 7,9037 8,6724 9,3150 9,8403 10,2528 10,5548 10,7577 10,8770 10,9151 10,8632 10,7289 10,5496 10,3700 10,2210 10,1182 10,0580 10,0084 9,9160 9,7366 9,4621 9,1218 8,7636 8,4315 8,1513 7,9299 7,7665 7,6668 7,6477 7,7213 7,8761 8,0783 8,2911 8,4881 8,6529 8,7791 8,8742 8,9552 9,0296 9,0812 9,0791 8,9992 8,8408 8,6207 8,3570 8,0620 7,7521 7,4619 7,2449 7,1574 7,2260 7,4144 7,6233 7,7341 7,6680 7,4190 7,0404 6,6021 6,1574 5,7413 5,3921 5,1566 5,0671 5,1218 5,2924 5,5460 5,8574 6,2050 6,5652 6,9171 7,2502 7,5671 7,8797 8,1968 8,5040 8,7535 8,8787 8,8242 8,5749 8,1709 7,6999 7,2661 6,9531 6,8028 6,8083 6,9180 7,0583 7,1658 7,2061 7,1707 7,0690 6,9270 6,7853 6,6889 6,6731 6,7586 6,9469 7,2092 7,4902 7,7366 7,9249 8,0619 8,1583 8,2085 8,1902 8,0831 7,8922 7,6577 7,4422 7,3024 7,2631 7,3117 7,4223 7,5789 7,7699 7,9663 8,1304 8,2549 8,3797 8,5583 8,8110 9,1069 9,3792 9,5534 9,5766 9,4409 9,1865 8,8801 8,5941 8,3957 8,3298 8,3944 8,5274 8,6263 8,5939 8,3801 7,9956 7,5002 6,9772 6,5036 6,1344 5,9039 5,8251 5,8759 5,9976 6,1225 6,2059 6,2364 6,2255 6,1882 6,1259 6,0255 5,8728 5,6722 5,4530 5,2551 5,1078 5,0184 4,9741 4,9547 4,9488 4,9566 4,9861 5,0569 5,1978 5,4277 5,7338 6,0727 6,3954 6,6734 6,9060 7,1096 7,3077 7,5253 7,7776 8,0578 8,3422 8,6109 8,8576 9,0862 9,3164 9,5860 9,9287 10,3544 10,8547 11,4064 11,9652 12,4690 12,8580 13,1003 13,1987 13,1740 13,0525 12,8702 12,6729 12,5047 12,3936 12,3452 12,3487 12,3847 12,4244 12,4336 12,3873 12,2777 12,1046 11,8600 11,5305 11,1144 10,6304 10,1040 9,5546 9,0022 8,4725 7,9829 7,5336 7,1166 6,7274 6,3696 6,0594 5,8283 5,7123 5,7283 5,8604 6,0717 6,3216 6,5708 6,7879 6,9616 7,1070 7,2577 7,4540 7,7283 8,0838 8,4787 8,8418 9,1100 9,2466 9,2338 9,0738 8,8034 8,4899 8,1965 7,9547 7,7656 7,6149 7,4881 7,3767 7,2751 7,1812 7,1050 7,0683 7,0889 7,1656 7,2810 7,4115 7,5328 7,6135 7,6154 7,5116 7,3072 7,0347 6,7340 6,4421 6,1889 5,9891 5,8462 5,7682 5,7713 5,8629 6,0276 6,2317 6,4341 6,5956 6,6897 6,7156 6,6951 6,6564 6,6208 6,6082 6,6537 6,8060 7,0945 7,4942 7,9266 8,2977 8,5360 8,6131 8,5479 8,3903 8,1874 7,9623 7,7183 7,4505 7,1580 6,8591 6,5858 6,3532 6,1510 5,9736 5,8422 5,7932 5,8558 6,0313 6,2800 6,5248 6,6721 6,6503 6,4521 6,1441 5,8281 5,5923 5,4840 5,5026 5,6067 5,7393 5,8599 5,9617 6,0659 6,2058 6,4100 6,6795 6,9772 7,2498 7,4668 7,6480 7,8521 8,1268 8,4704 8,8398 9,1750 9,4121 9,4988 9,4102 9,1518 8,7560 8,2798 7,8008 7,3981 7,1170 6,9533 6,8766 6,8583 6,8761 6,9059 6,9202 6,8877 6,7736 6,5507 6,2178 5,8005 5,3292 4,8196 4,2724 3,6846 3,0615 2,4203 1,7942 1,2343 0,7910 0,4795 0,2678 0,0976 -0,0821 -0,2873 -0,4931 -0,6535 -0,7246 -0,6765 -0,4895 -0,1467 0,3692 1,0672 1,9365 2,9453 4,0491 5,2048 6,3784 7,5339 8,6121 9,5271 10,1987 10,5983 10,7601 10,7488 10,6279 10,4463 10,2260 9,9602 9,6331 9,2338 8,7458 8,1524 7,4710 6,7603 6,0851 5,4900 4,9928 4,5793 4,2087 3,8392 3,4557 3,0703 2,6992 2,3492 2,0227 1,7248 1,4592 1,2263 1,0289 0,8693 0,7494 0,6829 0,6881 0,7633 0,8892 1,0479 1,2234 1,3970 1,5499 1,6575 1,6912 1,6432 1,5437 1,4379 1,3482 1,2718 1,2083 1,1700 1,1703 1,2153 1,3050 1,4327 1,5924 1,7942 2,0649 2,4234 2,8571 3,3211 3,7502 4,0702 4,2074 4,1120 3,7934 3,3242 2,8040 2,3228 1,9484 1,7237 1,6594 1,7273 1,8733 2,0491 2,2294 2,4036 2,5740 2,7666 3,0279 3,3981 3,8781 4,4237 4,9728
F3    1,2401 1,0474 0,8708 0,7110 0,5732 0,4698 0,4193 0,4444 0,5550 0,7238 0,8879 0,9798 0,9587 0,8221 0,6034 0,3607 0,1537 0,0193 -0,0442 -0,0731 -0,1122 -0,1849 -0,2800 -0,3626 -0,3962 -0,3581 -0,2463 -0,0798 0,1113 0,2983 0,4572 0,5701 0,6312 0,6474 0,6309 0,5936 0,5448 0,4888 0,4205 0,3226 0,1637 -0,0916 -0,4574 -0,9126 -1,4125 -1,9065 -2,3440 -2,6779 -2,8720 -2,9086 -2,7943 -2,5574 -2,2362 -1,8710 -1,4966 -1,1325 -0,7806 -0,4407 -0,1271 0,1296 0,2949 0,3435 0,2730 0,1073 -0,1084 -0,3158 -0,4601 -0,5126 -0,4835 -0,4151 -0,3568 -0,3333 -0,3318 -0,3214 -0,2859 -0,2334 -0,1769 -0,1172 -0,0439 0,0550 0,1926 0,3860 0,6477 0,9703 1,3297 1,7095 2,1159 2,5639 3,0513 3,5458 4,0014 4,3824 4,6723 4,8686 4,9807 5,0320 5,0603 5,1163 5,2542 5,4994 5,8161 6,1177 6,3135 6,3425 6,1878 5,8774 5,4644 4,9976 4,5131 4,0410 3,6042 3,2105 2,8496 2,5000 2,1412 1,7591 1,3375 0,8498 0,2717 -0,3902 -1,0801 -1,7066 -2,1836 -2,4678 -2,5670 -2,5231 -2,3911 -2,2202 -2,0307 -1,8056 -1,5092 -1,1158 -0,6215 -0,0364 0,6328 1,3989 2,2913 3,3230 4,4501 5,5723 6,5816 7,4145 8,0636 8,5534 8,9120 9,1647 9,3404 9,4628 9,5309 9,5256 9,4445 9,3191 9,1921 9,0939 9,0402 9,0288 9,0299 8,9907 8,8643 8,6362 8,3258 7,9700 7,6077 7,2710 6,9774 6,7338 6,5502 6,4499 6,4535 6,5538 6,7128 6,8837 7,0288 7,1241 7,1619 7,1586 7,1459 7,1401 7,1224 7,0540 6,9106 6,7023 6,4621 6,2192 5,9892 5,7887 5,6498 5,6186 5,7331 5,9930 6,3378 6,6579 6,8402 6,8201 6,6084 6,2759 5,9078 5,5626 5,2672 5,0417 4,9100 4,8837 4,9501 5,0847 5,2695 5,4955 5,7509 6,0151 6,2681 6,5007 6,7142 6,9169 7,1170 7,3071 7,4501 7,4864 7,3604 7,0543 6,6050 6,0957 5,6259 5,2817 5,1123 5,1114 5,2143 5,3281 5,3764 5,3203 5,1490 4,8700 4,5154 4,1483 3,8470 3,6772 3,6760 3,8467 4,1518 4,5174 4,8626 5,1375 5,3319 5,4523 5,4988 5,4614 5,3318 5,1216 4,8699 4,6322 4,4573 4,3692 4,3676 4,4461 4,6026 4,8262 5,0831 5,3317 5,5585 5,7901 6,0631 6,3824 6,7070 6,9692 7,1057 7,0816 6,9036 6,6167 6,2852 5,9774 5,7589 5,6783 5,7425 5,9022 6,0654 6,1362 6,0545 5,8157 5,4662 5,0807 4,7314 4,4684 4,3195 4,2910 4,3541 4,4472 4,5085 4,5090 4,4600 4,3931 4,3316 4,2737 4,2007 4,0954 3,9586 3,8100 3,6726 3,5577 3,4611 3,3671 3,2593 3,1337 3,0015 2,8865 2,8277 2,8709 3,0391 3,3077 3,6152 3,8979 4,1190 4,2723 4,3687 4,4271 4,4727 4,5292 4,6067 4,7016 4,8091 4,9258 5,0470 5,1797 5,3523 5,5975 5,9324 6,3547 6,8408 7,3423 7,7956 8,1440 8,3627 8,4673 8,4943 8,4768 8,4424 8,4165 8,4192 8,4574 8,5209 8,5922 8,6596 8,7142 8,7420 8,7310 8,6793 8,5862 8,4363 8,2039 7,8780 7,4759 7,0284 6,5637 6,1105 5,6978 5,3422 5,0419 4,7840 4,5531 4,3390 4,1445 3,9890 3,9034 3,9107 4,0126 4,1920 4,4211 4,6647 4,8873 5,0663 5,2029 5,3215 5,4607 5,6582 5,9269 6,2354 6,5180 6,7070 6,7521 6,6228 6,3216 5,9026 5,4552 5,0595 4,7555 4,5459 4,4131 4,3337 4,2860 4,2496 4,2074 4,1538 4,1017 4,0767 4,0999 4,1743 4,2835 4,3953 4,4609 4,4258 4,2606 3,9837 3,6467 3,3036 2,9932 2,7339 2,5244 2,3542 2,2232 2,1489 2,1505 2,2314 2,3757 2,5509 2,7126 2,8252 2,8818 2,8999 2,8963 2,8770 2,8547 2,8702 2,9808 3,2198 3,5666 3,9523 4,2878 4,4940 4,5346 4,4361 4,2665 4,0794 3,8839 3,6614 3,3932 3,0759 2,7297 2,3912 2,0846 1,8108 1,5726 1,3918 1,3022 1,3378 1,5124 1,7900 2,0822 2,2814 2,3048 2,1315 1,8136 1,4564 1,1775 1,0606 1,1255 1,3308 1,6018 1,8664 2,0901 2,2934 2,5346 2,8671 3,2931 3,7500 4,1446 4,4044 4,5106 4,5084 4,4851 4,5181 4,6314 4,7905 4,9226 4,9517 4,8297 4,5443 4,1149 3,5943 3,0660 2,6189 2,3105 2,1532 2,1315 2,2205 2,3867 2,5818 2,7515 2,8505 2,8444 2,7039 2,4095 1,9602 1,3809 0,7194 0,0284 -0,6603 -1,3403 -2,0217 -2,7154 -3,4048 -4,0312 -4,5292 -4,8761 -5,1005 -5,2514 -5,3598 -5,4222 -5,4176 -5,3318 -5,1624 -4,9007 -4,5188 -3,9838 -3,2850 -2,4415 -1,4896 -0,4670 0,5953 1,6718 2,7271 3,6964 4,4894 5,0341 5,3233 5,4140 5,3870 5,3136 5,2375 5,1607 5,0477 4,8546 4,5558 4,1432 3,6176 3,0012 2,3430 1,6973 1,1073 0,5992 0,1715 -0,2101 -0,5890 -0,9808 -1,3655 -1,7173 -2,0292 -2,3104 -2,5768 -2,8469 -3,1299 -3,4134 -3,6679 -3,8637 -3,9798 -4,0120 -3,9701 -3,8599 -3,6819 -3,4511 -3,2007 -2,9635 -2,7633 -2,6219 -2,5546 -2,5509 -2,5759 -2,6046 -2,6428 -2,7098 -2,8116 -2,9329 -3,0527 -3,1613 -3,2583 -3,3355 -3,3670 -3,3194 -3,1728 -2,9357 -2,6491 -2,3747 -2,1776 -2,1143 -2,2197 -2,4904 -2,8921 -3,3837 -3,9156 -4,4100 -4,7725 -4,9411 -4,9239 -4,7866 -4,6082 -4,4489 -4,3409 -4,2844 -4,2459 -4,1721 -4,0106 -3,7366 -3,3720 -2,9690
F7    -0,4265 -0,5682 -0,7010 -0,7967 -0,8271 -0,7717 -0,6226 -0,3852 -0,0812 0,2510 0,5634 0,8085 0,9520 0,9873 0,9387 0,8475 0,7528 0,6822 0,6395 0,5960 0,5108 0,3687 0,1950 0,0320 -0,0893 -0,1519 -0,1445 -0,0661 0,0692 0,2385 0,4189 0,5930 0,7463 0,8624 0,9276 0,9375 0,9032 0,8503 0,7986 0,7329 0,5983 0,3373 -0,0606 -0,5469 -1,0513 -1,5238 -1,9398 -2,2773 -2,5054 -2,6022 -2,5761 -2,4604 -2,2948 -2,1175 -1,9644 -1,8582 -1,7970 -1,7501 -1,6641 -1,4845 -1,1974 -0,8561 -0,5567 -0,3788 -0,3456 -0,4238 -0,5541 -0,6873 -0,8056 -0,9191 -1,0462 -1,1837 -1,2927 -1,3267 -1,2789 -1,1846 -1,0779 -0,9566 -0,7910 -0,5606 -0,2801 0,0119 0,2830 0,5192 0,7258 0,9345 1,1968 1,5502 1,9864 2,4507 2,8682 3,1828 3,3829 3,4871 3,5076 3,4386 3,2826 3,0802 2,9085 2,8355 2,8639 2,9206 2,9063 2,7570 2,4794 2,1479 1,8547 1,6411 1,4748 1,2929 1,0469 0,7094 0,2708 -0,2545 -0,8276 -1,4038 -1,9585 -2,5037 -3,0739 -3,6910 -4,3361 -4,9452 -5,4357 -5,7464 -5,8625 -5,8090 -5,6266 -5,3556 -5,0325 -4,6886 -4,3481 -4,0253 -3,7116 -3,3677 -2,9347 -2,3559 -1,5973 -0,6696 0,3639 1,4121 2,3966 3,2780 4,0538 4,7310 5,3031 5,7560 6,0842 6,2846 6,3433 6,2526 6,0390 5,7571 5,4533 5,1476 4,8476 4,5611 4,2892 4,0233 3,7533 3,4698 3,1565 2,8038 2,4423 2,1543 2,0326 2,1065 2,3093 2,5325 2,7061 2,8132 2,8565 2,8403 2,7764 2,6937 2,6333 2,6294 2,6890 2,7878 2,8819 2,9334 2,9317 2,8910 2,8234 2,7177 2,5526 2,3388 2,1436 2,0623 2,1525 2,3841 2,6489 2,8276 2,8568 2,7428 2,5340 2,2977 2,1017 1,9874 1,9539 1,9776 2,0374 2,1126 2,1704 2,1755 2,1244 2,0582 2,0324 2,0855 2,2396 2,4999 2,8404 3,2050 3,5331 3,7823 3,9301 3,9601 3,8560 3,6155 3,2637 2,8571 2,4794 2,2160 2,1162 2,1731 2,3301 2,5021 2,6045 2,5807 2,4151 2,1298 1,7794 1,4480 1,2266 1,1766 1,3120 1,6039 1,9888 2,3821 2,7068 2,9219 3,0246 3,0318 2,9695 2,8760 2,7972 2,7689 2,8097 2,9257 3,1060 3,3156 3,5081 3,6579 3,7721 3,8659 3,9322 3,9514 3,9380 3,9587 4,0857 4,3308 4,6291 4,8869 5,0399 5,0723 4,9940 4,8152 4,5521 4,2519 4,0012 3,8929 3,9662 4,1725 4,3935 4,4986 4,4062 4,1148 3,6929 3,2428 2,8543 2,5731 2,4009 2,3160 2,2817 2,2518 2,1910 2,0908 1,9644 1,8328 1,7136 1,6181 1,5541 1,5272 1,5332 1,5526 1,5605 1,5475 1,5276 1,5180 1,5209 1,5318 1,5517 1,5838 1,6323 1,7138 1,8559 2,0727 2,3398 2,6014 2,8095 2,9544 3,0575 3,1442 3,2315 3,3272 3,4223 3,4905 3,5101 3,4815 3,4239 3,3756 3,3929 3,5295 3,8113 4,2262 4,7250 5,2384 5,6995 6,0538 6,2678 6,3425 6,3145 6,2408 6,1746 6,1447 6,1491 6,1660 6,1657 6,1267 6,0486 5,9446 5,8239 5,6896 5,5435 5,3794 5,1759 4,9100 4,5795 4,2045 3,8074 3,4055 3,0214 2,6838 2,4139 2,2145 2,0740 1,9765 1,9155 1,9023 1,9530 2,0727 2,2587 2,5036 2,7816 3,0347 3,1930 3,2142 3,1074 2,9290 2,7670 2,7191 2,8597 3,2072 3,7092 4,2584 4,7313 5,0340 5,1312 5,0438 4,8205 4,5111 4,1556 3,7829 3,4135 3,0697 2,7846 2,5883 2,4879 2,4667 2,4970 2,5575 2,6429 2,7555 2,8890 3,0287 3,1574 3,2523 3,2941 3,2880 3,2613 3,2411 3,2383 3,2406 3,2099 3,0994 2,8886 2,6031 2,3037 2,0640 1,9484 1,9873 2,1582 2,3914 2,6073 2,7532 2,8125 2,7949 2,7299 2,6654 2,6468 2,6724 2,6892 2,6589 2,6153 2,6487 2,8458 3,2374 3,7722 4,3306 4,7743 5,0024 4,9724 4,6837 4,1558 3,4309 2,6018 1,8322 1,3258 1,2402 1,5924 2,2256 2,8914 3,3839 3,6130 3,6070 3,4760 3,3458 3,2856 3,2808 3,2845 3,2831 3,3017 3,3944 3,6412 4,1010 4,7296 5,3760 5,8951 6,2503 6,4959 6,6921 6,8604 7,0081 7,1442 7,2433 7,2503 7,1641 7,0531 6,9582 6,8314 6,5931 6,2294 5,8173 5,4661 5,2588 5,2344 5,3716 5,5662 5,6848 5,6692 5,5653 5,4734 5,4977 5,6799 5,9484 6,1837 6,3463 6,4934 6,6768 6,8655 6,9671 6,8929 6,5923 6,0633 5,3682 4,6185 3,8858 3,1404 2,3273 1,4738 0,6898 0,1032 -0,2006 -0,2195 -0,0291 0,2736 0,6091 0,9123 1,1558 1,4010 1,7761 2,3763 3,1973 4,1542 5,1356 6,0528 6,8693 7,5889 8,2275 8,8248 9,4558 10,1485 10,7962 11,2353 11,3976 11,3278 11,1047 10,7933 10,4280 10,0275 9,6422 9,3396 9,1141 8,8630 8,4746 7,9166 7,2549 6,6115 6,0893 5,7167 5,4572 5,2576 5,0682 4,8311 4,5012 4,0906 3,6588 3,2515 2,8886 2,6268 2,5732 2,8019 3,2852 3,9051 4,5154 5,0239 5,4353 5,7885 6,0734 6,2545 6,3364 6,3534 6,3273 6,2704 6,2009 6,1281 6,0343 5,8945 5,7207 5,5490 5,3873 5,2272 5,0918 5,0037 4,9138 4,7317 4,4473 4,1817 4,1003 4,2898 4,7333 5,3588 6,0376 6,5730 6,7706 6,5359 5,9350 5,1708 4,4546 3,8887 3,4666 3,1508 2,9441 2,9049 3,1047 3,5515 4,1482 4,7476 5,2385 5,5676 5,7302
