Fp1   -0,4088 -0,0966 0,2042 0,4941 0,7625 0,9946 1,1845 1,3335 1,4450 1,5244 1,5771 1,6007 1,5874 1,5331 1,4427 1,3232 1,1735 0,9877 0,7705 0,5384 0,3089 0,0940 -0,1017 -0,2887 -0,4903 -0,7232 -0,9816 -1,2395 -1,4666 -1,6443 -1,7727 -1,8663 -1,9333 -1,9587 -1,9144 -1,7891 -1,5993 -1,3741 -1,1380 -0,9045 -0,6761 -0,4474 -0,2128 0,0242 0,2513 0,4535 0,6245 0,7738 0,9237 1,0972 1,3008 1,5184 1,7227 1,8927 2,0199 2,1066 2,1692 2,2423 2,3663 2,5629 2,8225 3,1140 3,4018 3,6567 3,8586 3,9993 4,0851 4,1372 4,1915 4,2898 4,4534 4,6621 4,8604 4,9843 4,9890 4,8670 4,6463 4,3703 4,0744 3,7747 3,4712 3,1596 2,8432 2,5369 2,2603 2,0265 1,8369 1,6796 1,5390 1,4095 1,2935 1,1839 1,0574 0,8859 0,6535 0,3653 0,0492 -0,2568 -0,5290 -0,7689 -0,9854 -1,1768 -1,3414 -1,4945 -1,6589 -1,8460 -2,0577 -2,2999 -2,5820 -2,9079 -3,2697 -3,6494 -4,0253 -4,3733 -4,6600 -4,8459 -4,8982 -4,8000 -4,5524 -4,1721 -3,6872 -3,1345 -2,5535 -1,9759 -1,4139 -0,8610 -0,2995 0,2886 0,9090 1,5474 2,1740 2,7538 3,2571 3,6707 4,0039 4,2785 4,5115 4,7110 4,8827 5,0379 5,1907 5,3463 5,4888 5,5884 5,6253 5,6002 5,5219 5,3990 5,2435 5,0654 4,8632 4,6255 4,3382 3,9914 3,5880 3,1473 2,7039 2,2970 1,9556 1,6941 1,5194 1,4345 1,4342 1,5074 1,6416 1,8188 2,0134 2,2068 2,4010 2,6033 2,8028 2,9778 3,1222 3,2507 3,3780 3,5083 3,6452 3,7953 3,9569 4,1180 4,2650 4,3879 4,4837 4,5631 4,6493 4,7624 4,9053 5,0658 5,2250 5,3585 5,4356 5,4314 5,3443 5,1982 5,0209 4,8289 4,6337 4,4458 4,2705 4,1060 3,9396 3,7475 3,5061 3,2083 2,8668 2,5075 2,1562 1,8266 1,5138 1,1992 0,8612 0,4907 0,1045 -0,2602 -0,5721 -0,8292 -1,0611 -1,3100 -1,6031 -1,9318 -2,2544 -2,5219 -2,7002 -2,7793 -2,7777 -2,7361 -2,6919 -2,6577 -2,6262 -2,5855 -2,5279 -2,4527 -2,3707 -2,2985 -2,2490 -2,2299 -2,2452 -2,2887 -2,3409 -2,3758 -2,3621 -2,2596 -2,0273 -1,6445 -1,1291 -0,5361 0,0665 0,6191 1,0780 1,4171 1,6303 1,7288 1,7349 1,6746 1,5699 1,4384 1,3034 1,2010 1,1668 1,2121 1,3174 1,4521 1,5935 1,7291 1,8510 1,9569 2,0454 2,1035 2,1075 2,0417 1,9115 1,7403 1,5631 1,4193 1,3377 1,3200 1,3367 1,3461 1,3202 1,2553 1,1656 1,0679 0,9724 0,8853 0,8145 0,7632 0,7218 0,6703 0,5901 0,4721 0,3173 0,1308 -0,0775 -0,2844 -0,4566 -0,5704 -0,6199 -0,6060 -0,5303 -0,4021 -0,2373 -0,0489 0,1520 0,3512 0,5312 0,6760 0,7748 0,8201 0,8010 0,7130 0,5770 0,4390 0,3456 0,3263 0,3965 0,5644 0,8255 1,1515 1,4893 1,7820 1,9957 2,1265 2,1875 2,1947 2,1647 2,1138 2,0593 2,0189 2,0063 2,0291 2,0915 2,1975 2,3533 2,5656 2,8315 3,1286 3,4153 3,6453 3,7920 3,8647 3,8966 3,9175 3,9407 3,9680 3,9928 4,0039 3,9977 3,9894 4,0009 4,0356 4,0736 4,0940 4,0978 4,1080 4,1484 4,2254 4,3317 4,4591 4,5979 4,7269 4,8189 4,8546 4,8311 4,7613 4,6681 4,5807 4,5311 4,5413 4,6075 4,7009 4,7823 4,8222 4,8144 4,7736 4,7206 4,6685 4,6209 4,5753 4,5272 4,4799 4,4514 4,4675 4,5438 4,6740 4,8340 5,0003 5,1613 5,3092 5,4283 5,5028 5,5323 5,5321 5,5204 5,5131 5,5260 5,5702 5,6400 5,7109 5,7540 5,7522 5,7102 5,6524 5,6069 5,5862 5,5836 5,5882 5,5928 5,5884 5,5612 5,5052 5,4345 5,3784 5,3654 5,4128 5,5202 5,6635 5,7997 5,8889 5,9167 5,8994 5,8688 5,8535 5,8722 5,9329 6,0320 6,1591 6,3001 6,4341 6,5356 6,5906 6,6050 6,5973 6,5889 6,5943 6,6066 6,5915 6,5056 6,3223 6,0477 5,7170 5,3782 5,0757 4,8345 4,6478 4,4842 4,3135 4,1309 3,9597 3,8339 3,7736 3,7750 3,8214 3,9012 4,0197 4,1929 4,4280 4,7101 5,0002 5,2405 5,3759 5,3827 5,2815 5,1258 4,9786 4,8862 4,8594 4,8744 4,8911 4,8788 4,8308 4,7563 4,6604 4,5422 4,4140 4,3139 4,2871 4,3518 4,4876 4,6523 4,8032 4,9094 4,9545 4,9330 4,8486 4,7166 4,5559 4,3760 4,1771 3,9620 3,7372 3,5059 3,2702 3,0403 2,8285 2,6345 2,4467 2,2575 2,0782 1,9333 1,8417 1,8114 1,8522 1,9805 2,2060 2,5170 2,8783 3,2431 3,5707 3,8364 4,0306 4,1541 4,2161 4,2293 4,2068 4,1637 4,1171 4,0791 4,0524 4,0356 4,0325 4,0553 4,1131 4,1999 4,2983 4,3917 4,4679 4,5194 4,5458 4,5493 4,5277 4,4809 4,4229 4,3811 4,3808 4,4288 4,5125 4,6149 4,7241 4,8321 4,9327 5,0205 5,0929 5,1516 5,2025 5,2501 5,2956 5,3391 5,3812 5,4199 5,4474 5,4538 5,4301 5,3634 5,2365 5,0392 4,7783 4,4794 4,1782 3,9043 3,6695 3,4656 3,2735 3,0727 2,8474 2,5867 2,2818 1,9318 1,5536 1,1787 0,8325 0,5198 0,2327 -0,0299 -0,2564 -0,4392 -0,5925 -0,7495 -0,9357 -1,1427 -1,3337 -1,4758 -1,5651 -1,6265 -1,6933 -1,7843 -1,8945 -2,0084 -2,1144 -2,2041 -2,2691 -2,2996 -2,2866 -2,2307 -2,1461 -2,0504 -1,9507 -1,8471 -1,7442 -1,6541 -1,5916
Fz    2,1820 2,5766 2,9341 3,2748 3,5973 3,8738 4,0705 4,1686 4,1671 4,0721 3,8902 3,6295 3,3021 2,9226 2,5024 2,0436 1,5416 1,0015 0,4532 -0,0535 -0,4684 -0,7582 -0,9188 -0,9801 -0,9955 -1,0213 -1,1009 -1,2595 -1,5033 -1,8195 -2,1839 -2,5672 -2,9366 -3,2545 -3,4893 -3,6288 -3,6782 -3,6460 -3,5375 -3,3546 -3,0985 -2,7724 -2,3886 -1,9706 -1,5422 -1,1157 -0,6904 -0,2618 0,1734 0,6189 1,0781 1,5461 2,0056 2,4321 2,8032 3,1034 3,3286 3,4905 3,6142 3,7340 3,8896 4,1200 4,4474 4,8659 5,3426 5,8310 6,2832 6,6583 6,9334 7,1147 7,2291 7,3032 7,3486 7,3612 7,3286 7,2369 7,0756 6,8419 6,5385 6,1679 5,7319 5,2380 4,7066 4,1699 3,6609 3,1968 2,7721 2,3651 1,9523 1,5211 1,0721 0,6136 0,1548 -0,2983 -0,7420 -1,1697 -1,5684 -1,9238 -2,2361 -2,5244 -2,8113 -3,1039 -3,3967 -3,6874 -3,9773 -4,2610 -4,5242 -4,7505 -4,9256 -5,0360 -5,0692 -5,0172 -4,8823 -4,6732 -4,3929 -4,0380 -3,6112 -3,1264 -2,6014 -2,0474 -1,4625 -0,8336 -0,1490 0,5892 1,3635 2,1502 2,9270 3,6726 4,3623 4,9689 5,4721 5,8652 6,1557 6,3659 6,5319 6,6857 6,8335 6,9560 7,0324 7,0648 7,0802 7,1041 7,1324 7,1328 7,0701 6,9240 6,6875 6,3653 5,9782 5,5612 5,1507 4,7702 4,4202 4,0805 3,7226 3,3255 2,8887 2,4354 2,0021 1,6243 1,3293 1,1348 1,0479 1,0643 1,1709 1,3473 1,5659 1,8010 2,0370 2,2654 2,4770 2,6676 2,8484 3,0445 3,2782 3,5566 3,8746 4,2210 4,5781 4,9248 5,2443 5,5299 5,7845 6,0144 6,2211 6,3963 6,5254 6,5949 6,5976 6,5349 6,4175 6,2657 6,1081 5,9736 5,8713 5,7836 5,6828 5,5508 5,3821 5,1790 4,9437 4,6701 4,3450 3,9586 3,5154 3,0343 2,5370 2,0370 1,5361 1,0261 0,4963 -0,0563 -0,6210 -1,1734 -1,6845 -2,1379 -2,5369 -2,8967 -3,2280 -3,5240 -3,7594 -3,9019 -3,9272 -3,8345 -3,6500 -3,4166 -3,1727 -2,9442 -2,7501 -2,6038 -2,5056 -2,4425 -2,4008 -2,3738 -2,3582 -2,3507 -2,3470 -2,3361 -2,3030 -2,2350 -2,1177 -1,9284 -1,6404 -1,2416 -0,7526 -0,2270 0,2681 0,6757 0,9653 1,1391 1,2276 1,2758 1,3254 1,4025 1,5174 1,6697 1,8551 2,0682 2,2965 2,5118 2,6796 2,7805 2,8234 2,8353 2,8394 2,8429 2,8381 2,8078 2,7366 2,6246 2,4889 2,3518 2,2299 2,1357 2,0777 2,0532 2,0428 2,0181 1,9593 1,8658 1,7545 1,6485 1,5684 1,5278 1,5337 1,5842 1,6682 1,7684 1,8657 1,9446 1,9922 1,9954 1,9448 1,8461 1,7247 1,6138 1,5448 1,5430 1,6216 1,7771 1,9984 2,2777 2,6079 2,9787 3,3752 3,7765 4,1563 4,4852 4,7351 4,8933 4,9772 5,0279 5,0842 5,1671 5,2866 5,4517 5,6654 5,9111 6,1502 6,3404 6,4605 6,5201 6,5456 6,5616 6,5786 6,5889 6,5727 6,5107 6,3955 6,2348 6,0489 5,8661 5,7169 5,6282 5,6109 5,6509 5,7137 5,7641 5,7896 5,8099 5,8647 5,9880 6,1888 6,4466 6,7168 6,9449 7,0905 7,1484 7,1503 7,1435 7,1683 7,2504 7,4015 7,6176 7,8751 8,1357 8,3649 8,5523 8,7106 8,8583 9,0095 9,1742 9,3641 9,5937 9,8730 10,1956 10,5360 10,8571 11,1201 11,2955 11,3715 11,3545 11,2629 11,1209 10,9519 10,7719 10,5897 10,4146 10,2644 10,1661 10,1499 10,2375 10,4291 10,6978 11,0020 11,3053 11,5867 11,8346 12,0390 12,1959 12,3152 12,4158 12,5096 12,5908 12,6389 12,6265 12,5267 12,3170 11,9862 11,5412 11,0138 10,4578 9,9351 9,4971 9,1747 8,9834 8,9309 9,0129 9,2053 9,4682 9,7561 10,0222 10,2245 10,3405 10,3762 10,3580 10,3206 10,2996 10,3233 10,4068 10,5525 10,7560 11,0177 11,3458 11,7429 12,1912 12,6527 13,0826 13,4495 13,7471 13,9914 14,2049 14,4024 14,5869 14,7471 14,8567 14,8828 14,7975 14,5857 14,2514 13,8193 13,3272 12,8103 12,2879 11,7624 11,2312 10,7040 10,2135 9,8063 9,5209 9,3727 9,3590 9,4722 9,7069 10,0531 10,4833 10,9482 11,3806 11,7085 11,8788 11,8815 11,7537 11,5604 11,3689 11,2238 11,1324 11,0691 10,9987 10,8992 10,7713 10,6318 10,5011 10,3959 10,3306 10,3200 10,3751 10,4906 10,6384 10,7767 10,8681 10,8905 10,8357 10,7050 10,5079 10,2627 9,9913 9,7141 9,4508 9,2233 9,0510 8,9433 8,8961 8,8972 8,9316 8,9794 9,0126 9,0033 8,9364 8,8161 8,6601 8,4957 8,3598 8,2910 8,3147 8,4331 8,6229 8,8430 9,0488 9,2041 9,2866 9,2901 9,2255 9,1134 8,9718 8,8110 8,6363 8,4526 8,2646 8,0750 7,8860 7,7014 7,5242 7,3551 7,1985 7,0623 6,9517 6,8669 6,8055 6,7576 6,7019 6,6132 6,4759 6,2906 6,0727 5,8449 5,6352 5,4806 5,4189 5,4687 5,6210 5,8503 6,1319 6,4518 6,8019 7,1721 7,5502 7,9262 8,2924 8,6360 8,9350 9,1627 9,2933 9,3073 9,1999 8,9875 8,7031 8,3836 8,0571 7,7348 7,4109 7,0725 6,7147 6,3488 5,9930 5,6522 5,3079 4,9300 4,4977 4,0119 3,4907 2,9575 2,4373 1,9576 1,5416 1,1900 0,8713 0,5342 0,1402 -0,3096 -0,7767 -1,2120 -1,5838 -1,8918 -2,1620 -2,4252 -2,6965 -2,9711 -3,2317 -3,4489 -3,5846 -3,6043 -3,4921 -3,2602 -2,9480 -2,6106 -2,3012 -2,0571 -1,8951 -1,8140 -1,7996
F3    1,5310 2,1116 2,5945 2,9987 3,3513 3,6612 3,9168 4,0931 4,1609 4,0960 3,8875 3,5386 3,0668 2,5055 1,9007 1,2911 0,6942 0,1188 -0,4071 -0,8340 -1,1138 -1,2265 -1,1912 -1,0576 -0,8877 -0,7398 -0,6602 -0,6853 -0,8445 -1,1513 -1,5894 -2,1059 -2,6213 -3,0549 -3,3550 -3,5165 -3,5670 -3,5351 -3,4292 -3,2430 -2,9702 -2,6112 -2,1750 -1,6821 -1,1633 -0,6468 -0,1413 0,3659 0,8904 1,4317 1,9715 2,4821 2,9348 3,3051 3,5734 3,7297 3,7818 3,7586 3,7038 3,6656 3,6879 3,8054 4,0376 4,3822 4,8136 5,2898 5,7614 6,1778 6,4972 6,7007 6,7964 6,8148 6,7960 6,7722 6,7504 6,7087 6,6113 6,4313 6,1603 5,8049 5,3831 4,9235 4,4630 4,0410 3,6839 3,3919 3,1388 2,8858 2,5975 2,2551 1,8637 1,4488 1,0451 0,6803 0,3624 0,0776 -0,1959 -0,4702 -0,7472 -1,0268 -1,3085 -1,5933 -1,8902 -2,2153 -2,5716 -2,9338 -3,2565 -3,4959 -3,6248 -3,6416 -3,5723 -3,4633 -3,3578 -3,2689 -3,1649 -2,9863 -2,6817 -2,2364 -1,6734 -1,0347 -0,3589 0,3288 1,0156 1,6957 2,3612 3,0016 3,6084 4,1757 4,6902 5,1246 5,4473 5,6430 5,7239 5,7317 5,7245 5,7454 5,7953 5,8445 5,8707 5,8863 5,9295 6,0286 6,1731 6,3179 6,4088 6,4025 6,2751 6,0324 5,7102 5,3554 5,0060 4,6847 4,3964 4,1260 3,8400 3,5018 3,0968 2,6478 2,2043 1,8192 1,5326 1,3655 1,3180 1,3756 1,5160 1,7174 1,9647 2,2530 2,5793 2,9259 3,2539 3,5238 3,7290 3,9101 4,1303 4,4320 4,8137 5,2437 5,6847 6,1062 6,4851 6,8062 7,0659 7,2706 7,4291 7,5427 7,6059 7,6125 7,5563 7,4314 7,2404 7,0021 6,7507 6,5221 6,3310 6,1634 5,9943 5,8120 5,6243 5,4439 5,2683 5,0748 4,8310 4,5075 4,0885 3,5802 3,0141 2,4330 1,8736 1,3569 0,8869 0,4558 0,0583 -0,2979 -0,5991 -0,8450 -1,0578 -1,2693 -1,4997 -1,7473 -1,9932 -2,2100 -2,3717 -2,4678 -2,5087 -2,5098 -2,4726 -2,3954 -2,2973 -2,2154 -2,1739 -2,1687 -2,1753 -2,1602 -2,0921 -1,9577 -1,7632 -1,5220 -1,2486 -0,9579 -0,6595 -0,3484 -0,0071 0,3778 0,7982 1,2232 1,6090 1,9136 2,1133 2,2160 2,2606 2,3025 2,3915 2,5567 2,8045 3,1227 3,4912 3,8913 4,2999 4,6849 5,0158 5,2808 5,4890 5,6562 5,7887 5,8779 5,9062 5,8582 5,7334 5,5550 5,3604 5,1793 5,0237 4,9011 4,8257 4,8065 4,8286 4,8595 4,8729 4,8578 4,8112 4,7346 4,6310 4,5026 4,3553 4,2066 4,0830 4,0065 3,9846 4,0106 4,0600 4,0882 4,0454 3,9080 3,7023 3,4940 3,3475 3,2922 3,3191 3,3980 3,5006 3,6165 3,7522 3,9144 4,0899 4,2473 4,3615 4,4339 4,4909 4,5702 4,7039 4,9039 5,1579 5,4367 5,7131 5,9767 6,2298 6,4706 6,6869 6,8621 6,9865 7,0623 7,0969 7,0932 7,0493 6,9650 6,8413 6,6746 6,4627 6,2245 6,0063 5,8633 5,8396 5,9561 6,1978 6,5101 6,8235 7,0866 7,2821 7,4270 7,5648 7,7460 7,9984 8,3053 8,6113 8,8513 8,9868 9,0249 9,0096 8,9921 9,0046 9,0570 9,1517 9,2928 9,4785 9,6909 9,9024 10,0964 10,2799 10,4772 10,7150 11,0091 11,3616 11,7657 12,2067 12,6578 13,0765 13,4082 13,5972 13,6017 13,4084 13,0381 12,5398 11,9780 11,4196 10,9181 10,5037 10,1871 9,9726 9,8634 9,8614 9,9624 10,1475 10,3767 10,6054 10,8089 10,9884 11,1546 11,3164 11,4843 11,6768 11,9123 12,1962 12,5116 12,8138 13,0379 13,1223 13,0222 12,7101 12,1843 11,4878 10,7100 9,9580 9,3206 8,8562 8,6027 8,5832 8,7972 9,2107 9,7598 10,3621 10,9229 11,3449 11,5630 11,5774 11,4498 11,2709 11,1269 11,0760 11,1350 11,2818 11,4722 11,6665 11,8512 12,0371 12,2384 12,4570 12,6821 12,8990 13,1010 13,3000 13,5187 13,7675 14,0292 14,2621 14,4190 14,4636 14,3777 14,1608 13,8284 13,4065 12,9241 12,4070 11,8788 11,3610 10,8670 10,4012 9,9729 9,6053 9,3278 9,1603 9,1072 9,1639 9,3252 9,5834 9,9197 10,2968 10,6570 10,9320 11,0686 11,0578 10,9392 10,7726 10,6025 10,4433 10,2849 10,1077 9,9005 9,6730 9,4500 9,2558 9,1070 9,0207 9,0192 9,1234 9,3439 9,6724 10,0724 10,4802 10,8248 11,0498 11,1183 11,0089 10,7191 10,2715 9,7108 9,1002 8,5161 8,0331 7,7005 7,5258 7,4742 7,4899 7,5282 7,5697 7,6110 7,6597 7,7385 7,8764 8,0875 8,3610 8,6662 8,9620 9,2090 9,3790 9,4588 9,4501 9,3721 9,2568 9,1339 9,0168 8,9033 8,7826 8,6415 8,4756 8,2938 8,1106 7,9388 7,7840 7,6434 7,5103 7,3831 7,2682 7,1797 7,1317 7,1295 7,1665 7,2224 7,2599 7,2287 7,0837 6,8072 6,4222 5,9836 5,5548 5,1926 4,9424 4,8297 4,8535 4,9977 5,2489 5,6009 6,0445 6,5556 7,0978 7,6348 8,1414 8,6022 9,0014 9,3158 9,5216 9,6013 9,5473 9,3628 9,0613 8,6646 8,2044 7,7207 7,2472 6,7982 6,3734 5,9767 5,6218 5,3176 5,0517 4,7889 4,4834 4,0993 3,6284 3,0953 2,5462 2,0331 1,6044 1,2926 1,0937 0,9575 0,8123 0,6106 0,3485 0,0470 -0,2779 -0,6261 -1,0082 -1,4374 -1,9186 -2,4371 -2,9596 -3,4410 -3,8255 -4,0505 -4,0662 -3,8647 -3,4933 -3,0427 -2,6173 -2,3008 -2,1320 -2,0998 -2,1556 -2,2336
F7    -0,1077 0,1917 0,4553 0,6890 0,8885 1,0499 1,1790 1,2832 1,3635 1,4167 1,4376 1,4200 1,3628 1,2739 1,1651 1,0388 0,8830 0,6899 0,4747 0,2661 0,0824 -0,0721 -0,2018 -0,3222 -0,4571 -0,6240 -0,8265 -1,0558 -1,2938 -1,5162 -1,6997 -1,8286 -1,8936 -1,8870 -1,8104 -1,6867 -1,5471 -1,4041 -1,2429 -1,0367 -0,7691 -0,4454 -0,0946 0,2403 0,5203 0,7235 0,8482 0,9131 0,9547 1,0120 1,1049 1,2241 1,3466 1,4596 1,5675 1,6756 1,7772 1,8639 1,9414 2,0276 2,1389 2,2854 2,4752 2,7075 2,9597 3,1926 3,3692 3,4641 3,4698 3,4014 3,2885 3,1627 3,0494 2,9587 2,8812 2,8005 2,7117 2,6263 2,5576 2,5019 2,4408 2,3626 2,2757 2,1993 2,1424 2,0918 2,0167 1,8808 1,6559 1,3362 0,9431 0,5197 0,1180 -0,2189 -0,4722 -0,6467 -0,7560 -0,8146 -0,8416 -0,8602 -0,8820 -0,9034 -0,9206 -0,9449 -0,9957 -1,0841 -1,2091 -1,3698 -1,5735 -1,8309 -2,1442 -2,4988 -2,8679 -3,2206 -3,5204 -3,7256 -3,8010 -3,7330 -3,5338 -3,2309 -2,8539 -2,4267 -1,9672 -1,4848 -0,9849 -0,4792 0,0139 0,4807 0,9201 1,3359 1,7222 2,0617 2,3411 2,5611 2,7323 2,8666 2,9713 3,0517 3,1181 3,1923 3,3028 3,4690 3,6826 3,9059 4,0908 4,1944 4,1877 4,0722 3,8897 3,6966 3,5277 3,3821 3,2308 3,0303 2,7420 2,3538 1,8947 1,4290 1,0319 0,7606 0,6347 0,6337 0,7130 0,8342 0,9832 1,1581 1,3507 1,5518 1,7625 1,9810 2,1914 2,3810 2,5601 2,7498 2,9570 3,1712 3,3802 3,5766 3,7498 3,8857 3,9767 4,0275 4,0520 4,0687 4,0943 4,1411 4,2194 4,3372 4,4930 4,6653 4,8157 4,9046 4,9126 4,8474 4,7301 4,5816 4,4184 4,2481 4,0694 3,8799 3,6719 3,4238 3,1096 2,7196 2,2714 1,8068 1,3778 1,0253 0,7651 0,5868 0,4550 0,3172 0,1334 -0,0960 -0,3430 -0,5885 -0,8385 -1,1075 -1,3892 -1,6516 -1,8577 -1,9853 -2,0334 -2,0261 -2,0082 -2,0210 -2,0737 -2,1436 -2,2030 -2,2303 -2,2051 -2,1144 -1,9678 -1,7953 -1,6325 -1,5143 -1,4692 -1,5075 -1,6131 -1,7458 -1,8483 -1,8539 -1,7058 -1,3802 -0,8956 -0,3012 0,3405 0,9614 1,4942 1,8919 2,1451 2,2767 2,3191 2,2954 2,2154 2,0859 1,9297 1,7910 1,7195 1,7465 1,8713 2,0634 2,2791 2,4829 2,6580 2,8005 2,9035 2,9518 2,9364 2,8694 2,7784 2,6931 2,6406 2,6394 2,6879 2,7591 2,8102 2,8064 2,7423 2,6386 2,5225 2,4127 2,3153 2,2277 2,1409 2,0404 1,9115 1,7491 1,5604 1,3627 1,1765 1,0129 0,8663 0,7239 0,5804 0,4409 0,3156 0,2177 0,1609 0,1508 0,1818 0,2394 0,3043 0,3570 0,3857 0,3898 0,3780 0,3615 0,3466 0,3343 0,3302 0,3515 0,4245 0,5730 0,8129 1,1470 1,5545 1,9873 2,3832 2,6893 2,8772 2,9447 2,9105 2,8065 2,6677 2,5212 2,3814 2,2564 2,1583 2,1090 2,1333 2,2452 2,4449 2,7258 3,0721 3,4475 3,8004 4,0918 4,3206 4,5196 4,7243 4,9476 5,1722 5,3577 5,4548 5,4286 5,2834 5,0693 4,8574 4,6990 4,6039 4,5516 4,5188 4,4966 4,4904 4,5140 4,5860 4,7258 4,9341 5,1762 5,3946 5,5407 5,5933 5,5568 5,4507 5,3056 5,1592 5,0439 4,9680 4,9133 4,8538 4,7799 4,7004 4,6261 4,5598 4,5016 4,4514 4,4049 4,3556 4,3044 4,2664 4,2637 4,3037 4,3690 4,4326 4,4806 4,5161 4,5462 4,5706 4,5894 4,6179 4,6824 4,8051 4,9913 5,2233 5,4663 5,6823 5,8411 5,9215 5,9128 5,8172 5,6515 5,4421 5,2188 5,0125 4,8554 4,7752 4,7847 4,8782 5,0363 5,2344 5,4453 5,6397 5,7959 5,9097 5,9859 6,0225 6,0124 5,9578 5,8729 5,7725 5,6654 5,5620 5,4798 5,4339 5,4273 5,4515 5,4908 5,5272 5,5554 5,5895 5,6473 5,7318 5,8253 5,8893 5,8694 5,7168 5,4129 4,9803 4,4788 3,9900 3,5924 3,3310 3,1956 3,1274 3,0560 2,9415 2,7932 2,6531 2,5609 2,5328 2,5659 2,6581 2,8226 3,0790 3,4273 3,8328 4,2293 4,5369 4,6946 4,6936 4,5739 4,3912 4,1892 3,9918 3,8046 3,6203 3,4327 3,2532 3,1077 3,0150 2,9690 2,9485 2,9401 2,9519 3,0079 3,1306 3,3269 3,5816 3,8572 4,1044 4,2794 4,3574 4,3337 4,2133 4,0003 3,6988 3,3258 2,9203 2,5356 2,2158 1,9745 1,7971 1,6579 1,5309 1,3902 1,2194 1,0306 0,8661 0,7737 0,7847 0,9117 1,1499 1,4760 1,8488 2,2167 2,5332 2,7707 2,9202 2,9838 2,9784 2,9372 2,8951 2,8730 2,8836 2,9397 3,0453 3,1847 3,3299 3,4560 3,5497 3,6066 3,6296 3,6318 3,6340 3,6483 3,6688 3,6772 3,6509 3,5684 3,4219 3,2312 3,0458 2,9230 2,8920 2,9443 3,0564 3,2061 3,3669 3,5045 3,5888 3,6118 3,5921 3,5610 3,5494 3,5815 3,6725 3,8306 4,0506 4,3029 4,5371 4,7029 4,7611 4,6863 4,4734 4,1431 3,7336 3,2882 2,8475 2,4433 2,0924 1,7956 1,5414 1,3118 1,0887 0,8603 0,6255 0,3943 0,1794 -0,0156 -0,2038 -0,4043 -0,6179 -0,8182 -0,9764 -1,0914 -1,1914 -1,3078 -1,4557 -1,6342 -1,8316 -2,0321 -2,2231 -2,3996 -2,5583 -2,6911 -2,7888 -2,8487 -2,8711 -2,8587 -2,8188 -2,7590 -2,6805 -2,5840 -2,4769 -2,3716 -2,2757 -2,1905 -2,1181 -2,0668
