Fp1   0,0863 -0,0653 -0,3025 -0,5782 -0,8177 -0,9590 -0,9768 -0,8845 -0,7269 -0,5655 -0,4649 -0,4804 -0,6303 -0,8673 -1,1007 -1,2706 -1,3939 -1,5204 -1,6511 -1,7326 -1,7305 -1,6670 -1,5731 -1,4371 -1,2199 -0,9130 -0,5662 -0,2556 -0,0340 0,0899 0,1626 0,2832 0,5405 0,9488 1,4709 2,0655 2,6643 3,1438 3,3737 3,2915 2,9224 2,3526 1,6973 1,0732 0,5679 0,2190 0,0150 -0,0884 -0,1680 -0,3267 -0,6417 -1,1054 -1,6217 -2,0559 -2,3020 -2,3279 -2,1744 -1,9219 -1,6496 -1,4071 -1,2075 -1,0371 -0,8603 -0,6249 -0,2907 0,1330 0,5746 0,9380 1,1688 1,2710 1,2633 1,1506 0,9410 0,6766 0,4324 0,2661 0,1744 0,1188 0,0907 0,1348 0,3104 0,6357 1,0789 1,5974 2,1516 2,6669 3,0162 3,0741 2,7961 2,2512 1,5736 0,8836 0,2469 -0,3258 -0,8644 -1,4015 -1,9280 -2,3848 -2,6909 -2,7891 -2,6815 -2,4213 -2,0647 -1,6334 -1,1304 -0,5788 -0,0216 0,4978 0,9277 1,2057 1,2807 1,1314 0,7922 0,3756 0,0364 -0,1081 -0,0124 0,3192 0,8498 1,5123 2,2222 2,9041 3,5145 4,0416 4,4853 4,8403 5,0916 5,2164 5,1963 5,0512 4,8641 4,7447 4,7570 4,8887 5,0766 5,2391 5,2938 5,1809 4,8841 4,4347 3,8966 3,3420 2,8344 2,4260 2,1446 1,9727 1,8607 1,7702 1,6814 1,5670 1,3945 1,1525 0,8588 0,5559 0,3056 0,1590 0,1197 0,1547 0,2420 0,3934 0,6368 0,9828 1,4015 1,8238 2,1746 2,4137 2,5405 2,5734 2,5566 2,5682 2,6674 2,8273 2,9519 2,9542 2,8029 2,5167 2,1435 1,7507 1,4273 1,2741 1,3657 1,7013 2,1913 2,7123 3,1812 3,5809 3,9405 4,2962 4,6500 4,9627 5,1846 5,2714 5,1866 4,9259 4,5480 4,1545 3,8141 3,5236 3,2542 2,9928 2,7289 2,4525 2,1805 1,9703 1,9005 2,0240 2,3234 2,7079 3,0599 3,3037 3,4474 3,5649 3,7302 3,9525 4,1746 4,3333 4,4007 4,3691 4,2378 4,0380 3,8447 3,7440 3,7909 3,9980 4,3437 4,7800 5,2552 5,7383 6,2091 6,6414 7,0169 7,3250 7,5316 7,5658 7,3543 6,8825 6,2339 5,5556 4,9772 4,5646 4,3183 4,1825 4,0747 3,9358 3,7627 3,5890 3,4431 3,3327 3,2515 3,1838 3,1007 2,9698 2,7740 2,5234 2,2520 1,9901 1,7272 1,4050 0,9711 0,4418 -0,1012 -0,5557 -0,8239 -0,8207 -0,4926 0,1417 0,9640 1,7956 2,4775 2,9182 3,0893 3,0064 2,7187 2,2995 1,8313 1,3798 0,9704 0,6073 0,3230 0,1689 0,1500 0,2127 0,3101 0,4524 0,6970 1,0980 1,6383 2,2150 2,7136 3,0719 3,2606 3,2648 3,1214 2,9345 2,8102 2,7787 2,7991 2,8241 2,8396 2,8542 2,8714 2,8699 2,8186 2,7178 2,6233 2,6178 2,7443 2,9680 3,1944 3,3006 3,1733 2,7727 2,1585 1,4310 0,6676 -0,0653 -0,6738 -1,0630 -1,2122 -1,1953 -1,1269 -1,1024 -1,1598 -1,2649 -1,3342 -1,2929 -1,1252 -0,8779 -0,6145 -0,3703 -0,1479 0,0642 0,2720 0,4715 0,6614 0,8431 1,0007 1,1031 1,1366 1,1211 1,0784 0,9962 0,8309 0,5514 0,1687 -0,2876 -0,7978 -1,3394 -1,8768 -2,3923 -2,9128 -3,4799 -4,0927 -4,6966 -5,2200 -5,6156 -5,8710 -5,9932 -5,9897 -5,8654 -5,6390 -5,3571 -5,0807 -4,8467 -4,6426 -4,4446 -4,2750 -4,1991 -4,2751 -4,5114 -4,8505 -5,1877 -5,4240 -5,5154 -5,4901 -5,4113 -5,3032 -5,1251 -4,8341 -4,4460 -4,0087 -3,5444 -3,0649 -2,6229 -2,3051 -2,1736 -2,2226 -2,3803 -2,5475 -2,6465 -2,6576 -2,6281 -2,6364 -2,7301 -2,8964 -3,0950 -3,3050 -3,5314 -3,7930 -4,1180 -4,5259 -4,9901 -5,4286 -5,7470 -5,8931 -5,8816 -5,7850 -5,6973 -5,6874 -5,7714 -5,9125 -6,0349 -6,0515 -5,8964 -5,5527 -5,0617 -4,5102 -4,0054 -3,6373 -3,4376 -3,3700 -3,3757 -3,4300 -3,5555 -3,7940 -4,1674 -4,6409 -5,1189 -5,4975 -5,7193 -5,7743 -5,6700 -5,4220 -5,0694 -4,6826 -4,3357 -4,0767 -3,9374 -3,9418 -4,0658 -4,2093 -4,2446 -4,1039 -3,8175 -3,4788 -3,1958 -3,0599 -3,1079 -3,2805 -3,4509 -3,5347 -3,5544 -3,5817 -3,6584 -3,7876 -3,9600 -4,1757 -4,4559 -4,8236 -5,2611 -5,6918 -6,0142 -6,1559 -6,1037 -5,8994 -5,6173 -5,3384 -5,1232 -4,9915 -4,9301 -4,9203 -4,9422 -4,9508 -4,8700 -4,6268 -4,2021 -3,6604 -3,1294 -2,7483 -2,6140 -2,7499 -3,1083 -3,6032 -4,1484 -4,6738 -5,1135 -5,3903 -5,4288 -5,2015 -4,7644 -4,2414 -3,7741 -3,4660 -3,3345 -3,2995 -3,2394 -3,0725 -2,7777 -2,3570 -1,8099 -1,1504 -0,4301 0,2708 0,8585 1,2213 1,2452 0,8716 0,1360 -0,8510 -1,9452 -2,9949 -3,8563 -4,4105 -4,5831 -4,3717 -3,8635 -3,2092 -2,5880 -2,1888 -2,1674 -2,5787 -3,3429 -4,2788 -5,1833 -5,9076 -6,3751 -6,5598 -6,4760 -6,1752 -5,7298 -5,2100 -4,6524 -4,0414 -3,3473 -2,5868 -1,8503 -1,2778 -0,9887 -1,0161 -1,3196 -1,8344 -2,4860 -3,1836 -3,8362 -4,3825 -4,8123 -5,1589 -5,4579 -5,7100 -5,8911 -5,9928 -6,0255 -5,9875 -5,8650 -5,6666 -5,4396 -5,2589 -5,1911 -5,2471 -5,3827 -5,5461 -5,7002 -5,8084 -5,8249 -5,7153 -5,5045 -5,2923 -5,1959 -5,2763 -5,5202 -5,8765 -6,2984 -6,7621 -7,2567 -7,7575 -8,2122 -8,5558 -8,7350 -8,7279 -8,5497 -8,2487 -7,9047 -7,6171 -7,4677 -7,4826 -7,6209 -7,7892 -7,8683 -7,7480 -7,3558 -6,6785 -5,7923 -4,8744 -4,1371 -3,7123 -3,5942 -3,6819 -3,8430 -3,9484 -3,9120
Fz    0,5286 0,2928 0,0215 -0,2663 -0,5278 -0,7200 -0,8143 -0,8031 -0,7085 -0,5806 -0,4773 -0,4399 -0,4760 -0,5550 -0,6238 -0,6386 -0,5918 -0,5076 -0,4109 -0,3067 -0,1861 -0,0410 0,1350 0,3530 0,6182 0,9073 1,1634 1,3251 1,3602 1,2765 1,1153 0,9368 0,7885 0,6819 0,6113 0,5819 0,5987 0,6376 0,6489 0,5868 0,4301 0,1859 -0,1111 -0,4098 -0,6643 -0,8494 -0,9608 -1,0122 -1,0337 -1,0687 -1,1594 -1,3192 -1,5137 -1,6753 -1,7447 -1,7039 -1,5799 -1,4242 -1,2842 -1,1796 -1,1010 -1,0270 -0,9407 -0,8317 -0,6931 -0,5283 -0,3600 -0,2202 -0,1228 -0,0584 -0,0208 -0,0249 -0,0917 -0,2214 -0,3855 -0,5462 -0,6788 -0,7721 -0,8163 -0,7938 -0,6909 -0,5159 -0,2949 -0,0417 0,2512 0,5835 0,9202 1,2013 1,3789 1,4420 1,4092 1,3033 1,1357 0,9067 0,6146 0,2754 -0,0652 -0,3418 -0,4961 -0,5075 -0,4093 -0,2691 -0,1412 -0,0345 0,0795 0,2313 0,4312 0,6681 0,9160 1,1424 1,3203 1,4406 1,5224 1,6175 1,7895 2,0823 2,5101 3,0655 3,7214 4,4316 5,1418 5,8039 6,3873 6,8804 7,2886 7,6300 7,9203 8,1507 8,2824 8,2708 8,0994 7,7900 7,3850 6,9309 6,4669 6,0131 5,5642 5,0997 4,6015 4,0665 3,5083 2,9523 2,4319 1,9885 1,6630 1,4775 1,4236 1,4702 1,5725 1,6747 1,7249 1,7005 1,6172 1,5128 1,4252 1,3762 1,3655 1,3809 1,4149 1,4736 1,5710 1,7116 1,8753 2,0162 2,0850 2,0560 1,9338 1,7409 1,5163 1,3127 1,1711 1,0900 1,0299 0,9468 0,8181 0,6502 0,4708 0,3175 0,2333 0,2675 0,4625 0,8281 1,3261 1,8863 2,4376 2,9278 3,3307 3,6378 3,8363 3,9006 3,8065 3,5420 3,1121 2,5501 1,9244 1,3167 0,7816 0,3345 -0,0224 -0,2832 -0,4481 -0,5321 -0,5566 -0,5370 -0,4781 -0,3849 -0,2797 -0,2043 -0,1973 -0,2666 -0,3852 -0,5086 -0,5993 -0,6477 -0,6733 -0,7070 -0,7739 -0,8886 -1,0560 -1,2688 -1,5052 -1,7325 -1,9136 -2,0189 -2,0374 -1,9770 -1,8479 -1,6515 -1,3901 -1,0764 -0,7285 -0,3687 -0,0325 0,2339 0,3932 0,4384 0,3975 0,3180 0,2451 0,2082 0,2106 0,2226 0,1941 0,0870 -0,0997 -0,3337 -0,5709 -0,7774 -0,9406 -1,0712 -1,1982 -1,3564 -1,5669 -1,8280 -2,1228 -2,4318 -2,7393 -3,0313 -3,2884 -3,4882 -3,6235 -3,7083 -3,7517 -3,7331 -3,6108 -3,3652 -3,0360 -2,7083 -2,4616 -2,3322 -2,3147 -2,3862 -2,5270 -2,7204 -2,9421 -3,1674 -3,3943 -3,6369 -3,8911 -4,1282 -4,3235 -4,4712 -4,5683 -4,5987 -4,5337 -4,3499 -4,0583 -3,7103 -3,3612 -3,0440 -2,7800 -2,5789 -2,4180 -2,2482 -2,0335 -1,7760 -1,4973 -1,2077 -0,8996 -0,5688 -0,2354 0,0545 0,2489 0,3151 0,2595 0,1336 0,0064 -0,0798 -0,1332 -0,2053 -0,3628 -0,6468 -1,0494 -1,5290 -2,0413 -2,5477 -3,0047 -3,3726 -3,6439 -3,8497 -4,0309 -4,2044 -4,3518 -4,4284 -4,3868 -4,2026 -3,8897 -3,4993 -3,0977 -2,7356 -2,4306 -2,1749 -1,9591 -1,7857 -1,6607 -1,5847 -1,5590 -1,5877 -1,6650 -1,7694 -1,8813 -2,0060 -2,1808 -2,4530 -2,8402 -3,3167 -3,8314 -4,3282 -4,7637 -5,1237 -5,4261 -5,7004 -5,9619 -6,2069 -6,4220 -6,5956 -6,7246 -6,8165 -6,8832 -6,9321 -6,9670 -6,9951 -7,0231 -7,0438 -7,0350 -6,9791 -6,8831 -6,7768 -6,6954 -6,6642 -6,6868 -6,7423 -6,7895 -6,7791 -6,6796 -6,4902 -6,2209 -5,8751 -5,4712 -5,0646 -4,7201 -4,4672 -4,2974 -4,1928 -4,1425 -4,1345 -4,1418 -4,1260 -4,0629 -3,9622 -3,8618 -3,8084 -3,8371 -3,9573 -4,1530 -4,4027 -4,6990 -5,0500 -5,4677 -5,9558 -6,5039 -7,0827 -7,6450 -8,1365 -8,5130 -8,7575 -8,8834 -8,9212 -8,9011 -8,8443 -8,7574 -8,6329 -8,4582 -8,2241 -7,9246 -7,5589 -7,1422 -6,7135 -6,3273 -6,0235 -5,8080 -5,6713 -5,6173 -5,6656 -5,8300 -6,1006 -6,4400 -6,7927 -7,1135 -7,3883 -7,6215 -7,8113 -7,9450 -8,0145 -8,0281 -8,0016 -7,9480 -7,8857 -7,8468 -7,8559 -7,9021 -7,9428 -7,9371 -7,8734 -7,7740 -7,6859 -7,6630 -7,7339 -7,8686 -7,9906 -8,0374 -8,0033 -7,9194 -7,8176 -7,7213 -7,6500 -7,6221 -7,6554 -7,7574 -7,9108 -8,0741 -8,2042 -8,2742 -8,2758 -8,2161 -8,1189 -8,0244 -7,9775 -8,0048 -8,1015 -8,2406 -8,3858 -8,4970 -8,5376 -8,4864 -8,3466 -8,1518 -7,9625 -7,8455 -7,8427 -7,9547 -8,1460 -8,3643 -8,5579 -8,6862 -8,7209 -8,6349 -8,3999 -8,0061 -7,4847 -6,9022 -6,3281 -5,8033 -5,3288 -4,8793 -4,4336 -3,9951 -3,5808 -3,1957 -2,8268 -2,4658 -2,1312 -1,8617 -1,6950 -1,6613 -1,7856 -2,0759 -2,5128 -3,0590 -3,6717 -4,3007 -4,8886 -5,3826 -5,7451 -5,9618 -6,0490 -6,0490 -6,0198 -6,0256 -6,1217 -6,3324 -6,6425 -7,0090 -7,3808 -7,7152 -7,9786 -8,1436 -8,1948 -8,1358 -7,9917 -7,8024 -7,6013 -7,3985 -7,1880 -6,9675 -6,7479 -6,5516 -6,4002 -6,3077 -6,2938 -6,3899 -6,6222 -6,9904 -7,4633 -7,9910 -8,5243 -9,0239 -9,4533 -9,7743 -9,9610 -10,0127 -9,9443 -9,7720 -9,5157 -9,2086 -8,8916 -8,6001 -8,3549 -8,1578 -7,9984 -7,8656 -7,7533 -7,6576 -7,5701 -7,4758 -7,3714 -7,2807 -7,2419 -7,2841 -7,4179 -7,6396 -7,9347 -8,2812 -8,6550 -9,0331 -9,3959 -9,7262 -10,0055 -10,2173 -10,3552 -10,4276 -10,4591 -10,4832 -10,5255 -10,5914 -10,6669 -10,7187 -10,6978 -10,5540 -10,2575 -9,8164 -9,2857 -8,7594 -8,3310 -8,0438 -7,8767 -7,7730 -7,6740 -7,5315 -7,3161
F3    0,6285 0,3767 0,1211 -0,1288 -0,3460 -0,5023 -0,5774 -0,5631 -0,4736 -0,3491 -0,2423 -0,1989 -0,2399 -0,3474 -0,4742 -0,5774 -0,6467 -0,6943 -0,7216 -0,7045 -0,6153 -0,4495 -0,2248 0,0433 0,3474 0,6651 0,9436 1,1225 1,1702 1,0983 0,9537 0,8017 0,6953 0,6541 0,6762 0,7576 0,8782 0,9856 1,0153 0,9252 0,7079 0,3868 0,0106 -0,3623 -0,6877 -0,9416 -1,1128 -1,2069 -1,2577 -1,3189 -1,4330 -1,6010 -1,7758 -1,8877 -1,8854 -1,7610 -1,5477 -1,2999 -1,0697 -0,8885 -0,7595 -0,6668 -0,5889 -0,5033 -0,3872 -0,2296 -0,0484 0,1177 0,2445 0,3360 0,3978 0,4125 0,3525 0,2159 0,0408 -0,1197 -0,2308 -0,2823 -0,2711 -0,1881 -0,0254 0,2040 0,4673 0,7376 1,0086 1,2739 1,5047 1,6577 1,7042 1,6468 1,5078 1,3077 1,0590 0,7678 0,4329 0,0582 -0,3258 -0,6568 -0,8631 -0,9037 -0,7949 -0,5976 -0,3759 -0,1602 0,0541 0,2806 0,5267 0,7928 1,0712 1,3465 1,6015 1,8225 2,0087 2,1847 2,3929 2,6690 3,0328 3,4935 4,0476 4,6713 5,3212 5,9446 6,4948 6,9450 7,2928 7,5545 7,7475 7,8676 7,8844 7,7659 7,5106 7,1505 6,7293 6,2870 5,8554 5,4470 5,0487 4,6362 4,1955 3,7324 3,2651 2,8168 2,4181 2,1104 1,9327 1,8951 1,9682 2,1018 2,2467 2,3596 2,4075 2,3819 2,3014 2,2014 2,1214 2,0893 2,1067 2,1527 2,2069 2,2629 2,3259 2,4017 2,4833 2,5420 2,5398 2,4525 2,2810 2,0477 1,7950 1,5794 1,4401 1,3660 1,3034 1,1947 1,0098 0,7544 0,4655 0,1956 -0,0033 -0,0878 -0,0288 0,1759 0,4945 0,8749 1,2653 1,6229 1,9200 2,1452 2,2927 2,3543 2,3234 2,1968 1,9762 1,6775 1,3406 1,0141 0,7214 0,4540 0,2046 -0,0135 -0,1845 -0,3086 -0,3967 -0,4532 -0,4708 -0,4459 -0,3970 -0,3644 -0,3827 -0,4511 -0,5343 -0,5883 -0,5888 -0,5476 -0,5059 -0,5053 -0,5684 -0,7023 -0,9075 -1,1750 -1,4808 -1,7874 -2,0512 -2,2314 -2,3022 -2,2589 -2,1096 -1,8654 -1,5415 -1,1612 -0,7503 -0,3368 0,0409 0,3369 0,5164 0,5728 0,5308 0,4325 0,3193 0,2198 0,1409 0,0624 -0,0480 -0,2059 -0,3958 -0,5835 -0,7384 -0,8492 -0,9254 -0,9871 -1,0578 -1,1587 -1,2999 -1,4778 -1,6806 -1,8935 -2,1014 -2,2930 -2,4563 -2,5737 -2,6405 -2,6740 -2,6864 -2,6583 -2,5478 -2,3333 -2,0473 -1,7618 -1,5415 -1,4156 -1,3829 -1,4315 -1,5510 -1,7308 -1,9495 -2,1789 -2,4054 -2,6314 -2,8502 -3,0381 -3,1769 -3,2618 -3,2868 -3,2357 -3,0879 -2,8323 -2,4866 -2,0997 -1,7238 -1,3963 -1,1459 -0,9850 -0,8896 -0,8121 -0,7227 -0,6266 -0,5410 -0,4646 -0,3768 -0,2614 -0,1269 -0,0080 0,0541 0,0337 -0,0610 -0,1859 -0,2872 -0,3408 -0,3687 -0,4290 -0,5880 -0,8825 -1,2954 -1,7707 -2,2535 -2,7096 -3,1153 -3,4510 -3,7097 -3,9007 -4,0392 -4,1374 -4,1986 -4,2089 -4,1377 -3,9582 -3,6792 -3,3534 -3,0471 -2,7964 -2,5945 -2,4122 -2,2271 -2,0399 -1,8671 -1,7266 -1,6353 -1,6078 -1,6456 -1,7320 -1,8500 -2,0069 -2,2390 -2,5872 -3,0568 -3,6066 -4,1711 -4,6864 -5,1053 -5,4096 -5,6147 -5,7553 -5,8619 -5,9496 -6,0239 -6,0894 -6,1506 -6,2080 -6,2535 -6,2769 -6,2816 -6,2883 -6,3168 -6,3653 -6,4051 -6,4052 -6,3641 -6,3132 -6,2921 -6,3244 -6,4066 -6,5090 -6,5858 -6,5944 -6,5219 -6,3864 -6,1995 -5,9467 -5,6216 -5,2577 -4,9052 -4,5913 -4,3229 -4,1117 -3,9773 -3,9260 -3,9349 -3,9622 -3,9752 -3,9676 -3,9570 -3,9729 -4,0430 -4,1818 -4,3915 -4,6739 -5,0389 -5,4974 -6,0463 -6,6627 -7,3044 -7,9088 -8,4008 -8,7196 -8,8458 -8,8082 -8,6699 -8,4988 -8,3425 -8,2197 -8,1209 -8,0120 -7,8511 -7,6097 -7,2795 -6,8696 -6,4072 -5,9402 -5,5281 -5,2145 -5,0082 -4,9019 -4,9042 -5,0397 -5,3176 -5,7074 -6,1439 -6,5567 -6,9000 -7,1640 -7,3592 -7,4950 -7,5741 -7,6026 -7,5994 -7,5889 -7,5900 -7,6198 -7,6984 -7,8298 -7,9832 -8,1067 -8,1641 -8,1526 -8,0967 -8,0404 -8,0387 -8,1242 -8,2684 -8,3918 -8,4268 -8,3622 -8,2266 -8,0561 -7,8845 -7,7422 -7,6526 -7,6332 -7,6925 -7,8152 -7,9586 -8,0757 -8,1370 -8,1334 -8,0724 -7,9783 -7,8867 -7,8303 -7,8240 -7,8613 -7,9238 -7,9886 -8,0288 -8,0198 -7,9458 -7,8069 -7,6294 -7,4668 -7,3750 -7,3813 -7,4789 -7,6417 -7,8367 -8,0279 -8,1808 -8,2652 -8,2479 -8,0904 -7,7706 -7,3097 -6,7724 -6,2383 -5,7660 -5,3736 -5,0436 -4,7475 -4,4697 -4,2072 -3,9528 -3,6872 -3,3945 -3,0822 -2,7809 -2,5342 -2,3956 -2,4185 -2,6292 -3,0088 -3,5096 -4,0787 -4,6626 -5,2034 -5,6477 -5,9551 -6,1020 -6,0907 -5,9569 -5,7688 -5,6140 -5,5705 -5,6745 -5,9078 -6,2133 -6,5292 -6,8112 -7,0298 -7,1619 -7,1972 -7,1445 -7,0297 -6,8856 -6,7344 -6,5758 -6,3988 -6,2001 -5,9896 -5,7886 -5,6212 -5,5099 -5,4859 -5,5913 -5,8557 -6,2716 -6,7932 -7,3543 -7,8917 -8,3584 -8,7217 -8,9577 -9,0564 -9,0255 -8,8793 -8,6299 -8,2984 -7,9285 -7,5769 -7,2935 -7,1044 -7,0013 -6,9529 -6,9286 -6,9077 -6,8768 -6,8243 -6,7392 -6,6242 -6,5068 -6,4270 -6,4146 -6,4776 -6,6074 -6,7913 -7,0175 -7,2709 -7,5326 -7,7885 -8,0351 -8,2657 -8,4599 -8,5975 -8,6783 -8,7321 -8,8083 -8,9481 -9,1621 -9,4271 -9,6896 -9,8736 -9,9043 -9,7398 -9,3879 -8,9072 -8,3932 -7,9431 -7,6111 -7,3967 -7,2675 -7,1794 -7,0775 -6,9130
F7    0,3787 0,1901 0,0256 -0,1200 -0,2436 -0,3363 -0,3867 -0,3887 -0,3539 -0,3109 -0,2852 -0,2856 -0,3101 -0,3556 -0,4209 -0,5064 -0,6137 -0,7352 -0,8447 -0,9040 -0,8831 -0,7744 -0,5893 -0,3441 -0,0590 0,2240 0,4417 0,5472 0,5462 0,4948 0,4631 0,4993 0,6130 0,7819 0,9790 1,1875 1,3813 1,5090 1,5224 1,4084 1,1837 0,8721 0,5006 0,1022 -0,2912 -0,6502 -0,9455 -1,1608 -1,3119 -1,4409 -1,5926 -1,7909 -2,0201 -2,2259 -2,3438 -2,3362 -2,2115 -2,0162 -1,8098 -1,6345 -1,4950 -1,3712 -1,2448 -1,1048 -0,9384 -0,7362 -0,5123 -0,3081 -0,1658 -0,1001 -0,0997 -0,1497 -0,2415 -0,3598 -0,4733 -0,5462 -0,5566 -0,5054 -0,4163 -0,3265 -0,2669 -0,2460 -0,2528 -0,2661 -0,2650 -0,2402 -0,2002 -0,1664 -0,1638 -0,2146 -0,3348 -0,5331 -0,8059 -1,1370 -1,5056 -1,8878 -2,2484 -2,5408 -2,7184 -2,7509 -2,6389 -2,4175 -2,1390 -1,8483 -1,5694 -1,3075 -1,0524 -0,7856 -0,4929 -0,1736 0,1611 0,4926 0,8069 1,1065 1,4029 1,7019 2,0111 2,3511 2,7458 3,2044 3,7123 4,2275 4,6902 5,0468 5,2705 5,3646 5,3520 5,2547 5,0790 4,8185 4,4731 4,0589 3,6051 3,1494 2,7267 2,3498 2,0064 1,6803 1,3711 1,0889 0,8382 0,6176 0,4367 0,3211 0,2929 0,3500 0,4643 0,5972 0,7137 0,7874 0,8048 0,7730 0,7167 0,6633 0,6360 0,6473 0,6888 0,7345 0,7627 0,7735 0,7861 0,8221 0,8897 0,9776 1,0596 1,1018 1,0732 0,9618 0,7888 0,6029 0,4463 0,3215 0,1943 0,0209 -0,2305 -0,5680 -0,9680 -1,3827 -1,7615 -2,0630 -2,2561 -2,3290 -2,2933 -2,1718 -1,9895 -1,7781 -1,5787 -1,4303 -1,3530 -1,3418 -1,3772 -1,4410 -1,5266 -1,6377 -1,7707 -1,9079 -2,0412 -2,1864 -2,3613 -2,5602 -2,7549 -2,9133 -3,0124 -3,0388 -2,9881 -2,8717 -2,7218 -2,5834 -2,4909 -2,4452 -2,4216 -2,3924 -2,3445 -2,2919 -2,2732 -2,3272 -2,4667 -2,6789 -2,9455 -3,2520 -3,5766 -3,8768 -4,1017 -4,2192 -4,2239 -4,1201 -3,9143 -3,6207 -3,2637 -2,8748 -2,4898 -2,1442 -1,8697 -1,6886 -1,6062 -1,6061 -1,6562 -1,7275 -1,8108 -1,9090 -2,0191 -2,1313 -2,2339 -2,3126 -2,3513 -2,3393 -2,2752 -2,1684 -2,0409 -1,9223 -1,8416 -1,8171 -1,8495 -1,9263 -2,0319 -2,1505 -2,2659 -2,3662 -2,4429 -2,4863 -2,4940 -2,4752 -2,4361 -2,3647 -2,2394 -2,0603 -1,8696 -1,7297 -1,6762 -1,7014 -1,7774 -1,8814 -2,0032 -2,1428 -2,2998 -2,4607 -2,6030 -2,7064 -2,7587 -2,7599 -2,7192 -2,6460 -2,5446 -2,4142 -2,2496 -2,0457 -1,8128 -1,5811 -1,3831 -1,2381 -1,1574 -1,1380 -1,1445 -1,1224 -1,0429 -0,9261 -0,8133 -0,7268 -0,6573 -0,5819 -0,4898 -0,3960 -0,3321 -0,3208 -0,3511 -0,3812 -0,3730 -0,3251 -0,2721 -0,2615 -0,3347 -0,5151 -0,7947 -1,1310 -1,4695 -1,7733 -2,0329 -2,2563 -2,4503 -2,6071 -2,7086 -2,7513 -2,7620 -2,7757 -2,8029 -2,8244 -2,8185 -2,7821 -2,7199 -2,6292 -2,5047 -2,3510 -2,1832 -2,0205 -1,8801 -1,7751 -1,7200 -1,7286 -1,7985 -1,9039 -2,0155 -2,1316 -2,2882 -2,5312 -2,8763 -3,2986 -3,7545 -4,1987 -4,5947 -4,9277 -5,2046 -5,4381 -5,6332 -5,7914 -5,9211 -6,0353 -6,1441 -6,2506 -6,3440 -6,4000 -6,3990 -6,3434 -6,2566 -6,1685 -6,0968 -6,0458 -6,0193 -6,0240 -6,0644 -6,1385 -6,2330 -6,3180 -6,3558 -6,3273 -6,2507 -6,1616 -6,0688 -5,9415 -5,7484 -5,4918 -5,1959 -4,8881 -4,6119 -4,4315 -4,3958 -4,4942 -4,6582 -4,8066 -4,8885 -4,8915 -4,8293 -4,7271 -4,6130 -4,5199 -4,4932 -4,5901 -4,8585 -5,3068 -5,8911 -6,5362 -7,1616 -7,6874 -8,0397 -8,1767 -8,1130 -7,9141 -7,6643 -7,4299 -7,2390 -7,0893 -6,9579 -6,8054 -6,5928 -6,3079 -5,9723 -5,6229 -5,2917 -5,0015 -4,7737 -4,6292 -4,5776 -4,6180 -4,7517 -4,9830 -5,3005 -5,6677 -6,0383 -6,3835 -6,7035 -7,0137 -7,3215 -7,6119 -7,8488 -7,9901 -8,0130 -7,9285 -7,7790 -7,6261 -7,5314 -7,5283 -7,6044 -7,7138 -7,8089 -7,8603 -7,8610 -7,8347 -7,8330 -7,8942 -7,9982 -8,0790 -8,0842 -8,0095 -7,8769 -7,7023 -7,4960 -7,2811 -7,1029 -7,0220 -7,0828 -7,2755 -7,5345 -7,7803 -7,9591 -8,0476 -8,0422 -7,9564 -7,8232 -7,6859 -7,5825 -7,5326 -7,5327 -7,5551 -7,5543 -7,4914 -7,3512 -7,1403 -6,8885 -6,6521 -6,4918 -6,4393 -6,4895 -6,6152 -6,7785 -6,9396 -7,0697 -7,1525 -7,1686 -7,0913 -6,9063 -6,6308 -6,3059 -5,9724 -5,6550 -5,3631 -5,1008 -4,8739 -4,6907 -4,5553 -4,4548 -4,3565 -4,2254 -4,0446 -3,8156 -3,5632 -3,3512 -3,2704 -3,3821 -3,6798 -4,1028 -4,5702 -5,0038 -5,3434 -5,5615 -5,6613 -5,6574 -5,5652 -5,4083 -5,2295 -5,0846 -5,0176 -5,0436 -5,1494 -5,2998 -5,4510 -5,5692 -5,6351 -5,6353 -5,5674 -5,4486 -5,3123 -5,1983 -5,1355 -5,1246 -5,1377 -5,1337 -5,0799 -4,9702 -4,8212 -4,6577 -4,5207 -4,4724 -4,5657 -4,8112 -5,1797 -5,6249 -6,0960 -6,5418 -6,9128 -7,1655 -7,2751 -7,2464 -7,1051 -6,8826 -6,6153 -6,3432 -6,0991 -5,9067 -5,7834 -5,7380 -5,7700 -5,8652 -5,9872 -6,0854 -6,1191 -6,0717 -5,9530 -5,7972 -5,6553 -5,5825 -5,6207 -5,7856 -6,0686 -6,4404 -6,8486 -7,2239 -7,5156 -7,7192 -7,8559 -7,9369 -7,9610 -7,9360 -7,8905 -7,8682 -7,9097 -8,0359 -8,2371 -8,4626 -8,6295 -8,6622 -8,5288 -8,2498 -7,8885 -7,5343 -7,2623 -7,0826 -6,9394 -6,7666 -6,5316 -6,2254 -5,8423
