Fp1   1,4888 1,6377 1,7844 1,9323 2,0718 2,1853 2,2597 2,2946 2,2983 2,2798 2,2409 2,1753 2,0767 1,9441 1,7753 1,5666 1,3264 1,0774 0,8422 0,6307 0,4397 0,2595 0,0847 -0,0787 -0,2221 -0,3467 -0,4639 -0,5884 -0,7299 -0,8842 -1,0328 -1,1579 -1,2597 -1,3544 -1,4607 -1,5883 -1,7349 -1,8919 -2,0487 -2,1894 -2,2920 -2,3321 -2,2919 -2,1735 -1,9976 -1,7857 -1,5506 -1,3047 -1,0653 -0,8462 -0,6493 -0,4659 -0,2883 -0,1184 0,0305 0,1401 0,1965 0,1955 0,1408 0,0427 -0,0811 -0,2082 -0,3184 -0,4048 -0,4808 -0,5691 -0,6818 -0,8135 -0,9459 -1,0578 -1,1400 -1,2027 -1,2652 -1,3409 -1,4316 -1,5304 -1,6290 -1,7231 -1,8101 -1,8845 -1,9373 -1,9585 -1,9434 -1,8971 -1,8299 -1,7527 -1,6778 -1,6153 -1,5682 -1,5350 -1,5157 -1,5121 -1,5192 -1,5196 -1,4924 -1,4298 -1,3482 -1,2846 -1,2726 -1,3123 -1,3661 -1,3886 -1,3600 -1,2911 -1,2111 -1,1521 -1,1388 -1,1830 -1,2824 -1,4218 -1,5844 -1,7618 -1,9485 -2,1320 -2,2958 -2,4301 -2,5376 -2,6299 -2,7248 -2,8425 -2,9979 -3,1904 -3,3992 -3,5903 -3,7381 -3,8407 -3,9135 -3,9705 -4,0167 -4,0513 -4,0729 -4,0808 -4,0776 -4,0696 -4,0614 -4,0521 -4,0346 -4,0003 -3,9465 -3,8805 -3,8127 -3,7468 -3,6783 -3,6012 -3,5094 -3,3935 -3,2499 -3,0883 -2,9240 -2,7650 -2,6130 -2,4699 -2,3356 -2,2094 -2,0972 -2,0115 -1,9612 -1,9464 -1,9574 -1,9802 -2,0038 -2,0231 -2,0364 -2,0441 -2,0482 -2,0531 -2,0603 -2,0613 -2,0413 -1,9904 -1,9067 -1,7934 -1,6545 -1,4927 -1,3089 -1,1024 -0,8728 -0,6240 -0,3697 -0,1307 0,0738 0,2329 0,3450 0,4116 0,4275 0,3842 0,2837 0,1394 -0,0397 -0,2579 -0,5177 -0,8037 -1,0843 -1,3236 -1,4886 -1,5601 -1,5401 -1,4462 -1,2989 -1,1140 -0,9017 -0,6739 -0,4505 -0,2540 -0,1013 -0,0027 0,0340 0,0067 -0,0731 -0,1808 -0,2875 -0,3711 -0,4243 -0,4592 -0,5066 -0,6020 -0,7670 -1,0025 -1,2937 -1,6127 -1,9221 -2,1881 -2,3919 -2,5246 -2,5753 -2,5319 -2,3959 -2,1907 -1,9549 -1,7261 -1,5240 -1,3431 -1,1615 -0,9513 -0,6884 -0,3630 0,0173 0,4378 0,8813 1,3250 1,7420 2,1069 2,4024 2,6237 2,7754 2,8612 2,8797 2,8263 2,6960 2,4909 2,2233 1,9157 1,5922 1,2659 0,9354 0,5946 0,2449 -0,1007 -0,4171 -0,6716 -0,8377 -0,9076 -0,8908 -0,8049 -0,6717 -0,5187 -0,3717 -0,2403 -0,1123 0,0321 0,1970 0,3617 0,4948 0,5738 0,5886 0,5384 0,4358 0,3067 0,1786 0,0758 0,0218 0,0298 0,0904 0,1758 0,2566 0,3171 0,3594 0,3974 0,4482 0,5272 0,6393 0,7701 0,8917 0,9787 1,0190 1,0164 0,9897 0,9691 0,9857 1,0599 1,1988 1,3971 1,6396 1,9050 2,1708 2,4173 2,6354 2,8310 3,0176 3,2058 3,3982 3,5917 3,7817 3,9590 4,1056 4,2023 4,2422 4,2332 4,1926 4,1481 4,1350 4,1797 4,2820 4,4122 4,5256 4,5842 4,5717 4,4960 4,3830 4,2647 4,1624 4,0796 4,0111 3,9607 3,9473 3,9899 4,0867 4,2130 4,3373 4,4390 4,5154 4,5734 4,6183 4,6502 4,6700 4,6815 4,6926 4,7143 4,7507 4,7911 4,8243 4,8541 4,8900 4,9334 4,9830 5,0427 5,1157 5,1971 5,2768 5,3412 5,3736 5,3618 5,3046 5,2093 5,0903 4,9662 4,8510 4,7474 4,6480 4,5400 4,4147 4,2766 4,1396 4,0128 3,8939 3,7735 3,6443 3,5072 3,3723 3,2545 3,1666 3,1151 3,1012 3,1242 3,1849 3,2840 3,4126 3,5511 3,6794 3,7859 3,8677 3,9291 3,9815 4,0397 4,1190 4,2333 4,3878 4,5687 4,7458 4,8918 4,9976 5,0715 5,1293 5,1865 5,2523 5,3252 5,3902 5,4196 5,3821 5,2601 5,0648 4,8385 4,6350 4,4907 4,4141 4,3945 4,4093 4,4249 4,4040 4,3203 4,1650 3,9501 3,7078 3,4756 3,2771 3,1187 2,9968 2,9033 2,8338 2,7913 2,7792 2,7941 2,8329 2,8966 2,9846 3,0869 3,1829 3,2442 3,2444 3,1716 3,0363 2,8658 2,6899 2,5305 2,4021 2,3085 2,2352 2,1596 2,0764 2,0066 1,9794 2,0041 2,0636 2,1365 2,2159 2,3051 2,4087 2,5267 2,6518 2,7704 2,8712 2,9461 2,9826 2,9617 2,8636 2,6724 2,3831 2,0097 1,5839 1,1445 0,7294 0,3678 0,0717 -0,1666 -0,3643 -0,5386 -0,6974 -0,8367 -0,9471 -1,0209 -1,0537 -1,0450 -1,0015 -0,9379 -0,8765 -0,8432 -0,8604 -0,9350 -1,0548 -1,1985 -1,3473 -1,4886 -1,6146 -1,7207 -1,8033 -1,8555 -1,8670 -1,8260 -1,7219 -1,5522 -1,3307 -1,0887 -0,8687 -0,7077 -0,6206 -0,5973 -0,6127 -0,6404 -0,6579 -0,6463 -0,5898 -0,4805 -0,3221 -0,1285 0,0791 0,2763 0,4434 0,5686 0,6446 0,6685 0,6479 0,5996 0,5369 0,4648 0,3858 0,2983 0,1899 0,0442 -0,1454 -0,3708 -0,6118 -0,8439 -1,0495 -1,2274 -1,3921 -1,5659 -1,7669 -1,9988 -2,2464 -2,4807 -2,6726 -2,8017 -2,8552 -2,8250 -2,7125 -2,5333 -2,3107 -2,0711 -1,8467 -1,6703 -1,5589 -1,5016 -1,4679 -1,4284 -1,3707 -1,3005 -1,2343 -1,1903 -1,1809 -1,2095 -1,2736 -1,3724 -1,5083 -1,6825 -1,8933 -2,1350 -2,3936 -2,6449 -2,8624 -3,0252 -3,1234 -3,1587 -3,1424 -3,0928 -3,0330 -2,9873 -2,9741 -2,9992 -3,0564 -3,1313 -3,2049 -3,2603 -3,2923 -3,3099 -3,3301 -3,3663 -3,4217 -3,4970 -3,5999 -3,7413 -3,9211 -4,1234 -4,3240 -4,5050 -4,6638 -4,8085 -4,9445 -5,0641 -5,1480 -5,1760
Fz    0,3176 0,4243 0,5474 0,6972 0,8708 1,0508 1,2216 1,3812 1,5364 1,6903 1,8355 1,9568 2,0383 2,0659 2,0262 1,9117 1,7320 1,5156 1,2990 1,1117 0,9632 0,8426 0,7329 0,6230 0,5055 0,3730 0,2218 0,0558 -0,1169 -0,2875 -0,4497 -0,6028 -0,7573 -0,9331 -1,1501 -1,4153 -1,7173 -2,0306 -2,3237 -2,5623 -2,7116 -2,7415 -2,6357 -2,4039 -2,0805 -1,7045 -1,3045 -0,9037 -0,5262 -0,1890 0,1080 0,3768 0,6245 0,8438 1,0153 1,1180 1,1409 1,0893 0,9811 0,8410 0,6972 0,5763 0,4907 0,4297 0,3647 0,2665 0,1216 -0,0625 -0,2659 -0,4687 -0,6600 -0,8395 -1,0107 -1,1731 -1,3218 -1,4523 -1,5650 -1,6664 -1,7627 -1,8487 -1,9079 -1,9253 -1,9008 -1,8484 -1,7853 -1,7254 -1,6803 -1,6571 -1,6557 -1,6751 -1,7198 -1,7938 -1,8904 -1,9916 -2,0772 -2,1363 -2,1727 -2,2009 -2,2316 -2,2549 -2,2400 -2,1584 -2,0071 -1,8112 -1,6086 -1,4330 -1,3085 -1,2515 -1,2685 -1,3529 -1,4884 -1,6569 -1,8415 -2,0266 -2,2009 -2,3631 -2,5225 -2,6915 -2,8794 -3,0922 -3,3297 -3,5801 -3,8222 -4,0364 -4,2163 -4,3721 -4,5228 -4,6844 -4,8643 -5,0602 -5,2595 -5,4429 -5,5949 -5,7142 -5,8140 -5,9124 -6,0188 -6,1270 -6,2219 -6,2890 -6,3165 -6,2912 -6,2041 -6,0589 -5,8702 -5,6535 -5,4255 -5,2038 -4,9968 -4,7959 -4,5833 -4,3431 -4,0657 -3,7525 -3,4220 -3,1028 -2,8207 -2,5866 -2,3904 -2,2052 -2,0020 -1,7651 -1,4980 -1,2226 -0,9701 -0,7696 -0,6381 -0,5742 -0,5600 -0,5679 -0,5651 -0,5192 -0,4052 -0,2148 0,0375 0,3208 0,6026 0,8606 1,0861 1,2841 1,4681 1,6485 1,8225 1,9707 2,0609 2,0622 1,9647 1,7848 1,5505 1,2839 1,0004 0,7166 0,4515 0,2237 0,0463 -0,0808 -0,1737 -0,2541 -0,3356 -0,4171 -0,4852 -0,5247 -0,5308 -0,5096 -0,4717 -0,4315 -0,4110 -0,4358 -0,5207 -0,6601 -0,8305 -1,0035 -1,1595 -1,2978 -1,4336 -1,5852 -1,7641 -1,9720 -2,2009 -2,4317 -2,6383 -2,8006 -2,9122 -2,9714 -2,9733 -2,9152 -2,8086 -2,6764 -2,5367 -2,3954 -2,2485 -2,0824 -1,8758 -1,6104 -1,2833 -0,9101 -0,5141 -0,1113 0,2887 0,6735 1,0264 1,3303 1,5707 1,7389 1,8323 1,8552 1,8189 1,7357 1,6099 1,4393 1,2250 0,9802 0,7240 0,4663 0,2022 -0,0785 -0,3774 -0,6825 -0,9692 -1,2065 -1,3704 -1,4557 -1,4747 -1,4486 -1,4033 -1,3643 -1,3467 -1,3469 -1,3433 -1,3106 -1,2403 -1,1499 -1,0728 -1,0406 -1,0734 -1,1769 -1,3357 -1,5170 -1,6877 -1,8221 -1,8983 -1,9046 -1,8486 -1,7543 -1,6482 -1,5472 -1,4538 -1,3592 -1,2531 -1,1265 -0,9717 -0,7873 -0,5847 -0,3843 -0,2039 -0,0504 0,0826 0,2124 0,3592 0,5382 0,7559 1,0077 1,2788 1,5504 1,8044 2,0263 2,2093 2,3587 2,4919 2,6326 2,7996 2,9976 3,2174 3,4387 3,6349 3,7823 3,8728 3,9184 3,9464 3,9946 4,1012 4,2862 4,5347 4,8034 5,0431 5,2176 5,3117 5,3305 5,2957 5,2402 5,1964 5,1837 5,2058 5,2601 5,3466 5,4644 5,6035 5,7466 5,8801 6,0036 6,1286 6,2672 6,4203 6,5750 6,7116 6,8143 6,8776 6,9082 6,9198 6,9233 6,9287 6,9539 7,0180 7,1255 7,2655 7,4215 7,5797 7,7311 7,8706 7,9924 8,0878 8,1490 8,1691 8,1415 8,0617 7,9295 7,7498 7,5318 7,2893 7,0390 6,7955 6,5729 6,3839 6,2339 6,1179 6,0242 5,9435 5,8768 5,8341 5,8245 5,8493 5,9042 5,9820 6,0739 6,1734 6,2762 6,3733 6,4485 6,4888 6,4925 6,4675 6,4285 6,3956 6,3907 6,4330 6,5352 6,6921 6,8727 7,0347 7,1508 7,2232 7,2729 7,3226 7,3833 7,4504 7,5080 7,5356 7,5109 7,4136 7,2329 6,9792 6,6898 6,4175 6,2043 6,0646 5,9877 5,9454 5,9013 5,8237 5,6969 5,5208 5,3071 5,0781 4,8602 4,6745 4,5344 4,4455 4,4042 4,3990 4,4185 4,4534 4,4947 4,5378 4,5836 4,6292 4,6609 4,6581 4,6007 4,4757 4,2847 4,0461 3,7881 3,5366 3,3064 3,1009 2,9150 2,7373 2,5581 2,3824 2,2328 2,1368 2,1086 2,1480 2,2523 2,4218 2,6510 2,9221 3,2072 3,4730 3,6929 3,8565 3,9645 4,0153 3,9990 3,9012 3,7047 3,3976 2,9877 2,5089 2,0120 1,5515 1,1690 0,8750 0,6480 0,4527 0,2622 0,0726 -0,0969 -0,2168 -0,2627 -0,2228 -0,1002 0,0889 0,3182 0,5538 0,7555 0,8837 0,9114 0,8315 0,6522 0,3936 0,0854 -0,2409 -0,5618 -0,8635 -1,1346 -1,3612 -1,5288 -1,6260 -1,6514 -1,6196 -1,5592 -1,5023 -1,4730 -1,4793 -1,5145 -1,5662 -1,6220 -1,6695 -1,6899 -1,6572 -1,5510 -1,3690 -1,1265 -0,8465 -0,5556 -0,2791 -0,0362 0,1619 0,3131 0,4272 0,5228 0,6158 0,7116 0,8061 0,8870 0,9348 0,9319 0,8735 0,7735 0,6622 0,5715 0,5126 0,4677 0,4028 0,2901 0,1211 -0,0908 -0,3162 -0,5202 -0,6745 -0,7660 -0,7950 -0,7698 -0,7027 -0,6073 -0,4925 -0,3627 -0,2286 -0,1099 -0,0204 0,0459 0,1112 0,1950 0,3012 0,4171 0,5220 0,5984 0,6381 0,6418 0,6127 0,5502 0,4454 0,2847 0,0548 -0,2497 -0,6172 -1,0202 -1,4247 -1,7976 -2,1138 -2,3621 -2,5438 -2,6691 -2,7576 -2,8354 -2,9251 -3,0363 -3,1656 -3,3017 -3,4266 -3,5232 -3,5855 -3,6212 -3,6454 -3,6707 -3,7024 -3,7426 -3,7954 -3,8640 -3,9456 -4,0351 -4,1310 -4,2401 -4,3731 -4,5319 -4,7017 -4,8582 -4,9792 -5,0517
F3    0,3910 0,4363 0,5011 0,6031 0,7421 0,8971 1,0420 1,1623 1,2583 1,3361 1,3977 1,4387 1,4550 1,4451 1,4053 1,3276 1,2084 1,0582 0,9040 0,7768 0,6898 0,6300 0,5750 0,5118 0,4383 0,3564 0,2693 0,1810 0,0940 0,0081 -0,0796 -0,1774 -0,3006 -0,4619 -0,6631 -0,8946 -1,1419 -1,3937 -1,6426 -1,8750 -2,0662 -2,1859 -2,2082 -2,1245 -1,9483 -1,7031 -1,4101 -1,0870 -0,7527 -0,4236 -0,1079 0,1916 0,4680 0,7070 0,8907 1,0037 1,0404 1,0069 0,9164 0,7868 0,6412 0,5034 0,3856 0,2829 0,1790 0,0575 -0,0882 -0,2528 -0,4233 -0,5857 -0,7316 -0,8603 -0,9745 -1,0758 -1,1644 -1,2406 -1,3061 -1,3632 -1,4108 -1,4394 -1,4349 -1,3910 -1,3167 -1,2332 -1,1610 -1,1141 -1,1042 -1,1420 -1,2313 -1,3665 -1,5370 -1,7280 -1,9179 -2,0797 -2,1925 -2,2505 -2,2649 -2,2581 -2,2496 -2,2375 -2,1961 -2,0983 -1,9401 -1,7451 -1,5498 -1,3883 -1,2832 -1,2447 -1,2734 -1,3612 -1,4942 -1,6537 -1,8196 -1,9748 -2,1131 -2,2405 -2,3688 -2,5081 -2,6637 -2,8369 -3,0238 -3,2139 -3,3928 -3,5491 -3,6805 -3,7943 -3,9015 -4,0136 -4,1390 -4,2784 -4,4217 -4,5524 -4,6570 -4,7334 -4,7902 -4,8374 -4,8792 -4,9153 -4,9457 -4,9713 -4,9890 -4,9889 -4,9629 -4,9130 -4,8457 -4,7611 -4,6564 -4,5316 -4,3856 -4,2126 -4,0053 -3,7604 -3,4812 -3,1797 -2,8774 -2,5981 -2,3608 -2,1716 -2,0167 -1,8668 -1,6941 -1,4875 -1,2538 -1,0121 -0,7872 -0,6026 -0,4737 -0,4038 -0,3848 -0,3984 -0,4178 -0,4133 -0,3615 -0,2538 -0,0992 0,0811 0,2630 0,4259 0,5586 0,6647 0,7575 0,8470 0,9337 1,0109 1,0654 1,0806 1,0441 0,9555 0,8243 0,6606 0,4735 0,2739 0,0754 -0,1075 -0,2608 -0,3783 -0,4670 -0,5398 -0,6040 -0,6543 -0,6762 -0,6579 -0,6003 -0,5163 -0,4241 -0,3443 -0,2987 -0,3055 -0,3707 -0,4854 -0,6327 -0,7947 -0,9588 -1,1222 -1,2903 -1,4692 -1,6587 -1,8519 -2,0393 -2,2087 -2,3481 -2,4533 -2,5282 -2,5728 -2,5752 -2,5206 -2,4097 -2,2635 -2,1098 -1,9683 -1,8440 -1,7253 -1,5894 -1,4144 -1,1913 -0,9272 -0,6374 -0,3354 -0,0319 0,2628 0,5404 0,7954 1,0219 1,2114 1,3498 1,4203 1,4121 1,3266 1,1735 0,9679 0,7296 0,4829 0,2496 0,0366 -0,1647 -0,3672 -0,5786 -0,7993 -1,0203 -1,2217 -1,3797 -1,4803 -1,5235 -1,5154 -1,4658 -1,3917 -1,3124 -1,2389 -1,1692 -1,0958 -1,0186 -0,9511 -0,9127 -0,9172 -0,9722 -1,0793 -1,2277 -1,3915 -1,5404 -1,6486 -1,6981 -1,6858 -1,6259 -1,5403 -1,4458 -1,3491 -1,2486 -1,1404 -1,0231 -0,8936 -0,7452 -0,5747 -0,3877 -0,1955 -0,0076 0,1723 0,3490 0,5343 0,7410 0,9755 1,2367 1,5157 1,7975 2,0656 2,3062 2,5104 2,6777 2,8176 2,9468 3,0842 3,2425 3,4235 3,6176 3,8077 3,9718 4,0905 4,1564 4,1784 4,1771 4,1815 4,2237 4,3247 4,4790 4,6576 4,8241 4,9502 5,0219 5,0396 5,0170 4,9775 4,9442 4,9296 4,9353 4,9609 5,0077 5,0743 5,1517 5,2261 5,2883 5,3422 5,4051 5,4988 5,6356 5,8096 6,0028 6,1952 6,3690 6,5124 6,6211 6,6953 6,7417 6,7802 6,8330 6,9076 6,9971 7,0916 7,1846 7,2717 7,3506 7,4193 7,4745 7,5101 7,5164 7,4838 7,4114 7,3078 7,1830 7,0422 6,8878 6,7219 6,5474 6,3739 6,2201 6,1034 6,0286 5,9875 5,9686 5,9671 5,9836 6,0161 6,0573 6,0997 6,1393 6,1733 6,1983 6,2099 6,2022 6,1700 6,1147 6,0462 5,9759 5,9121 5,8621 5,8371 5,8521 5,9202 6,0411 6,1937 6,3416 6,4534 6,5164 6,5351 6,5252 6,5071 6,4962 6,4966 6,5015 6,4939 6,4510 6,3555 6,2079 6,0319 5,8668 5,7461 5,6815 5,6634 5,6681 5,6655 5,6295 5,5456 5,4116 5,2385 5,0503 4,8739 4,7270 4,6174 4,5471 4,5139 4,5124 4,5376 4,5835 4,6422 4,7080 4,7798 4,8536 4,9157 4,9453 4,9229 4,8381 4,6945 4,5120 4,3182 4,1337 3,9652 3,8103 3,6645 3,5217 3,3763 3,2314 3,1018 3,0055 2,9512 2,9368 2,9622 3,0336 3,1544 3,3153 3,4973 3,6798 3,8481 3,9967 4,1229 4,2157 4,2528 4,2064 4,0506 3,7702 3,3734 2,8944 2,3833 1,8932 1,4647 1,1106 0,8132 0,5447 0,2887 0,0487 -0,1568 -0,3049 -0,3767 -0,3623 -0,2630 -0,0939 0,1186 0,3429 0,5466 0,7010 0,7896 0,8108 0,7690 0,6679 0,5121 0,3111 0,0782 -0,1735 -0,4306 -0,6779 -0,8967 -1,0658 -1,1688 -1,2061 -1,1948 -1,1581 -1,1156 -1,0778 -1,0490 -1,0332 -1,0365 -1,0625 -1,1033 -1,1369 -1,1375 -1,0885 -0,9872 -0,8411 -0,6637 -0,4689 -0,2669 -0,0659 0,1271 0,3104 0,4866 0,6555 0,8115 0,9459 1,0480 1,1060 1,1136 1,0726 0,9906 0,8795 0,7546 0,6264 0,4937 0,3460 0,1738 -0,0232 -0,2333 -0,4363 -0,6121 -0,7469 -0,8343 -0,8719 -0,8602 -0,8082 -0,7323 -0,6474 -0,5628 -0,4877 -0,4297 -0,3844 -0,3303 -0,2423 -0,1101 0,0543 0,2225 0,3624 0,4506 0,4830 0,4743 0,4461 0,4100 0,3580 0,2661 0,1080 -0,1263 -0,4202 -0,7399 -1,0531 -1,3374 -1,5800 -1,7766 -1,9304 -2,0502 -2,1493 -2,2430 -2,3405 -2,4407 -2,5374 -2,6237 -2,6920 -2,7363 -2,7576 -2,7644 -2,7675 -2,7745 -2,7892 -2,8167 -2,8639 -2,9329 -3,0171 -3,1038 -3,1813 -3,2470 -3,3096 -3,3779 -3,4473 -3,4989 -3,5124 -3,4804
F7    1,0580 1,0788 1,1030 1,1496 1,2231 1,3108 1,3922 1,4511 1,4826 1,4914 1,4839 1,4625 1,4277 1,3787 1,3108 1,2182 1,1004 0,9623 0,8124 0,6607 0,5124 0,3655 0,2188 0,0791 -0,0445 -0,1481 -0,2320 -0,2994 -0,3564 -0,4104 -0,4666 -0,5325 -0,6216 -0,7462 -0,9069 -1,0900 -1,2768 -1,4542 -1,6153 -1,7519 -1,8506 -1,8951 -1,8723 -1,7797 -1,6276 -1,4299 -1,1997 -0,9518 -0,7039 -0,4708 -0,2568 -0,0598 0,1178 0,2672 0,3791 0,4476 0,4704 0,4483 0,3850 0,2897 0,1798 0,0756 -0,0095 -0,0757 -0,1360 -0,2078 -0,3044 -0,4283 -0,5674 -0,7001 -0,8082 -0,8872 -0,9449 -0,9934 -1,0418 -1,0890 -1,1254 -1,1420 -1,1380 -1,1192 -1,0916 -1,0573 -1,0173 -0,9755 -0,9357 -0,8957 -0,8531 -0,8108 -0,7745 -0,7497 -0,7414 -0,7529 -0,7781 -0,8004 -0,8033 -0,7841 -0,7583 -0,7508 -0,7787 -0,8351 -0,8897 -0,9093 -0,8806 -0,8173 -0,7477 -0,6985 -0,6871 -0,7198 -0,7924 -0,8923 -1,0041 -1,1138 -1,2098 -1,2858 -1,3443 -1,3990 -1,4687 -1,5676 -1,6996 -1,8576 -2,0245 -2,1776 -2,2959 -2,3685 -2,4009 -2,4126 -2,4274 -2,4618 -2,5203 -2,5970 -2,6819 -2,7659 -2,8434 -2,9127 -2,9766 -3,0403 -3,1058 -3,1699 -3,2309 -3,2903 -3,3451 -3,3829 -3,3918 -3,3700 -3,3229 -3,2537 -3,1630 -3,0488 -2,9044 -2,7203 -2,4950 -2,2390 -1,9686 -1,6996 -1,4482 -1,2300 -1,0575 -0,9389 -0,8732 -0,8466 -0,8375 -0,8249 -0,7946 -0,7440 -0,6830 -0,6301 -0,6031 -0,6102 -0,6474 -0,7000 -0,7451 -0,7602 -0,7300 -0,6496 -0,5242 -0,3683 -0,2008 -0,0390 0,1034 0,2201 0,3143 0,3926 0,4581 0,5094 0,5403 0,5424 0,5109 0,4463 0,3519 0,2279 0,0730 -0,1081 -0,2977 -0,4657 -0,5795 -0,6218 -0,6003 -0,5403 -0,4663 -0,3876 -0,2972 -0,1847 -0,0492 0,0960 0,2293 0,3290 0,3798 0,3749 0,3183 0,2238 0,1112 -0,0014 -0,1045 -0,1998 -0,2970 -0,4074 -0,5375 -0,6858 -0,8444 -1,0011 -1,1413 -1,2518 -1,3257 -1,3613 -1,3571 -1,3114 -1,2297 -1,1276 -1,0219 -0,9219 -0,8292 -0,7388 -0,6400 -0,5228 -0,3816 -0,2158 -0,0271 0,1823 0,4065 0,6336 0,8491 1,0423 1,2068 1,3365 1,4216 1,4521 1,4266 1,3522 1,2387 1,0966 0,9384 0,7766 0,6163 0,4509 0,2688 0,0647 -0,1548 -0,3739 -0,5720 -0,7292 -0,8347 -0,8906 -0,9069 -0,8934 -0,8572 -0,8076 -0,7559 -0,7089 -0,6622 -0,6045 -0,5308 -0,4515 -0,3869 -0,3562 -0,3746 -0,4495 -0,5708 -0,7103 -0,8355 -0,9231 -0,9610 -0,9464 -0,8848 -0,7875 -0,6678 -0,5378 -0,4080 -0,2907 -0,1966 -0,1249 -0,0630 0,0009 0,0703 0,1423 0,2149 0,2911 0,3806 0,4938 0,6327 0,7900 0,9587 1,1382 1,3285 1,5263 1,7253 1,9199 2,1068 2,2824 2,4425 2,5856 2,7152 2,8363 2,9512 3,0578 3,1482 3,2092 3,2298 3,2120 3,1745 3,1458 3,1543 3,2153 3,3216 3,4435 3,5407 3,5803 3,5490 3,4561 3,3281 3,1978 3,0883 3,0055 2,9443 2,9033 2,8893 2,9123 2,9765 3,0758 3,1951 3,3192 3,4410 3,5620 3,6854 3,8093 3,9253 4,0236 4,0978 4,1482 4,1771 4,1838 4,1678 4,1368 4,1042 4,0809 4,0740 4,0873 4,1189 4,1612 4,2049 4,2409 4,2619 4,2644 4,2475 4,2115 4,1590 4,0956 4,0257 3,9488 3,8632 3,7701 3,6738 3,5832 3,5083 3,4528 3,4103 3,3676 3,3154 3,2559 3,2000 3,1551 3,1206 3,0937 3,0747 3,0662 3,0702 3,0884 3,1205 3,1662 3,2269 3,3048 3,3990 3,5035 3,6090 3,7072 3,7952 3,8767 3,9572 4,0367 4,1071 4,1582 4,1851 4,1896 4,1782 4,1611 4,1488 4,1468 4,1507 4,1437 4,1034 4,0166 3,8917 3,7576 3,6518 3,6000 3,6038 3,6453 3,6950 3,7175 3,6820 3,5726 3,3922 3,1615 2,9159 2,6914 2,5117 2,3838 2,3043 2,2691 2,2795 2,3381 2,4375 2,5601 2,6894 2,8156 2,9308 3,0239 3,0815 3,0930 3,0530 2,9635 2,8355 2,6876 2,5379 2,3977 2,2735 2,1699 2,0841 2,0074 1,9375 1,8854 1,8654 1,8789 1,9151 1,9658 2,0335 2,1219 2,2262 2,3351 2,4364 2,5213 2,5875 2,6366 2,6672 2,6713 2,6340 2,5351 2,3578 2,1019 1,7884 1,4519 1,1283 0,8436 0,6046 0,4009 0,2184 0,0499 -0,1028 -0,2322 -0,3292 -0,3857 -0,3966 -0,3594 -0,2765 -0,1568 -0,0178 0,1134 0,2050 0,2349 0,2005 0,1141 -0,0076 -0,1501 -0,3017 -0,4500 -0,5802 -0,6772 -0,7291 -0,7294 -0,6779 -0,5842 -0,4715 -0,3733 -0,3236 -0,3428 -0,4275 -0,5530 -0,6864 -0,7992 -0,8752 -0,9087 -0,9001 -0,8539 -0,7790 -0,6868 -0,5885 -0,4945 -0,4132 -0,3471 -0,2931 -0,2436 -0,1886 -0,1220 -0,0482 0,0220 0,0818 0,1283 0,1577 0,1668 0,1541 0,1175 0,0559 -0,0267 -0,1248 -0,2376 -0,3693 -0,5237 -0,6988 -0,8835 -1,0589 -1,2062 -1,3144 -1,3812 -1,4056 -1,3856 -1,3250 -1,2359 -1,1323 -1,0270 -0,9354 -0,8733 -0,8449 -0,8337 -0,8091 -0,7460 -0,6410 -0,5138 -0,3930 -0,2998 -0,2391 -0,2012 -0,1720 -0,1433 -0,1178 -0,1084 -0,1332 -0,2056 -0,3247 -0,4765 -0,6426 -0,8073 -0,9583 -1,0863 -1,1848 -1,2516 -1,2909 -1,3148 -1,3370 -1,3635 -1,3896 -1,4042 -1,3977 -1,3696 -1,3284 -1,2877 -1,2626 -1,2625 -1,2894 -1,3453 -1,4369 -1,5662 -1,7232 -1,8888 -2,0432 -2,1738 -2,2803 -2,3682 -2,4386 -2,4837 -2,4930 -2,4629
