Fp1   1,0250 1,4345 1,7877 1,9988 2,0106 1,7977 1,3781 0,8148 0,1893 -0,4292 -0,9894 -1,4486 -1,7727 -1,9362 -1,9206 -1,7269 -1,3972 -1,0153 -0,6777 -0,4538 -0,3582 -0,3576 -0,4045 -0,4648 -0,5124 -0,5213 -0,4802 -0,4030 -0,3079 -0,1974 -0,0704 0,0533 0,1358 0,1497 0,0991 0,0289 0,0176 0,1351 0,3847 0,6875 0,9340 1,0508 1,0207 0,8633 0,6191 0,3377 0,0572 -0,1995 -0,4107 -0,5553 -0,6318 -0,6650 -0,6842 -0,6974 -0,6944 -0,6748 -0,6556 -0,6448 -0,6214 -0,5548 -0,4402 -0,3114 -0,2153 -0,1821 -0,2239 -0,3457 -0,5352 -0,7474 -0,9174 -0,9918 -0,9387 -0,7415 -0,4110 -0,0059 0,3691 0,5961 0,5962 0,3746 0,0162 -0,3594 -0,6369 -0,7271 -0,5836 -0,2162 0,3114 0,9009 1,4501 1,8838 2,1635 2,2757 2,2244 2,0414 1,7817 1,4915 1,1802 0,8312 0,4282 -0,0329 -0,5402 -1,0571 -1,5223 -1,8663 -2,0352 -2,0180 -1,8592 -1,6428 -1,4591 -1,3763 -1,4186 -1,5502 -1,6842 -1,7260 -1,6199 -1,3556 -0,9473 -0,4308 0,1258 0,6350 1,0199 1,2343 1,2714 1,1670 0,9967 0,8702 0,9010 1,1537 1,6271 2,2892 3,1143 4,0852 5,1638 6,2724 7,3152 8,2173 8,9393 9,4720 9,8260 10,0274 10,1187 10,1559 10,1902 10,2426 10,2981 10,3323 10,3356 10,3084 10,2462 10,1406 9,9908 9,8118 9,6378 9,5050 9,4191 9,3487 9,2575 9,1320 8,9748 8,7946 8,6125 8,4608 8,3636 8,3261 8,3455 8,4207 8,5416 8,6752 8,7748 8,8083 8,7791 8,7181 8,6565 8,6046 8,5589 8,5216 8,5062 8,5252 8,5694 8,5917 8,5224 8,3133 7,9653 7,5209 7,0426 6,5900 6,2065 5,9187 5,7388 5,6497 5,5954 5,5128 5,3864 5,2620 5,1983 5,2136 5,2751 5,3205 5,2901 5,1548 4,9263 4,6445 4,3581 4,1171 3,9718 3,9684 4,1328 4,4558 4,8951 5,3824 5,8298 6,1487 6,2767 6,1932 5,9159 5,4910 4,9950 4,5248 4,1585 3,9219 3,8014 3,7755 3,8207 3,9028 3,9920 4,0906 4,2309 4,4409 4,7188 5,0352 5,3472 5,6182 5,8354 6,0081 6,1533 6,2870 6,4103 6,4958 6,5007 6,4012 6,2174 6,0044 5,8180 5,6895 5,6392 5,6952 5,8794 6,1821 6,5675 6,9959 7,4325 7,8435 8,1933 8,4494 8,5843 8,5768 8,4162 8,1027 7,6408 7,0414 6,3461 5,6461 5,0572 4,6757 4,5570 4,7178 5,1261 5,6842 6,2494 6,6915 6,9359 6,9716 6,8344 6,5861 6,3021 6,0565 5,9046 5,8717 5,9405 6,0492 6,1321 6,1763 6,2231 6,3139 6,4493 6,5874 6,6682 6,6517 6,5485 6,4151 6,3143 6,2738 6,2716 6,2558 6,1844 6,0449 5,8493 5,6303 5,4393 5,3245 5,3058 5,3720 5,4852 5,5812 5,5930 5,4900 5,2954 5,0731 4,8871 4,7613 4,6887 4,6677 4,7005 4,7690 4,8362 4,8708 4,8710 4,8753 4,9468 5,1355 5,4541 5,8762 6,3436 6,7800 7,1114 7,2903 7,3130 7,2208 7,0796 6,9484 6,8660 6,8643 6,9783 7,2350 7,6312 8,1243 8,6408 9,0915 9,3948 9,5017 9,4101 9,1572 8,7920 8,3569 7,8931 7,4407 7,0220 6,6262 6,2144 5,7509 5,2410 4,7369 4,3065 3,9976 3,8267 3,7785 3,8028 3,8275 3,8032 3,7399 3,7004 3,7498 3,9033 4,1101 4,2881 4,3789 4,3856 4,3640 4,3665 4,3905 4,3883 4,3225 4,2032 4,0815 4,0089 3,9998 4,0263 4,0465 4,0395 4,0176 4,0013 3,9887 3,9606 3,9068 3,8435 3,8183 3,8887 4,0718 4,3191 4,5485 4,6976 4,7500 4,7230 4,6427 4,5384 4,4467 4,3999 4,4063 4,4448 4,4774 4,4704 4,4130 4,3199 4,2107 4,1004 4,0138 3,9934 4,0792 4,2760 4,5421 4,8223 5,0884 5,3359 5,5533 5,7140 5,7962 5,7993 5,7414 5,6513 5,5510 5,4450 5,3362 5,2475 5,2153 5,2650 5,3799 5,4925 5,5254 5,4509 5,3030 5,1387 4,9985 4,8996 4,8452 4,8177 4,7683 4,6400 4,4125 4,1132 3,7960 3,5193 3,3290 3,2442 3,2698 3,4163 3,6904 4,0703 4,5059 4,9360 5,3025 5,5652 5,7053 5,7086 5,5554 5,2404 4,8001 4,3136 3,8696 3,5290 3,3165 3,2340 3,2783 3,4460 3,7233 4,0787 4,4708 4,8521 5,1609 5,3346 5,3472 5,2344 5,0809 4,9813 4,9999 5,1469 5,3788 5,6125 5,7437 5,6723 5,3397 4,7611 4,0221 3,2369 2,5041 1,8848 1,3969 1,0274 0,7642 0,6146 0,5895 0,6895 0,9101 1,2391 1,6468 2,0983 2,5636 3,0059 3,3802 3,6437 3,7575 3,6885 3,4262 2,9950 2,4423 1,8269 1,2301 0,7555 0,4926 0,4814 0,7100 1,1261 1,6439 2,1626 2,6045 2,9468 3,2207 3,4845 3,7913 4,1674 4,5999 5,0447 5,4509 5,7764 5,9925 6,0888 6,0759 5,9855 5,8687 5,7782 5,7379 5,7245 5,6900 5,6107 5,5059 5,4074 5,3277 5,2538 5,1553 5,0006 4,7737 4,4787 4,1280 3,7313 3,2938 2,8168 2,3109 1,8129 1,3809 1,0676 0,8991 0,8700 0,9443 1,0577 1,1331 1,1062 0,9442 0,6596 0,3093 -0,0443 -0,3824 -0,7357 -1,1369 -1,5779 -2,0202 -2,4291 -2,7740 -3,0107 -3,0924 -3,0003 -2,7604 -2,4310 -2,0663 -1,6895 -1,3045 -0,9279 -0,5994 -0,3568 -0,2103 -0,1515 -0,1783 -0,2905 -0,4607 -0,6260 -0,7097 -0,6549 -0,4542 -0,1557 0,1623 0,4304 0,6204 0,7504 0,8629 0,9946 1,1602 1,3538 1,5570 1,7423 1,8676 1,8797 1,7467 1,4902 1,1737
Fz    2,3621 2,7025 3,0287 3,2966 3,4652 3,4895 3,3290 2,9632 2,3960 1,6611 0,8323 0,0128 -0,7005 -1,2416 -1,5733 -1,6858 -1,6027 -1,3815 -1,1052 -0,8675 -0,7443 -0,7658 -0,9099 -1,1215 -1,3316 -1,4713 -1,4919 -1,3822 -1,1646 -0,8765 -0,5601 -0,2684 -0,0660 -0,0078 -0,1053 -0,3078 -0,5168 -0,6344 -0,6160 -0,4857 -0,3044 -0,1334 -0,0229 -0,0126 -0,1193 -0,3283 -0,5977 -0,8631 -1,0526 -1,1190 -1,0600 -0,9133 -0,7377 -0,5903 -0,5097 -0,5167 -0,6173 -0,7917 -0,9923 -1,1667 -1,2838 -1,3370 -1,3289 -1,2638 -1,1581 -1,0500 -0,9820 -0,9690 -0,9891 -1,0059 -0,9903 -0,9214 -0,7908 -0,6139 -0,4330 -0,3093 -0,3041 -0,4520 -0,7388 -1,1007 -1,4427 -1,6662 -1,6989 -1,5142 -1,1331 -0,6101 -0,0173 0,5701 1,0831 1,4671 1,6933 1,7659 1,7151 1,5824 1,4056 1,2025 0,9660 0,6781 0,3318 -0,0597 -0,4663 -0,8419 -1,1302 -1,2900 -1,3277 -1,2998 -1,2758 -1,2982 -1,3685 -1,4504 -1,4826 -1,4050 -1,1890 -0,8455 -0,4094 0,0714 0,5372 0,9273 1,1980 1,3288 1,3226 1,2119 1,0643 0,9770 1,0471 1,3311 1,8257 2,4812 3,2355 4,0478 4,9018 5,7835 6,6701 7,5349 8,3534 9,1059 9,7796 10,3766 10,9206 11,4450 11,9610 12,4331 12,7931 12,9850 12,9964 12,8523 12,5923 12,2566 11,8752 11,4707 11,0779 10,7505 10,5342 10,4395 10,4404 10,4878 10,5240 10,5052 10,4263 10,3167 10,2103 10,1286 10,0856 10,0884 10,1282 10,1782 10,2068 10,1952 10,1454 10,0731 9,9910 9,9018 9,8024 9,6908 9,5650 9,4214 9,2557 9,0615 8,8304 8,5569 8,2396 7,8820 7,4984 7,1171 6,7697 6,4781 6,2488 6,0691 5,9129 5,7634 5,6367 5,5757 5,6126 5,7367 5,8948 6,0181 6,0557 5,9960 5,8581 5,6705 5,4614 5,2630 5,1147 5,0578 5,1219 5,3097 5,5957 5,9360 6,2791 6,5708 6,7607 6,8103 6,7041 6,4605 6,1376 5,8117 5,5383 5,3332 5,1870 5,0856 5,0180 4,9797 4,9752 5,0193 5,1288 5,3073 5,5371 5,7849 6,0160 6,2121 6,3813 6,5426 6,7016 6,8492 6,9698 7,0387 7,0250 6,9127 6,7217 6,5019 6,3029 6,1542 6,0779 6,1052 6,2612 6,5375 6,8891 7,2572 7,5955 7,8815 8,1086 8,2692 8,3464 8,3248 8,2036 7,9969 7,7229 7,3977 7,0410 6,6845 6,3722 6,1497 6,0538 6,1045 6,2881 6,5423 6,7725 6,8974 6,8815 6,7388 6,5154 6,2712 6,0704 5,9702 6,0020 6,1575 6,3821 6,5907 6,7130 6,7374 6,7073 6,6783 6,6817 6,7126 6,7443 6,7539 6,7410 6,7261 6,7338 6,7736 6,8271 6,8526 6,8059 6,6590 6,4075 6,0771 5,7224 5,4097 5,1951 5,1073 5,1376 5,2455 5,3829 5,5134 5,6133 5,6670 5,6555 5,5522 5,3458 5,0661 4,7677 4,4933 4,2625 4,0896 4,0049 4,0573 4,2879 4,6924 5,2147 5,7734 6,2925 6,7129 6,9934 7,1187 7,1106 7,0270 6,9400 6,9051 6,9423 7,0461 7,2117 7,4455 7,7527 8,1203 8,5069 8,8408 9,0361 9,0314 8,8194 8,4453 7,9866 7,5325 7,1641 6,9296 6,8245 6,7897 6,7329 6,5716 6,2767 5,8821 5,4600 5,0887 4,8302 4,7156 4,7326 4,8295 4,9428 5,0326 5,0967 5,1540 5,2137 5,2588 5,2572 5,1860 5,0540 4,9005 4,7613 4,6354 4,4952 4,3257 4,1517 4,0292 4,0052 4,0837 4,2299 4,3982 4,5575 4,6938 4,7977 4,8533 4,8442 4,7710 4,6620 4,5712 4,5502 4,6071 4,6970 4,7620 4,7748 4,7465 4,7035 4,6655 4,6428 4,6410 4,6577 4,6795 4,6864 4,6659 4,6288 4,6152 4,6730 4,8196 5,0306 5,2687 5,5125 5,7535 5,9752 6,1435 6,2298 6,2384 6,1989 6,1373 6,0668 6,0046 5,9851 6,0506 6,2246 6,4815 6,7473 6,9421 7,0250 7,0026 6,9056 6,7553 6,5432 6,2484 5,8744 5,4654 5,0897 4,8100 4,6650 4,6586 4,7487 4,8515 4,8766 4,7733 4,5480 4,2524 3,9573 3,7208 3,5688 3,5074 3,5419 3,6756 3,8991 4,1848 4,4867 4,7485 4,9267 5,0053 4,9839 4,8602 4,6338 4,3259 3,9877 3,6851 3,4753 3,3930 3,4456 3,6160 3,8739 4,1854 4,5165 4,8362 5,1151 5,3212 5,4271 5,4285 5,3559 5,2707 5,2464 5,3393 5,5670 5,9056 6,2963 6,6520 6,8780 6,9044 6,7117 6,3310 5,8216 5,2467 4,6576 4,0871 3,5545 3,0797 2,6898 2,4084 2,2448 2,1975 2,2550 2,3942 2,5850 2,7924 2,9737 3,0898 3,1231 3,0798 2,9792 2,8508 2,7295 2,6395 2,5859 2,5707 2,6094 2,7214 2,9171 3,1990 3,5584 3,9668 4,3855 4,7892 5,1775 5,5645 5,9593 6,3543 6,7251 7,0381 7,2644 7,3948 7,4437 7,4406 7,4164 7,3942 7,3899 7,4105 7,4498 7,4886 7,5018 7,4712 7,4005 7,3154 7,2433 7,1997 7,1839 7,1782 7,1552 7,0898 6,9645 6,7652 6,4800 6,1034 5,6409 5,1231 4,6179 4,2075 3,9433 3,8233 3,8072 3,8372 3,8451 3,7643 3,5500 3,1942 2,7371 2,2560 1,8197 1,4471 1,1127 0,7832 0,4430 0,0924 -0,2604 -0,5888 -0,8438 -0,9765 -0,9657 -0,8314 -0,6301 -0,4230 -0,2405 -0,0866 0,0300 0,0871 0,0774 0,0295 -0,0073 -0,0016 0,0460 0,1249 0,2374 0,3926 0,5903 0,8212 1,0701 1,3132 1,5200 1,6706 1,7703 1,8429 1,9101 1,9794 2,0461 2,0997 2,1250 2,1025 2,0174 1,8794 1,7245 1,5866
F3    1,8682 2,3126 2,7326 3,0748 3,2928 3,3415 3,1889 2,8286 2,2792 1,5845 0,8215 0,0940 -0,4990 -0,8969 -1,0872 -1,0973 -0,9833 -0,8136 -0,6524 -0,5494 -0,5287 -0,5820 -0,6804 -0,8016 -0,9377 -1,0808 -1,2146 -1,3153 -1,3555 -1,3115 -1,1769 -0,9756 -0,7603 -0,5933 -0,5165 -0,5200 -0,5367 -0,4884 -0,3503 -0,1687 -0,0209 0,0340 -0,0243 -0,1800 -0,3937 -0,6200 -0,8200 -0,9599 -1,0093 -0,9514 -0,7934 -0,5704 -0,3433 -0,1806 -0,1296 -0,2004 -0,3652 -0,5677 -0,7465 -0,8678 -0,9387 -0,9888 -1,0416 -1,1048 -1,1836 -1,2914 -1,4341 -1,5857 -1,6860 -1,6700 -1,4974 -1,1671 -0,7239 -0,2562 0,1224 0,2998 0,2012 -0,1774 -0,7593 -1,4095 -1,9753 -2,3278 -2,3946 -2,1701 -1,7024 -1,0707 -0,3632 0,3361 0,9534 1,4315 1,7405 1,8796 1,8659 1,7217 1,4689 1,1259 0,7066 0,2237 -0,3052 -0,8552 -1,3905 -1,8552 -2,1812 -2,3258 -2,3071 -2,1946 -2,0610 -1,9434 -1,8396 -1,7220 -1,5563 -1,3216 -1,0255 -0,7021 -0,3955 -0,1486 0,0029 0,0425 -0,0204 -0,1599 -0,3426 -0,5227 -0,6340 -0,5919 -0,3186 0,2213 1,0029 1,9553 2,9937 4,0520 5,0871 6,0585 6,9163 7,6123 8,1190 8,4442 8,6273 8,7253 8,8024 8,9158 9,0974 9,3415 9,6117 9,8653 10,0711 10,2115 10,2775 10,2688 10,1874 10,0359 9,8301 9,6067 9,4019 9,2299 9,0832 8,9441 8,7921 8,6133 8,4174 8,2362 8,0962 7,9991 7,9329 7,8913 7,8763 7,8890 7,9257 7,9839 8,0669 8,1768 8,3046 8,4298 8,5279 8,5785 8,5717 8,5095 8,3947 8,2166 7,9575 7,6123 7,1988 6,7555 6,3332 5,9835 5,7449 5,6348 5,6427 5,7232 5,8033 5,8171 5,7439 5,6142 5,4762 5,3560 5,2448 5,1119 4,9281 4,6840 4,3915 4,0757 3,7689 3,5101 3,3401 3,2933 3,3888 3,6244 3,9711 4,3716 4,7456 5,0124 5,1184 5,0480 4,8179 4,4738 4,0898 3,7456 3,4909 3,3332 3,2537 3,2236 3,2097 3,1834 3,1334 3,0736 3,0327 3,0334 3,0807 3,1672 3,2805 3,4094 3,5509 3,7067 3,8739 4,0443 4,2032 4,3202 4,3545 4,2847 4,1361 3,9700 3,8430 3,7810 3,7919 3,8824 4,0522 4,2808 4,5351 4,7878 5,0279 5,2556 5,4695 5,6571 5,7948 5,8558 5,8171 5,6632 5,3910 5,0165 4,5751 4,1188 3,7129 3,4240 3,3042 3,3807 3,6435 4,0317 4,4432 4,7720 4,9458 4,9471 4,8083 4,5907 4,3643 4,1887 4,0971 4,0921 4,1474 4,2130 4,2426 4,2288 4,2064 4,2212 4,2981 4,4269 4,5705 4,6917 4,7768 4,8407 4,9116 5,0017 5,0858 5,1104 5,0242 4,8013 4,4495 4,0143 3,5716 3,2027 2,9669 2,8801 2,9075 2,9807 3,0327 3,0265 2,9610 2,8623 2,7574 2,6544 2,5536 2,4657 2,4022 2,3576 2,3124 2,2543 2,1994 2,1963 2,2981 2,5243 2,8514 3,2317 3,6139 3,9523 4,2093 4,3647 4,4248 4,4206 4,3948 4,3829 4,3963 4,4276 4,4731 4,5457 4,6640 4,8350 5,0385 5,2179 5,2987 5,2331 5,0328 4,7620 4,5030 4,3237 4,2567 4,2897 4,3711 4,4274 4,3827 4,1840 3,8257 3,3595 2,8713 2,4417 2,1145 1,8936 1,7544 1,6609 1,5848 1,5263 1,5184 1,6022 1,7834 2,0098 2,1928 2,2591 2,1941 2,0468 1,8863 1,7490 1,6269 1,4948 1,3438 1,1940 1,0802 1,0296 1,0563 1,1633 1,3393 1,5524 1,7524 1,8839 1,9072 1,8171 1,6519 1,4870 1,3990 1,4191 1,5180 1,6363 1,7280 1,7818 1,8094 1,8267 1,8480 1,8848 1,9383 1,9921 2,0175 1,9915 1,9172 1,8342 1,7981 1,8407 1,9536 2,1136 2,3096 2,5440 2,8138 3,0952 3,3529 3,5606 3,7064 3,7878 3,8133 3,8060 3,8010 3,8366 3,9351 4,0806 4,2188 4,2942 4,2888 4,2276 4,1518 4,0827 4,0029 3,8783 3,6978 3,4834 3,2695 3,0823 2,9344 2,8223 2,7190 2,5811 2,3778 2,1177 1,8440 1,6093 1,4524 1,3849 1,3913 1,4483 1,5432 1,6694 1,8116 1,9453 2,0448 2,0899 2,0715 1,9933 1,8640 1,6900 1,4813 1,2628 1,0744 0,9568 0,9348 1,0102 1,1672 1,3842 1,6436 1,9303 2,2252 2,5081 2,7571 2,9408 3,0223 2,9861 2,8595 2,7063 2,5974 2,5792 2,6587 2,8087 2,9804 3,1142 3,1528 3,0590 2,8299 2,4916 2,0797 1,6248 1,1479 0,6611 0,1735 -0,2943 -0,7044 -1,0163 -1,2052 -1,2629 -1,1928 -1,0064 -0,7187 -0,3529 0,0483 0,4301 0,7429 0,9482 1,0190 0,9536 0,7834 0,5548 0,3091 0,0868 -0,0666 -0,1138 -0,0392 0,1540 0,4437 0,7851 1,1274 1,4420 1,7303 2,0089 2,2978 2,6153 2,9692 3,3470 3,7180 4,0454 4,2970 4,4560 4,5234 4,5086 4,4222 4,2778 4,0924 3,8860 3,6826 3,5117 3,4103 3,4136 3,5298 3,7245 3,9274 4,0562 4,0499 3,8938 3,6144 3,2534 2,8447 2,4044 1,9341 1,4381 0,9495 0,5318 0,2450 0,1109 0,1096 0,1938 0,3001 0,3616 0,3236 0,1585 -0,1204 -0,4609 -0,8065 -1,1312 -1,4396 -1,7410 -2,0346 -2,3167 -2,5865 -2,8333 -3,0283 -3,1435 -3,1727 -3,1365 -3,0747 -3,0196 -2,9668 -2,8823 -2,7419 -2,5561 -2,3563 -2,1689 -2,0095 -1,8942 -1,8393 -1,8396 -1,8567 -1,8404 -1,7550 -1,5906 -1,3642 -1,1174 -0,9010 -0,7514 -0,6747 -0,6504 -0,6450 -0,6282 -0,5883 -0,5377 -0,5063 -0,5302 -0,6374 -0,8256 -1,0538 -1,2648
F7    1,8561 2,1433 2,3681 2,5088 2,5505 2,4750 2,2700 1,9418 1,5130 1,0150 0,4883 -0,0141 -0,4334 -0,7204 -0,8520 -0,8388 -0,7253 -0,5776 -0,4633 -0,4337 -0,5088 -0,6665 -0,8535 -1,0180 -1,1341 -1,1990 -1,2181 -1,1925 -1,1155 -0,9797 -0,7921 -0,5844 -0,4074 -0,3100 -0,3139 -0,3895 -0,4581 -0,4373 -0,3019 -0,1011 0,0808 0,1772 0,1616 0,0446 -0,1369 -0,3319 -0,4898 -0,5719 -0,5607 -0,4627 -0,3044 -0,1239 0,0375 0,1459 0,1838 0,1505 0,0594 -0,0653 -0,1960 -0,3150 -0,4197 -0,5132 -0,5928 -0,6528 -0,7005 -0,7653 -0,8765 -1,0280 -1,1713 -1,2436 -1,1989 -1,0270 -0,7653 -0,4944 -0,3078 -0,2776 -0,4384 -0,7799 -1,2413 -1,7151 -2,0746 -2,2181 -2,1019 -1,7447 -1,2096 -0,5763 0,0806 0,7001 1,2282 1,6129 1,8108 1,7992 1,5850 1,2054 0,7202 0,1922 -0,3327 -0,8310 -1,2941 -1,7208 -2,1120 -2,4550 -2,7165 -2,8668 -2,9135 -2,9006 -2,8743 -2,8569 -2,8482 -2,8368 -2,8076 -2,7490 -2,6607 -2,5563 -2,4529 -2,3625 -2,2914 -2,2437 -2,2273 -2,2580 -2,3460 -2,4722 -2,5793 -2,5870 -2,4225 -2,0462 -1,4611 -0,7071 0,1571 1,0794 2,0235 2,9457 3,7785 4,4492 4,9175 5,1981 5,3491 5,4435 5,5498 5,7242 5,9981 6,3647 6,7795 7,1807 7,5130 7,7377 7,8359 7,8079 7,6690 7,4435 7,1672 6,8864 6,6463 6,4772 6,3906 6,3811 6,4233 6,4760 6,4999 6,4750 6,4000 6,2844 6,1456 6,0062 5,8870 5,8028 5,7630 5,7761 5,8472 5,9643 6,0898 6,1733 6,1783 6,1013 5,9695 5,8248 5,7009 5,6087 5,5387 5,4780 5,4179 5,3475 5,2498 5,1089 4,9237 4,7112 4,4931 4,2796 4,0669 3,8500 3,6403 3,4672 3,3576 3,3130 3,3066 3,2934 3,2251 3,0699 2,8261 2,5185 2,1848 1,8649 1,5989 1,4280 1,3877 1,4934 1,7331 2,0647 2,4147 2,6953 2,8375 2,8118 2,6274 2,3283 1,9892 1,6925 1,4911 1,3911 1,3657 1,3739 1,3718 1,3278 1,2381 1,1280 1,0363 0,9903 0,9922 1,0282 1,0869 1,1703 1,2904 1,4557 1,6605 1,8905 2,1288 2,3503 2,5179 2,6003 2,5926 2,5162 2,3996 2,2677 2,1492 2,0843 2,1117 2,2464 2,4732 2,7600 3,0733 3,3863 3,6758 3,9120 4,0579 4,0808 3,9647 3,7099 3,3339 2,8758 2,3934 1,9476 1,5892 1,3570 1,2841 1,3957 1,6936 2,1387 2,6479 3,1143 3,4418 3,5793 3,5312 3,3509 3,1236 2,9333 2,8290 2,8137 2,8555 2,9040 2,9209 2,9109 2,9190 2,9932 3,1473 3,3481 3,5350 3,6583 3,7081 3,7161 3,7311 3,7793 3,8344 3,8307 3,7067 3,4378 3,0447 2,5879 2,1527 1,8205 1,6368 1,5906 1,6252 1,6767 1,7094 1,7183 1,7148 1,7166 1,7374 1,7760 1,8233 1,8743 1,9216 1,9455 1,9236 1,8528 1,7661 1,7311 1,8169 2,0496 2,3974 2,7896 3,1485 3,4127 3,5484 3,5529 3,4531 3,2965 3,1413 3,0423 3,0277 3,0884 3,1946 3,3212 3,4615 3,6285 3,8356 4,0675 4,2729 4,3954 4,4078 4,3192 4,1577 3,9561 3,7461 3,5506 3,3716 3,1842 2,9427 2,6070 2,1762 1,7016 1,2633 0,9309 0,7336 0,6596 0,6702 0,7144 0,7479 0,7591 0,7815 0,8651 1,0256 1,2178 1,3600 1,3850 1,2795 1,0869 0,8701 0,6697 0,4994 0,3615 0,2567 0,1867 0,1535 0,1609 0,2169 0,3338 0,5166 0,7495 0,9951 1,2073 1,3462 1,3889 1,3388 1,2318 1,1196 1,0371 0,9866 0,9536 0,9336 0,9401 0,9896 1,0823 1,1990 1,3104 1,3877 1,4108 1,3757 1,2987 1,2139 1,1671 1,1946 1,2954 1,4375 1,5923 1,7596 1,9578 2,1937 2,4433 2,6656 2,8312 2,9303 2,9672 2,9580 2,9324 2,9311 2,9982 3,1595 3,3939 3,6269 3,7675 3,7607 3,6105 3,3677 3,0926 2,8209 2,5600 2,3118 2,0890 1,9131 1,8069 1,7841 1,8342 1,9131 1,9513 1,8868 1,7044 1,4472 1,1892 0,9943 0,8886 0,8558 0,8607 0,8774 0,8979 0,9235 0,9595 1,0109 1,0760 1,1468 1,2130 1,2570 1,2488 1,1607 0,9917 0,7785 0,5799 0,4494 0,4159 0,4829 0,6357 0,8531 1,1166 1,4160 1,7448 2,0825 2,3779 2,5613 2,5827 2,4433 2,1981 1,9267 1,6954 1,5363 1,4485 1,4045 1,3591 1,2670 1,0997 0,8533 0,5401 0,1717 -0,2463 -0,7047 -1,1826 -1,6504 -2,0717 -2,4050 -2,6171 -2,6946 -2,6399 -2,4656 -2,1967 -1,8705 -1,5343 -1,2384 -1,0201 -0,8969 -0,8777 -0,9633 -1,1295 -1,3278 -1,5144 -1,6677 -1,7746 -1,8158 -1,7733 -1,6399 -1,4181 -1,1249 -0,7941 -0,4629 -0,1520 0,1370 0,4148 0,7033 1,0322 1,4196 1,8490 2,2716 2,6321 2,8931 3,0463 3,1110 3,1203 3,1058 3,0899 3,0776 3,0551 3,0034 2,9171 2,8154 2,7301 2,6811 2,6640 2,6578 2,6399 2,5972 2,5275 2,4286 2,2914 2,1027 1,8471 1,5091 1,0868 0,6150 0,1639 -0,1952 -0,4220 -0,5129 -0,4928 -0,4116 -0,3360 -0,3308 -0,4386 -0,6615 -0,9594 -1,2791 -1,5893 -1,8868 -2,1755 -2,4514 -2,7071 -2,9379 -3,1340 -3,2736 -3,3352 -3,3168 -3,2462 -3,1748 -3,1467 -3,1625 -3,1800 -3,1524 -3,0597 -2,9076 -2,7099 -2,4851 -2,2643 -2,0820 -1,9520 -1,8624 -1,7937 -1,7320 -1,6671 -1,5919 -1,5073 -1,4224 -1,3488 -1,2934 -1,2536 -1,2132 -1,1496 -1,0530 -0,9420 -0,8563 -0,8343 -0,8973 -1,0414 -1,2353 -1,4329
