Fp1   0,6618 0,3915 0,4379 0,8334 1,4795 2,1609 2,6430 2,7657 2,4857 1,8818 1,1100 0,3135 -0,4306 -1,0967 -1,6824 -2,1828 -2,5721 -2,8230 -2,9336 -2,9185 -2,7951 -2,5831 -2,3027 -1,9873 -1,6941 -1,4648 -1,2684 -1,0102 -0,6295 -0,1897 0,1571 0,3018 0,2484 0,0668 -0,1791 -0,4503 -0,7083 -0,8753 -0,8432 -0,5488 -0,0092 0,7139 1,5228 2,2588 2,7298 2,8190 2,5750 2,1742 1,8120 1,6345 1,7192 2,0588 2,5580 3,0573 3,3698 3,3412 2,9219 2,1908 1,3036 0,4340 -0,2353 -0,5525 -0,4893 -0,1556 0,2870 0,6909 0,9324 0,9075 0,5532 -0,0894 -0,8524 -1,5369 -2,0294 -2,3081 -2,3879 -2,3126 -2,1763 -2,0918 -2,1124 -2,2102 -2,3212 -2,4165 -2,5638 -2,8885 -3,4298 -4,0655 -4,5891 -4,8230 -4,6812 -4,2006 -3,5232 -2,7981 -2,0888 -1,3751 -0,6072 0,2511 1,1956 2,1667 3,0480 3,7010 4,0450 4,1110 4,0152 3,8895 3,8222 3,8303 3,8784 3,9225 3,9386 3,9302 3,9208 3,9487 4,0584 4,2672 4,5456 4,8451 5,1365 5,4236 5,7311 6,0696 6,4083 6,6879 6,8635 6,9276 6,9090 6,8742 6,9025 7,0149 7,1421 7,1825 7,0703 6,7964 6,4053 5,9807 5,6161 5,3682 5,2235 5,1147 4,9679 4,7375 4,4372 4,1630 4,0508 4,1785 4,5299 5,0463 5,6384 6,1425 6,3778 6,2884 5,9756 5,6045 5,3287 5,2551 5,4059 5,7136 6,0694 6,3811 6,6086 6,7600 6,8451 6,8439 6,7235 6,4658 6,0865 5,6594 5,2962 5,0632 4,9345 4,8381 4,7159 4,5386 4,3007 4,0138 3,6827 3,2860 2,7940 2,2118 1,5972 1,0421 0,6416 0,4672 0,5404 0,8244 1,2492 1,7345 2,1989 2,5837 2,8947 3,2086 3,6086 4,0914 4,5414 4,8027 4,7793 4,4899 4,0593 3,6603 3,4430 3,4907 3,8063 4,3454 5,0678 5,9275 6,8094 7,5287 7,9272 7,9775 7,7975 7,5644 7,4075 7,3782 7,4767 7,6585 7,8362 7,9183 7,8379 7,5628 7,1337 6,6803 6,3511 6,2300 6,3140 6,5373 6,8135 7,0791 7,3066 7,4784 7,5542 7,4843 7,2667 6,9695 6,7038 6,5816 6,6700 6,9562 7,3553 7,7676 8,1416 8,4790 8,7981 9,1165 9,4550 9,8309 10,2286 10,5791 10,7750 10,7094 10,3430 9,7770 9,2295 8,8938 8,8278 8,9715 9,2310 9,5278 9,8036 10,0291 10,2105 10,3624 10,4834 10,5751 10,6677 10,8019 10,9828 11,1573 11,2476 11,1999 10,9894 10,6054 10,0726 9,4695 8,8909 8,3898 7,9609 7,5731 7,2103 6,8918 6,6728 6,6166 6,7482 7,0315 7,3832 7,7036 7,9111 7,9615 7,8386 7,5401 7,0968 6,6071 6,2138 6,0165 6,0133 6,1235 6,2480 6,3262 6,3672 6,4283 6,5544 6,7419 6,9538 7,1436 7,2767 7,3542 7,4026 7,4242 7,3761 7,2179 6,9768 6,7517 6,6579 6,7625 7,0308 7,3186 7,4620 7,4018 7,2014 6,9715 6,8266 6,8742 7,1779 7,7224 8,4143 9,1137 9,6803 10,0188 10,1136 10,0309 9,8770 9,7416 9,6563 9,5901 9,4953 9,3535 9,1743 8,9781 8,7836 8,5862 8,3485 8,0285 7,6211 7,1689 6,7436 6,4210 6,2594 6,2594 6,3520 6,4478 6,4834 6,4197 6,2264 5,8776 5,3736 4,7741 4,1796 3,6612 3,2390 2,9330 2,7942 2,8586 3,0802 3,3316 3,4865 3,4992 3,4069 3,2730 3,1390 3,0274 2,9701 3,0084 3,1623 3,4222 3,7809 4,2450 4,8020 5,3889 5,9005 6,2213 6,2644 6,0282 5,6329 5,2680 5,0680 5,0386 5,0924 5,1232 5,0529 4,8516 4,5381 4,1673 3,8195 3,5741 3,4717 3,5048 3,6413 3,8346 4,0105 4,0776 3,9890 3,7971 3,6240 3,5845 3,7407 4,0888 4,5467 4,9688 5,2237 5,2754 5,1738 4,9662 4,6548 4,2546 3,8479 3,5481 3,4342 3,5187 3,7440 4,0036 4,1942 4,2589 4,1926 4,0303 3,8468 3,7476 3,8279 4,1032 4,4728 4,7715 4,8723 4,7475 4,4622 4,1236 3,8263 3,6255 3,5339 3,5208 3,5247 3,4898 3,3954 3,2478 3,0643 2,8909 2,8149 2,9057 3,1375 3,3914 3,5304 3,4766 3,2419 2,9169 2,6536 2,6234 2,9332 3,5585 4,3647 5,2018 5,9856 6,6985 7,3302 7,8345 8,1440 8,2174 8,0724 7,7860 7,4559 7,1368 6,8089 6,4235 5,9789 5,5466 5,2202 5,0404 4,9591 4,8660 4,6648 4,3377 3,9491 3,5919 3,3329 3,2038 3,2270 3,4126 3,7179 4,0534 4,3443 4,5554 4,6740 4,7193 4,7690 4,9324 5,2603 5,6818 6,0568 6,2835 6,3486 6,3087 6,2382 6,1710 6,0937 5,9996 5,9290 5,9468 6,0875 6,3318 6,6296 6,9135 7,0869 7,0385 6,7104 6,1546 5,5114 4,9271 4,4832 4,1747 3,9442 3,7412 3,5467 3,3549 3,1588 2,9426 2,6717 2,3319 1,9842 1,7293 1,6109 1,5864 1,5794 1,5257 1,3764 1,1087 0,7588 0,4081 0,1272 -0,0472 -0,1077 -0,0646 0,0683 0,2564 0,4096 0,4118 0,2116 -0,1287 -0,4750 -0,6937 -0,6959 -0,4793 -0,1513 0,1350 0,2952 0,3667 0,4678 0,7149 1,1502 1,7165 2,2925 2,7532 3,0166 3,0750 3,0074 2,9346 2,9315 2,9899 3,0582 3,0926 3,0833 3,0563 3,0383 3,0208 2,9862 2,9607 2,9924 3,0983 3,2637 3,4440 3,5429 3,4484 3,1207 2,6267 2,0811 1,5650 1,0946 0,6536 0,2457 -0,1055 -0,4179 -0,7778 -1,2627 -1,8454 -2,3991 -2,7817 -2,8986 -2,7199 -2,2709 -1,6075 -0,8029 0,0414 0,8004 1,3725 1,7358 1,9645
Fz    2,7393 2,4012 2,1038 1,9032 1,8104 1,7836 1,7532 1,6528 1,4459 1,1450 0,8073 0,4986 0,2548 0,0721 -0,0790 -0,2317 -0,4054 -0,6047 -0,8217 -1,0343 -1,2082 -1,3098 -1,3188 -1,2372 -1,0901 -0,9149 -0,7473 -0,6120 -0,5266 -0,5136 -0,5935 -0,7539 -0,9398 -1,0889 -1,1672 -1,1728 -1,1226 -1,0381 -0,9326 -0,8069 -0,6487 -0,4410 -0,1871 0,0707 0,2723 0,3923 0,4621 0,5359 0,6457 0,7984 0,9961 1,2374 1,5037 1,7544 1,9313 1,9742 1,8469 1,5605 1,1715 0,7571 0,3959 0,1500 0,0430 0,0633 0,1817 0,3507 0,4994 0,5471 0,4337 0,1509 -0,2460 -0,6662 -1,0273 -1,2803 -1,4137 -1,4593 -1,4928 -1,6073 -1,8624 -2,2450 -2,6759 -3,0632 -3,3678 -3,6111 -3,8183 -3,9747 -4,0420 -3,9913 -3,8149 -3,5238 -3,1403 -2,6829 -2,1554 -1,5586 -0,9060 -0,2263 0,4419 1,0554 1,5707 1,9509 2,1844 2,3022 2,3698 2,4551 2,5937 2,7764 2,9657 3,1288 3,2637 3,4062 3,6149 3,9440 4,4229 5,0436 5,7613 6,5105 7,2239 7,8521 8,3728 8,7745 9,0374 9,1478 9,1242 9,0115 8,8507 8,6651 8,4561 8,1929 7,8179 7,2857 6,5973 5,8022 4,9763 4,1947 3,5110 2,9472 2,4926 2,1111 1,7576 1,4004 1,0487 0,7608 0,6136 0,6509 0,8704 1,2503 1,7570 2,3211 2,8518 3,2904 3,6342 3,9156 4,1811 4,4736 4,8046 5,1417 5,4228 5,5882 5,6097 5,4978 5,2821 4,9891 4,6380 4,2479 3,8461 3,4700 3,1530 2,9048 2,7106 2,5499 2,4081 2,2746 2,1424 2,0093 1,8711 1,7143 1,5211 1,2860 1,0263 0,7798 0,5903 0,4913 0,4959 0,5974 0,7742 0,9901 1,1948 1,3381 1,3922 1,3685 1,3088 1,2520 1,2034 1,1365 1,0208 0,8475 0,6349 0,4217 0,2558 0,1752 0,1919 0,2969 0,4778 0,7131 0,9549 1,1418 1,2373 1,2501 1,2217 1,1982 1,2084 1,2606 1,3479 1,4448 1,5072 1,4899 1,3646 1,1292 0,8150 0,4768 0,1644 -0,0937 -0,2854 -0,4090 -0,4755 -0,5145 -0,5686 -0,6737 -0,8437 -1,0656 -1,3019 -1,5031 -1,6237 -1,6288 -1,5007 -1,2522 -0,9301 -0,5945 -0,2847 -0,0082 0,2413 0,4707 0,6889 0,9052 1,1202 1,3164 1,4608 1,5143 1,4516 1,2931 1,1074 0,9631 0,8869 0,8735 0,9117 0,9832 1,0542 1,0934 1,0914 1,0549 0,9924 0,9147 0,8400 0,7820 0,7313 0,6588 0,5472 0,4068 0,2542 0,0922 -0,0742 -0,2230 -0,3336 -0,4122 -0,4862 -0,5779 -0,6876 -0,7966 -0,8732 -0,8844 -0,8206 -0,7117 -0,6109 -0,5636 -0,5877 -0,6821 -0,8486 -1,0962 -1,4133 -1,7373 -1,9676 -2,0212 -1,8793 -1,5875 -1,2214 -0,8446 -0,4869 -0,1527 0,1556 0,4220 0,6192 0,7267 0,7458 0,6990 0,6146 0,5080 0,3721 0,1921 -0,0275 -0,2536 -0,4414 -0,5586 -0,6074 -0,6306 -0,6785 -0,7655 -0,8661 -0,9424 -0,9538 -0,8575 -0,6232 -0,2521 0,2173 0,7196 1,1915 1,5920 1,8976 2,0905 2,1614 2,1236 2,0098 1,8558 1,6957 1,5602 1,4657 1,4109 1,3792 1,3361 1,2338 1,0371 0,7528 0,4355 0,1602 -0,0135 -0,0630 -0,0100 0,0930 0,1922 0,2495 0,2403 0,1505 -0,0277 -0,2969 -0,6391 -1,0043 -1,3342 -1,5976 -1,7920 -1,9201 -1,9836 -2,0010 -2,0068 -2,0236 -2,0479 -2,0625 -2,0530 -2,0116 -1,9346 -1,8188 -1,6644 -1,4832 -1,2925 -1,1009 -0,9122 -0,7464 -0,6418 -0,6357 -0,7487 -0,9793 -1,2958 -1,6319 -1,9082 -2,0741 -2,1321 -2,1231 -2,0970 -2,0947 -2,1364 -2,2149 -2,3006 -2,3605 -2,3803 -2,3737 -2,3720 -2,4053 -2,4912 -2,6364 -2,8401 -3,0877 -3,3461 -3,5745 -3,7389 -3,8186 -3,8055 -3,7118 -3,5747 -3,4420 -3,3448 -3,2898 -3,2778 -3,3129 -3,3850 -3,4552 -3,4718 -3,3957 -3,2229 -2,9981 -2,8018 -2,7073 -2,7368 -2,8514 -2,9765 -3,0387 -2,9884 -2,8088 -2,5265 -2,2097 -1,9384 -1,7646 -1,6971 -1,7140 -1,7838 -1,8807 -1,9873 -2,0942 -2,2046 -2,3341 -2,4950 -2,6827 -2,8790 -3,0620 -3,2057 -3,2753 -3,2457 -3,1346 -3,0030 -2,9198 -2,9250 -3,0160 -3,1529 -3,2677 -3,2835 -3,1490 -2,8615 -2,4539 -1,9616 -1,4001 -0,7721 -0,1012 0,5523 1,1180 1,5560 1,8663 2,0718 2,1953 2,2382 2,1768 1,9848 1,6657 1,2647 0,8517 0,4864 0,1875 -0,0690 -0,3195 -0,5782 -0,8308 -1,0551 -1,2373 -1,3675 -1,4310 -1,4177 -1,3401 -1,2297 -1,1137 -1,0036 -0,8998 -0,7925 -0,6576 -0,4631 -0,1991 0,0973 0,3634 0,5573 0,6776 0,7453 0,7788 0,7829 0,7615 0,7326 0,7218 0,7427 0,7890 0,8493 0,9204 0,9971 1,0463 1,0109 0,8497 0,5738 0,2387 -0,0956 -0,4026 -0,7017 -1,0346 -1,4263 -1,8708 -2,3491 -2,8377 -3,3065 -3,7233 -4,0525 -4,2505 -4,2885 -4,1878 -4,0167 -3,8525 -3,7490 -3,7305 -3,7959 -3,9188 -4,0553 -4,1663 -4,2412 -4,3082 -4,4155 -4,5938 -4,8405 -5,1416 -5,4926 -5,8840 -6,2820 -6,6390 -6,9182 -7,1054 -7,2143 -7,2867 -7,3661 -7,4589 -7,5266 -7,5146 -7,3867 -7,1431 -6,8144 -6,4456 -6,0835 -5,7646 -5,4998 -5,2642 -5,0069 -4,6802 -4,2681 -3,7934 -3,3022 -2,8410 -2,4464 -2,1499 -1,9752 -1,9234 -1,9732 -2,1049 -2,3124 -2,5926 -2,9427 -3,3710 -3,8875 -4,4855 -5,1412 -5,8228 -6,4908 -7,1009 -7,6143 -8,0032 -8,2605 -8,4133 -8,5168 -8,6207 -8,7399 -8,8549 -8,9312 -8,9269 -8,7920 -8,4772 -7,9551 -7,2401 -6,3937 -5,5095 -4,6831 -3,9761 -3,3920
F3    2,1335 1,7143 1,3812 1,1701 1,0795 1,0711 1,0849 1,0629 0,9739 0,8261 0,6553 0,4914 0,3327 0,1499 -0,0851 -0,3671 -0,6547 -0,9051 -1,1024 -1,2491 -1,3462 -1,3829 -1,3425 -1,2208 -1,0403 -0,8426 -0,6620 -0,5054 -0,3656 -0,2568 -0,2140 -0,2508 -0,3314 -0,3989 -0,4230 -0,4188 -0,4251 -0,4576 -0,4818 -0,4477 -0,3315 -0,1373 0,1052 0,3338 0,4792 0,5174 0,4918 0,4751 0,5121 0,6050 0,7444 0,9278 1,1446 1,3560 1,4911 1,4708 1,2579 0,8895 0,4541 0,0459 -0,2505 -0,3629 -0,2576 0,0417 0,4655 0,9196 1,3018 1,5145 1,4833 1,1968 0,7425 0,2728 -0,0845 -0,2762 -0,3099 -0,2358 -0,1485 -0,1620 -0,3487 -0,6938 -1,1111 -1,5106 -1,8646 -2,2049 -2,5535 -2,8748 -3,0982 -3,1629 -3,0391 -2,7348 -2,2889 -1,7439 -1,1218 -0,4329 0,3034 1,0547 1,7803 2,4264 2,9206 3,1931 3,2308 3,1083 2,9490 2,8578 2,8835 3,0178 3,2193 3,4465 3,6818 3,9393 4,2491 4,6357 5,1071 5,6499 6,2319 6,8171 7,3771 7,8968 8,3713 8,7859 9,1003 9,2700 9,2870 9,1843 9,0057 8,7911 8,5708 8,3432 8,0700 7,7137 7,2698 6,7593 6,2114 5,6586 5,1347 4,6670 4,2663 3,9195 3,5923 3,2505 2,8981 2,6012 2,4610 2,5502 2,8786 3,4078 4,0585 4,7004 5,1935 5,4735 5,5818 5,6110 5,6488 5,7611 5,9761 6,2691 6,5714 6,8027 6,9075 6,8751 6,7278 6,4951 6,1993 5,8572 5,4908 5,1389 4,8478 4,6406 4,5034 4,4024 4,3054 4,1906 4,0469 3,8727 3,6743 3,4613 3,2397 3,0146 2,8009 2,6215 2,4937 2,4202 2,3934 2,4037 2,4420 2,4916 2,5246 2,5148 2,4577 2,3781 2,3174 2,3044 2,3267 2,3305 2,2574 2,0886 1,8557 1,6177 1,4321 1,3345 1,3312 1,4137 1,5752 1,8008 2,0493 2,2684 2,4303 2,5524 2,6844 2,8688 3,1091 3,3727 3,6122 3,7746 3,8102 3,6936 3,4375 3,0861 2,7003 2,3354 2,0220 1,7705 1,5859 1,4716 1,4241 1,4247 1,4317 1,3901 1,2571 1,0309 0,7572 0,5028 0,3190 0,2327 0,2582 0,4010 0,6446 0,9475 1,2674 1,5817 1,8820 2,1674 2,4494 2,7499 3,0801 3,4153 3,6874 3,7991 3,6717 3,3214 2,8803 2,5065 2,2809 2,2005 2,2295 2,3234 2,4311 2,5147 2,5683 2,6080 2,6496 2,7025 2,7709 2,8486 2,9130 2,9325 2,8925 2,8084 2,7048 2,5940 2,4842 2,3895 2,3134 2,2349 2,1226 1,9574 1,7376 1,4786 1,2214 1,0226 0,9128 0,8702 0,8417 0,7833 0,6798 0,5346 0,3468 0,1104 -0,1585 -0,4014 -0,5386 -0,5205 -0,3595 -0,1185 0,1294 0,3452 0,5410 0,7536 1,0023 1,2699 1,5146 1,6925 1,7765 1,7716 1,7103 1,6249 1,5217 1,3892 1,2309 1,0824 0,9934 0,9926 1,0572 1,1151 1,1008 1,0163 0,9204 0,8653 0,8713 0,9469 1,0986 1,3231 1,5956 1,8724 2,1132 2,3021 2,4418 2,5364 2,5850 2,5871 2,5492 2,4872 2,4272 2,3956 2,4017 2,4374 2,4888 2,5316 2,5277 2,4498 2,3073 2,1407 1,9941 1,8959 1,8543 1,8548 1,8742 1,9073 1,9637 2,0385 2,0992 2,0943 1,9731 1,7217 1,3834 1,0285 0,7087 0,4505 0,2758 0,2009 0,2118 0,2610 0,3013 0,3198 0,3372 0,3833 0,4729 0,6017 0,7570 0,9237 1,0847 1,2298 1,3684 1,5182 1,6766 1,8098 1,8670 1,8016 1,5937 1,2704 0,9042 0,5807 0,3550 0,2324 0,1827 0,1607 0,1209 0,0342 -0,1006 -0,2565 -0,3927 -0,4782 -0,5126 -0,5248 -0,5511 -0,6144 -0,7236 -0,8799 -1,0724 -1,2721 -1,4412 -1,5475 -1,5712 -1,5093 -1,3816 -1,2283 -1,0914 -0,9955 -0,9451 -0,9377 -0,9703 -1,0290 -1,0801 -1,0779 -0,9798 -0,7681 -0,4782 -0,2026 -0,0407 -0,0319 -0,1351 -0,2666 -0,3488 -0,3286 -0,1780 0,0937 0,4271 0,7372 0,9560 1,0566 1,0449 0,9386 0,7596 0,5412 0,3275 0,1497 0,0081 -0,1157 -0,2353 -0,3527 -0,4635 -0,5544 -0,5999 -0,5823 -0,5200 -0,4678 -0,4878 -0,6146 -0,8363 -1,0991 -1,3272 -1,4490 -1,4266 -1,2642 -0,9883 -0,6184 -0,1556 0,4030 1,0316 1,6598 2,2067 2,6315 2,9466 3,1884 3,3782 3,4998 3,5059 3,3505 3,0255 2,5776 2,0964 1,6737 1,3581 1,1407 0,9819 0,8526 0,7549 0,7132 0,7484 0,8661 1,0606 1,3165 1,6006 1,8683 2,0898 2,2615 2,3935 2,4960 2,5862 2,6922 2,8310 2,9814 3,0982 3,1550 3,1601 3,1365 3,0950 3,0297 2,9370 2,8317 2,7432 2,6961 2,6960 2,7354 2,8080 2,8990 2,9600 2,9176 2,7201 2,3730 1,9306 1,4632 1,0225 0,6220 0,2471 -0,1151 -0,4644 -0,7974 -1,1113 -1,4057 -1,6832 -1,9310 -2,1060 -2,1655 -2,1097 -1,9830 -1,8472 -1,7628 -1,7763 -1,8982 -2,0821 -2,2436 -2,3095 -2,2570 -2,1187 -1,9602 -1,8430 -1,8031 -1,8583 -2,0175 -2,2736 -2,5914 -2,9163 -3,1960 -3,3927 -3,4978 -3,5422 -3,5758 -3,6233 -3,6640 -3,6487 -3,5356 -3,3205 -3,0450 -2,7759 -2,5754 -2,4716 -2,4464 -2,4452 -2,4029 -2,2754 -2,0599 -1,7886 -1,5048 -1,2380 -0,9954 -0,7757 -0,5826 -0,4226 -0,3004 -0,2297 -0,2356 -0,3388 -0,5492 -0,8718 -1,3025 -1,8196 -2,3898 -2,9793 -3,5560 -4,0912 -4,5635 -4,9554 -5,2542 -5,4700 -5,6441 -5,8224 -6,0184 -6,2084 -6,3480 -6,3820 -6,2526 -5,9189 -5,3756 -4,6571 -3,8335 -2,9977 -2,2407 -1,6212 -1,1433
F7    2,5290 2,4634 2,3747 2,2944 2,2222 2,1307 1,9805 1,7336 1,3712 0,9114 0,4035 -0,1014 -0,5690 -0,9841 -1,3488 -1,6697 -1,9438 -2,1644 -2,3345 -2,4668 -2,5718 -2,6411 -2,6427 -2,5421 -2,3293 -2,0210 -1,6461 -1,2345 -0,8187 -0,4409 -0,1460 0,0438 0,1438 0,1925 0,2255 0,2641 0,3188 0,3955 0,4934 0,6042 0,7276 0,8793 1,0648 1,2466 1,3471 1,2993 1,1051 0,8394 0,5929 0,4185 0,3285 0,3146 0,3542 0,4042 0,4002 0,2811 0,0303 -0,3058 -0,6438 -0,9045 -1,0355 -1,0168 -0,8596 -0,5957 -0,2718 0,0472 0,2890 0,4011 0,3726 0,2318 0,0286 -0,1884 -0,3866 -0,5499 -0,6687 -0,7407 -0,7849 -0,8439 -0,9582 -1,1351 -1,3421 -1,5357 -1,7063 -1,8821 -2,0846 -2,2880 -2,4271 -2,4356 -2,2805 -1,9777 -1,5838 -1,1655 -0,7744 -0,4393 -0,1616 0,0843 0,3396 0,6346 0,9606 1,2715 1,5162 1,6622 1,6971 1,6322 1,5005 1,3468 1,2142 1,1375 1,1432 1,2517 1,4768 1,8263 2,3035 2,8990 3,5817 4,2997 4,9944 5,6230 6,1692 6,6312 7,0011 7,2618 7,4013 7,4188 7,3239 7,1455 6,9289 6,7060 6,4811 6,2471 5,9931 5,6945 5,3216 4,8670 4,3568 3,8376 3,3561 2,9464 2,6253 2,3939 2,2510 2,2068 2,2757 2,4519 2,7029 2,9902 3,2767 3,5198 3,6873 3,7831 3,8416 3,9055 4,0137 4,1918 4,4422 4,7445 5,0565 5,3164 5,4609 5,4509 5,2805 4,9713 4,5730 4,1608 3,8104 3,5667 3,4307 3,3633 3,3041 3,2012 3,0340 2,8125 2,5539 2,2608 1,9229 1,5379 1,1233 0,7152 0,3596 0,0926 -0,0751 -0,1504 -0,1442 -0,0690 0,0527 0,1817 0,2747 0,3076 0,2883 0,2488 0,2271 0,2477 0,3086 0,3794 0,4157 0,3837 0,2781 0,1260 -0,0246 -0,1340 -0,1925 -0,2101 -0,1956 -0,1587 -0,1162 -0,0854 -0,0693 -0,0411 0,0540 0,2635 0,5844 0,9608 1,3139 1,5731 1,6949 1,6705 1,5135 1,2402 0,8656 0,4134 -0,0769 -0,5499 -0,9479 -1,2295 -1,3778 -1,4050 -1,3594 -1,3174 -1,3468 -1,4678 -1,6467 -1,8248 -1,9521 -1,9957 -1,9329 -1,7529 -1,4720 -1,1347 -0,7925 -0,4855 -0,2381 -0,0574 0,0754 0,2005 0,3506 0,5300 0,7209 0,8946 1,0221 1,0956 1,1427 1,2042 1,3029 1,4335 1,5745 1,7017 1,7976 1,8589 1,8942 1,9096 1,9046 1,8849 1,8673 1,8675 1,8856 1,9010 1,8874 1,8374 1,7628 1,6784 1,5934 1,5082 1,4075 1,2647 1,0592 0,7897 0,4748 0,1574 -0,0968 -0,2322 -0,2466 -0,1924 -0,1385 -0,1351 -0,2011 -0,3347 -0,5307 -0,7798 -1,0537 -1,3046 -1,4863 -1,5786 -1,5944 -1,5654 -1,5186 -1,4534 -1,3412 -1,1542 -0,8966 -0,6027 -0,3109 -0,0474 0,1747 0,3515 0,4807 0,5517 0,5492 0,4726 0,3523 0,2447 0,2009 0,2297 0,2889 0,3207 0,3038 0,2726 0,2775 0,3333 0,4197 0,5120 0,5985 0,6818 0,7655 0,8404 0,8913 0,9140 0,9201 0,9318 0,9714 1,0473 1,1470 1,2447 1,3208 1,3734 1,4068 1,4129 1,3694 1,2533 1,0545 0,7880 0,4973 0,2430 0,0808 0,0422 0,1211 0,2707 0,4268 0,5503 0,6378 0,6981 0,7315 0,7222 0,6405 0,4626 0,1928 -0,1350 -0,4721 -0,7664 -0,9732 -1,0766 -1,1017 -1,0989 -1,1107 -1,1498 -1,2010 -1,2338 -1,2162 -1,1321 -0,9892 -0,8127 -0,6313 -0,4658 -0,3248 -0,2090 -0,1203 -0,0676 -0,0638 -0,1152 -0,2131 -0,3353 -0,4552 -0,5512 -0,6083 -0,6193 -0,5902 -0,5492 -0,5465 -0,6341 -0,8358 -1,1249 -1,4286 -1,6655 -1,7924 -1,8264 -1,8278 -1,8586 -1,9514 -2,1018 -2,2767 -2,4339 -2,5476 -2,6170 -2,6539 -2,6653 -2,6489 -2,6005 -2,5250 -2,4431 -2,3852 -2,3782 -2,4362 -2,5559 -2,7165 -2,8784 -2,9854 -2,9831 -2,8547 -2,6410 -2,4141 -2,2289 -2,1002 -2,0103 -1,9271 -1,8154 -1,6531 -1,4534 -1,2672 -1,1496 -1,1206 -1,1589 -1,2294 -1,3123 -1,4056 -1,5086 -1,6098 -1,6925 -1,7445 -1,7639 -1,7588 -1,7428 -1,7281 -1,7164 -1,6992 -1,6733 -1,6495 -1,6435 -1,6677 -1,7251 -1,8036 -1,8782 -1,9250 -1,9366 -1,9268 -1,9151 -1,9054 -1,8795 -1,8042 -1,6440 -1,3869 -1,0662 -0,7469 -0,4860 -0,3067 -0,2038 -0,1673 -0,2001 -0,3128 -0,5028 -0,7460 -1,0097 -1,2655 -1,4883 -1,6551 -1,7512 -1,7716 -1,7162 -1,5900 -1,4071 -1,1888 -0,9563 -0,7214 -0,4878 -0,2638 -0,0678 0,0856 0,1972 0,2817 0,3550 0,4283 0,5091 0,5984 0,6854 0,7536 0,7963 0,8204 0,8383 0,8595 0,8858 0,9101 0,9166 0,8869 0,8110 0,6932 0,5531 0,4168 0,2911 0,1415 -0,0922 -0,4505 -0,9196 -1,4360 -1,9173 -2,2960 -2,5416 -2,6647 -2,7042 -2,7113 -2,7341 -2,7987 -2,9060 -3,0467 -3,2054 -3,3522 -3,4519 -3,4855 -3,4580 -3,3918 -3,3180 -3,2642 -3,2378 -3,2159 -3,1617 -3,0546 -2,9019 -2,7248 -2,5452 -2,3872 -2,2814 -2,2568 -2,3234 -2,4604 -2,6238 -2,7737 -2,8976 -3,0046 -3,1040 -3,1960 -3,2708 -3,3055 -3,2693 -3,1416 -2,9265 -2,6582 -2,3979 -2,2189 -2,1845 -2,3227 -2,6076 -2,9649 -3,3034 -3,5553 -3,6981 -3,7447 -3,7149 -3,6133 -3,4314 -3,1714 -2,8602 -2,5393 -2,2550 -2,0644 -2,0260 -2,1630 -2,4484 -2,8319 -3,2718 -3,7442 -4,2393 -4,7460 -5,2329 -5,6485 -5,9436 -6,0932 -6,1067 -6,0306 -5,9338 -5,8742 -5,8732 -5,9187 -5,9794 -6,0049 -5,9310 -5,7106 -5,3433 -4,8702 -4,3474 -3,8267 -3,3501 -2,9422 -2,5960
