Fp1   1,6530 1,1544 0,8238 0,6500 0,6059 0,6573 0,7691 0,9150 1,0936 1,3370 1,6869 2,1447 2,6412 3,0634 3,3265 3,4290 3,4374 3,4139 3,3595 3,2127 2,8953 2,3782 1,6961 0,8953 -0,0018 -0,9664 -1,9243 -2,7644 -3,3927 -3,7855 -3,9945 -4,0926 -4,1102 -4,0229 -3,7911 -3,4050 -2,8967 -2,3234 -1,7417 -1,1961 -0,7323 -0,4022 -0,2349 -0,2138 -0,2901 -0,3997 -0,4607 -0,3788 -0,0915 0,3742 0,9022 1,3613 1,6676 1,7963 1,7718 1,6395 1,4272 1,1323 0,7349 0,2287 -0,3412 -0,8747 -1,2689 -1,4752 -1,5070 -1,4103 -1,2423 -1,0689 -0,9591 -0,9632 -1,0758 -1,2245 -1,3270 -1,3784 -1,4520 -1,5996 -1,7901 -1,9613 -2,0831 -2,1495 -2,1432 -2,0312 -1,7672 -1,2908 -0,5545 0,4319 1,5911 2,8041 3,9363 4,8510 5,4290 5,5971 5,3384 4,6895 3,7453 2,6376 1,4769 0,3170 -0,8231 -1,9176 -2,9253 -3,8135 -4,5765 -5,2375 -5,8532 -6,5045 -7,2524 -8,1004 -9,0005 -9,8869 -10,7053 -11,4301 -12,0684 -12,6534 -13,2307 -13,8324 -14,4467 -15,0252 -15,5299 -15,9547 -16,3005 -16,5523 -16,6901 -16,7010 -16,5758 -16,3127 -15,9200 -15,4001 -14,7434 -13,9493 -13,0485 -12,0944 -11,1365 -10,1876 -9,2138 -8,1819 -7,1216 -6,1128 -5,2198 -4,4626 -3,8321 -3,3057 -2,8560 -2,4573 -2,0939 -1,7742 -1,5238 -1,3383 -1,1635 -0,9443 -0,6627 -0,3117 0,1218 0,6219 1,1210 1,5363 1,8125 1,9179 1,8188 1,4840 0,9189 0,1893 -0,5841 -1,2633 -1,7363 -1,9275 -1,7943 -1,3549 -0,7233 -0,0824 0,4043 0,6592 0,6833 0,5125 0,2048 -0,1625 -0,5301 -0,8806 -1,2068 -1,4885 -1,7126 -1,8816 -2,0002 -2,0677 -2,0759 -2,0197 -1,9288 -1,8802 -1,9541 -2,1719 -2,4972 -2,8916 -3,3462 -3,8623 -4,4116 -4,9105 -5,2451 -5,3339 -5,1705 -4,8214 -4,4042 -4,0497 -3,8412 -3,7800 -3,8201 -3,9278 -4,0872 -4,2601 -4,3880 -4,4399 -4,4238 -4,3582 -4,2554 -4,1299 -4,0058 -3,9104 -3,8629 -3,8723 -3,9440 -4,0887 -4,3232 -4,6534 -5,0644 -5,5325 -6,0337 -6,5270 -6,9353 -7,1562 -7,1125 -6,7839 -6,1912 -5,3874 -4,4688 -3,5550 -2,7383 -2,0644 -1,5514 -1,1975 -0,9737 -0,8307 -0,7219 -0,6327 -0,5980 -0,6723 -0,8746 -1,1691 -1,4835 -1,7275 -1,8082 -1,6623 -1,3138 -0,9005 -0,6067 -0,5525 -0,7261 -0,9775 -1,0889 -0,8953 -0,3540 0,4823 1,5143 2,6015 3,5633 4,2218 4,4534 4,2170 3,5728 2,6799 1,7428 0,9150 0,2276 -0,3876 -1,0076 -1,6489 -2,2649 -2,7913 -3,1963 -3,5027 -3,7802 -4,1242 -4,6295 -5,3661 -6,3510 -7,5126 -8,6967 -9,7323 -10,4970 -10,9400 -11,0833 -11,0015 -10,7908 -10,5631 -10,4378 -10,4925 -10,7081 -10,9719 -11,1387 -11,1056 -10,8483 -10,4047 -9,8465 -9,2532 -8,6791 -8,1324 -7,5910 -7,0327 -6,4517 -5,8671 -5,3228 -4,8653 -4,5123 -4,2452 -4,0187 -3,7711 -3,4569 -3,0749 -2,6415 -2,1428 -1,5403 -0,8256 -0,0520 0,6956 1,3484 1,8694 2,2411 2,4518 2,4841 2,3069 1,8914 1,2618 0,5310 -0,1435 -0,6446 -0,9327 -1,0347 -1,0315 -1,0349 -1,1357 -1,3578 -1,6624 -1,9960 -2,3222 -2,5946 -2,7261 -2,6349 -2,3260 -1,9052 -1,5070 -1,2171 -1,0751 -1,1206 -1,3929 -1,9015 -2,6197 -3,4883 -4,4095 -5,2670 -5,9750 -6,5086 -6,8849 -7,1227 -7,2280 -7,2102 -7,1036 -6,9747 -6,8963 -6,9095 -7,0200 -7,2160 -7,4656 -7,7095 -7,8944 -8,0279 -8,1739 -8,3674 -8,5462 -8,5804 -8,3665 -7,8800 -7,1639 -6,3094 -5,4299 -4,6215 -3,9539 -3,4837 -3,2448 -3,2342 -3,4281 -3,8091 -4,3537 -4,9944 -5,6421 -6,2627 -6,8748 -7,4657 -7,9635 -8,2904 -8,4149 -8,3699 -8,2406 -8,1286 -8,1167 -8,2465 -8,5040 -8,8273 -9,1618 -9,5224 -9,9867 -10,6190 -11,4077 -12,2793 -13,1523 -13,9454 -14,5394 -14,7721 -14,5112 -13,7399 -12,5773 -11,2344 -9,9433 -8,8818 -8,1403 -7,7484 -7,6995 -7,9300 -8,3078 -8,6724 -8,8875 -8,8575 -8,5294 -7,9088 -7,0671 -6,1294 -5,2494 -4,5576 -4,1171 -3,9349 -3,9913 -4,2506 -4,6673 -5,1898 -5,7619 -6,3387 -6,8846 -7,3386 -7,5976 -7,5636 -7,2221 -6,6725 -6,0929 -5,6745 -5,5550 -5,7693 -6,2448 -6,8447 -7,4281 -7,8984 -8,2275 -8,4438 -8,5800 -8,6549 -8,7196 -8,8800 -9,2468 -9,8674 -10,7032 -11,6581 -12,6108 -13,4321 -14,0063 -14,2636 -14,1837 -13,7640 -12,9982 -11,9009 -10,5491 -9,0965 -7,7507 -6,7218 -6,1524 -6,0786 -6,4510 -7,1718 -8,1141 -9,1448 -10,1679 -11,1569 -12,1459 -13,1884 -14,3045 -15,4419 -16,4953 -17,3762 -18,0401 -18,4588 -18,6002 -18,4483 -18,0315 -17,4193 -16,6877 -15,8925 -15,0688 -14,2449 -13,4548 -12,7242 -12,0384 -11,3479 -10,6264 -9,9022 -9,2277 -8,6414 -8,1512 -7,7301 -7,3302 -6,9124 -6,4531 -5,9178 -5,2568 -4,4491 -3,5428 -2,6468 -1,8966 -1,4125 -1,2663 -1,4768 -2,0213 -2,8407 -3,8421 -4,9046 -5,8925 -6,6949 -7,2786 -7,6899 -7,9925 -8,2161 -8,3695 -8,4862 -8,6443 -8,9302 -9,3743 -9,9285 -10,4935 -10,9649 -11,2650 -11,3426 -11,1696 -10,7683 -10,2247 -9,6565 -9,1637 -8,8054 -8,6039 -8,5591 -8,6505 -8,8284 -9,0058 -9,0751 -8,9666 -8,6927 -8,3224 -7,9330 -7,5918 -7,3474 -7,2213 -7,2270 -7,3929 -7,7350 -8,2046 -8,6875 -9,0545 -9,2180 -9,1670 -8,9686 -8,7222 -8,4998 -8,3269 -8,2092 -8,1576 -8,1904 -8,3305 -8,5994 -8,9968 -9,4899 -10,0333 -10,5966 -11,1593 -11,6685 -12,0295 -12,1704 -12,1041 -11,9001 -11,6048 -11,2088 -10,6841 -10,0348 -9,3166 -8,6267 -8,0706 -7,7122 -7,5370
Fz    0,8911 0,7336 0,6746 0,6781 0,7108 0,7554 0,8194 0,9301 1,1164 1,3905 1,7329 2,0894 2,3845 2,5507 2,5626 2,4521 2,2815 2,0994 1,9172 1,7151 1,4609 1,1403 0,7695 0,3696 -0,0587 -0,5256 -1,0231 -1,5142 -1,9472 -2,2873 -2,5314 -2,6913 -2,7684 -2,7495 -2,6265 -2,4130 -2,1422 -1,8483 -1,5484 -1,2450 -0,9472 -0,6842 -0,4894 -0,3794 -0,3484 -0,3693 -0,3946 -0,3691 -0,2572 -0,0667 0,1513 0,3329 0,4333 0,4394 0,3679 0,2476 0,0955 -0,0905 -0,3221 -0,6068 -0,9304 -1,2514 -1,5099 -1,6494 -1,6391 -1,4874 -1,2454 -0,9982 -0,8431 -0,8512 -1,0278 -1,3065 -1,5974 -1,8507 -2,0675 -2,2553 -2,3986 -2,4805 -2,5060 -2,4907 -2,4379 -2,3354 -2,1601 -1,8826 -1,4832 -0,9690 -0,3699 0,2809 0,9525 1,6008 2,1526 2,5169 2,6203 2,4372 2,0022 1,3937 0,6999 -0,0056 -0,6689 -1,2558 -1,7568 -2,1894 -2,5886 -2,9929 -3,4418 -3,9767 -4,6284 -5,3936 -6,2232 -7,0375 -7,7557 -8,3266 -8,7515 -9,0869 -9,4215 -9,8273 -10,3144 -10,8319 -11,3124 -11,7090 -11,9968 -12,1562 -12,1705 -12,0307 -11,7379 -11,3043 -10,7493 -10,0893 -9,3385 -8,5311 -7,7318 -7,0115 -6,4109 -5,9231 -5,5018 -5,0891 -4,6477 -4,1691 -3,6612 -3,1331 -2,5895 -2,0338 -1,4739 -0,9240 -0,4048 0,0552 0,4265 0,7004 0,9010 1,0652 1,2221 1,3990 1,6242 1,9058 2,2145 2,4978 2,7049 2,7974 2,7433 2,5188 2,1201 1,5773 0,9588 0,3541 -0,1548 -0,5076 -0,6691 -0,6487 -0,5214 -0,4099 -0,4263 -0,6235 -0,9892 -1,4669 -1,9746 -2,4291 -2,7850 -3,0488 -3,2438 -3,3782 -3,4490 -3,4514 -3,3816 -3,2419 -3,0410 -2,7915 -2,5179 -2,2666 -2,0913 -2,0209 -2,0527 -2,1731 -2,3690 -2,6227 -2,9039 -3,1660 -3,3556 -3,4369 -3,4070 -3,2930 -3,1458 -3,0273 -2,9799 -3,0008 -3,0536 -3,1105 -3,1682 -3,2229 -3,2534 -3,2377 -3,1699 -3,0559 -2,9054 -2,7356 -2,5715 -2,4389 -2,3607 -2,3577 -2,4474 -2,6420 -2,9458 -3,3475 -3,8147 -4,3011 -4,7599 -5,1534 -5,4523 -5,6334 -5,6829 -5,5939 -5,3570 -4,9717 -4,4670 -3,8944 -3,3032 -2,7346 -2,2305 -1,8304 -1,5597 -1,4245 -1,4091 -1,4833 -1,6194 -1,7968 -1,9869 -2,1464 -2,2313 -2,2144 -2,0927 -1,8838 -1,6279 -1,3869 -1,2200 -1,1518 -1,1576 -1,1668 -1,0913 -0,8685 -0,4840 0,0364 0,6353 1,2233 1,6876 1,9237 1,8667 1,5124 0,9290 0,2441 -0,4027 -0,9252 -1,3277 -1,6789 -2,0459 -2,4483 -2,8620 -3,2471 -3,5738 -3,8374 -4,0609 -4,2951 -4,6098 -5,0705 -5,7055 -6,4788 -7,2933 -8,0326 -8,6063 -8,9717 -9,1367 -9,1482 -9,0721 -8,9836 -8,9617 -9,0640 -9,2936 -9,5892 -9,8532 -9,9975 -9,9745 -9,7826 -9,4575 -9,0551 -8,6231 -8,1762 -7,6989 -7,1727 -6,6025 -6,0258 -5,4968 -5,0554 -4,7057 -4,4209 -4,1571 -3,8656 -3,5095 -3,0704 -2,5343 -1,8807 -1,0987 -0,2187 0,6730 1,4546 2,0129 2,2830 2,2656 2,0162 1,6129 1,1223 0,5842 0,0291 -0,5000 -0,9583 -1,3268 -1,6131 -1,8388 -2,0374 -2,2508 -2,5062 -2,7978 -3,0928 -3,3555 -3,5642 -3,7041 -3,7558 -3,7110 -3,5954 -3,4616 -3,3546 -3,2879 -3,2566 -3,2707 -3,3643 -3,5751 -3,9215 -4,3869 -4,9197 -5,4557 -5,9435 -6,3481 -6,6461 -6,8277 -6,9004 -6,8825 -6,8006 -6,6938 -6,6078 -6,5742 -6,5993 -6,6657 -6,7355 -6,7585 -6,7033 -6,5911 -6,4798 -6,4005 -6,3173 -6,1551 -5,8586 -5,4229 -4,8846 -4,3039 -3,7452 -3,2531 -2,8473 -2,5403 -2,3525 -2,3066 -2,4115 -2,6587 -3,0249 -3,4692 -3,9476 -4,4405 -4,9446 -5,4339 -5,8501 -6,1324 -6,2475 -6,2068 -6,0687 -5,9208 -5,8434 -5,8755 -6,0061 -6,1951 -6,4165 -6,6907 -7,0679 -7,5723 -8,1642 -8,7642 -9,3013 -9,7160 -9,9300 -9,8521 -9,4305 -8,7004 -7,7877 -6,8672 -6,1018 -5,5873 -5,3347 -5,2983 -5,4091 -5,5834 -5,7285 -5,7736 -5,6961 -5,5069 -5,2203 -4,8508 -4,4236 -3,9780 -3,5638 -3,2262 -2,9892 -2,8535 -2,8030 -2,8146 -2,8738 -2,9800 -3,1368 -3,3440 -3,5854 -3,8118 -3,9447 -3,9184 -3,7300 -3,4538 -3,2045 -3,0833 -3,1437 -3,3826 -3,7516 -4,1790 -4,5947 -4,9540 -5,2519 -5,5087 -5,7268 -5,8829 -5,9741 -6,0474 -6,1712 -6,3868 -6,6890 -7,0453 -7,4135 -7,7410 -7,9730 -8,0757 -8,0458 -7,8934 -7,6218 -7,2294 -6,7277 -6,1549 -5,5746 -5,0612 -4,6802 -4,4821 -4,5104 -4,7917 -5,3036 -5,9651 -6,6756 -7,3691 -8,0366 -8,7057 -9,3981 -10,0924 -10,7271 -11,2379 -11,5842 -11,7442 -11,7055 -11,4681 -11,0588 -10,5292 -9,9340 -9,3131 -8,6926 -8,0922 -7,5311 -7,0194 -6,5407 -6,0588 -5,5540 -5,0445 -4,5693 -4,1637 -3,8487 -3,6268 -3,4836 -3,3915 -3,3072 -3,1676 -2,9074 -2,5009 -1,9866 -1,4516 -0,9971 -0,7064 -0,6260 -0,7661 -1,1097 -1,6167 -2,2321 -2,8972 -3,5521 -4,1363 -4,6052 -4,9454 -5,1641 -5,2722 -5,2907 -5,2718 -5,2989 -5,4481 -5,7426 -6,1431 -6,5746 -6,9606 -7,2485 -7,4137 -7,4526 -7,3813 -7,2332 -7,0539 -6,8934 -6,7945 -6,7781 -6,8407 -6,9604 -7,0996 -7,2075 -7,2310 -7,1484 -6,9937 -6,8341 -6,7223 -6,6740 -6,6766 -6,7105 -6,7719 -6,8791 -7,0515 -7,2855 -7,5512 -7,7994 -7,9729 -8,0335 -7,9917 -7,9012 -7,8182 -7,7704 -7,7553 -7,7509 -7,7332 -7,7022 -7,6922 -7,7478 -7,8907 -8,1137 -8,3959 -8,7066 -8,9927 -9,1830 -9,2275 -9,1320 -8,9453 -8,7172 -8,4706 -8,2022 -7,8979 -7,5516 -7,1864 -6,8592 -6,6302 -6,5177
F3    -0,0332 0,0579 0,2354 0,4659 0,7142 0,9483 1,1570 1,3617 1,6008 1,8953 2,2259 2,5380 2,7619 2,8374 2,7365 2,4774 2,1141 1,7089 1,3066 0,9211 0,5406 0,1590 -0,2002 -0,5007 -0,7337 -0,9321 -1,1469 -1,4090 -1,6988 -1,9555 -2,1230 -2,1849 -2,1554 -2,0556 -1,9050 -1,7249 -1,5465 -1,4012 -1,2974 -1,2125 -1,1144 -0,9837 -0,8187 -0,6328 -0,4483 -0,2845 -0,1513 -0,0564 -0,0147 -0,0427 -0,1441 -0,3058 -0,5115 -0,7473 -0,9868 -1,1815 -1,2779 -1,2527 -1,1391 -1,0140 -0,9470 -0,9557 -1,0024 -1,0246 -0,9731 -0,8398 -0,6652 -0,5230 -0,4845 -0,5812 -0,7852 -1,0209 -1,2071 -1,3072 -1,3432 -1,3651 -1,4183 -1,5345 -1,7277 -1,9825 -2,2551 -2,4914 -2,6374 -2,6386 -2,4537 -2,0751 -1,5239 -0,8366 -0,0765 0,6517 1,2207 1,5348 1,5728 1,3839 1,0416 0,5941 0,0631 -0,5171 -1,0808 -1,5615 -1,9238 -2,1675 -2,3203 -2,4337 -2,5776 -2,8294 -3,2531 -3,8746 -4,6685 -5,5624 -6,4505 -7,2246 -7,8238 -8,2680 -8,6397 -9,0255 -9,4589 -9,9081 -10,3175 -10,6509 -10,8925 -11,0193 -10,9935 -10,7842 -10,3884 -9,8371 -9,1870 -8,4956 -7,7942 -7,0885 -6,3895 -5,7405 -5,2050 -4,8261 -4,6002 -4,4860 -4,4258 -4,3473 -4,1647 -3,8053 -3,2433 -2,5126 -1,6955 -0,8921 -0,1844 0,3818 0,7913 1,0479 1,1638 1,1500 1,0224 0,8231 0,6231 0,4890 0,4464 0,4831 0,5728 0,6823 0,7684 0,7820 0,6819 0,4592 0,1575 -0,1393 -0,3464 -0,4143 -0,3426 -0,1753 0,0090 0,1092 0,0354 -0,2448 -0,6934 -1,2420 -1,8340 -2,4355 -3,0277 -3,5871 -4,0680 -4,4139 -4,5844 -4,5696 -4,3883 -4,0769 -3,6794 -3,2436 -2,8203 -2,4584 -2,1971 -2,0600 -2,0643 -2,2318 -2,5779 -3,0890 -3,7098 -4,3485 -4,9028 -5,3006 -5,5185 -5,5686 -5,4811 -5,2964 -5,0526 -4,7742 -4,4847 -4,2295 -4,0670 -4,0249 -4,0765 -4,1683 -4,2608 -4,3368 -4,3858 -4,3974 -4,3681 -4,3044 -4,2195 -4,1289 -4,0537 -4,0314 -4,1107 -4,3173 -4,6215 -4,9433 -5,1906 -5,3017 -5,2675 -5,1254 -4,9307 -4,7126 -4,4540 -4,1250 -3,7327 -3,3255 -2,9561 -2,6549 -2,4334 -2,2971 -2,2507 -2,2903 -2,3920 -2,5170 -2,6347 -2,7305 -2,7906 -2,7928 -2,7202 -2,5802 -2,4071 -2,2426 -2,1108 -2,0128 -1,9394 -1,8824 -1,8309 -1,7585 -1,6267 -1,4079 -1,1019 -0,7351 -0,3626 -0,0668 0,0731 0,0216 -0,2126 -0,6016 -1,1021 -1,6404 -2,1228 -2,4735 -2,6720 -2,7560 -2,7971 -2,8688 -3,0203 -3,2644 -3,5851 -3,9571 -4,3638 -4,8070 -5,3002 -5,8503 -6,4433 -7,0400 -7,5800 -7,9996 -8,2582 -8,3523 -8,3077 -8,1682 -7,9883 -7,8271 -7,7418 -7,7782 -7,9531 -8,2345 -8,5424 -8,7789 -8,8663 -8,7723 -8,5176 -8,1634 -7,7754 -7,3888 -7,0085 -6,6347 -6,2771 -5,9464 -5,6464 -5,3795 -5,1484 -4,9418 -4,7243 -4,4485 -4,0798 -3,6083 -3,0438 -2,4138 -1,7634 -1,1414 -0,5863 -0,1366 0,1590 0,2640 0,1837 -0,0364 -0,3387 -0,6771 -1,0231 -1,3590 -1,6692 -1,9474 -2,2052 -2,4590 -2,7162 -2,9837 -3,2687 -3,5565 -3,7993 -3,9423 -3,9673 -3,9123 -3,8393 -3,7789 -3,7188 -3,6431 -3,5659 -3,5146 -3,4927 -3,4778 -3,4568 -3,4467 -3,4824 -3,5993 -3,8213 -4,1479 -4,5498 -4,9761 -5,3628 -5,6521 -5,8194 -5,8761 -5,8455 -5,7541 -5,6460 -5,5783 -5,5805 -5,6202 -5,6216 -5,5182 -5,2905 -4,9728 -4,6365 -4,3596 -4,1908 -4,1283 -4,1280 -4,1316 -4,0942 -3,9994 -3,8587 -3,6951 -3,5183 -3,3209 -3,1104 -2,9364 -2,8668 -2,9371 -3,1297 -3,3884 -3,6476 -3,8760 -4,1028 -4,3860 -4,7426 -5,1147 -5,4050 -5,5389 -5,5086 -5,3768 -5,2365 -5,1602 -5,1716 -5,2477 -5,3452 -5,4457 -5,5879 -5,8499 -6,2902 -6,9020 -7,6203 -8,3555 -9,0077 -9,4607 -9,5972 -9,3448 -8,7206 -7,8413 -6,8891 -6,0440 -5,4237 -5,0637 -4,9331 -4,9593 -5,0506 -5,1240 -5,1310 -5,0661 -4,9420 -4,7641 -4,5337 -4,2612 -3,9645 -3,6641 -3,3808 -3,1268 -2,9003 -2,6983 -2,5382 -2,4511 -2,4527 -2,5289 -2,6476 -2,7641 -2,8246 -2,7832 -2,6285 -2,3971 -2,1604 -1,9887 -1,9249 -1,9855 -2,1687 -2,4574 -2,8244 -3,2403 -3,6857 -4,1613 -4,6702 -5,1851 -5,6516 -6,0322 -6,3253 -6,5441 -6,6956 -6,7824 -6,8142 -6,8150 -6,8154 -6,8390 -6,8956 -6,9706 -7,0139 -6,9543 -6,7407 -6,3796 -5,9350 -5,4957 -5,1376 -4,9108 -4,8543 -5,0100 -5,3999 -5,9862 -6,6697 -7,3401 -7,9298 -8,4237 -8,8322 -9,1654 -9,4249 -9,6079 -9,7169 -9,7602 -9,7415 -9,6556 -9,4944 -9,2540 -8,9372 -8,5565 -8,1367 -7,7125 -7,3164 -6,9614 -6,6299 -6,2798 -5,8718 -5,3945 -4,8640 -4,3103 -3,7684 -3,2784 -2,8850 -2,6214 -2,4832 -2,4090 -2,2929 -2,0358 -1,6100 -1,0816 -0,5703 -0,1892 -0,0105 -0,0569 -0,3082 -0,7185 -1,2335 -1,7967 -2,3516 -2,8551 -3,2927 -3,6739 -4,0042 -4,2673 -4,4406 -4,5277 -4,5762 -4,6666 -4,8702 -5,2030 -5,6222 -6,0583 -6,4417 -6,7228 -6,8824 -6,9247 -6,8627 -6,7215 -6,5446 -6,3797 -6,2525 -6,1609 -6,0920 -6,0311 -5,9585 -5,8497 -5,6877 -5,4801 -5,2701 -5,1202 -5,0791 -5,1578 -5,3227 -5,5096 -5,6622 -5,7703 -5,8651 -5,9776 -6,1100 -6,2453 -6,3649 -6,4539 -6,5045 -6,5189 -6,5009 -6,4435 -6,3292 -6,1430 -5,8961 -5,6503 -5,5097 -5,5671 -5,8483 -6,3029 -6,8413 -7,3711 -7,8044 -8,0639 -8,1076 -7,9524 -7,6610 -7,3056 -6,9461 -6,6228 -6,3457 -6,0931 -5,8354 -5,5662 -5,3099 -5,1003
