Fp1   2,1861 1,5595 0,8782 0,1765 -0,4996 -1,0942 -1,5583 -1,8683 -2,0263 -2,0494 -1,9663 -1,8123 -1,6125 -1,3800 -1,1359 -0,9169 -0,7506 -0,6373 -0,5590 -0,4987 -0,4384 -0,3403 -0,1502 0,1567 0,5387 0,9104 1,1958 1,3593 1,4078 1,3800 1,3290 1,3021 1,3265 1,4058 1,5272 1,6638 1,7769 1,8255 1,7803 1,6354 1,4052 1,1050 0,7369 0,2911 -0,2401 -0,8400 -1,4531 -1,9968 -2,3997 -2,6357 -2,7285 -2,7284 -2,6842 -2,6300 -2,5878 -2,5781 -2,6268 -2,7520 -2,9414 -3,1484 -3,3186 -3,4176 -3,4334 -3,3602 -3,1932 -2,9425 -2,6502 -2,3871 -2,2246 -2,2055 -2,3423 -2,6335 -3,0634 -3,5864 -4,1227 -4,5766 -4,8602 -4,9119 -4,7095 -4,2752 -3,6723 -2,9842 -2,2754 -1,5597 -0,8119 -0,0110 0,8236 1,6377 2,3814 3,0327 3,5814 4,0108 4,3005 4,4367 4,4265 4,3076 4,1349 3,9480 3,7545 3,5374 3,2665 2,9039 2,4151 1,7854 1,0296 0,1818 -0,7305 -1,7014 -2,7422 -3,8582 -5,0242 -6,1816 -7,2552 -8,1692 -8,8669 -9,3322 -9,5897 -9,6856 -9,6669 -9,5642 -9,3831 -9,1107 -8,7279 -8,2078 -7,5107 -6,5951 -5,4399 -4,0611 -2,5230 -0,9318 0,5948 1,9714 3,1659 4,1807 5,0285 5,7300 6,3175 6,8252 7,2754 7,6707 7,9972 8,2409 8,4027 8,4942 8,5283 8,5154 8,4602 8,3631 8,2307 8,0840 7,9565 7,8809 7,8690 7,9000 7,9364 7,9518 7,9427 7,9214 7,9118 7,9433 8,0246 8,1234 8,1817 8,1499 8,0109 7,7841 7,5117 7,2317 6,9620 6,7014 6,4444 6,1972 5,9775 5,8003 5,6701 5,5710 5,4558 5,2591 4,9391 4,5096 4,0308 3,5664 3,1506 2,7823 2,4464 2,1456 1,9102 1,7701 1,7210 1,7209 1,7145 1,6531 1,5002 1,2376 0,8732 0,4349 -0,0460 -0,5408 -1,0289 -1,5052 -1,9800 -2,4709 -2,9874 -3,5143 -4,0195 -4,4842 -4,9246 -5,3801 -5,8770 -6,3996 -6,8979 -7,3225 -7,6470 -7,8663 -7,9895 -8,0377 -8,0359 -8,0025 -7,9448 -7,8690 -7,7908 -7,7299 -7,7032 -7,7286 -7,8224 -7,9852 -8,1948 -8,4110 -8,5821 -8,6492 -8,5594 -8,2884 -7,8539 -7,3142 -6,7498 -6,2288 -5,7783 -5,3809 -4,9968 -4,5976 -4,1880 -3,7985 -3,4566 -3,1625 -2,8936 -2,6289 -2,3683 -2,1263 -1,9148 -1,7487 -1,6571 -1,6627 -1,7596 -1,9213 -2,1198 -2,3356 -2,5553 -2,7620 -2,9333 -3,0535 -3,1260 -3,1765 -3,2397 -3,3339 -3,4492 -3,5564 -3,6198 -3,6066 -3,4925 -3,2636 -2,9235 -2,5073 -2,0706 -1,6560 -1,2779 -0,9374 -0,6448 -0,4201 -0,2751 -0,1992 -0,1617 -0,1245 -0,0585 0,0426 0,1582 0,2450 0,2485 0,1335 -0,0845 -0,3434 -0,5712 -0,7141 -0,7422 -0,6448 -0,4243 -0,0859 0,3664 0,9137 1,4970 2,0214 2,3936 2,5610 2,5231 2,3254 2,0534 1,8145 1,6997 1,7448 1,9228 2,1741 2,4471 2,7139 2,9597 3,1728 3,3402 3,4446 3,4673 3,4010 3,2620 3,0887 2,9268 2,8103 2,7534 2,7538 2,7971 2,8667 2,9560 3,0726 3,2285 3,4238 3,6389 3,8320 3,9480 3,9443 3,8157 3,5908 3,3207 3,0705 2,9022 2,8497 2,9031 3,0117 3,1045 3,1258 3,0643 2,9472 2,8088 2,6694 2,5303 2,3671 2,1384 1,8227 1,4488 1,0868 0,8143 0,6862 0,7258 0,9345 1,3007 1,7916 2,3448 2,8850 3,3562 3,7404 4,0543 4,3328 4,6056 4,8804 5,1439 5,3763 5,5636 5,6957 5,7568 5,7216 5,5674 5,2941 4,9337 4,5438 4,1957 3,9504 3,8305 3,8129 3,8434 3,8556 3,7909 3,6169 3,3392 3,0007 2,6658 2,3946 2,2260 2,1754 2,2377 2,3987 2,6488 2,9849 3,4041 3,9023 4,4759 5,1182 5,8065 6,4960 7,1243 7,6190 7,9069 7,9370 7,7083 7,2815 6,7590 6,2358 5,7655 5,3710 5,0706 4,8865 4,8308 4,8910 5,0306 5,2035 5,3651 5,4763 5,5087 5,4574 5,3485 5,2243 5,1152 5,0279 4,9628 4,9333 4,9564 5,0252 5,1011 5,1376 5,1062 5,0043 4,8592 4,7260 4,6698 4,7396 4,9480 5,2714 5,6796 6,1630 6,7278 7,3641 8,0316 8,6709 9,2244 9,6518 9,9338 10,0747 10,1097 10,0955 10,0841 10,1070 10,1758 10,2840 10,4041 10,4893 10,4952 10,4096 10,2574 10,0766 9,8905 9,6941 9,4599 9,1641 8,8124 8,4401 8,0938 7,8157 7,6312 7,5352 7,4911 7,4483 7,3693 7,2432 7,0684 6,8301 6,5031 6,0704 5,5389 4,9417 4,3299 3,7588 3,2758 2,9155 2,6882 2,5673 2,5040 2,4610 2,4215 2,3802 2,3456 2,3456 2,4150 2,5777 2,8453 3,2287 3,7430 4,4026 5,2107 6,1444 7,1515 8,1701 9,1612 10,1223 11,0697 12,0172 12,9725 13,9383 14,9072 15,8539 16,7407 17,5416 18,2528 18,8721 19,3768 19,7268 19,8897 19,8678 19,7001 19,4363 19,1061 18,7077 18,2172 17,6103 16,8795 16,0298 15,0668 13,9987 12,8502 11,6669 10,5123 9,4590 8,5654 7,8463 7,2659 6,7644 6,2962 5,8425 5,3882 4,8997 4,3382 3,6955 3,0110 2,3552 1,8067 1,4377 1,2951 1,3798 1,6445 2,0091 2,3764 2,6495 2,7638 2,7195 2,5800 2,4327 2,3415 2,3239 2,3632 2,4300 2,4935 2,5306 2,5378 2,5321 2,5265 2,5000 2,3939 2,1452 1,7277 1,1601 0,4880 -0,2290 -0,9226 -1,5366 -2,0429 -2,4364 -2,7234 -2,9150 -3,0247 -3,0665 -3,0626 -3,0464 -3,0481 -3,0805 -3,1443 -3,2350 -3,3469 -3,4731 -3,5986 -3,6958 -3,7359 -3,6951 -3,5506 -3,2828 -2,8852 -2,3658 -1,7446 -1,0529
Fz    3,0513 2,6074 2,0944 1,5182 0,8965 0,2570 -0,3676 -0,9441 -1,4360 -1,8001 -1,9947 -1,9948 -1,8006 -1,4412 -0,9717 -0,4562 0,0546 0,5285 0,9431 1,2835 1,5535 1,7820 2,0064 2,2398 2,4582 2,6247 2,7185 2,7393 2,6972 2,6058 2,4788 2,3229 2,1345 1,9049 1,6315 1,3189 0,9691 0,5753 0,1250 -0,3923 -0,9772 -1,6185 -2,2947 -2,9817 -3,6560 -4,2866 -4,8223 -5,1984 -5,3658 -5,3204 -5,1061 -4,7909 -4,4339 -4,0678 -3,7033 -3,3462 -3,0104 -2,7146 -2,4723 -2,2840 -2,1388 -2,0167 -1,8925 -1,7413 -1,5481 -1,3153 -1,0650 -0,8360 -0,6726 -0,6112 -0,6732 -0,8660 -1,1815 -1,5868 -2,0167 -2,3808 -2,5879 -2,5761 -2,3322 -1,8901 -1,3120 -0,6598 0,0349 0,7808 1,6066 2,5274 3,5269 4,5632 5,5887 6,5620 7,4462 8,2054 8,8092 9,2434 9,5190 9,6722 9,7537 9,8075 9,8495 9,8637 9,8160 9,6730 9,4164 9,0445 8,5640 7,9785 7,2824 6,4602 5,4939 4,3744 3,1167 1,7696 0,4135 -0,8571 -1,9557 -2,8179 -3,4068 -3,7167 -3,7732 -3,6214 -3,3078 -2,8673 -2,3120 -1,6244 -0,7639 0,3088 1,6033 3,0814 4,6637 6,2510 7,7484 9,0835 10,2184 11,1496 11,8993 12,5018 12,9864 13,3659 13,6386 13,7935 13,8182 13,7114 13,4944 13,2082 12,9002 12,6084 12,3503 12,1263 11,9352 11,7838 11,6845 11,6503 11,6879 11,7921 11,9430 12,1110 12,2635 12,3773 12,4489 12,4930 12,5268 12,5575 12,5893 12,6346 12,7145 12,8515 13,0629 13,3579 13,7383 14,1950 14,7033 15,2251 15,7154 16,1298 16,4346 16,6138 16,6669 16,6033 16,4443 16,2254 15,9876 15,7610 15,5576 15,3776 15,2200 15,0958 15,0303 15,0439 15,1253 15,2225 15,2574 15,1557 14,8752 14,4158 13,8092 13,0990 12,3243 11,5099 10,6643 9,7795 8,8370 7,8185 6,7177 5,5470 4,3339 3,1109 1,9054 0,7409 -0,3512 -1,3262 -2,1397 -2,7673 -3,2087 -3,4800 -3,6093 -3,6368 -3,6087 -3,5618 -3,5110 -3,4545 -3,3911 -3,3291 -3,2819 -3,2584 -3,2585 -3,2731 -3,2876 -3,2855 -3,2540 -3,1889 -3,0967 -2,9888 -2,8769 -2,7725 -2,6858 -2,6177 -2,5493 -2,4455 -2,2749 -2,0280 -1,7161 -1,3599 -0,9772 -0,5710 -0,1302 0,3565 0,8874 1,4487 2,0223 2,5840 3,1012 3,5457 3,9057 4,1844 4,3941 4,5534 4,6850 4,8128 4,9564 5,1261 5,3194 5,5254 5,7344 5,9484 6,1845 6,4652 6,8043 7,1985 7,6268 8,0564 8,4468 8,7543 8,9468 9,0243 9,0209 8,9878 8,9736 9,0124 9,1169 9,2743 9,4484 9,5978 9,6948 9,7238 9,6707 9,5180 9,2507 8,8703 8,4072 7,9164 7,4571 7,0730 6,7832 6,5860 6,4722 6,4391 6,4901 6,6235 6,8226 7,0584 7,2981 7,5138 7,6897 7,8296 7,9596 8,1189 8,3403 8,6313 8,9672 9,3032 9,5958 9,8186 9,9624 10,0311 10,0337 9,9777 9,8646 9,6912 9,4538 9,1594 8,8362 8,5284 8,2794 8,1190 8,0556 8,0772 8,1618 8,2863 8,4276 8,5631 8,6768 8,7560 8,7838 8,7443 8,6322 8,4541 8,2280 7,9896 7,7872 7,6613 7,6292 7,6860 7,8112 7,9768 8,1562 8,3316 8,4959 8,6506 8,7967 8,9224 9,0024 9,0152 8,9634 8,8762 8,7935 8,7471 8,7513 8,8053 8,8984 9,0137 9,1319 9,2410 9,3441 9,4582 9,6052 9,7961 10,0170 10,2302 10,3904 10,4586 10,4088 10,2309 9,9332 9,5403 9,0854 8,6017 8,1193 7,6672 7,2741 6,9610 6,7291 6,5550 6,3994 6,2242 6,0079 5,7508 5,4713 5,2003 4,9759 4,8385 4,8223 4,9458 5,2052 5,5781 6,0394 6,5817 7,2214 7,9822 8,8691 9,8544 10,8832 11,8861 12,7887 13,5120 13,9804 14,1432 13,9956 13,5844 12,9905 12,3017 11,5960 10,9388 10,3801 9,9525 9,6707 9,5300 9,5034 9,5474 9,6135 9,6607 9,6631 9,6176 9,5446 9,4787 9,4493 9,4654 9,5175 9,5895 9,6636 9,7153 9,7140 9,6341 9,4674 9,2290 8,9581 8,7121 8,5532 8,5319 8,6730 8,9761 9,4272 10,0064 10,6869 11,4301 12,1885 12,9147 13,5700 14,1312 14,5907 14,9511 15,2209 15,4089 15,5216 15,5698 15,5728 15,5481 15,4933 15,3847 15,2010 14,9513 14,6782 14,4361 14,2672 14,1885 14,1890 14,2367 14,2935 14,3280 14,3247 14,2861 14,2245 14,1483 14,0565 13,9434 13,8078 13,6557 13,4925 13,3137 13,1067 12,8618 12,5784 12,2631 11,9255 11,5780 11,2418 10,9488 10,7290 10,5884 10,5074 10,4565 10,4050 10,3245 10,2023 10,0574 9,9381 9,9028 10,0005 10,2616 10,6975 11,3026 12,0564 12,9203 13,8400 14,7581 15,6352 16,4612 17,2537 18,0482 18,8835 19,7772 20,7114 21,6397 22,5084 23,2747 23,9090 24,3900 24,7056 24,8554 24,8507 24,7133 24,4674 24,1290 23,7023 23,1861 22,5825 21,9016 21,1647 20,3990 19,6212 18,8293 18,0131 17,1720 16,3276 15,5226 14,8076 14,2234 13,7846 13,4701 13,2281 12,9911 12,6884 12,2589 11,6739 10,9583 10,1870 9,4569 8,8551 8,4354 8,2076 8,1426 8,1905 8,2929 8,3860 8,4067 8,3152 8,1186 7,8678 7,6275 7,4436 7,3319 7,2808 7,2581 7,2203 7,1304 6,9726 6,7526 6,4848 6,1789 5,8353 5,4551 5,0542 4,6617 4,3051 3,9962 3,7281 3,4766 3,2097 2,9056 2,5665 2,2137 1,8707 1,5481 1,2408 0,9350 0,6186 0,2904 -0,0377 -0,3488 -0,6309 -0,8764 -1,0729 -1,1986 -1,2267 -1,1327 -0,9003 -0,5231 -0,0004 0,6603 1,4332 2,2694
F3    3,2999 2,9003 2,4383 1,9232 1,3758 0,8239 0,2909 -0,2094 -0,6646 -1,0527 -1,3434 -1,5089 -1,5343 -1,4258 -1,2129 -0,9379 -0,6368 -0,3327 -0,0386 0,2401 0,5102 0,7928 1,1095 1,4580 1,8021 2,0915 2,2891 2,3790 2,3590 2,2354 2,0235 1,7466 1,4309 1,1021 0,7825 0,4862 0,2141 -0,0456 -0,3101 -0,5963 -0,9164 -1,2774 -1,6809 -2,1214 -2,5832 -3,0339 -3,4220 -3,6887 -3,7939 -3,7373 -3,5574 -3,3113 -3,0488 -2,7983 -2,5692 -2,3676 -2,2074 -2,1039 -2,0589 -2,0576 -2,0789 -2,1036 -2,1161 -2,1022 -2,0518 -1,9664 -1,8644 -1,7773 -1,7385 -1,7735 -1,8957 -2,1108 -2,4144 -2,7805 -3,1503 -3,4405 -3,5667 -3,4711 -3,1439 -2,6260 -1,9916 -1,3170 -0,6478 0,0144 0,6948 1,4140 2,1666 2,9218 3,6384 4,2786 4,8076 5,1917 5,4051 5,4440 5,3330 5,1188 4,8577 4,6005 4,3750 4,1772 3,9757 3,7284 3,4035 2,9904 2,4920 1,9106 1,2396 0,4650 -0,4260 -1,4347 -2,5439 -3,7140 -4,8836 -5,9768 -6,9164 -7,6392 -8,1058 -8,3040 -8,2490 -7,9763 -7,5297 -6,9506 -6,2655 -5,4754 -4,5576 -3,4859 -2,2562 -0,8990 0,5248 1,9394 3,2708 4,4634 5,4937 6,3713 7,1260 7,7915 8,3892 8,9202 9,3696 9,7147 9,9337 10,0178 9,9805 9,8531 9,6752 9,4826 9,2940 9,1107 8,9289 8,7518 8,5933 8,4748 8,4121 8,4019 8,4210 8,4373 8,4231 8,3654 8,2733 8,1725 8,0853 8,0167 7,9598 7,9097 7,8687 7,8458 7,8568 7,9221 8,0598 8,2756 8,5587 8,8827 9,2095 9,4967 9,7082 9,8219 9,8291 9,7311 9,5402 9,2802 8,9802 8,6626 8,3385 8,0102 7,6772 7,3469 7,0430 6,7943 6,6101 6,4655 6,3073 6,0768 5,7355 5,2799 4,7352 4,1403 3,5311 2,9305 2,3439 1,7594 1,1530 0,4994 -0,2168 -0,9937 -1,8117 -2,6405 -3,4513 -4,2220 -4,9286 -5,5356 -6,0061 -6,3236 -6,4972 -6,5525 -6,5250 -6,4573 -6,3936 -6,3671 -6,3895 -6,4540 -6,5482 -6,6601 -6,7752 -6,8766 -6,9486 -6,9827 -6,9756 -6,9246 -6,8257 -6,6773 -6,4824 -6,2504 -5,9979 -5,7504 -5,5380 -5,3803 -5,2688 -5,1678 -5,0355 -4,8464 -4,5970 -4,2961 -3,9537 -3,5718 -3,1459 -2,6787 -2,1905 -1,7105 -1,2637 -0,8690 -0,5422 -0,2900 -0,1059 0,0227 0,1076 0,1592 0,1877 0,2044 0,2215 0,2482 0,2872 0,3334 0,3797 0,4286 0,4979 0,6138 0,7983 1,0603 1,3951 1,7844 2,1930 2,5680 2,8567 3,0334 3,1116 3,1329 3,1488 3,2034 3,3191 3,4883 3,6800 3,8606 4,0105 4,1235 4,1945 4,2099 4,1495 4,0006 3,7747 3,5108 3,2612 3,0683 2,9483 2,8909 2,8775 2,9039 2,9834 3,1285 3,3348 3,5814 3,8426 4,0970 4,3302 4,5367 4,7243 4,9136 5,1277 5,3745 5,6371 5,8801 6,0684 6,1802 6,2128 6,1793 6,0985 5,9822 5,8329 5,6485 5,4282 5,1801 4,9283 4,7084 4,5490 4,4603 4,4330 4,4440 4,4694 4,4935 4,5083 4,5098 4,4953 4,4563 4,3756 4,2386 4,0428 3,7958 3,5169 3,2431 3,0215 2,8864 2,8443 2,8780 2,9556 3,0398 3,0986 3,1154 3,0911 3,0390 2,9740 2,9021 2,8200 2,7255 2,6306 2,5629 2,5539 2,6226 2,7681 2,9752 3,2262 3,5044 3,7884 4,0573 4,3032 4,5383 4,7854 5,0564 5,3365 5,5899 5,7775 5,8712 5,8578 5,7371 5,5200 5,2274 4,8876 4,5326 4,1921 3,8910 3,6472 3,4689 3,3508 3,2727 3,2031 3,1070 2,9566 2,7399 2,4657 2,1642 1,8842 1,6803 1,5960 1,6519 1,8430 2,1464 2,5364 3,0018 3,5513 4,2025 4,9622 5,8121 6,7034 7,5668 8,3270 8,9124 9,2608 9,3328 9,1277 8,6909 8,0995 7,4341 6,7604 6,1290 5,5811 5,1522 4,8727 4,7562 4,7855 4,9130 5,0790 5,2319 5,3398 5,3961 5,4165 5,4284 5,4541 5,4975 5,5472 5,5899 5,6147 5,6084 5,5536 5,4364 5,2535 5,0187 4,7668 4,5482 4,4148 4,4057 4,5359 4,8004 5,1874 5,6847 6,2747 6,9261 7,5944 8,2300 8,7876 9,2344 9,5564 9,7582 9,8580 9,8796 9,8443 9,7726 9,6865 9,6007 9,5092 9,3882 9,2224 9,0311 8,8660 8,7820 8,8075 8,9319 9,1111 9,2849 9,3996 9,4237 9,3532 9,2078 9,0177 8,8043 8,5724 8,3192 8,0468 7,7678 7,4962 7,2381 6,9907 6,7500 6,5132 6,2777 6,0411 5,8022 5,5631 5,3301 5,1094 4,9006 4,6992 4,5039 4,3141 4,1270 3,9466 3,7968 3,7212 3,7669 3,9691 4,3476 4,9092 5,6484 6,5416 7,5401 8,5753 9,5760 10,4905 11,3007 12,0229 12,6981 13,3782 14,1056 14,8945 15,7265 16,5601 17,3457 18,0336 18,5811 18,9621 19,1747 19,2374 19,1787 19,0259 18,7937 18,4807 18,0750 17,5648 16,9498 16,2463 15,4796 14,6692 13,8242 12,9521 12,0713 11,2149 10,4221 9,7230 9,1298 8,6369 8,2242 7,8642 7,5271 7,1773 6,7728 6,2827 5,7123 5,1078 4,5361 4,0616 3,7296 3,5576 3,5356 3,6307 3,7928 3,9571 4,0543 4,0349 3,8936 3,6691 3,4156 3,1736 2,9616 2,7798 2,6132 2,4367 2,2283 1,9816 1,7010 1,3899 1,0434 0,6507 0,2050 -0,2818 -0,7786 -1,2534 -1,6891 -2,0874 -2,4649 -2,8433 -3,2312 -3,6136 -3,9605 -4,2464 -4,4652 -4,6293 -4,7588 -4,8655 -4,9443 -4,9785 -4,9557 -4,8798 -4,7673 -4,6311 -4,4669 -4,2563 -3,9786 -3,6197 -3,1727 -2,6320 -1,9947 -1,2736 -0,5029
F7    2,2533 1,9939 1,6611 1,2606 0,8069 0,3197 -0,1814 -0,6763 -1,1378 -1,5267 -1,8000 -1,9277 -1,9063 -1,7577 -1,5186 -1,2304 -0,9306 -0,6489 -0,4041 -0,1998 -0,0217 0,1596 0,3729 0,6239 0,8871 1,1248 1,3110 1,4369 1,5051 1,5233 1,5021 1,4524 1,3836 1,3020 1,2105 1,1089 0,9932 0,8533 0,6746 0,4443 0,1612 -0,1621 -0,5057 -0,8538 -1,1968 -1,5232 -1,8106 -2,0298 -2,1622 -2,2138 -2,2130 -2,1937 -2,1789 -2,1725 -2,1676 -2,1652 -2,1833 -2,2442 -2,3536 -2,4938 -2,6350 -2,7540 -2,8442 -2,9124 -2,9713 -3,0325 -3,1055 -3,1987 -3,3197 -3,4745 -3,6682 -3,9057 -4,1891 -4,5069 -4,8235 -5,0822 -5,2230 -5,2070 -5,0339 -4,7411 -4,3810 -3,9955 -3,5993 -3,1832 -2,7325 -2,2471 -1,7523 -1,2901 -0,8998 -0,6081 -0,4335 -0,3902 -0,4833 -0,6996 -1,0065 -1,3612 -1,7219 -2,0587 -2,3618 -2,6438 -2,9333 -3,2652 -3,6632 -4,1264 -4,6362 -5,1751 -5,7387 -6,3334 -6,9690 -7,6496 -8,3661 -9,0926 -9,7893 -10,4102 -10,9120 -11,2607 -11,4380 -11,4476 -11,3136 -11,0658 -10,7236 -10,2944 -9,7764 -9,1549 -8,4042 -7,5039 -6,4600 -5,3095 -4,1082 -2,9132 -1,7698 -0,7029 0,2824 1,1940 2,0480 2,8642 3,6529 4,4028 5,0814 5,6472 6,0653 6,3205 6,4209 6,3921 6,2707 6,0962 5,8977 5,6883 5,4733 5,2606 5,0650 4,9037 4,7881 4,7184 4,6851 4,6715 4,6560 4,6202 4,5615 4,4953 4,4396 4,3971 4,3549 4,2946 4,2004 4,0638 3,8906 3,7048 3,5428 3,4373 3,4045 3,4394 3,5146 3,5861 3,6077 3,5449 3,3812 3,1160 2,7629 2,3494 1,9113 1,4797 1,0718 0,6890 0,3203 -0,0460 -0,4093 -0,7587 -1,0879 -1,4049 -1,7303 -2,0893 -2,4982 -2,9557 -3,4460 -3,9447 -4,4247 -4,8660 -5,2672 -5,6475 -6,0339 -6,4479 -6,8969 -7,3711 -7,8463 -8,2930 -8,6875 -9,0180 -9,2788 -9,4598 -9,5466 -9,5297 -9,4092 -9,1953 -8,9104 -8,5892 -8,2734 -8,0030 -7,8062 -7,6946 -7,6670 -7,7128 -7,8120 -7,9356 -8,0504 -8,1273 -8,1487 -8,1046 -7,9863 -7,7847 -7,4942 -7,1176 -6,6705 -6,1855 -5,7087 -5,2836 -4,9308 -4,6406 -4,3847 -4,1344 -3,8715 -3,5881 -3,2818 -2,9493 -2,5858 -2,1932 -1,7846 -1,3795 -0,9964 -0,6536 -0,3673 -0,1437 0,0220 0,1383 0,2138 0,2558 0,2651 0,2351 0,1607 0,0462 -0,0963 -0,2532 -0,4133 -0,5628 -0,6801 -0,7412 -0,7328 -0,6561 -0,5213 -0,3463 -0,1630 -0,0151 0,0630 0,0687 0,0314 -0,0062 -0,0079 0,0475 0,1643 0,3296 0,5159 0,6912 0,8332 0,9354 0,9983 1,0184 0,9878 0,9064 0,7943 0,6877 0,6260 0,6401 0,7440 0,9290 1,1696 1,4385 1,7155 1,9867 2,2431 2,4800 2,6967 2,8960 3,0844 3,2699 3,4597 3,6559 3,8518 4,0306 4,1704 4,2518 4,2659 4,2187 4,1288 4,0193 3,9074 3,7967 3,6775 3,5321 3,3427 3,1054 2,8410 2,5875 2,3774 2,2195 2,0974 1,9843 1,8632 1,7364 1,6211 1,5393 1,5048 1,5086 1,5175 1,4904 1,3955 1,2145 0,9506 0,6390 0,3390 0,1051 -0,0372 -0,0939 -0,0950 -0,0844 -0,1061 -0,1895 -0,3422 -0,5526 -0,7983 -1,0533 -1,2950 -1,5084 -1,6872 -1,8318 -1,9439 -2,0230 -2,0652 -2,0617 -1,9983 -1,8630 -1,6568 -1,3930 -1,0860 -0,7444 -0,3766 -0,0024 0,3423 0,6180 0,7963 0,8633 0,8183 0,6771 0,4726 0,2466 0,0362 -0,1356 -0,2609 -0,3429 -0,3919 -0,4230 -0,4521 -0,4940 -0,5606 -0,6628 -0,8103 -1,0069 -1,2440 -1,4979 -1,7306 -1,8950 -1,9470 -1,8626 -1,6454 -1,3220 -0,9297 -0,5031 -0,0636 0,3809 0,8317 1,2922 1,7581 2,2112 2,6180 2,9329 3,1066 3,1017 2,9075 2,5497 2,0835 1,5750 1,0822 0,6483 0,3026 0,0652 -0,0470 -0,0265 0,1134 0,3402 0,6156 0,9029 1,1719 1,4068 1,6095 1,7924 1,9642 2,1194 2,2433 2,3270 2,3725 2,3840 2,3634 2,3110 2,2262 2,1093 1,9696 1,8272 1,7085 1,6387 1,6362 1,7143 1,8878 2,1672 2,5443 2,9847 3,4364 3,8473 4,1767 4,4057 4,5398 4,6010 4,6160 4,6092 4,6029 4,6175 4,6656 4,7393 4,8036 4,8101 4,7303 4,5812 4,4153 4,2863 4,2220 4,2196 4,2555 4,2982 4,3172 4,2890 4,2045 4,0716 3,9054 3,7112 3,4827 3,2124 2,9013 2,5589 2,1983 1,8344 1,4849 1,1678 0,8921 0,6515 0,4299 0,2104 -0,0129 -0,2273 -0,4092 -0,5460 -0,6435 -0,7133 -0,7636 -0,7982 -0,8099 -0,7738 -0,6543 -0,4209 -0,0583 0,4311 1,0317 1,7208 2,4736 3,2640 4,0687 4,8703 5,6588 6,4300 7,1869 7,9420 8,7138 9,5107 10,3211 11,1211 11,8864 12,5945 13,2183 13,7227 14,0774 14,2748 14,3330 14,2823 14,1519 13,9621 13,7202 13,4195 13,0441 12,5822 12,0370 11,4228 10,7486 10,0142 9,2234 8,3973 7,5749 6,7977 6,0948 5,4823 4,9705 4,5614 4,2424 3,9844 3,7420 3,4626 3,1093 2,6855 2,2378 1,8327 1,5275 1,3550 1,3228 1,4191 1,6180 1,8821 2,1631 2,4070 2,5719 2,6469 2,6509 2,6108 2,5419 2,4470 2,3231 2,1647 1,9624 1,7078 1,3996 1,0429 0,6462 0,2171 -0,2417 -0,7298 -1,2390 -1,7514 -2,2509 -2,7332 -3,2065 -3,6877 -4,1921 -4,7179 -5,2409 -5,7267 -6,1500 -6,5052 -6,8037 -7,0642 -7,2986 -7,4997 -7,6424 -7,7013 -7,6665 -7,5432 -7,3384 -7,0541 -6,6909 -6,2538 -5,7539 -5,2081 -4,6325 -4,0389 -3,4401 -2,8535
