Fp1   -0,7388 -1,1739 -1,5936 -1,9446 -2,1939 -2,3367 -2,3971 -2,4142 -2,4165 -2,4073 -2,3738 -2,3005 -2,1679 -1,9537 -1,6491 -1,2739 -0,8681 -0,4752 -0,1320 0,1352 0,3146 0,4132 0,4568 0,4797 0,5086 0,5564 0,6280 0,7223 0,8292 0,9363 1,0419 1,1540 1,2768 1,4047 1,5279 1,6380 1,7297 1,7972 1,8245 1,7870 1,6694 1,4808 1,2510 1,0227 0,8460 0,7685 0,8163 0,9844 1,2456 1,5643 1,9055 2,2367 2,5305 2,7635 2,9205 3,0066 3,0557 3,1147 3,2165 3,3658 3,5464 3,7302 3,8800 3,9578 3,9400 3,8287 3,6470 3,4215 3,1731 2,9193 2,6784 2,4708 2,3118 2,2001 2,1260 2,0946 2,1285 2,2400 2,4112 2,6126 2,8353 3,0946 3,4066 3,7648 4,1327 4,4574 4,6903 4,8048 4,8108 4,7572 4,7093 4,7169 4,8012 4,9592 5,1697 5,3985 5,6053 5,7498 5,8031 5,7628 5,6561 5,5167 5,3535 5,1400 4,8330 4,4017 3,8502 3,2157 2,5410 1,8476 1,1439 0,4507 -0,1898 -0,7289 -1,1339 -1,4095 -1,6024 -1,7765 -1,9799 -2,2330 -2,5277 -2,8251 -3,0665 -3,2070 -3,2438 -3,2034 -3,1006 -2,9193 -2,6348 -2,2448 -1,7848 -1,3200 -0,9220 -0,6342 -0,4455 -0,3062 -0,1746 -0,0446 0,0603 0,1047 0,0583 -0,0870 -0,3127 -0,5879 -0,8852 -1,1849 -1,4681 -1,7154 -1,9127 -2,0531 -2,1327 -2,1527 -2,1241 -2,0617 -1,9744 -1,8626 -1,7234 -1,5556 -1,3566 -1,1163 -0,8265 -0,5033 -0,1908 0,0713 0,2754 0,4381 0,5736 0,6809 0,7601 0,8339 0,9427 1,1130 1,3277 1,5336 1,6797 1,7465 1,7456 1,7005 1,6313 1,5570 1,5002 1,4802 1,4998 1,5405 1,5691 1,5506 1,4553 1,2523 0,9107 0,4230 -0,1749 -0,8135 -1,4250 -1,9769 -2,4746 -2,9270 -3,3135 -3,5935 -3,7368 -3,7398 -3,6289 -3,4591 -3,2906 -3,1573 -3,0567 -2,9625 -2,8485 -2,7110 -2,5750 -2,4784 -2,4444 -2,4649 -2,5079 -2,5444 -2,5707 -2,6026 -2,6490 -2,6911 -2,6928 -2,6358 -2,5434 -2,4650 -2,4432 -2,4932 -2,6035 -2,7534 -2,9299 -3,1240 -3,3151 -3,4710 -3,5706 -3,6164 -3,6192 -3,5749 -3,4663 -3,2854 -3,0545 -2,8226 -2,6399 -2,5347 -2,5080 -2,5436 -2,6302 -2,7796 -3,0140 -3,3323 -3,6981 -4,0615 -4,3859 -4,6526 -4,8497 -4,9683 -5,0103 -4,9856 -4,9024 -4,7706 -4,6129 -4,4593 -4,3291 -4,2260 -4,1484 -4,0946 -4,0626 -4,0549 -4,0826 -4,1542 -4,2546 -4,3447 -4,3863 -4,3627 -4,2729 -4,1169 -3,8980 -3,6350 -3,3652 -3,1274 -2,9395 -2,7907 -2,6514 -2,4968 -2,3301 -2,1820 -2,0907 -2,0870 -2,1921 -2,4104 -2,7223 -3,0848 -3,4417 -3,7453 -3,9781 -4,1550 -4,3029 -4,4415 -4,5753 -4,6871 -4,7414 -4,7016 -4,5557 -4,3294 -4,0761 -3,8492 -3,6760 -3,5533 -3,4591 -3,3685 -3,2688 -3,1717 -3,1090 -3,1098 -3,1749 -3,2738 -3,3615 -3,4027 -3,3851 -3,3105 -3,1806 -2,9959 -2,7648 -2,5113 -2,2707 -2,0725 -1,9311 -1,8556 -1,8505 -1,8923 -1,9216 -1,8764 -1,7298 -1,4953 -1,2029 -0,8737 -0,5159 -0,1416 0,2212 0,5322 0,7523 0,8598 0,8639 0,8056 0,7463 0,7502 0,8640 1,0991 1,4242 1,7722 2,0638 2,2405 2,2870 2,2337 2,1307 2,0099 1,8714 1,7014 1,4989 1,2912 1,1287 1,0602 1,1044 1,2425 1,4351 1,6473 1,8634 2,0855 2,3180 2,5561 2,7904 3,0163 3,2329 3,4323 3,6021 3,7467 3,8966 4,0800 4,2841 4,4556 4,5428 4,5254 4,4105 4,2152 3,9560 3,6531 3,3382 3,0549 2,8447 2,7277 2,6982 2,7373 2,8270 2,9499 3,0809 3,1827 3,2116 3,1369 2,9662 2,7488 2,5477 2,4063 2,3402 2,3526 2,4481 2,6262 2,8713 3,1579 3,4615 3,7533 3,9898 4,1270 4,1521 4,0970 4,0241 4,0023 4,0841 4,2892 4,5928 4,9300 5,2186 5,3929 5,4362 5,3914 5,3323 5,3194 5,3792 5,5103 5,6960 5,9195 6,1715 6,4378 6,6820 6,8610 6,9528 6,9628 6,9093 6,8097 6,6760 6,5164 6,3421 6,1696 6,0137 5,8812 5,7708 5,6701 5,5574 5,4246 5,2921 5,1938 5,1542 5,1811 5,2666 5,3927 5,5446 5,7219 5,9304 6,1608 6,3787 6,5452 6,6429 6,6792 6,6745 6,6538 6,6392 6,6393 6,6445 6,6306 6,5702 6,4381 6,2117 5,8797 5,4570 4,9869 4,5265 4,1250 3,8118 3,5926 3,4561 3,3898 3,3917 3,4651 3,6025 3,7792 3,9645 4,1314 4,2549 4,3178 4,3259 4,3061 4,2806 4,2478 4,1853 4,0653 3,8722 3,6166 3,3347 3,0703 2,8512 2,6756 2,5142 2,3263 2,0834 1,7836 1,4403 1,0679 0,6800 0,2962 -0,0543 -0,3354 -0,5207 -0,6147 -0,6506 -0,6612 -0,6516 -0,5980 -0,4717 -0,2668 -0,0044 0,2826 0,5569 0,7737 0,8838 0,8502 0,6676 0,3759 0,0533 -0,2197 -0,3947 -0,4606 -0,4278 -0,3158 -0,1514 0,0281 0,1815 0,2835 0,3341 0,3417 0,3112 0,2577 0,2234 0,2690 0,4438 0,7540 1,1589 1,5988 2,0228 2,3933 2,6765 2,8405 2,8670 2,7628 2,5589 2,2977 2,0205 1,7607 1,5365 1,3464 1,1681 0,9651 0,7056 0,3953 0,0870 -0,1537 -0,2898 -0,3241 -0,2908 -0,2397 -0,2073 -0,1945 -0,1836 -0,1738 -0,1883 -0,2479 -0,3453 -0,4503 -0,5351 -0,5949 -0,6555 -0,7667 -0,9782 -1,3076 -1,7271 -2,1859 -2,6431 -3,0745 -3,4572 -3,7614 -3,9622 -4,0526 -4,0400 -3,9295 -3,7157 -3,3960 -2,9909 -2,5418 -2,0926 -1,6797 -1,3382 -1,1037 -0,9988 -1,0157 -1,1150 -1,2450
Fz    0,2064 -0,2855 -0,7679 -1,1965 -1,5495 -1,8270 -2,0440 -2,2215 -2,3745 -2,5041 -2,6027 -2,6571 -2,6430 -2,5286 -2,2974 -1,9652 -1,5732 -1,1735 -0,8178 -0,5462 -0,3713 -0,2716 -0,2016 -0,1142 0,0203 0,2128 0,4597 0,7386 1,0095 1,2316 1,3867 1,4855 1,5523 1,6038 1,6433 1,6663 1,6693 1,6543 1,6233 1,5743 1,5054 1,4228 1,3412 1,2786 1,2532 1,2812 1,3733 1,5337 1,7609 2,0454 2,3620 2,6684 2,9200 3,0873 3,1617 3,1559 3,1029 3,0452 3,0173 3,0348 3,0935 3,1756 3,2563 3,3084 3,3074 3,2380 3,1004 2,9136 2,7128 2,5410 2,4325 2,3965 2,4126 2,4434 2,4629 2,4775 2,5163 2,6008 2,7342 2,9202 3,1776 3,5261 3,9628 4,4521 4,9353 5,3523 5,6622 5,8535 5,9423 5,9638 5,9598 5,9655 6,0008 6,0670 6,1500 6,2311 6,2938 6,3237 6,3101 6,2530 6,1630 6,0468 5,8889 5,6536 5,3087 4,8469 4,2928 3,6899 3,0750 2,4584 1,8308 1,1821 0,5164 -0,1416 -0,7518 -1,2818 -1,7303 -2,1232 -2,4897 -2,8449 -3,1828 -3,4744 -3,6784 -3,7668 -3,7445 -3,6382 -3,4663 -3,2211 -2,8807 -2,4352 -1,9053 -1,3472 -0,8383 -0,4410 -0,1670 0,0205 0,1707 0,3159 0,4604 0,5775 0,6181 0,5358 0,3099 -0,0481 -0,5017 -0,9996 -1,4861 -1,9100 -2,2349 -2,4502 -2,5712 -2,6298 -2,6616 -2,6931 -2,7327 -2,7714 -2,7899 -2,7622 -2,6549 -2,4342 -2,0870 -1,6417 -1,1623 -0,7132 -0,3299 -0,0170 0,2353 0,4375 0,6013 0,7476 0,9048 1,0907 1,2948 1,4837 1,6239 1,7041 1,7360 1,7368 1,7135 1,6679 1,6077 1,5430 1,4757 1,3962 1,2878 1,1328 0,9119 0,5973 0,1577 -0,4171 -1,0945 -1,8042 -2,4711 -3,0536 -3,5538 -3,9903 -4,3619 -4,6412 -4,7952 -4,8046 -4,6778 -4,4547 -4,1890 -3,9231 -3,6777 -3,4559 -3,2517 -3,0617 -2,8928 -2,7595 -2,6720 -2,6271 -2,6075 -2,5960 -2,5911 -2,6032 -2,6339 -2,6646 -2,6657 -2,6203 -2,5373 -2,4395 -2,3486 -2,2791 -2,2381 -2,2297 -2,2603 -2,3320 -2,4349 -2,5505 -2,6674 -2,7848 -2,8988 -2,9885 -3,0198 -2,9626 -2,8098 -2,5849 -2,3324 -2,1013 -1,9283 -1,8287 -1,8073 -1,8783 -2,0614 -2,3562 -2,7304 -3,1324 -3,5109 -3,8256 -4,0498 -4,1734 -4,2065 -4,1715 -4,0930 -4,0002 -3,9291 -3,9079 -3,9421 -4,0201 -4,1270 -4,2487 -4,3720 -4,4910 -4,6134 -4,7531 -4,9101 -5,0599 -5,1669 -5,2031 -5,1528 -5,0100 -4,7770 -4,4674 -4,1108 -3,7511 -3,4294 -3,1616 -2,9357 -2,7343 -2,5588 -2,4284 -2,3671 -2,3980 -2,5412 -2,8061 -3,1809 -3,6284 -4,0904 -4,5070 -4,8404 -5,0825 -5,2398 -5,3237 -5,3471 -5,3194 -5,2419 -5,1122 -4,9338 -4,7229 -4,5070 -4,3156 -4,1688 -4,0732 -4,0231 -4,0041 -3,9985 -3,9964 -4,0018 -4,0228 -4,0565 -4,0889 -4,1085 -4,1114 -4,0970 -4,0587 -3,9815 -3,8487 -3,6499 -3,3904 -3,0972 -2,8118 -2,5739 -2,4154 -2,3568 -2,3897 -2,4661 -2,5201 -2,5005 -2,3857 -2,1779 -1,8932 -1,5543 -1,1905 -0,8364 -0,5265 -0,2859 -0,1178 0,0033 0,1202 0,2725 0,4839 0,7607 1,0915 1,4460 1,7725 2,0102 2,1170 2,0906 1,9686 1,8070 1,6498 1,5132 1,3923 1,2799 1,1817 1,1196 1,1186 1,1897 1,3270 1,5162 1,7427 1,9921 2,2499 2,5036 2,7433 2,9625 3,1565 3,3200 3,4409 3,5080 3,5355 3,5690 3,6497 3,7747 3,8991 3,9706 3,9562 3,8435 3,6374 3,3578 3,0321 2,6879 2,3523 2,0528 1,8137 1,6496 1,5650 1,5569 1,6108 1,6981 1,7770 1,8030 1,7503 1,6343 1,5079 1,4275 1,4210 1,4836 1,5983 1,7514 1,9287 2,1092 2,2735 2,4147 2,5318 2,6139 2,6483 2,6416 2,6281 2,6567 2,7711 2,9965 3,3296 3,7326 4,1408 4,4898 4,7433 4,9073 5,0253 5,1508 5,3175 5,5291 5,7678 6,0101 6,2444 6,4784 6,7219 6,9626 7,1672 7,3069 7,3721 7,3648 7,2857 7,1337 6,9119 6,6317 6,3150 5,9908 5,6876 5,4298 5,2328 5,0997 5,0255 5,0006 5,0069 5,0241 5,0462 5,0870 5,1679 5,3033 5,4952 5,7333 5,9949 6,2485 6,4655 6,6298 6,7342 6,7787 6,7744 6,7362 6,6681 6,5566 6,3768 6,1055 5,7306 5,2528 4,6878 4,0719 3,4571 2,8977 2,4354 2,0932 1,8701 1,7478 1,7136 1,7787 1,9644 2,2721 2,6710 3,1117 3,5431 3,9138 4,1774 4,3111 4,3262 4,2532 4,1162 3,9197 3,6553 3,3232 2,9480 2,5735 2,2435 1,9822 1,7840 1,6185 1,4471 1,2442 1,0037 0,7311 0,4360 0,1298 -0,1745 -0,4618 -0,7111 -0,9032 -1,0380 -1,1377 -1,2246 -1,2987 -1,3364 -1,3100 -1,2076 -1,0360 -0,8122 -0,5605 -0,3145 -0,1128 0,0143 0,0572 0,0350 -0,0070 -0,0200 0,0250 0,1309 0,2846 0,4707 0,6747 0,8735 1,0339 1,1273 1,1388 1,0631 0,9074 0,7067 0,5225 0,4189 0,4365 0,5787 0,8180 1,1176 1,4447 1,7684 2,0528 2,2589 2,3587 2,3484 2,2462 2,0796 1,8762 1,6600 1,4480 1,2419 1,0217 0,7522 0,4091 0,0152 -0,3555 -0,6185 -0,7234 -0,6658 -0,4821 -0,2387 -0,0013 0,1955 0,3454 0,4431 0,4753 0,4337 0,3266 0,1749 0,0000 -0,1885 -0,4008 -0,6632 -1,0041 -1,4316 -1,9250 -2,4464 -2,9576 -3,4254 -3,8210 -4,1204 -4,3083 -4,3843 -4,3633 -4,2606 -4,0773 -3,8096 -3,4662 -3,0725 -2,6603 -2,2615 -1,9107 -1,6431 -1,4804 -1,4140 -1,4050 -1,4070
F3    -0,3468 -0,8470 -1,3453 -1,7931 -2,1547 -2,4166 -2,5879 -2,6920 -2,7521 -2,7796 -2,7735 -2,7223 -2,6016 -2,3812 -2,0465 -1,6150 -1,1311 -0,6522 -0,2364 0,0691 0,2439 0,3064 0,3102 0,3192 0,3777 0,5016 0,6865 0,9133 1,1509 1,3641 1,5295 1,6461 1,7263 1,7804 1,8095 1,8107 1,7850 1,7414 1,6872 1,6204 1,5336 1,4211 1,2835 1,1352 1,0101 0,9518 0,9932 1,1405 1,3731 1,6535 1,9391 2,1931 2,3950 2,5444 2,6527 2,7367 2,8183 2,9219 3,0666 3,2583 3,4839 3,7119 3,9039 4,0305 4,0784 4,0501 3,9586 3,8200 3,6508 3,4730 3,3148 3,1970 3,1168 3,0480 2,9687 2,8891 2,8415 2,8451 2,8946 2,9869 3,1429 3,3904 3,7355 4,1500 4,5798 4,9645 5,2552 5,4263 5,4812 5,4508 5,3808 5,3167 5,2930 5,3284 5,4230 5,5599 5,7119 5,8498 5,9511 6,0090 6,0270 6,0018 5,9110 5,7202 5,4056 4,9669 4,4282 3,8289 3,2051 2,5751 1,9470 1,3305 0,7407 0,2000 -0,2659 -0,6465 -0,9598 -1,2370 -1,5002 -1,7566 -2,0028 -2,2216 -2,3862 -2,4774 -2,4967 -2,4546 -2,3472 -2,1522 -1,8471 -1,4293 -0,9264 -0,4000 0,0669 0,4089 0,6192 0,7485 0,8617 0,9947 1,1383 1,2452 1,2538 1,1211 0,8402 0,4355 -0,0462 -0,5442 -0,9975 -1,3587 -1,6017 -1,7263 -1,7543 -1,7210 -1,6628 -1,6035 -1,5450 -1,4702 -1,3594 -1,2037 -0,9996 -0,7389 -0,4164 -0,0507 0,3140 0,6335 0,8885 1,0834 1,2298 1,3376 1,4195 1,4971 1,5955 1,7283 1,8818 2,0208 2,1163 2,1645 2,1850 2,2010 2,2206 2,2373 2,2442 2,2416 2,2340 2,2247 2,2132 2,1925 2,1427 2,0244 1,7877 1,4010 0,8730 0,2483 -0,4142 -1,0656 -1,6815 -2,2501 -2,7492 -3,1425 -3,3964 -3,4952 -3,4521 -3,3126 -3,1309 -2,9398 -2,7469 -2,5470 -2,3316 -2,1004 -1,8707 -1,6725 -1,5309 -1,4500 -1,4140 -1,4035 -1,4117 -1,4434 -1,4982 -1,5593 -1,6000 -1,6080 -1,5974 -1,5967 -1,6317 -1,7168 -1,8485 -2,0103 -2,1854 -2,3619 -2,5237 -2,6454 -2,7048 -2,6955 -2,6269 -2,5117 -2,3586 -2,1755 -1,9791 -1,7982 -1,6663 -1,6093 -1,6329 -1,7219 -1,8651 -2,0781 -2,3871 -2,7920 -3,2509 -3,6969 -4,0692 -4,3331 -4,4794 -4,5135 -4,4504 -4,3120 -4,1241 -3,9205 -3,7451 -3,6366 -3,6077 -3,6434 -3,7139 -3,7874 -3,8413 -3,8709 -3,8921 -3,9307 -4,0020 -4,0990 -4,2024 -4,2906 -4,3418 -4,3339 -4,2481 -4,0785 -3,8433 -3,5797 -3,3194 -3,0707 -2,8258 -2,5818 -2,3558 -2,1785 -2,0780 -2,0719 -2,1707 -2,3758 -2,6727 -3,0274 -3,3925 -3,7233 -3,9963 -4,2093 -4,3681 -4,4813 -4,5593 -4,6028 -4,5960 -4,5202 -4,3747 -4,1849 -3,9916 -3,8323 -3,7263 -3,6692 -3,6403 -3,6126 -3,5613 -3,4759 -3,3721 -3,2817 -3,2274 -3,2086 -3,2090 -3,2128 -3,2102 -3,1915 -3,1417 -3,0464 -2,8996 -2,7096 -2,4998 -2,3004 -2,1398 -2,0442 -2,0301 -2,0809 -2,1355 -2,1156 -1,9706 -1,6995 -1,3376 -0,9282 -0,5080 -0,1106 0,2276 0,4724 0,6035 0,6263 0,5740 0,4953 0,4384 0,4432 0,5378 0,7326 1,0104 1,3201 1,5915 1,7648 1,8113 1,7376 1,5802 1,3857 1,1880 1,0018 0,8369 0,7145 0,6668 0,7186 0,8656 1,0743 1,3034 1,5264 1,7384 1,9482 2,1663 2,3954 2,6295 2,8563 3,0574 3,2083 3,2884 3,3051 3,3019 3,3290 3,4033 3,5030 3,5933 3,6450 3,6352 3,5477 3,3790 3,1434 2,8709 2,5992 2,3642 2,1907 2,0875 2,0483 2,0570 2,0909 2,1239 2,1301 2,0872 1,9873 1,8513 1,7272 1,6637 1,6853 1,7894 1,9636 2,1952 2,4646 2,7376 2,9798 3,1759 3,3250 3,4247 3,4744 3,4898 3,5047 3,5559 3,6665 3,8391 4,0587 4,2962 4,5161 4,6877 4,7962 4,8488 4,8777 4,9252 5,0201 5,1684 5,3550 5,5522 5,7396 5,9178 6,0927 6,2457 6,3382 6,3470 6,2842 6,1812 6,0671 5,9596 5,8651 5,7823 5,7123 5,6599 5,6272 5,6061 5,5773 5,5192 5,4262 5,3158 5,2155 5,1496 5,1395 5,2006 5,3342 5,5276 5,7654 6,0325 6,3070 6,5577 6,7572 6,8947 6,9727 6,9984 6,9826 6,9347 6,8528 6,7241 6,5381 6,2920 5,9822 5,6022 5,1541 4,6600 4,1567 3,6830 3,2688 2,9327 2,6838 2,5285 2,4794 2,5571 2,7751 3,1207 3,5483 3,9943 4,3955 4,7001 4,8792 4,9403 4,9225 4,8709 4,8120 4,7440 4,6416 4,4780 4,2473 3,9665 3,6640 3,3675 3,0946 2,8444 2,5994 2,3380 2,0427 1,6994 1,3032 0,8698 0,4323 0,0294 -0,3030 -0,5429 -0,6939 -0,7810 -0,8274 -0,8376 -0,8009 -0,7080 -0,5663 -0,3982 -0,2263 -0,0667 0,0654 0,1508 0,1697 0,1118 -0,0089 -0,1483 -0,2518 -0,2814 -0,2256 -0,0908 0,1115 0,3678 0,6496 0,9072 1,0896 1,1701 1,1470 1,0365 0,8760 0,7205 0,6231 0,6139 0,6912 0,8270 0,9849 1,1380 1,2745 1,3912 1,4842 1,5492 1,5841 1,5859 1,5483 1,4685 1,3541 1,2163 1,0562 0,8620 0,6164 0,3148 -0,0101 -0,2898 -0,4600 -0,4967 -0,4160 -0,2592 -0,0815 0,0701 0,1818 0,2660 0,3292 0,3567 0,3287 0,2397 0,0981 -0,0846 -0,2998 -0,5485 -0,8435 -1,2009 -1,6225 -2,0907 -2,5812 -3,0727 -3,5425 -3,9588 -4,2831 -4,4830 -4,5457 -4,4790 -4,3002 -4,0236 -3,6625 -3,2390 -2,7832 -2,3246 -1,8910 -1,5162 -1,2361 -1,0713 -1,0108 -1,0160 -1,0436
F7    -0,9970 -1,2320 -1,4221 -1,5453 -1,6008 -1,6084 -1,5997 -1,6020 -1,6240 -1,6595 -1,6975 -1,7218 -1,7059 -1,6193 -1,4504 -1,2189 -0,9556 -0,6757 -0,3796 -0,0787 0,1925 0,3960 0,5206 0,5882 0,6360 0,6968 0,7872 0,9000 1,0074 1,0841 1,1298 1,1597 1,1797 1,1799 1,1507 1,0963 1,0315 0,9754 0,9450 0,9448 0,9620 0,9728 0,9552 0,8997 0,8171 0,7400 0,7105 0,7585 0,8898 1,0869 1,3113 1,5097 1,6325 1,6602 1,6146 1,5496 1,5304 1,6036 1,7756 2,0187 2,2924 2,5534 2,7543 2,8563 2,8520 2,7699 2,6549 2,5452 2,4599 2,3955 2,3331 2,2559 2,1649 2,0763 2,0075 1,9733 1,9866 2,0480 2,1354 2,2189 2,2815 2,3260 2,3699 2,4395 2,5568 2,7246 2,9182 3,0987 3,2360 3,3198 3,3557 3,3607 3,3624 3,3928 3,4733 3,6002 3,7433 3,8591 3,9149 3,9087 3,8685 3,8286 3,8021 3,7659 3,6734 3,4852 3,1955 2,8297 2,4152 1,9563 1,4396 0,8664 0,2730 -0,2848 -0,7623 -1,1415 -1,4265 -1,6317 -1,7737 -1,8707 -1,9430 -2,0078 -2,0735 -2,1416 -2,2144 -2,2857 -2,3255 -2,2879 -2,1354 -1,8587 -1,4830 -1,0631 -0,6680 -0,3511 -0,1213 0,0505 0,1942 0,3145 0,3999 0,4353 0,4043 0,2949 0,1127 -0,1178 -0,3674 -0,6093 -0,8146 -0,9583 -1,0357 -1,0641 -1,0633 -1,0457 -1,0196 -0,9902 -0,9599 -0,9290 -0,8910 -0,8286 -0,7192 -0,5468 -0,3118 -0,0404 0,2225 0,4414 0,6138 0,7630 0,9125 1,0640 1,1978 1,3010 1,3909 1,4982 1,6282 1,7494 1,8236 1,8388 1,8090 1,7489 1,6645 1,5676 1,4862 1,4517 1,4780 1,5545 1,6544 1,7472 1,8037 1,7924 1,6808 1,4541 1,1311 0,7567 0,3746 0,0028 -0,3669 -0,7412 -1,0988 -1,3978 -1,6042 -1,7021 -1,6939 -1,6075 -1,4879 -1,3746 -1,2860 -1,2178 -1,1530 -1,0804 -1,0053 -0,9428 -0,9040 -0,8848 -0,8692 -0,8463 -0,8242 -0,8221 -0,8508 -0,9029 -0,9591 -1,0044 -1,0402 -1,0859 -1,1711 -1,3135 -1,4984 -1,6844 -1,8304 -1,9102 -1,9129 -1,8460 -1,7409 -1,6418 -1,5796 -1,5518 -1,5269 -1,4779 -1,4111 -1,3620 -1,3592 -1,4026 -1,4756 -1,5669 -1,6758 -1,8072 -1,9601 -2,1213 -2,2765 -2,4251 -2,5754 -2,7265 -2,8571 -2,9351 -2,9461 -2,9061 -2,8455 -2,7869 -2,7393 -2,7039 -2,6796 -2,6635 -2,6490 -2,6254 -2,5847 -2,5305 -2,4770 -2,4357 -2,4041 -2,3677 -2,3154 -2,2489 -2,1793 -2,1142 -2,0485 -1,9746 -1,8962 -1,8188 -1,7396 -1,6547 -1,5693 -1,4939 -1,4361 -1,4003 -1,3914 -1,4189 -1,4969 -1,6360 -1,8315 -2,0629 -2,3036 -2,5312 -2,7371 -2,9270 -3,1182 -3,3320 -3,5760 -3,8282 -4,0457 -4,1893 -4,2427 -4,2145 -4,1240 -3,9887 -3,8203 -3,6285 -3,4251 -3,2227 -3,0278 -2,8454 -2,6894 -2,5795 -2,5221 -2,5003 -2,4824 -2,4462 -2,3926 -2,3336 -2,2751 -2,2187 -2,1694 -2,1315 -2,1034 -2,0764 -2,0401 -1,9953 -1,9560 -1,9278 -1,8944 -1,8337 -1,7369 -1,6062 -1,4459 -1,2617 -1,0660 -0,8783 -0,7148 -0,5798 -0,4687 -0,3730 -0,2771 -0,1575 0,0069 0,2223 0,4743 0,7294 0,9441 1,0812 1,1217 1,0597 0,9082 0,7119 0,5316 0,4105 0,3674 0,4070 0,5202 0,6819 0,8619 1,0391 1,2003 1,3340 1,4338 1,5058 1,5644 1,6252 1,7050 1,8251 2,0069 2,2541 2,5430 2,8356 3,1024 3,3321 3,5277 3,6954 3,8294 3,9125 3,9381 3,9206 3,8777 3,8121 3,7103 3,5543 3,3411 3,0931 2,8502 2,6478 2,5059 2,4369 2,4509 2,5452 2,6962 2,8591 2,9762 3,0028 2,9366 2,8176 2,7000 2,6257 2,6167 2,6776 2,7968 2,9437 3,0792 3,1839 3,2729 3,3768 3,5073 3,6432 3,7504 3,8110 3,8320 3,8381 3,8589 3,9124 3,9977 4,1020 4,2047 4,2751 4,2906 4,2603 4,2215 4,2143 4,2652 4,3797 4,5412 4,7181 4,8777 5,0013 5,0875 5,1440 5,1793 5,1969 5,1953 5,1749 5,1464 5,1263 5,1192 5,1064 5,0541 4,9405 4,7725 4,5723 4,3620 4,1678 4,0183 3,9299 3,9046 3,9422 4,0417 4,1917 4,3661 4,5373 4,6955 4,8536 5,0267 5,2078 5,3718 5,4961 5,5758 5,6213 5,6490 5,6719 5,6874 5,6732 5,6040 5,4671 5,2561 4,9615 4,5852 4,1587 3,7318 3,3491 3,0422 2,8308 2,7231 2,7167 2,8000 2,9494 3,1287 3,2982 3,4335 3,5300 3,5903 3,6148 3,6089 3,5869 3,5611 3,5349 3,5059 3,4626 3,3828 3,2527 3,0874 2,9196 2,7668 2,6187 2,4487 2,2328 1,9661 1,6629 1,3428 1,0219 0,7148 0,4312 0,1727 -0,0591 -0,2572 -0,4189 -0,5485 -0,6456 -0,6993 -0,6962 -0,6329 -0,5223 -0,3889 -0,2596 -0,1560 -0,0957 -0,0977 -0,1812 -0,3491 -0,5698 -0,7846 -0,9398 -1,0105 -0,9990 -0,9175 -0,7739 -0,5785 -0,3561 -0,1421 0,0360 0,1633 0,2301 0,2323 0,1863 0,1394 0,1542 0,2720 0,4859 0,7500 1,0193 1,2757 1,5206 1,7501 1,9420 2,0638 2,0935 2,0313 1,8950 1,7084 1,4942 1,2728 1,0619 0,8709 0,6927 0,5122 0,3314 0,1778 0,0798 0,0398 0,0361 0,0400 0,0274 -0,0120 -0,0682 -0,1249 -0,1786 -0,2400 -0,3198 -0,4188 -0,5251 -0,6200 -0,6882 -0,7320 -0,7829 -0,8909 -1,0932 -1,3859 -1,7263 -2,0652 -2,3719 -2,6324 -2,8380 -2,9855 -3,0829 -3,1406 -3,1479 -3,0684 -2,8694 -2,5535 -2,1595 -1,7350 -1,3115 -0,9057 -0,5368 -0,2353 -0,0300 0,0698 0,0728
