Fp1   0,0600 0,1218 0,0779 -0,0353 -0,1592 -0,2242 -0,1868 -0,0701 0,0311 -0,0024 -0,2446 -0,6797 -1,2006 -1,6648 -1,9771 -2,1167 -2,0924 -1,9035 -1,5475 -1,0325 -0,3811 0,3555 1,0763 1,6499 1,9849 2,0875 2,0387 1,9205 1,7661 1,5680 1,3094 0,9858 0,6164 0,2474 -0,0607 -0,2530 -0,2931 -0,1776 0,0471 0,2984 0,5006 0,6128 0,6232 0,5316 0,3313 0,0085 -0,4269 -0,9202 -1,3983 -1,8023 -2,0771 -2,1562 -1,9965 -1,6346 -1,1780 -0,7314 -0,3519 -0,0723 0,0761 0,0751 -0,0653 -0,3021 -0,5578 -0,7383 -0,7722 -0,6427 -0,3834 -0,0493 0,3041 0,6219 0,8482 0,9404 0,8923 0,7506 0,6008 0,5202 0,5344 0,6187 0,7361 0,8768 1,0633 1,3151 1,6100 1,8875 2,0815 2,1432 2,0620 1,8804 1,6704 1,4815 1,3230 1,1926 1,1013 1,0679 1,0995 1,1780 1,2696 1,3409 1,3614 1,2993 1,1398 0,9101 0,6712 0,4734 0,3191 0,1689 -0,0213 -0,2822 -0,6460 -1,1346 -1,7223 -2,3401 -2,9244 -3,4470 -3,9056 -4,3014 -4,6302 -4,8951 -5,1118 -5,2876 -5,4109 -5,4701 -5,4758 -5,4497 -5,3971 -5,2988 -5,1187 -4,8142 -4,3514 -3,7179 -2,9253 -2,0129 -1,0463 -0,1018 0,7554 1,4888 2,1058 2,6608 3,2230 3,8274 4,4540 5,0522 5,5754 5,9921 6,2779 6,4158 6,4045 6,2677 6,0621 5,8734 5,7885 5,8529 6,0504 6,3189 6,5733 6,7196 6,6727 6,3765 5,8187 5,0355 4,0948 3,0631 1,9932 0,9321 -0,0773 -0,9844 -1,7164 -2,1963 -2,3855 -2,3032 -2,0140 -1,6038 -1,1610 -0,7648 -0,4647 -0,2613 -0,1150 0,0147 0,1391 0,2442 0,3062 0,2985 0,2070 0,0554 -0,0978 -0,2005 -0,2403 -0,2410 -0,2461 -0,3146 -0,5144 -0,8898 -1,4202 -2,0119 -2,5456 -2,9377 -3,1699 -3,2778 -3,3223 -3,3636 -3,4426 -3,5665 -3,7140 -3,8564 -3,9694 -4,0282 -4,0132 -3,9352 -3,8387 -3,7675 -3,7379 -3,7522 -3,8283 -4,0073 -4,3204 -4,7486 -5,2280 -5,6990 -6,1342 -6,5265 -6,8702 -7,1553 -7,3621 -7,4514 -7,3624 -7,0314 -6,4185 -5,5266 -4,4189 -3,2245 -2,1097 -1,2126 -0,5811 -0,1657 0,1248 0,3541 0,5317 0,6382 0,6588 0,5938 0,4636 0,3186 0,2326 0,2669 0,4371 0,7109 1,0287 1,3302 1,5834 1,8013 2,0277 2,3036 2,6361 2,9921 3,3263 3,6179 3,8704 4,0811 4,2189 4,2355 4,1002 3,8278 3,4752 3,1197 2,8355 2,6790 2,6843 2,8466 3,0980 3,3176 3,3912 3,2748 3,0167 2,7298 2,5323 2,4899 2,5995 2,8158 3,0777 3,3049 3,3969 3,2749 2,9287 2,4177 1,8417 1,3170 0,9490 0,8003 0,8740 1,1183 1,4498 1,7956 2,1221 2,4204 2,6671 2,8075 2,7893 2,6106 2,3239 2,0015 1,7067 1,4826 1,3499 1,3196 1,4052 1,6079 1,8876 2,1647 2,3603 2,4360 2,4074 2,3296 2,2658 2,2611 2,3409 2,5076 2,7263 2,9348 3,0853 3,1740 3,2258 3,2606 3,2745 3,2446 3,1514 3,0047 2,8471 2,7285 2,6744 2,6745 2,6988 2,7212 2,7344 2,7519 2,7899 2,8373 2,8577 2,8282 2,7604 2,6822 2,6156 2,5736 2,5826 2,7029 3,0055 3,5128 4,1599 4,8096 5,2976 5,4774 5,2627 4,6740 3,8617 3,0704 2,5462 2,4426 2,7768 3,4336 4,2140 4,9211 5,4292 5,6914 5,7150 5,5457 5,2641 4,9624 4,7051 4,5182 4,4105 4,3868 4,4393 4,5472 4,6870 4,8307 4,9397 4,9776 4,9284 4,8031 4,6341 4,4599 4,3068 4,1809 4,0608 3,9018 3,6697 3,3750 3,0650 2,7999 2,6506 2,6881 2,9393 3,3595 3,8557 4,3267 4,6894 4,8888 4,8956 4,6982 4,3029 3,7458 3,1067 2,4946 2,0113 1,7342 1,7300 2,0509 2,6930 3,5590 4,4711 5,2273 5,6579 5,6722 5,2875 4,6165 3,8250 3,0889 2,5493 2,2784 2,2804 2,5189 2,9302 3,4210 3,8717 4,1522 4,1663 3,9083 3,4782 3,0320 2,7008 2,5361 2,5241 2,6444 2,8972 3,2864 3,7992 4,3951 4,9878 5,4445 5,6375 5,5137 5,1187 4,5617 3,9589 3,4003 2,9514 2,6546 2,5115 2,4917 2,5696 2,7383 2,9860 3,2793 3,5750 3,8403 4,0653 4,2653 4,4710 4,7085 4,9882 5,3095 5,6621 6,0118 6,2888 6,4069 6,3067 5,9844 5,4967 4,9424 4,4146 3,9538 3,5569 3,2262 2,9742 2,7801 2,5920 2,3915 2,2193 2,1279 2,1211 2,1346 2,0658 1,8278 1,3934 0,8052 0,1491 -0,4866 -1,0402 -1,4935 -1,8784 -2,2579 -2,6757 -3,1124 -3,4925 -3,7252 -3,7436 -3,5254 -3,0965 -2,5253 -1,9131 -1,3649 -0,9444 -0,6389 -0,3657 -0,0186 0,4750 1,1198 1,8564 2,5958 3,2571 3,8000 4,2464 4,6709 5,1574 5,7468 6,4079 7,0478 7,5581 7,8635 7,9428 7,8231 7,5582 7,2050 6,8134 6,4358 6,1311 5,9493 5,9108 5,9983 6,1585 6,3130 6,3848 6,3383 6,1991 6,0319 5,9020 5,8413 5,8284 5,7920 5,6490 5,3614 4,9549 4,4774 3,9520 3,3797 2,7797 2,2092 1,7391 1,4119 1,2242 1,1469 1,1603 1,2705 1,4899 1,7949 2,1121 2,3580 2,4763 2,4443 2,2716 1,9982 1,6738 1,3273 0,9604 0,5561 0,0932 -0,4256 -0,9557 -1,4357 -1,8344 -2,1712 -2,5044 -2,9096 -3,4438 -4,0942 -4,7621 -5,3186 -5,6856 -5,8631 -5,8992 -5,8536 -5,7841 -5,7466 -5,7843 -5,9046 -6,0710 -6,2280 -6,3381 -6,4101 -6,5003 -6,6708 -6,9291 -7,2014 -7,3675 -7,3274 -7,0479 -6,5743 -6,0095 -5,4634 -5,0072 -4,6613
Fz    0,4546 0,3624 0,2992 0,2673 0,2521 0,2434 0,2389 0,2319 0,2039 0,1400 0,0443 -0,0603 -0,1413 -0,1708 -0,1405 -0,0617 0,0470 0,1621 0,2505 0,2826 0,2504 0,1627 0,0328 -0,1156 -0,2417 -0,3026 -0,2789 -0,1842 -0,0549 0,0723 0,1747 0,2477 0,3008 0,3480 0,3968 0,4455 0,4877 0,5112 0,4951 0,4154 0,2629 0,0531 -0,1830 -0,4142 -0,6208 -0,7967 -0,9420 -1,0577 -1,1485 -1,2219 -1,2751 -1,2885 -1,2421 -1,1401 -1,0131 -0,8934 -0,7953 -0,7183 -0,6615 -0,6365 -0,6643 -0,7603 -0,9183 -1,1036 -1,2599 -1,3366 -1,3141 -1,1999 -1,0093 -0,7623 -0,4927 -0,2441 -0,0479 0,0922 0,1902 0,2504 0,2602 0,2091 0,1059 -0,0295 -0,1802 -0,3377 -0,5011 -0,6708 -0,8426 -1,0043 -1,1347 -1,2061 -1,1961 -1,1021 -0,9432 -0,7489 -0,5470 -0,3599 -0,2017 -0,0774 0,0193 0,1084 0,2139 0,3449 0,4911 0,6345 0,7579 0,8424 0,8622 0,7897 0,6119 0,3413 0,0099 -0,3439 -0,6855 -0,9943 -1,2658 -1,5001 -1,6938 -1,8456 -1,9625 -2,0525 -2,1092 -2,1114 -2,0439 -1,9185 -1,7678 -1,6205 -1,4836 -1,3445 -1,1874 -1,0120 -0,8423 -0,7110 -0,6299 -0,5809 -0,5351 -0,4748 -0,4019 -0,3272 -0,2476 -0,1349 0,0452 0,3063 0,6384 1,0231 1,4421 1,8764 2,3063 2,7194 3,1141 3,4900 3,8355 4,1361 4,3897 4,6088 4,8089 4,9949 5,1498 5,2361 5,2154 5,0698 4,8092 4,4656 4,0835 3,7070 3,3754 3,1204 2,9546 2,8631 2,8182 2,7999 2,8025 2,8321 2,9043 3,0358 3,2330 3,4876 3,7774 4,0716 4,3407 4,5644 4,7359 4,8665 4,9870 5,1306 5,3164 5,5484 5,8213 6,1190 6,4147 6,6765 6,8697 6,9628 6,9415 6,8160 6,6148 6,3740 6,1230 5,8721 5,6136 5,3304 5,0053 4,6309 4,2105 3,7506 3,2551 2,7284 2,1799 1,6217 1,0640 0,5126 -0,0250 -0,5325 -0,9917 -1,3988 -1,7734 -2,1511 -2,5597 -2,9924 -3,4060 -3,7482 -3,9869 -4,1165 -4,1470 -4,1002 -4,0212 -3,9749 -4,0179 -4,1685 -4,3952 -4,6316 -4,8124 -4,9031 -4,8973 -4,7937 -4,5815 -4,2432 -3,7741 -3,2074 -2,6133 -2,0662 -1,6130 -1,2685 -1,0157 -0,8083 -0,5919 -0,3358 -0,0432 0,2653 0,5688 0,8552 1,1245 1,3891 1,6721 2,0003 2,3915 2,8440 3,3369 3,8351 4,2951 4,6752 4,9491 5,1134 5,1893 5,2164 5,2364 5,2744 5,3305 5,3927 5,4603 5,5441 5,6425 5,7328 5,7898 5,7983 5,7495 5,6464 5,5107 5,3717 5,2486 5,1464 5,0589 4,9647 4,8307 4,6338 4,3824 4,1144 3,8753 3,6901 3,5556 3,4570 3,3849 3,3315 3,2838 3,2317 3,1736 3,1078 3,0195 2,8865 2,7020 2,4940 2,3153 2,2122 2,2057 2,2929 2,4567 2,6765 2,9372 3,2264 3,5258 3,8135 4,0802 4,3369 4,6026 4,8804 5,1497 5,3800 5,5534 5,6686 5,7316 5,7557 5,7658 5,7852 5,8199 5,8586 5,8877 5,9032 5,9117 5,9242 5,9454 5,9654 5,9562 5,8795 5,7064 5,4375 5,1100 4,7871 4,5324 4,3807 4,3325 4,3684 4,4584 4,5622 4,6411 4,6748 4,6724 4,6709 4,7168 4,8458 5,0722 5,3824 5,7310 6,0550 6,3073 6,4822 6,6142 6,7588 6,9669 7,2638 7,6408 8,0550 8,4414 8,7370 8,9051 8,9405 8,8614 8,6980 8,4853 8,2592 8,0568 7,9109 7,8323 7,7964 7,7553 7,6643 7,4985 7,2553 6,9518 6,6172 6,2729 5,9227 5,5624 5,1955 4,8439 4,5451 4,3293 4,1986 4,1313 4,1002 4,0798 4,0474 3,9955 3,9429 3,9173 3,9280 3,9615 3,9903 3,9800 3,9009 3,7465 3,5377 3,3063 3,0711 2,8387 2,6197 2,4349 2,3104 2,2715 2,3323 2,4837 2,6920 2,9081 3,0830 3,1885 3,2292 3,2365 3,2473 3,2866 3,3594 3,4509 3,5426 3,6322 3,7417 3,9002 4,1159 4,3678 4,6207 4,8484 5,0530 5,2627 5,5094 5,8011 6,1090 6,3863 6,6041 6,7628 6,8760 6,9607 7,0340 7,1009 7,1488 7,1603 7,1270 7,0476 6,9213 6,7497 6,5467 6,3433 6,1796 6,0910 6,0930 6,1732 6,2969 6,4256 6,5336 6,6108 6,6558 6,6735 6,6773 6,6880 6,7271 6,8119 6,9495 7,1309 7,3297 7,5136 7,6593 7,7531 7,7824 7,7412 7,6407 7,4975 7,3111 7,0643 6,7484 6,3791 5,9901 5,6230 5,3205 5,1043 4,9541 4,8144 4,6220 4,3287 3,9182 3,4116 2,8562 2,3048 1,8014 1,3746 1,0302 0,7484 0,4909 0,2230 -0,0641 -0,3506 -0,6020 -0,7833 -0,8690 -0,8511 -0,7476 -0,6044 -0,4766 -0,3981 -0,3610 -0,3211 -0,2254 -0,0385 0,2382 0,5623 0,8698 1,1056 1,2505 1,3365 1,4356 1,6236 1,9450 2,3977 2,9397 3,5127 4,0665 4,5717 5,0222 5,4326 5,8290 6,2379 6,6777 7,1511 7,6365 8,0990 8,5160 8,8826 9,1965 9,4542 9,6584 9,8125 9,9175 9,9824 10,0248 10,0516 10,0485 9,9936 9,8801 9,7195 9,5260 9,3043 9,0535 8,7819 8,5070 8,2399 7,9731 7,6891 7,3812 7,0609 6,7403 6,4122 6,0550 5,6501 5,1857 4,6551 4,0632 3,4281 2,7670 2,0826 1,3728 0,6601 -0,0009 -0,5607 -1,0112 -1,3822 -1,7138 -2,0453 -2,4163 -2,8639 -3,4131 -4,0638 -4,7788 -5,4878 -6,1218 -6,6518 -7,0923 -7,4738 -7,8166 -8,1270 -8,4073 -8,6607 -8,8895 -9,0961 -9,2855 -9,4625 -9,6249 -9,7557 -9,8216 -9,7843 -9,6143 -9,3000 -8,8555 -8,3237 -7,7710 -7,2603 -6,8094 -6,3786 -5,9050
F3    -0,3072 -0,4465 -0,4857 -0,4327 -0,3301 -0,2247 -0,1502 -0,1272 -0,1650 -0,2564 -0,3761 -0,4884 -0,5549 -0,5469 -0,4579 -0,2991 -0,0873 0,1513 0,3715 0,5229 0,5709 0,5051 0,3453 0,1470 -0,0144 -0,0795 -0,0304 0,1154 0,3239 0,5596 0,7906 0,9926 1,1550 1,2799 1,3715 1,4242 1,4228 1,3478 1,1780 0,9010 0,5307 0,1096 -0,3120 -0,6960 -1,0261 -1,3030 -1,5282 -1,6971 -1,8097 -1,8841 -1,9486 -2,0188 -2,0876 -2,1392 -2,1669 -2,1734 -2,1617 -2,1293 -2,0712 -1,9938 -1,9253 -1,9054 -1,9578 -2,0647 -2,1694 -2,2147 -2,1814 -2,0844 -1,9442 -1,7735 -1,5848 -1,3938 -1,2118 -1,0435 -0,8984 -0,8046 -0,7979 -0,8877 -1,0413 -1,2084 -1,3556 -1,4752 -1,5789 -1,6876 -1,8150 -1,9493 -2,0493 -2,0654 -1,9653 -1,7459 -1,4275 -1,0411 -0,6197 -0,2018 0,1655 0,4370 0,5904 0,6408 0,6285 0,5867 0,5202 0,4117 0,2429 0,0131 -0,2633 -0,5761 -0,9243 -1,3020 -1,6832 -2,0273 -2,3035 -2,5115 -2,6765 -2,8244 -2,9636 -3,0885 -3,1925 -3,2690 -3,3047 -3,2869 -3,2225 -3,1402 -3,0631 -2,9816 -2,8613 -2,6723 -2,4080 -2,0889 -1,7550 -1,4474 -1,1893 -0,9841 -0,8272 -0,7180 -0,6637 -0,6704 -0,7206 -0,7653 -0,7444 -0,6125 -0,3509 0,0309 0,5048 1,0401 1,6148 2,2173 2,8392 3,4576 4,0241 4,4825 4,7999 4,9816 5,0620 5,0770 5,0400 4,9384 4,7492 4,4576 4,0717 3,6311 3,1985 2,8338 2,5781 2,4515 2,4455 2,5163 2,6016 2,6467 2,6206 2,5185 2,3589 2,1777 2,0217 1,9386 1,9572 2,0664 2,2177 2,3521 2,4306 2,4549 2,4690 2,5292 2,6634 2,8564 3,0702 3,2718 3,4475 3,5942 3,7043 3,7644 3,7664 3,7115 3,6041 3,4424 3,2171 2,9191 2,5472 2,1142 1,6498 1,1973 0,7932 0,4424 0,1140 -0,2321 -0,6174 -1,0397 -1,4833 -1,9281 -2,3524 -2,7382 -3,0799 -3,3909 -3,6962 -4,0151 -4,3409 -4,6348 -4,8445 -4,9321 -4,8896 -4,7341 -4,4894 -4,1819 -3,8590 -3,5960 -3,4684 -3,5170 -3,7328 -4,0653 -4,4422 -4,7905 -5,0506 -5,1838 -5,1694 -4,9985 -4,6770 -4,2373 -3,7352 -3,2324 -2,7784 -2,3968 -2,0764 -1,7765 -1,4556 -1,0979 -0,7128 -0,3184 0,0693 0,4385 0,7842 1,1102 1,4292 1,7589 2,1094 2,4736 2,8283 3,1393 3,3684 3,4900 3,5100 3,4691 3,4260 3,4320 3,5116 3,6500 3,7952 3,8886 3,9055 3,8688 3,8235 3,8054 3,8265 3,8718 3,9041 3,8803 3,7741 3,5855 3,3346 3,0527 2,7735 2,5221 2,3134 2,1585 2,0710 2,0613 2,1192 2,2007 2,2446 2,2093 2,0902 1,9051 1,6768 1,4291 1,1873 0,9699 0,7760 0,5873 0,3927 0,2105 0,0764 0,0135 0,0221 0,0929 0,2181 0,3929 0,6066 0,8316 1,0289 1,1749 1,2828 1,3966 1,5624 1,7997 2,0920 2,3987 2,6748 2,8852 3,0141 3,0745 3,1014 3,1258 3,1544 3,1770 3,1890 3,2020 3,2363 3,3086 3,4221 3,5609 3,6891 3,7563 3,7145 3,5469 3,2862 3,0034 2,7734 2,6447 2,6325 2,7260 2,8941 3,0907 3,2661 3,3833 3,4305 3,4213 3,3809 3,3339 3,3032 3,3079 3,3571 3,4531 3,6030 3,8188 4,1061 4,4533 4,8293 5,1884 5,4833 5,6760 5,7495 5,7189 5,6305 5,5368 5,4664 5,4152 5,3613 5,2901 5,2099 5,1416 5,0944 5,0509 4,9717 4,8150 4,5573 4,2089 3,8117 3,4170 3,0598 2,7566 2,5161 2,3408 2,2273 2,1705 2,1629 2,1917 2,2451 2,3150 2,3869 2,4336 2,4361 2,4097 2,3931 2,4169 2,4885 2,5902 2,6805 2,7135 2,6691 2,5620 2,4246 2,2840 2,1549 2,0471 1,9734 1,9450 1,9557 1,9730 1,9527 1,8657 1,7153 1,5348 1,3752 1,2918 1,3284 1,5019 1,7908 2,1340 2,4498 2,6710 2,7728 2,7745 2,7205 2,6583 2,6270 2,6525 2,7472 2,9124 3,1406 3,4137 3,7017 3,9628 4,1542 4,2488 4,2428 4,1526 4,0094 3,8490 3,6983 3,5766 3,5038 3,5012 3,5757 3,7083 3,8636 4,0117 4,1388 4,2399 4,3140 4,3593 4,3627 4,2995 4,1558 3,9487 3,7207 3,5116 3,3410 3,2130 3,1267 3,0789 3,0669 3,0910 3,1547 3,2612 3,4116 3,6078 3,8450 4,1001 4,3370 4,5232 4,6369 4,6609 4,5821 4,4030 4,1542 3,8885 3,6612 3,5103 3,4324 3,3733 3,2529 3,0046 2,5956 2,0288 1,3423 0,6044 -0,1076 -0,7353 -1,2518 -1,6559 -1,9617 -2,1961 -2,3906 -2,5647 -2,7140 -2,8152 -2,8385 -2,7624 -2,5886 -2,3458 -2,0747 -1,8104 -1,5782 -1,3965 -1,2736 -1,1991 -1,1397 -1,0554 -0,9264 -0,7627 -0,5911 -0,4321 -0,2812 -0,1145 0,0911 0,3479 0,6596 1,0223 1,4248 1,8518 2,2906 2,7368 3,1967 3,6828 4,2023 4,7515 5,3106 5,8336 6,2587 6,5446 6,6904 6,7215 6,6708 6,5722 6,4527 6,3242 6,1870 6,0362 5,8609 5,6443 5,3790 5,0822 4,7875 4,5245 4,3116 4,1629 4,0902 4,0919 4,1378 4,1717 4,1344 3,9897 3,7359 3,3941 2,9872 2,5338 2,0517 1,5516 1,0297 0,4792 -0,0957 -0,6840 -1,2758 -1,8563 -2,3921 -2,8378 -3,1623 -3,3637 -3,4678 -3,5270 -3,6146 -3,8021 -4,1300 -4,5941 -5,1530 -5,7427 -6,2931 -6,7540 -7,1242 -7,4491 -7,7815 -8,1385 -8,4964 -8,8189 -9,0859 -9,3048 -9,5066 -9,7289 -9,9956 -10,2986 -10,5849 -10,7722 -10,7942 -10,6293 -10,2902 -9,8068 -9,2245 -8,6056 -8,0058 -7,4389 -6,8762 -6,2903
F7    -0,8566 -0,8339 -0,8366 -0,8261 -0,7556 -0,6097 -0,4034 -0,1586 0,0868 0,2610 0,2886 0,1554 -0,0684 -0,2687 -0,3577 -0,3262 -0,2388 -0,1765 -0,1859 -0,2656 -0,3682 -0,4177 -0,3588 -0,1987 0,0159 0,2491 0,4868 0,7132 0,8950 0,9998 1,0294 1,0213 1,0073 0,9797 0,9038 0,7585 0,5569 0,3420 0,1761 0,1127 0,1528 0,2374 0,2891 0,2534 0,1087 -0,1385 -0,4534 -0,7731 -1,0276 -1,1762 -1,2319 -1,2494 -1,2854 -1,3659 -1,4872 -1,6364 -1,8005 -1,9592 -2,0872 -2,1678 -2,1956 -2,1703 -2,0954 -1,9818 -1,8524 -1,7323 -1,6306 -1,5357 -1,4233 -1,2610 -1,0203 -0,7046 -0,3560 -0,0231 0,2675 0,5112 0,7132 0,8769 0,9968 1,0633 1,0703 1,0151 0,9082 0,7902 0,7207 0,7397 0,8463 1,0127 1,2033 1,3772 1,4924 1,5246 1,4732 1,3529 1,1899 1,0209 0,8860 0,8206 0,8496 0,9816 1,2047 1,4834 1,7584 1,9635 2,0521 2,0157 1,8770 1,6537 1,3368 0,9241 0,4577 0,0034 -0,3916 -0,7164 -0,9910 -1,2474 -1,5098 -1,7787 -2,0234 -2,1922 -2,2450 -2,1820 -2,0368 -1,8488 -1,6449 -1,4377 -1,2321 -1,0381 -0,8756 -0,7603 -0,6820 -0,6051 -0,4885 -0,2976 -0,0061 0,3960 0,8995 1,4889 2,1476 2,8448 3,5306 4,1536 4,6786 5,0918 5,3991 5,6191 5,7722 5,8739 5,9357 5,9677 5,9737 5,9440 5,8605 5,7129 5,5031 5,2392 4,9419 4,6501 4,4025 4,2182 4,0976 4,0324 4,0105 4,0168 4,0283 4,0133 3,9437 3,8138 3,6444 3,4713 3,3269 3,2323 3,1995 3,2225 3,2684 3,2954 3,2858 3,2609 3,2641 3,3288 3,4625 3,6554 3,8913 4,1522 4,4186 4,6668 4,8682 4,9993 5,0528 5,0364 4,9571 4,8163 4,6241 4,4013 4,1542 3,8630 3,5003 3,0564 2,5500 2,0245 1,5310 1,1063 0,7663 0,5075 0,3023 0,1014 -0,1459 -0,4656 -0,8455 -1,2390 -1,5863 -1,8428 -1,9984 -2,0844 -2,1521 -2,2301 -2,3002 -2,3096 -2,2055 -1,9694 -1,6354 -1,2818 -1,0015 -0,8681 -0,9104 -1,1025 -1,3710 -1,6253 -1,7989 -1,8714 -1,8474 -1,7164 -1,4397 -0,9734 -0,3048 0,5230 1,4122 2,2449 2,9246 3,3939 3,6428 3,7135 3,6754 3,5791 3,4431 3,2824 3,1278 3,0159 2,9723 3,0024 3,0959 3,2408 3,4314 3,6637 3,9339 4,2394 4,5705 4,8988 5,1770 5,3541 5,4016 5,3369 5,2126 5,0705 4,9053 4,6858 4,4063 4,1069 3,8476 3,6740 3,6051 3,6314 3,7174 3,8205 3,9168 4,0029 4,0786 4,1350 4,1527 4,1043 3,9661 3,7381 3,4543 3,1735 2,9561 2,8348 2,7968 2,8004 2,8101 2,8112 2,8023 2,7869 2,7680 2,7421 2,6982 2,6259 2,5248 2,4077 2,2921 2,1886 2,1000 2,0282 1,9781 1,9553 1,9582 1,9721 1,9768 1,9680 1,9691 2,0154 2,1229 2,2677 2,3965 2,4688 2,4861 2,4800 2,4788 2,4903 2,5106 2,5400 2,5852 2,6555 2,7611 2,9102 3,1007 3,3138 3,5176 3,6746 3,7467 3,7017 3,5364 3,3001 3,0843 2,9717 2,9921 3,1158 3,2780 3,4102 3,4608 3,4116 3,2845 3,1268 2,9910 2,9256 2,9627 3,0990 3,2993 3,5218 3,7324 3,9001 3,9948 3,9930 3,8913 3,7172 3,5257 3,3804 3,3313 3,3952 3,5495 3,7394 3,8959 3,9623 3,9171 3,7781 3,5897 3,4061 3,2711 3,2012 3,1837 3,1897 3,1935 3,1905 3,2006 3,2416 3,2972 3,3245 3,2879 3,1789 3,0139 2,8199 2,6237 2,4554 2,3530 2,3473 2,4426 2,6136 2,8174 3,0148 3,1846 3,3185 3,4034 3,4139 3,3247 3,1312 2,8679 2,6051 2,4156 2,3423 2,3908 2,5388 2,7495 2,9806 3,1948 3,3685 3,4977 3,5948 3,6810 3,7788 3,9002 4,0379 4,1658 4,2550 4,2885 4,2582 4,1475 3,9312 3,6023 3,2044 2,8330 2,5947 2,5515 2,6972 2,9754 3,3125 3,6451 3,9393 4,1899 4,3990 4,5603 4,6568 4,6686 4,5825 4,3960 4,1251 3,8103 3,5064 3,2544 3,0675 2,9426 2,8622 2,7823 2,6473 2,4344 2,1815 1,9741 1,9033 2,0130 2,2684 2,5721 2,8201 2,9530 2,9721 2,9184 2,8376 2,7570 2,6883 2,6445 2,6542 2,7555 2,9647 3,2556 3,5756 3,8712 4,0880 4,1716 4,0961 3,8919 3,6402 3,4268 3,2896 3,2077 3,1393 3,0538 2,9308 2,7552 2,5327 2,2979 2,0936 1,9410 1,8340 1,7567 1,6890 1,5992 1,4534 1,2439 0,9997 0,7641 0,5581 0,3589 0,1110 -0,2331 -0,6709 -1,1481 -1,5974 -1,9669 -2,2176 -2,3161 -2,2509 -2,0541 -1,7892 -1,5048 -1,2035 -0,8611 -0,4686 -0,0469 0,3737 0,7754 1,1542 1,5117 1,8483 2,1655 2,4707 2,7689 3,0511 3,3035 3,5185 3,6880 3,8057 3,8886 3,9755 4,0926 4,2387 4,4021 4,5696 4,7264 4,8696 5,0210 5,2135 5,4597 5,7383 6,0090 6,2293 6,3590 6,3773 6,3046 6,1884 6,0636 5,9377 5,8006 5,6352 5,4286 5,1813 4,9050 4,6113 4,3089 4,0063 3,7142 3,4397 3,1782 2,9208 2,6626 2,3955 2,1063 1,7947 1,4866 1,2215 1,0287 0,9190 0,8856 0,9083 0,9631 1,0261 1,0664 1,0458 0,9375 0,7367 0,4499 0,0870 -0,3238 -0,7310 -1,0994 -1,4567 -1,8682 -2,3631 -2,9118 -3,4649 -3,9831 -4,4359 -4,7989 -5,0686 -5,2718 -5,4436 -5,5921 -5,6893 -5,6927 -5,5733 -5,3271 -4,9765 -4,5766 -4,2111 -3,9547 -3,8366 -3,8465 -3,9666 -4,1875 -4,4916 -4,8302 -5,1265 -5,3055 -5,3185
