Fp1   2,4565 2,1407 1,7201 1,2257 0,7001 0,1861 -0,2769 -0,6501 -0,8955 -0,9875 -0,9338 -0,7906 -0,6457 -0,5735 -0,6017 -0,7204 -0,9102 -1,1581 -1,4495 -1,7477 -1,9937 -2,1328 -2,1334 -1,9783 -1,6650 -1,2275 -0,7425 -0,2910 0,0793 0,3506 0,5086 0,5407 0,4538 0,2729 0,0280 -0,2401 -0,4764 -0,6264 -0,6469 -0,5055 -0,1912 0,2687 0,8063 1,3353 1,7819 2,1100 2,3341 2,5005 2,6419 2,7505 2,7981 2,7683 2,6757 2,5606 2,4709 2,4423 2,4784 2,5304 2,5133 2,3646 2,0949 1,7859 1,5403 1,4205 1,4213 1,4953 1,6010 1,7279 1,8798 2,0493 2,2138 2,3488 2,4348 2,4512 2,3647 2,1341 1,7395 1,2068 0,6057 0,0288 -0,4383 -0,7498 -0,9077 -0,9312 -0,8233 -0,5810 -0,2307 0,1667 0,5409 0,8331 1,0115 1,0878 1,1083 1,1093 1,0806 0,9728 0,7341 0,3479 -0,1581 -0,7332 -1,3256 -1,8907 -2,3965 -2,8266 -3,1804 -3,4713 -3,7215 -3,9540 -4,1846 -4,4068 -4,5833 -4,6696 -4,6527 -4,5571 -4,4143 -4,2357 -4,0093 -3,7194 -3,3776 -3,0335 -2,7471 -2,5523 -2,4365 -2,3471 -2,2255 -2,0426 -1,8130 -1,5821 -1,3918 -1,2487 -1,1268 -0,9961 -0,8438 -0,6746 -0,5003 -0,3345 -0,1910 -0,0701 0,0522 0,2143 0,4519 0,7847 1,2005 1,6511 2,0756 2,4339 2,7244 2,9773 3,2293 3,4995 3,7740 4,0061 4,1353 4,1188 3,9652 3,7464 3,5608 3,4767 3,5200 3,6949 3,9898 4,3693 4,7814 5,1879 5,5885 6,0085 6,4625 6,9367 7,4032 7,8382 8,2217 8,5283 8,7257 8,7832 8,6866 8,4597 8,1746 7,9215 7,7578 7,6856 7,6716 7,6801 7,6918 7,7086 7,7461 7,8130 7,8937 7,9490 7,9336 7,8209 7,6136 7,3280 6,9845 6,6131 6,2476 5,9179 5,6559 5,4953 5,4527 5,5115 5,6281 5,7538 5,8545 5,9102 5,9045 5,8270 5,6823 5,4943 5,3112 5,1898 5,1580 5,1898 5,2212 5,1911 5,0765 4,9070 4,7430 4,6285 4,5641 4,5203 4,4642 4,3727 4,2302 4,0369 3,8208 3,6274 3,4940 3,4292 3,4088 3,3908 3,3489 3,2926 3,2521 3,2404 3,2372 3,2082 3,1391 3,0568 3,0209 3,0875 3,2788 3,5795 3,9439 4,3091 4,6097 4,7877 4,8055 4,6646 4,4107 4,1166 3,8538 3,6654 3,5589 3,5226 3,5395 3,5898 3,6551 3,7245 3,7925 3,8555 3,9139 3,9758 4,0552 4,1595 4,2846 4,4357 4,6392 4,9090 5,2079 5,4666 5,6414 5,7428 5,8208 5,9233 6,0516 6,1652 6,2316 6,2506 6,2297 6,1600 6,0192 5,7867 5,4632 5,0792 4,6863 4,3473 4,1347 4,1168 4,3223 4,7174 5,2215 5,7447 6,2131 6,5764 6,8159 6,9411 6,9718 6,9339 6,8677 6,8186 6,8118 6,8398 6,8693 6,8641 6,8100 6,7222 6,6300 6,5622 6,5415 6,5827 6,6893 6,8452 7,0107 7,1455 7,2366 7,2814 7,2478 7,0781 6,7406 6,2692 5,7569 5,3170 5,0415 4,9712 5,0831 5,2991 5,5145 5,6493 5,6879 5,6643 5,6150 5,5530 5,4799 5,4023 5,3317 5,2677 5,1932 5,0978 5,0009 4,9369 4,9206 4,9415 4,9883 5,0617 5,1561 5,2434 5,2864 5,2595 5,1568 4,9885 4,7729 4,5345 4,3118 4,1545 4,0952 4,1227 4,1932 4,2694 4,3474 4,4549 4,6303 4,9007 5,2590 5,6559 6,0153 6,2716 6,4020 6,4296 6,3963 6,3317 6,2423 6,1200 5,9588 5,7717 5,5879 5,4324 5,3176 5,2539 5,2541 5,3315 5,5000 5,7614 6,0784 6,3724 6,5594 6,5911 6,4725 6,2554 6,0138 5,8113 5,6787 5,6048 5,5437 5,4481 5,3103 5,1711 5,0973 5,1427 5,3099 5,5435 5,7605 5,8825 5,8547 5,6639 5,3460 4,9731 4,6246 4,3577 4,1966 4,1460 4,2039 4,3538 4,5553 4,7552 4,9115 5,0073 5,0444 5,0358 5,0119 5,0171 5,0744 5,1518 5,1742 5,0672 4,7978 4,3928 3,9327 3,5273 3,2904 3,3119 3,6197 4,1536 4,7836 5,3699 5,8197 6,1031 6,2366 6,2649 6,2461 6,2324 6,2518 6,3027 6,3616 6,4028 6,4159 6,4048 6,3669 6,2838 6,1396 5,9380 5,6954 5,4209 5,1081 4,7466 4,3423 3,9215 3,5196 3,1721 2,9161 2,7901 2,8228 3,0212 3,3625 3,7884 4,2167 4,5699 4,7914 4,8445 4,7148 4,4186 4,0028 3,5356 3,0831 2,6873 2,3658 2,1255 1,9721 1,9073 1,9204 1,9820 2,0486 2,0781 2,0503 1,9823 1,9222 1,9165 1,9739 2,0571 2,1165 2,1377 2,1425 2,1441 2,1161 2,0095 1,7930 1,4747 1,0872 0,6707 0,2717 -0,0643 -0,3074 -0,4429 -0,4658 -0,3841 -0,2162 0,0233 0,3221 0,6548 0,9858 1,2877 1,5516 1,7800 1,9711 2,1127 2,1950 2,2265 2,2404 2,2841 2,3930 2,5744 2,8090 3,0595 3,2781 3,4197 3,4631 3,4120 3,2677 3,0183 2,6641 2,2387 1,7980 1,3880 1,0156 0,6470 0,2435 -0,1989 -0,6468 -1,0581 -1,4162 -1,7352 -2,0225 -2,2435 -2,3372 -2,2616 -2,0209 -1,6571 -1,2286 -0,7948 -0,4040 -0,0861 0,1446 0,2798 0,3115 0,2433 0,1093 -0,0332 -0,1444 -0,2315 -0,3310 -0,4613 -0,6002 -0,7113 -0,7797 -0,8097 -0,7950 -0,7135 -0,5520 -0,3282 -0,0923 0,1004 0,2208 0,2633 0,2177 0,0673 -0,1901 -0,5342 -0,9180 -1,2724 -1,5355 -1,6790 -1,6990 -1,5986 -1,3921 -1,1198 -0,8471 -0,6413 -0,5372 -0,5257 -0,5745 -0,6632 -0,7899 -0,9420 -1,0812 -1,1757 -1,2359 -1,3106 -1,4459 -1,6514 -1,9041 -2,1601
Fz    3,0598 2,7755 2,4132 1,9812 1,4942 0,9867 0,5076 0,0991 -0,2192 -0,4486 -0,5975 -0,6800 -0,7317 -0,8018 -0,9161 -1,0600 -1,2124 -1,3846 -1,6053 -1,8660 -2,1013 -2,2278 -2,1937 -1,9982 -1,6866 -1,3430 -1,0660 -0,9122 -0,8610 -0,8510 -0,8405 -0,8291 -0,8410 -0,9068 -1,0496 -1,2601 -1,4746 -1,5940 -1,5274 -1,2200 -0,6709 0,0589 0,8658 1,6468 2,3415 2,9558 3,5428 4,1480 4,7658 5,3351 5,7722 6,0174 6,0692 5,9806 5,8131 5,5998 5,3443 5,0199 4,5788 4,0093 3,3773 2,7883 2,3329 2,0711 2,0248 2,1683 2,4468 2,8066 3,2054 3,6130 4,0078 4,3607 4,6226 4,7357 4,6573 4,3714 3,8945 3,2779 2,5894 1,9008 1,3022 0,8954 0,7413 0,8251 1,0836 1,4495 1,8646 2,2751 2,6365 2,9148 3,0901 3,1728 3,1974 3,1762 3,0676 2,7954 2,2962 1,5643 0,6554 -0,3485 -1,3616 -2,2971 -3,0776 -3,6523 -4,0106 -4,1916 -4,2740 -4,3345 -4,4014 -4,4429 -4,4072 -4,2800 -4,0995 -3,9182 -3,7637 -3,6252 -3,4557 -3,2069 -2,8903 -2,5875 -2,3805 -2,2902 -2,2786 -2,2756 -2,2034 -2,0191 -1,7519 -1,4929 -1,3332 -1,3029 -1,3602 -1,4222 -1,4070 -1,2737 -1,0388 -0,7554 -0,4705 -0,1906 0,1180 0,4997 0,9796 1,5513 2,1769 2,8050 3,3985 3,9483 4,4639 4,9618 5,4589 5,9645 6,4696 6,9299 7,2550 7,3447 7,1700 6,8222 6,4682 6,2563 6,2612 6,4913 6,9109 7,4498 8,0234 8,5755 9,1134 9,6929 10,3641 11,1303 11,9520 12,7730 13,5294 14,1476 14,5550 14,6916 14,5223 14,0690 13,4420 12,8102 12,3108 11,9822 11,7854 11,6708 11,6146 11,6252 11,7337 11,9633 12,2907 12,6254 12,8328 12,8017 12,5007 11,9768 11,3257 10,6587 10,0684 9,6159 9,3447 9,2862 9,4365 9,7284 10,0399 10,2517 10,3075 10,2201 10,0371 9,8125 9,5917 9,4028 9,2594 9,1650 9,1025 9,0264 8,8787 8,6253 8,2882 7,9459 7,6811 7,5097 7,3654 7,1637 6,8726 6,5220 6,1631 5,8408 5,5965 5,4693 5,4777 5,6011 5,7814 5,9470 6,0473 6,0767 6,0663 6,0518 6,0424 6,0175 5,9523 5,8463 5,7308 5,6521 5,6501 5,7460 5,9372 6,1955 6,4680 6,6874 6,7994 6,7992 6,7398 6,6999 6,7322 6,8318 6,9478 7,0325 7,0824 7,1207 7,1498 7,1429 7,0759 6,9600 6,8480 6,8064 6,8769 7,0537 7,2844 7,4997 7,6670 7,8154 7,9939 8,2131 8,4495 8,6950 8,9610 9,2277 9,4202 9,4542 9,2932 8,9631 8,5304 8,0757 7,6665 7,3316 7,0557 6,8095 6,5896 6,4432 6,4624 6,7313 7,2581 7,9533 8,6801 9,3267 9,8388 10,2079 10,4429 10,5404 10,4809 10,2629 9,9284 9,5443 9,1644 8,8185 8,5308 8,3401 8,2933 8,4087 8,6564 8,9895 9,3797 9,8072 10,2318 10,5860 10,8001 10,8477 10,7658 10,6175 10,4379 10,2193 9,9386 9,5965 9,2380 8,9428 8,7958 8,8549 9,1214 9,5163 9,9038 10,1709 10,2945 10,3252 10,3195 10,3031 10,2839 10,2665 10,2521 10,2332 10,1922 10,1135 10,0063 9,8923 9,7642 9,5825 9,3239 9,0127 8,6980 8,4211 8,1968 8,0047 7,8073 7,5863 7,3510 7,1311 6,9810 6,9645 7,1071 7,3708 7,6867 8,0028 8,3030 8,5976 8,9141 9,2843 9,7186 10,1788 10,5824 10,8485 10,9505 10,9135 10,7702 10,5315 10,1952 9,7685 9,2835 8,7946 8,3615 8,0339 7,8551 7,8607 8,0520 8,3880 8,8239 9,3304 9,8573 10,3106 10,5958 10,6802 10,6118 10,4871 10,4040 10,4305 10,5873 10,8399 11,1037 11,2843 11,3443 11,3356 11,3634 11,5086 11,7657 12,0362 12,1855 12,1119 11,7871 11,2552 10,6031 9,9230 9,3027 8,8385 8,6201 8,6863 9,0043 9,4869 10,0196 10,4948 10,8488 11,0748 11,2018 11,2759 11,3589 11,5106 11,7418 11,9811 12,1047 12,0145 11,6975 11,2256 10,7083 10,2401 9,8971 9,7656 9,9217 10,3626 10,9729 11,5694 11,9913 12,1702 12,1384 11,9928 11,8484 11,7923 11,8513 11,9941 12,1667 12,3242 12,4297 12,4350 12,2861 11,9560 11,4667 10,8883 10,3137 9,8096 9,3787 8,9758 8,5621 8,1331 7,7004 7,2778 6,8836 6,5436 6,2967 6,1980 6,2968 6,6005 7,0584 7,5751 8,0376 8,3418 8,4230 8,2798 7,9675 7,5700 7,1665 6,8061 6,4987 6,2361 6,0270 5,8988 5,8550 5,8529 5,8395 5,7960 5,7452 5,7407 5,8432 6,0802 6,4145 6,7572 7,0215 7,1715 7,2235 7,2038 7,1106 6,9142 6,5848 6,1154 5,5345 4,9109 4,3338 3,8639 3,5014 3,2176 3,0149 2,9391 3,0345 3,3008 3,6929 4,1468 4,6022 5,0131 5,3487 5,5938 5,7455 5,8062 5,7765 5,6658 5,5166 5,4078 5,4190 5,5992 5,9631 6,4845 7,0768 7,6183 8,0222 8,2576 8,3021 8,1248 7,7277 7,1674 6,5276 5,8803 5,2504 4,6097 3,9244 3,2091 2,5300 1,9600 1,5274 1,2058 0,9540 0,7582 0,6400 0,6390 0,7844 1,0746 1,4793 1,9475 2,4160 2,8304 3,1687 3,4283 3,5882 3,6175 3,5290 3,3886 3,2585 3,1508 3,0411 2,9154 2,7951 2,7090 2,6482 2,5700 2,4581 2,3642 2,3694 2,5183 2,7970 3,1551 3,5423 3,9251 4,2726 4,5389 4,6731 4,6473 4,4771 4,2196 3,9433 3,7050 3,5535 3,5235 3,5985 3,6896 3,6773 3,4939 3,1794 2,8517 2,6184 2,5146 2,5124 2,5648 2,6238 2,6360 2,5471 2,3253 1,9898 1,6072 1,2513 0,9781
F3    1,8409 1,5154 1,0727 0,5295 -0,0748 -0,6840 -1,2400 -1,6982 -2,0303 -2,2202 -2,2636 -2,1847 -2,0507 -1,9456 -1,9146 -1,9365 -1,9589 -1,9606 -1,9655 -1,9874 -1,9881 -1,8996 -1,6737 -1,3048 -0,8343 -0,3509 0,0391 0,2785 0,3904 0,4359 0,4549 0,4522 0,4127 0,3084 0,1079 -0,1850 -0,4969 -0,7090 -0,7168 -0,4683 0,0256 0,6942 1,4336 2,1524 2,8100 3,4259 4,0540 4,7347 5,4520 6,1224 6,6333 6,9009 6,9089 6,7048 6,3602 5,9379 5,4823 5,0008 4,4575 3,8230 3,1294 2,4606 1,9099 1,5568 1,4428 1,5449 1,7886 2,0932 2,4012 2,6827 2,9261 3,1190 3,2329 3,2241 3,0476 2,6722 2,1019 1,3926 0,6352 -0,0710 -0,6216 -0,9241 -0,9457 -0,7325 -0,3708 0,0557 0,4763 0,8371 1,1125 1,3004 1,4130 1,4826 1,5504 1,6231 1,6494 1,5434 1,2318 0,6980 -0,0078 -0,8014 -1,5979 -2,3254 -2,9314 -3,3861 -3,6838 -3,8521 -3,9498 -4,0360 -4,1328 -4,2137 -4,2293 -4,1555 -4,0183 -3,8704 -3,7490 -3,6469 -3,5080 -3,2708 -2,9395 -2,5941 -2,3176 -2,1406 -2,0542 -2,0266 -2,0034 -1,9342 -1,8160 -1,7007 -1,6545 -1,7034 -1,8107 -1,9011 -1,9075 -1,8042 -1,6085 -1,3578 -1,0835 -0,7910 -0,4545 -0,0395 0,4713 1,0713 1,7317 2,4115 3,0778 3,7152 4,3192 4,8931 5,4455 5,9788 6,4783 6,9014 7,1735 7,2153 7,0087 6,6407 6,2634 6,0067 5,9302 6,0317 6,2717 6,5908 6,9265 7,2460 7,5780 7,9980 8,5666 9,2858 10,1110 10,9790 11,8134 12,5259 13,0387 13,3001 13,2828 13,0000 12,5302 11,9983 11,5087 11,0952 10,7371 10,4076 10,1140 9,9089 9,8658 10,0275 10,3621 10,7536 11,0446 11,1176 10,9471 10,5828 10,1143 9,6414 9,2424 8,9633 8,8310 8,8569 9,0199 9,2456 9,4196 9,4450 9,2942 9,0086 8,6604 8,3199 8,0373 7,8374 7,7240 7,6814 7,6683 7,6163 7,4520 7,1457 6,7496 6,3799 6,1437 6,0620 6,0596 6,0300 5,9117 5,7013 5,4184 5,0880 4,7543 4,4811 4,3226 4,2963 4,3811 4,5338 4,7109 4,8889 5,0644 5,2300 5,3526 5,3862 5,3076 5,1374 4,9314 4,7543 4,6540 4,6463 4,7150 4,8214 4,9150 4,9471 4,8936 4,7754 4,6557 4,6090 4,6817 4,8625 5,0867 5,2819 5,4155 5,4881 5,4924 5,4047 5,2103 4,9319 4,6371 4,4135 4,3258 4,3830 4,5345 4,7070 4,8638 5,0311 5,2558 5,5468 5,8759 6,2240 6,5962 6,9813 7,3180 7,5204 7,5365 7,3756 7,0889 6,7369 6,3658 5,9934 5,6159 5,2333 4,8693 4,5876 4,4895 4,6615 5,1056 5,7275 6,3911 6,9876 7,4673 7,8335 8,1121 8,3120 8,4116 8,3907 8,2635 8,0664 7,8240 7,5426 7,2349 6,9438 6,7360 6,6634 6,7306 6,9147 7,2026 7,5899 8,0501 8,5133 8,8810 9,0781 9,0898 8,9408 8,6541 8,2440 7,7351 7,1777 6,6511 6,2483 6,0452 6,0780 6,3309 6,7258 7,1371 7,4512 7,6247 7,6804 7,6604 7,5965 7,5117 7,4256 7,3508 7,2850 7,2067 7,0963 6,9668 6,8541 6,7710 6,6930 6,5959 6,4895 6,4029 6,3515 6,3209 6,2712 6,1624 5,9881 5,7784 5,5837 5,4680 5,4871 5,6433 5,8717 6,0846 6,2296 6,3100 6,3741 6,4960 6,7483 7,1674 7,7276 8,3391 8,8843 9,2772 9,4886 9,5244 9,3965 9,1130 8,6908 8,1711 7,6159 7,0898 6,6450 6,3241 6,1617 6,1663 6,3127 6,5717 6,9219 7,3124 7,6466 7,8349 7,8560 7,7640 7,6511 7,6043 7,6805 7,8947 8,2083 8,5295 8,7570 8,8515 8,8633 8,8921 9,0157 9,2323 9,4533 9,5504 9,4202 9,0257 8,4060 7,6527 6,8698 6,1550 5,6054 5,3105 5,3158 5,5941 6,0514 6,5588 6,9945 7,2856 7,4257 7,4551 7,4331 7,4359 7,5460 7,7957 8,1167 8,3689 8,4292 8,2556 7,8882 7,4117 6,9208 6,5235 6,3485 6,4914 6,9363 7,5425 8,1089 8,4704 8,5640 8,4360 8,2043 8,0087 7,9558 8,0776 8,3339 8,6499 8,9578 9,2041 9,3348 9,2976 9,0708 8,6850 8,2160 7,7486 7,3335 6,9663 6,6071 6,2239 5,8163 5,4091 5,0333 4,7130 4,4685 4,3348 4,3673 4,6138 5,0723 5,6697 6,2801 6,7585 6,9782 6,8722 6,4573 5,8197 5,0787 4,3478 3,7093 3,2068 2,8563 2,6659 2,6373 2,7434 2,9192 3,0893 3,2020 3,2439 3,2488 3,2906 3,4313 3,6601 3,8917 4,0307 4,0374 3,9336 3,7522 3,4876 3,1001 2,5615 1,8924 1,1615 0,4673 -0,0938 -0,4770 -0,7143 -0,8687 -0,9640 -0,9694 -0,8472 -0,5927 -0,2350 0,1835 0,6211 1,0383 1,3948 1,6555 1,7991 1,8218 1,7344 1,5669 1,3785 1,2503 1,2558 1,4409 1,8184 2,3531 2,9465 3,4735 3,8569 4,0822 4,1388 3,9918 3,6307 3,1096 2,5260 1,9669 1,4570 0,9527 0,3980 -0,2106 -0,8137 -1,3344 -1,7342 -2,0291 -2,2516 -2,4066 -2,4603 -2,3594 -2,0721 -1,6186 -1,0671 -0,5045 -0,0113 0,3574 0,5846 0,6787 0,6414 0,4726 0,2140 -0,0500 -0,2497 -0,3701 -0,4310 -0,4417 -0,3833 -0,2438 -0,0616 0,0908 0,1812 0,2595 0,4099 0,6774 1,0429 1,4480 1,8376 2,1798 2,4433 2,5763 2,5295 2,2964 1,9262 1,5026 1,1045 0,7848 0,5778 0,5012 0,5305 0,5813 0,5414 0,3433 0,0170 -0,3332 -0,6063 -0,7641 -0,8268 -0,8332 -0,8181 -0,8167 -0,8720 -1,0239 -1,2778 -1,5944 -1,9192 -2,2042
F7    0,3568 0,1770 -0,0047 -0,1743 -0,3192 -0,4322 -0,5224 -0,6153 -0,7302 -0,8600 -0,9780 -1,0635 -1,1212 -1,1635 -1,1856 -1,1771 -1,1533 -1,1626 -1,2554 -1,4304 -1,6252 -1,7651 -1,7974 -1,6808 -1,3885 -0,9460 -0,4341 0,0676 0,5254 0,9336 1,2709 1,4977 1,5883 1,5303 1,3008 0,8910 0,3601 -0,1624 -0,5327 -0,6507 -0,4923 -0,1114 0,3906 0,9129 1,3959 1,8373 2,2749 2,7426 3,2254 3,6564 3,9569 4,0741 3,9935 3,7466 3,4052 3,0570 2,7675 2,5383 2,3048 1,9945 1,5975 1,1865 0,8787 0,7660 0,8576 1,0815 1,3449 1,5861 1,7738 1,8872 1,9131 1,8523 1,7130 1,4950 1,1841 0,7697 0,2731 -0,2468 -0,7270 -1,1326 -1,4393 -1,6124 -1,6277 -1,4888 -1,2143 -0,8262 -0,3550 0,1559 0,6543 1,0914 1,4356 1,6782 1,8239 1,8673 1,7789 1,5168 1,0555 0,4129 -0,3519 -1,1653 -1,9551 -2,6531 -3,2053 -3,5846 -3,7971 -3,8842 -3,9094 -3,9245 -3,9450 -3,9557 -3,9302 -3,8547 -3,7419 -3,6136 -3,4727 -3,2980 -3,0559 -2,7261 -2,3355 -1,9502 -1,6252 -1,3823 -1,2301 -1,1658 -1,1577 -1,1606 -1,1571 -1,1669 -1,2111 -1,2812 -1,3465 -1,3776 -1,3548 -1,2681 -1,1271 -0,9605 -0,7870 -0,5914 -0,3386 -0,0100 0,3831 0,8225 1,2999 1,7992 2,2843 2,7186 3,0953 3,4418 3,7904 4,1438 4,4731 4,7354 4,8822 4,8669 4,6824 4,3965 4,1239 3,9585 3,9404 4,0669 4,3110 4,6326 4,9935 5,3870 5,8512 6,4252 7,0913 7,7823 8,4324 8,9953 9,4314 9,7106 9,8277 9,7921 9,6034 9,2626 8,8133 8,3508 7,9722 7,7201 7,5787 7,5114 7,4942 7,5275 7,6317 7,8253 8,0854 8,3276 8,4390 8,3518 8,0838 7,7198 7,3675 7,1196 7,0260 7,0921 7,2944 7,5904 7,9161 8,1877 8,3236 8,2878 8,1206 7,9162 7,7561 7,6642 7,6248 7,6216 7,6493 7,7005 7,7573 7,7929 7,7768 7,6898 7,5441 7,3846 7,2599 7,1816 7,1076 6,9710 6,7268 6,3714 5,9364 5,4886 5,1214 4,9055 4,8400 4,8642 4,9104 4,9429 4,9604 4,9806 5,0264 5,1056 5,1947 5,2491 5,2299 5,1226 4,9433 4,7346 4,5491 4,4241 4,3641 4,3468 4,3413 4,3168 4,2456 4,1246 3,9969 3,9287 3,9567 4,0598 4,1776 4,2489 4,2441 4,1659 4,0265 3,8419 3,6415 3,4710 3,3854 3,4324 3,6267 3,9295 4,2588 4,5383 4,7486 4,9265 5,1120 5,3043 5,4745 5,6164 5,7656 5,9530 6,1512 6,2917 6,3315 6,2881 6,2136 6,1492 6,0992 6,0286 5,8828 5,6242 5,2637 4,8794 4,6024 4,5616 4,8225 5,3596 6,0678 6,8076 7,4640 7,9758 8,3182 8,4677 8,3981 8,1202 7,7148 7,3060 6,9984 6,8399 6,8245 6,9115 7,0480 7,1907 7,3187 7,4321 7,5437 7,6619 7,7790 7,8672 7,8824 7,7927 7,6083 7,3618 7,0622 6,6917 6,2415 5,7380 5,2393 4,8153 4,5256 4,4034 4,4487 4,6250 4,8620 5,0829 5,2391 5,3146 5,3062 5,2154 5,0600 4,8804 4,7237 4,6044 4,4852 4,3190 4,1082 3,8998 3,7303 3,5965 3,4834 3,3968 3,3548 3,3617 3,4034 3,4594 3,5137 3,5635 3,6221 3,7110 3,8547 4,0755 4,3736 4,7067 5,0098 5,2379 5,3831 5,4623 5,5141 5,5997 5,7756 6,0484 6,3587 6,6220 6,7945 6,8947 6,9646 7,0258 7,0683 7,0646 6,9928 6,8563 6,6800 6,4892 6,3047 6,1488 6,0376 5,9770 5,9752 6,0428 6,1639 6,2804 6,3293 6,2989 6,2349 6,1924 6,1934 6,2302 6,2851 6,3291 6,3217 6,2412 6,1193 6,0330 6,0558 6,2033 6,4065 6,5447 6,5217 6,3058 5,9111 5,3684 4,7181 4,0170 3,3437 2,7919 2,4491 2,3657 2,5308 2,8703 3,2620 3,5735 3,7247 3,7234 3,6306 3,5070 3,4054 3,3810 3,4666 3,6363 3,8087 3,8910 3,8306 3,6453 3,4057 3,1822 3,0256 2,9863 3,1100 3,4027 3,8090 4,2204 4,5171 4,6309 4,5882 4,4959 4,4738 4,5886 4,8388 5,1790 5,5534 5,9219 6,2597 6,5357 6,7059 6,7330 6,6171 6,4056 6,1639 5,9295 5,6954 5,4363 5,1425 4,8283 4,5235 4,2569 4,0393 3,8683 3,7603 3,7662 3,9405 4,2912 4,7658 5,2769 5,7173 5,9674 5,9302 5,5795 4,9831 4,2795 3,6127 3,0692 2,6686 2,4002 2,2504 2,2021 2,2316 2,3057 2,3744 2,3820 2,3003 2,1500 1,9898 1,8751 1,8220 1,8051 1,7893 1,7654 1,7548 1,7722 1,7806 1,6963 1,4506 1,0394 0,5142 -0,0538 -0,5989 -1,0814 -1,4962 -1,8538 -2,1569 -2,3961 -2,5489 -2,5821 -2,4768 -2,2501 -1,9431 -1,5936 -1,2282 -0,8783 -0,5895 -0,4031 -0,3332 -0,3546 -0,3992 -0,3756 -0,2127 0,1122 0,5768 1,1247 1,6667 2,1022 2,3740 2,4851 2,4469 2,2474 1,8928 1,4448 0,9954 0,6122 0,2971 -0,0111 -0,3831 -0,8346 -1,3117 -1,7371 -2,0774 -2,3641 -2,6386 -2,8876 -3,0462 -3,0543 -2,8979 -2,6082 -2,2360 -1,8288 -1,4182 -1,0215 -0,6577 -0,3633 -0,1874 -0,1602 -0,2623 -0,4352 -0,6261 -0,8136 -0,9943 -1,1548 -1,2630 -1,2965 -1,2656 -1,1956 -1,0897 -0,9226 -0,6759 -0,3728 -0,0810 0,1258 0,2223 0,2347 0,1834 0,0540 -0,1694 -0,4737 -0,8220 -1,1673 -1,4664 -1,6922 -1,8310 -1,8758 -1,8363 -1,7539 -1,6962 -1,7188 -1,8202 -1,9464 -2,0419 -2,0953 -2,1378 -2,2041 -2,3055 -2,4463 -2,6520 -2,9571 -3,3608 -3,8149 -4,2540 -4,6145
