Fp1   0,7182 -0,0697 -0,5346 -0,6616 -0,4938 -0,1060 0,4192 1,0099 1,6118 2,1711 2,6085 2,8232 2,7424 2,3704 1,7822 1,0813 0,3730 -0,2435 -0,6882 -0,9158 -0,9149 -0,6857 -0,2498 0,3025 0,8156 1,1526 1,2696 1,1921 0,9502 0,5783 0,1500 -0,2357 -0,5012 -0,6150 -0,5901 -0,4678 -0,2913 -0,1032 0,0244 -0,0077 -0,2697 -0,7516 -1,3454 -1,8735 -2,1952 -2,3060 -2,3066 -2,2887 -2,2626 -2,1717 -1,9512 -1,5601 -0,9779 -0,2335 0,5489 1,1772 1,4713 1,3181 0,6895 -0,3580 -1,7030 -3,1865 -4,6246 -5,8182 -6,5823 -6,7840 -6,3593 -5,3356 -3,8911 -2,3765 -1,2271 -0,8019 -1,2363 -2,3826 -3,8915 -5,3967 -6,6634 -7,5858 -8,1007 -8,1650 -7,8087 -7,1697 -6,4602 -5,8798 -5,5200 -5,3482 -5,3033 -5,3991 -5,7234 -6,3493 -7,2458 -8,2585 -9,1655 -9,7671 -9,9649 -9,7788 -9,3094 -8,6972 -8,0922 -7,6112 -7,2966 -7,1222 -7,0394 -7,0096 -6,9943 -6,9420 -6,8165 -6,6378 -6,4700 -6,3742 -6,3703 -6,4219 -6,4674 -6,4562 -6,3307 -6,0117 -5,4533 -4,7085 -3,9201 -3,2410 -2,7503 -2,4110 -2,0838 -1,6127 -0,9477 -0,1934 0,4610 0,8359 0,7887 0,2276 -0,8267 -2,2075 -3,6866 -5,0811 -6,2639 -7,1440 -7,6827 -7,8887 -7,7878 -7,4087 -6,7767 -5,9191 -4,8859 -3,7687 -2,7111 -1,8960 -1,5066 -1,6847 -2,4631 -3,6960 -5,1066 -6,4446 -7,5857 -8,4913 -9,1145 -9,3711 -9,1847 -8,5394 -7,5010 -6,2118 -4,8548 -3,5965 -2,5466 -1,7657 -1,2983 -1,1586 -1,2852 -1,5660 -1,9123 -2,2697 -2,5807 -2,7983 -2,9330 -3,0375 -3,1168 -3,0725 -2,7618 -2,1260 -1,2648 -0,3886 0,3074 0,7391 0,9260 0,9081 0,6943 0,2969 -0,1915 -0,5767 -0,6543 -0,3536 0,2015 0,7695 1,1217 1,1399 0,8632 0,4617 0,1274 -0,0489 -0,1282 -0,2598 -0,5589 -1,0382 -1,6348 -2,2599 -2,8222 -3,2574 -3,5687 -3,8082 -4,0212 -4,2217 -4,3808 -4,4097 -4,1845 -3,6319 -2,7986 -1,8387 -0,9524 -0,3296 -0,0949 -0,2602 -0,7379 -1,4180 -2,2398 -3,2000 -4,3073 -5,5253 -6,7510 -7,8610 -8,7706 -9,4273 -9,7824 -9,8146 -9,5666 -9,1403 -8,6575 -8,2204 -7,8997 -7,7471 -7,7887 -7,9847 -8,2303 -8,4328 -8,5760 -8,7009 -8,8409 -8,9925 -9,1272 -9,2067 -9,2105 -9,1764 -9,1781 -9,2267 -9,2296 -9,0797 -8,7615 -8,3431 -7,8746 -7,3344 -6,7036 -6,0590 -5,5325 -5,2097 -5,1025 -5,1722 -5,3260 -5,4301 -5,3826 -5,1711 -4,8319 -4,3620 -3,6959 -2,7856 -1,6962 -0,6009 0,2928 0,7815 0,6993 0,0152 -1,0802 -2,2442 -3,1832 -3,7827 -4,0649 -4,0907 -3,9158 -3,5856 -3,1512 -2,7091 -2,4130 -2,4157 -2,7712 -3,3911 -4,1041 -4,7485 -5,1988 -5,3446 -5,1057 -4,4922 -3,6467 -2,8153 -2,2588 -2,1601 -2,5666 -3,3735 -4,3622 -5,2784 -5,9093 -6,1413 -5,9751 -5,4975 -4,8431 -4,1648 -3,5932 -3,1871 -2,9121 -2,6777 -2,4166 -2,1423 -1,9190 -1,7803 -1,6956 -1,6144 -1,5149 -1,3974 -1,2732 -1,1955 -1,2851 -1,6783 -2,4298 -3,4624 -4,5802 -5,5319 -6,1236 -6,3120 -6,1962 -5,9427 -5,6957 -5,4924 -5,2698 -4,9745 -4,6133 -4,1898 -3,6652 -3,0053 -2,2249 -1,3965 -0,6360 -0,0443 0,3611 0,6331 0,8063 0,8452 0,6844 0,2995 -0,2682 -0,9232 -1,5255 -1,9244 -2,0123 -1,7547 -1,2058 -0,5022 0,2065 0,8352 1,3590 1,7543 1,9902 2,0691 2,0339 1,9246 1,7393 1,4515 1,0872 0,7755 0,7023 1,0112 1,7287 2,7516 3,9089 5,0474 6,0635 6,8751 7,4165 7,6792 7,7275 7,6606 7,5564 7,4367 7,2874 7,1177 6,9964 7,0192 7,2337 7,6169 8,1327 8,7643 9,4725 10,1587 10,7021 11,0309 11,1518 11,1280 11,0439 10,9691 10,9281 10,9159 10,9543 11,0900 11,3229 11,5780 11,7493 11,7343 11,4643 10,9796 10,4571 10,0939 9,9600 9,9817 10,0356 10,0295 9,9282 9,7391 9,4841 9,1970 8,9351 8,7619 8,7157 8,7861 8,9062 8,9778 8,9241 8,7324 8,4430 8,0847 7,6307 7,0399 6,3489 5,7138 5,3441 5,3617 5,7067 6,1805 6,5851 6,8173 6,8592 6,7442 6,5472 6,3510 6,2061 6,1473 6,2250 6,4716 6,8281 7,1242 7,1601 6,8444 6,2740 5,6773 5,2761 5,1815 5,3525 5,6131 5,7529 5,6388 5,2237 4,5003 3,4788 2,1804 0,6666 -0,8931 -2,2184 -3,0274 -3,1617 -2,6416 -1,6536 -0,4844 0,5676 1,2791 1,5751 1,5367 1,3280 1,0969 0,9224 0,8262 0,8088 0,8702 1,0216 1,2901 1,6952 2,2152 2,7819 3,3144 3,7586 4,0888 4,2828 4,3153 4,1683 3,8318 3,3056 2,6193 1,8497 1,0973 0,4394 -0,0811 -0,4169 -0,4842 -0,1989 0,4212 1,1959 1,8455 2,1243 1,9287 1,3218 0,4633 -0,4844 -1,3864 -2,1203 -2,5998 -2,8275 -2,8896 -2,8747 -2,7976 -2,5939 -2,1925 -1,6017 -0,9201 -0,2721 0,2510 0,6169 0,8709 1,1333 1,5475 2,1950 3,0475 3,9964 4,9189 5,7182 6,3241 6,6848 6,7607 6,5078 5,8730 4,8444 3,5288 2,1736 1,0931 0,5519 0,6814 1,4417 2,6413 4,0310 5,4020 6,6194 7,6157 8,3749 8,8998 9,1926 9,2796 9,2357 9,1565 9,1082 9,1068 9,1340 9,1577 9,1275 8,9635 8,5777 7,9337 7,1009 6,2481 5,5731 5,2287 5,2818 5,6879 6,2863 6,8581 7,2239 7,3084 7,1511 6,8799 6,6461 6,5437 6,5693 6,6682 6,8259 7,0811 7,4420 7,8324 8,1420 8,2943 8,2454 7,9514 7,3757 6,5358 5,5475 4,6060 3,9092 3,5883 3,6769 4,1294
Fz    0,6392 0,1864 -0,1456 -0,3549 -0,4462 -0,4346 -0,3519 -0,2381 -0,1214 -0,0100 0,0921 0,1636 0,1739 0,1064 -0,0379 -0,2476 -0,4923 -0,7156 -0,8603 -0,9038 -0,8634 -0,7635 -0,6162 -0,4393 -0,2690 -0,1374 -0,0496 0,0055 0,0339 0,0421 0,0520 0,0901 0,1693 0,2884 0,4403 0,6141 0,7956 0,9619 1,0741 1,0870 0,9799 0,7686 0,4987 0,2374 0,0403 -0,0859 -0,1709 -0,2374 -0,2788 -0,2692 -0,1852 -0,0165 0,2387 0,5594 0,8729 1,0668 1,0455 0,7703 0,2582 -0,4355 -1,2339 -2,0518 -2,8025 -3,3958 -3,7463 -3,7963 -3,5342 -3,0045 -2,3180 -1,6496 -1,1974 -1,1099 -1,4257 -2,0646 -2,8753 -3,7108 -4,4839 -5,1574 -5,6959 -6,0544 -6,2115 -6,1960 -6,0785 -5,9387 -5,8332 -5,7899 -5,8341 -6,0044 -6,3351 -6,8163 -7,3717 -7,8800 -8,2190 -8,3030 -8,1046 -7,6602 -7,0568 -6,4065 -5,8144 -5,3495 -5,0335 -4,8520 -4,7757 -4,7767 -4,8294 -4,9081 -4,9912 -5,0699 -5,1488 -5,2387 -5,3441 -5,4505 -5,5234 -5,5212 -5,4012 -5,1244 -4,6795 -4,1095 -3,4986 -2,9288 -2,4438 -2,0407 -1,6773 -1,2971 -0,8708 -0,4232 -0,0197 0,2661 0,3655 0,2272 -0,1471 -0,6779 -1,2423 -1,7356 -2,0993 -2,3181 -2,4079 -2,3933 -2,2896 -2,1039 -1,8424 -1,5147 -1,1367 -0,7351 -0,3568 -0,0752 0,0158 -0,1748 -0,6816 -1,4362 -2,2949 -3,1214 -3,8341 -4,3912 -4,7601 -4,9044 -4,7932 -4,4199 -3,8155 -3,0438 -2,1792 -1,2864 -0,4249 0,3371 0,9262 1,2981 1,4702 1,5118 1,4950 1,4606 1,4211 1,3734 1,3036 1,2024 1,0997 1,0749 1,2125 1,5316 1,9612 2,3854 2,7186 2,9429 3,0835 3,1580 3,1491 3,0288 2,8111 2,5753 2,4237 2,4077 2,4915 2,5831 2,5959 2,4960 2,3164 2,1401 2,0518 2,0831 2,1892 2,2792 2,2792 2,1688 1,9646 1,6887 1,3635 1,0194 0,6861 0,3839 0,1248 -0,0818 -0,2186 -0,2523 -0,1441 0,1215 0,5148 0,9646 1,3743 1,6415 1,6903 1,5072 1,1415 0,6611 0,1010 -0,5450 -1,2901 -2,1167 -2,9660 -3,7615 -4,4404 -4,9566 -5,2732 -5,3748 -5,2847 -5,0590 -4,7698 -4,4893 -4,2742 -4,1579 -4,1424 -4,1860 -4,2191 -4,1962 -4,1353 -4,0971 -4,1297 -4,2352 -4,3777 -4,5038 -4,5750 -4,6030 -4,6353 -4,6913 -4,7325 -4,6990 -4,5577 -4,3102 -3,9689 -3,5404 -3,0476 -2,5571 -2,1517 -1,8749 -1,7096 -1,5954 -1,4512 -1,2027 -0,8181 -0,3223 0,2420 0,8680 1,5890 2,4253 3,3320 4,2066 4,9307 5,3931 5,5022 5,2351 4,6895 4,0567 3,5128 3,1354 2,9156 2,8179 2,8185 2,9121 3,0912 3,3148 3,4978 3,5459 3,4129 3,1319 2,7921 2,4868 2,2873 2,2501 2,4142 2,7699 3,2325 3,6553 3,8834 3,8144 3,4359 2,8241 2,1077 1,4270 0,9040 0,6106 0,5448 0,6419 0,8193 1,0159 1,1986 1,3539 1,4864 1,6168 1,7641 1,9274 2,0915 2,2470 2,3942 2,5270 2,6245 2,6716 2,6751 2,6426 2,5498 2,3467 1,9975 1,5117 0,9547 0,4349 0,0510 -0,1634 -0,2486 -0,2831 -0,3339 -0,4110 -0,4655 -0,4374 -0,2858 0,0174 0,4838 1,0928 1,7948 2,5200 3,1782 3,6843 4,0026 4,1495 4,1552 4,0327 3,7844 3,4277 3,0063 2,5844 2,2416 2,0610 2,1002 2,3685 2,8220 3,3763 3,9411 4,4548 4,8862 5,2137 5,4252 5,5337 5,5756 5,5849 5,5619 5,4722 5,2928 5,0594 4,8619 4,7949 4,9075 5,1798 5,5455 5,9420 6,3347 6,6943 6,9792 7,1582 7,2354 7,2413 7,2046 7,1351 7,0362 6,9338 6,8847 6,9495 7,1501 7,4604 7,8371 8,2405 8,6281 8,9521 9,1806 9,3153 9,3839 9,4182 9,4395 9,4523 9,4505 9,4397 9,4585 9,5572 9,7455 9,9754 10,1694 10,2504 10,1666 9,9303 9,6358 9,4054 9,3082 9,3358 9,4343 9,5393 9,5944 9,5587 9,4103 9,1604 8,8590 8,5755 8,3659 8,2497 8,2028 8,1696 8,0913 7,9363 7,7059 7,4089 7,0384 6,5879 6,0934 5,6517 5,3819 5,3503 5,5234 5,7968 6,0723 6,3041 6,4855 6,6247 6,7378 6,8380 6,9309 7,0317 7,1726 7,3733 7,5990 7,7516 7,7200 7,4547 7,0041 6,4833 6,0142 5,6789 5,4901 5,3862 5,2726 5,0755 4,7535 4,2905 3,6957 3,0006 2,2609 1,5752 1,0736 0,8620 0,9698 1,3410 1,8603 2,3958 2,8306 3,0841 3,1347 3,0234 2,8222 2,5965 2,3945 2,2583 2,2261 2,3194 2,5383 2,8614 3,2410 3,6076 3,8923 4,0477 4,0596 3,9436 3,7356 3,4813 3,2227 2,9844 2,7719 2,5796 2,3934 2,1887 1,9404 1,6464 1,3463 1,1164 1,0297 1,0979 1,2494 1,3619 1,3257 1,1017 0,7382 0,3290 -0,0453 -0,3336 -0,4998 -0,5267 -0,4353 -0,2724 -0,0701 0,1796 0,5113 0,9402 1,4223 1,8656 2,1864 2,3539 2,3918 2,3656 2,3622 2,4576 2,6844 3,0239 3,4246 3,8255 4,1700 4,4112 4,5177 4,4724 4,2598 3,8649 3,3014 2,6411 2,0103 1,5554 1,3988 1,6035 2,1499 2,9398 3,8355 4,7067 5,4587 6,0474 6,4808 6,7931 7,0121 7,1574 7,2587 7,3498 7,4405 7,5078 7,5157 7,4358 7,2532 6,9616 6,5603 6,0620 5,5050 4,9567 4,5003 4,2130 4,1371 4,2553 4,4914 4,7446 4,9277 4,9851 4,9028 4,7164 4,4988 4,3235 4,2288 4,2112 4,2496 4,3237 4,4075 4,4710 4,5007 4,5023 4,4683 4,3529 4,0920 3,6501 3,0624 2,4367 1,9125 1,6019 1,5480 1,7267
F3    0,0481 -0,3540 -0,5912 -0,6543 -0,5471 -0,3033 0,0027 0,2766 0,4544 0,5360 0,5593 0,5458 0,4814 0,3393 0,1056 -0,2102 -0,5662 -0,8869 -1,0961 -1,1626 -1,1079 -0,9676 -0,7607 -0,5036 -0,2316 0,0120 0,2055 0,3488 0,4395 0,4753 0,4724 0,4588 0,4560 0,4800 0,5405 0,6289 0,7161 0,7639 0,7335 0,6050 0,3966 0,1517 -0,0795 -0,2441 -0,3059 -0,2760 -0,2019 -0,1272 -0,0636 0,0077 0,1142 0,2753 0,4951 0,7440 0,9449 1,0033 0,8599 0,5081 -0,0280 -0,7114 -1,4882 -2,2787 -2,9792 -3,4767 -3,6744 -3,5252 -3,0607 -2,3890 -1,6614 -1,0369 -0,6567 -0,6180 -0,9452 -1,5794 -2,3986 -3,2676 -4,0881 -4,8054 -5,3833 -5,7940 -6,0270 -6,0924 -6,0166 -5,8358 -5,5929 -5,3461 -5,1723 -5,1476 -5,3223 -5,6985 -6,2139 -6,7539 -7,1917 -7,4240 -7,3932 -7,1004 -6,6077 -6,0174 -5,4354 -4,9450 -4,5944 -4,3894 -4,3014 -4,2921 -4,3307 -4,3952 -4,4781 -4,5927 -4,7621 -5,0046 -5,3182 -5,6590 -5,9408 -6,0724 -5,9860 -5,6361 -5,0149 -4,1825 -3,2625 -2,3936 -1,6770 -1,1429 -0,7428 -0,3821 0,0158 0,4553 0,8689 1,1562 1,2185 1,0002 0,5395 -0,0400 -0,6126 -1,1089 -1,5009 -1,7794 -1,9550 -2,0464 -2,0579 -1,9783 -1,8001 -1,5268 -1,1591 -0,6966 -0,1727 0,3160 0,6214 0,5966 0,1757 -0,5756 -1,5007 -2,4487 -3,3202 -4,0433 -4,5438 -4,7553 -4,6453 -4,2237 -3,5357 -2,6529 -1,6622 -0,6560 0,2694 1,0222 1,5436 1,8357 1,9620 2,0112 2,0458 2,0716 2,0519 1,9436 1,7231 1,4099 1,0897 0,8982 0,9474 1,2499 1,7103 2,1906 2,5883 2,8682 3,0438 3,1374 3,1496 3,0609 2,8738 2,6501 2,4862 2,4407 2,4917 2,5588 2,5551 2,4275 2,1850 1,9064 1,6969 1,6126 1,6140 1,5939 1,4594 1,1851 0,7953 0,3248 -0,1826 -0,6763 -1,1200 -1,4927 -1,7732 -1,9421 -1,9879 -1,9031 -1,6877 -1,3666 -0,9928 -0,6247 -0,3098 -0,0920 -0,0116 -0,0843 -0,2921 -0,6121 -1,0481 -1,6281 -2,3690 -3,2358 -4,1363 -4,9673 -5,6597 -6,1738 -6,4832 -6,5921 -6,5501 -6,4258 -6,2707 -6,1097 -5,9535 -5,8191 -5,7290 -5,6829 -5,6541 -5,6284 -5,6327 -5,7123 -5,8809 -6,1052 -6,3339 -6,5220 -6,6445 -6,7130 -6,7590 -6,7836 -6,7484 -6,6178 -6,3886 -6,0746 -5,6745 -5,1670 -4,5567 -3,9187 -3,3730 -3,0115 -2,8520 -2,8390 -2,8619 -2,7984 -2,5818 -2,2299 -1,7909 -1,2684 -0,6151 0,1999 1,1305 2,0651 2,8715 3,4187 3,5980 3,3777 2,8449 2,1769 1,5504 1,0675 0,7537 0,6010 0,5968 0,7270 0,9651 1,2575 1,5224 1,6754 1,6660 1,4995 1,2285 0,9247 0,6634 0,5155 0,5300 0,7025 0,9596 1,1804 1,2468 1,0873 0,7025 0,1660 -0,4168 -0,9528 -1,3738 -1,6415 -1,7559 -1,7477 -1,6517 -1,4919 -1,2897 -1,0701 -0,8534 -0,6494 -0,4658 -0,3116 -0,1847 -0,0666 0,0595 0,1832 0,2565 0,2216 0,0538 -0,2275 -0,5930 -1,0304 -1,5334 -2,0827 -2,6323 -3,1081 -3,4384 -3,5965 -3,6119 -3,5520 -3,4831 -3,4307 -3,3772 -3,2912 -3,1338 -2,8547 -2,4239 -1,8638 -1,2324 -0,5971 -0,0325 0,3951 0,6660 0,8037 0,8298 0,7377 0,5097 0,1488 -0,3098 -0,8059 -1,2594 -1,5798 -1,6963 -1,5909 -1,3043 -0,9117 -0,4787 -0,0404 0,3763 0,7285 0,9812 1,1403 1,2416 1,3141 1,3518 1,3149 1,1736 0,9580 0,7591 0,6818 0,7864 1,0564 1,4205 1,8130 2,2040 2,5730 2,8847 3,1095 3,2499 3,3400 3,4221 3,5170 3,6181 3,7200 3,8444 4,0286 4,2909 4,6207 4,9988 5,4035 5,7958 6,1202 6,3322 6,4202 6,4039 6,3161 6,1823 6,0179 5,8447 5,7058 5,6654 5,7802 6,0544 6,4195 6,7605 6,9626 6,9560 6,7576 6,4768 6,2539 6,1722 6,2237 6,3415 6,4528 6,5102 6,4828 6,3433 6,0934 5,7797 5,4671 5,2028 5,0003 4,8431 4,6995 4,5377 4,3396 4,1054 3,8407 3,5426 3,2106 2,8735 2,5982 2,4606 2,5010 2,7022 3,0050 3,3489 3,6925 4,0020 4,2522 4,4505 4,6340 4,8399 5,0891 5,3892 5,7232 6,0265 6,1898 6,1113 5,7617 5,2021 4,5454 3,9069 3,3789 3,0109 2,7877 2,6431 2,5051 2,3155 2,0311 1,6299 1,1159 0,5264 -0,0545 -0,5046 -0,7096 -0,6143 -0,2496 0,2792 0,8369 1,3061 1,6127 1,7321 1,6737 1,4610 1,1339 0,7630 0,4438 0,2619 0,2661 0,4652 0,8259 1,2724 1,7096 2,0585 2,2708 2,3202 2,2002 1,9383 1,6015 1,2664 0,9828 0,7658 0,6062 0,4799 0,3615 0,2371 0,0993 -0,0525 -0,1944 -0,2810 -0,2883 -0,2484 -0,2370 -0,3271 -0,5433 -0,8530 -1,2002 -1,5403 -1,8353 -2,0411 -2,1275 -2,1050 -2,0122 -1,8781 -1,6986 -1,4482 -1,1167 -0,7394 -0,3886 -0,1362 -0,0281 -0,0661 -0,1920 -0,3013 -0,2910 -0,1019 0,2710 0,7931 1,4005 2,0015 2,4938 2,7899 2,8273 2,5634 1,9902 1,1675 0,2392 -0,6032 -1,1920 -1,4295 -1,2835 -0,7821 -0,0208 0,8574 1,7067 2,4110 2,9086 3,2084 3,3662 3,4300 3,4238 3,3749 3,3187 3,2763 3,2450 3,2072 3,1350 2,9932 2,7491 2,3853 1,9054 1,3399 0,7553 0,2523 -0,0597 -0,1074 0,1031 0,4740 0,8542 1,0963 1,0942 0,8148 0,3283 -0,2064 -0,6149 -0,7883 -0,7209 -0,4834 -0,1718 0,1268 0,3539 0,4980 0,5823 0,6143 0,5514 0,3263 -0,0937 -0,6651 -1,2668 -1,7466 -1,9892 -1,9594 -1,6917
F7    -0,8847 -1,3091 -1,5836 -1,6772 -1,5779 -1,3015 -0,8873 -0,3900 0,1334 0,6270 1,0259 1,2620 1,2895 1,1012 0,7309 0,2485 -0,2561 -0,6979 -1,0130 -1,1686 -1,1676 -1,0372 -0,8143 -0,5427 -0,2653 -0,0147 0,1847 0,3152 0,3756 0,3853 0,3744 0,3692 0,3830 0,4055 0,4084 0,3737 0,3162 0,2762 0,2894 0,3606 0,4637 0,5650 0,6451 0,7054 0,7482 0,7488 0,6682 0,4954 0,2667 0,0464 -0,0992 -0,1246 -0,0241 0,1592 0,3476 0,4552 0,4119 0,1833 -0,2135 -0,7128 -1,2281 -1,6882 -2,0492 -2,2791 -2,3548 -2,2766 -2,0609 -1,7144 -1,2486 -0,7300 -0,2989 -0,1127 -0,2521 -0,6726 -1,2407 -1,8139 -2,3022 -2,6669 -2,8850 -2,9418 -2,8511 -2,6582 -2,4207 -2,1968 -2,0359 -1,9617 -1,9660 -2,0353 -2,1804 -2,4258 -2,7628 -3,1234 -3,4013 -3,5078 -3,4176 -3,1663 -2,8121 -2,4145 -2,0350 -1,7246 -1,5072 -1,3858 -1,3546 -1,3948 -1,4716 -1,5422 -1,5733 -1,5579 -1,5076 -1,4339 -1,3469 -1,2598 -1,1811 -1,0973 -0,9687 -0,7620 -0,4845 -0,1769 0,1212 0,3937 0,6502 0,9177 1,2287 1,5961 1,9872 2,3325 2,5691 2,6727 2,6560 2,5451 2,3575 2,1072 1,8253 1,5583 1,3516 1,2351 1,2139 1,2702 1,3680 1,4635 1,5403 1,6401 1,8302 2,1292 2,4812 2,7874 2,9434 2,8652 2,5193 1,9410 1,2171 0,4578 -0,2159 -0,6864 -0,8721 -0,7600 -0,4047 0,1058 0,6842 1,2609 1,7937 2,2680 2,6814 3,0227 3,2647 3,3868 3,4028 3,3599 3,3195 3,3397 3,4525 3,6466 3,8764 4,0906 4,2647 4,4192 4,5974 4,8213 5,0742 5,3115 5,4863 5,5764 5,5770 5,4663 5,2146 4,8350 4,4083 4,0557 3,8800 3,9056 4,0566 4,1991 4,2213 4,0886 3,8400 3,5472 3,2617 2,9873 2,6976 2,3695 1,9954 1,5781 1,1235 0,6320 0,0978 -0,4660 -1,0091 -1,4683 -1,8105 -2,0401 -2,1684 -2,1810 -2,0410 -1,7214 -1,2323 -0,6366 -0,0487 0,3996 0,6111 0,5514 0,2489 -0,2216 -0,7785 -1,3728 -1,9844 -2,5986 -3,1977 -3,7640 -4,2854 -4,7577 -5,1759 -5,5236 -5,7758 -5,9191 -5,9683 -5,9610 -5,9282 -5,8725 -5,7664 -5,5614 -5,2230 -4,7810 -4,3297 -3,9716 -3,7664 -3,7243 -3,8179 -3,9994 -4,2256 -4,4753 -4,7382 -4,9892 -5,1834 -5,2792 -5,2710 -5,1945 -5,0939 -4,9924 -4,9061 -4,8572 -4,8522 -4,8622 -4,8362 -4,7236 -4,4882 -4,1173 -3,6267 -3,0531 -2,4281 -1,7577 -1,0372 -0,2874 0,4290 1,0274 1,4270 1,5623 1,3941 0,9399 0,2991 -0,3807 -0,9741 -1,4125 -1,6760 -1,7821 -1,7694 -1,6756 -1,5402 -1,4298 -1,4403 -1,6407 -1,9986 -2,3839 -2,6604 -2,7624 -2,6925 -2,4804 -2,1576 -1,7623 -1,3534 -1,0143 -0,8400 -0,9053 -1,2293 -1,7599 -2,3902 -2,9917 -3,4528 -3,7164 -3,7907 -3,7266 -3,5912 -3,4568 -3,3877 -3,4188 -3,5374 -3,6849 -3,7858 -3,7978 -3,7364 -3,6414 -3,5379 -3,4409 -3,3619 -3,2858 -3,1700 -2,9812 -2,7282 -2,4741 -2,3265 -2,3869 -2,6784 -3,1226 -3,5964 -4,0070 -4,3217 -4,5609 -4,7731 -4,9896 -5,1916 -5,3310 -5,3711 -5,2990 -5,1158 -4,8312 -4,4656 -4,0537 -3,6400 -3,2680 -2,9659 -2,7397 -2,5854 -2,5178 -2,5753 -2,7828 -3,1194 -3,5233 -3,9111 -4,2020 -4,3464 -4,3423 -4,2361 -4,1053 -4,0157 -3,9896 -4,0155 -4,0708 -4,1341 -4,1976 -4,2807 -4,4256 -4,6695 -5,0089 -5,3805 -5,6774 -5,8028 -5,7179 -5,4577 -5,1146 -4,7929 -4,5593 -4,4253 -4,3706 -4,3676 -4,3841 -4,3845 -4,3407 -4,2430 -4,1007 -3,9295 -3,7368 -3,5185 -3,2667 -2,9841 -2,6916 -2,4220 -2,2073 -2,0646 -1,9875 -1,9520 -1,9289 -1,8883 -1,8065 -1,6849 -1,5618 -1,4948 -1,5207 -1,6177 -1,7077 -1,7078 -1,5802 -1,3421 -1,0529 -0,7951 -0,6333 -0,5790 -0,6073 -0,6933 -0,8150 -0,9421 -1,0573 -1,1758 -1,3207 -1,4876 -1,6414 -1,7352 -1,7314 -1,6230 -1,4397 -1,2351 -1,0760 -1,0261 -1,1179 -1,3406 -1,6640 -2,0668 -2,5317 -3,0148 -3,4207 -3,6240 -3,5448 -3,2070 -2,7087 -2,1531 -1,6170 -1,1471 -0,7553 -0,4249 -0,1358 0,1227 0,3600 0,5868 0,7944 0,9355 0,9401 0,7631 0,4182 -0,0233 -0,4564 -0,7779 -0,9276 -0,9217 -0,8541 -0,8443 -0,9740 -1,2655 -1,6929 -2,2072 -2,7721 -3,3596 -3,8979 -4,2684 -4,3820 -4,2365 -3,9096 -3,5207 -3,1900 -3,0099 -3,0294 -3,2355 -3,5444 -3,8320 -3,9912 -3,9773 -3,8072 -3,5210 -3,1622 -2,7816 -2,4268 -2,1228 -1,8780 -1,7018 -1,6051 -1,5903 -1,6523 -1,7926 -2,0274 -2,3760 -2,8305 -3,3402 -3,8342 -4,2622 -4,6178 -4,9220 -5,1759 -5,3323 -5,3182 -5,0881 -4,6705 -4,1753 -3,7463 -3,4999 -3,4895 -3,7012 -4,0695 -4,5055 -4,9167 -5,2160 -5,3489 -5,3236 -5,1947 -5,0134 -4,7957 -4,5302 -4,2102 -3,8637 -3,5560 -3,3601 -3,3145 -3,4015 -3,5598 -3,7151 -3,8067 -3,8047 -3,7135 -3,5663 -3,4149 -3,3092 -3,2744 -3,3015 -3,3608 -3,4430 -3,5821 -3,8173 -4,1445 -4,5092 -4,8263 -5,0115 -5,0175 -4,8509 -4,5637 -4,2314 -3,9303 -3,7137 -3,5968 -3,5640 -3,5916 -3,6563 -3,7250 -3,7543 -3,7224 -3,6627 -3,6451 -3,7158 -3,8643 -4,0517 -4,2638 -4,5331 -4,9052 -5,3816 -5,9070 -6,4048 -6,8096 -7,0840 -7,2329 -7,3001 -7,3417 -7,3985 -7,4797 -7,5545 -7,5650 -7,4649 -7,2531 -6,9734 -6,6842 -6,4218 -6,1965 -6,0156 -5,8815 -5,7744 -5,6729 -5,5934 -5,5821 -5,6787 -5,8870 -6,1617 -6,4215 -6,5904 -6,6335 -6,5612 -6,4141
