Fp1   -2,7495 -2,6657 -2,6763 -2,7259 -2,8076 -2,9512 -3,1706 -3,4272 -3,6570 -3,8160 -3,8872 -3,8667 -3,7455 -3,4831 -3,0119 -2,3071 -1,4382 -0,5332 0,2817 0,9123 1,3214 1,5532 1,7105 1,8915 2,1567 2,5236 2,9453 3,3164 3,5451 3,6062 3,5257 3,3511 3,1411 2,9580 2,8389 2,7590 2,6506 2,4692 2,2139 1,8905 1,4941 1,0320 0,5342 0,0387 -0,4077 -0,7381 -0,8835 -0,8198 -0,5946 -0,2973 -0,0021 0,2532 0,4493 0,5727 0,6261 0,6272 0,5904 0,5261 0,4471 0,3572 0,2487 0,1176 -0,0175 -0,1196 -0,1670 -0,1642 -0,1197 -0,0328 0,1070 0,3080 0,5671 0,8835 1,2772 1,7688 2,3293 2,8779 3,3376 3,6748 3,9068 4,0928 4,2958 4,5381 4,7942 5,0205 5,1790 5,2286 5,1243 4,8535 4,4632 4,0363 3,6540 3,3711 3,1965 3,0833 2,9470 2,6994 2,2846 1,7163 1,0913 0,5495 0,2014 0,0687 0,0750 0,0982 0,0470 -0,0838 -0,2104 -0,2210 -0,0605 0,2513 0,6735 1,1804 1,7548 2,3833 3,0473 3,7088 4,3205 4,8480 5,2818 5,6399 5,9612 6,2945 6,6906 7,1813 7,7385 8,2557 8,5877 8,6313 8,3976 8,0299 7,7419 7,7053 7,9671 8,4519 9,0278 9,5694 9,9884 10,2487 10,3706 10,4079 10,4062 10,3821 10,3401 10,3057 10,3432 10,5493 11,0105 11,7351 12,6185 13,4825 14,1700 14,6318 14,9137 15,0653 15,1055 15,0603 14,9787 14,8915 14,7750 14,5785 14,2777 13,8958 13,4955 13,1551 12,9345 12,8660 12,9674 13,2418 13,6512 14,0954 14,4389 14,5693 14,4358 14,0631 13,5417 12,9717 12,3931 11,7757 11,0619 10,2165 9,2703 8,3333 7,5461 6,9970 6,6834 6,5479 6,5315 6,5945 6,7219 6,9240 7,1983 7,4794 7,6508 7,6053 7,2917 6,7345 6,0260 5,2830 4,5910 3,9874 3,4948 3,1417 2,9376 2,8538 2,8402 2,8464 2,8306 2,7556 2,5842 2,2905 1,8789 1,3903 0,8951 0,4813 0,2416 0,2316 0,4186 0,6970 0,9762 1,2397 1,5116 1,7966 2,0666 2,2717 2,3521 2,2784 2,0903 1,8744 1,7063 1,6104 1,5519 1,4676 1,3189 1,1222 0,9381 0,8253 0,7859 0,7561 0,6547 0,4379 0,1193 -0,2343 -0,5219 -0,6596 -0,6431 -0,5583 -0,5303 -0,6668 -1,0316 -1,6341 -2,4287 -3,3288 -4,2347 -5,0806 -5,8692 -6,6510 -7,4729 -8,3448 -9,2362 -10,0936 -10,8627 -11,4850 -11,8823 -11,9750 -11,7225 -11,1428 -10,3187 -9,4022 -8,5894 -8,0535 -7,8699 -7,9778 -8,2165 -8,4147 -8,4701 -8,3880 -8,2546 -8,1543 -8,1291 -8,2059 -8,4050 -8,7060 -9,0359 -9,3002 -9,4108 -9,2837 -8,8491 -8,1079 -7,1757 -6,2468 -5,5001 -5,0274 -4,8419 -4,9201 -5,2166 -5,6643 -6,1997 -6,7797 -7,3643 -7,8983 -8,3126 -8,5403 -8,5477 -8,3622 -8,0681 -7,7827 -7,6136 -7,6071 -7,7455 -8,0015 -8,3602 -8,7917 -9,2503 -9,7038 -10,1254 -10,4681 -10,6805 -10,7294 -10,5930 -10,2697 -9,8063 -9,2827 -8,7564 -8,2388 -7,7248 -7,2362 -6,8336 -6,5826 -6,5065 -6,5662 -6,6814 -6,7752 -6,8225 -6,8734 -7,0218 -7,3449 -7,8662 -8,5346 -9,2245 -9,7903 -10,1435 -10,2738 -10,2228 -10,0672 -9,8901 -9,7192 -9,5001 -9,1534 -8,6567 -8,0761 -7,5451 -7,2055 -7,1180 -7,2224 -7,3984 -7,5607 -7,6941 -7,8150 -7,9230 -8,0147 -8,1227 -8,3137 -8,6741 -9,2929 -10,1951 -11,2620 -12,2496 -12,9015 -13,0512 -12,6527 -11,7575 -10,4699 -8,9151 -7,2373 -5,6029 -4,1872 -3,1483 -2,5817 -2,4726 -2,7035 -3,1267 -3,6406 -4,2073 -4,8143 -5,4244 -5,9551 -6,2981 -6,3700 -6,1624 -5,7407 -5,1892 -4,5767 -3,9728 -3,4611 -3,1167 -2,9713 -2,9907 -3,0759 -3,1129 -3,0530 -2,9377 -2,8391 -2,7917 -2,7786 -2,7521 -2,6574 -2,4590 -2,1705 -1,8592 -1,6207 -1,5442 -1,6897 -2,0764 -2,6720 -3,3828 -4,0666 -4,5865 -4,8778 -4,9764 -4,9910 -5,0364 -5,1728 -5,3929 -5,6495 -5,8844 -6,0415 -6,0746 -5,9683 -5,7629 -5,5374 -5,3580 -5,2463 -5,1838 -5,1308 -5,0438 -4,8865 -4,6257 -4,2400 -3,7536 -3,2335 -2,7232 -2,2079 -1,6674 -1,1358 -0,7014 -0,4578 -0,4322 -0,5545 -0,7146 -0,8520 -0,9829 -1,1605 -1,4233 -1,7657 -2,1400 -2,4644 -2,6355 -2,5720 -2,2574 -1,7310 -1,0471 -0,2552 0,5848 1,3856 2,0368 2,4316 2,5114 2,2966 1,8582 1,2686 0,5980 -0,0624 -0,6197 -1,0337 -1,3357 -1,5854 -1,8229 -2,0616 -2,2947 -2,4882 -2,5756 -2,4887 -2,2150 -1,8184 -1,3923 -1,0046 -0,6834 -0,4358 -0,2727 -0,2063 -0,2293 -0,3035 -0,3596 -0,3158 -0,1182 0,2304 0,6655 1,0837 1,4022 1,6084 1,7507 1,8927 2,0659 2,2344 2,2966 2,1381 1,6949 0,9836 0,0911 -0,8519 -1,6962 -2,3052 -2,5970 -2,5806 -2,3605 -2,0836 -1,8552 -1,7065 -1,6340 -1,6436 -1,7375 -1,8596 -1,8897 -1,7293 -1,3831 -0,9479 -0,5383 -0,2312 -0,0653 -0,0560 -0,1813 -0,3744 -0,5602 -0,7021 -0,8009 -0,8484 -0,8108 -0,6636 -0,4269 -0,1603 0,0738 0,2379 0,3129 0,2827 0,1500 -0,0441 -0,2359 -0,3847 -0,4998 -0,6262 -0,8201 -1,1458 -1,6635 -2,3941 -3,2955 -4,2816 -5,2519 -6,1026 -6,7443 -7,1341 -7,2858 -7,2419 -7,0328 -6,6633 -6,1350 -5,4767 -4,7655 -4,1168 -3,6349 -3,3691 -3,2998 -3,3558 -3,4684 -3,6255 -3,8592 -4,1992 -4,6515 -5,1934 -5,7733 -6,3388 -6,8703 -7,3764 -7,8750 -8,3804 -8,8860 -9,3616 -9,7682 -10,0607 -10,1926 -10,1387 -9,9102 -9,5496 -9,1065 -8,6065 -8,0513 -7,4582 -6,8819 -6,3889 -6,0149 -5,7478
Fz    -2,4399 -2,4269 -2,4317 -2,4313 -2,4124 -2,3779 -2,3319 -2,2670 -2,1713 -2,0375 -1,8617 -1,6465 -1,4033 -1,1361 -0,8335 -0,4945 -0,1479 0,1655 0,4189 0,6040 0,7306 0,8294 0,9427 1,1019 1,3103 1,5380 1,7242 1,8021 1,7376 1,5458 1,2755 0,9922 0,7653 0,6509 0,6690 0,7931 0,9670 1,1363 1,2641 1,3274 1,3127 1,2190 1,0597 0,8569 0,6377 0,4347 0,2848 0,2160 0,2311 0,3071 0,4147 0,5356 0,6603 0,7798 0,8851 0,9698 1,0252 1,0404 1,0100 0,9395 0,8440 0,7430 0,6533 0,5808 0,5138 0,4315 0,3186 0,1708 -0,0026 -0,1779 -0,3260 -0,4212 -0,4448 -0,3935 -0,2893 -0,1695 -0,0628 0,0185 0,0707 0,0964 0,1089 0,1316 0,1872 0,2835 0,4101 0,5450 0,6700 0,7827 0,8939 1,0161 1,1583 1,3259 1,5131 1,6942 1,8223 1,8415 1,7112 1,4345 1,0633 0,6700 0,3107 0,0081 -0,2407 -0,4507 -0,6359 -0,7952 -0,9023 -0,9205 -0,8367 -0,6723 -0,4589 -0,2177 0,0388 0,2979 0,5418 0,7475 0,8966 0,9818 1,0050 0,9763 0,9174 0,8627 0,8538 0,9239 1,0771 1,2855 1,5073 1,7088 1,8747 2,0107 2,1390 2,2823 2,4478 2,6261 2,7986 2,9475 3,0649 3,1548 3,2265 3,2857 3,3271 3,3377 3,3174 3,2948 3,3185 3,4353 3,6700 4,0098 4,4044 4,7853 5,1048 5,3645 5,6007 5,8407 6,0853 6,3215 6,5321 6,6919 6,7683 6,7394 6,6130 6,4271 6,2346 6,0869 6,0185 6,0394 6,1407 6,3073 6,5205 6,7503 6,9507 7,0700 7,0696 6,9402 6,7042 6,3983 6,0521 5,6811 5,2902 4,8797 4,4535 4,0252 3,6144 3,2324 2,8734 2,5202 2,1617 1,8013 1,4540 1,1379 0,8654 0,6341 0,4270 0,2210 -0,0028 -0,2520 -0,5220 -0,8017 -1,0839 -1,3643 -1,6312 -1,8621 -2,0354 -2,1399 -2,1722 -2,1309 -2,0171 -1,8390 -1,6175 -1,3835 -1,1645 -0,9722 -0,7979 -0,6196 -0,4147 -0,1775 0,0678 0,2782 0,4260 0,5191 0,5843 0,6420 0,6979 0,7459 0,7699 0,7563 0,7117 0,6637 0,6451 0,6728 0,7362 0,8039 0,8445 0,8430 0,8043 0,7432 0,6684 0,5764 0,4588 0,3118 0,1401 -0,0425 -0,2125 -0,3482 -0,4517 -0,5564 -0,7089 -0,9484 -1,2916 -1,7249 -2,2064 -2,6816 -3,1054 -3,4643 -3,7805 -4,0908 -4,4190 -4,7645 -5,1080 -5,4259 -5,7006 -5,9166 -6,0549 -6,0984 -6,0412 -5,8930 -5,6802 -5,4443 -5,2323 -5,0846 -5,0164 -5,0013 -4,9776 -4,8812 -4,6822 -4,4062 -4,1216 -3,8996 -3,7812 -3,7732 -3,8583 -4,0015 -4,1582 -4,2881 -4,3623 -4,3546 -4,2400 -4,0198 -3,7405 -3,4787 -3,3020 -3,2399 -3,2848 -3,4121 -3,5945 -3,8065 -4,0287 -4,2469 -4,4414 -4,5800 -4,6299 -4,5746 -4,4212 -4,1968 -3,9433 -3,7138 -3,5621 -3,5239 -3,6053 -3,7924 -4,0599 -4,3706 -4,6855 -4,9808 -5,2467 -5,4719 -5,6405 -5,7347 -5,7328 -5,6191 -5,4086 -5,1501 -4,8974 -4,6857 -4,5320 -4,4477 -4,4435 -4,5222 -4,6677 -4,8435 -5,0053 -5,1176 -5,1666 -5,1695 -5,1694 -5,2131 -5,3280 -5,5142 -5,7463 -5,9861 -6,2025 -6,3784 -6,5043 -6,5778 -6,6023 -6,5733 -6,4700 -6,2681 -5,9659 -5,5987 -5,2282 -4,9138 -4,6782 -4,4958 -4,3189 -4,1169 -3,8974 -3,6944 -3,5405 -3,4549 -3,4524 -3,5495 -3,7587 -4,0792 -4,4810 -4,8904 -5,2059 -5,3427 -5,2715 -5,0218 -4,6539 -4,2214 -3,7584 -3,2964 -2,8790 -2,5526 -2,3467 -2,2607 -2,2631 -2,3035 -2,3397 -2,3581 -2,3713 -2,3983 -2,4463 -2,5047 -2,5503 -2,5600 -2,5232 -2,4437 -2,3270 -2,1768 -2,0034 -1,8291 -1,6831 -1,5920 -1,5702 -1,6085 -1,6810 -1,7700 -1,8780 -2,0124 -2,1680 -2,3247 -2,4564 -2,5426 -2,5769 -2,5701 -2,5481 -2,5432 -2,5808 -2,6716 -2,8137 -2,9981 -3,2037 -3,3900 -3,5061 -3,5161 -3,4199 -3,2564 -3,0815 -2,9416 -2,8579 -2,8289 -2,8418 -2,8802 -2,9268 -2,9715 -3,0243 -3,1115 -3,2494 -3,4258 -3,6081 -3,7651 -3,8795 -3,9468 -3,9662 -3,9388 -3,8765 -3,8030 -3,7350 -3,6715 -3,6122 -3,5785 -3,6103 -3,7437 -3,9832 -4,2922 -4,6187 -4,9294 -5,2196 -5,4949 -5,7520 -5,9749 -6,1442 -6,2422 -6,2500 -6,1535 -5,9528 -5,6626 -5,3049 -4,9011 -4,4712 -4,0401 -3,6392 -3,3017 -3,0489 -2,8794 -2,7742 -2,7130 -2,6831 -2,6783 -2,6997 -2,7554 -2,8545 -2,9923 -3,1470 -3,2939 -3,4190 -3,5154 -3,5712 -3,5727 -3,5181 -3,4226 -3,3070 -3,1863 -3,0645 -2,9349 -2,7898 -2,6261 -2,4387 -2,2139 -1,9349 -1,5937 -1,2025 -0,7962 -0,4268 -0,1486 0,0068 0,0512 0,0364 0,0251 0,0562 0,1235 0,1812 0,1702 0,0430 -0,2230 -0,6203 -1,1114 -1,6340 -2,1136 -2,4829 -2,7050 -2,7895 -2,7804 -2,7197 -2,6255 -2,5056 -2,3803 -2,2773 -2,2011 -2,1178 -1,9874 -1,8046 -1,6032 -1,4267 -1,3040 -1,2491 -1,2695 -1,3673 -1,5345 -1,7513 -1,9876 -2,2039 -2,3537 -2,3954 -2,3110 -2,1198 -1,8784 -1,6632 -1,5451 -1,5678 -1,7360 -2,0139 -2,3356 -2,6281 -2,8342 -2,9274 -2,9138 -2,8251 -2,7113 -2,6308 -2,6324 -2,7394 -2,9464 -3,2278 -3,5467 -3,8637 -4,1475 -4,3807 -4,5503 -4,6362 -4,6155 -4,4826 -4,2637 -4,0148 -3,8013 -3,6705 -3,6363 -3,6808 -3,7679 -3,8675 -3,9742 -4,1033 -4,2753 -4,5056 -4,7970 -5,1344 -5,4883 -5,8239 -6,1091 -6,3239 -6,4637 -6,5333 -6,5432 -6,5075 -6,4345 -6,3202 -6,1529 -5,9220 -5,6275 -5,2875 -4,9314 -4,5877 -4,2861 -4,0603 -3,9338 -3,9004 -3,9212
F3    -2,4152 -2,4260 -2,4368 -2,4336 -2,4263 -2,4393 -2,4851 -2,5470 -2,5915 -2,5879 -2,5155 -2,3697 -2,1617 -1,8981 -1,5690 -1,1753 -0,7514 -0,3442 0,0153 0,3155 0,5643 0,7948 1,0537 1,3705 1,7379 2,1115 2,4151 2,5634 2,5093 2,2681 1,9007 1,4899 1,1231 0,8714 0,7646 0,7794 0,8624 0,9701 1,0832 1,1897 1,2706 1,3045 1,2764 1,1790 1,0186 0,8238 0,6394 0,5024 0,4213 0,3836 0,3802 0,4122 0,4740 0,5442 0,5980 0,6175 0,5865 0,4988 0,3725 0,2464 0,1592 0,1318 0,1627 0,2300 0,2941 0,3137 0,2658 0,1492 -0,0165 -0,1932 -0,3328 -0,3879 -0,3214 -0,1219 0,1824 0,5361 0,8841 1,1826 1,4011 1,5322 1,5956 1,6243 1,6450 1,6678 1,6919 1,7124 1,7239 1,7275 1,7330 1,7530 1,8002 1,8862 2,0093 2,1395 2,2172 2,1727 1,9576 1,5761 1,0895 0,5855 0,1355 -0,2295 -0,5178 -0,7571 -0,9696 -1,1470 -1,2428 -1,1985 -0,9883 -0,6327 -0,1714 0,3574 0,9146 1,4598 1,9561 2,3712 2,6818 2,8792 2,9716 2,9867 2,9638 2,9431 2,9595 3,0343 3,1603 3,3000 3,4089 3,4638 3,4765 3,4876 3,5443 3,6690 3,8461 4,0384 4,2114 4,3448 4,4321 4,4795 4,5028 4,5192 4,5345 4,5394 4,5257 4,5131 4,5523 4,7024 5,0000 5,4317 5,9325 6,4169 6,8297 7,1779 7,5071 7,8451 8,1821 8,4963 8,7737 8,9960 9,1303 9,1504 9,0633 8,9042 8,7131 8,5224 8,3547 8,2237 8,1400 8,1149 8,1506 8,2235 8,2852 8,2845 8,1915 8,0147 7,7973 7,5838 7,3846 7,1733 6,9094 6,5623 6,1271 5,6301 5,1160 4,6229 4,1640 3,7333 3,3236 2,9346 2,5706 2,2369 1,9325 1,6404 1,3316 0,9810 0,5774 0,1304 -0,3293 -0,7652 -1,1550 -1,4941 -1,7785 -1,9966 -2,1437 -2,2325 -2,2786 -2,2874 -2,2586 -2,1979 -2,1251 -2,0672 -2,0392 -2,0322 -2,0164 -1,9560 -1,8247 -1,6256 -1,4030 -1,2172 -1,0972 -1,0239 -0,9662 -0,9160 -0,8874 -0,9027 -0,9841 -1,1350 -1,3269 -1,5129 -1,6536 -1,7317 -1,7546 -1,7443 -1,7195 -1,6862 -1,6401 -1,5799 -1,5241 -1,5107 -1,5738 -1,7188 -1,9188 -2,1278 -2,2951 -2,3848 -2,3986 -2,3781 -2,3822 -2,4639 -2,6585 -2,9758 -3,3968 -3,8767 -4,3606 -4,8140 -5,2460 -5,6947 -6,1885 -6,7195 -7,2468 -7,7173 -8,0857 -8,3168 -8,3807 -8,2611 -7,9712 -7,5575 -7,0916 -6,6541 -6,3131 -6,1071 -6,0310 -6,0312 -6,0232 -5,9304 -5,7209 -5,4283 -5,1394 -4,9413 -4,8750 -4,9312 -5,0719 -5,2456 -5,3980 -5,4871 -5,4922 -5,4031 -5,2135 -4,9393 -4,6351 -4,3759 -4,2156 -4,1616 -4,1842 -4,2438 -4,3075 -4,3570 -4,3957 -4,4441 -4,5159 -4,5976 -4,6540 -4,6511 -4,5736 -4,4287 -4,2421 -4,0588 -3,9366 -3,9191 -4,0136 -4,2025 -4,4602 -4,7540 -5,0507 -5,3308 -5,5839 -5,7927 -5,9339 -5,9863 -5,9286 -5,7494 -5,4718 -5,1520 -4,8425 -4,5677 -4,3359 -4,1605 -4,0618 -4,0505 -4,1109 -4,2008 -4,2733 -4,3024 -4,2963 -4,2946 -4,3491 -4,4975 -4,7492 -5,0787 -5,4281 -5,7307 -5,9443 -6,0600 -6,0876 -6,0444 -5,9481 -5,8010 -5,5858 -5,2887 -4,9260 -4,5491 -4,2250 -4,0037 -3,8853 -3,8177 -3,7388 -3,6250 -3,5022 -3,4104 -3,3652 -3,3632 -3,4133 -3,5415 -3,7749 -4,1265 -4,5738 -5,0408 -5,4162 -5,6035 -5,5603 -5,3021 -4,8794 -4,3450 -3,7419 -3,1177 -2,5383 -2,0784 -1,7966 -1,7066 -1,7602 -1,8634 -1,9260 -1,9078 -1,8260 -1,7226 -1,6262 -1,5349 -1,4255 -1,2758 -1,0839 -0,8671 -0,6442 -0,4295 -0,2432 -0,1126 -0,0632 -0,1080 -0,2348 -0,3973 -0,5321 -0,5995 -0,6063 -0,5841 -0,5577 -0,5359 -0,5166 -0,4895 -0,4433 -0,3769 -0,3041 -0,2464 -0,2245 -0,2576 -0,3670 -0,5697 -0,8538 -1,1654 -1,4313 -1,6045 -1,6937 -1,7563 -1,8593 -2,0401 -2,2909 -2,5705 -2,8274 -3,0166 -3,1079 -3,0966 -3,0160 -2,9251 -2,8739 -2,8800 -2,9321 -3,0027 -3,0586 -3,0683 -3,0069 -2,8633 -2,6536 -2,4201 -2,1995 -2,0022 -1,8290 -1,6961 -1,6414 -1,7086 -1,9124 -2,2146 -2,5474 -2,8574 -3,1272 -3,3660 -3,5880 -3,7980 -3,9892 -4,1412 -4,2168 -4,1774 -4,0114 -3,7435 -3,4147 -3,0581 -2,6934 -2,3376 -2,0131 -1,7448 -1,5461 -1,4096 -1,3204 -1,2756 -1,2792 -1,3222 -1,3822 -1,4462 -1,5238 -1,6298 -1,7625 -1,9087 -2,0599 -2,2094 -2,3384 -2,4182 -2,4290 -2,3725 -2,2626 -2,1124 -1,9303 -1,7233 -1,5051 -1,2933 -1,0960 -0,9066 -0,7113 -0,4994 -0,2748 -0,0573 0,1204 0,2212 0,2271 0,1621 0,0854 0,0603 0,1222 0,2579 0,4094 0,5020 0,4761 0,3001 -0,0305 -0,4952 -1,0440 -1,5992 -2,0759 -2,4184 -2,6255 -2,7354 -2,7835 -2,7808 -2,7289 -2,6417 -2,5408 -2,4251 -2,2602 -2,0162 -1,7088 -1,3955 -1,1392 -0,9830 -0,9514 -1,0584 -1,2984 -1,6376 -2,0238 -2,4035 -2,7291 -2,9522 -3,0268 -2,9308 -2,6871 -2,3606 -2,0340 -1,7823 -1,6555 -1,6694 -1,8012 -1,9997 -2,2085 -2,3906 -2,5378 -2,6606 -2,7787 -2,9221 -3,1272 -3,4166 -3,7841 -4,2029 -4,6424 -5,0708 -5,4539 -5,7623 -5,9789 -6,0923 -6,0848 -5,9368 -5,6485 -5,2579 -4,8386 -4,4786 -4,2431 -4,1514 -4,1795 -4,2786 -4,4066 -4,5535 -4,7409 -5,0032 -5,3673 -5,8289 -6,3391 -6,8236 -7,2207 -7,5027 -7,6738 -7,7534 -7,7598 -7,7112 -7,6306 -7,5365 -7,4328 -7,3095 -7,1503 -6,9457 -6,7041 -6,4439 -6,1811 -5,9382 -5,7532 -5,6639 -5,6797 -5,7723
F7    -1,6726 -1,7142 -1,7987 -1,8859 -1,9662 -2,0516 -2,1513 -2,2548 -2,3450 -2,4143 -2,4611 -2,4776 -2,4450 -2,3245 -2,0638 -1,6384 -1,0805 -0,4579 0,1578 0,7011 1,1259 1,4272 1,6412 1,8176 1,9999 2,2176 2,4668 2,7025 2,8729 2,9504 2,9306 2,8248 2,6572 2,4574 2,2410 1,9954 1,6971 1,3449 0,9647 0,5858 0,2250 -0,1105 -0,4189 -0,6991 -0,9357 -1,0923 -1,1274 -1,0262 -0,8204 -0,5707 -0,3284 -0,1187 0,0453 0,1535 0,2093 0,2273 0,2153 0,1737 0,1072 0,0232 -0,0728 -0,1739 -0,2644 -0,3229 -0,3429 -0,3393 -0,3283 -0,3145 -0,2933 -0,2581 -0,2001 -0,1001 0,0719 0,3364 0,6764 1,0388 1,3733 1,6573 1,8947 2,1084 2,3250 2,5525 2,7758 2,9708 3,1134 3,1746 3,1231 2,9467 2,6691 2,3395 2,0133 1,7362 1,5276 1,3677 1,2072 0,9956 0,7044 0,3412 -0,0459 -0,3811 -0,5931 -0,6533 -0,5918 -0,4790 -0,3870 -0,3504 -0,3499 -0,3374 -0,2811 -0,1816 -0,0482 0,1182 0,3256 0,5918 0,9299 1,3252 1,7400 2,1415 2,5212 2,8914 3,2690 3,6639 4,0793 4,5075 4,9145 5,2328 5,3838 5,3217 5,0680 4,7154 4,3932 4,2119 4,2177 4,3870 4,6563 4,9523 5,2076 5,3775 5,4574 5,4765 5,4715 5,4675 5,4802 5,5299 5,6536 5,9032 6,3228 6,9106 7,6030 8,2962 8,8942 9,3548 9,6838 9,8895 9,9746 9,9697 9,9403 9,9447 9,9946 10,0628 10,1147 10,1305 10,1136 10,0876 10,0812 10,1216 10,2338 10,4316 10,7011 10,9909 11,2242 11,3274 11,2537 11,0029 10,6274 10,2015 9,7712 9,3315 8,8462 8,2874 7,6718 7,0687 6,5657 6,2153 6,0077 5,8922 5,8189 5,7582 5,7010 5,6546 5,6227 5,5794 5,4746 5,2599 4,9101 4,4332 3,8724 3,2861 2,7178 2,1848 1,6979 1,2807 0,9572 0,7281 0,5709 0,4576 0,3687 0,2886 0,1921 0,0446 -0,1785 -0,4739 -0,8061 -1,1127 -1,3207 -1,3823 -1,3083 -1,1549 -0,9713 -0,7711 -0,5514 -0,3231 -0,1135 0,0408 0,1004 0,0488 -0,0810 -0,2193 -0,3062 -0,3295 -0,3244 -0,3400 -0,4012 -0,4952 -0,5800 -0,6121 -0,5801 -0,5153 -0,4674 -0,4734 -0,5430 -0,6556 -0,7647 -0,8232 -0,8184 -0,7837 -0,7797 -0,8676 -1,0913 -1,4629 -1,9590 -2,5280 -3,1102 -3,6657 -4,1915 -4,7056 -5,2189 -5,7240 -6,2025 -6,6354 -7,0087 -7,3022 -7,4769 -7,4887 -7,3162 -6,9728 -6,5060 -6,0006 -5,5655 -5,2941 -5,2208 -5,3029 -5,4428 -5,5380 -5,5295 -5,4275 -5,2924 -5,1819 -5,1248 -5,1381 -5,2328 -5,3975 -5,5899 -5,7500 -5,8135 -5,7160 -5,4067 -4,8859 -4,2302 -3,5665 -3,0129 -2,6380 -2,4627 -2,4813 -2,6662 -2,9663 -3,3235 -3,6929 -4,0457 -4,3616 -4,6181 -4,7856 -4,8414 -4,7927 -4,6804 -4,5670 -4,5094 -4,5280 -4,6046 -4,7158 -4,8504 -4,9973 -5,1448 -5,2932 -5,4494 -5,6086 -5,7517 -5,8515 -5,8766 -5,8090 -5,6649 -5,4828 -5,2865 -5,0704 -4,8204 -4,5420 -4,2700 -4,0486 -3,8997 -3,8101 -3,7501 -3,7005 -3,6690 -3,6940 -3,8268 -4,0982 -4,4974 -4,9654 -5,4054 -5,7235 -5,8750 -5,8752 -5,7788 -5,6598 -5,5823 -5,5556 -5,5217 -5,4062 -5,1817 -4,8888 -4,6149 -4,4527 -4,4440 -4,5496 -4,6814 -4,7663 -4,7802 -4,7333 -4,6421 -4,5302 -4,4377 -4,4159 -4,5239 -4,8226 -5,3335 -5,9922 -6,6594 -7,1830 -7,4517 -7,4141 -7,0701 -6,4531 -5,6187 -4,6456 -3,6358 -2,7069 -1,9728 -1,5111 -1,3312 -1,3730 -1,5460 -1,7777 -2,0320 -2,2954 -2,5499 -2,7584 -2,8714 -2,8524 -2,7036 -2,4636 -2,1789 -1,8864 -1,6209 -1,4230 -1,3287 -1,3512 -1,4670 -1,6166 -1,7345 -1,7908 -1,8003 -1,7873 -1,7540 -1,6828 -1,5510 -1,3389 -1,0428 -0,6904 -0,3423 -0,0729 0,0528 -0,0044 -0,2485 -0,6432 -1,1130 -1,5593 -1,8945 -2,0790 -2,1328 -2,1187 -2,1065 -2,1401 -2,2262 -2,3455 -2,4671 -2,5574 -2,5904 -2,5664 -2,5200 -2,4977 -2,5227 -2,5827 -2,6453 -2,6763 -2,6517 -2,5633 -2,4134 -2,2104 -1,9811 -1,7649 -1,5772 -1,3968 -1,2024 -1,0097 -0,8645 -0,8092 -0,8451 -0,9250 -0,9899 -1,0151 -1,0160 -1,0263 -1,0765 -1,1819 -1,3338 -1,4941 -1,6041 -1,6113 -1,4937 -1,2564 -0,9160 -0,4966 -0,0343 0,4191 0,7973 1,0295 1,0695 0,9224 0,6365 0,2702 -0,1198 -0,4753 -0,7471 -0,9183 -1,0091 -1,0528 -1,0703 -1,0658 -1,0340 -0,9610 -0,8280 -0,6268 -0,3799 -0,1377 0,0527 0,1737 0,2368 0,2645 0,2698 0,2524 0,2100 0,1527 0,1122 0,1306 0,2342 0,4183 0,6522 0,8899 1,0919 1,2443 1,3595 1,4598 1,5557 1,6262 1,6177 1,4695 1,1485 0,6694 0,0914 -0,4970 -0,9982 -1,3293 -1,4481 -1,3697 -1,1636 -0,9211 -0,7072 -0,5416 -0,4209 -0,3460 -0,3140 -0,2887 -0,2017 -0,0033 0,2957 0,6376 0,9623 1,2326 1,4248 1,5217 1,5272 1,4716 1,3894 1,2965 1,1953 1,0962 1,0233 0,9946 1,0018 1,0119 0,9923 0,9346 0,8513 0,7581 0,6709 0,6136 0,6128 0,6750 0,7681 0,8324 0,8066 0,6405 0,3042 -0,2009 -0,8382 -1,5489 -2,2662 -2,9214 -3,4567 -3,8438 -4,0892 -4,2176 -4,2487 -4,1838 -4,0116 -3,7256 -3,3473 -2,9323 -2,5486 -2,2504 -2,0610 -1,9707 -1,9601 -2,0286 -2,1882 -2,4379 -2,7586 -3,1230 -3,5035 -3,8824 -4,2587 -4,6406 -5,0365 -5,4483 -5,8599 -6,2342 -6,5262 -6,6937 -6,7098 -6,5781 -6,3337 -6,0293 -5,7139 -5,4127 -5,1244 -4,8441 -4,5848 -4,3707 -4,2150 -4,1105
