Fp1   2,5913 2,3376 2,0821 1,8587 1,7278 1,7472 1,9236 2,1973 2,4634 2,6084 2,5488 2,2541 1,7449 1,0838 0,3719 -0,2527 -0,6481 -0,7406 -0,5781 -0,2991 -0,0556 0,0465 -0,0219 -0,2099 -0,4248 -0,5877 -0,6712 -0,6954 -0,6908 -0,6741 -0,6599 -0,6643 -0,6854 -0,6984 -0,6763 -0,6069 -0,4959 -0,3665 -0,2578 -0,2156 -0,2728 -0,4396 -0,7145 -1,0954 -1,5654 -2,0727 -2,5371 -2,8833 -3,0649 -3,0648 -2,8942 -2,5848 -2,1693 -1,6777 -1,1578 -0,6714 -0,2520 0,1208 0,4917 0,8906 1,3209 1,7496 2,0949 2,2531 2,1617 1,8369 1,3615 0,8422 0,3748 0,0459 -0,0575 0,1154 0,5263 1,0434 1,4744 1,6063 1,2735 0,4577 -0,6669 -1,8070 -2,6862 -3,1365 -3,1173 -2,6983 -2,0238 -1,2550 -0,5256 0,0598 0,4208 0,5257 0,4057 0,1116 -0,3454 -1,0039 -1,9137 -3,0922 -4,4989 -6,0243 -7,4930 -8,7104 -9,5388 -9,9416 -9,9683 -9,7164 -9,2941 -8,7960 -8,2885 -7,7978 -7,3085 -6,7842 -6,1922 -5,5154 -4,7541 -3,9266 -3,0715 -2,2433 -1,4987 -0,8865 -0,4322 -0,1117 0,1559 0,4708 0,8982 1,4364 2,0270 2,5891 3,0453 3,3288 3,4060 3,3131 3,1565 3,0549 3,0815 3,2614 3,5882 4,0122 4,4297 4,7074 4,7152 4,3667 3,6656 2,7003 1,5757 0,3538 -0,9282 -2,1837 -3,2502 -3,9739 -4,3117 -4,3292 -4,1293 -3,8051 -3,4249 -3,0047 -2,4947 -1,8318 -1,0086 -0,0836 0,8511 1,6937 2,3570 2,8127 3,1183 3,3986 3,7801 4,3056 4,9012 5,4357 5,8156 6,0273 6,1223 6,1744 6,2245 6,2497 6,1867 5,9756 5,5857 5,0350 4,3919 3,7378 3,1132 2,5104 1,9125 1,3331 0,8200 0,4204 0,1402 -0,0493 -0,1647 -0,1938 -0,1363 -0,0483 -0,0279 -0,1433 -0,3743 -0,6304 -0,8206 -0,9032 -0,8952 -0,8509 -0,8292 -0,8747 -1,0060 -1,2061 -1,4352 -1,6636 -1,8803 -2,0728 -2,2143 -2,2714 -2,2107 -2,0048 -1,6395 -1,1205 -0,4747 0,2538 1,0213 1,7985 2,5533 3,2227 3,7197 3,9697 3,9381 3,6470 3,1810 2,6588 2,1830 1,8130 1,5714 1,4532 1,4352 1,4987 1,6412 1,8521 2,0911 2,3024 2,4439 2,4912 2,4215 2,2019 1,7933 1,1698 0,3532 -0,5639 -1,4323 -2,0981 -2,4680 -2,5354 -2,3552 -2,0034 -1,5490 -1,0372 -0,4961 0,0447 0,5470 0,9743 1,3046 1,5299 1,6394 1,6176 1,4730 1,2663 1,0901 1,0085 1,0199 1,0791 1,1491 1,2272 1,3360 1,4902 1,6734 1,8491 1,9859 2,0697 2,1069 2,1287 2,1781 2,2736 2,3835 2,4488 2,4332 2,3437 2,2190 2,1237 2,1504 2,3862 2,8553 3,4993 4,1982 4,7993 5,1664 5,2487 5,1008 4,8380 4,5824 4,4179 4,3487 4,3060 4,2166 4,0700 3,9243 3,8648 3,9356 4,0714 4,1155 3,9408 3,5376 2,9852 2,3998 1,9208 1,6781 1,7155 1,9430 2,1691 2,1999 1,9501 1,4855 0,9586 0,5006 0,1602 -0,0813 -0,2684 -0,4458 -0,6455 -0,8792 -1,1456 -1,4375 -1,7189 -1,8993 -1,8716 -1,6057 -1,1916 -0,7738 -0,4547 -0,2701 -0,2222 -0,2916 -0,4132 -0,4771 -0,3845 -0,0982 0,3633 0,9514 1,5968 2,2207 2,7631 3,2028 3,5476 3,8123 4,0110 4,1602 4,2836 4,4054 4,5425 4,7049 4,8823 5,0217 5,0531 4,9602 4,8143 4,7148 4,7044 4,7445 4,7480 4,6276 4,3448 3,9475 3,5548 3,2804 3,1605 3,1484 3,1676 3,1689 3,1501 3,1453 3,2105 3,3936 3,6866 4,0112 4,2632 4,3827 4,3953 4,3915 4,4508 4,5800 4,7216 4,8138 4,8460 4,8703 4,9630 5,1651 5,4435 5,7010 5,8341 5,7982 5,6291 5,4065 5,2134 5,1221 5,1817 5,3844 5,6476 5,8494 5,8990 5,7838 5,5643 5,3332 5,1781 5,1615 5,3047 5,5806 5,9236 6,2397 6,4269 6,4236 6,2554 6,0159 5,7883 5,5936 5,4202 5,2765 5,1928 5,1803 5,2095 5,2294 5,2004 5,1094 4,9689 4,8187 4,7259 4,7739 5,0274 5,4855 6,0609 6,6028 6,9529 7,0159 6,8003 6,4026 5,9616 5,6104 5,4326 5,4393 5,5789 5,7787 5,9937 6,2195 6,4671 6,7324 6,9744 7,1099 7,0406 6,7158 6,1923 5,6296 5,2065 5,0293 5,1062 5,3787 5,7629 6,1756 6,5359 6,7618 6,7963 6,6440 6,3708 6,0606 5,7659 5,4935 5,2327 4,9893 4,7691 4,5409 4,2517 3,8852 3,4742 3,0515 2,6146 2,1622 1,7458 1,4539 1,3361 1,3559 1,4179 1,4331 1,3540 1,1698 0,9014 0,6133 0,4110 0,3988 0,6194 1,0239 1,4965 1,9154 2,2066 2,3571 2,3934 2,3514 2,2572 2,1287 1,9879 1,8682 1,8138 1,8670 2,0323 2,2460 2,4034 2,4244 2,2886 2,0195 1,6585 1,2580 0,8890 0,6414 0,5877 0,7307 0,9943 1,2627 1,4265 1,4247 1,2757 1,0554 0,8299 0,6194 0,4278 0,2814 0,2264 0,2986 0,5057 0,8330 1,2461 1,6806 2,0543 2,3092 2,4351 2,4539 2,4032 2,3447 2,3691 2,5782 3,0453 3,7710 4,6634 5,5680 6,3326 6,8578 7,1059 7,0901 6,8671 6,5233 6,1424 5,7687 5,3978 4,9927 4,5050 3,9106 3,2555 2,6556 2,2259 2,0118 1,9926 2,1177 2,3065 2,4409 2,3957 2,0927 1,5421 0,8539 0,2018 -0,2614 -0,4862 -0,5370 -0,5206 -0,5040 -0,4838 -0,4133 -0,2551 -0,0076 0,3140 0,6989 1,1361 1,6019 2,0510 2,4153 2,6188 2,6117 2,4038 2,0773 1,7632 1,5831 1,5915 1,7630 2,0198 2,2608 2,3926 2,3726 2,2366 2,0897 2,0571
Fz    2,1194 2,1851 2,1169 1,9236 1,6629 1,4022 1,1778 0,9894 0,8239 0,6728 0,5306 0,3863 0,2250 0,0377 -0,1643 -0,3443 -0,4573 -0,4781 -0,4150 -0,2993 -0,1702 -0,0639 -0,0013 0,0222 0,0301 0,0493 0,0999 0,1904 0,3143 0,4482 0,5535 0,5874 0,5237 0,3662 0,1467 -0,0873 -0,2914 -0,4366 -0,5127 -0,5308 -0,5224 -0,5305 -0,6075 -0,8129 -1,1803 -1,6711 -2,1708 -2,5442 -2,6959 -2,5974 -2,2820 -1,8215 -1,2939 -0,7641 -0,2873 0,0923 0,3685 0,5845 0,7996 1,0420 1,2978 1,5285 1,6852 1,7234 1,6213 1,3893 1,0647 0,7010 0,3608 0,1038 -0,0304 -0,0334 0,0744 0,2487 0,4237 0,5197 0,4700 0,2605 -0,0493 -0,3534 -0,5559 -0,6109 -0,5251 -0,3446 -0,1371 0,0312 0,1108 0,0654 -0,1351 -0,4996 -0,9972 -1,5724 -2,1837 -2,8228 -3,5021 -4,2337 -5,0088 -5,7843 -6,4838 -7,0207 -7,3306 -7,3941 -7,2430 -6,9515 -6,6108 -6,2952 -6,0375 -5,8260 -5,6249 -5,4043 -5,1590 -4,9068 -4,6717 -4,4637 -4,2705 -4,0686 -3,8403 -3,5892 -3,3456 -3,1446 -2,9938 -2,8683 -2,7397 -2,6046 -2,4777 -2,3685 -2,2758 -2,1970 -2,1211 -2,0143 -1,8233 -1,5033 -1,0507 -0,5060 0,0710 0,6243 1,1092 1,4871 1,7176 1,7601 1,5936 1,2379 0,7541 0,2213 -0,2906 -0,7204 -1,0026 -1,0810 -0,9418 -0,6239 -0,1997 0,2525 0,6710 1,0363 1,3827 1,7714 2,2420 2,7907 3,3840 3,9762 4,5102 4,9254 5,1863 5,3126 5,3778 5,4666 5,6235 5,8364 6,0582 6,2360 6,3252 6,2892 6,0989 5,7439 5,2439 4,6353 3,9507 3,2248 2,5116 1,8661 1,2982 0,7577 0,1772 -0,4661 -1,1336 -1,7625 -2,3089 -2,7470 -3,0448 -3,1697 -3,1264 -2,9870 -2,8799 -2,9271 -3,1697 -3,5449 -3,9314 -4,2183 -4,3537 -4,3543 -4,2861 -4,2345 -4,2675 -4,3985 -4,5782 -4,7319 -4,8038 -4,7682 -4,6140 -4,3374 -3,9492 -3,4765 -2,9569 -2,4328 -1,9441 -1,5139 -1,1356 -0,7792 -0,4175 -0,0452 0,3261 0,6758 0,9748 1,1916 1,3106 1,3419 1,3138 1,2559 1,1804 1,0764 0,9230 0,7121 0,4618 0,2024 -0,0481 -0,2863 -0,5031 -0,6763 -0,7933 -0,8712 -0,9538 -1,0890 -1,2933 -1,5303 -1,7335 -1,8548 -1,8941 -1,8908 -1,8996 -1,9661 -2,1074 -2,3061 -2,5258 -2,7282 -2,8764 -2,9414 -2,9132 -2,8047 -2,6509 -2,5058 -2,4281 -2,4521 -2,5660 -2,7177 -2,8368 -2,8547 -2,7196 -2,4135 -1,9632 -1,4336 -0,9070 -0,4598 -0,1427 0,0268 0,0594 -0,0123 -0,1393 -0,2727 -0,3855 -0,4693 -0,5077 -0,4708 -0,3467 -0,1519 0,0985 0,4098 0,7844 1,1999 1,6177 2,0035 2,3358 2,6064 2,8134 2,9545 3,0296 3,0479 3,0242 2,9756 2,9212 2,8738 2,8255 2,7492 2,6076 2,3568 1,9634 1,4483 0,9016 0,4296 0,0920 -0,1040 -0,1770 -0,1585 -0,0910 -0,0222 0,0085 -0,0104 -0,0564 -0,0944 -0,1075 -0,1041 -0,1088 -0,1542 -0,2734 -0,4793 -0,7535 -1,0605 -1,3690 -1,6552 -1,8883 -2,0307 -2,0536 -1,9439 -1,7039 -1,3651 -1,0031 -0,7206 -0,5935 -0,6146 -0,6915 -0,7038 -0,5606 -0,2253 0,2815 0,8876 1,4946 2,0151 2,4028 2,6638 2,8484 3,0246 3,2404 3,4965 3,7549 3,9738 4,1345 4,2354 4,2671 4,2115 4,0744 3,9071 3,7810 3,7414 3,7868 3,8734 3,9301 3,8875 3,7183 3,4602 3,1953 2,9990 2,8961 2,8532 2,8117 2,7323 2,6179 2,5053 2,4266 2,3768 2,3212 2,2315 2,1173 2,0361 2,0698 2,2695 2,6191 3,0498 3,4812 3,8612 4,1788 4,4440 4,6555 4,7882 4,8065 4,6879 4,4441 4,1280 3,8180 3,5878 3,4846 3,5210 3,6729 3,8815 4,0671 4,1613 4,1412 4,0400 3,9228 3,8542 3,8771 4,0015 4,2007 4,4182 4,5860 4,6547 4,6247 4,5454 4,4720 4,4227 4,3756 4,2962 4,1642 3,9845 3,7833 3,5942 3,4451 3,3539 3,3252 3,3554 3,4399 3,5708 3,7328 3,9117 4,0951 4,2614 4,3782 4,4205 4,3845 4,2849 4,1500 4,0142 3,9041 3,8297 3,7862 3,7612 3,7480 3,7638 3,8442 4,0150 4,2671 4,5507 4,7838 4,8808 4,7988 4,5763 4,3246 4,1634 4,1500 4,2610 4,4317 4,6076 4,7612 4,8705 4,9044 4,8378 4,6716 4,4318 4,1509 3,8492 3,5292 3,1824 2,8021 2,3769 1,8799 1,2936 0,6553 0,0568 -0,4129 -0,7209 -0,8845 -0,9288 -0,8686 -0,7328 -0,5902 -0,5338 -0,6334 -0,9040 -1,3103 -1,7804 -2,2146 -2,5127 -2,6234 -2,5775 -2,4735 -2,4285 -2,5248 -2,7801 -3,1450 -3,5264 -3,8295 -3,9972 -4,0153 -3,8941 -3,6525 -3,3115 -2,8956 -2,4489 -2,0419 -1,7368 -1,5458 -1,4303 -1,3374 -1,2311 -1,1019 -0,9593 -0,8134 -0,6596 -0,4830 -0,2798 -0,0660 0,1395 0,3342 0,5323 0,7446 0,9569 1,1366 1,2677 1,3756 1,5167 1,7499 2,1074 2,5700 3,0570 3,4525 3,6610 3,6547 3,4805 3,2295 2,9929 2,8318 2,7647 2,7766 2,8430 2,9479 3,0815 3,2311 3,3749 3,4802 3,5092 3,4299 3,2305 2,9236 2,5352 2,0979 1,6496 1,2200 0,8122 0,4098 0,0016 -0,4117 -0,8329 -1,2705 -1,7127 -2,1121 -2,4205 -2,6367 -2,8082 -2,9921 -3,2195 -3,4824 -3,7452 -3,9697 -4,1362 -4,2421 -4,2863 -4,2565 -4,1349 -3,9106 -3,5845 -3,1673 -2,6834 -2,1729 -1,6831 -1,2549 -0,9180 -0,6914 -0,5897 -0,6271 -0,8029 -1,0739 -1,3509 -1,5387 -1,5822 -1,4859 -1,3064 -1,1241 -1,0037 -0,9628 -0,9670 -0,9460 -0,8297
F3    1,7050 1,5706 1,4318 1,2864 1,1473 1,0339 0,9670 0,9659 1,0330 1,1306 1,1800 1,0951 0,8310 0,4166 -0,0501 -0,4419 -0,6555 -0,6584 -0,5049 -0,3021 -0,1500 -0,1046 -0,1786 -0,3516 -0,5681 -0,7384 -0,7648 -0,5864 -0,2115 0,2736 0,7279 1,0224 1,1104 1,0297 0,8464 0,6099 0,3500 0,0953 -0,1203 -0,2775 -0,3881 -0,4908 -0,6404 -0,8885 -1,2495 -1,6810 -2,1038 -2,4404 -2,6391 -2,6734 -2,5289 -2,2011 -1,7099 -1,1118 -0,4911 0,0702 0,5230 0,8698 1,1541 1,4224 1,6918 1,9486 2,1656 2,3208 2,4033 2,4093 2,3361 2,1797 1,9376 1,6265 1,2990 1,0357 0,9081 0,9285 1,0225 1,0535 0,8957 0,5057 -0,0471 -0,6097 -1,0247 -1,2140 -1,2003 -1,0579 -0,8584 -0,6505 -0,4611 -0,3009 -0,1707 -0,0595 0,0518 0,1709 0,2747 0,3097 0,2025 -0,1299 -0,7541 -1,6688 -2,7672 -3,8657 -4,7908 -5,4492 -5,8337 -5,9878 -5,9735 -5,8565 -5,6992 -5,5467 -5,4113 -5,2718 -5,0760 -4,7422 -4,1866 -3,3785 -2,3823 -1,3468 -0,4407 0,2167 0,5737 0,6278 0,4108 -0,0194 -0,5870 -1,2051 -1,7750 -2,1909 -2,3701 -2,2982 -2,0373 -1,6842 -1,3213 -0,9941 -0,7018 -0,3910 0,0097 0,5220 1,0972 1,6607 2,1475 2,5094 2,7191 2,7676 2,6515 2,3678 1,9323 1,4059 0,8867 0,4618 0,1763 0,0493 0,0925 0,2936 0,6076 0,9950 1,4593 2,0289 2,7174 3,5176 4,4103 5,3595 6,3014 7,1502 7,8224 8,2671 8,4817 8,4940 8,3285 8,0015 7,5478 7,0281 6,4963 5,9654 5,4076 4,7909 4,1217 3,4500 2,8275 2,2597 1,6984 1,0811 0,3858 -0,3390 -0,9963 -1,4992 -1,8205 -1,9980 -2,1012 -2,1865 -2,2716 -2,3446 -2,3911 -2,4092 -2,4038 -2,3705 -2,2988 -2,2086 -2,1808 -2,3308 -2,7345 -3,3668 -4,1092 -4,8199 -5,3942 -5,7788 -5,9642 -5,9794 -5,8732 -5,6851 -5,4327 -5,1209 -4,7464 -4,2921 -3,7331 -3,0584 -2,2870 -1,4713 -0,6877 -0,0159 0,4774 0,7500 0,8035 0,6962 0,5206 0,3562 0,2333 0,1268 -0,0171 -0,2357 -0,5285 -0,8710 -1,2280 -1,5467 -1,7575 -1,8042 -1,6685 -1,3647 -0,9360 -0,4698 -0,0882 0,0932 -0,0131 -0,4633 -1,2530 -2,2770 -3,3357 -4,2081 -4,7453 -4,9140 -4,7738 -4,4342 -4,0223 -3,6541 -3,4024 -3,2722 -3,2068 -3,1246 -2,9628 -2,7148 -2,4437 -2,2388 -2,1376 -2,0897 -2,0013 -1,8130 -1,5399 -1,2609 -1,0769 -1,0542 -1,1878 -1,4075 -1,6131 -1,7155 -1,6766 -1,5281 -1,3487 -1,2219 -1,1990 -1,2784 -1,4038 -1,4900 -1,4637 -1,2883 -0,9584 -0,4876 0,1026 0,7865 1,5182 2,2129 2,7573 3,0484 3,0448 2,8012 2,4503 2,1380 1,9547 1,8968 1,8802 1,8100 1,6490 1,4258 1,2005 1,0369 0,9775 1,0144 1,0961 1,1658 1,1778 1,0973 0,9141 0,6599 0,4019 0,2039 0,0738 -0,0436 -0,2121 -0,4488 -0,7263 -1,0139 -1,3054 -1,6098 -1,9222 -2,2128 -2,4531 -2,6461 -2,8211 -3,0082 -3,2087 -3,3668 -3,3689 -3,1019 -2,5468 -1,8324 -1,1828 -0,7931 -0,7422 -0,9896 -1,4073 -1,8176 -2,0509 -2,0075 -1,6775 -1,1202 -0,4408 0,2313 0,7770 1,1259 1,2770 1,2898 1,2510 1,2300 1,2447 1,2685 1,2797 1,3018 1,3924 1,5907 1,8876 2,2580 2,6907 3,1589 3,5791 3,8287 3,8115 3,5152 3,0201 2,4623 1,9818 1,6793 1,5861 1,6639 1,8265 1,9730 2,0268 1,9605 1,7908 1,5571 1,2955 1,0222 0,7429 0,4770 0,2669 0,1651 0,2084 0,3896 0,6477 0,8928 1,0511 1,1094 1,1310 1,2184 1,4276 1,7076 1,9270 1,9640 1,7806 1,4355 1,0450 0,7333 0,5944 0,6641 0,9136 1,2663 1,6255 1,9086 2,0806 2,1553 2,1528 2,0625 1,8571 1,5355 1,1444 0,7532 0,4082 0,1192 -0,1074 -0,2382 -0,2304 -0,0775 0,1760 0,4702 0,7771 1,1018 1,4466 1,7965 2,1360 2,4600 2,7452 2,9235 2,9167 2,7044 2,3500 1,9704 1,6776 1,5303 1,5109 1,5397 1,5199 1,3829 1,1207 0,7950 0,5136 0,3792 0,4432 0,6913 1,0751 1,5536 2,0989 2,6780 3,2422 3,7300 4,0758 4,2240 4,1559 3,9166 3,6094 3,3381 3,1520 3,0481 3,0048 2,9934 2,9706 2,8819 2,6803 2,3493 1,9163 1,4465 1,0194 0,6996 0,5208 0,4859 0,5700 0,7194 0,8633 0,9431 0,9346 0,8431 0,6728 0,3996 -0,0141 -0,5718 -1,2161 -1,8505 -2,3837 -2,7606 -2,9736 -3,0673 -3,1258 -3,2362 -3,4557 -3,7957 -4,2093 -4,5896 -4,8080 -4,7868 -4,5471 -4,1930 -3,8548 -3,6320 -3,5597 -3,6088 -3,7099 -3,7824 -3,7561 -3,5818 -3,2417 -2,7608 -2,2127 -1,6890 -1,2438 -0,8782 -0,5933 -0,4372 -0,4739 -0,6987 -0,9919 -1,1791 -1,1537 -0,9374 -0,6309 -0,3297 -0,0849 0,0897 0,1994 0,2649 0,3229 0,4164 0,5803 0,8359 1,1864 1,6027 2,0125 2,3150 2,4324 2,3575 2,1465 1,8698 1,5833 1,3433 1,2154 1,2502 1,4575 1,8030 2,2156 2,5938 2,8342 2,8767 2,7215 2,4033 1,9663 1,4628 0,9379 0,3980 -0,1968 -0,8900 -1,6806 -2,5155 -3,3158 -4,0027 -4,5184 -4,8338 -4,9324 -4,7957 -4,4267 -3,8929 -3,3335 -2,9213 -2,8001 -3,0161 -3,4879 -4,0504 -4,5478 -4,9008 -5,1024 -5,1691 -5,1141 -4,9532 -4,7106 -4,4161 -4,1103 -3,8536 -3,7174 -3,7513 -3,9443 -4,2083 -4,4063 -4,4162 -4,1867 -3,7514 -3,2039 -2,6545 -2,1959 -1,8932 -1,7838 -1,8684 -2,1095 -2,4372 -2,7552 -2,9565 -2,9508 -2,7019
F7    1,0975 1,1048 1,0075 0,8293 0,6085 0,3882 0,2026 0,0611 -0,0516 -0,1509 -0,2292 -0,2639 -0,2475 -0,1995 -0,1424 -0,0728 0,0347 0,1945 0,3890 0,5840 0,7563 0,8990 1,0149 1,1098 1,1877 1,2490 1,2910 1,3047 1,2702 1,1620 0,9618 0,6739 0,3292 -0,0302 -0,3673 -0,6539 -0,8732 -1,0255 -1,1265 -1,2017 -1,2748 -1,3560 -1,4422 -1,5263 -1,5911 -1,5995 -1,5060 -1,2862 -0,9528 -0,5403 -0,0841 0,3854 0,8402 1,2617 1,6416 1,9722 2,2443 2,4532 2,5952 2,6582 2,6344 2,5432 2,4270 2,3179 2,2207 2,1273 2,0338 1,9415 1,8554 1,7869 1,7485 1,7439 1,7633 1,7901 1,8108 1,8153 1,7930 1,7357 1,6474 1,5463 1,4557 1,3917 1,3568 1,3419 1,3306 1,2997 1,2226 1,0892 0,9247 0,7775 0,6850 0,6520 0,6582 0,6726 0,6595 0,5793 0,4015 0,1256 -0,2106 -0,5495 -0,8422 -1,0631 -1,2115 -1,3063 -1,3728 -1,4334 -1,5002 -1,5698 -1,6250 -1,6445 -1,6094 -1,5023 -1,3083 -1,0248 -0,6703 -0,2746 0,1386 0,5490 0,9228 1,2157 1,4022 1,4912 1,5119 1,4913 1,4463 1,3838 1,2952 1,1632 0,9916 0,8247 0,7260 0,7325 0,8276 0,9593 1,0794 1,1726 1,2640 1,3970 1,5970 1,8550 2,1396 2,4148 2,6521 2,8419 2,9997 3,1618 3,3685 3,6411 3,9686 4,3118 4,6223 4,8633 5,0227 5,1141 5,1698 5,2203 5,2719 5,3089 5,3153 5,2901 5,2440 5,1960 5,1688 5,1797 5,2382 5,3464 5,4943 5,6603 5,8191 5,9387 5,9743 5,8820 5,6429 5,2793 4,8461 4,4014 3,9759 3,5672 3,1550 2,7092 2,1943 1,5826 0,8764 0,1204 -0,6102 -1,2472 -1,7666 -2,1873 -2,5379 -2,8363 -3,0989 -3,3540 -3,6416 -3,9923 -4,4010 -4,8250 -5,2112 -5,5241 -5,7539 -5,9118 -6,0238 -6,1232 -6,2341 -6,3494 -6,4324 -6,4502 -6,4044 -6,3227 -6,2248 -6,0990 -5,9104 -5,6292 -5,2554 -4,8271 -4,4058 -4,0468 -3,7700 -3,5530 -3,3510 -3,1255 -2,8629 -2,5794 -2,3169 -2,1259 -2,0413 -2,0700 -2,1904 -2,3593 -2,5289 -2,6737 -2,8015 -2,9362 -3,0962 -3,2919 -3,5339 -3,8284 -4,1632 -4,5097 -4,8437 -5,1611 -5,4708 -5,7745 -6,0509 -6,2623 -6,3775 -6,3931 -6,3372 -6,2582 -6,2061 -6,2144 -6,2889 -6,4126 -6,5627 -6,7194 -6,8671 -6,9959 -7,0959 -7,1546 -7,1630 -7,1215 -7,0386 -6,9296 -6,8160 -6,7166 -6,6388 -6,5796 -6,5316 -6,4874 -6,4425 -6,3981 -6,3578 -6,3245 -6,3001 -6,2858 -6,2801 -6,2772 -6,2717 -6,2613 -6,2431 -6,2105 -6,1562 -6,0816 -6,0044 -5,9506 -5,9312 -5,9325 -5,9300 -5,9050 -5,8430 -5,7267 -5,5391 -5,2759 -4,9567 -4,6206 -4,3101 -4,0623 -3,9109 -3,8791 -3,9719 -4,1875 -4,5299 -4,9958 -5,5500 -6,1275 -6,6586 -7,0866 -7,3776 -7,5348 -7,5996 -7,6276 -7,6603 -7,7178 -7,8047 -7,9153 -8,0261 -8,0953 -8,0914 -8,0209 -7,9172 -7,8091 -7,7147 -7,6569 -7,6679 -7,7708 -7,9592 -8,1984 -8,4452 -8,6608 -8,8091 -8,8573 -8,7853 -8,5946 -8,3094 -7,9718 -7,6312 -7,3335 -7,1123 -6,9721 -6,8805 -6,7938 -6,6866 -6,5510 -6,3791 -6,1699 -5,9439 -5,7353 -5,5675 -5,4384 -5,3234 -5,1907 -5,0207 -4,8150 -4,5841 -4,3272 -4,0355 -3,7227 -3,4403 -3,2530 -3,1959 -3,2535 -3,3715 -3,4877 -3,5595 -3,5810 -3,5834 -3,6123 -3,6988 -3,8437 -4,0243 -4,2184 -4,4236 -4,6560 -4,9322 -5,2507 -5,5839 -5,8879 -6,1255 -6,2835 -6,3704 -6,4050 -6,4046 -6,3739 -6,3065 -6,1986 -6,0590 -5,9049 -5,7538 -5,6184 -5,5080 -5,4375 -5,4328 -5,5206 -5,7084 -5,9762 -6,2867 -6,6004 -6,8827 -7,1076 -7,2598 -7,3353 -7,3403 -7,2896 -7,2057 -7,1133 -7,0268 -6,9440 -6,8512 -6,7305 -6,5638 -6,3434 -6,0894 -5,8495 -5,6729 -5,5747 -5,5237 -5,4714 -5,3978 -5,3305 -5,3168 -5,3875 -5,5432 -5,7563 -5,9764 -6,1424 -6,2015 -6,1278 -5,9333 -5,6621 -5,3699 -5,1038 -4,8850 -4,6999 -4,5158 -4,3090 -4,0763 -3,8287 -3,5852 -3,3667 -3,1870 -3,0504 -2,9610 -2,9272 -2,9497 -3,0065 -3,0528 -3,0456 -2,9760 -2,8768 -2,7949 -2,7594 -2,7728 -2,8252 -2,9036 -2,9888 -3,0525 -3,0732 -3,0510 -3,0024 -2,9394 -2,8585 -2,7526 -2,6352 -2,5498 -2,5466 -2,6458 -2,8254 -3,0420 -3,2580 -3,4561 -3,6421 -3,8434 -4,1051 -4,4746 -4,9631 -5,5130 -6,0177 -6,3834 -6,5768 -6,6213 -6,5618 -6,4429 -6,3151 -6,2403 -6,2726 -6,4290 -6,6800 -6,9696 -7,2395 -7,4387 -7,5253 -7,4792 -7,3174 -7,0929 -6,8726 -6,7102 -6,6323 -6,6351 -6,6896 -6,7544 -6,7914 -6,7760 -6,7004 -6,5728 -6,4149 -6,2498 -6,0925 -5,9475 -5,8065 -5,6488 -5,4488 -5,1853 -4,8505 -4,4617 -4,0597 -3,6830 -3,3457 -3,0465 -2,7862 -2,5628 -2,3549 -2,1290 -1,8701 -1,6018 -1,3731 -1,2223 -1,1502 -1,1334 -1,1535 -1,2076 -1,2973 -1,4203 -1,5701 -1,7398 -1,9273 -2,1337 -2,3505 -2,5545 -2,7198 -2,8296 -2,8807 -2,8825 -2,8512 -2,8043 -2,7614 -2,7448 -2,7776 -2,8830 -3,0779 -3,3631 -3,7183 -4,1104 -4,5065 -4,8747 -5,1852 -5,4275 -5,6251 -5,8219 -6,0522 -6,3287 -6,6531 -7,0245 -7,4232 -7,7956 -8,0774 -8,2395 -8,2970 -8,2761 -8,1868 -8,0282 -7,8103 -7,5689 -7,3619 -7,2448 -7,2416 -7,3329 -7,4640 -7,5601 -7,5423 -7,3547 -6,9930 -6,5101 -5,9909 -5,5198 -5,1570 -4,9281 -4,8284 -4,8318 -4,8933 -4,9529 -4,9523 -4,8618 -4,6930 -4,4891 -4,3041 -4,1844 -4,1512 -4,1943 -4,2840 -4,3841 -4,4599
