Fp1   1,1837 1,1729 1,1632 1,1795 1,2201 1,2666 1,3005 1,3003 1,2390 1,0990 0,8860 0,6271 0,3478 0,0551 -0,2443 -0,5206 -0,7346 -0,8666 -0,9186 -0,8882 -0,7685 -0,5820 -0,3810 -0,2072 -0,0789 0,0032 0,0592 0,1143 0,1707 0,2062 0,1995 0,1437 0,0443 -0,0757 -0,1779 -0,2289 -0,2156 -0,1535 -0,0951 -0,1093 -0,2319 -0,4412 -0,6769 -0,8694 -0,9626 -0,9444 -0,8686 -0,8278 -0,8840 -1,0283 -1,1961 -1,3101 -1,3235 -1,2304 -1,0470 -0,8038 -0,5441 -0,3103 -0,1347 -0,0344 0,0058 0,0348 0,0966 0,1946 0,2950 0,3500 0,3261 0,2263 0,0815 -0,0770 -0,2167 -0,2880 -0,2474 -0,0999 0,1049 0,3135 0,4877 0,6025 0,6463 0,6199 0,5414 0,4472 0,3690 0,3193 0,2983 0,3033 0,3350 0,4059 0,5338 0,7115 0,8921 1,0304 1,1334 1,2481 1,4071 1,5961 1,7651 1,8721 1,9185 1,9356 1,9427 1,9410 1,9511 2,0323 2,2452 2,5910 3,0013 3,3951 3,7379 4,0471 4,3554 4,6609 4,8990 4,9714 4,8213 4,4774 4,0267 3,5555 3,1112 2,6990 2,3041 1,9156 1,5371 1,1909 0,9128 0,7292 0,6410 0,6399 0,7308 0,9287 1,2371 1,6241 2,0236 2,3748 2,6576 2,8797 3,0462 3,1515 3,1865 3,1423 3,0158 2,8202 2,5878 2,3620 2,1952 2,1489 2,2794 2,6152 3,1416 3,7986 4,4974 5,1492 5,6882 6,0861 6,3600 6,5676 6,7817 7,0467 7,3588 7,6898 8,0178 8,3416 8,6950 9,1418 9,7274 10,4357 11,1958 11,9182 12,5246 12,9618 13,2087 13,2812 13,2248 13,0864 12,8929 12,6548 12,3666 12,0062 11,5598 11,0476 10,5217 10,0462 9,6802 9,4647 9,4114 9,4858 9,6063 9,6867 9,6966 9,6598 9,5994 9,5089 9,3664 9,1480 8,8321 8,4108 7,9048 7,3649 6,8601 6,4615 6,2171 6,1317 6,1716 6,2882 6,4371 6,5878 6,7198 6,8121 6,8398 6,7761 6,5943 6,2773 5,8366 5,3223 4,8101 4,3734 4,0595 3,8798 3,8180 3,8433 3,9226 4,0287 4,1452 4,2662 4,3870 4,4966 4,5835 4,6445 4,6767 4,6630 4,5828 4,4415 4,2745 4,1186 3,9952 3,9238 3,9332 4,0419 4,2302 4,4461 4,6379 4,7718 4,8341 4,8360 4,8141 4,8114 4,8538 4,9376 5,0340 5,1007 5,0985 5,0111 4,8559 4,6738 4,5054 4,3691 4,2577 4,1449 3,9943 3,7800 3,5100 3,2205 2,9496 2,7292 2,5967 2,5900 2,7189 2,9492 3,2187 3,4624 3,6292 3,6960 3,6693 3,5710 3,4234 3,2509 3,0903 2,9832 2,9476 2,9640 2,9866 2,9732 2,9297 2,9189 3,0018 3,1728 3,3603 3,4758 3,4670 3,3419 3,1467 2,9198 2,6765 2,4318 2,2157 2,0691 2,0336 2,1219 2,2881 2,4526 2,5645 2,6169 2,6092 2,5281 2,3803 2,2215 2,1351 2,1799 2,3513 2,5926 2,8402 3,0528 3,2126 3,3143 3,3532 3,3256 3,2444 3,1362 3,0189 2,8890 2,7336 2,5581 2,4048 2,3408 2,4177 2,6360 2,9480 3,2896 3,6006 3,8271 3,9331 3,9208 3,8351 3,7539 3,7567 3,8805 4,0936 4,3096 4,4265 4,3672 4,0992 3,6419 3,0671 2,4903 2,0350 1,7771 1,7160 1,7927 1,9267 2,0436 2,0979 2,0880 2,0505 2,0217 2,0012 1,9616 1,8825 1,7576 1,5763 1,3169 0,9631 0,5299 0,0777 -0,2971 -0,4951 -0,4590 -0,2068 0,1820 0,6159 1,0247 1,3671 1,6297 1,8261 1,9959 2,1863 2,4191 2,6786 2,9363 3,1778 3,4031 3,6130 3,8056 3,9844 4,1614 4,3455 4,5290 4,6838 4,7698 4,7541 4,6245 4,3951 4,1034 3,7940 3,4989 3,2349 3,0165 2,8670 2,8165 2,8817 3,0388 3,2213 3,3599 3,4251 3,4183 3,3439 3,2120 3,0587 2,9495 2,9606 3,1427 3,4971 3,9761 4,4907 4,9254 5,1853 5,2466 5,1515 4,9576 4,6988 4,3944 4,0739 3,7775 3,5384 3,3774 3,3081 3,3367 3,4507 3,6082 3,7463 3,8094 3,7766 3,6733 3,5535 3,4605 3,4026 3,3630 3,3153 3,2308 3,0927 2,9104 2,7068 2,4964 2,2906 2,1227 2,0463 2,0956 2,2508 2,4516 2,6462 2,8283 3,0263 3,2652 3,5412 3,8296 4,1037 4,3421 4,5303 4,6637 4,7490 4,8025 4,8445 4,8847 4,9136 4,9169 4,8897 4,8272 4,7200 4,5652 4,3761 4,1790 4,0037 3,8787 3,8373 3,9128 4,1200 4,4437 4,8463 5,2772 5,6788 5,9940 6,1807 6,2310 6,1751 6,0619 5,9390 5,8392 5,7653 5,6785 5,5153 5,2341 4,8512 4,4275 4,0247 3,6884 3,4561 3,3476 3,3414 3,3729 3,3612 3,2475 3,0227 2,7327 2,4616 2,2988 2,3028 2,4866 2,8243 3,2612 3,7180 4,1131 4,4014 4,5901 4,7153 4,8163 4,9310 5,0895 5,2998 5,5378 5,7528 5,8814 5,8691 5,7010 5,4254 5,1396 4,9469 4,9238 5,1132 5,5213 6,1096 6,7977 7,4879 8,1012 8,6051 9,0134 9,3563 9,6532 9,9015 10,0719 10,1176 10,0053 9,7487 9,4140 9,0970 8,8874 8,8400 8,9563 9,1788 9,4050 9,5206 9,4421 9,1544 8,7198 8,2499 7,8560 7,6084 7,5262 7,5844 7,7165 7,8227 7,7995 7,5767 7,1410 6,5419 5,8802 5,2765 4,8295 4,5742 4,4580 4,3697 4,2150 3,9662 3,6472 3,2938 2,9320 2,5769 2,2375 1,9191 1,6175 1,3166 1,0051 0,7031 0,4653 0,3505 0,3854 0,5528 0,8074 1,0930 1,3546 1,5554 1,6885 1,7639 1,7965 1,8065 1,8197 1,8526 1,8978 1,9286 1,9221 1,8734 1,7879
Fz    0,7202 0,6903 0,6477 0,6276 0,6480 0,7049 0,7835 0,8644 0,9242 0,9425 0,9124 0,8401 0,7328 0,5898 0,4095 0,2057 0,0078 -0,1582 -0,2808 -0,3537 -0,3716 -0,3465 -0,3059 -0,2676 -0,2350 -0,2064 -0,1750 -0,1362 -0,1043 -0,1033 -0,1427 -0,2125 -0,2951 -0,3692 -0,4114 -0,4043 -0,3428 -0,2405 -0,1339 -0,0705 -0,0781 -0,1507 -0,2613 -0,3793 -0,4824 -0,5708 -0,6703 -0,8114 -0,9957 -1,1840 -1,3187 -1,3554 -1,2798 -1,1013 -0,8386 -0,5194 -0,1895 0,1005 0,3182 0,4600 0,5507 0,6313 0,7297 0,8418 0,9372 0,9782 0,9405 0,8248 0,6504 0,4427 0,2394 0,0940 0,0485 0,1001 0,2053 0,3133 0,3838 0,3938 0,3405 0,2384 0,1133 -0,0012 -0,0761 -0,0977 -0,0667 0,0062 0,1077 0,2295 0,3670 0,5031 0,6033 0,6462 0,6551 0,6855 0,7802 0,9402 1,1340 1,3298 1,5168 1,6946 1,8522 1,9756 2,0726 2,1811 2,3460 2,5822 2,8595 3,1295 3,3660 3,5788 3,7916 4,0055 4,1782 4,2454 4,1695 3,9633 3,6738 3,3519 3,0322 2,7311 2,4553 2,2088 1,9931 1,8091 1,6628 1,5617 1,5057 1,4923 1,5263 1,6189 1,7744 1,9719 2,1650 2,3125 2,4061 2,4657 2,5131 2,5555 2,5835 2,5777 2,5228 2,4247 2,3144 2,2358 2,2320 2,3370 2,5653 2,9040 3,3171 3,7594 4,1879 4,5670 4,8732 5,1020 5,2690 5,4041 5,5421 5,7071 5,9040 6,1276 6,3755 6,6564 6,9994 7,4456 8,0132 8,6703 9,3456 9,9603 10,4520 10,7823 10,9381 10,9314 10,7937 10,5605 10,2621 9,9269 9,5734 9,2010 8,8018 8,3787 7,9524 7,5610 7,2535 7,0715 7,0262 7,0820 7,1652 7,2065 7,1875 7,1350 7,0777 7,0238 6,9649 6,8775 6,7284 6,4918 6,1676 5,7865 5,4025 5,0776 4,8578 4,7535 4,7422 4,7868 4,8557 4,9345 5,0210 5,1090 5,1758 5,1843 5,0938 4,8773 4,5375 4,1133 3,6653 3,2486 2,8963 2,6170 2,4042 2,2489 2,1465 2,0974 2,1023 2,1573 2,2506 2,3603 2,4603 2,5299 2,5564 2,5300 2,4489 2,3303 2,2048 2,0958 2,0105 1,9548 1,9475 2,0111 2,1485 2,3395 2,5569 2,7771 2,9820 3,1628 3,3207 3,4607 3,5865 3,6984 3,7913 3,8508 3,8566 3,7979 3,6853 3,5468 3,4107 3,2919 3,1890 3,0857 2,9528 2,7637 2,5164 2,2388 1,9709 1,7520 1,6191 1,5997 1,6940 1,8658 2,0577 2,2150 2,3027 2,3092 2,2388 2,0998 1,9013 1,6631 1,4243 1,2320 1,1136 1,0618 1,0412 1,0125 0,9670 0,9416 0,9845 1,1087 1,2812 1,4473 1,5642 1,6237 1,6397 1,6161 1,5401 1,4091 1,2503 1,1124 1,0442 1,0623 1,1312 1,1888 1,1911 1,1283 1,0067 0,8392 0,6560 0,5066 0,4412 0,4845 0,6201 0,8010 0,9763 1,1101 1,1875 1,2126 1,1969 1,1520 1,0949 1,0466 1,0174 0,9977 0,9678 0,9179 0,8634 0,8409 0,8856 1,0082 1,1920 1,4075 1,6196 1,7886 1,8847 1,9049 1,8769 1,8487 1,8710 1,9715 2,1365 2,3128 2,4290 2,4234 2,2620 1,9495 1,5343 1,1013 0,7456 0,5315 0,4685 0,5185 0,6196 0,7100 0,7507 0,7391 0,7025 0,6680 0,6363 0,5874 0,5043 0,3794 0,2030 -0,0414 -0,3615 -0,7344 -1,1013 -1,3850 -1,5177 -1,4686 -1,2589 -0,9499 -0,6119 -0,2989 -0,0410 0,1551 0,3021 0,4279 0,5639 0,7272 0,9128 1,1058 1,2953 1,4763 1,6448 1,7982 1,9372 2,0646 2,1790 2,2724 2,3326 2,3464 2,3033 2,1992 2,0384 1,8357 1,6127 1,3884 1,1780 0,9989 0,8761 0,8370 0,8939 1,0245 1,1740 1,2895 1,3531 1,3715 1,3476 1,2827 1,1954 1,1244 1,1136 1,1927 1,3670 1,6186 1,9033 2,1514 2,2969 2,3154 2,2279 2,0709 1,8716 1,6496 1,4296 1,2423 1,1143 1,0643 1,1021 1,2277 1,4240 1,6530 1,8623 2,0068 2,0686 2,0612 2,0163 1,9581 1,8896 1,8019 1,6848 1,5302 1,3412 1,1393 0,9549 0,8079 0,7031 0,6450 0,6464 0,7138 0,8288 0,9576 1,0810 1,2138 1,3921 1,6471 1,9847 2,3824 2,7994 3,1928 3,5280 3,7864 3,9675 4,0855 4,1617 4,2131 4,2440 4,2509 4,2326 4,1890 4,1202 4,0309 3,9317 3,8339 3,7448 3,6703 3,6240 3,6281 3,7022 3,8494 4,0553 4,2935 4,5311 4,7299 4,8549 4,8901 4,8477 4,7604 4,6670 4,5998 4,5683 4,5485 4,4927 4,3634 4,1612 3,9198 3,6768 3,4599 3,2907 3,1807 3,1208 3,0787 3,0106 2,8800 2,6760 2,4231 2,1763 2,0000 1,9402 2,0081 2,1820 2,4161 2,6503 2,8286 2,9259 2,9587 2,9670 2,9915 3,0645 3,2030 3,4001 3,6235 3,8268 3,9656 4,0114 3,9642 3,8594 3,7582 3,7237 3,8028 4,0194 4,3709 4,8227 5,3138 5,7793 6,1775 6,5015 6,7705 7,0077 7,2244 7,4140 7,5508 7,5985 7,5312 7,3559 7,1165 6,8776 6,6990 6,6174 6,6351 6,7148 6,7874 6,7738 6,6148 6,2954 5,8545 5,3713 4,9340 4,6064 4,4112 4,3323 4,3220 4,3109 4,2280 4,0250 3,6899 3,2483 2,7585 2,2977 1,9404 1,7266 1,6358 1,5985 1,5431 1,4339 1,2702 1,0669 0,8438 0,6206 0,4118 0,2215 0,0427 -0,1383 -0,3290 -0,5171 -0,6684 -0,7416 -0,7087 -0,5683 -0,3442 -0,0796 0,1736 0,3738 0,5044 0,5671 0,5690 0,5203 0,4374 0,3357 0,2195 0,0842 -0,0692 -0,2293 -0,3841
F3    0,4446 0,4621 0,5698 0,8124 1,1727 1,5474 1,7773 1,7383 1,4326 0,9819 0,5302 0,1721 -0,0553 -0,1611 -0,1791 -0,1423 -0,0849 -0,0585 -0,1007 -0,1795 -0,2166 -0,1830 -0,1248 -0,0973 -0,1183 -0,1663 -0,1968 -0,1815 -0,1363 -0,0979 -0,0849 -0,0981 -0,1351 -0,1817 -0,2049 -0,1720 -0,0741 0,0548 0,1383 0,0979 -0,0928 -0,3948 -0,7339 -1,0301 -1,2096 -1,2325 -1,1293 -0,9861 -0,8764 -0,8156 -0,7702 -0,6988 -0,5915 -0,4719 -0,3644 -0,2785 -0,2180 -0,1822 -0,1619 -0,1361 -0,0721 0,0645 0,2897 0,5832 0,8820 1,0925 1,1295 0,9662 0,6548 0,2971 0,0026 -0,1379 -0,0804 0,1409 0,4250 0,6590 0,7680 0,7332 0,5785 0,3457 0,0863 -0,1431 -0,3012 -0,3761 -0,3774 -0,3235 -0,2323 -0,1135 0,0300 0,1872 0,3312 0,4431 0,5423 0,6747 0,8697 1,1112 1,3450 1,5147 1,5993 1,6176 1,6017 1,5776 1,5755 1,6435 1,8279 2,1312 2,4998 2,8622 3,1758 3,4428 3,6906 3,9318 4,1310 4,2193 4,1484 3,9234 3,5860 3,1830 2,7526 2,3255 1,9290 1,5853 1,3057 1,0930 0,9494 0,8784 0,8772 0,9375 1,0534 1,2253 1,4509 1,7067 1,9455 2,1221 2,2187 2,2405 2,2004 2,1189 2,0232 1,9311 1,8447 1,7638 1,6964 1,6579 1,6699 1,7592 1,9468 2,2354 2,6051 3,0181 3,4290 3,7984 4,1017 4,3321 4,5011 4,6373 4,7786 4,9508 5,1556 5,3823 5,6257 5,9016 6,2559 6,7448 7,3859 8,1338 8,9009 9,5939 10,1404 10,5017 10,6741 10,6809 10,5606 10,3500 10,0759 9,7594 9,4129 9,0340 8,6150 8,1592 7,6896 7,2503 6,8995 6,6900 6,6416 6,7243 6,8642 6,9877 7,0676 7,1185 7,1524 7,1596 7,1209 7,0205 6,8491 6,6012 6,2771 5,8930 5,4894 5,1244 4,8466 4,6703 4,5807 4,5558 4,5809 4,6474 4,7451 4,8531 4,9383 4,9613 4,8863 4,6946 4,3990 4,0437 3,6858 3,3727 3,1289 2,9563 2,8445 2,7818 2,7622 2,7856 2,8540 2,9644 3,1016 3,2383 3,3451 3,4029 3,4047 3,3485 3,2395 3,0984 2,9563 2,8351 2,7393 2,6712 2,6469 2,6890 2,8036 2,9754 3,1842 3,4123 3,6444 3,8690 4,0771 4,2572 4,3945 4,4757 4,4925 4,4367 4,2985 4,0804 3,8122 3,5462 3,3305 3,1821 3,0834 2,9967 2,8822 2,7140 2,4949 2,2566 2,0439 1,9002 1,8604 1,9406 2,1242 2,3627 2,5940 2,7621 2,8306 2,7907 2,6568 2,4521 2,2000 1,9284 1,6764 1,4870 1,3841 1,3573 1,3677 1,3747 1,3736 1,4026 1,5012 1,6656 1,8466 1,9810 2,0312 2,0065 1,9394 1,8439 1,7098 1,5354 1,3453 1,1787 1,0720 1,0375 1,0521 1,0758 1,0844 1,0738 1,0385 0,9700 0,8806 0,8150 0,8292 0,9544 1,1739 1,4332 1,6740 1,8575 1,9678 2,0066 1,9806 1,8957 1,7637 1,6023 1,4242 1,2307 1,0222 0,8152 0,6497 0,5804 0,6510 0,8663 1,1872 1,5524 1,8975 2,1634 2,3133 2,3506 2,3164 2,2729 2,2779 2,3559 2,4839 2,6002 2,6324 2,5255 2,2591 1,8553 1,3778 0,9184 0,5681 0,3814 0,3586 0,4586 0,6228 0,7935 0,9308 1,0235 1,0903 1,1552 1,2164 1,2472 1,2203 1,1184 0,9249 0,6206 0,2007 -0,3018 -0,8110 -1,2304 -1,4767 -1,5101 -1,3514 -1,0689 -0,7405 -0,4202 -0,1289 0,1388 0,4018 0,6848 1,0075 1,3647 1,7192 2,0242 2,2533 2,4067 2,5002 2,5559 2,5977 2,6449 2,7062 2,7793 2,8527 2,9053 2,9116 2,8525 2,7231 2,5359 2,3154 2,0884 1,8772 1,6982 1,5638 1,4857 1,4682 1,4921 1,5138 1,4947 1,4294 1,3312 1,2033 1,0434 0,8671 0,7158 0,6438 0,6945 0,8828 1,1916 1,5690 1,9338 2,2114 2,3715 2,4267 2,4006 2,3059 2,1499 1,9516 1,7437 1,5611 1,4318 1,3745 1,3975 1,4939 1,6353 1,7763 1,8715 1,8950 1,8544 1,7869 1,7317 1,7046 1,6997 1,6972 1,6707 1,6024 1,4961 1,3692 1,2331 1,0936 0,9711 0,9049 0,9264 1,0290 1,1737 1,3253 1,4813 1,6676 1,9078 2,2002 2,5165 2,8156 3,0621 3,2382 3,3487 3,4142 3,4609 3,5144 3,5899 3,6852 3,7877 3,8840 3,9548 3,9757 3,9307 3,8237 3,6743 3,5064 3,3464 3,2313 3,2038 3,2884 3,4775 3,7391 4,0296 4,3010 4,5064 4,6152 4,6307 4,5865 4,5221 4,4677 4,4396 4,4337 4,4191 4,3502 4,1975 3,9732 3,7233 3,4965 3,3279 3,2402 3,2380 3,2946 3,3524 3,3442 3,2244 2,9892 2,6795 2,3682 2,1334 2,0288 2,0694 2,2344 2,4735 2,7156 2,8930 2,9736 2,9727 2,9330 2,9007 2,9149 3,0005 3,1591 3,3656 3,5759 3,7412 3,8248 3,8180 3,7520 3,6871 3,6835 3,7820 4,0014 4,3385 4,7643 5,2265 5,6660 6,0415 6,3460 6,6035 6,8445 7,0831 7,3085 7,4870 7,5760 7,5473 7,4078 7,1998 6,9844 6,8209 6,7493 6,7764 6,8690 6,9621 6,9804 6,8681 6,6145 6,2622 5,8915 5,5864 5,4003 5,3405 5,3741 5,4408 5,4643 5,3716 5,1179 4,7021 4,1677 3,5926 3,0688 2,6722 2,4326 2,3177 2,2530 2,1724 2,0494 1,8889 1,7064 1,5170 1,3323 1,1588 0,9976 0,8419 0,6750 0,4828 0,2757 0,0926 -0,0172 -0,0206 0,0862 0,2822 0,5282 0,7744 0,9801 1,1310 1,2330 1,2939 1,3168 1,3043 1,2576 1,1719 1,0403 0,8661 0,6642 0,4494
F7    0,9593 0,9136 0,8179 0,6369 0,3683 0,0787 -0,1070 -0,1106 0,0133 0,1389 0,1855 0,1346 -0,0124 -0,2337 -0,4660 -0,6337 -0,6978 -0,6570 -0,5268 -0,3327 -0,1038 0,1328 0,3568 0,5617 0,7339 0,8380 0,8495 0,7827 0,6661 0,5183 0,3575 0,2053 0,0648 -0,0852 -0,2625 -0,4566 -0,6269 -0,7266 -0,7394 -0,6893 -0,6114 -0,5244 -0,4278 -0,3065 -0,1537 -0,0054 0,0589 -0,0294 -0,2682 -0,5784 -0,8505 -0,9961 -0,9705 -0,7698 -0,4211 0,0144 0,4494 0,8054 1,0381 1,1353 1,1188 1,0402 0,9498 0,8729 0,8139 0,7694 0,7408 0,7324 0,7261 0,6725 0,5332 0,3314 0,1422 0,0373 0,0532 0,1919 0,4217 0,6813 0,9013 1,0373 1,0934 1,1084 1,1146 1,1206 1,1227 1,1141 1,0914 1,0673 1,0663 1,0966 1,1324 1,1432 1,1377 1,1590 1,2397 1,3760 1,5375 1,6968 1,8506 2,0032 2,1370 2,2233 2,2643 2,3080 2,4124 2,5957 2,8252 3,0529 3,2570 3,4454 3,6306 3,8035 3,9238 3,9381 3,8155 3,5696 3,2486 2,9085 2,5903 2,3107 2,0691 1,8590 1,6747 1,5164 1,3938 1,3128 1,2647 1,2387 1,2418 1,2969 1,4193 1,5931 1,7752 1,9325 2,0704 2,2192 2,3973 2,5888 2,7500 2,8384 2,8390 2,7685 2,6623 2,5581 2,4912 2,4975 2,6086 2,8391 3,1790 3,5954 4,0395 4,4563 4,7985 5,0430 5,1958 5,2873 5,3626 5,4597 5,5945 5,7686 5,9796 6,2237 6,5069 6,8481 7,2535 7,6971 8,1315 8,5101 8,7994 8,9833 9,0621 9,0520 8,9793 8,8650 8,7127 8,5181 8,2754 7,9749 7,6135 7,2106 6,8095 6,4639 6,2219 6,1144 6,1435 6,2702 6,4187 6,5162 6,5407 6,5178 6,4788 6,4373 6,3902 6,3166 6,1835 5,9676 5,6708 5,3184 4,9546 4,6369 4,4135 4,2983 4,2721 4,3020 4,3570 4,4140 4,4601 4,4888 4,4934 4,4597 4,3661 4,1954 3,9513 3,6643 3,3821 3,1517 3,0034 2,9449 2,9666 3,0526 3,1867 3,3523 3,5324 3,7126 3,8798 4,0196 4,1189 4,1696 4,1664 4,1014 3,9714 3,7951 3,6110 3,4533 3,3378 3,2723 3,2694 3,3368 3,4590 3,5993 3,7200 3,7959 3,8176 3,7939 3,7511 3,7224 3,7320 3,7846 3,8661 3,9517 4,0116 4,0179 3,9577 3,8398 3,6862 3,5169 3,3440 3,1715 2,9937 2,8039 2,6086 2,4245 2,2656 2,1436 2,0761 2,0837 2,1722 2,3228 2,5025 2,6763 2,8139 2,8950 2,9131 2,8721 2,7796 2,6493 2,5083 2,3921 2,3236 2,3002 2,2975 2,2886 2,2742 2,2913 2,3754 2,5154 2,6553 2,7303 2,7077 2,6026 2,4572 2,3001 2,1346 1,9594 1,7844 1,6316 1,5317 1,5074 1,5485 1,6197 1,6942 1,7629 1,8099 1,8015 1,7148 1,5714 1,4329 1,3625 1,3856 1,4858 1,6291 1,7833 1,9257 2,0432 2,1229 2,1519 2,1346 2,0933 2,0458 1,9918 1,9206 1,8297 1,7390 1,6860 1,7021 1,7911 1,9308 2,0915 2,2453 2,3646 2,4287 2,4373 2,4149 2,4055 2,4500 2,5609 2,7106 2,8398 2,8804 2,7830 2,5349 2,1650 1,7366 1,3310 1,0233 0,8536 0,8124 0,8565 0,9339 0,9994 1,0250 1,0091 0,9734 0,9382 0,9004 0,8391 0,7388 0,5992 0,4269 0,2246 -0,0092 -0,2641 -0,5027 -0,6636 -0,6862 -0,5471 -0,2808 0,0376 0,3363 0,5748 0,7459 0,8663 0,9644 1,0700 1,2040 1,3681 1,5475 1,7281 1,9090 2,0935 2,2775 2,4496 2,6011 2,7300 2,8370 2,9202 2,9755 2,9980 2,9849 2,9354 2,8535 2,7497 2,6353 2,5116 2,3716 2,2148 2,0577 1,9294 1,8540 1,8308 1,8297 1,8151 1,7712 1,6944 1,5776 1,4199 1,2453 1,1046 1,0574 1,1454 1,3717 1,6996 2,0591 2,3626 2,5411 2,5803 2,5170 2,4016 2,2665 2,1248 1,9862 1,8644 1,7723 1,7161 1,6968 1,7149 1,7680 1,8445 1,9207 1,9687 1,9713 1,9343 1,8836 1,8450 1,8251 1,8142 1,7948 1,7472 1,6572 1,5301 1,3865 1,2462 1,1221 1,0329 1,0058 1,0575 1,1703 1,2980 1,3987 1,4635 1,5130 1,5758 1,6701 1,7990 1,9513 2,1038 2,2303 2,3165 2,3671 2,3981 2,4251 2,4537 2,4753 2,4767 2,4486 2,3823 2,2687 2,1077 1,9157 1,7223 1,5581 1,4451 1,3995 1,4327 1,5463 1,7294 1,9632 2,2266 2,4988 2,7582 2,9809 3,1479 3,2534 3,3034 3,3103 3,2870 3,2385 3,1550 3,0178 2,8172 2,5695 2,3104 2,0728 1,8734 1,7171 1,6003 1,5089 1,4180 1,2993 1,1359 0,9337 0,7218 0,5437 0,4447 0,4558 0,5834 0,8063 1,0807 1,3518 1,5759 1,7429 1,8756 2,0050 2,1532 2,3331 2,5474 2,7808 2,9999 3,1638 3,2331 3,1794 3,0052 2,7610 2,5325 2,4035 2,4275 2,6218 2,9726 3,4418 3,9747 4,5122 5,0043 5,4218 5,7577 6,0150 6,1968 6,3027 6,3237 6,2434 6,0549 5,7794 5,4682 5,1856 4,9869 4,9026 4,9294 5,0286 5,1365 5,1855 5,1287 4,9585 4,7092 4,4434 4,2291 4,1168 4,1258 4,2376 4,3961 4,5207 4,5338 4,3880 4,0786 3,6431 3,1526 2,6922 2,3331 2,1048 1,9773 1,8795 1,7489 1,5663 1,3462 1,1091 0,8679 0,6321 0,4088 0,1975 -0,0105 -0,2262 -0,4514 -0,6693 -0,8449 -0,9405 -0,9351 -0,8338 -0,6635 -0,4633 -0,2750 -0,1276 -0,0266 0,0388 0,0841 0,1262 0,1790 0,2465 0,3208 0,3853 0,4247 0,4327 0,4098
