Fp1   0,1568 0,1911 0,2505 0,2654 0,2081 0,0838 -0,0892 -0,2837 -0,4653 -0,6008 -0,6694 -0,6747 -0,6468 -0,6248 -0,6355 -0,6860 -0,7622 -0,8301 -0,8399 -0,7400 -0,4991 -0,1300 0,3038 0,7137 1,0305 1,2205 1,2714 1,1875 0,9999 0,7647 0,5402 0,3612 0,2304 0,1392 0,0935 0,1217 0,2577 0,5053 0,8059 1,0470 1,1170 0,9663 0,6281 0,1840 -0,2913 -0,7458 -1,1254 -1,3718 -1,4674 -1,4660 -1,4582 -1,5046 -1,6075 -1,7324 -1,8378 -1,8937 -1,9000 -1,8974 -1,9445 -2,0763 -2,2844 -2,5219 -2,7148 -2,7846 -2,6754 -2,3683 -1,8850 -1,2937 -0,7026 -0,2195 0,1030 0,2799 0,3565 0,3752 0,3751 0,3898 0,4240 0,4448 0,4068 0,2842 0,0783 -0,1856 -0,4538 -0,6544 -0,7324 -0,6754 -0,5057 -0,2532 0,0593 0,4016 0,7209 0,9615 1,1021 1,1601 1,1565 1,0912 0,9575 0,7621 0,5231 0,2570 -0,0280 -0,3313 -0,6499 -0,9590 -1,2009 -1,3077 -1,2538 -1,0927 -0,9267 -0,8318 -0,8340 -0,9431 -1,1643 -1,4693 -1,7915 -2,0638 -2,2602 -2,4008 -2,5151 -2,6040 -2,6467 -2,6412 -2,6221 -2,6352 -2,7003 -2,8047 -2,9257 -3,0550 -3,2007 -3,3688 -3,5461 -3,7073 -3,8417 -3,9605 -4,0711 -4,1474 -4,1454 -4,0488 -3,8850 -3,6911 -3,4768 -3,2318 -2,9470 -2,6167 -2,2391 -1,8274 -1,4090 -1,0151 -0,6865 -0,4781 -0,4296 -0,5291 -0,7190 -0,9234 -1,0599 -1,0509 -0,8626 -0,5364 -0,1771 0,0970 0,2128 0,1783 0,0695 -0,0221 -0,0368 0,0423 0,2041 0,4192 0,6329 0,7642 0,7346 0,5076 0,0980 -0,4448 -1,0455 -1,6069 -2,0311 -2,2581 -2,2993 -2,2354 -2,1642 -2,1360 -2,1414 -2,1407 -2,0854 -1,9404 -1,7173 -1,4767 -1,2827 -1,1553 -1,0620 -0,9527 -0,8035 -0,6335 -0,4856 -0,3886 -0,3482 -0,3713 -0,4779 -0,6750 -0,9307 -1,1842 -1,3762 -1,4686 -1,4522 -1,3460 -1,1875 -1,0140 -0,8432 -0,6594 -0,4205 -0,0925 0,3177 0,7641 1,1860 1,5352 1,7889 1,9458 2,0102 1,9786 1,8357 1,5636 1,1604 0,6505 0,0836 -0,4850 -1,0217 -1,5116 -1,9363 -2,2741 -2,5093 -2,6335 -2,6525 -2,6014 -2,5377 -2,5070 -2,5076 -2,4957 -2,4297 -2,3152 -2,2128 -2,2015 -2,3252 -2,5614 -2,8340 -3,0560 -3,1742 -3,1864 -3,1223 -3,0083 -2,8577 -2,7019 -2,6150 -2,6798 -2,9171 -3,2548 -3,5683 -3,7472 -3,7394 -3,5565 -3,2607 -2,9485 -2,7188 -2,6252 -2,6510 -2,7267 -2,7771 -2,7566 -2,6527 -2,4783 -2,2703 -2,0849 -1,9704 -1,9351 -1,9467 -1,9647 -1,9619 -1,9193 -1,8140 -1,6197 -1,3250 -0,9509 -0,5526 -0,2069 0,0160 0,0867 0,0322 -0,0872 -0,2252 -0,3823 -0,5931 -0,8797 -1,2231 -1,5709 -1,8674 -2,0803 -2,2088 -2,2783 -2,3235 -2,3659 -2,3968 -2,3859 -2,3148 -2,2014 -2,0853 -2,0019 -1,9704 -1,9858 -2,0104 -1,9804 -1,8343 -1,5494 -1,1523 -0,6949 -0,2228 0,2317 0,6396 0,9714 1,2009 1,3069 1,2729 1,0945 0,7844 0,3685 -0,1177 -0,6270 -1,1003 -1,4724 -1,6902 -1,7451 -1,6899 -1,6146 -1,5883 -1,6188 -1,6645 -1,6704 -1,5883 -1,3844 -1,0576 -0,6502 -0,2315 0,1347 0,4073 0,5713 0,6374 0,6351 0,5972 0,5426 0,4748 0,3947 0,3089 0,2175 0,1137 0,0073 -0,0651 -0,0676 0,0086 0,1414 0,2840 0,3747 0,3537 0,1753 -0,1720 -0,6400 -1,1260 -1,5199 -1,7446 -1,7652 -1,5948 -1,2985 -0,9631 -0,6485 -0,3751 -0,1447 0,0423 0,1896 0,3127 0,4196 0,4838 0,4576 0,3163 0,0781 -0,2125 -0,5138 -0,7941 -1,0142 -1,1238 -1,0859 -0,9037 -0,6311 -0,3578 -0,1728 -0,1298 -0,2353 -0,4466 -0,6812 -0,8548 -0,9298 -0,9246 -0,8755 -0,7998 -0,6960 -0,5700 -0,4589 -0,4194 -0,4779 -0,5884 -0,6530 -0,5915 -0,4013 -0,1619 0,0155 0,0584 -0,0310 -0,1984 -0,3879 -0,5678 -0,7158 -0,8055 -0,8240 -0,7910 -0,7514 -0,7487 -0,7966 -0,8823 -0,9924 -1,1137 -1,2226 -1,2988 -1,3407 -1,3599 -1,3764 -1,4126 -1,4779 -1,5531 -1,5934 -1,5488 -1,3914 -1,1347 -0,8320 -0,5542 -0,3649 -0,2995 -0,3475 -0,4570 -0,5708 -0,6583 -0,7141 -0,7417 -0,7529 -0,7743 -0,8340 -0,9390 -1,0656 -1,1745 -1,2398 -1,2647 -1,2622 -1,2306 -1,1607 -1,0633 -0,9804 -0,9710 -1,0863 -1,3429 -1,7069 -2,1087 -2,4810 -2,7792 -2,9814 -3,0826 -3,0873 -3,0025 -2,8355 -2,5981 -2,3210 -2,0556 -1,8586 -1,7701 -1,8032 -1,9485 -2,1860 -2,4964 -2,8683 -3,2932 -3,7476 -4,1883 -4,5762 -4,8940 -5,1372 -5,3075 -5,4242 -5,5206 -5,6189 -5,7215 -5,8255 -5,9235 -5,9840 -5,9597 -5,8289 -5,6208 -5,3974 -5,2182 -5,1116 -5,0757 -5,1012 -5,1848 -5,3201 -5,4860 -5,6475 -5,7452 -5,6921 -5,4156 -4,9196 -4,2971 -3,6824 -3,1867 -2,8639 -2,7144 -2,7070 -2,7999 -2,9527 -3,1325 -3,3155 -3,4828 -3,6101 -3,6554 -3,5552 -3,2506 -2,7380 -2,0926 -1,4285 -0,8423 -0,3831 -0,0395 0,2438 0,5096 0,7424 0,8823 0,8793 0,7322 0,4746 0,1327 -0,2962 -0,8243 -1,4448 -2,1182 -2,7824 -3,3829 -3,8970 -4,3217 -4,6561 -4,9116 -5,1053 -5,2277 -5,2408 -5,1196 -4,8847 -4,5940 -4,3103 -4,0731 -3,8964 -3,7822 -3,7306 -3,7394 -3,8064 -3,9321 -4,1063 -4,2936 -4,4545 -4,5741 -4,6557 -4,7145 -4,7923 -4,9437 -5,1933 -5,5030 -5,7757 -5,9057 -5,8410 -5,5970 -5,2188 -4,7492 -4,2397 -3,7690 -3,4291 -3,2921 -3,3824 -3,6650 -4,0617 -4,4861 -4,8705 -5,1693 -5,3585 -5,4476 -5,4749 -5,4717 -5,4456 -5,3995 -5,3369
Fz    0,4946 0,4886 0,5274 0,5762 0,5884 0,5267 0,3778 0,1522 -0,1229 -0,4049 -0,6459 -0,8227 -0,9452 -1,0232 -1,0486 -1,0133 -0,9203 -0,7707 -0,5623 -0,3093 -0,0493 0,1707 0,3172 0,3857 0,3999 0,3905 0,3796 0,3872 0,4332 0,5261 0,6540 0,7836 0,8709 0,8841 0,8266 0,7363 0,6650 0,6523 0,6948 0,7405 0,7224 0,5953 0,3479 0,0000 -0,4084 -0,8293 -1,2156 -1,5301 -1,7592 -1,9146 -2,0155 -2,0745 -2,1061 -2,1385 -2,1987 -2,2879 -2,3850 -2,4671 -2,5162 -2,5150 -2,4465 -2,2983 -2,0735 -1,8011 -1,5252 -1,2692 -1,0190 -0,7521 -0,4772 -0,2354 -0,0681 0,0045 -0,0184 -0,1228 -0,2771 -0,4310 -0,5352 -0,5748 -0,5789 -0,5957 -0,6650 -0,8073 -1,0160 -1,2560 -1,4822 -1,6601 -1,7698 -1,7968 -1,7298 -1,5699 -1,3405 -1,0792 -0,8189 -0,5783 -0,3727 -0,2204 -0,1218 -0,0409 0,0775 0,2640 0,4857 0,6486 0,6582 0,4918 0,2080 -0,1074 -0,4005 -0,6664 -0,9186 -1,1498 -1,3363 -1,4792 -1,6167 -1,7930 -2,0280 -2,3167 -2,6375 -2,9603 -3,2506 -3,4757 -3,6189 -3,6957 -3,7423 -3,7830 -3,8160 -3,8332 -3,8460 -3,8846 -3,9748 -4,1180 -4,2843 -4,4188 -4,4609 -4,3724 -4,1497 -3,8136 -3,3981 -2,9537 -2,5485 -2,2441 -2,0604 -1,9708 -1,9280 -1,8843 -1,7983 -1,6417 -1,4084 -1,1142 -0,7878 -0,4597 -0,1534 0,1180 0,3481 0,5383 0,7002 0,8453 0,9729 1,0689 1,1104 1,0755 0,9565 0,7692 0,5504 0,3512 0,2243 0,2003 0,2730 0,4082 0,5568 0,6612 0,6743 0,5831 0,4034 0,1565 -0,1350 -0,4441 -0,7442 -1,0147 -1,2449 -1,4389 -1,6134 -1,7873 -1,9693 -2,1477 -2,2894 -2,3630 -2,3723 -2,3536 -2,3373 -2,3150 -2,2410 -2,0642 -1,7705 -1,4062 -1,0590 -0,8030 -0,6610 -0,6177 -0,6498 -0,7370 -0,8580 -0,9900 -1,1111 -1,2080 -1,2865 -1,3661 -1,4509 -1,5112 -1,5029 -1,4003 -1,2044 -0,9350 -0,6268 -0,3306 -0,1025 0,0204 0,0333 -0,0519 -0,2223 -0,4651 -0,7694 -1,1281 -1,5301 -1,9471 -2,3266 -2,6116 -2,7719 -2,8073 -2,7309 -2,5693 -2,3666 -2,1750 -2,0454 -2,0233 -2,1310 -2,3435 -2,5898 -2,7866 -2,8817 -2,8769 -2,8147 -2,7425 -2,6885 -2,6606 -2,6543 -2,6556 -2,6418 -2,5912 -2,4994 -2,3875 -2,2891 -2,2322 -2,2380 -2,3283 -2,5146 -2,7752 -3,0492 -3,2635 -3,3704 -3,3635 -3,2721 -3,1492 -3,0493 -3,0043 -3,0196 -3,0791 -3,1545 -3,2175 -3,2468 -3,2268 -3,1510 -3,0317 -2,8996 -2,7848 -2,6930 -2,5964 -2,4474 -2,2072 -1,8660 -1,4441 -0,9891 -0,5690 -0,2509 -0,0817 -0,0752 -0,2063 -0,4186 -0,6455 -0,8348 -0,9769 -1,1116 -1,2919 -1,5364 -1,8170 -2,0825 -2,2865 -2,4009 -2,4196 -2,3579 -2,2447 -2,1080 -1,9662 -1,8309 -1,7107 -1,6135 -1,5489 -1,5225 -1,5221 -1,5203 -1,4940 -1,4439 -1,4011 -1,4093 -1,4837 -1,5885 -1,6630 -1,6617 -1,5701 -1,4001 -1,1813 -0,9487 -0,7314 -0,5442 -0,3904 -0,2788 -0,2326 -0,2720 -0,3892 -0,5548 -0,7436 -0,9540 -1,2017 -1,4914 -1,7979 -2,0830 -2,3216 -2,5057 -2,6325 -2,6957 -2,6809 -2,5645 -2,3281 -1,9776 -1,5492 -1,1018 -0,7042 -0,4180 -0,2840 -0,3120 -0,4719 -0,7073 -0,9766 -1,2697 -1,5817 -1,8881 -2,1485 -2,3219 -2,3845 -2,3430 -2,2289 -2,0862 -1,9656 -1,9092 -1,9249 -1,9808 -2,0331 -2,0541 -2,0343 -1,9763 -1,8964 -1,8161 -1,7520 -1,7198 -1,7410 -1,8310 -1,9800 -2,1454 -2,2771 -2,3557 -2,3925 -2,4037 -2,3975 -2,3714 -2,3154 -2,2248 -2,1087 -1,9875 -1,8837 -1,8097 -1,7671 -1,7578 -1,7876 -1,8637 -1,9908 -2,1624 -2,3535 -2,5226 -2,6255 -2,6326 -2,5398 -2,3683 -2,1543 -1,9284 -1,7036 -1,4825 -1,2690 -1,0671 -0,8817 -0,7273 -0,6312 -0,6255 -0,7377 -0,9778 -1,3223 -1,7142 -2,0838 -2,3755 -2,5605 -2,6362 -2,6234 -2,5552 -2,4653 -2,3844 -2,3337 -2,3220 -2,3520 -2,4137 -2,4761 -2,5079 -2,4956 -2,4371 -2,3372 -2,2088 -2,0705 -1,9410 -1,8285 -1,7263 -1,6288 -1,5521 -1,5279 -1,5779 -1,6963 -1,8492 -1,9841 -2,0495 -2,0152 -1,8797 -1,6622 -1,3945 -1,1171 -0,8725 -0,6941 -0,6010 -0,6007 -0,6947 -0,8812 -1,1493 -1,4677 -1,7849 -2,0451 -2,2057 -2,2529 -2,2132 -2,1482 -2,1229 -2,1708 -2,2833 -2,4286 -2,5706 -2,6744 -2,7118 -2,6746 -2,5836 -2,4773 -2,3876 -2,3249 -2,2828 -2,2586 -2,2598 -2,2928 -2,3560 -2,4431 -2,5431 -2,6412 -2,7295 -2,8151 -2,9161 -3,0525 -3,2345 -3,4547 -3,6973 -3,9525 -4,2168 -4,4834 -4,7405 -4,9773 -5,1814 -5,3265 -5,3774 -5,3187 -5,1776 -5,0105 -4,8684 -4,7775 -4,7429 -4,7575 -4,8045 -4,8591 -4,9009 -4,9292 -4,9540 -4,9706 -4,9560 -4,8901 -4,7643 -4,5758 -4,3274 -4,0345 -3,7270 -3,4428 -3,2178 -3,0720 -3,0014 -2,9838 -2,9945 -3,0053 -2,9700 -2,8225 -2,5067 -2,0207 -1,4301 -0,8299 -0,2950 0,1318 0,4352 0,6293 0,7452 0,8020 0,7923 0,6990 0,5207 0,2744 -0,0263 -0,3854 -0,8100 -1,2900 -1,7918 -2,2740 -2,7196 -3,1545 -3,6204 -4,1331 -4,6694 -5,1730 -5,5634 -5,7668 -5,7596 -5,5833 -5,3235 -5,0751 -4,9123 -4,8735 -4,9589 -5,1403 -5,3744 -5,6182 -5,8405 -6,0179 -6,1253 -6,1426 -6,0742 -5,9518 -5,8208 -5,7251 -5,6898 -5,7095 -5,7460 -5,7398 -5,6366 -5,4186 -5,1220 -4,8212 -4,5945 -4,4953 -4,5366 -4,6871 -4,8857 -5,0663 -5,1770 -5,1901 -5,1051 -4,9500 -4,7725 -4,6179 -4,5112 -4,4572 -4,4469 -4,4671 -4,5085 -4,5551
F3    1,0022 0,9910 1,0271 1,0943 1,1654 1,2033 1,1680 1,0326 0,7984 0,4979 0,1801 -0,1224 -0,4033 -0,6588 -0,8685 -1,0078 -1,0615 -1,0225 -0,8911 -0,6853 -0,4443 -0,2150 -0,0319 0,0956 0,1811 0,2440 0,3005 0,3693 0,4683 0,5971 0,7277 0,8168 0,8271 0,7488 0,6079 0,4564 0,3495 0,3209 0,3576 0,3972 0,3606 0,1963 -0,1016 -0,5034 -0,9638 -1,4261 -1,8182 -2,0726 -2,1637 -2,1212 -2,0015 -1,8613 -1,7559 -1,7419 -1,8570 -2,0978 -2,4255 -2,7857 -3,1197 -3,3704 -3,4881 -3,4385 -3,2193 -2,8769 -2,4918 -2,1280 -1,7968 -1,4758 -1,1543 -0,8513 -0,5994 -0,4264 -0,3479 -0,3630 -0,4455 -0,5437 -0,6069 -0,6199 -0,6094 -0,6173 -0,6768 -0,8053 -0,9966 -1,2194 -1,4347 -1,6175 -1,7585 -1,8475 -1,8629 -1,7820 -1,6042 -1,3565 -1,0790 -0,8108 -0,5834 -0,4111 -0,2759 -0,1339 0,0526 0,2804 0,4858 0,5666 0,4469 0,1325 -0,2967 -0,7457 -1,1614 -1,5485 -1,9317 -2,3045 -2,6270 -2,8682 -3,0324 -3,1448 -3,2333 -3,3239 -3,4340 -3,5669 -3,7159 -3,8674 -4,0072 -4,1363 -4,2691 -4,4109 -4,5476 -4,6671 -4,7798 -4,9157 -5,0994 -5,3264 -5,5515 -5,6989 -5,6933 -5,4971 -5,1253 -4,6305 -4,0865 -3,5798 -3,1945 -2,9789 -2,9202 -2,9588 -3,0219 -3,0418 -2,9671 -2,7821 -2,5143 -2,2180 -1,9467 -1,7283 -1,5544 -1,3904 -1,1980 -0,9480 -0,6241 -0,2347 0,1765 0,5378 0,7713 0,8196 0,6690 0,3602 -0,0219 -0,3787 -0,6305 -0,7388 -0,7083 -0,5721 -0,3839 -0,2149 -0,1315 -0,1662 -0,3152 -0,5544 -0,8444 -1,1395 -1,4035 -1,6174 -1,7800 -1,9107 -2,0449 -2,2178 -2,4454 -2,7094 -2,9554 -3,1259 -3,2031 -3,2104 -3,1744 -3,0907 -2,9191 -2,6085 -2,1394 -1,5525 -0,9344 -0,3703 0,0861 0,4038 0,5622 0,5594 0,4242 0,2093 -0,0305 -0,2621 -0,4884 -0,7354 -1,0114 -1,2772 -1,4613 -1,4998 -1,3633 -1,0638 -0,6488 -0,1914 0,2271 0,5426 0,7170 0,7283 0,5727 0,2754 -0,1227 -0,5903 -1,1076 -1,6485 -2,1648 -2,5991 -2,9143 -3,0999 -3,1564 -3,0927 -2,9331 -2,7181 -2,5055 -2,3665 -2,3591 -2,4945 -2,7285 -2,9898 -3,2197 -3,3920 -3,5003 -3,5392 -3,5073 -3,4192 -3,3006 -3,1734 -3,0502 -2,9408 -2,8603 -2,8312 -2,8734 -2,9952 -3,1997 -3,4910 -3,8588 -4,2573 -4,6079 -4,8328 -4,8886 -4,7759 -4,5355 -4,2393 -3,9675 -3,7803 -3,7047 -3,7343 -3,8371 -3,9680 -4,0799 -4,1355 -4,1247 -4,0702 -4,0103 -3,9695 -3,9418 -3,8886 -3,7523 -3,4828 -3,0600 -2,5031 -1,8748 -1,2732 -0,8035 -0,5447 -0,5265 -0,7211 -1,0578 -1,4500 -1,8246 -2,1494 -2,4372 -2,7159 -2,9971 -3,2676 -3,4996 -3,6641 -3,7396 -3,7188 -3,6110 -3,4367 -3,2129 -2,9471 -2,6488 -2,3394 -2,0490 -1,8090 -1,6404 -1,5420 -1,4957 -1,4855 -1,5140 -1,6034 -1,7746 -2,0124 -2,2529 -2,4157 -2,4499 -2,3547 -2,1701 -1,9504 -1,7334 -1,5254 -1,3129 -1,0913 -0,8840 -0,7320 -0,6638 -0,6755 -0,7473 -0,8761 -1,0919 -1,4362 -1,9155 -2,4781 -3,0448 -3,5513 -3,9604 -4,2502 -4,4026 -4,3966 -4,2061 -3,8157 -3,2458 -2,5597 -1,8497 -1,2171 -0,7528 -0,5204 -0,5416 -0,7819 -1,1655 -1,6169 -2,0852 -2,5321 -2,9188 -3,2125 -3,3954 -3,4678 -3,4456 -3,3511 -3,2099 -3,0566 -2,9285 -2,8459 -2,8072 -2,8056 -2,8396 -2,8971 -2,9456 -2,9492 -2,8888 -2,7694 -2,6271 -2,5231 -2,5137 -2,6163 -2,7983 -3,0062 -3,2058 -3,3864 -3,5422 -3,6657 -3,7448 -3,7631 -3,7087 -3,5814 -3,3963 -3,1803 -2,9617 -2,7684 -2,6277 -2,5582 -2,5660 -2,6550 -2,8278 -3,0724 -3,3523 -3,6120 -3,7939 -3,8556 -3,7839 -3,5958 -3,3256 -3,0079 -2,6754 -2,3597 -2,0836 -1,8570 -1,6872 -1,5903 -1,5865 -1,6905 -1,9024 -2,2012 -2,5435 -2,8757 -3,1509 -3,3400 -3,4389 -3,4738 -3,4836 -3,4942 -3,5143 -3,5450 -3,5891 -3,6493 -3,7101 -3,7342 -3,6934 -3,5870 -3,4309 -3,2472 -3,0624 -2,9022 -2,7836 -2,7067 -2,6512 -2,5905 -2,5167 -2,4479 -2,4117 -2,4257 -2,4882 -2,5761 -2,6509 -2,6761 -2,6334 -2,5227 -2,3537 -2,1445 -1,9252 -1,7323 -1,5972 -1,5442 -1,5910 -1,7438 -1,9869 -2,2775 -2,5538 -2,7528 -2,8312 -2,7858 -2,6640 -2,5513 -2,5365 -2,6706 -2,9523 -3,3409 -3,7742 -4,1779 -4,4792 -4,6293 -4,6208 -4,4858 -4,2794 -4,0601 -3,8718 -3,7383 -3,6674 -3,6536 -3,6856 -3,7535 -3,8466 -3,9566 -4,0882 -4,2611 -4,4954 -4,7975 -5,1528 -5,5265 -5,8733 -6,1544 -6,3466 -6,4475 -6,4763 -6,4658 -6,4400 -6,3958 -6,3103 -6,1749 -6,0201 -5,9035 -5,8731 -5,9386 -6,0709 -6,2224 -6,3472 -6,4126 -6,4091 -6,3583 -6,2988 -6,2479 -6,1886 -6,0923 -5,9420 -5,7349 -5,4833 -5,2150 -4,9646 -4,7615 -4,6238 -4,5526 -4,5308 -4,5339 -4,5429 -4,5444 -4,5122 -4,3962 -4,1432 -3,7424 -3,2419 -2,7135 -2,2105 -1,7646 -1,3927 -1,0953 -0,8688 -0,7259 -0,6921 -0,7793 -0,9644 -1,1983 -1,4433 -1,7013 -2,0012 -2,3631 -2,7789 -3,2220 -3,6773 -4,1588 -4,6918 -5,2838 -5,9118 -6,5147 -6,9959 -7,2603 -7,2698 -7,0653 -6,7410 -6,4015 -6,1321 -5,9883 -5,9949 -6,1473 -6,4127 -6,7380 -7,0632 -7,3304 -7,4925 -7,5287 -7,4533 -7,3048 -7,1354 -7,0051 -6,9617 -7,0134 -7,1189 -7,2035 -7,1952 -7,0604 -6,8214 -6,5391 -6,2817 -6,1058 -6,0490 -6,1239 -6,3172 -6,5887 -6,8728 -7,0948 -7,2011 -7,1823 -7,0687 -6,9020 -6,7185 -6,5466 -6,4031 -6,2963 -6,2372 -6,2269
