Fp1   0,8379 1,2021 1,5743 1,9665 2,3322 2,5974 2,7282 2,7337 2,6254 2,4057 2,0867 1,7189 1,3755 1,0915 0,8495 0,6322 0,4557 0,3442 0,2977 0,2983 0,3340 0,4051 0,5145 0,6592 0,8324 1,0364 1,2840 1,5816 1,9005 2,1491 2,1887 1,9116 1,3056 0,4516 -0,5191 -1,4709 -2,2988 -2,9490 -3,3983 -3,6340 -3,6872 -3,6467 -3,5953 -3,5498 -3,4759 -3,3415 -3,1468 -2,9142 -2,6660 -2,4144 -2,1574 -1,8759 -1,5553 -1,2071 -0,8444 -0,4721 -0,1252 0,1295 0,2487 0,2356 0,1155 -0,0852 -0,3425 -0,6212 -0,8483 -0,9300 -0,8235 -0,5879 -0,3650 -0,3128 -0,5228 -0,9623 -1,4875 -1,9282 -2,1737 -2,1967 -2,0312 -1,7534 -1,4515 -1,1793 -0,9525 -0,7823 -0,6752 -0,6184 -0,5976 -0,6183 -0,6789 -0,7303 -0,7007 -0,5634 -0,3718 -0,2478 -0,3355 -0,7300 -1,4327 -2,3622 -3,3853 -4,3617 -5,2054 -5,9093 -6,5108 -7,0497 -7,5547 -8,0454 -8,5450 -9,0873 -9,6948 -10,3566 -11,0256 -11,6415 -12,1850 -12,6902 -13,1686 -13,5581 -13,7725 -13,7773 -13,6090 -13,3316 -12,9687 -12,4790 -11,8047 -10,9542 -10,0342 -9,1813 -8,4693 -7,8938 -7,4027 -6,9008 -6,2721 -5,4437 -4,4296 -3,3110 -2,1719 -1,0629 -0,0202 0,9245 1,7593 2,4795 3,0520 3,4194 3,5500 3,4731 3,2693 3,0385 2,8607 2,7667 2,7302 2,6843 2,5638 2,3484 2,0760 1,8239 1,6720 1,6795 1,8750 2,2429 2,7084 3,1552 3,4981 3,7500 4,0007 4,3199 4,6909 5,0293 5,2469 5,3093 5,2567 5,1567 5,0336 4,8640 4,6263 4,3236 3,9779 3,6223 3,2723 2,8938 2,4148 1,7629 0,9141 -0,0565 -0,9918 -1,7417 -2,2396 -2,5210 -2,6867 -2,8213 -2,9399 -3,0128 -2,9973 -2,8554 -2,6095 -2,3585 -2,1833 -2,0773 -2,0103 -1,9947 -2,0461 -2,1139 -2,1005 -1,9627 -1,7575 -1,5736 -1,4673 -1,4758 -1,6322 -1,9442 -2,3883 -2,9273 -3,5042 -4,0218 -4,3657 -4,4507 -4,2293 -3,7017 -2,9345 -2,0426 -1,1843 -0,5517 -0,2793 -0,3543 -0,6237 -0,8851 -0,9936 -0,9170 -0,7142 -0,4900 -0,3704 -0,4481 -0,7028 -1,0075 -1,2063 -1,1562 -0,7704 -0,1064 0,6257 1,1886 1,4604 1,4912 1,4435 1,4699 1,6442 1,9740 2,4293 2,9481 3,4494 3,8588 4,1290 4,2501 4,2408 4,1329 3,9723 3,8179 3,7155 3,6759 3,6862 3,7299 3,7974 3,8953 4,0424 4,2449 4,4745 4,6566 4,6905 4,5143 4,1512 3,6690 3,1084 2,4810 1,8159 1,1677 0,5876 0,1107 -0,2393 -0,4640 -0,6166 -0,7804 -1,0037 -1,2759 -1,5537 -1,7917 -1,9573 -2,0267 -1,9744 -1,7716 -1,4008 -0,8987 -0,3888 -0,0302 0,0893 0,0018 -0,1858 -0,3640 -0,4530 -0,3970 -0,1812 0,1371 0,4730 0,7837 1,0428 1,1933 1,1845 1,0210 0,7558 0,4542 0,1643 -0,0880 -0,2925 -0,4545 -0,5958 -0,7510 -0,9582 -1,2297 -1,5280 -1,7832 -1,9375 -1,9794 -1,9437 -1,8688 -1,7589 -1,6054 -1,4110 -1,1495 -0,7372 -0,0976 0,7510 1,6822 2,5274 3,1521 3,4889 3,5470 3,4271 3,2806 3,1926 3,1213 2,9707 2,7076 2,4008 2,1576 2,0362 2,0165 2,0398 2,0796 2,1594 2,2943 2,4501 2,5703 2,6198 2,5991 2,5403 2,4913 2,4867 2,5223 2,5608 2,5779 2,6143 2,7640 3,0835 3,5353 4,0263 4,4810 4,8854 5,2647 5,6081 5,8373 5,8723 5,7048 5,3875 4,9803 4,5330 4,0959 3,7122 3,4011 3,1612 2,9770 2,8074 2,5813 2,2327 1,7645 1,2786 0,9281 0,8288 1,0100 1,4186 1,9485 2,4957 3,0052 3,4653 3,8856 4,2739 4,6024 4,8075 4,8478 4,7622 4,6568 4,6201 4,6540 4,6851 4,6311 4,4659 4,2357 4,0116 3,8370 3,7186 3,6398 3,5799 3,5384 3,5506 3,6673 3,9094 4,2430 4,6034 4,9510 5,3057 5,7039 6,1259 6,4930 6,7204 6,7485 6,5425 6,1134 5,5573 5,0378 4,7023 4,6046 4,6943 4,8746 5,0626 5,2003 5,2458 5,1843 5,0433 4,8815 4,7535 4,6858 4,6733 4,6948 4,7367 4,7789 4,7586 4,5979 4,2775 3,8537 3,4409 3,1843 3,1688 3,3508 3,6317 3,9617 4,3500 4,8150 5,3411 5,8646 6,2801 6,4715 6,3762 6,0244 5,4970 4,8544 4,1349 3,4007 2,7426 2,2402 1,9146 1,7092 1,5380 1,3649 1,2202 1,1473 1,1636 1,2572 1,3892 1,4935 1,4854 1,2907 0,8928 0,3452 -0,2637 -0,8287 -1,2452 -1,4707 -1,5613 -1,6216 -1,7280 -1,9083 -2,1656 -2,4908 -2,8731 -3,3260 -3,8841 -4,5570 -5,2914 -5,9866 -6,5493 -6,9390 -7,1581 -7,2022 -7,0354 -6,6164 -5,9460 -5,0958 -4,1916 -3,3572 -2,6638 -2,1057 -1,6177 -1,1384 -0,6576 -0,1939 0,2660 0,7818 1,4113 2,1618 2,9902 3,8310 4,6076 5,2262 5,6071 5,7319 5,6275 5,3201 4,8299 4,1929 3,4686 2,7291 2,0330 1,4104 0,8908 0,5225 0,3326 0,2833 0,2916 0,2772 0,1730 -0,1021 -0,6292 -1,4122 -2,3415 -3,2622 -4,0503 -4,6317 -4,9936 -5,1977 -5,3521 -5,5549 -5,8475 -6,1950 -6,5038 -6,6782 -6,6715 -6,4953 -6,2047 -5,8859 -5,6393 -5,5505 -5,6580 -5,9429 -6,3432 -6,7673 -7,0996 -7,2280 -7,1041 -6,7873 -6,4115 -6,0852 -5,8130 -5,5185 -5,1363 -4,6705 -4,1917 -3,8101 -3,6156 -3,5955 -3,6376 -3,6349 -3,5679 -3,5008 -3,5226 -3,6661 -3,8787 -4,0935 -4,2949 -4,4814 -4,6091 -4,6057 -4,4164 -4,0361 -3,5200 -2,9600 -2,4340 -1,9718 -1,5654 -1,1975 -0,8544 -0,5294 -0,2273 0,0263 0,1959 0,2739 0,3026 0,3544
Fz    3,1087 3,1358 3,1473 3,1420 3,0896 2,9528 2,7171 2,3944 2,0053 1,5676 1,0992 0,6236 0,1657 -0,2592 -0,6459 -0,9912 -1,2914 -1,5417 -1,7335 -1,8516 -1,8807 -1,8163 -1,6691 -1,4604 -1,2107 -0,9303 -0,6213 -0,2854 0,0675 0,4045 0,6651 0,7877 0,7413 0,5366 0,2225 -0,1319 -0,4644 -0,7412 -0,9537 -1,1005 -1,1848 -1,2273 -1,2575 -1,2881 -1,3029 -1,2706 -1,1698 -1,0010 -0,7776 -0,5143 -0,2246 0,0815 0,3919 0,6832 0,9287 1,1099 1,2151 1,2408 1,1976 1,1074 0,9986 0,9014 0,8412 0,8345 0,8875 0,9879 1,0953 1,1534 1,1141 0,9519 0,6717 0,3174 -0,0310 -0,2855 -0,3901 -0,3383 -0,1648 0,0691 0,2973 0,4805 0,6152 0,7158 0,8006 0,8821 0,9533 0,9883 0,9692 0,9113 0,8491 0,8010 0,7530 0,6657 0,4886 0,1841 -0,2513 -0,7852 -1,3624 -1,9292 -2,4601 -2,9650 -3,4691 -3,9899 -4,5327 -5,0960 -5,6756 -6,2696 -6,8791 -7,4993 -8,1069 -8,6671 -9,1607 -9,5956 -9,9786 -10,2898 -10,4941 -10,5732 -10,5430 -10,4372 -10,2804 -10,0754 -9,8109 -9,4818 -9,1112 -8,7409 -8,3940 -8,0573 -7,6900 -7,2362 -6,6494 -5,9230 -5,0980 -4,2425 -3,4200 -2,6704 -2,0155 -1,4686 -1,0343 -0,7129 -0,5109 -0,4371 -0,4790 -0,5892 -0,6991 -0,7475 -0,7042 -0,5773 -0,3988 -0,2019 -0,0023 0,2083 0,4535 0,7504 1,0948 1,4620 1,8216 2,1496 2,4301 2,6509 2,8170 2,9703 3,1802 3,5041 3,9531 4,4898 5,0494 5,5726 6,0326 6,4276 6,7523 6,9917 7,1304 7,1561 7,0649 6,8640 6,5586 6,1443 5,6180 4,9897 4,2899 3,5704 2,8864 2,2776 1,7665 1,3583 1,0406 0,8031 0,6577 0,6249 0,7111 0,8987 1,1405 1,3699 1,5409 1,6527 1,7229 1,7481 1,7123 1,6191 1,4913 1,3349 1,1254 0,8336 0,4465 -0,0290 -0,5613 -1,0972 -1,5900 -2,0242 -2,3993 -2,6953 -2,8730 -2,9013 -2,7749 -2,5216 -2,1931 -1,8337 -1,4795 -1,1787 -0,9719 -0,8565 -0,7907 -0,7223 -0,6150 -0,4576 -0,2570 -0,0338 0,1774 0,3478 0,4827 0,6164 0,7893 1,0425 1,4033 1,8460 2,2906 2,6584 2,9251 3,1262 3,3241 3,5653 3,8654 4,2208 4,6156 5,0173 5,3802 5,6622 5,8373 5,8968 5,8425 5,6823 5,4315 5,1153 4,7663 4,4143 4,0800 3,7753 3,5082 3,2904 3,1339 3,0365 2,9784 2,9317 2,8714 2,7848 2,6764 2,5571 2,4286 2,2800 2,0998 1,8846 1,6383 1,3675 1,0837 0,8067 0,5545 0,3301 0,1225 -0,0767 -0,2626 -0,4247 -0,5600 -0,6681 -0,7318 -0,7133 -0,5767 -0,3218 0,0021 0,3243 0,5945 0,7973 0,9383 1,0303 1,0840 1,1081 1,1123 1,1033 1,0855 1,0719 1,0774 1,1065 1,1521 1,2015 1,2448 1,2837 1,3323 1,4097 1,5266 1,6696 1,8018 1,8834 1,8916 1,8294 1,7268 1,6279 1,5733 1,5898 1,6869 1,8613 2,1061 2,4091 2,7492 3,1093 3,4867 3,8801 4,2708 4,6250 4,9152 5,1384 5,3100 5,4475 5,5702 5,7000 5,8332 5,9244 5,9198 5,8061 5,6237 5,4341 5,2775 5,1558 5,0473 4,9387 4,8386 4,7618 4,7089 4,6632 4,6002 4,5018 4,3728 4,2427 4,1408 4,0744 4,0337 4,0114 4,0200 4,0874 4,2313 4,4420 4,6936 4,9591 5,2205 5,4694 5,6953 5,8795 6,0091 6,0964 6,1730 6,2636 6,3676 6,4685 6,5551 6,6251 6,6771 6,7096 6,7151 6,6693 6,5359 6,2972 5,9856 5,6781 5,4570 5,3714 5,4313 5,6186 5,8992 6,2337 6,5815 6,9069 7,1833 7,3869 7,4957 7,5071 7,4534 7,3888 7,3552 7,3595 7,3840 7,4107 7,4328 7,4558 7,4878 7,5238 7,5413 7,5153 7,4380 7,3250 7,2101 7,1297 7,1031 7,1281 7,1922 7,2803 7,3757 7,4623 7,5299 7,5724 7,5814 7,5412 7,4328 7,2463 6,9972 6,7285 6,4865 6,2930 6,1387 6,0015 5,8671 5,7316 5,5956 5,4640 5,3525 5,2863 5,2871 5,3587 5,4826 5,6323 5,7869 5,9243 6,0072 5,9969 5,8796 5,6705 5,4072 5,1432 4,9206 4,7376 4,5618 4,3765 4,1977 4,0507 3,9429 3,8626 3,7869 3,6849 3,5313 3,3235 3,0758 2,7959 2,4786 2,1241 1,7495 1,3829 1,0503 0,7643 0,5308 0,3604 0,2611 0,2228 0,2223 0,2381 0,2544 0,2548 0,2180 0,1253 -0,0208 -0,1928 -0,3546 -0,4737 -0,5284 -0,5210 -0,4814 -0,4506 -0,4629 -0,5447 -0,7150 -0,9839 -1,3577 -1,8388 -2,4141 -3,0500 -3,6969 -4,2948 -4,7897 -5,1572 -5,3970 -5,5038 -5,4511 -5,2075 -4,7675 -4,1725 -3,5024 -2,8418 -2,2419 -1,7039 -1,2003 -0,7144 -0,2597 0,1397 0,4846 0,8078 1,1435 1,4969 1,8484 2,1755 2,4562 2,6599 2,7610 2,7621 2,6856 2,5422 2,3243 2,0208 1,6263 1,1492 0,6184 0,0787 -0,4193 -0,8299 -1,1262 -1,3084 -1,4012 -1,4434 -1,4783 -1,5506 -1,6993 -1,9313 -2,2086 -2,4753 -2,6889 -2,8266 -2,8873 -2,8934 -2,8774 -2,8675 -2,8792 -2,9073 -2,9255 -2,9025 -2,8202 -2,6802 -2,5016 -2,3206 -2,1898 -2,1639 -2,2720 -2,4995 -2,7932 -3,0799 -3,2863 -3,3617 -3,2944 -3,1111 -2,8560 -2,5639 -2,2455 -1,9034 -1,5567 -1,2453 -1,0224 -0,9499 -1,0728 -1,3760 -1,7827 -2,2054 -2,5914 -2,9282 -3,2266 -3,4944 -3,7168 -3,8727 -3,9595 -3,9862 -3,9543 -3,8589 -3,6928 -3,4501 -3,1382 -2,7819 -2,4121 -2,0554 -1,7360 -1,4749 -1,2825 -1,1536 -1,0708 -1,0158 -0,9817 -0,9678 -0,9691 -0,9730
F3    1,2642 1,3421 1,3870 1,4106 1,3983 1,3226 1,1722 0,9574 0,6921 0,3854 0,0484 -0,2992 -0,6333 -0,9389 -1,2161 -1,4673 -1,6840 -1,8500 -1,9492 -1,9671 -1,8938 -1,7304 -1,4885 -1,1799 -0,8082 -0,3704 0,1287 0,6586 1,1609 1,5615 1,7920 1,8157 1,6387 1,3039 0,8788 0,4398 0,0514 -0,2505 -0,4551 -0,5619 -0,5812 -0,5445 -0,4908 -0,4384 -0,3769 -0,2824 -0,1405 0,0437 0,2563 0,4883 0,7372 1,0018 1,2699 1,5154 1,7159 1,8627 1,9434 1,9335 1,8177 1,6121 1,3661 1,1423 0,9863 0,9183 0,9468 1,0683 1,2457 1,4039 1,4592 1,3532 1,0721 0,6548 0,1913 -0,2110 -0,4791 -0,5975 -0,5963 -0,5352 -0,4789 -0,4616 -0,4785 -0,5054 -0,5146 -0,4855 -0,4191 -0,3343 -0,2399 -0,1185 0,0491 0,2496 0,4383 0,5592 0,5522 0,3702 0,0075 -0,4921 -1,0567 -1,6208 -2,1552 -2,6712 -3,1931 -3,7308 -4,2781 -4,8231 -5,3570 -5,8812 -6,4061 -6,9388 -7,4641 -7,9470 -8,3641 -8,7210 -9,0246 -9,2566 -9,3898 -9,4187 -9,3678 -9,2742 -9,1593 -9,0157 -8,8184 -8,5572 -8,2623 -7,9846 -7,7511 -7,5489 -7,3369 -7,0553 -6,6418 -6,0639 -5,3405 -4,5306 -3,6989 -2,8895 -2,1290 -1,4354 -0,8237 -0,3150 0,0570 0,2613 0,2986 0,2162 0,0935 0,0119 0,0239 0,1426 0,3474 0,5950 0,8402 1,0613 1,2713 1,5037 1,7848 2,1164 2,4768 2,8341 3,1577 3,4237 3,6260 3,7887 3,9587 4,1776 4,4569 4,7772 5,1023 5,3993 5,6584 5,8834 6,0663 6,1882 6,2341 6,1938 6,0625 5,8478 5,5607 5,1980 4,7422 4,1801 3,5254 2,8295 2,1616 1,5776 1,1071 0,7478 0,4722 0,2596 0,1164 0,0597 0,1044 0,2552 0,4800 0,7070 0,8743 0,9691 1,0028 0,9745 0,8762 0,7209 0,5422 0,3634 0,1794 -0,0271 -0,2691 -0,5528 -0,8683 -1,1823 -1,4603 -1,6980 -1,9110 -2,0973 -2,2240 -2,2522 -2,1659 -1,9858 -1,7540 -1,5038 -1,2676 -1,0934 -1,0163 -1,0251 -1,0691 -1,0885 -1,0414 -0,9151 -0,7197 -0,4842 -0,2601 -0,0956 0,0094 0,1044 0,2509 0,5038 0,8930 1,3884 1,8999 2,3310 2,6314 2,8144 2,9385 3,0629 3,2174 3,4070 3,6290 3,8742 4,1192 4,3266 4,4570 4,4834 4,3976 4,2089 3,9408 3,6283 3,3121 3,0244 2,7811 2,5857 2,4354 2,3278 2,2614 2,2300 2,2222 2,2231 2,2142 2,1845 2,1386 2,0815 1,9997 1,8704 1,6844 1,4486 1,1796 0,9036 0,6547 0,4625 0,3367 0,2587 0,1905 0,0964 -0,0373 -0,2024 -0,3862 -0,5758 -0,7400 -0,8230 -0,7725 -0,5835 -0,3131 -0,0421 0,1801 0,3529 0,5001 0,6395 0,7742 0,9075 1,0486 1,1932 1,3179 1,4068 1,4577 1,4648 1,4149 1,3015 1,1390 0,9626 0,8135 0,7212 0,6942 0,7145 0,7428 0,7415 0,6924 0,5993 0,4841 0,3831 0,3383 0,3801 0,5112 0,7167 0,9880 1,3210 1,6993 2,1042 2,5290 2,9678 3,3994 3,7866 4,0897 4,2843 4,3649 4,3398 4,2401 4,1148 3,9928 3,8606 3,6930 3,4939 3,3063 3,1849 3,1578 3,2067 3,2830 3,3509 3,4108 3,4754 3,5377 3,5719 3,5529 3,4739 3,3572 3,2444 3,1681 3,1328 3,1235 3,1312 3,1743 3,2904 3,4985 3,7783 4,0853 4,3738 4,6140 4,8025 4,9512 5,0633 5,1308 5,1556 5,1551 5,1465 5,1347 5,1196 5,1029 5,0821 5,0466 4,9851 4,8906 4,7508 4,5426 4,2528 3,9114 3,5920 3,3725 3,2956 3,3623 3,5456 3,8095 4,1220 4,4521 4,7703 5,0531 5,2741 5,4007 5,4176 5,3500 5,2536 5,1779 5,1409 5,1274 5,1051 5,0585 5,0121 5,0100 5,0772 5,2034 5,3494 5,4686 5,5319 5,5434 5,5334 5,5342 5,5651 5,6344 5,7441 5,8889 6,0486 6,1872 6,2642 6,2482 6,1237 5,8976 5,6041 5,2995 5,0449 4,8792 4,7995 4,7666 4,7345 4,6740 4,5728 4,4269 4,2440 4,0498 3,8812 3,7708 3,7348 3,7693 3,8533 3,9594 4,0536 4,0881 4,0203 3,8440 3,5853 3,2857 3,0011 2,7839 2,6456 2,5629 2,5204 2,5280 2,5963 2,7148 2,8549 2,9725 3,0071 2,8999 2,6252 2,1983 1,6536 1,0321 0,3895 -0,2081 -0,7021 -1,0627 -1,2988 -1,4390 -1,4943 -1,4535 -1,3110 -1,0829 -0,8037 -0,5240 -0,3080 -0,2226 -0,3128 -0,5708 -0,9368 -1,3357 -1,7009 -1,9776 -2,1382 -2,2049 -2,2411 -2,3118 -2,4571 -2,6943 -3,0245 -3,4358 -3,9107 -4,4357 -4,9971 -5,5689 -6,1076 -6,5710 -6,9380 -7,2066 -7,3730 -7,4145 -7,2964 -7,0012 -6,5540 -6,0218 -5,4834 -4,9896 -4,5461 -4,1296 -3,7203 -3,3198 -2,9359 -2,5577 -2,1582 -1,7235 -1,2706 -0,8311 -0,4281 -0,0774 0,1972 0,3721 0,4432 0,4193 0,3004 0,0813 -0,2339 -0,6309 -1,0854 -1,5601 -2,0118 -2,3969 -2,6756 -2,8231 -2,8437 -2,7728 -2,6615 -2,5610 -2,5246 -2,6043 -2,8195 -3,1315 -3,4674 -3,7634 -3,9824 -4,1140 -4,1730 -4,1910 -4,2032 -4,2343 -4,2841 -4,3247 -4,3175 -4,2353 -4,0728 -3,8456 -3,5892 -3,3570 -3,2085 -3,1872 -3,3031 -3,5267 -3,7948 -4,0275 -4,1573 -4,1560 -4,0389 -3,8464 -3,6140 -3,3552 -3,0682 -2,7570 -2,4452 -2,1847 -2,0546 -2,1237 -2,3876 -2,7584 -3,1325 -3,4556 -3,7308 -3,9880 -4,2433 -4,4823 -4,6843 -4,8466 -4,9714 -5,0450 -5,0408 -4,9287 -4,6865 -4,3138 -3,8362 -3,2927 -2,7268 -2,1916 -1,7496 -1,4548 -1,3273 -1,3444 -1,4584 -1,6222 -1,7934 -1,9257 -1,9748
F7    -0,2450 -0,1796 -0,1296 -0,1101 -0,1150 -0,1218 -0,1147 -0,0990 -0,0852 -0,0696 -0,0491 -0,0424 -0,0758 -0,1528 -0,2491 -0,3269 -0,3541 -0,3240 -0,2563 -0,1775 -0,1055 -0,0458 0,0123 0,0991 0,2493 0,4775 0,7645 1,0616 1,3108 1,4669 1,5082 1,4360 1,2692 1,0349 0,7591 0,4637 0,1735 -0,0837 -0,2877 -0,4343 -0,5388 -0,6321 -0,7404 -0,8647 -0,9777 -1,0345 -0,9992 -0,8724 -0,6900 -0,5019 -0,3568 -0,2916 -0,3184 -0,4167 -0,5395 -0,6338 -0,6630 -0,6126 -0,4902 -0,3246 -0,1442 0,0433 0,2369 0,4235 0,5752 0,6508 0,6151 0,4749 0,2871 0,1246 0,0282 -0,0124 -0,0361 -0,0790 -0,1611 -0,2829 -0,4284 -0,5712 -0,6820 -0,7374 -0,7307 -0,6691 -0,5591 -0,4082 -0,2383 -0,0871 0,0138 0,0544 0,0395 -0,0182 -0,0971 -0,1738 -0,2416 -0,3182 -0,4305 -0,5950 -0,8155 -1,0887 -1,4062 -1,7557 -2,1278 -2,5179 -2,9188 -3,3164 -3,6986 -4,0673 -4,4378 -4,8268 -5,2310 -5,6178 -5,9549 -6,2435 -6,5028 -6,7345 -6,9149 -7,0184 -7,0458 -7,0320 -7,0302 -7,0826 -7,1886 -7,2979 -7,3412 -7,2682 -7,0639 -6,7467 -6,3549 -5,9286 -5,4958 -5,0689 -4,6464 -4,2181 -3,7790 -3,3380 -2,9119 -2,5116 -2,1363 -1,7814 -1,4495 -1,1506 -0,8903 -0,6598 -0,4370 -0,2013 0,0534 0,3221 0,5995 0,8851 1,1814 1,4819 1,7650 2,0142 2,2375 2,4453 2,6218 2,7398 2,7937 2,8033 2,7951 2,7933 2,8222 2,9042 3,0505 3,2522 3,4794 3,6940 3,8657 3,9802 4,0356 4,0385 4,0037 3,9483 3,8834 3,8117 3,7229 3,5856 3,3625 3,0455 2,6645 2,2546 1,8276 1,3900 0,9742 0,6266 0,3691 0,2008 0,1312 0,1785 0,3415 0,5943 0,8911 1,1658 1,3591 1,4566 1,4804 1,4539 1,3872 1,2728 1,0897 0,8332 0,5355 0,2402 -0,0307 -0,2774 -0,5028 -0,6983 -0,8514 -0,9677 -1,0772 -1,2105 -1,3670 -1,5107 -1,5991 -1,6173 -1,5771 -1,4979 -1,4058 -1,3359 -1,3139 -1,3365 -1,3725 -1,3822 -1,3349 -1,2131 -1,0103 -0,7400 -0,4458 -0,1843 0,0126 0,1513 0,2621 0,3832 0,5397 0,7241 0,9070 1,0696 1,2118 1,3320 1,4214 1,4823 1,5371 1,6121 1,7131 1,8231 1,9211 1,9902 2,0102 1,9632 1,8536 1,7098 1,5599 1,4163 1,2823 1,1629 1,0748 1,0425 1,0709 1,1344 1,2032 1,2645 1,3178 1,3619 1,3898 1,3945 1,3721 1,3145 1,2111 1,0639 0,8892 0,7035 0,5227 0,3705 0,2728 0,2371 0,2412 0,2444 0,2037 0,0880 -0,1142 -0,3981 -0,7506 -1,1475 -1,5418 -1,8680 -2,0695 -2,1224 -2,0414 -1,8612 -1,6144 -1,3273 -1,0227 -0,7215 -0,4434 -0,1997 0,0083 0,1723 0,2680 0,2853 0,2536 0,2163 0,1962 0,1965 0,2141 0,2429 0,2726 0,2928 0,2977 0,2817 0,2282 0,1173 -0,0522 -0,2592 -0,4689 -0,6335 -0,7063 -0,6690 -0,5383 -0,3402 -0,0903 0,1924 0,4695 0,6958 0,8411 0,9082 0,9382 0,9908 1,1095 1,3036 1,5488 1,7996 2,0117 2,1597 2,2394 2,2619 2,2500 2,2351 2,2476 2,3075 2,4200 2,5716 2,7260 2,8388 2,8897 2,8909 2,8603 2,8001 2,7069 2,5907 2,4701 2,3571 2,2576 2,1866 2,1686 2,2246 2,3598 2,5598 2,7970 3,0401 3,2570 3,4134 3,4855 3,4813 3,4405 3,4034 3,3845 3,3783 3,3766 3,3706 3,3400 3,2520 3,0777 2,8123 2,4815 2,1281 1,7973 1,5262 1,3327 1,2112 1,1409 1,1004 1,0786 1,0780 1,1081 1,1761 1,2802 1,4099 1,5562 1,7150 1,8763 2,0175 2,1180 2,1805 2,2301 2,2921 2,3798 2,5048 2,6758 2,8775 3,0716 3,2304 3,3543 3,4601 3,5622 3,6538 3,7047 3,6858 3,5919 3,4413 3,2635 3,0925 2,9645 2,9013 2,8960 2,9172 2,9272 2,8981 2,8218 2,7112 2,5940 2,4904 2,3941 2,2858 2,1538 1,9999 1,8506 1,7590 1,7677 1,8731 2,0372 2,2125 2,3483 2,4094 2,4032 2,3681 2,3318 2,2954 2,2464 2,1766 2,0895 2,0000 1,9219 1,8577 1,8070 1,7840 1,8079 1,8708 1,9367 1,9751 1,9737 1,9271 1,8444 1,7635 1,7340 1,7739 1,8494 1,9009 1,8871 1,8009 1,6545 1,4610 1,2322 0,9865 0,7498 0,5451 0,3940 0,3186 0,3286 0,4101 0,5360 0,6798 0,8122 0,8989 0,9135 0,8528 0,7341 0,5821 0,4132 0,2343 0,0520 -0,1263 -0,3019 -0,4872 -0,6945 -0,9248 -1,1723 -1,4421 -1,7573 -2,1431 -2,6111 -3,1513 -3,7295 -4,2998 -4,8247 -5,2805 -5,6535 -5,9318 -6,0971 -6,1306 -6,0315 -5,8187 -5,5167 -5,1486 -4,7418 -4,3302 -3,9475 -3,6184 -3,3517 -3,1327 -2,9201 -2,6642 -2,3420 -1,9713 -1,5872 -1,2126 -0,8577 -0,5312 -0,2397 0,0184 0,2485 0,4469 0,5952 0,6713 0,6640 0,5810 0,4501 0,3072 0,1728 0,0443 -0,0840 -0,2075 -0,3290 -0,4657 -0,6310 -0,8265 -1,0453 -1,2754 -1,5076 -1,7430 -1,9863 -2,2354 -2,4826 -2,7214 -2,9384 -3,1031 -3,1797 -3,1573 -3,0612 -2,9308 -2,7913 -2,6458 -2,4812 -2,2855 -2,0675 -1,8654 -1,7335 -1,7140 -1,8079 -1,9729 -2,1614 -2,3546 -2,5583 -2,7795 -3,0109 -3,2343 -3,4328 -3,5859 -3,6685 -3,6701 -3,6092 -3,5304 -3,4880 -3,5204 -3,6346 -3,8158 -4,0409 -4,2885 -4,5454 -4,8062 -5,0707 -5,3403 -5,6165 -5,9009 -6,1888 -6,4592 -6,6807 -6,8312 -6,9074 -6,9101 -6,8311 -6,6572 -6,3861 -6,0367 -5,6425 -5,2369 -4,8448 -4,4822 -4,1593 -3,8810 -3,6405 -3,4238
