Fp1   -0,0288 0,0743 0,0925 0,0445 -0,0295 -0,0904 -0,1166 -0,1097 -0,0924 -0,0887 -0,1057 -0,1392 -0,1875 -0,2444 -0,2903 -0,2993 -0,2526 -0,1485 -0,0098 0,1197 0,1953 0,1948 0,1315 0,0514 0,0056 0,0154 0,0628 0,1141 0,1408 0,1212 0,0437 -0,0853 -0,2450 -0,4122 -0,5689 -0,7014 -0,7985 -0,8560 -0,8751 -0,8486 -0,7527 -0,5594 -0,2558 0,1424 0,5869 1,0071 1,3336 1,5276 1,5984 1,5889 1,5411 1,4759 1,4017 1,3284 1,2693 1,2328 1,2138 1,1940 1,1597 1,1212 1,1040 1,1195 1,1520 1,1745 1,1755 1,1652 1,1586 1,1580 1,1588 1,1641 1,1839 1,2225 1,2703 1,3055 1,3088 1,2801 1,2382 1,2039 1,1867 1,1862 1,1924 1,1853 1,1443 1,0619 0,9466 0,8150 0,6874 0,5840 0,5146 0,4693 0,4206 0,3435 0,2378 0,1241 0,0196 -0,0764 -0,1791 -0,3144 -0,5136 -0,7981 -1,1640 -1,5814 -2,0111 -2,4208 -2,7886 -3,1046 -3,3773 -3,6306 -3,8859 -4,1481 -4,4066 -4,6422 -4,8371 -4,9862 -5,0990 -5,1861 -5,2482 -5,2744 -5,2441 -5,1321 -4,9196 -4,6084 -4,2246 -3,8012 -3,3550 -2,8770 -2,3392 -1,7126 -0,9910 -0,2087 0,5657 1,2616 1,8382 2,2948 2,6553 2,9451 3,1798 3,3678 3,5109 3,5978 3,6050 3,5148 3,3355 3,0977 2,8318 2,5520 2,2632 1,9731 1,6954 1,4429 1,2249 1,0525 0,9379 0,8890 0,9075 0,9867 1,1084 1,2427 1,3510 1,3969 1,3665 1,2827 1,1957 1,1575 1,2001 1,3237 1,4928 1,6482 1,7388 1,7540 1,7333 1,7431 1,8362 2,0201 2,2505 2,4572 2,5840 2,6148 2,5636 2,4475 2,2799 2,0798 1,8692 1,6692 1,5068 1,4088 1,3860 1,4310 1,5266 1,6495 1,7747 1,8792 1,9422 1,9440 1,8707 1,7165 1,4837 1,1836 0,8330 0,4536 0,0778 -0,2614 -0,5463 -0,7758 -0,9594 -1,1211 -1,3013 -1,5439 -1,8717 -2,2667 -2,6724 -3,0221 -3,2678 -3,3943 -3,4185 -3,3760 -3,3024 -3,2222 -3,1443 -3,0564 -2,9300 -2,7433 -2,5015 -2,2386 -2,0024 -1,8326 -1,7437 -1,7269 -1,7645 -1,8383 -1,9291 -2,0151 -2,0763 -2,1043 -2,1064 -2,0966 -2,0804 -2,0478 -1,9809 -1,8632 -1,6818 -1,4294 -1,1170 -0,7911 -0,5270 -0,3962 -0,4312 -0,6139 -0,8861 -1,1742 -1,4160 -1,5806 -1,6742 -1,7262 -1,7621 -1,7890 -1,8037 -1,8059 -1,7945 -1,7616 -1,6963 -1,5908 -1,4450 -1,2676 -1,0751 -0,8913 -0,7511 -0,6995 -0,7701 -0,9552 -1,1960 -1,4054 -1,5092 -1,4790 -1,3360 -1,1315 -0,9240 -0,7612 -0,6645 -0,6278 -0,6360 -0,6809 -0,7607 -0,8717 -1,0033 -1,1369 -1,2551 -1,3556 -1,4532 -1,5627 -1,6757 -1,7633 -1,8038 -1,8049 -1,8004 -1,8296 -1,9119 -2,0374 -2,1751 -2,2830 -2,3199 -2,2593 -2,1028 -1,8825 -1,6493 -1,4579 -1,3491 -1,3297 -1,3654 -1,4005 -1,3871 -1,3016 -1,1399 -0,9078 -0,6232 -0,3239 -0,0623 0,1152 0,1886 0,1665 0,0781 -0,0333 -0,1172 -0,1343 -0,0762 0,0324 0,1536 0,2565 0,3292 0,3857 0,4600 0,5767 0,7279 0,8865 1,0314 1,1489 1,2222 1,2326 1,1659 1,0213 0,8239 0,6246 0,4764 0,4074 0,4172 0,4860 0,5851 0,6915 0,7973 0,8974 0,9803 1,0359 1,0637 1,0689 1,0571 1,0299 0,9788 0,8920 0,7718 0,6374 0,5120 0,4140 0,3548 0,3306 0,3123 0,2555 0,1290 -0,0630 -0,2850 -0,4890 -0,6364 -0,7191 -0,7641 -0,8123 -0,8896 -0,9939 -1,1031 -1,1958 -1,2636 -1,3086 -1,3380 -1,3624 -1,3954 -1,4504 -1,5298 -1,6187 -1,6944 -1,7391 -1,7378 -1,6771 -1,5563 -1,3892 -1,1992 -1,0274 -0,9334 -0,9674 -1,1338 -1,3787 -1,6096 -1,7347 -1,7036 -1,5231 -1,2417 -0,9222 -0,6181 -0,3616 -0,1644 -0,0287 0,0405 0,0365 -0,0291 -0,1121 -0,1499 -0,0957 0,0533 0,2601 0,4716 0,6388 0,7300 0,7437 0,7140 0,6959 0,7281 0,8051 0,8886 0,9401 0,9389 0,8787 0,7644 0,6137 0,4537 0,3147 0,2241 0,2038 0,2677 0,4192 0,6460 0,9097 1,1498 1,3111 1,3733 1,3493 1,2659 1,1541 1,0424 0,9471 0,8737 0,8283 0,8140 0,8216 0,8388 0,8641 0,9041 0,9641 1,0466 1,1524 1,2802 1,4212 1,5547 1,6564 1,7125 1,7193 1,6685 1,5429 1,3286 1,0234 0,6432 0,2350 -0,1292 -0,3915 -0,5394 -0,5996 -0,6096 -0,5956 -0,5734 -0,5612 -0,5819 -0,6499 -0,7624 -0,9003 -1,0362 -1,1489 -1,2348 -1,3075 -1,3865 -1,4821 -1,5953 -1,7276 -1,8840 -2,0647 -2,2559 -2,4277 -2,5447 -2,5852 -2,5554 -2,4832 -2,3992 -2,3172 -2,2232 -2,0813 -1,8611 -1,5620 -1,2088 -0,8292 -0,4417 -0,0552 0,3258 0,6881 1,0009 1,2260 1,3383 1,3374 1,2413 1,0742 0,8618 0,6369 0,4434 0,3289 0,3194 0,3960 0,5062 0,6036 0,6670 0,6910 0,6808 0,6528 0,6250 0,6025 0,5781 0,5446 0,5099 0,4970 0,5272 0,6003 0,6900 0,7486 0,7183 0,5585 0,2686 -0,1066 -0,4888 -0,7914 -0,9558 -0,9731 -0,8747 -0,7057 -0,5080 -0,3216 -0,1906 -0,1612 -0,2681 -0,5192 -0,8880 -1,3211 -1,7595 -2,1622 -2,5137 -2,8160 -3,0771 -3,3055 -3,5132 -3,7173 -3,9379 -4,1882 -4,4657 -4,7529 -5,0257 -5,2587 -5,4303 -5,5304 -5,5623 -5,5399 -5,4847 -5,4168 -5,3429 -5,2630 -5,1856 -5,1334 -5,1339 -5,2077 -5,3598 -5,5732 -5,8114 -6,0380 -6,2366 -6,4118 -6,5698 -6,7007 -6,7860 -6,8150 -6,7835 -6,6812 -6,4951 -6,2258 -5,8961 -5,5468 -5,2247 -4,9666 -4,7911 -4,6997
Fz    0,9492 0,8242 0,6805 0,5476 0,4486 0,3960 0,3889 0,4132 0,4432 0,4472 0,3995 0,2893 0,1245 -0,0662 -0,2376 -0,3450 -0,3633 -0,2925 -0,1543 0,0140 0,1692 0,2785 0,3338 0,3527 0,3593 0,3584 0,3284 0,2385 0,0734 -0,1571 -0,4255 -0,6989 -0,9446 -1,1325 -1,2426 -1,2735 -1,2428 -1,1758 -1,0891 -0,9800 -0,8316 -0,6272 -0,3632 -0,0542 0,2700 0,5751 0,8306 1,0094 1,0892 1,0648 0,9616 0,8347 0,7517 0,7665 0,9022 1,1493 1,4739 1,8279 2,1658 2,4623 2,7149 2,9340 3,1277 3,2930 3,4192 3,5003 3,5391 3,5436 3,5267 3,5051 3,4888 3,4748 3,4519 3,4079 3,3348 3,2308 3,0982 2,9390 2,7522 2,5367 2,2993 2,0569 1,8278 1,6199 1,4286 1,2443 1,0663 0,9075 0,7861 0,7154 0,6997 0,7379 0,8275 0,9609 1,1179 1,2687 1,3806 1,4222 1,3662 1,1952 0,9054 0,5098 0,0401 -0,4580 -0,9355 -1,3538 -1,6955 -1,9685 -2,1978 -2,4106 -2,6234 -2,8387 -3,0498 -3,2478 -3,4216 -3,5570 -3,6419 -3,6701 -3,6356 -3,5275 -3,3296 -3,0226 -2,5897 -2,0275 -1,3571 -0,6220 0,1270 0,8463 1,5100 2,1105 2,6537 3,1486 3,6025 4,0223 4,4174 4,7974 5,1675 5,5264 5,8645 6,1628 6,3971 6,5471 6,6000 6,5474 6,3828 6,1069 5,7360 5,3056 4,8627 4,4509 4,0994 3,8212 3,6215 3,5066 3,4846 3,5579 3,7170 3,9365 4,1788 4,4050 4,5887 4,7248 4,8290 4,9263 5,0353 5,1600 5,2880 5,3957 5,4635 5,4909 5,4958 5,5035 5,5362 5,6064 5,7109 5,8304 5,9409 6,0244 6,0705 6,0747 6,0398 5,9761 5,8905 5,7775 5,6278 5,4409 5,2274 5,0035 4,7845 4,5802 4,3943 4,2248 4,0646 3,9058 3,7392 3,5498 3,3170 3,0258 2,6778 2,2919 1,8946 1,5060 1,1347 0,7855 0,4692 0,1995 -0,0189 -0,1937 -0,3347 -0,4436 -0,5191 -0,5695 -0,6122 -0,6596 -0,7117 -0,7624 -0,8105 -0,8638 -0,9328 -1,0199 -1,1117 -1,1842 -1,2141 -1,1866 -1,0975 -0,9521 -0,7637 -0,5493 -0,3269 -0,1138 0,0748 0,2279 0,3396 0,4076 0,4340 0,4305 0,4188 0,4229 0,4552 0,5093 0,5685 0,6219 0,6680 0,7016 0,7085 0,6757 0,6057 0,5222 0,4645 0,4719 0,5627 0,7217 0,9050 1,0605 1,1567 1,1955 1,2014 1,2028 1,2232 1,2781 1,3664 1,4686 1,5571 1,6078 1,6042 1,5390 1,4155 1,2436 1,0386 0,8264 0,6448 0,5337 0,5178 0,5982 0,7576 0,9717 1,2149 1,4590 1,6755 1,8424 1,9449 1,9701 1,9086 1,7643 1,5597 1,3251 1,0824 0,8411 0,6095 0,4045 0,2501 0,1633 0,1409 0,1636 0,2157 0,2977 0,4187 0,5799 0,7649 0,9455 1,0994 1,2232 1,3266 1,4214 1,5160 1,6139 1,7140 1,8146 1,9183 2,0305 2,1584 2,3116 2,5019 2,7391 3,0195 3,3190 3,6008 3,8340 4,0066 4,1250 4,2051 4,2656 4,3220 4,3811 4,4443 4,5139 4,5910 4,6659 4,7196 4,7429 4,7491 4,7598 4,7845 4,8192 4,8555 4,8832 4,8875 4,8555 4,7824 4,6742 4,5484 4,4304 4,3389 4,2710 4,2037 4,1097 3,9732 3,8007 3,6203 3,4673 3,3681 3,3339 3,3641 3,4457 3,5556 3,6665 3,7545 3,8012 3,7921 3,7153 3,5635 3,3403 3,0640 2,7617 2,4627 2,1942 1,9757 1,8144 1,7090 1,6565 1,6549 1,7009 1,7854 1,8912 1,9993 2,0978 2,1875 2,2787 2,3822 2,4982 2,6090 2,6854 2,7032 2,6571 2,5643 2,4557 2,3595 2,2920 2,2592 2,2605 2,2891 2,3336 2,3813 2,4153 2,4168 2,3816 2,3368 2,3349 2,4246 2,6225 2,9008 3,1969 3,4392 3,5736 3,5769 3,4589 3,2562 3,0241 2,8223 2,6990 2,6831 2,7868 3,0069 3,3202 3,6817 4,0364 4,3366 4,5523 4,6724 4,7016 4,6567 4,5613 4,4379 4,3000 4,1521 3,9947 3,8306 3,6693 3,5284 3,4328 3,4084 3,4729 3,6288 3,8565 4,1147 4,3523 4,5266 4,6157 4,6214 4,5622 4,4585 4,3169 4,1339 3,9127 3,6729 3,4459 3,2695 3,1814 3,2054 3,3393 3,5610 3,8433 4,1613 4,4965 4,8339 5,1597 5,4614 5,7289 5,9524 6,1242 6,2416 6,3027 6,3002 6,2220 6,0602 5,8156 5,4972 5,1222 4,7167 4,3088 3,9202 3,5670 3,2689 3,0535 2,9454 2,9476 3,0326 3,1521 3,2572 3,3130 3,3019 3,2193 3,0695 2,8594 2,5940 2,2791 1,9228 1,5342 1,1263 0,7189 0,3362 0,0032 -0,2599 -0,4419 -0,5441 -0,5762 -0,5495 -0,4717 -0,3457 -0,1725 0,0465 0,3096 0,6208 0,9873 1,4084 1,8667 2,3301 2,7621 3,1329 3,4255 3,6350 3,7671 3,8347 3,8520 3,8298 3,7708 3,6735 3,5436 3,4013 3,2730 3,1802 3,1370 3,1492 3,2120 3,3163 3,4591 3,6425 3,8594 4,0879 4,3006 4,4772 4,6087 4,6911 4,7218 4,7016 4,6304 4,4986 4,2902 3,9961 3,6264 3,2131 2,8053 2,4579 2,2105 2,0694 2,0040 1,9603 1,8815 1,7275 1,4870 1,1742 0,8114 0,4138 -0,0091 -0,4453 -0,8802 -1,3064 -1,7299 -2,1649 -2,6193 -3,0846 -3,5404 -3,9664 -4,3534 -4,7017 -5,0132 -5,2825 -5,4947 -5,6327 -5,6918 -5,6879 -5,6474 -5,5929 -5,5355 -5,4747 -5,4054 -5,3257 -5,2452 -5,1879 -5,1843 -5,2546 -5,3986 -5,5988 -5,8300 -6,0687 -6,2989 -6,5077 -6,6817 -6,8108 -6,8948 -6,9403 -6,9495 -6,9109 -6,7996 -6,5900 -6,2719 -5,8599 -5,3923 -4,9219 -4,4956
F3    0,6890 0,6517 0,6285 0,6261 0,6464 0,6886 0,7490 0,8210 0,8901 0,9329 0,9263 0,8572 0,7277 0,5600 0,3927 0,2653 0,2006 0,1993 0,2456 0,3166 0,3904 0,4550 0,5090 0,5505 0,5672 0,5349 0,4239 0,2147 -0,0837 -0,4318 -0,7775 -1,0747 -1,2916 -1,4133 -1,4457 -1,4118 -1,3410 -1,2560 -1,1658 -1,0644 -0,9390 -0,7830 -0,6027 -0,4147 -0,2377 -0,0858 0,0293 0,0901 0,0739 -0,0332 -0,2207 -0,4467 -0,6459 -0,7553 -0,7399 -0,5973 -0,3485 -0,0316 0,3098 0,6440 0,9622 1,2731 1,5859 1,8931 2,1692 2,3879 2,5350 2,6134 2,6435 2,6534 2,6579 2,6462 2,5921 2,4739 2,2847 2,0300 1,7259 1,3944 1,0585 0,7411 0,4676 0,2611 0,1295 0,0564 0,0070 -0,0505 -0,1231 -0,1939 -0,2428 -0,2626 -0,2576 -0,2312 -0,1779 -0,0908 0,0259 0,1528 0,2621 0,3205 0,2916 0,1502 -0,1055 -0,4546 -0,8647 -1,3022 -1,7407 -2,1665 -2,5815 -2,9973 -3,4265 -3,8743 -4,3316 -4,7737 -5,1671 -5,4810 -5,6941 -5,7945 -5,7816 -5,6664 -5,4681 -5,2075 -4,8973 -4,5337 -4,0963 -3,5649 -2,9414 -2,2558 -1,5536 -0,8813 -0,2727 0,2597 0,7235 1,1344 1,5056 1,8474 2,1748 2,5076 2,8605 3,2352 3,6212 3,9992 4,3445 4,6341 4,8517 4,9805 4,9982 4,8863 4,6463 4,3052 3,9053 3,4922 3,1032 2,7603 2,4748 2,2592 2,1271 2,0807 2,1058 2,1795 2,2777 2,3807 2,4793 2,5784 2,6911 2,8270 2,9830 3,1448 3,2914 3,4015 3,4644 3,4901 3,5051 3,5330 3,5793 3,6332 3,6780 3,7011 3,6985 3,6731 3,6260 3,5550 3,4610 3,3518 3,2338 3,1053 2,9611 2,7980 2,6137 2,4051 2,1712 1,9147 1,6414 1,3578 1,0680 0,7756 0,4827 0,1855 -0,1276 -0,4634 -0,8122 -1,1530 -1,4712 -1,7684 -2,0566 -2,3423 -2,6177 -2,8669 -3,0811 -3,2661 -3,4339 -3,5926 -3,7460 -3,8994 -4,0540 -4,1968 -4,3056 -4,3684 -4,3952 -4,4138 -4,4533 -4,5253 -4,6132 -4,6831 -4,7045 -4,6595 -4,5426 -4,3624 -4,1408 -3,9012 -3,6569 -3,4126 -3,1736 -2,9499 -2,7547 -2,5999 -2,4878 -2,4061 -2,3348 -2,2619 -2,1957 -2,1618 -2,1837 -2,2609 -2,3678 -2,4747 -2,5672 -2,6430 -2,6989 -2,7214 -2,6889 -2,5835 -2,4043 -2,1731 -1,9321 -1,7279 -1,5888 -1,5110 -1,4652 -1,4156 -1,3348 -1,2160 -1,0795 -0,9642 -0,9058 -0,9199 -1,0000 -1,1260 -1,2775 -1,4419 -1,6103 -1,7648 -1,8734 -1,9001 -1,8263 -1,6615 -1,4345 -1,1766 -0,9111 -0,6535 -0,4179 -0,2238 -0,0982 -0,0689 -0,1540 -0,3540 -0,6488 -1,0045 -1,3906 -1,7906 -2,1929 -2,5731 -2,8910 -3,1107 -3,2216 -3,2399 -3,1919 -3,0957 -2,9600 -2,7955 -2,6238 -2,4744 -2,3732 -2,3295 -2,3326 -2,3616 -2,3976 -2,4276 -2,4400 -2,4208 -2,3592 -2,2532 -2,1052 -1,9162 -1,6882 -1,4313 -1,1678 -0,9267 -0,7318 -0,5912 -0,4968 -0,4312 -0,3738 -0,3012 -0,1897 -0,0235 0,2023 0,4835 0,8017 1,1175 1,3791 1,5480 1,6181 1,6055 1,5289 1,4072 1,2642 1,1230 0,9949 0,8799 0,7759 0,6846 0,6093 0,5510 0,5041 0,4529 0,3749 0,2530 0,0886 -0,0932 -0,2531 -0,3590 -0,4006 -0,3882 -0,3418 -0,2814 -0,2219 -0,1726 -0,1383 -0,1187 -0,1071 -0,0951 -0,0820 -0,0764 -0,0892 -0,1292 -0,2018 -0,3069 -0,4378 -0,5848 -0,7359 -0,8772 -0,9949 -1,0762 -1,1112 -1,0970 -1,0384 -0,9480 -0,8434 -0,7377 -0,6303 -0,5132 -0,3885 -0,2783 -0,2194 -0,2434 -0,3573 -0,5373 -0,7390 -0,9166 -1,0375 -1,0894 -1,0822 -1,0406 -0,9944 -0,9722 -0,9967 -1,0734 -1,1769 -1,2564 -1,2637 -1,1757 -0,9971 -0,7575 -0,5076 -0,3054 -0,1953 -0,1930 -0,2846 -0,4333 -0,5934 -0,7233 -0,7910 -0,7752 -0,6705 -0,4924 -0,2758 -0,0617 0,1187 0,2492 0,3248 0,3490 0,3352 0,3019 0,2642 0,2265 0,1872 0,1453 0,1049 0,0746 0,0666 0,0962 0,1770 0,3134 0,4969 0,7038 0,8980 1,0437 1,1195 1,1267 1,0841 1,0146 0,9285 0,8154 0,6588 0,4606 0,2452 0,0425 -0,1208 -0,2200 -0,2358 -0,1650 -0,0202 0,1787 0,4154 0,6829 0,9765 1,2821 1,5790 1,8513 2,0881 2,2803 2,4228 2,5162 2,5558 2,5239 2,3993 2,1717 1,8474 1,4529 1,0287 0,6120 0,2239 -0,1280 -0,4361 -0,6841 -0,8527 -0,9359 -0,9496 -0,9244 -0,8886 -0,8532 -0,8096 -0,7429 -0,6490 -0,5473 -0,4773 -0,4833 -0,5985 -0,8350 -1,1823 -1,6104 -2,0766 -2,5274 -2,9067 -3,1708 -3,3033 -3,3146 -3,2298 -3,0745 -2,8695 -2,6341 -2,3892 -2,1488 -1,9061 -1,6395 -1,3347 -0,9986 -0,6578 -0,3478 -0,0965 0,0865 0,2080 0,2838 0,3286 0,3500 0,3454 0,3005 0,1965 0,0286 -0,1822 -0,3995 -0,5874 -0,7162 -0,7649 -0,7274 -0,6127 -0,4395 -0,2301 -0,0046 0,2231 0,4445 0,6514 0,8332 0,9777 1,0726 1,1040 1,0523 0,8962 0,6233 0,2382 -0,2342 -0,7507 -1,2527 -1,6804 -1,9950 -2,1957 -2,3163 -2,4086 -2,5220 -2,6869 -2,9084 -3,1715 -3,4569 -3,7551 -4,0654 -4,3855 -4,7059 -5,0145 -5,3067 -5,5920 -5,8879 -6,2090 -6,5596 -6,9351 -7,3249 -7,7157 -8,0936 -8,4431 -8,7438 -8,9771 -9,1359 -9,2247 -9,2510 -9,2221 -9,1470 -9,0384 -8,9106 -8,7769 -8,6502 -8,5453 -8,4802 -8,4725 -8,5318 -8,6521 -8,8150 -9,0002 -9,1918 -9,3765 -9,5395 -9,6686 -9,7623 -9,8306 -9,8832 -9,9123 -9,8893 -9,7771 -9,5506 -9,2105 -8,7854 -8,3222 -7,8682
F7    -0,0508 -0,0573 -0,0810 -0,1035 -0,1003 -0,0477 0,0639 0,2210 0,3915 0,5393 0,6372 0,6706 0,6393 0,5638 0,4855 0,4481 0,4760 0,5647 0,6845 0,7910 0,8415 0,8162 0,7316 0,6292 0,5428 0,4692 0,3689 0,2019 -0,0368 -0,3153 -0,5898 -0,8228 -0,9882 -1,0756 -1,0967 -1,0786 -1,0486 -1,0244 -1,0123 -1,0028 -0,9690 -0,8817 -0,7275 -0,5155 -0,2680 -0,0095 0,2389 0,4607 0,6444 0,7821 0,8664 0,8946 0,8777 0,8404 0,8052 0,7779 0,7437 0,6801 0,5815 0,4693 0,3766 0,3257 0,3216 0,3577 0,4225 0,5024 0,5859 0,6693 0,7588 0,8656 0,9952 1,1366 1,2616 1,3379 1,3483 1,2989 1,2101 1,0957 0,9522 0,7652 0,5245 0,2387 -0,0647 -0,3544 -0,6113 -0,8258 -0,9853 -1,0759 -1,0984 -1,0735 -1,0307 -0,9893 -0,9469 -0,8866 -0,7983 -0,6903 -0,5887 -0,5325 -0,5646 -0,7165 -0,9940 -1,3753 -1,8217 -2,2892 -2,7389 -3,1499 -3,5306 -3,9134 -4,3314 -4,8004 -5,3132 -5,8402 -6,3304 -6,7264 -6,9882 -7,1081 -7,1063 -7,0124 -6,8509 -6,6363 -6,3728 -6,0574 -5,6842 -5,2492 -4,7505 -4,1865 -3,5617 -2,8961 -2,2245 -1,5844 -1,0005 -0,4801 -0,0200 0,3860 0,7452 1,0645 1,3462 1,5847 1,7704 1,8956 1,9547 1,9464 1,8755 1,7469 1,5614 1,3224 1,0472 0,7631 0,4947 0,2595 0,0708 -0,0625 -0,1370 -0,1528 -0,1139 -0,0330 0,0685 0,1688 0,2501 0,3005 0,3187 0,3172 0,3188 0,3447 0,4054 0,4947 0,5869 0,6434 0,6355 0,5641 0,4591 0,3620 0,3091 0,3206 0,3944 0,5091 0,6352 0,7445 0,8138 0,8291 0,7963 0,7416 0,6910 0,6535 0,6244 0,5951 0,5553 0,4928 0,3920 0,2367 0,0209 -0,2418 -0,5264 -0,8108 -1,0859 -1,3584 -1,6453 -1,9610 -2,3100 -2,6885 -3,0901 -3,5081 -3,9320 -4,3403 -4,7027 -4,9969 -5,2252 -5,4149 -5,6005 -5,8052 -6,0328 -6,2706 -6,4972 -6,6908 -6,8355 -6,9279 -6,9802 -7,0138 -7,0431 -7,0628 -7,0488 -6,9737 -6,8248 -6,6137 -6,3738 -6,1468 -5,9650 -5,8372 -5,7496 -5,6807 -5,6151 -5,5488 -5,4903 -5,4558 -5,4555 -5,4804 -5,5034 -5,4938 -5,4329 -5,3218 -5,1735 -4,9991 -4,8050 -4,6056 -4,4310 -4,3169 -4,2824 -4,3165 -4,3832 -4,4437 -4,4768 -4,4882 -4,5068 -4,5659 -4,6780 -4,8224 -4,9538 -5,0201 -4,9742 -4,7887 -4,4776 -4,1003 -3,7343 -3,4378 -3,2308 -3,1019 -3,0298 -3,0063 -3,0402 -3,1367 -3,2758 -3,4128 -3,5000 -3,5029 -3,4051 -3,2102 -2,9458 -2,6609 -2,4102 -2,2375 -2,1712 -2,2250 -2,3930 -2,6474 -2,9413 -3,2208 -3,4437 -3,5983 -3,7040 -3,7913 -3,8806 -3,9797 -4,0965 -4,2395 -4,4014 -4,5477 -4,6317 -4,6240 -4,5305 -4,3862 -4,2369 -4,1227 -4,0673 -4,0720 -4,1207 -4,1914 -4,2629 -4,3119 -4,3135 -4,2495 -4,1177 -3,9320 -3,7142 -3,4832 -3,2540 -3,0400 -2,8542 -2,7071 -2,6034 -2,5416 -2,5184 -2,5306 -2,5739 -2,6418 -2,7215 -2,7935 -2,8390 -2,8506 -2,8300 -2,7742 -2,6725 -2,5255 -2,3579 -2,2033 -2,0824 -2,0037 -1,9743 -1,9989 -2,0729 -2,1798 -2,2920 -2,3798 -2,4290 -2,4523 -2,4787 -2,5335 -2,6224 -2,7241 -2,7995 -2,8180 -2,7814 -2,7183 -2,6588 -2,6144 -2,5737 -2,5147 -2,4260 -2,3170 -2,2095 -2,1257 -2,0837 -2,0909 -2,1390 -2,2106 -2,2883 -2,3598 -2,4209 -2,4756 -2,5299 -2,5864 -2,6457 -2,7138 -2,8066 -2,9385 -3,1039 -3,2717 -3,4002 -3,4559 -3,4211 -3,2944 -3,0937 -2,8617 -2,6597 -2,5466 -2,5511 -2,6575 -2,8195 -2,9870 -3,1260 -3,2238 -3,2840 -3,3147 -3,3221 -3,3156 -3,3144 -3,3395 -3,3984 -3,4779 -3,5496 -3,5784 -3,5325 -3,3966 -3,1853 -2,9434 -2,7306 -2,5981 -2,5713 -2,6414 -2,7733 -2,9205 -3,0363 -3,0788 -3,0224 -2,8725 -2,6670 -2,4560 -2,2766 -2,1459 -2,0659 -2,0273 -2,0094 -1,9866 -1,9450 -1,8933 -1,8552 -1,8500 -1,8838 -1,9507 -2,0325 -2,0957 -2,0988 -2,0099 -1,8213 -1,5549 -1,2546 -0,9669 -0,7252 -0,5445 -0,4261 -0,3651 -0,3589 -0,4121 -0,5294 -0,6972 -0,8834 -1,0524 -1,1753 -1,2302 -1,2092 -1,1252 -1,0050 -0,8736 -0,7437 -0,6147 -0,4811 -0,3437 -0,2085 -0,0840 0,0170 0,0815 0,1107 0,1245 0,1406 0,1506 0,1194 0,0090 -0,1939 -0,4624 -0,7420 -0,9838 -1,1717 -1,3243 -1,4751 -1,6478 -1,8448 -2,0519 -2,2490 -2,4202 -2,5553 -2,6443 -2,6742 -2,6405 -2,5618 -2,4796 -2,4389 -2,4701 -2,5855 -2,7838 -3,0533 -3,3717 -3,7056 -4,0109 -4,2449 -4,3863 -4,4443 -4,4447 -4,4079 -4,3390 -4,2274 -4,0571 -3,8256 -3,5516 -3,2587 -2,9606 -2,6630 -2,3675 -2,0741 -1,7838 -1,5034 -1,2464 -1,0281 -0,8573 -0,7381 -0,6763 -0,6788 -0,7467 -0,8637 -0,9873 -1,0594 -1,0391 -0,9264 -0,7553 -0,5747 -0,4318 -0,3531 -0,3319 -0,3369 -0,3352 -0,3076 -0,2529 -0,1857 -0,1332 -0,1242 -0,1770 -0,2913 -0,4541 -0,6540 -0,8890 -1,1637 -1,4768 -1,8059 -2,1056 -2,3241 -2,4263 -2,4094 -2,3057 -2,1743 -2,0847 -2,0947 -2,2287 -2,4714 -2,7810 -3,1077 -3,4061 -3,6476 -3,8300 -3,9719 -4,0955 -4,2168 -4,3507 -4,5189 -4,7464 -5,0479 -5,4162 -5,8232 -6,2357 -6,6248 -6,9608 -7,2116 -7,3562 -7,3959 -7,3542 -7,2673 -7,1697 -7,0843 -7,0222 -6,9885 -6,9879 -7,0268 -7,1092 -7,2337 -7,3913 -7,5692 -7,7550 -7,9393 -8,1127 -8,2586 -8,3542 -8,3844 -8,3579 -8,2993 -8,2227 -8,1154 -7,9512 -7,7156 -7,4199 -7,0975 -6,7914 -6,5410 -6,3693
