Fp1   0,8960 0,8724 0,6839 0,3726 0,0247 -0,2537 -0,3834 -0,3466 -0,1599 0,1738 0,6605 1,2756 1,9324 2,4730 2,7121 2,5395 1,9990 1,2771 0,6129 0,1787 0,0015 -0,0308 -0,1042 -0,3978 -1,0094 -1,9048 -2,9110 -3,7654 -4,2101 -4,0857 -3,3728 -2,1711 -0,6785 0,7983 1,8871 2,3191 2,0947 1,4481 0,6614 -0,0616 -0,6067 -0,9319 -1,0421 -0,9540 -0,6904 -0,2983 0,1454 0,5415 0,8144 0,9748 1,0997 1,2400 1,3746 1,4452 1,4276 1,3776 1,3964 1,5592 1,9020 2,4256 3,0527 3,6166 3,9373 3,9185 3,5774 2,9784 2,1557 1,1165 -0,1212 -1,5150 -2,9694 -4,2967 -5,2664 -5,7267 -5,6784 -5,2590 -4,6660 -4,0824 -3,6483 -3,4357 -3,4137 -3,4740 -3,5089 -3,4456 -3,2418 -2,9112 -2,5502 -2,3120 -2,3369 -2,6852 -3,3154 -4,1113 -4,9296 -5,6386 -6,1445 -6,4131 -6,4611 -6,3154 -5,9825 -5,4700 -4,8414 -4,2397 -3,8427 -3,7909 -4,1378 -4,8271 -5,6862 -6,4638 -6,9166 -6,8905 -6,3502 -5,3572 -4,0167 -2,4306 -0,6906 1,1079 2,8592 4,4370 5,7021 6,5572 6,9890 7,0470 6,8063 6,3585 5,8065 5,2403 4,7276 4,3268 4,0770 3,9757 4,0105 4,2038 4,5895 5,1598 5,8537 6,5932 7,3140 7,9705 8,5489 9,0837 9,6183 10,1203 10,4658 10,5276 10,2506 9,6469 8,7909 7,8295 6,9305 6,2033 5,6913 5,4125 5,3458 5,3879 5,3968 5,2968 5,1166 4,9358 4,8380 4,9193 5,2836 5,9435 6,7070 7,2230 7,2021 6,6055 5,6363 4,5987 3,7617 3,2644 3,0652 2,9742 2,7730 2,3458 1,7269 1,0557 0,5004 0,1896 0,1450 0,2609 0,3737 0,3538 0,1520 -0,2050 -0,6672 -1,2072 -1,8066 -2,4305 -3,0242 -3,5198 -3,8695 -4,0781 -4,1778 -4,1931 -4,1472 -4,0794 -4,0320 -4,0304 -4,0710 -4,0993 -4,0268 -3,8356 -3,6483 -3,6236 -3,7758 -3,9536 -4,0038 -3,9185 -3,8506 -4,0237 -4,5851 -5,4888 -6,5090 -7,3650 -7,8327 -7,7792 -7,1754 -6,1205 -4,8157 -3,4717 -2,2225 -1,1037 -0,0940 0,8262 1,6291 2,2169 2,4488 2,2308 1,5972 0,7050 -0,2374 -1,0278 -1,5186 -1,6825 -1,6293 -1,5314 -1,5204 -1,6251 -1,7734 -1,8369 -1,6810 -1,2021 -0,3666 0,7434 1,9311 2,9574 3,6263 3,8461 3,6646 3,2491 2,8047 2,4931 2,3892 2,4661 2,6110 2,6707 2,5194 2,1347 1,6337 1,2096 1,0138 1,0946 1,4064 1,8398 2,2757 2,6486 2,9657 3,2742 3,6153 4,0042 4,4350 4,8829 5,2885 5,5481 5,5516 5,2451 4,6596 3,8970 3,0917 2,3507 1,7190 1,2166 0,8966 0,8368 1,0779 1,5788 2,2073 2,7711 3,0870 3,0683 2,7854 2,4261 2,1642 2,0544 2,0336 2,0089 1,9750 2,0511 2,3637 2,8886 3,4450 3,8257 3,8950 3,6143 3,0625 2,4270 1,8989 1,5625 1,3914 1,3025 1,2001 1,0116 0,7127 0,3331 -0,0473 -0,2987 -0,2731 0,1059 0,7578 1,4700 2,0279 2,3145 2,3064 2,0448 1,6388 1,2429 0,9886 0,9306 1,0439 1,2524 1,4646 1,6067 1,6420 1,5652 1,3956 1,1931 1,0584 1,0806 1,2796 1,6052 1,9909 2,3984 2,8114 3,2040 3,5219 3,6925 3,6661 3,4685 3,2134 3,0409 3,0233 3,1262 3,2376 3,2235 3,0052 2,6165 2,1829 1,8488 1,7018 1,7263 1,8232 1,8885 1,8809 1,8356 1,8346 1,9396 2,1245 2,2808 2,2863 2,0540 1,5432 0,7641 -0,2066 -1,2191 -2,0696 -2,5474 -2,4927 -1,8585 -0,7548 0,5652 1,7960 2,7075 3,2162 3,3621 3,2404 2,9533 2,6134 2,3582 2,3038 2,4613 2,7122 2,8829 2,8626 2,6687 2,4062 2,1781 2,0373 2,0083 2,1324 2,4652 3,0117 3,6822 4,3512 4,9512 5,4740 5,8828 6,0740 5,9604 5,5722 5,0515 4,5569 4,1849 3,9584 3,8442 3,7802 3,6979 3,5299 3,2256 2,7708 2,1958 1,5828 1,0478 0,6891 0,5631 0,6929 1,0632 1,6210 2,3072 3,0782 3,8861 4,6441 5,2356 5,5947 5,7647 5,8305 5,8075 5,6436 5,3156 4,8682 4,3486 3,7610 3,1157 2,5082 2,1430 2,2350 2,8482 3,8463 4,9861 6,0351 6,8428 7,3511 7,5575 7,4792 7,1491 6,6295 6,0198 5,4344 4,9505 4,5760 4,2770 4,0225 3,7994 3,6171 3,5155 3,5242 3,6012 3,6481 3,5885 3,4036 3,1167 2,7740 2,4207 2,0759 1,7402 1,4144 1,1023 0,8012 0,4940 0,1681 -0,1329 -0,3044 -0,2563 0,0179 0,4414 0,9171 1,3904 1,8441 2,2542 2,5828 2,8082 2,9347 2,9635 2,8738 2,6370 2,2476 1,7480 1,2298 0,7910 0,4683 0,2213 -0,0013 -0,1863 -0,2456 -0,0732 0,3811 1,0769 1,9054 2,7422 3,4974 4,1535 4,7737 5,4515 6,2287 7,0595 7,8462 8,5076 9,0208 9,4095 9,7032 9,9038 9,9883 9,9493 9,8207 9,6559 9,4835 9,2991 9,1119 8,9757 8,9474 9,0266 9,1406 9,1828 9,0879 8,8866 8,6861 8,5872 8,5848 8,5292 8,2175 7,5448 6,5628 5,4231 4,2975 3,3180 2,5339 1,9120 1,3698 0,8038 0,1352 -0,6229 -1,3636 -1,9752 -2,4379 -2,8217 -3,1926 -3,5520 -3,8662 -4,1013 -4,2206 -4,1963 -4,0522 -3,8664 -3,6970 -3,5139 -3,2403 -2,8573 -2,4453 -2,1280 -1,9887 -2,0281 -2,1765 -2,3401 -2,4507 -2,4898 -2,4898 -2,5176 -2,6415 -2,8975 -3,2691 -3,6921 -4,0814 -4,3607 -4,4869 -4,4630 -4,3200 -4,0902 -3,8170 -3,5602 -3,3591 -3,2084 -3,0820 -2,9501 -2,7648 -2,4715 -2,0738 -1,6685 -1,3827 -1,2753 -1,3069 -1,3948
Fz    -0,3023 -0,0226 0,0765 0,0188 -0,1395 -0,3204 -0,4501 -0,4805 -0,4070 -0,2789 -0,1711 -0,1312 -0,1515 -0,1866 -0,2002 -0,2003 -0,2321 -0,3378 -0,5303 -0,8036 -1,1566 -1,5868 -2,0697 -2,5505 -2,9537 -3,2003 -3,2339 -3,0514 -2,7079 -2,2853 -1,8470 -1,4197 -1,0107 -0,6347 -0,3228 -0,1004 0,0544 0,2112 0,4294 0,7275 1,1000 1,5283 1,9926 2,4972 3,0656 3,7001 4,3516 4,9256 5,3218 5,4767 5,3712 5,0215 4,4788 3,8309 3,1955 2,7015 2,4432 2,4429 2,6710 3,0759 3,5811 4,0856 4,4965 4,7615 4,8751 4,8525 4,6964 4,3911 3,9260 3,3244 2,6500 1,9868 1,4046 0,9369 0,5793 0,2897 -0,0067 -0,3985 -0,9554 -1,6744 -2,4498 -3,1270 -3,5973 -3,8319 -3,8617 -3,7585 -3,6154 -3,5111 -3,4856 -3,5417 -3,6587 -3,8048 -3,9448 -4,0439 -4,0712 -4,0039 -3,8325 -3,5751 -3,2846 -3,0344 -2,9010 -2,9430 -3,1739 -3,5548 -4,0248 -4,5319 -5,0356 -5,4975 -5,8762 -6,1248 -6,1925 -6,0330 -5,6185 -4,9549 -4,0890 -3,0961 -2,0573 -1,0353 -0,0489 0,9327 1,9548 3,0300 4,1249 5,1797 6,1333 6,9464 7,6179 8,1787 8,6586 9,0636 9,3944 9,6704 9,9298 10,2177 10,5727 11,0234 11,5914 12,2794 13,0548 13,8529 14,5970 15,2161 15,6481 15,8468 15,8019 15,5474 15,1439 14,6527 14,1246 13,6036 13,1410 12,7948 12,6054 12,5698 12,6385 12,7288 12,7451 12,6065 12,2678 11,7308 11,0462 10,2957 9,5568 8,8778 8,2793 7,7583 7,2885 6,8422 6,4222 6,0558 5,7700 5,5794 5,4763 5,4222 5,3622 5,2466 5,0422 4,7380 4,3351 3,8318 3,2371 2,5979 1,9874 1,4742 1,1043 0,8876 0,7862 0,7213 0,6084 0,4100 0,1619 -0,0596 -0,2057 -0,2997 -0,4240 -0,6607 -1,0353 -1,5129 -2,0426 -2,5966 -3,1796 -3,8158 -4,5190 -5,2549 -5,9329 -6,4457 -6,7239 -6,7633 -6,6192 -6,3717 -6,0741 -5,7354 -5,3558 -4,9592 -4,5802 -4,2332 -3,9020 -3,5597 -3,1956 -2,8173 -2,4352 -2,0574 -1,6908 -1,3232 -0,9142 -0,4196 0,1755 0,8441 1,5382 2,2243 2,8827 3,4737 3,9200 4,1271 4,0205 3,5758 2,8360 1,9144 0,9639 0,1182 -0,5482 -1,0170 -1,3050 -1,4470 -1,4842 -1,4588 -1,4024 -1,3108 -1,1324 -0,8014 -0,2901 0,3608 1,0536 1,6731 2,1276 2,3681 2,3827 2,1989 1,9010 1,6105 1,4223 1,3676 1,4329 1,6026 1,8899 2,3418 3,0070 3,8899 4,9246 5,9785 6,8758 7,4486 7,6048 7,3675 6,8613 6,2529 5,6784 5,2080 4,8632 4,6414 4,5248 4,4913 4,5317 4,6565 4,8796 5,1915 5,5467 5,8763 6,1099 6,1971 6,1307 5,9500 5,7086 5,4404 5,1595 4,8804 4,6230 4,3974 4,1917 3,9738 3,7121 3,4033 3,0791 2,7896 2,5900 2,5299 2,6251 2,8397 3,1074 3,3633 3,5502 3,6135 3,5137 3,2410 2,8131 2,2783 1,7202 1,2259 0,8368 0,5412 0,3205 0,1879 0,1699 0,2669 0,4509 0,6895 0,9585 1,2377 1,5161 1,7927 2,0545 2,2631 2,3829 2,4166 2,4046 2,4062 2,4844 2,6838 3,0084 3,4172 3,8405 4,2041 4,4521 4,5712 4,6160 4,6976 4,9193 5,3070 5,7988 6,2841 6,6402 6,7569 6,5740 6,1063 5,4256 4,6210 3,7742 2,9508 2,2004 1,5675 1,1004 0,8334 0,7550 0,8112 0,9457 1,1224 1,3092 1,4636 1,5407 1,5092 1,3675 1,1456 0,8864 0,6335 0,4323 0,3260 0,3360 0,4436 0,5888 0,6994 0,7385 0,7328 0,7554 0,8864 1,1874 1,6865 2,3577 3,1072 3,7919 4,2698 4,4568 4,3555 4,0414 3,6188 3,1777 2,7670 2,3971 2,0763 1,8411 1,7339 1,7476 1,8097 1,8421 1,8270 1,8017 1,8047 1,8458 1,9113 1,9807 2,0364 2,0655 2,0663 2,0621 2,1021 2,2300 2,4455 2,7057 2,9577 3,1582 3,2747 3,2897 3,2043 3,0376 2,8358 2,6807 2,6587 2,8093 3,1146 3,5263 3,9943 4,4894 5,0032 5,5280 6,0490 6,5376 6,9317 7,1483 7,1433 6,9454 6,6189 6,2145 5,7653 5,3138 4,9254 4,6570 4,5161 4,4714 4,5025 4,6182 4,8403 5,1889 5,6630 6,2126 6,7405 7,1442 7,3590 7,3694 7,1900 6,8396 6,3444 5,7577 5,1522 4,5822 4,0548 3,5365 2,9920 2,4301 1,9081 1,4909 1,2161 1,0920 1,1057 1,2257 1,4102 1,6163 1,7984 1,9117 1,9331 1,8841 1,8238 1,8108 1,8690 1,9875 2,1398 2,3039 2,4773 2,6673 2,8651 3,0296 3,1022 3,0376 2,8232 2,4732 2,0159 1,5011 1,0079 0,6236 0,4079 0,3775 0,5194 0,8123 1,2421 1,8137 2,5466 3,4453 4,4667 5,5260 6,5398 7,4764 8,3795 9,3448 10,4449 11,6591 12,8749 13,9510 14,7822 15,3317 15,6275 15,7410 15,7598 15,7602 15,7922 15,8909 16,0869 16,3966 16,8167 17,3295 17,8967 18,4349 18,8106 18,8809 18,5648 17,9058 17,0707 16,2570 15,5817 15,0467 14,5770 14,0822 13,4941 12,7474 11,7546 10,4530 8,8791 7,1640 5,4675 3,9265 2,6335 1,6325 0,9320 0,5236 0,3943 0,5236 0,8701 1,3642 1,9095 2,4041 2,7687 2,9518 2,9294 2,7199 2,3948 2,0579 1,8006 1,6558 1,5862 1,5248 1,4297 1,3034 1,1699 1,0576 1,0043 1,0535 1,2294 1,5072 1,8028 2,0003 2,0005 1,7636 1,3322 0,8151 0,3296 -0,0536 -0,3263 -0,5105 -0,6153 -0,6318 -0,5620 -0,4345 -0,2936 -0,1728 -0,0695 0,0582 0,2601 0,5505 0,8920 1,2119 1,4265 1,4700 1,3238
F3    -0,8985 -0,7905 -0,5539 -0,1712 0,2851 0,6982 0,9477 0,9567 0,7253 0,3188 -0,1811 -0,7157 -1,2406 -1,6869 -1,9700 -2,0522 -1,9666 -1,7654 -1,4729 -1,0992 -0,6833 -0,3019 -0,0162 0,1884 0,3952 0,6727 0,9893 1,2098 1,1745 0,7809 0,0241 -1,0128 -2,1766 -3,2387 -3,9299 -4,0587 -3,6134 -2,7620 -1,7556 -0,8012 0,0084 0,6803 1,2800 1,8923 2,5731 3,3265 4,1376 5,0034 5,9035 6,7431 7,3395 7,4919 7,0947 6,1926 4,9531 3,5947 2,2927 1,1391 0,2069 -0,4075 -0,6668 -0,6761 -0,6223 -0,6311 -0,7016 -0,7569 -0,7216 -0,5703 -0,3349 -0,0739 0,1552 0,3065 0,3592 0,3233 0,2203 0,0445 -0,2651 -0,8128 -1,6851 -2,8723 -4,2215 -5,4719 -6,3853 -6,8723 -6,9945 -6,8674 -6,5749 -6,1512 -5,6247 -5,0501 -4,4785 -3,9332 -3,4475 -3,0956 -2,9541 -3,0447 -3,3235 -3,7233 -4,2092 -4,8103 -5,5872 -6,5423 -7,5559 -8,4221 -8,9521 -9,0516 -8,7436 -8,1427 -7,3783 -6,5252 -5,6169 -4,6978 -3,8307 -3,0775 -2,4936 -2,1156 -1,9287 -1,8493 -1,7547 -1,5400 -1,1629 -0,6482 -0,0319 0,7075 1,6499 2,8450 4,2247 5,6137 6,8245 7,7342 8,2867 8,4691 8,3186 7,9352 7,4709 7,0997 6,9877 7,2641 7,9786 9,0552 10,2938 11,4422 12,2913 12,7394 12,8173 12,6532 12,3657 11,9703 11,4110 10,6936 9,9598 9,4047 9,1382 9,1452 9,3408 9,6077 9,7875 9,7011 9,2273 8,3672 7,2379 6,0151 4,8750 3,9565 3,3351 3,0057 2,8998 2,9349 3,0433 3,1804 3,3522 3,6167 4,0045 4,4265 4,6904 4,6182 4,1431 3,3146 2,2530 1,1129 0,0696 -0,7063 -1,1033 -1,1079 -0,8030 -0,3372 0,1280 0,4682 0,6222 0,6038 0,4857 0,3447 0,2132 0,0759 -0,1123 -0,4152 -0,9032 -1,6227 -2,5587 -3,6216 -4,6910 -5,6932 -6,6296 -7,5104 -8,2744 -8,8067 -9,0268 -8,9316 -8,5660 -7,9836 -7,2392 -6,4055 -5,5928 -4,9348 -4,5237 -4,3567 -4,3629 -4,4617 -4,5868 -4,6901 -4,7535 -4,7933 -4,8230 -4,7950 -4,6025 -4,1439 -3,3716 -2,3113 -1,0641 0,2149 1,3438 2,1557 2,5755 2,6662 2,5495 2,2757 1,8062 1,1204 0,3012 -0,4947 -1,1367 -1,5854 -1,8789 -2,0760 -2,2164 -2,3087 -2,3107 -2,1096 -1,5675 -0,6270 0,6016 1,8355 2,7183 2,9940 2,6440 1,8753 0,9763 0,1862 -0,3370 -0,5147 -0,3563 0,0582 0,6377 1,3351 2,1504 3,0854 4,1051 5,1503 6,1717 7,1132 7,8693 8,3083 8,3559 8,0446 7,4910 6,8350 6,1775 5,5433 4,9093 4,2924 3,8012 3,5712 3,6573 4,0152 4,5622 5,2095 5,8492 6,3623 6,6668 6,7562 6,6959 6,5632 6,3738 6,0704 5,5846 4,9176 4,1694 3,4830 2,9572 2,6113 2,4202 2,3608 2,4029 2,4854 2,5575 2,6288 2,7491 2,9787 3,3716 3,9228 4,5185 4,9919 5,2452 5,2844 5,1408 4,8096 4,2762 3,5445 2,6188 1,5122 0,3035 -0,8403 -1,7144 -2,1508 -2,0895 -1,6096 -0,8789 -0,0522 0,7907 1,6044 2,3054 2,7811 2,9633 2,8702 2,5911 2,2439 1,9380 1,7524 1,7244 1,8422 2,0556 2,3017 2,5105 2,6169 2,6162 2,6021 2,7283 3,1163 3,7724 4,5579 5,2282 5,5372 5,3579 4,7329 3,8309 2,8429 1,8956 1,0494 0,3516 -0,1361 -0,3637 -0,3497 -0,1998 -0,0484 0,0144 -0,0461 -0,2316 -0,5171 -0,8425 -1,1281 -1,3157 -1,3873 -1,3341 -1,1192 -0,7022 -0,1184 0,4790 0,8812 0,9457 0,6757 0,1993 -0,3180 -0,7346 -0,9346 -0,8211 -0,3434 0,4597 1,4414 2,3853 3,0823 3,3917 3,2825 2,8536 2,3013 1,8397 1,6146 1,6408 1,7824 1,8133 1,5505 0,9647 0,1768 -0,6176 -1,2169 -1,4679 -1,3191 -0,8530 -0,2643 0,2201 0,4245 0,2747 -0,1719 -0,7410 -1,2167 -1,4193 -1,2437 -0,6842 0,1547 1,0907 1,9196 2,4640 2,6145 2,3636 1,8345 1,2531 0,8339 0,6774 0,7673 1,0181 1,3254 1,6205 1,8965 2,1879 2,5303 2,9193 3,2827 3,5080 3,5226 3,3567 3,1321 2,9927 3,0135 3,1417 3,2303 3,1354 2,8014 2,3031 1,8277 1,5802 1,6703 2,0797 2,7095 3,4445 4,1970 4,9155 5,5585 6,0542 6,2890 6,1645 5,6906 5,0073 4,2839 3,5918 2,8761 2,0353 1,0259 -0,0849 -1,1451 -1,9864 -2,4899 -2,6378 -2,5260 -2,3215 -2,1826 -2,1770 -2,2384 -2,2084 -1,9395 -1,3795 -0,5972 0,2402 0,9422 1,3897 1,5685 1,5168 1,2548 0,7811 0,1333 -0,5750 -1,2059 -1,6846 -2,0220 -2,2710 -2,4758 -2,6500 -2,7873 -2,8722 -2,8798 -2,7747 -2,5044 -2,0067 -1,2537 -0,2886 0,7829 1,8288 2,7349 3,4589 4,0795 4,7786 5,7298 6,9719 8,3727 9,7061 10,7772 11,4856 11,8023 11,7451 11,3974 10,9098 10,4463 10,1272 10,0190 10,1419 10,4745 10,9834 11,6621 12,5198 13,5246 14,5599 15,4437 16,0052 16,1593 15,9216 15,3676 14,5746 13,5971 12,4616 11,1555 9,6592 8,0058 6,2572 4,4268 2,4826 0,4255 -1,6453 -3,5172 -4,9289 -5,7097 -5,8833 -5,6275 -5,1319 -4,4952 -3,7257 -2,8008 -1,7306 -0,5953 0,4639 1,2938 1,7768 1,8560 1,5362 0,8761 -0,0114 -0,9748 -1,8848 -2,6865 -3,3868 -3,9963 -4,4937 -4,8426 -5,0190 -5,0113 -4,8138 -4,4247 -3,8559 -3,1618 -2,4420 -1,7878 -1,2412 -0,8197 -0,5686 -0,5647 -0,8437 -1,3200 -1,7950 -2,0541 -1,9801 -1,6120 -1,1221 -0,7198 -0,5380 -0,5906 -0,8279 -1,2051 -1,6812 -2,1911 -2,6576 -3,0266 -3,2890 -3,4744
F7    -0,7002 -0,5052 -0,3430 -0,2194 -0,1401 -0,0748 0,0410 0,2448 0,5020 0,7369 0,8974 0,9815 1,0169 1,0307 1,0298 0,9876 0,8546 0,6051 0,2758 -0,0427 -0,2560 -0,3347 -0,3392 -0,3610 -0,4584 -0,6496 -0,9209 -1,2165 -1,4483 -1,5463 -1,5039 -1,3552 -1,1220 -0,8205 -0,4884 -0,1608 0,1394 0,3656 0,4478 0,3431 0,0763 -0,2533 -0,5078 -0,5690 -0,3712 0,0913 0,7366 1,3909 1,8648 2,0487 1,9349 1,5755 1,0508 0,4733 -0,0392 -0,4134 -0,5950 -0,5167 -0,1841 0,2529 0,5940 0,7185 0,6112 0,3302 -0,0313 -0,3951 -0,7329 -1,0348 -1,2514 -1,2896 -1,0734 -0,6188 -0,0581 0,4024 0,5660 0,3390 -0,2227 -0,9613 -1,7008 -2,3084 -2,7276 -2,9722 -3,0947 -3,1627 -3,2367 -3,3517 -3,5284 -3,7800 -4,0899 -4,4152 -4,7204 -4,9833 -5,1719 -5,2411 -5,1513 -4,8817 -4,4384 -3,8717 -3,2793 -2,7708 -2,4278 -2,3045 -2,4326 -2,8010 -3,3524 -4,0162 -4,7223 -5,3894 -5,9273 -6,2493 -6,2830 -5,9893 -5,3843 -4,5476 -3,6063 -2,6881 -1,8607 -1,1156 -0,4167 0,2463 0,8561 1,4088 1,9299 2,4433 2,9514 3,4542 3,9540 4,4281 4,8191 5,0670 5,1486 5,1045 5,0454 5,1069 5,3678 5,8065 6,3159 6,7512 7,0028 7,0725 7,0920 7,2410 7,6140 8,1528 8,7081 9,1411 9,3662 9,3485 9,1035 8,6957 8,2330 7,8539 7,6641 7,6540 7,7073 7,7036 7,6091 7,4870 7,4220 7,4158 7,3551 7,1009 6,6180 6,0139 5,4603 5,0754 4,8560 4,6989 4,4839 4,1323 3,6046 2,8956 2,0591 1,2283 0,5818 0,2431 0,2013 0,3414 0,5370 0,7020 0,7812 0,7344 0,5497 0,2640 -0,0443 -0,2979 -0,4653 -0,5696 -0,6769 -0,8712 -1,1941 -1,6039 -2,0206 -2,4054 -2,7706 -3,1184 -3,3915 -3,4945 -3,3803 -3,1258 -2,9095 -2,9040 -3,1838 -3,6956 -4,2876 -4,7910 -5,1135 -5,2688 -5,3270 -5,3464 -5,3449 -5,3212 -5,2940 -5,3022 -5,3540 -5,4055 -5,4089 -5,3514 -5,2328 -5,0437 -4,7780 -4,4435 -4,0595 -3,6583 -3,2810 -2,9458 -2,6215 -2,2544 -1,8230 -1,3390 -0,7900 -0,1211 0,6782 1,4902 2,1185 2,4024 2,2592 1,6805 0,7583 -0,3057 -1,2684 -1,9436 -2,2624 -2,2809 -2,1259 -1,9005 -1,6367 -1,3238 -0,9550 -0,5430 -0,1134 0,3047 0,6956 1,0681 1,4388 1,7957 2,0715 2,1772 2,1002 1,9416 1,8287 1,8134 1,8624 1,9167 1,9469 1,9717 2,0444 2,2150 2,4967 2,8639 3,2721 3,6753 4,0391 4,3444 4,5704 4,6813 4,6449 4,4639 4,1827 3,8492 3,4759 3,0620 2,6396 2,2645 1,9667 1,7345 1,5482 1,4056 1,3126 1,2579 1,1943 1,0510 0,7887 0,4476 0,1142 -0,1658 -0,4166 -0,6690 -0,8824 -0,9425 -0,7581 -0,3512 0,1694 0,6896 1,1051 1,3109 1,2528 0,9877 0,6546 0,3922 0,2781 0,2942 0,3497 0,3673 0,3249 0,2174 0,0325 -0,2213 -0,5048 -0,7885 -1,0859 -1,4329 -1,8371 -2,2466 -2,5701 -2,7328 -2,7178 -2,5756 -2,3971 -2,2551 -2,1661 -2,1096 -2,0626 -1,9969 -1,8687 -1,6315 -1,2635 -0,7922 -0,2935 0,1394 0,4314 0,5585 0,5614 0,5106 0,4605 0,4411 0,4668 0,5407 0,6569 0,7963 0,9219 0,9949 0,9942 0,9039 0,6918 0,3337 -0,1495 -0,7029 -1,2548 -1,7092 -1,9592 -1,9273 -1,6091 -1,0880 -0,4874 0,1090 0,6690 1,1522 1,4834 1,5968 1,4838 1,1910 0,7792 0,2948 -0,2212 -0,7173 -1,1456 -1,4836 -1,7226 -1,8384 -1,7940 -1,5709 -1,1932 -0,7176 -0,2026 0,3106 0,7981 1,2403 1,5970 1,8153 1,8848 1,8646 1,8226 1,7585 1,6160 1,3673 1,0703 0,8500 0,8170 0,9940 1,3125 1,6626 1,9403 2,0732 2,0194 1,7669 1,3580 0,8973 0,5286 0,3981 0,5852 1,0296 1,5634 2,0231 2,3118 2,3941 2,2689 1,9376 1,4052 0,7220 -0,0018 -0,6287 -1,0366 -1,1562 -0,9952 -0,6277 -0,1623 0,3028 0,7187 1,0856 1,4397 1,8572 2,4170 3,1127 3,8260 4,3974 4,7083 4,7164 4,4668 4,0840 3,7123 3,4456 3,3154 3,3212 3,4481 3,6568 3,8684 3,9914 3,9790 3,8494 3,6676 3,5162 3,4555 3,4873 3,5579 3,5904 3,5257 3,3538 3,1091 2,8298 2,5466 2,3052 2,1590 2,1187 2,1354 2,1412 2,0842 1,9278 1,6510 1,2656 0,8225 0,3939 0,0360 -0,2425 -0,4624 -0,6270 -0,7119 -0,6974 -0,5916 -0,4219 -0,2113 0,0292 0,2914 0,5642 0,8374 1,1096 1,3812 1,6230 1,7629 1,7243 1,4750 1,0399 0,4902 -0,0700 -0,5297 -0,8215 -0,9528 -0,9739 -0,9288 -0,8509 -0,7678 -0,6636 -0,4491 -0,0075 0,7189 1,6826 2,7499 3,7530 4,5566 5,1145 5,4801 5,7529 6,0041 6,2533 6,5089 6,8087 7,2045 7,7093 8,2776 8,8410 9,3500 9,7858 10,1573 10,4911 10,8081 11,1010 11,3316 11,4510 11,4121 11,1630 10,6575 9,9031 8,9847 8,0146 7,0655 6,1809 5,4318 4,8942 4,5599 4,3254 4,0804 3,7586 3,3122 2,7122 1,9812 1,1860 0,3950 -0,3459 -1,0049 -1,5433 -1,9158 -2,0999 -2,1261 -2,0889 -2,1179 -2,3129 -2,6921 -3,1997 -3,7582 -4,3105 -4,8121 -5,2146 -5,4898 -5,6590 -5,7716 -5,8503 -5,8599 -5,7277 -5,4003 -4,8967 -4,3031 -3,7117 -3,1703 -2,7008 -2,3535 -2,2242 -2,4044 -2,9115 -3,6573 -4,4641 -5,1123 -5,4126 -5,2959 -4,8697 -4,3558 -3,9287 -3,6241 -3,3951 -3,2056 -3,0510 -2,9368 -2,8669 -2,8296 -2,7808 -2,6778 -2,5513 -2,5059 -2,6308 -2,9288 -3,3315
