Fp1   -0,0336 -0,2317 -0,4628 -0,7240 -0,9695 -1,1162 -1,1011 -0,9348 -0,6951 -0,4689 -0,3007 -0,1945 -0,1529 -0,1851 -0,2717 -0,3513 -0,3586 -0,2657 -0,0979 0,0690 0,1501 0,1249 0,0548 0,0168 0,0492 0,1655 0,3775 0,6866 1,0588 1,4195 1,6877 1,8213 1,8302 1,7578 1,6534 1,5465 1,4329 1,2823 1,0565 0,7165 0,2407 -0,3386 -0,9266 -1,4047 -1,6783 -1,7091 -1,5248 -1,2100 -0,8753 -0,6152 -0,4788 -0,4739 -0,5818 -0,7556 -0,9137 -0,9565 -0,8208 -0,5324 -0,2012 0,0455 0,1366 0,0797 -0,0784 -0,2991 -0,5685 -0,8862 -1,2350 -1,5644 -1,8191 -1,9736 -2,0255 -1,9787 -1,8546 -1,7044 -1,5853 -1,5126 -1,4354 -1,2701 -0,9645 -0,5310 -0,0457 0,3774 0,6453 0,7425 0,7224 0,6657 0,6536 0,7446 0,9514 1,2376 1,5446 1,8360 2,1199 2,4247 2,7540 3,0597 3,2604 3,3023 3,1955 2,9940 2,7519 2,4940 2,2138 1,9001 1,5723 1,2853 1,1051 1,0804 1,2231 1,4894 1,7816 2,0032 2,1374 2,2619 2,4662 2,7525 3,0209 3,1491 3,0747 2,8152 2,4409 2,0326 1,6600 1,3896 1,2776 1,3355 1,5079 1,7011 1,8599 2,0203 2,2646 2,6358 3,1214 3,7034 4,3734 5,0897 5,7523 6,2440 6,4968 6,5240 6,4051 6,2442 6,1321 6,1206 6,2076 6,3429 6,4658 6,5290 6,4858 6,2816 5,8839 5,3289 4,7291 4,2152 3,8742 3,7375 3,8009 4,0400 4,4059 4,8084 5,1247 5,2485 5,1444 4,8650 4,5156 4,1950 3,9693 3,8784 3,9321 4,0988 4,3174 4,5316 4,7155 4,8722 5,0042 5,0955 5,1351 5,1357 5,1009 5,0010 4,8010 4,4907 4,0933 3,6784 3,3542 3,2166 3,2979 3,5624 3,9390 4,3550 4,7438 5,0454 5,2096 5,1842 4,9177 4,4113 3,7639 3,1500 2,7493 2,6736 2,9260 3,4073 3,9578 4,4221 4,7068 4,7938 4,7111 4,5071 4,2506 4,0230 3,8763 3,7983 3,7422 3,6854 3,6427 3,6339 3,6618 3,7260 3,8474 4,0519 4,3259 4,6185 4,8933 5,1532 5,4070 5,6338 5,7984 5,8901 5,9272 5,9303 5,9027 5,8317 5,7067 5,5287 5,3024 5,0387 4,7868 4,6411 4,6850 4,9302 5,3161 5,7442 6,1258 6,4195 6,6141 6,6895 6,6253 6,4425 6,2205 6,0710 6,0842 6,2819 6,6080 6,9524 7,1896 7,2276 7,0520 6,7349 6,3985 6,1573 6,0713 6,1251 6,2350 6,2829 6,1763 5,9014 5,5270 5,1512 4,8401 4,6109 4,4556 4,3800 4,4184 4,5925 4,8719 5,1959 5,5202 5,8244 6,0898 6,2903 6,3921 6,3553 6,1599 5,8388 5,4785 5,1757 4,9745 4,8400 4,7077 4,5549 4,4084 4,3042 4,2721 4,3436 4,5320 4,7977 5,0670 5,2962 5,4995 5,7151 5,9604 6,2117 6,4137 6,5113 6,4773 6,3181 6,0706 5,7975 5,5723 5,4505 5,4367 5,4782 5,4972 5,4425 5,3207 5,1823 5,0721 5,0009 4,9732 5,0282 5,2324 5,6309 6,2128 6,9201 7,6748 8,3951 9,0081 9,4808 9,8359 10,1129 10,3179 10,4296 10,4541 10,4459 10,4523 10,4529 10,3734 10,1402 9,7139 9,0979 8,3429 7,5456 6,8304 6,3098 6,0473 6,0595 6,3366 6,8259 7,4135 7,9687 8,4135 8,7485 9,0161 9,2344 9,3676 9,3656 9,2165 8,9405 8,5549 8,0894 7,6289 7,2958 7,1845 7,3163 7,6285 7,9938 8,2837 8,4421 8,4848 8,4370 8,3017 8,0836 7,8049 7,4960 7,1911 6,9291 6,7406 6,6243 6,5450 6,4634 6,3620 6,2398 6,1020 5,9584 5,8225 5,7113 5,6344 5,5835 5,5581 5,6010 5,7804 6,1334 6,6325 7,1978 7,7292 8,1273 8,3089 8,2427 7,9901 7,6917 7,4914 7,4438 7,4735 7,4307 7,1899 6,7077 6,0250 5,2481 4,5279 4,0231 3,8497 4,0466 4,5782 5,3594 6,2790 7,2127 8,0284 8,6037 8,8602 8,7799 8,3914 7,7527 6,9529 6,1165 5,3822 4,8550 4,5739 4,5287 4,7012 5,0850 5,6656 6,3839 7,1248 7,7424 8,1050 8,1377 7,8412 7,2990 6,6767 6,1749 5,9349 5,9710 6,1965 6,5118 6,8577 7,2000 7,5058 7,7503 7,9190 7,9940 7,9572 7,8226 7,6466 7,4846 7,3555 7,2518 7,1559 7,0385 6,8671 6,6406 6,4108 6,2625 6,2686 6,4594 6,8217 7,3098 7,8538 8,3777 8,8216 9,1521 9,3622 9,4621 9,4582 9,3441 9,1175 8,8011 8,4377 8,0692 7,7326 7,4602 7,2572 7,0900 6,9114 6,6965 6,4613 6,2506 6,0999 6,0120 5,9778 6,0057 6,1186 6,3306 6,6212 6,9324 7,1964 7,3670 7,4367 7,4349 7,4004 7,3439 7,2276 6,9902 6,6124 6,1437 5,6510 5,1828 4,8087 4,6431 4,7848 5,2443 5,9351 6,7087 7,3997 7,8858 8,1426 8,2328 8,2405 8,2365 8,2799 8,4024 8,5890 8,7924 8,9595 9,0384 8,9916 8,8190 8,5555 8,2445 7,9242 7,6360 7,4477 7,4655 7,7845 8,3975 9,1604 9,8675 10,3741 10,6451 10,7013 10,5606 10,2476 9,8240 9,3787 8,9924 8,7183 8,5761 8,5480 8,5874 8,6452 8,6933 8,7243 8,7270 8,6716 8,5297 8,2983 7,9937 7,6302 7,2196 6,7961 6,4312 6,2022 6,1425 6,2269 6,4003 6,6146 6,8492 7,1115 7,4174 7,7617 8,0991 8,3470 8,4137 8,2501 7,8867 7,4161 6,9530 6,6149 6,5018 6,6457 6,9767 7,3541 7,6291 7,7014 7,5562 7,2613 6,9210 6,6113 6,3419 6,0712 5,7605 5,4210 5,1156 4,9274 4,9243 5,1158 5,4215 5,6983 5,8285 5,8018 5,7251
Fz    0,4614 0,0682 -0,3555 -0,7654 -1,1197 -1,3728 -1,4954 -1,5052 -1,4629 -1,4280 -1,4189 -1,4225 -1,4310 -1,4442 -1,4377 -1,3570 -1,1529 -0,8148 -0,3802 0,0707 0,4481 0,7134 0,8949 1,0351 1,1529 1,2601 1,3829 1,5536 1,7813 2,0329 2,2505 2,3864 2,4198 2,3548 2,2139 2,0237 1,8034 1,5603 1,2851 0,9415 0,4861 -0,0800 -0,6896 -1,2396 -1,6340 -1,8221 -1,8225 -1,7181 -1,6172 -1,5936 -1,6548 -1,7652 -1,8834 -1,9678 -1,9611 -1,7991 -1,4519 -0,9628 -0,4429 -0,0166 0,2426 0,3329 0,2906 0,1507 -0,0677 -0,3577 -0,7126 -1,1138 -1,5339 -1,9415 -2,2908 -2,5265 -2,6217 -2,6092 -2,5539 -2,4813 -2,3448 -2,0750 -1,6426 -1,0710 -0,4227 0,2128 0,7629 1,2089 1,5716 1,8833 2,1861 2,5236 2,9166 3,3450 3,7549 4,0921 4,3310 4,4729 4,5229 4,4677 4,2794 3,9482 3,5004 2,9841 2,4526 1,9520 1,5031 1,0985 0,7280 0,4022 0,1539 0,0260 0,0517 0,2251 0,4769 0,7100 0,8877 1,0777 1,3849 1,8446 2,3823 2,8664 3,1933 3,3336 3,3205 3,2109 3,0661 2,9536 2,9308 3,0137 3,1638 3,3144 3,4321 3,5547 3,7561 4,0793 4,5250 5,0838 5,7359 6,4192 7,0323 7,4870 7,7585 7,8861 7,9352 7,9618 7,9986 8,0640 8,1647 8,2863 8,4008 8,4763 8,4594 8,2676 7,8306 7,1628 6,3872 5,6717 5,1533 4,9140 4,9820 5,3288 5,8687 6,4673 6,9702 7,2513 7,2591 7,0420 6,7213 6,4172 6,1920 6,0506 5,9649 5,8985 5,8347 5,7896 5,7969 5,8769 6,0183 6,1879 6,3631 6,5402 6,7017 6,7969 6,7657 6,5689 6,2099 5,7571 5,3315 5,0415 4,9324 4,9963 5,2036 5,5134 5,8664 6,1901 6,4093 6,4423 6,2241 5,7692 5,1987 4,6829 4,3564 4,2717 4,4056 4,6881 5,0232 5,3132 5,4960 5,5636 5,5481 5,4980 5,4699 5,5106 5,6161 5,7121 5,7098 5,5858 5,3944 5,2113 5,0780 5,0009 4,9924 5,0746 5,2355 5,4253 5,6117 5,8090 6,0417 6,3019 6,5540 6,7651 6,9157 6,9895 6,9699 6,8558 6,6783 6,4880 6,3145 6,1502 5,9915 5,8770 5,8614 5,9678 6,1757 6,4269 6,6536 6,8240 6,9403 6,9945 6,9689 6,8770 6,7794 6,7558 6,8582 7,0792 7,3575 7,6069 7,7400 7,6925 7,4590 7,1092 6,7588 6,5090 6,3953 6,3805 6,3836 6,3185 6,1323 5,8320 5,4773 5,1329 4,8227 4,5304 4,2353 3,9498 3,7266 3,6190 3,6429 3,7829 4,0120 4,2956 4,5923 4,8630 5,0711 5,1810 5,1745 5,0718 4,9311 4,8171 4,7535 4,7110 4,6555 4,5985 4,5872 4,6612 4,8336 5,0988 5,4251 5,7396 5,9572 6,0429 6,0338 6,0024 6,0041 6,0446 6,0828 6,0644 5,9509 5,7297 5,4255 5,1099 4,8792 4,7998 4,8588 4,9691 5,0308 4,9937 4,8771 4,7391 4,6275 4,5623 4,5633 4,6777 4,9664 5,4618 6,1382 6,9185 7,7075 8,4262 9,0297 9,5172 9,9265 10,2929 10,6113 10,8560 11,0374 11,2043 11,3734 11,4805 11,4213 11,1251 10,5887 9,8692 9,0646 8,2911 7,6599 7,2523 7,0975 7,1786 7,4583 7,8780 8,3436 8,7559 9,0717 9,3211 9,5571 9,7824 9,9262 9,9016 9,6744 9,2690 8,7303 8,1162 7,5193 7,0574 6,8256 6,8599 7,1293 7,5468 8,0029 8,4079 8,7077 8,8695 8,8747 8,7262 8,4454 8,0602 7,6030 7,1226 6,6825 6,3308 6,0760 5,9007 5,7859 5,7158 5,6755 5,6576 5,6636 5,6904 5,7167 5,7141 5,6895 5,7050 5,8350 6,1123 6,5180 7,0034 7,5047 7,9421 8,2281 8,3097 8,2182 8,0616 7,9564 7,9503 7,9946 7,9799 7,7984 7,3883 6,7617 6,0167 5,3102 4,7965 4,5752 4,6804 5,0950 5,7544 6,5430 7,3118 7,9144 8,2395 8,2304 7,8890 7,2715 6,4733 5,6085 4,8030 4,1877 3,8594 3,8456 4,1203 4,6395 5,3526 6,1923 7,0688 7,8800 8,5251 8,9201 9,0182 8,8257 8,4179 7,9431 7,5743 7,4220 7,4811 7,6583 7,8505 8,0026 8,1089 8,1946 8,3016 8,4585 8,6459 8,8087 8,9101 8,9557 8,9623 8,9280 8,8400 8,6892 8,4651 8,1554 7,7690 7,3534 6,9792 6,7094 6,5841 6,6248 6,8414 7,2282 7,7577 8,3809 9,0328 9,6487 10,1763 10,5705 10,7909 10,8199 10,6787 10,4136 10,0690 9,6754 9,2494 8,7882 8,2745 7,7028 7,1015 6,5269 6,0351 5,6510 5,3620 5,1482 5,0212 5,0340 5,2509 5,6929 6,3000 6,9553 7,5425 7,9888 8,2718 8,3968 8,3652 8,1577 7,7484 7,1546 6,4675 5,8152 5,3133 5,0639 5,1481 5,5771 6,2671 7,0788 7,8676 8,5092 8,9282 9,1371 9,2255 9,2940 9,4102 9,6124 9,9059 10,2473 10,5541 10,7414 10,7487 10,5555 10,1856 9,6976 9,1711 8,6928 8,3446 8,2092 8,3763 8,8991 9,7192 10,6517 11,4698 12,0228 12,2818 12,2936 12,1248 11,8459 11,5293 11,2408 11,0263 10,8985 10,8322 10,7791 10,6987 10,5851 10,4626 10,3533 10,2471 10,1074 9,9036 9,6276 9,2811 8,8648 8,3848 7,8760 7,4162 7,0889 6,9225 6,8784 6,8951 6,9348 7,0016 7,1287 7,3365 7,5922 7,8138 7,9119 7,8279 7,5580 7,1556 6,7016 6,2690 5,9236 5,7361 5,7584 5,9858 6,3498 6,7426 7,0632 7,2699 7,3883 7,4585 7,4771 7,3924 7,1483 6,7335 6,2085 5,7022 5,3675 5,3132 5,5429 5,9430 6,3374 6,5775 6,6195 6,5431
F3    1,0915 0,5120 -0,1271 -0,7575 -1,2966 -1,6565 -1,7880 -1,7221 -1,5552 -1,3873 -1,2684 -1,2000 -1,1720 -1,1726 -1,1615 -1,0678 -0,8320 -0,4475 0,0297 0,4961 0,8470 1,0429 1,1209 1,1383 1,1323 1,1335 1,1812 1,3111 1,5260 1,7784 1,9920 2,1068 2,1045 2,0054 1,8486 1,6672 1,4725 1,2563 0,9979 0,6602 0,2057 -0,3550 -0,9415 -1,4387 -1,7498 -1,8332 -1,7192 -1,5023 -1,3024 -1,2039 -1,2211 -1,3233 -1,4757 -1,6411 -1,7540 -1,7221 -1,4807 -1,0530 -0,5488 -0,1031 0,1947 0,3258 0,3110 0,1759 -0,0592 -0,3731 -0,7355 -1,1071 -1,4579 -1,7697 -2,0144 -2,1526 -2,1693 -2,0990 -1,9961 -1,8747 -1,6827 -1,3455 -0,8306 -0,1685 0,5526 1,2044 1,6788 1,9461 2,0434 2,0348 2,0014 2,0292 2,1779 2,4541 2,8145 3,2006 3,5718 3,9067 4,1835 4,3595 4,3779 4,2092 3,8791 3,4534 3,0030 2,5707 2,1525 1,7130 1,2307 0,7320 0,2882 -0,0166 -0,1258 -0,0456 0,1497 0,3711 0,5990 0,9038 1,3705 2,0040 2,7008 3,3091 3,7205 3,9142 3,9325 3,8293 3,6470 3,4328 3,2453 3,1306 3,0906 3,0882 3,1076 3,1975 3,4320 3,8416 4,4088 5,1081 5,9052 6,7213 7,4374 7,9494 8,2200 8,2850 8,2267 8,1399 8,0975 8,1322 8,2351 8,3675 8,4889 8,5694 8,5690 8,4242 8,0767 7,5346 6,8990 6,3105 5,8796 5,6647 5,6771 5,8813 6,1910 6,4801 6,6234 6,5454 6,2499 5,8228 5,4014 5,1070 4,9974 5,0704 5,2793 5,5466 5,7951 5,9785 6,0867 6,1298 6,1178 6,0564 5,9665 5,8830 5,8100 5,7015 5,5035 5,1965 4,8047 4,4051 4,1147 4,0322 4,1869 4,5467 5,0530 5,6368 6,2140 6,6961 7,0087 7,0853 6,8745 6,3935 5,7641 5,1723 4,7832 4,6814 4,8636 5,2598 5,7569 6,2285 6,5773 6,7613 6,7881 6,6973 6,5453 6,3836 6,2229 6,0226 5,7400 5,3907 5,0465 4,7791 4,6154 4,5464 4,5715 4,7046 4,9319 5,2071 5,5015 5,8269 6,1966 6,5845 6,9378 7,2134 7,3876 7,4439 7,3702 7,1693 6,8774 6,5627 6,2863 6,0707 5,9234 5,8729 5,9512 6,1611 6,4708 6,8179 7,1340 7,3870 7,5764 7,6889 7,6972 7,6034 7,4627 7,3636 7,3758 7,5070 7,7031 7,8766 7,9342 7,8127 7,5182 7,1315 6,7700 6,5314 6,4519 6,4960 6,5764 6,5948 6,4947 6,2920 6,0541 5,8423 5,6662 5,4896 5,2737 5,0267 4,8203 4,7430 4,8399 5,0987 5,4730 5,9015 6,3190 6,6708 6,9115 6,9990 6,9163 6,6997 6,4290 6,1809 5,9797 5,7946 5,5978 5,4169 5,3178 5,3486 5,5204 5,8243 6,2275 6,6528 7,0014 7,2111 7,2849 7,2652 7,1890 7,0602 6,8648 6,6034 6,2952 5,9598 5,6207 5,3218 5,1198 5,0455 5,0717 5,1251 5,1377 5,0879 5,0058 4,9453 4,9385 4,9788 5,0533 5,1824 5,4137 5,7832 6,2863 6,8783 7,4923 8,0634 8,5521 8,9652 9,3498 9,7472 10,1494 10,5171 10,8373 11,1342 11,4052 11,5737 11,5290 11,2038 10,6087 9,8176 8,9375 8,0845 7,3732 6,9010 6,7184 6,8227 7,1784 7,7192 8,3385 8,9247 9,4202 9,8385 10,2179 10,5531 10,7698 10,7751 10,5292 10,0607 9,4322 8,7282 8,0705 7,5981 7,4072 7,5098 7,8334 8,2507 8,6326 8,8992 9,0264 9,0154 8,8766 8,6293 8,2919 7,8738 7,3907 6,8854 6,4234 6,0594 5,8137 5,6784 5,6306 5,6337 5,6454 5,6364 5,6017 5,5554 5,5131 5,4832 5,4898 5,5902 5,8455 6,2695 6,8155 7,4069 7,9675 8,4213 8,6858 8,7071 8,5147 8,2272 7,9855 7,8623 7,8198 7,7472 7,5328 7,1166 6,5208 5,8541 5,2716 4,9170 4,8805 5,1840 5,7819 6,5683 7,4008 8,1347 8,6471 8,8538 8,7263 8,2923 7,6169 6,7838 5,8882 5,0413 4,3622 3,9382 3,7953 3,9140 4,2619 4,8019 5,4797 6,2118 6,8912 7,4086 7,6825 7,6843 7,4432 7,0471 6,6443 6,4004 6,4125 6,6521 6,9989 7,3380 7,6188 7,8358 7,9984 8,1275 8,2378 8,3036 8,2661 8,0929 7,8119 7,4760 7,1205 6,7617 6,4074 6,0546 5,6982 5,3594 5,0983 4,9904 5,0865 5,3936 5,8885 6,5372 7,2934 8,0952 8,8703 9,5431 10,0500 10,3556 10,4506 10,3418 10,0567 9,6525 9,1998 8,7565 8,3602 8,0296 7,7523 7,4856 7,1916 6,8721 6,5684 6,3305 6,1774 6,0854 6,0218 5,9888 6,0326 6,2100 6,5327 6,9392 7,3280 7,6148 7,7630 7,7801 7,6914 7,5091 7,2139 6,7668 6,1648 5,4779 4,8141 4,2743 3,9578 3,9571 4,3021 4,9266 5,6985 6,4657 7,0866 7,4736 7,6409 7,6864 7,7156 7,7943 7,9538 8,1945 8,4772 8,7385 8,9181 8,9750 8,8957 8,6985 8,4269 8,1412 7,9118 7,8130 7,9260 8,3366 9,0864 10,0995 11,1754 12,0816 12,6738 12,9377 12,9342 12,7358 12,4136 12,0434 11,6988 11,4357 11,2769 11,2038 11,1661 11,1118 11,0153 10,8800 10,7227 10,5549 10,3723 10,1584 9,8917 9,5470 9,0998 8,5382 7,8851 7,2130 6,6124 6,1394 5,8001 5,5777 5,4706 5,5123 5,7517 6,1997 6,7914 7,4021 7,8933 8,1594 8,1643 7,9515 7,6086 7,2250 6,8859 6,6754 6,6478 6,7930 7,0364 7,2695 7,3966 7,3837 7,2697 7,1221 6,9753 6,8063 6,5605 6,2006 5,7501 5,3054 5,0039 4,9611 5,2030 5,6338 6,0796 6,3889 6,5210 6,5597
F7    0,1091 -0,0848 -0,2860 -0,5065 -0,7254 -0,8832 -0,9303 -0,8741 -0,7663 -0,6504 -0,5365 -0,4266 -0,3430 -0,3112 -0,3209 -0,3206 -0,2518 -0,0828 0,1721 0,4447 0,6434 0,7213 0,7010 0,6290 0,5405 0,4708 0,4629 0,5489 0,7251 0,9438 1,1380 1,2606 1,3030 1,2862 1,2405 1,1861 1,1178 1,0083 0,8213 0,5221 0,0964 -0,4174 -0,9275 -1,3283 -1,5401 -1,5356 -1,3531 -1,0890 -0,8592 -0,7424 -0,7473 -0,8304 -0,9330 -0,9998 -0,9798 -0,8290 -0,5319 -0,1324 0,2646 0,5430 0,6473 0,6044 0,4777 0,3126 0,1243 -0,0853 -0,3039 -0,5022 -0,6548 -0,7579 -0,8168 -0,8336 -0,8194 -0,8082 -0,8371 -0,9042 -0,9479 -0,8818 -0,6526 -0,2696 0,1966 0,6349 0,9462 1,0949 1,1137 1,0789 1,0866 1,2126 1,4704 1,8081 2,1516 2,4567 2,7246 2,9761 3,2144 3,4005 3,4654 3,3594 3,0921 2,7265 2,3433 1,9975 1,6889 1,3796 1,0504 0,7389 0,5264 0,4888 0,6487 0,9531 1,2927 1,5698 1,7730 1,9788 2,2668 2,6263 2,9451 3,0903 2,9997 2,7025 2,2795 1,8180 1,4026 1,1212 1,0374 1,1489 1,3850 1,6494 1,8865 2,1163 2,3934 2,7401 3,1414 3,5916 4,1013 4,6549 5,1873 5,6198 5,9111 6,0737 6,1573 6,2240 6,3218 6,4669 6,6395 6,7977 6,9111 6,9719 6,9655 6,8510 6,5910 6,2070 5,7881 5,4357 5,2136 5,1448 5,2252 5,4273 5,6929 5,9231 5,9978 5,8351 5,4461 4,9344 4,4390 4,0666 3,8691 3,8583 4,0072 4,2446 4,4785 4,6426 4,7255 4,7633 4,8004 4,8516 4,9088 4,9628 4,9926 4,9509 4,7921 4,5089 4,1436 3,7835 3,5398 3,5006 3,6859 4,0433 4,4881 4,9447 5,3556 5,6754 5,8652 5,8785 5,6706 5,2479 4,7068 4,2081 3,9062 3,8815 4,1128 4,4959 4,8901 5,1739 5,2855 5,2235 5,0196 4,7202 4,3875 4,0901 3,8648 3,6871 3,5055 3,3071 3,1272 3,0048 2,9529 2,9753 3,0902 3,3113 3,6084 3,9169 4,1948 4,4523 4,7193 4,9958 5,2465 5,4358 5,5460 5,5702 5,5062 5,3639 5,1727 4,9701 4,7751 4,5820 4,3970 4,2665 4,2485 4,3663 4,5973 4,8853 5,1714 5,4260 5,6355 5,7678 5,7886 5,7088 5,5997 5,5596 5,6576 5,8934 6,1990 6,4676 6,5892 6,4977 6,2114 5,8273 5,4740 5,2567 5,2187 5,3324 5,5167 5,6670 5,6969 5,5766 5,3395 5,0473 4,7497 4,4741 4,2397 4,0766 4,0283 4,1182 4,3203 4,5820 4,8649 5,1500 5,4185 5,6472 5,8099 5,8780 5,8375 5,7082 5,5420 5,4006 5,3188 5,2807 5,2500 5,2179 5,2074 5,2418 5,3313 5,4846 5,7020 5,9483 6,1634 6,3137 6,4187 6,5232 6,6530 6,7937 6,9022 6,9346 6,8555 6,6373 6,2793 5,8325 5,3913 5,0493 4,8483 4,7644 4,7405 4,7334 4,7402 4,7841 4,8753 4,9936 5,1211 5,2849 5,5507 5,9677 6,5208 7,1382 7,7325 8,2324 8,5964 8,8296 8,9873 9,1307 9,2733 9,3880 9,4653 9,5363 9,6256 9,7036 9,7045 9,5721 9,2803 8,8318 8,2606 7,6360 7,0580 6,6312 6,4276 6,4759 6,7696 7,2566 7,8328 8,3831 8,8397 9,2002 9,4976 9,7458 9,9097 9,9343 9,7933 9,4947 9,0563 8,5112 7,9375 7,4484 7,1374 7,0358 7,1077 7,2727 7,4489 7,5943 7,7087 7,7956 7,8407 7,8283 7,7570 7,6356 7,4808 7,3213 7,1865 7,0798 6,9719 6,8301 6,6482 6,4418 6,2330 6,0449 5,8990 5,8074 5,7608 5,7283 5,6955 5,7040 5,8329 6,1369 6,6044 7,1644 7,7182 8,1596 8,3913 8,3659 8,1283 7,8047 7,5301 7,3654 7,2683 7,1408 6,8996 6,5092 5,9849 5,3973 4,8665 4,5310 4,4963 4,7955 5,3833 6,1584 6,9995 7,7927 8,4357 8,8392 8,9452 8,7470 8,2875 7,6432 6,9116 6,2020 5,6136 5,2019 4,9707 4,9016 4,9896 5,2470 5,6715 6,2098 6,7545 7,1756 7,3649 7,2706 6,9084 6,3670 5,8093 5,4266 5,3436 5,5557 5,9555 6,4169 6,8513 7,2072 7,4562 7,5937 7,6302 7,5676 7,4012 7,1517 6,8757 6,6261 6,4211 6,2543 6,1114 5,9702 5,8111 5,6471 5,5386 5,5660 5,7795 6,1703 6,6868 7,2672 7,8527 8,3874 8,8212 9,1171 9,2599 9,2596 9,1391 8,9233 8,6454 8,3536 8,0970 7,9038 7,7790 7,7138 7,6792 7,6275 7,5189 7,3477 7,1466 6,9676 6,8479 6,7858 6,7553 6,7420 6,7631 6,8522 7,0176 7,2194 7,3974 7,5119 7,5625 7,5783 7,5884 7,5875 7,5188 7,3038 6,9111 6,3919 5,8403 5,3486 5,0138 4,9370 5,1730 5,6905 6,3848 7,1138 7,7358 8,1578 8,3740 8,4479 8,4528 8,4442 8,4708 8,5687 8,7432 8,9743 9,2275 9,4511 9,5902 9,6146 9,5264 9,3477 9,1176 8,8959 8,7670 8,8339 9,1753 9,7798 10,5209 11,2144 11,7167 11,9762 12,0075 11,8503 11,5640 11,2255 10,9043 10,6430 10,4605 10,3540 10,2944 10,2364 10,1432 10,0037 9,8338 9,6565 9,4752 9,2762 9,0451 8,7686 8,4304 8,0249 7,5848 7,1885 6,9184 6,8096 6,8425 6,9741 7,1680 7,4069 7,6910 8,0208 8,3734 8,6936 8,8996 8,9082 8,6852 8,2757 7,7771 7,2958 6,9305 6,7620 6,8228 7,0715 7,4025 7,6860 7,8217 7,7809 7,6056 7,3702 7,1352 6,9199 6,7057 6,4713 6,2331 6,0543 6,0179 6,1837 6,5425 6,9908 7,3691 7,5556 7,5396 7,4190
