Fp1   -1,5534 -1,3692 -0,9651 -0,3483 0,4325 1,2501 1,9087 2,2179 2,0843 1,5657 0,8568 0,1891 -0,2944 -0,5850 -0,7561 -0,8925 -1,0505 -1,2416 -1,4364 -1,5815 -1,6209 -1,5282 -1,3324 -1,1080 -0,9254 -0,8024 -0,7055 -0,6035 -0,5149 -0,4930 -0,5710 -0,7305 -0,9138 -1,0496 -1,0788 -0,9867 -0,8026 -0,5563 -0,2569 0,0839 0,4498 0,8528 1,3195 1,8229 2,2601 2,5121 2,5241 2,3445 2,0950 1,8848 1,7393 1,6080 1,4375 1,2257 1,0100 0,8253 0,6812 0,5670 0,4756 0,4146 0,3823 0,3468 0,2671 0,1223 -0,0913 -0,3723 -0,7122 -1,0861 -1,4446 -1,7201 -1,8586 -1,8499 -1,7335 -1,5915 -1,5169 -1,5532 -1,6696 -1,8053 -1,9180 -1,9874 -2,0025 -1,9635 -1,8946 -1,8481 -1,8830 -2,0256 -2,2404 -2,4356 -2,5063 -2,3880 -2,0763 -1,6035 -1,0141 -0,3657 0,2693 0,8190 1,2223 1,4285 1,4086 1,1702 0,7457 0,1705 -0,5119 -1,2256 -1,8584 -2,3050 -2,5338 -2,6130 -2,6612 -2,7607 -2,9126 -3,0772 -3,2405 -3,4141 -3,5928 -3,7569 -3,9131 -4,0940 -4,3058 -4,5001 -4,6174 -4,6449 -4,6291 -4,6581 -4,8241 -5,1656 -5,6382 -6,1464 -6,5950 -6,9174 -7,0779 -7,0698 -6,9113 -6,6274 -6,2332 -5,7503 -5,2332 -4,7606 -4,4032 -4,2049 -4,1770 -4,2870 -4,4479 -4,5411 -4,4764 -4,2461 -3,9202 -3,5858 -3,2788 -2,9648 -2,5820 -2,1009 -1,5500 -0,9838 -0,4375 0,0847 0,5885 1,0772 1,5537 2,0119 2,4227 2,7352 2,8880 2,8257 2,5262 2,0313 1,4516 0,9283 0,5589 0,3404 0,1877 0,0060 -0,2519 -0,5691 -0,8873 -1,1507 -1,3397 -1,4831 -1,6409 -1,8673 -2,1747 -2,5132 -2,7851 -2,8979 -2,8132 -2,5546 -2,1830 -1,7707 -1,3948 -1,1295 -1,0105 -1,0004 -1,0029 -0,9253 -0,7407 -0,5026 -0,3100 -0,2565 -0,3917 -0,7074 -1,1485 -1,6346 -2,0788 -2,3977 -2,5243 -2,4282 -2,1306 -1,7124 -1,3039 -1,0306 -0,9510 -1,0589 -1,3246 -1,7059 -2,1310 -2,5078 -2,7635 -2,8786 -2,8870 -2,8512 -2,8318 -2,8603 -2,9365 -3,0442 -3,1552 -3,2293 -3,2356 -3,1691 -3,0440 -2,8795 -2,6923 -2,4954 -2,3046 -2,1458 -2,0591 -2,0994 -2,3044 -2,6400 -3,0101 -3,3396 -3,6267 -3,9202 -4,2720 -4,6896 -5,0974 -5,3620 -5,3871 -5,1867 -4,8654 -4,5311 -4,2189 -3,9023 -3,5619 -3,2220 -2,9352 -2,7470 -2,6629 -2,6430 -2,6286 -2,5737 -2,4664 -2,3309 -2,2114 -2,1409 -2,1125 -2,0771 -1,9677 -1,7240 -1,3167 -0,7715 -0,1765 0,3470 0,6973 0,8301 0,7550 0,5111 0,1579 -0,2296 -0,5871 -0,8793 -1,0857 -1,1746 -1,0913 -0,7774 -0,2291 0,4531 1,1009 1,5695 1,7797 1,7038 1,3710 0,8894 0,4127 0,0537 -0,1675 -0,2907 -0,3556 -0,3793 -0,3716 -0,3507 -0,3396 -0,3499 -0,3714 -0,3829 -0,3741 -0,3586 -0,3631 -0,4050 -0,4900 -0,6271 -0,8348 -1,1266 -1,4819 -1,8316 -2,0886 -2,1988 -2,1708 -2,0645 -1,9469 -1,8535 -1,7885 -1,7513 -1,7493 -1,7898 -1,8655 -1,9469 -1,9894 -1,9518 -1,8131 -1,5675 -1,2114 -0,7574 -0,2755 0,1049 0,2599 0,1448 -0,1891 -0,6357 -1,0887 -1,4663 -1,7300 -1,8976 -2,0174 -2,1303 -2,2633 -2,4356 -2,6500 -2,8744 -3,0321 -3,0243 -2,7813 -2,3106 -1,7111 -1,1340 -0,7125 -0,5048 -0,4742 -0,5122 -0,5016 -0,3834 -0,1743 0,0648 0,2638 0,3557 0,2934 0,0739 -0,2532 -0,5984 -0,8641 -0,9897 -0,9792 -0,8950 -0,8259 -0,8483 -0,9941 -1,2309 -1,4653 -1,5831 -1,5041 -1,2069 -0,7306 -0,1685 0,3789 0,8596 1,2635 1,5817 1,7948 1,8836 1,8444 1,7065 1,5238 1,3462 1,1954 1,0613 0,9194 0,7671 0,6459 0,6106 0,6739 0,7962 0,9337 1,0835 1,2666 1,4764 1,6610 1,7532 1,7263 1,6330 1,5819 1,6584 1,8571 2,0878 2,2447 2,2669 2,1451 1,8974 1,5506 1,1418 0,7312 0,3999 0,2130 0,1699 0,1974 0,2039 0,1435 0,0409 -0,0295 0,0110 0,2013 0,5096 0,8416 1,0992 1,2378 1,2667 1,2087 1,0819 0,9049 0,6975 0,4862 0,3045 0,1769 0,1175 0,1447 0,2650 0,4430 0,6120 0,7202 0,7599 0,7616 0,7748 0,8567 1,0513 1,3499 1,6723 1,9039 1,9542 1,7924 1,4546 1,0305 0,6248 0,3073 0,0868 -0,0705 -0,1965 -0,2926 -0,3252 -0,2457 -0,0220 0,3374 0,7752 1,1973 1,4995 1,5977 1,4633 1,1433 0,7202 0,2449 -0,2740 -0,8155 -1,3208 -1,7305 -2,0254 -2,2335 -2,4039 -2,5558 -2,6501 -2,6216 -2,4383 -2,1347 -1,8089 -1,5968 -1,6268 -1,9624 -2,5633 -3,3050 -4,0419 -4,6559 -5,0775 -5,3006 -5,3862 -5,4401 -5,5674 -5,8156 -6,1483 -6,4686 -6,6705 -6,6913 -6,5309 -6,2279 -5,8333 -5,4044 -5,0067 -4,7135 -4,5938 -4,6797 -4,9286 -5,2334 -5,4876 -5,6503 -5,7591 -5,8793 -6,0372 -6,2033 -6,3240 -6,3625 -6,3153 -6,1901 -5,9726 -5,6373 -5,1973 -4,7216 -4,2939 -3,9664 -3,7576 -3,6686 -3,6851 -3,7700 -3,8683 -3,9241 -3,9063 -3,8268 -3,7255 -3,6302 -3,5371 -3,4255 -3,2876 -3,1409 -3,0092 -2,8944 -2,7775 -2,6478 -2,5256 -2,4496 -2,4473 -2,5253 -2,6789 -2,8920 -3,1210 -3,3009 -3,3853 -3,3683 -3,2624 -3,0778 -2,8326 -2,5615 -2,3059 -2,1119 -2,0369 -2,1277 -2,3870 -2,7739 -3,2305 -3,7080 -4,1842 -4,6639 -5,1584 -5,6632 -6,1587 -6,6203 -7,0144 -7,2995 -7,4522 -7,4911 -7,4646 -7,4234 -7,4025 -7,4163 -7,4596 -7,5165 -7,5641 -7,5620 -7,4571 -7,2096 -6,8183 -6,3226 -5,7758 -5,2151 -4,6607 -4,1368 -3,6775
Fz    0,5172 0,7142 0,9641 1,2571 1,5853 1,9045 2,1206 2,1346 1,9097 1,5035 1,0384 0,6243 0,2977 0,0291 -0,2207 -0,4626 -0,6790 -0,8463 -0,9586 -1,0269 -1,0589 -1,0556 -1,0318 -1,0258 -1,0761 -1,1805 -1,2813 -1,3018 -1,2054 -1,0223 -0,8245 -0,6765 -0,6041 -0,5944 -0,6191 -0,6625 -0,7262 -0,7981 -0,8338 -0,7888 -0,6462 -0,4030 -0,0594 0,3570 0,7761 1,1107 1,2958 1,3157 1,2038 1,0105 0,7675 0,4862 0,1881 -0,0820 -0,2789 -0,3859 -0,4329 -0,4887 -0,6190 -0,8435 -1,1316 -1,4315 -1,7027 -1,9406 -2,1713 -2,4126 -2,6469 -2,8339 -2,9342 -2,9166 -2,7689 -2,5138 -2,2084 -1,9252 -1,7175 -1,5879 -1,4992 -1,4260 -1,3819 -1,3941 -1,4621 -1,5482 -1,6013 -1,5930 -1,5292 -1,4291 -1,2972 -1,1205 -0,9004 -0,6804 -0,5225 -0,4453 -0,4032 -0,3283 -0,1725 0,0783 0,3888 0,6738 0,8368 0,8177 0,6141 0,2701 -0,1491 -0,5791 -0,9676 -1,2809 -1,5108 -1,6740 -1,8026 -1,9274 -2,0634 -2,2107 -2,3685 -2,5334 -2,6880 -2,8147 -2,9251 -3,0557 -3,2233 -3,4001 -3,5476 -3,6634 -3,7819 -3,9406 -4,1521 -4,3956 -4,6302 -4,8168 -4,9315 -4,9668 -4,9365 -4,8800 -4,8455 -4,8526 -4,8766 -4,8773 -4,8352 -4,7530 -4,6419 -4,5240 -4,4275 -4,3553 -4,2622 -4,0779 -3,7624 -3,3446 -2,9068 -2,5186 -2,1852 -1,8570 -1,4718 -0,9907 -0,4180 0,2094 0,8489 1,4608 2,0049 2,4541 2,8164 3,1275 3,4161 3,6718 3,8443 3,8725 3,7159 3,3715 2,8795 2,3201 1,7841 1,3293 0,9615 0,6499 0,3510 0,0280 -0,3369 -0,7386 -1,1562 -1,5646 -1,9379 -2,2510 -2,4809 -2,6013 -2,5881 -2,4437 -2,2095 -1,9364 -1,6452 -1,3248 -0,9667 -0,5937 -0,2533 0,0128 0,1943 0,3076 0,3655 0,3607 0,2841 0,1509 -0,0030 -0,1459 -0,2552 -0,3080 -0,2918 -0,2211 -0,1315 -0,0593 -0,0283 -0,0562 -0,1663 -0,3778 -0,6860 -1,0677 -1,4982 -1,9502 -2,3727 -2,6862 -2,8098 -2,7050 -2,3977 -1,9695 -1,5372 -1,2189 -1,0861 -1,1307 -1,2777 -1,4381 -1,5644 -1,6691 -1,7998 -1,9937 -2,2485 -2,5265 -2,7794 -2,9669 -3,0713 -3,1147 -3,1378 -3,1454 -3,0979 -2,9581 -2,7305 -2,4654 -2,2466 -2,1531 -2,1985 -2,3105 -2,3929 -2,4133 -2,4210 -2,4820 -2,6064 -2,7454 -2,8457 -2,8891 -2,8831 -2,8284 -2,7011 -2,4626 -2,0934 -1,6211 -1,1166 -0,6609 -0,3171 -0,1178 -0,0579 -0,0966 -0,1669 -0,1887 -0,1005 0,1052 0,3822 0,6642 0,8999 1,0643 1,1434 1,1264 1,0259 0,8880 0,7671 0,6968 0,6928 0,7750 0,9736 1,3137 1,7896 2,3467 2,8951 3,3510 3,6589 3,7872 3,7369 3,5622 3,3491 3,1606 3,0122 2,8890 2,7672 2,6274 2,4673 2,3039 2,1611 2,0594 2,0078 1,9947 1,9901 1,9662 1,9265 1,9098 1,9543 2,0544 2,1471 2,1424 1,9817 1,6691 1,2492 0,7720 0,2851 -0,1594 -0,5084 -0,7244 -0,8073 -0,7945 -0,7329 -0,6505 -0,5573 -0,4595 -0,3644 -0,2712 -0,1582 0,0195 0,3069 0,7050 1,1411 1,4913 1,6450 1,5682 1,3240 1,0310 0,7946 0,6694 0,6506 0,6787 0,6740 0,5863 0,4132 0,1813 -0,0784 -0,3333 -0,5451 -0,6808 -0,7230 -0,6661 -0,5168 -0,2998 -0,0521 0,1942 0,4250 0,6440 0,8612 1,0783 1,2811 1,4385 1,5016 1,4152 1,1575 0,7715 0,3466 -0,0214 -0,2579 -0,3206 -0,2019 0,0711 0,4353 0,8032 1,0939 1,2721 1,3636 1,4286 1,5176 1,6481 1,8044 1,9539 2,0810 2,2026 2,3386 2,4801 2,5916 2,6270 2,5544 2,3874 2,1805 1,9865 1,8275 1,7011 1,5999 1,5225 1,4724 1,4441 1,4128 1,3466 1,2418 1,1418 1,1108 1,1822 1,3329 1,5073 1,6686 1,8208 1,9787 2,1171 2,1608 2,0358 1,7329 1,3144 0,8689 0,4644 0,1313 -0,1298 -0,3349 -0,5011 -0,6305 -0,7060 -0,7078 -0,6328 -0,5031 -0,3586 -0,2312 -0,1158 0,0258 0,2193 0,4382 0,6226 0,7325 0,7710 0,7648 0,7427 0,7217 0,6978 0,6627 0,6248 0,6019 0,6011 0,6206 0,6574 0,7036 0,7383 0,7292 0,6465 0,4819 0,2567 0,0168 -0,1884 -0,3297 -0,4051 -0,4231 -0,3890 -0,3114 -0,2124 -0,1218 -0,0671 -0,0737 -0,1626 -0,3324 -0,5376 -0,7007 -0,7577 -0,6932 -0,5358 -0,3360 -0,1567 -0,0706 -0,1486 -0,4324 -0,8979 -1,4498 -1,9750 -2,4092 -2,7524 -3,0310 -3,2625 -3,4559 -3,6262 -3,7955 -3,9747 -4,1430 -4,2484 -4,2322 -4,0653 -3,7747 -3,4395 -3,1671 -3,0649 -3,2110 -3,6235 -4,2488 -4,9880 -5,7293 -6,3579 -6,7724 -6,9252 -6,8538 -6,6630 -6,4683 -6,3444 -6,3089 -6,3362 -6,3858 -6,4260 -6,4415 -6,4362 -6,4298 -6,4455 -6,5059 -6,6339 -6,8339 -7,0613 -7,2298 -7,2650 -7,1548 -6,9550 -6,7463 -6,5870 -6,4988 -6,4736 -6,4829 -6,4916 -6,4652 -6,3659 -6,1644 -5,8707 -5,5499 -5,2931 -5,1553 -5,1152 -5,0895 -4,9879 -4,7659 -4,4347 -4,0358 -3,6226 -3,2559 -2,9897 -2,8483 -2,8233 -2,8935 -3,0403 -3,2398 -3,4511 -3,6203 -3,7014 -3,6818 -3,5919 -3,4848 -3,4048 -3,3773 -3,4233 -3,5606 -3,7761 -4,0071 -4,1712 -4,2150 -4,1329 -3,9522 -3,7137 -3,4621 -3,2438 -3,1045 -3,0850 -3,1985 -3,4085 -3,6446 -3,8460 -3,9920 -4,1067 -4,2401 -4,4374 -4,7172 -5,0725 -5,4777 -5,8946 -6,2880 -6,6414 -6,9486 -7,2001 -7,3863 -7,5031 -7,5464 -7,5099 -7,3895 -7,1822 -6,8859 -6,5111 -6,0847 -5,6411 -5,2054 -4,7792 -4,3476 -3,9116 -3,5036 -3,1729
F3    0,9075 1,0531 1,2318 1,4147 1,5835 1,7018 1,7039 1,5297 1,1756 0,7198 0,2933 0,0021 -0,1375 -0,1912 -0,2388 -0,3214 -0,4388 -0,5679 -0,6789 -0,7414 -0,7309 -0,6417 -0,5014 -0,3717 -0,3242 -0,3952 -0,5611 -0,7587 -0,9293 -1,0520 -1,1470 -1,2485 -1,3700 -1,4882 -1,5633 -1,5779 -1,5494 -1,4900 -1,3755 -1,1664 -0,8383 -0,3818 0,1929 0,8281 1,4145 1,8375 2,0286 1,9861 1,7598 1,4139 0,9939 0,5300 0,0692 -0,3126 -0,5454 -0,6116 -0,5680 -0,5236 -0,5770 -0,7611 -1,0438 -1,3619 -1,6534 -1,8889 -2,0866 -2,2836 -2,4938 -2,7000 -2,8691 -2,9624 -2,9495 -2,8267 -2,6230 -2,3908 -2,1814 -2,0129 -1,8677 -1,7259 -1,5862 -1,4540 -1,3272 -1,1972 -1,0608 -0,9305 -0,8285 -0,7645 -0,7224 -0,6685 -0,5770 -0,4527 -0,3276 -0,2215 -0,1194 0,0069 0,1732 0,3763 0,5859 0,7396 0,7664 0,6217 0,3038 -0,1479 -0,6626 -1,1583 -1,5673 -1,8554 -2,0296 -2,1305 -2,2139 -2,3297 -2,5019 -2,7274 -2,9898 -3,2616 -3,5031 -3,6859 -3,8192 -3,9381 -4,0585 -4,1576 -4,2108 -4,2316 -4,2667 -4,3664 -4,5576 -4,8272 -5,1271 -5,3968 -5,5874 -5,6704 -5,6435 -5,5364 -5,4045 -5,2996 -5,2417 -5,2207 -5,2150 -5,1988 -5,1496 -5,0646 -4,9594 -4,8336 -4,6460 -4,3393 -3,8948 -3,3652 -2,8522 -2,4387 -2,1358 -1,8895 -1,6254 -1,2899 -0,8719 -0,3915 0,1251 0,6512 1,1537 1,5987 1,9681 2,2704 2,5299 2,7576 2,9280 2,9858 2,8789 2,5923 2,1659 1,6888 1,2589 0,9276 0,6807 0,4625 0,2116 -0,1105 -0,5054 -0,9472 -1,4066 -1,8646 -2,3006 -2,6801 -2,9620 -3,1060 -3,0754 -2,8605 -2,4980 -2,0461 -1,5417 -0,9950 -0,4237 0,1245 0,5864 0,9140 1,0896 1,1153 0,9936 0,7275 0,3382 -0,1267 -0,6038 -1,0296 -1,3440 -1,4938 -1,4525 -1,2390 -0,9117 -0,5440 -0,2035 0,0474 0,1420 0,0262 -0,3066 -0,8137 -1,4311 -2,0869 -2,6928 -3,1423 -3,3394 -3,2445 -2,8957 -2,3946 -1,8761 -1,4722 -1,2657 -1,2554 -1,3637 -1,4941 -1,6039 -1,7319 -1,9580 -2,3338 -2,8414 -3,4075 -3,9436 -4,3734 -4,6515 -4,7844 -4,8091 -4,7383 -4,5502 -4,2346 -3,8254 -3,3969 -3,0445 -2,8485 -2,8189 -2,8747 -2,9042 -2,8564 -2,7743 -2,7368 -2,7776 -2,8713 -2,9795 -3,0854 -3,1869 -3,2724 -3,3036 -3,2253 -2,9975 -2,6224 -2,1497 -1,6561 -1,2155 -0,8807 -0,6721 -0,5706 -0,5226 -0,4555 -0,3106 -0,0759 0,2170 0,5252 0,8177 1,0737 1,2657 1,3637 1,3626 1,2908 1,1796 1,0404 0,8853 0,7613 0,7523 0,9428 1,3686 1,9834 2,6723 3,3038 3,7666 3,9780 3,9035 3,5916 3,1639 2,7521 2,4416 2,2521 2,1461 2,0577 1,9338 1,7679 1,5930 1,4484 1,3509 1,2889 1,2409 1,2078 1,2356 1,3976 1,7354 2,2114 2,7149 3,1139 3,3087 3,2402 2,8654 2,1643 1,1837 0,0614 -1,0008 -1,8043 -2,2280 -2,2697 -2,0295 -1,6459 -1,2354 -0,8678 -0,5739 -0,3582 -0,2001 -0,0519 0,1470 0,4277 0,7459 0,9883 1,0414 0,8665 0,5233 0,1305 -0,1964 -0,3843 -0,4242 -0,3746 -0,3187 -0,3038 -0,3312 -0,3924 -0,4911 -0,6216 -0,7473 -0,8159 -0,7873 -0,6441 -0,3952 -0,0777 0,2534 0,5467 0,7743 0,9367 1,0526 1,1474 1,2431 1,3442 1,4220 1,4178 1,2842 1,0271 0,7069 0,4063 0,1973 0,1244 0,2036 0,4196 0,7204 1,0274 1,2684 1,4158 1,4992 1,5741 1,6795 1,8242 1,9918 2,1525 2,2910 2,4228 2,5655 2,7041 2,7949 2,7919 2,6747 2,4651 2,2083 1,9358 1,6573 1,3794 1,1196 0,9039 0,7597 0,7004 0,7060 0,7307 0,7453 0,7697 0,8491 1,0021 1,1980 1,3841 1,5316 1,6543 1,7809 1,9057 1,9757 1,9331 1,7687 1,5243 1,2516 0,9789 0,7104 0,4453 0,1887 -0,0506 -0,2631 -0,4363 -0,5506 -0,5837 -0,5312 -0,4197 -0,2901 -0,1613 -0,0194 0,1498 0,3279 0,4792 0,5906 0,6774 0,7559 0,8297 0,8906 0,9195 0,9007 0,8413 0,7654 0,6975 0,6575 0,6508 0,6558 0,6313 0,5407 0,3661 0,1067 -0,2188 -0,5633 -0,8621 -1,0671 -1,1633 -1,1531 -1,0428 -0,8486 -0,6004 -0,3335 -0,0836 0,1068 0,1910 0,1460 0,0068 -0,1395 -0,2067 -0,1573 -0,0090 0,1833 0,3437 0,3932 0,2714 -0,0466 -0,5302 -1,0868 -1,6024 -2,0089 -2,3080 -2,5277 -2,6801 -2,7681 -2,8154 -2,8688 -2,9632 -3,0839 -3,1728 -3,1707 -3,0601 -2,8827 -2,7278 -2,6987 -2,8764 -3,2916 -3,9102 -4,6418 -5,3696 -5,9819 -6,3887 -6,5389 -6,4420 -6,1713 -5,8375 -5,5395 -5,3293 -5,2124 -5,1691 -5,1797 -5,2406 -5,3631 -5,5629 -5,8468 -6,2007 -6,5916 -6,9808 -7,3268 -7,5713 -7,6432 -7,4996 -7,1669 -6,7414 -6,3405 -6,0493 -5,9036 -5,8937 -5,9751 -6,0889 -6,1832 -6,2235 -6,1974 -6,1165 -6,0121 -5,9231 -5,8757 -5,8623 -5,8401 -5,7566 -5,5840 -5,3294 -5,0192 -4,6851 -4,3662 -4,1024 -3,9194 -3,8244 -3,8171 -3,8961 -4,0504 -4,2517 -4,4565 -4,6190 -4,7103 -4,7290 -4,6935 -4,6324 -4,5809 -4,5797 -4,6621 -4,8239 -5,0086 -5,1381 -5,1564 -5,0441 -4,8055 -4,4598 -4,0466 -3,6285 -3,2821 -3,0811 -3,0672 -3,2261 -3,4942 -3,7870 -4,0361 -4,2226 -4,3833 -4,5727 -4,8240 -5,1423 -5,5169 -5,9236 -6,3314 -6,7164 -7,0632 -7,3564 -7,5802 -7,7235 -7,7808 -7,7544 -7,6540 -7,4867 -7,2546 -6,9625 -6,6165 -6,2191 -5,7725 -5,2780 -4,7376 -4,1743 -3,6458 -3,2256
F7    -0,3009 -0,0876 0,2359 0,6115 0,9786 1,2813 1,4612 1,4634 1,2647 0,9087 0,5055 0,1731 -0,0414 -0,1764 -0,2941 -0,4252 -0,5636 -0,6888 -0,7822 -0,8290 -0,8197 -0,7568 -0,6595 -0,5583 -0,4811 -0,4372 -0,4157 -0,4022 -0,3947 -0,4066 -0,4577 -0,5606 -0,7024 -0,8351 -0,8975 -0,8627 -0,7557 -0,6169 -0,4672 -0,3151 -0,1651 0,0014 0,2244 0,5169 0,8324 1,0903 1,2293 1,2376 1,1453 0,9955 0,8190 0,6308 0,4483 0,3054 0,2362 0,2455 0,2998 0,3457 0,3427 0,2805 0,1663 0,0098 -0,1775 -0,3897 -0,6403 -0,9466 -1,2974 -1,6494 -1,9524 -2,1671 -2,2720 -2,2662 -2,1640 -1,9905 -1,7801 -1,5626 -1,3510 -1,1540 -0,9865 -0,8596 -0,7728 -0,7207 -0,6997 -0,7073 -0,7425 -0,7992 -0,8547 -0,8714 -0,8229 -0,7187 -0,6002 -0,5041 -0,4352 -0,3744 -0,2954 -0,1741 -0,0087 0,1613 0,2690 0,2599 0,1102 -0,1750 -0,5642 -1,0003 -1,4139 -1,7461 -1,9684 -2,0895 -2,1503 -2,2026 -2,2744 -2,3632 -2,4639 -2,5834 -2,7251 -2,8818 -3,0529 -3,2494 -3,4656 -3,6619 -3,7966 -3,8689 -3,9204 -4,0086 -4,1808 -4,4546 -4,8070 -5,1773 -5,4892 -5,6799 -5,7194 -5,6162 -5,4136 -5,1638 -4,9007 -4,6350 -4,3669 -4,0943 -3,8243 -3,5822 -3,3959 -3,2608 -3,1261 -2,9281 -2,6422 -2,3041 -1,9857 -1,7503 -1,6143 -1,5387 -1,4547 -1,3047 -1,0702 -0,7682 -0,4267 -0,0692 0,2905 0,6473 0,9984 1,3342 1,6314 1,8518 1,9504 1,8899 1,6564 1,2702 0,7907 0,3051 -0,1104 -0,4347 -0,7021 -0,9590 -1,2304 -1,5133 -1,7828 -2,0101 -2,1889 -2,3409 -2,4915 -2,6525 -2,8198 -2,9597 -3,0140 -2,9432 -2,7557 -2,4869 -2,1682 -1,8229 -1,4793 -1,1741 -0,9360 -0,7712 -0,6690 -0,6184 -0,6205 -0,6868 -0,8233 -1,0214 -1,2628 -1,5259 -1,7850 -2,0087 -2,1675 -2,2471 -2,2569 -2,2193 -2,1515 -2,0737 -2,0340 -2,0924 -2,2726 -2,5547 -2,9046 -3,2819 -3,6282 -3,8714 -3,9520 -3,8520 -3,6031 -3,2789 -2,9774 -2,7861 -2,7397 -2,8054 -2,9056 -2,9636 -2,9507 -2,9049 -2,9060 -3,0161 -3,2342 -3,5065 -3,7730 -3,9928 -4,1453 -4,2310 -4,2594 -4,2232 -4,0999 -3,8870 -3,6214 -3,3706 -3,2121 -3,1995 -3,3197 -3,4843 -3,5839 -3,5661 -3,4680 -3,3705 -3,3253 -3,3357 -3,3862 -3,4587 -3,5308 -3,5773 -3,5731 -3,4901 -3,3036 -3,0113 -2,6456 -2,2621 -1,9191 -1,6664 -1,5278 -1,4780 -1,4456 -1,3488 -1,1396 -0,8294 -0,4807 -0,1683 0,0605 0,1940 0,2379 0,2038 0,1164 0,0098 -0,0961 -0,2031 -0,3166 -0,4254 -0,4886 -0,4412 -0,2334 0,1207 0,5391 0,9170 1,1646 1,2201 1,0724 0,7831 0,4634 0,2160 0,0909 0,0828 0,1542 0,2591 0,3534 0,4044 0,4009 0,3533 0,2764 0,1753 0,0549 -0,0689 -0,1655 -0,1999 -0,1595 -0,0694 0,0196 0,0562 0,0183 -0,0785 -0,2142 -0,3967 -0,6424 -0,9369 -1,2300 -1,4664 -1,6194 -1,7004 -1,7418 -1,7688 -1,7818 -1,7567 -1,6685 -1,5140 -1,3073 -1,0555 -0,7502 -0,3936 -0,0360 0,2291 0,3248 0,2448 0,0497 -0,1784 -0,3762 -0,5152 -0,6075 -0,6901 -0,7883 -0,8973 -1,0047 -1,1188 -1,2605 -1,4286 -1,5804 -1,6510 -1,5894 -1,3853 -1,0727 -0,7099 -0,3543 -0,0464 0,1989 0,3925 0,5602 0,7251 0,8919 1,0359 1,1059 1,0472 0,8376 0,5083 0,1375 -0,1798 -0,3670 -0,3890 -0,2554 -0,0170 0,2461 0,4554 0,5696 0,6036 0,6148 0,6623 0,7727 0,9415 1,1439 1,3399 1,5024 1,6418 1,7774 1,8940 1,9513 1,9224 1,8159 1,6715 1,5334 1,4209 1,3232 1,2205 1,1058 0,9917 0,9108 0,8980 0,9585 1,0602 1,1687 1,2812 1,4190 1,5885 1,7556 1,8675 1,8971 1,8692 1,8410 1,8498 1,8798 1,8812 1,8164 1,6820 1,4972 1,2848 1,0649 0,8614 0,7022 0,6034 0,5512 0,5050 0,4278 0,3180 0,2102 0,1509 0,1729 0,2850 0,4743 0,7022 0,9042 1,0164 1,0114 0,9061 0,7465 0,5971 0,5226 0,5560 0,6810 0,8486 1,0043 1,1123 1,1653 1,1704 1,1274 1,0300 0,8846 0,7081 0,5088 0,2919 0,0881 -0,0503 -0,0892 -0,0328 0,0875 0,2272 0,3339 0,3638 0,3030 0,1706 -0,0035 -0,2034 -0,4219 -0,6301 -0,7713 -0,7875 -0,6500 -0,3818 -0,0535 0,2487 0,4534 0,5117 0,3956 0,1133 -0,2775 -0,6947 -1,0786 -1,4102 -1,6856 -1,8910 -2,0100 -2,0496 -2,0514 -2,0696 -2,1276 -2,1946 -2,2040 -2,1001 -1,8814 -1,6142 -1,4141 -1,4011 -1,6479 -2,1486 -2,8189 -3,5287 -4,1484 -4,5880 -4,8184 -4,8745 -4,8368 -4,7936 -4,7977 -4,8499 -4,9153 -4,9562 -4,9585 -4,9293 -4,8789 -4,8147 -4,7408 -4,6590 -4,5799 -4,5294 -4,5289 -4,5681 -4,6062 -4,5983 -4,5264 -4,4149 -4,3137 -4,2622 -4,2762 -4,3548 -4,4813 -4,6224 -4,7362 -4,7763 -4,7017 -4,5033 -4,2173 -3,9088 -3,6407 -3,4434 -3,3030 -3,1834 -3,0617 -2,9348 -2,8024 -2,6683 -2,5557 -2,4952 -2,4939 -2,5350 -2,6015 -2,6862 -2,7855 -2,8851 -2,9502 -2,9355 -2,8130 -2,5920 -2,3166 -2,0536 -1,8759 -1,8346 -1,9366 -2,1445 -2,3934 -2,6158 -2,7650 -2,8201 -2,7801 -2,6597 -2,4888 -2,3094 -2,1715 -2,1280 -2,2149 -2,4279 -2,7230 -3,0407 -3,3313 -3,5735 -3,7798 -3,9800 -4,1993 -4,4469 -4,7177 -5,0021 -5,2938 -5,5881 -5,8696 -6,1096 -6,2832 -6,3859 -6,4269 -6,4125 -6,3369 -6,1848 -5,9480 -5,6360 -5,2632 -4,8419 -4,3941 -3,9489 -3,5251 -3,1357 -2,8005 -2,5425
