Fp1   0,7526 0,3316 -0,1010 -0,3336 -0,3006 -0,0937 0,1417 0,3050 0,3657 0,3441 0,2880 0,2523 0,2631 0,2714 0,1536 -0,1925 -0,7413 -1,3505 -1,8538 -2,1288 -2,1326 -1,9038 -1,5254 -1,0948 -0,7096 -0,4088 -0,1121 0,3190 0,9400 1,6762 2,3876 2,9447 3,2721 3,3568 3,2390 2,9872 2,6490 2,2245 1,6875 1,0052 0,1556 -0,8268 -1,8132 -2,6005 -2,9885 -2,8883 -2,3898 -1,7251 -1,1666 -0,9320 -1,1149 -1,6561 -2,3745 -3,0539 -3,5346 -3,7509 -3,7124 -3,4623 -3,0483 -2,5277 -2,0030 -1,6105 -1,4377 -1,4993 -1,8068 -2,3757 -3,1334 -3,8873 -4,4161 -4,5763 -4,3422 -3,7929 -3,0817 -2,3879 -1,8514 -1,5258 -1,3951 -1,4310 -1,6092 -1,8736 -2,1350 -2,3226 -2,4149 -2,4316 -2,4165 -2,4280 -2,5087 -2,6265 -2,6756 -2,5792 -2,3783 -2,1905 -2,1108 -2,1835 -2,4272 -2,8173 -3,2585 -3,6213 -3,8148 -3,8335 -3,7699 -3,7828 -4,0042 -4,4625 -5,0823 -5,7085 -6,1287 -6,1429 -5,6747 -4,8251 -3,8159 -2,8830 -2,1928 -1,8052 -1,7096 -1,8922 -2,3448 -3,0040 -3,7234 -4,3390 -4,7544 -4,9629 -5,0109 -4,9392 -4,7598 -4,4975 -4,2299 -4,0537 -3,9956 -3,9649 -3,8188 -3,4782 -2,9674 -2,3765 -1,8193 -1,4118 -1,2408 -1,3333 -1,6494 -2,1038 -2,6171 -3,1549 -3,7002 -4,2039 -4,5789 -4,7248 -4,5605 -4,0877 -3,4367 -2,7876 -2,2333 -1,7654 -1,3683 -1,0556 -0,8082 -0,5394 -0,1696 0,2726 0,6345 0,7202 0,4112 -0,2488 -1,0958 -1,9695 -2,7591 -3,3647 -3,7017 -3,7538 -3,5923 -3,3445 -3,1491 -3,1212 -3,3378 -3,8108 -4,4458 -5,0691 -5,5327 -5,7886 -5,8770 -5,8681 -5,8070 -5,7207 -5,6783 -5,7854 -6,0731 -6,4357 -6,7345 -6,9348 -7,0993 -7,2948 -7,5475 -7,8598 -8,2485 -8,7563 -9,3906 -10,0426 -10,4977 -10,5455 -10,0969 -9,2264 -8,1163 -6,9693 -5,9812 -5,3309 -5,1143 -5,2800 -5,6425 -5,9665 -6,0770 -5,9317 -5,5974 -5,1781 -4,7969 -4,6046 -4,7320 -5,2092 -5,9349 -6,7254 -7,3922 -7,7883 -7,8364 -7,5710 -7,1504 -6,7877 -6,6401 -6,7299 -6,9499 -7,1533 -7,2618 -7,3020 -7,3532 -7,4763 -7,6842 -7,9523 -8,2434 -8,5209 -8,7297 -8,7840 -8,5928 -8,0892 -7,2453 -6,0930 -4,7289 -3,2864 -1,9276 -0,8731 -0,3809 -0,6134 -1,5147 -2,8553 -4,3886 -5,9290 -7,3075 -8,3394 -8,8825 -8,9126 -8,5480 -8,0001 -7,4545 -6,9633 -6,4564 -5,8650 -5,2364 -4,7129 -4,4017 -4,2928 -4,3031 -4,3639 -4,4449 -4,5419 -4,6689 -4,8397 -5,0469 -5,2579 -5,4315 -5,5379 -5,5479 -5,4261 -5,1516 -4,7210 -4,1157 -3,2927 -2,2451 -1,0911 -0,0782 0,5278 0,5558 -0,0266 -1,1077 -2,4553 -3,7856 -4,8509 -5,5035 -5,7191 -5,6007 -5,3501 -5,1809 -5,2029 -5,3582 -5,4675 -5,3481 -4,9049 -4,1547 -3,2099 -2,2211 -1,2903 -0,4210 0,4352 1,2565 1,8821 2,1045 1,8271 1,1094 0,0951 -1,0602 -2,2285 -3,3177 -4,2277 -4,8150 -4,9546 -4,6344 -3,9543 -3,0550 -2,1024 -1,3191 -0,9451 -1,1142 -1,7548 -2,6162 -3,3937 -3,8489 -3,8765 -3,5132 -2,8858 -2,1419 -1,4095 -0,7714 -0,2491 0,1557 0,3927 0,3729 0,0567 -0,4870 -1,1103 -1,6498 -1,9593 -1,9342 -1,5439 -0,8411 0,0515 0,9869 1,8568 2,6037 3,1825 3,5438 3,6449 3,4656 3,0250 2,3949 1,6827 0,9834 0,3467 -0,2167 -0,6956 -1,0401 -1,1733 -1,0620 -0,7728 -0,4459 -0,2090 -0,1093 -0,1118 -0,1387 -0,1147 -0,0048 0,1731 0,3769 0,5750 0,7569 0,9206 1,0313 0,9960 0,7339 0,2622 -0,3221 -0,8929 -1,3139 -1,4785 -1,3658 -1,0526 -0,6704 -0,3365 -0,1099 0,0211 0,1427 0,3930 0,8776 1,5692 2,3089 2,9147 3,2612 3,2859 2,9881 2,4269 1,7167 1,0366 0,6009 0,5403 0,8035 1,2054 1,5463 1,6857 1,5845 1,3314 1,0915 0,9912 1,0683 1,3127 1,7036 2,2192 2,8277 3,4436 3,9327 4,2122 4,3159 4,3353 4,3194 4,2543 4,1495 4,1088 4,2519 4,5667 4,8792 4,9583 4,6386 3,9125 2,9689 2,1188 1,6349 1,6172 1,9730 2,5248 3,1407 3,7531 4,2703 4,5266 4,3667 3,7879 2,9674 2,1404 1,4838 1,0824 0,9384 0,9993 1,1819 1,3921 1,5705 1,7316 1,9374 2,2114 2,4851 2,6253 2,5006 2,0642 1,4240 0,8242 0,5179 0,6464 1,2298 2,2005 3,3928 4,5593 5,4738 6,0250 6,2009 6,0110 5,4710 4,6506 3,6715 2,6357 1,5835 0,5264 -0,5047 -1,4434 -2,2158 -2,7956 -3,2285 -3,5843 -3,8883 -4,1210 -4,2683 -4,3446 -4,3877 -4,4671 -4,6538 -4,9501 -5,2797 -5,5450 -5,6623 -5,5648 -5,2054 -4,5540 -3,6134 -2,4544 -1,2199 -0,0815 0,8073 1,3377 1,4701 1,2543 0,8290 0,3944 0,1436 0,1774 0,4787 0,9563 1,4971 2,0029 2,4185 2,7209 2,8683 2,7854 2,4184 1,8000 1,0552 0,3266 -0,3123 -0,8620 -1,3250 -1,6491 -1,7472 -1,5747 -1,1833 -0,7097 -0,3256 -0,1824 -0,3674 -0,8863 -1,6841 -2,7102 -3,9640 -5,4612 -7,1475 -8,8417 -10,2803 -11,2468 -11,6628 -11,5840 -11,1521 -10,5288 -9,8223 -9,0806 -8,3845 -7,9140 -7,8344 -8,1080 -8,4951 -8,7613 -8,8378 -8,8129 -8,8404 -9,0338 -9,3782 -9,7234 -9,8719 -9,6845 -9,1305 -8,2985 -7,3960 -6,6863 -6,3646 -6,4850 -6,9764 -7,6816 -8,3904 -8,8655 -8,8971 -8,4130 -7,5500 -6,5791 -5,7552 -5,2267 -5,0347 -5,1522 -5,5218 -6,0729 -6,7309 -7,4335 -8,1266 -8,7248 -9,0904 -9,1012 -8,7539 -8,1735 -7,5327 -6,9814 -6,6121 -6,4161 -6,2684 -6,0048
Fz    -2,7763 -2,3935 -1,9098 -1,4144 -1,0066 -0,7549 -0,6647 -0,6892 -0,7721 -0,8786 -1,0031 -1,1607 -1,3647 -1,6101 -1,8756 -2,1329 -2,3485 -2,4849 -2,5028 -2,3668 -2,0596 -1,5961 -1,0189 -0,3857 0,2367 0,7875 1,2451 1,6416 2,0261 2,4075 2,7321 2,9246 2,9503 2,8281 2,5924 2,2687 1,8826 1,4776 1,1121 0,8300 0,6377 0,5178 0,4563 0,4544 0,5218 0,6610 0,8469 1,0182 1,0955 1,0175 0,7663 0,3694 -0,1160 -0,6314 -1,1342 -1,5824 -1,9097 -2,0414 -1,9461 -1,6700 -1,3170 -0,9906 -0,7594 -0,6753 -0,7838 -1,0746 -1,4345 -1,6818 -1,6698 -1,3713 -0,8770 -0,3226 0,1845 0,5969 0,9338 1,2690 1,6739 2,1432 2,5773 2,8363 2,8161 2,5016 1,9710 1,3530 0,7709 0,2979 -0,0572 -0,3213 -0,5235 -0,6978 -0,9000 -1,1927 -1,6010 -2,0952 -2,6160 -3,0904 -3,4279 -3,5390 -3,3871 -3,0173 -2,5315 -2,0522 -1,7065 -1,5992 -1,7653 -2,1401 -2,5844 -2,9500 -3,1411 -3,1381 -2,9762 -2,7096 -2,3922 -2,0721 -1,7947 -1,6164 -1,6010 -1,7752 -2,0877 -2,4352 -2,7213 -2,8865 -2,9020 -2,7605 -2,4834 -2,1342 -1,8030 -1,5612 -1,4187 -1,3124 -1,1416 -0,8279 -0,3580 0,2089 0,7612 1,1755 1,3626 1,2916 0,9859 0,5093 -0,0527 -0,6163 -1,1149 -1,5026 -1,7486 -1,8286 -1,7142 -1,3769 -0,8139 -0,0705 0,7571 1,5384 2,1461 2,5076 2,6378 2,6188 2,5419 2,4659 2,4115 2,3605 2,2647 2,0894 1,8545 1,6225 1,4583 1,4031 1,4661 1,6190 1,7944 1,9092 1,9076 1,7837 1,5559 1,2390 0,8515 0,4228 -0,0260 -0,4856 -0,9355 -1,3321 -1,6274 -1,7952 -1,8368 -1,7702 -1,6190 -1,4105 -1,1802 -0,9727 -0,8332 -0,7983 -0,8930 -1,1299 -1,5081 -2,0108 -2,5937 -3,1736 -3,6418 -3,9031 -3,9106 -3,6856 -3,3186 -2,9370 -2,6546 -2,5328 -2,5762 -2,7493 -2,9900 -3,2206 -3,3719 -3,4091 -3,3368 -3,1861 -3,0068 -2,8552 -2,7702 -2,7638 -2,8446 -3,0377 -3,3706 -3,8370 -4,3792 -4,9173 -5,3898 -5,7585 -5,9919 -6,0592 -5,9443 -5,6620 -5,2633 -4,8240 -4,4202 -4,1105 -3,9309 -3,8843 -3,9333 -4,0188 -4,0866 -4,0879 -3,9711 -3,6980 -3,2767 -2,7765 -2,3090 -1,9793 -1,8321 -1,8413 -1,9569 -2,1595 -2,4716 -2,9260 -3,5285 -4,2359 -4,9450 -5,5092 -5,7972 -5,7555 -5,4276 -4,9245 -4,3726 -3,8590 -3,4035 -2,9808 -2,5709 -2,1833 -1,8474 -1,5961 -1,4555 -1,4292 -1,4871 -1,5749 -1,6369 -1,6331 -1,5569 -1,4448 -1,3574 -1,3358 -1,3649 -1,3810 -1,3152 -1,1327 -0,8388 -0,4694 -0,0841 0,2486 0,4862 0,6358 0,7301 0,7811 0,7666 0,6559 0,4412 0,1430 -0,2128 -0,6088 -1,0215 -1,4060 -1,7145 -1,9234 -2,0303 -2,0405 -1,9614 -1,7943 -1,5289 -1,1655 -0,7443 -0,3405 -0,0201 0,1994 0,3390 0,4131 0,4113 0,3172 0,1190 -0,1902 -0,5943 -1,0433 -1,4723 -1,8279 -2,0751 -2,1926 -2,1678 -1,9922 -1,6635 -1,2064 -0,6970 -0,2595 -0,0200 -0,0341 -0,2444 -0,5163 -0,7183 -0,7807 -0,7139 -0,5833 -0,4606 -0,3873 -0,3607 -0,3381 -0,2692 -0,1473 -0,0212 0,0496 0,0374 -0,0525 -0,2014 -0,3888 -0,5891 -0,7555 -0,8195 -0,7353 -0,5232 -0,2488 0,0285 0,2758 0,4725 0,6096 0,7024 0,7724 0,8172 0,8223 0,7913 0,7468 0,7121 0,7102 0,7710 0,9201 1,1597 1,4564 1,7357 1,8987 1,8552 1,5488 0,9794 0,2327 -0,5247 -1,1074 -1,3777 -1,2801 -0,8597 -0,2575 0,3352 0,7416 0,8615 0,6988 0,3335 -0,1290 -0,5894 -0,9646 -1,1942 -1,2497 -1,1380 -0,8949 -0,5898 -0,3177 -0,1474 -0,0653 0,0056 0,1182 0,2441 0,3025 0,2336 0,0469 -0,1955 -0,4364 -0,6496 -0,8086 -0,8648 -0,7779 -0,5582 -0,2666 0,0208 0,2516 0,4089 0,5009 0,5442 0,5610 0,6042 0,7678 1,1380 1,7370 2,5079 3,3212 4,0125 4,4528 4,5964 4,4790 4,1926 3,8615 3,6216 3,5967 3,8544 4,3578 4,9594 5,4618 5,7093 5,6463 5,3166 4,8309 4,3303 3,9475 3,7641 3,7774 3,9103 4,0626 4,1604 4,1791 4,1371 4,0715 4,0119 3,9617 3,8991 3,8010 3,6629 3,4917 3,2885 3,0480 2,7718 2,4759 2,1796 1,8903 1,6015 1,3077 1,0288 0,8310 0,8159 1,0714 1,6215 2,4188 3,3757 4,3954 5,3811 6,2395 6,8889 7,2689 7,3462 7,1224 6,6496 6,0288 5,3736 4,7664 4,2347 3,7533 3,2649 2,7135 2,0750 1,3633 0,6089 -0,1518 -0,8584 -1,4212 -1,7672 -1,8922 -1,8547 -1,7266 -1,5628 -1,3970 -1,2404 -1,0827 -0,9025 -0,6803 -0,4064 -0,0721 0,3418 0,8607 1,4916 2,1930 2,8672 3,3948 3,6891 3,7264 3,5405 3,2079 2,8375 2,5457 2,4110 2,4475 2,6341 2,9624 3,4374 4,0377 4,6935 5,3006 5,7485 5,9447 5,8431 5,4811 4,9871 4,5235 4,1987 4,0221 3,9222 3,7906 3,5339 3,1199 2,5839 1,9818 1,3438 0,6749 -0,0060 -0,6450 -1,1816 -1,5928 -1,9091 -2,1859 -2,4573 -2,7153 -2,9190 -3,0128 -2,9623 -2,7936 -2,5946 -2,4756 -2,5275 -2,7891 -3,2174 -3,6952 -4,1007 -4,3860 -4,5866 -4,7625 -4,9498 -5,1560 -5,3664 -5,5401 -5,6174 -5,5485 -5,3232 -4,9829 -4,5967 -4,2194 -3,8826 -3,6205 -3,4689 -3,4385 -3,5065 -3,6252 -3,7358 -3,7936 -3,7893 -3,7408 -3,6727 -3,6083 -3,5657 -3,5391 -3,4934 -3,3918 -3,2314 -3,0548 -2,9346 -2,9361 -3,0736 -3,3077 -3,5926 -3,9154 -4,2808 -4,6705 -5,0279 -5,2713 -5,3212 -5,1393
F3    -1,8778 -1,8115 -1,7159 -1,5861 -1,4594 -1,3925 -1,4092 -1,4817 -1,5571 -1,5941 -1,5801 -1,5248 -1,4465 -1,3708 -1,3372 -1,3833 -1,5146 -1,6943 -1,8569 -1,9276 -1,8452 -1,5832 -1,1561 -0,6144 -0,0302 0,5319 1,0467 1,5279 1,9916 2,4224 2,7675 2,9672 3,0010 2,8990 2,7125 2,4831 2,2328 1,9703 1,7019 1,4274 1,1359 0,8241 0,5177 0,2704 0,1402 0,1573 0,2967 0,4812 0,6158 0,6280 0,4891 0,2171 -0,1347 -0,5039 -0,8466 -1,1361 -1,3384 -1,4063 -1,3086 -1,0670 -0,7613 -0,4880 -0,3099 -0,2604 -0,3721 -0,6560 -1,0501 -1,4189 -1,6240 -1,5967 -1,3530 -0,9567 -0,4804 0,0104 0,4738 0,9082 1,3341 1,7431 2,0766 2,2555 2,2220 1,9680 1,5450 1,0499 0,5838 0,2066 -0,0735 -0,2655 -0,3690 -0,3938 -0,3888 -0,4269 -0,5577 -0,7912 -1,1153 -1,4926 -1,8462 -2,0877 -2,1763 -2,1437 -2,0639 -2,0144 -2,0574 -2,2270 -2,5117 -2,8447 -3,1222 -3,2495 -3,1872 -2,9621 -2,6409 -2,2996 -2,0058 -1,8075 -1,7261 -1,7679 -1,9375 -2,2212 -2,5637 -2,8867 -3,1296 -3,2640 -3,2784 -3,1659 -2,9327 -2,6202 -2,3038 -2,0547 -1,8898 -1,7561 -1,5668 -1,2605 -0,8349 -0,3417 0,1351 0,5047 0,6915 0,6561 0,4089 0,0079 -0,4690 -0,9539 -1,3894 -1,7145 -1,8645 -1,7868 -1,4567 -0,8922 -0,1610 0,6343 1,3848 1,9951 2,3975 2,5756 2,5791 2,5022 2,4334 2,4179 2,4509 2,4853 2,4597 2,3470 2,1727 1,9831 1,8152 1,6961 1,6443 1,6578 1,7079 1,7473 1,7325 1,6381 1,4490 1,1548 0,7745 0,3635 -0,0188 -0,3408 -0,5942 -0,7761 -0,8812 -0,9104 -0,8862 -0,8507 -0,8333 -0,8255 -0,8010 -0,7542 -0,7137 -0,7236 -0,8231 -1,0333 -1,3593 -1,7956 -2,3141 -2,8423 -3,2759 -3,5262 -3,5577 -3,3969 -3,1189 -2,8213 -2,5993 -2,5225 -2,6154 -2,8523 -3,1685 -3,4777 -3,7022 -3,8067 -3,8016 -3,7194 -3,6015 -3,4980 -3,4530 -3,4891 -3,6122 -3,8220 -4,1080 -4,4348 -4,7455 -4,9991 -5,1971 -5,3658 -5,5166 -5,6254 -5,6416 -5,5272 -5,2957 -5,0120 -4,7521 -4,5638 -4,4590 -4,4248 -4,4345 -4,4553 -4,4489 -4,3698 -4,1737 -3,8402 -3,3887 -2,8729 -2,3663 -1,9433 -1,6607 -1,5529 -1,6415 -1,9348 -2,4130 -3,0285 -3,7234 -4,4314 -5,0584 -5,4915 -5,6516 -5,5366 -5,2190 -4,8092 -4,4037 -4,0436 -3,7115 -3,3739 -3,0316 -2,7232 -2,4868 -2,3344 -2,2622 -2,2596 -2,2948 -2,3110 -2,2533 -2,0967 -1,8604 -1,6039 -1,4011 -1,2983 -1,2834 -1,2939 -1,2569 -1,1233 -0,8732 -0,5131 -0,0810 0,3515 0,7042 0,9247 0,9971 0,9248 0,7232 0,4258 0,0846 -0,2444 -0,5263 -0,7620 -0,9736 -1,1799 -1,3840 -1,5715 -1,7107 -1,7614 -1,6948 -1,5057 -1,2123 -0,8574 -0,5022 -0,1995 0,0390 0,2440 0,4435 0,6165 0,7054 0,6660 0,4856 0,1708 -0,2476 -0,7069 -1,1330 -1,4678 -1,6769 -1,7485 -1,6863 -1,4965 -1,1877 -0,7959 -0,4085 -0,1432 -0,0875 -0,2366 -0,4859 -0,6996 -0,7928 -0,7587 -0,6367 -0,4714 -0,2996 -0,1525 -0,0436 0,0505 0,1686 0,3158 0,4436 0,4877 0,4174 0,2481 0,0251 -0,1978 -0,3762 -0,4775 -0,4722 -0,3415 -0,0929 0,2392 0,6008 0,9275 1,1608 1,2727 1,2755 1,1979 1,0592 0,8790 0,6933 0,5426 0,4508 0,4250 0,4711 0,5987 0,8072 1,0656 1,3053 1,4447 1,4254 1,2292 0,8821 0,4554 0,0450 -0,2640 -0,4112 -0,3606 -0,1156 0,2645 0,6676 0,9586 1,0372 0,8869 0,5708 0,1920 -0,1456 -0,3693 -0,4531 -0,4167 -0,3053 -0,1638 -0,0268 0,0808 0,1590 0,2462 0,3915 0,6026 0,8303 1,0019 1,0634 1,0060 0,8617 0,6681 0,4511 0,2499 0,1318 0,1516 0,3039 0,5285 0,7493 0,9068 0,9775 0,9813 0,9629 0,9612 1,0090 1,1549 1,4515 1,9191 2,5225 3,1647 3,7146 4,0718 4,2115 4,1752 4,0297 3,8371 3,6618 3,5808 3,6543 3,8750 4,1600 4,3960 4,4979 4,4457 4,2850 4,0986 3,9672 3,9381 4,0128 4,1580 4,3293 4,4811 4,5627 4,5298 4,3718 4,1251 3,8510 3,5933 3,3602 3,1393 2,9164 2,6803 2,4258 2,1607 1,9077 1,6999 1,5694 1,5299 1,5641 1,6254 1,6599 1,6483 1,6335 1,7013 1,9280 2,3435 2,9370 3,6675 4,4550 5,1838 5,7442 6,0745 6,1613 6,0203 5,6919 5,2429 4,7437 4,2354 3,7213 3,1869 2,6233 2,0385 1,4574 0,9046 0,3804 -0,1347 -0,6447 -1,1196 -1,5178 -1,8127 -1,9983 -2,0921 -2,1290 -2,1378 -2,1195 -2,0528 -1,9127 -1,6818 -1,3544 -0,9308 -0,4110 0,1973 0,8619 1,5178 2,0782 2,4624 2,6307 2,5994 2,4273 2,1935 1,9852 1,8812 1,9257 2,1147 2,4123 2,7841 3,2075 3,6578 4,0903 4,4424 4,6558 4,6977 4,5704 4,3162 4,0091 3,7215 3,4876 3,3042 3,1572 3,0309 2,9037 2,7521 2,5551 2,2894 1,9286 1,4605 0,9071 0,3139 -0,2848 -0,8848 -1,4952 -2,1002 -2,6389 -3,0371 -3,2564 -3,3060 -3,2284 -3,0868 -2,9485 -2,8712 -2,9072 -3,0999 -3,4435 -3,8547 -4,2179 -4,4671 -4,6164 -4,7218 -4,8365 -4,9899 -5,1740 -5,3370 -5,4059 -5,3280 -5,1006 -4,7737 -4,4251 -4,1198 -3,8928 -3,7664 -3,7556 -3,8468 -3,9902 -4,1099 -4,1262 -3,9936 -3,7320 -3,4136 -3,1182 -2,9005 -2,7821 -2,7543 -2,7912 -2,8693 -2,9834 -3,1479 -3,3833 -3,6856 -4,0076 -4,2801 -4,4610 -4,5546 -4,5945 -4,6188 -4,6500 -4,6727 -4,6276 -4,4502
F7    -1,7394 -1,5487 -1,3188 -1,0907 -0,9130 -0,8206 -0,8105 -0,8492 -0,8994 -0,9387 -0,9707 -1,0201 -1,1088 -1,2393 -1,4008 -1,5786 -1,7542 -1,9008 -1,9782 -1,9388 -1,7486 -1,4019 -0,9224 -0,3624 0,2056 0,7188 1,1525 1,5175 1,8326 2,0971 2,2783 2,3348 2,2597 2,0902 1,8746 1,6491 1,4385 1,2591 1,1177 1,0108 0,9234 0,8339 0,7237 0,5903 0,4589 0,3716 0,3536 0,3861 0,4113 0,3650 0,2119 -0,0368 -0,3347 -0,6292 -0,8799 -1,0568 -1,1354 -1,1020 -0,9609 -0,7431 -0,5105 -0,3327 -0,2550 -0,2988 -0,4727 -0,7513 -1,0499 -1,2497 -1,2623 -1,0720 -0,7303 -0,3185 0,0885 0,4400 0,7167 0,9413 1,1655 1,4226 1,6956 1,9293 2,0570 2,0282 1,8409 1,5547 1,2620 1,0298 0,8663 0,7418 0,6215 0,4705 0,2555 -0,0379 -0,3902 -0,7556 -1,0818 -1,3152 -1,4003 -1,3061 -1,0633 -0,7607 -0,5017 -0,3689 -0,4117 -0,6395 -1,0124 -1,4380 -1,7999 -2,0115 -2,0550 -1,9740 -1,8361 -1,6987 -1,5930 -1,5244 -1,4881 -1,4866 -1,5355 -1,6479 -1,8115 -1,9905 -2,1499 -2,2667 -2,3182 -2,2770 -2,1288 -1,8959 -1,6382 -1,4258 -1,2935 -1,2098 -1,0912 -0,8584 -0,4885 -0,0307 0,4171 0,7522 0,9089 0,8826 0,7240 0,5048 0,2733 0,0371 -0,2129 -0,4637 -0,6631 -0,7335 -0,6014 -0,2257 0,3821 1,1546 1,9809 2,7249 3,2590 3,5145 3,5127 3,3444 3,1135 2,8950 2,7235 2,5889 2,4464 2,2655 2,0718 1,9274 1,8810 1,9430 2,0895 2,2687 2,4112 2,4526 2,3586 2,1350 1,8105 1,4230 1,0235 0,6715 0,4064 0,2274 0,1089 0,0272 -0,0291 -0,0637 -0,0815 -0,0938 -0,1093 -0,1210 -0,1165 -0,0990 -0,0886 -0,1058 -0,1661 -0,2898 -0,5070 -0,8430 -1,2852 -1,7606 -2,1609 -2,3986 -2,4470 -2,3447 -2,1760 -2,0391 -2,0105 -2,1129 -2,3112 -2,5457 -2,7640 -2,9285 -3,0204 -3,0489 -3,0412 -3,0254 -3,0252 -3,0582 -3,1255 -3,2100 -3,2947 -3,3812 -3,4894 -3,6389 -3,8255 -4,0210 -4,1992 -4,3538 -4,4868 -4,5882 -4,6334 -4,6002 -4,4913 -4,3416 -4,1968 -4,0878 -4,0305 -4,0321 -4,0838 -4,1519 -4,1898 -4,1589 -4,0381 -3,8187 -3,5051 -3,1233 -2,7207 -2,3512 -2,0598 -1,8803 -1,8414 -1,9618 -2,2363 -2,6309 -3,0960 -3,5810 -4,0296 -4,3732 -4,5571 -4,5739 -4,4667 -4,3001 -4,1249 -3,9548 -3,7699 -3,5475 -3,2899 -3,0239 -2,7855 -2,6064 -2,5031 -2,4629 -2,4465 -2,4128 -2,3368 -2,2079 -2,0312 -1,8350 -1,6637 -1,5447 -1,4583 -1,3457 -1,1554 -0,8767 -0,5314 -0,1565 0,2007 0,4922 0,6951 0,8194 0,8788 0,8604 0,7342 0,4867 0,1395 -0,2539 -0,6244 -0,9125 -1,0843 -1,1364 -1,0988 -1,0227 -0,9481 -0,8863 -0,8261 -0,7454 -0,6205 -0,4465 -0,2535 -0,0907 0,0115 0,0648 0,1052 0,1518 0,1894 0,1886 0,1329 0,0231 -0,1267 -0,2933 -0,4556 -0,6045 -0,7346 -0,8349 -0,8901 -0,8825 -0,7933 -0,6216 -0,4079 -0,2301 -0,1703 -0,2666 -0,4818 -0,7181 -0,8632 -0,8416 -0,6553 -0,3804 -0,1136 0,0874 0,2190 0,3097 0,3867 0,4473 0,4583 0,3866 0,2291 0,0113 -0,2342 -0,4702 -0,6398 -0,6716 -0,5126 -0,1687 0,2905 0,7749 1,2149 1,5623 1,7764 1,8368 1,7604 1,5858 1,3475 1,0793 0,8223 0,6098 0,4536 0,3539 0,3213 0,3795 0,5472 0,8164 1,1445 1,4621 1,6897 1,7566 1,6204 1,2937 0,8594 0,4431 0,1591 0,0691 0,1680 0,3929 0,6453 0,8207 0,8507 0,7343 0,5172 0,2461 -0,0492 -0,3413 -0,5897 -0,7452 -0,7683 -0,6534 -0,4499 -0,2462 -0,1062 -0,0157 0,1007 0,3020 0,5707 0,8245 0,9724 0,9657 0,8142 0,5621 0,2640 -0,0123 -0,1843 -0,1899 -0,0344 0,2073 0,4391 0,5952 0,6587 0,6541 0,6223 0,5945 0,5944 0,6545 0,8070 1,0653 1,4208 1,8439 2,2917 2,7268 3,1189 3,4259 3,5978 3,6145 3,5185 3,4069 3,3782 3,4670 3,6244 3,7564 3,7836 3,6794 3,4764 3,2493 3,0875 3,0650 3,2036 3,4486 3,6934 3,8465 3,8795 3,8176 3,7041 3,5780 3,4646 3,3690 3,2809 3,1917 3,1025 3,0106 2,8903 2,7015 2,4289 2,1048 1,7907 1,5401 1,3712 1,2661 1,2036 1,1947 1,2849 1,5192 1,9089 2,4289 3,0415 3,7096 4,3835 4,9864 5,4299 5,6503 5,6247 5,3628 4,9077 4,3484 3,7922 3,3101 2,9114 2,5596 2,2038 1,8034 1,3398 0,8134 0,2375 -0,3579 -0,9188 -1,3697 -1,6480 -1,7436 -1,6982 -1,5685 -1,4021 -1,2318 -1,0750 -0,9406 -0,8316 -0,7358 -0,6204 -0,4384 -0,1440 0,2888 0,8473 1,4683 2,0533 2,5156 2,8210 2,9819 3,0247 2,9759 2,8732 2,7680 2,7075 2,7167 2,8025 2,9695 3,2224 3,5518 3,9238 4,2877 4,5909 4,7902 4,8557 4,7814 4,5976 4,3650 4,1421 3,9532 3,7836 3,5996 3,3717 3,0878 2,7521 2,3716 1,9451 1,4695 0,9548 0,4273 -0,0807 -0,5461 -0,9649 -1,3452 -1,6901 -1,9967 -2,2592 -2,4638 -2,5941 -2,6565 -2,6914 -2,7540 -2,8901 -3,1133 -3,3778 -3,5775 -3,6081 -3,4495 -3,1871 -2,9570 -2,8786 -3,0145 -3,3502 -3,7988 -4,2412 -4,5775 -4,7512 -4,7508 -4,6011 -4,3471 -4,0397 -3,7366 -3,4975 -3,3642 -3,3476 -3,4283 -3,5551 -3,6599 -3,6916 -3,6363 -3,5086 -3,3347 -3,1349 -2,9140 -2,6710 -2,4196 -2,1997 -2,0695 -2,0834 -2,2659 -2,5919 -2,9926 -3,3945 -3,7559 -4,0633 -4,3036 -4,4498 -4,4667 -4,3253 -4,0244
