Fp1   4,1994 3,7688 3,1705 2,4805 1,8292 1,3322 1,0036 0,7733 0,6083 0,5710 0,7288 1,0382 1,3500 1,5206 1,5024 1,3263 1,0233 0,6029 0,1121 -0,3240 -0,5590 -0,5288 -0,2921 0,0345 0,3693 0,6636 0,8340 0,7756 0,4471 -0,0910 -0,7153 -1,2893 -1,6937 -1,8551 -1,7656 -1,4717 -1,0563 -0,6294 -0,2949 -0,1061 -0,0641 -0,1578 -0,4093 -0,8657 -1,5190 -2,2627 -2,9438 -3,4512 -3,7691 -3,9506 -4,0260 -3,9509 -3,6698 -3,2176 -2,7230 -2,3142 -2,0432 -1,8832 -1,7548 -1,5594 -1,2313 -0,7763 -0,2478 0,2943 0,7763 1,1024 1,1964 1,0414 0,6670 0,1080 -0,6124 -1,4542 -2,3466 -3,2160 -4,0016 -4,6317 -5,0107 -5,0598 -4,7871 -4,3298 -3,9336 -3,8443 -4,1565 -4,7655 -5,4922 -6,2386 -7,0027 -7,7865 -8,5408 -9,1735 -9,5885 -9,7453 -9,6975 -9,5518 -9,3689 -9,0983 -8,6260 -7,8833 -6,8916 -5,7436 -4,6049 -3,7118 -3,3029 -3,5043 -4,2427 -5,2554 -6,2081 -6,8510 -7,1248 -7,1489 -7,1187 -7,1992 -7,4260 -7,6318 -7,5086 -6,8265 -5,6007 -4,0552 -2,4731 -1,0735 0,0481 0,9083 1,5785 2,1377 2,6176 2,9307 2,8978 2,4140 1,5606 0,5329 -0,4992 -1,4583 -2,3476 -3,2043 -4,0444 -4,8240 -5,4528 -5,8477 -5,9787 -5,8777 -5,6117 -5,2537 -4,8738 -4,5386 -4,3179 -4,2844 -4,4690 -4,8101 -5,2088 -5,6405 -6,1406 -6,6832 -7,1362 -7,3334 -7,1578 -6,5708 -5,6003 -4,3406 -2,9528 -1,6134 -0,4333 0,5714 1,4361 2,1746 2,7436 3,0962 3,2538 3,3076 3,3681 3,5130 3,7457 4,0032 4,2192 4,3698 4,4520 4,4312 4,2489 3,9084 3,5351 3,3310 3,4583 3,9255 4,5555 5,0920 5,3612 5,3260 5,0290 4,5481 3,9903 3,4760 3,1161 3,0003 3,1808 3,6405 4,2890 4,9983 5,6376 6,0877 6,2404 6,0072 5,3738 4,4459 3,4060 2,4260 1,6421 1,1661 1,0480 1,2294 1,5839 2,0184 2,5335 3,1930 4,0297 4,9624 5,7852 6,2533 6,2171 5,6865 4,8041 3,7949 2,8822 2,1615 1,5559 0,9163 0,1536 -0,7126 -1,5933 -2,3951 -3,0590 -3,5627 -3,9238 -4,2150 -4,5366 -4,9215 -5,2768 -5,4302 -5,2320 -4,6482 -3,7924 -2,8823 -2,1524 -1,7623 -1,7415 -1,9998 -2,3909 -2,7742 -3,0372 -3,1103 -3,0168 -2,8864 -2,8650 -3,0112 -3,2957 -3,6633 -4,0696 -4,4521 -4,6715 -4,5186 -3,8286 -2,6184 -1,1326 0,2331 1,0906 1,2311 0,6991 -0,2981 -1,5350 -2,8160 -3,9441 -4,7232 -5,0151 -4,7745 -4,0606 -3,0742 -2,1505 -1,6149 -1,6008 -1,9936 -2,5317 -2,9516 -3,0703 -2,8206 -2,2708 -1,5731 -0,8609 -0,1990 0,4022 0,9594 1,4792 1,9360 2,2790 2,4406 2,3707 2,0914 1,6689 1,1385 0,5158 -0,1365 -0,7163 -1,1562 -1,4540 -1,6301 -1,6873 -1,6264 -1,4792 -1,3088 -1,1689 -1,0561 -0,9269 -0,7729 -0,6394 -0,5541 -0,4735 -0,3074 0,0236 0,5537 1,2618 2,0825 2,9302 3,7104 4,3383 4,7885 5,1092 5,3631 5,5858 5,8064 6,0597 6,3518 6,6204 6,7375 6,5702 6,0448 5,1709 4,0564 2,9153 2,0227 1,6075 1,7425 2,3283 3,1656 4,0346 4,7630 5,2706 5,5569 5,6592 5,6215 5,4813 5,2617 4,9570 4,5390 4,0094 3,4484 2,9879 2,7226 2,6519 2,7157 2,8750 3,1355 3,4985 3,9263 4,3674 4,7918 5,1896 5,5466 5,8410 6,0657 6,2385 6,3916 6,5654 6,7877 7,0174 7,1124 6,9031 6,3292 5,4931 4,5814 3,7797 3,2629 3,1702 3,5311 4,2430 5,1229 5,9612 6,5943 7,0072 7,3571 7,8509 8,5845 9,4708 10,2892 10,8159 10,9487 10,7534 10,4299 10,2122 10,2203 10,3830 10,5318 10,5490 10,4049 10,1259 9,7806 9,4604 9,2355 9,1399 9,1943 9,4098 9,7754 10,2741 10,9030 11,6483 12,4526 13,2164 13,8107 14,1156 14,1059 13,8974 13,6757 13,5949 13,7389 14,1005 14,5458 14,8412 14,7715 14,2497 13,3435 12,2401 11,1668 10,2869 9,6534 9,2562 9,0993 9,2206 9,6326 10,2472 10,8668 11,2676 11,3073 10,9687 10,3571 9,6829 9,1995 9,0912 9,3753 9,8935 10,4190 10,7975 11,0132 11,1590 11,3656 11,7270 12,2577 12,8883 13,4670 13,7704 13,5799 12,8184 11,6521 10,4412 9,5329 9,0659 8,9411 8,9246 8,7780 8,3684 7,7356 7,0797 6,6715 6,7314 7,3497 8,4659 9,8816 11,3084 12,4394 13,0277 12,9813 12,4261 11,6347 10,8473 10,1496 9,4835 8,7383 7,8700 6,9861 6,3083 6,0244 6,1654 6,6191 7,2546 8,0267 8,9627 10,0551 11,1707 12,0868 12,6218 12,7091 12,3744 11,7108 10,8692 10,0118 9,2462 8,6178 8,1536 7,8810 7,8093 7,9131 8,1228 8,3140 8,3260 8,0220 7,3560 6,4013 5,3240 4,3241 3,5753 3,1813 3,1556 3,4268 3,8547 4,2582 4,4693 4,4035 4,1106 3,7631 3,5679 3,6695 4,1002 4,7503 5,3903 5,8130 5,9982 6,1299 6,4379 6,9955 7,6593 8,2051 8,5014 8,5533 8,4347 8,2230 7,9759 7,7236 7,4836 7,2899 7,2056 7,3040 7,6385 8,2123 8,9544 9,7279 10,3791 10,7981 10,9615 10,9210 10,7404 10,4629 10,1471 9,8705 9,6678 9,5282 9,4670 9,5436 9,8160 10,3165 11,0407 11,9165 12,7893 13,4539 13,7285 13,5343 12,9104 11,9634 10,8509 9,8130 9,1479 9,0961 9,7265 10,9145 12,4061 13,9182 15,2149 16,1420 16,6508 16,8131 16,7807 16,6923 16,5955 16,4325 16,0644 15,3373 14,2214 12,9279 11,8469 11,3321 11,5204 12,3140 13,4776 14,7289 15,7961 16,4746
Fz    3,5840 3,0596 2,5458 2,0986 1,7546 1,5156 1,3463 1,2020 1,0782 1,0270 1,1049 1,3009 1,5298 1,6978 1,7644 1,7316 1,5937 1,3323 0,9610 0,5470 0,1763 -0,1001 -0,2877 -0,4151 -0,4886 -0,5082 -0,5163 -0,5885 -0,7714 -1,0493 -1,3604 -1,6250 -1,7660 -1,7315 -1,5182 -1,1704 -0,7636 -0,3885 -0,1269 -0,0283 -0,1032 -0,3343 -0,6982 -1,1716 -1,7061 -2,2147 -2,6085 -2,8520 -2,9837 -3,0754 -3,1589 -3,1974 -3,1415 -2,9963 -2,8127 -2,6228 -2,4069 -2,1168 -1,7149 -1,1942 -0,5856 0,0482 0,6394 1,1348 1,4905 1,6764 1,6943 1,5737 1,3438 1,0123 0,5704 0,0205 -0,6041 -1,2471 -1,8377 -2,2920 -2,5266 -2,4948 -2,2256 -1,8377 -1,5109 -1,4117 -1,6078 -2,0430 -2,6010 -3,1879 -3,7521 -4,2521 -4,6452 -4,9047 -5,0292 -5,0373 -4,9612 -4,8378 -4,6881 -4,5035 -4,2596 -3,9469 -3,5770 -3,1732 -2,7849 -2,5040 -2,4386 -2,6543 -3,1284 -3,7425 -4,3227 -4,7210 -4,8877 -4,8776 -4,7971 -4,7442 -4,7532 -4,7469 -4,5582 -4,0483 -3,2173 -2,1992 -1,1758 -0,2899 0,4024 0,9266 1,3473 1,7285 2,1025 2,4339 2,6282 2,6128 2,4044 2,0894 1,7601 1,4765 1,2613 1,1065 0,9839 0,8669 0,7493 0,6414 0,5531 0,4865 0,4425 0,4237 0,4275 0,4417 0,4469 0,4227 0,3693 0,3221 0,3171 0,3401 0,3425 0,3089 0,2875 0,3595 0,5963 1,0365 1,6760 2,4584 3,2820 4,0452 4,6988 5,2549 5,7447 6,1686 6,4913 6,6889 6,7918 6,8706 6,9955 7,2083 7,5072 7,8516 8,1829 8,4425 8,5775 8,5414 8,3077 7,9025 7,4225 7,0124 6,8022 6,8374 7,0506 7,3155 7,5328 7,6612 7,6917 7,6297 7,4945 7,3150 7,1235 6,9511 6,8136 6,6952 6,5594 6,3898 6,2067 6,0355 5,8638 5,6360 5,2979 4,8478 4,3397 3,8494 3,4515 3,2142 3,1805 3,3442 3,6477 4,0120 4,3847 4,7684 5,1947 5,6651 6,1106 6,4120 6,4646 6,2257 5,7226 5,0495 4,3396 3,6926 3,1275 2,6096 2,1094 1,6318 1,2083 0,8718 0,6392 0,5032 0,4253 0,3343 0,1612 -0,1016 -0,3797 -0,5524 -0,5105 -0,2160 0,2673 0,7999 1,2324 1,4721 1,5154 1,4282 1,2996 1,2045 1,1891 1,2657 1,4027 1,5285 1,5712 1,4980 1,3160 1,0515 0,7371 0,4222 0,1963 0,1845 0,4861 1,1036 1,9173 2,7172 3,2750 3,4321 3,1545 2,5163 1,6481 0,7043 -0,1515 -0,7734 -1,0630 -0,9800 -0,5543 0,0859 0,7257 1,1579 1,2885 1,1638 0,9137 0,6749 0,5509 0,5994 0,8205 1,1709 1,6061 2,1019 2,6438 3,2097 3,7595 4,2410 4,6057 4,8153 4,8475 4,7129 4,4479 4,0830 3,6454 3,1926 2,8061 2,5429 2,4080 2,3801 2,4434 2,5870 2,7895 3,0148 3,2262 3,4058 3,5500 3,6427 3,6581 3,5994 3,5194 3,4961 3,5911 3,8301 4,2086 4,7057 5,2900 5,9136 6,5141 7,0380 7,4555 7,7527 7,9345 8,0386 8,1203 8,2126 8,3010 8,3325 8,2485 8,0087 7,5994 7,0512 6,4569 5,9581 5,6882 5,7082 5,9920 6,4575 7,0005 7,5257 7,9737 8,3189 8,5541 8,6826 8,7188 8,6860 8,6049 8,4904 8,3615 8,2477 8,1789 8,1699 8,2095 8,2714 8,3430 8,4387 8,5808 8,7752 9,0120 9,2781 9,5543 9,8051 9,9881 10,0859 10,1226 10,1472 10,2094 10,3378 10,5120 10,6533 10,6687 10,5189 10,2409 9,9034 9,5627 9,2690 9,0740 9,0055 9,0489 9,1597 9,2817 9,3742 9,4562 9,6138 9,9392 10,4566 11,1003 11,7500 12,2925 12,6705 12,8939 13,0151 13,0866 13,1177 13,0669 12,8947 12,6165 12,2891 11,9739 11,7336 11,6316 11,7027 11,9315 12,2620 12,6176 12,9246 13,1455 13,2978 13,4328 13,5991 13,8175 14,0621 14,2697 14,3904 14,4301 14,4379 14,4668 14,5465 14,6607 14,7324 14,6523 14,3434 13,8000 13,0796 12,2776 11,4992 10,8235 10,2854 9,8880 9,6274 9,5021 9,5010 9,5894 9,7023 9,7563 9,6887 9,4881 9,1995 8,9188 8,7690 8,8389 9,1206 9,5110 9,8823 10,1585 10,3389 10,4774 10,6497 10,9207 11,3138 11,7949 12,2702 12,6003 12,6506 12,3702 11,8451 11,2624 10,8018 10,5451 10,4633 10,4574 10,4151 10,2702 10,0377 9,8015 9,6664 9,7120 9,9787 10,4699 11,1407 11,8832 12,5426 12,9676 13,0743 12,8895 12,5226 12,0779 11,5915 11,0436 10,4101 9,7142 9,0463 8,5325 8,2622 8,2336 8,3677 8,5775 8,8286 9,1446 9,5507 10,0101 10,4304 10,7287 10,8661 10,8329 10,6435 10,3428 9,9875 9,6251 9,3030 9,0766 8,9821 9,0100 9,1110 9,2157 9,2480 9,1424 8,8632 8,4202 7,8726 7,3170 6,8589 6,5801 6,5138 6,6382 6,8874 7,1656 7,3651 7,3944 7,2136 6,8628 6,4554 6,1226 5,9572 5,9909 6,1818 6,4207 6,5964 6,6806 6,7425 6,8782 7,1141 7,3766 7,5577 7,6030 7,5367 7,4240 7,3304 7,3013 7,3575 7,5033 7,7417 8,0803 8,5186 9,0322 9,5714 10,0701 10,4597 10,6897 10,7425 10,6308 10,3830 10,0328 9,6255 9,2294 8,9130 8,6970 8,5548 8,4657 8,4437 8,5150 8,6918 8,9635 9,2959 9,6341 9,9071 10,0443 10,0076 9,8011 9,4547 9,0238 8,6050 8,3212 8,2667 8,4573 8,8257 9,2491 9,5924 9,7551 9,7055 9,4783 9,1448 8,7818 8,4477 8,1590 7,8798 7,5360 7,0524 6,4135 5,7138 5,1331 4,8419 4,9133 5,3077 5,9141 6,5935 7,2033 7,6208
F3    3,5356 2,9027 2,3158 1,8332 1,4791 1,2479 1,1008 0,9775 0,8472 0,7539 0,7806 0,9559 1,2186 1,4752 1,6710 1,7863 1,7867 1,6275 1,3131 0,9194 0,5494 0,2718 0,0932 -0,0157 -0,0759 -0,1022 -0,1414 -0,2668 -0,5178 -0,8617 -1,2131 -1,4792 -1,5954 -1,5425 -1,3432 -1,0432 -0,7018 -0,3919 -0,1861 -0,1319 -0,2389 -0,4867 -0,8519 -1,3210 -1,8603 -2,3920 -2,8259 -3,1190 -3,3021 -3,4346 -3,5279 -3,5270 -3,3816 -3,1140 -2,7969 -2,4825 -2,1719 -1,8397 -1,4640 -1,0314 -0,5454 -0,0425 0,4208 0,7966 1,0476 1,1422 1,0673 0,8364 0,4799 0,0299 -0,4852 -1,0279 -1,5439 -1,9837 -2,3175 -2,5179 -2,5496 -2,4024 -2,1239 -1,8188 -1,6238 -1,6619 -1,9807 -2,5230 -3,1694 -3,8129 -4,3962 -4,8950 -5,2932 -5,5803 -5,7619 -5,8524 -5,8587 -5,7757 -5,5912 -5,2903 -4,8763 -4,3915 -3,9006 -3,4594 -3,1228 -2,9682 -3,0772 -3,4815 -4,1254 -4,8756 -5,5666 -6,0634 -6,3092 -6,3286 -6,1986 -6,0166 -5,8467 -5,6487 -5,2717 -4,5679 -3,5245 -2,2799 -1,0396 0,0229 0,8224 1,3644 1,7089 1,9356 2,1121 2,2481 2,2880 2,1791 1,9285 1,5832 1,1947 0,8232 0,5360 0,3703 0,3040 0,2756 0,2246 0,1194 -0,0335 -0,2004 -0,3482 -0,4733 -0,6063 -0,7816 -1,0090 -1,2721 -1,5289 -1,7146 -1,7841 -1,7617 -1,7145 -1,6751 -1,6109 -1,4540 -1,1446 -0,6593 -0,0165 0,7256 1,4789 2,1653 2,7604 3,2836 3,7474 4,1305 4,4057 4,5791 4,6911 4,7900 4,9233 5,1332 5,4336 5,7971 6,1679 6,4795 6,6686 6,6894 6,5363 6,2705 6,0127 5,8957 6,0055 6,3376 6,7849 7,1825 7,3880 7,3370 7,0454 6,5882 6,0701 5,5911 5,2165 4,9704 4,8441 4,8071 4,8283 4,8979 5,0206 5,1823 5,3221 5,3390 5,1453 4,7237 4,1367 3,4965 2,9274 2,5280 2,3393 2,3399 2,4735 2,6853 2,9599 3,3341 3,8549 4,5112 5,2001 5,7546 6,0204 5,9217 5,4774 4,7872 3,9993 3,2432 2,5783 2,0026 1,4956 1,0503 0,6821 0,4122 0,2402 0,1291 0,0092 -0,1955 -0,5197 -0,9197 -1,2899 -1,5109 -1,4959 -1,2363 -0,8140 -0,3565 0,0166 0,2259 0,2589 0,1746 0,0626 -0,0197 -0,0739 -0,1358 -0,2448 -0,4292 -0,6908 -1,0007 -1,3174 -1,6050 -1,8397 -2,0032 -2,0588 -1,9436 -1,6015 -1,0300 -0,3074 0,4124 0,9497 1,1768 1,0674 0,6778 0,0981 -0,5736 -1,2302 -1,7584 -2,0588 -2,0687 -1,7895 -1,3156 -0,8159 -0,4502 -0,2901 -0,3102 -0,4400 -0,6131 -0,7700 -0,8540 -0,8357 -0,7218 -0,5212 -0,2229 0,1881 0,6967 1,2368 1,7117 2,0495 2,2308 2,2750 2,2147 2,0697 1,8309 1,4831 1,0481 0,5928 0,1963 -0,0847 -0,2272 -0,2399 -0,1551 -0,0138 0,1541 0,3432 0,5604 0,7852 0,9467 0,9669 0,8319 0,6178 0,4545 0,4594 0,6899 1,1381 1,7547 2,4715 3,2056 3,8702 4,4016 4,7705 4,9665 5,0010 4,9308 4,8539 4,8656 4,9949 5,1745 5,2803 5,1996 4,8791 4,3493 3,7237 3,1597 2,8007 2,7220 2,9139 3,3031 3,7837 4,2560 4,6557 4,9510 5,1278 5,1911 5,1703 5,1072 5,0312 4,9538 4,8852 4,8369 4,8071 4,7830 4,7610 4,7568 4,8010 4,9252 5,1339 5,3903 5,6468 5,8863 6,1249 6,3792 6,6360 6,8585 7,0194 7,1198 7,1865 7,2496 7,3076 7,3115 7,1964 6,9385 6,5796 6,1924 5,8367 5,5577 5,3934 5,3560 5,4223 5,5496 5,6915 5,8199 5,9607 6,1945 6,6031 7,2081 7,9462 8,6844 9,2817 9,6628 9,8433 9,8924 9,8683 9,7661 9,5254 9,1127 8,5882 8,0740 7,6756 7,4543 7,4414 7,6403 8,0202 8,5195 9,0496 9,5106 9,8376 10,0314 10,1322 10,1821 10,2135 10,2397 10,2558 10,2707 10,3279 10,4719 10,7081 11,0014 11,2868 11,4706 11,4537 11,1831 10,6722 9,9805 9,1994 8,4402 7,7940 7,2923 6,9198 6,6668 6,5462 6,5579 6,6646 6,8033 6,9089 6,9381 6,8796 6,7555 6,6278 6,5901 6,7143 6,9937 7,3418 7,6472 7,8383 7,9207 7,9697 8,0847 8,3338 8,7256 9,2070 9,6692 9,9622 9,9436 9,5597 8,9007 8,1619 7,5325 7,1115 6,8975 6,8132 6,7492 6,6352 6,4869 6,3805 6,3954 6,5819 6,9648 7,5468 8,2906 9,1032 9,8420 10,3490 10,5141 10,3395 9,9264 9,3773 8,7292 7,9846 7,1766 6,3983 5,7864 5,4569 5,4313 5,6254 5,9136 6,2051 6,4827 6,7901 7,1657 7,5765 7,9353 8,1738 8,2695 8,2228 8,0517 7,8005 7,5204 7,2436 6,9894 6,7814 6,6404 6,5708 6,5561 6,5576 6,5167 6,3756 6,0992 5,6870 5,1829 4,6709 4,2450 3,9725 3,8748 3,9318 4,0973 4,3084 4,4774 4,4947 4,2736 3,8169 3,2355 2,6914 2,3186 2,1821 2,2622 2,4615 2,6693 2,8480 3,0522 3,3562 3,7617 4,1713 4,4521 4,5226 4,3898 4,1239 3,8157 3,5495 3,3887 3,3673 3,4965 3,7810 4,2113 4,7403 5,2838 5,7477 6,0488 6,1331 5,9938 5,6764 5,2619 4,8386 4,4795 4,2355 4,1217 4,0977 4,0948 4,0817 4,0833 4,1389 4,2703 4,4755 4,7264 4,9702 5,1424 5,1877 5,0865 4,8620 4,5581 4,2286 3,9460 3,7945 3,8320 4,0631 4,4398 4,8727 5,2490 5,4671 5,4786 5,3058 5,0169 4,6877 4,3783 4,1163 3,8838 3,6176 3,2357 2,7010 2,0864 1,5552 1,2625 1,2741 1,5666 2,0670 2,6714 3,2521 3,6828
F7    1,6686 1,1288 0,5863 0,1384 -0,1210 -0,1628 -0,0540 0,0952 0,2112 0,2794 0,3138 0,3216 0,2980 0,2482 0,2045 0,2156 0,3065 0,4461 0,5707 0,6425 0,6681 0,6708 0,6739 0,7032 0,7837 0,9086 1,0186 1,0339 0,9097 0,6559 0,3175 -0,0522 -0,4029 -0,6920 -0,8943 -1,0044 -1,0210 -0,9336 -0,7391 -0,4799 -0,2493 -0,1440 -0,2109 -0,4355 -0,7603 -1,1108 -1,4185 -1,6358 -1,7445 -1,7529 -1,6848 -1,5638 -1,4000 -1,1954 -0,9712 -0,7730 -0,6325 -0,5290 -0,4004 -0,1953 0,0769 0,3419 0,5075 0,5201 0,3899 0,1785 -0,0401 -0,2147 -0,3261 -0,3827 -0,4189 -0,4916 -0,6640 -0,9740 -1,4008 -1,8580 -2,2242 -2,4015 -2,3648 -2,1801 -1,9805 -1,8961 -1,9813 -2,2085 -2,5248 -2,9015 -3,3225 -3,7401 -4,0698 -4,2356 -4,2099 -4,0190 -3,7242 -3,3989 -3,1053 -2,8668 -2,6540 -2,4077 -2,0899 -1,7231 -1,3840 -1,1689 -1,1590 -1,3924 -1,8423 -2,4046 -2,9124 -3,2041 -3,2087 -2,9782 -2,6396 -2,3102 -2,0399 -1,7973 -1,5054 -1,1046 -0,5868 0,0203 0,6728 1,3144 1,8982 2,4218 2,9189 3,3962 3,7890 3,9880 3,9147 3,5796 3,0790 2,5455 2,0915 1,7721 1,5793 1,4601 1,3461 1,1913 0,9986 0,8111 0,6692 0,5776 0,5173 0,4787 0,4663 0,4678 0,4364 0,3170 0,0944 -0,1862 -0,4535 -0,6641 -0,8079 -0,8786 -0,8706 -0,7906 -0,6507 -0,4478 -0,1604 0,2169 0,6449 1,0634 1,4389 1,7802 2,1117 2,4297 2,6916 2,8614 2,9549 3,0370 3,1834 3,4360 3,7824 4,1716 4,5381 4,8203 4,9904 5,0615 5,0599 5,0105 4,9528 4,9480 5,0475 5,2390 5,4318 5,5322 5,5330 5,5011 5,4963 5,5359 5,6143 5,7193 5,8313 5,9183 5,9482 5,9121 5,8261 5,7090 5,5623 5,3754 5,1424 4,8607 4,5186 4,1138 3,6797 3,2713 2,9387 2,7322 2,7019 2,8590 3,1464 3,4673 3,7481 3,9731 4,1637 4,3264 4,4229 4,3988 4,2304 3,9377 3,5752 3,2229 2,9620 2,8257 2,7619 2,6574 2,4099 1,9876 1,4451 0,8924 0,4328 0,1117 -0,0845 -0,1934 -0,2490 -0,2684 -0,2407 -0,1264 0,1171 0,4921 0,9406 1,3655 1,6696 1,7861 1,6933 1,4130 0,9990 0,5200 0,0487 -0,3534 -0,6627 -0,9046 -1,1256 -1,3546 -1,5900 -1,8148 -2,0120 -2,1510 -2,1589 -1,9345 -1,4252 -0,6941 0,0958 0,7524 1,1233 1,1491 0,8705 0,3786 -0,2407 -0,9186 -1,5898 -2,1795 -2,6017 -2,7801 -2,6981 -2,4349 -2,1329 -1,9130 -1,8149 -1,7992 -1,7895 -1,7227 -1,5826 -1,3973 -1,2099 -1,0523 -0,9427 -0,8934 -0,9072 -0,9697 -1,0487 -1,1010 -1,0967 -1,0586 -1,0584 -1,1619 -1,3960 -1,7508 -2,1654 -2,5247 -2,7192 -2,7162 -2,5603 -2,3247 -2,0759 -1,8617 -1,7109 -1,6412 -1,6712 -1,8122 -2,0476 -2,3291 -2,5903 -2,7631 -2,7972 -2,6751 -2,4172 -2,0725 -1,6947 -1,3170 -0,9509 -0,6120 -0,3354 -0,1485 -0,0449 0,0003 0,0180 0,0466 0,1080 0,1823 0,2220 0,1779 0,0110 -0,2954 -0,7258 -1,2263 -1,7002 -2,0147 -2,0478 -1,7600 -1,2210 -0,5680 0,0545 0,5329 0,8037 0,8682 0,7925 0,6639 0,5354 0,4087 0,2517 0,0383 -0,2190 -0,4740 -0,6722 -0,7832 -0,8243 -0,8321 -0,8091 -0,7263 -0,5695 -0,3560 -0,1120 0,1453 0,3925 0,5808 0,6637 0,6502 0,6065 0,6031 0,6706 0,7892 0,8932 0,8877 0,6979 0,3208 -0,1784 -0,7220 -1,2511 -1,7173 -2,0813 -2,3316 -2,4896 -2,5842 -2,6217 -2,5735 -2,3871 -2,0266 -1,5141 -0,9325 -0,3985 -0,0323 0,0857 -0,0399 -0,3165 -0,6072 -0,7887 -0,8064 -0,7038 -0,5876 -0,5603 -0,6904 -0,9987 -1,4315 -1,8690 -2,1951 -2,3637 -2,3916 -2,3116 -2,1443 -1,9022 -1,6092 -1,3103 -1,0573 -0,8912 -0,8279 -0,8464 -0,8889 -0,8754 -0,7369 -0,4539 -0,0750 0,2968 0,5464 0,5934 0,4169 0,0640 -0,3634 -0,7601 -1,0689 -1,2829 -1,4151 -1,4775 -1,4763 -1,4179 -1,3223 -1,2314 -1,1964 -1,2532 -1,4071 -1,6340 -1,8909 -2,1229 -2,2670 -2,2687 -2,1181 -1,8635 -1,5790 -1,3163 -1,0716 -0,7894 -0,4125 0,0603 0,5659 1,0165 1,3330 1,4504 1,3249 0,9623 0,4377 -0,1294 -0,6252 -0,9805 -1,1875 -1,2861 -1,3220 -1,3054 -1,2130 -1,0208 -0,7183 -0,3074 0,1892 0,7238 1,2348 1,6433 1,8531 1,7899 1,4521 0,9152 0,2880 -0,3371 -0,9125 -1,4331 -1,9044 -2,3070 -2,5923 -2,7065 -2,6238 -2,3692 -2,0117 -1,6257 -1,2515 -0,8828 -0,4936 -0,0800 0,3244 0,6698 0,9060 0,9773 0,8409 0,5027 0,0130 -0,5641 -1,1512 -1,6503 -1,9736 -2,0847 -2,0131 -1,8410 -1,6690 -1,5787 -1,6112 -1,7572 -1,9653 -2,1824 -2,3867 -2,5776 -2,7490 -2,8837 -2,9723 -3,0331 -3,1161 -3,2840 -3,5801 -4,0031 -4,4997 -4,9776 -5,3418 -5,5362 -5,5693 -5,5051 -5,4117 -5,3016 -5,1216 -4,8124 -4,3795 -3,9027 -3,4830 -3,1876 -3,0303 -2,9830 -3,0069 -3,0872 -3,2379 -3,4568 -3,6901 -3,8653 -3,9478 -3,9435 -3,8647 -3,7214 -3,5363 -3,3501 -3,2102 -3,1510 -3,1930 -3,3583 -3,6585 -4,0604 -4,4905 -4,8828 -5,2120 -5,4883 -5,7296 -5,9309 -6,0590 -6,0831 -5,9988 -5,8283 -5,6222 -5,4519 -5,3772 -5,4228 -5,5804 -5,8123 -6,0494 -6,2006 -6,1861 -5,9814 -5,6349 -5,2397 -4,8832 -4,6217 -4,4868 -4,4974 -4,6561 -4,9410 -5,3125 -5,7275 -6,1484 -6,5575 -6,9599 -7,3609 -7,7309 -7,9854 -8,0129 -7,7495 -7,2335 -6,5851 -5,9411 -5,4011 -5,0110
