Fp1   0,2443 -0,0656 -0,2059 -0,1405 0,1338 0,5739 1,0933 1,5862 1,9613 2,1703 2,1966 2,0282 1,6718 1,1761 0,6295 0,1343 -0,2245 -0,3971 -0,3894 -0,2711 -0,1311 -0,0016 0,1454 0,3233 0,4805 0,5297 0,4055 0,0925 -0,3773 -0,9266 -1,4375 -1,7810 -1,8763 -1,7272 -1,4187 -1,0663 -0,7666 -0,5687 -0,4733 -0,4432 -0,4282 -0,3962 -0,3450 -0,2868 -0,2332 -0,1978 -0,1987 -0,2433 -0,2938 -0,2641 -0,0836 0,2202 0,5118 0,6212 0,4404 -0,0377 -0,7553 -1,6321 -2,5726 -3,4559 -4,1344 -4,4638 -4,3689 -3,9058 -3,2525 -2,6317 -2,2176 -2,0736 -2,1556 -2,3646 -2,6136 -2,8456 -3,0104 -3,0595 -2,9635 -2,7369 -2,4333 -2,1254 -1,8844 -1,7592 -1,7628 -1,8768 -2,0693 -2,3084 -2,5502 -2,7296 -2,7788 -2,6537 -2,3462 -1,8930 -1,3813 -0,9176 -0,5952 -0,4785 -0,5925 -0,9161 -1,3930 -1,9438 -2,4668 -2,8629 -3,0667 -3,0594 -2,8749 -2,6066 -2,3834 -2,3066 -2,3938 -2,5939 -2,8492 -3,1215 -3,3823 -3,6168 -3,8396 -4,0906 -4,4137 -4,8318 -5,3237 -5,8197 -6,2302 -6,4802 -6,5444 -6,4614 -6,3147 -6,1937 -6,1599 -6,2356 -6,3911 -6,5437 -6,5970 -6,4846 -6,1823 -5,6986 -5,0714 -4,3567 -3,5942 -2,7964 -2,0002 -1,3044 -0,8263 -0,6172 -0,6206 -0,7027 -0,7262 -0,6265 -0,4297 -0,2072 -0,0285 0,0567 0,0206 -0,1265 -0,3276 -0,4930 -0,5387 -0,4159 -0,1244 0,2825 0,7184 1,1096 1,4296 1,6799 1,8584 1,9450 1,9356 1,8779 1,8600 1,9537 2,1709 2,4683 2,7731 3,0032 3,0814 2,9577 2,6237 2,1137 1,5053 0,9043 0,3989 0,0290 -0,1957 -0,2630 -0,1596 0,0997 0,4647 0,8703 1,2515 1,5374 1,6518 1,5552 1,2886 0,9688 0,7219 0,6195 0,6554 0,7555 0,8009 0,6860 0,3802 -0,0490 -0,4783 -0,7936 -0,9464 -0,9779 -0,9988 -1,1127 -1,3486 -1,6753 -2,0654 -2,5189 -3,0408 -3,6089 -4,1682 -4,6412 -4,9420 -5,0097 -4,8452 -4,5284 -4,1794 -3,8905 -3,6837 -3,5240 -3,3634 -3,1784 -2,9775 -2,7826 -2,6038 -2,4546 -2,3692 -2,3785 -2,4776 -2,6328 -2,8047 -2,9584 -3,0644 -3,1009 -3,0602 -2,9505 -2,7830 -2,5650 -2,3049 -2,0215 -1,7230 -1,3915 -1,0082 -0,5963 -0,2192 0,0664 0,2449 0,3370 0,3775 0,4014 0,4381 0,5063 0,5856 0,6158 0,5399 0,3410 0,0258 -0,3878 -0,8479 -1,2605 -1,5404 -1,6628 -1,6628 -1,5951 -1,5044 -1,4183 -1,3614 -1,3452 -1,3573 -1,3679 -1,3436 -1,2418 -1,0162 -0,6476 -0,1754 0,3022 0,6653 0,8329 0,7958 0,6005 0,3075 -0,0316 -0,3702 -0,6610 -0,8684 -0,9861 -1,0316 -1,0225 -0,9584 -0,8286 -0,6522 -0,4882 -0,3865 -0,3389 -0,2966 -0,2314 -0,1720 -0,1841 -0,3071 -0,5168 -0,7488 -0,9317 -1,0015 -0,9197 -0,6978 -0,4037 -0,1330 0,0168 -0,0429 -0,3469 -0,8205 -1,2860 -1,5492 -1,4889 -1,0951 -0,4612 0,2518 0,8730 1,2716 1,3934 1,2777 1,0336 0,7752 0,5652 0,4161 0,3323 0,3139 0,3158 0,2370 -0,0396 -0,5638 -1,2651 -1,9776 -2,5304 -2,8337 -2,9034 -2,8232 -2,6857 -2,5586 -2,4893 -2,4989 -2,5594 -2,5908 -2,4946 -2,2162 -1,8029 -1,3785 -1,0579 -0,8918 -0,8704 -0,9398 -1,0169 -1,0151 -0,8865 -0,6523 -0,3929 -0,1893 -0,0856 -0,0859 -0,1657 -0,2830 -0,3991 -0,5050 -0,6156 -0,7296 -0,8195 -0,8652 -0,8860 -0,9411 -1,1036 -1,4081 -1,7936 -2,1164 -2,2417 -2,1191 -1,7807 -1,2980 -0,7546 -0,2305 0,2123 0,5420 0,7559 0,8653 0,8821 0,8266 0,7358 0,6459 0,5766 0,5342 0,5222 0,5341 0,5408 0,5010 0,3966 0,2521 0,1043 -0,0398 -0,2117 -0,4430 -0,7181 -0,9566 -1,0575 -0,9650 -0,7034 -0,3568 -0,0287 0,1960 0,2898 0,2763 0,1949 0,0702 -0,0887 -0,2796 -0,5037 -0,7722 -1,0995 -1,4718 -1,8209 -2,0591 -2,1634 -2,2034 -2,2850 -2,4836 -2,8009 -3,1532 -3,4130 -3,4849 -3,3637 -3,1320 -2,9216 -2,8458 -2,9505 -3,2030 -3,5208 -3,8135 -4,0137 -4,0916 -4,0481 -3,9037 -3,6951 -3,4567 -3,2008 -2,9235 -2,6280 -2,3304 -2,0513 -1,8163 -1,6608 -1,6138 -1,6750 -1,8134 -1,9864 -2,1552 -2,2934 -2,3884 -2,4454 -2,4945 -2,5824 -2,7420 -2,9698 -3,2164 -3,3995 -3,4530 -3,3804 -3,2320 -3,0432 -2,8296 -2,6245 -2,4917 -2,5010 -2,6861 -3,0264 -3,4754 -4,0068 -4,6114 -5,2585 -5,8782 -6,3754 -6,6614 -6,6942 -6,5037 -6,1709 -5,7790 -5,3808 -4,9878 -4,5828 -4,1537 -3,7247 -3,3604 -3,1458 -3,1450 -3,3517 -3,6904 -4,0616 -4,3812 -4,5948 -4,6969 -4,7434 -4,8126 -4,9456 -5,1324 -5,3445 -5,5655 -5,7907 -6,0082 -6,1964 -6,3406 -6,4414 -6,5019 -6,5075 -6,4219 -6,2146 -5,8875 -5,4916 -5,1097 -4,8207 -4,6656 -4,6283 -4,6499 -4,6719 -4,6675 -4,6307 -4,5557 -4,4453 -4,3289 -4,2500 -4,2146 -4,1693 -4,0405 -3,7964 -3,4637 -3,1056 -2,7993 -2,6121 -2,5670 -2,6247 -2,7074 -2,7476 -2,7247 -2,6720 -2,6548 -2,7202 -2,8627 -3,0334 -3,1713 -3,2197 -3,1403 -2,9498 -2,7553 -2,7079 -2,8905 -3,2512 -3,6390 -3,9026 -3,9591 -3,8019 -3,4788 -3,0820 -2,7393 -2,5777 -2,6691 -2,9979 -3,4709 -3,9585 -4,3404 -4,5331 -4,5175 -4,3472 -4,1247 -3,9426 -3,8314 -3,7524 -3,6265 -3,3937 -3,0661 -2,7234 -2,4552 -2,3025 -2,2520 -2,2675 -2,3213 -2,4010 -2,5067 -2,6433 -2,7916 -2,8930 -2,8768 -2,7117 -2,4190 -2,0571 -1,7105 -1,4706 -1,3877 -1,4369 -1,5418 -1,6350 -1,6933 -1,7273 -1,7619 -1,8206
Fz    1,2708 1,1303 1,0197 0,9290 0,8415 0,7498 0,6649 0,6088 0,5899 0,5887 0,5712 0,5156 0,4279 0,3274 0,2335 0,1583 0,1045 0,0786 0,0927 0,1482 0,2281 0,3108 0,3793 0,4214 0,4241 0,3762 0,2723 0,1177 -0,0699 -0,2621 -0,4306 -0,5559 -0,6353 -0,6703 -0,6597 -0,6006 -0,5076 -0,4163 -0,3680 -0,3833 -0,4535 -0,5566 -0,6756 -0,7992 -0,9111 -0,9884 -1,0110 -0,9730 -0,8853 -0,7681 -0,6466 -0,5494 -0,4885 -0,4449 -0,3824 -0,2761 -0,1414 -0,0350 -0,0230 -0,1379 -0,3510 -0,5808 -0,7346 -0,7550 -0,6288 -0,3794 -0,0639 0,2448 0,4874 0,6431 0,7233 0,7564 0,7793 0,8244 0,9126 1,0411 1,1892 1,3331 1,4589 1,5652 1,6545 1,7257 1,7684 1,7596 1,6804 1,5381 1,3702 1,2266 1,1433 1,1324 1,1823 1,2739 1,3795 1,4646 1,4998 1,4790 1,4200 1,3515 1,3078 1,3142 1,3745 1,4710 1,5694 1,6270 1,6020 1,4626 1,2000 0,8328 0,3984 -0,0604 -0,5076 -0,9230 -1,3062 -1,6665 -2,0061 -2,3141 -2,5707 -2,7538 -2,8484 -2,8455 -2,7488 -2,5828 -2,3917 -2,2229 -2,0979 -2,0035 -1,9065 -1,7717 -1,5678 -1,2618 -0,8342 -0,3034 0,2735 0,8280 1,3139 1,7222 2,0663 2,3660 2,6345 2,8763 3,1011 3,3367 3,6236 3,9869 4,4141 4,8583 5,2589 5,5706 5,7737 5,8806 5,9297 5,9704 6,0387 6,1489 6,2908 6,4297 6,5253 6,5656 6,5789 6,5955 6,6226 6,6457 6,6546 6,6565 6,6680 6,6940 6,7216 6,7382 6,7440 6,7445 6,7375 6,7168 6,6865 6,6678 6,6891 6,7647 6,8765 6,9781 7,0143 6,9470 6,7740 6,5209 6,2260 5,9287 5,6614 5,4391 5,2542 5,0904 4,9268 4,7505 4,5691 4,4093 4,2900 4,2036 4,1129 3,9751 3,7654 3,4933 3,1882 2,8821 2,5999 2,3611 2,1711 2,0201 1,8932 1,7707 1,6266 1,4461 1,2402 1,0525 0,9395 0,9398 1,0532 1,2321 1,4017 1,4862 1,4305 1,2174 0,8809 0,4919 0,1245 -0,1674 -0,3545 -0,4272 -0,3826 -0,2294 0,0002 0,2509 0,4633 0,6037 0,6781 0,7155 0,7360 0,7471 0,7627 0,8074 0,8996 1,0381 1,2090 1,3920 1,5792 1,7812 2,0085 2,2428 2,4323 2,5161 2,4623 2,2950 2,0846 1,9145 1,8410 1,8803 2,0017 2,1476 2,2627 2,3185 2,3138 2,2667 2,2056 2,1555 2,1198 2,0878 2,0553 2,0351 2,0426 2,0831 2,1374 2,1716 2,1549 2,0773 1,9493 1,7934 1,6332 1,4890 1,3749 1,2975 1,2485 1,2067 1,1436 1,0375 0,8836 0,7070 0,5595 0,4959 0,5426 0,6777 0,8416 0,9766 1,0555 1,0833 1,0758 1,0472 1,0135 1,0034 1,0494 1,1603 1,3077 1,4350 1,4850 1,4299 1,2804 1,0763 0,8670 0,6958 0,5954 0,5778 0,6313 0,7301 0,8399 0,9243 0,9543 0,9251 0,8514 0,7581 0,6762 0,6312 0,6228 0,6276 0,6133 0,5492 0,4089 0,1789 -0,1286 -0,4743 -0,8088 -1,0854 -1,2777 -1,3997 -1,4979 -1,6208 -1,7744 -1,9169 -1,9871 -1,9382 -1,7608 -1,4914 -1,2004 -0,9614 -0,8197 -0,7850 -0,8348 -0,9218 -0,9893 -0,9932 -0,9153 -0,7708 -0,5929 -0,4113 -0,2347 -0,0510 0,1668 0,4433 0,7746 1,1213 1,4379 1,6916 1,8690 1,9635 1,9755 1,9222 1,8331 1,7343 1,6365 1,5423 1,4583 1,3884 1,3252 1,2549 1,1721 1,0866 1,0193 0,9969 1,0294 1,0908 1,1327 1,1155 1,0286 0,8760 0,6613 0,3897 0,0754 -0,2609 -0,5947 -0,9012 -1,1554 -1,3293 -1,4045 -1,3783 -1,2674 -1,0985 -0,9010 -0,7048 -0,5473 -0,4702 -0,5019 -0,6436 -0,8698 -1,1398 -1,4037 -1,6141 -1,7312 -1,7326 -1,6186 -1,4163 -1,1659 -0,9049 -0,6664 -0,4734 -0,3353 -0,2369 -0,1417 -0,0147 0,1499 0,3232 0,4539 0,4917 0,4175 0,2562 0,0523 -0,1690 -0,4048 -0,6518 -0,8973 -1,1219 -1,3068 -1,4452 -1,5447 -1,6279 -1,7149 -1,8211 -1,9546 -2,1208 -2,3150 -2,5124 -2,6680 -2,7281 -2,6558 -2,4441 -2,1177 -1,7292 -1,3376 -0,9882 -0,7047 -0,4880 -0,3168 -0,1633 -0,0111 0,1368 0,2689 0,3730 0,4392 0,4590 0,4253 0,3386 0,2118 0,0564 -0,1328 -0,3723 -0,6687 -1,0084 -1,3624 -1,6914 -1,9489 -2,0983 -2,1284 -2,0538 -1,9093 -1,7456 -1,6202 -1,5818 -1,6500 -1,8114 -2,0279 -2,2565 -2,4657 -2,6453 -2,7997 -2,9332 -3,0526 -3,1729 -3,3090 -3,4604 -3,6069 -3,7113 -3,7270 -3,6200 -3,3951 -3,0933 -2,7689 -2,4695 -2,2274 -2,0599 -1,9842 -2,0202 -2,1852 -2,4843 -2,9008 -3,3919 -3,8948 -4,3474 -4,7107 -4,9747 -5,1497 -5,2513 -5,2839 -5,2355 -5,0914 -4,8487 -4,5200 -4,1276 -3,6916 -3,2335 -2,7832 -2,3844 -2,0791 -1,8900 -1,8051 -1,7760 -1,7348 -1,6199 -1,3966 -1,0623 -0,6451 -0,1992 0,2096 0,5271 0,7336 0,8502 0,9269 1,0199 1,1698 1,3828 1,6294 1,8646 2,0592 2,2097 2,3178 2,3747 2,3661 2,2798 2,1067 1,8511 1,5361 1,2007 0,8872 0,6287 0,4357 0,2981 0,1900 0,0785 -0,0668 -0,2577 -0,4764 -0,7028 -0,9467 -1,2486 -1,6433 -2,1298 -2,6781 -3,2468 -3,7922 -4,2757 -4,6650 -4,9368 -5,0893 -5,1484 -5,1624 -5,1696 -5,1793 -5,1869 -5,2001 -5,2449 -5,3434 -5,4969 -5,6897 -5,8970 -6,0929 -6,2511 -6,3489 -6,3663 -6,2983 -6,1710 -6,0359 -5,9424 -5,9041 -5,8906 -5,8462 -5,7232 -5,5025 -5,2024 -4,8723 -4,5660 -4,3109 -4,0931 -3,8730 -3,6221 -3,3478 -3,0841 -2,8585 -2,6700
F3    0,7482 0,5661 0,3945 0,2508 0,1632 0,1677 0,2884 0,5154 0,7900 1,0251 1,1488 1,1328 0,9920 0,7565 0,4566 0,1238 -0,2036 -0,4746 -0,6395 -0,6744 -0,5865 -0,4017 -0,1616 0,0724 0,2291 0,2623 0,1739 0,0099 -0,1691 -0,3153 -0,4121 -0,4672 -0,4999 -0,5174 -0,5064 -0,4370 -0,2960 -0,1104 0,0618 0,1667 0,1753 0,0874 -0,0728 -0,2601 -0,4276 -0,5498 -0,6243 -0,6588 -0,6608 -0,6320 -0,5715 -0,4792 -0,3462 -0,1487 0,1414 0,5290 0,9608 1,3216 1,4836 1,3825 1,0724 0,7055 0,4463 0,3831 0,5034 0,7207 0,9265 1,0461 1,0656 1,0300 1,0115 1,0698 1,2142 1,3866 1,5040 1,5162 1,4418 1,3506 1,3179 1,3843 1,5363 1,7131 1,8346 1,8361 1,7061 1,4940 1,2853 1,1701 1,2174 1,4535 1,8419 2,2967 2,7083 2,9768 3,0407 2,9004 2,6182 2,2892 2,0097 1,8460 1,8115 1,8448 1,8245 1,6427 1,2724 0,7652 0,2082 -0,3214 -0,7862 -1,1842 -1,5224 -1,8077 -2,0582 -2,2997 -2,5435 -2,7725 -2,9525 -3,0538 -3,0744 -3,0435 -3,0176 -3,0491 -3,1507 -3,2921 -3,4109 -3,4326 -3,3024 -3,0184 -2,6305 -2,1915 -1,7252 -1,2459 -0,7938 -0,4281 -0,1767 0,0024 0,2000 0,5055 0,9476 1,4701 1,9729 2,3853 2,7056 2,9802 3,2601 3,5755 3,9273 4,2978 4,6555 4,9664 5,2019 5,3488 5,4150 5,4386 5,4644 5,4971 5,4950 5,4198 5,2886 5,1585 5,0868 5,0899 5,1380 5,1773 5,1564 5,0411 4,8346 4,5892 4,3791 4,2548 4,2211 4,2628 4,3850 4,6178 4,9840 5,4687 6,0021 6,4623 6,7093 6,6502 6,2865 5,6905 4,9477 4,1309 3,3123 2,5685 1,9676 1,5689 1,4095 1,4951 1,8020 2,2873 2,8827 3,4952 4,0199 4,3666 4,4727 4,3139 3,9028 3,2888 2,5525 1,7990 1,1304 0,6171 0,2912 0,1558 0,1935 0,3758 0,6691 1,0464 1,4773 1,9075 2,2647 2,4809 2,5147 2,3537 2,0194 1,5654 1,0627 0,5726 0,1272 -0,2657 -0,6040 -0,8877 -1,1155 -1,2876 -1,4049 -1,4655 -1,4565 -1,3462 -1,0904 -0,6559 -0,0426 0,7150 1,5537 2,3859 3,1217 3,7051 4,1314 4,4100 4,5325 4,4778 4,2440 3,8633 3,3811 2,8308 2,2352 1,6330 1,0904 0,6773 0,4218 0,2999 0,2434 0,1751 0,0573 -0,0669 -0,0908 0,0977 0,5527 1,2356 2,0247 2,7816 3,4121 3,8761 4,1568 4,2456 4,1354 3,8323 3,3680 2,7960 2,1588 1,4764 0,7708 0,0981 -0,4532 -0,7932 -0,8730 -0,7057 -0,3601 0,0791 0,5437 0,9795 1,3251 1,5256 1,5706 1,4995 1,3690 1,2229 1,0750 0,9242 0,7746 0,6435 0,5567 0,5584 0,7050 1,0288 1,5005 2,0188 2,4418 2,6470 2,5774 2,2490 1,7339 1,1500 0,6521 0,3829 0,4111 0,7050 1,1523 1,6143 1,9775 2,1831 2,2183 2,1041 1,8875 1,6277 1,3834 1,2122 1,1432 1,1456 1,1329 1,0119 0,7300 0,2978 -0,2124 -0,6888 -1,0395 -1,2477 -1,3605 -1,4408 -1,5093 -1,5211 -1,3899 -1,0530 -0,5308 0,0653 0,5836 0,9021 0,9749 0,8198 0,4806 0,0109 -0,5179 -1,0168 -1,3966 -1,5960 -1,5801 -1,3370 -0,8856 -0,2853 0,3810 1,0352 1,6098 2,0360 2,2574 2,2528 2,0616 1,7623 1,4375 1,1605 0,9872 0,9311 0,9478 0,9670 0,9353 0,8273 0,6515 0,4503 0,2729 0,1423 0,0610 0,0494 0,1427 0,3457 0,6158 0,8924 1,1365 1,3294 1,4563 1,4991 1,4418 1,2675 0,9658 0,5510 0,0784 -0,3720 -0,7493 -1,0564 -1,3249 -1,5649 -1,7488 -1,8304 -1,7802 -1,6129 -1,3864 -1,1675 -0,9894 -0,8482 -0,7364 -0,6724 -0,6804 -0,7674 -0,9218 -1,1309 -1,3775 -1,6303 -1,8565 -2,0287 -2,1164 -2,0738 -1,8650 -1,4981 -1,0290 -0,5390 -0,1167 0,1626 0,2688 0,2177 0,0331 -0,2758 -0,6915 -1,1777 -1,7048 -2,2519 -2,7844 -3,2472 -3,5894 -3,8086 -3,9507 -4,0730 -4,1936 -4,2854 -4,2900 -4,1349 -3,7513 -3,1030 -2,2235 -1,2238 -0,2650 0,4844 0,9058 0,9780 0,7758 0,4179 0,0136 -0,3655 -0,6832 -0,9176 -1,0425 -1,0397 -0,9117 -0,6778 -0,3655 -0,0064 0,3728 0,7497 1,0972 1,3768 1,5405 1,5391 1,3456 0,9732 0,4709 -0,1037 -0,7018 -1,2778 -1,7859 -2,1929 -2,4949 -2,7103 -2,8512 -2,9110 -2,8679 -2,6989 -2,3962 -1,9874 -1,5397 -1,1397 -0,8693 -0,7861 -0,9071 -1,2036 -1,6166 -2,0803 -2,5311 -2,9096 -3,1734 -3,3033 -3,2940 -3,1397 -2,8251 -2,3400 -1,7305 -1,1305 -0,7219 -0,6377 -0,8860 -1,3580 -1,9056 -2,4182 -2,8441 -3,1707 -3,4087 -3,5788 -3,6850 -3,7037 -3,6137 -3,4275 -3,1878 -2,9479 -2,7523 -2,6279 -2,5776 -2,5857 -2,6204 -2,6463 -2,6411 -2,5983 -2,5085 -2,3358 -2,0313 -1,5749 -0,9943 -0,3545 0,2699 0,8163 1,2466 1,5404 1,6898 1,7090 1,6526 1,6084 1,6622 1,8553 2,1604 2,4876 2,7165 2,7515 2,5706 2,2341 1,8477 1,5110 1,2812 1,1736 1,1693 1,2219 1,2724 1,2694 1,1683 0,9403 0,5884 0,1497 -0,3177 -0,7686 -1,1947 -1,6230 -2,0826 -2,5670 -3,0291 -3,4042 -3,6358 -3,7009 -3,6201 -3,4473 -3,2521 -3,0990 -3,0405 -3,1077 -3,3115 -3,6506 -4,1134 -4,6720 -5,2653 -5,8016 -6,1936 -6,3988 -6,4256 -6,2973 -6,0280 -5,6229 -5,0991 -4,5106 -3,9574 -3,5609 -3,4071 -3,5043 -3,7809 -4,1245 -4,4294 -4,6342 -4,7288 -4,7329 -4,6679 -4,5351 -4,3080 -3,9443 -3,4179 -2,7468 -1,9930 -1,2377
F7    0,0775 0,0619 0,1503 0,3186 0,5378 0,7710 0,9711 1,0899 1,0967 0,9949 0,8107 0,5695 0,2940 0,0118 -0,2350 -0,3926 -0,4192 -0,3092 -0,1044 0,1207 0,3023 0,4252 0,5131 0,5859 0,6301 0,6094 0,4929 0,2741 -0,0253 -0,3551 -0,6457 -0,8278 -0,8674 -0,7801 -0,6240 -0,4685 -0,3699 -0,3541 -0,4139 -0,5143 -0,6102 -0,6644 -0,6606 -0,6028 -0,5056 -0,3891 -0,2758 -0,1809 -0,1007 -0,0126 0,1042 0,2399 0,3520 0,3941 0,3454 0,2165 0,0289 -0,1995 -0,4501 -0,6946 -0,8889 -0,9814 -0,9372 -0,7668 -0,5287 -0,3049 -0,1619 -0,1205 -0,1557 -0,2176 -0,2575 -0,2379 -0,1282 0,0823 0,3748 0,7022 1,0133 1,2689 1,4465 1,5432 1,5723 1,5509 1,4878 1,3819 1,2394 1,0901 0,9814 0,9565 1,0353 1,2080 1,4315 1,6468 1,7943 1,8309 1,7403 1,5345 1,2430 0,9061 0,5776 0,3131 0,1533 0,1165 0,1910 0,3308 0,4695 0,5503 0,5528 0,4899 0,3877 0,2710 0,1590 0,0577 -0,0472 -0,1911 -0,4186 -0,7617 -1,2178 -1,7451 -2,2807 -2,7564 -3,1147 -3,3238 -3,3873 -3,3380 -3,2154 -3,0561 -2,8862 -2,7108 -2,5137 -2,2666 -1,9411 -1,5218 -1,0180 -0,4650 0,0975 0,6460 1,1570 1,5910 1,9092 2,1100 2,2442 2,3905 2,6106 2,9123 3,2475 3,5475 3,7591 3,8608 3,8561 3,7690 3,6417 3,5254 3,4605 3,4717 3,5668 3,7278 3,9117 4,0747 4,1999 4,2926 4,3662 4,4307 4,4950 4,5675 4,6528 4,7475 4,8441 4,9394 5,0294 5,0970 5,1074 5,0266 4,8446 4,5800 4,2724 3,9707 3,7163 3,5368 3,4432 3,4257 3,4568 3,5068 3,5607 3,6214 3,6962 3,7756 3,8253 3,8117 3,7273 3,5952 3,4484 3,3140 3,2038 3,1070 2,9843 2,7933 2,5214 2,2006 1,8868 1,6327 1,4643 1,3741 1,3263 1,2795 1,2102 1,1123 0,9792 0,8053 0,5980 0,3829 0,1893 0,0424 -0,0362 -0,0399 0,0135 0,0844 0,1310 0,1335 0,1026 0,0661 0,0479 0,0574 0,0879 0,1259 0,1660 0,2030 0,2213 0,2077 0,1709 0,1370 0,1269 0,1428 0,1726 0,2016 0,2217 0,2341 0,2491 0,2787 0,3322 0,4067 0,4941 0,5958 0,7253 0,8934 1,0961 1,3164 1,5292 1,7085 1,8328 1,8957 1,9052 1,8782 1,8190 1,7205 1,5810 1,4133 1,2301 1,0405 0,8644 0,7367 0,6809 0,6883 0,7229 0,7483 0,7443 0,7138 0,6710 0,6309 0,5964 0,5640 0,5386 0,5448 0,6119 0,7466 0,9211 1,0850 1,1883 1,2056 1,1389 1,0018 0,8036 0,5547 0,2823 0,0320 -0,1530 -0,2543 -0,2753 -0,2179 -0,0759 0,1502 0,4252 0,6848 0,8796 1,0107 1,1109 1,1949 1,2358 1,1852 1,0195 0,7669 0,4912 0,2601 0,1215 0,0882 0,1399 0,2363 0,3354 0,4008 0,3998 0,3219 0,1990 0,1045 0,1114 0,2465 0,4779 0,7377 0,9525 1,0675 1,0580 0,9351 0,7416 0,5334 0,3497 0,1938 0,0409 -0,1304 -0,3237 -0,5376 -0,7764 -1,0486 -1,3383 -1,5912 -1,7407 -1,7543 -1,6560 -1,5101 -1,3869 -1,3378 -1,3864 -1,5319 -1,7461 -1,9703 -2,1281 -2,1529 -2,0199 -1,7701 -1,4868 -1,2480 -1,0930 -1,0200 -0,9907 -0,9475 -0,8421 -0,6608 -0,4218 -0,1626 0,0837 0,2971 0,4732 0,6206 0,7502 0,8625 0,9410 0,9665 0,9406 0,8837 0,8121 0,7206 0,5875 0,3904 0,1226 -0,1840 -0,4657 -0,6697 -0,7829 -0,8273 -0,8345 -0,8324 -0,8402 -0,8665 -0,9070 -0,9530 -1,0007 -1,0550 -1,1198 -1,1849 -1,2278 -1,2253 -1,1673 -1,0631 -0,9437 -0,8559 -0,8431 -0,9178 -1,0530 -1,2067 -1,3558 -1,5083 -1,6815 -1,8705 -2,0310 -2,0992 -2,0284 -1,8225 -1,5369 -1,2534 -1,0435 -0,9301 -0,8856 -0,8587 -0,8149 -0,7556 -0,7137 -0,7283 -0,8240 -1,0015 -1,2345 -1,4739 -1,6707 -1,8113 -1,9235 -2,0469 -2,2037 -2,3802 -2,5250 -2,5778 -2,5119 -2,3600 -2,1872 -2,0545 -1,9927 -2,0033 -2,0628 -2,1329 -2,1812 -2,1981 -2,2000 -2,2071 -2,2254 -2,2492 -2,2628 -2,2437 -2,1697 -2,0233 -1,7934 -1,4851 -1,1310 -0,7900 -0,5217 -0,3588 -0,2949 -0,2950 -0,3147 -0,3228 -0,3155 -0,3215 -0,3897 -0,5618 -0,8461 -1,2098 -1,5871 -1,9004 -2,0934 -2,1546 -2,1002 -1,9460 -1,7146 -1,4554 -1,2396 -1,1344 -1,1762 -1,3596 -1,6427 -1,9682 -2,2786 -2,5245 -2,6723 -2,7131 -2,6650 -2,5603 -2,4272 -2,2825 -2,1380 -2,0068 -1,8998 -1,8195 -1,7638 -1,7369 -1,7560 -1,8456 -2,0203 -2,2631 -2,5272 -2,7556 -2,9071 -2,9721 -2,9721 -2,9441 -2,9174 -2,8993 -2,8819 -2,8574 -2,8267 -2,7948 -2,7633 -2,7266 -2,6760 -2,6069 -2,5223 -2,4278 -2,3197 -2,1868 -2,0195 -1,8260 -1,6332 -1,4734 -1,3634 -1,2912 -1,2221 -1,1214 -0,9718 -0,7705 -0,5180 -0,2232 0,0866 0,3713 0,6008 0,7663 0,8716 0,9166 0,9015 0,8386 0,7551 0,6781 0,6238 0,5984 0,6010 0,6254 0,6616 0,6934 0,6975 0,6551 0,5649 0,4435 0,3159 0,2057 0,1191 0,0342 -0,1005 -0,3412 -0,7062 -1,1477 -1,5645 -1,8575 -1,9734 -1,9166 -1,7434 -1,5508 -1,4517 -1,5302 -1,8037 -2,2201 -2,6828 -3,0937 -3,3927 -3,5717 -3,6686 -3,7407 -3,8396 -3,9923 -4,1888 -4,3853 -4,5186 -4,5393 -4,4467 -4,2856 -4,1144 -3,9746 -3,8856 -3,8476 -3,8504 -3,8773 -3,9081 -3,9195 -3,8815 -3,7630 -3,5490 -3,2576 -2,9355 -2,6423 -2,4303 -2,3209 -2,2889 -2,2723 -2,2081 -2,0737 -1,8963 -1,7250 -1,5983 -1,5327
