Fp1   0,1771 0,1458 0,1076 0,0684 0,0369 0,0230 0,0272 0,0387 0,0409 0,0169 -0,0444 -0,1426 -0,2633 -0,3821 -0,4776 -0,5443 -0,5914 -0,6269 -0,6476 -0,6502 -0,6425 -0,6401 -0,6550 -0,6910 -0,7420 -0,7944 -0,8307 -0,8326 -0,7829 -0,6726 -0,5096 -0,3155 -0,1144 0,0729 0,2314 0,3582 0,4598 0,5385 0,5856 0,5992 0,6015 0,6297 0,7102 0,8411 0,9888 1,1062 1,1569 1,1271 1,0248 0,8789 0,7344 0,6334 0,5940 0,6068 0,6512 0,7105 0,7713 0,8161 0,8290 0,8069 0,7620 0,7111 0,6593 0,5892 0,4710 0,2831 0,0298 -0,2568 -0,5368 -0,7808 -0,9707 -1,0914 -1,1315 -1,0876 -0,9648 -0,7774 -0,5491 -0,3102 -0,0941 0,0630 0,1301 0,0979 -0,0141 -0,1686 -0,3269 -0,4640 -0,5735 -0,6650 -0,7577 -0,8687 -0,9927 -1,0969 -1,1424 -1,1129 -1,0279 -0,9326 -0,8758 -0,8871 -0,9737 -1,1285 -1,3303 -1,5399 -1,7110 -1,8107 -1,8297 -1,7810 -1,6966 -1,6213 -1,5958 -1,6377 -1,7405 -1,8856 -2,0498 -2,2049 -2,3215 -2,3774 -2,3596 -2,2674 -2,1212 -1,9675 -1,8642 -1,8516 -1,9364 -2,0968 -2,2941 -2,4785 -2,6011 -2,6323 -2,5682 -2,4263 -2,2437 -2,0730 -1,9606 -1,9196 -1,9219 -1,9163 -1,8552 -1,7109 -1,4769 -1,1620 -0,7847 -0,3667 0,0752 0,5294 0,9843 1,4313 1,8664 2,2833 2,6669 3,0020 3,2896 3,5534 3,8258 4,1236 4,4352 4,7297 4,9809 5,1894 5,3842 5,6042 5,8778 6,2136 6,6000 7,0108 7,4139 7,7788 8,0761 8,2804 8,3842 8,4092 8,3931 8,3617 8,3199 8,2649 8,1969 8,1149 8,0138 7,8879 7,7365 7,5642 7,3753 7,1663 6,9276 6,6501 6,3294 5,9659 5,5634 5,1303 4,6837 4,2486 3,8493 3,5026 3,2210 3,0166 2,8954 2,8512 2,8672 2,9254 3,0136 3,1236 3,2454 3,3699 3,4951 3,6241 3,7562 3,8819 3,9842 4,0465 4,0601 4,0289 3,9684 3,8992 3,8355 3,7767 3,7152 3,6531 3,6015 3,5624 3,5122 3,4110 3,2347 2,9973 2,7353 2,4776 2,2371 2,0244 1,8521 1,7259 1,6415 1,5850 1,5358 1,4726 1,3828 1,2687 1,1443 1,0222 0,9058 0,7940 0,6860 0,5825 0,4838 0,3876 0,2875 0,1750 0,0433 -0,1053 -0,2483 -0,3470 -0,3722 -0,3249 -0,2279 -0,1009 0,0520 0,2297 0,4170 0,5858 0,7096 0,7763 0,7909 0,7660 0,7095 0,6289 0,5416 0,4640 0,3915 0,3020 0,1813 0,0444 -0,0732 -0,1424 -0,1507 -0,0962 0,0143 0,1579 0,3021 0,4253 0,5282 0,6245 0,7312 0,8636 1,0299 1,2210 1,4060 1,5425 1,5979 1,5661 1,4698 1,3461 1,2220 1,1023 0,9847 0,8797 0,8053 0,7666 0,7495 0,7343 0,7109 0,6770 0,6289 0,5588 0,4635 0,3570 0,2700 0,2306 0,2494 0,3245 0,4499 0,6132 0,7918 0,9571 1,0804 1,1414 1,1392 1,0910 1,0180 0,9336 0,8438 0,7581 0,6884 0,6368 0,5931 0,5475 0,4985 0,4534 0,4282 0,4420 0,5026 0,5974 0,6962 0,7689 0,8075 0,8270 0,8474 0,8827 0,9453 1,0509 1,2134 1,4307 1,6742 1,8963 2,0502 2,1036 2,0419 1,8730 1,6287 1,3562 1,1009 0,8971 0,7665 0,7187 0,7515 0,8541 1,0117 1,2085 1,4306 1,6621 1,8770 2,0391 2,1162 2,0970 1,9966 1,8454 1,6688 1,4774 1,2761 1,0763 0,8976 0,7611 0,6805 0,6533 0,6650 0,7031 0,7646 0,8530 0,9736 1,1283 1,3062 1,4763 1,5975 1,6436 1,6205 1,5591 1,4929 1,4428 1,4185 1,4197 1,4346 1,4506 1,4675 1,4939 1,5351 1,5921 1,6697 1,7811 1,9422 2,1547 2,3975 2,6323 2,8181 2,9239 2,9342 2,8537 2,7172 2,5864 2,5186 2,5355 2,6187 2,7223 2,7909 2,7830 2,6877 2,5269 2,3428 2,1782 2,0599 1,9939 1,9697 1,9751 2,0094 2,0800 2,1921 2,3412 2,5105 2,6743 2,8095 2,9089 2,9896 3,0810 3,1972 3,3239 3,4281 3,4750 3,4421 3,3316 3,1707 2,9952 2,8299 2,6831 2,5542 2,4432 2,3545 2,2938 2,2648 2,2671 2,2914 2,3189 2,3327 2,3341 2,3433 2,3855 2,4742 2,6002 2,7369 2,8606 2,9645 3,0516 3,1178 3,1536 3,1596 3,1515 3,1453 3,1414 3,1253 3,0843 3,0156 2,9260 2,8316 2,7549 2,7142 2,7095 2,7238 2,7417 2,7603 2,7808 2,7978 2,7963 2,7542 2,6491 2,4711 2,2290 1,9415 1,6266 1,3035 0,9948 0,7192 0,4813 0,2725 0,0804 -0,1009 -0,2713 -0,4356 -0,6089 -0,8055 -1,0209 -1,2260 -1,3866 -1,4907 -1,5479 -1,5646 -1,5317 -1,4387 -1,2866 -1,0848 -0,8435 -0,5764 -0,3089 -0,0763 0,0958 0,2155 0,3279 0,4910 0,7368 1,0496 1,3811 1,6799 1,9100 2,0603 2,1491 2,2141 2,2900 2,3949 2,5344 2,7134 2,9392 3,2131 3,5245 3,8549 4,1874 4,5135 4,8285 5,1168 5,3466 5,4864 5,5235 5,4663 5,3361 5,1605 4,9659 4,7714 4,5921 4,4466 4,3500 4,3028 4,2956 4,3242 4,3900 4,4871 4,5968 4,6943 4,7563 4,7565 4,6609 4,4402 4,0863 3,6188 3,0839 2,5426 2,0423 1,5943 1,1871 0,8186 0,5036 0,2608 0,1031 0,0319 0,0302 0,0687 0,1253 0,1986 0,3004 0,4322 0,5680 0,6641 0,6893 0,6517 0,5943 0,5623 0,5739 0,6205 0,6917 0,7928 0,9353 1,1146 1,3033 1,4683 1,5926 1,6857 1,7799 1,9124 2,0997 2,3264 2,5576 2,7550 2,8824 2,9118 2,8399 2,6974 2,5361 2,3994 2,3014
Fz    0,4228 0,3802 0,3303 0,2871 0,2607 0,2581 0,2836 0,3384 0,4169 0,5015 0,5655 0,5887 0,5652 0,4972 0,3876 0,2374 0,0459 -0,1831 -0,4382 -0,7063 -0,9708 -1,2066 -1,3874 -1,5015 -1,5546 -1,5575 -1,5142 -1,4204 -1,2698 -1,0625 -0,8150 -0,5626 -0,3460 -0,1896 -0,0900 -0,0239 0,0336 0,0934 0,1512 0,2056 0,2755 0,3917 0,5729 0,8077 1,0534 1,2563 1,3839 1,4334 1,4184 1,3559 1,2636 1,1560 1,0406 0,9195 0,8020 0,7109 0,6648 0,6561 0,6549 0,6361 0,5964 0,5476 0,4997 0,4501 0,3817 0,2743 0,1242 -0,0475 -0,2081 -0,3324 -0,4094 -0,4386 -0,4235 -0,3639 -0,2566 -0,1026 0,0895 0,3040 0,5175 0,6987 0,8148 0,8409 0,7696 0,6156 0,4077 0,1735 -0,0697 -0,3108 -0,5418 -0,7550 -0,9351 -1,0583 -1,1083 -1,0904 -1,0367 -0,9976 -1,0173 -1,1115 -1,2713 -1,4834 -1,7324 -1,9928 -2,2296 -2,4087 -2,5090 -2,5327 -2,5096 -2,4931 -2,5350 -2,6517 -2,8195 -2,9978 -3,1447 -3,2239 -3,2173 -3,1363 -3,0095 -2,8636 -2,7187 -2,5993 -2,5398 -2,5735 -2,7098 -2,9230 -3,1575 -3,3459 -3,4365 -3,4163 -3,3059 -3,1390 -2,9532 -2,7844 -2,6509 -2,5444 -2,4383 -2,2993 -2,0997 -1,8302 -1,4992 -1,1188 -0,6976 -0,2433 0,2350 0,7240 1,2052 1,6672 2,1189 2,5800 3,0594 3,5455 4,0166 4,4560 4,8610 5,2376 5,5878 5,8993 6,1487 6,3232 6,4431 6,5551 6,7035 6,9136 7,1910 7,5211 7,8744 8,2191 8,5340 8,8143 9,0718 9,3245 9,5811 9,8318 10,0534 10,2211 10,3134 10,3147 10,2195 10,0336 9,7749 9,4744 9,1675 8,8777 8,6114 8,3628 8,1194 7,8675 7,5968 7,2964 6,9542 6,5704 6,1695 5,7919 5,4717 5,2209 5,0335 4,9001 4,8181 4,7916 4,8248 4,9115 5,0311 5,1589 5,2759 5,3678 5,4210 5,4224 5,3637 5,2486 5,0925 4,9147 4,7359 4,5781 4,4568 4,3698 4,3024 4,2383 4,1673 4,0814 3,9675 3,8087 3,6010 3,3659 3,1393 2,9488 2,8038 2,7037 2,6449 2,6164 2,5940 2,5467 2,4537 2,3170 2,1602 2,0191 1,9253 1,8872 1,8842 1,8872 1,8793 1,8597 1,8335 1,7991 1,7474 1,6762 1,5905 1,4883 1,3604 1,2081 1,0473 0,8938 0,7548 0,6410 0,5725 0,5676 0,6287 0,7423 0,8884 1,0474 1,2000 1,3206 1,3810 1,3635 1,2704 1,1238 0,9583 0,8092 0,6972 0,6271 0,5970 0,6043 0,6501 0,7381 0,8674 1,0267 1,1990 1,3696 1,5313 1,6889 1,8594 2,0593 2,2868 2,5235 2,7485 2,9462 3,1034 3,2081 3,2545 3,2439 3,1823 3,0787 2,9487 2,8167 2,7107 2,6502 2,6382 2,6654 2,7209 2,7920 2,8572 2,8896 2,8683 2,7914 2,6830 2,5803 2,5125 2,4955 2,5370 2,6341 2,7689 2,9125 3,0351 3,1179 3,1614 3,1807 3,1891 3,1803 3,1316 3,0249 2,8644 2,6716 2,4677 2,2667 2,0791 1,9154 1,7890 1,7118 1,6841 1,6917 1,7150 1,7406 1,7676 1,8037 1,8558 1,9280 2,0292 2,1778 2,3932 2,6749 2,9904 3,2868 3,5117 3,6263 3,6129 3,4797 3,2565 2,9823 2,6959 2,4341 2,2261 2,0870 2,0210 2,0288 2,1061 2,2452 2,4381 2,6718 2,9206 3,1451 3,3021 3,3627 3,3261 3,2149 3,0559 2,8650 2,6467 2,4089 2,1776 1,9922 1,8843 1,8601 1,9018 1,9842 2,0903 2,2163 2,3693 2,5559 2,7699 2,9849 3,1558 3,2390 3,2176 3,1098 2,9577 2,8042 2,6754 2,5731 2,4826 2,3929 2,3093 2,2449 2,2090 2,2091 2,2577 2,3694 2,5450 2,7559 2,9498 3,0775 3,1187 3,0860 3,0064 2,9024 2,7966 2,7164 2,6794 2,6830 2,7115 2,7445 2,7601 2,7421 2,6897 2,6186 2,5510 2,5032 2,4777 2,4605 2,4265 2,3617 2,2796 2,2109 2,1822 2,2035 2,2676 2,3535 2,4372 2,5110 2,5931 2,7098 2,8669 3,0441 3,2104 3,3416 3,4275 3,4711 3,4811 3,4564 3,3821 3,2493 3,0776 2,9063 2,7683 2,6752 2,6242 2,6094 2,6253 2,6677 2,7391 2,8511 3,0184 3,2492 3,5347 3,8424 4,1225 4,3288 4,4411 4,4658 4,4170 4,3082 4,1607 4,0073 3,8766 3,7745 3,6821 3,5689 3,4098 3,2018 2,9708 2,7620 2,6159 2,5458 2,5363 2,5626 2,6085 2,6700 2,7456 2,8228 2,8782 2,8905 2,8494 2,7549 2,6103 2,4178 2,1791 1,8978 1,5830 1,2534 0,9353 0,6533 0,4253 0,2618 0,1615 0,1072 0,0693 0,0205 -0,0503 -0,1386 -0,2388 -0,3461 -0,4437 -0,5004 -0,4878 -0,3954 -0,2247 0,0203 0,3242 0,6495 0,9460 1,1763 1,3375 1,4598 1,5816 1,7243 1,8873 2,0615 2,2392 2,4124 2,5707 2,7090 2,8312 2,9426 3,0442 3,1426 3,2574 3,4163 3,6363 3,9121 4,2213 4,5447 4,8792 5,2236 5,5522 5,8144 5,9692 6,0151 5,9820 5,9022 5,7953 5,6683 5,5260 5,3877 5,2921 5,2777 5,3624 5,5440 5,8106 6,1372 6,4771 6,7672 6,9494 6,9861 6,8597 6,5656 6,1151 5,5392 4,8908 4,2387 3,6489 3,1556 2,7485 2,3951 2,0744 1,7908 1,5648 1,4168 1,3526 1,3595 1,4130 1,4910 1,5825 1,6850 1,7889 1,8662 1,8795 1,8123 1,6888 1,5660 1,5030 1,5275 1,6255 1,7625 1,9119 2,0619 2,2064 2,3399 2,4606 2,5692 2,6696 2,7758 2,9108 3,0904 3,3127 3,5634 3,8190 4,0465 4,2137 4,3090 4,3462 4,3454 4,3154 4,2545
F3    0,1688 0,0963 0,0521 0,0591 0,1179 0,2079 0,3059 0,3997 0,4817 0,5389 0,5562 0,5256 0,4505 0,3431 0,2175 0,0792 -0,0761 -0,2510 -0,4405 -0,6410 -0,8499 -1,0498 -1,2042 -1,2740 -1,2394 -1,1096 -0,9157 -0,6957 -0,4822 -0,2984 -0,1596 -0,0731 -0,0384 -0,0482 -0,0864 -0,1303 -0,1622 -0,1837 -0,2114 -0,2502 -0,2757 -0,2438 -0,1151 0,1265 0,4622 0,8442 1,2190 1,5419 1,7821 1,9291 1,9967 2,0058 1,9663 1,8772 1,7426 1,5829 1,4245 1,2772 1,1299 0,9689 0,7995 0,6440 0,5248 0,4486 0,3980 0,3367 0,2324 0,0790 -0,0984 -0,2562 -0,3522 -0,3647 -0,2978 -0,1712 -0,0060 0,1822 0,3801 0,5703 0,7309 0,8410 0,8898 0,8813 0,8305 0,7610 0,6995 0,6607 0,6373 0,6058 0,5389 0,4190 0,2532 0,0757 -0,0698 -0,1557 -0,1849 -0,1901 -0,2111 -0,2686 -0,3604 -0,4774 -0,6117 -0,7544 -0,8933 -1,0089 -1,0762 -1,0796 -1,0316 -0,9773 -0,9729 -1,0497 -1,1979 -1,3804 -1,5548 -1,6866 -1,7534 -1,7474 -1,6764 -1,5653 -1,4569 -1,4014 -1,4377 -1,5773 -1,7986 -2,0553 -2,2940 -2,4712 -2,5675 -2,5898 -2,5544 -2,4703 -2,3448 -2,1943 -2,0423 -1,9145 -1,8295 -1,7834 -1,7472 -1,6827 -1,5554 -1,3364 -1,0058 -0,5639 -0,0359 0,5393 1,1291 1,7183 2,3059 2,8898 3,4520 3,9623 4,3975 4,7596 5,0712 5,3553 5,6184 5,8500 6,0347 6,1707 6,2825 6,4149 6,6095 6,8839 7,2260 7,6055 7,9878 8,3423 8,6465 8,8890 9,0734 9,2143 9,3281 9,4261 9,5097 9,5716 9,5996 9,5809 9,5052 9,3678 9,1690 8,9173 8,6325 8,3398 8,0571 7,7878 7,5255 7,2657 7,0090 6,7506 6,4743 6,1651 5,8285 5,4950 5,2009 4,9615 4,7671 4,6008 4,4582 4,3524 4,3049 4,3301 4,4273 4,5849 4,7840 4,9994 5,2041 5,3767 5,5006 5,5610 5,5488 5,4661 5,3303 5,1743 5,0367 4,9411 4,8826 4,8350 4,7706 4,6710 4,5211 4,3036 4,0145 3,6823 3,3588 3,0895 2,8948 2,7729 2,7072 2,6683 2,6207 2,5360 2,4023 2,2277 2,0429 1,8956 1,8302 1,8675 1,9987 2,1918 2,4002 2,5733 2,6713 2,6714 2,5719 2,3959 2,1840 1,9710 1,7746 1,5984 1,4354 1,2711 1,0966 0,9249 0,7886 0,7187 0,7273 0,8074 0,9436 1,1195 1,3145 1,5007 1,6502 1,7463 1,7860 1,7731 1,7136 1,6154 1,4893 1,3540 1,2339 1,1468 1,0978 1,0882 1,1239 1,2100 1,3411 1,5023 1,6774 1,8576 2,0480 2,2618 2,5056 2,7688 3,0251 3,2417 3,3936 3,4749 3,5005 3,4934 3,4695 3,4338 3,3886 3,3405 3,2970 3,2563 3,2050 3,1269 3,0143 2,8698 2,7016 2,5215 2,3463 2,1991 2,1022 2,0630 2,0684 2,1020 2,1620 2,2514 2,3597 2,4595 2,5197 2,5255 2,4891 2,4408 2,4064 2,3892 2,3696 2,3209 2,2247 2,0750 1,8771 1,6470 1,4114 1,2053 1,0628 1,0017 1,0156 1,0805 1,1647 1,2378 1,2846 1,3123 1,3425 1,4037 1,5279 1,7457 2,0724 2,4898 2,9417 3,3511 3,6467 3,7811 3,7390 3,5377 3,2217 2,8481 2,4661 2,1102 1,8034 1,5608 1,3910 1,2990 1,2888 1,3645 1,5272 1,7673 2,0579 2,3517 2,5873 2,7109 2,7035 2,5868 2,3977 2,1623 1,8906 1,5914 1,2896 1,0279 0,8488 0,7729 0,7936 0,8879 1,0307 1,2028 1,3931 1,5953 1,8018 1,9935 2,1342 2,1846 2,1294 1,9876 1,8007 1,6135 1,4600 1,3541 1,2905 1,2589 1,2550 1,2758 1,3138 1,3589 1,4036 1,4473 1,4927 1,5374 1,5726 1,5913 1,5999 1,6187 1,6692 1,7592 1,8830 2,0265 2,1678 2,2834 2,3569 2,3753 2,3240 2,1993 2,0209 1,8295 1,6713 1,5795 1,5580 1,5758 1,5825 1,5407 1,4493 1,3394 1,2512 1,2133 1,2340 1,3033 1,4036 1,5219 1,6584 1,8197 2,0017 2,1820 2,3341 2,4466 2,5281 2,5958 2,6581 2,7039 2,7073 2,6474 2,5248 2,3623 2,1910 2,0363 1,9159 1,8462 1,8440 1,9150 2,0469 2,2187 2,4166 2,6415 2,8981 3,1736 3,4338 3,6420 3,7785 3,8401 3,8298 3,7517 3,6157 3,4422 3,2582 3,0865 2,9379 2,8091 2,6866 2,5572 2,4205 2,2952 2,2081 2,1727 2,1827 2,2249 2,2878 2,3560 2,4057 2,4138 2,3688 2,2738 2,1422 1,9936 1,8444 1,6971 1,5421 1,3669 1,1628 0,9264 0,6624 0,3902 0,1417 -0,0534 -0,1822 -0,2520 -0,2837 -0,3001 -0,3137 -0,3283 -0,3501 -0,3876 -0,4383 -0,4820 -0,4928 -0,4525 -0,3485 -0,1721 0,0712 0,3521 0,6252 0,8517 1,0164 1,1308 1,2214 1,3120 1,4133 1,5255 1,6425 1,7539 1,8536 1,9459 2,0424 2,1533 2,2858 2,4488 2,6616 2,9489 3,3192 3,7516 4,2076 4,6529 5,0702 5,4502 5,7733 6,0063 6,1241 6,1263 6,0327 5,8709 5,6728 5,4687 5,2786 5,1164 5,0041 4,9721 5,0412 5,2075 5,4410 5,6919 5,8988 6,0004 5,9517 5,7347 5,3574 4,8484 4,2499 3,6084 2,9670 2,3643 1,8355 1,4037 1,0686 0,8117 0,6155 0,4746 0,3913 0,3706 0,4137 0,5111 0,6420 0,7863 0,9385 1,1087 1,3008 1,4909 1,6343 1,6977 1,6854 1,6365 1,5986 1,5997 1,6405 1,7068 1,7866 1,8745 1,9646 2,0410 2,0801 2,0649 2,0032 1,9324 1,9011 1,9451 2,0751 2,2823 2,5445 2,8270 3,0898 3,3045 3,4649 3,5773 3,6427 3,6522
F7    -0,3655 -0,6767 -0,9310 -1,0405 -0,9725 -0,7677 -0,4979 -0,2090 0,0850 0,3650 0,5856 0,6918 0,6541 0,4953 0,2844 0,0999 -0,0081 -0,0389 -0,0445 -0,0995 -0,2436 -0,4429 -0,6132 -0,6784 -0,6117 -0,4370 -0,2147 -0,0204 0,0853 0,0828 -0,0041 -0,1232 -0,2212 -0,2747 -0,2947 -0,2846 -0,2119 -0,0470 0,1840 0,4197 0,6238 0,7930 0,9212 0,9867 0,9646 0,8419 0,6335 0,3866 0,1648 0,0262 0,0067 0,1096 0,3092 0,5648 0,8254 1,0317 1,1413 1,1528 1,1003 1,0309 0,9843 0,9817 1,0250 1,0967 1,1562 1,1418 0,9963 0,7080 0,3215 -0,0930 -0,4767 -0,8002 -1,0559 -1,2338 -1,3105 -1,2700 -1,1254 -0,9093 -0,6530 -0,3828 -0,1226 0,1146 0,3343 0,5504 0,7619 0,9420 1,0607 1,1097 1,0922 1,0016 0,8291 0,5886 0,3242 0,0939 -0,0593 -0,1342 -0,1735 -0,2306 -0,3282 -0,4459 -0,5401 -0,5786 -0,5646 -0,5280 -0,4939 -0,4696 -0,4725 -0,5568 -0,7805 -1,1491 -1,6057 -2,0658 -2,4557 -2,7325 -2,8797 -2,8916 -2,7832 -2,6178 -2,4922 -2,4732 -2,5579 -2,6929 -2,8244 -2,9366 -3,0466 -3,1646 -3,2693 -3,3153 -3,2487 -3,0274 -2,6521 -2,1869 -1,7469 -1,4595 -1,4095 -1,5932 -1,9226 -2,2721 -2,5159 -2,5509 -2,3297 -1,8823 -1,2900 -0,6412 -0,0074 0,5627 1,0500 1,4634 1,8223 2,1336 2,3930 2,6135 2,8359 3,1079 3,4646 3,9181 4,4512 5,0145 5,5365 5,9519 6,2316 6,3834 6,4386 6,4484 6,4710 6,5300 6,5913 6,5931 6,5010 6,3391 6,1832 6,1228 6,2101 6,4294 6,7178 7,0159 7,2912 7,5149 7,6447 7,6484 7,5299 7,3106 6,9998 6,5958 6,1016 5,5388 4,9483 4,3736 3,8534 3,4278 3,1244 2,9274 2,7734 2,5915 2,3620 2,1442 2,0305 2,0646 2,2142 2,4177 2,6409 2,8893 3,1707 3,4651 3,7391 3,9726 4,1579 4,2822 4,3202 4,2475 4,0626 3,8016 3,5277 3,3016 3,1549 3,0818 3,0469 3,0137 2,9672 2,9053 2,8209 2,7066 2,5700 2,4278 2,2906 2,1683 2,0800 2,0398 2,0374 2,0432 2,0271 1,9724 1,8779 1,7483 1,5821 1,3697 1,1101 0,8357 0,6099 0,4826 0,4457 0,4502 0,4619 0,4756 0,4913 0,5100 0,5443 0,6099 0,7108 0,8410 0,9950 1,1698 1,3569 1,5345 1,6682 1,7173 1,6493 1,4552 1,1581 0,8130 0,4995 0,2999 0,2600 0,3533 0,4925 0,5839 0,5774 0,4840 0,3653 0,3065 0,3784 0,5986 0,9140 1,2252 1,4434 1,5331 1,5117 1,4290 1,3535 1,3564 1,4854 1,7339 2,0246 2,2479 2,3378 2,3053 2,2000 2,0572 1,8850 1,6907 1,5040 1,3688 1,3182 1,3616 1,4824 1,6358 1,7514 1,7605 1,6375 1,4145 1,1505 0,8945 0,6748 0,5048 0,3804 0,2815 0,1865 0,0890 0,0021 -0,0601 -0,1026 -0,1329 -0,1372 -0,0890 0,0292 0,2062 0,3850 0,4831 0,4473 0,2959 0,1147 0,0054 0,0204 0,1372 0,2907 0,4204 0,4979 0,5315 0,5559 0,6111 0,7109 0,8267 0,9125 0,9492 0,9655 1,0235 1,1869 1,4861 1,8910 2,3179 2,6837 2,9510 3,1105 3,1465 3,0448 2,8120 2,4709 2,0526 1,6111 1,2204 0,9387 0,7866 0,7653 0,8764 1,1120 1,4341 1,7735 2,0524 2,2080 2,2028 2,0311 1,7268 1,3568 0,9984 0,7145 0,5440 0,5008 0,5704 0,7005 0,8085 0,8242 0,7323 0,5719 0,4020 0,2785 0,2562 0,3777 0,6389 0,9823 1,3410 1,6741 1,9682 2,2172 2,4000 2,4766 2,4079 2,1870 1,8631 1,5287 1,2780 1,1694 1,2098 1,3625 1,5763 1,8154 2,0658 2,3156 2,5377 2,7051 2,8236 2,9368 3,0935 3,3147 3,5787 3,8242 3,9759 3,9792 3,8198 3,5244 3,1488 2,7519 2,3708 2,0224 1,7269 1,5260 1,4680 1,5652 1,7709 2,0043 2,1979 2,3251 2,4010 2,4588 2,5279 2,6265 2,7586 2,9132 3,0736 3,2169 3,3094 3,3222 3,2503 3,1108 2,9318 2,7454 2,5813 2,4566 2,3687 2,3007 2,2436 2,2140 2,2418 2,3404 2,5041 2,7260 3,0017 3,3217 3,6716 4,0266 4,3419 4,5651 4,6605 4,6265 4,4998 4,3324 4,1454 3,9105 3,5903 3,1904 2,7636 2,3714 2,0560 1,8503 1,7911 1,8914 2,1106 2,3809 2,6590 2,9313 3,1890 3,4269 3,6508 3,8561 4,0058 4,0473 3,9512 3,7321 3,4299 3,0830 2,7273 2,3999 2,1285 1,9211 1,7681 1,6451 1,5198 1,3644 1,1663 0,9291 0,6645 0,3847 0,1047 -0,1507 -0,3525 -0,4866 -0,5678 -0,6288 -0,6873 -0,7232 -0,6976 -0,5900 -0,4148 -0,2074 0,0034 0,2178 0,4566 0,7363 1,0642 1,4440 1,8618 2,2715 2,6096 2,8355 2,9601 3,0261 3,0601 3,0591 3,0162 2,9422 2,8662 2,8271 2,8646 3,0136 3,3046 3,7525 4,3333 4,9787 5,6061 6,1544 6,5931 6,9015 7,0541 7,0394 6,8790 6,6189 6,3128 6,0166 5,7832 5,6513 5,6377 5,7379 5,9272 6,1665 6,4185 6,6509 6,8262 6,9020 6,8438 6,6323 6,2716 5,7994 5,2803 4,7786 4,3353 3,9585 3,6295 3,3332 3,0786 2,8727 2,6932 2,4994 2,2546 1,9400 1,5701 1,1948 0,8776 0,6703 0,5989 0,6625 0,8396 1,0915 1,3635 1,5875 1,6983 1,6633 1,5008 1,2676 1,0327 0,8651 0,8302 0,9695 1,2741 1,6873 2,1302 2,5208 2,7907 2,9069 2,8844 2,7863 2,7023 2,7062 2,8167 2,9916 3,1563 3,2478 3,2455 3,1756 3,0912 3,0337 3,0035
