Fp1   1,1281 1,1969 1,2068 1,2444 1,3690 1,5646 1,7752 1,9439 2,0349 2,0408 1,9635 1,8132 1,6432 1,5503 1,5987 1,7316 1,7899 1,6435 1,2891 0,8218 0,3491 -0,0525 -0,3332 -0,4713 -0,4754 -0,3672 -0,1839 -0,0102 0,0300 -0,1483 -0,5324 -1,0419 -1,5727 -2,0153 -2,2937 -2,3926 -2,3287 -2,1313 -1,8654 -1,6392 -1,5496 -1,6007 -1,6890 -1,6903 -1,5526 -1,3081 -1,0157 -0,7192 -0,4603 -0,2877 -0,2230 -0,2407 -0,2953 -0,3462 -0,3550 -0,2783 -0,0733 0,2729 0,6848 0,9866 1,0256 0,8255 0,5712 0,4402 0,4752 0,5975 0,6967 0,6955 0,5702 0,3558 0,1360 -0,0106 -0,0731 -0,0985 -0,1261 -0,1549 -0,1571 -0,0979 0,0493 0,2959 0,6197 0,9365 1,1237 1,1188 0,9775 0,8192 0,7352 0,7463 0,8131 0,8842 0,9642 1,1248 1,4366 1,9018 2,4413 2,9213 3,2065 3,2059 2,8896 2,2920 1,5030 0,6369 -0,2024 -0,9564 -1,6363 -2,3085 -3,0493 -3,9083 -4,8898 -5,9501 -7,0035 -7,9348 -8,6488 -9,1195 -9,3491 -9,3083 -8,9664 -8,3385 -7,4718 -6,4126 -5,2126 -3,9563 -2,7503 -1,6605 -0,6691 0,3006 1,3159 2,3846 3,4655 4,5141 5,5210 6,5178 7,5450 8,6232 9,7485 10,8905 11,9898 12,9701 13,7608 14,3309 14,7154 14,9881 15,1930 15,3153 15,3088 15,1360 14,7956 14,3383 13,8502 13,3932 12,9536 12,4671 11,8923 11,2392 10,5425 9,8414 9,1777 8,6011 8,1496 7,8176 7,5657 7,3718 7,2376 7,1401 7,0106 6,7848 6,4610 6,0931 5,7300 5,3856 5,0600 4,7648 4,5320 4,4095 4,4433 4,6484 4,9831 5,3523 5,6535 5,8297 5,8776 5,8175 5,6795 5,5188 5,4147 5,4334 5,5954 5,8666 6,1727 6,4421 6,6484 6,8035 6,9135 6,9498 6,8667 6,6448 6,2977 5,8507 5,3486 4,8602 4,4415 4,0968 3,7824 3,4551 3,1240 2,8448 2,6676 2,6003 2,6080 2,6400 2,6742 2,7337 2,8406 2,9591 2,9824 2,7923 2,3756 1,8749 1,4821 1,3039 1,3546 1,6172 2,0600 2,6196 3,2103 3,7620 4,2555 4,7237 5,2121 5,7327 6,2556 6,7457 7,1890 7,5613 7,7898 7,7763 7,4736 6,9342 6,2733 5,5979 4,9829 4,4812 4,1262 3,9386 3,9346 4,1147 4,4422 4,8416 5,2228 5,5071 5,6468 5,6329 5,4856 5,2418 4,9440 4,6300 4,3238 4,0329 3,7583 3,5115 3,3047 3,1237 2,9374 2,7334 2,5189 2,2916 2,0388 1,7700 1,5293 1,3694 1,3275 1,4221 1,6550 2,0031 2,4205 2,8560 3,2599 3,5819 3,7914 3,9033 3,9695 4,0497 4,1903 4,4164 4,7297 5,1045 5,4963 5,8676 6,1821 6,3726 6,3588 6,1149 5,6985 5,2255 4,8325 4,6338 4,6761 4,9180 5,2613 5,6222 5,9671 6,2704 6,4726 6,5089 6,3646 6,0803 5,7128 5,3160 4,9412 4,6241 4,3674 4,1495 3,9514 3,7756 3,6328 3,5193 3,4282 3,3664 3,3443 3,3610 3,4034 3,4613 3,5438 3,6765 3,8873 4,1907 4,5735 4,9847 5,3424 5,5740 5,6485 5,5682 5,3506 5,0298 4,6643 4,3378 4,1383 4,1074 4,2073 4,3436 4,4191 4,3823 4,2438 4,0489 3,8308 3,5899 3,3150 3,0167 2,7350 2,5104 2,3518 2,2440 2,1749 2,1353 2,1034 2,0516 1,9621 1,8283 1,6513 1,4552 1,3006 1,2582 1,3608 1,5881 1,8885 2,2109 2,5277 2,8424 3,1803 3,5550 3,9347 4,2481 4,4276 4,4489 4,3505 4,2110 4,0901 3,9900 3,8785 3,7387 3,5827 3,4225 3,2404 2,9863 2,6094 2,1176 1,5862 1,0851 0,6188 0,1502 -0,3392 -0,8115 -1,1722 -1,3163 -1,1998 -0,8724 -0,4488 -0,0537 0,2290 0,3803 0,4308 0,4221 0,3865 0,3566 0,3757 0,5024 0,7988 1,2918 1,9339 2,6240 3,2775 3,8631 4,3755 4,8011 5,1131 5,2761 5,2520 5,0178 4,5828 3,9878 3,2835 2,5086 1,6982 0,9049 0,1879 -0,4182 -0,9000 -1,2460 -1,4516 -1,5333 -1,5240 -1,4554 -1,3396 -1,1710 -0,9396 -0,6417 -0,2965 0,0480 0,3424 0,5600 0,6935 0,7535 0,7772 0,8197 0,9255 1,1099 1,3679 1,6883 2,0325 2,3025 2,3694 2,1542 1,6870 1,0929 0,5062 -0,0028 -0,4257 -0,7754 -1,0458 -1,1911 -1,1587 -0,9390 -0,5638 -0,0842 0,4376 0,9547 1,4640 1,9900 2,5389 3,0715 3,5179 3,8226 3,9843 4,0567 4,1037 4,1507 4,1769 4,1519 4,0781 3,9866 3,8924 3,7749 3,6012 3,3505 3,0077 2,5519 1,9624 1,2340 0,3942 -0,4897 -1,3245 -2,0224 -2,5365 -2,8755 -3,0843 -3,2058 -3,2721 -3,3223 -3,3958 -3,5063 -3,6367 -3,7394 -3,7365 -3,5549 -3,1760 -2,6473 -2,0466 -1,4366 -0,8467 -0,2901 0,2121 0,6349 0,9884 1,3297 1,7224 2,2035 2,7900 3,4901 4,3021 5,2048 6,1462 7,0516 7,8608 8,5680 9,2142 9,8397 10,4482 10,9963 11,4060 11,6061 11,5787 11,3735 11,0806 10,7798 10,5010 10,2190 9,8879 9,4867 9,0266 8,5122 7,9241 7,2525 6,5249 5,7895 5,0844 4,4266 3,8202 3,2729 2,7989 2,4070 2,0898 1,8155 1,5375 1,2372 0,9418 0,6790 0,4416 0,2100 -0,0195 -0,2382 -0,4436 -0,6487 -0,8810 -1,1742 -1,5535 -2,0188 -2,5484 -3,1092 -3,6508 -4,0988 -4,3733 -4,4286 -4,2936 -4,0612 -3,8147 -3,5711 -3,3000 -2,9725 -2,5930 -2,2056 -1,8702 -1,6241 -1,4613 -1,3332 -1,1687 -0,9034 -0,5021 0,0297 0,6494 1,2962 1,9109 2,4401 2,8400 3,0896 3,1999 3,2069 3,1599 3,1190 3,1492 3,3077
Fz    4,2118 4,4048 4,6015 4,8108 5,0194 5,1823 5,2578 5,2313 5,1080 4,8971 4,6030 4,2353 3,8273 3,4309 3,0798 2,7500 2,3666 1,8640 1,2347 0,5196 -0,2294 -0,9630 -1,6266 -2,1618 -2,5241 -2,6983 -2,7119 -2,6380 -2,5700 -2,5815 -2,7064 -2,9496 -3,2912 -3,6753 -4,0257 -4,2770 -4,3869 -4,3398 -4,1572 -3,8954 -3,6164 -3,3460 -3,0595 -2,7117 -2,2773 -1,7648 -1,2023 -0,6221 -0,0623 0,4359 0,8473 1,1738 1,4373 1,6685 1,9030 2,1762 2,5134 2,9094 3,3041 3,5881 3,6669 3,5328 3,2612 2,9404 2,6184 2,3085 2,0143 1,7295 1,4334 1,1140 0,7882 0,4857 0,2185 -0,0193 -0,2274 -0,3899 -0,4815 -0,4747 -0,3486 -0,0982 0,2544 0,6471 0,9961 1,2454 1,3954 1,4842 1,5549 1,6419 1,7710 1,9666 2,2606 2,6878 3,2562 3,9229 4,5956 5,1608 5,5259 5,6399 5,4820 5,0478 4,3524 3,4364 2,3637 1,2007 -0,0140 -1,2781 -2,6023 -3,9874 -5,4155 -6,8487 -8,2231 -9,4458 -10,4241 -11,1047 -11,4669 -11,4924 -11,1707 -10,5190 -9,5823 -8,4169 -7,0863 -5,6680 -4,2492 -2,8923 -1,5992 -0,3189 0,9992 2,3612 3,7329 5,0787 6,3915 7,6918 9,0024 10,3306 11,6686 12,9950 14,2689 15,4327 16,4266 17,2123 17,7939 18,2125 18,5117 18,7092 18,7970 18,7582 18,5896 18,3180 17,9944 17,6709 17,3744 17,0992 16,8265 16,5464 16,2654 16,0019 15,7766 15,6033 15,4829 15,4008 15,3350 15,2659 15,1697 15,0008 14,6962 14,2138 13,5691 12,8318 12,0846 11,3900 10,7904 10,3126 9,9684 9,7614 9,6940 9,7607 9,9299 10,1370 10,3057 10,3851 10,3660 10,2612 10,0797 9,8291 9,5323 9,2280 8,9554 8,7338 8,5558 8,4037 8,2692 8,1498 8,0361 7,9093 7,7508 7,5584 7,3551 7,1814 7,0816 7,0893 7,2094 7,4161 7,6699 7,9440 8,2448 8,5994 9,0172 9,4674 9,8912 10,2305 10,4544 10,5659 10,5884 10,5404 10,4118 10,1680 9,8008 9,3642 8,9348 8,5565 8,2487 8,0466 7,9987 8,1286 8,4154 8,8110 9,2730 9,7763 10,2982 10,8061 11,2693 11,6740 12,0176 12,2864 12,4445 12,4460 12,2611 11,8942 11,3760 10,7484 10,0648 9,3912 8,7918 8,3191 8,0099 7,8744 7,8896 8,0106 8,1855 8,3615 8,4994 8,5915 8,6585 8,7239 8,7933 8,8599 8,9251 9,0024 9,1036 9,2288 9,3547 9,4262 9,3787 9,1795 8,8419 8,4035 7,9083 7,4086 6,9624 6,6216 6,4232 6,3823 6,4879 6,7142 7,0358 7,4306 7,8694 8,3076 8,6916 8,9804 9,1656 9,2769 9,3647 9,4748 9,6333 9,8399 10,0672 10,2735 10,4135 10,4340 10,2845 9,9503 9,4725 8,9434 8,4858 8,2105 8,1719 8,3552 8,6960 9,1161 9,5449 9,9124 10,1410 10,1690 9,9809 9,6044 9,0891 8,4983 7,9085 7,3932 6,9989 6,7335 6,5752 6,4895 6,4382 6,3868 6,3222 6,2652 6,2565 6,3296 6,4930 6,7345 7,0339 7,3739 7,7466 8,1463 8,5517 8,9142 9,1699 9,2677 9,1896 8,9463 8,5583 8,0492 7,4601 6,8691 6,3827 6,0900 6,0175 6,1236 6,3285 6,5522 6,7389 6,8612 6,9050 6,8552 6,7025 6,4589 6,1565 5,8332 5,5207 5,2371 4,9853 4,7566 4,5404 4,3338 4,1472 4,0015 3,9168 3,9042 3,9665 4,0979 4,2829 4,5042 4,7559 5,0480 5,4004 5,8333 6,3529 6,9340 7,5159 8,0227 8,3979 8,6302 8,7577 8,8477 8,9557 9,0937 9,2373 9,3554 9,4285 9,4425 9,3738 9,1830 8,8305 8,3063 7,6374 6,8575 5,9804 5,0094 3,9693 2,9294 1,9993 1,2939 0,8842 0,7680 0,8774 1,1092 1,3591 1,5551 1,6741 1,7292 1,7518 1,7856 1,8881 2,1322 2,5897 3,2876 4,1743 5,1428 6,0970 6,9917 7,8194 8,5769 9,2465 9,7872 10,1371 10,2325 10,0382 9,5680 8,8773 8,0360 7,1114 6,1695 5,2717 4,4650 3,7832 3,2447 2,8449 2,5667 2,4005 2,3440 2,3905 2,5242 2,7177 2,9367 3,1495 3,3360 3,4914 3,6204 3,7256 3,8038 3,8520 3,8721 3,8727 3,8653 3,8590 3,8562 3,8455 3,7961 3,6700 3,4500 3,1559 2,8365 2,5393 2,2886 2,0941 1,9691 1,9407 2,0458 2,2999 2,6732 3,1144 3,5877 4,0807 4,5990 5,1657 5,8084 6,5319 7,2978 8,0348 8,6744 9,1844 9,5796 9,9023 10,1855 10,4267 10,5963 10,6660 10,6210 10,4460 10,1193 9,6333 9,0029 8,2472 7,3694 6,3576 5,2011 3,9070 2,5130 1,0892 -0,2791 -1,5203 -2,5927 -3,4802 -4,1784 -4,6942 -5,0570 -5,3118 -5,4923 -5,6015 -5,6063 -5,4402 -5,0315 -4,3522 -3,4487 -2,4267 -1,4071 -0,4851 0,2849 0,8821 1,3172 1,6402 1,9348 2,2825 2,7346 3,3149 4,0382 4,9196 5,9658 7,1538 8,4229 9,7008 10,9429 12,1421 13,2990 14,3935 15,3779 16,1828 16,7377 17,0037 16,9954 16,7669 16,3731 15,8410 15,1740 14,3733 13,4539 12,4392 11,3465 10,1869 8,9846 7,7872 6,6534 5,6344 4,7624 4,0479 3,4852 3,0668 2,7958 2,6820 2,7172 2,8644 3,0818 3,3391 3,5963 3,7966 3,8942 3,8731 3,7402 3,5143 3,2118 2,8327 2,3576 1,7656 1,0581 0,2595 -0,5966 -1,4692 -2,3052 -3,0413 -3,6221 -4,0228 -4,2537 -4,3325 -4,2621 -4,0447 -3,7065 -3,3049 -2,9098 -2,5644 -2,2658 -1,9817 -1,6713 -1,2930 -0,8149 -0,2288 0,4419 1,1502 1,8410 2,4673 2,9992 3,4301 3,7810 4,0941 4,4134 4,7652 5,1554 5,5799 6,0364
F3    4,5061 4,4689 4,3327 4,2041 4,1619 4,1980 4,2540 4,2649 4,1789 3,9667 3,6222 3,1733 2,7019 2,3214 2,0933 1,9499 1,7265 1,2898 0,6300 -0,1604 -0,9662 -1,6972 -2,2913 -2,7093 -2,9294 -2,9423 -2,7740 -2,5194 -2,3249 -2,3082 -2,5012 -2,8679 -3,3240 -3,7381 -3,9845 -4,0032 -3,7924 -3,3836 -2,8532 -2,3273 -1,9270 -1,6746 -1,4724 -1,1988 -0,8148 -0,3725 0,0513 0,4034 0,6410 0,7178 0,6191 0,3944 0,1334 -0,0711 -0,1336 0,0117 0,3895 0,9591 1,5756 1,9979 2,0285 1,6788 1,1546 0,6729 0,3205 0,0651 -0,1581 -0,3991 -0,6880 -1,0201 -1,3445 -1,6026 -1,7872 -1,9355 -2,0739 -2,1980 -2,2877 -2,3130 -2,2364 -2,0288 -1,7064 -1,3649 -1,1454 -1,1293 -1,2800 -1,4877 -1,6496 -1,7101 -1,6587 -1,4968 -1,1868 -0,6483 0,1681 1,2145 2,3480 3,3793 4,1328 4,4894 4,4027 3,9031 3,0856 2,0843 1,0395 0,0479 -0,8841 -1,8273 -2,8638 -4,0341 -5,3196 -6,6554 -7,9465 -9,0752 -9,9447 -10,5304 -10,8413 -10,8556 -10,5411 -9,9005 -8,9645 -7,7706 -6,3784 -4,8934 -3,4429 -2,1129 -0,9121 0,2076 1,2977 2,3694 3,4025 4,3897 5,3632 6,3780 7,4709 8,6470 9,8944 11,1849 12,4579 13,6188 14,5675 15,2563 15,7319 16,0984 16,4248 16,6970 16,8472 16,8075 16,5572 16,1471 15,6719 15,2000 14,7294 14,2219 13,6665 13,0886 12,5196 11,9801 11,4895 11,0894 10,8301 10,7240 10,7369 10,8311 10,9818 11,1386 11,2081 11,1040 10,8122 10,3929 9,9154 9,4150 8,9149 8,4540 8,0906 7,8901 7,9017 8,1255 8,4949 8,8912 9,1924 9,3299 9,2980 9,1198 8,8312 8,4965 8,2050 8,0337 8,0171 8,1339 8,3113 8,4586 8,5181 8,4845 8,3798 8,2137 7,9773 7,6738 7,3336 6,9968 6,7119 6,5346 6,4958 6,5762 6,7179 6,8657 7,0134 7,1997 7,4503 7,7376 7,9931 8,1564 8,2308 8,2796 8,3506 8,4142 8,3616 8,0680 7,5131 6,8332 6,2097 5,7428 5,4609 5,3834 5,5170 5,8207 6,2150 6,6318 7,0551 7,5100 8,0099 8,5196 8,9759 9,3429 9,6276 9,8383 9,9424 9,8722 9,5778 9,0768 8,4431 7,7555 7,0767 6,4618 5,9634 5,6320 5,5094 5,6091 5,9048 6,3396 6,8374 7,3081 7,6714 7,8926 7,9917 8,0166 8,0102 7,9977 7,9929 7,9998 8,0137 8,0301 8,0329 7,9692 7,7712 7,4198 6,9611 6,4561 5,9451 5,4648 5,0652 4,7925 4,6709 4,7046 4,8805 5,1646 5,5071 5,8583 6,1688 6,3854 6,4761 6,4545 6,3689 6,2774 6,2320 6,2704 6,4131 6,6535 6,9546 7,2740 7,5756 7,8027 7,8726 7,7255 7,3696 6,8899 6,4273 6,1294 6,0853 6,2873 6,6524 7,0877 7,5259 7,8964 8,1040 8,0710 7,7915 7,3240 6,7437 6,1261 5,5476 5,0654 4,6913 4,3993 4,1601 3,9657 3,8140 3,6862 3,5642 3,4556 3,3874 3,3868 3,4742 3,6663 3,9739 4,3934 4,9046 5,4749 6,0553 6,5696 6,9284 7,0712 6,9908 6,7137 6,2794 5,7416 5,1753 4,6751 4,3434 4,2508 4,3941 4,6989 5,0681 5,4294 5,7488 6,0088 6,1792 6,2128 6,0775 5,7912 5,4194 5,0364 4,6931 4,4173 4,2250 4,1153 4,0650 4,0396 4,0072 3,9408 3,8247 3,6775 3,5612 3,5398 3,6275 3,7932 4,0049 4,2568 4,5647 4,9502 5,4263 5,9756 6,5287 6,9807 7,2477 7,3181 7,2622 7,1872 7,1633 7,1893 7,2245 7,2361 7,2112 7,1394 6,9935 6,7237 6,2834 5,6793 4,9759 4,2299 3,4466 2,6088 1,7315 0,8877 0,2008 -0,1961 -0,2308 0,0600 0,5470 1,0680 1,4923 1,7592 1,8676 1,8406 1,7113 1,5319 1,3784 1,3459 1,5325 1,9918 2,6890 3,5220 4,3909 5,2444 6,0683 6,8508 7,5666 8,1746 8,6200 8,8449 8,8079 8,5027 7,9557 7,2095 6,3158 5,3394 4,3439 3,3740 2,4676 1,6728 1,0314 0,5589 0,2478 0,0845 0,0619 0,1774 0,4215 0,7751 1,2063 1,6640 2,0881 2,4262 2,6474 2,7554 2,7900 2,8072 2,8530 2,9485 3,0948 3,2841 3,4828 3,6034 3,5348 3,2203 2,7064 2,1195 1,5867 1,1744 0,8909 0,7186 0,6500 0,7112 0,9316 1,3019 1,7859 2,3439 2,9301 3,5030 4,0508 4,5947 5,1586 5,7307 6,2590 6,6930 7,0293 7,3131 7,5958 7,8907 8,1613 8,3524 8,4372 8,4181 8,2876 8,0138 7,5707 6,9604 6,1986 5,2943 4,2503 3,0794 1,8200 0,5406 -0,6722 -1,7391 -2,6138 -3,2926 -3,7987 -4,1559 -4,3865 -4,5292 -4,6323 -4,7244 -4,8012 -4,8169 -4,6810 -4,3061 -3,6780 -2,8747 -2,0174 -1,2060 -0,4911 0,1065 0,5639 0,8621 1,0317 1,1643 1,3625 1,6956 2,2015 2,8999 3,7931 4,8487 5,9834 7,0778 8,0344 8,8390 9,5608 10,2833 11,0378 11,7808 12,4139 12,8348 12,9937 12,9199 12,6994 12,4139 12,0879 11,6886 11,1701 10,5164 9,7471 8,8893 7,9656 7,0126 6,0876 5,2422 4,4989 3,8532 3,2938 2,8289 2,4905 2,3099 2,2918 2,3975 2,5513 2,6824 2,7576 2,7614 2,6739 2,4827 2,1972 1,8474 1,4734 1,1080 0,7592 0,4039 0,0047 -0,4575 -0,9761 -1,5330 -2,1005 -2,6270 -3,0417 -3,2907 -3,3814 -3,3788 -3,3377 -3,2574 -3,1089 -2,8798 -2,5944 -2,3090 -2,0796 -1,9269 -1,8259 -1,7138 -1,5142 -1,1743 -0,6884 -0,0955 0,5429 1,1722 1,7582 2,2772 2,7137 3,0682 3,3555 3,5899 3,7830 3,9599 4,1645 4,4474
F7    2,1618 1,7854 1,1351 0,5480 0,2750 0,3271 0,5733 0,8591 1,0622 1,1248 1,0293 0,7847 0,4927 0,3582 0,5230 0,8870 1,1572 1,0974 0,7030 0,1463 -0,3827 -0,7589 -0,9225 -0,8678 -0,6052 -0,1242 0,5424 1,2089 1,5664 1,3878 0,6849 -0,3515 -1,4614 -2,3695 -2,8802 -2,9337 -2,5512 -1,8192 -0,9419 -0,2247 0,0677 -0,0900 -0,4372 -0,6569 -0,6382 -0,4854 -0,3347 -0,2320 -0,1847 -0,2350 -0,4224 -0,7212 -1,0526 -1,3224 -1,4250 -1,2453 -0,6859 0,2432 1,2781 1,8980 1,6738 0,6873 -0,5130 -1,3803 -1,7187 -1,6429 -1,3606 -1,0424 -0,7937 -0,6375 -0,5035 -0,2923 0,0141 0,3408 0,6192 0,8336 0,9768 1,0245 0,9796 0,9130 0,9017 0,8831 0,6494 0,0699 -0,7458 -1,5536 -2,1706 -2,5596 -2,8096 -3,0355 -3,2075 -3,1066 -2,5313 -1,5047 -0,2636 0,8696 1,6021 1,7446 1,2583 0,2851 -0,8929 -1,9709 -2,7188 -3,0554 -3,1096 -3,1586 -3,4507 -4,0847 -5,0039 -6,0585 -7,0763 -7,9042 -8,4829 -8,8788 -9,1234 -9,0836 -8,5984 -7,6489 -6,3425 -4,8109 -3,1807 -1,6123 -0,2787 0,7362 1,4847 2,0981 2,6916 3,2946 3,8577 4,3341 4,7511 5,1970 5,7483 6,4399 7,2703 8,1940 9,1295 9,9697 10,5927 10,9518 11,1684 11,4420 11,8560 12,3136 12,6235 12,6019 12,1485 11,3145 10,2981 9,3014 8,3789 7,4768 6,5828 5,7476 4,9959 4,2904 3,5793 2,8708 2,2380 1,7363 1,3795 1,2186 1,3484 1,7824 2,3820 2,9449 3,3434 3,5555 3,5768 3,3784 2,9733 2,4638 2,0054 1,7552 1,8432 2,3261 3,1297 4,0476 4,8384 5,3454 5,5225 5,3876 5,0100 4,5355 4,1638 4,0617 4,2779 4,7213 5,2095 5,5694 5,7334 5,7536 5,7170 5,6472 5,4952 5,2133 4,7851 4,2022 3,5047 2,8145 2,2484 1,8244 1,4637 1,0667 0,6114 0,1600 -0,2361 -0,5907 -0,9555 -1,3585 -1,7328 -1,9257 -1,8444 -1,5950 -1,4821 -1,8236 -2,6308 -3,5105 -4,0121 -3,9747 -3,4810 -2,6531 -1,5963 -0,4499 0,6119 1,4660 2,1231 2,7005 3,3008 3,9194 4,4731 4,9188 5,2926 5,6032 5,7393 5,5315 4,9088 3,9809 2,9521 1,9802 1,1400 0,4738 0,0334 -0,1042 0,1358 0,7605 1,6690 2,6809 3,5810 4,1491 4,2265 3,7999 3,0178 2,1111 1,2754 0,6077 0,1211 -0,2273 -0,4955 -0,7013 -0,8345 -0,9344 -1,0748 -1,2581 -1,4226 -1,5576 -1,7160 -1,9084 -2,0540 -2,0293 -1,7426 -1,1845 -0,4272 0,4183 1,2435 1,9450 2,4082 2,5362 2,3401 1,9677 1,6103 1,4225 1,5038 1,8725 2,4469 3,0713 3,5842 3,9193 4,1293 4,2710 4,3092 4,1687 3,8282 3,3561 2,8985 2,6163 2,5882 2,7524 2,9623 3,1303 3,2882 3,4725 3,6135 3,5938 3,3804 3,0424 2,6607 2,2813 1,9457 1,6971 1,5395 1,4290 1,3272 1,2527 1,2449 1,2906 1,3409 1,3640 1,3450 1,2819 1,2018 1,1620 1,2212 1,4012 1,6790 2,0186 2,3919 2,7504 3,0033 3,0652 2,9155 2,6044 2,2318 1,9173 1,7482 1,7522 1,9223 2,2309 2,6172 2,9851 3,2357 3,3258 3,2994 3,2376 3,1722 3,0463 2,7603 2,2778 1,6918 1,1654 0,8105 0,6465 0,6388 0,7186 0,7903 0,7764 0,6480 0,3954 0,0117 -0,4500 -0,8330 -0,9618 -0,7743 -0,3442 0,1910 0,7002 1,1077 1,4325 1,7748 2,2132 2,7018 3,0926 3,2488 3,1322 2,8195 2,4459 2,0985 1,7683 1,4135 1,0303 0,6470 0,2811 -0,0873 -0,5304 -1,1309 -1,8561 -2,5271 -2,9864 -3,2431 -3,4105 -3,5604 -3,6567 -3,5609 -3,1012 -2,2133 -1,0319 0,1657 1,0953 1,5984 1,7039 1,5495 1,2458 0,8473 0,4138 0,0361 -0,1878 -0,1700 0,1232 0,6212 1,1891 1,7363 2,2555 2,7673 3,2707 3,7383 4,1084 4,2802 4,1534 3,6959 2,9763 2,1208 1,2376 0,4000 -0,3317 -0,9476 -1,5184 -2,1097 -2,6882 -3,1571 -3,4525 -3,5866 -3,6209 -3,6106 -3,5753 -3,4931 -3,3064 -2,9852 -2,5976 -2,2688 -2,0802 -2,0269 -2,0321 -1,9766 -1,7436 -1,2669 -0,5594 0,3158 1,3077 2,3528 3,2711 3,7884 3,7142 3,0875 2,1563 1,2054 0,4004 -0,2226 -0,7001 -1,0650 -1,2793 -1,2799 -1,0745 -0,7282 -0,3037 0,1489 0,5993 1,0476 1,4997 1,9271 2,2510 2,3799 2,2787 2,0101 1,6986 1,4369 1,2285 1,0220 0,7872 0,5699 0,4616 0,4977 0,6032 0,6568 0,5853 0,3734 0,0216 -0,4604 -1,0347 -1,6336 -2,1677 -2,5441 -2,7004 -2,6330 -2,4035 -2,1085 -1,8246 -1,5872 -1,4263 -1,3778 -1,4534 -1,6259 -1,8068 -1,8490 -1,6474 -1,2504 -0,8397 -0,5926 -0,5531 -0,6297 -0,7109 -0,7714 -0,8577 -0,9896 -1,1241 -1,2071 -1,1876 -0,9882 -0,5245 0,2428 1,2704 2,4251 3,5234 4,4186 5,0847 5,6117 6,1064 6,6024 7,0326 7,2618 7,1752 6,7699 6,1843 5,6486 5,3664 5,3955 5,6265 5,8806 6,0429 6,1021 6,0676 5,9130 5,6440 5,3540 5,1536 5,0641 5,0055 4,8734 4,6282 4,3136 3,9968 3,6971 3,3503 2,8463 2,1374 1,2935 0,4238 -0,4081 -1,1745 -1,8447 -2,3665 -2,6857 -2,7993 -2,7867 -2,7822 -2,9033 -3,1885 -3,6070 -4,1060 -4,6105 -4,9980 -5,1248 -4,9163 -4,4505 -3,9180 -3,4633 -3,0955 -2,7453 -2,3421 -1,8608 -1,3648 -0,9898 -0,8521 -0,9585 -1,2001 -1,4298 -1,5405 -1,4800 -1,2318 -0,7988 -0,2046 0,4786 1,1238 1,6051 1,8676 1,9303 1,8375 1,6553 1,5122 1,5709 1,9426
