Fp1   -1,8354 -2,1030 -2,2282 -2,1663 -1,9161 -1,5271 -1,0710 -0,6089 -0,1874 0,1482 0,3558 0,4098 0,3158 0,1168 -0,1137 -0,2928 -0,3497 -0,2415 0,0315 0,4245 0,8658 1,2815 1,6194 1,8615 2,0103 2,0640 2,0099 1,8369 1,5531 1,1924 0,8078 0,4605 0,2085 0,0933 0,1404 0,3650 0,7475 1,1987 1,5682 1,7015 1,5031 0,9771 0,2229 -0,6099 -1,3741 -1,9622 -2,3247 -2,4672 -2,4331 -2,2795 -2,0528 -1,7812 -1,4861 -1,1836 -0,8769 -0,5647 -0,2623 -0,0090 0,1485 0,1893 0,1400 0,0635 0,0317 0,0949 0,2511 0,4479 0,6302 0,7746 0,8796 0,9465 0,9787 0,9818 0,9583 0,9075 0,8404 0,7909 0,8067 0,9100 1,0604 1,1625 1,1169 0,8665 0,4142 -0,1754 -0,7881 -1,2939 -1,5876 -1,6078 -1,3414 -0,8293 -0,1622 0,5438 1,1752 1,6311 1,8277 1,7247 1,3640 0,8711 0,4037 0,0892 -0,0169 0,0562 0,2212 0,3872 0,4998 0,5503 0,5623 0,5660 0,5715 0,5577 0,4878 0,3319 0,0728 -0,2987 -0,7726 -1,3015 -1,8057 -2,2013 -2,4338 -2,5039 -2,4662 -2,3970 -2,3542 -2,3582 -2,3997 -2,4579 -2,5112 -2,5343 -2,4789 -2,2743 -1,8647 -1,2463 -0,4679 0,3874 1,2294 1,9919 2,6491 3,2102 3,6997 4,1334 4,5016 4,7841 4,9834 5,1346 5,2852 5,4749 5,7310 6,0724 6,5064 7,0130 7,5365 8,0027 8,3481 8,5333 8,5521 8,4407 8,2685 8,1124 8,0347 8,0612 8,1531 8,2182 8,1803 8,0460 7,9003 7,8448 7,9348 8,1558 8,4513 8,7598 9,0281 9,2215 9,3372 9,3919 9,3927 9,3348 9,2157 9,0457 8,8505 8,6670 8,5362 8,4960 8,5626 8,7127 8,8982 9,0893 9,2940 9,5401 9,8508 10,2371 10,6900 11,1611 11,5574 11,7701 11,7110 11,3353 10,6532 9,7367 8,7102 7,7280 6,9440 6,4719 6,3452 6,5180 6,9114 7,4553 8,0923 8,7585 9,3704 9,8418 10,1251 10,2409 10,2617 10,2580 10,2561 10,2396 10,1756 10,0356 9,8077 9,4966 9,1143 8,6765 8,2034 7,7132 7,2279 6,7952 6,4913 6,3857 6,5005 6,7945 7,1875 7,6041 7,9974 8,3271 8,5301 8,5352 8,3102 7,8969 7,3935 6,8956 6,4537 6,0803 5,7685 5,4897 5,1940 4,8421 4,4346 4,0041 3,6037 3,3093 3,2105 3,3741 3,7964 4,3778 4,9649 5,4305 5,7215 5,8587 5,9120 5,9569 6,0261 6,0892 6,0774 5,9350 5,6588 5,2966 4,9152 4,5636 4,2587 3,9998 3,7898 3,6389 3,5520 3,5160 3,5009 3,4681 3,3785 3,2035 2,9370 2,5960 2,2191 1,8686 1,6103 1,4805 1,4847 1,6210 1,8879 2,2690 2,7062 3,0972 3,3363 3,3691 3,2092 2,9167 2,5740 2,2768 2,1161 2,1391 2,3118 2,5306 2,6860 2,7243 2,6600 2,5386 2,3938 2,2415 2,1092 2,0508 2,1185 2,3277 2,6482 3,0128 3,3287 3,4961 3,4412 3,1532 2,7012 2,2193 1,8604 1,7379 1,8826 2,2408 2,7101 3,1867 3,6015 3,9328 4,1934 4,4079 4,5945 4,7543 4,8612 4,8622 4,7003 4,3551 3,8683 3,3410 2,9121 2,7096 2,7836 3,0821 3,4963 3,9149 4,2459 4,4289 4,4548 4,3676 4,2300 4,0852 3,9494 3,8256 3,7154 3,6198 3,5313 3,4429 3,3731 3,3555 3,3952 3,4615 3,5226 3,5712 3,6260 3,7169 3,8532 3,9979 4,0804 4,0391 3,8564 3,5650 3,2347 2,9468 2,7614 2,7010 2,7593 2,9167 3,1476 3,4239 3,7197 4,0104 4,2613 4,4141 4,3940 4,1428 3,6553 3,0031 2,3197 1,7453 1,3684 1,2054 1,2150 1,3284 1,4847 1,6527 1,8170 1,9541 2,0369 2,0651 2,0696 2,0808 2,1070 2,1427 2,1763 2,1930 2,1900 2,1824 2,1799 2,1645 2,1032 1,9737 1,7778 1,5493 1,3488 1,2360 1,2407 1,3672 1,6127 1,9641 2,3741 2,7505 2,9786 2,9652 2,6800 2,1727 1,5677 1,0241 0,6668 0,5374 0,6048 0,8040 1,0634 1,3219 1,5404 1,6990 1,7860 1,7856 1,6738 1,4367 1,0975 0,7221 0,3901 0,1610 0,0578 0,0647 0,1328 0,2041 0,2384 0,2098 0,0944 -0,1147 -0,3822 -0,6375 -0,8111 -0,8631 -0,7756 -0,5288 -0,1072 0,4732 1,1508 1,8305 2,4117 2,8175 3,0143 3,0193 2,8951 2,7280 2,5975 2,5514 2,5965 2,7100 2,8594 3,0043 3,0916 3,0787 2,9638 2,7754 2,5381 2,2602 1,9381 1,5671 1,1616 0,7781 0,5050 0,4146 0,5185 0,7593 1,0443 1,2962 1,4741 1,5540 1,5108 1,3215 0,9777 0,5015 -0,0448 -0,5752 -1,0234 -1,3757 -1,6604 -1,9018 -2,0848 -2,1578 -2,0661 -1,7813 -1,3190 -0,7421 -0,1438 0,3814 0,7621 0,9662 1,0044 0,9141 0,7416 0,5467 0,3950 0,3169 0,2803 0,2179 0,0822 -0,1217 -0,3437 -0,5278 -0,6496 -0,7148 -0,7311 -0,6935 -0,5896 -0,4084 -0,1434 0,1990 0,5904 0,9859 1,3407 1,6227 1,8043 1,8575 1,7771 1,6054 1,4207 1,3028 1,3109 1,4792 1,8097 2,2625 2,7599 3,2186 3,5825 3,8313 3,9765 4,0551 4,1124 4,1805 4,2658 4,3457 4,3810 4,3436 4,2355 4,0832 3,9237 3,7940 3,7118 3,6498 3,5421 3,3368 3,0403 2,7131 2,4326 2,2497 2,1567 2,0857 1,9482 1,6913 1,3401 0,9928 0,7637 0,7192 0,8548 1,1130 1,4146 1,6799 1,8368 1,8242 1,6014 1,1702 0,5955 -0,0111 -0,5492 -0,9780 -1,3202 -1,6361 -1,9866 -2,3975 -2,8460 -3,2724 -3,6051 -3,7830 -3,7626 -3,5219 -3,0850 -2,5405 -2,0154 -1,6160
Fz    -0,2682 -0,2992 -0,2900 -0,2549 -0,2273 -0,2441 -0,3245 -0,4615 -0,6331 -0,8157 -0,9874 -1,1276 -1,2194 -1,2498 -1,2094 -1,0978 -0,9241 -0,6969 -0,4207 -0,1005 0,2526 0,6195 0,9759 1,2975 1,5616 1,7516 1,8634 1,9050 1,8856 1,8067 1,6618 1,4486 1,1839 0,9033 0,6467 0,4435 0,3040 0,2180 0,1576 0,0835 -0,0408 -0,2300 -0,4676 -0,7149 -0,9277 -1,0750 -1,1513 -1,1742 -1,1711 -1,1658 -1,1681 -1,1696 -1,1471 -1,0675 -0,9014 -0,6435 -0,3208 0,0163 0,3118 0,5253 0,6454 0,6854 0,6688 0,6185 0,5485 0,4624 0,3666 0,2782 0,2182 0,2031 0,2433 0,3388 0,4744 0,6243 0,7618 0,8683 0,9383 0,9755 0,9816 0,9512 0,8760 0,7484 0,5666 0,3432 0,1091 -0,0978 -0,2494 -0,3319 -0,3394 -0,2731 -0,1497 -0,0016 0,1327 0,2197 0,2351 0,1693 0,0378 -0,1178 -0,2524 -0,3454 -0,4050 -0,4508 -0,4930 -0,5281 -0,5526 -0,5725 -0,6004 -0,6483 -0,7259 -0,8398 -0,9920 -1,1830 -1,4222 -1,7271 -2,1026 -2,5209 -2,9286 -3,2736 -3,5291 -3,7015 -3,8236 -3,9390 -4,0819 -4,2651 -4,4813 -4,7093 -4,9169 -5,0656 -5,1144 -5,0224 -4,7557 -4,3027 -3,6844 -2,9465 -2,1380 -1,2906 -0,4142 0,4918 1,4237 2,3662 3,2943 4,1829 5,0195 5,8077 6,5579 7,2728 7,9420 8,5498 9,0844 9,5388 9,9074 10,1887 10,3884 10,5141 10,5720 10,5787 10,5688 10,5866 10,6693 10,8369 11,0837 11,3766 11,6698 11,9266 12,1269 12,2653 12,3490 12,3952 12,4227 12,4418 12,4478 12,4318 12,4003 12,3750 12,3741 12,4018 12,4544 12,5284 12,6222 12,7341 12,8597 12,9941 13,1296 13,2481 13,3226 13,3321 13,2735 13,1577 12,9981 12,8081 12,6078 12,4212 12,2650 12,1459 12,0683 12,0377 12,0602 12,1387 12,2681 12,4332 12,6132 12,7896 12,9520 13,1004 13,2373 13,3547 13,4334 13,4570 13,4282 13,3715 13,3203 13,3000 13,3196 13,3753 13,4531 13,5300 13,5811 13,5904 13,5531 13,4669 13,3285 13,1360 12,8953 12,6217 12,3390 12,0773 11,8634 11,7073 11,5966 11,5081 11,4298 11,3712 11,3548 11,3929 11,4717 11,5570 11,6164 11,6355 11,6199 11,5826 11,5326 11,4717 11,3953 11,2933 11,1540 10,9754 10,7699 10,5525 10,3292 10,1036 9,8840 9,6839 9,5152 9,3787 9,2613 9,1466 9,0302 8,9282 8,8715 8,8844 8,9666 9,0931 9,2247 9,3201 9,3481 9,3003 9,1923 9,0494 8,8947 8,7457 8,6159 8,5116 8,4264 8,3429 8,2439 8,1251 8,0021 7,9080 7,8786 7,9325 8,0649 8,2604 8,5003 8,7621 9,0273 9,2941 9,5767 9,8855 10,2019 10,4741 10,6445 10,6824 10,5939 10,4107 10,1788 9,9542 9,7918 9,7275 9,7655 9,8792 10,0256 10,1642 10,2723 10,3490 10,3994 10,4168 10,3861 10,2993 10,1592 9,9771 9,7726 9,5699 9,3904 9,2484 9,1519 9,1049 9,1120 9,1819 9,3221 9,5290 9,7849 10,0601 10,3145 10,5089 10,6262 10,6846 10,7247 10,7851 10,8852 11,0186 11,1587 11,2702 11,3230 11,3035 11,2142 11,0663 10,8792 10,6829 10,5075 10,3716 10,2878 10,2710 10,3268 10,4405 10,5834 10,7238 10,8286 10,8694 10,8359 10,7447 10,6334 10,5416 10,4885 10,4653 10,4515 10,4343 10,4176 10,4222 10,4774 10,6038 10,8056 11,0710 11,3691 11,6498 11,8581 11,9537 11,9192 11,7610 11,5091 11,2102 10,9130 10,6563 10,4676 10,3646 10,3564 10,4425 10,6113 10,8410 11,1012 11,3568 11,5719 11,7116 11,7481 11,6758 11,5240 11,3438 11,1796 11,0533 10,9685 10,9205 10,8999 10,8933 10,8852 10,8655 10,8371 10,8135 10,8040 10,8018 10,7890 10,7474 10,6588 10,5099 10,3115 10,1030 9,9290 9,8123 9,7504 9,7273 9,7241 9,7280 9,7365 9,7510 9,7708 9,7930 9,8139 9,8250 9,8105 9,7535 9,6461 9,4922 9,3042 9,1023 8,9196 8,7954 8,7540 8,7947 8,9038 9,0660 9,2577 9,4435 9,5860 9,6570 9,6426 9,5436 9,3708 9,1410 8,8791 8,6201 8,4019 8,2497 8,1655 8,1292 8,1086 8,0740 8,0122 7,9259 7,8218 7,7081 7,6035 7,5367 7,5275 7,5741 7,6585 7,7604 7,8674 7,9817 8,1184 8,2859 8,4704 8,6439 8,7833 8,8799 8,9434 9,0000 9,0771 9,1845 9,3081 9,4210 9,5005 9,5331 9,5130 9,4458 9,3483 9,2362 9,1170 8,9961 8,8772 8,7553 8,6190 8,4661 8,3130 8,1825 8,0815 7,9902 7,8751 7,7189 7,5352 7,3528 7,1928 7,0587 6,9414 6,8300 6,7242 6,6328 6,5584 6,4841 6,3785 6,2189 6,0096 5,7769 5,5504 5,3534 5,1994 5,0843 4,9858 4,8777 4,7431 4,5776 4,3840 4,1656 3,9315 3,7097 3,5435 3,4662 3,4824 3,5715 3,6994 3,8310 3,9411 4,0179 4,0590 4,0683 4,0580 4,0470 4,0517 4,0800 4,1342 4,2144 4,3143 4,4225 4,5345 4,6592 4,8066 4,9666 5,1085 5,2041 5,2524 5,2829 5,3362 5,4449 5,6238 5,8628 6,1290 6,3810 6,5818 6,7044 6,7403 6,7078 6,6480 6,6112 6,6391 6,7502 6,9336 7,1573 7,3757 7,5358 7,5878 7,4981 7,2571 6,8800 6,4086 5,9094 5,4542 5,0898 4,8216 4,6233 4,4579 4,2968 4,1269 3,9481 3,7723 3,6228 3,5238 3,4855 3,5048 3,5715 3,6681 3,7643 3,8193 3,7896 3,6401 3,3607 2,9805 2,5597 2,1566 1,7975 1,4744 1,1641 0,8485 0,5247 0,2060 -0,0854 -0,3301 -0,5217 -0,6638 -0,7592 -0,8070 -0,8063 -0,7607 -0,6766
F3    -0,0927 -0,1146 -0,1604 -0,2342 -0,3376 -0,4670 -0,6125 -0,7590 -0,8932 -1,0032 -1,0703 -1,0713 -0,9953 -0,8496 -0,6517 -0,4252 -0,1952 0,0249 0,2384 0,4538 0,6742 0,8951 1,1073 1,2991 1,4575 1,5750 1,6567 1,7129 1,7421 1,7235 1,6261 1,4285 1,1355 0,7761 0,3932 0,0360 -0,2503 -0,4437 -0,5546 -0,6203 -0,6809 -0,7510 -0,8155 -0,8517 -0,8505 -0,8220 -0,7930 -0,7951 -0,8476 -0,9462 -1,0644 -1,1664 -1,2182 -1,1892 -1,0553 -0,8127 -0,4868 -0,1236 0,2260 0,5206 0,7352 0,8620 0,9034 0,8669 0,7654 0,6206 0,4647 0,3319 0,2450 0,2135 0,2389 0,3163 0,4316 0,5630 0,6834 0,7683 0,8047 0,7908 0,7271 0,6160 0,4666 0,2941 0,1172 -0,0409 -0,1553 -0,2117 -0,2147 -0,1774 -0,1066 -0,0043 0,1186 0,2376 0,3248 0,3582 0,3244 0,2209 0,0610 -0,1288 -0,3232 -0,5087 -0,6842 -0,8545 -1,0154 -1,1468 -1,2268 -1,2496 -1,2322 -1,2114 -1,2335 -1,3385 -1,5411 -1,8244 -2,1573 -2,5128 -2,8672 -3,1886 -3,4427 -3,6118 -3,7057 -3,7568 -3,8041 -3,8786 -3,9956 -4,1560 -4,3500 -4,5556 -4,7369 -4,8520 -4,8651 -4,7485 -4,4786 -4,0405 -3,4433 -2,7257 -1,9411 -1,1368 -0,3426 0,4297 1,1833 1,9314 2,6844 3,4402 4,1857 4,9041 5,5779 6,1899 6,7274 7,1906 7,5952 7,9614 8,3004 8,6128 8,8936 9,1315 9,3137 9,4416 9,5370 9,6265 9,7246 9,8321 9,9451 10,0531 10,1365 10,1749 10,1576 10,0882 9,9804 9,8519 9,7255 9,6293 9,5855 9,6003 9,6674 9,7708 9,8839 9,9779 10,0376 10,0660 10,0795 10,0997 10,1465 10,2320 10,3533 10,4866 10,5939 10,6403 10,6069 10,4906 10,3004 10,0565 9,7924 9,5463 9,3482 9,2148 9,1539 9,1685 9,2576 9,4127 9,6114 9,8202 10,0065 10,1514 10,2543 10,3321 10,4050 10,4779 10,5311 10,5356 10,4788 10,3757 10,2563 10,1435 10,0473 9,9730 9,9299 9,9251 9,9562 10,0117 10,0734 10,1173 10,1169 10,0498 9,9054 9,6872 9,4101 9,0996 8,7866 8,4954 8,2344 8,0028 7,8052 7,6559 7,5689 7,5415 7,5513 7,5701 7,5796 7,5740 7,5542 7,5193 7,4634 7,3818 7,2766 7,1561 7,0285 6,9006 6,7760 6,6473 6,4948 6,3015 6,0677 5,8153 5,5771 5,3755 5,2128 5,0786 4,9639 4,8703 4,8080 4,7831 4,7908 4,8198 4,8555 4,8813 4,8865 4,8749 4,8610 4,8569 4,8632 4,8709 4,8687 4,8439 4,7785 4,6538 4,4631 4,2217 3,9699 3,7648 3,6580 3,6683 3,7751 3,9380 4,1148 4,2713 4,3903 4,4778 4,5625 4,6799 4,8454 5,0415 5,2303 5,3741 5,4486 5,4468 5,3811 5,2828 5,1941 5,1504 5,1668 5,2361 5,3339 5,4262 5,4894 5,5280 5,5630 5,6016 5,6270 5,6136 5,5408 5,4012 5,2055 4,9829 4,7731 4,6146 4,5318 4,5257 4,5792 4,6751 4,8041 4,9587 5,1257 5,2875 5,4244 5,5197 5,5739 5,6155 5,6895 5,8294 6,0364 6,2788 6,5080 6,6801 6,7706 6,7805 6,7292 6,6380 6,5260 6,4141 6,3188 6,2407 6,1738 6,1224 6,0993 6,1120 6,1583 6,2304 6,3131 6,3868 6,4390 6,4744 6,5135 6,5802 6,6847 6,8161 6,9529 7,0759 7,1739 7,2515 7,3287 7,4250 7,5473 7,6906 7,8371 7,9582 8,0262 8,0262 7,9554 7,8190 7,6357 7,4401 7,2686 7,1426 7,0650 7,0295 7,0341 7,0854 7,1912 7,3494 7,5446 7,7538 7,9502 8,1019 8,1775 8,1655 8,0879 7,9862 7,8927 7,8154 7,7439 7,6625 7,5587 7,4282 7,2793 7,1365 7,0344 7,0023 7,0475 7,1507 7,2785 7,3981 7,4779 7,4912 7,4362 7,3447 7,2601 7,2079 7,1894 7,1921 7,2024 7,2134 7,2276 7,2516 7,2903 7,3410 7,3892 7,4067 7,3612 7,2318 7,0210 6,7544 6,4664 6,1891 5,9589 5,8181 5,7959 5,8932 6,0942 6,3742 6,6943 7,0026 7,2522 7,4147 7,4816 7,4587 7,3586 7,1964 6,9956 6,7905 6,6171 6,4933 6,4091 6,3336 6,2325 6,0872 5,9068 5,7218 5,5648 5,4596 5,4235 5,4689 5,5944 5,7788 5,9889 6,1908 6,3580 6,4831 6,5807 6,6677 6,7450 6,8055 6,8488 6,8855 6,9357 7,0222 7,1572 7,3338 7,5233 7,6858 7,7885 7,8175 7,7780 7,6910 7,5818 7,4639 7,3395 7,2154 7,1051 7,0120 6,9200 6,8064 6,6615 6,4918 6,3067 6,1030 5,8694 5,6079 5,3459 5,1195 4,9517 4,8456 4,7914 4,7785 4,8040 4,8675 4,9573 5,0435 5,0842 5,0441 4,9139 4,7115 4,4695 4,2252 4,0159 3,8612 3,7503 3,6519 3,5381 3,3977 3,2357 3,0620 2,8861 2,7227 2,5960 2,5294 2,5321 2,5947 2,6918 2,7906 2,8642 2,8998 2,8986 2,8736 2,8471 2,8435 2,8785 2,9557 3,0695 3,2082 3,3537 3,4849 3,5937 3,6940 3,8062 3,9293 4,0369 4,1024 4,1260 4,1383 4,1823 4,2897 4,4696 4,7062 4,9681 5,2234 5,4433 5,6032 5,6947 5,7352 5,7562 5,7866 5,8429 5,9250 6,0230 6,1292 6,2329 6,3039 6,2930 6,1562 5,8772 5,4736 4,9911 4,4932 4,0433 3,6786 3,3980 3,1738 2,9747 2,7823 2,5929 2,4129 2,2561 2,1407 2,0790 2,0690 2,0994 2,1577 2,2310 2,3019 2,3451 2,3312 2,2344 2,0448 1,7814 1,4883 1,2080 0,9551 0,7176 0,4773 0,2265 -0,0293 -0,2774 -0,5013 -0,6865 -0,8295 -0,9381 -1,0195 -1,0748 -1,1014 -1,0975 -1,0604
F7    -0,6056 -0,6822 -0,7615 -0,8097 -0,7931 -0,7003 -0,5484 -0,3747 -0,2208 -0,1141 -0,0572 -0,0338 -0,0220 -0,0015 0,0411 0,0994 0,1482 0,1717 0,1852 0,2281 0,3393 0,5313 0,7827 1,0487 1,2753 1,4129 1,4321 1,3315 1,1324 0,8708 0,5942 0,3586 0,2096 0,1540 0,1580 0,1776 0,1829 0,1593 0,0982 -0,0099 -0,1693 -0,3649 -0,5634 -0,7320 -0,8507 -0,9172 -0,9444 -0,9513 -0,9510 -0,9441 -0,9156 -0,8405 -0,7007 -0,4984 -0,2557 -0,0051 0,2273 0,4297 0,5952 0,7090 0,7581 0,7462 0,6941 0,6303 0,5822 0,5691 0,6015 0,6771 0,7795 0,8902 0,9990 1,1026 1,1975 1,2769 1,3318 1,3573 1,3560 1,3326 1,2844 1,2012 1,0696 0,8751 0,6102 0,2902 -0,0423 -0,3289 -0,5140 -0,5606 -0,4621 -0,2506 0,0084 0,2419 0,4020 0,4801 0,4958 0,4786 0,4532 0,4266 0,3851 0,3122 0,2085 0,0927 -0,0089 -0,0753 -0,1036 -0,1136 -0,1345 -0,1896 -0,2915 -0,4462 -0,6543 -0,9124 -1,2185 -1,5737 -1,9668 -2,3553 -2,6735 -2,8662 -2,9201 -2,8733 -2,7963 -2,7552 -2,7881 -2,9052 -3,0910 -3,2983 -3,4511 -3,4783 -3,3473 -3,0655 -2,6617 -2,1751 -1,6516 -1,1359 -0,6549 -0,2047 0,2454 0,7314 1,2722 1,8593 2,4613 3,0386 3,5576 4,0016 4,3717 4,6797 4,9437 5,1873 5,4357 5,7054 5,9983 6,3021 6,5953 6,8478 7,0295 7,1274 7,1511 7,1252 7,0809 7,0493 7,0476 7,0716 7,1066 7,1439 7,1817 7,2133 7,2214 7,1887 7,1191 7,0450 7,0090 7,0372 7,1329 7,2825 7,4605 7,6397 7,8014 7,9353 8,0367 8,1082 8,1635 8,2227 8,2977 8,3753 8,4206 8,4023 8,3119 8,1619 7,9721 7,7667 7,5795 7,4490 7,3996 7,4249 7,4868 7,5329 7,5261 7,4618 7,3550 7,2223 7,0810 6,9555 6,8740 6,8579 6,9109 7,0153 7,1375 7,2441 7,3141 7,3372 7,3060 7,2181 7,0828 6,9195 6,7454 6,5663 6,3842 6,2093 6,0592 5,9407 5,8387 5,7271 5,5876 5,4173 5,2318 5,0638 4,9474 4,8940 4,8834 4,8786 4,8537 4,8093 4,7662 4,7401 4,7233 4,6953 4,6456 4,5798 4,5091 4,4349 4,3419 4,2025 3,9904 3,6958 3,3345 2,9470 2,5846 2,2883 2,0788 1,9618 1,9325 1,9770 2,0688 2,1682 2,2331 2,2333 2,1606 2,0368 1,9106 1,8317 1,8276 1,8953 2,0058 2,1138 2,1743 2,1605 2,0724 1,9287 1,7529 1,5661 1,3870 1,2329 1,1137 1,0247 0,9444 0,8453 0,7157 0,5725 0,4508 0,3769 0,3556 0,3768 0,4177 0,4458 0,4413 0,4173 0,4111 0,4527 0,5360 0,6232 0,6790 0,6973 0,6950 0,6935 0,7147 0,7779 0,8848 1,0130 1,1322 1,2269 1,3051 1,3826 1,4557 1,4936 1,4574 1,3254 1,1088 0,8505 0,6055 0,4198 0,3192 0,3071 0,3635 0,4481 0,5127 0,5211 0,4653 0,3691 0,2702 0,1981 0,1709 0,2024 0,3015 0,4649 0,6809 0,9408 1,2372 1,5530 1,8582 2,1178 2,3004 2,3830 2,3576 2,2406 2,0715 1,8959 1,7526 1,6737 1,6787 1,7643 1,9090 2,0797 2,2333 2,3244 2,3269 2,2450 2,1011 1,9224 1,7386 1,5827 1,4872 1,4760 1,5478 1,6716 1,8054 1,9194 2,0085 2,0918 2,1996 2,3523 2,5502 2,7791 3,0148 3,2257 3,3817 3,4617 3,4504 3,3364 3,1241 2,8461 2,5507 2,2793 2,0547 1,8845 1,7749 1,7407 1,7955 1,9296 2,1034 2,2651 2,3761 2,4184 2,3861 2,2830 2,1312 1,9702 1,8348 1,7354 1,6617 1,5996 1,5476 1,5185 1,5276 1,5836 1,6887 1,8367 2,0066 2,1639 2,2809 2,3548 2,3985 2,4195 2,4193 2,4034 2,3773 2,3376 2,2743 2,1775 2,0412 1,8680 1,6756 1,4924 1,3467 1,2572 1,2325 1,2730 1,3690 1,4959 1,6179 1,7034 1,7346 1,7093 1,6392 1,5463 1,4537 1,3803 1,3486 1,3842 1,4994 1,6804 1,8895 2,0791 2,2056 2,2402 2,1741 2,0178 1,7943 1,5348 1,2741 1,0427 0,8568 0,7120 0,5901 0,4780 0,3854 0,3429 0,3787 0,4967 0,6746 0,8731 1,0504 1,1801 1,2650 1,3295 1,3945 1,4644 1,5338 1,5938 1,6365 1,6661 1,7028 1,7705 1,8856 2,0537 2,2678 2,5088 2,7479 2,9569 3,1187 3,2262 3,2759 3,2734 3,2319 3,1566 3,0403 2,8777 2,6789 2,4640 2,2472 2,0312 1,8204 1,6342 1,4973 1,4122 1,3511 1,2816 1,1930 1,0954 1,0014 0,9126 0,8207 0,7204 0,6180 0,5282 0,4567 0,3892 0,2985 0,1652 -0,0056 -0,1825 -0,3238 -0,3940 -0,3757 -0,2790 -0,1378 0,0109 0,1406 0,2334 0,2766 0,2634 0,1945 0,0824 -0,0479 -0,1697 -0,2686 -0,3491 -0,4330 -0,5451 -0,6909 -0,8457 -0,9678 -1,0184 -0,9729 -0,8292 -0,6102 -0,3504 -0,0752 0,2047 0,4828 0,7506 1,0032 1,2409 1,4585 1,6349 1,7448 1,7794 1,7525 1,6951 1,6474 1,6492 1,7249 1,8693 2,0521 2,2392 2,4052 2,5335 2,6197 2,6732 2,7104 2,7496 2,8112 2,9116 3,0489 3,1964 3,3118 3,3565 3,3111 3,1815 2,9882 2,7492 2,4746 2,1820 1,9012 1,6550 1,4423 1,2460 1,0531 0,8645 0,6895 0,5342 0,4026 0,3033 0,2453 0,2253 0,2268 0,2316 0,2238 0,1874 0,1035 -0,0497 -0,2882 -0,6022 -0,9400 -1,2205 -1,3826 -1,4267 -1,4160 -1,4404 -1,5698 -1,8265 -2,1874 -2,5985 -2,9862 -3,2757 -3,4138 -3,3813 -3,1958 -2,9075 -2,5858 -2,3004
