Fp1   4,5484 4,9791 5,0050 4,6579 4,0667 3,4220 2,9103 2,6532 2,6721 2,8946 3,1975 3,4612 3,6136 3,6453 3,5881 3,4787 3,3393 3,1828 3,0240 2,8767 2,7321 2,5434 2,2345 1,7389 1,0507 0,2396 -0,5903 -1,3601 -2,0397 -2,6264 -3,1135 -3,4803 -3,7038 -3,7741 -3,6997 -3,5135 -3,2852 -3,1146 -3,0895 -3,2327 -3,4818 -3,7289 -3,9005 -4,0030 -4,0940 -4,2198 -4,3762 -4,5036 -4,5093 -4,3151 -3,8986 -3,3050 -2,6345 -2,0156 -1,5662 -1,3490 -1,3523 -1,5157 -1,7701 -2,0580 -2,3379 -2,5835 -2,7796 -2,9222 -3,0305 -3,1462 -3,3069 -3,5217 -3,7751 -4,0439 -4,3060 -4,5346 -4,6964 -4,7683 -4,7446 -4,6173 -4,3656 -3,9723 -3,4432 -2,7934 -2,0257 -1,1598 -0,2818 0,4667 0,9564 1,1187 0,9616 0,5716 0,0946 -0,3107 -0,5272 -0,5270 -0,3892 -0,2633 -0,3034 -0,6090 -1,1821 -1,9196 -2,6639 -3,2745 -3,6524 -3,7338 -3,5066 -3,0347 -2,4465 -1,8865 -1,4677 -1,2591 -1,2907 -1,5533 -1,9956 -2,5275 -3,0388 -3,4282 -3,6415 -3,6846 -3,5873 -3,3672 -3,0445 -2,6754 -2,3411 -2,0999 -1,9570 -1,8707 -1,7717 -1,5746 -1,1908 -0,5602 0,3036 1,2994 2,2767 3,1111 3,7606 4,2596 4,6700 5,0440 5,4248 5,8706 6,4571 7,2349 8,1788 9,1767 10,0703 10,7208 11,0522 11,0536 10,7707 10,3059 9,8075 9,4315 9,2952 9,4406 9,8143 10,2741 10,6249 10,6814 10,3406 9,6248 8,6685 7,6560 6,7315 5,9353 5,2168 4,5012 3,7468 2,9617 2,1997 1,5523 1,1198 0,9504 0,9986 1,1307 1,1821 1,0471 0,7322 0,3295 -0,0467 -0,3119 -0,4366 -0,4400 -0,3727 -0,3149 -0,3696 -0,6252 -1,1073 -1,7649 -2,4997 -3,2091 -3,8172 -4,2829 -4,5852 -4,7044 -4,6091 -4,2652 -3,6763 -2,9159 -2,1204 -1,4578 -1,0818 -1,0774 -1,4293 -2,0269 -2,7055 -3,3175 -3,7906 -4,1347 -4,4076 -4,6740 -4,9718 -5,2879 -5,5532 -5,6696 -5,5627 -5,2342 -4,7742 -4,3140 -3,9514 -3,7092 -3,5656 -3,5131 -3,5752 -3,7816 -4,1436 -4,6475 -5,2602 -5,9373 -6,6215 -7,2474 -7,7551 -8,0852 -8,1569 -7,8719 -7,1489 -5,9689 -4,4218 -2,7231 -1,1613 0,0029 0,6279 0,7282 0,4439 -0,0385 -0,5721 -1,0932 -1,6090 -2,1500 -2,7321 -3,3382 -3,9008 -4,3007 -4,4225 -4,2331 -3,7989 -3,2252 -2,5819 -1,8898 -1,1594 -0,4103 0,3482 1,1155 1,8688 2,5474 3,0739 3,3889 3,4706 3,3328 3,0041 2,5094 1,8792 1,1752 0,4958 -0,0535 -0,4028 -0,5383 -0,4959 -0,3357 -0,1124 0,1300 0,3377 0,4408 0,3788 0,1343 -0,2630 -0,7671 -1,3465 -1,9844 -2,6541 -3,3055 -3,8721 -4,2813 -4,4546 -4,3181 -3,8499 -3,1319 -2,3401 -1,6674 -1,2335 -1,0446 -1,0232 -1,0721 -1,1219 -1,1467 -1,1519 -1,1416 -1,0939 -0,9657 -0,7340 -0,4251 -0,0948 0,2144 0,4836 0,6888 0,7908 0,7768 0,6884 0,5801 0,4745 0,3861 0,3643 0,4709 0,7065 0,9797 1,1464 1,0722 0,6777 -0,0271 -0,9228 -1,8093 -2,4961 -2,9041 -3,0922 -3,1761 -3,2270 -3,2617 -3,2955 -3,3644 -3,4997 -3,7074 -3,9812 -4,3236 -4,7388 -5,2015 -5,6352 -5,9248 -5,9667 -5,7319 -5,2875 -4,7508 -4,2250 -3,7813 -3,4705 -3,3200 -3,3132 -3,3795 -3,4269 -3,4012 -3,3142 -3,2171 -3,1659 -3,2088 -3,3799 -3,6889 -4,1150 -4,6085 -5,0894 -5,4418 -5,5293 -5,2473 -4,5768 -3,5973 -2,4567 -1,3155 -0,2945 0,5364 1,1351 1,4676 1,5149 1,2932 0,8657 0,3341 -0,1933 -0,6402 -0,9800 -1,2240 -1,3923 -1,4973 -1,5481 -1,5577 -1,5424 -1,5168 -1,4875 -1,4481 -1,3738 -1,2321 -1,0142 -0,7615 -0,5560 -0,4791 -0,5695 -0,7934 -1,0382 -1,1445 -0,9683 -0,4420 0,3853 1,3449 2,2052 2,7667 2,9431 2,7911 2,4672 2,1297 1,8602 1,6589 1,4838 1,2874 1,0441 0,7672 0,5076 0,3350 0,3020 0,4006 0,5466 0,6099 0,4712 0,0667 -0,6055 -1,4912 -2,4852 -3,4501 -4,2476 -4,7524 -4,8568 -4,5001 -3,7076 -2,6032 -1,3879 -0,2928 0,4836 0,8408 0,8188 0,5766 0,3050 0,1220 0,0215 -0,0759 -0,2364 -0,4977 -0,8897 -1,4102 -1,9882 -2,4997 -2,8186 -2,8580 -2,5849 -2,0092 -1,1747 -0,1649 0,9048 1,9237 2,8139 3,5394 4,1055 4,5403 4,8493 4,9800 4,8495 4,4245 3,7839 3,1127 2,6243 2,4558 2,6104 2,9821 3,4290 3,8402 4,1621 4,3869 4,5362 4,6525 4,7703 4,8727 4,8812 4,6900 4,2189 3,4679 2,5471 1,6471 0,9570 0,5756 0,4699 0,5089 0,5473 0,5065 0,4122 0,3729 0,5113 0,8971 1,5204 2,2957 3,0787 3,7061 4,0594 4,1151 3,9489 3,6990 3,4946 3,3902 3,3622 3,3637 3,3801 3,4503 3,6460 4,0213 4,5823 5,2979 6,1279 7,0452 8,0345 9,0664 10,0830 11,0237 11,8501 12,5200 12,9467 13,0243 12,6982 11,9995 11,0321 9,9594 8,9779 8,2362 7,7510 7,4192 7,1258 6,8372 6,6000 6,4743 6,4638 6,4899 6,4230 6,1444 5,5937 4,7815 3,7552 2,5448 1,1645 -0,3237 -1,7891 -3,0996 -4,1928 -5,0750 -5,7725 -6,2858 -6,5650 -6,5311 -6,1566 -5,5397 -4,8874 -4,4129 -4,2378 -4,3532 -4,6408 -4,9483 -5,1819 -5,3543 -5,5594 -5,8992 -6,4183 -7,0886 -7,8343 -8,5660 -9,2085 -9,7134 -10,0593 -10,2474 -10,2747 -10,0918 -9,6069 -8,7653 -7,6375 -6,4188 -5,3314 -4,5108 -3,9722 -3,6602 -3,5184 -3,5275 -3,7015 -4,0503 -4,5484 -5,1442 -5,7841 -6,4063 -6,9176 -7,2125 -7,2277 -6,9700 -6,4854 -5,8153
Fz    3,8685 4,4576 5,0334 5,5824 6,0704 6,4485 6,6693 6,7052 6,5582 6,2540 5,8262 5,3045 4,7139 4,0772 3,4187 2,7712 2,1746 1,6610 1,2389 0,8874 0,5646 0,2378 -0,0928 -0,4016 -0,6631 -0,8669 -1,0197 -1,1419 -1,2589 -1,3890 -1,5379 -1,7033 -1,8840 -2,0882 -2,3362 -2,6574 -3,0775 -3,5964 -4,1757 -4,7545 -5,2742 -5,6899 -5,9691 -6,0958 -6,0760 -5,9316 -5,6891 -5,3799 -5,0445 -4,7284 -4,4703 -4,2909 -4,1904 -4,1505 -4,1395 -4,1249 -4,0939 -4,0596 -4,0415 -4,0491 -4,0841 -4,1477 -4,2426 -4,3694 -4,5159 -4,6541 -4,7521 -4,7938 -4,7889 -4,7670 -4,7561 -4,7634 -4,7702 -4,7429 -4,6506 -4,4775 -4,2235 -3,9011 -3,5363 -3,1662 -2,8247 -2,5249 -2,2557 -1,9907 -1,6976 -1,3543 -0,9725 -0,6060 -0,3225 -0,1623 -0,1260 -0,1899 -0,3195 -0,4778 -0,6384 -0,7963 -0,9609 -1,1355 -1,3064 -1,4585 -1,6004 -1,7652 -1,9873 -2,2833 -2,6454 -3,0463 -3,4554 -3,8515 -4,2209 -4,5570 -4,8692 -5,1795 -5,5054 -5,8495 -6,2014 -6,5409 -6,8415 -7,0765 -7,2284 -7,2903 -7,2572 -7,1205 -6,8794 -6,5526 -6,1679 -5,7476 -5,3056 -4,8470 -4,3582 -3,8058 -3,1478 -2,3488 -1,3970 -0,3202 0,8194 1,9504 3,0154 3,9815 4,8448 5,6318 6,3867 7,1464 7,9207 8,6935 9,4349 10,1106 10,6872 11,1310 11,4162 11,5424 11,5354 11,4266 11,2352 10,9673 10,6284 10,2317 9,7943 9,3302 8,8498 8,3605 7,8639 7,3559 6,8286 6,2746 5,6945 5,1015 4,5158 3,9502 3,4010 2,8522 2,2904 1,7212 1,1736 0,6872 0,2917 -0,0075 -0,2253 -0,3861 -0,5181 -0,6516 -0,8141 -1,0232 -1,2863 -1,5992 -1,9373 -2,2548 -2,5024 -2,6468 -2,6840 -2,6466 -2,5957 -2,5938 -2,6767 -2,8437 -3,0689 -3,3164 -3,5490 -3,7363 -3,8650 -3,9430 -3,9988 -4,0730 -4,1984 -4,3806 -4,6013 -4,8375 -5,0735 -5,3038 -5,5348 -5,7866 -6,0851 -6,4515 -6,8921 -7,3855 -7,8765 -8,2916 -8,5687 -8,6776 -8,6291 -8,4662 -8,2407 -7,9904 -7,7347 -7,4779 -7,2081 -6,9009 -6,5352 -6,1052 -5,6172 -5,0829 -4,5203 -3,9602 -3,4465 -3,0251 -2,7243 -2,5389 -2,4335 -2,3610 -2,2856 -2,1963 -2,1075 -2,0415 -2,0009 -1,9539 -1,8471 -1,6302 -1,2742 -0,7775 -0,1633 0,5276 1,2391 1,8994 2,4329 2,7870 2,9545 2,9715 2,8931 2,7687 2,6329 2,5029 2,3790 2,2530 2,1257 2,0108 1,9224 1,8656 1,8402 1,8455 1,8751 1,9145 1,9528 1,9904 2,0318 2,0704 2,0791 2,0108 1,8127 1,4521 0,9426 0,3497 -0,2336 -0,7275 -1,0963 -1,3524 -1,5292 -1,6488 -1,7118 -1,7129 -1,6558 -1,5523 -1,4158 -1,2600 -1,0988 -0,9418 -0,7850 -0,6107 -0,4006 -0,1485 0,1361 0,4350 0,7354 1,0381 1,3533 1,6913 2,0537 2,4347 2,8263 3,2198 3,6056 3,9801 4,3471 4,7039 5,0261 5,2657 5,3665 5,2853 5,0114 4,5760 4,0431 3,4874 2,9698 2,5249 2,1639 1,8831 1,6649 1,4757 1,2717 1,0108 0,6645 0,2285 -0,2758 -0,8121 -1,3487 -1,8730 -2,3931 -2,9241 -3,4699 -4,0159 -4,5394 -5,0222 -5,4534 -5,8198 -6,1038 -6,2893 -6,3664 -6,3324 -6,1991 -6,0008 -5,7836 -5,5853 -5,4195 -5,2772 -5,1427 -5,0108 -4,8907 -4,8006 -4,7561 -4,7576 -4,7877 -4,8241 -4,8532 -4,8700 -4,8680 -4,8343 -4,7515 -4,6039 -4,3825 -4,0906 -3,7470 -3,3798 -3,0081 -2,6351 -2,2587 -1,8872 -1,5373 -1,2201 -0,9358 -0,6812 -0,4599 -0,2887 -0,2013 -0,2450 -0,4632 -0,8665 -1,4176 -2,0404 -2,6460 -3,1520 -3,4916 -3,6242 -3,5513 -3,3175 -2,9864 -2,6100 -2,2184 -1,8329 -1,4733 -1,1555 -0,8879 -0,6677 -0,4794 -0,2995 -0,1057 0,1137 0,3566 0,6056 0,8330 1,0117 1,1231 1,1546 1,0987 0,9524 0,7163 0,3944 -0,0008 -0,4457 -0,9109 -1,3644 -1,7753 -2,1283 -2,4378 -2,7399 -3,0716 -3,4534 -3,8815 -4,3272 -4,7421 -5,0712 -5,2762 -5,3515 -5,3217 -5,2354 -5,1593 -5,1601 -5,2736 -5,4898 -5,7683 -6,0649 -6,3457 -6,5908 -6,7905 -6,9395 -7,0326 -7,0607 -7,0073 -6,8486 -6,5636 -6,1473 -5,6151 -4,9918 -4,3018 -3,5712 -2,8308 -2,1126 -1,4503 -0,8777 -0,4167 -0,0603 0,2322 0,5214 0,8600 1,2692 1,7329 2,2139 2,6803 3,1195 3,5295 3,9086 4,2524 4,5507 4,7838 4,9270 4,9714 4,9402 4,8821 4,8444 4,8408 4,8361 4,7666 4,5812 4,2701 3,8592 3,3872 2,8851 2,3698 1,8525 1,3510 0,8890 0,4830 0,1361 -0,1574 -0,4104 -0,6385 -0,8477 -1,0266 -1,1555 -1,2221 -1,2242 -1,1591 -1,0125 -0,7592 -0,3727 0,1593 0,8200 1,5613 2,3211 3,0451 3,6938 4,2382 4,6656 4,9953 5,2777 5,5755 5,9466 6,4335 7,0547 7,7955 8,6053 9,4097 10,1370 10,7408 11,2098 11,5652 11,8470 12,0984 12,3589 12,6617 13,0253 13,4399 13,8617 14,2241 14,4550 14,4870 14,2631 13,7470 12,9307 11,8374 10,5207 9,0522 7,5005 5,9153 4,3326 2,7918 1,3433 0,0409 -1,0695 -1,9539 -2,5889 -2,9650 -3,0993 -3,0455 -2,8792 -2,6747 -2,4941 -2,3904 -2,4048 -2,5644 -2,8772 -3,3233 -3,8557 -4,4162 -4,9522 -5,4319 -5,8526 -6,2320 -6,5842 -6,9086 -7,1948 -7,4342 -7,6309 -7,8050 -7,9837 -8,1872 -8,4210 -8,6836 -8,9738 -9,2799 -9,5649 -9,7768 -9,8770 -9,8547 -9,7226 -9,5149 -9,2808 -9,0652 -8,8877 -8,7415 -8,6086 -8,4697 -8,3020 -8,0837 -7,8110 -7,4993 -7,1560 -6,7575 -6,2607 -5,6375 -4,8945 -4,0700 -3,2230
F3    2,7561 3,2578 4,0759 5,1443 6,2807 7,2346 7,7852 7,8194 7,3516 6,5060 5,4676 4,4062 3,4209 2,5443 1,7874 1,1634 0,6787 0,3187 0,0494 -0,1717 -0,3885 -0,6264 -0,8656 -1,0444 -1,0989 -1,0000 -0,7611 -0,4200 -0,0227 0,3709 0,6784 0,8077 0,6820 0,2578 -0,4624 -1,4238 -2,5197 -3,6106 -4,5660 -5,3110 -5,8371 -6,1681 -6,3264 -6,3244 -6,1728 -5,8894 -5,5126 -5,1066 -4,7423 -4,4723 -4,3285 -4,3221 -4,4264 -4,5643 -4,6338 -4,5677 -4,3809 -4,1602 -4,0045 -3,9727 -4,0678 -4,2427 -4,4328 -4,5968 -4,7229 -4,8044 -4,8283 -4,7774 -4,6348 -4,3954 -4,0769 -3,7145 -3,3406 -2,9721 -2,6156 -2,2815 -1,9885 -1,7673 -1,6698 -1,7639 -2,0869 -2,5887 -3,1299 -3,5441 -3,7001 -3,5293 -3,0368 -2,3087 -1,4976 -0,7761 -0,2792 -0,0620 -0,0869 -0,2446 -0,4028 -0,4742 -0,4702 -0,4919 -0,6527 -1,0030 -1,5288 -2,1989 -2,9862 -3,8507 -4,7231 -5,5164 -6,1600 -6,6184 -6,8902 -7,0007 -6,9972 -6,9449 -6,9235 -7,0121 -7,2523 -7,6180 -8,0303 -8,3967 -8,6387 -8,7039 -8,5611 -8,1946 -7,6175 -6,8837 -6,0727 -5,2678 -4,5471 -3,9597 -3,4861 -3,0326 -2,4784 -1,7360 -0,7857 0,3371 1,5807 2,8921 4,1914 5,3528 6,2466 6,8223 7,1534 7,4027 7,7330 8,2281 8,8739 9,6015 10,3354 11,0017 11,5202 11,8116 11,8114 11,4817 10,8282 9,9145 8,8634 7,8330 6,9660 6,3376 5,9312 5,6528 5,3897 5,0854 4,7628 4,4743 4,2403 4,0366 3,8193 3,5357 3,1219 2,5257 1,7507 0,8808 0,0526 -0,6244 -1,1320 -1,5311 -1,8938 -2,2506 -2,5839 -2,8545 -3,0253 -3,0691 -2,9695 -2,7193 -2,3204 -1,7981 -1,2197 -0,6930 -0,3363 -0,2467 -0,4710 -0,9920 -1,7487 -2,6713 -3,6882 -4,7100 -5,6326 -6,3588 -6,8178 -6,9839 -6,8975 -6,6641 -6,4060 -6,1947 -6,0304 -5,8811 -5,7256 -5,5677 -5,4448 -5,4415 -5,6772 -6,2585 -7,2192 -8,4756 -9,8290 -11,0325 -11,8927 -12,3394 -12,4114 -12,1796 -11,6925 -10,9876 -10,1188 -9,1555 -8,1569 -7,1601 -6,1905 -5,2618 -4,3571 -3,4551 -2,5997 -1,9248 -1,6028 -1,7647 -2,4233 -3,4385 -4,5643 -5,5555 -6,2565 -6,6298 -6,7404 -6,7064 -6,6152 -6,4523 -6,1093 -5,4620 -4,4448 -3,0879 -1,5248 0,0423 1,4176 2,4783 3,1841 3,5380 3,5516 3,2586 2,7482 2,1531 1,5920 1,1292 0,7796 0,5397 0,4158 0,4236 0,5666 0,8265 1,1794 1,6095 2,0889 2,5610 2,9644 3,2704 3,4909 3,6490 3,7357 3,6812 3,3671 2,6899 1,6501 0,3967 -0,8202 -1,7562 -2,2729 -2,3776 -2,1850 -1,8332 -1,4252 -1,0242 -0,6809 -0,4531 -0,3928 -0,5143 -0,7786 -1,1053 -1,3951 -1,5564 -1,5408 -1,3676 -1,0976 -0,7743 -0,3973 0,0527 0,5800 1,1621 1,7518 2,2920 2,7526 3,1544 3,5459 3,9606 4,4069 4,8804 5,3554 5,7552 5,9598 5,8717 5,4778 4,8333 3,9898 2,9602 1,7637 0,4863 -0,7113 -1,6460 -2,1896 -2,3279 -2,1663 -1,8797 -1,6362 -1,5310 -1,5664 -1,6982 -1,9044 -2,2057 -2,6330 -3,1945 -3,8671 -4,5953 -5,2947 -5,8717 -6,2604 -6,4501 -6,4876 -6,4577 -6,4486 -6,5047 -6,6021 -6,6784 -6,6879 -6,6184 -6,4720 -6,2528 -5,9827 -5,7216 -5,5520 -5,5245 -5,6209 -5,7779 -5,9311 -6,0312 -6,0387 -5,9238 -5,6731 -5,2965 -4,8278 -4,3254 -3,8692 -3,5407 -3,3965 -3,4521 -3,6704 -3,9717 -4,2641 -4,4662 -4,5009 -4,2869 -3,7619 -2,9334 -1,9097 -0,8762 -0,0299 0,4893 0,6267 0,3929 -0,1623 -0,9478 -1,8307 -2,6676 -3,3544 -3,8560 -4,1971 -4,4252 -4,5853 -4,7146 -4,8344 -4,9227 -4,9021 -4,6724 -4,1666 -3,3981 -2,4802 -1,5949 -0,9112 -0,5100 -0,3632 -0,3692 -0,4038 -0,3620 -0,2012 0,0221 0,1849 0,1951 0,0475 -0,2088 -0,5239 -0,8643 -1,2104 -1,5632 -1,9556 -2,4503 -3,1040 -3,9124 -4,7909 -5,6081 -6,2371 -6,5848 -6,5949 -6,2537 -5,6092 -4,7721 -3,8973 -3,1747 -2,8073 -2,9393 -3,5736 -4,5586 -5,6460 -6,5747 -7,1512 -7,3083 -7,1204 -6,7610 -6,4171 -6,2042 -6,1211 -6,0753 -5,9552 -5,6848 -5,2314 -4,5914 -3,7872 -2,8768 -1,9487 -1,0958 -0,4054 0,0444 0,2184 0,1578 -0,0325 -0,2273 -0,3139 -0,2162 0,0787 0,5168 1,0254 1,5736 2,1790 2,8625 3,5899 4,2419 4,6514 4,7020 4,4128 3,9353 3,4696 3,1670 3,0700 3,1056 3,1287 2,9832 2,5574 1,8337 0,9150 -0,0083 -0,7491 -1,2114 -1,4235 -1,5145 -1,6481 -1,9363 -2,3837 -2,9005 -3,3658 -3,6856 -3,8177 -3,7791 -3,6435 -3,5045 -3,4147 -3,3450 -3,1869 -2,7995 -2,0885 -1,0650 0,1555 1,4047 2,5345 3,4724 4,2180 4,7983 5,2358 5,5383 5,7137 5,8122 5,9363 6,1900 6,6112 7,1460 7,6886 8,1515 8,5019 8,7454 8,8994 9,0052 9,1538 9,4710 10,0628 10,9637 12,1098 13,3347 14,4107 15,1461 15,4708 15,4217 15,0476 14,3414 13,2566 11,7640 9,8945 7,7523 5,4905 3,2641 1,1957 -0,6285 -2,1371 -3,2536 -3,9128 -4,1084 -3,9221 -3,4948 -2,9565 -2,3902 -1,8522 -1,4150 -1,1934 -1,3241 -1,8949 -2,8730 -4,0951 -5,3365 -6,4153 -7,2581 -7,8967 -8,4092 -8,8381 -9,1475 -9,2520 -9,0863 -8,6574 -8,0516 -7,4083 -6,8802 -6,5835 -6,5619 -6,7982 -7,2495 -7,8652 -8,5837 -9,3349 -10,0434 -10,6234 -10,9936 -11,1256 -11,0760 -10,9567 -10,8684 -10,8443 -10,8265 -10,6810 -10,2504 -9,4322 -8,2357 -6,7746 -5,2087 -3,6844 -2,3054 -1,1321 -0,1975 0,4703 0,8394
F7    2,8826 3,4645 3,8622 4,1178 4,2979 4,4757 4,6924 4,9147 5,0498 5,0113 4,7686 4,3458 3,7953 3,1798 2,5733 2,0582 1,6989 1,5147 1,4822 1,5479 1,6360 1,6665 1,5743 1,3107 0,8362 0,1308 -0,7755 -1,7903 -2,7860 -3,6369 -4,2305 -4,4666 -4,2861 -3,7234 -2,9183 -2,0731 -1,3845 -0,9811 -0,8980 -1,1035 -1,5319 -2,0998 -2,7226 -3,3491 -3,9818 -4,6413 -5,2982 -5,8491 -6,1701 -6,1903 -5,9145 -5,4028 -4,7406 -4,0014 -3,2232 -2,4342 -1,6980 -1,1244 -0,8327 -0,8967 -1,3112 -1,9946 -2,8221 -3,6632 -4,3956 -4,9067 -5,1193 -5,0450 -4,8021 -4,5551 -4,4202 -4,4218 -4,5201 -4,6640 -4,8118 -4,9074 -4,8623 -4,5818 -4,0243 -3,2571 -2,4467 -1,7711 -1,3266 -1,0982 -0,9947 -0,9208 -0,8386 -0,7705 -0,7425 -0,7320 -0,6804 -0,5548 -0,3963 -0,3180 -0,4601 -0,9253 -1,7179 -2,7050 -3,6481 -4,3297 -4,6662 -4,6976 -4,5079 -4,1844 -3,8271 -3,5670 -3,5528 -3,8924 -4,5870 -5,5231 -6,5331 -7,4606 -8,1863 -8,6279 -8,7464 -8,5552 -8,0931 -7,3817 -6,4326 -5,3038 -4,1259 -3,0623 -2,2519 -1,7629 -1,5603 -1,5147 -1,4690 -1,3144 -1,0167 -0,5890 -0,0550 0,5598 1,2064 1,8074 2,2976 2,6665 2,9635 3,2729 3,6785 4,2359 4,9607 5,8298 6,7896 7,7619 8,6403 9,2941 9,6009 9,4954 9,0082 8,2610 7,4063 6,5588 5,7731 5,0665 4,4633 4,0244 3,8146 3,8328 3,9921 4,1656 4,2342 4,1072 3,7455 3,1752 2,4578 1,6531 0,8265 0,0711 -0,5127 -0,8688 -1,0185 -1,0482 -1,0541 -1,0890 -1,1625 -1,2691 -1,3952 -1,5247 -1,6690 -1,8793 -2,2193 -2,7361 -3,4487 -4,3405 -5,3428 -6,3207 -7,0940 -7,4991 -7,4545 -6,9959 -6,2719 -5,4893 -4,8274 -4,3883 -4,2027 -4,2363 -4,3870 -4,5259 -4,5811 -4,5735 -4,5618 -4,5710 -4,5749 -4,5330 -4,4435 -4,3680 -4,4071 -4,6542 -5,1667 -5,9654 -7,0320 -8,2893 -9,5835 -10,6935 -11,3838 -11,4979 -11,0345 -10,1445 -9,0679 -8,0551 -7,2835 -6,8083 -6,5866 -6,5445 -6,6330 -6,8435 -7,1855 -7,6479 -8,1735 -8,6658 -9,0091 -9,0922 -8,8607 -8,3663 -7,7442 -7,1335 -6,6235 -6,2620 -6,0802 -6,0802 -6,2175 -6,4227 -6,6320 -6,7932 -6,8637 -6,8172 -6,6548 -6,4000 -6,0700 -5,6498 -5,1212 -4,5245 -3,9617 -3,5184 -3,1975 -2,9354 -2,6572 -2,3128 -1,8957 -1,4480 -1,0262 -0,6503 -0,2973 0,0550 0,4013 0,7211 0,9927 1,1870 1,2693 1,2305 1,1162 1,0134 1,0012 1,1014 1,2683 1,4259 1,5136 1,5069 1,4104 1,2381 1,0041 0,7248 0,4180 0,0945 -0,2380 -0,5603 -0,8428 -1,0704 -1,2685 -1,5001 -1,8228 -2,2400 -2,7030 -3,1588 -3,5732 -3,9063 -4,0868 -4,0389 -3,7490 -3,3037 -2,8505 -2,5125 -2,3189 -2,1823 -1,9314 -1,4052 -0,5691 0,4424 1,4199 2,2189 2,8084 3,2097 3,4259 3,4280 3,1669 2,5901 1,6857 0,5420 -0,6529 -1,6918 -2,4339 -2,8286 -2,8969 -2,7092 -2,3777 -2,0468 -1,8538 -1,8789 -2,1269 -2,5505 -3,0698 -3,5676 -3,9219 -4,0866 -4,1321 -4,1947 -4,3839 -4,7248 -5,1644 -5,6187 -6,0218 -6,3497 -6,6127 -6,8290 -6,9929 -7,0483 -6,9086 -6,5324 -5,9867 -5,4317 -5,0323 -4,8563 -4,8463 -4,8906 -4,9109 -4,8876 -4,8415 -4,8068 -4,7949 -4,7708 -4,6896 -4,5611 -4,4572 -4,4501 -4,5510 -4,7038 -4,8286 -4,8731 -4,8323 -4,7212 -4,5224 -4,1548 -3,5035 -2,5012 -1,1938 0,2616 1,6584 2,8138 3,6150 4,0244 4,0570 3,7462 3,1080 2,1294 0,8045 -0,8150 -2,6050 -4,3903 -5,9674 -7,1363 -7,7633 -7,8322 -7,4240 -6,6652 -5,7065 -4,7085 -3,8054 -3,0755 -2,5389 -2,1672 -1,8977 -1,6559 -1,3727 -0,9934 -0,5094 -0,0019 0,3716 0,4568 0,1710 -0,4744 -1,3529 -2,2272 -2,8477 -3,0813 -2,9488 -2,5683 -2,0880 -1,6464 -1,3519 -1,2672 -1,3991 -1,7062 -2,1243 -2,5861 -3,0185 -3,3397 -3,4799 -3,4101 -3,1681 -2,8693 -2,6675 -2,6778 -2,9230 -3,3218 -3,7056 -3,8789 -3,7149 -3,2146 -2,4859 -1,6769 -0,9208 -0,3206 0,0492 0,1480 -0,0244 -0,4213 -0,9452 -1,4676 -1,8712 -2,0691 -2,0079 -1,6975 -1,2275 -0,7229 -0,2836 0,0458 0,2817 0,4851 0,7298 1,0790 1,5659 2,1672 2,7926 3,3070 3,5756 3,5114 3,1073 2,4469 1,6958 1,0545 0,6705 0,5751 0,6996 0,9369 1,1885 1,3857 1,4866 1,4523 1,2456 0,8564 0,3134 -0,3292 -1,0100 -1,6868 -2,3579 -3,0325 -3,6710 -4,1750 -4,4450 -4,4539 -4,2783 -4,0714 -3,9936 -4,1272 -4,4073 -4,6333 -4,5868 -4,1762 -3,4868 -2,6962 -1,9297 -1,1921 -0,4332 0,3460 1,0768 1,6898 2,1679 2,5341 2,8171 3,0457 3,2589 3,4863 3,7108 3,8749 3,9397 3,9347 3,9457 4,0658 4,3585 4,8410 5,4751 6,1728 6,8236 7,3321 7,6493 7,7902 7,8273 7,8571 7,9654 8,2054 8,5824 9,0466 9,5030 9,8345 9,9264 9,6915 9,0915 8,1507 6,9540 5,6238 4,2840 3,0288 1,9079 0,9331 0,0912 -0,6447 -1,2992 -1,8760 -2,3577 -2,7409 -3,0704 -3,4188 -3,8245 -4,2629 -4,6683 -4,9727 -5,1446 -5,2167 -5,2714 -5,3873 -5,5984 -5,8941 -6,2399 -6,5962 -6,9276 -7,2131 -7,4533 -7,6616 -7,8505 -8,0389 -8,2694 -8,5965 -9,0459 -9,5878 -10,1611 -10,7248 -11,2764 -11,8139 -12,3031 -12,6937 -12,9427 -13,0066 -12,8323 -12,3670 -11,5795 -10,4846 -9,1553 -7,7101 -6,2864 -5,0089 -3,9766 -3,2773 -2,9882 -3,1399 -3,6797 -4,4682 -5,3149 -6,0348 -6,4992 -6,6632
