Fp1   0,5695 0,4937 0,4070 0,2876 0,0851 -0,2503 -0,7285 -1,2876 -1,7803 -2,0228 -1,9074 -1,4790 -0,9087 -0,4096 -0,1511 -0,1893 -0,4445 -0,7606 -1,0097 -1,1456 -1,1696 -1,0672 -0,7972 -0,3417 0,2447 0,8464 1,3399 1,6322 1,6720 1,4669 1,0889 0,6414 0,2173 -0,1154 -0,3095 -0,3339 -0,1827 0,1023 0,4238 0,6570 0,7127 0,5959 0,4064 0,2736 0,2841 0,4486 0,7062 0,9547 1,1043 1,1301 1,0748 1,0098 0,9868 1,0079 1,0275 0,9864 0,8610 0,7069 0,6383 0,7199 0,9002 1,0717 1,1611 1,1604 1,1186 1,1135 1,2033 1,3864 1,5940 1,7258 1,7180 1,5817 1,3777 1,1639 0,9610 0,7533 0,5262 0,3069 0,1771 0,2466 0,5850 1,1437 1,7534 2,2226 2,4448 2,4300 2,2598 2,0085 1,6949 1,3088 0,8636 0,4118 0,0200 -0,2586 -0,3869 -0,3308 -0,0777 0,3242 0,7674 1,1326 1,3318 1,3184 1,0758 0,6044 -0,0807 -0,9374 -1,8940 -2,8709 -3,7826 -4,5149 -4,9516 -5,0528 -4,8948 -4,6195 -4,3483 -4,1393 -4,0027 -3,9275 -3,8962 -3,8944 -3,9159 -3,9517 -3,9727 -3,9254 -3,7394 -3,3441 -2,7046 -1,8552 -0,8943 0,0577 0,9152 1,6593 2,3104 2,8692 3,3011 3,5803 3,7250 3,7734 3,7389 3,6122 3,4140 3,2276 3,1599 3,2633 3,4820 3,6598 3,6137 3,2416 2,6029 1,9066 1,4057 1,2674 1,4990 1,9609 2,4509 2,8085 2,9815 3,0218 3,0316 3,1080 3,3145 3,6688 4,1230 4,5631 4,8547 4,9020 4,6676 4,1583 3,4150 2,5146 1,5621 0,6591 -0,1299 -0,7770 -1,2513 -1,4947 -1,4488 -1,1083 -0,5390 0,1641 0,9183 1,6454 2,2625 2,7020 2,9205 2,8863 2,5810 2,0182 1,2455 0,3303 -0,6490 -1,5985 -2,4173 -3,0411 -3,4871 -3,8431 -4,1925 -4,5510 -4,8783 -5,1308 -5,2763 -5,2753 -5,0821 -4,6705 -4,0607 -3,3353 -2,6327 -2,1032 -1,8451 -1,8629 -2,0729 -2,3554 -2,6235 -2,8551 -3,0654 -3,2555 -3,3969 -3,4591 -3,4417 -3,3750 -3,2809 -3,1295 -2,8470 -2,3756 -1,7245 -0,9752 -0,2481 0,3520 0,7771 1,0318 1,1361 1,0921 0,8768 0,4669 -0,1356 -0,8883 -1,6953 -2,4221 -2,9492 -3,2156 -3,2179 -2,9876 -2,5743 -2,0351 -1,4253 -0,8019 -0,2436 0,1453 0,2864 0,2031 0,0369 -0,0232 0,1458 0,5088 0,8849 1,0815 1,0282 0,7987 0,5315 0,3270 0,2077 0,1594 0,1716 0,2124 0,1946 0,0060 -0,4181 -1,0513 -1,7845 -2,4670 -2,9520 -3,1286 -2,9412 -2,4084 -1,6338 -0,7883 -0,0664 0,3800 0,5244 0,4946 0,4830 0,6087 0,8661 1,1774 1,4679 1,7008 1,8696 1,9778 2,0305 2,0353 2,0007 1,9239 1,7788 1,5256 1,1471 0,6747 0,1827 -0,2332 -0,4910 -0,5725 -0,5371 -0,4693 -0,4183 -0,3886 -0,3589 -0,2957 -0,1573 0,0907 0,4467 0,8557 1,2190 1,4426 1,5027 1,4630 1,4207 1,4413 1,5403 1,7044 1,9176 2,1735 2,4649 2,7672 3,0441 3,2657 3,4069 3,4459 3,3802 3,2307 3,0198 2,7585 2,4523 2,1040 1,7180 1,3186 0,9668 0,7550 0,7733 1,0696 1,6401 2,4360 3,3573 4,2601 4,9967 5,4457 5,5157 5,1663 4,4539 3,5463 2,6602 1,9599 1,5070 1,2882 1,2461 1,2846 1,3067 1,2741 1,2243 1,2283 1,3276 1,4982 1,6737 1,8032 1,8843 1,9505 2,0453 2,1980 2,4067 2,6353 2,8217 2,8986 2,8123 2,5330 2,0724 1,4931 0,8919 0,3730 0,0180 -0,1447 -0,1425 -0,0231 0,1786 0,4357 0,7158 1,0045 1,3305 1,7311 2,1856 2,5900 2,7962 2,6918 2,2671 1,6252 0,9310 0,3344 -0,0826 -0,3150 -0,4075 -0,4090 -0,3321 -0,1475 0,1760 0,6239 1,1322 1,6208 2,0185 2,2814 2,4190 2,5042 2,6380 2,8867 3,2400 3,6345 4,0164 4,3643 4,6510 4,8096 4,7549 4,4387 3,8894 3,2025 2,4912 1,8405 1,3045 0,9341 0,7875 0,9096 1,3065 1,9313 2,6830 3,4274 4,0326 4,3975 4,4641 4,2232 3,7202 3,0518 2,3457 1,7276 1,2851 1,0454 0,9881 1,0830 1,3116 1,6646 2,1318 2,6775 3,2104 3,6022 3,7572 3,6479 3,2929 2,7398 2,0640 1,3590 0,7244 0,2682 0,0956 0,2607 0,7171 1,3251 1,9249 2,4118 2,7515 2,9481 3,0180 2,9783 2,8330 2,5684 2,1781 1,7037 1,2507 0,9427 0,8425 0,9190 1,0827 1,2451 1,3630 1,4504 1,5372 1,6037 1,5730 1,3778 1,0206 0,5707 0,1167 -0,2739 -0,5697 -0,7723 -0,9005 -0,9700 -0,9781 -0,8986 -0,7019 -0,3888 -0,0121 0,3366 0,5687 0,6425 0,5714 0,3971 0,1667 -0,0624 -0,2175 -0,2367 -0,1030 0,1561 0,4944 0,8684 1,2499 1,6186 1,9425 2,1753 2,2856 2,2947 2,2797 2,3356 2,5189 2,8184 3,1792 3,5540 3,9270 4,2794 4,5408 4,6041 4,4036 3,9806 3,4720 3,0391 2,7878 2,7186 2,7370 2,7179 2,5699 2,2597 1,8149 1,3154 0,8605 0,5107 0,2549 0,0257 -0,2556 -0,6360 -1,1025 -1,5884 -2,0146 -2,3381 -2,5670 -2,7275 -2,8226 -2,8369 -2,7780 -2,6862 -2,5984 -2,5159 -2,4106 -2,2482 -2,0071 -1,6936 -1,3424 -0,9978 -0,6939 -0,4458 -0,2496 -0,0964 0,0012 -0,0005 -0,1517 -0,4767 -0,9567 -1,5243 -2,0705 -2,4811 -2,6969 -2,7383 -2,6674 -2,5449 -2,4241 -2,3557 -2,3752 -2,4801 -2,6169 -2,6890 -2,5968 -2,3028 -1,8765 -1,4631 -1,2025 -1,1642 -1,3310 -1,6321 -1,9916 -2,3607 -2,7213 -3,0587 -3,3331 -3,4956 -3,5326 -3,4786 -3,3813 -3,2617
Fz    0,3325 0,1669 0,0380 -0,0243 -0,0069 0,0691 0,1615 0,2429 0,3166 0,3894 0,4409 0,4332 0,3470 0,2005 0,0393 -0,0879 -0,1552 -0,1667 -0,1394 -0,0838 -0,0031 0,0935 0,1815 0,2263 0,2026 0,1050 -0,0598 -0,2804 -0,5353 -0,7853 -0,9802 -1,0779 -1,0659 -0,9715 -0,8479 -0,7355 -0,6334 -0,5086 -0,3264 -0,0758 0,2206 0,5101 0,7278 0,8261 0,8025 0,7001 0,5759 0,4678 0,3895 0,3440 0,3305 0,3431 0,3758 0,4238 0,4792 0,5326 0,5795 0,6317 0,7215 0,8866 1,1466 1,4918 1,8863 2,2840 2,6464 2,9510 3,1909 3,3666 3,4713 3,4856 3,3891 3,1735 2,8473 2,4357 1,9826 1,5483 1,1985 0,9904 0,9555 1,0795 1,2998 1,5338 1,7185 1,8315 1,8825 1,8973 1,9075 1,9383 1,9986 2,0854 2,1959 2,3288 2,4769 2,6282 2,7778 2,9333 3,1021 3,2708 3,3980 3,4297 3,3242 3,0675 2,6709 2,1554 1,5463 0,8845 0,2233 -0,4027 -0,9980 -1,5895 -2,1976 -2,8236 -3,4536 -4,0626 -4,6170 -5,0822 -5,4312 -5,6439 -5,7009 -5,5855 -5,2881 -4,8055 -4,1415 -3,3120 -2,3471 -1,2906 -0,1933 0,8972 1,9388 2,8864 3,6955 4,3447 4,8451 5,2158 5,4621 5,5792 5,5657 5,4332 5,2134 4,9605 4,7362 4,5840 4,5199 4,5446 4,6551 4,8408 5,0798 5,3437 5,6005 5,8154 5,9544 5,9940 5,9272 5,7619 5,5166 5,2212 4,9212 4,6726 4,5190 4,4678 4,4902 4,5457 4,6062 4,6544 4,6722 4,6423 4,5574 4,4196 4,2296 3,9837 3,6816 3,3296 2,9360 2,5095 2,0689 1,6484 1,2840 0,9985 0,8004 0,6903 0,6629 0,7053 0,7931 0,8899 0,9527 0,9391 0,8169 0,5778 0,2421 -0,1540 -0,5744 -0,9926 -1,3936 -1,7706 -2,1185 -2,4331 -2,7135 -2,9613 -3,1785 -3,3655 -3,5183 -3,6314 -3,7124 -3,7887 -3,8892 -4,0168 -4,1479 -4,2581 -4,3377 -4,3869 -4,4066 -4,3919 -4,3291 -4,2003 -3,9929 -3,7052 -3,3386 -2,8900 -2,3584 -1,7608 -1,1379 -0,5421 -0,0186 0,4057 0,7221 0,9380 1,0757 1,1622 1,2113 1,2155 1,1587 1,0341 0,8632 0,7078 0,6514 0,7535 1,0182 1,4020 1,8376 2,2611 2,6344 2,9533 3,2350 3,4955 3,7356 3,9407 4,0923 4,1739 4,1661 4,0393 3,7647 3,3361 2,7873 2,1891 1,6262 1,1678 0,8487 0,6716 0,6227 0,6763 0,7877 0,9007 0,9696 0,9736 0,9146 0,8076 0,6681 0,5022 0,3082 0,0863 -0,1506 -0,3724 -0,5387 -0,6174 -0,5994 -0,4923 -0,3122 -0,0917 0,1222 0,2944 0,4219 0,5205 0,6012 0,6649 0,7127 0,7541 0,8025 0,8586 0,9042 0,9199 0,9081 0,8903 0,8836 0,8906 0,9106 0,9482 1,0072 1,0867 1,1832 1,2884 1,3842 1,4496 1,4843 1,5192 1,5922 1,7133 1,8635 2,0231 2,1873 2,3563 2,5224 2,6745 2,8108 2,9380 3,0557 3,1510 3,2139 3,2535 3,2957 3,3719 3,5088 3,7208 4,0066 4,3439 4,6904 5,0036 5,2644 5,4751 5,6400 5,7587 5,8311 5,8534 5,8179 5,7218 5,5714 5,3789 5,1575 4,9196 4,6830 4,4757 4,3242 4,2421 4,2359 4,3110 4,4646 4,6714 4,8797 5,0299 5,0792 5,0059 4,8105 4,5241 4,2041 3,9064 3,6610 3,4704 3,3226 3,2019 3,0938 2,9883 2,8783 2,7620 2,6458 2,5439 2,4688 2,4229 2,3976 2,3785 2,3563 2,3332 2,3137 2,2951 2,2754 2,2584 2,2431 2,2145 2,1525 2,0483 1,9089 1,7498 1,5896 1,4484 1,3440 1,2899 1,2941 1,3573 1,4759 1,6470 1,8645 2,1109 2,3564 2,5682 2,7252 2,8261 2,8908 2,9508 3,0331 3,1493 3,3009 3,4873 3,7034 3,9356 4,1676 4,3915 4,6110 4,8304 5,0439 5,2363 5,3958 5,5227 5,6261 5,7155 5,7951 5,8601 5,8986 5,8984 5,8533 5,7647 5,6397 5,4899 5,3309 5,1766 5,0336 4,9042 4,7938 4,7093 4,6547 4,6298 4,6300 4,6458 4,6616 4,6590 4,6256 4,5630 4,4847 4,4055 4,3291 4,2452 4,1326 3,9714 3,7615 3,5338 3,3332 3,1870 3,0911 3,0236 2,9647 2,9060 2,8518 2,8122 2,7940 2,7977 2,8215 2,8639 2,9246 3,0079 3,1273 3,3013 3,5377 3,8188 4,1072 4,3666 4,5756 4,7249 4,8113 4,8387 4,8149 4,7411 4,6072 4,4022 4,1230 3,7768 3,3841 2,9812 2,6104 2,3017 2,0628 1,8851 1,7520 1,6442 1,5423 1,4236 1,2604 1,0302 0,7320 0,3961 0,0738 -0,1874 -0,3661 -0,4697 -0,5190 -0,5257 -0,4812 -0,3642 -0,1559 0,1562 0,5798 1,1136 1,7362 2,4036 3,0600 3,6535 4,1432 4,4985 4,7077 4,7891 4,7830 4,7322 4,6745 4,6427 4,6619 4,7490 4,9119 5,1452 5,4304 5,7452 6,0680 6,3738 6,6346 6,8268 6,9395 6,9800 6,9728 6,9469 6,9169 6,8761 6,8094 6,7098 6,5808 6,4301 6,2658 6,0944 5,9156 5,7196 5,4925 5,2239 4,9123 4,5620 4,1791 3,7700 3,3427 2,9071 2,4749 2,0539 1,6455 1,2512 0,8751 0,5197 0,1876 -0,1149 -0,3820 -0,6169 -0,8285 -1,0169 -1,1631 -1,2413 -1,2427 -1,1857 -1,0967 -0,9882 -0,8608 -0,7202 -0,5874 -0,4936 -0,4661 -0,5185 -0,6478 -0,8372 -1,0636 -1,3056 -1,5494 -1,7905 -2,0300 -2,2628 -2,4694 -2,6236 -2,7111 -2,7415 -2,7473 -2,7642 -2,8084 -2,8707 -2,9287 -2,9626 -2,9632 -2,9309 -2,8718 -2,7958 -2,7110 -2,6210 -2,5268 -2,4326 -2,3441 -2,2607 -2,1685 -2,0442 -1,8692 -1,6435 -1,3880 -1,1283
F3    -0,0995 -0,2698 -0,3496 -0,3057 -0,1163 0,1932 0,5505 0,8741 1,1080 1,2247 1,2115 1,0695 0,8202 0,5094 0,2005 -0,0504 -0,2217 -0,3289 -0,3997 -0,4477 -0,4724 -0,4778 -0,4888 -0,5429 -0,6636 -0,8441 -1,0522 -1,2456 -1,3839 -1,4398 -1,4061 -1,2957 -1,1346 -0,9549 -0,7913 -0,6700 -0,5860 -0,4901 -0,3100 0,0025 0,4354 0,9185 1,3528 1,6442 1,7355 1,6262 1,3632 1,0133 0,6486 0,3372 0,1241 0,0215 0,0197 0,0971 0,2260 0,3781 0,5233 0,6331 0,6973 0,7374 0,8045 0,9591 1,2363 1,6226 2,0605 2,4701 2,7770 2,9349 2,9340 2,7980 2,5748 2,3149 2,0501 1,7892 1,5313 1,2825 1,0697 0,9392 0,9252 1,0102 1,1240 1,1900 1,1696 1,0685 0,9225 0,7793 0,6777 0,6306 0,6313 0,6743 0,7601 0,8793 1,0064 1,1200 1,2310 1,3868 1,6400 2,0030 2,4238 2,7997 3,0152 2,9787 2,6486 2,0413 1,2295 0,3318 -0,5316 -1,3083 -2,0366 -2,7924 -3,6180 -4,4940 -5,3579 -6,1341 -6,7499 -7,1444 -7,2864 -7,1833 -6,8728 -6,4061 -5,8290 -5,1639 -4,4107 -3,5670 -2,6442 -1,6637 -0,6471 0,3831 1,3918 2,3229 3,1152 3,7398 4,2177 4,5953 4,9016 5,1272 5,2335 5,1873 4,9983 4,7310 4,4753 4,2978 4,2178 4,2234 4,3010 4,4421 4,6335 4,8539 5,0770 5,2764 5,4326 5,5370 5,5852 5,5622 5,4396 5,1975 4,8615 4,5140 4,2553 4,1440 4,1717 4,2899 4,4472 4,6024 4,7215 4,7832 4,7810 4,7147 4,5793 4,3686 4,0928 3,7894 3,5159 3,3322 3,2712 3,3089 3,3638 3,3412 3,1881 2,9154 2,5823 2,2615 1,9991 1,7887 1,5764 1,2903 0,8784 0,3386 -0,2754 -0,8775 -1,3822 -1,7358 -1,9361 -2,0310 -2,0960 -2,1981 -2,3631 -2,5693 -2,7715 -2,9286 -3,0150 -3,0256 -2,9836 -2,9446 -2,9854 -3,1702 -3,5130 -3,9663 -4,4399 -4,8374 -5,0902 -5,1717 -5,0889 -4,8723 -4,5668 -4,2152 -3,8304 -3,3760 -2,7846 -2,0042 -1,0410 0,0306 1,0856 1,9828 2,6003 2,8682 2,7873 2,4212 1,8653 1,2161 0,5593 -0,0260 -0,4626 -0,6793 -0,6337 -0,3441 0,1070 0,6080 1,0617 1,4163 1,6828 1,9240 2,2137 2,5970 3,0774 3,6296 4,2199 4,8054 5,3078 5,5882 5,4685 4,8237 3,6990 2,3371 1,0712 0,1638 -0,2933 -0,3710 -0,2204 0,0068 0,2000 0,3078 0,3359 0,3178 0,2806 0,2338 0,1779 0,1133 0,0429 -0,0274 -0,0888 -0,1292 -0,1325 -0,0856 0,0143 0,1619 0,3362 0,4752 0,4885 0,3261 0,0288 -0,3011 -0,5696 -0,7272 -0,7589 -0,6587 -0,4297 -0,1169 0,1828 0,3748 0,4371 0,4286 0,4289 0,4811 0,5818 0,6954 0,7731 0,7799 0,7129 0,5895 0,4222 0,2167 -0,0051 -0,1974 -0,3171 -0,3538 -0,3236 -0,2329 -0,0590 0,2273 0,6204 1,0661 1,4885 1,8253 2,0421 2,1401 2,1658 2,1988 2,3118 2,5395 2,8722 3,2638 3,6477 3,9548 4,1323 4,1706 4,1176 4,0540 4,0513 4,1500 4,3567 4,6385 4,9281 5,1534 5,2685 5,2638 5,1591 4,9978 4,8413 4,7415 4,6985 4,6576 4,5628 4,4147 4,2703 4,1884 4,1785 4,1986 4,1836 4,0702 3,8258 3,4693 3,0591 2,6613 2,3263 2,0750 1,8958 1,7656 1,6805 1,6591 1,7161 1,8425 2,0080 2,1746 2,3057 2,3708 2,3521 2,2583 2,1308 2,0304 2,0039 2,0616 2,1851 2,3440 2,4998 2,5997 2,5824 2,4063 2,0775 1,6515 1,2073 0,8108 0,4965 0,2795 0,1683 0,1587 0,2333 0,3771 0,5803 0,8221 1,0622 1,2601 1,3977 1,4813 1,5339 1,5950 1,7144 1,9270 2,2308 2,5883 2,9441 3,2456 3,4697 3,6380 3,7941 3,9550 4,0920 4,1610 4,1504 4,0935 4,0391 4,0131 4,0048 3,9774 3,8937 3,7430 3,5521 3,3700 3,2448 3,2104 3,2839 3,4621 3,7180 4,0060 4,2785 4,5024 4,6594 4,7332 4,7095 4,5857 4,3762 4,1109 3,8357 3,6056 3,4670 3,4338 3,4760 3,5338 3,5463 3,4760 3,3235 3,1307 2,9564 2,8335 2,7468 2,6532 2,5199 2,3517 2,1919 2,0926 2,0765 2,1234 2,1923 2,2526 2,2970 2,3322 2,3709 2,4329 2,5412 2,7073 2,9243 3,1740 3,4316 3,6637 3,8381 3,9467 4,0080 4,0385 4,0301 3,9598 3,8061 3,5524 3,1948 2,7572 2,2896 1,8444 1,4558 1,1372 0,8839 0,6760 0,4856 0,2862 0,0646 -0,1713 -0,3957 -0,5743 -0,6752 -0,6829 -0,6070 -0,4806 -0,3475 -0,2358 -0,1396 -0,0311 0,1143 0,3093 0,5638 0,8923 1,3039 1,7822 2,2823 2,7488 3,1346 3,4067 3,5551 3,6074 3,6196 3,6441 3,7105 3,8254 3,9811 4,1664 4,3730 4,5989 4,8499 5,1337 5,4432 5,7424 5,9705 6,0725 6,0392 5,9202 5,7985 5,7454 5,7825 5,8712 5,9363 5,9117 5,7745 5,5464 5,2695 4,9798 4,6929 4,4037 4,0970 3,7594 3,3876 2,9870 2,5646 2,1255 1,6801 1,2536 0,8836 0,6020 0,4102 0,2674 0,1033 -0,1463 -0,4971 -0,8998 -1,2735 -1,5609 -1,7552 -1,8820 -1,9666 -2,0219 -2,0541 -2,0656 -2,0495 -1,9893 -1,8732 -1,7054 -1,5010 -1,2757 -1,0442 -0,8285 -0,6612 -0,5796 -0,6169 -0,7925 -1,1044 -1,5260 -2,0124 -2,5060 -2,9436 -3,2678 -3,4399 -3,4548 -3,3531 -3,2073 -3,0830 -3,0082 -2,9713 -2,9409 -2,8875 -2,7992 -2,6877 -2,5758 -2,4780 -2,3955 -2,3281 -2,2844 -2,2754 -2,2964 -2,3175 -2,2929 -2,1840 -1,9823 -1,7171 -1,4360
F7    0,8351 0,8650 0,8692 0,8248 0,7099 0,4929 0,1535 -0,2698 -0,6662 -0,9160 -0,9760 -0,8963 -0,7656 -0,6509 -0,5729 -0,5178 -0,4654 -0,4104 -0,3601 -0,3150 -0,2588 -0,1711 -0,0529 0,0643 0,1429 0,1608 0,1051 -0,0349 -0,2603 -0,5527 -0,8647 -1,1288 -1,2872 -1,3192 -1,2376 -1,0655 -0,8179 -0,4965 -0,1033 0,3347 0,7600 1,1080 1,3328 1,4225 1,4045 1,3314 1,2483 1,1708 1,0918 1,0054 0,9170 0,8352 0,7634 0,6969 0,6262 0,5412 0,4413 0,3528 0,3275 0,4101 0,6101 0,9003 1,2345 1,5695 1,8800 2,1577 2,4020 2,5991 2,7003 2,6357 2,3634 1,9029 1,3279 0,7340 0,2126 -0,1683 -0,3752 -0,4068 -0,2846 -0,0542 0,2165 0,4569 0,6271 0,7332 0,8055 0,8643 0,9065 0,9150 0,8790 0,8114 0,7500 0,7404 0,8143 0,9764 1,2127 1,5062 1,8324 2,1416 2,3601 2,4178 2,2730 1,9180 1,3709 0,6678 -0,1378 -0,9682 -1,7304 -2,3620 -2,8666 -3,2908 -3,6814 -4,0707 -4,4741 -4,8849 -5,2770 -5,6188 -5,8789 -6,0269 -6,0388 -5,9058 -5,6311 -5,2198 -4,6742 -3,9981 -3,2011 -2,3014 -1,3257 -0,3066 0,7129 1,6716 2,5089 3,1978 3,7509 4,1937 4,5450 4,8134 4,9952 5,0818 5,0797 5,0268 4,9800 4,9853 5,0550 5,1674 5,2771 5,3299 5,2929 5,1815 5,0471 4,9351 4,8565 4,7902 4,7095 4,6058 4,4920 4,3937 4,3447 4,3809 4,5204 4,7449 5,0056 5,2483 5,4285 5,5130 5,4822 5,3364 5,1002 4,8163 4,5201 4,2206 3,9114 3,5861 3,2357 2,8538 2,4559 2,0906 1,8228 1,7035 1,7493 1,9374 2,2092 2,4820 2,6696 2,7080 2,5744 2,2845 1,8730 1,3782 0,8389 0,2916 -0,2370 -0,7336 -1,1944 -1,6250 -2,0436 -2,4734 -2,9230 -3,3787 -3,8139 -4,1983 -4,4975 -4,6849 -4,7638 -4,7667 -4,7212 -4,6249 -4,4717 -4,2883 -4,1309 -4,0479 -4,0509 -4,1148 -4,1950 -4,2419 -4,2098 -4,0628 -3,7787 -3,3529 -2,8074 -2,1978 -1,5988 -1,0711 -0,6370 -0,2875 -0,0075 0,2141 0,3962 0,5650 0,7295 0,8629 0,9153 0,8437 0,6435 0,3671 0,1066 -0,0486 -0,0430 0,1308 0,4232 0,7457 1,0252 1,2448 1,4346 1,6409 1,8957 2,1934 2,4839 2,6911 2,7470 2,6229 2,3408 1,9589 1,5447 1,1510 0,8067 0,5221 0,2992 0,1421 0,0607 0,0607 0,1279 0,2313 0,3425 0,4425 0,5160 0,5458 0,5113 0,3926 0,1840 -0,0955 -0,4041 -0,6892 -0,9012 -1,0077 -1,0003 -0,8892 -0,6966 -0,4603 -0,2204 0,0105 0,2532 0,5243 0,8100 1,0795 1,3045 1,4633 1,5417 1,5386 1,4723 1,3848 1,3291 1,3365 1,3920 1,4430 1,4295 1,3074 1,0601 0,7074 0,3038 -0,0828 -0,3951 -0,5991 -0,6795 -0,6251 -0,4274 -0,1031 0,2913 0,6844 1,0326 1,3266 1,5675 1,7567 1,9102 2,0560 2,2030 2,3259 2,3890 2,3785 2,3167 2,2504 2,2263 2,2736 2,4039 2,6036 2,8236 3,0032 3,1199 3,2025 3,2916 3,4018 3,5150 3,5956 3,6199 3,5959 3,5501 3,4940 3,4114 3,2802 3,1105 2,9498 2,8451 2,8127 2,8455 2,9306 3,0465 3,1498 3,1776 3,0811 2,8577 2,5448 2,1965 1,8755 1,6437 1,5345 1,5407 1,6373 1,8017 2,0028 2,1842 2,2737 2,2131 1,9818 1,6032 1,1376 0,6689 0,2817 0,0316 -0,0758 -0,0758 -0,0191 0,0449 0,0835 0,0952 0,0954 0,0835 0,0414 -0,0354 -0,1215 -0,1880 -0,2348 -0,2819 -0,3334 -0,3681 -0,3590 -0,2899 -0,1586 0,0204 0,2191 0,4067 0,5559 0,6423 0,6464 0,5629 0,4104 0,2354 0,0993 0,0500 0,1052 0,2598 0,4996 0,8064 1,1574 1,5245 1,8808 2,2071 2,4929 2,7337 2,9245 3,0571 3,1287 3,1492 3,1399 3,1295 3,1450 3,1951 3,2624 3,3156 3,3316 3,3047 3,2434 3,1589 3,0565 2,9397 2,8237 2,7354 2,7035 2,7498 2,8747 3,0435 3,1952 3,2699 3,2323 3,0833 2,8570 2,6073 2,3901 2,2440 2,1742 2,1464 2,1050 2,0097 1,8627 1,7000 1,5612 1,4709 1,4420 1,4794 1,5758 1,7095 1,8532 1,9789 2,0549 2,0513 1,9585 1,7956 1,6021 1,4236 1,2982 1,2466 1,2768 1,3961 1,6101 1,9080 2,2536 2,5933 2,8734 3,0569 3,1234 3,0630 2,8809 2,6024 2,2636 1,8946 1,5129 1,1268 0,7399 0,3580 -0,0028 -0,3234 -0,5936 -0,8068 -0,9498 -1,0171 -1,0311 -1,0326 -1,0491 -1,0819 -1,1217 -1,1623 -1,2024 -1,2456 -1,2941 -1,3343 -1,3331 -1,2528 -1,0670 -0,7605 -0,3231 0,2342 0,8630 1,4920 2,0584 2,5233 2,8711 3,1105 3,2743 3,4054 3,5345 3,6720 3,8143 3,9475 4,0504 4,1066 4,1213 4,1286 4,1727 4,2816 4,4599 4,6908 4,9340 5,1385 5,2695 5,3197 5,3008 5,2316 5,1318 5,0203 4,9180 4,8380 4,7680 4,6728 4,5186 4,2948 4,0148 3,7043 3,3872 3,0761 2,7704 2,4550 2,1090 1,7183 1,2798 0,8001 0,2981 -0,1956 -0,6452 -1,0123 -1,2645 -1,3928 -1,4186 -1,3825 -1,3317 -1,3113 -1,3480 -1,4363 -1,5472 -1,6521 -1,7315 -1,7610 -1,7069 -1,5482 -1,2969 -0,9982 -0,7201 -0,5329 -0,4820 -0,5639 -0,7326 -0,9389 -1,1641 -1,4197 -1,7246 -2,0795 -2,4525 -2,7948 -3,0762 -3,2984 -3,4774 -3,6220 -3,7268 -3,7755 -3,7457 -3,6185 -3,3956 -3,1067 -2,7962 -2,5043 -2,2523 -2,0399 -1,8583 -1,7070 -1,5919 -1,5144 -1,4642 -1,4136 -1,3224 -1,1658 -0,9648 -0,7767 -0,6486
