Fp1   2,2320 2,1458 2,1389 2,2718 2,5002 2,7107 2,7916 2,6889 2,4195 2,0307 1,5672 1,0940 0,7130 0,5213 0,5503 0,7470 1,0089 1,2527 1,4579 1,6318 1,7317 1,6515 1,3083 0,7336 0,0599 -0,5714 -1,0827 -1,4723 -1,7750 -2,0119 -2,1912 -2,3432 -2,5084 -2,6816 -2,7976 -2,7934 -2,6785 -2,5239 -2,3831 -2,2287 -1,9714 -1,5459 -0,9851 -0,4165 0,0098 0,1856 0,0548 -0,3882 -1,0652 -1,7944 -2,3554 -2,6013 -2,5170 -2,1804 -1,6950 -1,1753 -0,7485 -0,5200 -0,5363 -0,7609 -1,0616 -1,2561 -1,2111 -0,9113 -0,4486 0,0352 0,3955 0,5127 0,3154 -0,1909 -0,9047 -1,6533 -2,2716 -2,6713 -2,8352 -2,7688 -2,4942 -2,0976 -1,7411 -1,5724 -1,6370 -1,9070 -2,3727 -3,0867 -4,1231 -5,4700 -6,9469 -8,2420 -9,0368 -9,1317 -8,5479 -7,5574 -6,5772 -5,9666 -5,8568 -6,1262 -6,5249 -6,8220 -6,8785 -6,6829 -6,3562 -6,0758 -5,9675 -6,0596 -6,2970 -6,5662 -6,7210 -6,6142 -6,1385 -5,2725 -4,1106 -2,8252 -1,5657 -0,4031 0,6358 1,4955 2,0372 2,0687 1,4696 0,3084 -1,1616 -2,6166 -3,7961 -4,5686 -4,9116 -4,8594 -4,4761 -3,8448 -3,0456 -2,1412 -1,1863 -0,2448 0,5912 1,2035 1,4897 1,4224 1,0701 0,5689 0,0855 -0,2363 -0,3691 -0,4327 -0,5850 -0,8939 -1,3142 -1,7368 -2,0669 -2,2982 -2,4947 -2,6807 -2,7821 -2,6891 -2,3528 -1,8081 -1,1160 -0,3173 0,5389 1,3542 2,0024 2,3879 2,4809 2,3108 1,9454 1,4796 1,0088 0,5846 0,2166 -0,0807 -0,2800 -0,3835 -0,4478 -0,5584 -0,7679 -1,0405 -1,2674 -1,3445 -1,2072 -0,7979 -0,0583 1,0212 2,3641 3,8140 5,1600 6,1801 6,7039 6,6628 6,1018 5,1580 4,0196 2,8819 1,9216 1,2934 1,1122 1,4103 2,0975 2,9600 3,7334 4,2140 4,3173 4,0741 3,5926 2,9855 2,3216 1,6507 1,0525 0,6339 0,4663 0,5194 0,6579 0,7248 0,6388 0,4127 0,1199 -0,1298 -0,2304 -0,1352 0,1288 0,4951 0,9045 1,3303 1,7663 2,2123 2,6745 3,1625 3,6827 4,2259 4,7293 5,0606 5,0850 4,7737 4,2483 3,7135 3,3350 3,1690 3,1860 3,3264 3,5355 3,7761 4,0289 4,2886 4,5707 4,9129 5,3396 5,8129 6,2286 6,4747 6,5116 6,3998 6,2423 6,1060 6,0386 6,1375 6,5195 7,2100 8,1092 9,0448 9,8233 10,2954 10,4264 10,2782 9,9069 9,3161 8,5194 7,6025 6,6886 5,8806 5,2632 4,9123 4,8520 5,0157 5,2818 5,5419 5,7381 5,8539 5,8739 5,7616 5,4952 5,1207 4,7710 4,6053 4,6921 4,9443 5,1768 5,2216 5,0022 4,5475 3,9684 3,4035 2,9568 2,6798 2,5850 2,6482 2,8135 3,0385 3,3413 3,7732 4,3344 4,9399 5,4860 5,9343 6,3187 6,6923 7,0802 7,4710 7,8576 8,2920 8,8578 9,5469 10,2077 10,6444 10,7373 10,4753 9,9359 9,2556 8,5766 7,9774 7,4655 7,0512 6,8018 6,8081 7,1277 7,7526 8,5793 9,4214 10,0911 10,4839 10,5993 10,4999 10,2610 9,9569 9,6674 9,4522 9,3064 9,1516 8,8767 8,4053 7,7534 7,0295 6,3698 5,8703 5,5657 5,4452 5,4809 5,6580 5,9873 6,4844 7,1287 7,8340 8,4571 8,8549 8,9610 8,8318 8,6336 8,5544 8,6772 8,9346 9,1938 9,3672 9,4340 9,3842 9,1802 8,7831 8,2082 7,5465 6,9160 6,3837 5,9486 5,5848 5,2727 4,9932 4,7193 4,4379 4,1775 3,9880 3,8963 3,8995 3,9676 4,0253 3,9667 3,7289 3,3465 2,9221 2,5659 2,3764 2,4303 2,7384 3,2079 3,6862 4,0608 4,3068 4,4520 4,5324 4,5726 4,5732 4,4982 4,2818 3,8705 3,2754 2,5678 1,8241 1,0981 0,4373 -0,1106 -0,5152 -0,7606 -0,8160 -0,6319 -0,1749 0,5279 1,3468 2,0717 2,5420 2,7597 2,8481 2,9292 3,0595 3,2367 3,4265 3,5991 3,7643 3,9480 4,1355 4,2704 4,3155 4,2939 4,2706 4,2989 4,3903 4,5279 4,6821 4,8037 4,8164 4,6322 4,1959 3,5343 2,7655 2,0443 1,4823 1,1090 0,8920 0,7788 0,7307 0,7328 0,7889 0,9292 1,2044 1,6139 2,0468 2,3485 2,4418 2,3585 2,1823 1,9903 1,8345 1,7481 1,7216 1,6757 1,5308 1,3145 1,1611 1,2129 1,5192 2,0004 2,5073 2,9265 3,2275 3,4342 3,5903 3,7409 3,9144 4,1018 4,2439 4,2441 4,0283 3,6097 3,0629 2,4311 1,7008 0,8757 0,0389 -0,6736 -1,1424 -1,3085 -1,1741 -0,7848 -0,2206 0,4272 1,1008 1,7807 2,4584 3,1347 3,8212 4,5006 5,0664 5,3179 5,0699 4,3141 3,2574 2,1921 1,3520 0,8634 0,7625 1,0317 1,6172 2,4066 3,2171 3,8591 4,2278 4,3266 4,2351 4,0733 3,9584 3,9573 4,0616 4,2169 4,3885 4,5818 4,7946 4,9873 5,1200 5,2141 5,3669 5,6771 6,1341 6,5845 6,8190 6,7232 6,3542 5,8518 5,2988 4,6980 4,0490 3,3916 2,7799 2,2436 1,7691 1,3125 0,8504 0,4310 0,1693 0,1753 0,4671 0,9424 1,4354 1,8117 2,0292 2,1410 2,2547 2,4582 2,7534 3,0588 3,2700 3,3251 3,2237 2,9918 2,6485 2,2180 1,7461 1,2931 0,9321 0,7538 0,8387 1,2052 1,7897 2,4645 3,0709 3,4771 3,6439 3,6374 3,5621 3,4793 3,3905 3,2734 3,1068 2,8742 2,5742 2,2391 1,9198 1,6379 1,3764 1,1218 0,8771 0,6237 0,3127 -0,0953 -0,5922 -1,1250 -1,6332 -2,0902 -2,5236 -2,9950 -3,5329 -4,0894 -4,5706 -4,8703 -4,8797 -4,5379 -3,8943 -3,0939 -2,3041
Fz    2,4580 2,1026 1,6829 1,3070 1,0348 0,8489 0,6943 0,5252 0,3155 0,0567 -0,2184 -0,4179 -0,4334 -0,2182 0,1773 0,6356 1,0401 1,3350 1,5313 1,6604 1,7250 1,6864 1,4926 1,1298 0,6531 0,1655 -0,2353 -0,5075 -0,6808 -0,8275 -1,0231 -1,3136 -1,6825 -2,0431 -2,2932 -2,3936 -2,3805 -2,2999 -2,1504 -1,8886 -1,4770 -0,9316 -0,3356 0,1930 0,5556 0,7012 0,6164 0,3114 -0,1662 -0,7175 -1,2171 -1,5596 -1,6910 -1,6093 -1,3519 -0,9920 -0,6265 -0,3443 -0,2032 -0,2210 -0,3691 -0,5771 -0,7593 -0,8506 -0,8329 -0,7325 -0,5947 -0,4666 -0,4030 -0,4567 -0,6403 -0,9150 -1,2255 -1,5274 -1,7748 -1,9098 -1,8924 -1,7492 -1,5863 -1,5378 -1,6921 -2,0656 -2,6334 -3,3695 -4,2585 -5,2647 -6,2896 -7,1787 -7,7770 -7,9904 -7,8308 -7,4286 -6,9823 -6,6672 -6,5591 -6,6256 -6,7840 -6,9544 -7,0709 -7,0951 -7,0406 -6,9580 -6,8869 -6,8323 -6,7697 -6,6531 -6,4280 -6,0476 -5,4806 -4,7293 -3,8636 -3,0043 -2,2398 -1,5806 -1,0072 -0,5474 -0,3098 -0,4411 -1,0256 -2,0060 -3,1909 -4,3342 -5,2258 -5,7492 -5,8887 -5,6951 -5,2450 -4,6110 -3,8487 -3,0111 -2,1677 -1,4003 -0,7892 -0,4001 -0,2664 -0,3756 -0,6725 -1,0721 -1,4738 -1,7858 -1,9773 -2,1093 -2,2841 -2,5598 -2,9223 -3,3121 -3,6654 -3,9517 -4,1722 -4,3138 -4,3184 -4,1078 -3,6390 -2,9369 -2,0832 -1,1894 -0,3776 0,2433 0,6090 0,7094 0,5684 0,2254 -0,2595 -0,7964 -1,2910 -1,7002 -2,0491 -2,3855 -2,7272 -3,0572 -3,3562 -3,6195 -3,8395 -3,9846 -4,0046 -3,8514 -3,4796 -2,8434 -1,9217 -0,7513 0,5746 1,9269 3,1506 4,0879 4,6241 4,7227 4,4340 3,8796 3,2051 2,5312 1,9570 1,5953 1,5619 1,9029 2,5399 3,2896 3,9387 4,3194 4,3529 4,0688 3,5922 3,0740 2,6146 2,2522 2,0045 1,8935 1,9228 2,0483 2,1894 2,2770 2,2841 2,2096 2,0658 1,8992 1,7863 1,7810 1,8799 2,0347 2,1927 2,3372 2,4934 2,6976 2,9711 3,3173 3,7294 4,1881 4,6395 4,9860 5,1296 5,0486 4,8322 4,6243 4,5175 4,5028 4,5125 4,4992 4,4786 4,5160 4,6778 4,9919 5,4479 6,0239 6,6978 7,4282 8,1380 8,7295 9,1241 9,2914 9,2398 8,9994 8,6469 8,3355 8,2347 8,4120 8,7922 9,2207 9,5478 9,6868 9,6388 9,4685 9,2455 9,0042 8,7524 8,4975 8,2488 8,0166 7,8266 7,7152 7,6901 7,7022 7,6803 7,5934 7,4700 7,3573 7,2636 7,1375 6,9090 6,5534 6,1205 5,7015 5,3669 5,1248 4,9221 4,6821 4,3549 3,9391 3,4722 3,0086 2,6039 2,3141 2,1972 2,2987 2,6312 3,1731 3,8855 4,7106 5,5481 6,2656 6,7627 7,0264 7,1281 7,1834 7,3043 7,5635 7,9910 8,5960 9,3552 10,1650 10,8334 11,1580 11,0303 10,4904 9,7012 8,8679 8,1520 7,6234 7,2755 7,0769 7,0075 7,0527 7,1884 7,3758 7,5610 7,6883 7,7252 7,6730 7,5565 7,4014 7,2264 7,0559 6,9274 6,8692 6,8705 6,8803 6,8382 6,7127 6,5226 6,3227 6,1551 6,0144 5,8730 5,7412 5,6843 5,7838 6,0962 6,6246 7,2921 7,9473 8,4278 8,6383 8,5863 8,3768 8,1818 8,1678 8,3988 8,8040 9,2388 9,5739 9,7390 9,7058 9,4566 8,9890 8,3505 7,6475 7,0041 6,5063 6,1758 5,9787 5,8567 5,7630 5,6813 5,6221 5,6039 5,6318 5,6921 5,7603 5,7957 5,7292 5,4879 5,0477 4,4579 3,8142 3,2206 2,7715 2,5330 2,5150 2,6580 2,8667 3,0721 3,2514 3,3930 3,4774 3,5012 3,4896 3,4682 3,4358 3,3745 3,2765 3,1431 2,9570 2,6801 2,2912 1,8202 1,3406 0,9406 0,6991 0,6682 0,8628 1,2603 1,7857 2,3100 2,7071 2,9232 2,9804 2,9349 2,8437 2,7502 2,6812 2,6549 2,6947 2,8294 3,0645 3,3577 3,6287 3,7930 3,7880 3,5923 3,2467 2,8478 2,4930 2,2266 2,0287 1,8380 1,5974 1,2989 0,9814 0,6854 0,4136 0,1330 -0,1925 -0,5708 -0,9669 -1,3087 -1,5170 -1,5342 -1,3384 -0,9669 -0,5307 -0,1645 0,0542 0,1345 0,1366 0,1172 0,0979 0,0633 -0,0380 -0,2720 -0,6528 -1,0923 -1,4388 -1,5595 -1,4014 -1,0150 -0,5274 -0,0736 0,2602 0,4489 0,5148 0,5107 0,4963 0,5118 0,5610 0,6095 0,6049 0,5056 0,2856 -0,0768 -0,5814 -1,1711 -1,7343 -2,1554 -2,3642 -2,3450 -2,1204 -1,7371 -1,2610 -0,7561 -0,2454 0,2829 0,8241 1,3384 1,7837 2,1321 2,3426 2,3418 2,0711 1,5653 0,9715 0,4816 0,2463 0,3380 0,7591 1,4626 2,3624 3,3336 4,2315 4,9374 5,4023 5,6454 5,7212 5,6911 5,6088 5,5103 5,4024 5,2653 5,0796 4,8517 4,6102 4,3941 4,2511 4,2354 4,3917 4,7215 5,1523 5,5437 5,7486 5,7015 5,4546 5,1104 4,7319 4,3369 3,9509 3,6212 3,3780 3,2023 3,0395 2,8371 2,5801 2,3095 2,1128 2,0834 2,2679 2,6321 3,0752 3,4855 3,7904 3,9749 4,0777 4,1560 4,2289 4,2577 4,1916 4,0218 3,7893 3,5476 3,3306 3,1568 3,0461 3,0145 3,0644 3,1939 3,4073 3,7054 4,0660 4,4270 4,6949 4,7939 4,7194 4,5372 4,3311 4,1492 3,9977 3,8625 3,7171 3,5204 3,2325 2,8456 2,3956 1,9409 1,5373 1,2277 1,0259 0,9029 0,8041 0,6801 0,5022 0,2590 -0,0572 -0,4639 -0,9886 -1,6468 -2,4070 -3,1821 -3,8652 -4,3628 -4,6016 -4,5480 -4,2342 -3,7456 -3,1857
F3    2,1682 1,8752 1,5458 1,2483 1,0508 0,9824 1,0221 1,1136 1,1834 1,1579 1,0107 0,8068 0,6675 0,6723 0,8103 1,0110 1,1969 1,3149 1,3411 1,2724 1,1165 0,8766 0,5483 0,1482 -0,2641 -0,6029 -0,8008 -0,8480 -0,7885 -0,6893 -0,6350 -0,7197 -0,9835 -1,3744 -1,8099 -2,2486 -2,6665 -2,9874 -3,0768 -2,8205 -2,2221 -1,4183 -0,5992 0,0738 0,5023 0,6618 0,5843 0,3137 -0,1081 -0,6134 -1,1021 -1,4696 -1,6368 -1,5720 -1,3068 -0,9355 -0,5837 -0,3530 -0,2784 -0,3340 -0,4881 -0,7482 -1,1260 -1,5691 -1,9658 -2,2189 -2,2927 -2,1901 -1,9266 -1,5420 -1,1215 -0,7887 -0,6535 -0,7396 -0,9520 -1,1361 -1,1926 -1,1399 -1,0773 -1,1130 -1,3238 -1,7441 -2,3611 -3,1380 -4,0481 -5,0602 -6,0925 -7,0207 -7,7339 -8,1716 -8,3225 -8,2059 -7,8542 -7,3195 -6,6992 -6,1312 -5,7450 -5,6001 -5,6592 -5,8158 -5,9447 -5,9421 -5,7596 -5,4281 -5,0308 -4,6335 -4,2402 -3,8109 -3,3088 -2,7493 -2,2150 -1,7944 -1,4912 -1,2286 -0,9492 -0,6885 -0,5570 -0,6690 -1,0745 -1,7323 -2,5313 -3,3289 -3,9894 -4,4157 -4,5611 -4,4134 -3,9773 -3,2750 -2,3568 -1,3129 -0,2746 0,6081 1,1941 1,3697 1,0748 0,3453 -0,6657 -1,7267 -2,6113 -3,1840 -3,4433 -3,4913 -3,4547 -3,4322 -3,4890 -3,6472 -3,8742 -4,1137 -4,3216 -4,4508 -4,4251 -4,1579 -3,5989 -2,7719 -1,7804 -0,7764 0,0880 0,7062 1,0409 1,1165 0,9908 0,7276 0,3931 0,0628 -0,2111 -0,4500 -0,7300 -1,1032 -1,5483 -1,9931 -2,3756 -2,6823 -2,9238 -3,0817 -3,0973 -2,9079 -2,4706 -1,7650 -0,8163 0,2809 1,3985 2,4320 3,3153 4,0112 4,5004 4,7679 4,8106 4,6700 4,4252 4,1359 3,8263 3,5418 3,3767 3,4117 3,6428 3,9809 4,3040 4,5025 4,4980 4,2640 3,8505 3,3715 2,9469 2,6446 2,4723 2,4136 2,4495 2,5411 2,6211 2,6346 2,5836 2,5096 2,4487 2,4222 2,4460 2,5220 2,6211 2,6851 2,6618 2,5580 2,4525 2,4494 2,6203 2,9736 3,4579 3,9865 4,4567 4,7644 4,8392 4,6880 4,4025 4,1124 3,9215 3,8702 3,9336 4,0509 4,1711 4,2868 4,4287 4,6273 4,8896 5,2195 5,6442 6,2051 6,9177 7,7377 8,5605 9,2435 9,6308 9,6023 9,1665 8,5129 7,9153 7,5534 7,4352 7,4676 7,5618 7,6660 7,7422 7,7626 7,7283 7,6667 7,6134 7,6002 7,6378 7,7116 7,8015 7,8837 7,9091 7,8032 7,5183 7,0877 6,6232 6,2535 6,0422 5,9404 5,8275 5,6126 5,2991 4,9617 4,6949 4,5777 4,6371 4,8147 4,9720 4,9502 4,6590 4,1278 3,4822 2,8817 2,4702 2,3429 2,5282 2,9934 3,6590 4,3982 5,0447 5,4544 5,5844 5,5054 5,3452 5,2479 5,3613 5,7981 6,5831 7,6380 8,7980 9,8341 10,4991 10,6129 10,1585 9,3123 8,3590 7,5476 7,0046 6,7369 6,6775 6,7353 6,8361 6,9395 7,0334 7,1121 7,1442 7,0764 6,8787 6,5819 6,2726 6,0497 5,9685 6,0162 6,1357 6,2594 6,3248 6,2839 6,1143 5,8321 5,5029 5,2172 5,0246 4,9020 4,8066 4,7538 4,8258 5,1119 5,6508 6,3942 7,1898 7,8291 8,1511 8,1064 7,7458 7,1994 6,6699 6,3760 6,4402 6,8210 7,3435 7,7883 7,9819 7,8500 7,4238 6,8150 6,1707 5,6228 5,2570 5,1035 5,1370 5,2905 5,4939 5,7102 5,9320 6,1498 6,3422 6,4982 6,6239 6,7070 6,6738 6,4084 5,8380 4,9946 3,9952 2,9784 2,0714 1,3912 1,0295 1,0171 1,3001 1,7536 2,2458 2,6920 3,0472 3,2849 3,4126 3,4839 3,5677 3,7006 3,8676 4,0160 4,0707 3,9485 3,5935 3,0164 2,2982 1,5577 0,9207 0,4942 0,3247 0,3822 0,6072 0,9550 1,3861 1,8492 2,2934 2,6838 2,9989 3,2258 3,3656 3,4415 3,5002 3,6060 3,8109 4,1070 4,4184 4,6475 4,7062 4,5165 4,0459 3,3702 2,6576 2,0600 1,6348 1,3575 1,1731 1,0459 0,9787 0,9836 1,0442 1,1131 1,1284 1,0349 0,8078 0,4756 0,1190 -0,1658 -0,3117 -0,2958 -0,1394 0,1035 0,3869 0,7051 1,0684 1,4554 1,7999 2,0081 1,9917 1,6999 1,1364 0,3726 -0,4562 -1,1966 -1,7256 -1,9678 -1,9128 -1,6284 -1,2290 -0,8152 -0,4399 -0,1059 0,2221 0,5924 1,0317 1,5135 1,9530 2,2492 2,3296 2,1493 1,6816 0,9437 0,0232 -0,9275 -1,7243 -2,2087 -2,2994 -2,0176 -1,4732 -0,8211 -0,1941 0,3505 0,8205 1,2192 1,5090 1,6528 1,6590 1,5646 1,3937 1,1488 0,8417 0,5372 0,3590 0,4320 0,8107 1,4684 2,3382 3,3259 4,2983 5,1163 5,6998 6,0516 6,2279 6,2927 6,2855 6,2127 6,0648 5,8316 5,5025 5,0734 4,5691 4,0614 3,6591 3,4657 3,5297 3,8167 4,2135 4,5699 4,7659 4,7608 4,5879 4,3048 3,9497 3,5580 3,2081 3,0152 3,0661 3,3552 3,7764 4,1810 4,4545 4,5605 4,5346 4,4442 4,3467 4,2742 4,2345 4,2122 4,1831 4,1375 4,0919 4,0841 4,1435 4,2424 4,2815 4,1460 3,7897 3,2761 2,7516 2,3654 2,1986 2,2547 2,4917 2,8487 3,2645 3,6949 4,1149 4,5045 4,8316 5,0503 5,1164 4,9955 4,6699 4,1638 3,5685 3,0323 2,6928 2,5882 2,6284 2,6557 2,5461 2,2763 1,9149 1,5584 1,2699 1,0520 0,8699 0,7002 0,5416 0,3915 0,2409 0,0776 -0,1282 -0,4273 -0,8639 -1,4345 -2,0658 -2,6386 -3,0407 -3,2112 -3,1458 -2,8814 -2,4867 -2,0637
F7    1,7589 1,6353 1,5257 1,3939 1,2250 1,0148 0,7615 0,4811 0,2208 0,0455 0,0129 0,1522 0,4631 0,9111 1,3952 1,7497 1,8324 1,6239 1,2351 0,8238 0,5088 0,3425 0,3314 0,4620 0,6923 0,9244 1,0326 0,9358 0,6247 0,1435 -0,4199 -0,9601 -1,4005 -1,6978 -1,8177 -1,7578 -1,5867 -1,4214 -1,3617 -1,4354 -1,5885 -1,7310 -1,7900 -1,7219 -1,5155 -1,2168 -0,9180 -0,6985 -0,5955 -0,6251 -0,7804 -1,0140 -1,2589 -1,4602 -1,5791 -1,5945 -1,5224 -1,4186 -1,3643 -1,4356 -1,6395 -1,8786 -2,0247 -2,0269 -1,9217 -1,7624 -1,5778 -1,3985 -1,2828 -1,2806 -1,3779 -1,4992 -1,5713 -1,5665 -1,4816 -1,3112 -1,0756 -0,8525 -0,7578 -0,8963 -1,3179 -1,9910 -2,8211 -3,7005 -4,5406 -5,2746 -5,8508 -6,2223 -6,3514 -6,2287 -5,8917 -5,4325 -4,9809 -4,6488 -4,4738 -4,4173 -4,4201 -4,4534 -4,5246 -4,6547 -4,8441 -5,0580 -5,2426 -5,3372 -5,2664 -4,9487 -4,3434 -3,4966 -2,5337 -1,5927 -0,7685 -0,1201 0,3037 0,4868 0,4794 0,3719 0,2346 0,0796 -0,1243 -0,4001 -0,7224 -1,0173 -1,2008 -1,2341 -1,1485 -1,0137 -0,8912 -0,8170 -0,7970 -0,8001 -0,7847 -0,7494 -0,7407 -0,8024 -0,9234 -1,0397 -1,0775 -0,9994 -0,8249 -0,6136 -0,4244 -0,2915 -0,2382 -0,2996 -0,5009 -0,8132 -1,1617 -1,4771 -1,7210 -1,8746 -1,9218 -1,8458 -1,6476 -1,3566 -1,0091 -0,6351 -0,2725 0,0312 0,2421 0,3517 0,3681 0,3125 0,2214 0,1384 0,0973 0,1065 0,1376 0,1307 0,0326 -0,1534 -0,3679 -0,5471 -0,6621 -0,7145 -0,7075 -0,6163 -0,3796 0,0811 0,8218 1,8291 2,9974 4,1647 5,1677 5,8726 6,1952 6,1211 5,6970 5,0022 4,1411 3,2575 2,5185 2,0526 1,8937 1,9857 2,2152 2,4315 2,4863 2,3075 1,9393 1,5112 1,1714 1,0074 0,9898 1,0031 0,9463 0,7994 0,6155 0,4882 0,5068 0,6848 0,9255 1,0802 1,0505 0,8376 0,5237 0,2237 0,0354 -0,0055 0,0627 0,1733 0,2971 0,4577 0,6896 0,9955 1,3268 1,5898 1,6856 1,5572 1,2242 0,7854 0,3731 0,0895 -0,0329 -0,0449 -0,0507 -0,1222 -0,2317 -0,2818 -0,1904 0,0629 0,4418 0,8876 1,3496 1,7872 2,1524 2,3921 2,4773 2,4316 2,3355 2,3000 2,4081 2,6598 2,9758 3,2450 3,3667 3,2820 2,9956 2,5745 2,1277 1,7737 1,5908 1,5748 1,6404 1,6810 1,6352 1,4983 1,2853 1,0117 0,7078 0,4198 0,1861 0,0291 -0,0350 -0,0081 0,0572 0,0633 -0,0723 -0,3654 -0,7615 -1,1661 -1,4937 -1,7188 -1,8754 -2,0051 -2,1156 -2,1904 -2,2308 -2,2726 -2,3582 -2,5003 -2,6681 -2,7928 -2,7936 -2,6299 -2,3307 -1,9622 -1,5806 -1,2199 -0,9068 -0,6636 -0,4899 -0,3557 -0,2177 -0,0405 0,1926 0,4869 0,8417 1,2314 1,5890 1,8186 1,8278 1,5745 1,1057 0,5407 0,0036 -0,4247 -0,6973 -0,7741 -0,6196 -0,2413 0,2661 0,7423 1,0510 1,1401 1,0410 0,8395 0,6188 0,4069 0,1875 -0,0522 -0,3043 -0,5487 -0,7674 -0,9621 -1,1415 -1,2865 -1,3533 -1,3111 -1,1666 -0,9695 -0,7961 -0,6990 -0,6680 -0,6475 -0,5924 -0,5018 -0,3957 -0,2788 -0,1543 -0,0593 -0,0484 -0,1353 -0,2669 -0,3596 -0,3537 -0,2436 -0,0700 0,1092 0,2389 0,2754 0,1915 -0,0264 -0,3804 -0,8455 -1,3580 -1,8269 -2,1639 -2,3245 -2,3383 -2,2922 -2,2673 -2,2858 -2,3164 -2,3263 -2,3077 -2,2583 -2,1615 -2,0003 -1,7877 -1,5797 -1,4528 -1,4603 -1,6061 -1,8471 -2,1162 -2,3601 -2,5672 -2,7515 -2,9149 -3,0309 -3,0600 -2,9804 -2,8083 -2,5876 -2,3723 -2,2152 -2,1515 -2,1880 -2,3165 -2,5387 -2,8628 -3,2663 -3,6722 -3,9714 -4,0749 -3,9631 -3,6845 -3,3070 -2,8909 -2,5064 -2,2378 -2,1438 -2,2226 -2,4159 -2,6406 -2,8303 -2,9602 -3,0290 -3,0259 -2,9356 -2,7532 -2,4756 -2,1045 -1,6745 -1,2665 -0,9815 -0,8899 -0,9871 -1,1935 -1,4032 -1,5348 -1,5562 -1,4920 -1,4086 -1,3717 -1,4113 -1,5151 -1,6516 -1,8070 -2,0008 -2,2597 -2,5838 -2,9349 -3,2475 -3,4505 -3,4955 -3,3829 -3,1709 -2,9520 -2,8060 -2,7533 -2,7418 -2,6880 -2,5328 -2,2733 -1,9672 -1,7028 -1,5438 -1,4939 -1,5025 -1,4909 -1,3961 -1,2177 -1,0251 -0,9104 -0,9376 -1,1259 -1,4566 -1,8821 -2,3302 -2,7159 -2,9668 -3,0554 -3,0204 -2,9415 -2,8684 -2,7828 -2,6346 -2,4008 -2,1199 -1,8765 -1,7365 -1,7012 -1,7266 -1,7730 -1,8374 -1,9455 -2,1014 -2,2439 -2,2620 -2,0578 -1,6131 -1,0179 -0,4349 -0,0183 0,1503 0,0714 -0,1978 -0,5672 -0,9352 -1,2099 -1,3249 -1,2479 -0,9827 -0,5624 -0,0486 0,4661 0,8799 1,1240 1,1959 1,1580 1,0951 1,0561 1,0379 1,0202 1,0025 1,0081 1,0606 1,1575 1,2713 1,3736 1,4617 1,5600 1,6823 1,7937 1,8328 1,7840 1,7063 1,6727 1,6886 1,6843 1,5829 1,3648 1,0696 0,7510 0,4424 0,1632 -0,0709 -0,2470 -0,3386 -0,2951 -0,0815 0,2817 0,7289 1,1834 1,5772 1,8672 2,0425 2,1050 2,0479 1,8670 1,5916 1,2913 1,0397 0,8688 0,7627 0,6787 0,5747 0,4386 0,3057 0,2359 0,2667 0,3959 0,6011 0,8510 1,0993 1,2928 1,4084 1,4741 1,5338 1,5830 1,5538 1,3721 1,0152 0,5209 -0,0423 -0,6161 -1,1729 -1,7087 -2,2288 -2,7317 -3,2026 -3,6189 -3,9571 -4,1991 -4,3468 -4,4277 -4,4816 -4,5419 -4,6237 -4,7286 -4,8576 -5,0128 -5,1886 -5,3576 -5,4733 -5,5030 -5,4576 -5,3779 -5,2997
