Fp1   -3,1755 -3,5856 -3,9356 -4,1977 -4,3431 -4,3556 -4,2474 -4,0648 -3,8687 -3,6984 -3,5647 -3,4628 -3,3679 -3,2242 -2,9633 -2,5445 -1,9781 -1,3147 -0,6137 0,0841 0,7630 1,4215 2,0581 2,6541 3,1651 3,5341 3,7237 3,7430 3,6410 3,4794 3,3191 3,2080 3,1658 3,1785 3,2059 3,2015 3,1308 2,9828 2,7716 2,5261 2,2699 2,0026 1,6996 1,3323 0,8831 0,3511 -0,2475 -0,8937 -1,5757 -2,2726 -2,9446 -3,5458 -4,0347 -4,3862 -4,6091 -4,7385 -4,8091 -4,8421 -4,8470 -4,8269 -4,7809 -4,6973 -4,5512 -4,3150 -3,9720 -3,5209 -2,9777 -2,3784 -1,7730 -1,2063 -0,7032 -0,2685 0,1087 0,4554 0,8025 1,1602 1,5102 1,8306 2,1140 2,3607 2,5745 2,7672 2,9549 3,1456 3,3371 3,5188 3,6641 3,7365 3,7215 3,6483 3,5679 3,5167 3,5004 3,4975 3,4743 3,3995 3,2583 3,0489 2,7706 2,4286 2,0457 1,6535 1,2740 0,9158 0,5759 0,2397 -0,1109 -0,4881 -0,8960 -1,3288 -1,7742 -2,2160 -2,6328 -3,0095 -3,3531 -3,6828 -4,0041 -4,3000 -4,5484 -4,7341 -4,8383 -4,8295 -4,6758 -4,3669 -3,9247 -3,3910 -2,8074 -2,2057 -1,6095 -1,0285 -0,4524 0,1463 0,7923 1,4814 2,1774 2,8411 3,4561 4,0204 4,5180 4,9140 5,1812 5,3166 5,3318 5,2427 5,0607 4,7866 4,4253 4,0121 3,6146 3,2979 3,0841 2,9498 2,8610 2,8024 2,7769 2,7839 2,8032 2,7989 2,7376 2,6031 2,4050 2,1840 2,0036 1,9167 1,9328 2,0200 2,1345 2,2470 2,3534 2,4658 2,5965 2,7490 2,9208 3,1093 3,3139 3,5283 3,7260 3,8585 3,8789 3,7730 3,5650 3,2965 3,0062 2,7216 2,4585 2,2234 2,0096 1,8030 1,6018 1,4211 1,2710 1,1553 1,0966 1,1345 1,2854 1,5141 1,7536 1,9432 2,0430 2,0288 1,8981 1,6814 1,4336 1,1987 0,9836 0,7653 0,5170 0,2273 -0,0988 -0,4538 -0,8350 -1,2365 -1,6324 -1,9789 -2,2476 -2,4589 -2,6705 -2,9246 -3,2185 -3,5202 -3,7882 -3,9751 -4,0457 -3,9981 -3,8616 -3,6784 -3,4918 -3,3419 -3,2571 -3,2355 -3,2428 -3,2352 -3,1835 -3,0745 -2,9003 -2,6597 -2,3734 -2,0848 -1,8398 -1,6616 -1,5401 -1,4473 -1,3605 -1,2688 -1,1685 -1,0593 -0,9373 -0,7968 -0,6452 -0,5109 -0,4228 -0,3868 -0,3909 -0,4289 -0,5035 -0,6051 -0,7128 -0,8170 -0,9255 -1,0529 -1,2064 -1,3745 -1,5297 -1,6459 -1,7122 -1,7381 -1,7539 -1,8093 -1,9587 -2,2303 -2,5959 -2,9825 -3,3210 -3,5703 -3,7059 -3,7131 -3,5936 -3,3757 -3,1184 -2,8879 -2,7165 -2,5801 -2,4186 -2,1756 -1,8332 -1,4232 -1,0004 -0,6038 -0,2535 0,0254 0,2058 0,2827 0,2803 0,2321 0,1624 0,0879 0,0199 -0,0448 -0,1232 -0,2293 -0,3534 -0,4607 -0,5158 -0,5046 -0,4329 -0,3214 -0,2110 -0,1599 -0,2215 -0,4093 -0,6786 -0,9455 -1,1298 -1,1953 -1,1678 -1,1107 -1,0727 -1,0688 -1,0983 -1,1558 -1,2287 -1,3037 -1,3750 -1,4366 -1,4756 -1,4835 -1,4648 -1,4368 -1,4259 -1,4546 -1,5208 -1,5907 -1,6217 -1,5957 -1,5251 -1,4328 -1,3341 -1,2361 -1,1506 -1,0951 -1,0714 -1,0555 -1,0174 -0,9399 -0,8156 -0,6364 -0,3947 -0,0889 0,2754 0,6804 1,0875 1,4491 1,7327 1,9234 2,0018 1,9390 1,7159 1,3418 0,8572 0,3156 -0,2348 -0,7456 -1,1630 -1,4477 -1,5955 -1,6358 -1,6149 -1,5713 -1,5129 -1,4099 -1,2094 -0,8667 -0,3717 0,2461 0,9255 1,5857 2,1412 2,5246 2,7076 2,6996 2,5355 2,2660 1,9413 1,5958 1,2517 0,9340 0,6701 0,4760 0,3507 0,2878 0,2885 0,3602 0,5067 0,7187 0,9672 1,2115 1,4170 1,5711 1,6848 1,7731 1,8287 1,8220 1,7251 1,5339 1,2720 0,9826 0,7132 0,4937 0,3236 0,1817 0,0542 -0,0438 -0,0760 -0,0147 0,1387 0,3552 0,5955 0,8272 1,0336 1,2187 1,4069 1,6212 1,8644 2,1252 2,3939 2,6651 2,9358 3,2074 3,4810 3,7450 3,9802 4,1847 4,3790 4,5799 4,7776 4,9390 5,0296 5,0375 4,9794 4,8861 4,7839 4,6879 4,6065 4,5489 4,5256 4,5356 4,5585 4,5661 4,5322 4,4287 4,2258 3,9027 3,4627 2,9423 2,3967 1,8725 1,3917 0,9462 0,5049 0,0450 -0,4237 -0,8661 -1,2386 -1,5000 -1,6273 -1,6248 -1,5152 -1,3294 -1,1073 -0,8881 -0,6883 -0,4947 -0,2802 -0,0273 0,2670 0,5978 0,9563 1,3294 1,7052 2,0816 2,4754 2,9216 3,4534 4,0811 4,7846 5,5099 6,1701 6,6699 6,9456 6,9858 6,8252 6,5249 6,1509 5,7641 5,4163 5,1323 4,8891 4,6369 4,3472 4,0218 3,6707 3,3069 2,9535 2,6308 2,3418 2,0835 1,8597 1,6767 1,5330 1,4146 1,2949 1,1491 0,9691 0,7654 0,5520 0,3324 0,0979 -0,1561 -0,4121 -0,6313 -0,7703 -0,8022 -0,7300 -0,5751 -0,3556 -0,0853 0,2130 0,5028 0,7478 0,9271 1,0426 1,1151 1,1739 1,2506 1,3792 1,5841 1,8582 2,1704 2,4926 2,8104 3,1172 3,4128 3,7035 3,9899 4,2557 4,4726 4,6163 4,6755 4,6550 4,5751 4,4714 4,3884 4,3568 4,3666 4,3759 4,3484 4,2736 4,1590 4,0153 3,8470 3,6550 3,4389 3,1969 2,9315 2,6487 2,3473 2,0208 1,6676 1,3020 0,9500 0,6274 0,3275 0,0355 -0,2516 -0,5182 -0,7453 -0,9371 -1,1328 -1,3811 -1,6991 -2,0556 -2,3961 -2,6817 -2,9010 -3,0570 -3,1611 -3,2372 -3,3213 -3,4491 -3,6355 -3,8691 -4,1223 -4,3556 -4,5183 -4,5650 -4,4773 -4,2647 -3,9541 -3,5776 -3,1676
Fz    -2,9663 -3,3893 -3,7171 -3,9205 -3,9937 -3,9517 -3,8282 -3,6740 -3,5370 -3,4360 -3,3627 -3,3044 -3,2471 -3,1542 -2,9705 -2,6627 -2,2454 -1,7634 -1,2633 -0,7750 -0,3026 0,1761 0,6897 1,2435 1,8063 2,3196 2,7276 3,0051 3,1592 3,2170 3,2192 3,2089 3,2132 3,2347 3,2626 3,2893 3,3105 3,3153 3,2833 3,1916 3,0237 2,7718 2,4356 2,0258 1,5599 1,0462 0,4737 -0,1765 -0,9029 -1,6645 -2,3961 -3,0466 -3,5936 -4,0385 -4,4001 -4,7041 -4,9687 -5,1958 -5,3749 -5,4926 -5,5336 -5,4724 -5,2809 -4,9444 -4,4667 -3,8737 -3,2138 -2,5457 -1,9219 -1,3774 -0,9255 -0,5597 -0,2569 0,0157 0,2808 0,5321 0,7461 0,9133 1,0506 1,1859 1,3422 1,5283 1,7407 1,9736 2,2224 2,4788 2,7288 2,9615 3,1775 3,3842 3,5836 3,7669 3,9180 4,0215 4,0710 4,0666 4,0104 3,9045 3,7522 3,5616 3,3515 3,1456 2,9571 2,7796 2,5857 2,3396 2,0157 1,6018 1,0913 0,4902 -0,1724 -0,8484 -1,4881 -2,0634 -2,5804 -3,0689 -3,5532 -4,0300 -4,4765 -4,8671 -5,1733 -5,3636 -5,4090 -5,2855 -4,9870 -4,5424 -4,0052 -3,4291 -2,8554 -2,3063 -1,7790 -1,2518 -0,7010 -0,1165 0,4937 1,1083 1,6991 2,2352 2,6842 3,0211 3,2428 3,3694 3,4264 3,4337 3,3982 3,3088 3,1504 2,9283 2,6766 2,4448 2,2724 2,1706 2,1291 2,1375 2,1904 2,2759 2,3682 2,4362 2,4495 2,3867 2,2503 2,0764 1,9242 1,8465 1,8623 1,9529 2,0766 2,1915 2,2743 2,3268 2,3724 2,4408 2,5457 2,6834 2,8455 3,0145 3,1533 3,2221 3,2058 3,1188 2,9841 2,8115 2,5998 2,3524 2,0784 1,7804 1,4526 1,0937 0,7204 0,3622 0,0402 -0,2384 -0,4605 -0,5972 -0,6294 -0,5740 -0,4720 -0,3621 -0,2737 -0,2318 -0,2478 -0,3076 -0,3776 -0,4290 -0,4579 -0,4842 -0,5367 -0,6396 -0,8048 -1,0332 -1,3204 -1,6558 -2,0139 -2,3539 -2,6468 -2,9080 -3,1897 -3,5310 -3,9185 -4,2993 -4,6193 -4,8464 -4,9715 -5,0076 -4,9843 -4,9366 -4,8955 -4,8876 -4,9294 -5,0128 -5,1039 -5,1606 -5,1518 -5,0655 -4,9016 -4,6675 -4,3854 -4,0912 -3,8210 -3,5987 -3,4288 -3,2991 -3,1943 -3,1121 -3,0603 -3,0388 -3,0293 -3,0078 -2,9679 -2,9252 -2,9022 -2,9138 -2,9649 -3,0563 -3,1805 -3,3085 -3,3961 -3,4156 -3,3789 -3,3273 -3,2987 -3,3021 -3,3223 -3,3461 -3,3766 -3,4273 -3,5148 -3,6630 -3,9031 -4,2479 -4,6599 -5,0595 -5,3726 -5,5571 -5,5995 -5,5105 -5,3169 -5,0469 -4,7275 -4,3925 -4,0734 -3,7756 -3,4748 -3,1426 -2,7720 -2,3832 -2,0083 -1,6701 -1,3818 -1,1594 -1,0147 -0,9386 -0,9061 -0,8992 -0,9161 -0,9543 -1,0028 -1,0578 -1,1326 -1,2463 -1,4024 -1,5793 -1,7448 -1,8743 -1,9580 -2,0047 -2,0466 -2,1300 -2,2920 -2,5376 -2,8312 -3,1143 -3,3340 -3,4633 -3,5094 -3,5005 -3,4599 -3,4015 -3,3454 -3,3121 -3,3033 -3,3033 -3,2938 -3,2593 -3,1916 -3,1029 -3,0220 -2,9737 -2,9634 -2,9767 -2,9864 -2,9634 -2,8899 -2,7677 -2,6123 -2,4391 -2,2578 -2,0764 -1,9064 -1,7635 -1,6580 -1,5862 -1,5292 -1,4604 -1,3542 -1,1890 -0,9489 -0,6295 -0,2398 0,1957 0,6328 1,0203 1,3240 1,5289 1,6157 1,5507 1,3020 0,8660 0,2774 -0,4089 -1,1332 -1,8286 -2,4258 -2,8727 -3,1480 -3,2636 -3,2562 -3,1632 -3,0030 -2,7739 -2,4638 -2,0602 -1,5613 -0,9802 -0,3480 0,2789 0,8211 1,2078 1,4106 1,4428 1,3372 1,1361 0,8871 0,6336 0,4108 0,2503 0,1787 0,2055 0,3122 0,4603 0,6178 0,7825 0,9778 1,2234 1,5144 1,8203 2,1003 2,3253 2,4935 2,6200 2,7101 2,7470 2,7034 2,5651 2,3458 2,0800 1,7993 1,5129 1,2104 0,8822 0,5395 0,2261 0,0057 -0,0746 -0,0093 0,1661 0,3965 0,6324 0,8470 1,0405 1,2318 1,4443 1,6951 1,9912 2,3287 2,6941 3,0741 3,4662 3,8719 4,2755 4,6411 4,9386 5,1681 5,3555 5,5301 5,6996 5,8458 5,9461 5,9977 6,0184 6,0311 6,0533 6,0970 6,1737 6,2919 6,4440 6,6004 6,7234 6,7806 6,7450 6,5936 6,3095 5,8933 5,3758 4,8101 4,2404 3,6817 3,1221 2,5439 1,9520 1,3859 0,8997 0,5394 0,3328 0,2764 0,3311 0,4409 0,5599 0,6582 0,7183 0,7398 0,7473 0,7817 0,8764 1,0407 1,2648 1,5392 1,8606 2,2221 2,6144 3,0424 3,5291 4,0994 4,7638 5,5077 6,2802 6,9960 7,5628 7,9196 8,0534 7,9919 7,7834 7,4762 7,1113 6,7237 6,3316 5,9191 5,4528 4,9189 4,3296 3,7091 3,0931 2,5268 2,0438 1,6527 1,3444 1,1038 0,9116 0,7477 0,5960 0,4435 0,2836 0,1271 0,0009 -0,0769 -0,1208 -0,1708 -0,2613 -0,3954 -0,5425 -0,6538 -0,6821 -0,6012 -0,4102 -0,1253 0,2265 0,6068 0,9698 1,2754 1,5029 1,6546 1,7499 1,8234 1,9190 2,0769 2,3181 2,6356 3,0015 3,3850 3,7646 4,1314 4,4825 4,8087 5,0873 5,2897 5,3935 5,3919 5,2978 5,1382 4,9385 4,7163 4,4946 4,3085 4,1822 4,1109 4,0740 4,0525 4,0264 3,9673 3,8479 3,6596 3,4153 3,1399 2,8616 2,5992 2,3532 2,1096 1,8526 1,5805 1,3105 1,0589 0,8244 0,5964 0,3753 0,1758 0,0123 -0,1197 -0,2491 -0,4095 -0,6100 -0,8260 -1,0216 -1,1788 -1,3022 -1,4066 -1,5141 -1,6580 -1,8810 -2,2194 -2,6784 -3,2210 -3,7799 -4,2776 -4,6431 -4,8335 -4,8479 -4,7177 -4,4812 -4,1674 -3,8000
F3    -2,4190 -2,9230 -3,3213 -3,5677 -3,6701 -3,6611 -3,5811 -3,4865 -3,4292 -3,4201 -3,4317 -3,4338 -3,4079 -3,3227 -3,1251 -2,7821 -2,3154 -1,7773 -1,2150 -0,6628 -0,1398 0,3594 0,8544 1,3508 1,8243 2,2283 2,5243 2,7150 2,8423 2,9567 3,0898 3,2466 3,4089 3,5428 3,6208 3,6418 3,6200 3,5586 3,4435 3,2550 2,9831 2,6279 2,1898 1,6740 1,1047 0,5153 -0,0783 -0,6868 -1,3272 -1,9935 -2,6537 -3,2717 -3,8189 -4,2812 -4,6718 -5,0211 -5,3473 -5,6399 -5,8702 -6,0144 -6,0576 -5,9814 -5,7653 -5,3982 -4,8846 -4,2527 -3,5591 -2,8727 -2,2564 -1,7546 -1,3837 -1,1310 -0,9625 -0,8252 -0,6606 -0,4362 -0,1551 0,1739 0,5552 0,9904 1,4646 1,9488 2,4063 2,8066 3,1354 3,3902 3,5676 3,6663 3,7006 3,7010 3,7026 3,7334 3,7972 3,8653 3,8959 3,8578 3,7376 3,5347 3,2541 2,9129 2,5494 2,2078 1,9144 1,6678 1,4401 1,1893 0,8840 0,5053 0,0360 -0,5256 -1,1485 -1,7789 -2,3713 -2,9093 -3,4054 -3,8826 -4,3477 -4,7789 -5,1468 -5,4347 -5,6328 -5,7362 -5,7486 -5,6620 -5,4528 -5,1125 -4,6612 -4,1361 -3,5803 -3,0280 -2,4892 -1,9529 -1,4038 -0,8376 -0,2674 0,2849 0,8056 1,2878 1,7133 2,0533 2,2971 2,4665 2,5925 2,6907 2,7536 2,7506 2,6477 2,4357 2,1431 1,8286 1,5501 1,3330 1,1761 1,0849 1,0828 1,1834 1,3666 1,5832 1,7717 1,8770 1,8719 1,7727 1,6319 1,5038 1,4125 1,3519 1,3074 1,2781 1,2833 1,3491 1,4917 1,7056 1,9606 2,2200 2,4641 2,6757 2,8164 2,8405 2,7304 2,5105 2,2285 1,9186 1,5881 1,2383 0,8818 0,5319 0,1891 -0,1497 -0,4738 -0,7613 -0,9990 -1,1894 -1,3327 -1,4128 -1,4145 -1,3465 -1,2334 -1,0938 -0,9458 -0,8242 -0,7645 -0,7725 -0,8240 -0,8891 -0,9571 -1,0359 -1,1359 -1,2615 -1,4108 -1,5795 -1,7747 -2,0187 -2,3190 -2,6434 -2,9521 -3,2535 -3,6011 -4,0300 -4,5090 -4,9591 -5,3080 -5,5225 -5,6069 -5,5923 -5,5235 -5,4424 -5,3782 -5,3464 -5,3452 -5,3511 -5,3333 -5,2774 -5,1870 -5,0707 -4,9282 -4,7495 -4,5312 -4,2870 -4,0441 -3,8325 -3,6700 -3,5492 -3,4498 -3,3647 -3,3058 -3,2784 -3,2641 -3,2320 -3,1663 -3,0780 -2,9948 -2,9468 -2,9568 -3,0355 -3,1721 -3,3228 -3,4262 -3,4460 -3,3981 -3,3339 -3,2953 -3,2858 -3,2848 -3,2826 -3,2857 -3,2954 -3,3086 -3,3427 -3,4452 -3,6603 -3,9791 -4,3331 -4,6394 -4,8378 -4,8994 -4,8285 -4,6570 -4,4283 -4,1854 -3,9682 -3,8056 -3,6939 -3,5874 -3,4253 -3,1690 -2,8229 -2,4227 -2,0072 -1,6131 -1,2868 -1,0689 -0,9652 -0,9488 -0,9891 -1,0691 -1,1723 -1,2759 -1,3665 -1,4528 -1,5558 -1,6861 -1,8361 -1,9955 -2,1598 -2,3195 -2,4646 -2,6030 -2,7585 -2,9447 -3,1449 -3,3163 -3,4181 -3,4363 -3,3847 -3,2877 -3,1572 -2,9872 -2,7819 -2,5770 -2,4130 -2,3015 -2,2304 -2,1861 -2,1577 -2,1383 -2,1327 -2,1517 -2,1965 -2,2566 -2,3183 -2,3647 -2,3807 -2,3641 -2,3267 -2,2795 -2,2233 -2,1567 -2,0857 -2,0229 -1,9788 -1,9509 -1,9228 -1,8704 -1,7711 -1,6095 -1,3744 -1,0579 -0,6654 -0,2213 0,2337 0,6459 0,9667 1,1821 1,3104 1,3623 1,3188 1,1450 0,8197 0,3538 -0,2174 -0,8438 -1,4617 -2,0092 -2,4453 -2,7554 -2,9534 -3,0730 -3,1338 -3,1219 -3,0099 -2,7778 -2,4138 -1,9139 -1,2897 -0,5764 0,1580 0,8160 1,3089 1,5990 1,6949 1,6290 1,4491 1,2102 0,9577 0,7216 0,5235 0,3840 0,3199 0,3289 0,3831 0,4475 0,5146 0,6131 0,7761 1,0047 1,2626 1,5031 1,7050 1,8861 2,0744 2,2643 2,4117 2,4680 2,4129 2,2622 2,0502 1,8041 1,5306 1,2243 0,8840 0,5265 0,1936 -0,0558 -0,1693 -0,1259 0,0514 0,3044 0,5690 0,8045 1,0049 1,1937 1,4053 1,6649 1,9780 2,3331 2,7137 3,1106 3,5267 3,9654 4,4085 4,8134 5,1398 5,3776 5,5512 5,7005 5,8457 5,9715 6,0501 6,0755 6,0649 6,0373 6,0008 5,9607 5,9288 5,9160 5,9175 5,9129 5,8812 5,8102 5,6896 5,5029 5,2269 4,8414 4,3528 3,8061 3,2543 2,7202 2,1905 1,6431 1,0819 0,5521 0,1180 -0,1742 -0,3163 -0,3372 -0,2869 -0,2108 -0,1308 -0,0491 0,0353 0,1274 0,2482 0,4278 0,6846 1,0138 1,3904 1,7891 2,1987 2,6091 3,0004 3,3617 3,7105 4,0874 4,5376 5,0869 5,7136 6,3352 6,8379 7,1349 7,2011 7,0668 6,7861 6,4088 5,9757 5,5329 5,1208 4,7411 4,3628 3,9641 3,5443 3,1042 2,6462 2,1895 1,7659 1,4025 1,1073 0,8689 0,6705 0,5041 0,3696 0,2624 0,1698 0,0851 0,0167 -0,0270 -0,0612 -0,1209 -0,2352 -0,4077 -0,6167 -0,8227 -0,9826 -1,0644 -1,0468 -0,9114 -0,6512 -0,2847 0,1426 0,5730 0,9563 1,2613 1,4819 1,6491 1,8257 2,0688 2,3955 2,7779 3,1613 3,4924 3,7411 3,9083 4,0166 4,0870 4,1253 4,1312 4,1111 4,0824 4,0683 4,0776 4,0878 4,0625 3,9923 3,9105 3,8621 3,8667 3,9143 3,9769 4,0119 3,9713 3,8272 3,5855 3,2763 2,9350 2,5890 2,2490 1,9149 1,5888 1,2775 0,9942 0,7558 0,5593 0,3714 0,1586 -0,0788 -0,3121 -0,5185 -0,7127 -0,9419 -1,2459 -1,6207 -2,0207 -2,3929 -2,7110 -2,9773 -3,2004 -3,3857 -3,5490 -3,7323 -3,9871 -4,3344 -4,7438 -5,1503 -5,4828 -5,6864 -5,7356 -5,6398 -5,4292 -5,1304 -4,7593 -4,3341
F7    -1,4758 -1,8955 -2,3447 -2,7558 -3,0676 -3,2395 -3,2629 -3,1762 -3,0459 -2,9246 -2,8458 -2,8375 -2,9051 -2,9970 -2,9997 -2,7931 -2,3318 -1,6665 -0,8827 -0,0404 0,8234 1,6625 2,4096 2,9863 3,3291 3,4138 3,2700 2,9843 2,6641 2,3831 2,1725 2,0528 2,0380 2,1037 2,1787 2,1839 2,0814 1,8970 1,6962 1,5350 1,4258 1,3372 1,2224 1,0467 0,7929 0,4576 0,0553 -0,3935 -0,8868 -1,4351 -2,0339 -2,6462 -3,2003 -3,6258 -3,9141 -4,1208 -4,3032 -4,4789 -4,6363 -4,7548 -4,8048 -4,7420 -4,5252 -4,1401 -3,5985 -2,9288 -2,1865 -1,4579 -0,8304 -0,3577 -0,0501 0,1143 0,1745 0,1870 0,2264 0,3548 0,5965 0,9554 1,4262 1,9761 2,5401 3,0417 3,4208 3,6622 3,7972 3,8636 3,8546 3,7278 3,4692 3,1281 2,7906 2,5361 2,4052 2,3881 2,4335 2,4697 2,4379 2,3083 2,0683 1,7215 1,3015 0,8624 0,4513 0,0974 -0,1943 -0,4519 -0,7196 -1,0300 -1,3950 -1,8102 -2,2614 -2,7242 -3,1616 -3,5342 -3,8238 -4,0396 -4,1954 -4,2912 -4,3236 -4,2943 -4,2027 -4,0503 -3,8393 -3,5556 -3,1762 -2,6963 -2,1438 -1,5803 -1,0758 -0,6563 -0,2859 0,0874 0,4866 0,8962 1,2780 1,6015 1,8763 2,1501 2,4600 2,7919 3,0923 3,3081 3,4178 3,4388 3,3950 3,2779 3,0619 2,7455 2,3649 1,9816 1,6542 1,4104 1,2499 1,1733 1,1929 1,3070 1,4768 1,6396 1,7388 1,7469 1,6700 1,5471 1,4452 1,4294 1,5185 1,6732 1,8316 1,9544 2,0486 2,1570 2,3207 2,5527 2,8441 3,1857 3,5667 3,9494 4,2560 4,3954 4,3069 3,9884 3,4811 2,8350 2,1044 1,3666 0,7157 0,2259 -0,0920 -0,2880 -0,4156 -0,4933 -0,5224 -0,5028 -0,4238 -0,2688 -0,0461 0,2044 0,4369 0,6184 0,7205 0,7111 0,5721 0,3205 0,0061 -0,3125 -0,5960 -0,8347 -1,0440 -1,2544 -1,4939 -1,7718 -2,0906 -2,4590 -2,8682 -3,2665 -3,5822 -3,7859 -3,9179 -4,0431 -4,1991 -4,3938 -4,6121 -4,8149 -4,9579 -5,0216 -5,0153 -4,9658 -4,9064 -4,8585 -4,8070 -4,7037 -4,5132 -4,2559 -3,9930 -3,7691 -3,5761 -3,3696 -3,1152 -2,8195 -2,5261 -2,2878 -2,1321 -2,0475 -2,0073 -1,9986 -2,0173 -2,0410 -2,0233 -1,9196 -1,7147 -1,4311 -1,1138 -0,8036 -0,5278 -0,3168 -0,1967 -0,1606 -0,1772 -0,2340 -0,3545 -0,5719 -0,8865 -1,2432 -1,5609 -1,7816 -1,8795 -1,8470 -1,7031 -1,5113 -1,3661 -1,3449 -1,4607 -1,6669 -1,9066 -2,1390 -2,3369 -2,4827 -2,5651 -2,5822 -2,5505 -2,5042 -2,4694 -2,4323 -2,3441 -2,1612 -1,8726 -1,5038 -1,1023 -0,7043 -0,3218 0,0287 0,3093 0,4907 0,5806 0,6104 0,6050 0,5724 0,5137 0,4350 0,3521 0,2853 0,2554 0,2719 0,3188 0,3640 0,3917 0,4026 0,3817 0,2953 0,1244 -0,1044 -0,3186 -0,4322 -0,3974 -0,2364 -0,0255 0,1566 0,2693 0,3075 0,2768 0,1941 0,0914 -0,0008 -0,0642 -0,0828 -0,0407 0,0676 0,2251 0,3856 0,4868 0,4839 0,3744 0,1937 -0,0065 -0,1708 -0,2468 -0,2031 -0,0429 0,1984 0,4577 0,6608 0,7582 0,7525 0,6999 0,6811 0,7567 0,9492 1,2595 1,6731 2,1441 2,5966 2,9576 3,1918 3,3131 3,3585 3,3442 3,2573 3,0773 2,7991 2,4476 2,0647 1,6804 1,3144 0,9906 0,7271 0,5210 0,3550 0,2154 0,1025 0,0271 0,0053 0,0660 0,2513 0,5989 1,1173 1,7704 2,4807 3,1494 3,6887 4,0435 4,1882 4,1216 3,8722 3,4892 3,0227 2,5173 2,0182 1,5803 1,2588 1,0842 1,0457 1,1040 1,2306 1,4321 1,7178 2,0518 2,3584 2,5731 2,6845 2,7311 2,7578 2,7751 2,7632 2,7004 2,5812 2,4133 2,2096 1,9929 1,7949 1,6400 1,5328 1,4605 1,4094 1,3833 1,4096 1,5180 1,7045 1,9201 2,1022 2,2179 2,2815 2,3404 2,4467 2,6288 2,8806 3,1750 3,4840 3,7876 4,0779 4,3550 4,6046 4,7975 4,9299 5,0460 5,2074 5,4446 5,7324 6,0107 6,2311 6,3713 6,4138 6,3419 6,1654 5,9289 5,6821 5,4526 5,2409 5,0307 4,8048 4,5541 4,2707 3,9418 3,5545 3,1040 2,6073 2,1058 1,6414 1,2338 0,8745 0,5350 0,1937 -0,1345 -0,4041 -0,5702 -0,6168 -0,5638 -0,4510 -0,3083 -0,1404 0,0621 0,3081 0,6036 0,9518 1,3488 1,7867 2,2621 2,7712 3,2961 3,8090 4,2836 4,7014 5,0582 5,3728 5,6839 6,0321 6,4355 6,8708 7,2682 7,5353 7,5985 7,4363 7,0884 6,6354 6,1608 5,7308 5,3913 5,1526 4,9778 4,8144 4,6332 4,4278 4,1997 3,9585 3,7183 3,4877 3,2633 3,0293 2,7682 2,4815 2,2030 1,9797 1,8369 1,7684 1,7464 1,7313 1,6880 1,6020 1,4745 1,3098 1,1121 0,8937 0,6854 0,5218 0,4164 0,3731 0,4113 0,5548 0,8032 1,1242 1,4712 1,8081 2,1244 2,4307 2,7412 3,0617 3,3950 3,7405 4,0779 4,3684 4,5842 4,7283 4,8241 4,9011 4,9862 5,0927 5,2215 5,3772 5,5733 5,8139 6,0705 6,2822 6,3870 6,3695 6,2719 6,1474 6,0183 5,8862 5,7526 5,6219 5,4952 5,3661 5,2219 5,0473 4,8264 4,5505 4,2168 3,8169 3,3349 2,7723 2,1852 1,6720 1,2944 1,0216 0,7679 0,4746 0,1465 -0,1826 -0,5070 -0,8688 -1,3245 -1,8926 -2,5272 -3,1398 -3,6546 -4,0464 -4,3307 -4,5346 -4,6833 -4,7954 -4,8757 -4,9206 -4,9279 -4,8877 -4,7720 -4,5456 -4,1858 -3,6970 -3,1203 -2,5291 -2,0056 -1,6117
