Fp1   -0,7247 -0,7074 -0,6499 -0,5552 -0,4206 -0,2427 -0,0018 0,3344 0,7660 1,2288 1,6236 1,8604 1,8678 1,5901 1,0181 0,2352 -0,5743 -1,1942 -1,4891 -1,4754 -1,2909 -1,0867 -0,9298 -0,8001 -0,6612 -0,5033 -0,3203 -0,0853 0,2305 0,6238 1,0409 1,3915 1,5903 1,5896 1,3718 0,9338 0,3211 -0,3283 -0,8244 -1,0323 -0,9371 -0,6264 -0,2361 0,0965 0,2668 0,2277 -0,0076 -0,3862 -0,8358 -1,2814 -1,6740 -2,0135 -2,3341 -2,6601 -2,9710 -3,2067 -3,2999 -3,2096 -2,9344 -2,5063 -1,9827 -1,4469 -0,9934 -0,6920 -0,5711 -0,6329 -0,8693 -1,2601 -1,7575 -2,2751 -2,7037 -2,9538 -2,9921 -2,8322 -2,4977 -2,0143 -1,4362 -0,8583 -0,3918 -0,1278 -0,1053 -0,2954 -0,6209 -0,9966 -1,3559 -1,6639 -1,9269 -2,1740 -2,4141 -2,6179 -2,7398 -2,7461 -2,6292 -2,4051 -2,1007 -1,7443 -1,3671 -1,0101 -0,7284 -0,5836 -0,6184 -0,8284 -1,1585 -1,5353 -1,9102 -2,2682 -2,6029 -2,8955 -3,1310 -3,3209 -3,4878 -3,6338 -3,7389 -3,7842 -3,7721 -3,7307 -3,6874 -3,6415 -3,5737 -3,4764 -3,3623 -3,2569 -3,1940 -3,2116 -3,3500 -3,6496 -4,1327 -4,7798 -5,5234 -6,2605 -6,8814 -7,3098 -7,5163 -7,4921 -7,2282 -6,7325 -6,0589 -5,3091 -4,5952 -3,9973 -3,5342 -3,1593 -2,7906 -2,3690 -1,9042 -1,4658 -1,1270 -0,9176 -0,8090 -0,7180 -0,5268 -0,1330 0,4990 1,3293 2,2676 3,2041 4,0363 4,6860 5,1060 5,2835 5,2378 5,0082 4,6403 4,1911 3,7484 3,4265 3,3293 3,5270 4,0520 4,8778 5,8943 6,9316 7,8325 8,5092 8,9493 9,1968 9,3211 9,3803 9,4054 9,4096 9,4009 9,3824 9,3473 9,2863 9,2120 9,1817 9,2802 9,5626 10,0002 10,4713 10,8161 10,9359 10,8501 10,6538 10,4403 10,2581 10,0987 9,9124 9,6474 9,2768 8,8011 8,2508 7,6879 7,2004 6,8949 6,8723 7,1844 7,8116 8,6824 9,6972 10,7304 11,6357 12,2744 12,5510 12,4287 11,9222 11,0967 10,0797 9,0455 8,1562 7,5022 7,0835 6,8316 6,6659 6,5604 6,5636 6,7557 7,1739 7,7596 8,3778 8,9046 9,3004 9,5991 9,8359 9,9994 10,0461 9,9401 9,6744 9,2669 8,7421 8,1202 7,4287 6,7271 6,1100 5,6634 5,4118 5,3207 5,3408 5,4312 5,5536 5,6661 5,7271 5,7056 5,5991 5,4449 5,3023 5,2270 5,2584 5,4138 5,6808 6,0102 6,3225 6,5265 6,5412 6,3196 5,8674 5,2422 4,5382 3,8769 3,3936 3,1943 3,2966 3,6164 4,0172 4,3740 4,5917 4,5938 4,3289 3,8090 3,1368 2,4788 1,9983 1,7959 1,8831 2,1867 2,5771 2,9159 3,0985 3,0707 2,8269 2,4202 1,9744 1,6514 1,5851 1,8299 2,3379 2,9642 3,5166 3,8285 3,8137 3,4806 2,9153 2,2592 1,6910 1,3813 1,4095 1,7130 2,1280 2,4869 2,6985 2,7633 2,7261 2,6195 2,4539 2,2513 2,0595 1,9208 1,8341 1,7586 1,6636 1,5626 1,4908 1,4633 1,4603 1,4472 1,4048 1,3452 1,3054 1,3309 1,4544 1,6732 1,9372 2,1551 2,2283 2,1056 1,8189 1,4676 1,1611 0,9594 0,8457 0,7510 0,6187 0,4667 0,3915 0,5064 0,8647 1,4275 2,0925 2,7487 3,3208 3,7787 4,1184 4,3388 4,4351 4,3979 4,2120 3,8703 3,4063 2,9014 2,4531 2,1390 2,0031 2,0517 2,2454 2,4899 2,6582 2,6533 2,4628 2,1644 1,8819 1,7268 1,7707 2,0401 2,4973 3,0137 3,3896 3,4492 3,1503 2,6113 2,0337 1,6013 1,4280 1,5386 1,8596 2,2450 2,5494 2,7011 2,7198 2,6716 2,6085 2,5353 2,4261 2,2677 2,0840 1,9341 1,8896 1,9929 2,2192 2,4821 2,6901 2,8029 2,8408 2,8530 2,8696 2,8652 2,7762 2,5716 2,3026 2,0716 1,9499 1,9152 1,8595 1,6707 1,3240 0,9057 0,5527 0,3690 0,3921 0,6130 0,9922 1,4415 1,8231 2,0064 1,9390 1,6657 1,2942 0,9368 0,6730 0,5526 0,6046 0,8313 1,2028 1,6554 2,0872 2,3730 2,4112 2,1756 1,7246 1,1738 0,6662 0,3410 0,2867 0,5052 0,9192 1,4140 1,8800 2,2306 2,4033 2,3684 2,1473 1,8166 1,4914 1,3034 1,3629 1,6967 2,2155 2,7479 3,1127 3,1887 2,9639 2,5381 2,0728 1,7131 1,5250 1,4771 1,4738 1,4228 1,2937 1,1282 1,0068 1,0113 1,1981 1,5667 2,0352 2,4620 2,7110 2,7035 2,4345 1,9646 1,3935 0,8302 0,3743 0,1032 0,0612 0,2444 0,5835 0,9454 1,1788 1,1902 0,9935 0,6806 0,3478 0,0528 -0,1842 -0,3725 -0,5409 -0,7148 -0,8915 -1,0280 -1,0571 -0,9329 -0,6662 -0,3185 0,0258 0,2937 0,4527 0,5097 0,4787 0,3486 0,0722 -0,4026 -1,0727 -1,8446 -2,5591 -3,0601 -3,2570 -3,1376 -2,7572 -2,2354 -1,7346 -1,3988 -1,2880 -1,3672 -1,5410 -1,6952 -1,7433 -1,6629 -1,4820 -1,2379 -0,9588 -0,6639 -0,3538 -0,0050 0,4081 0,8755 1,3394 1,7193 1,9494 2,0065 1,9152 1,7272 1,4934 1,2579 1,0712 0,9848 1,0206 1,1580 1,3546 1,5635 1,7422 1,8724 1,9660 2,0375 2,0777 2,0573 1,9545 1,7855 1,6116 1,5183 1,5835 1,8467 2,2976 2,8862 3,5346 4,1319 4,5344 4,6053 4,2842 3,6304 2,7949 1,9419 1,1762 0,5221 -0,0459 -0,5539 -1,0078 -1,3995 -1,7082 -1,8960 -1,9261 -1,7844 -1,4660 -0,9695 -0,3441 0,2779 0,7389 0,9493 0,9173 0,7066 0,3913 0,0400 -0,2999 -0,6199 -0,9316 -1,2182 -1,4193 -1,4760 -1,3807 -1,1779 -0,9376
Fz    1,5417 1,4659 1,3452 1,1763 0,9769 0,7715 0,5839 0,4375 0,3465 0,3069 0,3018 0,3093 0,3005 0,2477 0,1475 0,0320 -0,0471 -0,0504 0,0256 0,1496 0,2763 0,3697 0,4161 0,4231 0,4000 0,3435 0,2461 0,1159 -0,0173 -0,1162 -0,1581 -0,1485 -0,1131 -0,0801 -0,0739 -0,1158 -0,2113 -0,3375 -0,4544 -0,5327 -0,5694 -0,5856 -0,6158 -0,6939 -0,8393 -1,0463 -1,2823 -1,5037 -1,6769 -1,7876 -1,8352 -1,8300 -1,7974 -1,7710 -1,7707 -1,7950 -1,8336 -1,8799 -1,9262 -1,9585 -1,9627 -1,9339 -1,8770 -1,8019 -1,7218 -1,6499 -1,5952 -1,5643 -1,5684 -1,6251 -1,7508 -1,9520 -2,2167 -2,5054 -2,7561 -2,9137 -2,9625 -2,9325 -2,8788 -2,8567 -2,9025 -3,0254 -3,2152 -3,4525 -3,7071 -3,9378 -4,1093 -4,2076 -4,2378 -4,2113 -4,1400 -4,0425 -3,9497 -3,8964 -3,9050 -3,9802 -4,1169 -4,3026 -4,5148 -4,7285 -4,9273 -5,1039 -5,2560 -5,3879 -5,5137 -5,6520 -5,8145 -6,0028 -6,2150 -6,4536 -6,7240 -7,0215 -7,3181 -7,5666 -7,7256 -7,7876 -7,7839 -7,7617 -7,7603 -7,8062 -7,9191 -8,1135 -8,3932 -8,7501 -9,1715 -9,6494 -10,1752 -10,7273 -11,2693 -11,7607 -12,1665 -12,4620 -12,6303 -12,6583 -12,5379 -12,2705 -11,8710 -11,3648 -10,7788 -10,1349 -9,4508 -8,7452 -8,0388 -7,3507 -6,6925 -6,0628 -5,4451 -4,8198 -4,1790 -3,5311 -2,8949 -2,2914 -1,7359 -1,2283 -0,7581 -0,3254 0,0513 0,3535 0,5829 0,7589 0,9044 1,0413 1,1912 1,3757 1,6185 1,9415 2,3532 2,8453 3,4029 4,0116 4,6522 5,2936 5,8976 6,4280 6,8616 7,1976 7,4544 7,6538 7,8141 7,9535 8,0909 8,2377 8,3915 8,5388 8,6654 8,7674 8,8515 8,9237 8,9743 8,9725 8,8818 8,6912 8,4242 8,1137 7,7808 7,4389 7,1021 6,7872 6,5179 6,3234 6,2257 6,2317 6,3323 6,5029 6,7131 6,9410 7,1744 7,4003 7,6044 7,7785 7,9202 8,0216 8,0635 8,0232 7,8832 7,6370 7,3009 6,9229 6,5694 6,2923 6,1056 5,9919 5,9249 5,8842 5,8643 5,8828 5,9785 6,1860 6,5024 6,8827 7,2686 7,6183 7,9076 8,1185 8,2383 8,2691 8,2332 8,1687 8,1128 8,0799 8,0508 7,9896 7,8733 7,6991 7,4728 7,2050 6,9257 6,6898 6,5541 6,5450 6,6438 6,7977 6,9442 7,0366 7,0602 7,0276 6,9619 6,8863 6,8171 6,7535 6,6774 6,5693 6,4250 6,2550 6,0751 5,9032 5,7550 5,6373 5,5505 5,4990 5,4878 5,5101 5,5472 5,5765 5,5778 5,5406 5,4667 5,3649 5,2478 5,1291 5,0204 4,9286 4,8559 4,7959 4,7322 4,6518 4,5592 4,4722 4,3983 4,3248 4,2358 4,1331 4,0366 3,9682 3,9390 3,9436 3,9632 3,9791 3,9867 3,9956 4,0177 4,0593 4,1228 4,2164 4,3533 4,5339 4,7329 4,9144 5,0544 5,1471 5,1968 5,2077 5,1757 5,0930 4,9627 4,8071 4,6585 4,5400 4,4578 4,4116 4,4026 4,4255 4,4631 4,4942 4,5060 4,5022 4,4998 4,5214 4,5874 4,7088 4,8803 5,0771 5,2557 5,3669 5,3819 5,3092 5,1868 5,0545 4,9322 4,8209 4,7181 4,6307 4,5741 4,5622 4,5998 4,6806 4,7895 4,9070 5,0159 5,1069 5,1762 5,2147 5,2099 5,1574 5,0629 4,9350 4,7856 4,6342 4,5022 4,4016 4,3333 4,2946 4,2856 4,3088 4,3609 4,4274 4,4890 4,5358 4,5763 4,6289 4,7032 4,7943 4,8883 4,9653 5,0004 4,9734 4,8860 4,7684 4,6685 4,6258 4,6531 4,7419 4,8781 5,0434 5,2070 5,3298 5,3847 5,3768 5,3408 5,3193 5,3388 5,4072 5,5200 5,6621 5,8113 5,9458 6,0494 6,1103 6,1178 6,0631 5,9457 5,7797 5,5904 5,4043 5,2399 5,1075 5,0177 4,9855 5,0217 5,1231 5,2660 5,4072 5,4970 5,5009 5,4132 5,2531 5,0511 4,8359 4,6266 4,4301 4,2394 4,0366 3,8091 3,5646 3,3288 3,1285 2,9758 2,8677 2,8023 2,7864 2,8200 2,8775 2,9129 2,8820 2,7598 2,5433 2,2537 1,9338 1,6334 1,3958 1,2509 1,2114 1,2734 1,4178 1,6127 1,8195 2,0044 2,1458 2,2339 2,2688 2,2581 2,2159 2,1621 2,1179 2,0923 2,0753 2,0483 1,9998 1,9303 1,8499 1,7779 1,7415 1,7661 1,8619 2,0201 2,2164 2,4161 2,5823 2,6905 2,7385 2,7428 2,7263 2,7040 2,6720 2,6124 2,5109 2,3676 2,1936 2,0044 1,8166 1,6500 1,5256 1,4535 1,4230 1,4127 1,4024 1,3776 1,3323 1,2749 1,2280 1,2151 1,2448 1,3075 1,3810 1,4363 1,4424 1,3737 1,2161 0,9697 0,6444 0,2557 -0,1703 -0,5922 -0,9656 -1,2645 -1,4872 -1,6481 -1,7669 -1,8636 -1,9562 -2,0588 -2,1773 -2,3064 -2,4303 -2,5266 -2,5744 -2,5605 -2,4831 -2,3520 -2,1846 -1,9979 -1,8020 -1,5969 -1,3768 -1,1367 -0,8803 -0,6239 -0,3887 -0,1857 -0,0092 0,1596 0,3376 0,5230 0,6933 0,8199 0,8852 0,8926 0,8615 0,8104 0,7486 0,6813 0,6154 0,5586 0,5149 0,4840 0,4676 0,4758 0,5232 0,6189 0,7613 0,9452 1,1649 1,4052 1,6384 1,8383 1,9901 2,0852 2,1149 2,0774 1,9898 1,8817 1,7750 1,6750 1,5782 1,4788 1,3643 1,2182 1,0318 0,8115 0,5737 0,3328 0,0949 -0,1370 -0,3591 -0,5726 -0,7916 -1,0349 -1,3021 -1,5659 -1,7959 -1,9783 -2,1124 -2,1997 -2,2464 -2,2671 -2,2778 -2,2840 -2,2805 -2,2631 -2,2396 -2,2289 -2,2533 -2,3293 -2,4599 -2,6312 -2,8165 -2,9880 -3,1270 -3,2299 -3,3106
F3    0,8596 0,7632 0,6569 0,5340 0,3989 0,2591 0,1262 0,0243 -0,0223 -0,0086 0,0480 0,1197 0,1766 0,1964 0,1741 0,1243 0,0713 0,0370 0,0326 0,0574 0,1026 0,1585 0,2185 0,2785 0,3291 0,3484 0,3097 0,2016 0,0420 -0,1252 -0,2510 -0,3034 -0,2780 -0,1950 -0,0896 0,0002 0,0471 0,0470 0,0162 -0,0248 -0,0654 -0,1076 -0,1621 -0,2436 -0,3655 -0,5315 -0,7288 -0,9299 -1,1035 -1,2234 -1,2741 -1,2561 -1,1870 -1,0939 -1,0019 -0,9280 -0,8852 -0,8823 -0,9167 -0,9762 -1,0483 -1,1246 -1,1956 -1,2449 -1,2523 -1,2024 -1,0902 -0,9246 -0,7322 -0,5577 -0,4563 -0,4740 -0,6225 -0,8658 -1,1387 -1,3868 -1,5925 -1,7638 -1,9108 -2,0410 -2,1628 -2,2826 -2,4034 -2,5254 -2,6394 -2,7235 -2,7553 -2,7240 -2,6292 -2,4765 -2,2831 -2,0835 -1,9237 -1,8436 -1,8630 -1,9797 -2,1790 -2,4394 -2,7310 -3,0151 -3,2554 -3,4309 -3,5411 -3,6050 -3,6530 -3,7143 -3,8089 -3,9493 -4,1448 -4,4046 -4,7332 -5,1129 -5,4880 -5,7772 -5,9175 -5,9048 -5,7885 -5,6317 -5,4854 -5,3895 -5,3786 -5,4762 -5,6867 -5,9931 -6,3695 -6,7977 -7,2664 -7,7586 -8,2497 -8,7134 -9,1221 -9,4452 -9,6502 -9,7070 -9,5984 -9,3285 -8,9226 -8,4194 -7,8579 -7,2676 -6,6613 -6,0389 -5,4004 -4,7568 -4,1238 -3,5086 -2,9056 -2,3072 -1,7203 -1,1679 -0,6744 -0,2523 0,1025 0,4093 0,6922 0,9656 1,2324 1,4945 1,7573 2,0264 2,3045 2,5903 2,8792 3,1672 3,4590 3,7696 4,1122 4,4888 4,8947 5,3270 5,7798 6,2364 6,6746 7,0769 7,4373 7,7607 8,0537 8,3153 8,5417 8,7372 8,9131 9,0756 9,2183 9,3256 9,3847 9,3935 9,3554 9,2674 9,1197 8,9026 8,6155 8,2790 7,9336 7,6173 7,3484 7,1277 6,9448 6,7857 6,6479 6,5461 6,5017 6,5291 6,6248 6,7619 6,8992 7,0031 7,0547 7,0423 6,9650 6,8422 6,7058 6,5826 6,4866 6,4238 6,3881 6,3536 6,2878 6,1799 6,0483 5,9188 5,8056 5,7111 5,6361 5,5830 5,5546 5,5567 5,6027 5,7065 5,8616 6,0324 6,1786 6,2816 6,3383 6,3433 6,2914 6,1927 6,0769 5,9806 5,9271 5,9131 5,9104 5,8855 5,8221 5,7227 5,5961 5,4520 5,3034 5,1665 5,0569 4,9875 4,9631 4,9724 4,9875 4,9827 4,9569 4,9309 4,9227 4,9297 4,9281 4,8846 4,7775 4,6134 4,4231 4,2403 4,0880 3,9777 3,9105 3,8719 3,8393 3,8000 3,7571 3,7141 3,6613 3,5826 3,4715 3,3395 3,2083 3,0968 3,0165 2,9695 2,9486 2,9421 2,9394 2,9292 2,8959 2,8308 2,7453 2,6611 2,5888 2,5232 2,4611 2,4143 2,4009 2,4274 2,4834 2,5477 2,5947 2,6047 2,5792 2,5438 2,5291 2,5473 2,5878 2,6367 2,6954 2,7707 2,8588 2,9474 3,0271 3,0963 3,1621 3,2346 3,3165 3,3974 3,4631 3,5077 3,5341 3,5456 3,5424 3,5299 3,5215 3,5298 3,5578 3,5991 3,6451 3,6920 3,7405 3,7927 3,8510 3,9173 3,9886 4,0545 4,0964 4,0924 4,0297 3,9120 3,7586 3,5983 3,4644 3,3851 3,3707 3,4076 3,4676 3,5269 3,5778 3,6259 3,6839 3,7624 3,8607 3,9655 4,0530 4,0975 4,0877 4,0377 3,9752 3,9204 3,8798 3,8527 3,8342 3,8148 3,7848 3,7406 3,6903 3,6532 3,6429 3,6506 3,6536 3,6405 3,6247 3,6364 3,6991 3,8094 3,9336 4,0250 4,0459 3,9843 3,8583 3,7078 3,5806 3,5113 3,5082 3,5591 3,6459 3,7502 3,8536 3,9405 4,0017 4,0409 4,0805 4,1539 4,2848 4,4770 4,7181 4,9834 5,2372 5,4403 5,5643 5,6039 5,5741 5,4957 5,3853 5,2517 5,1034 4,9571 4,8354 4,7536 4,7118 4,6997 4,7053 4,7196 4,7335 4,7302 4,6872 4,5904 4,4454 4,2744 4,1013 3,9409 3,8017 3,6880 3,5942 3,5045 3,4046 3,2934 3,1819 3,0864 3,0221 2,9961 3,0042 3,0326 3,0612 3,0628 3,0060 2,8717 2,6677 2,4257 2,1855 1,9755 1,8015 1,6598 1,5564 1,5084 1,5328 1,6392 1,8245 2,0721 2,3554 2,6432 2,9042 3,1148 3,2630 3,3430 3,3498 3,2802 3,1331 2,9101 2,6223 2,2964 1,9734 1,6990 1,5123 1,4392 1,4906 1,6637 1,9443 2,2997 2,6704 2,9818 3,1796 3,2550 3,2380 3,1718 3,0921 3,0177 2,9525 2,8908 2,8218 2,7337 2,6215 2,4899 2,3533 2,2336 2,1489 2,1003 2,0719 2,0403 1,9820 1,8801 1,7357 1,5731 1,4291 1,3377 1,3201 1,3803 1,5023 1,6546 1,7966 1,8889 1,9002 1,8077 1,6002 1,2912 0,9250 0,5616 0,2467 -0,0076 -0,2204 -0,4230 -0,6366 -0,8641 -1,0940 -1,3052 -1,4701 -1,5613 -1,5640 -1,4886 -1,3669 -1,2313 -1,0961 -0,9563 -0,8028 -0,6332 -0,4513 -0,2599 -0,0543 0,1746 0,4269 0,6915 0,9528 1,1993 1,4259 1,6251 1,7789 1,8697 1,8972 1,8848 1,8662 1,8641 1,8781 1,8923 1,8940 1,8819 1,8611 1,8328 1,7905 1,7289 1,6546 1,5882 1,5539 1,5686 1,6397 1,7641 1,9261 2,1084 2,3064 2,5235 2,7501 2,9548 3,1013 3,1717 3,1675 3,0944 2,9559 2,7624 2,5345 2,2923 2,0494 1,8189 1,6131 1,4366 1,2872 1,1649 1,0704 0,9929 0,9050 0,7756 0,5902 0,3635 0,1278 -0,0921 -0,2882 -0,4530 -0,5691 -0,6262 -0,6417 -0,6531 -0,6880 -0,7443 -0,8000 -0,8348 -0,8451 -0,8480 -0,8724 -0,9413 -1,0548 -1,1904 -1,3190 -1,4248 -1,5104 -1,5928
F7    0,5132 0,6202 0,6243 0,5286 0,3693 0,1938 0,0436 -0,0568 -0,1026 -0,1025 -0,0661 0,0006 0,0890 0,1782 0,2376 0,2442 0,1934 0,0963 -0,0272 -0,1519 -0,2497 -0,2959 -0,2772 -0,1954 -0,0668 0,0809 0,2184 0,3259 0,3980 0,4445 0,4817 0,5124 0,5217 0,4951 0,4303 0,3313 0,2071 0,0777 -0,0291 -0,0912 -0,1054 -0,0931 -0,0954 -0,1582 -0,3121 -0,5585 -0,8732 -1,2161 -1,5386 -1,7944 -1,9520 -1,9999 -1,9450 -1,8066 -1,6064 -1,3686 -1,1301 -0,9296 -0,7893 -0,7144 -0,7016 -0,7389 -0,7994 -0,8438 -0,8456 -0,8183 -0,8086 -0,8653 -1,0168 -1,2624 -1,5705 -1,8841 -2,1364 -2,2717 -2,2632 -2,1202 -1,8839 -1,6169 -1,3918 -1,2787 -1,3243 -1,5296 -1,8443 -2,1809 -2,4442 -2,5732 -2,5628 -2,4420 -2,2448 -2,0133 -1,8017 -1,6562 -1,5945 -1,6093 -1,6728 -1,7425 -1,7788 -1,7622 -1,6929 -1,5845 -1,4661 -1,3815 -1,3758 -1,4737 -1,6712 -1,9435 -2,2537 -2,5603 -2,8274 -3,0411 -3,2110 -3,3462 -3,4315 -3,4394 -3,3688 -3,2624 -3,1767 -3,1403 -3,1531 -3,2179 -3,3491 -3,5478 -3,7851 -4,0151 -4,2070 -4,3727 -4,5627 -4,8328 -5,2091 -5,6730 -6,1676 -6,6154 -6,9371 -7,0664 -6,9667 -6,6484 -6,1796 -5,6617 -5,1766 -4,7492 -4,3523 -3,9433 -3,5039 -3,0468 -2,5964 -2,1671 -1,7522 -1,3274 -0,8669 -0,3585 0,1840 0,7161 1,1829 1,5554 1,8462 2,0878 2,2922 2,4335 2,4773 2,4319 2,3641 2,3662 2,5066 2,7979 3,2062 3,6830 4,1835 4,6715 5,1326 5,5774 6,0198 6,4569 6,8707 7,2406 7,5519 7,8048 8,0120 8,1844 8,3269 8,4460 8,5457 8,6215 8,6626 8,6599 8,6184 8,5696 8,5571 8,6041 8,6986 8,8017 8,8636 8,8496 8,7571 8,6008 8,3923 8,1414 7,8588 7,5557 7,2528 6,9794 6,7562 6,5804 6,4284 6,2689 6,0832 5,8820 5,6990 5,5724 5,5384 5,6250 5,8371 6,1465 6,5001 6,8437 7,1238 7,2759 7,2438 7,0318 6,7174 6,3999 6,1394 5,9408 5,7757 5,6124 5,4386 5,2722 5,1557 5,1313 5,2071 5,3427 5,4777 5,5669 5,5878 5,5321 5,4025 5,2175 5,0135 4,8309 4,6939 4,6017 4,5385 4,4898 4,4480 4,4025 4,3318 4,2133 4,0496 3,8728 3,7183 3,6021 3,5225 3,4665 3,4082 3,3195 3,1944 3,0526 2,9175 2,8026 2,7183 2,6715 2,6546 2,6457 2,6200 2,5557 2,4377 2,2645 2,0464 1,8015 1,5654 1,3971 1,3464 1,4052 1,5076 1,5853 1,6099 1,5899 1,5488 1,5106 1,4903 1,4903 1,5007 1,5045 1,4853 1,4320 1,3407 1,2198 1,0925 0,9848 0,9081 0,8497 0,7854 0,7063 0,6308 0,5890 0,6034 0,6740 0,7714 0,8515 0,8929 0,9183 0,9711 1,0735 1,2114 1,3549 1,4776 1,5525 1,5542 1,4756 1,3314 1,1440 0,9315 0,7145 0,5261 0,4052 0,3766 0,4349 0,5433 0,6473 0,6989 0,6872 0,6517 0,6551 0,7341 0,8730 1,0211 1,1337 1,1959 1,2212 1,2406 1,2863 1,3713 1,4772 1,5607 1,5778 1,5154 1,3959 1,2468 1,0820 0,9132 0,7617 0,6544 0,6193 0,6831 0,8563 1,1169 1,4193 1,7202 1,9998 2,2651 2,5339 2,8094 3,0724 3,2903 3,4240 3,4347 3,2995 3,0291 2,6693 2,2841 1,9293 1,6355 1,4101 1,2551 1,1711 1,1384 1,1061 1,0182 0,8550 0,6510 0,4784 0,4137 0,5089 0,7718 1,1512 1,5500 1,8686 2,0462 2,0735 1,9808 1,8165 1,6329 1,4835 1,4128 1,4375 1,5422 1,6948 1,8605 2,0055 2,1005 2,1313 2,0998 2,0181 1,9108 1,8198 1,7946 1,8681 2,0327 2,2351 2,4021 2,4815 2,4636 2,3771 2,2730 2,2051 2,2039 2,2666 2,3726 2,4996 2,6253 2,7321 2,8122 2,8549 2,8429 2,7708 2,6629 2,5597 2,4846 2,4303 2,3755 2,2997 2,1727 1,9547 1,6289 1,2318 0,8426 0,5495 0,4176 0,4652 0,6568 0,9241 1,2010 1,4428 1,6223 1,7230 1,7462 1,7167 1,6674 1,6156 1,5533 1,4630 1,3453 1,2306 1,1652 1,1838 1,2908 1,4610 1,6491 1,8026 1,8840 1,8892 1,8426 1,7780 1,7334 1,7492 1,8478 2,0077 2,1604 2,2154 2,1010 1,7993 1,3540 0,8576 0,4263 0,1699 0,1614 0,4079 0,8366 1,3231 1,7550 2,0734 2,2659 2,3390 2,3044 2,1833 2,0169 1,8554 1,7285 1,6306 1,5359 1,4170 1,2588 1,0726 0,8913 0,7484 0,6607 0,6278 0,6357 0,6603 0,6760 0,6673 0,6282 0,5558 0,4539 0,3367 0,2179 0,1032 -0,0034 -0,1000 -0,1970 -0,3154 -0,4716 -0,6666 -0,8857 -1,1002 -1,2740 -1,3807 -1,4197 -1,4132 -1,3892 -1,3757 -1,4037 -1,4908 -1,6198 -1,7478 -1,8452 -1,9180 -1,9894 -2,0687 -2,1394 -2,1685 -2,1322 -2,0373 -1,9187 -1,8086 -1,7063 -1,5880 -1,4456 -1,3040 -1,1996 -1,1470 -1,1270 -1,1074 -1,0675 -0,9970 -0,8743 -0,6614 -0,3310 0,1044 0,5843 1,0171 1,3147 1,4276 1,3572 1,1432 0,8485 0,5437 0,2842 0,0983 -0,0117 -0,0622 -0,0711 -0,0394 0,0452 0,1899 0,3829 0,5946 0,7867 0,9225 0,9772 0,9494 0,8641 0,7632 0,6927 0,6904 0,7707 0,9148 1,0829 1,2296 1,3085 1,2771 1,1128 0,8262 0,4589 0,0694 -0,2869 -0,5803 -0,8133 -1,0019 -1,1545 -1,2742 -1,3642 -1,4202 -1,4348 -1,4192 -1,4142 -1,4667 -1,5935 -1,7725 -1,9653 -2,1317 -2,2305 -2,2347 -2,1528 -2,0208 -1,8720 -1,7203 -1,5731 -1,4503 -1,3829 -1,3960
