Fp1   0,2742 0,0423 -0,1817 -0,2897 -0,1370 0,3707 1,1821 2,0855 2,7876 3,0225 2,6397 1,6647 0,3142 -1,0878 -2,2626 -3,0718 -3,5110 -3,6320 -3,4450 -2,8958 -1,9564 -0,7371 0,4927 1,4080 1,7810 1,5815 0,9851 0,2803 -0,2819 -0,5902 -0,6614 -0,5637 -0,3683 -0,1566 -0,0271 -0,0674 -0,3074 -0,6765 -1,0060 -1,1061 -0,8699 -0,3306 0,3574 0,9998 1,4458 1,6211 1,5421 1,3190 1,0907 0,9329 0,8522 0,8420 0,9070 1,0538 1,2776 1,5429 1,7703 1,8487 1,6734 1,2027 0,5243 -0,1351 -0,5237 -0,5193 -0,1436 0,5326 1,3918 2,2252 2,8075 3,0264 2,9113 2,5637 2,0796 1,5195 0,9306 0,3921 0,0278 -0,0467 0,1980 0,6596 1,1415 1,4598 1,5400 1,4398 1,2827 1,1592 1,0948 1,0982 1,1966 1,4127 1,7195 2,0131 2,1289 1,9207 1,3381 0,4168 -0,7612 -2,0722 -3,3705 -4,5242 -5,4138 -5,9436 -6,0917 -5,9136 -5,4780 -4,8223 -3,9640 -2,9237 -1,7327 -0,4360 0,9150 2,2740 3,5703 4,6666 5,4062 5,7323 5,7319 5,5749 5,4535 5,5447 5,9454 6,6001 7,2994 7,7764 7,8422 7,4646 6,7380 5,7995 4,7810 3,8059 2,9903 2,4255 2,1443 2,0975 2,1863 2,3286 2,4760 2,5857 2,6168 2,5667 2,4774 2,3728 2,2238 2,0226 1,8544 1,8440 2,0460 2,4135 2,8604 3,3192 3,7301 4,0198 4,1270 4,0356 3,7723 3,3807 2,9060 2,4090 1,9786 1,7030 1,6262 1,7349 1,9754 2,2939 2,6747 3,1225 3,5955 3,9834 4,1731 4,1424 4,0078 3,9792 4,2355 4,8374 5,7447 6,8521 7,9847 8,9279 9,5166 9,6911 9,4755 8,9463 8,2156 7,3912 6,5412 5,7082 4,9310 4,2294 3,5942 3,0337 2,6235 2,4646 2,5728 2,8434 3,1424 3,3880 3,5326 3,5343 3,3840 3,1348 2,8814 2,6989 2,5913 2,5122 2,4189 2,2671 1,9627 1,3768 0,4612 -0,6657 -1,7909 -2,7548 -3,5044 -4,0253 -4,2796 -4,2495 -4,0026 -3,6432 -3,1974 -2,5799 -1,6819 -0,4896 0,8576 2,0735 2,7948 2,7544 1,9683 0,7360 -0,5374 -1,5021 -1,9251 -1,7182 -0,9857 -0,0503 0,6337 0,6897 0,0294 -1,0937 -2,2166 -2,8835 -2,8408 -2,1339 -1,0610 -0,0151 0,6681 0,7979 0,3824 -0,3794 -1,1907 -1,7747 -1,9593 -1,6968 -1,0334 -0,0965 0,9207 1,8351 2,5544 3,0719 3,4113 3,5893 3,6080 3,4698 3,1905 2,7997 2,3412 1,8657 1,4082 0,9824 0,6064 0,3250 0,1968 0,2637 0,5564 1,1208 1,9908 3,0956 4,2221 5,1409 5,7835 6,2516 6,6728 7,1069 7,5567 7,9767 8,2668 8,3140 8,0721 7,6065 7,0528 6,5218 6,0608 5,6981 5,4806 5,4358 5,4871 5,4411 5,1091 4,4481 3,5759 2,7021 2,0596 1,8028 1,9031 2,1812 2,4521 2,6276 2,7259 2,8057 2,8801 2,9003 2,8168 2,6447 2,4675 2,3874 2,4693 2,7117 3,0515 3,4024 3,6914 3,8572 3,8641 3,7549 3,6511 3,6862 3,9607 4,5216 5,3230 6,2105 6,9809 7,4912 7,7332 7,7951 7,7546 7,6314 7,4423 7,2683 7,2415 7,4647 7,9339 8,5199 9,0375 9,3445 9,3824 9,1647 8,7646 8,2951 7,8653 7,5356 7,3093 7,1576 7,0626 7,0489 7,1405 7,2912 7,4213 7,4997 7,5403 7,5688 7,6198 7,7229 7,8750 8,0355 8,1593 8,2385 8,3040 8,3812 8,4528 8,4571 8,3174 8,0054 7,6104 7,3153 7,2614 7,4360 7,6940 7,8654 7,8346 7,5668 7,1250 6,6668 6,3848 6,3983 6,6661 7,0011 7,1782 7,0364 6,5317 5,7565 4,8947 4,1156 3,5109 3,1301 3,0304 3,2574 3,7777 4,4466 5,0673 5,5001 5,7136 5,7470 5,6488 5,4460 5,1337 4,6913 4,1395 3,5748 3,1249 2,8976 2,9685 3,3540 3,9835 4,7279 5,4460 6,0138 6,3488 6,3990 6,1098 5,4520 4,4792 3,3228 2,1503 1,1362 0,4195 0,0572 0,0241 0,2536 0,6665 1,1690 1,6516 2,0210 2,2472 2,3709 2,4692 2,6192 2,8590 3,1374 3,3231 3,3063 3,0846 2,7484 2,4140 2,1774 2,0923 2,1406 2,1946 2,0532 1,5856 0,8404 -0,0042 -0,7659 -1,3352 -1,6736 -1,7651 -1,5855 -1,1339 -0,4845 0,2097 0,7792 1,1116 1,1735 1,0118 0,7530 0,5380 0,4256 0,3927 0,4318 0,5919 0,9027 1,2918 1,6047 1,7017 1,5291 1,0855 0,3562 -0,6522 -1,8244 -2,9447 -3,7932 -4,2268 -4,2166 -3,8454 -3,2538 -2,5530 -1,7879 -1,0090 -0,3510 0,0120 -0,0188 -0,4121 -1,0350 -1,7282 -2,3731 -2,8905 -3,1992 -3,2194 -2,9193 -2,3420 -1,5867 -0,7720 -0,0174 0,5681 0,9195 1,0466 1,0198 0,9276 0,8463 0,8458 1,0124 1,4220 2,0546 2,7589 3,3316 3,6494 3,7312 3,6807 3,5871 3,4844 3,3860 3,3236 3,3133 3,2966 3,1731 2,9254 2,6871 2,6583 2,9523 3,5029 4,0942 4,4993 4,6295 4,5651 4,4435 4,3354 4,2222 4,0485 3,7787 3,4272 3,0500 2,7026 2,4185 2,2372 2,2183 2,3963 2,7387 3,1619 3,5746 3,8866 3,9838 3,7269 3,0301 1,9794 0,8530 -0,0062 -0,3542 -0,1227 0,5895 1,5566 2,4930 3,1522 3,4216 3,3375 2,9914 2,4364 1,6915 0,8079 -0,0873 -0,7999 -1,1326 -0,9952 -0,4898 0,1336 0,6436 0,9784 1,2521 1,6189 2,1231 2,6593 3,0664 3,2809 3,3872 3,5022 3,6635 3,8467 4,0024 4,0416 3,8505 3,3678 2,6467 1,8263 1,0401 0,3609 -0,1872 -0,6021 -0,8886 -1,0376 -1,0230 -0,8326 -0,4861 -0,0294 0,4577
Fz    1,5908 1,2970 0,8393 0,3067 -0,1304 -0,2843 -0,0654 0,4337 0,9740 1,3001 1,2532 0,8147 0,0875 -0,7654 -1,5891 -2,2657 -2,7233 -2,9309 -2,8624 -2,4745 -1,7512 -0,7741 0,2722 1,1758 1,7821 2,0395 2,0042 1,7983 1,5355 1,2713 1,0148 0,7701 0,5484 0,3435 0,1124 -0,2024 -0,6233 -1,1022 -1,5324 -1,7922 -1,7914 -1,5138 -1,0379 -0,4980 -0,0038 0,4086 0,7625 1,0873 1,3643 1,5265 1,5326 1,4273 1,3053 1,2317 1,2044 1,1728 1,0785 0,8851 0,5885 0,2222 -0,1431 -0,4106 -0,4918 -0,3559 -0,0374 0,3985 0,8559 1,1968 1,3050 1,1715 0,8955 0,6061 0,3881 0,2582 0,1951 0,1916 0,2716 0,4556 0,7176 0,9717 1,1036 1,0289 0,7432 0,3324 -0,0787 -0,4048 -0,6241 -0,7373 -0,7302 -0,5773 -0,2783 0,1010 0,4150 0,4846 0,1816 -0,5155 -1,5165 -2,6509 -3,7346 -4,6346 -5,2762 -5,6235 -5,6808 -5,4874 -5,0895 -4,5211 -3,8033 -2,9465 -1,9568 -0,8479 0,3585 1,6400 2,9474 4,1626 5,1228 5,7155 5,9381 5,8790 5,6803 5,5117 5,5190 5,7491 6,1209 6,4743 6,6602 6,6087 6,3383 5,9222 5,4585 5,0550 4,8041 4,7452 4,8474 5,0281 5,1965 5,2856 5,2509 5,0624 4,7257 4,3065 3,9025 3,5759 3,3254 3,1268 2,9856 2,9391 3,0159 3,2127 3,5145 3,9121 4,3772 4,8420 5,2334 5,5196 5,7080 5,8121 5,8364 5,7914 5,7144 5,6639 5,6933 5,8287 6,0565 6,3285 6,5936 6,8307 7,0442 7,2370 7,4007 7,5326 7,6604 7,8415 8,1284 8,5411 9,0692 9,6683 10,2442 10,6683 10,8319 10,6920 10,2826 9,7012 9,0665 8,4515 7,8636 7,2995 6,7800 6,3168 5,8809 5,4357 4,9949 4,6226 4,3639 4,2018 4,1014 4,0555 4,0631 4,0978 4,1269 4,1404 4,1441 4,1353 4,0933 3,9967 3,8415 3,6199 3,2875 2,7802 2,0757 1,2306 0,3568 -0,4241 -1,0068 -1,3062 -1,2687 -0,9104 -0,3316 0,3281 0,9614 1,5323 2,0588 2,5535 2,9784 3,2384 3,1992 2,7526 1,9164 0,8728 -0,1060 -0,7706 -0,9716 -0,6958 -0,0871 0,5644 0,9190 0,7656 0,1539 -0,6370 -1,2530 -1,4216 -1,0524 -0,2588 0,7089 1,5820 2,1588 2,3261 2,0755 1,5225 0,8776 0,3624 0,1308 0,2458 0,6890 1,3533 2,0554 2,6304 3,0453 3,3903 3,7555 4,1417 4,4783 4,6894 4,7403 4,6451 4,4549 4,2318 4,0135 3,8035 3,6101 3,4795 3,4752 3,6407 3,9945 4,5483 5,3009 6,1870 7,0500 7,7164 8,1127 8,2902 8,3501 8,3743 8,3983 8,3881 8,2491 7,9027 7,3670 6,7551 6,1999 5,7863 5,5364 5,4340 5,4552 5,5641 5,6684 5,6076 5,2332 4,5207 3,5969 2,6772 1,9863 1,6770 1,7551 2,0826 2,4659 2,7469 2,8654 2,8665 2,8191 2,7315 2,5715 2,3411 2,0983 1,9216 1,8712 1,9669 2,1768 2,4338 2,6703 2,8365 2,9134 2,9409 3,0152 3,2365 3,6609 4,2797 5,0115 5,7166 6,2532 6,5481 6,6307 6,5942 6,5182 6,4270 6,3178 6,2178 6,1985 6,3313 6,6311 7,0324 7,4211 7,6996 7,8266 7,8154 7,7099 7,5602 7,4120 7,2918 7,1798 7,0111 6,7238 6,3123 5,8262 5,3394 4,9407 4,7193 4,7256 4,9704 5,4568 6,1622 6,9890 7,7678 8,3232 8,5528 8,4656 8,1613 7,7638 7,3491 6,9154 6,4252 5,8864 5,3830 5,0175 4,8314 4,7864 4,8094 4,8335 4,8146 4,7698 4,8137 5,1000 5,6860 6,4536 7,1615 7,5672 7,5200 6,9927 6,0784 4,9584 3,8389 2,8999 2,2760 2,0436 2,2069 2,6870 3,3317 3,9711 4,4910 4,8624 5,1050 5,2341 5,2415 5,1147 4,8630 4,5309 4,1894 3,9015 3,6988 3,5944 3,6012 3,7318 3,9926 4,3625 4,7697 5,1004 5,2295 5,0498 4,5153 3,6725 2,6451 1,5964 0,7047 0,1347 -0,0121 0,2637 0,8644 1,6382 2,4299 3,1181 3,6312 3,9518 4,1126 4,1801 4,2347 4,3416 4,4991 4,6058 4,5172 4,1568 3,5737 2,9066 2,3083 1,8839 1,6479 1,5043 1,2959 0,9213 0,4175 -0,0745 -0,4025 -0,4727 -0,2728 0,1521 0,7352 1,3927 2,0109 2,4538 2,6017 2,4060 1,9163 1,2642 0,6248 0,1639 -0,0213 0,0748 0,4007 0,8980 1,5058 2,1257 2,6171 2,8511 2,7678 2,3665 1,6605 0,6917 -0,4203 -1,4840 -2,2980 -2,7168 -2,6959 -2,2989 -1,6495 -0,8567 0,0087 0,8484 1,4832 1,7193 1,4721 0,8192 -0,0419 -0,8904 -1,5705 -2,0140 -2,2126 -2,1921 -2,0017 -1,7108 -1,3988 -1,1204 -0,8774 -0,6391 -0,3856 -0,1246 0,1238 0,3551 0,5954 0,9033 1,3562 2,0079 2,8242 3,6643 4,3451 4,7466 4,8691 4,8023 4,6526 4,4942 4,3656 4,2811 4,2126 4,0697 3,7526 3,2630 2,7475 2,4141 2,4012 2,7030 3,1792 3,6397 3,9602 4,1363 4,2324 4,2926 4,3013 4,2146 4,0092 3,6993 3,3137 2,8714 2,3923 1,9337 1,5976 1,4755 1,5791 1,8274 2,0959 2,2715 2,2756 2,0635 1,6308 1,0452 0,4601 0,0647 0,0042 0,3233 0,9476 1,7076 2,4146 2,9470 3,2815 3,4504 3,4781 3,3498 3,0295 2,5110 1,8613 1,2162 0,7208 0,4521 0,3823 0,4130 0,4530 0,4805 0,5500 0,7389 1,0750 1,4986 1,8972 2,1960 2,4116 2,6008 2,7881 2,9650 3,1162 3,2163 3,2157 3,0461 2,6552 2,0446 1,2747 0,4397 -0,3660 -1,0745 -1,6322 -1,9702 -2,0243 -1,7981 -1,3793 -0,8889 -0,4383
F3    2,9814 2,7558 2,4033 1,9122 1,3304 0,7939 0,4445 0,3129 0,3103 0,3197 0,2651 0,1088 -0,1700 -0,5714 -1,0594 -1,5525 -1,9538 -2,2001 -2,2616 -2,1153 -1,7517 -1,1922 -0,4823 0,3086 1,0743 1,6894 2,0634 2,1754 2,0694 1,8437 1,6245 1,5028 1,4775 1,4554 1,3009 0,9027 0,2290 -0,6594 -1,6320 -2,5178 -3,1462 -3,4087 -3,2990 -2,8937 -2,2881 -1,5385 -0,6598 0,3157 1,2837 2,0982 2,6659 2,9969 3,1632 3,2257 3,1965 3,0445 2,7268 2,2308 1,6009 0,9318 0,3316 -0,1155 -0,3779 -0,4888 -0,5049 -0,4453 -0,3080 -0,1379 -0,0183 0,0105 -0,0162 -0,0251 0,0484 0,2302 0,5015 0,8207 1,1464 1,4389 1,6420 1,6772 1,4794 1,0471 0,4605 -0,1479 -0,6509 -0,9669 -1,0586 -0,9370 -0,6766 -0,3925 -0,1793 -0,0741 -0,0827 -0,2350 -0,5980 -1,2103 -2,0081 -2,8330 -3,5153 -3,9476 -4,1000 -4,0044 -3,7305 -3,3449 -2,8829 -2,3618 -1,7965 -1,1904 -0,5230 0,2368 1,1025 2,0546 3,0369 3,9590 4,7208 5,2393 5,4600 5,3807 5,0930 4,7699 4,5735 4,5637 4,6956 4,8970 5,1276 5,3654 5,5782 5,7341 5,8245 5,8581 5,8372 5,7541 5,6094 5,4043 5,1120 4,6852 4,0980 3,3823 2,6409 2,0206 1,6524 1,6085 1,8871 2,3954 2,9689 3,4601 3,8074 4,0186 4,1406 4,2537 4,4427 4,7481 5,1588 5,6297 6,0757 6,3810 6,4590 6,3099 6,0145 5,6838 5,4126 5,2599 5,2455 5,3518 5,5360 5,7499 5,9558 6,1402 6,3233 6,5564 6,8919 7,3355 7,8296 8,3024 8,7253 9,1032 9,4111 9,5731 9,5217 9,2534 8,8211 8,3205 7,8752 7,5692 7,3857 7,2371 7,0342 6,7078 6,2041 5,5042 4,6606 3,8026 3,0878 2,6290 2,4476 2,4917 2,6849 2,9490 3,2035 3,3775 3,4343 3,3785 3,2221 2,9470 2,5207 1,9628 1,3761 0,8858 0,5470 0,3203 0,1223 -0,0947 -0,2966 -0,3933 -0,3166 -0,0783 0,2538 0,6169 0,9752 1,3000 1,5462 1,6504 1,5746 1,3571 1,0919 0,8485 0,6251 0,3865 0,1382 -0,0513 -0,1009 0,0102 0,1956 0,2625 0,0027 -0,6310 -1,4321 -2,0689 -2,3105 -2,1293 -1,6406 -0,9940 -0,3122 0,3179 0,8310 1,1707 1,3157 1,3253 1,3174 1,3931 1,5952 1,9238 2,3470 2,7742 3,0509 3,0569 2,8430 2,6133 2,5440 2,6623 2,8844 3,0912 3,1746 3,0818 2,8478 2,5661 2,3101 2,1024 1,9691 1,9744 2,1857 2,6452 3,3555 4,2583 5,2510 6,2214 7,0395 7,5578 7,6849 7,4466 6,9668 6,4131 5,9338 5,5832 5,3079 5,0343 4,7593 4,5440 4,4461 4,4771 4,6024 4,7580 4,8773 4,9047 4,7762 4,4116 3,7622 2,8739 1,8921 1,0113 0,4122 0,1964 0,3393 0,7222 1,2187 1,7413 2,2421 2,7045 3,1095 3,4107 3,5612 3,5584 3,4643 3,3830 3,4041 3,5492 3,7603 3,9479 4,0490 4,0314 3,8778 3,6008 3,2428 2,8473 2,4619 2,1574 2,0048 2,0329 2,2230 2,5425 2,9786 3,5308 4,1772 4,8526 5,4591 5,9032 6,1367 6,1654 6,0230 5,7491 5,4060 5,1020 4,9729 5,1283 5,5903 6,2649 6,9773 7,5428 7,8138 7,6894 7,1188 6,1242 4,8264 3,4386 2,2225 1,3963 1,0511 1,1785 1,7553 2,7374 3,9842 5,2410 6,2106 6,6753 6,5949 6,1056 5,4176 4,7008 4,0366 3,4444 2,9420 2,5812 2,4219 2,4777 2,6966 2,9854 3,2288 3,3269 3,2865 3,2679 3,4682 3,9403 4,5429 5,0450 5,2515 5,0621 4,4813 3,6120 2,6228 1,6921 0,9662 0,5337 0,4044 0,5152 0,7677 1,0791 1,4236 1,8226 2,2842 2,7618 3,1637 3,4028 3,4631 3,4114 3,3297 3,2547 3,1751 3,0549 2,8583 2,5827 2,2973 2,1418 2,2429 2,6052 3,0800 3,4350 3,4540 3,0170 2,1296 0,9020 -0,4747 -1,7472 -2,6611 -3,0504 -2,8699 -2,1613 -1,0341 0,3304 1,7199 2,9560 3,9184 4,5380 4,8047 4,7908 4,6339 4,4362 4,1668 3,6989 2,9506 1,9725 0,9079 -0,0983 -0,9396 -1,5480 -1,9108 -2,0886 -2,1756 -2,2223 -2,1950 -1,9976 -1,5423 -0,8361 -0,0087 0,7463 1,2603 1,4454 1,2958 0,8582 0,2149 -0,5153 -1,1816 -1,6166 -1,6790 -1,3259 -0,6682 0,0681 0,6705 1,0350 1,1552 1,0598 0,7755 0,3264 -0,2520 -0,9058 -1,5662 -2,1638 -2,6396 -2,9320 -2,9736 -2,7319 -2,2534 -1,6391 -0,9799 -0,3494 0,1313 0,2700 -0,0893 -0,9284 -2,0351 -3,1072 -3,8803 -4,2111 -4,0996 -3,6699 -3,1144 -2,6073 -2,2396 -2,0180 -1,8902 -1,7696 -1,5823 -1,3134 -0,9958 -0,6617 -0,3235 0,0161 0,3662 0,7613 1,2388 1,7841 2,3036 2,6598 2,7526 2,5877 2,2761 1,9695 1,7878 1,7929 2,0014 2,3755 2,7985 3,1087 3,1922 3,0519 2,7909 2,5292 2,3266 2,1724 2,0346 1,9161 1,8644 1,9347 2,1305 2,3745 2,5439 2,5428 2,3350 1,9294 1,3672 0,7321 0,1568 -0,2080 -0,2674 -0,0571 0,2632 0,5160 0,6149 0,5775 0,4598 0,3075 0,1633 0,0840 0,1231 0,3031 0,5982 0,9242 1,1587 1,2128 1,1040 0,9427 0,8370 0,8258 0,8927 0,9892 1,0416 0,9874 0,8183 0,5771 0,3250 0,1224 0,0286 0,0848 0,2757 0,5211 0,7221 0,8124 0,7645 0,5848 0,3305 0,1113 0,0318 0,1275 0,3504 0,6060 0,8171 0,9543 0,9936 0,8783 0,5624 0,0702 -0,5068 -1,0598 -1,5108 -1,8111 -1,9074 -1,7513 -1,3572 -0,8251 -0,3064 0,0445
F7    1,8605 1,4392 0,9054 0,3491 -0,1083 -0,3680 -0,4044 -0,2829 -0,1373 -0,1074 -0,2555 -0,5251 -0,7958 -0,9798 -1,0580 -1,0489 -0,9786 -0,8733 -0,7441 -0,5584 -0,2427 0,2493 0,8502 1,3846 1,6809 1,6762 1,4364 1,1046 0,8061 0,5731 0,3635 0,1369 -0,1055 -0,3336 -0,5111 -0,6138 -0,6416 -0,6220 -0,6012 -0,6183 -0,6748 -0,7222 -0,6891 -0,5386 -0,3004 -0,0453 0,1714 0,3430 0,4986 0,6567 0,7912 0,8520 0,8136 0,6949 0,5377 0,3788 0,2372 0,1087 -0,0405 -0,2550 -0,5343 -0,7931 -0,8988 -0,7503 -0,3261 0,2960 0,9371 1,3822 1,5011 1,3263 1,0159 0,7396 0,5857 0,5473 0,5668 0,5947 0,6210 0,6614 0,7307 0,8331 0,9470 1,0155 0,9781 0,8328 0,6581 0,5458 0,5083 0,4770 0,3876 0,2441 0,0950 -0,0433 -0,2173 -0,4775 -0,8212 -1,2059 -1,5784 -1,8788 -2,0631 -2,1385 -2,1471 -2,1118 -2,0137 -1,8149 -1,4958 -1,0728 -0,5800 -0,0397 0,5288 1,0849 1,5900 2,0574 2,5366 3,0330 3,4733 3,7710 3,9031 3,9141 3,8967 3,9780 4,2695 4,7850 5,3844 5,8130 5,8538 5,4715 4,8083 4,0672 3,4072 2,9068 2,5762 2,3887 2,3084 2,3062 2,3573 2,4217 2,4430 2,3786 2,2254 2,0214 1,8180 1,6509 1,5476 1,5456 1,6753 1,9375 2,3002 2,7009 3,0746 3,3927 3,6579 3,8648 3,9860 3,9983 3,9245 3,8368 3,7959 3,7964 3,7964 3,7889 3,8167 3,9156 4,0639 4,2026 4,3029 4,3877 4,4998 4,6672 4,8759 5,0636 5,1650 5,1829 5,2137 5,3928 5,7988 6,3832 7,0009 7,5106 7,8214 7,8670 7,6111 7,0890 6,4056 5,6870 5,0420 4,5547 4,2817 4,2257 4,3229 4,4737 4,5766 4,5450 4,3242 3,9139 3,3796 2,8274 2,3505 1,9941 1,7589 1,6212 1,5446 1,4869 1,4243 1,3796 1,4041 1,4965 1,5565 1,4536 1,1264 0,5938 -0,0923 -0,8741 -1,6820 -2,4211 -2,9848 -3,3074 -3,4109 -3,3727 -3,2366 -2,9827 -2,5878 -2,0759 -1,5119 -0,9899 -0,6206 -0,4742 -0,5179 -0,6412 -0,7626 -0,8912 -1,0733 -1,3096 -1,5472 -1,7283 -1,8391 -1,9314 -2,0899 -2,3548 -2,6580 -2,8259 -2,6774 -2,1651 -1,4132 -0,6202 0,0455 0,4779 0,6221 0,4744 0,1028 -0,3661 -0,8039 -1,1271 -1,2965 -1,2909 -1,1054 -0,7795 -0,4004 -0,0619 0,1789 0,3043 0,3183 0,2491 0,1623 0,1510 0,2832 0,5520 0,8864 1,2000 1,4257 1,5379 1,5630 1,5525 1,5456 1,5642 1,6079 1,6376 1,6086 1,5426 1,5444 1,7280 2,1174 2,6081 3,0370 3,2921 3,3444 3,2002 2,8748 2,4268 1,9745 1,6362 1,4611 1,4231 1,4618 1,5206 1,5638 1,5618 1,4715 1,2547 0,9191 0,5319 0,1939 -0,0092 -0,0518 0,0121 0,0656 -0,0095 -0,2465 -0,5466 -0,7389 -0,7210 -0,5360 -0,3107 -0,1634 -0,1685 -0,3348 -0,5802 -0,7632 -0,7737 -0,6100 -0,3733 -0,1868 -0,1137 -0,1191 -0,0977 0,0435 0,3250 0,6978 1,0791 1,3890 1,5592 1,5371 1,3284 1,0309 0,7758 0,6364 0,6073 0,6460 0,7177 0,8161 0,9411 1,0509 1,0669 0,9403 0,6861 0,3467 -0,0461 -0,4585 -0,8243 -1,0602 -1,1174 -0,9968 -0,7268 -0,3468 0,0947 0,5400 0,9340 1,2433 1,4603 1,5889 1,6313 1,5816 1,4387 1,2422 1,0778 1,0205 1,0876 1,2485 1,4550 1,6639 1,8480 1,9901 2,0746 2,0906 2,0290 1,8682 1,5847 1,1969 0,7766 0,4013 0,1224 -0,0133 0,0481 0,3140 0,6944 1,0424 1,2373 1,2246 1,0101 0,6424 0,1891 -0,2803 -0,7046 -1,0425 -1,2793 -1,4208 -1,4907 -1,5308 -1,5763 -1,6245 -1,6365 -1,5640 -1,3856 -1,1389 -0,9059 -0,7407 -0,6199 -0,4762 -0,2733 -0,0410 0,1566 0,2652 0,2399 0,0366 -0,3428 -0,8169 -1,2693 -1,6224 -1,8639 -2,0173 -2,0933 -2,0802 -1,9825 -1,8318 -1,6440 -1,3926 -1,0381 -0,5786 -0,0798 0,3366 0,5449 0,4800 0,1667 -0,3053 -0,8328 -1,3392 -1,7897 -2,1855 -2,5396 -2,8388 -3,0225 -3,0087 -2,7545 -2,3065 -1,7853 -1,3349 -1,0972 -1,1838 -1,6090 -2,2571 -2,9496 -3,5429 -3,9519 -4,1225 -4,0345 -3,7381 -3,3714 -3,1213 -3,1321 -3,4249 -3,8977 -4,3928 -4,7719 -4,9660 -4,9761 -4,8218 -4,4963 -3,9890 -3,3399 -2,6492 -2,0358 -1,5973 -1,3999 -1,4927 -1,9099 -2,6449 -3,6227 -4,7041 -5,7150 -6,4802 -6,8582 -6,7735 -6,2483 -5,4143 -4,4697 -3,6063 -2,9659 -2,6251 -2,5856 -2,7757 -3,0828 -3,4108 -3,7225 -4,0250 -4,3206 -4,5798 -4,7524 -4,8011 -4,7337 -4,5966 -4,4321 -4,2539 -4,0703 -3,9049 -3,7703 -3,6350 -3,4405 -3,1423 -2,7200 -2,1687 -1,5071 -0,7884 -0,0905 0,5109 0,9630 1,2317 1,2975 1,1807 0,9507 0,6759 0,3790 0,0494 -0,3218 -0,7208 -1,0974 -1,3786 -1,5122 -1,5021 -1,3975 -1,2495 -1,0760 -0,8732 -0,6522 -0,4429 -0,2704 -0,1447 -0,0769 -0,0932 -0,2250 -0,4810 -0,8287 -1,2067 -1,5459 -1,7768 -1,8435 -1,7386 -1,5332 -1,3625 -1,3604 -1,5848 -1,9989 -2,5124 -3,0222 -3,4171 -3,5893 -3,4896 -3,1688 -2,7398 -2,2993 -1,8837 -1,4773 -1,0560 -0,6466 -0,3478 -0,2732 -0,4657 -0,8686 -1,3622 -1,8285 -2,2143 -2,5527 -2,9087 -3,2820 -3,5689 -3,6353 -3,4161 -2,9596 -2,4180 -1,9866 -1,7950 -1,8353 -1,9942 -2,1378 -2,1670 -2,0341 -1,7689 -1,4929 -1,3621 -1,4733 -1,8262 -2,3515 -2,9525 -3,5325 -4,0165 -4,3761 -4,6313 -4,8225 -4,9860 -5,1364 -5,2445 -5,2399
