Fp1   0,0614 -0,2206 -0,5127 -0,8161 -1,1306 -1,4478 -1,7393 -1,9638 -2,0954 -2,1426 -2,1335 -2,0897 -2,0186 -1,9144 -1,7536 -1,4996 -1,1224 -0,6163 0,0000 0,6953 1,4203 2,0960 2,6367 2,9958 3,1787 3,2164 3,1370 2,9563 2,6777 2,3037 1,8505 1,3533 0,8556 0,3879 -0,0437 -0,4449 -0,8112 -1,1240 -1,3547 -1,4707 -1,4539 -1,3163 -1,0841 -0,7725 -0,3893 0,0426 0,4752 0,8458 1,0982 1,1977 1,1289 0,8831 0,4582 -0,1252 -0,8120 -1,5243 -2,1877 -2,7428 -3,1404 -3,3452 -3,3494 -3,1812 -2,9065 -2,6068 -2,3409 -2,1159 -1,8959 -1,6428 -1,3518 -1,0519 -0,7852 -0,5956 -0,5271 -0,6083 -0,8240 -1,1107 -1,3954 -1,6347 -1,8173 -1,9415 -2,0047 -2,0119 -1,9836 -1,9489 -1,9300 -1,9303 -1,9378 -1,9408 -1,9400 -1,9477 -1,9767 -2,0281 -2,0865 -2,1352 -2,1793 -2,2546 -2,4158 -2,7081 -3,1410 -3,6870 -4,3049 -4,9600 -5,6283 -6,2890 -6,9147 -7,4714 -7,9326 -8,2917 -8,5586 -8,7455 -8,8603 -8,9078 -8,8850 -8,7753 -8,5555 -8,2036 -7,7013 -7,0413 -6,2347 -5,3066 -4,2906 -3,2268 -2,1484 -1,0723 -0,0060 1,0402 2,0547 3,0287 3,9495 4,7924 5,5255 6,1246 6,5806 6,8963 7,0836 7,1600 7,1493 7,0971 7,0721 7,1215 7,2275 7,3235 7,3424 7,2442 7,0257 6,7226 6,4015 6,1391 5,9975 6,0062 6,1559 6,4061 6,7024 6,9893 7,2127 7,3303 7,3341 7,2570 7,1480 7,0445 6,9597 6,8798 6,7722 6,6102 6,3897 6,1240 5,8284 5,5168 5,2114 4,9407 4,7225 4,5475 4,3829 4,1916 3,9488 3,6495 3,3196 3,0133 2,7783 2,6263 2,5331 2,4535 2,3333 2,1300 1,8383 1,4876 1,1107 0,7236 0,3359 -0,0350 -0,3618 -0,6164 -0,7900 -0,9106 -1,0367 -1,2215 -1,4758 -1,7598 -2,0091 -2,1723 -2,2372 -2,2278 -2,1832 -2,1387 -2,1183 -2,1345 -2,1830 -2,2355 -2,2460 -2,1747 -2,0158 -1,7991 -1,5627 -1,3259 -1,0833 -0,8191 -0,5297 -0,2348 0,0323 0,2411 0,3754 0,4393 0,4587 0,4717 0,5066 0,5652 0,6252 0,6649 0,6891 0,7269 0,8055 0,9318 1,0924 1,2574 1,3886 1,4589 1,4749 1,4747 1,4973 1,5583 1,6616 1,8234 2,0558 2,3313 2,5806 2,7310 2,7432 2,6203 2,3958 2,1180 1,8324 1,5684 1,3383 1,1438 0,9826 0,8523 0,7481 0,6596 0,5754 0,4907 0,4064 0,3243 0,2439 0,1611 0,0733 -0,0130 -0,0820 -0,1156 -0,1040 -0,0584 -0,0121 -0,0027 -0,0495 -0,1500 -0,2938 -0,4729 -0,6799 -0,9012 -1,1166 -1,3126 -1,4945 -1,6791 -1,8731 -2,0612 -2,2174 -2,3234 -2,3681 -2,3374 -2,2215 -2,0295 -1,7891 -1,5358 -1,3061 -1,1353 -1,0523 -1,0691 -1,1667 -1,2884 -1,3644 -1,3557 -1,2745 -1,1609 -1,0515 -0,9712 -0,9336 -0,9320 -0,9328 -0,8926 -0,7880 -0,6234 -0,4113 -0,1552 0,1431 0,4669 0,7871 1,0817 1,3402 1,5514 1,6946 1,7469 1,6911 1,5147 1,2127 0,7979 0,3020 -0,2385 -0,7893 -1,3103 -1,7548 -2,0851 -2,2800 -2,3253 -2,2186 -1,9885 -1,6921 -1,3889 -1,1161 -0,8838 -0,6914 -0,5458 -0,4582 -0,4336 -0,4751 -0,5822 -0,7325 -0,8804 -0,9817 -1,0065 -0,9411 -0,7973 -0,6167 -0,4488 -0,3213 -0,2326 -0,1650 -0,0985 -0,0184 0,0799 0,1908 0,2984 0,3726 0,3762 0,2894 0,1288 -0,0596 -0,2196 -0,3005 -0,2681 -0,1171 0,1256 0,4089 0,6709 0,8571 0,9333 0,8808 0,6869 0,3532 -0,0808 -0,5316 -0,9020 -1,1251 -1,1938 -1,1606 -1,1025 -1,0709 -1,0692 -1,0744 -1,0613 -1,0033 -0,8735 -0,6617 -0,3809 -0,0567 0,2772 0,5720 0,7717 0,8415 0,7839 0,6308 0,4239 0,1947 -0,0390 -0,2589 -0,4254 -0,4740 -0,3492 -0,0472 0,3855 0,8816 1,3756 1,8180 2,1804 2,4480 2,6103 2,6661 2,6334 2,5479 2,4504 2,3639 2,2753 2,1478 1,9485 1,6611 1,2901 0,8689 0,4643 0,1676 0,0633 0,1799 0,4651 0,8113 1,1081 1,2827 1,3153 1,2348 1,0989 0,9717 0,9017 0,9056 0,9659 1,0453 1,1048 1,1230 1,1030 1,0583 0,9999 0,9392 0,8858 0,8309 0,7454 0,6032 0,4042 0,1752 -0,0476 -0,2353 -0,3664 -0,4158 -0,3616 -0,2096 -0,0031 0,1941 0,3265 0,3728 0,3613 0,3534 0,4008 0,5116 0,6509 0,7591 0,7635 0,5908 0,1924 -0,4312 -1,2273 -2,1060 -2,9716 -3,7607 -4,4566 -5,0685 -5,6060 -6,0682 -6,4440 -6,7154 -6,8677 -6,8985 -6,8176 -6,6408 -6,3910 -6,1042 -5,8290 -5,6168 -5,5101 -5,5244 -5,6407 -5,8274 -6,0708 -6,3792 -6,7509 -7,1493 -7,5144 -7,7934 -7,9599 -8,0109 -7,9495 -7,7658 -7,4362 -6,9361 -6,2554 -5,4098 -4,4427 -3,4202 -2,4270 -1,5488 -0,8434 -0,3197 0,0573 0,3438 0,5928 0,8383 1,0850 1,3098 1,4730 1,5349 1,4771 1,3130 1,0774 0,8105 0,5538 0,3404 0,1852 0,0858 0,0280 -0,0110 -0,0594 -0,1477 -0,2923 -0,4734 -0,6406 -0,7555 -0,8268 -0,9000 -1,0176 -1,1930 -1,4165 -1,6776 -1,9685 -2,2683 -2,5430 -2,7748 -2,9850 -3,2202 -3,5168 -3,8775 -4,2711 -4,6556 -5,0095 -5,3364 -5,6374 -5,8924 -6,0785 -6,1972 -6,2701 -6,3141 -6,3282 -6,3038 -6,2433 -6,1549 -6,0335 -5,8613 -5,6243 -5,3192 -4,9609 -4,5907 -4,2638 -4,0202 -3,8700 -3,8081 -3,8264 -3,9063 -4,0173 -4,1367 -4,2606 -4,3869 -4,4921 -4,5367 -4,4979 -4,3914 -4,2602 -4,1424 -4,0437 -3,9419 -3,8167 -3,6680 -3,5118 -3,3675 -3,2453 -3,1386 -3,0307 -2,9144 -2,8057
Fz    1,2531 0,9808 0,7239 0,4739 0,2129 -0,0709 -0,3727 -0,6726 -0,9470 -1,1811 -1,3703 -1,5124 -1,6018 -1,6271 -1,5752 -1,4373 -1,2127 -0,9076 -0,5333 -0,1084 0,3367 0,7592 1,1158 1,3785 1,5405 1,6066 1,5773 1,4411 1,1857 0,8153 0,3598 -0,1275 -0,5833 -0,9533 -1,2071 -1,3374 -1,3535 -1,2720 -1,1048 -0,8531 -0,5172 -0,1125 0,3253 0,7511 1,1223 1,3996 1,5421 1,5106 1,2808 0,8589 0,2828 -0,3951 -1,1289 -1,8869 -2,6387 -3,3449 -3,9595 -4,4385 -4,7476 -4,8736 -4,8286 -4,6436 -4,3590 -4,0156 -3,6469 -3,2753 -2,9130 -2,5697 -2,2602 -2,0052 -1,8246 -1,7291 -1,7136 -1,7558 -1,8252 -1,8984 -1,9677 -2,0378 -2,1180 -2,2130 -2,3151 -2,4052 -2,4645 -2,4836 -2,4629 -2,4115 -2,3482 -2,2961 -2,2706 -2,2697 -2,2775 -2,2746 -2,2500 -2,2123 -2,1933 -2,2412 -2,4047 -2,7134 -3,1592 -3,6939 -4,2472 -4,7592 -5,2012 -5,5772 -5,9118 -6,2328 -6,5593 -6,8956 -7,2271 -7,5172 -7,7170 -7,7785 -7,6661 -7,3706 -6,9184 -6,3626 -5,7586 -5,1445 -4,5334 -3,9123 -3,2496 -2,5121 -1,6809 -0,7588 0,2286 1,2358 2,2076 3,0946 3,8677 4,5225 5,0733 5,5431 5,9531 6,3137 6,6225 6,8677 7,0382 7,1381 7,1880 7,2090 7,2144 7,2145 7,2199 7,2377 7,2707 7,3205 7,3912 7,4883 7,6160 7,7716 7,9448 8,1220 8,2882 8,4247 8,5076 8,5115 8,4196 8,2329 7,9723 7,6735 7,3746 7,0999 6,8536 6,6265 6,4071 6,1894 5,9774 5,7900 5,6604 5,6261 5,7155 5,9369 6,2688 6,6625 7,0547 7,3805 7,5863 7,6459 7,5633 7,3595 7,0553 6,6668 6,2095 5,7026 5,1697 4,6347 4,1144 3,6209 3,1745 2,8095 2,5627 2,4525 2,4672 2,5679 2,7018 2,8226 2,9101 2,9735 3,0340 3,1061 3,1938 3,2979 3,4225 3,5745 3,7594 3,9746 4,2081 4,4460 4,6830 4,9229 5,1701 5,4262 5,6953 5,9840 6,2909 6,5971 6,8676 7,0646 7,1677 7,1841 7,1441 7,0877 7,0511 7,0573 7,1115 7,1989 7,2918 7,3677 7,4286 7,5021 7,6255 7,8217 8,0806 8,3598 8,6027 8,7616 8,8094 8,7439 8,5856 8,3672 8,1264 7,9027 7,7277 7,6124 7,5436 7,4919 7,4248 7,3212 7,1824 7,0289 6,8850 6,7664 6,6800 6,6294 6,6147 6,6275 6,6517 6,6717 6,6787 6,6721 6,6573 6,6413 6,6297 6,6256 6,6261 6,6199 6,5901 6,5240 6,4204 6,2866 6,1339 5,9732 5,8118 5,6502 5,4806 5,2937 5,0898 4,8889 4,7291 4,6530 4,6893 4,8428 5,0980 5,4290 5,8009 6,1688 6,4864 6,7221 6,8686 6,9422 6,9729 6,9897 7,0077 7,0222 7,0159 6,9744 6,8992 6,8082 6,7250 6,6666 6,6447 6,6761 6,7809 6,9671 7,2218 7,5148 7,8060 8,0590 8,2554 8,4026 8,5317 8,6869 8,9037 9,1881 9,5141 9,8416 10,1401 10,3964 10,6047 10,7550 10,8337 10,8309 10,7439 10,5738 10,3212 9,9874 9,5847 9,1428 8,7024 8,3041 7,9853 7,7767 7,6926 7,7219 7,8349 7,9970 8,1772 8,3520 8,5111 8,6603 8,8152 8,9890 9,1792 9,3661 9,5256 9,6383 9,6918 9,6840 9,6267 9,5399 9,4457 9,3698 9,3405 9,3797 9,4877 9,6318 9,7531 9,7912 9,7125 9,5219 9,2548 8,9621 8,6934 8,4801 8,3269 8,2202 8,1435 8,0842 8,0342 7,9941 7,9751 7,9877 8,0303 8,0874 8,1320 8,1299 8,0506 7,8859 7,6605 7,4239 7,2304 7,1187 7,1010 7,1664 7,2881 7,4255 7,5290 7,5563 7,4886 7,3331 7,1115 6,8504 6,5759 6,3067 6,0473 5,7882 5,5166 5,2358 4,9763 4,7856 4,7045 4,7501 4,9140 5,1694 5,4765 5,7833 6,0357 6,2007 6,2804 6,3070 6,3230 6,3622 6,4351 6,5234 6,5869 6,5802 6,4669 6,2354 5,9097 5,5438 5,2021 4,9366 4,7694 4,6894 4,6677 4,6791 4,7120 4,7644 4,8355 4,9223 5,0209 5,1308 5,2548 5,3912 5,5248 5,6314 5,6905 5,6965 5,6623 5,6151 5,5872 5,6094 5,7069 5,8884 6,1337 6,3919 6,5922 6,6612 6,5441 6,2265 5,7459 5,1827 4,6337 4,1781 3,8592 3,6860 3,6414 3,6917 3,8018 3,9509 4,1307 4,3296 4,5193 4,6659 4,7514 4,7787 4,7529 4,6653 4,4945 4,2177 3,8233 3,3203 2,7377 2,1150 1,4918 0,9003 0,3592 -0,1250 -0,5472 -0,8864 -1,1032 -1,1571 -1,0340 -0,7598 -0,3911 0,0057 0,3709 0,6612 0,8510 0,9276 0,8882 0,7384 0,4885 0,1506 -0,2662 -0,7597 -1,3302 -1,9668 -2,6321 -3,2597 -3,7661 -4,0734 -4,1317 -3,9279 -3,4848 -2,8570 -2,1174 -1,3367 -0,5695 0,1498 0,8063 1,3957 1,9153 2,3658 2,7544 3,0885 3,3654 3,5766 3,7229 3,8204 3,8944 3,9698 4,0633 4,1821 4,3249 4,4801 4,6263 4,7400 4,8095 4,8435 4,8649 4,8945 4,9378 4,9789 4,9880 4,9406 4,8346 4,6901 4,5317 4,3685 4,1932 3,9978 3,7855 3,5668 3,3482 3,1279 2,9010 2,6720 2,4565 2,2710 2,1230 2,0120 1,9309 1,8657 1,7948 1,6934 1,5416 1,3375 1,1024 0,8698 0,6711 0,5297 0,4604 0,4714 0,5627 0,7178 0,9048 1,0943 1,2771 1,4651 1,6778 1,9227 2,1845 2,4309 2,6285 2,7510 2,7762 2,6864 2,4838 2,2036 1,9074 1,6600 1,5101 1,4811 1,5653 1,7234 1,8975 2,0351 2,1147 2,1573 2,2096 2,3124 2,4776 2,6872 2,9018 3,0702 3,1442 3,0935 2,9154 2,6343
F3    0,7537 0,3398 0,0388 -0,1517 -0,2659 -0,3648 -0,5025 -0,6895 -0,8886 -1,0449 -1,1231 -1,1239 -1,0748 -1,0088 -0,9477 -0,8943 -0,8297 -0,7161 -0,5057 -0,1616 0,3164 0,8782 1,4422 1,9269 2,2723 2,4437 2,4261 2,2204 1,8468 1,3535 0,8141 0,3036 -0,1350 -0,5069 -0,8481 -1,1856 -1,5060 -1,7548 -1,8603 -1,7666 -1,4647 -1,0035 -0,4662 0,0657 0,5305 0,8845 1,0924 1,1287 0,9931 0,7198 0,3611 -0,0427 -0,4814 -0,9662 -1,5090 -2,1075 -2,7405 -3,3652 -3,9173 -4,3271 -4,5406 -4,5354 -4,3317 -3,9891 -3,5785 -3,1502 -2,7204 -2,2854 -1,8506 -1,4483 -1,1324 -0,9554 -0,9437 -1,0861 -1,3396 -1,6451 -1,9493 -2,2219 -2,4546 -2,6415 -2,7626 -2,7886 -2,7031 -2,5216 -2,2867 -2,0481 -1,8497 -1,7239 -1,6906 -1,7532 -1,8889 -2,0453 -2,1587 -2,1912 -2,1595 -2,1282 -2,1745 -2,3509 -2,6658 -3,0904 -3,5816 -4,0971 -4,5969 -5,0490 -5,4396 -5,7730 -6,0665 -6,3499 -6,6539 -6,9843 -7,3057 -7,5509 -7,6477 -7,5464 -7,2375 -6,7528 -6,1495 -5,4913 -4,8290 -4,1832 -3,5408 -2,8702 -2,1422 -1,3484 -0,5109 0,3213 1,0928 1,7644 2,3248 2,7889 3,1892 3,5653 3,9498 4,3536 4,7621 5,1403 5,4478 5,6654 5,8066 5,8958 5,9452 5,9558 5,9257 5,8531 5,7425 5,6142 5,5039 5,4441 5,4502 5,5228 5,6554 5,8327 6,0303 6,2168 6,3527 6,3955 6,3233 6,1523 5,9276 5,6982 5,4935 5,3133 5,1357 4,9376 4,7094 4,4559 4,1937 3,9520 3,7739 3,7014 3,7531 3,9117 4,1314 4,3618 4,5646 4,7151 4,8040 4,8388 4,8291 4,7648 4,6150 4,3486 3,9573 3,4651 2,9216 2,3796 1,8702 1,3994 0,9695 0,5992 0,3237 0,1789 0,1801 0,3099 0,5232 0,7658 0,9956 1,1887 1,3288 1,3984 1,3813 1,2758 1,1091 0,9400 0,8362 0,8390 0,9502 1,1510 1,4272 1,7717 2,1679 2,5784 2,9561 3,2647 3,4867 3,6149 3,6435 3,5743 3,4341 3,2812 3,1881 3,2123 3,3756 3,6613 4,0217 4,3879 4,6836 4,8533 4,8892 4,8300 4,7356 4,6607 4,6362 4,6584 4,6908 4,6819 4,5916 4,4126 4,1760 3,9360 3,7474 3,6476 3,6425 3,6994 3,7626 3,7826 3,7396 3,6468 3,5366 3,4386 3,3613 3,2926 3,2172 3,1308 3,0379 2,9444 2,8585 2,7918 2,7524 2,7382 2,7428 2,7653 2,8078 2,8640 2,9135 2,9289 2,8909 2,8030 2,6932 2,5959 2,5302 2,4903 2,4498 2,3748 2,2388 2,0342 1,7775 1,5086 1,2818 1,1471 1,1291 1,2225 1,4064 1,6563 1,9389 2,2127 2,4394 2,5951 2,6728 2,6819 2,6443 2,5815 2,5014 2,3998 2,2769 2,1443 2,0183 1,9188 1,8672 1,8723 1,9201 1,9871 2,0598 2,1374 2,2220 2,3134 2,4112 2,5186 2,6442 2,8003 3,0057 3,2868 3,6631 4,1224 4,6144 5,0751 5,4542 5,7269 5,8930 5,9708 5,9859 5,9526 5,8597 5,6756 5,3663 4,9173 4,3535 3,7454 3,1895 2,7715 2,5441 2,5267 2,7088 3,0482 3,4756 3,9101 4,2774 4,5260 4,6376 4,6288 4,5469 4,4536 4,4018 4,4220 4,5203 4,6764 4,8464 4,9817 5,0497 5,0392 4,9605 4,8510 4,7750 4,7975 4,9423 5,1679 5,3856 5,5018 5,4590 5,2561 4,9407 4,5876 4,2776 4,0708 3,9834 3,9887 4,0414 4,0991 4,1303 4,1169 4,0559 3,9564 3,8375 3,7235 3,6311 3,5568 3,4809 3,3874 3,2834 3,1972 3,1586 3,1774 3,2383 3,3111 3,3644 3,3721 3,3130 3,1795 2,9866 2,7687 2,5635 2,4008 2,2979 2,2535 2,2398 2,2064 2,1054 1,9213 1,6832 1,4457 1,2563 1,1405 1,1100 1,1727 1,3273 1,5530 1,8125 2,0718 2,3158 2,5498 2,7918 3,0552 3,3301 3,5760 3,7368 3,7658 3,6423 3,3791 3,0160 2,5990 2,1645 1,7396 1,3442 0,9924 0,6998 0,4922 0,4055 0,4690 0,6863 1,0304 1,4516 1,8899 2,2893 2,6106 2,8420 3,0005 3,1184 3,2196 3,3087 3,3792 3,4279 3,4585 3,4756 3,4736 3,4275 3,2998 3,0644 2,7222 2,2968 1,8225 1,3399 0,8963 0,5409 0,3114 0,2222 0,2626 0,4068 0,6247 0,8857 1,1536 1,3789 1,5048 1,4926 1,3508 1,1437 0,9642 0,8827 0,9033 0,9572 0,9340 0,7345 0,3136 -0,3046 -1,0388 -1,7743 -2,3994 -2,8496 -3,1340 -3,3167 -3,4677 -3,6238 -3,7801 -3,9042 -3,9581 -3,9158 -3,7790 -3,5797 -3,3605 -3,1522 -2,9699 -2,8217 -2,7165 -2,6631 -2,6696 -2,7511 -2,9363 -3,2559 -3,7161 -4,2828 -4,8894 -5,4586 -5,9193 -6,2163 -6,3152 -6,2062 -5,9063 -5,4538 -4,8975 -4,2910 -3,6842 -3,1075 -2,5653 -2,0468 -1,5458 -1,0715 -0,6447 -0,2879 -0,0142 0,1773 0,3030 0,3924 0,4769 0,5757 0,6913 0,8147 0,9298 1,0179 1,0669 1,0748 1,0500 1,0087 0,9691 0,9455 0,9407 0,9423 0,9354 0,9219 0,9162 0,9147 0,8780 0,7535 0,5127 0,1662 -0,2484 -0,6796 -1,0684 -1,3567 -1,5032 -1,5029 -1,3943 -1,2413 -1,1040 -1,0262 -1,0370 -1,1498 -1,3643 -1,6709 -2,0456 -2,4333 -2,7519 -2,9273 -2,9324 -2,7931 -2,5598 -2,2853 -2,0227 -1,8217 -1,7080 -1,6634 -1,6297 -1,5376 -1,3467 -1,0645 -0,7318 -0,3976 -0,1102 0,0790 0,1176 -0,0227 -0,3172 -0,6875 -1,0286 -1,2426 -1,2687 -1,1023 -0,7940 -0,4263 -0,0822 0,1873 0,3815 0,5323 0,6631 0,7673 0,8187 0,7959 0,6969 0,5369 0,3305 0,0774 -0,2306
F7    -0,0062 -0,2482 -0,5028 -0,7925 -1,1114 -1,4308 -1,7073 -1,8956 -1,9717 -1,9516 -1,8818 -1,8092 -1,7565 -1,7146 -1,6464 -1,5000 -1,2338 -0,8426 -0,3603 0,1618 0,6734 1,1247 1,4689 1,6769 1,7510 1,7220 1,6296 1,4985 1,3285 1,1101 0,8501 0,5800 0,3397 0,1558 0,0281 -0,0593 -0,1131 -0,1175 -0,0460 0,1149 0,3445 0,5888 0,7921 0,9313 1,0158 1,0614 1,0705 1,0295 0,9194 0,7320 0,4757 0,1646 -0,1946 -0,6002 -1,0410 -1,4891 -1,9088 -2,2682 -2,5407 -2,7011 -2,7237 -2,5911 -2,3126 -1,9317 -1,5072 -1,0872 -0,6992 -0,3590 -0,0838 0,1048 0,1813 0,1213 -0,0852 -0,4148 -0,8064 -1,1847 -1,4919 -1,7018 -1,8088 -1,8118 -1,7128 -1,5281 -1,2930 -1,0533 -0,8467 -0,6883 -0,5738 -0,4952 -0,4543 -0,4644 -0,5385 -0,6700 -0,8308 -0,9917 -1,1437 -1,3017 -1,4892 -1,7179 -1,9792 -2,2558 -2,5372 -2,8221 -3,1083 -3,3849 -3,6326 -3,8318 -3,9778 -4,0916 -4,2087 -4,3525 -4,5159 -4,6670 -4,7703 -4,8032 -4,7612 -4,6509 -4,4802 -4,2498 -3,9496 -3,5652 -3,0946 -2,5572 -1,9824 -1,3966 -0,8186 -0,2601 0,2720 0,7741 1,2474 1,6968 2,1251 2,5275 2,8926 3,2087 3,4704 3,6779 3,8367 3,9676 4,1099 4,2969 4,5260 4,7592 4,9507 5,0667 5,0928 5,0386 4,9349 4,8205 4,7317 4,6984 4,7388 4,8523 5,0215 5,2199 5,4125 5,5547 5,6075 5,5616 5,4415 5,2866 5,1244 4,9546 4,7588 4,5263 4,2696 4,0174 3,8017 3,6527 3,5952 3,6371 3,7544 3,8896 3,9698 3,9350 3,7546 3,4323 3,0154 2,5935 2,2661 2,0932 2,0708 2,1409 2,2239 2,2503 2,1852 2,0347 1,8287 1,5982 1,3637 1,1393 0,9399 0,7824 0,6720 0,5848 0,4720 0,2887 0,0264 -0,2781 -0,5590 -0,7534 -0,8298 -0,7933 -0,6678 -0,4802 -0,2601 -0,0401 0,1569 0,3309 0,4997 0,6775 0,8561 1,0059 1,0984 1,1294 1,1217 1,1075 1,1049 1,1064 1,0893 1,0399 0,9679 0,9010 0,8745 0,9181 1,0417 1,2218 1,4059 1,5419 1,6135 1,6438 1,6650 1,6919 1,7188 1,7281 1,6967 1,6065 1,4591 1,2807 1,1123 0,9969 0,9746 1,0780 1,3137 1,6400 1,9716 2,2185 2,3286 2,3024 2,1786 2,0087 1,8385 1,7001 1,6089 1,5603 1,5327 1,4963 1,4252 1,3060 1,1453 0,9664 0,7982 0,6659 0,5887 0,5768 0,6275 0,7241 0,8464 0,9827 1,1290 1,2746 1,3946 1,4559 1,4301 1,3033 1,0751 0,7593 0,3882 0,0117 -0,3168 -0,5581 -0,7006 -0,7602 -0,7667 -0,7489 -0,7315 -0,7368 -0,7726 -0,8213 -0,8488 -0,8270 -0,7502 -0,6352 -0,5112 -0,4067 -0,3390 -0,3106 -0,3117 -0,3236 -0,3270 -0,3102 -0,2683 -0,1980 -0,1007 0,0102 0,1104 0,1772 0,2078 0,2254 0,2600 0,3251 0,4192 0,5460 0,7192 0,9409 1,1885 1,4306 1,6463 1,8274 1,9713 2,0721 2,1152 2,0839 1,9684 1,7693 1,4939 1,1553 0,7765 0,3890 0,0243 -0,2904 -0,5240 -0,6420 -0,6288 -0,5080 -0,3294 -0,1362 0,0491 0,2116 0,3308 0,3806 0,3445 0,2288 0,0572 -0,1389 -0,3189 -0,4358 -0,4530 -0,3578 -0,1614 0,1042 0,3904 0,6460 0,8375 0,9596 1,0267 1,0562 1,0601 1,0479 1,0309 1,0176 1,0046 0,9749 0,9082 0,7925 0,6288 0,4337 0,2396 0,0885 0,0224 0,0737 0,2508 0,5254 0,8332 1,0936 1,2325 1,1952 0,9613 0,5655 0,1017 -0,3057 -0,5531 -0,6047 -0,5101 -0,3699 -0,2704 -0,2461 -0,2948 -0,4038 -0,5550 -0,7187 -0,8584 -0,9415 -0,9464 -0,8680 -0,7267 -0,5675 -0,4360 -0,3489 -0,2887 -0,2286 -0,1642 -0,1211 -0,1300 -0,1910 -0,2612 -0,2843 -0,2295 -0,0961 0,1068 0,3674 0,6680 0,9851 1,2880 1,5348 1,6851 1,7229 1,6652 1,5516 1,4218 1,2956 1,1680 1,0234 0,8486 0,6352 0,3866 0,1356 -0,0532 -0,1153 -0,0303 0,1596 0,3702 0,5193 0,5687 0,5391 0,4892 0,4836 0,5682 0,7545 1,0171 1,3032 1,5487 1,6981 1,7270 1,6511 1,5131 1,3546 1,1963 1,0336 0,8439 0,6012 0,2942 -0,0595 -0,4171 -0,7285 -0,9490 -1,0420 -0,9865 -0,7920 -0,5075 -0,2042 0,0562 0,2384 0,3316 0,3436 0,2989 0,2275 0,1458 0,0440 -0,1049 -0,3280 -0,6386 -1,0273 -1,4637 -1,9085 -2,3261 -2,6930 -3,0046 -3,2741 -3,5142 -3,7200 -3,8683 -3,9341 -3,9135 -3,8358 -3,7527 -3,7093 -3,7222 -3,7769 -3,8422 -3,8938 -3,9300 -3,9691 -4,0320 -4,1293 -4,2622 -4,4327 -4,6417 -4,8748 -5,0984 -5,2781 -5,4005 -5,4746 -5,5115 -5,5036 -5,4212 -5,2334 -4,9271 -4,5153 -4,0344 -3,5332 -3,0552 -2,6338 -2,2961 -2,0571 -1,9038 -1,7963 -1,6878 -1,5455 -1,3580 -1,1301 -0,8755 -0,6166 -0,3862 -0,2186 -0,1320 -0,1170 -0,1390 -0,1535 -0,1300 -0,0680 0,0078 0,0656 0,0790 0,0305 -0,0869 -0,2647 -0,4724 -0,6644 -0,8037 -0,8842 -0,9252 -0,9468 -0,9589 -0,9727 -1,0096 -1,0908 -1,2194 -1,3776 -1,5408 -1,6958 -1,8436 -1,9891 -2,1357 -2,2832 -2,4272 -2,5662 -2,7134 -2,8884 -3,0929 -3,3042 -3,4941 -3,6433 -3,7366 -3,7554 -3,6830 -3,5194 -3,2844 -3,0020 -2,6858 -2,3429 -1,9889 -1,6577 -1,3960 -1,2434 -1,2136 -1,2885 -1,4348 -1,6246 -1,8354 -2,0423 -2,2206 -2,3527 -2,4240 -2,4202 -2,3404 -2,2072 -2,0557 -1,9103 -1,7747 -1,6419 -1,5091 -1,3814 -1,2676 -1,1767 -1,1152 -1,0835 -1,0726 -1,0640 -1,0377 -0,9828
