Fp1   -4,6573 -4,5431 -4,3124 -3,9694 -3,5296 -3,0314 -2,5355 -2,1181 -1,8548 -1,7893 -1,8988 -2,0863 -2,2223 -2,2196 -2,0671 -1,7884 -1,3970 -0,8936 -0,2822 0,4138 1,1358 1,7942 2,2984 2,5947 2,6788 2,5931 2,4144 2,2199 2,0471 1,8826 1,6906 1,4635 1,2376 1,0466 0,8682 0,6450 0,3511 0,0228 -0,2661 -0,4329 -0,4116 -0,1808 0,2356 0,8042 1,4993 2,2733 3,0202 3,5904 3,8614 3,8051 3,4907 3,0320 2,5441 2,1294 1,8605 1,7631 1,8215 1,9914 2,2131 2,4326 2,6009 2,6505 2,5100 2,1633 1,6787 1,1723 0,7419 0,4186 0,1591 -0,1142 -0,4464 -0,8234 -1,2086 -1,5828 -1,9393 -2,2566 -2,4819 -2,5411 -2,3811 -2,0151 -1,5205 -0,9908 -0,4884 -0,0386 0,3367 0,5955 0,6986 0,6558 0,5401 0,4464 0,4374 0,5300 0,7146 0,9774 1,3131 1,7138 2,1318 2,4661 2,6042 2,4776 2,0701 1,3893 0,4519 -0,6978 -1,9631 -3,2145 -4,3484 -5,3131 -6,0849 -6,6502 -7,0226 -7,2638 -7,4616 -7,6721 -7,8868 -8,0616 -8,1584 -8,1571 -8,0576 -7,8873 -7,6889 -7,4931 -7,3159 -7,1755 -7,0827 -7,0108 -6,8951 -6,6850 -6,3920 -6,0663 -5,7332 -5,3694 -4,9384 -4,4436 -3,9654 -3,6463 -3,5993 -3,8093 -4,1366 -4,4049 -4,4712 -4,2484 -3,7155 -2,9208 -1,9700 -1,0005 -0,1395 0,5306 0,9826 1,2387 1,3496 1,3576 1,2691 1,0509 0,6580 0,0826 -0,6273 -1,3975 -2,1599 -2,8646 -3,4737 -3,9481 -4,2600 -4,4117 -4,4177 -4,2742 -3,9697 -3,5217 -2,9964 -2,5000 -2,1442 -2,0027 -2,0921 -2,3826 -2,8130 -3,3130 -3,8216 -4,2863 -4,6633 -4,9247 -5,0531 -5,0257 -4,8116 -4,3838 -3,7448 -2,9568 -2,1443 -1,4495 -0,9767 -0,7670 -0,8095 -1,0611 -1,4637 -1,9527 -2,4476 -2,8506 -3,0958 -3,2047 -3,2670 -3,3507 -3,4374 -3,4465 -3,3115 -3,0270 -2,6357 -2,1930 -1,7522 -1,3615 -1,0569 -0,8625 -0,7972 -0,8552 -0,9785 -1,0848 -1,1337 -1,1497 -1,1789 -1,2303 -1,2608 -1,2036 -1,0069 -0,6652 -0,2322 0,1964 0,5083 0,6041 0,4448 0,0891 -0,3291 -0,6679 -0,8273 -0,7623 -0,4882 -0,0868 0,3026 0,5258 0,4862 0,2011 -0,2087 -0,5933 -0,8649 -1,0304 -1,1431 -1,2441 -1,3430 -1,4223 -1,4446 -1,3742 -1,1970 -0,9151 -0,5302 -0,0448 0,5148 1,0790 1,5550 1,8756 2,0272 2,0435 1,9848 1,9004 1,7950 1,6469 1,4581 1,2676 1,1168 1,0127 0,9321 0,8558 0,7895 0,7550 0,7738 0,8468 0,9356 0,9812 0,9431 0,8053 0,5532 0,1765 -0,2890 -0,7421 -1,0673 -1,2032 -1,1535 -0,9465 -0,6113 -0,1930 0,2243 0,5348 0,6682 0,6281 0,4769 0,2987 0,1719 0,1475 0,2246 0,3441 0,4139 0,3568 0,1483 -0,1717 -0,5085 -0,7393 -0,7617 -0,5464 -0,1581 0,2772 0,6284 0,8112 0,8245 0,7596 0,7642 0,9620 1,3807 1,9348 2,4635 2,8065 2,8673 2,6253 2,1273 1,4943 0,9047 0,5255 0,4489 0,6738 1,1174 1,6528 2,1767 2,6472 3,0612 3,4136 3,6742 3,7924 3,7262 3,4686 3,0574 2,5761 2,1386 1,8441 1,7248 1,7351 1,7971 1,8535 1,8831 1,8840 1,8660 1,8584 1,9011 2,0182 2,2006 2,4142 2,6226 2,8049 2,9529 3,0613 3,1337 3,1933 3,2659 3,3488 3,4137 3,4362 3,4094 3,3329 3,1993 2,9900 2,6819 2,2605 1,7371 1,1655 0,6416 0,2672 0,1043 0,1619 0,4104 0,7877 1,2020 1,5507 1,7555 1,7894 1,6612 1,3751 0,9287 0,3510 -0,2792 -0,8534 -1,2652 -1,4505 -1,4305 -1,3140 -1,2343 -1,2778 -1,4546 -1,7127 -1,9830 -2,2202 -2,3990 -2,4955 -2,5058 -2,4572 -2,3810 -2,2851 -2,1475 -1,9168 -1,5302 -0,9516 -0,2000 0,6517 1,5013 2,2511 2,8354 3,2306 3,4495 3,5314 3,5378 3,5376 3,5741 3,6500 3,7395 3,8003 3,7835 3,6568 3,4188 3,0922 2,7142 2,3260 1,9552 1,6057 1,2631 0,9040 0,5053 0,0606 -0,4044 -0,8270 -1,1255 -1,2352 -1,1278 -0,8052 -0,3012 0,3072 0,9164 1,4416 1,8483 2,1484 2,3716 2,5392 2,6549 2,7124 2,6993 2,5960 2,3928 2,1094 1,7784 1,4248 1,0869 0,8334 0,7373 0,8337 1,1016 1,4738 1,8655 2,1970 2,4033 2,4476 2,3412 2,1415 1,9144 1,6923 1,4624 1,1940 0,8852 0,5855 0,3697 0,2864 0,3232 0,4241 0,5319 0,6090 0,6298 0,5740 0,4212 0,1510 -0,2345 -0,6827 -1,1061 -1,4474 -1,7343 -2,0651 -2,5388 -3,1816 -3,9227 -4,6347 -5,2049 -5,5935 -5,8398 -6,0188 -6,1907 -6,3778 -6,5791 -6,8022 -7,0680 -7,3865 -7,7422 -8,0944 -8,3805 -8,5327 -8,5107 -8,3153 -7,9604 -7,4393 -6,7382 -5,8717 -4,8894 -3,8498 -2,8009 -1,7998 -0,9366 -0,3082 0,0374 0,1219 0,0168 -0,1854 -0,3969 -0,5490 -0,5941 -0,5135 -0,3197 -0,0398 0,2958 0,6362 0,8917 0,9517 0,7358 0,2400 -0,4589 -1,2415 -1,9966 -2,6556 -3,1872 -3,5800 -3,8526 -4,0544 -4,2262 -4,3787 -4,5169 -4,6644 -4,8543 -5,0996 -5,3823 -5,6673 -5,9064 -6,0309 -5,9770 -5,7315 -5,3417 -4,8781 -4,3940 -3,9223 -3,4988 -3,1673 -2,9561 -2,8581 -2,8379 -2,8573 -2,8893 -2,9089 -2,8838 -2,7892 -2,6306 -2,4496 -2,3097 -2,2625 -2,3104 -2,3998 -2,4595 -2,4581 -2,4270 -2,4304 -2,5207 -2,7064 -2,9495 -3,2004 -3,4416 -3,6905 -3,9579 -4,2154 -4,4110 -4,5054 -4,4920 -4,3890 -4,2207 -4,0171 -3,8323 -3,7299 -3,7346 -3,8052 -3,8503 -3,7632 -3,4633 -2,9238 -2,1776 -1,3135
Fz    -5,3188 -5,4605 -5,5077 -5,4592 -5,3230 -5,1168 -4,8604 -4,5761 -4,2953 -4,0508 -3,8528 -3,6704 -3,4454 -3,1351 -2,7369 -2,2701 -1,7528 -1,2007 -0,6343 -0,0750 0,4676 1,0019 1,5434 2,0969 2,6437 3,1425 3,5433 3,8049 3,9066 3,8525 3,6680 3,3905 3,0581 2,7013 2,3402 1,9913 1,6759 1,4183 1,2416 1,1687 1,2165 1,3835 1,6501 1,9937 2,3901 2,7950 3,1316 3,3072 3,2546 2,9624 2,4736 1,8642 1,2271 0,6601 0,2437 0,0183 -0,0201 0,0882 0,2791 0,4819 0,6305 0,6628 0,5319 0,2307 -0,2043 -0,7179 -1,2631 -1,8106 -2,3468 -2,8657 -3,3599 -3,8173 -4,2216 -4,5523 -4,7866 -4,9022 -4,8780 -4,6977 -4,3593 -3,8836 -3,3136 -2,7078 -2,1254 -1,6112 -1,1924 -0,8880 -0,7152 -0,6816 -0,7709 -0,9364 -1,1121 -1,2337 -1,2517 -1,1364 -0,8788 -0,4971 -0,0459 0,3889 0,7202 0,8919 0,8856 0,7072 0,3699 -0,1049 -0,6753 -1,2842 -1,8868 -2,4668 -3,0253 -3,5649 -4,0849 -4,5841 -5,0617 -5,5133 -5,9253 -6,2779 -6,5580 -6,7680 -6,9297 -7,0879 -7,3012 -7,6142 -8,0335 -8,5280 -9,0416 -9,5058 -9,8561 -10,0579 -10,1263 -10,1105 -10,0510 -9,9533 -9,7993 -9,5801 -9,3252 -9,1009 -8,9638 -8,9073 -8,8568 -8,7094 -8,3740 -7,7943 -6,9648 -5,9356 -4,7988 -3,6626 -2,6223 -1,7371 -1,0235 -0,4656 -0,0355 0,2868 0,5027 0,5957 0,5412 0,3283 -0,0273 -0,4862 -0,9947 -1,4995 -1,9598 -2,3444 -2,6270 -2,7896 -2,8248 -2,7357 -2,5377 -2,2569 -1,9264 -1,5864 -1,2767 -1,0202 -0,8202 -0,6718 -0,5689 -0,5041 -0,4684 -0,4502 -0,4410 -0,4411 -0,4524 -0,4642 -0,4474 -0,3681 -0,2149 -0,0158 0,1701 0,2823 0,2851 0,1725 -0,0424 -0,3323 -0,6609 -0,9908 -1,2886 -1,5254 -1,6865 -1,7806 -1,8345 -1,8767 -1,9193 -1,9554 -1,9721 -1,9656 -1,9458 -1,9326 -1,9460 -1,9939 -2,0640 -2,1307 -2,1709 -2,1685 -2,1107 -1,9971 -1,8539 -1,7295 -1,6686 -1,6823 -1,7391 -1,7819 -1,7548 -1,6254 -1,3935 -1,0872 -0,7580 -0,4730 -0,2959 -0,2603 -0,3582 -0,5510 -0,7901 -1,0339 -1,2565 -1,4522 -1,6330 -1,8191 -2,0213 -2,2260 -2,3988 -2,5018 -2,5106 -2,4182 -2,2270 -1,9426 -1,5796 -1,1619 -0,7101 -0,2327 0,2714 0,8110 1,3956 2,0205 2,6558 3,2479 3,7343 4,0646 4,2142 4,1826 3,9827 3,6288 3,1308 2,5066 1,8068 1,1195 0,5420 0,1478 -0,0297 0,0036 0,2106 0,5368 0,9235 1,3107 1,6375 1,8546 1,9353 1,8667 1,6360 1,2395 0,7060 0,1046 -0,4807 -0,9816 -1,3543 -1,5741 -1,6406 -1,5892 -1,4860 -1,4012 -1,3787 -1,4193 -1,4857 -1,5215 -1,4770 -1,3283 -1,0846 -0,7808 -0,4627 -0,1747 0,0488 0,1928 0,2682 0,3138 0,3804 0,5040 0,6861 0,8966 1,0921 1,2400 1,3363 1,4133 1,5317 1,7506 2,0936 2,5316 2,9907 3,3829 3,6409 3,7333 3,6656 3,4796 3,2432 3,0251 2,8725 2,8043 2,8117 2,8641 2,9291 2,9917 3,0555 3,1343 3,2385 3,3638 3,4930 3,6082 3,7043 3,7968 3,9196 4,1070 4,3694 4,6810 4,9929 5,2580 5,4472 5,5469 5,5526 5,4685 5,3088 5,0922 4,8321 4,5313 4,1912 3,8253 3,4647 3,1486 2,9111 2,7733 2,7403 2,8043 2,9509 3,1644 3,4222 3,6878 3,9142 4,0602 4,1038 4,0421 3,8884 3,6740 3,4488 3,2684 3,1700 3,1579 3,2062 3,2764 3,3361 3,3647 3,3512 3,2898 3,1738 2,9910 2,7314 2,3977 2,0097 1,6049 1,2351 0,9516 0,7801 0,7055 0,6826 0,6631 0,6164 0,5374 0,4405 0,3504 0,2983 0,3162 0,4156 0,5769 0,7642 0,9475 1,1142 1,2750 1,4567 1,6812 1,9538 2,2657 2,5972 2,9139 3,1729 3,3394 3,3990 3,3572 3,2383 3,0810 2,9231 2,7871 2,6736 2,5610 2,4119 2,1889 1,8719 1,4726 1,0424 0,6554 0,3715 0,2088 0,1429 0,1206 0,0813 -0,0173 -0,1831 -0,3913 -0,6002 -0,7700 -0,8695 -0,8733 -0,7688 -0,5668 -0,2996 -0,0074 0,2765 0,5352 0,7633 0,9608 1,1334 1,2973 1,4716 1,6645 1,8714 2,0837 2,2867 2,4537 2,5532 2,5634 2,4839 2,3433 2,1931 2,0864 2,0513 2,0774 2,1241 2,1461 2,1169 2,0367 1,9244 1,8005 1,6747 1,5458 1,4126 1,2839 1,1728 1,0808 0,9917 0,8862 0,7606 0,6280 0,5021 0,3824 0,2516 0,0815 -0,1498 -0,4376 -0,7506 -1,0590 -1,3638 -1,6965 -2,0896 -2,5465 -3,0353 -3,5071 -3,9195 -4,2515 -4,5114 -4,7336 -4,9624 -5,2325 -5,5664 -5,9800 -6,4747 -7,0203 -7,5566 -8,0126 -8,3258 -8,4575 -8,4039 -8,1887 -7,8386 -7,3602 -6,7425 -5,9775 -5,0790 -4,0840 -3,0404 -1,9991 -1,0170 -0,1551 0,5357 1,0270 1,3178 1,4307 1,4032 1,2785 1,0984 0,8934 0,6791 0,4648 0,2625 0,0748 -0,1226 -0,3805 -0,7505 -1,2589 -1,8964 -2,6225 -3,3772 -4,0960 -4,7189 -5,1989 -5,5171 -5,6882 -5,7398 -5,6945 -5,5756 -5,4195 -5,2737 -5,1827 -5,1765 -5,2641 -5,4240 -5,6028 -5,7374 -5,7807 -5,7045 -5,4891 -5,1218 -4,6094 -3,9936 -3,3477 -2,7484 -2,2467 -1,8636 -1,6029 -1,4536 -1,3859 -1,3563 -1,3213 -1,2514 -1,1442 -1,0286 -0,9439 -0,9086 -0,9097 -0,9216 -0,9348 -0,9658 -1,0469 -1,2077 -1,4546 -1,7604 -2,0752 -2,3527 -2,5656 -2,6996 -2,7456 -2,7033 -2,5891 -2,4344 -2,2737 -2,1252 -1,9861 -1,8459 -1,6952 -1,5248 -1,3273 -1,0962 -0,8196 -0,4823 -0,0788 0,3757 0,8446
F3    -3,8688 -3,8000 -3,6450 -3,4321 -3,1914 -2,9558 -2,7517 -2,5964 -2,5043 -2,4846 -2,5245 -2,5790 -2,5895 -2,5192 -2,3642 -2,1270 -1,7988 -1,3719 -0,8530 -0,2678 0,3446 0,9410 1,4847 1,9483 2,3108 2,5608 2,7036 2,7561 2,7331 2,6400 2,4818 2,2762 2,0497 1,8159 1,5640 1,2796 0,9721 0,6756 0,4337 0,2911 0,2845 0,4238 0,6881 1,0457 1,4658 1,9095 2,3139 2,5961 2,6840 2,5509 2,2239 1,7629 1,2427 0,7439 0,3407 0,0874 0,0087 0,0892 0,2733 0,4849 0,6432 0,6670 0,4984 0,1402 -0,3417 -0,8609 -1,3550 -1,7991 -2,1958 -2,5590 -2,8974 -3,2048 -3,4641 -3,6626 -3,7945 -3,8456 -3,7778 -3,5400 -3,1038 -2,4919 -1,7749 -1,0444 -0,3812 0,1625 0,5570 0,7804 0,8169 0,6713 0,3823 0,0156 -0,3578 -0,6775 -0,8969 -0,9807 -0,9035 -0,6601 -0,2841 0,1480 0,5425 0,8197 0,9235 0,8178 0,4874 -0,0490 -0,7278 -1,4616 -2,1853 -2,8745 -3,5210 -4,1094 -4,6230 -5,0620 -5,4466 -5,7978 -6,1197 -6,4003 -6,6277 -6,8018 -6,9404 -7,0826 -7,2758 -7,5501 -7,9064 -8,3259 -8,7759 -9,2042 -9,5432 -9,7404 -9,7886 -9,7167 -9,5492 -9,2803 -8,8934 -8,4013 -7,8727 -7,4177 -7,1221 -6,9839 -6,9144 -6,7905 -6,5008 -5,9707 -5,1811 -4,1760 -3,0516 -1,9292 -0,9183 -0,0867 0,5475 1,0058 1,3286 1,5489 1,6721 1,6729 1,5145 1,1826 0,7032 0,1321 -0,4660 -1,0334 -1,5247 -1,9022 -2,1397 -2,2328 -2,1936 -2,0340 -1,7639 -1,4024 -0,9887 -0,5821 -0,2457 -0,0238 0,0631 0,0109 -0,1666 -0,4370 -0,7566 -1,0778 -1,3592 -1,5723 -1,6981 -1,7181 -1,6144 -1,3780 -1,0235 -0,6020 -0,1951 0,1144 0,2716 0,2598 0,0924 -0,1986 -0,5742 -0,9963 -1,4248 -1,8154 -2,1383 -2,3993 -2,6340 -2,8722 -3,1056 -3,2899 -3,3792 -3,3591 -3,2518 -3,0961 -2,9238 -2,7468 -2,5570 -2,3425 -2,1058 -1,8576 -1,5983 -1,3262 -1,0631 -0,8599 -0,7667 -0,7956 -0,9066 -1,0280 -1,0898 -1,0540 -0,9294 -0,7632 -0,6244 -0,5860 -0,7004 -0,9723 -1,3532 -1,7602 -2,1041 -2,3161 -2,3726 -2,3039 -2,1801 -2,0824 -2,0704 -2,1595 -2,3165 -2,4822 -2,6080 -2,6744 -2,6762 -2,6084 -2,4690 -2,2572 -1,9639 -1,5760 -1,0908 -0,5187 0,1243 0,8175 1,5246 2,1841 2,7221 3,0821 3,2441 3,2216 3,0466 2,7429 2,3095 1,7433 1,0828 0,4174 -0,1493 -0,5425 -0,7338 -0,7318 -0,5692 -0,2918 0,0504 0,4040 0,7100 0,9119 0,9705 0,8629 0,5750 0,1113 -0,4794 -1,0998 -1,6405 -2,0235 -2,2128 -2,2014 -2,0072 -1,6843 -1,3235 -1,0256 -0,8603 -0,8401 -0,9254 -1,0515 -1,1582 -1,2104 -1,2046 -1,1608 -1,1079 -1,0718 -1,0694 -1,1030 -1,1512 -1,1652 -1,0872 -0,8844 -0,5726 -0,2100 0,1351 0,4201 0,6500 0,8781 1,1823 1,6177 2,1754 2,7814 3,3289 3,7217 3,9038 3,8636 3,6263 3,2549 2,8454 2,4922 2,2518 2,1330 2,1064 2,1237 2,1458 2,1644 2,1977 2,2687 2,3807 2,5086 2,6125 2,6599 2,6409 2,5762 2,5162 2,5212 2,6272 2,8244 3,0678 3,3071 3,5096 3,6619 3,7609 3,8096 3,8140 3,7744 3,6786 3,5109 3,2711 2,9855 2,6991 2,4567 2,2881 2,2068 2,2113 2,2879 2,4214 2,6015 2,8133 3,0267 3,1981 3,2786 3,2254 3,0157 2,6600 2,2112 1,7610 1,4157 1,2564 1,3093 1,5413 1,8792 2,2371 2,5359 2,7168 2,7496 2,6224 2,3266 1,8654 1,2759 0,6366 0,0477 -0,4028 -0,6701 -0,7723 -0,7826 -0,7934 -0,8696 -1,0206 -1,2025 -1,3508 -1,4160 -1,3741 -1,2253 -1,0022 -0,7625 -0,5561 -0,3987 -0,2678 -0,1107 0,1341 0,5060 1,0032 1,5844 2,1824 2,7212 3,1384 3,4012 3,5081 3,4774 3,3411 3,1408 2,9157 2,6929 2,4852 2,2874 2,0736 1,8115 1,4827 1,0962 0,6903 0,3204 0,0333 -0,1555 -0,2689 -0,3565 -0,4701 -0,6366 -0,8465 -1,0575 -1,2086 -1,2472 -1,1516 -0,9322 -0,6232 -0,2746 0,0596 0,3402 0,5536 0,7081 0,8212 0,9085 0,9814 1,0472 1,1069 1,1537 1,1842 1,2059 1,2244 1,2331 1,2284 1,2194 1,2152 1,2189 1,2340 1,2666 1,3166 1,3717 1,4084 1,4046 1,3566 1,2817 1,2031 1,1336 1,0706 1,0053 0,9398 0,8996 0,9221 1,0264 1,1935 1,3776 1,5390 1,6599 1,7350 1,7559 1,7010 1,5392 1,2566 0,8807 0,4697 0,0701 -0,3172 -0,7352 -1,2324 -1,8201 -2,4645 -3,1105 -3,7037 -4,2019 -4,5947 -4,9131 -5,2129 -5,5405 -5,9185 -6,3512 -6,8239 -7,2968 -7,7186 -8,0491 -8,2649 -8,3551 -8,3203 -8,1726 -7,9213 -7,5569 -7,0558 -6,3997 -5,5922 -4,6599 -3,6406 -2,5804 -1,5456 -0,6195 0,1213 0,6247 0,8710 0,8797 0,7099 0,4461 0,1722 -0,0559 -0,2169 -0,3066 -0,3246 -0,2896 -0,2595 -0,3198 -0,5417 -0,9462 -1,4979 -2,1247 -2,7457 -3,2957 -3,7321 -4,0320 -4,1997 -4,2662 -4,2663 -4,2240 -4,1628 -4,1119 -4,0951 -4,1183 -4,1749 -4,2559 -4,3450 -4,4126 -4,4283 -4,3731 -4,2287 -3,9647 -3,5525 -2,9982 -2,3629 -1,7485 -1,2549 -0,9398 -0,8134 -0,8550 -1,0232 -1,2566 -1,4843 -1,6501 -1,7273 -1,7207 -1,6589 -1,5734 -1,4783 -1,3663 -1,2287 -1,0801 -0,9645 -0,9357 -1,0324 -1,2562 -1,5654 -1,8953 -2,1971 -2,4575 -2,6812 -2,8641 -2,9917 -3,0565 -3,0668 -3,0384 -2,9802 -2,8916 -2,7749 -2,6363 -2,4762 -2,2871 -2,0537 -1,7538 -1,3701 -0,9038 -0,3772 0,1668
F7    -3,9154 -3,7520 -3,5417 -3,3048 -3,0675 -2,8640 -2,7181 -2,6343 -2,6105 -2,6389 -2,6863 -2,6831 -2,5554 -2,2789 -1,8938 -1,4618 -1,0181 -0,5630 -0,0902 0,3851 0,8281 1,2120 1,5355 1,8163 2,0732 2,3118 2,5181 2,6627 2,7151 2,6599 2,5057 2,2792 2,0105 1,7196 1,4156 1,1112 0,8349 0,6234 0,5053 0,4948 0,5847 0,7382 0,9081 1,0711 1,2286 1,3815 1,5124 1,5872 1,5756 1,4725 1,3005 1,0929 0,8783 0,6794 0,5184 0,4216 0,4113 0,4882 0,6305 0,8124 1,0060 1,1625 1,2252 1,1759 1,0545 0,9252 0,8306 0,7800 0,7653 0,7796 0,8229 0,9006 1,0149 1,1508 1,2772 1,3731 1,4488 1,5376 1,6717 1,8638 2,1005 2,3455 2,5577 2,7151 2,8209 2,8832 2,9001 2,8676 2,7874 2,6630 2,4962 2,2944 2,0811 1,8989 1,7980 1,8088 1,9159 2,0581 2,1582 2,1558 2,0150 1,7191 1,2694 0,6952 0,0586 -0,5671 -1,1336 -1,6325 -2,0752 -2,4674 -2,8082 -3,1032 -3,3683 -3,6163 -3,8416 -4,0294 -4,1773 -4,3042 -4,4436 -4,6413 -4,9450 -5,3810 -5,9354 -6,5602 -7,1872 -7,7332 -8,1147 -8,2846 -8,2593 -8,1025 -7,8734 -7,5843 -7,2041 -6,7008 -6,0898 -5,4451 -4,8545 -4,3591 -3,9385 -3,5411 -3,1112 -2,5998 -1,9801 -1,2689 -0,5243 0,1840 0,8052 1,3179 1,7244 2,0403 2,2853 2,4767 2,6180 2,6876 2,6485 2,4821 2,2063 1,8616 1,4882 1,1132 0,7532 0,4255 0,1489 -0,0623 -0,1942 -0,2256 -0,1361 0,0725 0,3602 0,6586 0,9026 1,0576 1,1168 1,0855 0,9792 0,8207 0,6315 0,4298 0,2292 0,0393 -0,1227 -0,2222 -0,2152 -0,0742 0,1846 0,5022 0,8045 1,0354 1,1735 1,2185 1,1655 0,9992 0,7094 0,3085 -0,1589 -0,6211 -1,0112 -1,2999 -1,4962 -1,6209 -1,6826 -1,6780 -1,6106 -1,5063 -1,4046 -1,3321 -1,2846 -1,2349 -1,1555 -1,0411 -0,9101 -0,7763 -0,6308 -0,4660 -0,3051 -0,1972 -0,1896 -0,2987 -0,4980 -0,7262 -0,9161 -1,0285 -1,0649 -1,0485 -1,0058 -0,9681 -0,9683 -1,0195 -1,1003 -1,1694 -1,1907 -1,1498 -1,0563 -0,9354 -0,8158 -0,7270 -0,6927 -0,7119 -0,7490 -0,7527 -0,6916 -0,5708 -0,4140 -0,2415 -0,0712 0,0822 0,2185 0,3520 0,4957 0,6514 0,8156 0,9834 1,1474 1,2926 1,3944 1,4237 1,3582 1,1945 0,9568 0,6867 0,4139 0,1449 -0,1136 -0,3324 -0,4727 -0,5098 -0,4391 -0,2662 -0,0035 0,3227 0,6701 0,9856 1,2177 1,3352 1,3405 1,2559 1,0993 0,8762 0,5959 0,2883 0,0008 -0,2189 -0,3323 -0,3170 -0,1789 0,0423 0,2844 0,4858 0,6090 0,6520 0,6451 0,6347 0,6628 0,7486 0,8852 1,0502 1,2150 1,3470 1,4128 1,3906 1,2903 1,1609 1,0689 1,0606 1,1370 1,2578 1,3725 1,4554 1,5178 1,5981 1,7448 1,9913 2,3281 2,6954 3,0096 3,2084 3,2772 3,2390 3,1345 3,0109 2,9145 2,8705 2,8709 2,8877 2,8932 2,8699 2,8158 2,7444 2,6741 2,6135 2,5543 2,4802 2,3838 2,2700 2,1481 2,0320 1,9512 1,9454 2,0343 2,1945 2,3757 2,5324 2,6363 2,6710 2,6302 2,5253 2,3854 2,2390 2,0922 1,9317 1,7508 1,5648 1,3983 1,2701 1,1965 1,1963 1,2841 1,4608 1,7209 2,0623 2,4738 2,9143 3,3148 3,6046 3,7363 3,6938 3,4927 3,1885 2,8724 2,6411 2,5553 2,6113 2,7478 2,8878 2,9804 3,0058 2,9565 2,8259 2,6031 2,2781 1,8550 1,3576 0,8240 0,2980 -0,1768 -0,5653 -0,8515 -1,0400 -1,1472 -1,1887 -1,1705 -1,0902 -0,9483 -0,7513 -0,5015 -0,1963 0,1520 0,5051 0,8182 1,0649 1,2521 1,4218 1,6293 1,9089 2,2607 2,6605 3,0710 3,4514 3,7692 4,0096 4,1740 4,2695 4,3053 4,2951 4,2564 4,2080 4,1662 4,1323 4,0845 3,9918 3,8341 3,6116 3,3446 3,0671 2,8100 2,5854 2,3853 2,1866 1,9594 1,6840 1,3722 1,0742 0,8551 0,7566 0,7828 0,9150 1,1238 1,3678 1,5961 1,7645 1,8529 1,8673 1,8270 1,7538 1,6739 1,6206 1,6254 1,7040 1,8559 2,0692 2,3117 2,5283 2,6708 2,7235 2,6957 2,6129 2,5210 2,4749 2,5046 2,5922 2,6793 2,7029 2,6368 2,5065 2,3659 2,2584 2,2006 2,1940 2,2407 2,3419 2,4815 2,6208 2,7147 2,7397 2,7082 2,6558 2,6129 2,5848 2,5412 2,4276 2,2073 1,9018 1,5770 1,2871 1,0341 0,7737 0,4502 0,0403 -0,4206 -0,8573 -1,2052 -1,4547 -1,6571 -1,8851 -2,1803 -2,5382 -2,9357 -3,3611 -3,8112 -4,2696 -4,7013 -5,0646 -5,3250 -5,4647 -5,4877 -5,4054 -5,2070 -4,8539 -4,3129 -3,5890 -2,7265 -1,7884 -0,8290 0,1161 1,0106 1,8028 2,4409 2,8933 3,1571 3,2609 3,2597 3,2163 3,1771 3,1556 3,1399 3,1192 3,0968 3,0715 3,0142 2,8767 2,6258 2,2683 1,8435 1,3988 0,9701 0,5747 0,2190 -0,0965 -0,3866 -0,6791 -0,9832 -1,2612 -1,4474 -1,5057 -1,4673 -1,4096 -1,4051 -1,4874 -1,6388 -1,8009 -1,9012 -1,8778 -1,6972 -1,3669 -0,9295 -0,4363 0,0641 0,5210 0,8861 1,1289 1,2390 1,2259 1,1243 0,9877 0,8676 0,7971 0,7904 0,8401 0,9141 0,9696 0,9830 0,9670 0,9531 0,9550 0,9506 0,8992 0,7716 0,5682 0,3165 0,0549 -0,1842 -0,3797 -0,5163 -0,5852 -0,5904 -0,5431 -0,4502 -0,3163 -0,1526 0,0169 0,1566 0,2387 0,2674 0,2779 0,3162 0,4211 0,6116 0,8812 1,1971 1,5044
