Fp1   4,1342 3,8577 3,4487 2,9203 2,3370 1,7850 1,3304 0,9956 0,7601 0,5827 0,4234 0,2568 0,0673 -0,1659 -0,4678 -0,8377 -1,2272 -1,5524 -1,7271 -1,7011 -1,4887 -1,1746 -0,8936 -0,7823 -0,9073 -1,2178 -1,5683 -1,7957 -1,8006 -1,5885 -1,2558 -0,9299 -0,6969 -0,5576 -0,4446 -0,2839 -0,0500 0,2255 0,4834 0,6711 0,7535 0,7194 0,5893 0,4049 0,2044 0,0115 -0,1673 -0,3451 -0,5475 -0,7870 -1,0449 -1,2865 -1,4894 -1,6482 -1,7619 -1,8250 -1,8326 -1,7839 -1,6772 -1,5106 -1,3006 -1,0894 -0,9242 -0,8327 -0,8129 -0,8350 -0,8513 -0,8082 -0,6649 -0,4203 -0,1226 0,1565 0,3643 0,4884 0,5441 0,5558 0,5567 0,5843 0,6559 0,7555 0,8573 0,9512 1,0325 1,0856 1,0898 1,0352 0,9235 0,7576 0,5334 0,2457 -0,0954 -0,4551 -0,7827 -1,0367 -1,2058 -1,3067 -1,3638 -1,3993 -1,4361 -1,4877 -1,5380 -1,5433 -1,4634 -1,2910 -1,0540 -0,7968 -0,5571 -0,3488 -0,1618 0,0215 0,2121 0,4128 0,6158 0,7987 0,9375 1,0248 1,0638 1,0551 1,0090 0,9694 1,0037 1,1642 1,4726 1,9327 2,5325 3,2362 3,9959 4,7709 5,5274 6,2300 6,8475 7,3722 7,8307 8,2638 8,6921 9,1088 9,5047 9,8846 10,2534 10,5950 10,8669 11,0145 10,9922 10,7817 10,4112 9,9536 9,4902 9,0668 8,6842 8,3121 7,9053 7,4163 6,8105 6,0827 5,2655 4,4173 3,5983 2,8533 2,2074 1,6707 1,2519 0,9642 0,8172 0,8088 0,9147 1,0716 1,1819 1,1563 0,9699 0,6803 0,3861 0,1700 0,0740 0,1079 0,2633 0,5231 0,8602 1,2371 1,6146 1,9633 2,2648 2,5053 2,6730 2,7567 2,7445 2,6285 2,4207 2,1588 1,8925 1,6650 1,5008 1,3952 1,3115 1,1927 0,9876 0,6791 0,2841 -0,1689 -0,6517 -1,1292 -1,5591 -1,9103 -2,1763 -2,3702 -2,5100 -2,6113 -2,6895 -2,7666 -2,8713 -3,0264 -3,2386 -3,5028 -3,8117 -4,1481 -4,4690 -4,7121 -4,8249 -4,7926 -4,6448 -4,4337 -4,2057 -3,9927 -3,8189 -3,7059 -3,6775 -3,7594 -3,9604 -4,2546 -4,5856 -4,8901 -5,1176 -5,2356 -5,2295 -5,1004 -4,8613 -4,5431 -4,2061 -3,9282 -3,7708 -3,7459 -3,8155 -3,9261 -4,0488 -4,1796 -4,3177 -4,4558 -4,5863 -4,7088 -4,8319 -4,9653 -5,1051 -5,2293 -5,3052 -5,2978 -5,1722 -4,9044 -4,4975 -3,9906 -3,4462 -2,9233 -2,4579 -2,0697 -1,7808 -1,6204 -1,6076 -1,7322 -1,9527 -2,2073 -2,4288 -2,5624 -2,5874 -2,5328 -2,4660 -2,4549 -2,5349 -2,7010 -2,9214 -3,1561 -3,3715 -3,5486 -3,6819 -3,7697 -3,8078 -3,7942 -3,7420 -3,6852 -3,6635 -3,7014 -3,8028 -3,9565 -4,1422 -4,3372 -4,5193 -4,6681 -4,7732 -4,8385 -4,8740 -4,8817 -4,8544 -4,7927 -4,7226 -4,6895 -4,7308 -4,8540 -5,0416 -5,2692 -5,5170 -5,7689 -6,0125 -6,2414 -6,4578 -6,6680 -6,8700 -7,0404 -7,1423 -7,1477 -7,0496 -6,8545 -6,5744 -6,2311 -5,8564 -5,4795 -5,1189 -4,7807 -4,4565 -4,1264 -3,7682 -3,3649 -2,9176 -2,4545 -2,0194 -1,6496 -1,3645 -1,1681 -1,0503 -0,9874 -0,9496 -0,9078 -0,8318 -0,6905 -0,4679 -0,1784 0,1384 0,4350 0,6658 0,7969 0,8253 0,7895 0,7487 0,7440 0,7825 0,8492 0,9211 0,9710 0,9672 0,8809 0,6947 0,4073 0,0324 -0,3996 -0,8484 -1,2766 -1,6509 -1,9397 -2,1239 -2,2097 -2,2307 -2,2453 -2,3233 -2,5106 -2,7994 -3,1379 -3,4622 -3,7222 -3,9006 -4,0245 -4,1523 -4,3303 -4,5616 -4,8156 -5,0582 -5,2778 -5,4930 -5,7319 -5,9986 -6,2641 -6,4918 -6,6579 -6,7467 -6,7462 -6,6597 -6,5047 -6,2958 -6,0381 -5,7388 -5,4181 -5,1087 -4,8378 -4,6103 -4,4088 -4,2056 -3,9759 -3,7116 -3,4275 -3,1532 -2,9127 -2,7053 -2,5156 -2,3454 -2,2304 -2,2174 -2,3308 -2,5619 -2,8789 -3,2323 -3,5498 -3,7421 -3,7383 -3,5303 -3,1773 -2,7654 -2,3635 -2,0036 -1,6822 -1,3817 -1,1002 -0,8660 -0,7223 -0,6952 -0,7715 -0,9052 -1,0469 -1,1696 -1,2759 -1,3848 -1,5134 -1,6676 -1,8420 -2,0258 -2,2088 -2,3790 -2,5200 -2,6154 -2,6602 -2,6672 -2,6639 -2,6825 -2,7528 -2,8995 -3,1344 -3,4454 -3,7914 -4,1169 -4,3770 -4,5503 -4,6409 -4,6784 -4,7080 -4,7700 -4,8838 -5,0445 -5,2271 -5,3928 -5,4931 -5,4862 -5,3648 -5,1664 -4,9473 -4,7420 -4,5506 -4,3636 -4,1849 -4,0228 -3,8670 -3,6867 -3,4398 -3,0840 -2,5922 -1,9660 -1,2344 -0,4466 0,3403 1,0755 1,7197 2,2424 2,6274 2,8806 3,0175 3,0437 2,9613 2,7930 2,5813 2,3630 2,1567 1,9774 1,8450 1,7695 1,7298 1,6691 1,5199 1,2461 0,8714 0,4694 0,1238 -0,1107 -0,2264 -0,2563 -0,2475 -0,2296 -0,2069 -0,1787 -0,1545 -0,1461 -0,1533 -0,1664 -0,1823 -0,2165 -0,2966 -0,4418 -0,6498 -0,9033 -1,1861 -1,4937 -1,8340 -2,2199 -2,6515 -3,1029 -3,5338 -3,9156 -4,2476 -4,5513 -4,8497 -5,1476 -5,4287 -5,6698 -5,8533 -5,9643 -5,9899 -5,9263 -5,7770 -5,5422 -5,2238 -4,8408 -4,4250 -4,0046 -3,5987 -3,2167 -2,8551 -2,5033 -2,1558 -1,8170 -1,4940 -1,1886 -0,8958 -0,6075 -0,3215 -0,0576 0,1340 0,1878 0,0550 -0,2736 -0,7587 -1,3155 -1,8484 -2,3058 -2,7055 -3,0995 -3,5202 -3,9651 -4,4206 -4,8804 -5,3441 -5,8093 -6,2625 -6,6748 -7,0153 -7,2753 -7,4818 -7,6809 -7,9046 -8,1510 -8,3939 -8,6064 -8,7717 -8,8759 -8,9031 -8,8387 -8,6726 -8,4043 -8,0519 -7,6594 -7,2829 -6,9557 -6,6722 -6,4121 -6,1684 -5,9416 -5,7177 -5,4730 -5,1984
Fz    3,4566 3,1296 2,7448 2,3045 1,8310 1,3626 0,9358 0,5731 0,2805 0,0479 -0,1438 -0,3105 -0,4598 -0,5976 -0,7339 -0,8728 -1,0042 -1,1075 -1,1632 -1,1611 -1,1069 -1,0291 -0,9829 -1,0339 -1,2175 -1,5040 -1,8035 -2,0142 -2,0788 -2,0087 -1,8605 -1,6913 -1,5254 -1,3468 -1,1204 -0,8227 -0,4589 -0,0562 0,3504 0,7249 1,0338 1,2564 1,3949 1,4661 1,4895 1,4838 1,4599 1,4093 1,3126 1,1680 1,0039 0,8522 0,7188 0,5879 0,4488 0,3098 0,1937 0,1234 0,1141 0,1757 0,3111 0,5120 0,7591 1,0304 1,3122 1,6061 1,9256 2,2860 2,6892 3,1077 3,4876 3,7768 3,9543 4,0372 4,0650 4,0796 4,1129 4,1787 4,2625 4,3251 4,3278 4,2515 4,0953 3,8711 3,5982 3,2927 2,9604 2,6000 2,2103 1,7970 1,3796 0,9914 0,6678 0,4289 0,2643 0,1315 -0,0188 -0,2099 -0,4303 -0,6433 -0,8041 -0,8798 -0,8654 -0,7840 -0,6749 -0,5764 -0,5108 -0,4788 -0,4632 -0,4404 -0,3938 -0,3215 -0,2333 -0,1442 -0,0661 -0,0074 0,0195 0,0023 -0,0478 -0,0812 -0,0249 0,1810 0,5630 1,1219 1,8440 2,7021 3,6584 4,6730 5,7091 6,7311 7,7044 8,6042 9,4242 10,1681 10,8362 11,4334 11,9836 12,5151 13,0286 13,4866 13,8349 14,0279 14,0412 13,8726 13,5396 13,0752 12,5203 11,9108 11,2673 10,5870 9,8463 9,0171 8,0892 7,0836 6,0503 5,0531 4,1484 3,3702 2,7259 2,2061 1,8035 1,5226 1,3757 1,3691 1,4796 1,6408 1,7609 1,7683 1,6567 1,4949 1,3896 1,4287 1,6506 2,0450 2,5687 3,1629 3,7730 4,3653 4,9294 5,4636 5,9543 6,3716 6,6816 6,8598 6,8963 6,7971 6,5849 6,2922 5,9500 5,5876 5,2337 4,9023 4,5831 4,2488 3,8732 3,4475 2,9812 2,4843 1,9562 1,3956 0,8134 0,2308 -0,3298 -0,8491 -1,3161 -1,7337 -2,1152 -2,4754 -2,8237 -3,1613 -3,4863 -3,8006 -4,1104 -4,4146 -4,6925 -4,9074 -5,0236 -5,0262 -4,9292 -4,7644 -4,5614 -4,3399 -4,1146 -3,9029 -3,7308 -3,6329 -3,6403 -3,7632 -3,9856 -4,2718 -4,5756 -4,8474 -5,0485 -5,1653 -5,2099 -5,2095 -5,1998 -5,2203 -5,2997 -5,4412 -5,6241 -5,8222 -6,0134 -6,1771 -6,2937 -6,3548 -6,3701 -6,3679 -6,3856 -6,4521 -6,5667 -6,6920 -6,7705 -6,7552 -6,6309 -6,4128 -6,1229 -5,7744 -5,3837 -4,9809 -4,5960 -4,2463 -3,9439 -3,7033 -3,5352 -3,4333 -3,3698 -3,3021 -3,1868 -2,9960 -2,7328 -2,4330 -2,1473 -1,9175 -1,7633 -1,6824 -1,6582 -1,6721 -1,7120 -1,7679 -1,8245 -1,8623 -1,8681 -1,8419 -1,7952 -1,7434 -1,6960 -1,6496 -1,5949 -1,5293 -1,4593 -1,3934 -1,3376 -1,2973 -1,2838 -1,3150 -1,4043 -1,5504 -1,7411 -1,9643 -2,2173 -2,5069 -2,8351 -3,1859 -3,5374 -3,8799 -4,2185 -4,5634 -4,9235 -5,3009 -5,6902 -6,0779 -6,4397 -6,7447 -6,9693 -7,1044 -7,1451 -7,0786 -6,8915 -6,5892 -6,1983 -5,7523 -5,2784 -4,7890 -4,2777 -3,7290 -3,1325 -2,4915 -1,8300 -1,1968 -0,6538 -0,2519 -0,0089 0,0991 0,1295 0,1520 0,2223 0,3680 0,5942 0,9027 1,2992 1,7791 2,3105 2,8371 3,2975 3,6471 3,8731 3,9920 4,0331 4,0204 3,9685 3,8863 3,7766 3,6328 3,4378 3,1653 2,7876 2,2907 1,6894 1,0355 0,4023 -0,1509 -0,6017 -0,9590 -1,2457 -1,4924 -1,7405 -2,0380 -2,4203 -2,8814 -3,3713 -3,8277 -4,2088 -4,5028 -4,7249 -4,9129 -5,1120 -5,3538 -5,6455 -5,9758 -6,3266 -6,6818 -7,0289 -7,3542 -7,6349 -7,8393 -7,9387 -7,9219 -7,8008 -7,6044 -7,3615 -7,0858 -6,7727 -6,4124 -6,0079 -5,5805 -5,1573 -4,7552 -4,3738 -4,0018 -3,6278 -3,2521 -2,8918 -2,5697 -2,2979 -2,0699 -1,8662 -1,6684 -1,4769 -1,3144 -1,2095 -1,1789 -1,2274 -1,3541 -1,5450 -1,7564 -1,9183 -1,9663 -1,8755 -1,6661 -1,3866 -1,0948 -0,8386 -0,6392 -0,4917 -0,3895 -0,3428 -0,3685 -0,4670 -0,6145 -0,7750 -0,9172 -1,0262 -1,1086 -1,1892 -1,2946 -1,4375 -1,6169 -1,8245 -2,0427 -2,2418 -2,3917 -2,4764 -2,4908 -2,4307 -2,3006 -2,1271 -1,9626 -1,8679 -1,8803 -1,9933 -2,1640 -2,3408 -2,4896 -2,6018 -2,6880 -2,7708 -2,8752 -3,0231 -3,2323 -3,5111 -3,8511 -4,2214 -4,5749 -4,8655 -5,0668 -5,1720 -5,1766 -5,0659 -4,8303 -4,4935 -4,1141 -3,7504 -3,4277 -3,1393 -2,8589 -2,5502 -2,1837 -1,7510 -1,2631 -0,7382 -0,1910 0,3659 0,9129 1,4278 1,8984 2,3207 2,6814 2,9530 3,1160 3,1768 3,1592 3,0854 2,9771 2,8683 2,8016 2,8062 2,8791 2,9837 3,0655 3,0785 3,0076 2,8763 2,7377 2,6507 2,6525 2,7440 2,9014 3,0996 3,3221 3,5527 3,7667 3,9345 4,0346 4,0629 4,0258 3,9232 3,7460 3,4881 3,1539 2,7534 2,2897 1,7581 1,1541 0,4834 -0,2322 -0,9500 -1,6170 -2,1958 -2,6833 -3,1067 -3,5000 -3,8788 -4,2346 -4,5501 -4,8132 -5,0111 -5,1204 -5,1145 -4,9781 -4,7092 -4,3195 -3,8385 -3,3072 -2,7637 -2,2371 -1,7446 -1,2892 -0,8636 -0,4610 -0,0851 0,2489 0,5257 0,7390 0,8929 0,9953 1,0450 1,0211 0,8916 0,6301 0,2249 -0,3087 -0,9164 -1,5213 -2,0692 -2,5536 -3,0021 -3,4481 -3,9160 -4,4182 -4,9561 -5,5239 -6,1084 -6,6801 -7,1927 -7,6025 -7,8947 -8,0973 -8,2638 -8,4397 -8,6403 -8,8562 -9,0723 -9,2806 -9,4782 -9,6593 -9,8126 -9,9211 -9,9646 -9,9233 -9,7876 -9,5656 -9,2785 -8,9493 -8,6060 -8,2853 -8,0153 -7,7981 -7,6192 -7,4655
F3    2,8627 2,6289 2,3023 1,8758 1,3861 0,8992 0,4813 0,1728 -0,0230 -0,1354 -0,2095 -0,2826 -0,3732 -0,4933 -0,6574 -0,8668 -1,0936 -1,2866 -1,3925 -1,3795 -1,2582 -1,0947 -1,0005 -1,0856 -1,3854 -1,8205 -2,2304 -2,4562 -2,4132 -2,1189 -1,6739 -1,2087 -0,8176 -0,5167 -0,2572 0,0225 0,3507 0,7122 1,0640 1,3569 1,5485 1,6213 1,5960 1,5183 1,4307 1,3549 1,2848 1,1918 1,0423 0,8272 0,5743 0,3256 0,1046 -0,0867 -0,2470 -0,3633 -0,4160 -0,3892 -0,2771 -0,0893 0,1402 0,3579 0,5141 0,5828 0,5714 0,5192 0,4878 0,5445 0,7363 1,0575 1,4408 1,7938 2,0536 2,2107 2,2928 2,3371 2,3759 2,4304 2,4986 2,5557 2,5790 2,5663 2,5242 2,4507 2,3390 2,1882 2,0009 1,7723 1,4896 1,1472 0,7641 0,3850 0,0652 -0,1552 -0,2717 -0,3122 -0,3175 -0,3291 -0,3792 -0,4736 -0,5790 -0,6373 -0,6005 -0,4596 -0,2452 -0,0086 0,2000 0,3503 0,4419 0,4939 0,5242 0,5411 0,5461 0,5402 0,5310 0,5286 0,5259 0,4982 0,4367 0,3758 0,3803 0,5084 0,7944 1,2527 1,8787 2,6467 3,5202 4,4655 5,4512 6,4386 7,3803 8,2379 9,0017 9,6812 10,2810 10,7985 11,2457 11,6508 12,0335 12,3844 12,6691 12,8465 12,8829 12,7606 12,4891 12,1093 11,6702 11,1948 10,6721 10,0738 9,3748 8,5638 7,6454 6,6454 5,6179 4,6346 3,7602 3,0354 2,4725 2,0630 1,7949 1,6619 1,6586 1,7741 1,9820 2,2260 2,4243 2,5058 2,4567 2,3390 2,2546 2,2837 2,4549 2,7553 3,1529 3,6076 4,0785 4,5329 4,9531 5,3357 5,6793 5,9720 6,1909 6,3143 6,3300 6,2363 6,0425 5,7696 5,4447 5,0975 4,7526 4,4162 4,0703 3,6801 3,2146 2,6743 2,0958 1,5225 0,9815 0,4884 0,0569 -0,3060 -0,6110 -0,8817 -1,1400 -1,3972 -1,6546 -1,9136 -2,1821 -2,4687 -2,7734 -3,0944 -3,4388 -3,8152 -4,2103 -4,5791 -4,8590 -5,0011 -4,9997 -4,8925 -4,7296 -4,5514 -4,3899 -4,2727 -4,2201 -4,2388 -4,3172 -4,4287 -4,5462 -4,6533 -4,7422 -4,8019 -4,8156 -4,7709 -4,6670 -4,5199 -4,3656 -4,2510 -4,2141 -4,2647 -4,3804 -4,5288 -4,6956 -4,8831 -5,0894 -5,2997 -5,4951 -5,6641 -5,8088 -5,9427 -6,0792 -6,2142 -6,3195 -6,3516 -6,2722 -6,0657 -5,7420 -5,3317 -4,8763 -4,4152 -3,9747 -3,5699 -3,2145 -2,9268 -2,7260 -2,6205 -2,5964 -2,6145 -2,6247 -2,5884 -2,4950 -2,3638 -2,2316 -2,1362 -2,1028 -2,1389 -2,2348 -2,3685 -2,5127 -2,6416 -2,7321 -2,7620 -2,7083 -2,5572 -2,3219 -2,0463 -1,7822 -1,5651 -1,4114 -1,3243 -1,2942 -1,3032 -1,3271 -1,3397 -1,3273 -1,2994 -1,2797 -1,2855 -1,3169 -1,3683 -1,4465 -1,5738 -1,7682 -2,0275 -2,3362 -2,6782 -3,0362 -3,3875 -3,7084 -3,9840 -4,2164 -4,4229 -4,6157 -4,7840 -4,9022 -4,9519 -4,9251 -4,8115 -4,6002 -4,2947 -3,9180 -3,5040 -3,0895 -2,7034 -2,3519 -2,0149 -1,6596 -1,2610 -0,8222 -0,3795 0,0181 0,3360 0,5650 0,7164 0,8148 0,8943 0,9895 1,1247 1,3155 1,5778 1,9225 2,3387 2,7914 3,2319 3,6083 3,8774 4,0227 4,0645 4,0422 3,9836 3,8965 3,7852 3,6574 3,5142 3,3437 3,1263 2,8466 2,4974 2,0775 1,5945 1,0680 0,5273 0,0139 -0,4232 -0,7485 -0,9601 -1,0921 -1,2076 -1,3785 -1,6470 -2,0021 -2,3987 -2,7870 -3,1290 -3,4132 -3,6652 -3,9330 -4,2538 -4,6320 -5,0445 -5,4612 -5,8626 -6,2451 -6,6094 -6,9419 -7,2088 -7,3732 -7,4131 -7,3257 -7,1292 -6,8625 -6,5669 -6,2623 -5,9465 -5,6136 -5,2692 -4,9331 -4,6265 -4,3580 -4,1221 -3,9036 -3,6843 -3,4527 -3,2086 -2,9578 -2,7008 -2,4271 -2,1262 -1,8104 -1,5222 -1,3120 -1,2127 -1,2380 -1,3865 -1,6308 -1,9022 -2,1008 -2,1403 -1,9964 -1,7155 -1,3822 -1,0800 -0,8591 -0,7173 -0,6117 -0,4996 -0,3759 -0,2732 -0,2265 -0,2415 -0,2989 -0,3797 -0,4809 -0,6137 -0,7889 -1,0030 -1,2371 -1,4700 -1,6918 -1,9016 -2,0947 -2,2587 -2,3829 -2,4644 -2,5084 -2,5312 -2,5606 -2,6293 -2,7657 -2,9779 -3,2392 -3,4946 -3,6917 -3,8066 -3,8432 -3,8200 -3,7674 -3,7216 -3,7119 -3,7497 -3,8236 -3,9030 -3,9509 -3,9375 -3,8579 -3,7382 -3,6162 -3,5097 -3,4047 -3,2760 -3,1184 -2,9524 -2,7989 -2,6581 -2,5180 -2,3614 -2,1604 -1,8797 -1,4914 -0,9854 -0,3758 0,2967 0,9722 1,5892 2,1030 2,4953 2,7712 2,9392 2,9974 2,9469 2,8116 2,6306 2,4385 2,2616 2,1277 2,0638 2,0773 2,1388 2,1805 2,1239 1,9238 1,5977 1,2227 0,9051 0,7370 0,7599 0,9525 1,2493 1,5793 1,8912 2,1557 2,3582 2,4945 2,5711 2,6013 2,5955 2,5511 2,4549 2,2967 2,0782 1,8059 1,4782 1,0810 0,5984 0,0265 -0,6164 -1,2918 -1,9549 -2,5721 -3,1315 -3,6406 -4,1093 -4,5324 -4,8931 -5,1806 -5,3961 -5,5430 -5,6210 -5,6328 -5,5812 -5,4588 -5,2560 -4,9811 -4,6564 -4,3026 -3,9369 -3,5728 -3,2129 -2,8531 -2,4940 -2,1448 -1,8180 -1,5206 -1,2519 -1,0070 -0,7870 -0,6118 -0,5282 -0,5980 -0,8706 -1,3573 -2,0173 -2,7605 -3,4828 -4,1222 -4,6816 -5,1975 -5,6978 -6,1898 -6,6744 -7,1535 -7,6268 -8,0872 -8,5162 -8,8820 -9,1538 -9,3272 -9,4364 -9,5385 -9,6750 -9,8454 -10,0157 -10,1499 -10,2269 -10,2397 -10,1930 -10,0998 -9,9692 -9,7959 -9,5656 -9,2716 -8,9271 -8,5548 -8,1712 -7,7883 -7,4250 -7,0998 -6,8138 -6,5514 -6,3013
F7    2,7528 2,5454 2,2204 1,7974 1,3429 0,9362 0,6300 0,4362 0,3334 0,2813 0,2321 0,1407 -0,0253 -0,2847 -0,6400 -1,0648 -1,4957 -1,8386 -1,9931 -1,8991 -1,5794 -1,1405 -0,7297 -0,4738 -0,4243 -0,5375 -0,6996 -0,7850 -0,7147 -0,4910 -0,1881 0,0920 0,2751 0,3547 0,3875 0,4405 0,5375 0,6520 0,7375 0,7577 0,6951 0,5557 0,3676 0,1640 -0,0334 -0,2129 -0,3700 -0,5148 -0,6714 -0,8582 -1,0672 -1,2718 -1,4495 -1,5908 -1,6897 -1,7394 -1,7396 -1,6982 -1,6160 -1,4829 -1,3029 -1,1101 -0,9502 -0,8558 -0,8335 -0,8591 -0,8845 -0,8580 -0,7508 -0,5743 -0,3736 -0,1997 -0,0777 0,0023 0,0651 0,1326 0,2220 0,3430 0,4806 0,5981 0,6695 0,6989 0,6996 0,6706 0,6040 0,5017 0,3722 0,2171 0,0302 -0,1978 -0,4683 -0,7618 -1,0360 -1,2450 -1,3644 -1,3993 -1,3759 -1,3308 -1,3015 -1,3114 -1,3549 -1,4023 -1,4266 -1,4238 -1,4091 -1,3961 -1,3819 -1,3482 -1,2783 -1,1708 -1,0360 -0,8862 -0,7355 -0,6051 -0,5118 -0,4532 -0,4136 -0,3847 -0,3606 -0,3123 -0,1849 0,0715 0,4794 1,0402 1,7392 2,5393 3,3928 4,2601 5,1067 5,8958 6,6001 7,2195 7,7796 8,3069 8,8077 9,2712 9,6879 10,0576 10,3808 10,6457 10,8225 10,8726 10,7672 10,5048 10,1222 9,6890 9,2745 8,9139 8,5999 8,2952 7,9497 7,5181 6,9762 6,3301 5,6167 4,8913 4,2098 3,6159 3,1353 2,7749 2,5314 2,4004 2,3799 2,4701 2,6590 2,8975 3,0977 3,1692 3,0722 2,8390 2,5445 2,2607 2,0365 1,9029 1,8811 1,9840 2,2089 2,5288 2,8958 3,2575 3,5702 3,7999 3,9207 3,9174 3,7881 3,5435 3,2109 2,8393 2,4875 2,2059 2,0242 1,9411 1,9160 1,8796 1,7648 1,5373 1,1990 0,7742 0,3033 -0,1591 -0,5620 -0,8809 -1,1239 -1,3150 -1,4746 -1,6118 -1,7316 -1,8493 -1,9937 -2,1932 -2,4589 -2,7846 -3,1567 -3,5493 -3,9113 -4,1767 -4,2974 -4,2677 -4,1200 -3,8985 -3,6376 -3,3651 -3,1067 -2,8849 -2,7259 -2,6630 -2,7182 -2,8807 -3,1119 -3,3737 -3,6415 -3,8928 -4,0955 -4,2107 -4,2038 -4,0665 -3,8390 -3,6013 -3,4324 -3,3649 -3,3727 -3,4037 -3,4224 -3,4187 -3,3935 -3,3513 -3,3026 -3,2677 -3,2761 -3,3504 -3,4847 -3,6443 -3,7846 -3,8653 -3,8494 -3,7081 -3,4345 -3,0561 -2,6278 -2,2065 -1,8308 -1,5234 -1,3052 -1,2015 -1,2282 -1,3711 -1,5827 -1,8006 -1,9694 -2,0544 -2,0531 -2,0009 -1,9573 -1,9739 -2,0714 -2,2395 -2,4497 -2,6673 -2,8621 -3,0178 -3,1332 -3,2133 -3,2588 -3,2667 -3,2422 -3,2050 -3,1799 -3,1795 -3,2011 -3,2329 -3,2622 -3,2797 -3,2775 -3,2485 -3,1929 -3,1233 -3,0574 -3,0031 -2,9530 -2,8969 -2,8412 -2,8093 -2,8218 -2,8772 -2,9530 -3,0226 -3,0712 -3,1019 -3,1327 -3,1851 -3,2723 -3,3942 -3,5378 -3,6763 -3,7758 -3,8099 -3,7657 -3,6332 -3,4032 -3,0836 -2,7067 -2,3130 -1,9373 -1,6040 -1,3197 -1,0698 -0,8234 -0,5482 -0,2359 0,0833 0,3594 0,5518 0,6444 0,6459 0,5873 0,5124 0,4591 0,4486 0,4901 0,5875 0,7328 0,9027 1,0726 1,2315 1,3804 1,5212 1,6558 1,7939 1,9459 2,1083 2,2630 2,3888 2,4650 2,4714 2,3931 2,2267 1,9807 1,6704 1,3172 0,9512 0,6064 0,3134 0,0965 -0,0304 -0,0700 -0,0444 0,0077 0,0309 -0,0394 -0,2431 -0,5644 -0,9405 -1,3014 -1,5988 -1,8142 -1,9658 -2,0988 -2,2516 -2,4298 -2,6107 -2,7632 -2,8684 -2,9351 -2,9940 -3,0727 -3,1810 -3,3184 -3,4786 -3,6408 -3,7714 -3,8409 -3,8333 -3,7387 -3,5511 -3,2764 -2,9438 -2,6075 -2,3230 -2,1152 -1,9697 -1,8487 -1,7150 -1,5512 -1,3667 -1,1879 -1,0368 -0,9128 -0,7974 -0,6838 -0,5987 -0,5888 -0,6867 -0,8922 -1,1758 -1,4868 -1,7539 -1,8950 -1,8502 -1,6189 -1,2583 -0,8419 -0,4250 -0,0385 0,3054 0,6038 0,8444 0,9941 1,0146 0,8932 0,6623 0,3859 0,1271 -0,0757 -0,2113 -0,2852 -0,3140 -0,3226 -0,3396 -0,3902 -0,4897 -0,6385 -0,8207 -1,0123 -1,1944 -1,3597 -1,5102 -1,6522 -1,7933 -1,9438 -2,1171 -2,3230 -2,5521 -2,7725 -2,9469 -3,0558 -3,1086 -3,1406 -3,1961 -3,3065 -3,4778 -3,6902 -3,9064 -4,0779 -4,1500 -4,0770 -3,8536 -3,5298 -3,1787 -2,8462 -2,5393 -2,2571 -2,0147 -1,8276 -1,6871 -1,5604 -1,4014 -1,1611 -0,8026 -0,3176 0,2689 0,9041 1,5295 2,1007 2,5901 2,9776 3,2525 3,4241 3,5093 3,5106 3,4170 3,2267 2,9553 2,6215 2,2407 1,8359 1,4448 1,1057 0,8342 0,6131 0,4102 0,2091 0,0273 -0,0941 -0,1167 -0,0308 0,1358 0,3262 0,4806 0,5678 0,5952 0,5862 0,5560 0,5140 0,4759 0,4598 0,4683 0,4784 0,4501 0,3495 0,1683 -0,0758 -0,3578 -0,6628 -0,9895 -1,3409 -1,7107 -2,0757 -2,4043 -2,6775 -2,9032 -3,1104 -3,3317 -3,5862 -3,8715 -4,1706 -4,4606 -4,7131 -4,8956 -4,9822 -4,9560 -4,8068 -4,5418 -4,1956 -3,8172 -3,4478 -3,1130 -2,8222 -2,5685 -2,3377 -2,1218 -1,9246 -1,7521 -1,5987 -1,4456 -1,2753 -1,0872 -0,9083 -0,7941 -0,8101 -0,9956 -1,3417 -1,7928 -2,2646 -2,6771 -2,9983 -3,2571 -3,5106 -3,8002 -4,1401 -4,5328 -4,9771 -5,4674 -5,9928 -6,5307 -7,0407 -7,4760 -7,8118 -8,0594 -8,2538 -8,4236 -8,5697 -8,6716 -8,7116 -8,6876 -8,6090 -8,4885 -8,3330 -8,1391 -7,8985 -7,6148 -7,3147 -7,0372 -6,8019 -6,5944 -6,3862 -6,1639 -5,9307 -5,6870 -5,4250 -5,1421
