Fp1   2,5146 2,1402 1,5889 0,9289 0,2092 -0,5213 -1,1679 -1,5997 -1,7018 -1,4248 -0,8243 -0,0525 0,7080 1,2997 1,6056 1,5741 1,2507 0,7679 0,2915 -0,0340 -0,1246 0,0291 0,3683 0,7769 1,1143 1,2719 1,2217 1,0376 0,8657 0,8326 0,9583 1,1387 1,1940 0,9527 0,3391 -0,5847 -1,6358 -2,5708 -3,1774 -3,3596 -3,1605 -2,7073 -2,1266 -1,4956 -0,8564 -0,2543 0,2517 0,6087 0,7827 0,7564 0,5286 0,1093 -0,4892 -1,2533 -2,1639 -3,1875 -4,2616 -5,2810 -6,1040 -6,5866 -6,6348 -6,2470 -5,5137 -4,5769 -3,5853 -2,6530 -1,8315 -1,1202 -0,5083 -0,0037 0,3783 0,6425 0,8197 0,9382 0,9879 0,9180 0,6840 0,3079 -0,0953 -0,3660 -0,4021 -0,2178 0,0971 0,4511 0,7749 1,0003 1,0542 0,8882 0,5190 0,0395 -0,4218 -0,7602 -0,9214 -0,9012 -0,7475 -0,5641 -0,4849 -0,6225 -1,0312 -1,7065 -2,6152 -3,7273 -5,0150 -6,4248 -7,8680 -9,2304 -10,3837 -11,2163 -11,6924 -11,8730 -11,8573 -11,7121 -11,4632 -11,1210 -10,6951 -10,2056 -9,6981 -9,2412 -8,8973 -8,6804 -8,5269 -8,3146 -7,9349 -7,3662 -6,6942 -6,0711 -5,6395 -5,4610 -5,4871 -5,5899 -5,6205 -5,4655 -5,0772 -4,4542 -3,6171 -2,6217 -1,5618 -0,5392 0,3612 1,0886 1,6426 2,0605 2,3814 2,6306 2,8267 2,9732 3,0302 2,9211 2,5910 2,0524 1,3739 0,6414 -0,0659 -0,6859 -1,1933 -1,6118 -1,9990 -2,4067 -2,8455 -3,2819 -3,6526 -3,8857 -3,9411 -3,8508 -3,7288 -3,7274 -3,9405 -4,3287 -4,7490 -5,0470 -5,1080 -4,8752 -4,3792 -3,7447 -3,1466 -2,7297 -2,5231 -2,4218 -2,2685 -1,9456 -1,4050 -0,6720 0,1444 0,8693 1,3323 1,4452 1,2346 0,8304 0,4255 0,2120 0,3187 0,7794 1,5471 2,5289 3,6097 4,6676 5,5975 6,3449 6,9238 7,3917 7,7957 8,1315 8,3501 8,3998 8,2531 7,9077 7,3794 6,6946 5,8939 5,0561 4,2960 3,7205 3,3873 3,2961 3,4040 3,6479 3,9716 4,3524 4,7912 5,2715 5,7459 6,1548 6,4202 6,4247 6,0416 5,2225 4,0586 2,7570 1,5564 0,6517 0,1482 0,0466 0,2686 0,7117 1,2805 1,8814 2,4174 2,7987 2,9606 2,8858 2,6205 2,2523 1,8522 1,4416 1,0177 0,5877 0,1560 -0,2912 -0,7441 -1,1342 -1,3674 -1,3742 -1,1274 -0,6520 -0,0394 0,5785 1,0935 1,4605 1,6804 1,7740 1,7741 1,7152 1,6104 1,4476 1,2079 0,8873 0,5144 0,1489 -0,1411 -0,3020 -0,3115 -0,1921 -0,0033 0,1946 0,3803 0,5741 0,8019 1,0612 1,3191 1,5369 1,6874 1,7479 1,6961 1,5257 1,2694 1,0098 0,8587 0,8976 1,1307 1,4910 1,8788 2,2028 2,4082 2,4712 2,3730 2,0974 1,6601 1,1385 0,6644 0,3693 0,3301 0,5601 1,0167 1,6059 2,2021 2,6862 2,9838 3,0817 3,0234 2,9002 2,8238 2,8686 3,0295 3,2345 3,3896 3,4227 3,3131 3,0897 2,8043 2,5239 2,3335 2,3057 2,4553 2,7363 3,0706 3,3700 3,5577 3,5959 3,4881 3,2516 2,9051 2,4923 2,1041 1,8629 1,8714 2,1599 2,6693 3,2729 3,8222 4,2094 4,4139 4,4953 4,5396 4,6060 4,7093 4,8328 4,9584 5,0978 5,2775 5,4739 5,5771 5,4317 4,9295 4,0883 3,0488 2,0034 1,1327 0,5710 0,3815 0,5425 0,9553 1,4860 2,0184 2,4711 2,7918 2,9674 3,0255 3,0051 2,9318 2,8314 2,7553 2,7712 2,9241 3,1994 3,5162 3,7631 3,8664 3,8432 3,7877 3,8013 3,9334 4,1713 4,4644 4,7609 5,0346 5,2783 5,4903 5,6770 5,8553 6,0408 6,2283 6,3914 6,5166 6,6247 6,7400 6,8513 6,9184 6,8978 6,7496 6,4432 5,9797 5,4007 4,7596 4,0891 3,4032 2,7414 2,1849 1,8075 1,6412 1,7074 2,0235 2,5501 3,1743 3,7717 4,2550 4,5627 4,6534 4,5419 4,3321 4,1937 4,2772 4,6267 5,1570 5,6938 6,0356 6,0136 5,5572 4,7459 3,7883 2,9315 2,3783 2,2326 2,4662 2,9419 3,4941 3,9969 4,3846 4,6490 4,8176 4,9160 4,9487 4,9029 4,7676 4,5605 4,3290 4,1160 3,9439 3,8344 3,8221 3,9452 4,2214 4,6177 5,0535 5,4496 5,7580 5,9480 6,0020 5,9307 5,7728 5,5899 5,4528 5,4036 5,4319 5,5067 5,6310 5,8590 6,2615 6,8700 7,6441 8,4650 9,1604 9,5778 9,6667 9,5047 9,2435 9,0160 8,8823 8,8382 8,8391 8,8098 8,6637 8,3287 7,7543 6,9100 5,8076 4,5370 3,2607 2,1518 1,3424 0,9169 0,9096 1,2771 1,8826 2,5387 3,0821 3,4119 3,4844 3,3016 2,9002 2,3490 1,7480 1,1984 0,7419 0,3243 -0,1666 -0,8040 -1,5392 -2,2006 -2,5909 -2,6137 -2,3279 -1,8951 -1,4734 -1,1374 -0,8903 -0,7321 -0,6776 -0,7229 -0,8205 -0,8823 -0,8098 -0,5350 -0,0493 0,5798 1,2148 1,6965 1,9119 1,8446 1,5816 1,2515 0,9420 0,6765 0,4388 0,2024 -0,0353 -0,2304 -0,3166 -0,2558 -0,0683 0,1844 0,4477 0,7042 0,9602 1,2156 1,4458 1,6056 1,6501 1,5540 1,3265 1,0208 0,7134 0,4563 0,2594 0,1259 0,0856 0,1838 0,4503 0,8926 1,5069 2,2690 3,1195 3,9705 4,7251 5,2938 5,6153 5,6865 5,5784 5,4170 5,3375 5,4322 5,7175 6,1310 6,5470 6,8153 6,8282 6,5749 6,1467 5,6883 5,3281 5,1395 5,1363 5,2661 5,4212 5,5035 5,4747 5,3333 5,0837 4,7545 4,4137 4,1467 4,0398 4,1662 4,5447 5,1018 5,6898 6,1606 6,4451 6,5697 6,5959 6,5631
Fz    0,0893 -0,2897 -0,6948 -1,0915 -1,4613 -1,7913 -2,0481 -2,1761 -2,1240 -1,8694 -1,4309 -0,8660 -0,2552 0,3107 0,7382 0,9517 0,9278 0,7078 0,3812 0,0551 -0,1755 -0,2538 -0,1772 0,0030 0,2063 0,3630 0,4469 0,4823 0,5224 0,6098 0,7462 0,8892 0,9697 0,9203 0,7080 0,3588 -0,0379 -0,3553 -0,4803 -0,3644 -0,0442 0,3814 0,7973 1,1096 1,2611 1,2324 1,0353 0,7027 0,2776 -0,1981 -0,6916 -1,1825 -1,6644 -2,1470 -2,6538 -3,2084 -3,8132 -4,4323 -4,9940 -5,4140 -5,6252 -5,5981 -5,3446 -4,9112 -4,3699 -3,8022 -3,2764 -2,8323 -2,4841 -2,2331 -2,0689 -1,9660 -1,8861 -1,7942 -1,6792 -1,5564 -1,4453 -1,3448 -1,2222 -1,0218 -0,6984 -0,2512 0,2767 0,8297 1,3577 1,8043 2,1041 2,2048 2,0957 1,8221 1,4771 1,1689 0,9840 0,9613 1,0843 1,2915 1,4970 1,6102 1,5550 1,2841 0,7840 0,0742 -0,7901 -1,7246 -2,6457 -3,4989 -4,2579 -4,9060 -5,4376 -5,8672 -6,2200 -6,5151 -6,7616 -6,9600 -7,1047 -7,1940 -7,2416 -7,2769 -7,3320 -7,4230 -7,5386 -7,6446 -7,7019 -7,6879 -7,6089 -7,4926 -7,3612 -7,2072 -6,9967 -6,6925 -6,2685 -5,7092 -5,0055 -4,1494 -3,1414 -2,0123 -0,8259 0,3452 1,4422 2,4345 3,3290 4,1597 4,9592 5,7404 6,4969 7,2014 7,7978 8,2096 8,3742 8,2734 7,9344 7,4098 6,7608 6,0528 5,3453 4,6738 4,0488 3,4726 2,9499 2,4843 2,0860 1,7902 1,6452 1,6666 1,8040 1,9576 2,0389 2,0239 1,9507 1,8776 1,8580 1,9369 2,1409 2,4679 2,8903 3,3704 3,8834 4,4283 5,0113 5,6301 6,2771 6,9383 7,5780 8,1368 8,5604 8,8310 8,9770 9,0639 9,1701 9,3578 9,6567 10,0658 10,5659 11,1325 11,7364 12,3424 12,9181 13,4542 13,9706 14,4944 15,0292 15,5477 16,0014 16,3283 16,4621 16,3538 15,9963 15,4281 14,7186 13,9535 13,2255 12,6176 12,1835 11,9377 11,8585 11,8999 12,0104 12,1562 12,3233 12,5009 12,6729 12,8246 12,9339 12,9541 12,8253 12,5166 12,0537 11,5059 10,9545 10,4715 10,1116 9,9074 9,8685 9,9853 10,2262 10,5281 10,8004 10,9469 10,8948 10,6219 10,1687 9,6167 9,0442 8,4974 7,9992 7,5681 7,2161 6,9431 6,7515 6,6574 6,6789 6,8187 7,0618 7,3761 7,7079 7,9919 8,1804 8,2626 8,2533 8,1758 8,0583 7,9319 7,8189 7,7242 7,6401 7,5567 7,4690 7,3800 7,3019 7,2564 7,2698 7,3658 7,5571 7,8468 8,2289 8,6797 9,1474 9,5634 9,8716 10,0470 10,0932 10,0293 9,8819 9,6837 9,4707 9,2794 9,1424 9,0749 9,0626 9,0709 9,0669 9,0386 8,9984 8,9630 8,9269 8,8612 8,7401 8,5647 8,3656 8,1857 8,0617 8,0181 8,0629 8,1828 8,3442 8,5006 8,6069 8,6345 8,5824 8,4834 8,3950 8,3635 8,3934 8,4503 8,4840 8,4497 8,3226 8,0982 7,7870 7,4253 7,0890 6,8741 6,8456 7,0040 7,2922 7,6236 7,9139 8,1038 8,1702 8,1232 7,9987 7,8484 7,7286 7,6893 7,7664 7,9745 8,3007 8,7041 9,1322 9,5491 9,9513 10,3541 10,7599 11,1393 11,4462 11,6462 11,7365 11,7515 11,7404 11,7192 11,6491 11,4626 11,1159 10,6281 10,0772 9,5569 9,1361 8,8454 8,6810 8,6134 8,5977 8,5905 8,5624 8,4928 8,3584 8,1394 7,8284 7,4303 6,9629 6,4618 5,9804 5,5751 5,2894 5,1421 5,1213 5,1897 5,3058 5,4469 5,6113 5,8048 6,0263 6,2673 6,5186 6,7783 7,0532 7,3514 7,6754 8,0236 8,3947 8,7868 9,1920 9,5951 9,9834 10,3537 10,7000 10,9952 11,1864 11,2120 11,0224 10,5917 9,9306 9,0937 8,1616 7,2124 6,3125 5,5306 4,9385 4,5799 4,4497 4,5160 4,7463 5,1035 5,5353 5,9794 6,3726 6,6529 6,7697 6,7069 6,5012 6,2351 6,0039 5,8747 5,8608 5,9119 5,9228 5,7717 5,3870 4,7994 4,1295 3,5294 3,1291 3,0008 3,1395 3,4741 3,9056 4,3412 4,7086 4,9629 5,0850 5,0765 4,9561 4,7575 4,5253 4,3204 4,2095 4,2266 4,3502 4,5249 4,6983 4,8388 4,9308 4,9623 4,9304 4,8571 4,7809 4,7270 4,6986 4,6932 4,7124 4,7663 4,8804 5,0878 5,4039 5,8211 6,3300 6,9311 7,6150 8,3367 9,0179 9,5700 9,9166 10,0100 9,8454 9,4679 8,9617 8,4194 7,9165 7,5027 7,1979 6,9885 6,8364 6,6889 6,4872 6,1798 5,7459 5,2121 4,6421 4,1075 3,6720 3,3999 3,3499 3,5391 3,9146 4,3764 4,8249 5,1842 5,4018 5,4540 5,3516 5,1318 4,8455 4,5356 4,2101 3,8324 3,3474 2,7278 2,0035 1,2583 0,5935 0,0787 -0,2767 -0,5080 -0,6592 -0,7572 -0,8142 -0,8396 -0,8363 -0,7922 -0,6872 -0,4998 -0,2122 0,1740 0,6268 1,0858 1,4738 1,7155 1,7596 1,5947 1,2496 0,7767 0,2295 -0,3466 -0,9197 -1,4752 -2,0023 -2,4779 -2,8661 -3,1335 -3,2632 -3,2539 -3,1070 -2,8237 -2,4185 -1,9356 -1,4540 -1,0719 -0,8727 -0,8945 -1,1160 -1,4607 -1,8231 -2,1121 -2,2805 -2,3219 -2,2536 -2,1071 -1,9202 -1,7159 -1,4805 -1,1657 -0,7165 -0,1028 0,6601 1,5040 2,3257 3,0263 3,5476 3,8839 4,0693 4,1576 4,2024 4,2374 4,2607 4,2416 4,1485 3,9748 3,7516 3,5411 3,4084 3,3881 3,4701 3,6074 3,7424 3,8378 3,8823 3,8713 3,7966 3,6559 3,4596 3,2321 3,0204 2,8910 2,9003 3,0591 3,3242 3,6212 3,8838 4,0794 4,2024 4,2589
F3    1,5097 1,1078 0,5852 0,0085 -0,5621 -1,0847 -1,5108 -1,7743 -1,8116 -1,5961 -1,1660 -0,6201 -0,0794 0,3464 0,5688 0,5343 0,2547 -0,1850 -0,6563 -1,0328 -1,2227 -1,1886 -0,9565 -0,6115 -0,2664 -0,0113 0,1264 0,1899 0,2657 0,4296 0,6974 1,0110 1,2598 1,3283 1,1526 0,7589 0,2630 -0,1745 -0,4143 -0,3975 -0,1635 0,1819 0,5234 0,7768 0,9015 0,8940 0,7755 0,5807 0,3477 0,1065 -0,1333 -0,3888 -0,6972 -1,0996 -1,6237 -2,2717 -3,0124 -3,7775 -4,4676 -4,9748 -5,2165 -5,1678 -4,8684 -4,4018 -3,8656 -3,3429 -2,8799 -2,4837 -2,1450 -1,8567 -1,6107 -1,3891 -1,1706 -0,9520 -0,7634 -0,6563 -0,6671 -0,7823 -0,9238 -0,9753 -0,8502 -0,5437 -0,1167 0,3586 0,8224 1,2137 1,4637 1,5209 1,3793 1,0862 0,7292 0,4091 0,2070 0,1606 0,2568 0,4417 0,6379 0,7629 0,7459 0,5412 0,1257 -0,5091 -1,3430 -2,3066 -3,2947 -4,2010 -4,9396 -5,4557 -5,7452 -5,8641 -5,8965 -5,9126 -5,9510 -6,0216 -6,1164 -6,2240 -6,3428 -6,4828 -6,6520 -6,8361 -6,9903 -7,0524 -6,9733 -6,7504 -6,4424 -6,1447 -5,9368 -5,8379 -5,8005 -5,7453 -5,5993 -5,3125 -4,8562 -4,2126 -3,3784 -2,3852 -1,2984 -0,1906 0,8788 1,8804 2,8228 3,7340 4,6271 5,4853 6,2711 6,9394 7,4354 7,7003 7,7033 7,4666 7,0528 6,5329 5,9721 5,4318 4,9607 4,5722 4,2425 3,9370 3,6324 3,3114 2,9664 2,6228 2,3371 2,1547 2,0647 1,9964 1,8744 1,6823 1,4684 1,3064 1,2634 1,3879 1,6919 2,1364 2,6424 3,1260 3,5447 3,9174 4,2963 4,7275 5,2342 5,8037 6,3757 6,8573 7,1679 7,2797 7,2276 7,0930 6,9747 6,9544 7,0739 7,3327 7,7054 8,1636 8,6840 9,2430 9,8128 10,3739 10,9302 11,5000 12,0867 12,6596 13,1559 13,4951 13,5969 13,4054 12,9144 12,1725 11,2737 10,3485 9,5396 8,9547 8,6315 8,5430 8,6271 8,8166 9,0641 9,3585 9,7078 10,1025 10,5101 10,8910 11,1885 11,3090 11,1504 10,6724 9,9367 9,0778 8,2428 7,5478 7,0587 6,7874 6,7054 6,7682 6,9300 7,1410 7,3399 7,4534 7,4125 7,1853 6,8001 6,3270 5,8298 5,3368 4,8524 4,3834 3,9415 3,5358 3,1866 2,9345 2,8215 2,8704 3,0783 3,4110 3,7973 4,1521 4,4190 4,5914 4,6922 4,7463 4,7720 4,7793 4,7637 4,7080 4,5974 4,4359 4,2514 4,0893 3,9953 3,9992 4,1073 4,3071 4,5800 4,9179 5,3263 5,8039 6,3122 6,7713 7,0960 7,2409 7,2088 7,0280 6,7367 6,3821 6,0152 5,6828 5,4229 5,2551 5,1684 5,1215 5,0628 4,9618 4,8245 4,6727 4,5158 4,3507 4,1789 4,0196 3,9095 3,8846 3,9617 4,1395 4,4000 4,6984 4,9636 5,1202 5,1214 4,9713 4,7232 4,4606 4,2675 4,1945 4,2369 4,3381 4,4184 4,4081 4,2701 3,9956 3,5918 3,0934 2,5859 2,1873 1,9872 2,0058 2,1986 2,4859 2,7842 3,0297 3,1850 3,2366 3,1959 3,0995 3,0000 2,9540 3,0144 3,2196 3,5754 4,0413 4,5377 4,9852 5,3492 5,6513 5,9335 6,2158 6,4935 6,7575 7,0090 7,2706 7,5729 7,9058 8,1877 8,2951 8,1370 7,7194 7,1434 6,5450 6,0326 5,6630 5,4477 5,3693 5,3953 5,4865 5,6019 5,6982 5,7359 5,6983 5,5965 5,4483 5,2634 5,0546 4,8550 4,7120 4,6635 4,7148 4,8285 4,9417 5,0067 5,0229 5,0301 5,0737 5,1738 5,3211 5,4905 5,6605 5,8269 5,9986 6,1855 6,3941 6,6276 6,8827 7,1480 7,4108 7,6717 7,9445 8,2336 8,5104 8,7173 8,7954 8,7047 8,4262 7,9597 7,3234 6,5493 5,6739 4,7470 3,8560 3,1238 2,6527 2,4773 2,5823 2,9359 3,4843 4,1386 4,7929 5,3525 5,7425 5,9122 5,8565 5,6392 5,3845 5,2266 5,2467 5,4372 5,7032 5,8946 5,8580 5,5049 4,8684 4,0961 3,3835 2,9015 2,7442 2,9048 3,2970 3,8057 4,3257 4,7782 5,1167 5,3208 5,3826 5,3034 5,0985 4,8031 4,4803 4,2102 4,0504 4,0126 4,0750 4,2026 4,3543 4,4817 4,5357 4,4908 4,3673 4,2114 4,0572 3,9224 3,8242 3,7797 3,8076 3,9342 4,1679 4,4692 4,7764 5,0588 5,3282 5,6058 5,8904 6,1575 6,3746 6,5081 6,5247 6,4038 6,1610 5,8544 5,5598 5,3397 5,2288 5,2286 5,3082 5,4165 5,4932 5,4722 5,2891 4,9054 4,3389 3,6691 3,0067 2,4587 2,1117 2,0241 2,2034 2,5891 3,0739 3,5542 3,9555 4,2280 4,3442 4,3030 4,1314 3,8796 3,5955 3,2875 2,9097 2,3946 1,7168 0,9388 0,1990 -0,3566 -0,6527 -0,7148 -0,6398 -0,5363 -0,4744 -0,4746 -0,5278 -0,6068 -0,6725 -0,6801 -0,5822 -0,3370 0,0661 0,5903 1,1531 1,6425 1,9510 2,0119 1,8204 1,4350 0,9498 0,4515 -0,0122 -0,4443 -0,8822 -1,3472 -1,8020 -2,1626 -2,3529 -2,3495 -2,1798 -1,8862 -1,5017 -1,0581 -0,6056 -0,2223 0,0016 -0,0041 -0,2652 -0,7515 -1,3744 -2,0097 -2,5473 -2,9269 -3,1283 -3,1444 -2,9790 -2,6595 -2,2228 -1,6819 -1,0207 -0,2260 0,6782 1,6188 2,4878 3,1791 3,6331 3,8597 3,9303 3,9445 3,9882 4,1031 4,2768 4,4469 4,5278 4,4548 4,2252 3,9079 3,6148 3,4443 3,4418 3,5940 3,8382 4,0827 4,2475 4,2914 4,2023 3,9799 3,6397 3,2235 2,8030 2,4757 2,3390 2,4393 2,7410 3,1432 3,5282 3,8145 3,9819 4,0492 4,0431
F7    -0,0672 -0,1474 -0,2321 -0,3148 -0,3944 -0,4812 -0,5714 -0,6235 -0,5715 -0,3724 -0,0533 0,2945 0,5733 0,7220 0,7178 0,5728 0,3361 0,0752 -0,1559 -0,3206 -0,3835 -0,3160 -0,1251 0,1289 0,3568 0,4897 0,5116 0,4598 0,3995 0,3877 0,4389 0,5132 0,5367 0,4477 0,2388 -0,0395 -0,3060 -0,4756 -0,4823 -0,3172 -0,0519 0,1907 0,3116 0,2857 0,1436 -0,0695 -0,3093 -0,5294 -0,6829 -0,7387 -0,7057 -0,6354 -0,5956 -0,6393 -0,7905 -1,0488 -1,3987 -1,8037 -2,1957 -2,4917 -2,6253 -2,5688 -2,3400 -1,9939 -1,5987 -1,2106 -0,8618 -0,5664 -0,3357 -0,1789 -0,0827 -0,0014 0,1213 0,3111 0,5394 0,7452 0,8831 0,9565 1,0186 1,1382 1,3486 1,6200 1,8831 2,0842 2,2085 2,2523 2,1961 2,0144 1,6970 1,2670 0,7907 0,3681 0,0950 0,0223 0,1384 0,3836 0,6730 0,9126 1,0187 0,9396 0,6566 0,1679 -0,5092 -1,3215 -2,1847 -3,0084 -3,7192 -4,2685 -4,6400 -4,8602 -4,9844 -5,0654 -5,1310 -5,1834 -5,2093 -5,1949 -5,1440 -5,0895 -5,0804 -5,1515 -5,3018 -5,4876 -5,6346 -5,6763 -5,5988 -5,4480 -5,2829 -5,1251 -4,9507 -4,7140 -4,3698 -3,8857 -3,2444 -2,4414 -1,4964 -0,4647 0,5859 1,6017 2,5417 3,3723 4,0763 4,6526 5,1038 5,4360 5,6745 5,8615 6,0201 6,1333 6,1705 6,1169 5,9739 5,7497 5,4652 5,1602 4,8731 4,6042 4,3201 4,0014 3,6640 3,3236 2,9778 2,6429 2,3698 2,2026 2,1275 2,0698 1,9532 1,7679 1,5742 1,4493 1,4494 1,6006 1,8820 2,2179 2,5035 2,6475 2,6155 2,4512 2,2481 2,1025 2,0898 2,2426 2,5286 2,8578 3,1235 3,2513 3,2346 3,1426 3,0880 3,1682 3,4201 3,8176 4,3028 4,8250 5,3585 5,8875 6,3827 6,8156 7,1961 7,5563 7,8958 8,1718 8,3359 8,3577 8,2276 7,9626 7,6049 7,2027 6,7950 6,4209 6,1234 5,9323 5,8557 5,8903 6,0297 6,2614 6,5711 6,9479 7,3673 7,7705 8,0868 8,2764 8,3284 8,2274 7,9548 7,5298 7,0276 6,5426 6,1419 5,8501 5,6588 5,5450 5,4889 5,4824 5,5283 5,6295 5,7612 5,8503 5,7995 5,5537 5,1499 4,6947 4,2857 3,9546 3,6776 3,4199 3,1590 2,8928 2,6510 2,4928 2,4746 2,6141 2,8805 3,2096 3,5221 3,7434 3,8329 3,7998 3,6914 3,5675 3,4712 3,4106 3,3643 3,3083 3,2396 3,1770 3,1455 3,1635 3,2351 3,3453 3,4614 3,5436 3,5634 3,5236 3,4634 3,4342 3,4600 3,5189 3,5641 3,5574 3,4805 3,3309 3,1213 2,8792 2,6402 2,4425 2,3245 2,3184 2,4317 2,6323 2,8604 3,0647 3,2233 3,3282 3,3666 3,3321 3,2440 3,1441 3,0771 3,0747 3,1507 3,3024 3,5182 3,7846 4,0765 4,3462 4,5401 4,6316 4,6345 4,5899 4,5366 4,4827 4,4051 4,2751 4,0753 3,7992 3,4542 3,0677 2,6784 2,3286 2,0616 1,9123 1,8892 1,9679 2,0983 2,2168 2,2677 2,2294 2,1191 1,9723 1,8239 1,7063 1,6547 1,7062 1,8848 2,1806 2,5390 2,8717 3,0912 3,1588 3,1142 3,0561 3,0692 3,1660 3,3033 3,4398 3,5706 3,7239 3,9255 4,1508 4,3177 4,3343 4,1559 3,8108 3,3867 2,9946 2,7363 2,6852 2,8670 3,2407 3,7040 4,1378 4,4574 4,6312 4,6766 4,6483 4,6100 4,6019 4,6329 4,6924 4,7681 4,8591 4,9748 5,1181 5,2651 5,3720 5,4111 5,3953 5,3677 5,3687 5,4114 5,4837 5,5709 5,6753 5,8141 5,9979 6,2186 6,4548 6,6807 6,8741 7,0184 7,1048 7,1340 7,1144 7,0543 6,9532 6,8009 6,5860 6,3019 5,9391 5,4836 4,9390 4,3418 3,7442 3,1863 2,7031 2,3491 2,1842 2,2352 2,4865 2,8873 3,3534 3,7900 4,1313 4,3522 4,4440 4,3958 4,2095 3,9293 3,6518 3,4916 3,5269 3,7588 4,1080 4,4437 4,6391 4,6321 4,4555 4,2105 4,0102 3,9304 3,9880 4,1547 4,3812 4,6098 4,7868 4,8830 4,9060 4,8899 4,8711 4,8696 4,8781 4,8631 4,7938 4,6706 4,5106 4,3201 4,0940 3,8379 3,5905 3,4254 3,4116 3,5635 3,8334 4,1404 4,3987 4,5402 4,5338 4,3832 4,1242 3,8299 3,5946 3,4928 3,5551 3,7801 4,1550 4,6537 5,2259 5,8088 6,3367 6,7354 6,9313 6,8870 6,6277 6,2334 5,8105 5,4568 5,2231 5,0928 5,0077 4,9157 4,7819 4,5745 4,2680 3,8647 3,4109 2,9838 2,6474 2,4207 2,3014 2,3049 2,4592 2,7646 3,1680 3,5804 3,9177 4,1344 4,2318 4,2320 4,1437 3,9510 3,6303 3,1761 2,6202 2,0414 1,5512 1,2421 1,1465 1,2428 1,4775 1,7729 2,0368 2,1944 2,2230 2,1572 2,0600 1,9925 1,9914 2,0614 2,1907 2,3722 2,6010 2,8647 3,1339 3,3566 3,4794 3,4807 3,3804 3,2234 3,0501 2,8757 2,6995 2,5249 2,3611 2,2113 2,0781 1,9788 1,9329 1,9349 1,9545 1,9635 1,9474 1,9020 1,8310 1,7412 1,6344 1,5014 1,3265 1,1107 0,8977 0,7627 0,7663 0,9210 1,2076 1,5992 2,0468 2,4694 2,8035 3,0608 3,3158 3,6349 4,0235 4,4316 4,7925 5,0609 5,2305 5,3248 5,3765 5,4168 5,4727 5,5637 5,6889 5,8137 5,8825 5,8506 5,7118 5,5058 5,2996 5,1482 5,0698 5,0488 5,0557 5,0755 5,1264 5,2379 5,4020 5,5542 5,6096 5,5166 5,2845 4,9812 4,7002 4,5069 4,4040 4,3371 4,2332 4,0563 3,8339 3,6252 3,4729
