Fp1   -0,9104 -0,8998 -0,8452 -0,7531 -0,6507 -0,5731 -0,5466 -0,5753 -0,6347 -0,6785 -0,6556 -0,5324 -0,3142 -0,0487 0,1956 0,3656 0,4422 0,4326 0,3552 0,2317 0,0834 -0,0715 -0,2211 -0,3579 -0,4743 -0,5574 -0,5900 -0,5587 -0,4612 -0,3052 -0,1056 0,1128 0,3164 0,4738 0,5615 0,5611 0,4651 0,2890 0,0768 -0,1060 -0,1904 -0,1274 0,0888 0,4137 0,7710 1,0840 1,2998 1,3986 1,3954 1,3313 1,2546 1,2044 1,2037 1,2576 1,3515 1,4569 1,5438 1,5960 1,6215 1,6483 1,7105 1,8360 2,0380 2,3055 2,6071 2,9130 3,2117 3,5022 3,7789 4,0281 4,2387 4,4117 4,5502 4,6403 4,6523 4,5579 4,3473 4,0409 3,6895 3,3581 3,1038 2,9573 2,9096 2,9147 2,9133 2,8587 2,7309 2,5461 2,3574 2,2357 2,2268 2,3154 2,4266 2,4631 2,3568 2,1024 1,7465 1,3523 0,9735 0,6444 0,3771 0,1615 -0,0294 -0,2282 -0,4576 -0,7186 -0,9905 -1,2455 -1,4672 -1,6553 -1,8166 -1,9538 -2,0596 -2,1171 -2,1049 -2,0055 -1,8106 -1,5219 -1,1528 -0,7269 -0,2721 0,1845 0,6174 1,0128 1,3764 1,7208 2,0423 2,3185 2,5255 2,6552 2,7192 2,7465 2,7793 2,8628 3,0254 3,2623 3,5386 3,8108 4,0510 4,2559 4,4374 4,6098 4,7841 4,9651 5,1506 5,3349 5,5141 5,6860 5,8465 5,9881 6,1042 6,1942 6,2647 6,3300 6,4125 6,5342 6,7007 6,8970 7,1030 7,3119 7,5370 7,7999 8,1104 8,4561 8,8146 9,1702 9,5161 9,8464 10,1512 10,4165 10,6253 10,7604 10,8120 10,7878 10,7153 10,6287 10,5504 10,4817 10,4044 10,2908 10,1206 9,8973 9,6497 9,4167 9,2314 9,1148 9,0751 9,1089 9,2038 9,3410 9,4867 9,5843 9,5728 9,4244 9,1631 8,8495 8,5485 8,3006 8,1133 7,9758 7,8729 7,7859 7,6898 7,5595 7,3792 7,1475 6,8789 6,6017 6,3473 6,1389 5,9887 5,8958 5,8389 5,7802 5,6855 5,5374 5,3354 5,0924 4,8310 4,5805 4,3732 4,2319 4,1558 4,1224 4,1034 4,0775 4,0331 3,9690 3,8942 3,8249 3,7825 3,7904 3,8600 3,9712 4,0709 4,1015 4,0361 3,8910 3,7094 3,5355 3,3956 3,2988 3,2477 3,2436 3,2805 3,3365 3,3719 3,3397 3,2104 2,9959 2,7474 2,5292 2,3903 2,3496 2,3962 2,5021 2,6354 2,7681 2,8856 2,9917 3,1021 3,2348 3,3997 3,5878 3,7675 3,8935 3,9271 3,8552 3,6969 3,4964 3,3084 3,1811 3,1439 3,2058 3,3549 3,5567 3,7618 3,9272 4,0357 4,0986 4,1407 4,1768 4,2012 4,1968 4,1543 4,0790 3,9793 3,8573 3,7147 3,5602 3,4085 3,2758 3,1734 3,1042 3,0657 3,0566 3,0806 3,1482 3,2723 3,4576 3,6915 3,9459 4,1878 4,3848 4,5072 4,5378 4,4770 4,3346 4,1222 3,8571 3,5664 3,2821 3,0355 2,8505 2,7331 2,6688 2,6360 2,6217 2,6268 2,6588 2,7198 2,8004 2,8832 2,9532 3,0034 3,0376 3,0716 3,1255 3,2067 3,3023 3,3949 3,4820 3,5730 3,6731 3,7801 3,8935 4,0219 4,1840 4,3984 4,6707 4,9904 5,3361 5,6797 5,9883 6,2271 6,3719 6,4189 6,3809 6,2773 6,1322 5,9784 5,8517 5,7768 5,7568 5,7759 5,8094 5,8324 5,8258 5,7755 5,6684 5,4973 5,2745 5,0358 4,8221 4,6550 4,5346 4,4565 4,4191 4,4185 4,4439 4,4763 4,4921 4,4746 4,4254 4,3642 4,3192 4,3150 4,3610 4,4498 4,5650 4,6866 4,7898 4,8444 4,8232 4,7185 4,5487 4,3487 4,1551 3,9920 3,8632 3,7612 3,6851 3,6460 3,6596 3,7394 3,8918 4,1110 4,3708 4,6300 4,8510 5,0166 5,1290 5,1990 5,2390 5,2587 5,2612 5,2481 5,2279 5,2107 5,1971 5,1775 5,1418 5,0898 5,0355 4,9979 4,9882 5,0062 5,0469 5,1022 5,1579 5,1973 5,2113 5,2026 5,1849 5,1796 5,2056 5,2680 5,3553 5,4434 5,5025 5,5070 5,4461 5,3322 5,1979 5,0774 4,9892 4,9298 4,8754 4,7902 4,6447 4,4357 4,1933 3,9650 3,7880 3,6706 3,5930 3,5255 3,4456 3,3402 3,2049 3,0522 2,9122 2,8163 2,7728 2,7578 2,7320 2,6694 2,5743 2,4765 2,4095 2,3909 2,4173 2,4713 2,5338 2,5902 2,6307 2,6496 2,6449 2,6139 2,5473 2,4315 2,2629 2,0535 1,8184 1,5636 1,2914 1,0132 0,7482 0,5109 0,3048 0,1298 -0,0110 -0,1152 -0,1866 -0,2327 -0,2546 -0,2454 -0,2007 -0,1332 -0,0755 -0,0624 -0,1041 -0,1800 -0,2592 -0,3201 -0,3561 -0,3708 -0,3682 -0,3443 -0,2867 -0,1789 -0,0083 0,2255 0,5057 0,8012 1,0836 1,3440 1,5952 1,8621 2,1681 2,5214 2,9095 3,3049 3,6759 3,9972 4,2571 4,4605 4,6232 4,7660 4,9101 5,0668 5,2236 5,3434 5,3780 5,2801 5,0193 4,6060 4,0997 3,5839 3,1318 2,7893 2,5730 2,4726 2,4577 2,4901 2,5318 2,5496 2,5188 2,4248 2,2625 2,0402 1,7807 1,5121 1,2556 1,0224 0,8166 0,6373 0,4770 0,3277 0,1919 0,0899 0,0545 0,1106 0,2555 0,4559 0,6570 0,7967 0,8220 0,7044 0,4439 0,0630 -0,3996 -0,8916 -1,3575 -1,7582 -2,0845 -2,3576 -2,6185 -2,9083 -3,2476 -3,6297 -4,0249 -4,3925 -4,7003 -4,9362 -5,1011 -5,1998 -5,2424 -5,2458 -5,2308 -5,2132 -5,1925 -5,1480 -5,0583 -4,9243 -4,7729 -4,6403 -4,5496 -4,4978 -4,4627 -4,4210 -4,3585 -4,2677 -4,1470 -4,0055 -3,8634 -3,7418 -3,6498 -3,5825 -3,5267
Fz    0,0563 0,0366 0,0577 0,0979 0,1104 0,0490 -0,1062 -0,3362 -0,5847 -0,7738 -0,8290 -0,7075 -0,4194 -0,0310 0,3600 0,6627 0,8186 0,8070 0,6424 0,3722 0,0645 -0,2177 -0,4416 -0,6121 -0,7539 -0,8835 -0,9947 -1,0653 -1,0729 -1,0030 -0,8538 -0,6429 -0,4041 -0,1780 -0,0052 0,0812 0,0690 -0,0234 -0,1494 -0,2477 -0,2590 -0,1430 0,1075 0,4613 0,8590 1,2327 1,5248 1,7044 1,7779 1,7860 1,7857 1,8277 1,9387 2,1158 2,3306 2,5425 2,7177 2,8447 2,9386 3,0305 3,1524 3,3255 3,5548 3,8260 4,1115 4,3870 4,6426 4,8780 5,0928 5,2842 5,4539 5,6112 5,7566 5,8625 5,8784 5,7598 5,4939 5,1114 4,6775 4,2677 3,9430 3,7333 3,6290 3,5828 3,5289 3,4113 3,2062 2,9312 2,6432 2,4223 2,3361 2,4013 2,5700 2,7525 2,8608 2,8471 2,7131 2,4940 2,2373 1,9882 1,7812 1,6326 1,5326 1,4503 1,3515 1,2177 1,0504 0,8594 0,6505 0,4282 0,2087 0,0222 -0,0989 -0,1312 -0,0656 0,0938 0,3329 0,6323 0,9718 1,3315 1,6929 2,0383 2,3524 2,6269 2,8602 3,0497 3,1847 3,2497 3,2353 3,1526 3,0398 2,9519 2,9427 3,0445 3,2536 3,5337 3,8372 4,1313 4,4107 4,6902 4,9873 5,3095 5,6519 5,9983 6,3268 6,6173 6,8579 7,0460 7,1857 7,2871 7,3665 7,4433 7,5337 7,6477 7,7926 7,9719 8,1806 8,4066 8,6451 8,9110 9,2353 9,6472 10,1506 10,7148 11,2914 11,8390 12,3355 12,7764 13,1674 13,5144 13,8140 14,0552 14,2298 14,3406 14,3992 14,4169 14,3963 14,3277 14,1931 13,9805 13,6979 13,3749 13,0507 12,7579 12,5152 12,3295 12,2011 12,1242 12,0889 12,0825 12,0834 12,0542 11,9541 11,7612 11,4821 11,1471 10,7948 10,4539 10,1329 9,8295 9,5424 9,2672 8,9889 8,6846 8,3346 7,9305 7,4815 7,0160 6,5718 6,1807 5,8582 5,6023 5,3949 5,2104 5,0296 4,8485 4,6771 4,5309 4,4219 4,3580 4,3476 4,3915 4,4720 4,5575 4,6221 4,6576 4,6676 4,6588 4,6406 4,6269 4,6341 4,6765 4,7535 4,8339 4,8584 4,7706 4,5512 4,2279 3,8588 3,5068 3,2205 3,0238 2,9165 2,8837 2,9013 2,9318 2,9205 2,8080 2,5610 2,1993 1,7907 1,4153 1,1295 0,9529 0,8739 0,8641 0,8927 0,9378 0,9944 1,0755 1,2053 1,4068 1,6802 1,9844 2,2413 2,3665 2,3066 2,0683 1,7198 1,3644 1,0951 0,9604 0,9617 1,0754 1,2689 1,4998 1,7166 1,8740 1,9519 1,9624 1,9400 1,9180 1,9078 1,8964 1,8617 1,7871 1,6649 1,4983 1,3045 1,1106 0,9460 0,8366 0,7955 0,8134 0,8607 0,9055 0,9343 0,9599 1,0127 1,1242 1,3111 1,5683 1,8681 2,1616 2,3890 2,5028 2,4861 2,3503 2,1266 1,8615 1,6104 1,4189 1,3072 1,2666 1,2629 1,2493 1,1883 1,0712 0,9203 0,7759 0,6715 0,6169 0,6007 0,6062 0,6220 0,6442 0,6779 0,7344 0,8220 0,9405 1,0865 1,2570 1,4436 1,6287 1,7929 1,9306 2,0576 2,2050 2,4026 2,6670 2,9968 3,3745 3,7708 4,1500 4,4736 4,7075 4,8343 4,8590 4,8025 4,6934 4,5632 4,4392 4,3366 4,2545 4,1790 4,0891 3,9672 3,8098 3,6277 3,4378 3,2580 3,1063 2,9977 2,9338 2,8974 2,8653 2,8294 2,8016 2,8039 2,8565 2,9669 3,1234 3,2955 3,4427 3,5292 3,5403 3,4891 3,4055 3,3228 3,2728 3,2812 3,3559 3,4774 3,6052 3,6974 3,7285 3,6938 3,6047 3,4795 3,3363 3,1943 3,0769 3,0065 2,9974 3,0555 3,1809 3,3697 3,6065 3,8621 4,1078 4,3309 4,5341 4,7221 4,8928 5,0334 5,1224 5,1429 5,0953 4,9960 4,8686 4,7359 4,6164 4,5227 4,4614 4,4309 4,4213 4,4199 4,4187 4,4135 4,3992 4,3723 4,3340 4,2871 4,2340 4,1818 4,1428 4,1270 4,1351 4,1586 4,1855 4,2031 4,2014 4,1776 4,1368 4,0868 4,0288 3,9525 3,8351 3,6481 3,3741 3,0258 2,6474 2,2934 1,9988 1,7629 1,5594 1,3609 1,1538 0,9372 0,7227 0,5373 0,4153 0,3770 0,4098 0,4674 0,4928 0,4513 0,3522 0,2405 0,1651 0,1498 0,1859 0,2461 0,3037 0,3456 0,3726 0,3943 0,4206 0,4510 0,4701 0,4573 0,4042 0,3169 0,2020 0,0561 -0,1257 -0,3356 -0,5511 -0,7494 -0,9173 -1,0478 -1,1325 -1,1660 -1,1562 -1,1240 -1,0908 -1,0662 -1,0485 -1,0347 -1,0320 -1,0541 -1,1045 -1,1729 -1,2499 -1,3384 -1,4489 -1,5889 -1,7552 -1,9316 -2,0893 -2,1898 -2,1958 -2,0876 -1,8758 -1,5965 -1,2904 -0,9803 -0,6620 -0,3079 0,1167 0,6304 1,2232 1,8578 2,4813 3,0418 3,5062 3,8695 4,1500 4,3806 4,5964 4,8170 5,0308 5,1971 5,2623 5,1801 4,9308 4,5348 4,0485 3,5446 3,0895 2,7302 2,4895 2,3635 2,3251 2,3374 2,3639 2,3748 2,3474 2,2631 2,1070 1,8749 1,5812 1,2537 0,9199 0,5951 0,2812 -0,0280 -0,3366 -0,6379 -0,9109 -1,1229 -1,2394 -1,2398 -1,1325 -0,9538 -0,7555 -0,5949 -0,5250 -0,5857 -0,7985 -1,1647 -1,6610 -2,2405 -2,8465 -3,4336 -3,9778 -4,4758 -4,9421 -5,4010 -5,8731 -6,3656 -6,8693 -7,3616 -7,8155 -8,2048 -8,5073 -8,7126 -8,8305 -8,8847 -8,8978 -8,8800 -8,8277 -8,7312 -8,5894 -8,4197 -8,2539 -8,1253 -8,0539 -8,0361 -8,0477 -8,0574 -8,0378 -7,9734 -7,8670 -7,7415 -7,6288 -7,5518 -7,5069 -7,4621 -7,3665
F3    0,0095 -0,0601 -0,1271 -0,1983 -0,2994 -0,4560 -0,6710 -0,9127 -1,1176 -1,2114 -1,1379 -0,8846 -0,4943 -0,0555 0,3345 0,6093 0,7478 0,7604 0,6735 0,5234 0,3490 0,1787 0,0190 -0,1400 -0,3051 -0,4621 -0,5785 -0,6227 -0,5829 -0,4722 -0,3212 -0,1686 -0,0501 0,0090 -0,0061 -0,1016 -0,2671 -0,4683 -0,6490 -0,7419 -0,6859 -0,4503 -0,0516 0,4492 0,9681 1,4234 1,7560 1,9430 2,0040 1,9930 1,9741 1,9936 2,0680 2,1865 2,3181 2,4231 2,4755 2,4854 2,4972 2,5656 2,7304 3,0051 3,3736 3,7920 4,2041 4,5668 4,8652 5,1052 5,2959 5,4432 5,5554 5,6480 5,7296 5,7826 5,7642 5,6307 5,3686 5,0102 4,6222 4,2779 4,0349 3,9213 3,9246 3,9922 4,0508 4,0328 3,8992 3,6544 3,3471 3,0538 2,8412 2,7310 2,6911 2,6579 2,5746 2,4222 2,2211 2,0086 1,8206 1,6788 1,5826 1,5096 1,4231 1,2861 1,0773 0,8042 0,4993 0,2012 -0,0676 -0,3027 -0,5036 -0,6633 -0,7711 -0,8191 -0,8010 -0,7081 -0,5275 -0,2461 0,1395 0,6144 1,1445 1,6835 2,1821 2,6005 2,9186 3,1329 3,2456 3,2566 3,1660 2,9874 2,7613 2,5514 2,4242 2,4288 2,5796 2,8498 3,1830 3,5205 3,8284 4,1077 4,3818 4,6739 4,9920 5,3281 5,6644 5,9816 6,2668 6,5152 6,7273 6,9078 7,0657 7,2119 7,3550 7,4989 7,6451 7,7906 7,9294 8,0600 8,1962 8,3695 8,6199 8,9753 9,4288 9,9367 10,4435 10,9106 11,3248 11,6914 12,0207 12,3152 12,5628 12,7399 12,8280 12,8309 12,7789 12,7105 12,6502 12,5979 12,5327 12,4247 12,2532 12,0183 11,7378 11,4351 11,1363 10,8753 10,6895 10,6044 10,6240 10,7306 10,8815 11,0066 11,0305 10,9093 10,6517 10,3094 9,9516 9,6358 9,3949 9,2405 9,1660 9,1403 9,1102 9,0217 8,8400 8,5562 8,1873 7,7723 7,3586 6,9838 6,6646 6,3951 6,1464 5,8801 5,5722 5,2265 4,8700 4,5402 4,2723 4,0913 4,0081 4,0148 4,0795 4,1568 4,2089 4,2185 4,1856 4,1226 4,0504 3,9903 3,9583 3,9579 3,9741 3,9738 3,9153 3,7694 3,5374 3,2545 2,9729 2,7397 2,5810 2,5016 2,4952 2,5544 2,6668 2,7994 2,8911 2,8708 2,6965 2,3827 1,9938 1,6115 1,3029 1,1058 1,0298 1,0653 1,1898 1,3755 1,6009 1,8565 2,1429 2,4658 2,8207 3,1762 3,4713 3,6332 3,6085 3,3951 3,0523 2,6764 2,3602 2,1640 2,1094 2,1880 2,3700 2,6047 2,8327 3,0104 3,1267 3,1998 3,2594 3,3239 3,3872 3,4237 3,4053 3,3171 3,1634 2,9667 2,7615 2,5803 2,4406 2,3410 2,2636 2,1818 2,0761 1,9467 1,8155 1,7198 1,7024 1,7972 2,0115 2,3177 2,6633 2,9879 3,2387 3,3824 3,4093 3,3254 3,1468 2,9049 2,6445 2,4074 2,2177 2,0803 1,9863 1,9205 1,8701 1,8334 1,8180 1,8304 1,8650 1,9030 1,9236 1,9164 1,8848 1,8433 1,8164 1,8324 1,9096 2,0448 2,2195 2,4111 2,5936 2,7358 2,8139 2,8311 2,8250 2,8541 2,9718 3,2012 3,5306 3,9265 4,3480 4,7520 5,0943 5,3384 5,4691 5,4975 5,4525 5,3713 5,2907 5,2385 5,2235 5,2286 5,2159 5,1445 4,9932 4,7723 4,5153 4,2578 4,0250 3,8342 3,6958 3,6072 3,5511 3,5070 3,4678 3,4444 3,4564 3,5175 3,6209 3,7337 3,8120 3,8262 3,7768 3,6942 3,6228 3,6004 3,6459 3,7595 3,9234 4,1034 4,2534 4,3283 4,3015 4,1765 3,9842 3,7726 3,5893 3,4643 3,4073 3,4159 3,4771 3,5731 3,6967 3,8571 4,0689 4,3317 4,6256 4,9260 5,2173 5,4890 5,7287 5,9253 6,0711 6,1577 6,1818 6,1566 6,1085 6,0589 6,0123 5,9613 5,9010 5,8394 5,7943 5,7808 5,8018 5,8471 5,8996 5,9410 5,9558 5,9321 5,8639 5,7585 5,6386 5,5310 5,4521 5,4025 5,3720 5,3461 5,3099 5,2511 5,1677 5,0723 4,9864 4,9259 4,8866 4,8357 4,7226 4,5096 4,2010 3,8424 3,4910 3,1832 2,9249 2,6998 2,4848 2,2635 2,0345 1,8139 1,6343 1,5339 1,5336 1,6153 1,7204 1,7760 1,7394 1,6277 1,5061 1,4400 1,4534 1,5219 1,5961 1,6337 1,6194 1,5656 1,5044 1,4717 1,4869 1,5383 1,5904 1,6099 1,5821 1,5054 1,3799 1,2073 0,9994 0,7779 0,5636 0,3689 0,2048 0,0872 0,0275 0,0210 0,0484 0,0916 0,1453 0,2124 0,2890 0,3524 0,3688 0,3185 0,2082 0,0577 -0,1152 -0,3001 -0,4927 -0,6908 -0,8879 -1,0646 -1,1882 -1,2265 -1,1691 -1,0351 -0,8600 -0,6715 -0,4740 -0,2487 0,0401 0,4308 0,9396 1,5420 2,1757 2,7643 3,2476 3,6008 3,8361 3,9897 4,1079 4,2349 4,3969 4,5839 4,7516 4,8393 4,7919 4,5771 4,1999 3,7069 3,1752 2,6878 2,3074 2,0591 1,9284 1,8758 1,8584 1,8419 1,8012 1,7196 1,5869 1,3957 1,1422 0,8328 0,4848 0,1175 -0,2525 -0,6088 -0,9359 -1,2247 -1,4734 -1,6767 -1,8128 -1,8488 -1,7645 -1,5764 -1,3355 -1,1052 -0,9415 -0,8824 -0,9443 -1,1280 -1,4301 -1,8433 -2,3431 -2,8817 -3,4033 -3,8688 -4,2735 -4,6470 -5,0333 -5,4645 -5,9430 -6,4400 -6,9108 -7,3163 -7,6333 -7,8495 -7,9650 -7,9954 -7,9678 -7,9108 -7,8449 -7,7733 -7,6810 -7,5498 -7,3830 -7,2134 -7,0854 -7,0230 -7,0111 -7,0058 -6,9616 -6,8516 -6,6725 -6,4449 -6,2092 -6,0107 -5,8772 -5,8047 -5,7603 -5,6958
F7    -1,0632 -1,1339 -1,1029 -0,9904 -0,8412 -0,7037 -0,6097 -0,5586 -0,5174 -0,4399 -0,2890 -0,0552 0,2271 0,4848 0,6464 0,6835 0,6131 0,4691 0,2806 0,0736 -0,1231 -0,2839 -0,3984 -0,4718 -0,5089 -0,5039 -0,4480 -0,3440 -0,2108 -0,0708 0,0577 0,1545 0,1982 0,1770 0,0913 -0,0549 -0,2565 -0,4949 -0,7240 -0,8714 -0,8576 -0,6290 -0,1894 0,3936 1,0135 1,5628 1,9639 2,1867 2,2520 2,2171 2,1480 2,0993 2,1065 2,1817 2,3094 2,4490 2,5524 2,5906 2,5714 2,5320 2,5194 2,5717 2,7048 2,9037 3,1323 3,3587 3,5690 3,7580 3,9175 4,0370 4,1108 4,1430 4,1396 4,0961 4,0013 3,8505 3,6531 3,4326 3,2214 3,0557 2,9699 2,9849 3,0885 3,2304 3,3420 3,3684 3,2909 3,1374 2,9760 2,8797 2,8769 2,9287 2,9561 2,8904 2,7107 2,4474 2,1515 1,8611 1,5975 1,3742 1,1930 1,0393 0,8922 0,7410 0,5898 0,4504 0,3330 0,2378 0,1470 0,0312 -0,1317 -0,3373 -0,5527 -0,7329 -0,8454 -0,8812 -0,8492 -0,7689 -0,6646 -0,5564 -0,4510 -0,3424 -0,2168 -0,0531 0,1714 0,4626 0,7972 1,1312 1,4155 1,6140 1,7194 1,7599 1,7881 1,8590 2,0080 2,2390 2,5266 2,8327 3,1279 3,4077 3,6888 3,9881 4,3070 4,6326 4,9420 5,2038 5,3877 5,4805 5,4931 5,4488 5,3675 5,2605 5,1387 5,0287 4,9773 5,0301 5,1995 5,4579 5,7650 6,0976 6,4555 6,8433 7,2536 7,6683 8,0755 8,4757 8,8733 9,2646 9,6276 9,9170 10,0771 10,0667 9,8837 9,5745 9,2260 8,9359 8,7724 8,7440 8,7981 8,8525 8,8410 8,7404 8,5658 8,3521 8,1394 7,9662 7,8627 7,8412 7,8926 7,9901 8,0886 8,1250 8,0471 7,8528 7,5965 7,3587 7,2064 7,1630 7,2057 7,2901 7,3716 7,4129 7,3909 7,3025 7,1618 6,9866 6,7901 6,5845 6,3861 6,2107 6,0660 5,9434 5,8162 5,6523 5,4370 5,1783 4,8957 4,6124 4,3498 4,1222 3,9329 3,7759 3,6426 3,5277 3,4313 3,3569 3,3103 3,2945 3,3034 3,3260 3,3583 3,4078 3,4823 3,5770 3,6699 3,7313 3,7426 3,7083 3,6457 3,5627 3,4536 3,3147 3,1611 3,0254 2,9396 2,9133 2,9255 2,9329 2,8987 2,8200 2,7291 2,6695 2,6690 2,7323 2,8515 3,0194 3,2279 3,4604 3,6906 3,8890 4,0367 4,1387 4,2169 4,2870 4,3444 4,3670 4,3316 4,2358 4,1054 3,9806 3,8984 3,8818 3,9379 4,0568 4,2076 4,3425 4,4200 4,4320 4,4060 4,3784 4,3655 4,3540 4,3158 4,2309 4,1027 3,9581 3,8318 3,7463 3,7014 3,6788 3,6543 3,6116 3,5496 3,4770 3,4010 3,3294 3,2834 3,2999 3,4171 3,6516 3,9795 4,3383 4,6507 4,8544 4,9209 4,8576 4,6908 4,4401 4,1088 3,6975 3,2222 2,7219 2,2509 1,8603 1,5808 1,4193 1,3698 1,4245 1,5750 1,8030 2,0713 2,3322 2,5535 2,7312 2,8793 3,0083 3,1123 3,1695 3,1523 3,0460 2,8698 2,6801 2,5426 2,4988 2,5608 2,7233 2,9717 3,2843 3,6366 4,0031 4,3593 4,6850 4,9638 5,1804 5,3268 5,4079 5,4352 5,4155 5,3560 5,2755 5,2060 5,1746 5,1865 5,2205 5,2404 5,2139 5,1296 5,0020 4,8599 4,7248 4,6023 4,4910 4,3969 4,3335 4,3132 4,3420 4,4213 4,5433 4,6850 4,8115 4,8918 4,9132 4,8838 4,8235 4,7553 4,7065 4,7040 4,7593 4,8585 4,9698 5,0601 5,1082 5,1061 5,0529 4,9558 4,8316 4,6999 4,5739 4,4571 4,3454 4,2381 4,1490 4,0994 4,1047 4,1725 4,3072 4,5064 4,7531 5,0197 5,2864 5,5493 5,8121 6,0752 6,3373 6,5970 6,8455 7,0661 7,2448 7,3722 7,4357 7,4177 7,3072 7,1184 6,8982 6,7088 6,5959 6,5719 6,6250 6,7343 6,8733 7,0144 7,1369 7,2337 7,3136 7,3952 7,4930 7,6072 7,7277 7,8412 7,9338 7,9884 7,9863 7,9169 7,7839 7,6006 7,3811 7,1389 6,8819 6,6068 6,3100 6,0080 5,7375 5,5322 5,4015 5,3300 5,2956 5,2850 5,2987 5,3420 5,4181 5,5295 5,6804 5,8679 6,0654 6,2198 6,2762 6,2164 6,0742 5,9114 5,7770 5,6870 5,6301 5,5859 5,5415 5,4928 5,4387 5,3808 5,3263 5,2835 5,2508 5,2124 5,1519 5,0665 4,9628 4,8451 4,7115 4,5570 4,3754 4,1603 3,9069 3,6212 3,3300 3,0720 2,8777 2,7594 2,7123 2,7143 2,7287 2,7158 2,6444 2,5031 2,3140 2,1238 1,9719 1,8696 1,8050 1,7548 1,6964 1,6273 1,5775 1,5946 1,7123 1,9314 2,2196 2,5237 2,7965 3,0270 3,2490 3,5165 3,8677 4,3005 4,7752 5,2337 5,6268 5,9362 6,1765 6,3732 6,5407 6,6793 6,7882 6,8709 6,9316 6,9732 6,9915 6,9642 6,8561 6,6458 6,3450 5,9918 5,6318 5,3074 5,0506 4,8753 4,7789 4,7472 4,7581 4,7850 4,8057 4,8029 4,7578 4,6565 4,5046 4,3306 4,1744 4,0747 4,0554 4,1084 4,1904 4,2466 4,2442 4,1894 4,1191 4,0751 4,0772 4,1110 4,1329 4,0930 3,9610 3,7341 3,4286 3,0693 2,6888 2,3312 2,0450 1,8656 1,7990 1,8144 1,8489 1,8324 1,7200 1,5090 1,2341 0,9498 0,7044 0,5231 0,4071 0,3376 0,2772 0,1807 0,0129 -0,2337 -0,5257 -0,7938 -0,9662 -1,0047 -0,9205 -0,7639 -0,5994 -0,4797 -0,4300 -0,4417 -0,4790 -0,4979 -0,4680 -0,3873 -0,2798 -0,1762 -0,0881 -0,0006 0,1143
