Fp1   -0,2970 0,0142 0,4634 0,9118 1,2334 1,3642 1,3123 1,1360 0,9140 0,7237 0,6284 0,6722 0,8722 1,1964 1,5564 1,8466 1,9974 1,9917 1,8541 1,6347 1,3946 1,1922 1,0681 1,0201 0,9872 0,8689 0,5894 0,1624 -0,3010 -0,6550 -0,8102 -0,7904 -0,7005 -0,6364 -0,6333 -0,6804 -0,7680 -0,9167 -1,1491 -1,4453 -1,7474 -2,0006 -2,1726 -2,2495 -2,2351 -2,1484 -2,0186 -1,8790 -1,7511 -1,6206 -1,4268 -1,0785 -0,5009 0,3126 1,2951 2,3417 3,3357 4,1633 4,7451 5,0741 5,2186 5,2768 5,3239 5,3879 5,4471 5,4453 5,3345 5,1215 4,8725 4,6642 4,5309 4,4553 4,3940 4,2994 4,1318 3,8758 3,5560 3,2385 3,0082 2,9250 2,9904 3,1590 3,3744 3,5765 3,6821 3,5872 3,2046 2,5074 1,5545 0,4930 -0,4761 -1,1668 -1,4718 -1,3845 -0,9807 -0,3819 0,2985 1,0013 1,7185 2,4560 3,2143 3,9829 4,7212 5,3548 5,8132 6,0762 6,1863 6,2224 6,2641 6,3679 6,5552 6,8247 7,1776 7,6288 8,1920 8,8491 9,5348 10,1627 10,6739 11,0610 11,3519 11,5831 11,7865 11,9852 12,1816 12,3374 12,3730 12,2035 11,7877 11,1684 10,4802 9,8939 9,5185 9,3444 9,2715 9,1734 8,9350 8,4662 7,7287 6,7690 5,7118 4,7081 3,8799 3,2915 2,9464 2,8000 2,7808 2,8082 2,8013 2,6891 2,4338 2,0517 1,6057 1,1686 0,7988 0,5417 0,4248 0,4309 0,4836 0,4870 0,3900 0,2129 0,0181 -0,1384 -0,2438 -0,3321 -0,4538 -0,6414 -0,8950 -1,1752 -1,3956 -1,4456 -1,2543 -0,8468 -0,3360 0,1391 0,4794 0,6584 0,7140 0,7072 0,6894 0,7113 0,8396 1,1262 1,5533 2,0354 2,4778 2,8162 3,0117 3,0467 2,9423 2,7645 2,5998 2,5206 2,5601 2,7040 2,9050 3,1006 3,2263 3,2389 3,1441 2,9951 2,8669 2,8240 2,8834 2,9945 3,0624 3,0147 2,8624 2,6992 2,6382 2,7399 2,9687 3,2134 3,3610 3,3485 3,1586 2,8103 2,3641 1,9071 1,5083 1,1834 0,8974 0,6066 0,2971 -0,0233 -0,3510 -0,6785 -0,9725 -1,1799 -1,2530 -1,1629 -0,8988 -0,4685 0,0888 0,6882 1,2137 1,5646 1,6947 1,6195 1,3944 1,0799 0,7165 0,3255 -0,0715 -0,4425 -0,7500 -0,9513 -1,0014 -0,8711 -0,5731 -0,1614 0,2966 0,7413 1,1261 1,4300 1,6663 1,8582 2,0075 2,0980 2,1129 2,0351 1,8460 1,5363 1,1098 0,5622 -0,1258 -0,9469 -1,8216 -2,6080 -3,1523 -3,3462 -3,1750 -2,7247 -2,1434 -1,5821 -1,1413 -0,8458 -0,6561 -0,5025 -0,3182 -0,0616 0,2796 0,7031 1,2083 1,7936 2,4380 3,0871 3,6719 4,1519 4,5438 4,9016 5,2628 5,6140 5,9035 6,0763 6,0992 5,9724 5,7253 5,4094 5,0910 4,8287 4,6478 4,5357 4,4521 4,3349 4,1108 3,7333 3,2245 2,6594 2,1017 1,5673 1,0385 0,4902 -0,0905 -0,6917 -1,2704 -1,7584 -2,0925 -2,2503 -2,2471 -2,1063 -1,8485 -1,4977 -1,0827 -0,6435 -0,2371 0,0860 0,3275 0,5437 0,7987 1,1280 1,5338 1,9870 2,4355 2,8258 3,1218 3,3189 3,4466 3,5443 3,6326 3,7075 3,7534 3,7593 3,7231 3,6466 3,5374 3,4172 3,3164 3,2539 3,2267 3,2210 3,2248 3,2333 3,2505 3,2794 3,3103 3,3237 3,3104 3,2790 3,2306 3,1402 2,9841 2,7720 2,5236 2,2195 1,8045 1,2524 0,6144 0,0015 -0,4718 -0,7354 -0,7778 -0,6297 -0,3426 0,0154 0,3649 0,6421 0,8277 0,9493 1,0566 1,1999 1,4165 1,7057 2,0219 2,3105 2,5489 2,7558 2,9733 3,2297 3,5008 3,7054 3,7383 3,5182 3,0370 2,3852 1,7229 1,2016 0,8996 0,8247 0,9599 1,2808 1,7308 2,2087 2,5951 2,7966 2,7765 2,5679 2,2657 1,9812 1,7858 1,6974 1,7192 1,8702 2,1622 2,5550 2,9567 3,2680 3,4252 3,4201 3,2889 3,0814 2,8416 2,6189 2,4877 2,5366 2,8282 3,3701 4,1154 4,9763 5,8469 6,6331 7,2737 7,7390 8,0088 8,0553 7,8586 7,4443 6,9036 6,3671 5,9322 5,6042 5,3149 5,0040 4,6775 4,3872 4,1702 4,0208 3,9109 3,8204 3,7464 3,7020 3,7181 3,8412 4,1146 4,5530 5,1229 5,7434 6,3222 6,8095 7,2219 7,6124 8,0276 8,4852 8,9544 9,3556 9,5973 9,6210 9,4264 9,0745 8,6650 8,3046 8,0791 8,0231 8,1071 8,2729 8,4847 8,7453 9,0710 9,4746 9,9716 10,5840 11,3186 12,1428 12,9795 13,7209 14,2544 14,5061 14,4728 14,2075 13,7767 13,2344 12,6259 12,0019 11,4162 10,9048 10,4763 10,1262 9,8468 9,6230 9,4347 9,2695 9,1345 9,0534 9,0417 9,0850 9,1398 9,1461 9,0480 8,8178 8,4702 8,0589 7,6490 7,2754 6,9374 6,6301 6,3571 6,1116 5,8745 5,6399 5,4366 5,3161 5,3202 5,4602 5,6999 5,9503 6,1067 6,1086 5,9732 5,7871 5,6630 5,6865 5,8885 6,2383 6,6484 6,9957 7,1556 7,0392 6,6252 5,9692 5,1821 4,3977 3,7370 3,2744 3,0288 2,9827 3,0973 3,3159 3,5760 3,8314 4,0617 4,2634 4,4318 4,5429 4,5584 4,4513 4,2272 3,9331 3,6464 3,4442 3,3827 3,4993 3,8040 4,2601 4,7806 5,2397 5,4997 5,4669 5,1427 4,6155 4,0002 3,3864 2,8282 2,3550 1,9774 1,6830 1,4346 1,1891 0,9331 0,6971 0,5355 0,4906 0,5643 0,7225 0,9226 1,1220 1,2728 1,3382 1,3194 1,2622 1,2423 1,3415 1,6182 2,0830 2,6976 3,3965 4,1150 4,8110 5,4694 6,0910
Fz    -0,6111 -0,3328 -0,0498 0,1402 0,1846 0,0890 -0,0960 -0,2975 -0,4385 -0,4545 -0,3110 -0,0130 0,3960 0,8380 1,2172 1,4630 1,5641 1,5595 1,5011 1,4266 1,3611 1,3299 1,3542 1,4260 1,4909 1,4648 1,2824 0,9445 0,5242 0,1288 -0,1606 -0,3330 -0,4356 -0,5219 -0,6163 -0,7177 -0,8271 -0,9625 -1,1395 -1,3415 -1,5241 -1,6439 -1,6754 -1,6136 -1,4718 -1,2742 -1,0473 -0,8155 -0,5918 -0,3685 -0,1124 0,2285 0,6963 1,2888 1,9530 2,6056 3,1543 3,5200 3,6644 3,6100 3,4340 3,2380 3,1136 3,1154 3,2416 3,4355 3,6251 3,7692 3,8649 3,9165 3,9141 3,8411 3,6942 3,4922 3,2668 3,0510 2,8788 2,7891 2,8172 2,9730 3,2253 3,5159 3,7876 3,9921 4,0761 3,9756 3,6299 3,0112 2,1594 1,1957 0,2879 -0,4152 -0,8289 -0,9344 -0,7643 -0,3908 0,1018 0,6536 1,2391 1,8496 2,4811 3,1273 3,7614 4,3318 4,7867 5,1033 5,2974 5,4121 5,5007 5,6094 5,7669 5,9911 6,3045 6,7345 7,2912 7,9435 8,6160 9,2173 9,6758 9,9607 10,0792 10,0636 9,9547 9,7852 9,5642 9,2709 8,8664 8,3219 7,6472 6,9075 6,2170 5,6930 5,3910 5,2741 5,2409 5,1773 4,9906 4,6214 4,0532 3,3220 2,5135 1,7359 1,0840 0,6154 0,3397 0,2227 0,2057 0,2245 0,2219 0,1563 0,0091 -0,2117 -0,4754 -0,7438 -0,9797 -1,1494 -1,2321 -1,2334 -1,1832 -1,1109 -1,0236 -0,9104 -0,7659 -0,6054 -0,4660 -0,3876 -0,3857 -0,4463 -0,5423 -0,6403 -0,6909 -0,6379 -0,4533 -0,1621 0,1719 0,4825 0,7263 0,8937 1,0100 1,1167 1,2497 1,4406 1,7211 2,1011 2,5397 2,9560 3,2759 3,4628 3,5133 3,4494 3,3228 3,2126 3,2015 3,3376 3,6064 3,9404 4,2631 4,5252 4,7070 4,8100 4,8587 4,8944 4,9568 5,0681 5,2185 5,3609 5,4298 5,3863 5,2570 5,1282 5,0958 5,2078 5,4318 5,6749 5,8435 5,8836 5,7737 5,5131 5,1266 4,6604 4,1565 3,6300 3,0699 2,4577 1,7852 1,0582 0,2918 -0,4836 -1,2135 -1,8268 -2,2638 -2,4987 -2,5429 -2,4333 -2,2304 -2,0235 -1,9137 -1,9726 -2,2100 -2,5756 -2,9847 -3,3559 -3,6430 -3,8371 -3,9476 -3,9835 -3,9428 -3,8044 -3,5318 -3,0989 -2,5228 -1,8655 -1,2024 -0,5940 -0,0765 0,3404 0,6713 0,9362 1,1468 1,3133 1,4493 1,5588 1,6290 1,6395 1,5691 1,3903 1,0717 0,6115 0,0693 -0,4447 -0,8101 -0,9435 -0,8352 -0,5502 -0,1907 0,1487 0,4069 0,5614 0,6205 0,6169 0,5966 0,6055 0,6839 0,8659 1,1728 1,6023 2,1218 2,6719 3,1907 3,6467 4,0489 4,4231 4,7809 5,1060 5,3602 5,4984 5,4859 5,3170 5,0298 4,7067 4,4519 4,3496 4,4273 4,6511 4,9452 5,2140 5,3626 5,3234 5,0825 4,6747 4,1492 3,5408 2,8701 2,1553 1,4242 0,7213 0,1069 -0,3517 -0,6054 -0,6524 -0,5398 -0,3356 -0,1049 0,1044 0,2684 0,3745 0,4054 0,3537 0,2503 0,1655 0,1770 0,3344 0,6363 1,0280 1,4282 1,7693 2,0189 2,1862 2,3128 2,4440 2,5976 2,7599 2,9049 3,0156 3,0924 3,1464 3,1914 3,2410 3,3021 3,3627 3,3943 3,3737 3,3002 3,1934 3,0834 2,9966 2,9415 2,9038 2,8659 2,8268 2,7961 2,7761 2,7605 2,7410 2,6940 2,5643 2,2824 1,8197 1,2297 0,6297 0,1441 -0,1464 -0,2242 -0,1232 0,0928 0,3421 0,5420 0,6459 0,6657 0,6530 0,6605 0,7288 0,8902 1,1574 1,5097 1,9077 2,3209 2,7412 3,1730 3,6081 4,0132 4,3405 4,5415 4,5753 4,4308 4,1443 3,7870 3,4283 3,1096 2,8489 2,6575 2,5406 2,4874 2,4654 2,4237 2,3074 2,0817 1,7536 1,3730 1,0059 0,7044 0,5033 0,4344 0,5306 0,8041 1,2250 1,7245 2,2205 2,6417 2,9432 3,1083 3,1426 3,0713 2,9434 2,8364 2,8398 3,0243 3,4200 4,0085 4,7244 5,4724 6,1601 6,7227 7,1227 7,3336 7,3339 7,1242 6,7477 6,2907 5,8564 5,5164 5,2731 5,0742 4,8656 4,6328 4,3964 4,1799 3,9841 3,7862 3,5601 3,3025 3,0477 2,8601 2,8112 2,9512 3,2883 3,7807 4,3495 4,9142 5,4348 5,9295 6,4397 6,9822 7,5322 8,0296 8,3942 8,5568 8,4945 8,2491 7,9153 7,5997 7,3788 7,2845 7,3109 7,4274 7,5969 7,7954 8,0211 8,2896 8,6196 9,0244 9,5057 10,0469 10,6135 11,1583 11,6219 11,9390 12,0660 12,0102 11,8218 11,5612 11,2747 10,9936 10,7372 10,5071 10,2851 10,0456 9,7786 9,4957 9,2132 8,9370 8,6696 8,4228 8,2163 8,0600 7,9459 7,8535 7,7561 7,6270 7,4514 7,2362 7,0127 6,8196 6,6688 6,5298 6,3545 6,1086 5,7784 5,3693 4,9140 4,4789 4,1455 3,9786 4,0054 4,2034 4,4990 4,7985 5,0327 5,1794 5,2604 5,3222 5,4049 5,5212 5,6539 5,7635 5,8003 5,7171 5,4813 5,0887 4,5732 4,0005 3,4484 2,9832 2,6444 2,4456 2,3851 2,4454 2,5889 2,7688 2,9450 3,0901 3,1882 3,2327 3,2217 3,1579 3,0519 2,9237 2,8072 2,7502 2,7975 2,9705 3,2655 3,6599 4,1153 4,5774 4,9718 5,2095 5,2201 4,9996 4,6212 4,1936 3,8071 3,5102 3,3152 3,2112 3,1662 3,1296 3,0544 2,9261 2,7636 2,5939 2,4346 2,2922 2,1691 2,0741 2,0219 2,0206 2,0715 2,1810 2,3646 2,6388 3,0130 3,4852 4,0305 4,5933 5,0981 5,4776 5,7002 5,7794 5,7654
F3    0,4738 0,9155 1,1518 1,1148 0,8219 0,3529 -0,1874 -0,6879 -1,0296 -1,1048 -0,8672 -0,3689 0,2520 0,8157 1,1670 1,2422 1,0900 0,8368 0,6280 0,5742 0,7134 1,0013 1,3312 1,5713 1,6084 1,3827 0,8980 0,2094 -0,5923 -1,3901 -2,0627 -2,5208 -2,7249 -2,6783 -2,4138 -1,9786 -1,4253 -0,8215 -0,2541 0,1945 0,4849 0,6350 0,6896 0,6758 0,5905 0,4260 0,1935 -0,0757 -0,3343 -0,5238 -0,5873 -0,4851 -0,2096 0,2162 0,7586 1,3822 2,0307 2,6155 3,0475 3,2920 3,3880 3,4211 3,4796 3,6216 3,8538 4,1319 4,3923 4,5845 4,6736 4,6338 4,4638 4,2030 3,9174 3,6605 3,4457 3,2590 3,0974 2,9916 2,9920 3,1266 3,3697 3,6587 3,9363 4,1637 4,2915 4,2375 3,9141 3,2812 2,3823 1,3431 0,3343 -0,4871 -1,0247 -1,2480 -1,1741 -0,8520 -0,3394 0,3154 1,0651 1,8480 2,6024 3,2772 3,8181 4,1733 4,3308 4,3398 4,2886 4,2624 4,3099 4,4322 4,6022 4,8068 5,0678 5,4203 5,8832 6,4533 7,1085 7,8073 8,4959 9,1279 9,6701 10,0873 10,3313 10,3574 10,1402 9,6677 8,9483 8,0403 7,0563 6,1249 5,3550 4,8224 4,5575 4,5353 4,6757 4,8578 4,9472 4,8354 4,4774 3,9010 3,1782 2,3816 1,5641 0,7754 0,0733 -0,4961 -0,9176 -1,2054 -1,3928 -1,5223 -1,6350 -1,7552 -1,8819 -1,9983 -2,0814 -2,1000 -2,0155 -1,8004 -1,4551 -1,0015 -0,4718 0,0811 0,5710 0,8966 0,9819 0,8157 0,4595 0,0115 -0,4390 -0,8238 -1,0813 -1,1558 -1,0230 -0,7109 -0,2819 0,1973 0,6612 1,0463 1,3103 1,4488 1,4854 1,4574 1,4124 1,4000 1,4496 1,5607 1,7185 1,9102 2,1233 2,3438 2,5644 2,7958 3,0587 3,3555 3,6506 3,8976 4,0872 4,2472 4,3952 4,5167 4,5906 4,6157 4,6110 4,5987 4,5863 4,5672 4,5370 4,4974 4,4452 4,3709 4,2728 4,1632 4,0566 3,9638 3,9018 3,8932 3,9425 4,0161 4,0447 3,9417 3,6326 3,0924 2,3646 1,5416 0,7224 -0,0276 -0,6954 -1,2979 -1,8357 -2,2687 -2,5420 -2,6282 -2,5442 -2,3395 -2,0826 -1,8520 -1,7165 -1,7130 -1,8375 -2,0551 -2,3145 -2,5586 -2,7309 -2,7916 -2,7361 -2,5920 -2,3943 -2,1642 -1,9108 -1,6463 -1,3841 -1,1157 -0,8044 -0,4266 -0,0114 0,3758 0,6768 0,8669 0,9677 1,0505 1,2034 1,4763 1,8512 2,2616 2,6267 2,8623 2,8742 2,5822 1,9767 1,1573 0,3133 -0,3530 -0,7132 -0,7454 -0,5139 -0,1244 0,3199 0,7357 1,0503 1,2063 1,1876 1,0424 0,8797 0,8322 0,9986 1,3959 1,9567 2,5745 3,1629 3,6902 4,1684 4,6135 5,0163 5,3447 5,5683 5,6734 5,6614 5,5504 5,3798 5,2033 5,0708 5,0057 4,9848 4,9519 4,8597 4,6982 4,4820 4,2241 3,9302 3,6132 3,2997 3,0109 2,7298 2,3952 1,9470 1,3886 0,8036 0,3108 -0,0096 -0,1558 -0,1771 -0,1244 -0,0384 0,0399 0,0664 -0,0050 -0,2081 -0,5272 -0,8731 -1,1121 -1,1242 -0,8446 -0,2811 0,4796 1,2891 1,9892 2,4710 2,7123 2,7748 2,7579 2,7433 2,7705 2,8467 2,9692 3,1370 3,3482 3,5951 3,8613 4,1144 4,2983 4,3412 4,1837 3,8037 3,2247 2,5146 1,7783 1,1267 0,6369 0,3460 0,2769 0,4405 0,8106 1,3191 1,8760 2,3841 2,7450 2,8801 2,7637 2,4339 1,9692 1,4583 0,9810 0,5908 0,3026 0,0923 -0,0855 -0,2573 -0,3927 -0,4183 -0,2797 0,0093 0,3760 0,7381 1,0470 1,3081 1,5737 1,9105 2,3568 2,8963 3,4641 3,9785 4,3709 4,5847 4,5684 4,3045 3,8502 3,3282 2,8705 2,5641 2,4243 2,3993 2,3993 2,3411 2,1793 1,9058 1,5361 1,0979 0,6271 0,1721 -0,2000 -0,4082 -0,3852 -0,1160 0,3513 0,9354 1,5606 2,1716 2,7186 3,1357 3,3456 3,2991 3,0160 2,5838 2,1250 1,7736 1,6634 1,9007 2,5257 3,4876 4,6451 5,7968 6,7377 7,3248 7,5138 7,3496 6,9283 6,3626 5,7584 5,2044 4,7712 4,5004 4,3912 4,4092 4,5135 4,6719 4,8545 5,0149 5,0817 4,9772 4,6675 4,2065 3,7218 3,3480 3,1723 3,2247 3,4891 3,9092 4,4009 4,8782 5,2825 5,5965 5,8335 6,0162 6,1653 6,2875 6,3681 6,3891 6,3628 6,3455 6,4140 6,6194 6,9541 7,3613 7,7696 8,1214 8,3826 8,5424 8,6071 8,5906 8,5092 8,3881 8,2718 8,2217 8,2942 8,5080 8,8233 9,1569 9,4329 9,6193 9,7208 9,7564 9,7565 9,7600 9,7961 9,8662 9,9460 9,9988 9,9938 9,9185 9,7695 9,5302 9,1729 8,6896 8,1170 7,5241 6,9804 6,5349 6,2143 6,0333 5,9929 6,0616 6,1675 6,2175 6,1286 5,8554 5,4054 4,8388 4,2517 3,7444 3,3913 3,2251 3,2367 3,3912 3,6466 3,9575 4,2722 4,5507 4,7850 4,9954 5,2113 5,4397 5,6309 5,6851 5,5120 5,0967 4,5138 3,8814 3,2993 2,8217 2,4677 2,2329 2,0946 2,0200 1,9793 1,9540 1,9474 1,9948 2,1548 2,4697 2,9173 3,3985 3,7770 3,9429 3,8610 3,5812 3,2080 2,8538 2,6094 2,5329 2,6429 2,9235 3,3482 3,8933 4,5266 5,1814 5,7293 5,9947 5,8415 5,2771 4,4660 3,6289 2,9301 2,4432 2,1766 2,0990 2,1493 2,2444 2,3026 2,2740 2,1448 1,9181 1,6078 1,2537 0,9292 0,7272 0,7280 0,9715 1,4509 2,1175 2,8839 3,6344 4,2565 4,6819 4,9053 4,9645 4,9015 4,7375 4,4794 4,1459 3,7920
F7    0,6254 0,8509 1,0477 1,1210 1,0162 0,7430 0,3670 -0,0279 -0,3698 -0,6042 -0,6942 -0,6274 -0,4231 -0,1353 0,1628 0,4139 0,5962 0,7172 0,7960 0,8467 0,8730 0,8746 0,8538 0,8073 0,7124 0,5271 0,2191 -0,1964 -0,6446 -1,0177 -1,2272 -1,2488 -1,1218 -0,9044 -0,6418 -0,3662 -0,1125 0,0746 0,1601 0,1449 0,0638 -0,0409 -0,1399 -0,2286 -0,3241 -0,4439 -0,5874 -0,7359 -0,8549 -0,8956 -0,8068 -0,5501 -0,1092 0,5042 1,2536 2,0850 2,9297 3,7090 4,3567 4,8442 5,1789 5,3799 5,4657 5,4549 5,3614 5,1888 4,9478 4,6731 4,4116 4,1930 4,0189 3,8757 3,7494 3,6244 3,4766 3,2833 3,0443 2,7911 2,5747 2,4378 2,3900 2,4082 2,4603 2,5159 2,5342 2,4549 2,2153 1,7793 1,1605 0,4357 -0,2652 -0,8073 -1,1073 -1,1496 -0,9744 -0,6657 -0,3206 -0,0009 0,2815 0,5426 0,8109 1,1167 1,4761 1,8802 2,2968 2,6811 2,9970 3,2366 3,4237 3,5964 3,7850 4,0100 4,2886 4,6321 5,0437 5,5203 6,0450 6,5817 7,0865 7,5268 7,8814 8,1304 8,2612 8,2867 8,2387 8,1352 7,9624 7,6948 7,3268 6,8887 6,4485 6,0840 5,8328 5,6647 5,5067 5,2865 4,9545 4,4852 3,8815 3,1846 2,4755 1,8479 1,3723 1,0794 0,9603 0,9698 1,0376 1,0918 1,0789 0,9714 0,7700 0,5034 0,2135 -0,0716 -0,3422 -0,5842 -0,7656 -0,8535 -0,8365 -0,7290 -0,5578 -0,3501 -0,1301 0,0732 0,2246 0,3014 0,3086 0,2616 0,1662 0,0316 -0,0998 -0,1523 -0,0597 0,1881 0,5436 0,9333 1,2883 1,5641 1,7563 1,8920 2,0031 2,1180 2,2723 2,4937 2,7663 3,0278 3,2144 3,3042 3,3132 3,2675 3,1881 3,0972 3,0262 3,0096 3,0650 3,1834 3,3388 3,4974 3,6187 3,6664 3,6300 3,5300 3,4081 3,3067 3,2415 3,1929 3,1289 3,0304 2,9004 2,7668 2,6741 2,6529 2,6887 2,7291 2,7266 2,6666 2,5549 2,3944 2,1808 1,9116 1,5936 1,2448 0,8909 0,5625 0,2860 0,0668 -0,1159 -0,2897 -0,4601 -0,5990 -0,6642 -0,6269 -0,4803 -0,2365 0,0703 0,3760 0,6025 0,6946 0,6459 0,4931 0,2892 0,0756 -0,1257 -0,3066 -0,4671 -0,6060 -0,7069 -0,7380 -0,6685 -0,4909 -0,2323 0,0600 0,3438 0,5921 0,7948 0,9661 1,1377 1,3249 1,5049 1,6390 1,7053 1,7041 1,6436 1,5288 1,3606 1,1303 0,8170 0,4048 -0,0920 -0,6165 -1,0818 -1,4118 -1,5797 -1,6077 -1,5397 -1,4177 -1,2682 -1,0992 -0,9103 -0,7011 -0,4746 -0,2410 -0,0096 0,2289 0,5028 0,8364 1,2287 1,6532 2,0751 2,4707 2,8366 3,1818 3,5099 3,8102 4,0635 4,2485 4,3476 4,3600 4,3118 4,2422 4,1829 4,1446 4,1128 4,0569 3,9479 3,7631 3,4776 3,0749 2,5712 2,0124 1,4396 0,8670 0,2908 -0,2873 -0,8468 -1,3497 -1,7473 -1,9922 -2,0621 -1,9843 -1,8273 -1,6588 -1,5113 -1,3733 -1,2088 -0,9965 -0,7576 -0,5393 -0,3736 -0,2588 -0,1696 -0,0705 0,0746 0,2876 0,5637 0,8733 1,1773 1,4483 1,6834 1,8948 2,0893 2,2590 2,3861 2,4545 2,4583 2,4034 2,3032 2,1738 2,0305 1,8867 1,7522 1,6276 1,4983 1,3419 1,1530 0,9608 0,8147 0,7515 0,7812 0,8993 1,0902 1,3238 1,5681 1,8002 1,9894 2,0756 1,9871 1,6981 1,2641 0,7935 0,3863 0,0957 -0,0757 -0,1570 -0,1847 -0,1969 -0,2279 -0,2882 -0,3505 -0,3648 -0,2887 -0,1022 0,1922 0,5643 0,9565 1,3038 1,5569 1,6966 1,7380 1,7149 1,6587 1,5901 1,5135 1,4132 1,2728 1,1095 0,9767 0,9261 0,9713 1,0869 1,2315 1,3711 1,4857 1,5617 1,5822 1,5307 1,4036 1,2214 1,0264 0,8599 0,7368 0,6509 0,6018 0,6073 0,6833 0,8188 0,9717 1,0909 1,1450 1,1339 1,0785 1,0055 0,9392 0,9057 0,9422 1,0973 1,4152 1,9141 2,5695 3,3096 4,0300 4,6246 5,0221 5,2087 5,2180 5,0968 4,8807 4,5979 4,2920 4,0257 3,8443 3,7357 3,6401 3,4989 3,2925 3,0407 2,7814 2,5469 2,3531 2,2063 2,1120 2,0772 2,1102 2,2199 2,4065 2,6535 2,9302 3,2011 3,4330 3,6050 3,7184 3,7962 3,8772 4,0021 4,1841 4,3953 4,5951 4,7654 4,9171 5,0748 5,2555 5,4534 5,6434 5,7982 5,8994 5,9428 5,9424 5,9284 5,9378 6,0025 6,1424 6,3664 6,6765 7,0674 7,5148 7,9595 8,3173 8,5221 8,5631 8,4738 8,2963 8,0652 7,8118 7,5621 7,3252 7,0907 6,8447 6,5930 6,3628 6,1784 6,0407 5,9315 5,8301 5,7247 5,6112 5,4852 5,3337 5,1354 4,8751 4,5616 4,2273 3,9101 3,6319 3,3817 3,1265 2,8467 2,5554 2,2818 2,0438 1,8416 1,6697 1,5263 1,4197 1,3700 1,3874 1,4452 1,4919 1,4905 1,4424 1,3842 1,3672 1,4273 1,5692 1,7741 2,0116 2,2493 2,4580 2,6129 2,6936 2,6888 2,6008 2,4447 2,2489 2,0560 1,9181 1,8838 1,9798 2,1952 2,4829 2,7796 3,0316 3,2093 3,3033 3,3181 3,2705 3,1852 3,0843 2,9820 2,8823 2,7756 2,6553 2,5486 2,5174 2,6161 2,8451 3,1300 3,3392 3,3472 3,1081 2,6707 2,1302 1,5723 1,0546 0,6167 0,2910 0,0942 0,0095 -0,0138 -0,0326 -0,0816 -0,1665 -0,2698 -0,3619 -0,4120 -0,3934 -0,2929 -0,1195 0,1020 0,3449 0,5850 0,8041 0,9981 1,1803 1,3760 1,6142 1,9157 2,2849 2,7128 3,1831 3,6745
