Fp1   -1,7399 -1,5382 -1,4833 -1,5640 -1,7252 -1,8992 -2,0360 -2,1064 -2,0917 -1,9791 -1,7670 -1,4762 -1,1460 -0,8112 -0,4882 -0,1879 0,0733 0,2835 0,4530 0,6148 0,8046 1,0311 1,2637 1,4594 1,6121 1,7574 1,9167 2,0674 2,1858 2,2845 2,3892 2,5012 2,5909 2,6230 2,5780 2,4373 2,1671 1,7425 1,1781 0,5314 -0,1095 -0,6542 -1,0536 -1,3214 -1,5125 -1,6769 -1,8361 -1,9892 -2,1241 -2,2291 -2,3129 -2,4057 -2,5302 -2,6867 -2,8658 -3,0492 -3,1983 -3,2662 -3,2278 -3,0860 -2,8602 -2,5822 -2,2964 -2,0404 -1,8163 -1,5945 -1,3480 -1,0779 -0,8113 -0,5701 -0,3508 -0,1504 0,0036 0,0691 0,0274 -0,0874 -0,1823 -0,1353 0,1435 0,6459 1,2603 1,8402 2,2666 2,4587 2,3775 2,0461 1,5516 1,0131 0,5456 0,2399 0,1476 0,2624 0,5177 0,8091 1,0337 1,1275 1,0852 0,9644 0,8620 0,8450 0,8839 0,8607 0,6572 0,2325 -0,3733 -1,0696 -1,7361 -2,2509 -2,5397 -2,6171 -2,5846 -2,5860 -2,7411 -3,0946 -3,6101 -4,2023 -4,7716 -5,2373 -5,5651 -5,7656 -5,8660 -5,8904 -5,8579 -5,7847 -5,6903 -5,6089 -5,5815 -5,6181 -5,6636 -5,6133 -5,3713 -4,8996 -4,2249 -3,4215 -2,5898 -1,8278 -1,2002 -0,7175 -0,3243 0,0839 0,5986 1,2352 1,9373 2,6383 3,3070 3,9437 4,5528 5,1177 5,5963 5,9488 6,1791 6,3410 6,5020 6,7061 6,9644 7,2630 7,5766 7,8796 8,1577 8,4220 8,7093 9,0511 9,4257 9,7322 9,8357 9,6597 9,2350 8,6563 8,0084 7,3470 6,7310 6,2312 5,8926 5,7047 5,6115 5,5369 5,4135 5,2117 4,9469 4,6624 4,4032 4,1977 4,0583 3,9880 3,9707 3,9617 3,9075 3,7850 3,6219 3,4834 3,4368 3,5100 3,6656 3,8109 3,8426 3,6989 3,3915 2,9997 2,6221 2,3268 2,1394 2,0465 1,9823 1,8387 1,5356 1,0853 0,5744 0,0949 -0,3071 -0,6410 -0,9489 -1,2723 -1,6303 -2,0112 -2,3774 -2,6889 -2,9197 -3,0570 -3,1075 -3,1098 -3,1163 -3,1644 -3,2706 -3,4245 -3,5615 -3,5624 -3,3149 -2,7907 -2,0682 -1,2860 -0,5885 -0,0905 0,1587 0,1957 0,1192 0,0454 0,0718 0,2501 0,5802 1,0215 1,5040 1,9475 2,2923 2,5229 2,6678 2,7730 2,8726 2,9894 3,1531 3,4029 3,7616 4,2047 4,6715 5,1133 5,5115 5,8585 6,1474 6,3777 6,5518 6,6716 6,7347 6,7213 6,5863 6,2792 5,7803 5,1303 4,4286 3,7960 3,3309 3,0810 3,0335 3,1258 3,2851 3,4638 3,6434 3,8237 4,0153 4,2301 4,4662 4,6963 4,8664 4,9115 4,7898 4,5124 4,1396 3,7390 3,3459 2,9689 2,6289 2,3807 2,2864 2,3667 2,5856 2,8776 3,1799 3,4407 3,6080 3,6272 3,4728 3,1818 2,8399 2,5295 2,2966 2,1602 2,1322 2,2224 2,4326 2,7442 3,1094 3,4558 3,7062 3,8092 3,7681 3,6480 3,5450 3,5338 3,6335 3,8176 4,0544 4,3320 4,6410 4,9431 5,1703 5,2654 5,2289 5,1195 5,0039 4,9020 4,7860 4,6249 4,4224 4,2101 4,0249 3,9085 3,9142 4,0915 4,4546 4,9652 5,5368 6,0618 6,4506 6,6694 6,7539 6,7785 6,8020 6,8387 6,8719 6,8825 6,8643 6,8313 6,8207 6,8845 7,0658 7,3728 7,7560 8,1170 8,3660 8,4816 8,5207 8,5814 8,7468 9,0385 9,4069 9,7595 10,0124 10,1256 10,0891 9,9037 9,5982 9,2330 8,8675 8,5419 8,2877 8,1164 7,9905 7,8470 7,6698 7,5193 7,4883 7,6426 7,9906 8,4839 9,0448 9,6024 10,1109 10,5397 10,8492 10,9822 10,8847 10,5415 9,9985 9,3608 8,7580 8,2843 7,9593 7,7435 7,5778 7,4035 7,1753 6,8863 6,5841 6,3494 6,2509 6,3122 6,5013 6,7384 6,9357 7,0462 7,0778 7,0706 7,0694 7,1047 7,1928 7,3538 7,6174 7,9973 8,4590 8,9166 9,2760 9,4942 9,5970 9,6463 9,7029 9,8039 9,9516 10,1189 10,2676 10,3549 10,3350 10,1726 9,8625 9,4390 8,9639 8,5036 8,1141 7,8396 7,7067 7,7151 7,8340 8,0025 8,1351 8,1431 7,9715 7,6268 7,1711 6,6928 6,2751 5,9675 5,7775 5,6897 5,6833 5,7386 5,8491 6,0255 6,2745 6,5859 6,9480 7,3556 7,7925 8,2157 8,5741 8,8366 8,9899 9,0262 8,9565 8,8274 8,7042 8,6323 8,6206 8,6548 8,7092 8,7478 8,7375 8,6599 8,5016 8,2482 7,8953 7,4436 6,8796 6,1791 5,3289 4,3381 3,2405 2,0937 0,9710 -0,0556 -0,9350 -1,6567 -2,2540 -2,7857 -3,3194 -3,9069 -4,5485 -5,1804 -5,7081 -6,0610 -6,2247 -6,2331 -6,1524 -6,0643 -6,0344 -6,0753 -6,1455 -6,1834 -6,1412 -6,0006 -5,7656 -5,4479 -5,0641 -4,6322 -4,1559 -3,6204 -3,0174 -2,3627 -1,6938 -1,0639 -0,5275 -0,1095 0,2240 0,5581 0,9841 1,5462 2,2214 2,9463 3,6568 4,3077 4,8726 5,3365 5,6907 5,9412 6,1147 6,2489 6,3702 6,4761 6,5300 6,4724 6,2514 5,8491 5,2910 4,6342 3,9397 3,2580 2,6367 2,1190 1,7188 1,4099 1,1529 0,9284 0,7455 0,6203 0,5354 0,4167 0,1540 -0,3447 -1,1046 -2,0698 -3,1280 -4,1587 -5,0745 -5,8279 -6,4003 -6,8022 -7,0718 -7,2573 -7,4012 -7,5367 -7,6786 -7,8104 -7,8972 -7,9171 -7,8825 -7,8372 -7,8265 -7,8661 -7,9471 -8,0561 -8,1775 -8,2899 -8,3732 -8,4123 -8,3952 -8,3177 -8,1976 -8,0719 -7,9789 -7,9455 -7,9778 -8,0557 -8,1444 -8,2161 -8,2540 -8,2377 -8,1495 -8,0045 -7,8602 -7,7882 -7,8318 -7,9722 -8,1326 -8,2301
Fz    0,3023 0,4935 0,5862 0,5794 0,5096 0,4229 0,3542 0,3258 0,3513 0,4310 0,5485 0,6760 0,7838 0,8500 0,8663 0,8377 0,7746 0,6853 0,5715 0,4330 0,2723 0,0941 -0,0998 -0,3021 -0,4855 -0,6082 -0,6397 -0,5742 -0,4198 -0,1903 0,0865 0,3637 0,5885 0,7268 0,7736 0,7418 0,6473 0,5035 0,3214 0,1105 -0,1187 -0,3561 -0,5991 -0,8566 -1,1432 -1,4636 -1,7996 -2,1113 -2,3526 -2,4925 -2,5330 -2,5027 -2,4302 -2,3312 -2,2168 -2,1011 -1,9950 -1,9042 -1,8362 -1,7963 -1,7757 -1,7556 -1,7265 -1,6970 -1,6852 -1,7062 -1,7643 -1,8526 -1,9575 -2,0580 -2,1272 -2,1461 -2,1136 -2,0390 -1,9312 -1,7930 -1,6209 -1,4135 -1,1820 -0,9540 -0,7592 -0,6066 -0,4834 -0,3759 -0,2832 -0,2124 -0,1656 -0,1342 -0,1035 -0,0548 0,0378 0,2056 0,4656 0,7998 1,1523 1,4518 1,6449 1,7204 1,7017 1,6180 1,4832 1,2988 1,0672 0,7987 0,5075 0,2139 -0,0460 -0,2261 -0,2974 -0,2727 -0,2086 -0,1816 -0,2532 -0,4483 -0,7600 -1,1615 -1,6074 -2,0405 -2,4123 -2,6965 -2,8806 -2,9555 -2,9205 -2,7915 -2,5992 -2,3817 -2,1731 -1,9829 -1,7817 -1,5185 -1,1621 -0,7267 -0,2610 0,1812 0,5670 0,8995 1,2123 1,5451 1,9244 2,3590 2,8375 3,3263 3,7846 4,1890 4,5413 4,8542 5,1362 5,3874 5,6048 5,7923 5,9654 6,1431 6,3369 6,5453 6,7566 6,9576 7,1450 7,3272 7,5173 7,7270 7,9579 8,1876 8,3671 8,4359 8,3477 8,0926 7,7024 7,2325 6,7376 6,2619 5,8425 5,5074 5,2663 5,1088 5,0120 4,9476 4,8902 4,8279 4,7682 4,7340 4,7510 4,8303 4,9610 5,1183 5,2709 5,3792 5,3994 5,3037 5,0991 4,8280 4,5450 4,2847 4,0446 3,7964 3,5172 3,2149 2,9294 2,7111 2,5902 2,5615 2,5933 2,6476 2,6871 2,6745 2,5870 2,4327 2,2447 2,0567 1,8827 1,7153 1,5362 1,3243 1,0587 0,7318 0,3636 -0,0082 -0,3512 -0,6484 -0,8957 -1,0984 -1,2644 -1,3998 -1,5103 -1,5956 -1,6373 -1,6070 -1,4933 -1,3159 -1,1085 -0,8970 -0,6999 -0,5312 -0,3896 -0,2475 -0,0631 0,1949 0,5288 0,9100 1,2908 1,6207 1,8629 2,0019 2,0365 1,9727 1,8309 1,6488 1,4651 1,3059 1,1962 1,1735 1,2740 1,5062 1,8450 2,2503 2,6816 3,0937 3,4357 3,6666 3,7771 3,7974 3,7768 3,7544 3,7463 3,7498 3,7513 3,7352 3,6903 3,6111 3,5013 3,3777 3,2627 3,1713 3,1091 3,0794 3,0791 3,0879 3,0719 3,0013 2,8590 2,6383 2,3386 1,9696 1,5598 1,1592 0,8293 0,6181 0,5348 0,5522 0,6326 0,7466 0,8689 0,9715 1,0283 1,0276 0,9782 0,9045 0,8341 0,7848 0,7596 0,7490 0,7427 0,7403 0,7476 0,7707 0,8210 0,9183 1,0784 1,2956 1,5373 1,7580 1,9239 2,0299 2,0967 2,1508 2,2059 2,2618 2,3163 2,3700 2,4227 2,4714 2,5076 2,5170 2,4829 2,3962 2,2678 2,1307 2,0237 1,9722 1,9843 2,0608 2,1974 2,3801 2,5867 2,7940 2,9798 3,1206 3,1945 3,1899 3,1121 2,9813 2,8278 2,6822 2,5638 2,4709 2,3865 2,2994 2,2219 2,1777 2,1825 2,2409 2,3492 2,4912 2,6355 2,7472 2,8080 2,8284 2,8394 2,8669 2,9114 2,9547 2,9831 3,0008 3,0190 3,0414 3,0666 3,0968 3,1338 3,1683 3,1826 3,1602 3,0945 2,9941 2,8836 2,7915 2,7339 2,7106 2,7156 2,7466 2,8074 2,9072 3,0528 3,2363 3,4280 3,5858 3,6731 3,6699 3,5748 3,4030 3,1838 2,9572 2,7607 2,6106 2,4951 2,3920 2,2904 2,1982 2,1281 2,0768 2,0219 1,9434 1,8422 1,7388 1,6599 1,6287 1,6597 1,7508 1,8801 2,0150 2,1236 2,1841 2,1909 2,1548 2,0937 2,0266 1,9790 1,9833 2,0595 2,1948 2,3542 2,5106 2,6558 2,7863 2,8957 2,9845 3,0638 3,1426 3,2164 3,2691 3,2829 3,2482 3,1705 3,0684 2,9616 2,8640 2,7893 2,7559 2,7820 2,8744 3,0205 3,1876 3,3309 3,4141 3,4313 3,4107 3,3911 3,3933 3,4100 3,4099 3,3541 3,2249 3,0422 2,8518 2,6993 2,6131 2,6012 2,6504 2,7302 2,8070 2,8632 2,9033 2,9405 2,9803 3,0144 3,0262 3,0045 2,9502 2,8688 2,7656 2,6496 2,5332 2,4226 2,3077 2,1695 1,9949 1,7827 1,5415 1,2886 1,0469 0,8364 0,6658 0,5277 0,4024 0,2650 0,0874 -0,1607 -0,5000 -0,9240 -1,3931 -1,8562 -2,2813 -2,6677 -3,0284 -3,3688 -3,6828 -3,9587 -4,1852 -4,3537 -4,4607 -4,5110 -4,5181 -4,4938 -4,4397 -4,3513 -4,2276 -4,0773 -3,9131 -3,7368 -3,5372 -3,3051 -3,0429 -2,7579 -2,4538 -2,1317 -1,7899 -1,4256 -1,0417 -0,6477 -0,2514 0,1488 0,5609 0,9929 1,4473 1,9208 2,4033 2,8749 3,3058 3,6754 3,9880 4,2643 4,5195 4,7565 4,9685 5,1482 5,2957 5,4139 5,4939 5,5142 5,4575 5,3271 5,1448 4,9338 4,7068 4,4686 4,2229 3,9776 3,7469 3,5480 3,3891 3,2618 3,1445 3,0062 2,8055 2,4970 2,0507 1,4737 0,8158 0,1493 -0,4651 -0,9997 -1,4532 -1,8377 -2,1784 -2,5149 -2,8831 -3,2943 -3,7349 -4,1803 -4,5995 -4,9560 -5,2236 -5,4086 -5,5438 -5,6579 -5,7591 -5,8515 -5,9524 -6,0879 -6,2799 -6,5377 -6,8535 -7,2080 -7,5865 -7,9817 -8,3783 -8,7435 -9,0414 -9,2551 -9,3972 -9,5001 -9,5945 -9,6845 -9,7337 -9,6843 -9,5034 -9,2143 -8,8835 -8,5810 -8,3497 -8,1966 -8,1034
F3    -1,2905 -1,1648 -0,9591 -0,7276 -0,5132 -0,3421 -0,2294 -0,1813 -0,1856 -0,2012 -0,1704 -0,0495 0,1657 0,4416 0,7285 0,9785 1,1501 1,2129 1,1594 1,0138 0,8242 0,6390 0,4833 0,3567 0,2483 0,1527 0,0766 0,0387 0,0601 0,1477 0,2851 0,4370 0,5650 0,6485 0,6960 0,7287 0,7525 0,7486 0,6877 0,5515 0,3459 0,0940 -0,1824 -0,4733 -0,7806 -1,1117 -1,4664 -1,8251 -2,1515 -2,4126 -2,5972 -2,7148 -2,7809 -2,8087 -2,8069 -2,7699 -2,6752 -2,5069 -2,2805 -2,0373 -1,8203 -1,6608 -1,5747 -1,5593 -1,5940 -1,6489 -1,6902 -1,6872 -1,6218 -1,4883 -1,2899 -1,0428 -0,7732 -0,5048 -0,2512 -0,0204 0,1775 0,3298 0,4288 0,4775 0,4869 0,4722 0,4513 0,4396 0,4426 0,4517 0,4509 0,4290 0,3867 0,3369 0,3039 0,3187 0,4027 0,5469 0,7111 0,8416 0,8927 0,8462 0,7228 0,5679 0,4200 0,2899 0,1674 0,0355 -0,1213 -0,3117 -0,5302 -0,7574 -0,9701 -1,1501 -1,2924 -1,4083 -1,5171 -1,6360 -1,7822 -1,9757 -2,2289 -2,5378 -2,8831 -3,2336 -3,5488 -3,7887 -3,9274 -3,9541 -3,8655 -3,6669 -3,3808 -3,0437 -2,6849 -2,3182 -1,9558 -1,6162 -1,3138 -1,0446 -0,7847 -0,5005 -0,1680 0,2152 0,6320 1,0590 1,4784 1,8840 2,2815 2,6836 3,1003 3,5317 3,9696 4,4019 4,8132 5,1835 5,4944 5,7419 5,9439 6,1330 6,3410 6,5830 6,8466 7,0936 7,2824 7,3967 7,4511 7,4705 7,4702 7,4497 7,3999 7,3174 7,2066 7,0630 6,8639 6,5807 6,2027 5,7484 5,2620 4,7963 4,3914 4,0619 3,8084 3,6339 3,5479 3,5534 3,6318 3,7428 3,8413 3,8918 3,8687 3,7572 3,5578 3,2910 2,9975 2,7252 2,5110 2,3702 2,2923 2,2460 2,1915 2,0968 1,9516 1,7657 1,5555 1,3375 1,1352 0,9792 0,8864 0,8411 0,8047 0,7431 0,6419 0,5063 0,3515 0,1904 0,0272 -0,1414 -0,3243 -0,5315 -0,7686 -1,0350 -1,3224 -1,6142 -1,8933 -2,1439 -2,3410 -2,4516 -2,4518 -2,3395 -2,1301 -1,8544 -1,5612 -1,3058 -1,1164 -0,9734 -0,8294 -0,6477 -0,4159 -0,1341 0,1957 0,5709 0,9761 1,3679 1,6831 1,8723 1,9268 1,8787 1,7788 1,6703 1,5800 1,5234 1,5042 1,5141 1,5503 1,6279 1,7628 1,9475 2,1577 2,3818 2,6255 2,8830 3,1188 3,2837 3,3423 3,2898 3,1527 2,9827 2,8438 2,7876 2,8301 2,9521 3,1097 3,2443 3,3044 3,2725 3,1670 3,0216 2,8691 2,7343 2,6271 2,5436 2,4777 2,4331 2,4190 2,4318 2,4436 2,4168 2,3340 2,2101 2,0768 1,9570 1,8573 1,7803 1,7372 1,7407 1,7869 1,8473 1,8805 1,8481 1,7261 1,5172 1,2523 0,9765 0,7381 0,5822 0,5416 0,6235 0,8008 1,0205 1,2285 1,3916 1,5051 1,5852 1,6500 1,7085 1,7707 1,8564 1,9833 2,1448 2,3086 2,4360 2,5042 2,5135 2,4843 2,4501 2,4403 2,4578 2,4715 2,4366 2,3265 2,1522 1,9536 1,7752 1,6525 1,6091 1,6528 1,7703 1,9337 2,1149 2,2913 2,4428 2,5536 2,6159 2,6296 2,5981 2,5283 2,4354 2,3452 2,2809 2,2446 2,2231 2,2100 2,2160 2,2590 2,3539 2,5066 2,7067 2,9253 3,1264 3,2881 3,4183 3,5497 3,7081 3,8820 4,0287 4,1099 4,1165 4,0630 3,9708 3,8659 3,7807 3,7371 3,7304 3,7431 3,7670 3,8065 3,8663 3,9425 4,0176 4,0646 4,0635 4,0187 3,9566 3,9085 3,8997 3,9443 4,0348 4,1399 4,2193 4,2395 4,1794 4,0381 3,8375 3,6133 3,4036 3,2422 3,1454 3,1004 3,0759 3,0511 3,0312 3,0341 3,0589 3,0749 3,0408 2,9342 2,7644 2,5626 2,3603 2,1740 2,0108 1,8843 1,8217 1,8501 1,9762 2,1746 2,3956 2,5866 2,7171 2,7939 2,8526 2,9259 3,0172 3,1126 3,2093 3,3202 3,4514 3,5909 3,7218 3,8341 3,9203 3,9677 3,9597 3,8877 3,7613 3,6072 3,4538 3,3158 3,1937 3,0870 3,0056 2,9658 2,9743 3,0177 3,0671 3,0947 3,0897 3,0627 3,0313 3,0038 2,9763 2,9431 2,8992 2,8407 2,7681 2,6871 2,6015 2,5107 2,4168 2,3304 2,2673 2,2427 2,2675 2,3455 2,4656 2,6002 2,7210 2,8150 2,8841 2,9367 2,9791 3,0150 3,0552 3,1194 3,2216 3,3517 3,4732 3,5390 3,5152 3,3903 3,1710 2,8759 2,5261 2,1325 1,6903 1,1911 0,6403 0,0608 -0,5204 -1,0848 -1,6211 -2,1136 -2,5398 -2,8829 -3,1428 -3,3324 -3,4683 -3,5682 -3,6558 -3,7593 -3,9016 -4,0872 -4,2924 -4,4692 -4,5651 -4,5473 -4,4184 -4,2161 -3,9951 -3,8031 -3,6595 -3,5554 -3,4750 -3,4089 -3,3470 -3,2697 -3,1535 -2,9783 -2,7248 -2,3759 -1,9333 -1,4270 -0,8978 -0,3712 0,1489 0,6705 1,2048 1,7591 2,3274 2,8846 3,3926 3,8146 4,1219 4,2966 4,3384 4,2692 4,1271 3,9578 3,8106 3,7245 3,7092 3,7446 3,8038 3,8738 3,9518 4,0259 4,0699 4,0602 3,9920 3,8757 3,7218 3,5258 3,2652 2,9122 2,4553 1,9106 1,3170 0,7198 0,1551 -0,3570 -0,8086 -1,2011 -1,5483 -1,8827 -2,2471 -2,6688 -3,1407 -3,6269 -4,0813 -4,4651 -4,7593 -4,9674 -5,1067 -5,1925 -5,2323 -5,2342 -5,2158 -5,2032 -5,2249 -5,3074 -5,4664 -5,6962 -5,9711 -6,2554 -6,5163 -6,7378 -6,9272 -7,1035 -7,2726 -7,4172 -7,5160 -7,5705 -7,6093 -7,6721 -7,7837 -7,9314 -8,0628 -8,1123 -8,0406 -7,8598 -7,6285 -7,4156 -7,2534 -7,1166 -6,9536
F7    -0,7723 -0,6359 -0,5819 -0,5961 -0,6364 -0,6562 -0,6281 -0,5505 -0,4395 -0,3162 -0,1996 -0,1066 -0,0483 -0,0220 -0,0103 0,0083 0,0473 0,1085 0,1856 0,2769 0,3897 0,5272 0,6722 0,7993 0,9074 1,0262 1,1782 1,3483 1,4984 1,5979 1,6331 1,6003 1,5019 1,3527 1,1787 0,9927 0,7768 0,4996 0,1479 -0,2561 -0,6591 -1,0002 -1,2437 -1,3940 -1,4831 -1,5424 -1,5873 -1,6205 -1,6372 -1,6316 -1,6114 -1,5981 -1,6070 -1,6377 -1,6866 -1,7525 -1,8256 -1,8870 -1,9205 -1,9174 -1,8737 -1,7911 -1,6817 -1,5642 -1,4514 -1,3455 -1,2432 -1,1406 -1,0349 -0,9219 -0,7991 -0,6776 -0,5877 -0,5623 -0,6161 -0,7307 -0,8477 -0,8805 -0,7562 -0,4694 -0,0912 0,2824 0,5752 0,7337 0,7239 0,5484 0,2559 -0,0791 -0,3869 -0,6208 -0,7600 -0,8085 -0,7915 -0,7448 -0,7000 -0,6710 -0,6501 -0,6150 -0,5410 -0,4221 -0,2894 -0,2093 -0,2483 -0,4333 -0,7407 -1,1114 -1,4646 -1,7165 -1,8147 -1,7679 -1,6446 -1,5419 -1,5402 -1,6664 -1,8916 -2,1603 -2,4171 -2,6213 -2,7593 -2,8502 -2,9306 -3,0320 -3,1637 -3,3086 -3,4402 -3,5479 -3,6372 -3,7052 -3,7255 -3,6638 -3,5017 -3,2395 -2,8880 -2,4702 -2,0270 -1,6042 -1,2332 -0,9218 -0,6517 -0,3810 -0,0696 0,2929 0,6904 1,1068 1,5397 1,9949 2,4717 2,9476 3,3748 3,7045 3,9190 4,0439 4,1301 4,2272 4,3648 4,5472 4,7577 4,9672 5,1499 5,3016 5,4417 5,5919 5,7475 5,8669 5,8914 5,7841 5,5545 5,2474 4,9134 4,5988 4,3522 4,2123 4,1761 4,1978 4,2272 4,2392 4,2284 4,1919 4,1204 4,0006 3,8228 3,5908 3,3285 3,0753 2,8655 2,7051 2,5707 2,4347 2,2898 2,1544 2,0556 2,0047 1,9819 1,9410 1,8336 1,6404 1,3850 1,1233 0,9126 0,7802 0,7212 0,7175 0,7379 0,7273 0,6287 0,4278 0,1610 -0,1174 -0,3694 -0,5865 -0,7885 -1,0108 -1,2840 -1,6129 -1,9707 -2,3130 -2,5911 -2,7559 -2,7770 -2,6695 -2,4904 -2,3088 -2,1816 -2,1326 -2,1304 -2,0941 -1,9451 -1,6600 -1,2768 -0,8647 -0,4976 -0,2367 -0,1047 -0,0732 -0,0819 -0,0710 -0,0013 0,1422 0,3558 0,6206 0,9042 1,1696 1,3897 1,5578 1,6877 1,8016 1,9150 2,0374 2,1791 2,3473 2,5357 2,7222 2,8843 3,0177 3,1322 3,2329 3,3141 3,3692 3,4032 3,4330 3,4665 3,4805 3,4226 3,2410 2,9189 2,4892 2,0213 1,5947 1,2791 1,1236 1,1491 1,3435 1,6664 2,0596 2,4542 2,7838 3,0055 3,1118 3,1241 3,0701 2,9621 2,7941 2,5630 2,2900 2,0191 1,7917 1,6183 1,4808 1,3613 1,2637 1,2083 1,2099 1,2695 1,3841 1,5498 1,7495 1,9386 2,0530 2,0481 1,9306 1,7491 1,5580 1,3928 1,2690 1,1928 1,1671 1,1916 1,2597 1,3528 1,4348 1,4568 1,3799 1,2033 0,9725 0,7580 0,6244 0,6088 0,7177 0,9351 1,2286 1,5515 1,8453 2,0529 2,1400 2,1140 2,0176 1,8950 1,7612 1,6063 1,4271 1,2450 1,0975 1,0220 1,0476 1,1891 1,4398 1,7696 2,1306 2,4651 2,7174 2,8544 2,8862 2,8657 2,8583 2,9026 2,9922 3,0893 3,1520 3,1569 3,1107 3,0422 2,9855 2,9694 3,0117 3,1062 3,2167 3,2970 3,3252 3,3216 3,3385 3,4321 3,6326 3,9275 4,2649 4,5794 4,8197 4,9545 4,9732 4,8958 4,7657 4,6223 4,4866 4,3690 4,2702 4,1690 4,0312 3,8461 3,6477 3,4931 3,4296 3,4750 3,6145 3,8112 4,0262 4,2340 4,4178 4,5539 4,6056 4,5356 4,3328 4,0299 3,6954 3,4027 3,1907 3,0490 2,9368 2,8138 2,6563 2,4607 2,2487 2,0663 1,9682 1,9910 2,1365 2,3686 2,6267 2,8506 3,0012 3,0630 3,0386 2,9472 2,8214 2,7059 2,6569 2,7284 2,9406 3,2541 3,5747 3,8016 3,8840 3,8390 3,7249 3,6065 3,5347 3,5418 3,6451 3,8429 4,0970 4,3301 4,4555 4,4186 4,2204 3,9125 3,5717 3,2713 3,0595 2,9514 2,9388 3,0036 3,1139 3,2103 3,2187 3,0938 2,8485 2,5398 2,2360 1,9931 1,8397 1,7733 1,7693 1,7984 1,8445 1,9150 2,0310 2,2009 2,4046 2,6051 2,7698 2,8818 2,9388 2,9500 2,9283 2,8815 2,8141 2,7417 2,6975 2,7157 2,8084 2,9613 3,1489 3,3435 3,5124 3,6247 3,6677 3,6459 3,5648 3,4206 3,1986 2,8809 2,4631 1,9576 1,3818 0,7505 0,0834 -0,5862 -1,2113 -1,7480 -2,1765 -2,5103 -2,7882 -3,0615 -3,3730 -3,7281 -4,0823 -4,3633 -4,5148 -4,5269 -4,4351 -4,3027 -4,1919 -4,1326 -4,1099 -4,0819 -4,0088 -3,8686 -3,6551 -3,3713 -3,0282 -2,6489 -2,2652 -1,8979 -1,5446 -1,1898 -0,8273 -0,4730 -0,1608 0,0770 0,2333 0,3352 0,4306 0,5634 0,7537 0,9977 1,2842 1,6052 1,9485 2,2924 2,6151 2,9025 3,1481 3,3502 3,5115 3,6327 3,7061 3,7135 3,6317 3,4464 3,1627 2,8021 2,3943 1,9699 1,5582 1,1928 0,9058 0,7073 0,5759 0,4802 0,4037 0,3545 0,3506 0,3922 0,4422 0,4322 0,2920 -0,0124 -0,4582 -0,9832 -1,5261 -2,0528 -2,5451 -2,9821 -3,3459 -3,6365 -3,8714 -4,0757 -4,2715 -4,4660 -4,6457 -4,7886 -4,8838 -4,9409 -4,9868 -5,0498 -5,1418 -5,2534 -5,3652 -5,4600 -5,5300 -5,5782 -5,6097 -5,6230 -5,6184 -5,6099 -5,6196 -5,6621 -5,7406 -5,8483 -5,9723 -6,0980 -6,2111 -6,2913 -6,3086 -6,2392 -6,0935 -5,9205 -5,7790 -5,7042 -5,6939 -5,7178 -5,7421
