Fp1   -1,7737 -1,6156 -1,4166 -1,1962 -0,9779 -0,7808 -0,6171 -0,4921 -0,4046 -0,3489 -0,3183 -0,3036 -0,2946 -0,2858 -0,2772 -0,2682 -0,2510 -0,2129 -0,1466 -0,0584 0,0364 0,1256 0,2054 0,2796 0,3577 0,4529 0,5763 0,7246 0,8770 1,0019 1,0663 1,0463 0,9350 0,7481 0,5171 0,2767 0,0577 -0,1120 -0,2113 -0,2330 -0,1863 -0,0946 0,0138 0,1208 0,2252 0,3355 0,4616 0,6134 0,7998 1,0227 1,2727 1,5305 1,7743 1,9887 2,1682 2,3098 2,4081 2,4581 2,4601 2,4237 2,3647 2,2985 2,2362 2,1868 2,1560 2,1416 2,1347 2,1306 2,1327 2,1469 2,1770 2,2224 2,2749 2,3213 2,3454 2,3274 2,2529 2,1265 1,9689 1,8039 1,6552 1,5454 1,4894 1,4910 1,5463 1,6471 1,7777 1,9157 2,0465 2,1783 2,3386 2,5582 2,8530 3,2196 3,6406 4,0886 4,5294 4,9305 5,2706 5,5459 5,7702 5,9638 6,1387 6,2905 6,4018 6,4512 6,4227 6,3094 6,1136 5,8466 5,5223 5,1512 4,7407 4,2967 3,8221 3,3166 2,7836 2,2401 1,7191 1,2576 0,8772 0,5761 0,3402 0,1636 0,0538 0,0204 0,0599 0,1557 0,2862 0,4375 0,6124 0,8272 1,0989 1,4369 1,8451 2,3283 2,8922 3,5366 4,2441 4,9800 5,7014 6,3662 6,9411 7,4102 7,7799 8,0708 8,3005 8,4752 8,5923 8,6481 8,6436 8,5870 8,4882 8,3571 8,2076 8,0610 7,9395 7,8541 7,7992 7,7627 7,7345 7,7059 7,6654 7,5985 7,4944 7,3543 7,1982 7,0631 6,9869 6,9874 7,0577 7,1834 7,3556 7,5661 7,7974 8,0245 8,2217 8,3642 8,4351 8,4364 8,3938 8,3400 8,2858 8,2123 8,0921 7,9185 7,7133 7,5142 7,3541 7,2442 7,1709 7,1075 7,0294 6,9193 6,7663 6,5686 6,3361 6,0898 5,8550 5,6527 5,4903 5,3572 5,2318 5,0991 4,9576 4,8116 4,6563 4,4734 4,2449 3,9757 3,6975 3,4471 3,2433 3,0803 2,9372 2,7920 2,6303 2,4471 2,2449 2,0320 1,8155 1,5951 1,3672 1,1319 0,8909 0,6409 0,3763 0,0953 -0,1957 -0,4768 -0,7172 -0,8893 -0,9803 -0,9914 -0,9341 -0,8302 -0,7047 -0,5716 -0,4275 -0,2593 -0,0559 0,1774 0,4123 0,6073 0,7276 0,7604 0,7149 0,6141 0,4846 0,3528 0,2369 0,1389 0,0479 -0,0456 -0,1430 -0,2394 -0,3200 -0,3588 -0,3285 -0,2136 -0,0146 0,2470 0,5237 0,7494 0,8669 0,8582 0,7523 0,6075 0,4816 0,4071 0,3848 0,3997 0,4385 0,4967 0,5752 0,6707 0,7655 0,8355 0,8672 0,8655 0,8469 0,8319 0,8365 0,8657 0,9144 0,9762 1,0525 1,1543 1,2966 1,4854 1,7076 1,9380 2,1567 2,3613 2,5649 2,7833 3,0239 3,2842 3,5546 3,8221 4,0726 4,2893 4,4496 4,5317 4,5262 4,4412 4,2988 4,1301 3,9730 3,8635 3,8194 3,8367 3,9004 3,9960 4,1103 4,2268 4,3227 4,3727 4,3582 4,2766 4,1430 3,9823 3,8234 3,6954 3,6177 3,5927 3,6103 3,6610 3,7416 3,8496 3,9788 4,1185 4,2474 4,3340 4,3508 4,2849 4,1390 3,9336 3,7094 3,5126 3,3714 3,2820 3,2139 3,1321 3,0174 2,8703 2,7075 2,5549 2,4392 2,3781 2,3752 2,4196 2,4883 2,5566 2,6113 2,6575 2,7036 2,7447 2,7606 2,7241 2,6147 2,4342 2,2096 1,9750 1,7590 1,5876 1,4829 1,4524 1,4861 1,5629 1,6610 1,7691 1,8902 2,0362 2,2181 2,4426 2,7108 3,0191 3,3629 3,7401 4,1485 4,5801 5,0146 5,4204 5,7634 6,0135 6,1449 6,1408 6,0066 5,7714 5,4722 5,1410 4,8042 4,4867 4,2086 3,9757 3,7768 3,6001 3,4520 3,3560 3,3358 3,3960 3,5196 3,6827 3,8681 4,0636 4,2630 4,4695 4,6857 4,9020 5,1005 5,2640 5,3800 5,4419 5,4469 5,3887 5,2581 5,0569 4,8058 4,5330 4,2590 3,9940 3,7464 3,5328 3,3754 3,2873 3,2608 3,2703 3,2807 3,2567 3,1779 3,0485 2,8894 2,7219 2,5577 2,4024 2,2633 2,1518 2,0770 2,0386 2,0258 2,0270 2,0384 2,0590 2,0799 2,0802 2,0349 1,9306 1,7737 1,5860 1,3936 1,2172 1,0607 0,9098 0,7493 0,5827 0,4330 0,3302 0,3005 0,3598 0,5055 0,7113 0,9310 1,1171 1,2408 1,3006 1,3142 1,3047 1,2907 1,2800 1,2707 1,2619 1,2614 1,2789 1,3135 1,3508 1,3702 1,3556 1,3052 1,2284 1,1334 1,0225 0,8989 0,7715 0,6494 0,5317 0,4045 0,2514 0,0702 -0,1183 -0,2830 -0,4074 -0,5034 -0,6017 -0,7320 -0,9086 -1,1217 -1,3333 -1,4912 -1,5584 -1,5341 -1,4463 -1,3286 -1,2028 -1,0716 -0,9210 -0,7272 -0,4666 -0,1248 0,3011 0,8029 1,3584 1,9328 2,4871 2,9851 3,3952 3,6973 3,8905 3,9921 4,0289 4,0269 4,0009 3,9491 3,8590 3,7237 3,5516 3,3634 3,1843 3,0370 2,9314 2,8581 2,7921 2,7070 2,5900 2,4480 2,3000 2,1614 2,0350 1,9151 1,7957 1,6786 1,5737 1,4922 1,4371 1,4034 1,3843 1,3756 1,3783 1,3994 1,4463 1,5169 1,5905 1,6295 1,5963 1,4755 1,2823 1,0513 0,8145 0,5925 0,4003 0,2525 0,1584 0,1135 0,0965 0,0798 0,0451 -0,0120 -0,0907 -0,1887 -0,3018 -0,4275 -0,5708 -0,7400 -0,9362 -1,1540 -1,3915 -1,6496 -1,9250 -2,2065 -2,4767 -2,7162 -2,9096 -3,0528 -3,1579 -3,2534 -3,3739 -3,5429 -3,7604 -4,0052 -4,2500 -4,4715 -4,6530 -4,7863 -4,8792 -4,9552 -5,0385 -5,1398 -5,2563 -5,3728 -5,4631
Fz    -1,0898 -0,8711 -0,6179 -0,3475 -0,0849 0,1412 0,3068 0,4000 0,4205 0,3724 0,2628 0,1061 -0,0778 -0,2687 -0,4478 -0,5985 -0,7075 -0,7682 -0,7844 -0,7703 -0,7409 -0,7054 -0,6674 -0,6236 -0,5620 -0,4607 -0,2954 -0,0573 0,2358 0,5421 0,8076 0,9835 1,0440 0,9940 0,8583 0,6656 0,4463 0,2372 0,0751 -0,0158 -0,0315 0,0109 0,0805 0,1495 0,2044 0,2487 0,3021 0,3932 0,5449 0,7609 1,0197 1,2825 1,5157 1,7111 1,8861 2,0650 2,2591 2,4578 2,6346 2,7653 2,8406 2,8647 2,8497 2,8151 2,7790 2,7460 2,7094 2,6668 2,6249 2,5896 2,5566 2,5136 2,4468 2,3474 2,2109 2,0336 1,8191 1,5895 1,3797 1,2238 1,1497 1,1739 1,2905 1,4728 1,6922 1,9303 2,1665 2,3650 2,4905 2,5437 2,5755 2,6636 2,8717 3,2245 3,7094 4,2860 4,8974 5,4878 6,0187 6,4755 6,8622 7,1926 7,4817 7,7381 7,9567 8,1162 8,1829 8,1210 7,9105 7,5643 7,1223 6,6245 6,0928 5,5355 4,9575 4,3647 3,7655 3,1743 2,6150 2,1148 1,6898 1,3372 1,0454 0,8125 0,6479 0,5579 0,5400 0,5851 0,6783 0,8005 0,9386 1,0973 1,2999 1,5825 1,9813 2,5180 3,1912 3,9779 4,8418 5,7430 6,6451 7,5131 8,3118 9,0139 9,6054 10,0828 10,4443 10,6885 10,8203 10,8577 10,8338 10,7856 10,7346 10,6797 10,6117 10,5323 10,4579 10,4073 10,3867 10,3881 10,3959 10,3924 10,3646 10,3081 10,2261 10,1222 9,9979 9,8599 9,7269 9,6251 9,5804 9,6154 9,7436 9,9561 10,2160 10,4717 10,6709 10,7639 10,7127 10,5175 10,2316 9,9364 9,6913 9,5088 9,3751 9,2811 9,2292 9,2161 9,2199 9,2057 9,1407 9,0079 8,8096 8,5632 8,2934 8,0254 7,7779 7,5576 7,3583 7,1678 6,9748 6,7697 6,5476 6,3173 6,1012 5,9210 5,7766 5,6393 5,4745 5,2761 5,0723 4,8945 4,7494 4,6185 4,4759 4,3026 4,0874 3,8232 3,5021 3,1163 2,6641 2,1579 1,6283 1,1178 0,6611 0,2678 -0,0744 -0,3851 -0,6809 -0,9654 -1,2242 -1,4325 -1,5671 -1,6145 -1,5760 -1,4707 -1,3261 -1,1606 -0,9729 -0,7487 -0,4768 -0,1667 0,1507 0,4379 0,6645 0,8115 0,8750 0,8634 0,7881 0,6581 0,4827 0,2724 0,0423 -0,1832 -0,3722 -0,4944 -0,5235 -0,4393 -0,2349 0,0767 0,4568 0,8397 1,1438 1,2970 1,2636 1,0601 0,7508 0,4241 0,1596 -0,0017 -0,0643 -0,0572 -0,0047 0,0882 0,2300 0,4212 0,6368 0,8363 0,9900 1,0941 1,1609 1,2061 1,2410 1,2677 1,2806 1,2794 1,2816 1,3196 1,4263 1,6193 1,8917 2,2165 2,5617 2,9053 3,2396 3,5648 3,8800 4,1826 4,4703 4,7388 4,9795 5,1830 5,3435 5,4569 5,5117 5,4831 5,3466 5,1064 4,8087 4,5213 4,2999 4,1764 4,1653 4,2689 4,4698 4,7259 4,9787 5,1695 5,2523 5,2087 5,0552 4,8331 4,5932 4,3827 4,2283 4,1241 4,0446 3,9712 3,9011 3,8386 3,7938 3,7861 3,8315 3,9242 4,0308 4,0957 4,0618 3,9086 3,6696 3,4032 3,1494 2,9140 2,6850 2,4545 2,2284 2,0193 1,8392 1,6977 1,6042 1,5687 1,5955 1,6745 1,7834 1,9016 2,0216 2,1458 2,2693 2,3682 2,4055 2,3478 2,1816 1,9227 1,6130 1,3023 1,0382 0,8651 0,8134 0,8787 1,0179 1,1704 1,2877 1,3547 1,3888 1,4241 1,4968 1,6347 1,8505 2,1410 2,4934 2,8968 3,3478 3,8425 4,3678 4,9012 5,4195 5,9003 6,3122 6,6131 6,7715 6,7840 6,6657 6,4357 6,1212 5,7613 5,3925 5,0276 4,6566 4,2726 3,8955 3,5721 3,3571 3,2888 3,3745 3,5967 3,9248 4,3204 4,7432 5,1554 5,5192 5,7985 5,9727 6,0472 6,0502 6,0163 5,9658 5,8919 5,7691 5,5774 5,3194 5,0120 4,6703 4,3094 3,9595 3,6673 3,4775 3,4089 3,4452 3,5446 3,6511 3,7022 3,6445 3,4542 3,1458 2,7603 2,3443 1,9357 1,5634 1,2574 1,0576 1,0053 1,1173 1,3680 1,6920 2,0036 2,2204 2,2864 2,1848 1,9378 1,5908 1,1875 0,7593 0,3335 -0,0622 -0,4072 -0,6883 -0,8899 -0,9925 -0,9840 -0,8675 -0,6604 -0,3917 -0,1007 0,1719 0,3970 0,5628 0,6749 0,7515 0,8148 0,8799 0,9497 1,0163 1,0702 1,1159 1,1707 1,2463 1,3367 1,4217 1,4777 1,4901 1,4529 1,3576 1,1905 0,9458 0,6377 0,2991 -0,0302 -0,3220 -0,5679 -0,7660 -0,9003 -0,9429 -0,8870 -0,7750 -0,6901 -0,7126 -0,8772 -1,1585 -1,4848 -1,7670 -1,9303 -1,9395 -1,8052 -1,5692 -1,2784 -0,9621 -0,6226 -0,2456 0,1805 0,6556 1,1765 1,7417 2,3397 2,9385 3,4949 3,9708 4,3436 4,6122 4,7911 4,8965 4,9344 4,9037 4,8077 4,6574 4,4685 4,2600 4,0545 3,8794 3,7669 3,7442 3,8125 3,9307 4,0220 4,0029 3,8189 3,4716 3,0188 2,5418 2,1089 1,7582 1,4995 1,3246 1,2216 1,1803 1,1865 1,2212 1,2684 1,3230 1,3923 1,4940 1,6464 1,8489 2,0639 2,2218 2,2539 2,1316 1,8810 1,5634 1,2417 0,9605 0,7462 0,6084 0,5368 0,5016 0,4639 0,3950 0,2888 0,1564 0,0106 -0,1442 -0,3118 -0,4990 -0,7073 -0,9278 -1,1444 -1,3491 -1,5523 -1,7755 -2,0347 -2,3311 -2,6487 -2,9577 -3,2239 -3,4261 -3,5679 -3,6751 -3,7837 -3,9247 -4,1117 -4,3401 -4,5997 -4,8799 -5,1642 -5,4307 -5,6665 -5,8757 -6,0698 -6,2497 -6,4008 -6,5022 -6,5422
F3    -1,5340 -1,3090 -1,1050 -0,9232 -0,7563 -0,5966 -0,4403 -0,2877 -0,1443 -0,0272 0,0399 0,0436 -0,0091 -0,0958 -0,1925 -0,2836 -0,3609 -0,4179 -0,4515 -0,4679 -0,4760 -0,4784 -0,4718 -0,4530 -0,4183 -0,3582 -0,2576 -0,1065 0,0886 0,3008 0,4880 0,6105 0,6510 0,6184 0,5320 0,4086 0,2704 0,1552 0,1061 0,1484 0,2776 0,4647 0,6672 0,8385 0,9391 0,9583 0,9294 0,9094 0,9415 1,0353 1,1736 1,3345 1,5140 1,7299 2,0001 2,3193 2,6581 2,9771 3,2407 3,4256 3,5236 3,5428 3,5117 3,4711 3,4465 3,4318 3,4056 3,3571 3,2920 3,2202 3,1437 3,0574 2,9585 2,8538 2,7560 2,6673 2,5744 2,4664 2,3524 2,2606 2,2271 2,2790 2,4196 2,6261 2,8638 3,0992 3,3008 3,4330 3,4696 3,4249 3,3668 3,3897 3,5679 3,9210 4,4106 4,9591 5,4779 5,9002 6,2057 6,4227 6,6047 6,8017 7,0415 7,3255 7,6307 7,9151 8,1246 8,2040 8,1151 7,8534 7,4452 6,9258 6,3221 5,6567 4,9609 4,2754 3,6357 3,0651 2,5801 2,1914 1,8964 1,6753 1,5020 1,3627 1,2587 1,1919 1,1619 1,1689 1,2059 1,2561 1,3105 1,3849 1,5155 1,7425 2,0948 2,5837 3,2056 3,9498 4,7967 5,7137 6,6574 7,5828 8,4531 9,2396 9,9098 10,4240 10,7516 10,8905 10,8738 10,7621 10,6263 10,5234 10,4700 10,4391 10,3880 10,2895 10,1463 9,9817 9,8223 9,6852 9,5766 9,4952 9,4360 9,3926 9,3584 9,3247 9,2813 9,2262 9,1708 9,1361 9,1423 9,2036 9,3262 9,5032 9,7076 9,8981 10,0315 10,0683 9,9804 9,7677 9,4673 9,1349 8,8156 8,5311 8,2900 8,1028 7,9851 7,9420 7,9536 7,9779 7,9713 7,9103 7,7981 7,6555 7,5078 7,3762 7,2684 7,1697 7,0499 6,8865 6,6758 6,4247 6,1467 5,8646 5,6046 5,3827 5,1914 5,0031 4,7931 4,5611 4,3271 4,1106 3,9170 3,7406 3,5777 3,4340 3,3169 3,2245 3,1416 3,0430 2,9006 2,6903 2,4009 2,0385 1,6242 1,1850 0,7488 0,3387 -0,0351 -0,3760 -0,6922 -0,9850 -1,2417 -1,4395 -1,5580 -1,5897 -1,5342 -1,3843 -1,1315 -0,7872 -0,3906 0,0066 0,3637 0,6631 0,9022 1,0790 1,1902 1,2339 1,2076 1,1083 0,9379 0,7113 0,4628 0,2419 0,0933 0,0430 0,1009 0,2638 0,5160 0,8295 1,1606 1,4458 1,6162 1,6272 1,4784 1,2135 0,9074 0,6437 0,4817 0,4300 0,4527 0,5043 0,5617 0,6302 0,7325 0,8887 1,0949 1,3206 1,5287 1,7009 1,8422 1,9649 2,0692 2,1393 2,1590 2,1312 2,0843 2,0632 2,1116 2,2548 2,4901 2,7893 3,1192 3,4658 3,8363 4,2394 4,6697 5,1106 5,5432 5,9476 6,3001 6,5752 6,7548 6,8299 6,7933 6,6335 6,3469 5,9651 5,5596 5,2071 4,9540 4,8156 4,7974 4,9040 5,1271 5,4343 5,7741 6,0876 6,3198 6,4371 6,4414 6,3619 6,2388 6,1111 5,9989 5,8884 5,7482 5,5610 5,3330 5,0822 4,8394 4,6469 4,5396 4,5237 4,5704 4,6219 4,6182 4,5398 4,4218 4,3188 4,2583 4,2280 4,1957 4,1303 4,0175 3,8632 3,6860 3,5100 3,3640 3,2789 3,2757 3,3526 3,4864 3,6445 3,7996 3,9338 4,0324 4,0759 4,0386 3,8970 3,6432 3,2989 2,9167 2,5689 2,3313 2,2639 2,3831 2,6441 2,9594 3,2440 3,4488 3,5641 3,6039 3,5963 3,5824 3,6085 3,7050 3,8720 4,0898 4,3416 4,6231 4,9347 5,2746 5,6414 6,0356 6,4505 6,8563 7,2028 7,4488 7,5830 7,6112 7,5405 7,3837 7,1627 6,8964 6,5913 6,2500 5,8879 5,5359 5,2305 5,0057 4,8873 4,8858 4,9916 5,1796 5,4232 5,7057 6,0109 6,3067 6,5477 6,6942 6,7306 6,6723 6,5563 6,4129 6,2448 6,0376 5,7910 5,5299 5,2827 5,0531 4,8218 4,5764 4,3356 4,1423 4,0341 4,0214 4,0844 4,1750 4,2230 4,1600 3,9508 3,6116 3,2038 2,8078 2,4919 2,2930 2,2169 2,2518 2,3818 2,5919 2,8613 3,1547 3,4195 3,5990 3,6556 3,5860 3,4158 3,1751 2,8763 2,5190 2,1113 1,6758 1,2430 0,8520 0,5543 0,4044 0,4369 0,6478 0,9918 1,3962 1,7838 2,0964 2,3067 2,4156 2,4464 2,4359 2,4187 2,4177 2,4422 2,4869 2,5372 2,5843 2,6322 2,6853 2,7347 2,7596 2,7403 2,6709 2,5631 2,4338 2,2833 2,0912 1,8361 1,5206 1,1750 0,8390 0,5432 0,3084 0,1517 0,0837 0,0932 0,1338 0,1304 0,0139 -0,2383 -0,5899 -0,9623 -1,2649 -1,4255 -1,4083 -1,2179 -0,8951 -0,5084 -0,1330 0,1822 0,4369 0,6719 0,9407 1,2837 1,7167 2,2241 2,7586 3,2584 3,6731 3,9841 4,2070 4,3710 4,4947 4,5798 4,6216 4,6242 4,6022 4,5719 4,5439 4,5251 4,5242 4,5547 4,6256 4,7249 4,8114 4,8236 4,7030 4,4194 3,9902 3,4791 2,9716 2,5436 2,2391 2,0629 1,9884 1,9819 2,0173 2,0756 2,1425 2,2140 2,2978 2,4056 2,5434 2,7033 2,8546 2,9417 2,9021 2,6993 2,3463 1,9022 1,4470 1,0504 0,7541 0,5736 0,5042 0,5203 0,5752 0,6169 0,6109 0,5509 0,4521 0,3372 0,2183 0,0813 -0,1077 -0,3784 -0,7322 -1,1402 -1,5606 -1,9570 -2,3058 -2,5989 -2,8415 -3,0435 -3,2136 -3,3631 -3,5088 -3,6666 -3,8432 -4,0382 -4,2496 -4,4693 -4,6805 -4,8693 -5,0374 -5,2006 -5,3768 -5,5754 -5,7950 -6,0275 -6,2573 -6,4572 -6,5946 -6,6505
F7    -1,5718 -1,4394 -1,2906 -1,1370 -0,9861 -0,8387 -0,6934 -0,5500 -0,4153 -0,3043 -0,2313 -0,1965 -0,1847 -0,1739 -0,1467 -0,0978 -0,0321 0,0457 0,1354 0,2333 0,3289 0,4107 0,4714 0,5082 0,5229 0,5248 0,5297 0,5494 0,5848 0,6253 0,6512 0,6370 0,5620 0,4234 0,2411 0,0476 -0,1249 -0,2503 -0,3106 -0,2964 -0,2107 -0,0735 0,0810 0,2196 0,3241 0,3970 0,4598 0,5421 0,6659 0,8336 1,0278 1,2227 1,3975 1,5458 1,6751 1,7963 1,9146 2,0271 2,1262 2,2074 2,2743 2,3351 2,3949 2,4550 2,5107 2,5506 2,5618 2,5374 2,4788 2,3926 2,2880 2,1744 2,0612 1,9591 1,8775 1,8150 1,7603 1,7061 1,6582 1,6332 1,6506 1,7211 1,8377 1,9830 2,1454 2,3207 2,4971 2,6491 2,7545 2,8181 2,8753 2,9738 3,1475 3,4002 3,7075 4,0303 4,3316 4,5886 4,7964 4,9636 5,1052 5,2352 5,3619 5,4853 5,5976 5,6841 5,7214 5,6807 5,5424 5,3122 5,0158 4,6773 4,3087 3,9167 3,5087 3,0928 2,6787 2,2782 1,9014 1,5591 1,2639 1,0217 0,8278 0,6753 0,5613 0,4836 0,4408 0,4387 0,4874 0,5926 0,7521 0,9595 1,2090 1,5045 1,8612 2,2926 2,7962 3,3540 3,9423 4,5401 5,1345 5,7163 6,2747 6,7947 7,2592 7,6492 7,9461 8,1371 8,2201 8,2074 8,1258 8,0079 7,8759 7,7340 7,5777 7,4090 7,2441 7,1078 7,0185 6,9775 6,9723 6,9860 7,0032 7,0089 6,9889 6,9331 6,8395 6,7185 6,5946 6,4977 6,4529 6,4742 6,5640 6,7092 6,8814 7,0467 7,1732 7,2329 7,2076 7,1020 6,9491 6,7898 6,6481 6,5267 6,4201 6,3248 6,2416 6,1709 6,1059 6,0338 5,9450 5,8374 5,7133 5,5773 5,4386 5,3083 5,1917 5,0828 4,9702 4,8481 4,7155 4,5683 4,4003 4,2132 4,0178 3,8247 3,6361 3,4456 3,2498 3,0583 2,8884 2,7488 2,6313 2,5175 2,3931 2,2552 2,1089 1,9600 1,8090 1,6494 1,4723 1,2717 1,0472 0,8060 0,5592 0,3171 0,0899 -0,1087 -0,2691 -0,3943 -0,4974 -0,5882 -0,6627 -0,7052 -0,7030 -0,6596 -0,5891 -0,5021 -0,3990 -0,2736 -0,1232 0,0437 0,2072 0,3465 0,4483 0,5083 0,5302 0,5209 0,4838 0,4172 0,3185 0,1925 0,0559 -0,0669 -0,1565 -0,2026 -0,1997 -0,1424 -0,0287 0,1365 0,3402 0,5612 0,7699 0,9310 1,0146 1,0146 0,9553 0,8770 0,8152 0,7867 0,7864 0,8000 0,8202 0,8537 0,9149 1,0095 1,1225 1,2231 1,2860 1,3076 1,3055 1,3059 1,3285 1,3785 1,4479 1,5245 1,6031 1,6916 1,8065 1,9591 2,1444 2,3448 2,5454 2,7457 2,9544 3,1739 3,3919 3,5910 3,7622 3,9062 4,0250 4,1179 4,1827 4,2146 4,2029 4,1317 3,9906 3,7878 3,5547 3,3353 3,1708 3,0878 3,0944 3,1816 3,3288 3,5108 3,7010 3,8712 3,9924 4,0451 4,0285 3,9589 3,8624 3,7663 3,6844 3,6070 3,5133 3,3949 3,2629 3,1402 3,0519 3,0180 3,0462 3,1311 3,2520 3,3737 3,4584 3,4899 3,4841 3,4695 3,4616 3,4545 3,4311 3,3775 3,2931 3,1888 3,0774 2,9680 2,8688 2,7905 2,7450 2,7384 2,7662 2,8170 2,8784 2,9388 2,9890 3,0216 3,0296 3,0021 2,9284 2,8085 2,6588 2,5079 2,3892 2,3327 2,3529 2,4392 2,5612 2,6848 2,7889 2,8713 2,9406 3,0044 3,0702 3,1507 3,2569 3,3846 3,5179 3,6466 3,7750 3,9125 4,0662 4,2412 4,4380 4,6476 4,8515 5,0235 5,1381 5,1781 5,1360 5,0137 4,8256 4,5982 4,3591 4,1253 3,9011 3,6881 3,4967 3,3471 3,2618 3,2573 3,3383 3,4975 3,7177 3,9738 4,2364 4,4779 4,6755 4,8119 4,8755 4,8629 4,7855 4,6684 4,5379 4,4059 4,2696 4,1247 3,9740 3,8218 3,6661 3,5039 3,3453 3,2164 3,1458 3,1443 3,1980 3,2776 3,3487 3,3762 3,3337 3,2121 3,0216 2,7870 2,5417 2,3205 2,1519 2,0539 2,0345 2,0927 2,2198 2,3990 2,6042 2,8006 2,9522 3,0302 3,0217 2,9334 2,7857 2,6008 2,3951 2,1771 1,9484 1,7102 1,4723 1,2555 1,0850 0,9820 0,9553 0,9967 1,0852 1,1970 1,3139 1,4264 1,5311 1,6265 1,7123 1,7906 1,8647 1,9353 1,9987 2,0490 2,0837 2,1069 2,1246 2,1378 2,1426 2,1327 2,1020 2,0454 1,9558 1,8222 1,6335 1,3894 1,1067 0,8137 0,5354 0,2832 0,0599 -0,1278 -0,2668 -0,3515 -0,3969 -0,4362 -0,5053 -0,6256 -0,7953 -0,9896 -1,1663 -1,2818 -1,3102 -1,2527 -1,1319 -0,9769 -0,8094 -0,6358 -0,4467 -0,2230 0,0516 0,3814 0,7559 1,1509 1,5367 1,8904 2,1997 2,4638 2,6938 2,9047 3,1008 3,2732 3,4067 3,4900 3,5212 3,5065 3,4567 3,3848 3,3080 3,2466 3,2169 3,2219 3,2430 3,2402 3,1698 3,0102 2,7743 2,5000 2,2283 1,9886 1,7977 1,6600 1,5678 1,5084 1,4718 1,4521 1,4452 1,4495 1,4659 1,4957 1,5372 1,5847 1,6291 1,6540 1,6348 1,5472 1,3823 1,1540 0,8927 0,6296 0,3855 0,1712 -0,0077 -0,1484 -0,2550 -0,3433 -0,4347 -0,5439 -0,6724 -0,8154 -0,9719 -1,1467 -1,3425 -1,5533 -1,7651 -1,9606 -2,1317 -2,2869 -2,4423 -2,6088 -2,7880 -2,9769 -3,1674 -3,3445 -3,4909 -3,5982 -3,6747 -3,7421 -3,8256 -3,9406 -4,0900 -4,2726 -4,4870 -4,7256 -4,9728 -5,2105 -5,4245 -5,6044 -5,7407 -5,8216 -5,8369 -5,7864
