Fp1   2,1655 1,3562 0,4118 -0,6565 -1,7604 -2,7335 -3,3760 -3,5034 -3,0022 -1,8834 -0,2908 1,5312 3,2883 4,6930 5,5292 5,7092 5,2645 4,2880 2,9179 1,3594 -0,1447 -1,3919 -2,2719 -2,7619 -2,8907 -2,7059 -2,2673 -1,6521 -0,9405 -0,1989 0,5061 1,0978 1,5248 1,7956 1,9503 2,0072 1,9438 1,7213 1,3276 0,7965 0,1879 -0,4417 -1,0515 -1,6108 -2,0892 -2,4553 -2,6939 -2,8218 -2,8788 -2,8983 -2,8951 -2,8766 -2,8502 -2,8175 -2,7643 -2,6496 -2,4147 -2,0267 -1,5057 -0,8966 -0,2296 0,4697 1,1313 1,6273 1,8301 1,6701 1,1328 0,2293 -0,9980 -2,4397 -3,9126 -5,2132 -6,1964 -6,8167 -7,1079 -7,1317 -6,9508 -6,6339 -6,2579 -5,8615 -5,3922 -4,7333 -3,8041 -2,6355 -1,3836 -0,2937 0,3842 0,5053 0,0943 -0,6700 -1,5209 -2,1806 -2,4419 -2,2454 -1,7145 -1,1144 -0,7483 -0,8431 -1,4761 -2,5684 -3,9382 -5,3745 -6,6795 -7,6838 -8,2658 -8,3743 -8,0273 -7,2977 -6,3079 -5,2189 -4,1951 -3,3556 -2,7326 -2,2584 -1,7989 -1,2311 -0,5172 0,2731 1,0037 1,5434 1,8325 1,9149 1,9053 1,9122 1,9842 2,1055 2,2132 2,2258 2,0963 1,8515 1,5739 1,3564 1,2764 1,3777 1,6519 2,0407 2,4617 2,8481 3,1772 3,4504 3,6463 3,7043 3,5449 3,0961 2,3146 1,2186 -0,0651 -1,2983 -2,2217 -2,6788 -2,6726 -2,3419 -1,8930 -1,5114 -1,3003 -1,2850 -1,4553 -1,7839 -2,2082 -2,6139 -2,8532 -2,7984 -2,4027 -1,7152 -0,8561 -0,0024 0,6230 0,8050 0,4149 -0,5406 -1,9296 -3,5385 -5,1276 -6,5001 -7,5425 -8,1955 -8,4066 -8,1219 -7,3107 -5,9909 -4,2344 -2,1541 0,1086 2,3856 4,4791 6,1870 7,3660 7,9793 8,0895 7,8138 7,2727 6,5571 5,7292 4,8534 4,0267 3,3623 2,9301 2,7152 2,6446 2,6544 2,7278 2,8850 3,1556 3,5497 4,0221 4,4453 4,6501 4,5268 4,1087 3,5791 3,1921 3,1517 3,5241 4,2187 5,0424 5,8108 6,4393 6,9207 7,2292 7,2864 7,0202 6,4138 5,4911 4,2943 2,9040 1,4758 0,2237 -0,6544 -1,0402 -0,9113 -0,3397 0,5091 1,4024 2,1082 2,4818 2,5182 2,3372 2,0983 1,8947 1,6969 1,3801 0,8174 -0,0099 -0,9655 -1,8354 -2,4668 -2,8430 -3,0488 -3,1844 -3,2954 -3,3480 -3,2478 -2,8823 -2,1598 -1,0510 0,3724 1,9513 3,5048 4,8728 5,9219 6,5606 6,7557 6,5457 6,0375 5,3607 4,6165 3,8683 3,1520 2,4831 1,8764 1,3771 1,0579 0,9670 1,0800 1,3109 1,5702 1,8202 2,0832 2,4059 2,8196 3,3349 3,9694 4,7652 5,7609 6,9305 8,1474 9,2102 9,9217 10,1754 9,9840 9,4288 8,5967 7,5641 6,4055 5,1973 4,0232 2,9905 2,2333 1,8830 2,0195 2,6279 3,5902 4,7161 5,8044 6,7106 7,3787 7,8241 8,1112 8,3369 8,5893 8,8854 9,1540 9,2858 9,1928 8,8299 8,1875 7,3037 6,3143 5,4590 4,9743 4,9570 5,3279 5,9002 6,4658 6,8552 6,9824 6,8754 6,6623 6,5129 6,5693 6,9025 7,5094 8,3435 9,3368 10,3886 11,3621 12,1290 12,6199 12,8338 12,8226 12,6753 12,4867 12,3008 12,0733 11,7069 11,1461 10,4518 9,8050 9,4302 9,4814 9,9795 10,8304 11,8685 12,8901 13,6951 14,1388 14,1636 13,7957 13,1141 12,2205 11,2303 10,2608 9,4162 8,7904 8,4661 8,4751 8,7593 9,2004 9,7020 10,2322 10,7917 11,3631 11,8890 12,2800 12,4502 12,3633 12,0395 11,5155 10,8182 9,9701 8,9963 7,9319 6,8391 5,8257 5,0313 4,5727 4,5021 4,8109 5,4498 6,3456 7,4169 8,5710 9,6695 10,4992 10,8098 10,4241 9,3391 7,7464 5,9680 4,3545 3,1899 2,6243 2,6594 3,1833 4,0154 4,9504 5,7969 6,4111 6,7287 6,7831 6,6837 6,5545 6,4734 6,4528 6,4692 6,5053 6,5724 6,6906 6,8428 6,9592 6,9556 6,7879 6,4902 6,1805 6,0248 6,1718 6,6820 7,4822 8,3845 9,1566 9,5934 9,5712 9,0802 8,2115 7,1024 5,8836 4,6566 3,5003 2,4819 1,6348 0,9321 0,3257 -0,1771 -0,4911 -0,5080 -0,1814 0,4399 1,2591 2,1943 3,2018 4,2651 5,3638 6,4359 7,3697 8,0413 8,3609 8,2865 7,8260 7,0501 6,0910 5,1094 4,2511 3,6264 3,3109 3,3340 3,6484 4,1275 4,6098 4,9601 5,1090 5,0517 4,8209 4,4680 4,0527 3,6204 3,1777 2,7019 2,1715 1,5786 0,9261 0,2337 -0,4517 -1,0534 -1,4703 -1,5999 -1,3794 -0,8254 -0,0426 0,8167 1,6191 2,2776 2,7327 2,9475 2,9332 2,7563 2,5030 2,2425 2,0244 1,8897 1,8663 1,9607 2,1610 2,4460 2,8142 3,3100 3,9804 4,7966 5,6370 6,3411 6,7838 6,9328 6,8482 6,6269 6,3549 6,0993 5,9186 5,8627 5,9580 6,1913 6,5025 6,7911 6,9507 6,9133 6,6764 6,3046 5,9021 5,5578 5,3002 5,0759 4,7565 4,2096 3,4057 2,4607 1,5914 1,0262 0,9073 1,2362 1,9106 2,8002 3,7733 4,6870 5,3957 5,7894 5,8243 5,5278 4,9860 4,3127 3,6082 2,9333 2,3144 1,7690 1,3087 0,9137 0,5263 0,0938 -0,3807 -0,8283 -1,1616 -1,3471 -1,4351 -1,5181 -1,6662 -1,9038 -2,2244 -2,5919 -2,9054 -2,9837 -2,6378 -1,7882 -0,5210 0,9438 2,3374 3,4383 4,1114 4,2789 3,8969 2,9758 1,6115 -0,0112 -1,6323 -2,9448 -3,6627 -3,6048 -2,7345 -1,1568 0,8988 3,1077 5,0998 6,5297 7,1698 6,9846 6,1285 4,8656 3,4754 2,1937 1,1824 0,5276 0,2568 0,3426 0,6902
Fz    1,0144 1,1282 1,2676 1,4051 1,5130 1,5720 1,5720 1,5120 1,4066 1,2914 1,2136 1,2084 1,2796 1,3941 1,4935 1,5200 1,4415 1,2531 0,9712 0,6333 0,2934 0,0039 -0,2086 -0,3540 -0,4661 -0,5754 -0,6906 -0,8003 -0,8855 -0,9330 -0,9409 -0,9142 -0,8555 -0,7649 -0,6498 -0,5311 -0,4365 -0,3923 -0,4176 -0,5239 -0,7131 -0,9711 -1,2628 -1,5394 -1,7538 -1,8739 -1,8901 -1,8179 -1,6893 -1,5362 -1,3791 -1,2307 -1,1031 -1,0108 -0,9694 -0,9845 -1,0423 -1,1189 -1,1976 -1,2771 -1,3645 -1,4665 -1,5899 -1,7456 -1,9443 -2,1877 -2,4652 -2,7541 -3,0203 -3,2248 -3,3351 -3,3356 -3,2314 -3,0461 -2,8123 -2,5608 -2,3158 -2,0951 -1,9135 -1,7828 -1,7055 -1,6704 -1,6550 -1,6323 -1,5816 -1,4980 -1,3922 -1,2848 -1,1989 -1,1510 -1,1447 -1,1739 -1,2327 -1,3214 -1,4403 -1,5830 -1,7404 -1,9097 -2,0983 -2,3210 -2,5870 -2,8898 -3,2085 -3,5177 -3,7957 -4,0318 -4,2257 -4,3778 -4,4827 -4,5274 -4,4904 -4,3428 -4,0558 -3,6117 -3,0156 -2,3018 -1,5292 -0,7649 -0,0651 0,5334 1,0110 1,3581 1,5740 1,6690 1,6688 1,6138 1,5451 1,4843 1,4281 1,3597 1,2635 1,1353 0,9867 0,8397 0,7139 0,6181 0,5554 0,5330 0,5671 0,6756 0,8619 1,1054 1,3688 1,6153 1,8199 1,9664 2,0464 2,0607 2,0167 1,9272 1,8133 1,7043 1,6333 1,6271 1,6925 1,8134 1,9614 2,1082 2,2380 2,3549 2,4830 2,6545 2,8919 3,1948 3,5412 3,8973 4,2289 4,5132 4,7497 4,9579 5,1607 5,3718 5,5979 5,8402 6,0890 6,3286 6,5501 6,7554 6,9472 7,1201 7,2643 7,3786 7,4712 7,5471 7,5983 7,6107 7,5823 7,5302 7,4773 7,4300 7,3702 7,2663 7,0939 6,8508 6,5588 6,2494 5,9446 5,6463 5,3397 5,0089 4,6508 4,2778 3,9133 3,5863 3,3212 3,1216 2,9676 2,8330 2,7005 2,5646 2,4291 2,3044 2,2032 2,1331 2,0921 2,0726 2,0720 2,0946 2,1448 2,2237 2,3333 2,4728 2,6256 2,7580 2,8345 2,8365 2,7688 2,6554 2,5270 2,4052 2,2960 2,1967 2,1067 2,0288 1,9672 1,9259 1,9075 1,9087 1,9179 1,9204 1,9101 1,9017 1,9293 2,0274 2,2064 2,4408 2,6732 2,8367 2,8828 2,7981 2,6034 2,3413 2,0632 1,8139 1,6112 1,4387 1,2655 1,0734 0,8633 0,6478 0,4457 0,2810 0,1847 0,1893 0,3099 0,5314 0,8158 1,1185 1,3956 1,6114 1,7529 1,8372 1,8959 1,9557 2,0344 2,1447 2,2931 2,4770 2,6826 2,8873 3,0654 3,1942 3,2591 3,2577 3,2010 3,1070 2,9918 2,8684 2,7533 2,6683 2,6313 2,6475 2,7128 2,8235 2,9815 3,1898 3,4447 3,7313 4,0271 4,3104 4,5616 4,7633 4,9037 4,9803 5,0009 4,9795 4,9304 4,8650 4,7950 4,7350 4,6975 4,6850 4,6904 4,7054 4,7255 4,7447 4,7559 4,7564 4,7460 4,7212 4,6785 4,6190 4,5492 4,4819 4,4316 4,4041 4,3935 4,3922 4,4004 4,4212 4,4473 4,4612 4,4508 4,4184 4,3783 4,3509 4,3557 4,4040 4,4988 4,6377 4,8167 5,0304 5,2642 5,4842 5,6429 5,7033 5,6553 5,5160 5,3201 5,1058 4,9050 4,7408 4,6284 4,5740 4,5740 4,6206 4,7061 4,8219 4,9536 5,0816 5,1839 5,2409 5,2435 5,2045 5,1591 5,1481 5,1952 5,2929 5,4049 5,4833 5,4909 5,4160 5,2718 5,0863 4,8912 4,7193 4,6009 4,5538 4,5798 4,6673 4,7929 4,9238 5,0232 5,0630 5,0352 4,9488 4,8149 4,6403 4,4316 4,2009 3,9653 3,7426 3,5468 3,3839 3,2540 3,1598 3,1114 3,1207 3,1909 3,3092 3,4488 3,5787 3,6766 3,7354 3,7564 3,7393 3,6781 3,5690 3,4200 3,2556 3,1080 2,9982 2,9282 2,8873 2,8597 2,8297 2,7888 2,7385 2,6857 2,6355 2,5888 2,5435 2,4992 2,4635 2,4531 2,4870 2,5759 2,7173 2,8969 3,0939 3,2850 3,4483 3,5678 3,6332 3,6404 3,5927 3,5013 3,3807 3,2427 3,0922 2,9258 2,7359 2,5182 2,2798 2,0459 1,8569 1,7501 1,7430 1,8324 2,0030 2,2353 2,5068 2,7901 3,0545 3,2746 3,4390 3,5448 3,5921 3,5867 3,5409 3,4684 3,3731 3,2461 3,0770 2,8627 2,6046 2,3071 1,9848 1,6670 1,3940 1,2017 1,1075 1,1097 1,1956 1,3407 1,5030 1,6267 1,6572 1,5577 1,3225 0,9834 0,6011 0,2428 -0,0393 -0,2167 -0,2828 -0,2483 -0,1379 0,0167 0,1839 0,3377 0,4587 0,5394 0,5870 0,6121 0,6160 0,5915 0,5326 0,4399 0,3214 0,1916 0,0670 -0,0417 -0,1319 -0,2018 -0,2490 -0,2740 -0,2817 -0,2753 -0,2489 -0,1848 -0,0634 0,1199 0,3489 0,6001 0,8530 1,0889 1,2859 1,4214 1,4805 1,4641 1,3902 1,2832 1,1595 1,0267 0,8939 0,7752 0,6841 0,6243 0,5851 0,5492 0,5080 0,4638 0,4225 0,3910 0,3746 0,3730 0,3841 0,4068 0,4371 0,4654 0,4830 0,4919 0,5102 0,5634 0,6649 0,8039 0,9493 1,0627 1,1116 1,0739 0,9379 0,7077 0,4083 0,0833 -0,2195 -0,4616 -0,6198 -0,6902 -0,6922 -0,6629 -0,6422 -0,6592 -0,7280 -0,8475 -1,0035 -1,1754 -1,3489 -1,5207 -1,6918 -1,8589 -2,0120 -2,1341 -2,2047 -2,2058 -2,1262 -1,9650 -1,7333 -1,4526 -1,1525 -0,8641 -0,6124 -0,4079 -0,2453 -0,1098 0,0141 0,1357 0,2523 0,3523 0,4283 0,4828 0,5208 0,5393 0,5306 0,4976 0,4570 0,4293 0,4353 0,4985 0,6352
F3    0,2428 0,3934 0,6759 1,0419 1,4051 1,6835 1,8397 1,8889 1,8839 1,8845 1,9232 1,9954 2,0779 2,1396 2,1410 2,0486 1,8579 1,5919 1,2807 0,9503 0,6285 0,3447 0,1094 -0,1061 -0,3537 -0,6655 -1,0228 -1,3626 -1,6157 -1,7453 -1,7545 -1,6618 -1,4804 -1,2284 -0,9464 -0,6885 -0,4964 -0,3934 -0,3964 -0,5250 -0,7918 -1,1756 -1,6047 -1,9743 -2,1885 -2,1944 -1,9946 -1,6425 -1,2201 -0,7994 -0,4191 -0,1003 0,1334 0,2527 0,2297 0,0655 -0,1868 -0,4523 -0,6885 -0,9064 -1,1504 -1,4585 -1,8369 -2,2602 -2,6933 -3,1127 -3,5032 -3,8300 -4,0248 -4,0150 -3,7677 -3,3086 -2,7124 -2,0756 -1,4817 -0,9847 -0,6164 -0,4064 -0,3908 -0,5917 -0,9821 -1,4700 -1,9172 -2,1900 -2,2128 -1,9856 -1,5703 -1,0730 -0,6202 -0,3218 -0,2408 -0,3956 -0,7798 -1,3534 -2,0157 -2,6182 -3,0318 -3,2164 -3,2376 -3,2141 -3,2422 -3,3509 -3,5148 -3,6967 -3,8726 -4,0373 -4,2059 -4,4040 -4,6485 -4,9282 -5,1952 -5,3704 -5,3614 -5,0920 -4,5400 -3,7486 -2,8011 -1,7905 -0,8027 0,0932 0,8518 1,4454 1,8476 2,0371 2,0282 1,8867 1,6981 1,5193 1,3604 1,1992 1,0031 0,7485 0,4367 0,0939 -0,2516 -0,5830 -0,8756 -1,0824 -1,1544 -1,0683 -0,8384 -0,5104 -0,1460 0,1934 0,4602 0,6248 0,6712 0,5864 0,3652 0,0353 -0,3326 -0,6459 -0,8152 -0,7865 -0,5778 -0,2838 -0,0275 0,1031 0,0895 -0,0202 -0,1359 -0,1563 -0,0046 0,3369 0,8276 1,4003 1,9847 2,5196 2,9726 3,3495 3,6804 4,0070 4,3801 4,8389 5,3708 5,8990 6,3222 6,5664 6,6022 6,4334 6,0908 5,6408 5,1770 4,7801 4,4804 4,2686 4,1423 4,1241 4,2354 4,4606 4,7357 4,9718 5,0983 5,0911 4,9681 4,7640 4,5069 4,2066 3,8551 3,4450 2,9958 2,5523 2,1569 1,8331 1,5878 1,4135 1,2947 1,2261 1,2164 1,2606 1,3303 1,4011 1,4733 1,5566 1,6464 1,7237 1,7675 1,7621 1,7058 1,6269 1,5898 1,6660 1,8816 2,1914 2,4974 2,6966 2,7380 2,6422 2,4564 2,1941 1,8377 1,3935 0,9206 0,5012 0,1969 0,0297 -0,0202 -0,0022 0,0321 0,0591 0,1042 0,2464 0,5835 1,1656 1,9538 2,8264 3,6157 4,1575 4,3395 4,1320 3,5902 2,8295 1,9901 1,1992 0,5301 -0,0153 -0,4754 -0,8828 -1,2392 -1,5183 -1,6748 -1,6516 -1,3999 -0,9191 -0,2823 0,3892 0,9898 1,4714 1,8287 2,0701 2,2193 2,3207 2,4210 2,5508 2,7261 2,9523 3,2210 3,5142 3,8142 4,0973 4,3173 4,4070 4,3013 3,9712 3,4476 2,8128 2,1631 1,5773 1,1124 0,8107 0,6970 0,7738 1,0315 1,4642 2,0711 2,8465 3,7622 4,7427 5,6676 6,4144 6,8940 7,0613 6,9320 6,5796 6,0983 5,5693 5,0518 4,5777 4,1519 3,7712 3,4433 3,1830 2,9960 2,8769 2,8147 2,7930 2,7978 2,8237 2,8564 2,8700 2,8540 2,8262 2,8207 2,8711 2,9876 3,1336 3,2326 3,2195 3,0886 2,8768 2,6137 2,3152 2,0062 1,7293 1,5464 1,5339 1,7414 2,1498 2,6859 3,2677 3,8345 4,3622 4,8540 5,3060 5,6832 5,9291 5,9936 5,8601 5,5621 5,1758 4,7869 4,4592 4,2245 4,0832 4,0105 3,9781 3,9737 4,0032 4,0807 4,2132 4,3815 4,5345 4,6127 4,5921 4,5086 4,4323 4,4155 4,4604 4,5181 4,5147 4,3864 4,1033 3,6730 3,1345 2,5542 2,0224 1,6339 1,4601 1,5346 1,8482 2,3392 2,8987 3,4024 3,7483 3,8909 3,8494 3,6788 3,4312 3,1433 2,8429 2,5542 2,2971 2,0852 1,9272 1,8251 1,7755 1,7730 1,8111 1,8810 1,9689 2,0555 2,1304 2,2060 2,3111 2,4561 2,6037 2,6859 2,6534 2,5139 2,3265 2,1550 2,0244 1,9255 1,8415 1,7544 1,6440 1,5036 1,3567 1,2485 1,2158 1,2566 1,3268 1,3712 1,3664 1,3350 1,3225 1,3695 1,5025 1,7228 1,9978 2,2798 2,5357 2,7506 2,9093 2,9925 2,9931 2,9235 2,8047 2,6549 2,4803 2,2691 2,0027 1,6720 1,2777 0,8329 0,3784 -0,0177 -0,2925 -0,4129 -0,3727 -0,1866 0,1064 0,4459 0,7713 1,0523 1,2938 1,5068 1,6843 1,8101 1,8784 1,8920 1,8371 1,6725 1,3605 0,8969 0,3124 -0,3322 -0,9572 -1,4881 -1,8721 -2,0828 -2,1172 -1,9748 -1,6422 -1,1187 -0,4624 0,1985 0,6970 0,8845 0,6976 0,1944 -0,4769 -1,1553 -1,7305 -2,1548 -2,4244 -2,5585 -2,5812 -2,5104 -2,3562 -2,1292 -1,8529 -1,5611 -1,2790 -1,0228 -0,8087 -0,6455 -0,5358 -0,4942 -0,5428 -0,6815 -0,8823 -1,1202 -1,3992 -1,7345 -2,1154 -2,4989 -2,8347 -3,0827 -3,2144 -3,2093 -3,0561 -2,7583 -2,3335 -1,8157 -1,2649 -0,7661 -0,4036 -0,2285 -0,2404 -0,3873 -0,5828 -0,7411 -0,8200 -0,8285 -0,8008 -0,7717 -0,7605 -0,7662 -0,7787 -0,7914 -0,8058 -0,8409 -0,9314 -1,1006 -1,3421 -1,6265 -1,9121 -2,1586 -2,3433 -2,4643 -2,5279 -2,5279 -2,4311 -2,1933 -1,8073 -1,3328 -0,8735 -0,5254 -0,3459 -0,3644 -0,5909 -0,9927 -1,4836 -1,9590 -2,3445 -2,6150 -2,7713 -2,8049 -2,7041 -2,4896 -2,2250 -1,9970 -1,8837 -1,9247 -2,1142 -2,4241 -2,8318 -3,3219 -3,8680 -4,4260 -4,9465 -5,3891 -5,7179 -5,8875 -5,8456 -5,5615 -5,0471 -4,3547 -3,5696 -2,7981 -2,1377 -1,6510 -1,3623 -1,2638 -1,3107 -1,4269 -1,5380 -1,5982 -1,5936 -1,5330 -1,4363 -1,3331 -1,2582 -1,2243 -1,2151 -1,2108 -1,1916 -1,1182 -0,9461
F7    1,4730 1,3585 1,2232 1,0676 0,9123 0,7859 0,6997 0,6325 0,5471 0,4250 0,2817 0,1481 0,0478 -0,0111 -0,0383 -0,0588 -0,1046 -0,2044 -0,3698 -0,5842 -0,8043 -0,9752 -1,0493 -1,0030 -0,8440 -0,6080 -0,3466 -0,1074 0,0840 0,2238 0,3151 0,3584 0,3582 0,3335 0,3144 0,3254 0,3694 0,4229 0,4461 0,3991 0,2555 0,0173 -0,2765 -0,5651 -0,8000 -0,9631 -1,0556 -1,0815 -1,0407 -0,9337 -0,7672 -0,5528 -0,3059 -0,0526 0,1685 0,3218 0,3899 0,3767 0,3026 0,1929 0,0676 -0,0574 -0,1677 -0,2568 -0,3272 -0,3805 -0,4151 -0,4355 -0,4566 -0,4939 -0,5519 -0,6211 -0,6816 -0,7101 -0,6907 -0,6230 -0,5207 -0,4008 -0,2787 -0,1719 -0,0990 -0,0686 -0,0727 -0,0909 -0,0994 -0,0779 -0,0138 0,0940 0,2340 0,3887 0,5438 0,6930 0,8298 0,9341 0,9684 0,8893 0,6664 0,3037 -0,1540 -0,6391 -1,0899 -1,4666 -1,7550 -1,9611 -2,1005 -2,1872 -2,2289 -2,2276 -2,1817 -2,0862 -1,9334 -1,7165 -1,4406 -1,1318 -0,8321 -0,5811 -0,3995 -0,2834 -0,2087 -0,1482 -0,0905 -0,0385 0,0123 0,0842 0,2065 0,4017 0,6737 1,0014 1,3454 1,6653 1,9348 2,1506 2,3285 2,4889 2,6477 2,8186 3,0093 3,2080 3,3793 3,4802 3,4856 3,4013 3,2616 3,1127 2,9893 2,9012 2,8408 2,8013 2,7811 2,7737 2,7630 2,7277 2,6536 2,5450 2,4290 2,3465 2,3347 2,4132 2,5804 2,8190 3,1061 3,4185 3,7317 4,0201 4,2610 4,4401 4,5559 4,6201 4,6528 4,6721 4,6828 4,6770 4,6455 4,5891 4,5233 4,4830 4,5201 4,6858 5,0076 5,4735 6,0321 6,6102 7,1427 7,5905 7,9369 8,1690 8,2722 8,2402 8,0845 7,8327 7,5206 7,1828 6,8476 6,5384 6,2781 6,0907 5,9954 5,9931 6,0579 6,1455 6,2093 6,2141 6,1453 6,0115 5,8372 5,6498 5,4718 5,3207 5,2094 5,1423 5,1105 5,0933 5,0667 5,0135 4,9311 4,8333 4,7400 4,6623 4,5975 4,5364 4,4670 4,3714 4,2320 4,0505 3,8568 3,6968 3,6106 3,6152 3,7026 3,8494 4,0264 4,2035 4,3543 4,4589 4,5023 4,4752 4,3816 4,2388 4,0625 3,8536 3,5972 3,2743 2,8813 2,4421 2,0040 1,6235 1,3479 1,2001 1,1752 1,2465 1,3817 1,5636 1,7947 2,0777 2,3981 2,7285 3,0421 3,3205 3,5469 3,7032 3,7756 3,7621 3,6798 3,5653 3,4607 3,3945 3,3733 3,3816 3,3880 3,3583 3,2749 3,1456 2,9963 2,8599 2,7700 2,7521 2,8093 2,9168 3,0361 3,1435 3,2457 3,3732 3,5589 3,8192 4,1440 4,4965 4,8292 5,1066 5,3209 5,4894 5,6360 5,7699 5,8776 5,9331 5,9195 5,8411 5,7158 5,5613 5,3927 5,2276 5,0868 4,9893 4,9461 4,9559 5,0099 5,0972 5,2021 5,3052 5,3973 5,4874 5,5848 5,6768 5,7336 5,7358 5,6846 5,5888 5,4526 5,2805 5,0863 4,8903 4,7110 4,5618 4,4484 4,3686 4,3162 4,2839 4,2654 4,2572 4,2572 4,2662 4,2942 4,3602 4,4772 4,6353 4,7989 4,9252 4,9882 4,9932 4,9709 4,9597 4,9876 5,0632 5,1759 5,3043 5,4250 5,5178 5,5715 5,5889 5,5828 5,5650 5,5405 5,5092 5,4694 5,4208 5,3618 5,2856 5,1813 5,0420 4,8696 4,6709 4,4575 4,2486 4,0671 3,9265 3,8228 3,7418 3,6761 3,6360 3,6394 3,6920 3,7799 3,8828 3,9910 4,1060 4,2264 4,3382 4,4187 4,4487 4,4215 4,3397 4,2092 4,0395 3,8487 3,6683 3,5348 3,4662 3,4514 3,4625 3,4699 3,4539 3,4125 3,3568 3,2969 3,2347 3,1735 3,1296 3,1247 3,1638 3,2253 3,2708 3,2643 3,1864 3,0398 2,8474 2,6474 2,4857 2,3978 2,3905 2,4378 2,4984 2,5384 2,5413 2,5070 2,4472 2,3791 2,3173 2,2683 2,2367 2,2287 2,2419 2,2569 2,2459 2,1907 2,0954 1,9870 1,9064 1,8954 1,9832 2,1743 2,4371 2,7046 2,8992 2,9685 2,9034 2,7298 2,4891 2,2248 1,9736 1,7583 1,5872 1,4622 1,3846 1,3552 1,3768 1,4542 1,5841 1,7456 1,9034 2,0209 2,0778 2,0809 2,0595 2,0504 2,0806 2,1484 2,2192 2,2437 2,1855 2,0389 1,8291 1,6010 1,4031 1,2754 1,2408 1,2966 1,4105 1,5296 1,6023 1,5978 1,5108 1,3577 1,1688 0,9734 0,7856 0,5989 0,3981 0,1829 -0,0222 -0,1830 -0,2795 -0,3151 -0,3094 -0,2807 -0,2350 -0,1702 -0,0838 0,0238 0,1381 0,2223 0,2322 0,1427 -0,0390 -0,2814 -0,5487 -0,8157 -1,0715 -1,3126 -1,5289 -1,6955 -1,7842 -1,7833 -1,7014 -1,5541 -1,3538 -1,1134 -0,8564 -0,6147 -0,4166 -0,2803 -0,2102 -0,1946 -0,2135 -0,2572 -0,3307 -0,4383 -0,5615 -0,6568 -0,6780 -0,6034 -0,4399 -0,2157 0,0277 0,2434 0,3898 0,4455 0,4192 0,3472 0,2742 0,2301 0,2142 0,2051 0,1883 0,1691 0,1599 0,1673 0,1913 0,2305 0,2829 0,3447 0,4070 0,4571 0,4870 0,4991 0,5024 0,5026 0,4975 0,4761 0,4220 0,3224 0,1803 0,0149 -0,1493 -0,2982 -0,4260 -0,5250 -0,5831 -0,5898 -0,5434 -0,4572 -0,3577 -0,2737 -0,2294 -0,2408 -0,3104 -0,4246 -0,5578 -0,6807 -0,7723 -0,8302 -0,8653 -0,8887 -0,9023 -0,8983 -0,8695 -0,8217 -0,7792 -0,7754 -0,8352 -0,9622 -1,1338 -1,3097 -1,4510 -1,5330 -1,5436 -1,4816 -1,3550 -1,1747 -0,9533 -0,7109 -0,4761 -0,2815 -0,1552 -0,1089 -0,1286 -0,1772 -0,2109 -0,1992 -0,1381 -0,0528 0,0169
