Fp1   1,8733 1,7107 1,5758 1,4932 1,4763 1,5153 1,5725 1,5937 1,5325 1,3665 1,0936 0,7289 0,3154 -0,0757 -0,3704 -0,5172 -0,4966 -0,3241 -0,0449 0,2731 0,5465 0,6956 0,6721 0,4744 0,1473 -0,2340 -0,5913 -0,8724 -1,0673 -1,2029 -1,3072 -1,3752 -1,3739 -1,2754 -1,0837 -0,8390 -0,6069 -0,4612 -0,4596 -0,6089 -0,8444 -1,0526 -1,1331 -1,0459 -0,8139 -0,5003 -0,1935 0,0173 0,0827 0,0148 -0,1343 -0,3159 -0,5142 -0,7414 -1,0037 -1,2777 -1,5222 -1,7047 -1,8166 -1,8652 -1,8539 -1,7764 -1,6383 -1,4711 -1,3182 -1,2046 -1,1182 -1,0261 -0,9137 -0,7978 -0,6990 -0,6239 -0,5817 -0,5957 -0,6805 -0,8141 -0,9437 -1,0209 -1,0298 -0,9907 -0,9463 -0,9366 -0,9716 -1,0232 -1,0427 -0,9844 -0,8341 -0,6292 -0,4474 -0,3670 -0,4204 -0,5730 -0,7542 -0,9163 -1,0480 -1,1409 -1,1797 -1,1685 -1,1415 -1,1441 -1,2114 -1,3516 -1,5356 -1,7048 -1,8030 -1,8159 -1,7906 -1,8205 -2,0018 -2,3862 -2,9616 -3,6625 -4,3893 -5,0349 -5,5175 -5,8036 -5,9050 -5,8572 -5,7103 -5,5307 -5,3846 -5,2983 -5,2392 -5,1475 -4,9846 -4,7487 -4,4557 -4,1191 -3,7412 -3,3164 -2,8411 -2,3198 -1,7639 -1,1890 -0,6109 -0,0395 0,5139 1,0194 1,4392 1,7645 2,0272 2,2746 2,5454 2,8588 3,2081 3,5629 3,8821 4,1265 4,2627 4,2716 4,1611 3,9678 3,7419 3,5315 3,3756 3,2991 3,3039 3,3655 3,4500 3,5449 3,6681 3,8436 4,0792 4,3597 4,6376 4,8383 4,9099 4,8715 4,8025 4,7875 4,8700 5,0423 5,2640 5,4921 5,7086 5,9144 6,0979 6,2255 6,2701 6,2363 6,1657 6,1282 6,1887 6,3625 6,6041 6,8297 6,9494 6,8996 6,6619 6,2628 5,7639 5,2448 4,7746 4,3875 4,0778 3,8098 3,5410 3,2496 2,9511 2,6911 2,5286 2,5110 2,6470 2,9008 3,2147 3,5350 3,8149 4,0033 4,0499 3,9248 3,6376 3,2431 2,8264 2,4665 2,2034 2,0399 1,9729 2,0101 2,1478 2,3419 2,5165 2,6071 2,5981 2,5251 2,4412 2,3806 2,3477 2,3311 2,3231 2,3250 2,3376 2,3562 2,3787 2,4147 2,4760 2,5588 2,6466 2,7253 2,7864 2,8174 2,8010 2,7274 2,6075 2,4615 2,2971 2,1113 1,9125 1,7262 1,5806 1,4941 1,4773 1,5344 1,6551 1,8119 1,9719 2,1093 2,2124 2,2873 2,3574 2,4461 2,5592 2,6876 2,8225 2,9584 3,0832 3,1751 3,2146 3,1955 3,1282 3,0373 2,9523 2,8940 2,8680 2,8703 2,8960 2,9427 3,0101 3,1048 3,2414 3,4279 3,6415 3,8285 3,9342 3,9338 3,8454 3,7211 3,6161 3,5570 3,5339 3,5206 3,5035 3,4979 3,5437 3,6825 3,9275 4,2473 4,5760 4,8438 5,0133 5,0953 5,1291 5,1478 5,1574 5,1423 5,0919 5,0226 4,9662 4,9280 4,8572 4,6726 4,3381 3,9132 3,5225 3,2844 3,2683 3,4847 3,8899 4,4085 4,9646 5,4982 5,9664 6,3342 6,5699 6,6504 6,5720 6,3577 6,0535 5,7212 5,4310 5,2393 5,1607 5,1749 5,2629 5,4232 5,6518 5,9197 6,1670 6,3170 6,3010 6,0894 5,7124 5,2589 4,8416 4,5438 4,3919 4,3577 4,3767 4,3879 4,3716 4,3405 4,3027 4,2508 4,1744 4,0685 3,9325 3,7731 3,6007 3,4158 3,2093 2,9858 2,7807 2,6526 2,6596 2,8327 3,1607 3,5957 4,0770 4,5489 4,9602 5,2682 5,4519 5,5057 5,4127 5,1495 4,7361 4,2651 3,8594 3,6009 3,4987 3,5098 3,5830 3,6917 3,8364 4,0339 4,3061 4,6606 5,0751 5,5052 5,9052 6,2383 6,4745 6,5892 6,5675 6,4171 6,1855 5,9502 5,7781 5,6974 5,7059 5,7886 5,9260 6,0987 6,2796 6,4182 6,4482 6,3271 6,0632 5,7079 5,3314 4,9921 4,7144 4,4950 4,3234 4,1876 4,0729 3,9625 3,8385 3,6847 3,4989 3,2951 3,0907 2,8982 2,7368 2,6323 2,5907 2,5800 2,5497 2,4712 2,3571 2,2428 2,1577 2,1201 2,1459 2,2424 2,3998 2,5961 2,7997 2,9660 3,0435 2,9912 2,8038 2,5274 2,2427 2,0285 1,9399 2,0065 2,2211 2,5239 2,8193 3,0240 3,1046 3,0749 2,9600 2,7706 2,5191 2,2430 1,9906 1,7868 1,6222 1,4816 1,3817 1,3766 1,5209 1,8169 2,1936 2,5430 2,7791 2,8686 2,8263 2,6929 2,5018 2,2595 1,9579 1,6061 1,2480 0,9410 0,7148 0,5575 0,4380 0,3292 0,2168 0,1057 0,0208 -0,0113 0,0145 0,0762 0,1463 0,2056 0,2379 0,2285 0,1759 0,0982 0,0231 -0,0327 -0,0744 -0,1203 -0,1886 -0,2886 -0,4147 -0,5455 -0,6541 -0,7198 -0,7366 -0,7241 -0,7232 -0,7646 -0,8455 -0,9379 -1,0064 -1,0213 -0,9679 -0,8468 -0,6746 -0,4838 -0,3010 -0,1259 0,0533 0,2359 0,4057 0,5444 0,6489 0,7386 0,8395 0,9565 1,0671 1,1410 1,1636 1,1349 1,0594 0,9449 0,8018 0,6306 0,4141 0,1359 -0,2009 -0,5731 -0,9441 -1,2658 -1,4809 -1,5393 -1,4348 -1,2199 -0,9715 -0,7438 -0,5578 -0,4184 -0,3306 -0,3047 -0,3518 -0,4626 -0,5898 -0,6604 -0,6134 -0,4268 -0,1254 0,2154 0,4866 0,5959 0,5186 0,3040 0,0380 -0,2043 -0,3842 -0,5049 -0,5976 -0,6904 -0,7893 -0,8892 -0,9833 -1,0499 -1,0461 -0,9316 -0,7024 -0,4051 -0,1286 0,0216 -0,0351 -0,3110 -0,7417 -1,2230 -1,6604 -1,9956 -2,2131 -2,3395 -2,4248 -2,5061 -2,5803 -2,6146 -2,5838 -2,4966 -2,3857 -2,2775 -2,1841 -2,1160 -2,0789 -2,0622 -2,0572 -2,0823 -2,1738 -2,3521
Fz    2,5371 2,3370 2,1931 2,0983 2,0605 2,0793 2,1214 2,1238 2,0244 1,7895 1,4208 0,9521 0,4409 -0,0452 -0,4417 -0,6965 -0,7811 -0,7004 -0,4905 -0,2150 0,0425 0,2028 0,2216 0,1054 -0,0984 -0,3331 -0,5609 -0,7682 -0,9515 -1,1057 -1,2159 -1,2574 -1,2074 -1,0623 -0,8511 -0,6330 -0,4770 -0,4360 -0,5253 -0,7171 -0,9510 -1,1576 -1,2845 -1,3094 -1,2303 -1,0554 -0,8181 -0,5852 -0,4244 -0,3640 -0,3889 -0,4691 -0,5887 -0,7441 -0,9228 -1,0974 -1,2392 -1,3323 -1,3778 -1,3860 -1,3623 -1,3062 -1,2265 -1,1496 -1,1059 -1,1093 -1,1495 -1,2013 -1,2460 -1,2805 -1,3048 -1,3128 -1,3042 -1,2952 -1,3027 -1,3171 -1,3008 -1,2147 -1,0457 -0,8229 -0,6118 -0,4786 -0,4510 -0,5065 -0,5946 -0,6658 -0,6926 -0,6791 -0,6562 -0,6660 -0,7398 -0,8755 -1,0396 -1,1970 -1,3307 -1,4346 -1,5092 -1,5701 -1,6469 -1,7659 -1,9358 -2,1427 -2,3502 -2,5077 -2,5703 -2,5276 -2,4294 -2,3796 -2,4898 -2,8229 -3,3735 -4,0762 -4,8224 -5,4950 -6,0148 -6,3619 -6,5597 -6,6494 -6,6745 -6,6741 -6,6698 -6,6522 -6,5834 -6,4200 -6,1372 -5,7351 -5,2304 -4,6420 -3,9872 -3,2897 -2,5850 -1,9063 -1,2660 -0,6538 -0,0511 0,5512 1,1371 1,6631 2,0878 2,4114 2,6771 2,9337 3,2114 3,5290 3,9026 4,3363 4,8060 5,2540 5,6017 5,7808 5,7699 5,6120 5,3922 5,1920 5,0584 4,9984 4,9862 4,9805 4,9519 4,9051 4,8809 4,9338 5,1038 5,3938 5,7527 6,0842 6,2996 6,3718 6,3405 6,2687 6,2029 6,1676 6,1782 6,2480 6,3910 6,6130 6,8925 7,1803 7,4277 7,6124 7,7455 7,8617 7,9951 8,1547 8,3161 8,4267 8,4213 8,2510 7,9071 7,4228 6,8607 6,2950 5,7935 5,3992 5,1165 4,9128 4,7364 4,5434 4,3182 4,0814 3,8819 3,7707 3,7652 3,8413 3,9592 4,0877 4,2032 4,2804 4,2923 4,2159 4,0380 3,7658 3,4366 3,1085 2,8335 2,6427 2,5528 2,5743 2,7002 2,8912 3,0858 3,2327 3,3179 3,3656 3,4154 3,4970 3,6148 3,7485 3,8675 3,9455 3,9705 3,9532 3,9316 3,9557 4,0607 4,2501 4,5019 4,7798 5,0370 5,2200 5,2832 5,2092 5,0189 4,7564 4,4629 4,1694 3,9060 3,7071 3,6019 3,5991 3,6822 3,8213 3,9884 4,1641 4,3313 4,4709 4,5671 4,6219 4,6618 4,7250 4,8379 5,0013 5,1912 5,3658 5,4796 5,5037 5,4369 5,3024 5,1383 4,9887 4,8871 4,8406 4,8323 4,8385 4,8467 4,8600 4,8889 4,9448 5,0392 5,1742 5,3313 5,4813 5,6080 5,7176 5,8299 5,9626 6,1193 6,2922 6,4734 6,6583 6,8437 7,0315 7,2383 7,4930 7,8153 8,1924 8,5772 8,9118 9,1588 9,3170 9,4160 9,4942 9,5701 9,6321 9,6594 9,6494 9,6161 9,5647 9,4726 9,3032 9,0511 8,7740 8,5737 8,5450 8,7363 9,1374 9,6880 10,3124 10,9516 11,5625 12,1009 12,5168 12,7657 12,8230 12,6990 12,4361 12,0891 11,7068 11,3274 10,9769 10,6732 10,4377 10,3002 10,2806 10,3674 10,5145 10,6545 10,7186 10,6550 10,4440 10,1050 9,6965 9,2985 8,9785 8,7679 8,6581 8,6087 8,5724 8,5258 8,4717 8,4173 8,3607 8,2897 8,1882 8,0518 7,8964 7,7415 7,5891 7,4291 7,2626 7,1155 7,0343 7,0691 7,2463 7,5525 7,9437 8,3699 8,7913 9,1784 9,5158 9,8038 10,0344 10,1631 10,1297 9,9134 9,5610 9,1601 8,7903 8,4933 8,2771 8,1426 8,1030 8,1780 8,3837 8,7302 9,2115 9,7909 10,4106 11,0132 11,5512 11,9912 12,3218 12,5510 12,6963 12,7836 12,8414 12,8845 12,9087 12,9046 12,8739 12,8326 12,8031 12,7871 12,7403 12,5852 12,2638 11,7782 11,1868 10,5717 10,0027 9,5166 9,1208 8,8084 8,5680 8,3873 8,2560 8,1636 8,0945 8,0273 7,9389 7,8121 7,6448 7,4536 7,2632 7,0840 6,9031 6,6973 6,4501 6,1573 5,8307 5,5036 5,2250 5,0433 4,9880 5,0618 5,2398 5,4744 5,7071 5,8812 5,9518 5,9026 5,7610 5,5918 5,4719 5,4670 5,6133 5,8966 6,2481 6,5739 6,7980 6,8837 6,8265 6,6332 6,3144 5,9007 5,4486 5,0143 4,6242 4,2771 3,9726 3,7347 3,6049 3,6181 3,7775 4,0438 4,3474 4,6146 4,7905 4,8539 4,8180 4,7103 4,5487 4,3403 4,1040 3,8803 3,7081 3,5909 3,4940 3,3771 3,2304 3,0802 2,9612 2,8868 2,8400 2,7913 2,7260 2,6572 2,6073 2,5796 2,5550 2,5161 2,4677 2,4312 2,4212 2,4259 2,4080 2,3260 2,1628 1,9384 1,6935 1,4601 1,2530 1,0816 0,9495 0,8489 0,7738 0,7303 0,7296 0,7791 0,8794 1,0282 1,2260 1,4656 1,7162 1,9421 2,1344 2,3020 2,4396 2,5210 2,5233 2,4565 2,3711 2,3301 2,3701 2,4881 2,6511 2,8142 2,9350 2,9853 2,9606 2,8741 2,7345 2,5355 2,2708 1,9494 1,5959 1,2513 0,9722 0,8160 0,8111 0,9385 1,1406 1,3491 1,5094 1,5868 1,5642 1,4399 1,2268 0,9514 0,6626 0,4391 0,3683 0,5013 0,8230 1,2571 1,6920 2,0160 2,1605 2,1248 1,9616 1,7390 1,5120 1,3127 1,1508 1,0231 0,9261 0,8601 0,8196 0,7936 0,7807 0,7964 0,8561 0,9518 1,0425 1,0670 0,9699 0,7290 0,3706 -0,0427 -0,4459 -0,8011 -1,0982 -1,3419 -1,5482 -1,7407 -1,9260 -2,0734 -2,1281 -2,0489 -1,8352 -1,5217 -1,1531 -0,7705 -0,4152 -0,1224 0,0912 0,2174 0,2356 0,1175 -0,1405
F3    3,0906 2,8778 2,6899 2,5345 2,4260 2,3613 2,3066 2,2085 2,0231 1,7350 1,3546 0,9121 0,4544 0,0347 -0,3017 -0,5191 -0,5925 -0,5184 -0,3230 -0,0636 0,1783 0,3209 0,3173 0,1751 -0,0542 -0,3090 -0,5497 -0,7662 -0,9644 -1,1499 -1,3130 -1,4268 -1,4627 -1,4103 -1,2842 -1,1231 -0,9804 -0,9101 -0,9476 -1,0923 -1,2956 -1,4748 -1,5554 -1,5040 -1,3262 -1,0522 -0,7386 -0,4628 -0,2897 -0,2392 -0,2877 -0,3997 -0,5553 -0,7491 -0,9677 -1,1783 -1,3443 -1,4486 -1,4998 -1,5183 -1,5134 -1,4822 -1,4290 -1,3753 -1,3473 -1,3560 -1,3910 -1,4331 -1,4750 -1,5195 -1,5595 -1,5776 -1,5715 -1,5658 -1,5888 -1,6389 -1,6799 -1,6641 -1,5645 -1,3992 -1,2302 -1,1255 -1,1112 -1,1594 -1,2151 -1,2309 -1,1874 -1,1015 -1,0191 -0,9961 -1,0685 -1,2260 -1,4199 -1,6018 -1,7458 -1,8391 -1,8786 -1,8822 -1,8895 -1,9414 -2,0620 -2,2491 -2,4720 -2,6786 -2,8138 -2,8523 -2,8282 -2,8351 -2,9825 -3,3389 -3,9032 -4,6105 -5,3531 -6,0141 -6,5126 -6,8299 -6,9964 -7,0609 -7,0743 -7,0861 -7,1277 -7,1861 -7,2000 -7,0980 -6,8446 -6,4514 -5,9525 -5,3783 -4,7456 -4,0662 -3,3591 -2,6487 -1,9533 -1,2809 -0,6334 -0,0161 0,5508 1,0306 1,3957 1,6641 1,8972 2,1575 2,4790 2,8687 3,3164 3,8002 4,2894 4,7421 5,1043 5,3241 5,3811 5,2989 5,1297 4,9281 4,7377 4,5886 4,4904 4,4291 4,3820 4,3489 4,3636 4,4682 4,6817 4,9888 5,3315 5,6151 5,7569 5,7407 5,6160 5,4517 5,2970 5,1802 5,1212 5,1375 5,2431 5,4364 5,6857 5,9414 6,1663 6,3493 6,5018 6,6546 6,8441 7,0799 7,3282 7,5228 7,5928 7,4915 7,2118 6,7827 6,2604 5,7154 5,2112 4,7833 4,4309 4,1247 3,8288 3,5261 3,2258 2,9588 2,7710 2,7052 2,7719 2,9425 3,1740 3,4320 3,6893 3,9137 4,0646 4,1029 4,0076 3,7907 3,5014 3,2062 2,9559 2,7729 2,6660 2,6457 2,7127 2,8376 2,9665 3,0528 3,0855 3,0889 3,0977 3,1298 3,1757 3,2115 3,2169 3,1833 3,1121 3,0198 2,9429 2,9256 2,9951 3,1468 3,3518 3,5692 3,7482 3,8349 3,7911 3,6134 3,3355 3,0074 2,6717 2,3601 2,1004 1,9174 1,8299 1,8478 1,9676 2,1715 2,4300 2,7091 2,9793 3,2200 3,4196 3,5774 3,7088 3,8395 3,9884 4,1579 4,3380 4,5081 4,6373 4,6929 4,6596 4,5478 4,3839 4,1984 4,0181 3,8581 3,7222 3,6115 3,5322 3,4951 3,5123 3,5997 3,7739 4,0354 4,3511 4,6630 4,9185 5,0910 5,1833 5,2198 5,2313 5,2448 5,2814 5,3549 5,4723 5,6404 5,8732 6,1901 6,6007 7,0847 7,5840 8,0242 8,3509 8,5536 8,6600 8,7116 8,7336 8,7232 8,6710 8,5896 8,5094 8,4445 8,3648 8,2138 7,9670 7,6719 7,4273 7,3280 7,4273 7,7260 8,1798 8,7268 9,3147 9,9044 10,4559 10,9228 11,2572 11,4225 11,4086 11,2369 10,9451 10,5755 10,1781 9,8050 9,4951 9,2744 9,1654 9,1808 9,3064 9,4952 9,6780 9,7812 9,7463 9,5473 9,2043 8,7879 8,3950 8,1009 7,9294 7,8545 7,8215 7,7833 7,7282 7,6726 7,6331 7,6102 7,5888 7,5465 7,4710 7,3707 7,2647 7,1612 7,0508 6,9230 6,7877 6,6808 6,6502 6,7296 6,9193 7,1909 7,5060 7,8279 8,1240 8,3752 8,5817 8,7392 8,8081 8,7299 8,4851 8,1283 7,7599 7,4668 7,2867 7,2120 7,2190 7,2955 7,4453 7,6798 8,0142 8,4584 8,9976 9,5874 10,1719 10,6996 11,1303 11,4365 11,6046 11,6403 11,5792 11,4790 11,3892 11,3305 11,3030 11,3032 11,3291 11,3790 11,4386 11,4623 11,3804 11,1412 10,7473 10,2516 9,7253 9,2227 8,7682 8,3680 8,0261 7,7443 7,5160 7,3268 7,1581 6,9919 6,8167 6,6260 6,4130 6,1751 5,9256 5,6874 5,4699 5,2592 5,0328 4,7823 4,5200 4,2744 4,0800 3,9704 3,9696 4,0827 4,2930 4,5686 4,8663 5,1323 5,3072 5,3408 5,2195 4,9875 4,7323 4,5449 4,4905 4,5963 4,8404 5,1498 5,4263 5,5911 5,6150 5,5134 5,3143 5,0386 4,7127 4,3833 4,0999 3,8858 3,7327 3,6240 3,5612 3,5710 3,6841 3,9049 4,1955 4,4919 4,7342 4,8873 4,9445 4,9175 4,8144 4,6249 4,3345 3,9586 3,5554 3,1920 2,8967 2,6463 2,3995 2,1411 1,8969 1,7111 1,6119 1,5915 1,6119 1,6329 1,6383 1,6307 1,6107 1,5701 1,5054 1,4315 1,3787 1,3736 1,4159 1,4732 1,4994 1,4613 1,3555 1,2035 1,0298 0,8499 0,6730 0,4985 0,3165 0,1322 -0,0205 -0,0960 -0,0609 0,0921 0,3436 0,6607 1,0015 1,3105 1,5403 1,6844 1,7708 1,8262 1,8565 1,8553 1,8280 1,8048 1,8252 1,9120 2,0620 2,2514 2,4458 2,6094 2,7137 2,7458 2,7053 2,5869 2,3736 2,0557 1,6495 1,1979 0,7620 0,4118 0,2098 0,1879 0,3241 0,5480 0,7766 0,9497 1,0376 1,0297 0,9269 0,7420 0,5022 0,2522 0,0570 -0,0127 0,0882 0,3578 0,7458 1,1618 1,4983 1,6717 1,6578 1,4924 1,2417 0,9700 0,7197 0,5019 0,3043 0,1155 -0,0584 -0,2050 -0,3172 -0,3838 -0,3809 -0,2878 -0,1140 0,0903 0,2490 0,2897 0,1744 -0,0804 -0,4137 -0,7555 -1,0574 -1,2976 -1,4761 -1,6131 -1,7399 -1,8718 -1,9881 -2,0444 -2,0100 -1,8909 -1,7179 -1,5174 -1,3063 -1,1059 -0,9392 -0,8152 -0,7359 -0,7183 -0,7942 -0,9798
F7    2,0093 1,8557 1,7415 1,6672 1,6394 1,6546 1,6855 1,6884 1,6259 1,4800 1,2485 0,9445 0,6012 0,2646 -0,0220 -0,2242 -0,3182 -0,2996 -0,1863 -0,0172 0,1475 0,2407 0,2194 0,0862 -0,1161 -0,3323 -0,5278 -0,6990 -0,8586 -1,0118 -1,1407 -1,2102 -1,1936 -1,0892 -0,9214 -0,7324 -0,5733 -0,4912 -0,5166 -0,6482 -0,8418 -1,0255 -1,1370 -1,1468 -1,0528 -0,8723 -0,6463 -0,4349 -0,2890 -0,2238 -0,2251 -0,2801 -0,3921 -0,5654 -0,7869 -1,0262 -1,2489 -1,4304 -1,5650 -1,6577 -1,7085 -1,7145 -1,6856 -1,6454 -1,6139 -1,5950 -1,5768 -1,5446 -1,4973 -1,4471 -1,4048 -1,3802 -1,3957 -1,4804 -1,6416 -1,8447 -2,0245 -2,1157 -2,0833 -1,9448 -1,7659 -1,6210 -1,5446 -1,5190 -1,5015 -1,4546 -1,3633 -1,2433 -1,1383 -1,1019 -1,1660 -1,3142 -1,4951 -1,6635 -1,8013 -1,9016 -1,9575 -1,9746 -1,9762 -1,9921 -2,0465 -2,1507 -2,2935 -2,4383 -2,5378 -2,5641 -2,5426 -2,5607 -2,7289 -3,1160 -3,7150 -4,4500 -5,2007 -5,8392 -6,2767 -6,4912 -6,5137 -6,4030 -6,2337 -6,0875 -6,0245 -6,0464 -6,0904 -6,0689 -5,9243 -5,6492 -5,2675 -4,8068 -4,2849 -3,7174 -3,1261 -2,5287 -1,9274 -1,3171 -0,7008 -0,0950 0,4664 0,9353 1,2758 1,4981 1,6526 1,7899 1,9402 2,1207 2,3393 2,5932 2,8706 3,1485 3,3878 3,5437 3,5895 3,5318 3,4011 3,2347 3,0681 2,9312 2,8383 2,7790 2,7304 2,6890 2,6859 2,7618 2,9398 3,2173 3,5511 3,8541 4,0422 4,0943 4,0567 3,9962 3,9574 3,9525 3,9713 4,0013 4,0454 4,1151 4,2074 4,3064 4,4044 4,5085 4,6340 4,8059 5,0506 5,3689 5,7190 6,0243 6,2003 6,1898 5,9848 5,6230 5,1681 4,6913 4,2540 3,8910 3,6013 3,3533 3,1083 2,8506 2,5976 2,3864 2,2596 2,2503 2,3627 2,5727 2,8479 3,1591 3,4712 3,7345 3,8927 3,9073 3,7737 3,5237 3,2164 2,9161 2,6635 2,4669 2,3253 2,2500 2,2508 2,3059 2,3600 2,3613 2,2991 2,2064 2,1288 2,0913 2,0848 2,0782 2,0453 1,9808 1,8991 1,8277 1,8022 1,8541 1,9923 2,1933 2,4156 2,6170 2,7532 2,7769 2,6556 2,3935 2,0343 1,6379 1,2536 0,9156 0,6503 0,4784 0,4130 0,4582 0,6037 0,8232 1,0792 1,3329 1,5535 1,7224 1,8335 1,9003 1,9628 2,0708 2,2543 2,5106 2,8137 3,1221 3,3805 3,5339 3,5559 3,4607 3,2878 3,0798 2,8694 2,6756 2,5084 2,3766 2,2904 2,2588 2,2920 2,4071 2,6187 2,9156 3,2480 3,5469 3,7560 3,8501 3,8385 3,7547 3,6396 3,5255 3,4312 3,3637 3,3263 3,3269 3,3835 3,5225 3,7634 4,0968 4,4736 4,8209 5,0797 5,2322 5,3003 5,3202 5,3140 5,2807 5,2154 5,1321 5,0576 5,0017 4,9347 4,7998 4,5616 4,2488 3,9465 3,7522 3,7335 3,9070 4,2431 4,6902 5,1977 5,7194 6,2061 6,6054 6,8702 6,9739 6,9235 6,7551 6,5122 6,2332 5,9559 5,7153 5,5316 5,4177 5,3939 5,4812 5,6761 5,9380 6,1979 6,3772 6,4065 6,2500 5,9304 5,5302 5,1542 4,8810 4,7374 4,7008 4,7186 4,7425 4,7554 4,7652 4,7798 4,7929 4,7859 4,7353 4,6271 4,4712 4,2966 4,1254 3,9551 3,7714 3,5758 3,4010 3,3014 3,3229 3,4770 3,7391 4,0654 4,4102 4,7347 5,0177 5,2546 5,4265 5,4783 5,3475 5,0268 4,5919 4,1617 3,8276 3,6174 3,5129 3,4877 3,5295 3,6372 3,8123 4,0622 4,3971 4,8088 5,2623 5,7097 6,1050 6,4095 6,5950 6,6487 6,5810 6,4323 6,2603 6,1111 6,0066 5,9577 5,9748 6,0619 6,2067 6,3739 6,4987 6,5030 6,3396 6,0243 5,6249 5,2174 4,8506 4,5402 4,2885 4,0988 3,9706 3,8947 3,8570 3,8421 3,8348 3,8264 3,8122 3,7812 3,7203 3,6319 3,5352 3,4444 3,3519 3,2359 3,0793 2,8857 2,6816 2,5062 2,3997 2,3912 2,4870 2,6673 2,8976 3,1393 3,3497 3,4805 3,4830 3,3372 3,0810 2,7991 2,5816 2,4954 2,5699 2,7860 3,0774 3,3539 3,5392 3,5989 3,5368 3,3668 3,1007 2,7681 2,4266 2,1353 1,9238 1,7850 1,6957 1,6472 1,6583 1,7600 1,9672 2,2596 2,5877 2,8934 3,1317 3,2833 3,3487 3,3263 3,1933 2,9204 2,5150 2,0429 1,5937 1,2197 0,9145 0,6456 0,4001 0,2024 0,0917 0,0862 0,1628 0,2665 0,3458 0,3852 0,3971 0,3895 0,3533 0,2811 0,1859 0,0979 0,0443 0,0296 0,0337 0,0275 -0,0104 -0,0845 -0,1862 -0,3081 -0,4498 -0,6093 -0,7813 -0,9597 -1,1264 -1,2453 -1,2805 -1,2162 -1,0647 -0,8578 -0,6263 -0,3955 -0,1993 -0,0661 0,0117 0,0731 0,1509 0,2506 0,3559 0,4505 0,5374 0,6363 0,7608 0,9029 1,0393 1,1443 1,1953 1,1770 1,0859 0,9265 0,6953 0,3778 -0,0315 -0,5056 -0,9874 -1,4104 -1,7178 -1,8686 -1,8443 -1,6686 -1,4084 -1,1431 -0,9284 -0,7903 -0,7376 -0,7675 -0,8658 -1,0090 -1,1604 -1,2640 -1,2580 -1,1053 -0,8121 -0,4292 -0,0409 0,2604 0,4128 0,4116 0,3005 0,1404 -0,0187 -0,1525 -0,2688 -0,3985 -0,5659 -0,7641 -0,9630 -1,1289 -1,2292 -1,2326 -1,1235 -0,9212 -0,6852 -0,4982 -0,4389 -0,5488 -0,8097 -1,1538 -1,5038 -1,8048 -2,0293 -2,1757 -2,2703 -2,3568 -2,4657 -2,5868 -2,6772 -2,7009 -2,6618 -2,5930 -2,5202 -2,4505 -2,3922 -2,3598 -2,3595 -2,3922 -2,4730 -2,6292 -2,8710
