Fp1   0,0304 -0,0457 -0,1539 -0,2924 -0,4605 -0,6491 -0,8297 -0,9564 -0,9907 -0,9290 -0,8000 -0,6362 -0,4514 -0,2435 -0,0084 0,2584 0,5666 0,9201 1,2958 1,6448 1,9124 2,0532 2,0446 1,8991 1,6642 1,4059 1,1834 1,0284 0,9373 0,8730 0,7775 0,5934 0,2886 -0,1291 -0,6180 -1,1152 -1,5504 -1,8661 -2,0359 -2,0607 -1,9510 -1,7237 -1,4038 -1,0196 -0,6013 -0,1874 0,1837 0,4909 0,7347 0,9227 1,0521 1,1068 1,0802 0,9969 0,9029 0,8420 0,8472 0,9411 1,1319 1,4045 1,7142 1,9963 2,1932 2,2767 2,2462 2,1169 1,9143 1,6717 1,4264 1,2100 1,0362 0,8961 0,7694 0,6426 0,5229 0,4397 0,4263 0,4951 0,6288 0,7843 0,8983 0,9033 0,7623 0,4927 0,1568 -0,1714 -0,4379 -0,6176 -0,7097 -0,7252 -0,6735 -0,5597 -0,3998 -0,2245 -0,0665 0,0543 0,1382 0,2086 0,2973 0,4178 0,5504 0,6523 0,6883 0,6583 0,5951 0,5422 0,5314 0,5617 0,5888 0,5479 0,3968 0,1420 -0,1695 -0,4782 -0,7332 -0,8945 -0,9414 -0,8885 -0,7895 -0,7197 -0,7367 -0,8499 -1,0311 -1,2473 -1,4748 -1,6961 -1,9018 -2,0915 -2,2637 -2,4080 -2,5014 -2,5063 -2,3791 -2,0959 -1,6733 -1,1679 -0,6521 -0,1872 0,1891 0,4594 0,6166 0,6615 0,6038 0,4612 0,2586 0,0373 -0,1395 -0,2015 -0,0981 0,1770 0,5866 1,0768 1,6028 2,1332 2,6438 3,1143 3,5322 3,8928 4,1867 4,3923 4,4914 4,4894 4,4224 4,3479 4,3216 4,3717 4,4918 4,6543 4,8307 5,0053 5,1763 5,3399 5,4696 5,5196 5,4604 5,3114 5,1337 4,9927 4,9329 4,9728 5,1002 5,2709 5,4274 5,5315 5,5821 5,6063 5,6368 5,6977 5,8004 5,9422 6,1069 6,2652 6,3768 6,4089 6,3549 6,2312 6,0620 5,8716 5,6824 5,5122 5,3698 5,2549 5,1608 5,0778 4,9917 4,8772 4,7024 4,4555 4,1649 3,8844 3,6597 3,5086 3,4168 3,3476 3,2633 3,1437 2,9828 2,7800 2,5441 2,3009 2,0831 1,9138 1,8026 1,7531 1,7643 1,8265 1,9184 2,0116 2,0839 2,1379 2,2007 2,3002 2,4427 2,6112 2,7760 2,9025 2,9634 2,9564 2,9121 2,8737 2,8593 2,8439 2,7789 2,6391 2,4552 2,3027 2,2615 2,3774 2,6367 2,9741 3,3123 3,6023 3,8370 4,0360 4,2250 4,4219 4,6243 4,8061 4,9431 5,0410 5,1306 5,2378 5,3679 5,5114 5,6609 5,8214 6,0017 6,1924 6,3563 6,4414 6,3999 6,2109 5,8952 5,5039 5,0944 4,7227 4,4391 4,2715 4,2152 4,2483 4,3509 4,5069 4,6975 4,8996 5,0946 5,2732 5,4257 5,5313 5,5661 5,5200 5,4066 5,2577 5,1073 4,9738 4,8602 4,7705 4,7241 4,7501 4,8659 5,0576 5,2879 5,5241 5,7427 5,9111 5,9944 5,9892 5,9330 5,8666 5,7971 5,6972 5,5308 5,2810 4,9641 4,6250 4,3218 4,1089 4,0183 4,0467 4,1669 4,3542 4,5900 4,8408 5,0538 5,1814 5,2028 5,1201 4,9469 4,7045 4,4274 4,1628 3,9601 3,8500 3,8358 3,9042 4,0402 4,2375 4,4995 4,8204 5,1635 5,4685 5,6799 5,7653 5,7165 5,5475 5,2954 5,0167 4,7689 4,5886 4,4790 4,4147 4,3600 4,2951 4,2237 4,1611 4,1247 4,1321 4,1929 4,3008 4,4419 4,6023 4,7627 4,8909 4,9470 4,8997 4,7375 4,4751 4,1566 3,8450 3,6052 3,4879 3,5084 3,6283 3,7701 3,8628 3,8848 3,8736 3,8939 3,9898 4,1583 4,3491 4,4758 4,4508 4,2410 3,8932 3,4942 3,1164 2,8056 2,5945 2,5054 2,5375 2,6581 2,8132 2,9520 3,0365 3,0390 2,9457 2,7663 2,5337 2,2869 2,0560 1,8603 1,7071 1,5882 1,4881 1,4062 1,3672 1,4028 1,5205 1,6934 1,8799 2,0496 2,1882 2,2826 2,3137 2,2718 2,1721 2,0483 1,9291 1,8187 1,6980 1,5480 1,3748 1,2122 1,0992 1,0560 1,0775 1,1424 1,2207 1,2745 1,2668 1,1861 1,0581 0,9249 0,8185 0,7586 0,7580 0,8185 0,9262 1,0596 1,2003 1,3299 1,4226 1,4507 1,3925 1,2361 0,9918 0,7028 0,4305 0,2249 0,1056 0,0578 0,0436 0,0272 -0,0026 -0,0322 -0,0420 -0,0227 0,0263 0,1028 0,1996 0,2961 0,3488 0,2984 0,1069 -0,1950 -0,5029 -0,6938 -0,6916 -0,4919 -0,1448 0,2681 0,6555 0,9458 1,1034 1,1196 1,0023 0,7785 0,4865 0,1572 -0,1959 -0,5739 -0,9818 -1,4105 -1,8256 -2,1754 -2,4174 -2,5402 -2,5611 -2,5070 -2,4090 -2,3069 -2,2387 -2,2201 -2,2346 -2,2468 -2,2284 -2,1741 -2,0968 -2,0156 -1,9516 -1,9230 -1,9398 -2,0052 -2,1145 -2,2477 -2,3763 -2,4854 -2,5896 -2,7221 -2,9022 -3,1087 -3,2822 -3,3573 -3,3039 -3,1391 -2,9009 -2,6155 -2,2882 -1,9229 -1,5470 -1,2052 -0,9321 -0,7406 -0,6254 -0,5651 -0,5221 -0,4569 -0,3573 -0,2533 -0,1972 -0,2268 -0,3451 -0,5321 -0,7677 -1,0351 -1,3127 -1,5719 -1,7876 -1,9465 -2,0467 -2,0957 -2,1082 -2,0919 -2,0432 -1,9625 -1,8577 -1,7356 -1,6024 -1,4648 -1,3297 -1,2136 -1,1494 -1,1631 -1,2409 -1,3338 -1,3947 -1,4071 -1,3771 -1,3162 -1,2330 -1,1332 -1,0211 -0,9050 -0,8011 -0,7327 -0,7212 -0,7689 -0,8461 -0,9045 -0,9135 -0,8822 -0,8456 -0,8334 -0,8502 -0,8795 -0,8999 -0,8966 -0,8763 -0,8803 -0,9720 -1,1988 -1,5598 -2,0018 -2,4500 -2,8527 -3,1984 -3,4938 -3,7378 -3,9268 -4,0737 -4,2085 -4,3556 -4,5131 -4,6592 -4,7782 -4,8641 -4,9038 -4,8826 -4,8070 -4,7058
Fz    1,3124 1,2353 1,1080 0,9258 0,6897 0,4129 0,1184 -0,1589 -0,3722 -0,4787 -0,4635 -0,3442 -0,1527 0,0782 0,3167 0,5413 0,7570 0,9859 1,2390 1,5040 1,7550 1,9631 2,1039 2,1649 2,1450 2,0465 1,8679 1,6079 1,2759 0,8871 0,4525 -0,0201 -0,5185 -1,0296 -1,5454 -2,0497 -2,5028 -2,8542 -3,0697 -3,1384 -3,0651 -2,8624 -2,5426 -2,1115 -1,5757 -0,9579 -0,3016 0,3382 0,9094 1,3739 1,7106 1,9167 2,0116 2,0361 2,0371 2,0533 2,1116 2,2273 2,4044 2,6324 2,8823 3,1052 3,2467 3,2690 3,1617 2,9380 2,6278 2,2695 1,9045 1,5711 1,2967 1,0908 0,9447 0,8420 0,7752 0,7521 0,7863 0,8813 1,0210 1,1665 1,2588 1,2379 1,0728 0,7851 0,4414 0,1186 -0,1337 -0,3030 -0,3988 -0,4339 -0,4121 -0,3317 -0,2001 -0,0366 0,1358 0,2971 0,4364 0,5652 0,7139 0,9037 1,1244 1,3458 1,5421 1,7029 1,8284 1,9242 1,9959 2,0372 2,0229 1,9235 1,7303 1,4647 1,1646 0,8626 0,5793 0,3339 0,1460 0,0210 -0,0647 -0,1603 -0,3131 -0,5331 -0,7870 -1,0252 -1,2118 -1,3373 -1,4187 -1,4873 -1,5682 -1,6666 -1,7678 -1,8401 -1,8398 -1,7265 -1,4844 -1,1380 -0,7462 -0,3749 -0,0685 0,1538 0,2807 0,3008 0,2134 0,0370 -0,1927 -0,4247 -0,5961 -0,6409 -0,5052 -0,1665 0,3566 1,0164 1,7563 2,5216 3,2613 3,9370 4,5308 5,0424 5,4717 5,7993 5,9928 6,0358 5,9520 5,8013 5,6546 5,5672 5,5621 5,6257 5,7219 5,8232 5,9303 6,0539 6,1830 6,2812 6,3146 6,2771 6,1931 6,1029 6,0469 6,0574 6,1481 6,3056 6,4959 6,6906 6,8828 7,0798 7,2900 7,5229 7,7868 8,0740 8,3442 8,5296 8,5619 8,4115 8,1061 7,7133 7,3053 6,9339 6,6221 6,3702 6,1692 6,0074 5,8681 5,7306 5,5751 5,3831 5,1398 4,8488 4,5406 4,2586 4,0343 3,8738 3,7570 3,6504 3,5263 3,3724 3,1867 2,9738 2,7474 2,5279 2,3329 2,1738 2,0601 2,0016 2,0060 2,0733 2,1875 2,3138 2,4134 2,4669 2,4828 2,4825 2,4833 2,4946 2,5204 2,5545 2,5855 2,6140 2,6613 2,7550 2,9054 3,0948 3,2816 3,4239 3,5122 3,5827 3,6980 3,9085 4,2195 4,5882 4,9536 5,2771 5,5570 5,8156 6,0789 6,3648 6,6759 6,9990 7,3191 7,6333 7,9462 8,2587 8,5690 8,8771 9,1838 9,4847 9,7612 9,9784 10,0964 10,0881 9,9462 9,6815 9,3227 8,9168 8,5250 8,2123 8,0255 7,9727 8,0240 8,1344 8,2694 8,4111 8,5531 8,6994 8,8645 9,0640 9,2963 9,5318 9,7214 9,8189 9,8026 9,6857 9,5082 9,3177 9,1509 9,0272 8,9560 8,9531 9,0434 9,2416 9,5384 9,9058 10,3019 10,6652 10,9292 11,0601 11,0759 11,0166 10,9041 10,7342 10,4989 10,2061 9,8841 9,5776 9,3373 9,2052 9,1990 9,3054 9,4929 9,7347 10,0106 10,2877 10,5092 10,6083 10,5397 10,3030 9,9418 9,5266 9,1390 8,8571 8,7345 8,7807 8,9613 9,2231 9,5243 9,8446 10,1723 10,4823 10,7246 10,8428 10,8066 10,6255 10,3371 9,9944 9,6587 9,3884 9,2226 9,1703 9,2139 9,3191 9,4479 9,5720 9,6736 9,7403 9,7693 9,7745 9,7778 9,7916 9,8106 9,8175 9,7909 9,7096 9,5565 9,3232 9,0153 8,6576 8,2942 7,9744 7,7379 7,6067 7,5792 7,6223 7,6830 7,7186 7,7254 7,7401 7,8086 7,9459 8,1213 8,2726 8,3267 8,2257 7,9629 7,5962 7,2102 6,8677 6,6007 6,4270 6,3542 6,3656 6,4127 6,4329 6,3803 6,2405 6,0229 5,7511 5,4591 5,1876 4,9691 4,8132 4,7138 4,6653 4,6627 4,6921 4,7347 4,7824 4,8464 4,9464 5,0867 5,2412 5,3620 5,4034 5,3388 5,1648 4,9068 4,6199 4,3685 4,1937 4,0959 4,0443 4,0044 3,9625 3,9293 3,9245 3,9560 4,0143 4,0794 4,1272 4,1296 4,0640 3,9341 3,7720 3,6111 3,4653 3,3371 3,2350 3,1779 3,1886 3,2825 3,4542 3,6686 3,8685 4,0024 4,0418 3,9756 3,8125 3,5908 3,3670 3,1836 3,0510 2,9514 2,8517 2,7174 2,5297 2,2985 2,0592 1,8554 1,7199 1,6644 1,6793 1,7402 1,8101 1,8396 1,7869 1,6559 1,5109 1,4429 1,5176 1,7472 2,0975 2,5067 2,9075 3,2496 3,5065 3,6634 3,7064 3,6296 3,4430 3,1678 2,8237 2,4158 1,9334 1,3681 0,7340 0,0750 -0,5465 -1,0734 -1,4729 -1,7378 -1,8798 -1,9221 -1,8900 -1,7994 -1,6533 -1,4491 -1,1895 -0,8896 -0,5754 -0,2826 -0,0576 0,0507 0,0055 -0,2060 -0,5647 -1,0229 -1,5243 -2,0295 -2,5310 -3,0407 -3,5587 -4,0491 -4,4459 -4,6865 -4,7446 -4,6322 -4,3743 -3,9861 -3,4770 -2,8729 -2,2286 -1,6115 -1,0756 -0,6500 -0,3368 -0,1096 0,0799 0,2743 0,4764 0,6400 0,6973 0,6027 0,3562 -0,0082 -0,4470 -0,9153 -1,3675 -1,7659 -2,0870 -2,3165 -2,4387 -2,4387 -2,3098 -2,0607 -1,7191 -1,3315 -0,9502 -0,6202 -0,3680 -0,1939 -0,0782 -0,0058 0,0127 -0,0448 -0,1740 -0,3317 -0,4622 -0,5329 -0,5516 -0,5601 -0,6080 -0,7216 -0,8900 -1,0782 -1,2529 -1,3971 -1,5045 -1,5669 -1,5703 -1,5040 -1,3774 -1,2257 -1,0968 -1,0236 -1,0009 -0,9904 -0,9504 -0,8665 -0,7655 -0,7096 -0,7720 -0,9997 -1,3837 -1,8598 -2,3459 -2,7909 -3,1930 -3,5766 -3,9589 -4,3415 -4,7251 -5,1148 -5,5044 -5,8648 -6,1611 -6,3742 -6,4952 -6,5094 -6,4101 -6,2257 -6,0159
F3    0,9377 0,8527 0,7369 0,5850 0,3909 0,1554 -0,1096 -0,3757 -0,5999 -0,7432 -0,7927 -0,7603 -0,6642 -0,5211 -0,3503 -0,1642 0,0472 0,3057 0,6168 0,9601 1,3008 1,5969 1,8060 1,9007 1,8796 1,7611 1,5643 1,3002 0,9796 0,6198 0,2390 -0,1481 -0,5302 -0,9026 -1,2698 -1,6306 -1,9586 -2,2088 -2,3406 -2,3331 -2,1855 -1,9122 -1,5349 -1,0739 -0,5489 0,0123 0,5729 1,0948 1,5448 1,8981 2,1392 2,2634 2,2837 2,2349 2,1635 2,1152 2,1255 2,2132 2,3787 2,6058 2,8597 3,0864 3,2298 3,2539 3,1518 2,9441 2,6680 2,3628 2,0600 1,7844 1,5549 1,3789 1,2495 1,1536 1,0859 1,0571 1,0845 1,1722 1,2995 1,4249 1,4926 1,4461 1,2531 0,9276 0,5275 0,1260 -0,2188 -0,4738 -0,6250 -0,6691 -0,6057 -0,4407 -0,2006 0,0680 0,3182 0,5186 0,6613 0,7659 0,8698 0,9995 1,1526 1,3079 1,4455 1,5562 1,6404 1,7065 1,7667 1,8194 1,8344 1,7675 1,5950 1,3333 1,0272 0,7209 0,4433 0,2131 0,0435 -0,0679 -0,1485 -0,2442 -0,3920 -0,5934 -0,8180 -1,0287 -1,2020 -1,3312 -1,4255 -1,5036 -1,5845 -1,6781 -1,7771 -1,8513 -1,8504 -1,7267 -1,4657 -1,1032 -0,7110 -0,3623 -0,1003 0,0660 0,1448 0,1474 0,0863 -0,0279 -0,1840 -0,3547 -0,4844 -0,4993 -0,3336 0,0410 0,6026 1,2949 2,0523 2,8102 3,5077 4,0978 4,5633 4,9203 5,1951 5,3967 5,5129 5,5337 5,4740 5,3765 5,2939 5,2669 5,3096 5,4060 5,5221 5,6323 5,7341 5,8339 5,9183 5,9491 5,8906 5,7430 5,5461 5,3564 5,2257 5,1908 5,2623 5,4176 5,6131 5,8131 6,0058 6,1974 6,3984 6,6208 6,8753 7,1568 7,4312 7,6355 7,7011 7,5940 7,3385 6,9981 6,6388 6,3039 6,0100 5,7570 5,5418 5,3635 5,2180 5,0932 4,9699 4,8230 4,6277 4,3762 4,0900 3,8100 3,5768 3,4151 3,3220 3,2690 3,2234 3,1642 3,0799 2,9635 2,8187 2,6646 2,5244 2,4113 2,3280 2,2761 2,2609 2,2849 2,3362 2,3856 2,4026 2,3754 2,3168 2,2499 2,1932 2,1578 2,1470 2,1522 2,1609 2,1799 2,2412 2,3749 2,5787 2,8107 3,0063 3,1145 3,1332 3,1147 3,1381 3,2667 3,5119 3,8295 4,1539 4,4417 4,6900 4,9226 5,1643 5,4252 5,6979 5,9631 6,2065 6,4346 6,6705 6,9368 7,2416 7,5775 7,9278 8,2749 8,6008 8,8801 9,0776 9,1593 9,1064 8,9232 8,6366 8,2900 7,9368 7,6322 7,4176 7,3066 7,2829 7,3160 7,3802 7,4648 7,5710 7,7069 7,8841 8,1088 8,3658 8,6125 8,7936 8,8650 8,8143 8,6681 8,4817 8,3132 8,2013 8,1585 8,1833 8,2821 8,4687 8,7404 9,0691 9,4190 9,7552 10,0304 10,1910 10,2121 10,1158 9,9428 9,7139 9,4250 9,0707 8,6682 8,2591 7,8943 7,6185 7,4624 7,4354 7,5226 7,6984 7,9447 8,2439 8,5538 8,8012 8,9091 8,8335 8,5821 8,2047 7,7738 7,3700 7,0696 6,9255 6,9492 7,1102 7,3586 7,6546 7,9805 8,3290 8,6790 8,9829 9,1853 9,2537 9,1906 9,0263 8,8089 8,5931 8,4284 8,3478 8,3629 8,4601 8,6041 8,7537 8,8809 8,9732 9,0247 9,0366 9,0246 9,0120 9,0144 9,0325 9,0569 9,0716 9,0558 8,9893 8,8581 8,6583 8,4003 8,1097 7,8212 7,5775 7,4250 7,3907 7,4547 7,5573 7,6398 7,6845 7,7223 7,8030 7,9488 8,1335 8,2934 8,3505 8,2424 7,9619 7,5699 7,1563 6,7898 6,5056 6,3211 6,2415 6,2495 6,3006 6,3395 6,3271 6,2488 6,1025 5,8894 5,6190 5,3150 5,0101 4,7347 4,5144 4,3712 4,3119 4,3196 4,3659 4,4320 4,5176 4,6292 4,7616 4,8912 4,9891 5,0360 5,0215 4,9371 4,7864 4,5995 4,4236 4,2946 4,2171 4,1690 4,1255 4,0800 4,0456 4,0396 4,0649 4,1057 4,1356 4,1277 4,0561 3,9017 3,6716 3,4061 3,1547 2,9496 2,8054 2,7303 2,7305 2,8116 2,9762 3,2145 3,4918 3,7531 3,9450 4,0321 3,9969 3,8431 3,6046 3,3326 3,0705 2,8398 2,6366 2,4351 2,2031 1,9258 1,6211 1,3326 1,1049 0,9659 0,9236 0,9688 1,0749 1,1959 1,2721 1,2575 1,1561 1,0321 0,9758 1,0546 1,2891 1,6568 2,1033 2,5571 2,9547 3,2571 3,4416 3,4903 3,3987 3,1850 2,8841 2,5271 2,1235 1,6629 1,1396 0,5760 0,0203 -0,4758 -0,8778 -1,1715 -1,3569 -1,4471 -1,4675 -1,4443 -1,3877 -1,2876 -1,1280 -0,9092 -0,6542 -0,3977 -0,1754 -0,0207 0,0377 -0,0217 -0,2089 -0,5117 -0,8914 -1,2986 -1,7011 -2,0967 -2,5003 -2,9159 -3,3142 -3,6354 -3,8159 -3,8235 -3,6709 -3,3970 -3,0332 -2,5897 -2,0781 -1,5401 -1,0389 -0,6284 -0,3360 -0,1613 -0,0761 -0,0288 0,0345 0,1359 0,2468 0,3059 0,2628 0,1087 -0,1348 -0,4406 -0,7794 -1,1142 -1,4099 -1,6475 -1,8218 -1,9283 -1,9578 -1,9028 -1,7644 -1,5553 -1,3014 -1,0380 -0,8027 -0,6229 -0,5035 -0,4280 -0,3827 -0,3776 -0,4314 -0,5340 -0,6374 -0,6858 -0,6506 -0,5457 -0,4190 -0,3253 -0,2970 -0,3316 -0,4073 -0,5101 -0,6441 -0,8189 -1,0269 -1,2337 -1,3933 -1,4785 -1,4992 -1,4925 -1,4923 -1,4990 -1,4805 -1,4022 -1,2574 -1,0807 -0,9408 -0,9173 -1,0634 -1,3744 -1,7888 -2,2269 -2,6401 -3,0289 -3,4165 -3,8129 -4,2085 -4,5945 -4,9718 -5,3338 -5,6507 -5,8854 -6,0190 -6,0467 -5,9612 -5,7662 -5,5012 -5,2327
F7    -1,3568 -1,3674 -1,3704 -1,3655 -1,3564 -1,3458 -1,3321 -1,3051 -1,2456 -1,1339 -0,9616 -0,7344 -0,4663 -0,1778 0,1025 0,3516 0,5691 0,7691 0,9546 1,1133 1,2315 1,2977 1,3024 1,2475 1,1533 1,0478 0,9479 0,8516 0,7478 0,6273 0,4844 0,3175 0,1315 -0,0679 -0,2820 -0,5062 -0,7144 -0,8671 -0,9341 -0,9033 -0,7780 -0,5733 -0,3076 0,0047 0,3476 0,6913 0,9986 1,2422 1,4121 1,5085 1,5299 1,4734 1,3517 1,2011 1,0683 0,9922 0,9949 1,0811 1,2413 1,4550 1,6857 1,8806 1,9889 1,9876 1,8911 1,7380 1,5676 1,4035 1,2509 1,1055 0,9611 0,8119 0,6542 0,4928 0,3472 0,2495 0,2335 0,3160 0,4835 0,6884 0,8567 0,9132 0,8175 0,5831 0,2674 -0,0589 -0,3404 -0,5459 -0,6664 -0,7076 -0,6754 -0,5757 -0,4316 -0,2877 -0,1854 -0,1403 -0,1384 -0,1431 -0,1118 -0,0228 0,1129 0,2683 0,4217 0,5621 0,6858 0,7937 0,8865 0,9510 0,9553 0,8647 0,6667 0,3821 0,0546 -0,2728 -0,5699 -0,8147 -0,9939 -1,1146 -1,2106 -1,3302 -1,5080 -1,7426 -2,0039 -2,2560 -2,4740 -2,6498 -2,7906 -2,9104 -3,0173 -3,1057 -3,1559 -3,1343 -2,9967 -2,7063 -2,2615 -1,7103 -1,1387 -0,6344 -0,2500 0,0042 0,1402 0,1749 0,1261 0,0073 -0,1700 -0,3777 -0,5597 -0,6438 -0,5658 -0,2951 0,1542 0,7346 1,3880 2,0542 2,6687 3,1763 3,5560 3,8282 4,0284 4,1710 4,2400 4,2136 4,0986 3,9419 3,8134 3,7749 3,8546 4,0384 4,2791 4,5258 4,7516 4,9509 5,1078 5,1810 5,1271 4,9364 4,6425 4,3077 4,0037 3,7935 3,7118 3,7528 3,8815 4,0601 4,2630 4,4731 4,6805 4,8893 5,1157 5,3678 5,6250 5,8343 5,9321 5,8854 5,7181 5,4930 5,2729 5,0937 4,9601 4,8567 4,7654 4,6782 4,5959 4,5202 4,4423 4,3361 4,1672 3,9226 3,6270 3,3289 3,0786 2,9116 2,8323 2,8119 2,8096 2,7920 2,7342 2,6191 2,4509 2,2626 2,0995 1,9933 1,9509 1,9651 2,0287 2,1316 2,2501 2,3487 2,3989 2,3963 2,3586 2,3056 2,2469 2,1884 2,1381 2,0935 2,0396 1,9749 1,9325 1,9589 2,0718 2,2400 2,3981 2,4864 2,4893 2,4451 2,4222 2,4766 2,6154 2,7959 2,9596 3,0716 3,1360 3,1808 3,2335 3,3083 3,4002 3,4910 3,5692 3,6492 3,7634 3,9352 4,1611 4,4161 4,6721 4,9120 5,1264 5,3001 5,4087 5,4309 5,3614 5,2121 5,0057 4,7671 4,5240 4,3105 4,1599 4,0874 4,0786 4,0993 4,1194 4,1310 4,1474 4,1897 4,2752 4,4069 4,5623 4,6936 4,7493 4,6975 4,5390 4,3100 4,0698 3,8726 3,7417 3,6686 3,6392 3,6656 3,7839 4,0167 4,3493 4,7437 5,1540 5,5187 5,7664 5,8544 5,7944 5,6277 5,3829 5,0649 4,6761 4,2395 3,8038 3,4302 3,1744 3,0719 3,1278 3,3170 3,6036 3,9617 4,3677 4,7729 5,0982 5,2618 5,2152 4,9615 4,5488 4,0528 3,5625 3,1686 2,9426 2,9124 3,0556 3,3221 3,6631 4,0456 4,4473 4,8395 5,1762 5,4087 5,5115 5,4895 5,3674 5,1812 4,9765 4,7998 4,6854 4,6460 4,6681 4,7168 4,7546 4,7629 4,7438 4,7078 4,6686 4,6450 4,6553 4,7054 4,7873 4,8862 4,9826 5,0513 5,0679 5,0167 4,8925 4,7017 4,4619 4,2018 3,9665 3,8152 3,7919 3,8899 4,0526 4,2108 4,3274 4,4143 4,5062 4,6189 4,7347 4,8144 4,8108 4,6850 4,4363 4,1166 3,8006 3,5436 3,3734 3,3064 3,3506 3,4894 3,6755 3,8502 3,9675 4,0011 3,9377 3,7748 3,5254 3,2183 2,8880 2,5682 2,2952 2,1052 2,0164 2,0172 2,0765 2,1653 2,2733 2,4034 2,5540 2,7094 2,8458 2,9418 2,9785 2,9386 2,8203 2,6516 2,4786 2,3331 2,2126 2,0913 1,9499 1,7938 1,6466 1,5346 1,4730 1,4627 1,4960 1,5543 1,6004 1,5908 1,5094 1,3797 1,2400 1,1176 1,0262 0,9722 0,9571 0,9819 1,0491 1,1549 1,2792 1,3878 1,4489 1,4434 1,3636 1,2196 1,0480 0,8949 0,7901 0,7386 0,7226 0,7097 0,6672 0,5801 0,4613 0,3468 0,2748 0,2663 0,3193 0,4147 0,5211 0,5944 0,5823 0,4512 0,2216 -0,0258 -0,1889 -0,1964 -0,0296 0,2880 0,7022 1,1395 1,5318 1,8339 2,0144 2,0474 1,9245 1,6698 1,3325 0,9618 0,5790 0,1746 -0,2654 -0,7289 -1,1741 -1,5544 -1,8416 -2,0264 -2,1112 -2,1082 -2,0404 -1,9347 -1,8116 -1,6811 -1,5485 -1,4218 -1,3103 -1,2179 -1,1415 -1,0818 -1,0528 -1,0782 -1,1782 -1,3530 -1,5771 -1,8161 -2,0506 -2,2858 -2,5399 -2,8233 -3,1157 -3,3597 -3,4880 -3,4682 -3,3201 -3,0892 -2,8083 -2,4872 -2,1368 -1,7922 -1,4985 -1,2844 -1,1559 -1,1038 -1,1035 -1,1104 -1,0756 -0,9812 -0,8616 -0,7852 -0,8068 -0,9354 -1,1505 -1,4338 -1,7700 -2,1323 -2,4863 -2,8038 -3,0644 -3,2459 -3,3215 -3,2690 -3,0826 -2,7825 -2,4160 -2,0457 -1,7326 -1,5233 -1,4344 -1,4486 -1,5369 -1,6837 -1,8792 -2,0913 -2,2642 -2,3413 -2,2907 -2,1180 -1,8634 -1,5820 -1,3201 -1,1031 -0,9422 -0,8490 -0,8404 -0,9254 -1,0874 -1,2765 -1,4312 -1,5187 -1,5534 -1,5787 -1,6313 -1,7135 -1,7921 -1,8253 -1,7933 -1,7137 -1,6410 -1,6455 -1,7743 -2,0194 -2,3195 -2,6034 -2,8393 -3,0468 -3,2627 -3,5025 -3,7557 -4,0093 -4,2593 -4,4946 -4,6856 -4,8046 -4,8502 -4,8349 -4,7606 -4,6284 -4,4643 -4,3177
