Fp1   1,1626 1,6545 2,0689 2,2729 2,1088 1,4807 0,4566 -0,6735 -1,5027 -1,7417 -1,3733 -0,6277 0,1481 0,6599 0,7887 0,5727 0,1205 -0,4355 -0,9618 -1,3493 -1,5452 -1,5795 -1,5416 -1,5139 -1,5278 -1,5874 -1,7153 -1,9264 -2,1543 -2,2455 -2,0382 -1,4495 -0,5126 0,6264 1,7325 2,5577 2,9659 2,9723 2,6446 2,0486 1,3054 0,5854 0,0104 -0,4033 -0,6857 -0,8063 -0,6647 -0,1999 0,5181 1,3005 1,9265 2,2372 2,1849 1,8238 1,2858 0,7885 0,6114 0,9760 1,8883 3,0836 4,1435 4,7023 4,5884 3,8407 2,6380 1,1922 -0,3352 -1,8451 -3,2482 -4,4338 -5,3052 -5,7903 -5,8023 -5,2566 -4,1627 -2,6788 -1,0674 0,3663 1,2991 1,4649 0,8115 -0,4395 -1,9444 -3,4298 -4,7550 -5,8953 -6,8958 -7,7841 -8,5150 -9,0232 -9,3157 -9,4938 -9,6789 -9,8727 -9,8879 -9,4955 -8,6850 -7,7146 -6,8988 -6,4429 -6,4605 -6,9968 -8,0078 -9,3932 -11,0368 -12,7521 -14,2145 -15,0476 -15,0577 -14,3801 -13,3691 -12,3709 -11,5914 -11,0796 -10,7664 -10,5385 -10,2987 -9,9881 -9,6229 -9,3110 -9,1676 -9,1843 -9,1702 -8,8012 -7,7384 -5,7814 -2,9909 0,3317 3,7961 7,0453 9,7916 11,8523 13,1965 13,9511 14,3531 14,6546 15,0217 15,4939 15,9952 16,3538 16,3895 16,0545 15,4566 14,7360 13,9953 13,3774 13,1183 13,4019 14,1687 15,1539 16,0961 16,8278 17,2271 17,2176 16,8357 16,2422 15,6526 15,2653 15,2270 15,6090 16,3890 17,4577 18,6387 19,7317 20,5660 21,0249 21,0640 20,7305 20,1530 19,4916 18,8313 18,1107 17,1982 16,0282 14,6616 13,2748 12,1028 11,3457 11,0762 11,2037 11,5253 11,7958 11,7665 11,2657 10,2883 8,9430 7,3368 5,5893 3,8989 2,5162 1,6469 1,3502 1,5110 1,9291 2,4599 3,0974 3,9319 5,0124 6,2285 7,3119 7,9413 7,8663 7,0049 5,5108 3,7356 2,0489 0,6744 -0,2928 -0,7917 -0,7657 -0,1757 0,9582 2,5065 4,2604 6,0148 7,5980 8,8611 9,6926 10,0451 9,9291 9,3835 8,4476 7,1672 5,6423 4,0585 2,6451 1,5860 0,9290 0,5518 0,2253 -0,2474 -0,8899 -1,5116 -1,8142 -1,5701 -0,7560 0,4439 1,7667 3,0037 4,0231 4,7676 5,2812 5,6464 5,8551 5,8224 5,5660 5,3245 5,4426 6,1400 7,3942 8,9589 10,4230 11,3434 11,4825 10,9740 10,2119 9,5714 9,2414 9,1888 9,1852 8,9683 8,4378 7,6605 6,7376 5,7412 4,7487 3,8640 3,1872 2,8188 2,8891 3,5130 4,7153 6,3966 8,3123 10,0959 11,3764 11,9377 11,8097 11,2285 10,4927 9,7917 9,1196 8,3487 7,3720 6,1908 4,9120 3,6748 2,5792 1,6992 1,1358 0,9937 1,2895 1,9302 2,8008 3,8457 5,0722 6,4977 8,0768 9,6603 11,0402 12,0484 12,6122 12,7312 12,4408 11,7863 10,7949 9,5140 8,1088 6,8366 5,9139 5,4865 5,6469 6,3436 7,3102 8,1736 8,6208 8,4786 7,7690 6,7463 5,7829 5,1538 4,9233 4,9930 5,2545 5,7098 6,4077 7,2911 8,1891 8,9287 9,4018 9,5771 9,4918 9,2039 8,7545 8,1916 7,5911 7,0345 6,6021 6,3925 6,5304 7,1124 8,0910 9,1993 9,9986 10,0786 9,3515 8,1546 6,9997 6,2460 5,9725 5,9969 5,9725 5,5888 4,7716 3,6938 2,5961 1,6131 0,7691 0,0894 -0,3648 -0,5797 -0,6270 -0,5868 -0,4831 -0,3126 -0,0726 0,2413 0,6010 0,9272 1,1505 1,2488 1,2004 0,9612 0,5306 0,0023 -0,4812 -0,8072 -0,9388 -0,9067 -0,7564 -0,4880 -0,0308 0,6925 1,6365 2,5908 3,2675 3,4252 2,9885 2,1253 1,1757 0,4403 0,0272 -0,1078 -0,0300 0,2421 0,7289 1,4423 2,3119 3,1401 3,6545 3,6616 3,2043 2,5579 2,0078 1,6257 1,2920 0,8770 0,3217 -0,3928 -1,2374 -2,1135 -2,9046 -3,5348 -3,9752 -4,1970 -4,1069 -3,5872 -2,6635 -1,5742 -0,5851 0,2527 1,1082 2,1346 3,2795 4,3225 5,0320 5,2909 5,1397 4,7312 4,2539 3,8739 3,6703 3,5734 3,3775 2,8692 2,0023 0,9257 -0,1819 -1,2283 -2,1248 -2,7061 -2,8224 -2,4643 -1,7466 -0,8139 0,1840 1,0505 1,5590 1,5593 1,0603 0,2063 -0,8031 -1,7705 -2,4995 -2,7818 -2,4393 -1,4121 0,1904 2,1278 4,1117 5,8678 7,1672 7,8545 7,8876 7,3418 6,3585 5,1266 3,8844 2,8239 1,9776 1,2415 0,4611 -0,5213 -1,8034 -3,3060 -4,7155 -5,6264 -5,8226 -5,4444 -4,9085 -4,6931 -5,1484 -6,3933 -8,2798 -10,4156 -12,2866 -13,4619 -13,7667 -13,3305 -12,4854 -11,5702 -10,7606 -10,0336 -9,2797 -8,4574 -7,6655 -7,1041 -6,9605 -7,2926 -7,9749 -8,7410 -9,3116 -9,5081 -9,2766 -8,6544 -7,7220 -6,5651 -5,2574 -3,8342 -2,2731 -0,5288 1,4112 3,4981 5,6269 7,6780 9,5436 11,0841 12,0949 12,3737 11,8253 10,5370 8,7892 6,9316 5,2028 3,6914 2,4250 1,4019 0,5456 -0,2780 -1,1463 -1,9721 -2,5293 -2,6523 -2,4315 -2,1846 -2,2222 -2,6242 -3,2134 -3,7088 -3,8940 -3,7152 -3,2908 -2,8087 -2,3865 -2,0350 -1,7408 -1,5382 -1,4883 -1,6509 -2,1098 -2,9837 -4,3541 -6,1542 -8,1454 -10,0125 -11,4697 -12,3328 -12,5531 -12,1769 -11,3013 -10,0854 -8,7447 -7,4788 -6,3985 -5,5240 -4,8262 -4,2268 -3,5894 -2,8270 -2,0517 -1,5411 -1,5143 -1,9588 -2,6682 -3,4250 -4,1160 -4,6655 -4,9213 -4,6883 -3,8784 -2,5918 -1,0654 0,4333 1,6740 2,4502 2,5481 1,8176 0,3167 -1,6532 -3,6995 -5,5406 -7,0813 -8,2971 -9,0589 -9,1358 -8,3794 -6,8620 -4,8497 -2,6972 -0,7819
Fz    0,3529 0,4545 0,5611 0,6427 0,6506 0,5359 0,2894 -0,0235 -0,2897 -0,4168 -0,3778 -0,2079 0,0225 0,2432 0,4110 0,5092 0,5375 0,5129 0,4621 0,4051 0,3467 0,2800 0,1927 0,0725 -0,0869 -0,2836 -0,5105 -0,7466 -0,9472 -1,0640 -1,0777 -1,0055 -0,8795 -0,7264 -0,5673 -0,4180 -0,2812 -0,1508 -0,0318 0,0648 0,1451 0,2259 0,3071 0,3652 0,3763 0,3404 0,2820 0,2244 0,1699 0,1092 0,0459 0,0036 0,0044 0,0449 0,0940 0,1264 0,1554 0,2261 0,3701 0,5644 0,7381 0,8126 0,7359 0,4970 0,1214 -0,3570 -0,9217 -1,5646 -2,2509 -2,9030 -3,4275 -3,7533 -3,8454 -3,7055 -3,3739 -2,9212 -2,4302 -1,9874 -1,6807 -1,5718 -1,6482 -1,8238 -2,0045 -2,1425 -2,2415 -2,3489 -2,5412 -2,8723 -3,3242 -3,8196 -4,2762 -4,6480 -4,9311 -5,1301 -5,2246 -5,1852 -5,0186 -4,7688 -4,4818 -4,1965 -3,9665 -3,8567 -3,9166 -4,1710 -4,6237 -5,2331 -5,8859 -6,4315 -6,7656 -6,8798 -6,8386 -6,7291 -6,6302 -6,5917 -6,6168 -6,6662 -6,6798 -6,6065 -6,4311 -6,1815 -5,9009 -5,6061 -5,2655 -4,8119 -4,1766 -3,3273 -2,2919 -1,1452 0,0303 1,1709 2,2306 3,1786 4,0104 4,7579 5,4768 6,2059 6,9361 7,6219 8,2055 8,6206 8,8110 8,7725 8,5615 8,2575 7,9386 7,6943 7,6279 7,7991 8,1664 8,6166 9,0471 9,4020 9,6575 9,8147 9,9046 9,9787 10,0838 10,2453 10,4664 10,7400 11,0624 11,4289 11,8103 12,1550 12,4143 12,5545 12,5626 12,4607 12,3039 12,1490 12,0089 11,8364 11,5612 11,1431 10,5961 9,9870 9,4156 8,9749 8,7039 8,5668 8,4812 8,3613 8,1357 7,7608 7,2407 6,6141 5,9226 5,2109 4,5460 4,0101 3,6648 3,5140 3,5034 3,5639 3,6631 3,8228 4,0901 4,4782 4,9260 5,3173 5,5395 5,5273 5,2778 4,8529 4,3547 3,8650 3,4119 3,0053 2,6829 2,5129 2,5727 2,9106 3,5044 4,2622 5,0652 5,8006 6,3784 6,7494 6,9135 6,9037 6,7605 6,5137 6,1830 5,7968 5,4059 5,0706 4,8357 4,7115 4,6784 4,7027 4,7458 4,7790 4,8111 4,8947 5,0907 5,4163 5,8192 6,2029 6,4778 6,5934 6,5503 6,4018 6,2167 6,0240 5,8079 5,5620 5,3332 5,2032 5,2339 5,4321 5,7401 6,0416 6,2082 6,1804 6,0088 5,8052 5,6581 5,5993 5,6111 5,6348 5,6017 5,4738 5,2441 4,9151 4,4985 4,0348 3,5949 3,2543 3,0739 3,1055 3,3890 3,9303 4,6783 5,5191 6,2984 6,8731 7,1620 7,1654 6,9511 6,6180 6,2442 5,8496 5,4113 4,9108 4,3638 3,8176 3,3268 2,9343 2,6816 2,6211 2,7886 3,1610 3,6643 4,2206 4,7749 5,2958 5,7747 6,2159 6,6134 6,9420 7,1752 7,3047 7,3354 7,2679 7,0915 6,7899 6,3653 5,8645 5,3735 4,9858 4,7846 4,8254 5,0988 5,5184 5,9549 6,2806 6,3976 6,2716 5,9595 5,5758 5,2219 4,9465 4,7544 4,6448 4,6380 4,7476 4,9365 5,1273 5,2521 5,2821 5,2343 5,1587 5,1010 5,0709 5,0481 5,0046 4,9202 4,7961 4,6659 4,5956 4,6527 4,8512 5,1170 5,3049 5,2715 4,9761 4,5164 4,0461 3,6754 3,4435 3,3255 3,2423 3,1041 2,8750 2,5893 2,3036 2,0416 1,7940 1,5576 1,3530 1,2053 1,1251 1,1180 1,1932 1,3488 1,5651 1,8173 2,0744 2,2921 2,4305 2,4695 2,4003 2,2217 1,9570 1,6537 1,3555 1,0809 0,8303 0,6065 0,4234 0,3078 0,3006 0,4345 0,6905 0,9870 1,2195 1,3103 1,2477 1,1040 1,0001 1,0227 1,1677 1,3633 1,5366 1,6547 1,7237 1,7643 1,7858 1,7724 1,6880 1,5073 1,2601 1,0299 0,8854 0,8213 0,7832 0,7337 0,6691 0,5896 0,4870 0,3579 0,2131 0,0762 -0,0260 -0,0678 -0,0131 0,1699 0,4537 0,7384 0,9355 1,0574 1,2029 1,4560 1,8202 2,2351 2,6206 2,9073 3,0553 3,0637 2,9685 2,8267 2,6817 2,5297 2,3150 1,9736 1,4941 0,9286 0,3500 -0,1747 -0,5702 -0,7551 -0,6908 -0,4173 -0,0272 0,3819 0,7254 0,9292 0,9449 0,7757 0,4796 0,1432 -0,1512 -0,3486 -0,4251 -0,3742 -0,1927 0,1121 0,5090 0,9509 1,3986 1,8275 2,2089 2,4981 2,6539 2,6679 2,5673 2,4029 2,2290 2,0712 1,9129 1,7145 1,4332 1,0325 0,5011 -0,1169 -0,7100 -1,1456 -1,3525 -1,3670 -1,3105 -1,3302 -1,5407 -1,9872 -2,6363 -3,3803 -4,0663 -4,5489 -4,7468 -4,6737 -4,4211 -4,0966 -3,7635 -3,4295 -3,0860 -2,7528 -2,4964 -2,4117 -2,5742 -2,9878 -3,5619 -4,1352 -4,5396 -4,6641 -4,4790 -4,0193 -3,3517 -2,5510 -1,6858 -0,7986 0,1051 1,0413 2,0174 3,0126 3,9795 4,8620 5,6087 6,1700 6,4983 6,5654 6,3786 5,9888 5,4875 4,9756 4,5185 4,1346 3,8214 3,5680 3,3434 3,1032 2,8274 2,5509 2,3511 2,2829 2,3209 2,3749 2,3607 2,2533 2,0844 1,9098 1,7843 1,7396 1,7705 1,8489 1,9514 2,0643 2,1616 2,1981 2,1378 1,9717 1,6993 1,3089 0,7889 0,1604 -0,5068 -1,1099 -1,5511 -1,7761 -1,7885 -1,6283 -1,3480 -1,0122 -0,6917 -0,4346 -0,2475 -0,1129 -0,0163 0,0624 0,1683 0,3435 0,5720 0,7824 0,9092 0,9388 0,8979 0,8096 0,6694 0,4699 0,2400 0,0458 -0,0506 -0,0255 0,1073 0,3146 0,5500 0,7499 0,8388 0,7588 0,5083 0,1498 -0,2262 -0,5527 -0,8127 -1,0158 -1,1508 -1,1747 -1,0504 -0,7807 -0,4036 0,0308 0,4620
F3    1,0893 1,1083 1,0416 0,8871 0,6289 0,2469 -0,2388 -0,7279 -1,0781 -1,1970 -1,0900 -0,8340 -0,5281 -0,2492 -0,0273 0,1446 0,2840 0,4032 0,5029 0,5686 0,5742 0,4963 0,3316 0,1023 -0,1535 -0,4049 -0,6461 -0,8803 -1,0902 -1,2409 -1,3057 -1,2772 -1,1592 -0,9637 -0,7169 -0,4516 -0,1838 0,0860 0,3437 0,5620 0,7303 0,8587 0,9514 0,9909 0,9509 0,8313 0,6697 0,5082 0,3570 0,1945 -0,0016 -0,2311 -0,4735 -0,7031 -0,8911 -0,9874 -0,9180 -0,6259 -0,1260 0,4772 1,0301 1,4003 1,5193 1,3839 1,0314 0,4975 -0,2105 -1,0880 -2,0757 -3,0384 -3,8110 -4,2607 -4,3203 -4,0007 -3,3927 -2,6409 -1,8933 -1,2714 -0,8718 -0,7534 -0,8958 -1,1942 -1,5202 -1,7871 -1,9705 -2,1058 -2,2686 -2,5218 -2,8727 -3,2846 -3,7160 -4,1401 -4,5388 -4,8823 -5,1146 -5,1834 -5,0912 -4,8960 -4,6582 -4,4146 -4,1992 -4,0532 -4,0143 -4,1200 -4,4048 -4,8579 -5,3843 -5,8415 -6,1282 -6,2328 -6,2116 -6,1430 -6,0990 -6,1262 -6,2248 -6,3449 -6,4084 -6,3464 -6,1390 -5,8274 -5,4808 -5,1456 -4,8131 -4,4209 -3,8816 -3,1305 -2,1676 -1,0569 0,1123 1,2540 2,2938 3,1812 3,9073 4,5072 5,0420 5,5626 6,0865 6,6084 7,1103 7,5435 7,8324 7,9275 7,8386 7,6148 7,3236 7,0579 6,9300 7,0137 7,2858 7,6515 8,0221 8,3478 8,5989 8,7578 8,8336 8,8669 8,9163 9,0366 9,2619 9,6039 10,0581 10,5983 11,1615 11,6604 12,0186 12,1909 12,1671 11,9755 11,6781 11,3447 11,0063 10,6378 10,1995 9,6858 9,1340 8,6139 8,2137 8,0100 8,0204 8,1767 8,3488 8,3982 8,2199 7,7743 7,1030 6,2945 5,4331 4,5890 3,8348 3,2412 2,8508 2,6543 2,5968 2,6156 2,6811 2,8133 3,0603 3,4419 3,9028 4,3236 4,5739 4,5586 4,2476 3,7008 3,0554 2,4569 1,9983 1,7223 1,6465 1,7703 2,0861 2,5825 3,2187 3,9114 4,5601 5,0794 5,4154 5,5554 5,5253 5,3694 5,1211 4,7891 4,3698 3,8777 3,3654 2,9130 2,5944 2,4398 2,4264 2,4965 2,5854 2,6512 2,7017 2,7908 2,9794 3,2887 3,6822 4,0917 4,4554 4,7286 4,8861 4,9338 4,8910 4,7570 4,5195 4,2046 3,9024 3,7277 3,7529 3,9738 4,3061 4,5988 4,6959 4,5392 4,2156 3,8878 3,6856 3,6596 3,7824 3,9579 4,0702 4,0488 3,8796 3,5730 3,1514 2,6659 2,2011 1,8495 1,6870 1,7694 2,1231 2,7255 3,4909 4,2754 4,9169 5,2966 5,3812 5,2228 4,9281 4,6096 4,3282 4,0629 3,7467 3,3329 2,8318 2,3004 1,8069 1,4018 1,1266 1,0324 1,1588 1,4972 1,9959 2,6000 3,2661 3,9501 4,6036 5,1781 5,6261 5,9098 6,0136 5,9493 5,7444 5,4286 5,0244 4,5453 4,0122 3,4836 3,0478 2,7867 2,7602 2,9964 3,4604 4,0425 4,5953 4,9730 5,0596 4,8121 4,2983 3,6709 3,0956 2,6891 2,4915 2,4875 2,6502 2,9398 3,2754 3,5561 3,7168 3,7483 3,6827 3,5678 3,4304 3,2570 3,0256 2,7472 2,4663 2,2336 2,0937 2,0958 2,2880 2,6704 3,1539 3,5680 3,7336 3,5779 3,1886 2,7371 2,3639 2,1325 2,0246 1,9478 1,7890 1,4976 1,1171 0,7300 0,3817 0,0657 -0,2334 -0,5075 -0,7352 -0,9019 -0,9979 -1,0112 -0,9376 -0,7843 -0,5638 -0,3012 -0,0366 0,1984 0,3905 0,5223 0,5624 0,4898 0,3138 0,0627 -0,2357 -0,5567 -0,8683 -1,1277 -1,2861 -1,2909 -1,1056 -0,7566 -0,3491 -0,0233 0,1134 0,0422 -0,1550 -0,3469 -0,4416 -0,4313 -0,3571 -0,2549 -0,1393 -0,0135 0,1188 0,2412 0,3176 0,3000 0,1616 -0,0613 -0,2704 -0,3777 -0,3756 -0,3210 -0,2668 -0,2397 -0,2629 -0,3624 -0,5508 -0,8220 -1,1521 -1,5022 -1,8118 -1,9829 -1,9112 -1,5763 -1,0790 -0,5548 -0,0619 0,4260 0,9374 1,4433 1,8731 2,1583 2,2599 2,1761 1,9388 1,6080 1,2622 0,9660 0,7311 0,5085 0,2336 -0,1129 -0,4986 -0,8890 -1,2686 -1,6023 -1,8152 -1,8402 -1,6661 -1,3314 -0,8979 -0,4463 -0,0762 0,1209 0,0985 -0,1302 -0,5056 -0,9433 -1,3524 -1,6497 -1,7711 -1,6833 -1,3984 -0,9779 -0,5074 -0,0562 0,3417 0,6714 0,9155 1,0565 1,0962 1,0589 0,9865 0,9269 0,8993 0,8676 0,7596 0,5015 0,0380 -0,6468 -1,4906 -2,3363 -2,9921 -3,3428 -3,4132 -3,3449 -3,3219 -3,4922 -3,9153 -4,5459 -5,2440 -5,8207 -6,1191 -6,0866 -5,7921 -5,3788 -4,9841 -4,6789 -4,4591 -4,2869 -4,1458 -4,0682 -4,1203 -4,3533 -4,7530 -5,2247 -5,6235 -5,8172 -5,7425 -5,4186 -4,9155 -4,3097 -3,6587 -2,9921 -2,3076 -1,5779 -0,7753 0,1071 1,0480 2,0028 2,9173 3,7384 4,4084 4,8673 5,0740 5,0231 4,7522 4,3422 3,8882 3,4535 3,0603 2,7146 2,4107 2,1110 1,7562 1,3193 0,8519 0,4688 0,2650 0,2336 0,2713 0,2622 0,1539 -0,0335 -0,2432 -0,4158 -0,5167 -0,5498 -0,5416 -0,5087 -0,4495 -0,3699 -0,3005 -0,2754 -0,3099 -0,4171 -0,6324 -0,9990 -1,5222 -2,1458 -2,7723 -3,3033 -3,6774 -3,8809 -3,9239 -3,8212 -3,6015 -3,3147 -3,0138 -2,7340 -2,4950 -2,3109 -2,1767 -2,0516 -1,8869 -1,6785 -1,4707 -1,3047 -1,1820 -1,0834 -1,0148 -1,0246 -1,1576 -1,3966 -1,6606 -1,8620 -1,9553 -1,9408 -1,8384 -1,6745 -1,4880 -1,3384 -1,2913 -1,3814 -1,5905 -1,8693 -2,1793 -2,5104 -2,8561 -3,1734 -3,3795 -3,3999 -3,2159 -2,8684 -2,4266 -1,9663
F7    -0,1943 0,1806 0,5488 0,8497 1,0309 1,0500 0,8984 0,6333 0,3637 0,1861 0,1320 0,1688 0,2329 0,2659 0,2375 0,1483 0,0224 -0,0952 -0,1523 -0,1118 0,0257 0,2166 0,3959 0,5099 0,5272 0,4292 0,2037 -0,1343 -0,5249 -0,8814 -1,1277 -1,2231 -1,1645 -0,9835 -0,7441 -0,5237 -0,3711 -0,2847 -0,2397 -0,2120 -0,1749 -0,1065 -0,0118 0,0706 0,0961 0,0546 -0,0182 -0,0732 -0,0818 -0,0442 0,0248 0,1074 0,1887 0,2554 0,2953 0,3142 0,3457 0,4270 0,5616 0,7035 0,7785 0,7308 0,5558 0,2915 -0,0171 -0,3492 -0,7078 -1,0937 -1,4833 -1,8358 -2,1188 -2,3189 -2,4261 -2,4204 -2,2738 -1,9661 -1,5023 -0,9331 -0,3722 0,0252 0,1371 -0,0617 -0,5049 -1,0761 -1,6490 -2,1259 -2,4641 -2,6620 -2,7361 -2,7219 -2,6829 -2,6975 -2,8200 -3,0386 -3,2662 -3,3899 -3,3512 -3,1839 -2,9764 -2,8164 -2,7698 -2,8734 -3,1283 -3,5161 -4,0196 -4,6058 -5,1932 -5,6673 -5,9484 -6,0430 -6,0304 -6,0117 -6,0673 -6,2292 -6,4713 -6,7219 -6,8996 -6,9547 -6,8906 -6,7453 -6,5536 -6,3277 -6,0569 -5,7093 -5,2346 -4,5857 -3,7477 -2,7481 -1,6380 -0,4727 0,6910 1,7947 2,7787 3,5943 4,2237 4,6876 5,0327 5,3132 5,5665 5,7934 5,9745 6,1136 6,2444 6,3921 6,5525 6,7163 6,8957 7,1080 7,3357 7,5315 7,6578 7,7016 7,6632 7,5610 7,4408 7,3621 7,3703 7,4802 7,6770 7,9266 8,1935 8,4569 8,7070 8,9279 9,0870 9,1386 9,0466 8,8144 8,4959 8,1704 7,8876 7,6368 7,3786 7,0890 6,7628 6,4038 6,0272 5,6647 5,3501 5,1030 4,9299 4,8255 4,7594 4,6778 4,5301 4,2838 3,9239 3,4645 2,9560 2,4710 2,0782 1,8148 1,6673 1,5843 1,5195 1,4741 1,4945 1,6170 1,8165 2,0060 2,0761 1,9377 1,5573 0,9822 0,3253 -0,2882 -0,7642 -1,0434 -1,0957 -0,9169 -0,5220 0,0587 0,7706 1,5380 2,2834 2,9418 3,4643 3,8186 3,9866 3,9573 3,7277 3,3099 2,7377 2,0698 1,3915 0,8091 0,4240 0,2920 0,3974 0,6625 0,9886 1,3018 1,5789 1,8394 2,1093 2,3796 2,5995 2,7176 2,7237 2,6458 2,5240 2,3915 2,2537 2,0721 1,7972 1,4350 1,0794 0,8680 0,9020 1,1987 1,6913 2,2462 2,7077 2,9704 3,0321 2,9730 2,8904 2,8500 2,8644 2,8949 2,8965 2,8669 2,8344 2,8065 2,7497 2,6182 2,3855 2,0528 1,6567 1,2757 1,0093 0,9394 1,1018 1,4644 1,9295 2,3712 2,6841 2,8184 2,7938 2,6854 2,5740 2,4946 2,4296 2,3427 2,2094 2,0226 1,7860 1,5159 1,2521 1,0551 0,9746 1,0176 1,1535 1,3489 1,5947 1,9040 2,2930 2,7543 3,2412 3,6778 3,9876 4,1243 4,0842 3,8967 3,6084 3,2670 2,9152 2,5976 2,3574 2,2257 2,2226 2,3482 2,5531 2,7450 2,8419 2,8076 2,6444 2,3901 2,1277 1,9600 1,9528 2,1013 2,3470 2,6305 2,9311 3,2439 3,5342 3,7442 3,8346 3,8021 3,6723 3,4855 3,2746 3,0509 2,8169 2,5849 2,3763 2,2129 2,1143 2,1023 2,1939 2,3795 2,6124 2,8174 2,9187 2,8895 2,7739 2,6420 2,5382 2,4704 2,4119 2,3058 2,1026 1,8084 1,4812 1,1751 0,8981 0,6226 0,3247 0,0067 -0,3068 -0,5738 -0,7339 -0,7286 -0,5388 -0,1955 0,2399 0,6931 1,0908 1,3820 1,5351 1,5111 1,2712 0,8248 0,2497 -0,3501 -0,8941 -1,3365 -1,6478 -1,8008 -1,7760 -1,5735 -1,2193 -0,7712 -0,3120 0,0694 0,3036 0,3712 0,3211 0,2424 0,2012 0,2036 0,2154 0,1996 0,1368 0,0338 -0,0739 -0,1436 -0,1568 -0,1291 -0,0867 -0,0274 0,0884 0,2872 0,5298 0,7339 0,8383 0,8259 0,7025 0,4838 0,1985 -0,1124 -0,4006 -0,6226 -0,7507 -0,7644 -0,6459 -0,4105 -0,1218 0,1599 0,4386 0,7679 1,1745 1,6123 1,9886 2,2207 2,2751 2,1801 2,0070 1,8344 1,7195 1,6793 1,6763 1,6246 1,4346 1,0752 0,5850 0,0251 -0,5549 -1,1057 -1,5656 -1,8805 -2,0266 -2,0024 -1,8096 -1,4606 -1,0029 -0,5219 -0,1121 0,1566 0,2551 0,1936 0,0092 -0,2452 -0,5003 -0,6736 -0,6913 -0,5189 -0,1709 0,3000 0,8176 1,2937 1,6455 1,8221 1,8169 1,6499 1,3525 0,9712 0,5600 0,1639 -0,1867 -0,4862 -0,7713 -1,1055 -1,5233 -1,9815 -2,3789 -2,6370 -2,7629 -2,8466 -3,0101 -3,3491 -3,8927 -4,5882 -5,3110 -5,9067 -6,2581 -6,3381 -6,2134 -5,9996 -5,7950 -5,6337 -5,4891 -5,3208 -5,1218 -4,9313 -4,8116 -4,8105 -4,9291 -5,1103 -5,2564 -5,2729 -5,1068 -4,7574 -4,2632 -3,6807 -3,0629 -2,4466 -1,8459 -1,2539 -0,6565 -0,0509 0,5472 1,1146 1,6380 2,1147 2,5301 2,8461 3,0179 3,0212 2,8708 2,6216 2,3352 2,0444 1,7590 1,4939 1,2689 1,0786 0,8847 0,6510 0,3876 0,1542 0,0036 -0,0740 -0,1391 -0,2442 -0,3956 -0,5631 -0,7073 -0,7967 -0,8235 -0,8191 -0,8340 -0,8941 -0,9882 -1,1008 -1,2380 -1,4131 -1,6296 -1,8932 -2,2246 -2,6433 -3,1384 -3,6593 -4,1375 -4,5163 -4,7703 -4,9013 -4,9157 -4,8165 -4,6230 -4,3839 -4,1549 -3,9700 -3,8382 -3,7571 -3,7074 -3,6417 -3,5124 -3,3210 -3,1255 -2,9918 -2,9478 -2,9838 -3,0791 -3,2129 -3,3447 -3,4017 -3,3063 -3,0282 -2,6130 -2,1633 -1,7929 -1,5877 -1,5904 -1,8053 -2,1996 -2,6988 -3,1966 -3,5939 -3,8459 -3,9771 -4,0431 -4,0711 -4,0444 -3,9380 -3,7556 -3,5286 -3,2932 -3,0849
