Fp1   3,5807 4,0233 4,3450 4,5434 4,5958 4,4806 4,1659 3,5915 2,6820 1,3954 -0,2172 -1,9756 -3,6005 -4,8111 -5,4377 -5,4762 -5,0587 -4,3771 -3,6037 -2,8334 -2,0837 -1,3586 -0,7092 -0,2333 -0,0243 -0,1063 -0,3848 -0,6543 -0,6889 -0,3656 0,2877 1,1426 2,0346 2,7856 3,2269 3,2501 2,8474 2,1192 1,2448 0,4099 -0,2661 -0,7480 -1,0655 -1,2846 -1,4683 -1,6383 -1,7589 -1,7564 -1,5680 -1,1985 -0,7588 -0,4510 -0,4689 -0,8776 -1,5828 -2,3966 -3,1216 -3,6073 -3,7861 -3,6910 -3,4239 -3,0714 -2,6515 -2,1568 -1,6250 -1,1468 -0,8144 -0,6693 -0,6807 -0,7468 -0,7199 -0,4730 0,0113 0,5874 0,9967 1,0085 0,5404 -0,3353 -1,4663 -2,6693 -3,7204 -4,3730 -4,4569 -3,9716 -3,0782 -2,0069 -0,9623 -0,0817 0,5698 0,9944 1,2230 1,2738 1,1671 0,9501 0,6642 0,2975 -0,2087 -0,8966 -1,7191 -2,5155 -3,0562 -3,1222 -2,5943 -1,5237 -0,1256 1,3114 2,5128 3,2621 3,4518 3,1473 2,5786 2,0220 1,6685 1,5740 1,6927 1,9548 2,3414 2,9160 3,7832 5,0006 6,5130 8,1485 9,6628 10,8142 11,4327 11,4504 10,8938 9,8673 8,5394 7,1245 5,8396 4,8355 4,1548 3,7596 3,5933 3,6184 3,8112 4,1399 4,5553 4,9897 5,3523 5,5322 5,4288 4,9971 4,2721 3,3632 2,4213 1,5883 0,9632 0,6068 0,5455 0,7491 1,1160 1,5071 1,8136 2,0042 2,1196 2,2200 2,3231 2,3759 2,2788 1,9601 1,4543 0,9071 0,5001 0,3596 0,5057 0,8653 1,3250 1,7674 2,0824 2,1886 2,0717 1,7953 1,4650 1,1940 1,0971 1,2802 1,7819 2,5015 3,2093 3,6585 3,7179 3,4439 3,0438 2,7470 2,6883 2,8978 3,3601 4,0626 5,0012 6,1523 7,4328 8,6907 9,7498 10,4740 10,7979 10,7162 10,2654 9,5043 8,4976 7,3200 6,0668 4,8541 3,8218 3,1281 2,9075 3,2204 4,0446 5,2911 6,8095 8,3828 9,7447 10,6412 10,9188 10,5971 9,8732 9,0402 8,3738 8,0511 8,1241 8,5290 9,1068 9,6414 9,9209 9,8161 9,3417 8,6485 7,9457 7,4161 7,1630 7,1722 7,3103 7,3911 7,2663 6,8647 6,1656 5,1687 3,9096 2,4847 1,0272 -0,3456 -1,5495 -2,4892 -3,0233 -3,0131 -2,4246 -1,3759 -0,0885 1,2059 2,3387 3,2359 3,9201 4,4914 5,0597 5,6415 6,1205 6,3187 6,1015 5,4382 4,4266 3,2766 2,2296 1,4635 1,0558 1,0127 1,3166 1,9388 2,8297 3,9258 5,1665 6,4938 7,8377 9,1136 10,2396 11,1550 11,8209 12,2069 12,2719 11,9752 11,3233 10,3907 9,2819 8,0849 6,8669 5,7055 4,7199 4,0598 3,8415 4,0834 4,7003 5,5506 6,5051 7,5057 8,5643 9,6910 10,8278 11,8498 12,6273 13,0919 13,2364 13,0616 12,5594 11,7522 10,7036 9,4765 8,1242 6,7360 5,4566 4,4364 3,7622 3,4434 3,4693 3,8560 4,6190 5,7157 7,0246 8,3798 9,6294 10,6670 11,4426 11,9680 12,3019 12,5076 12,6113 12,5834 12,3532 11,8680 11,1585 10,3365 9,5272 8,8144 8,2351 7,7914 7,4444 7,1158 6,7338 6,2998 5,9222 5,7820 6,0435 6,7748 7,9354 9,4168 11,0703 12,7090 14,1257 15,1484 15,6991 15,8081 15,5636 15,0342 14,2309 13,1344 11,7468 10,1223 8,3852 6,7434 5,4642 4,7993 4,8806 5,6532 6,9017 8,3434 9,7067 10,7657 11,3601 11,4193 10,9724 10,1222 8,9957 7,7063 6,3427 4,9677 3,6257 2,3669 1,2682 0,4399 0,0201 0,1331 0,8096 1,9228 3,2097 4,3700 5,1620 5,4653 5,3168 4,8911 4,4123 4,0675 3,9639 4,1116 4,4278 4,7769 5,0331 5,1414 5,1484 5,1651 5,2770 5,5048 5,8510 6,3424 6,9940 7,7353 8,3875 8,7177 8,5341 7,7830 6,5886 5,2049 3,9285 3,0213 2,6554 2,8838 3,6345 4,7399 5,9872 7,1622 8,0789 8,6098 8,7194 8,4669 7,9682 7,3586 6,7648 6,2648 5,8667 5,5304 5,2115 4,9014 4,6493 4,5482 4,6951 5,1516 5,9228 6,9490 8,1062 9,2447 10,2589 11,1087 11,7615 12,1409 12,1442 11,7071 10,8710 9,8119 8,7778 7,9571 7,3936 7,0247 6,7849 6,6635 6,6794 6,8265 7,0542 7,2862 7,4445 7,4622 7,2818 6,8610 6,2054 5,3976 4,5828 3,9228 3,5496 3,5487 3,9587 4,7430 5,7637 6,8278 7,7572 8,4086 8,6847 8,5726 8,1583 7,5870 7,0098 6,5434 6,2434 6,0961 6,0403 6,0083 5,9628 5,9017 5,8329 5,7493 5,6241 5,4196 5,1181 4,7628 4,4577 4,3128 4,3746 4,6049 4,9184 5,2300 5,5009 5,7935 6,2528 6,9788 7,9257 8,9443 9,8899 10,6853 11,3205 11,8226 12,2259 12,5434 12,7517 12,8202 12,7462 12,5315 12,1377 11,5021 10,5959 9,4599 8,2025 6,9763 5,9297 5,1548 4,6587 4,3544 4,0808 3,6679 3,0233 2,1958 1,3757 0,8205 0,7508 1,2695 2,3210 3,6982 5,1121 6,2980 7,0937 7,4531 7,4183 7,0736 6,5106 5,8158 5,0601 4,2822 3,4824 2,6353 1,7187 0,7549 -0,1700 -0,9255 -1,3704 -1,3907 -0,9476 -0,1146 0,9390 2,0155 2,9552 3,6640 4,1199 4,3732 4,5070 4,5684 4,5360 4,3442 3,9332 3,2996 2,5229 1,7500 1,1569 0,9121 1,1287 1,8118 2,8297 3,9398 4,8960 5,5868 6,0843 6,5668 7,1813 7,9430 8,7399 9,4215 9,8780 10,0514 9,9050 9,4017 8,5153 7,2729 5,7988 4,3069 3,0279 2,1380 1,7391 1,8649 2,4594 3,3507 4,2850 5,0003 5,2818 5,0012 4,1688 2,9720
Fz    0,9966 1,0505 1,1166 1,1780 1,2198 1,2288 1,1934 1,1102 0,9904 0,8533 0,7164 0,5990 0,5259 0,5141 0,5528 0,6048 0,6306 0,6087 0,5366 0,4217 0,2763 0,1152 -0,0447 -0,1855 -0,2907 -0,3510 -0,3688 -0,3570 -0,3338 -0,3151 -0,3056 -0,2957 -0,2716 -0,2331 -0,1977 -0,1851 -0,2040 -0,2530 -0,3241 -0,4111 -0,5170 -0,6497 -0,8125 -1,0001 -1,1953 -1,3745 -1,5192 -1,6241 -1,6923 -1,7273 -1,7375 -1,7447 -1,7785 -1,8572 -1,9804 -2,1289 -2,2668 -2,3517 -2,3509 -2,2539 -2,0723 -1,8297 -1,5547 -1,2818 -1,0488 -0,8879 -0,8128 -0,8145 -0,8722 -0,9657 -1,0728 -1,1631 -1,2092 -1,2040 -1,1652 -1,1189 -1,0771 -1,0298 -0,9577 -0,8484 -0,7012 -0,5249 -0,3390 -0,1695 -0,0325 0,0781 0,1793 0,2675 0,3067 0,2508 0,0731 -0,2229 -0,6059 -1,0268 -1,4347 -1,7937 -2,0905 -2,3331 -2,5431 -2,7436 -2,9463 -3,1471 -3,3326 -3,4933 -3,6267 -3,7272 -3,7814 -3,7744 -3,6962 -3,5361 -3,2776 -2,9044 -2,4079 -1,7867 -1,0495 -0,2255 0,6321 1,4585 2,1951 2,7989 3,2434 3,5193 3,6343 3,6116 3,4863 3,2969 3,0732 2,8307 2,5741 2,3065 2,0404 1,8014 1,6190 1,5150 1,4975 1,5629 1,6991 1,8859 2,0939 2,2946 2,4735 2,6340 2,7905 2,9592 3,1475 3,3480 3,5423 3,7077 3,8247 3,8856 3,8986 3,8806 3,8446 3,7944 3,7321 3,6684 3,6259 3,6294 3,6920 3,8049 3,9407 4,0709 4,1827 4,2795 4,3715 4,4692 4,5783 4,7023 4,8459 5,0133 5,2005 5,3905 5,5566 5,6757 5,7416 5,7632 5,7600 5,7602 5,7919 5,8646 5,9617 6,0459 6,0744 6,0216 5,8933 5,7150 5,5129 5,3127 5,1463 5,0434 5,0203 5,0765 5,1957 5,3537 5,5297 5,7131 5,8985 6,0771 6,2345 6,3522 6,4153 6,4212 6,3822 6,3186 6,2521 6,2041 6,1881 6,2043 6,2439 6,2990 6,3704 6,4623 6,5683 6,6643 6,7217 6,7261 6,6812 6,5978 6,4829 6,3370 6,1620 5,9669 5,7660 5,5729 5,3984 5,2508 5,1377 5,0645 5,0248 4,9939 4,9366 4,8203 4,6233 4,3436 4,0066 3,6564 3,3316 3,0493 2,8094 2,6063 2,4323 2,2781 2,1385 2,0198 1,9354 1,8864 1,8487 1,7815 1,6525 1,4531 1,1972 0,9129 0,6374 0,4127 0,2754 0,2443 0,3113 0,4465 0,6099 0,7668 0,8981 1,0024 1,0864 1,1573 1,2213 1,2873 1,3700 1,4855 1,6384 1,8130 1,9768 2,0974 2,1622 2,1874 2,2083 2,2595 2,3626 2,5221 2,7245 2,9421 3,1455 3,3135 3,4353 3,5047 3,5152 3,4643 3,3628 3,2404 3,1358 3,0801 3,0870 3,1518 3,2544 3,3700 3,4788 3,5689 3,6327 3,6658 3,6712 3,6669 3,6805 3,7308 3,8182 3,9326 4,0621 4,1969 4,3316 4,4665 4,6049 4,7474 4,8798 4,9718 4,9981 4,9613 4,8915 4,8245 4,7803 4,7611 4,7655 4,7958 4,8510 4,9209 4,9869 5,0229 5,0017 4,9125 4,7722 4,6173 4,4897 4,4260 4,4437 4,5306 4,6498 4,7599 4,8292 4,8381 4,7800 4,6641 4,5089 4,3304 4,1350 3,9220 3,6952 3,4760 3,2983 3,1899 3,1632 3,2173 3,3424 3,5223 3,7333 3,9429 4,1160 4,2279 4,2762 4,2820 4,2778 4,2941 4,3508 4,4536 4,5913 4,7391 4,8693 4,9644 5,0202 5,0366 5,0095 4,9322 4,8050 4,6404 4,4630 4,3032 4,1844 4,1127 4,0767 4,0540 4,0166 3,9432 3,8371 3,7294 3,6549 3,6305 3,6572 3,7317 3,8449 3,9768 4,1017 4,1980 4,2512 4,2538 4,2070 4,1268 4,0441 3,9945 3,9987 4,0522 4,1349 4,2242 4,3002 4,3435 4,3391 4,2857 4,2005 4,1160 4,0722 4,1017 4,2123 4,3851 4,5896 4,7951 4,9787 5,1265 5,2292 5,2788 5,2706 5,2068 5,0946 4,9464 4,7810 4,6245 4,5049 4,4437 4,4448 4,4928 4,5596 4,6132 4,6234 4,5703 4,4512 4,2801 4,0799 3,8703 3,6637 3,4705 3,3078 3,1968 3,1521 3,1760 3,2626 3,4040 3,5893 3,7968 3,9909 4,1356 4,2139 4,2353 4,2248 4,2074 4,2014 4,2231 4,2880 4,4065 4,5731 4,7598 4,9241 5,0301 5,0661 5,0446 4,9888 4,9141 4,8223 4,7102 4,5744 4,4072 4,1975 3,9470 3,6830 3,4422 3,2420 3,0738 2,9181 2,7557 2,5762 2,3815 2,1808 1,9809 1,7820 1,5782 1,3625 1,1338 0,9035 0,6879 0,4945 0,3216 0,1718 0,0642 0,0300 0,0937 0,2583 0,5109 0,8365 1,2260 1,6677 2,1363 2,5901 2,9777 3,2555 3,4117 3,4692 3,4574 3,3908 3,2819 3,1595 3,0623 3,0185 3,0345 3,0982 3,1837 3,2622 3,3217 3,3738 3,4350 3,5063 3,5790 3,6475 3,7030 3,7228 3,6747 3,5367 3,3116 3,0293 2,7327 2,4551 2,2045 1,9677 1,7308 1,4980 1,2927 1,1424 1,0636 1,0611 1,1333 1,2729 1,4673 1,7021 1,9663 2,2523 2,5531 2,8545 3,1285 3,3387 3,4601 3,4919 3,4544 3,3757 3,2829 3,1988 3,1352 3,0884 3,0449 2,9942 2,9370 2,8810 2,8290 2,7715 2,6907 2,5727 2,4238 2,2728 2,1558 2,0986 2,1099 2,1853 2,3117 2,4673 2,6218 2,7476 2,8334 2,8843 2,9108 2,9190 2,9076 2,8717 2,8097 2,7291 2,6432 2,5605 2,4789 2,3922 2,3049 2,2356 2,2091 2,2449 2,3495 2,5126 2,7052 2,8870 3,0236 3,0974 3,1072 3,0628 2,9823 2,8889 2,8058 2,7497 2,7238 2,7195 2,7294 2,7578 2,8103
F3    0,1572 0,2897 0,4672 0,6366 0,7699 0,8596 0,9120 0,9472 0,9963 1,0810 1,1947 1,3217 1,4673 1,6355 1,7836 1,8338 1,7357 1,5077 1,2130 0,9076 0,6210 0,3655 0,1387 -0,0746 -0,2836 -0,4750 -0,6237 -0,7186 -0,7690 -0,7865 -0,7648 -0,6821 -0,5276 -0,3350 -0,1725 -0,0806 -0,0361 0,0077 0,0646 0,0950 0,0293 -0,1869 -0,5604 -1,0524 -1,5906 -2,0886 -2,4861 -2,7712 -2,9511 -3,0223 -2,9934 -2,9165 -2,8648 -2,8842 -2,9790 -3,1255 -3,2812 -3,3914 -3,4022 -3,2720 -2,9682 -2,4762 -1,8311 -1,1327 -0,5161 -0,0984 0,0689 0,0219 -0,1527 -0,3877 -0,6608 -0,9611 -1,2636 -1,5363 -1,7556 -1,9065 -1,9710 -1,9261 -1,7563 -1,4648 -1,0770 -0,6439 -0,2360 0,0795 0,2725 0,3673 0,4190 0,4509 0,4112 0,2036 -0,2312 -0,8693 -1,6211 -2,3658 -2,9821 -3,3847 -3,5528 -3,5322 -3,4126 -3,2886 -3,2155 -3,1971 -3,2139 -3,2515 -3,2962 -3,3224 -3,3017 -3,2270 -3,1278 -3,0503 -3,0131 -2,9810 -2,8786 -2,6140 -2,1050 -1,3254 -0,3405 0,7172 1,7124 2,5561 3,2147 3,6912 3,9966 4,1432 4,1604 4,0986 4,0036 3,8872 3,7195 3,4502 3,0538 2,5632 2,0491 1,5767 1,1956 0,9498 0,8729 0,9697 1,2052 1,5126 1,8211 2,0861 2,2983 2,4767 2,6501 2,8374 3,0451 3,2747 3,5187 3,7536 3,9423 4,0464 4,0358 3,8894 3,6044 3,2158 2,8027 2,4685 2,3065 2,3589 2,5890 2,9054 3,2098 3,4271 3,5198 3,4960 3,4025 3,3112 3,2960 3,4067 3,6530 3,9971 4,3589 4,6526 4,8262 4,8660 4,7906 4,6530 4,5248 4,4666 4,5043 4,6115 4,7100 4,7088 4,5571 4,2583 3,8511 3,4019 2,9995 2,7242 2,6159 2,6654 2,8190 3,0026 3,1694 3,3275 3,5236 3,8037 4,1760 4,5971 5,0004 5,3400 5,6049 5,7986 5,9199 5,9731 5,9882 6,0083 6,0535 6,1092 6,1513 6,1690 6,1574 6,1019 5,9903 5,8357 5,6746 5,5397 5,4294 5,2958 5,0747 4,7347 4,3000 3,8404 3,4431 3,1802 3,0901 3,1744 3,3890 3,6388 3,8018 3,7759 3,5186 3,0613 2,4978 1,9488 1,5139 1,2402 1,1244 1,1339 1,2266 1,3645 1,5260 1,7080 1,9034 2,0743 2,1600 2,1079 1,8946 1,5328 1,0625 0,5384 0,0199 -0,4387 -0,7904 -0,9965 -1,0419 -0,9518 -0,7813 -0,5881 -0,4102 -0,2572 -0,1145 0,0502 0,2768 0,5929 1,0021 1,4824 1,9892 2,4547 2,7855 2,8877 2,7250 2,3505 1,8752 1,4127 1,0542 0,8631 0,8661 1,0475 1,3549 1,7187 2,0776 2,3917 2,6357 2,7938 2,8800 2,9562 3,1048 3,3692 3,7208 4,0707 4,3053 4,3344 4,1369 3,7659 3,3064 2,8263 2,3643 1,9552 1,6409 1,4573 1,4257 1,5509 1,8143 2,1786 2,6016 3,0398 3,4479 3,7778 3,9784 4,0146 3,8930 3,6608 3,3900 3,1557 2,9992 2,9152 2,8890 2,9255 3,0252 3,1568 3,2713 3,3267 3,2999 3,2000 3,0708 2,9685 2,9428 3,0341 3,2526 3,5506 3,8346 4,0160 4,0549 3,9768 3,8611 3,7961 3,8246 3,9191 3,9949 3,9436 3,6907 3,2483 2,7105 2,2048 1,8431 1,6849 1,7264 1,9196 2,1975 2,4802 2,6783 2,7194 2,5899 2,3446 2,0694 1,8371 1,6924 1,6552 1,7244 1,8776 2,0755 2,2837 2,4909 2,6949 2,8737 2,9895 3,0160 2,9624 2,8839 2,8574 2,9227 3,0369 3,0929 2,9869 2,6771 2,2005 1,6593 1,1742 0,8261 0,6425 0,6431 0,8647 1,3244 1,9737 2,6997 3,3661 3,8647 4,1496 4,2322 4,1554 3,9807 3,7783 3,6005 3,4596 3,3403 3,2279 3,1104 2,9591 2,7304 2,4020 2,0096 1,6473 1,4354 1,4694 1,7741 2,3025 2,9666 3,6548 4,2542 4,6832 4,8973 4,8690 4,5851 4,0645 3,3670 2,5821 1,8105 1,1472 0,6717 0,4336 0,4331 0,6184 0,9122 1,2411 1,5424 1,7666 1,8969 1,9604 2,0027 2,0455 2,0716 2,0481 1,9616 1,8232 1,6560 1,4919 1,3691 1,3227 1,3789 1,5372 1,7453 1,9143 1,9728 1,9050 1,7453 1,5535 1,3961 1,3297 1,3913 1,5978 1,9359 2,3470 2,7438 3,0522 3,2322 3,2701 3,1706 2,9565 2,6722 2,3775 2,1154 1,8762 1,6096 1,2867 0,9405 0,6416 0,4420 0,3534 0,3616 0,4396 0,5546 0,6693 0,7368 0,7038 0,5290 0,2014 -0,2534 -0,7762 -1,2837 -1,6966 -1,9725 -2,1139 -2,1410 -2,0609 -1,8688 -1,5851 -1,2706 -0,9894 -0,7618 -0,5548 -0,3162 -0,0216 0,2986 0,5651 0,6956 0,6618 0,4969 0,2485 -0,0537 -0,3762 -0,6556 -0,8304 -0,8954 -0,9047 -0,9254 -0,9953 -1,1122 -1,2423 -1,3371 -1,3570 -1,2878 -1,1283 -0,8732 -0,5281 -0,1399 0,2108 0,4522 0,5556 0,5467 0,4973 0,4806 0,5094 0,5172 0,4046 0,1068 -0,3706 -0,9598 -1,5610 -2,0685 -2,3952 -2,4955 -2,3734 -2,0646 -1,6193 -1,1013 -0,5835 -0,1336 0,1925 0,3699 0,4288 0,4416 0,4767 0,5644 0,6999 0,8656 1,0362 1,1726 1,2345 1,2084 1,1183 1,0037 0,8827 0,7372 0,5264 0,2134 -0,2013 -0,6579 -1,0525 -1,2817 -1,2865 -1,0692 -0,6867 -0,2336 0,1855 0,4952 0,6736 0,7422 0,7346 0,6763 0,5827 0,4583 0,2965 0,0858 -0,1786 -0,4919 -0,8430 -1,2004 -1,4978 -1,6545 -1,6098 -1,3437 -0,8798 -0,2835 0,3352 0,8412 1,1237 1,1441 0,9440 0,6123 0,2422 -0,0900 -0,3255 -0,4325 -0,4248 -0,3500 -0,2415 -0,0915 0,1108
F7    1,8553 1,7688 1,6099 1,4174 1,2337 1,0922 1,0030 0,9497 0,8995 0,8167 0,6708 0,4459 0,1491 -0,1920 -0,5370 -0,8375 -1,0442 -1,1235 -1,0699 -0,8999 -0,6394 -0,3203 0,0200 0,3461 0,6300 0,8495 0,9872 1,0366 1,0066 0,9132 0,7672 0,5762 0,3602 0,1523 -0,0229 -0,1712 -0,3262 -0,5184 -0,7466 -0,9786 -1,1706 -1,2870 -1,3200 -1,2929 -1,2404 -1,1892 -1,1540 -1,1409 -1,1512 -1,1830 -1,2354 -1,3133 -1,4187 -1,5371 -1,6381 -1,6868 -1,6550 -1,5296 -1,3209 -1,0664 -0,8230 -0,6375 -0,5155 -0,4253 -0,3334 -0,2336 -0,1485 -0,1096 -0,1312 -0,1926 -0,2438 -0,2373 -0,1579 -0,0242 0,1318 0,2823 0,4090 0,5003 0,5499 0,5557 0,5153 0,4238 0,2750 0,0685 -0,1818 -0,4405 -0,6583 -0,7943 -0,8294 -0,7663 -0,6309 -0,4690 -0,3273 -0,2339 -0,1958 -0,2049 -0,2397 -0,2712 -0,2747 -0,2411 -0,1805 -0,1132 -0,0580 -0,0267 -0,0275 -0,0628 -0,1243 -0,1945 -0,2513 -0,2696 -0,2255 -0,1105 0,0627 0,2676 0,4742 0,6569 0,8020 0,9135 1,0082 1,1063 1,2282 1,3959 1,6272 1,9209 2,2475 2,5569 2,8001 2,9502 3,0085 3,0025 2,9796 2,9891 3,0665 3,2261 3,4586 3,7350 4,0140 4,2520 4,4141 4,4863 4,4836 4,4488 4,4357 4,4792 4,5735 4,6793 4,7522 4,7581 4,6727 4,4870 4,2233 3,9357 3,6862 3,5197 3,4533 3,4787 3,5769 3,7262 3,8984 4,0627 4,1985 4,3050 4,4023 4,5260 4,7081 4,9547 5,2361 5,5026 5,7126 5,8523 5,9363 5,9896 6,0267 6,0477 6,0506 6,0420 6,0417 6,0767 6,1648 6,2999 6,4510 6,5761 6,6448 6,6567 6,6388 6,6249 6,6390 6,6921 6,7843 6,9008 7,0127 7,0890 7,1133 7,0893 7,0250 6,9142 6,7437 6,5181 6,2623 5,9999 5,7375 5,4698 5,1915 4,9062 4,6387 4,4351 4,3425 4,3863 4,5608 4,8318 5,1511 5,4716 5,7524 5,9647 6,1050 6,1997 6,2879 6,3938 6,5134 6,6204 6,6840 6,6841 6,6123 6,4694 6,2674 6,0315 5,7946 5,5885 5,4343 5,3347 5,2729 5,2160 5,1231 4,9624 4,7273 4,4309 4,0933 3,7348 3,3815 3,0680 2,8280 2,6740 2,5843 2,5139 2,4231 2,2940 2,1312 1,9606 1,8199 1,7366 1,7142 1,7382 1,7932 1,8745 1,9835 2,1091 2,2201 2,2864 2,3065 2,3148 2,3617 2,4830 2,6739 2,8885 3,0638 3,1578 3,1715 3,1435 3,1249 3,1565 3,2558 3,4156 3,6118 3,8143 3,9990 4,1529 4,2702 4,3405 4,3448 4,2641 4,0976 3,8769 3,6576 3,4892 3,3885 3,3428 3,3339 3,3540 3,4056 3,4940 3,6218 3,7853 3,9758 4,1801 4,3804 4,5607 4,7179 4,8613 4,9990 5,1275 5,2357 5,3155 5,3658 5,3901 5,3915 5,3657 5,3025 5,2025 5,0930 5,0233 5,0323 5,1133 5,2209 5,3139 5,3810 5,4284 5,4589 5,4659 5,4434 5,4007 5,3644 5,3632 5,4027 5,4499 5,4467 5,3459 5,1458 4,8942 4,6597 4,4969 4,4300 4,4532 4,5368 4,6365 4,7048 4,6978 4,5897 4,3904 4,1467 3,9224 3,7731 3,7308 3,7956 3,9401 4,1254 4,3172 4,4893 4,6242 4,7115 4,7448 4,7226 4,6547 4,5676 4,4946 4,4601 4,4738 4,5376 4,6494 4,7992 4,9671 5,1287 5,2618 5,3517 5,3955 5,4009 5,3776 5,3260 5,2349 5,0867 4,8698 4,5903 4,2737 3,9565 3,6825 3,4945 3,4146 3,4300 3,5063 3,6130 3,7354 3,8660 3,9896 4,0737 4,0789 3,9825 3,7945 3,5504 3,2924 3,0529 2,8516 2,7040 2,6265 2,6269 2,6947 2,8046 2,9306 3,0568 3,1759 3,2860 3,3938 3,5149 3,6596 3,8155 3,9502 4,0391 4,0867 4,1179 4,1521 4,1911 4,2247 4,2409 4,2256 4,1658 4,0648 3,9462 3,8383 3,7579 3,7085 3,6866 3,6868 3,7033 3,7247 3,7315 3,7034 3,6318 3,5232 3,3961 3,2701 3,1563 3,0592 2,9841 2,9351 2,9061 2,8834 2,8603 2,8493 2,8721 2,9368 3,0285 3,1150 3,1549 3,1128 2,9800 2,7845 2,5801 2,4237 2,3590 2,4059 2,5558 2,7719 2,9970 3,1754 3,2765 3,2986 3,2525 3,1509 3,0093 2,8490 2,6932 2,5540 2,4280 2,3038 2,1723 2,0295 1,8807 1,7458 1,6536 1,6214 1,6387 1,6723 1,6830 1,6385 1,5223 1,3374 1,1086 0,8759 0,6780 0,5342 0,4426 0,3954 0,3891 0,4156 0,4539 0,4758 0,4555 0,3760 0,2357 0,0495 -0,1580 -0,3611 -0,5380 -0,6772 -0,7781 -0,8415 -0,8625 -0,8349 -0,7569 -0,6260 -0,4364 -0,1865 0,1163 0,4574 0,8139 1,1552 1,4537 1,6987 1,8974 2,0645 2,2077 2,3220 2,3920 2,3974 2,3249 2,1802 1,9839 1,7521 1,4891 1,1964 0,8830 0,5685 0,2777 0,0251 -0,1918 -0,3788 -0,5283 -0,6184 -0,6218 -0,5222 -0,3327 -0,0976 0,1334 0,3320 0,4940 0,6233 0,7179 0,7752 0,8079 0,8417 0,8992 0,9902 1,1107 1,2407 1,3468 1,4007 1,4007 1,3773 1,3716 1,4033 1,4647 1,5354 1,5956 1,6295 1,6289 1,5998 1,5628 1,5429 1,5548 1,5998 1,6647 1,7190 1,7233 1,6537 1,5211 1,3660 1,2335 1,1506 1,1205 1,1290 1,1547 1,1787 1,1900 1,1806 1,1409 1,0657 0,9593 0,8329 0,7021 0,5843 0,4876 0,4054 0,3285 0,2617 0,2250 0,2410 0,3230 0,4665 0,6481 0,8292 0,9658 1,0230 0,9846 0,8553 0,6581 0,4245 0,1789 -0,0719 -0,3305 -0,5928 -0,8442 -1,0636
