Fp1   -2,2294 -1,9453 -1,7092 -1,5311 -1,4099 -1,3274 -1,2598 -1,1975 -1,1617 -1,2071 -1,3906 -1,7175 -2,1157 -2,4583 -2,6161 -2,5173 -2,1829 -1,7158 -1,2456 -0,8532 -0,5378 -0,2535 0,0311 0,3089 0,5538 0,7515 0,9059 1,0258 1,1254 1,2394 1,4170 1,6879 2,0320 2,3839 2,6806 2,8910 2,9887 2,9360 2,7181 2,3641 1,9368 1,5134 1,1512 0,8597 0,6085 0,3546 0,0655 -0,2702 -0,6461 -1,0316 -1,3603 -1,5497 -1,5410 -1,3280 -0,9679 -0,5752 -0,2900 -0,2261 -0,4302 -0,8700 -1,4587 -2,1014 -2,7235 -3,2655 -3,6863 -3,9747 -4,1442 -4,2206 -4,2355 -4,2112 -4,1395 -3,9849 -3,7091 -3,2980 -2,7724 -2,1772 -1,5616 -0,9624 -0,3937 0,1537 0,7016 1,2633 1,8222 2,3379 2,7637 3,0485 3,1515 3,0825 2,9194 2,7821 2,7808 2,9612 3,2867 3,6738 4,0446 4,3521 4,5829 4,7584 4,9247 5,1266 5,3855 5,6933 6,0114 6,2839 6,4706 6,5640 6,5824 6,5635 6,5584 6,6129 6,7529 6,9824 7,2842 7,6123 7,8882 8,0293 8,0057 7,8639 7,6892 7,5522 7,4750 7,4162 7,2892 7,0217 6,6040 6,0823 5,5227 4,9922 4,5512 4,2503 4,1310 4,2206 4,5209 5,0099 5,6628 6,4556 7,3281 8,1684 8,8704 9,3951 9,7608 10,0002 10,1441 10,2291 10,2989 10,3833 10,4876 10,6237 10,8345 11,1662 11,6201 12,1417 12,6457 13,0489 13,2916 13,3540 13,2715 13,1248 12,9963 12,9412 12,9826 13,1069 13,2702 13,4227 13,5262 13,5638 13,5522 13,5430 13,5960 13,7480 14,0002 14,3103 14,5960 14,7649 14,7509 14,5354 14,1520 13,6721 13,1678 12,6813 12,2304 11,8189 11,4283 11,0292 10,6110 10,1833 9,7635 9,3812 9,0803 8,9027 8,8660 8,9532 9,1194 9,2905 9,3582 9,2092 8,7821 8,1065 7,3115 6,5988 6,1637 6,0920 6,3242 6,7200 7,1441 7,5101 7,7921 8,0091 8,1947 8,3841 8,6098 8,8727 9,1303 9,3294 9,4348 9,4339 9,3448 9,2145 9,0888 8,9938 8,9461 8,9620 9,0513 9,2048 9,3924 9,5870 9,7758 9,9357 10,0206 9,9862 9,8162 9,5216 9,1213 8,6394 8,1252 7,6492 7,2670 7,0064 6,8795 6,8730 6,9275 6,9507 6,8663 6,6692 6,4362 6,2576 6,1543 6,0753 5,9712 5,8527 5,7678 5,7341 5,7068 5,6120 5,4114 5,1367 4,8665 4,6772 4,6123 4,6832 4,8849 5,2024 5,6125 6,0792 6,5287 6,8422 6,9086 6,6963 6,2694 5,7374 5,1939 4,7092 4,3504 4,1758 4,2104 4,4265 4,7419 5,0616 5,3500 5,6578 6,0677 6,6106 7,2273 7,7984 8,2180 8,4558 8,5600 8,6053 8,6485 8,7234 8,8440 9,0015 9,1591 9,2469 9,1922 8,9858 8,7102 8,4846 8,3805 8,3949 8,4856 8,5976 8,6725 8,6633 8,5447 8,3173 8,0038 7,6259 7,1850 6,6736 6,1034 5,5288 5,0414 4,7194 4,5782 4,5665 4,5948 4,5760 4,4659 4,2847 4,0994 3,9653 3,8772 3,7759 3,6024 3,3488 3,0678 2,8450 2,7569 2,8376 3,0707 3,4004 3,7497 4,0378 4,1954 4,1898 4,0480 3,8436 3,6508 3,5037 3,3918 3,2829 3,1569 3,0289 2,9395 2,9270 2,9995 3,1335 3,3101 3,5274 3,7666 3,9785 4,1060 4,1057 3,9739 3,7694 3,5894 3,5130 3,5768 3,7888 4,1387 4,5956 5,1101 5,6205 6,0601 6,3687 6,5146 6,5179 6,4417 6,3488 6,2668 6,1941 6,1291 6,0875 6,0985 6,1880 6,3664 6,6264 6,9488 7,3139 7,7081 8,1145 8,4983 8,8143 9,0317 9,1385 9,1249 8,9740 8,6739 8,2336 7,6861 7,0855 6,5078 6,0436 5,7617 5,6755 5,7482 5,9251 6,1640 6,4475 6,7680 7,1018 7,4097 7,6682 7,8864 8,0752 8,2032 8,2081 8,0655 7,8213 7,5383 7,2284 6,8559 6,3924 5,8600 5,3365 4,9230 4,6854 4,6270 4,7116 4,8955 5,1314 5,3671 5,5772 5,8044 6,1441 6,6617 7,3259 8,0193 8,5938 8,9196 8,9250 8,6201 8,0847 7,4340 6,7829 6,2166 5,7713 5,4449 5,2287 5,1319 5,1770 5,3695 5,6776 6,0426 6,4067 6,7468 7,0853 7,4519 7,8358 8,1810 8,4120 8,4578 8,2681 7,8407 7,2566 6,6669 6,2138 5,9635 5,9027 5,9689 6,0752 6,1374 6,1068 5,9869 5,8270 5,7014 5,6824 5,8046 6,0469 6,3577 6,6861 6,9829 7,2044 7,3353 7,3954 7,4142 7,4052 7,3661 7,3066 7,2704 7,3091 7,4443 7,6855 8,0493 8,5203 9,0207 9,4501 9,7514 9,9362 10,0532 10,1280 10,1253 9,9753 9,6435 9,1601 8,5828 7,9541 7,2945 6,6339 6,0402 5,5872 5,2861 5,0630 4,8121 4,4841 4,1321 3,8660 3,7627 3,8274 4,0236 4,2976 4,5712 4,7574 4,8099 4,7580 4,7069 4,7940 5,1113 5,6575 6,3576 7,1018 7,7663 8,2386 8,4530 8,4129 8,1858 7,8741 7,5818 7,3924 7,3484 7,4408 7,6244 7,8452 8,0596 8,2481 8,4299 8,6556 8,9636 9,3376 9,7119 10,0159 10,2038 10,2551 10,1818 10,0331 9,8609 9,6827 9,4922 9,2913 9,1036 8,9585 8,8596 8,7792 8,7022 8,6621 8,7160 8,8907 9,1589 9,4579 9,7263 9,9386 10,1051 10,2383 10,3233 10,3217 10,2042 9,9889 9,7536 9,6057 9,6280 9,8406 10,1984 10,6132 10,9910 11,2610 11,3822 11,3514 11,2063 10,9874 10,6915 10,2882 9,7728 9,1746 8,5205 7,8343 7,1699 6,6079 6,2256 6,0837 6,2026 6,5227 6,8997 7,1666 7,2260 7,1008 6,9047 6,7635 6,7452 6,8375
Fz    -4,6433 -4,4697 -4,1949 -3,8112 -3,3331 -2,7989 -2,2659 -1,7909 -1,4155 -1,1689 -1,0630 -1,0758 -1,1493 -1,2079 -1,1835 -1,0474 -0,8344 -0,6261 -0,4946 -0,4522 -0,4496 -0,4197 -0,3245 -0,1718 -0,0019 0,1401 0,2266 0,2556 0,2513 0,2656 0,3628 0,5789 0,8883 1,2194 1,5128 1,7559 1,9628 2,1425 2,2914 2,3983 2,4583 2,4829 2,4934 2,5058 2,5243 2,5400 2,5272 2,4445 2,2468 1,9186 1,5066 1,1107 0,8377 0,7554 0,8699 1,1224 1,4056 1,6059 1,6519 1,5377 1,3120 1,0510 0,8375 0,7466 0,8178 1,0321 1,3292 1,6481 1,9504 2,2242 2,4809 2,7382 3,0042 3,2788 3,5616 3,8445 4,1050 4,3215 4,4891 4,6173 4,7236 4,8292 4,9481 5,0766 5,1870 5,2266 5,1411 4,9178 4,6035 4,2831 4,0416 3,9228 3,9053 3,9168 3,8734 3,7197 3,4535 3,1331 2,8605 2,7437 2,8517 3,1902 3,7061 4,3138 4,9221 5,4463 5,8183 6,0119 6,0600 6,0400 6,0403 6,1314 6,3488 6,6815 7,0620 7,3803 7,5255 7,4223 7,0516 6,4607 5,7472 5,0096 4,3112 3,6909 3,1844 2,8192 2,6038 2,5337 2,5996 2,7830 3,0588 3,4063 3,8096 4,2605 4,7766 5,3939 6,1103 6,8535 7,5287 8,0831 8,5146 8,8431 9,0906 9,2772 9,4186 9,5182 9,5737 9,6002 9,6311 9,6852 9,7441 9,7699 9,7334 9,6213 9,4271 9,1496 8,8052 8,4307 8,0651 7,7323 7,4396 7,1832 6,9539 6,7449 6,5568 6,3994 6,2973 6,2915 6,4193 6,6865 7,0679 7,5243 8,0102 8,4788 8,8921 9,2277 9,4859 9,6955 9,8902 10,0726 10,2187 10,3103 10,3418 10,3120 10,2261 10,0926 9,9164 9,7094 9,5047 9,3432 9,2431 9,1851 9,1302 9,0430 8,8985 8,6807 8,3846 8,0231 7,6384 7,3078 7,1180 7,1083 7,2351 7,4029 7,5218 7,5440 7,4779 7,3779 7,3104 7,3230 7,4340 7,6294 7,8759 8,1435 8,4100 8,6524 8,8551 9,0256 9,1911 9,3813 9,6179 9,9007 10,1951 10,4329 10,5387 10,4682 10,2270 9,8520 9,3826 8,8476 8,2635 7,6418 6,9970 6,3557 5,7613 5,2565 4,8564 4,5405 4,2673 3,9930 3,6850 3,3325 2,9549 2,6053 2,3510 2,2211 2,1675 2,0966 1,9460 1,7314 1,5266 1,4027 1,3833 1,4442 1,5483 1,6736 1,8104 1,9452 2,0650 2,1757 2,3059 2,4864 2,7348 3,0499 3,4008 3,7240 3,9532 4,0602 4,0709 4,0440 4,0369 4,0952 4,2519 4,5212 4,8924 5,3245 5,7445 6,0741 6,2841 6,4186 6,5584 6,7662 7,0639 7,4404 7,8702 8,3295 8,7978 9,2474 9,6513 10,0075 10,3402 10,6763 11,0203 11,3355 11,5591 11,6476 11,6072 11,4808 11,3136 11,1335 10,9543 10,7738 10,5664 10,2962 9,9373 9,4839 8,9506 8,3645 7,7555 7,1511 6,5797 6,0779 5,6887 5,4448 5,3553 5,4064 5,5604 5,7610 5,9539 6,1072 6,2109 6,2603 6,2427 6,1387 5,9368 5,6498 5,3130 4,9664 4,6418 4,3645 4,1596 4,0466 4,0274 4,0848 4,1933 4,3358 4,5092 4,7138 4,9382 5,1602 5,3591 5,5255 5,6704 5,8322 6,0692 6,4245 6,8837 7,3690 7,7888 8,0917 8,2769 8,3800 8,4516 8,5252 8,6007 8,6614 8,7021 8,7310 8,7578 8,7916 8,8453 8,9255 9,0128 9,0625 9,0310 8,8950 8,6582 8,3547 8,0407 7,7697 7,5738 7,4615 7,4215 7,4365 7,5066 7,6573 7,9149 8,2766 8,7017 9,1277 9,4972 9,7752 9,9470 10,0096 9,9660 9,8203 9,5780 9,2528 8,8654 8,4360 7,9809 7,5158 7,0681 6,6901 6,4474 6,3788 6,4737 6,6936 7,0074 7,4076 7,8941 8,4478 9,0266 9,5882 10,1026 10,5291 10,7944 10,8270 10,6255 10,2768 9,8939 9,5439 9,2371 8,9644 8,7364 8,5881 8,5438 8,5820 8,6431 8,6680 8,6357 8,5745 8,5392 8,5816 8,7414 9,0417 9,4701 9,9657 10,4335 10,7740 10,9108 10,8159 10,5204 10,0991 9,6429 9,2291 8,8963 8,6361 8,4087 8,1739 7,9214 7,6725 7,4522 7,2682 7,1109 6,9648 6,8250 6,7055 6,6240 6,5810 6,5568 6,5132 6,3996 6,1674 5,7978 5,3323 4,8703 4,5161 4,3225 4,2831 4,3612 4,5192 4,7335 4,9953 5,2983 5,6268 5,9590 6,2768 6,5597 6,7807 6,9229 6,9921 6,9982 6,9375 6,8022 6,6014 6,3674 6,1432 5,9634 5,8564 5,8581 5,9936 6,2436 6,5603 6,9096 7,2770 7,6488 8,0087 8,3484 8,6700 8,9721 9,2309 9,3972 9,4182 9,2707 8,9754 8,5805 8,1322 7,6529 7,1535 6,6636 6,2253 5,8536 5,5228 5,1949 4,8602 4,5503 4,3077 4,1421 4,0194 3,8828 3,6774 3,3639 2,9373 2,4455 1,9788 1,6345 1,4802 1,5316 1,7565 2,0989 2,4912 2,8580 3,1380 3,3135 3,4131 3,4868 3,5821 3,7362 3,9765 4,3125 4,7299 5,2005 5,6963 6,1880 6,6437 7,0455 7,4001 7,7157 7,9786 8,1647 8,2633 8,2735 8,1889 8,0073 7,7455 7,4258 7,0588 6,6585 6,2613 5,9213 5,6901 5,5937 5,6213 5,7346 5,8925 6,0676 6,2386 6,3762 6,4452 6,4206 6,3016 6,1114 5,8836 5,6452 5,4049 5,1526 4,8740 4,5742 4,2937 4,1027 4,0688 4,2153 4,5075 4,8802 5,2641 5,5873 5,7873 5,8364 5,7365 5,4936 5,1204 4,6585 4,1700 3,6993 3,2620 2,8724 2,5590 2,3518 2,2694 2,3057 2,4222 2,5541 2,6291 2,5923 2,4307 2,1799 1,8981 1,6288 1,3961
F3    -2,8734 -2,2991 -1,7084 -1,1817 -0,7847 -0,5502 -0,4774 -0,5323 -0,6599 -0,8171 -0,9897 -1,1659 -1,3126 -1,3919 -1,3888 -1,3154 -1,1982 -1,0715 -0,9719 -0,9220 -0,9200 -0,9455 -0,9773 -1,0082 -1,0292 -1,0024 -0,8697 -0,5953 -0,1926 0,2847 0,7602 1,1516 1,3953 1,4754 1,4390 1,3788 1,3902 1,5300 1,7910 2,0981 2,3422 2,4413 2,3718 2,1570 1,8463 1,5034 1,1943 0,9682 0,8394 0,7942 0,8087 0,8522 0,8808 0,8429 0,7023 0,4617 0,1650 -0,1273 -0,3680 -0,5373 -0,6455 -0,7293 -0,8250 -0,9357 -1,0302 -1,0677 -1,0143 -0,8531 -0,5921 -0,2568 0,1275 0,5407 0,9622 1,3686 1,7347 2,0332 2,2465 2,3788 2,4464 2,4627 2,4544 2,4727 2,5576 2,7008 2,8558 2,9732 3,0250 3,0102 2,9483 2,8697 2,7989 2,7312 2,6289 2,4503 2,1831 1,8458 1,4664 1,0845 0,7651 0,5802 0,5740 0,7507 1,0881 1,5527 2,1047 2,6979 3,2848 3,8230 4,2814 4,6524 4,9592 5,2357 5,4892 5,6833 5,7606 5,6916 5,4986 5,2209 4,8756 4,4674 4,0153 3,5548 3,1261 2,7639 2,4825 2,2714 2,1121 2,0009 1,9517 1,9753 2,0683 2,2275 2,4695 2,8246 3,3150 3,9347 4,6325 5,3167 5,8912 6,2956 6,5167 6,5783 6,5314 6,4459 6,3896 6,3988 6,4706 6,5850 6,7193 6,8398 6,9088 6,9191 6,9131 6,9598 7,1085 7,3569 7,6550 7,9317 8,1204 8,1813 8,1034 7,8876 7,5528 7,1525 6,7593 6,4374 6,2387 6,2017 6,3253 6,5467 6,7685 6,9162 6,9776 7,0064 7,0878 7,2821 7,5853 7,9331 8,2363 8,4275 8,4875 8,4190 8,2099 7,8516 7,3823 6,8886 6,4687 6,1998 6,1172 6,1993 6,3696 6,5287 6,5988 6,5487 6,3895 6,1591 5,9029 5,6562 5,4438 5,2908 5,2181 5,2295 5,3075 5,4142 5,5000 5,5275 5,4901 5,3986 5,2636 5,1106 4,9845 4,9140 4,8915 4,8981 4,9313 5,0041 5,1304 5,3135 5,5390 5,7887 6,0689 6,4006 6,7686 7,0998 7,2960 7,2845 7,0462 6,6149 6,0573 5,4539 4,8927 4,4496 4,1509 3,9659 3,8415 3,7288 3,5918 3,4111 3,1751 2,8616 2,4436 1,9254 1,3632 0,8448 0,4442 0,1841 0,0337 -0,0508 -0,0878 -0,0618 0,0517 0,2473 0,4752 0,6703 0,7945 0,8580 0,9005 0,9535 1,0283 1,1360 1,2975 1,5256 1,8103 2,1224 2,4184 2,6464 2,7692 2,7865 2,7404 2,7020 2,7450 2,9163 3,2061 3,5530 3,8951 4,2099 4,4958 4,7449 4,9535 5,1371 5,3139 5,4840 5,6401 5,7885 5,9443 6,1070 6,2530 6,3628 6,4561 6,5980 6,8600 7,2618 7,7459 8,2080 8,5503 8,7191 8,7125 8,5593 8,2897 7,9305 7,5143 7,0707 6,6182 6,1695 5,7276 5,2780 4,7956 4,2619 3,6830 3,0979 2,5706 2,1716 1,9567 1,9472 2,1196 2,4099 2,7355 3,0273 3,2473 3,3779 3,4040 3,3137 3,1149 2,8420 2,5507 2,3007 2,1330 2,0558 2,0559 2,1205 2,2341 2,3669 2,4864 2,5790 2,6453 2,6861 2,7022 2,6940 2,6618 2,6198 2,6015 2,6347 2,7233 2,8571 3,0152 3,1620 3,2702 3,3604 3,5100 3,8079 4,2965 4,9492 5,6775 6,3492 6,8277 7,0304 6,9618 6,6944 6,3273 5,9582 5,6699 5,5187 5,5148 5,6089 5,7126 5,7490 5,6976 5,6050 5,5581 5,6407 5,8980 6,3231 6,8625 7,4426 8,0023 8,4996 8,8940 9,1393 9,2023 9,0864 8,8308 8,4817 8,0703 7,6240 7,1891 6,8200 6,5445 6,3509 6,2053 6,0725 5,9309 5,7847 5,6630 5,5944 5,5838 5,6156 5,6749 5,7585 5,8724 6,0263 6,2233 6,4478 6,6712 6,8765 7,0697 7,2580 7,4157 7,4866 7,4372 7,2907 7,0897 6,8390 6,5130 6,1074 5,6683 5,2807 5,0301 4,9627 5,0599 5,2388 5,3961 5,4731 5,4824 5,4842 5,5494 5,7261 6,0153 6,3740 6,7486 7,1070 7,4381 7,7307 7,9571 8,0715 8,0282 7,8084 7,4319 6,9483 6,4151 5,8814 5,3878 4,9706 4,6579 4,4647 4,3836 4,3729 4,3697 4,3325 4,2687 4,2229 4,2440 4,3560 4,5368 4,7068 4,7588 4,6282 4,3344 3,9523 3,5686 3,2696 3,1299 3,1747 3,3564 3,5806 3,7648 3,8758 3,9214 3,9236 3,9055 3,8863 3,8809 3,9000 3,9353 3,9432 3,8743 3,7287 3,5626 3,4363 3,3714 3,3618 3,4129 3,5419 3,7466 4,0011 4,2821 4,5776 4,8762 5,1644 5,4332 5,6861 5,9337 6,1747 6,3769 6,4896 6,4882 6,3951 6,2497 6,0727 5,8588 5,5915 5,2638 4,8813 4,4489 3,9720 3,4712 2,9916 2,5958 2,3400 2,2410 2,2694 2,3771 2,5211 2,6640 2,7756 2,8427 2,8738 2,8871 2,8867 2,8506 2,7594 2,6309 2,5100 2,4280 2,3909 2,4011 2,4744 2,6325 2,8803 3,1899 3,5119 3,8070 4,0596 4,2701 4,4507 4,6327 4,8672 5,1971 5,6132 6,0386 6,3618 6,4906 6,3934 6,1148 5,7538 5,4151 5,1587 4,9765 4,8162 4,6369 4,4422 4,2736 4,1850 4,2090 4,3281 4,4852 4,6310 4,7513 4,8464 4,9080 4,9283 4,9174 4,9005 4,9032 4,9349 4,9717 4,9603 4,8513 4,6301 4,3188 3,9609 3,6109 3,3302 3,1731 3,1573 3,2481 3,3742 3,4612 3,4702 3,4165 3,3527 3,3353 3,3950 3,5117 3,6092 3,5883 3,3791 2,9738 2,4160 1,7741 1,1244 0,5407 0,0794 -0,2333 -0,4040 -0,4601 -0,4355 -0,3660 -0,2818 -0,1926 -0,0916
F7    -2,1609 -1,9623 -1,8019 -1,6836 -1,5907 -1,4941 -1,3753 -1,2467 -1,1537 -1,1542 -1,2785 -1,4975 -1,7353 -1,9070 -1,9483 -1,8322 -1,5810 -1,2585 -0,9381 -0,6676 -0,4558 -0,2884 -0,1507 -0,0386 0,0436 0,0898 0,0987 0,0810 0,0686 0,1151 0,2721 0,5572 0,9364 1,3374 1,6897 1,9570 2,1336 2,2250 2,2383 2,1815 2,0702 1,9304 1,7906 1,6703 1,5746 1,4941 1,4067 1,2832 1,0993 0,8562 0,5916 0,3627 0,2181 0,1782 0,2265 0,3128 0,3709 0,3487 0,2304 0,0396 -0,1786 -0,3848 -0,5617 -0,7078 -0,8314 -0,9456 -1,0542 -1,1405 -1,1795 -1,1544 -1,0599 -0,9016 -0,6976 -0,4715 -0,2405 -0,0156 0,1923 0,3740 0,5275 0,6584 0,7796 0,9125 1,0759 1,2679 1,4583 1,5997 1,6552 1,6265 1,5566 1,5084 1,5342 1,6478 1,8194 1,9983 2,1441 2,2428 2,3111 2,3908 2,5277 2,7441 3,0311 3,3581 3,6845 3,9727 4,2020 4,3709 4,4927 4,5924 4,7006 4,8402 5,0196 5,2353 5,4752 5,7140 5,9051 5,9934 5,9512 5,8005 5,5983 5,4045 5,2547 5,1449 5,0381 4,8946 4,6980 4,4533 4,1759 3,8915 3,6371 3,4513 3,3655 3,3948 3,5334 3,7613 4,0636 4,4341 4,8496 5,2547 5,5889 5,8219 5,9529 5,9933 5,9598 5,8752 5,7655 5,6490 5,5399 5,4725 5,5110 5,7185 6,1116 6,6457 7,2369 7,7968 8,2599 8,5951 8,8074 8,9277 8,9942 9,0383 9,0751 9,1041 9,1187 9,1176 9,1078 9,1018 9,1163 9,1691 9,2659 9,3915 9,5167 9,6074 9,6269 9,5454 9,3543 9,0735 8,7458 8,4237 8,1512 7,9543 7,8538 7,8695 7,9976 8,1950 8,3927 8,5162 8,5045 8,3383 8,0550 7,7335 7,4578 7,2816 7,2113 7,2069 7,1928 7,0882 6,8500 6,4945 6,0873 5,7226 5,4897 5,4248 5,4912 5,6139 5,7271 5,7965 5,8191 5,8130 5,7978 5,7874 5,7943 5,8212 5,8541 5,8707 5,8500 5,7768 5,6528 5,5047 5,3735 5,2994 5,3148 5,4328 5,6324 5,8587 6,0427 6,1350 6,1224 6,0173 5,8386 5,6016 5,3167 4,9968 4,6647 4,3537 4,1033 3,9461 3,8930 3,9329 4,0415 4,1816 4,3026 4,3441 4,2537 4,0195 3,6838 3,3099 2,9359 2,5714 2,2320 1,9634 1,8196 1,8173 1,9160 2,0438 2,1436 2,2053 2,2628 2,3633 2,5386 2,7941 3,1120 3,4565 3,7804 4,0353 4,1764 4,1670 3,9992 3,7137 3,3897 3,1036 2,8953 2,7759 2,7554 2,8496 3,0643 3,3777 3,7360 4,0742 4,3540 4,5864 4,8117 5,0612 5,3342 5,6004 5,8168 5,9504 5,9869 5,9227 5,7644 5,5416 5,3043 5,1049 4,9794 4,9322 4,9359 4,9577 4,9881 5,0414 5,1295 5,2474 5,3768 5,4885 5,5466 5,5241 5,4113 5,2120 4,9386 4,6062 4,2244 3,8011 3,3557 2,9291 2,5722 2,3183 2,1690 2,1026 2,0855 2,0843 2,0849 2,0999 2,1507 2,2395 2,3352 2,3861 2,3496 2,2167 2,0185 1,8153 1,6762 1,6569 1,7805 2,0248 2,3225 2,5848 2,7408 2,7633 2,6668 2,4830 2,2368 1,9389 1,5995 1,2481 0,9396 0,7391 0,6982 0,8322 1,1057 1,4434 1,7753 2,0670 2,3116 2,5152 2,6911 2,8522 3,0072 3,1635 3,3252 3,4890 3,6524 3,8284 4,0427 4,3077 4,6041 4,8930 5,1412 5,3283 5,4441 5,4912 5,4855 5,4492 5,4081 5,3932 5,4350 5,5555 5,7607 6,0352 6,3405 6,6273 6,8564 7,0131 7,1056 7,1502 7,1583 7,1322 7,0638 6,9318 6,7108 6,3896 5,9806 5,5106 5,0086 4,5005 4,0172 3,6059 3,3197 3,1862 3,1912 3,2922 3,4474 3,6326 3,8364 4,0433 4,2330 4,3971 4,5451 4,6784 4,7649 4,7600 4,6495 4,4594 4,2219 3,9447 3,6189 3,2470 2,8631 2,5300 2,3133 2,2498 2,3363 2,5332 2,7760 2,9947 3,1408 3,2157 3,2815 3,4342 3,7448 4,2150 4,7781 5,3292 5,7616 6,0012 6,0258 5,8600 5,5538 5,1607 4,7261 4,2888 3,8858 3,5568 3,3482 3,3030 3,4320 3,6966 4,0233 4,3372 4,5899 4,7731 4,9075 5,0213 5,1295 5,2228 5,2720 5,2417 5,1113 4,8971 4,6533 4,4362 4,2690 4,1403 4,0249 3,9029 3,7678 3,6244 3,4820 3,3511 3,2483 3,1984 3,2195 3,3061 3,4357 3,5830 3,7198 3,8159 3,8560 3,8539 3,8423 3,8484 3,8783 3,9290 4,0105 4,1386 4,3146 4,5354 4,8071 5,1244 5,4476 5,7212 5,9187 6,0648 6,2102 6,3811 6,5513 6,6616 6,6646 6,5465 6,3122 5,9664 5,5180 5,0017 4,4894 4,0610 3,7552 3,5514 3,3944 3,2410 3,0942 2,9957 2,9861 3,0750 3,2391 3,4293 3,5802 3,6361 3,5858 3,4729 3,3734 3,3538 3,4348 3,5859 3,7525 3,8835 3,9474 3,9412 3,8863 3,8160 3,7677 3,7779 3,8752 4,0685 4,3335 4,6136 4,8478 4,9998 5,0639 5,0546 5,0011 4,9398 4,9003 4,8988 4,9479 5,0582 5,2158 5,3690 5,4570 5,4537 5,3757 5,2606 5,1511 5,0844 5,0844 5,1552 5,2767 5,4102 5,5244 5,6190 5,7187 5,8410 5,9734 6,0791 6,1218 6,0894 5,9962 5,8652 5,7132 5,5468 5,3643 5,1634 4,9564 4,7773 4,6705 4,6665 4,7606 4,9133 5,0734 5,2006 5,2682 5,2662 5,2050 5,0978 4,9368 4,7027 4,3911 4,0151 3,5859 3,1127 2,6228 2,1646 1,7939 1,5615 1,4941 1,5708 1,7154 1,8261 1,8299 1,7241 1,5683 1,4364 1,3672 1,3495
